yang	yang
bukit	bukit
bukit	colina
bukit	dealul
bukit	hill
bukit	deal
diri	self
kepelbagaian	diversitatea
kepelbagaian	diversitate
kepelbagaian	varietate
kepelbagaian	soi
kepelbagaian	varietatea
kepelbagaian	diversificarea
kepelbagaian	asortate
kepelbagaian	varianta
kepelbagaian	variantă
kepelbagaian	variante
jantina	sexul
jantina	gen
jantina	sex
jantina	sexe
jantina	sexul
jantina	sex
januari	ianuarie
pokok	pom
pokok	arbore
pokok	copac
pokok	copacul
pokok	arborele
pokok	copacii
pokok	copaci
pokok	pomi
pokok	arbori
jun	jun
jun	june
jun	iunie
bar	gratii
bar	baruri
bar	bare
bar	barul
bar	bar
perdana	prime
perdana	prim
pentadbiran	administrator
pentadbiran	administratorul
pentadbiran	guvernoratul
pentadbiran	administrația
pentadbiran	administrarea
pentadbiran	administrare
pentadbiran	administrație
pentadbiran	administratori
pentadbiran	administratorii
ibu	mama
ibu	mamă
ibu	mama
ibu	mamă
cina	china
cina	chineza
cina	chineză
cina	chinezesc
cina	chinez
cina	chinezi
ogos	dec
ogos	august
datuk	bunic
datuk	bunicul
datuk	bunic
datuk	bunicul
nombor	numar
nombor	număr
nombor	numărul
nombor	numerele
nombor	numere
siri	serie
siri	serii
siri	seria
siri	siri
mungkin	poate
mungkin	poate
rakyat	folk
rakyat	oamenii
rakyat	oameni
rakyat	persoane
jpg	jpg
bahan	ingrediente
bahan	ingredientele
bahan	materialul
bahan	material
bahan	materiale
bahan	materiale
bahan	materialele
lama	lama
imagesize	imagesize
populasi	populaţia
populasi	populație
populasi	populația
april	april
april	aprilie
empat	four
empat	patru
kode	codul
kode	cod
ideologi	ideologia
ideologi	ideologie
ideologi	ideologiile
muzik	muzică
muzik	muzica
mac	mac
mac	martie
biasa	regulată
biasa	regulate
biasa	regulat
biasa	obișnuit
bangunan	clădire
bangunan	cladire
bangunan	clădirea
bangunan	clădiri
bangunan	cladiri
pesawat	aeronavă
pesawat	avioane
pesawat	aeronave
pesawat	avioane
pesawat	avion
manusia	oamenii
manusia	umane
manusia	om
manusia	umană
manusia	uman
mei	may
mei	mei
garuda	garuda
irdt	irdt
november	november
november	noiembrie
zaman	zaman
british	britanic
british	britanică
british	british
british	britanici
berjaya	succes
berjaya	succese
berjaya	succesul
hidup	life
hidup	viaţa
hidup	viaţă
hidup	viața
hidup	viață
hidup	viata
anugerah	cadou
anugerah	cadoul
anugerah	premiu
anugerah	premiul
anugerah	premii
anugerah	premiile
lumpur	noroi
lumpur	nămol
lumpur	nămol
johor	johor
juta	milioane
juta	milion
utc	utc
location	localizare
location	locație
location	locația
location	locaţia
mampu	capabili
mampu	capabila
mampu	capabile
mampu	capabilă
mampu	capabil
arab	arab
arab	arabă
arab	arabe
arab	arabia
arab	araba
arab	arabă
arab	arabi
arab	arabii
pembangunan	dezvoltarea
pembangunan	elaborare
pembangunan	dezvoltare
membaca	citirea
membaca	citire
membaca	citesc
membaca	citind
membaca	lectură
disember	decembrie
lahir	nascut
lahir	născută
lahir	născut
lahir	naștere
lahir	nastere
lahir	naşterea
perlawanan	meciuri
perlawanan	chibrituri
perlawanan	rezistență
perlawanan	rezistența
perlawanan	rezistenta
peringkat	rândurile
selangor	selangor
politik	politică
politik	politica
politik	politice
politik	politic
united	unită
united	united
united	unite
united	unit
julai	iulie
tanpa	fara
tanpa	fără
label	etichetele
label	etichete
label	etichetă
label	eticheta
udara	aer
udara	aerul
udara	air
gunung	mountain
gunung	munte
gunung	muntele
gunung	mount
gunung	muntele
majlis	consiliului
majlis	consiliu
majlis	consiliul
majlis	ocazie
oktober	octombrie
sukan	sport
sukan	sportul
sukan	sport
sukan	sporturi
kebanyakan	majoritatea
seri	serie
seri	serii
seri	seria
asal	origine
asal	originea
sahaja	doar
sahaja	numai
tentang	despre
norway	norvegiană
norway	norvegiene
norway	norvegian
norway	norvegia
sebahagian	parțiale
sebahagian	parțială
sebahagian	parţială
sebahagian	parțial
diterbitkan	publicate
diterbitkan	publicat
diterbitkan	publicată
hak	drepturile
hak	drepturi
mata	ochii
mata	ochi
mata	ochiul
mata	ochi
mata	eye
mata	mata
masyarakat	societatea
masyarakat	societate
masyarakat	societăți
isbn	isbn
terdiri	compus
terdiri	compuse
terdiri	compusă
terdiri	constă
membentuk	modelarea
singapura	singapore
abad	abad
abad	secolul
abad	secol
abad	century
ketinggian	altitudinea
ketinggian	altitudine
ketinggian	heights
ketinggian	elevație
ketinggian	inaltime
ketinggian	înălţime
ketinggian	înălțimea
ketinggian	înălțime
liga	leghe
liga	liga
liga	league
liga	ligii
liga	liga
liga	ligă
korea	coreenii
korea	coreeni
korea	coreeană
korea	coreean
korea	coreea
keluarga	familiile
keluarga	familii
keluarga	familie
keluarga	familia
watak	personaj
watak	caracterul
watak	caracter
watak	caractere
watak	caracterele
watak	personajele
watak	personaje
sumber	sursă
sumber	sursa
sumber	resursa
sumber	resursă
sumber	resurse
sumber	resursele
sumber	resurse
sumber	sursele
sumber	surse
menyebabkan	cauzele
menyebabkan	cauze
membawa	aducerea
membawa	aducând
pejabat	oficiali
pejabat	funcționarii
pejabat	oficialii
pejabat	funcționari
pejabat	birourile
pejabat	oficii
pejabat	birouri
pejabat	oficiu
pejabat	biroul
pejabat	oficiul
pejabat	birou
saint	sfânt
saint	sfantul
saint	sfântul
saint	saint
menerima	primirea
menerima	primind
menerima	primi
menerima	primește
menerima	acceptă
dasar	politicile
dasar	politici
dasar	politică
dasar	politica
anda	ai
anda	te
anda	tu
anda	anda
azt	azt
aras	aras
aras	nivelurile
aras	niveluri
aras	nivele
aras	nivelul
aras	nivel
februari	februarie
kata	zice
kata	kata
ramai	aglomerată
ramai	aglomerat
terkenal	renumit
terkenal	renumita
kementerian	ministerul
kementerian	ministerului
kementerian	minister
ahmad	ahmad
aircraft	aeronavă
aircraft	avioane
aircraft	aeronave
dewan	consiliului
dewan	consiliu
dewan	consiliul
juara	campion
juara	campioană
juara	campioana
juara	campionul
juara	campionii
juara	campioni
juara	campionilor
bagaimanapun	oricum
sering	deseori
sering	adeseori
sering	adesea
sering	des
australia	australiană
australia	australian
australia	australieni
australia	australiei
australia	australia
web	web
aceh	aceh
kerja	munca
kerja	lucru
kerja	muncă
dibina	construite
dibina	construita
dibina	construit
dibina	construită
dibina	construite
dibina	construită
panas	cald
panas	fierbinte
panas	caldura
panas	heat
panas	căldură
panas	căldura
reference	referință
reference	referința
reference	trimitere
group	grupa
group	grup
group	grupul
group	grupă
alam	alam
alam	natură
alam	natura
http	http
kelas	clasele
kelas	clase
kelas	cursuri
kelas	clasă
kelas	clasa
rendah	scăzută
rendah	scăzut
rendah	low
kod	codul
kod	cod
kod	coduri
kod	codurile
bumi	earth
bumi	pămînt
bumi	pământul
bumi	pământ
bumi	pamant
bumi	pământuri
bumi	pământeni
bumi	bumi
daya	daya
panjang	lungime
panjang	lungimea
panjang	lung
panjang	lungă
panjang	long
bidang	domenii
bidang	câmpuri
bidang	câmpurile
bidang	câmp
bidang	câmpul
bidang	field
bidang	teren
lima	lima
lima	five
lima	cinci
kelab	club
kelab	clubul
kelab	cluburile
kelab	cluburi
video	video
video	videoclipuri
api	focul
api	incendiu
api	foc
api	api
api	flacăra
api	flacara
api	flacără
api	flăcările
api	flăcări
manakala	întrucât
sri	sri
umum	generalul
umum	generale
umum	general
mohd	mohd
keadaan	stare
keadaan	stat
keadaan	state
keadaan	statul
sarawak	sarawak
memberi	dând
cara	moduri
cara	cara
cara	carei
perkhidmatan	servicii
perkhidmatan	serviciu
perkhidmatan	serviciul
perkhidmatan	service
perkhidmatan	servicii
unit	unități
unit	unităţi
unit	unitati
unit	unitate
unit	unitatea
sangat	foarte
persekutuan	alianta
persekutuan	alianță
persekutuan	alianța
persekutuan	federaţiei
persekutuan	federația
persekutuan	federatia
persekutuan	federal
persekutuan	federale
persekutuan	federală
persekutuan	bursă
makanan	mancare
makanan	mâncare
makanan	alimentare
makanan	alimente
makanan	hrană
makanan	mâncăruri
makanan	alimente
ekonomi	economie
ekonomi	economic
ekonomi	economică
ekonomi	economice
ekonomi	economia
ekonomi	economie
versi	versiunea
versi	versiune
versi	versiunile
versi	versiuni
sementara	temporare
sementara	temporara
sementara	temporar
sementara	temporară
haiwan	animale
haiwan	animalelor
haiwan	animalele
haiwan	animalul
haiwan	animal
sabah	sabah
penting	importante
penting	important
penting	importanta
penting	importantă
penting	esențială
penting	esențiale
penting	esențial
penting	esential
merah	rosu
merah	roşu
merah	red
merah	roșu
seni	arte
seni	arta
seni	artă
seni	art
perlu	nevoie
latd	latd
sekali	odată
longd	longd
sdn	sdn
stesen	staţie
stesen	gara
stesen	stația
stesen	statie
stesen	stație
stesen	gară
stesen	stații
stesen	statii
latns	latns
longew	longew
polis	cop
polis	politist
polis	polițist
polis	poliție
polis	politia
polis	poliția
muda	muda
muda	tânără
muda	tânăr
muda	tinere
muda	young
muda	tineri
amat	amat
amat	extrem
fail	fișiere
fail	fisiere
fail	dosare
fail	fișierul
fail	fişier
fail	fișier
fail	dosar
serangan	atacuri
serangan	atacurile
serangan	atac
serangan	atac
serangan	asalt
putih	albi
putih	albe
putih	albă
putih	alb
berbeza	diferă
berbeza	diferit
berbeza	diferite
berbeza	diferită
berbeza	diferita
berbeza	diferă
berbeza	variază
haji	hajj
haji	haji
sains	ştiinţe
sains	știință
sains	stiinta
sains	stiinte
sains	științe
sains	ştiinţe
gol	gol
gol	obiectiv
gol	scopul
melaka	malacca
hasil	rezultate
hasil	rezultatele
hasil	randamentul
hasil	randament
penyanyi	cântăreață
penyanyi	singer
penyanyi	cântăreț
permainan	joc
permainan	jocul
permainan	jocuri
permainan	jocurile
awam	publice
awam	public
awam	publică
muhammad	muhammad
muhammad	mohammed
badan	body
badan	organism
badan	corp
badan	corpul
badan	trup
maka	maka
tempatan	local
tempatan	locale
tempatan	localnic
tempatan	local
tempatan	locală
tempatan	localnici
tempatan	localnicii
tempatan	localnicilor
tempatan	localitatea
tempatan	localitate
kejohanan	concursuri
kejohanan	campionatele
kejohanan	campionate
kejohanan	campionatul
kejohanan	campionat
kejohanan	turneul
kejohanan	turneu
kejohanan	turnir
berasal	derivat
berasal	derivate
com	com
komuniti	comunitățile
komuniti	comunități
komuniti	comunitate
komuniti	comunitatea
belanda	olanda
belanda	olanda
belanda	holland
belanda	olandeză
belanda	olandezi
belanda	olandez
belanda	dutch
menunjukkan	arătând
menunjukkan	indică
kaki	picior
kaki	piciorul
kaki	picioarele
kaki	picioare
kaki	picior
kaki	picioarele
kaki	picioare
nepal	nepal
nepal	nepaleză
cinta	iubire
cinta	iubesc
cinta	iubirea
cinta	dragoste
cinta	dragostea
bermain	redarea
bermain	jucând
belakang	înapoi
belakang	inapoi
belakang	back
belakang	spate
belakang	spate
pengguna	utilizatorilor
pengguna	utilizatori
pengguna	utilizatorii
pengguna	utilizatorul
pengguna	utilizator
tempoh	durata
tempoh	durată
tempoh	perioadă
tempoh	perioada
tempoh	perioadele
tempoh	perioade
popular	popular
popular	populare
popular	populara
popular	populară
lalu	lalu
maklumat	info
maklumat	informatii
maklumat	informaţii
maklumat	informatii
maklumat	informație
maklumat	informații
maklumat	informaţii
menentang	opune
hitam	neagră
hitam	negru
hitam	neagra
hitam	black
shah	shah
shah	sah
kemudiannya	atunci
kemudiannya	apoi
memberikan	dând
pegawai	ofițerii
pegawai	ofițeri
pegawai	ofiteri
pegawai	ofițer
pegawai	ofiţer
pegawai	ofiter
warna	culori
warna	culoare
warna	color
warna	culoarea
warna	culori
warna	culorile
warna	culoare
warna	color
warna	culoarea
city	city
city	oras
city	oraș
city	oraş
city	oraşul
city	orașul
penggunaan	utilizare
penggunaan	folosire
hampir	aproape
latm	latm
longm	longm
program	program
program	programul
program	program
program	programul
program	programe
program	programele
perkataan	zicale
perkataan	cuvînt
perkataan	word
perkataan	cuvant
perkataan	cuvânt
perkataan	cuvintele
perkataan	cuvinte
perkataan	vorbe
jawatankuasa	comitetul
jawatankuasa	comitet
seed	semințe
seed	sămânță
terengganu	terengganu
parlimen	parlamentar
parlimen	parlamentară
parlimen	parlamentare
parlimen	parlamentul
parlimen	parlament
parlimen	parlamentului
london	londra
london	london
dianggap	considerata
dianggap	considerate
dianggap	considerată
dianggap	considerat
