molecolare	分子
mancini	mancini
duetto	二重唱
duetto	雙人舞
lara	lara
early	提早
early	及早
early	早期
early	提前
consorte	配偶
chiavi	按鍵
chiavi	鍵
chiavi	鑰匙
chiavi	鍵
chiavi	key
chiavi	關鍵
difensiva	防禦
celle	細胞
celle	牢房
celle	細胞
parente	親戚
parente	相對
magnetico	磁
magnetico	磁力
magnetico	磁性
vivi	活
vivi	直播
vivi	live
vivi	活著
nativo	原生
punizione	刑罰
punizione	懲罰
punizione	處罰
punizione	拘留所
punizione	拘禁
punizione	拘留
martello	錘
martello	錘子
martello	槌
kingdom	王國
kingdom	國度
atomi	atom
atomi	原子
atomi	原子
spa	spa
spa	溫泉
spa	水療
templi	廟宇
templi	寺廟
avvisi	提醒
avvisi	警示
muoversi	動
muoversi	移動
pittsburgh	匹茲堡
ein	ein
caserma	營房
caserma	軍營
caserma	兵營
elicottero	直升機
elicottero	直升飛機
elicottero	直升機
geografico	地理
offerte	優惠
rain	雨
rain	下雨
rain	雨水
trailer	預告
trailer	拖車
trailer	預告片
marcelo	marcelo
accento	口音
cbs	cbs
helsinki	赫爾辛基
mother	母后
mother	母親
progettista	設計師
lecco	lecco
mista	混合
brandon	brandon
medina	medina
islanda	冰島
compositori	作曲家
donazione	捐
donazione	捐贈
donazione	捐款
donazione	捐獻
wikilink	wikilink
sentieri	小徑
sentieri	路徑
sentieri	小徑
fiscale	財政
periodico	定期
periodico	定期
periodico	期刊
alleate	盟軍
alleate	盟國
dawn	dawn
dawn	拂曉
dawn	黎明
dawn	天亮
dose	劑量
walsh	walsh
helena	helena
gil	gil
ladro	賊
mel	mel
mel	梅爾
streghe	女巫
streghe	魔女
streghe	巫婆
alias	別名
alias	aka
alias	別名
equazioni	方程
equazioni	方程式
equazioni	方程
equazioni	方程式
percy	percy
electric	電氣
electric	電
electric	電動
falsa	虛假
falsa	假
falsa	假的
falsa	虛假
falsa	假冒
falsa	假
superficiale	膚淺
superficiale	淺
superficiale	膚淺
kill	殺
complimenti	恭喜
complimenti	祝賀
complimenti	恭喜
complimenti	祝賀
fazione	派系
sovranità	主權
nucleari	核
nucleari	核子
presunta	據稱
presunta	推定
presunta	假定
sergej	sergei
bottiglia	瓶子
bottiglia	瓶
eliminati	刪除
muscolare	肌
muscolare	肌肉
muscolare	肌肉
senior	資深
genesi	創世紀
genesi	創世
genesi	起源
log	日誌
discendenza	血脈
discendenza	血統
hero	英雄
attraversare	跨越
attraversare	穿越
frammento	片段
frammento	片段
assistito	協助
gibson	gibson
combattenti	戰鬥機
combattenti	鬥士
alieni	異形
alieni	外星人
alieni	異形
alieni	外僑
alieni	外國人
alieni	外星人
vini	酒
vini	葡萄酒
difensivo	防禦
vinile	乙烯
avenue	大街
avenue	大道
incursioni	突襲
incursioni	入侵
incursioni	侵入
jenny	珍妮
jenny	jenny
minoranze	少數人
minoranze	少數民族
minoranze	少數民族
distacco	支隊
mancata	錯過
cometa	彗星
comunicato	公報
kit	kit
vampiri	吸血鬼
separato	分居
separato	分離
mori	毛利
mori	森
sparare	拍攝
sparare	拍
sparare	射
esclusione	排除
esclusione	排斥
duke	公爵
portate	帶
rubrica	電話簿
virtuale	虛擬
midi	midi
generato	生成
funzionari	官員
fighter	拳手
fighter	鬥士
wade	wade
gravidanza	懷孕
gravidanza	妊娠
gravidanza	孕期
mercante	商人
mercante	商家
negativi	負面
negativi	負
negativi	否定
negativi	陰性
negativi	消極
negativi	底片
battere	節拍
battere	毆打
battere	跳動
grassetto	大膽
riscatto	贖金
riscatto	贖罪
riscatto	贖回
riscatto	救贖
calda	溫暖
calda	暖
consulente	顧問
consulente	顧問
fitzgerald	fitzgerald
osserva	觀察
malato	病
malato	生病
pagani	異教徒
pagani	異教
pagani	異教徒
registra	唱片
registra	記錄
registra	紀錄
sandy	sandy
libano	黎巴嫩
libano	黎巴嫩
isolamento	絕緣
isolamento	隔熱
isolamento	隔絕
isolamento	隔離
isolamento	孤立
isolamento	與世隔絕
jana	jana
schieramento	部署
sostituiti	取代
martedì	星期二
martedì	週二
harper	harper
galeazzo	galeazzo
campane	鐘聲
automobili	車
automobili	汽車
elettroni	電子
compromesso	妥協
compromesso	折衷
march	三月
lynn	琳
lunare	月球
ufc	ufc
ufc	cfu
hearts	心
hearts	紅心
squadriglia	中隊
dipendenza	依賴
dipendenza	依賴性
dipendenza	依賴
dipendenza	扶養
dipendenza	依賴性
dipendenza	上癮
dipendenza	毒癮
dipendenza	癮
bolivia	玻利維亞
insegnare	教書
insegnare	教學
insegnare	教
insegnare	教
stretti	海峽
mezzanotte	半夜
mezzanotte	午夜
centenario	百年
yang	楊
yang	yang
pia	pia
salvataggio	節省
salvataggio	儲蓄
salvataggio	營救
salvataggio	救援
salvataggio	拯救
osso	骨
osso	骨骼
osso	骨頭
chen	陳
etnia	族裔
etnia	民族
etnia	種族
rich	富人
rich	富
rich	豐富
rich	富有
anatomia	解剖
anatomia	解剖學
compressione	壓縮
stampato	印刷
stampato	列印
beverly	beverly
stabilimenti	工廠
sposta	動
sposta	移動
armonia	和睦
armonia	和諧
esposte	暴露
esposte	曝光
ripetutamente	反復
ain	ain
devozione	虔誠
devozione	奉獻
meeting	會議
parlata	口語
bestia	野獸
bestia	獸
bestia	怪獸
tattica	戰術
tattica	策略
tattica	戰術
tattica	策略
tattica	戰術
stimato	估計
stimato	預估
maine	緬因州
possedere	擁有
circle	圓形
circle	圓
circle	圓圈
circle	迴圈
circle	圈
draghi	龍
circuiti	電路
circuiti	迴路
circuiti	電路
eye	眼
eye	眼睛
contratti	合約
contratti	合同
landkreis	landkreis
buffalo	水牛城
buffalo	野牛
buffalo	水牛
pam	潘
pam	pam
suddivisi	分裂
sasso	岩
sasso	岩石
sasso	石頭
sasso	rock
sasso	搖滾
lituania	立陶宛
facilità	容易
facilità	輕鬆
facilità	簡單
datazione	約會
furto	竊案
furto	盜竊
furto	打劫
furto	劫
furto	搶劫
furto	失竊
furto	盜竊
furto	偷竊
furto	偷竊
furto	偷
coordinamento	協調
coordinamento	協調
mediterranea	地中海
cabina	船艙
cabina	客艙
cabina	機艙
bennett	bennett
pensieri	想法
pensieri	思想
circo	馬戲團
circo	馬戲
ebreo	猶太人
ebreo	猶太
ebreo	猶太教
ebreo	希伯來
ebreo	希伯來文
locomotiva	機車
locomotiva	火車頭
saluti	問候
bush	布希
progresso	進步
progresso	進度
effettivo	實際
privilegi	特權
privilegi	特權
chip	晶片
esplorazione	探索
esplorazione	勘探
esplorazione	探索
minimi	最少
minimi	最小
village	村
village	鄉村
village	村莊
village	村落
village	村子
reid	reid
proiezione	投射
proiezione	投影
proiezione	預測
proiezione	放映
proiezione	篩選
proiezione	甄別
presunto	據稱
presunto	推定
presunto	假定
pelliccia	皮草
pelliccia	皮草
pelliccia	皮毛
pelliccia	毛皮
firmare	簽名
firmare	簽字
firmare	簽
osaka	大阪
through	透過
through	通過
legioni	軍團
pinna	鰭
pinna	芬
modesto	謙虛
modesto	適度
inutili	無用
bart	bart
omar	omar
cron	cron
trattative	談判
trattative	談判
municipale	市政
muhammad	穆罕默德
muhammad	穆罕默德
bowie	bowie
viktor	viktor
cave	山洞
cave	洞穴
cave	洞
tiziano	tiziano
biologica	生物
biologica	生物學
philipp	philipp
evitando	避免
danneggiato	受損
danneggiato	損壞
danneggiato	損壞
bombardieri	轟炸機
nigeria	奈及利亞
ascolto	聆聽
magazzino	倉庫
magazzino	倉儲
tramonto	夕陽
benz	賓士
reputazione	名譽
reputazione	聲譽
reputazione	名聲
reputazione	信譽
reputazione	聲望
suggerimenti	提示
suggerimenti	小費
suggerimenti	建議
malesia	馬來西亞
costiere	沿海
monasteri	寺院
rebecca	rebecca
wwf	wwf
vancouver	溫哥華
itunes	itunes
denuncia	投訴
denuncia	申訴
lusso	奢侈品
lusso	豪華
lusso	奢華
lusso	奢侈
rigido	僵化
rigido	僵硬
rigido	僵
eccezioni	例外
eccezioni	例外
ragni	蜘蛛
zeus	宙斯
forever	永遠
strange	奇怪
artistici	藝術
hardware	硬體
interessata	興趣
interessata	感興趣
registrate	註冊
pazzo	瘋狂
pazzo	瘋狂
pazzo	瘋
pazzo	瘋了
pazzo	狂人
rana	rana
rana	蛙
rana	青蛙
rana	蛙泳
tonalità	色調
rico	rico
foglia	葉
foglia	葉子
testate	彈頭
deposizione	沈積
tranquillamente	悄悄地
neutrale	中性
neutrale	中立
laboratori	實驗室
laboratori	化驗室
laboratori	實驗室
guai	麻煩
insulti	污辱
insulti	侮辱
insulti	侮辱
self	自我
marty	marty
radicali	激進
radicali	激進派
radicali	激進份子
genetica	遺傳
genetica	遺傳學
genetica	遺傳
nicchia	專長
triangolare	三角形
triangolare	三角
rinnovamento	整修
rinnovamento	翻修
rinnovamento	翻新
rinnovamento	裝修
rinnovamento	修繕
accoglienza	接待
accoglienza	接收
accoglienza	招待會
abbreviato	縮短
procura	代理人
procura	代理
misteri	神秘
misteri	謎團
misteri	謎
sepolcro	墳墓
sepolcro	墓
sepolcro	墓穴
contrasti	反差
scenario	情景
scenario	設想
underground	地下
underground	地底
scarico	用盡
scarico	排氣
scarico	卸貨
scarico	卸
ranger	遊俠
tensioni	張力
miglio	mile
miglio	小米
muscoli	肌肉
muscoli	肌
muscoli	肌肉
isolato	絕緣
isolato	隔熱
isolato	孤立
isolato	隔離
isolato	孤立
isolato	與世隔絕
doppietta	獵槍
piscina	撞球
piscina	池
piscina	游泳池
piscina	泳池
lezione	教訓
lezione	課
inventato	發明
eccessivo	過度
benefici	福利
utenze	水電費
torretta	炮塔
nebulosa	星雲
controlli	支票
controlli	控制
controlli	管制
galileo	伽利略
icona	圖示
capolavoro	傑作
pretty	漂亮
contest	比賽
contest	競賽
indagare	調查
suzuki	鈴木
global	全球
ennio	ennio
certificato	認證
certificato	憑證
certificato	證書
virgin	處女
interrompere	中止
avanzato	先進
notturno	夜行
paula	paula
ricorrente	上訴人
ricorrente	經常性
fenice	鳳
fenice	鳳凰
jose	jose
satelliti	衛星
satelliti	衛星
originari	源於
mancato	錯過
azzurri	blue
azzurri	藍
azzurri	藍色
montréal	蒙特婁
carrello	電車
carrello	籃
carrello	籃子
carrello	手推車
esami	考試
esami	考試
esami	考試
forno	爐
forno	爐子
forno	火爐
forno	熔爐
forno	窯
forno	爐
forno	烤爐
forno	烤箱
fossa	坑
gerald	gerald
consensuale	合意
designato	指定
designato	提名
parallele	並行
parallele	平行
beethoven	貝多芬
champion	冠軍
alabama	阿拉巴馬
alabama	阿拉巴馬州
solari	太陽
solari	太陽能
innovazione	革新
innovazione	創新
portoghesi	葡萄牙語
portoghesi	葡萄牙
danubio	多瑙河
tasse	稅務
tasse	稅收
tasse	稅
tasse	稅款
tasse	費用
tasse	收費
tasse	手續費
orizzonte	地平線
curve	曲線
curve	曲線
sinceramente	真誠
pascal	pascal
tennessee	田納西州
tennessee	田納西
frequenze	頻率
frequenze	頻率
analoga	類比
analoga	類似
analoga	相似
dorato	golden
dorato	黃金
dorato	金色
plus	加上
plus	加
julius	julius
cristalli	水晶
cristalli	晶體
cristalli	水晶
cristalli	crystal
cristalli	晶體
ellen	ellen
calma	平靜
mccartney	mccartney
jin	金
jin	晉
jin	仁
jin	jin
transito	過境
dts	dts
maltese	馬耳他
lance	lance
lance	長矛
lance	長矛
lance	spears
prezioso	珍貴
prezioso	珍寶
prezioso	寶貴
valuta	貨幣
valuta	幣值
budget	預算
budget	預算
innocenti	無辜
armonica	調和
armonica	諧波
armonica	口琴
favorito	最愛
favorito	喜愛
tomo	tomo
autobiografia	自傳
dreams	夢
dreams	夢境
dreams	夢想
htm	ppa
proiettile	子彈
proiettile	彈頭
socialisti	社會主義
casalinga	主婦
acquistata	購買
vigilia	夏娃
vigilia	eve
repressione	壓迫
repressione	打壓
repressione	鎮壓
repressione	壓制
repressione	鎮壓
champagne	香檳酒
champagne	香檳
elementari	初等
inganno	欺騙
macchie	污點
macchie	染色
macchie	污點
macchie	斑點
insegnamenti	教義
insegnamenti	教導
jung	鄭
investimenti	投資
investimenti	投資
paesaggi	景觀
eletta	當選
tina	tina
boom	繁榮
janet	janet
frate	修士
pratico	實用
allegro	開朗
suggerito	推薦
huber	huber
spina	插頭
natural	自然
natural	天然
apprendimento	學習
apprendimento	學
pacchetto	封包
pacchetto	包裝
pacchetto	包
pacchetto	包裹
ascoltare	聆聽
emozioni	情感
emozioni	感情
emozioni	情緒
emozioni	興奮
emozioni	情感
emozioni	感情
emozioni	情緒
prevalenza	發病率
mercoledì	週三
mercoledì	星期三
vacanze	假期
vacanze	假日
vacanze	節假日
vacanze	節日
palo	竿
palo	鋼管
luminosità	亮度
luminosità	亮度
percezione	感知
percezione	知覺
percezione	感知
omosessualità	lgbt
omosessualità	同性戀
spirit	精神
scatola	箱
scatola	框
scatola	盒
scatola	盒子
scatola	方框
mercury	水星
mercury	水銀
mercury	汞
triste	悲哀
triste	悲傷
triste	傷心
triste	難過
intelligence	智慧
intelligence	情報
intelligence	智力
ncaa	ncaa
preside	校長
preside	dean
preside	校長
etnica	族裔
raf	raf
sospensioni	停職
sospensioni	暫停
portali	門戶
manfredi	manfred
nervoso	緊張
identico	相同
condannati	判刑
condannati	定罪
condannati	注定
pazienza	耐心
pazienza	忍耐
pazienza	耐性
stage	實習
stage	實習
stage	舞台
stage	階段
chase	追
chase	大通
chase	追逐
born	生於
born	誕生
born	出生
born	天生
scambi	交易所
scambi	交流
stark	stark
muscolo	肌
muscolo	肌肉
integrata	整合
fazioni	各派
fazioni	派系
conversazione	對話
convenzioni	公約
gomma	橡膠
gomma	橡皮
gomma	橡皮擦
gomma	橡皮
gomma	膠
gomma	口香糖
pensando	思維
pensando	思考
plurale	多元
plurale	複數
britannia	不列顛
letterari	文學
crazy	瘋狂
crazy	瘋
crazy	瘋了
cattiva	壞
kenya	肯亞
jet	噴射
jet	噴氣
epidemia	暴發
epidemia	爆發
epidemia	流行病
maratona	馬拉松
motta	motta
entusiasmo	熱心
entusiasmo	熱情
entusiasmo	熱心
infezione	傳染
infezione	感染
novella	中篇小說
demolizione	拆毀
demolizione	拆除
zur	zur
élite	精英
élite	elite
ferri	熨斗
carlotta	charlotte
pirata	海盜
commedie	喜劇
drake	drake
socialismo	社會主義
estremi	極端
heroes	英雄
schneider	schneider
telescopio	望遠鏡
zombie	殭屍
zombie	僵屍
zombie	僵屍
bere	飲酒
bere	喝
bere	喝酒
miracoli	奇蹟
miracoli	奇跡
miracoli	奇蹟
miracoli	奇跡
eagle	鷹
eagle	老鷹
eagle	雕
eagle	鵰
nani	矮人
nani	矮
nani	侏儒
nani	矮星
sally	莎莉
sally	sally
mobilità	調動
mobilità	流動
mobilità	流動性
presentati	提交
promesse	諾言
promesse	承諾
promesse	允諾
promesse	許諾
promesse	誓言
promesse	誓詞
umidità	水分
umidità	濕度
umidità	潮濕
umidità	濕度
nascosta	隱藏
normanni	諾曼
once	盎司
once	一次
once	一旦
dov	dov
fabbri	fabbri
prototipi	原型
prototipi	原型
immigrati	移民
validità	有效性
lotto	批次
lotto	分批
rossini	rossini
utah	猶他州
utah	猶他
sintetico	合成
tiger	虎
tiger	老虎
pene	陰莖
elicotteri	直升機
elicotteri	直升飛機
elicotteri	直升機
elicotteri	直升飛機
complotto	密謀
complotto	陰謀
complotto	劇情
complotto	共謀
complotto	陰謀
before	以前
before	前
before	之前
polacchi	極地
insegnanti	教師
valeria	valerie
esercizi	演習
comunica	溝通
ammirare	欣賞
dipendenze	依賴
dipendenze	扶養
dipendenze	依賴性
dipendenze	上癮
dipendenze	毒癮
dipendenze	癮
ricky	ricky
cartagine	迦太基
banchiere	莊
joshua	joshua
esatta	精確
touch	touch
touch	摸
touch	觸碰
touch	觸控
touch	觸動
spirale	螺旋
prestigioso	聲望
solenne	莊嚴
piste	山坡
piste	斜坡
vietato	禁止
vietato	禁
vietato	禁止
vietato	違禁
vietato	禁忌
sostenuta	持續
rispetta	尊敬
rispetta	尊重
cilindro	缸
irlandesi	愛爾蘭
posa	姿勢
posa	鋪設
rimanenti	剩餘
cugina	表姐
cugina	表妹
cugina	表弟
cugina	表哥
migliorata	改進
migliorata	改善
migliorata	改良
peggiore	最糟糕
peggiore	最壞
peggiore	最糟
account	帳號
account	帳戶
imbarcazioni	船隻
imbarcazioni	艇
sopravvissuto	生還者
sopravvissuto	幸存者
restauri	修復
restauri	恢復
restauri	復原
police	警方
police	警務
police	警察
efficiente	高效
efficiente	有效率
eccesso	過剩
eccesso	過量
eccesso	超額
eccesso	多餘
delfino	delfino
delfino	海豚
still	仍然
still	依然
introdurre	引入
risorgimento	risorgimento
berna	伯爾尼
living	生活
cattolicesimo	天主教
borghi	鄉村
borghi	村莊
sapendo	明知
christine	christine
illustrazioni	插圖
opus	opus
germain	germain
paperino	donald
indossare	戴
indossare	穿
complesse	複雜
delitti	罪行
delitti	犯罪
rinforzi	援軍
rinforzi	增援
rinforzi	備用
rinforzi	後援
rinforzi	支援
rinforzi	備份
rinforzi	後備
funghi	香菇
funghi	蘑菇
funghi	真菌
funghi	香菇
funghi	蘑菇
turbo	渦輪
scenografia	風景
domina	主宰
conservare	店
conservare	商店
giuramento	宣誓
giuramento	誓
giuramento	誓言
giuramento	誓詞
adolescente	青少年
adolescente	少年
adolescente	青少年
adolescente	青春期
debiti	債務
debiti	債務
consistenza	紋理
consistenza	一致性
consistenza	連貫性
consistenza	一貫性
sparisci	消失
dimenticato	遺忘
diacono	執事
diciotto	十八
matrimoni	婚禮
matrimoni	婚姻
matrimoni	婚禮
ingegneri	工程師
stampo	模具
nemica	敵軍
nemica	敵方
nemica	敵
nemica	敵人
redattore	編輯
sorveglianza	監督
sorveglianza	監視
retrocesso	降職
retrocesso	降級
abolizione	廢除
abolizione	裁撤
drama	電視劇
drama	劇情
drama	戲劇
drama	劇
grammatica	文法
grammatica	語法
seriamente	認真
totò	多多
lenta	緩慢
lenta	慢
bordi	邊界
bordi	邊框
bordi	邊境
bordi	邊緣
bordi	邊緣
rue	rue
derivazione	推導
hand	手
visconte	子爵
fibra	纖維
fibra	纖維
vaso	花瓶
imprigionato	囚禁
essenziali	必需品
convinzione	信仰
convinzione	判罪
convinzione	信念
convinzione	定罪
meccaniche	機械
timore	恐懼
viaggiare	旅行
viaggiare	旅費
viaggiare	旅遊
viaggiare	旅行
viaggiare	旅行
viaggiare	旅遊
zoo	動物園
zoo	動物園
chimiche	化學
chimiche	化學品
noah	noah
noah	諾亞
scadenza	成熟
scadenza	到期
scadenza	限期
scadenza	期限
scadenza	到期
proteina	蛋白質
proteina	蛋白
cia	cia
cia	cla
desideri	願望
desideri	慾望
desideri	願望
desideri	祝願
desideri	願望
desideri	祝願
desideri	慾望
rituale	儀式
flying	飛
flying	飛翔
flying	飛行
logico	邏輯
logico	邏輯
pericolosa	危險
pericolosa	危險性
irregolare	不規則
condiviso	共用
condiviso	共享
condiviso	分享
vena	血管
vena	靜脈
voivodato	省
middle	中間
legislazione	立法
acuto	急性
acuto	尖銳
restaurazione	修復
restaurazione	恢復
restaurazione	復原
ride	乘車
ride	騎馬
ride	騎
sensazione	感受
sensazione	感覺
malvagio	惡
malvagio	邪惡
malvagio	邪惡
matilde	matilde
matilde	maud
matilde	matilda
federica	jennifer
islamico	伊斯蘭
legittimo	合法
limitare	限制
limitare	上限
limitare	極限
limitare	限
limitare	限額
transetto	transept
interi	整數
spesa	花費
spesa	支出
macedone	馬其頓
farfalla	蝴蝶
crash	崩潰
crash	撞車
crash	墜毀
crash	撞車
mica	雲母
mica	mica
cessione	撤資
serbatoio	坦克
serbatoio	水庫
serbatoio	水塘
ammasso	集群
teen	青少年
teen	少年
domingo	domingo
proprietaria	所有者
proprietaria	業主
seul	漢城
custodia	保管
custodia	監護
custodia	羈押
miscela	混合物
miscela	混合
consecutiva	連續
lions	獅子
casino	賭場
pittrice	畫師
pittrice	畫家
tropicale	熱帶
paradise	天堂
paradise	樂園
fly	飛
fly	蒼蠅
fly	飛翔
triple	三重
controversie	爭端
controversie	糾紛
controversie	爭議
controversie	爭議
controversie	爭論
controversie	爭議
impegni	承諾
shin	申
shin	shin
chance	機會
romolo	romulus
fabbriche	工廠
consapevole	自覺
follia	瘋狂
mosè	摩西
giudicare	法官
giudicare	判斷
giudicare	評判
buddhismo	佛教
mole	痣
mole	鼴鼠
mole	摩爾
ventre	肚子
ventre	肚皮
correlati	相關
abitudine	習慣
riscaldamento	暖氣
riscaldamento	供暖
riscaldamento	加熱
distribuite	分布
peace	平安
peace	和平
custode	守護神
custode	守護者
custode	守護
custode	監護人
enrique	enrique
acquista	購買
acquista	買
fluido	液體
fluido	液
fluido	流體
mystery	神秘
mystery	謎團
mystery	謎
buddha	菩薩
buddha	佛
buddha	佛祖
sudan	蘇丹
sterline	磅
aperture	光圈
aperture	孔徑
annullamento	取消
figc	figc
contenitore	容器
contenitore	貨櫃
polare	極
polare	極地
mosaico	馬賽克
samantha	samantha
gerardo	gerardo
sodio	鈉
casuale	隨機
casuale	休閒
fascisti	法西斯
mont	蒙特
mont	蒙
notti	夜晚
notti	夜
rubare	偷
rubare	偷竊
rubare	偷
fbi	fbi
puramente	純粹
balletto	芭蕾
balletto	芭蕾舞
vesti	裙
vesti	裙子
vesti	禮服
magna	magna
prevenire	防止
prevenire	防止
bestiame	牲畜
bestiame	畜牧
bestiame	牛
risveglio	覺醒
risveglio	曙光
risveglio	破曉
editor	編輯
bass	低音
bass	bass
corridoio	走廊
corridoio	走廊
corridoio	走道
paraguay	巴拉圭
funerale	葬禮
funerale	喪葬
funerale	喪禮
mon	mon
aia	海牙
generation	一代
generation	世代
bandiere	旗幟
bandiere	國旗
bandiere	旗
bandiere	旗子
bandiere	旗幟
bandiere	旗
bandiere	旗子
ciro	ciro
strutturale	結構
tram	電車
tram	電車
celebrazioni	慶典
celebrazioni	慶祝
approfondire	加深
approfondire	深化
dinosauri	恐龍
dinosauri	恐龍
africani	非洲
verticali	垂直
verticali	縱向
elica	螺旋槳
elica	螺旋
celebra	慶祝
botte	槍管
botte	桶
hernández	hernández
galassie	星系
galassie	銀河
galassie	星系
galassie	galaxy
galassie	銀河系
difetti	斷層
difetti	瑕疵
difetti	缺陷
difetti	瑕疵
difetti	缺點
difetti	缺陷
difetti	瑕疵
difetti	缺陷
difetti	缺陷
identica	相同
canone	費用
canone	收費
canone	費
canone	手續費
symphony	交響曲
symphony	交響樂
symphony	交響樂團
tendenze	傾向
campus	校區
campus	校園
degno	值得
alive	活著
prevenzione	預防
preziosi	珍貴
preziosi	珍寶
preziosi	寶貴
perfect	完美
superiorità	優越感
superiorità	優越性
superiorità	優越
superiorità	優勢
risonanza	共振
risonanza	mri
somiglianza	相似
somiglianza	相似
segnalazioni	提醒
segnalazioni	警示
capitali	資本
capitali	首都
moschea	清真寺
solidarietà	聲援
solidarietà	團結
equipaggiamento	裝備
concept	構想
concept	概念
concept	理念
inside	內在
inside	裡面
inside	內心
inside	內部
luogotenente	中尉
marittimo	海事
ridotti	減少
feudale	封建
perfezione	完美
perfezione	完善
moti	動議
espressi	快車
espressi	明示
espressi	express
espressi	特快
melodia	旋律
melodia	調
pagano	異教徒
pagano	異教
acidi	酸
acidi	酸
acidi	酸性
casella	箱
casella	框
casella	盒
casella	盒子
casella	方框
miele	蜂蜜
cime	峰
avanzare	推進
pierce	pierce
osservatori	觀察員
osservatori	觀測站
osservatori	天文台
osservatori	觀察員
maledizione	詛咒
maledizione	咒
midnight	半夜
midnight	午夜
scavo	挖掘
scavo	發掘
scavo	挖
atlante	atlas
progressiva	漸進
progressiva	逐漸
progressiva	逐步
progressiva	漸進
progressiva	進步
progressiva	累進
progressiva	逐步
rivelare	揭露
rivelare	揭示
tracy	tracy
filtro	篩選
filtro	濾波器
filtro	過濾
filtro	過濾器
raffreddamento	冷卻
raffreddamento	制冷
prestigiosa	聲望
mhz	兆赫
mhz	mhz
somme	金額
ebraismo	猶太人
ebraismo	猶太
ebraismo	猶太教
ebraismo	猶太教
individuato	斑點
around	圍繞著
around	圍繞
around	周圍
formaggio	乳酪
formaggio	乾酪
conservatore	保守派
conservatore	保守
rinnovato	裝修
rinnovato	翻新
rinnovato	翻修
ultra	超
dipartimenti	各部門
mouse	滑鼠
mouse	鼠
povera	窮
drew	drew
arnaldo	arnaldo
lotus	lotus
lotus	蓮花
lotus	蓮
positive	積極
positive	正面
positive	陽性
solitario	孤單
solitario	寂寞
solitario	孤獨
contingente	配額
contingente	定額
contingente	限額
contingente	特遣隊
cicli	週期
leggendario	傳奇
rodrigo	rodrigo
antenati	祖先
antenati	祖先
inserendo	插入
fresco	新鮮
fresco	清新
batteri	細菌
fast	快速
biologico	生物
biologico	生物學
biologico	有機
snow	下雪
snow	雪
snow	snow
alexandra	alexandra
rifornimenti	供應
rifornimenti	用品
vegetale	蔬菜
autorevoli	權威性
autorevoli	權威
sts	sts
why	為何
why	為甚麼
why	為什麼
yves	yves
pianificazione	規劃
moreno	moreno
brand	品牌
vanessa	vanessa
miglioramenti	改進
miglioramenti	改善
miglioramenti	改良
miglioramenti	強化
miglioramenti	加強
miglioramenti	增強
miglioramenti	改進
miglioramenti	改善
miglioramenti	改良
esposizioni	展覽
esposizioni	展覽會
esposizioni	照射
giungla	叢林
genealogia	家譜
ammissione	接納
ammissione	錄取
ammissione	招生
ammissione	入學
patrizia	patrick
patrizia	patricia
adamo	adam
adamo	亞當
xls	xls
accettata	接受
pascoli	放牧
pascoli	牧場
pascoli	牧草
valenza	valencia
buco	孔洞
buco	洞口
buco	孔
buco	洞
