oferind	προσφέροντας
pasare	μπερντ
pasare	πουλί
pasare	πτηνό
pasare	μπερντ
pasare	πουλί
pasare	πτηνό
ocazional	περιστασιακή
ocazional	περιστασιακά
ocazional	περιστασιακές
ocazional	περιστασιακά
dedesubt	κατωτέρω
dedesubt	κάτω
dedesubt	παρακάτω
dedesubt	κατω
atei	άθεοι
fundul	πισινό
fundul	κώλο
stadiul	στάδιο
springs	ελατήρια
springs	σπρινγκς
detaliate	λεπτομερείς
detaliate	λεπτομερές
detaliate	λεπτομερής
detaliate	λεπτομερή
estimat	εκτιμώμενη
estimat	εκτιμώμενο
derivate	παράγωγα
derivate	παράγωγο
liban	λίβανος
liban	λίβανο
scaune	καρέκλες
scaune	έδρες
scaune	καθίσματα
scaune	θέσεις
béla	μπίλα
regii	βασιλιάδες
regii	βασιλείς
regii	βασιλέων
regii	κινγκς
emma	έμμα
emma	έμα
emma	εμα
doyle	doyle
doyle	ντόιλ
efectuarea	φτιάχνοντας
efectuarea	κάνοντας
organe	όργανο
surori	αδερφές
surori	αδελφές
goethe	γκαίτε
cazimir	casimir
eforturi	προσπάθειες
bobby	μπόμπι
bobby	μπόμπυ
ring	δακτύλιο
ring	ρινγκ
ring	δακτύλιος
ring	δαχτυλίδι
sever	σοβαρή
faze	φάσεις
faze	στάδια
pielea	δέρμα
pielea	πετσί
pielea	δερμα
abordare	προσέγγιση
vorbind	μιλώντας
bretagne	bretagne
mina	μίνα
mina	mina
mina	χέρι
pactului	σύμφωνο
cameron	κάμερον
revistele	περιοδικά
decisiv	αποφασιστική
decisiv	αποφασιστικός
decisiv	αποφασιστικό
decisiv	καθοριστική
decisiv	καθοριστικό
salbatice	αγρια
salbatice	άγρια
salbatice	άγριος
salbatice	άγριο
salbatice	άγριες
definitia	ορισμός
stins	ξεθωριάσει
averea	πλούτος
averea	πλούτο
averea	πλούτη
dati	δώστε
dati	δώσε
tinta	στόχο
tinta	στόχος
tinta	target
tinta	στόχευση
tinta	στόχο
tinta	στόχος
tinta	target
tinta	στόχευση
comunitatile	κοινότητες
nenumarate	αμέτρητες
nenumarate	αμέτρητα
nenumarate	αμέτρητες
nenumarate	αμέτρητα
vanzare	πώληση
vanzare	πώληση
cunostinta	γνωριμία
cunostinta	γνωστός
cunostinta	γνωριμία
cunostinta	γνωστός
varul	ξαδέρφη
varul	ξάδελφος
mer	μερ
automata	αυτόματο
automata	αυτόματη
automata	αυτόματος
automata	αυτόματες
automata	αυτόματα
refugiati	πρόσφυγες
refugiati	πρόσφυγες
fereastra	παράθυρο
fereastra	παράθυρο
rector	πρύτανης
propaganda	προπαγάνδα
propaganda	προπαγάνδα
dominat	κυριάρχησε
creasca	μεγαλώνουν
rebel	επαναστάτης
rebel	επαναστάτη
ccd	ccd
lantul	αλυσίδα
lantul	αλυσίδες
uruguay	ουρουγουάης
uruguay	ουρουγουάη
pascal	πασκάλ
iugoslaviei	γιουγκοσλαβία
iugoslaviei	γιουγκοσλαβίας
damian	ντέμιαν
roll	roll
roll	ρολό
preluarea	εξαγορά
preluarea	κατάληψη
judecator	δικαστής
judecator	δικαστή
judecator	κριτής
judecator	δικαστής
judecator	δικαστή
judecator	κριτής
semneaza	σημάδι
semneaza	υπόγραψε
semneaza	σημάδι
semneaza	υπόγραψε
palermo	παλέρμο
hugh	χιου
hugh	χιού
hugh	hugh
termica	θερμική
termica	θερμικές
laos	λάος
argumentele	επιχειρήματα
argumentele	επιχειρηματολογία
fir	σύρματα
fir	καλώδιο
fir	σύρμα
fir	νήμα
fir	κλωστή
legiunea	λεγεώνα
chip	τσιπ
prefect	νομάρχης
localizata	εντοπίστηκε
triburile	φυλές
mon	mon
mon	μον
lisa	λίζα
lisa	λίσα
lisa	lisa
platoul	οροπέδιο
jpg}}	jpg}}
pasarile	πουλιά
pasarile	πτηνά
pasarile	πουλιά
pasarile	πτηνά
arcul	τόξο
arcul	υπόκλιση
square	τετράγωνο
square	πλατεία
doc	doc
doc	ντοκ
incet	αργά
call	καλέστε
call	κλήση
call	κάλεσε
cerul	ουρανού
cerul	ουρανός
cerul	ουρανό
cerul	sky
cerul	σκάι
esentiale	απαραίτητος
esentiale	ουσιώδης
esentiale	απαραίτητο
esentiale	ουσιώδες
transferul	μεταφορά
transferul	μετάθεση
transferul	μεταβίβαση
creatorul	δημιουργού
creatorul	δημιουργός
creatorul	δημιουργό
companiile	εταιρίες
companiile	εταιρείες
silvia	σίλβια
silvia	σύλβια
silvia	σίλβια
silvia	σύλβια
gibson	γκίμπσον
inconjurata	περικυκλωμένος
inconjurata	περικυκλωμένοι
viktor	βίκτορ
viktor	βίκτωρ
babes	μωρά
babes	μωρά
adulti	ενηλίκων
adulti	ενήλικοι
adulti	ενήλικες
adulti	ενήλικο
adulti	ενήλικας
adulti	ενήλικα
adulti	ενήλικος
adulti	ενήλικες
adulti	ενηλίκων
adulti	ενηλίκων
adulti	ενήλικοι
adulti	ενήλικες
nivele	βαθμίδες
nivele	επίπεδα
atribuita	απέδωσε
atribuita	αποδόθηκε
atribuita	αποδίδεται
wood	ξύλο
wood	ξυλεία
abc	abc
geo	geo
coordonatele	συντεταγμένες
johan	γιόχαν
santos	santos
santos	σάντος
gif	gif
armament	οπλισμό
armament	εξοπλισμών
credit	πιστωτική
credit	πίστωση
credit	credit
marcand	βαθμολόγησης
visul	ονειρο
visul	όνειρο
visul	dream
visul	όνειρα
eddie	eddie
eddie	έντι
eddie	έντυ
intreprinderi	επιχειρήσεις
intreprinderi	επιχειρήσεις
mir	μιρ
entitati	οντοτήτων
entitati	οντότητες
pescuit	αλιεία
pescuit	αλιείας
pescuit	αλιεία
pescuit	ψάρεμα
pescuit	αλιείας
proportie	αναλογία
opozitia	αντιπολίτευσης
opozitia	αντίθεση
opozitia	αντιπολίτευση
jorge	χόρχε
atribuite	απέδωσε
atribuite	αποδόθηκε
atribuite	αποδίδεται
bursa	υποτροφία
bursa	προύσα
bursa	υποτροφία
etaje	όροφοι
etaje	πατώματα
etaje	ορόφους
dragomir	ντράγκομιρ
reciproc	αμοιβαία
reciproc	αμοιβαίο
extra	έξτρα
extra	extra
avansate	προηγμένη
avansate	προχωρημένο
avansate	προχωρημένη
avansate	προηγμένο
trenuri	τραίνα
trenuri	τρένα
trenuri	αμαξοστοιχίες
antena	πιάτο
antena	κεραία
antena	κεραία
umbra	σκιά
umbra	σκιά
umbra	απόχρωση
umbra	σκιά
umbra	σκιά
umbra	απόχρωση
vocala	φωνήεν
vocala	φωνήεν
omorat	δολοφονήθηκε
omorat	δολοφονήθηκαν
omorat	δολοφόνησε
omorat	σκότωσε
omorat	σκοτώθηκε
omorat	σκοτώθηκαν
marturii	μαρτυρίες
marturii	μαρτυρίες
marturii	κατάθεση
marturii	μαρτυρία
aaron	ααρών
aaron	aaron
aaron	άαρον
falls	πτώσεις
falls	καταρράκτες
falls	φολς
falls	πέφτει
paraná	παρανά
transformare	μεταμόρφωση
academica	ακαδημαϊκή
academica	ακαδημαϊκά
academica	ακαδημαϊκό
promoveaza	προωθήστε
promoveaza	προώθηση
promoveaza	ώθηση
promoveaza	τόνωση
promoveaza	προωθήστε
digitale	ψηφιακό
digitale	ψηφιακά
digitale	ψηφιακή
digitale	ψηφιακές
digitale	digital
abbas	αμπάς
grafic	γραφική
grafic	γράφημα
grafic	διάγραμμα
grafic	γραφικό
grafic	γραφικά
grafic	γράφημα
grafic	διάγραμμα
antrenori	προπονητές
antrenori	εκπαιδευτές
antrenori	εκπαιδευτών
contul	account
contul	λογαριασμός
contul	λογαριασμό
pedeapsa	ποινή
pedeapsa	πέναλτι
pedeapsa	τιμωρία
pedeapsa	ποινή
pedeapsa	πέναλτι
pedeapsa	τιμωρία
mei	μέι
sevilla	sevilla
sevilla	σεβίλλη
sevilla	σεβίλλη
domnule	κύριε
definite	ορίζεται
definite	καθορισμένα
definite	καθορισμένη
definite	καθορισμένο
pauza	παύση
pauza	διάλειμμα
pauza	σπάσε
pauza	διακοπή
pauza	σπάσιμο
pauza	διάλειμμα
pauza	σπάσε
pauza	διακοπή
pauza	σπάσιμο
pauza	παύση
allan	άλαν
seminarul	σεμινάριο
globala	παγκόσμια
globala	global
globala	παγκόσμιο
torre	torre
conan	κόναν
brescia	brescia
sarcini	καθήκοντα
circuitul	κύκλωμα
infrant	ηττήθηκε
infrant	νίκησε
hrusciov	χρουστσόφ
ferrara	φεράρα
string	χορδή
julian	τζούλιαν
julian	julian
mandatului	εντολή
collins	collins
collins	κόλλινς
collins	κόλινς
ontario	οντάριο
valoroase	πολύτιμος
valoroase	πολύτιμο
valoroase	πολύτιμες
valoroase	πολύτιμη
manifestat	εκδηλώνεται
manifestat	εκδηλώθηκε
pianist	πιανίστα
pianist	πιανίστας
reclama	εμπορική
reclama	διαφήμιση
tong	τονγκ
comunicatii	επικοινωνιών
comunicatii	επικοινωνίες
comunicatii	επικοινωνία
manga	manga
electorala	εκλογική
indo	ινδο
marketing	marketing
marketing	μάρκετινγκ
marketing	εμπορία
montreal	μόντρεαλ
ribbentrop	ρίμπεντροπ
scade	μείωση
scade	ελάττωση
ton	τόνου
ton	τόνο
ton	τόνος
ton	τόνο
ton	τόνος
cheia	κλειδί
cheia	πλήκτρο
cheia	κλείδα
britannica	μπριτάνικα
romanov	ρομανόφ
vidin	βιντίν
mecanice	μηχανικά
mecanice	μηχανικό
ascunde	απόκρυψη
ascunde	κρύψει
mobil	mobile
mobil	κινητό
mobil	κινητή
mobil	κινητά
sean	σον
sean	sean
sean	σων
schi	σκι
schi	σκι
fondarea	ιδρυτικό
fondarea	ίδρυση
depozite	αποθήκες
depozite	καταθέσεις
maplandia	maplandia
aeroport	αεροδρόμιο
aeroport	αερολιμένας
talentul	ταλέντο
talentul	ταλέντα
oklahoma	οκλαχόμα
terestra	επίγεια
permisiunea	άδεια
permisiunea	αδεια
bernhard	bernhard
nepoata	εγγονή
nepoata	ανιψιά
nepoata	ανηψιά
nepoata	εγγονή
nepoata	ανιψιά
nepoata	ανηψιά
batut	χτυπημένο
batut	χτυπημένος
batut	χτυπημένο
batut	χτυπημένος
pragul	κατώφλι
oua	αβγά
oua	αυγά
oua	αβγά
oua	αυγά
aristotel	αριστοτέλη
alpha	alpha
alpha	άλφα
alpha	αλφα
atlético	ατλέτικο
sprijina	υποστηρίζει
sprijina	στηρίγματα
tiparita	τυπωμένο
tiparita	τυπωμένα
rica	ρίκα
imnul	ύμνος
imnul	ύμνο
chirurgie	χειρουργική
chirurgie	εγχείρηση
chirurgie	χειρουργείο
afecta	επηρεάσει
afecta	επηρεάζουν
madison	μάντισον
icoana	εικονίδιο
icoana	είδωλο
amy	amy
amy	έιμυ
amy	έιμι
klaus	κλάους
klaus	klaus
adriana	αντριάνα
pasi	σκαλιά
pasi	στάδια
pasi	σκαλοπάτια
pasi	βήματα
pasi	βαθμίδες
pasi	βήματα
pasi	σκαλιά
pasi	στάδια
pasi	σκαλοπάτια
pasi	βήματα
pasi	βαθμίδες
spatial	χωρικών
legislatia	νομοθεσία
butler	μπάτλερ
discutat	συζητήθηκε
discutat	συζήτησε
inutil	ανούσιο
inutil	άσκοπο
inutil	άσκοπη
inutil	άχρηστο
inutil	άχρηστη
inutil	ανώφελο
inutil	άχρηστος
inutil	χρηστος
rolling	κύλισης
explicatie	επεξήγηση
explicatie	εξήγηση
explicatie	επεξήγηση
explicatie	εξήγηση
ritm	ρυθμός
ritm	ρυθμό
hudson	χάντσον
nori	συννεφιά
nori	σύννεφα
edmund	έντμουντ
edmund	έντμοντ
mercedes	mercedes
mercedes	μερσέντες
mercedes	μερσεντές
intelectuali	διανοούμενοι
intelectuali	πνευματική
intelectuali	διανοητική
proprietari	ιδιοκτήτες
proprietari	κάτοχοι
protejat	προστατεύεται
protejat	προστατευμένο
protejat	προστατευμένη
protejat	προστατευόμενων
protejat	προστατευμένος
ronald	ρόναλντ
alin	alin
colective	συλλογική
colective	συλλογικό
colective	συλλογικά
colective	συλλογικές
popularitate	δημοτικότητα
gandit	σκέψη
homo	χόμο
homo	γκέι
homo	ομοφυλόφιλος
homo	gay
castle	καστρο
castle	κάστρο
castle	castle
droguri	ναρκωτικά
droguri	πρέζα
droguri	φάρμακο
droguri	ναρκωτικό
droguri	ναρκωτικών
willem	willem
executie	εκτέλεση
executie	εκτέλεση
jucand	παίζοντας
jucand	παίξιμο
jucand	παίζω
jucand	παίζει
intervenit	παρενέβη
generat	παραγόμενα
generat	παράγεται
succese	επιτυχίες
succese	επιτυχής
succese	επιτυχία
bratislava	μπρατισλάβα
damasc	δαμασκό
nuvela	μυθιστόρημα
nuvela	νουβέλα
nuvela	novella
nuvela	novella
card	κάρτα
reformei	μεταρρύθμιση
reformei	αναμόρφωση
reformei	μεταρρυθμίσεις
necunoscute	άγνωστη
necunoscute	άγνωστα
necunoscute	άγνωστος
necunoscute	άγνωστο
filipine	φιλιππίνες
secundara	δευτερεύον
secundara	δευτεροβάθμια
secundara	δευτερεύουσα
carabus	carabus
promis	υποσχέθηκε
rin	ριν
rin	ρήνου
rin	ρήνο
incident	περιστατικό
incident	συμβάν
semnificatia	σημασία
plecare	αποχώρηση
plecare	αναχώρηση
memorii	απομνημονεύματα
memorii	απομνημονεύματα
gandire	σκέψης
gandire	σκέψη
identificate	αναγνωρίστηκε
vladimirescu	βλαντιμιρέσκου
anatomia	ανατομία
farmacie	φαρμακείο
farmacie	φαρμακείο
biti	bit
rightarm	rightarm
mexican	μεξικάνικο
mexican	μεξικάνος
five	five
five	πεντε
five	πέντε
portrete	πορτρέτα
pictate	βαμμένα
pictate	βαμμένη
pictate	ζωγράφισε
aleksandr	αλεξάντρ
parcuri	παρκς
parcuri	πάρκα
pozitiva	θετικές
pozitiva	θετικά
pozitiva	θετικός
pozitiva	θετικό
pozitiva	θετική
tiparit	τυπωμένο
tiparit	τυπωμένα
sangele	αίμα
sangele	blood
marchiz	μαρκήσιος
yemen	υεμένης
yemen	υεμένη
cantand	τραγουδάει
cantand	τραγουδάμε
cantand	τραγούδι
cantand	τραγουδώντας
cantand	τραγουδούν
cantand	τραγουδάει
cantand	τραγουδάμε
cantand	τραγούδι
cantand	τραγουδώντας
cantand	τραγουδούν
stiluri	στυλ
stiluri	στάιλς
norvegian	νορβηγική
norvegian	νορβηγικό
norvegian	νορβηγικές
norvegian	νορβηγικά
impuscat	βολή
impuscat	πυροβόλησε
impuscat	σουτ
impuscat	πυροβολήθηκε
impuscat	πυροβολισμός
impuscat	βολή
impuscat	πυροβόλησε
impuscat	σουτ
impuscat	πυροβολήθηκε
impuscat	πυροβολισμός
salbatica	αγρια
salbatica	άγρια
salbatica	άγριος
salbatica	άγριο
salbatica	άγριες
teama	φόβος
teama	φόβο
teama	φόβος
teama	φόβο
statui	αγάλματα
sambata	σάββατο
sambata	σάββατο
sambata	σάββατα
sambata	σάββατο
sambata	σάββατο
profesionisti	επαγγελματίες
profesionisti	επαγγελματίες
irlandez	ιρλανδικά
irlandez	ιρλανδοί
irlandez	ιρλανδική
irlandez	irish
irlandez	ιρλανδός
consilieri	συμβούλους
consilieri	σύμβουλοι
consilieri	σύμβουλοι
consilieri	σύμβουλοι
bunica	γιαγιά
bunica	γιαγιά
bunica	γιαγιά
bunica	γιαγιά
bunica	γιαγιά
lituaniei	λιθουανίας
lituaniei	λιθουανία
limitate	limited
limitate	περιορισμένη
limitate	περιορισμένα
limitate	περιορισμένο
limitate	περιορισμένος
pereti	τοίχους
pereti	τείχη
pereti	τοίχοι
pereti	τοίχους
pereti	τείχη
pereti	τοίχοι
sándor	sándor
perry	πέρρυ
perry	perry
perry	πέρι
sept	διάφραγμα
sept	σεπτ
distinctie	διάκριση
cronici	χρονικά
rugaciune	προσευχή
rugaciune	προσευχή
luther	λούθερ
personalitatea	προσωπικότητα
atelierul	ημερίδα
atelierul	εργαστήριο
atelierul	εργαστήρι
cook	μάγειρα
cook	μαγείρισσα
cook	μάγειρας
cook	κουκ
cook	μαγείρεμα
blois	μπλουά
abur	ατμός
abur	ατμό
abur	ατμού
oleg	όλεγκ
respectarea	συμμόρφωσης
respectarea	συμμόρφωση
vama	τελωνείο
vama	τελωνειακές
vama	τελωνεία
vama	τελωνείο
vama	τελωνειακές
vama	τελωνεία
interimar	προσωρινός
interimar	ενδιάμεσες
interimar	ενδιάμεση
adult	ενήλικο
adult	ενήλικας
adult	ενήλικα
adult	ενήλικος
adult	ενήλικες
adult	ενηλίκων
imparte	διαχωρισμός
imparte	διάσπαση
imparte	σπλιτ
imparte	διαίρεση
imparte	μοιρασιά
experimental	πειραματικό
experimental	πειραματική
experimental	πειραματικά
experimental	πειραματικές
helsinki	ελσίνκι
julia	τζούλια
julia	χούλια
julia	julia
mussolini	μουσολίνι
scooby	σκούμπι
faimos	διάσημο
faimos	διάσημος
faimos	διάσημη
faimos	διάσημοι
magdalena	magdalena
anastasia	αναστασία
studiourile	στούντιο
posterior	οπίσθια
bat	νυχτερίδα
bat	ρόπαλο
bat	μπατ
apr	απρ
mintea	νου
mintea	μυαλό
dmitri	ντιμίτρι
americanii	αμερικάνοι
americanii	αμερικανοί
alexei	αλεξέι
sarb	σέρβος
sarb	σέρβο
sarb	σερβικό
sarb	σερβική
sarb	σερβικά
sarb	σέρβος
documentul	έγγραφο
baba	μπάμπα
baba	μπάμπα
medias	medias
medias	medias
codreanu	κοντρεάνου
brusc	ξαφνικά
brusc	ξαφνικό
brusc	ξαφνική
brusc	αιφνίδια
debehogne	ντεμπεόν
japonezi	γιαπωνέζικα
japonezi	ιαπωνικά
japonezi	ιάπωνες
japonezi	γιαπωνέζοι
japonezi	γιαπωνέζικο
inspirata	εμπνευσμένη
inspirata	εμπνευσμένο
inspirata	ενέπνευσε
paraguay	παραγουάη
jennifer	τζένιφερ
jennifer	jennifer
facto	facto
izolat	μόνωση
izolat	απομονωμένος
izolat	απομονωμένο
izolat	απομονωμένα
izolat	απομονωμένη
berg	μπεργκ
anulat	ακυρώθηκε
anulat	ακυρώνεται
anulat	ακυρώθηκε
anulat	ακυρώνεται
precizeaza	προσδιορίζει
evaluare	βαθμολογία
evaluare	αξιολόγηση
evaluare	εκτίμηση
evaluare	αξιολόγηση
evaluare	αποτίμησης
evaluare	αποτίμηση
asediu	πολιορκία
divizat	διαιρεμένη
divizat	διχασμένη
divizat	διαιρείται
divizat	διαχωρισμός
divizat	διάσπαση
divizat	σπλιτ
divizat	διαίρεση
divizat	μοιρασιά
bergamo	bergamo
taxe	φόρους
taxe	φόροι
taxe	τέλη
taxe	αμοιβές
novo	novo
incurajat	ενθαρρυνθεί
incurajat	ενθάρρυνε
incurajat	ενθαρρύνεται
incurajat	ενθαρρυνθεί
incurajat	ενθάρρυνε
incurajat	ενθαρρύνεται
enterprise	εντερπράιζ
enterprise	επιχείρηση
inamic	εχθρός
inamic	εχθρό
vehicul	όχημα
botanica	βοτανολογία
botanica	βοτανική
botanica	βοτανολογία
botanica	βοτανική
diferentele	διαφορές
servi	υπηρετώ
hanul	inn
hanul	ιν
hanul	πανδοχείο
presupus	υποτίθεται
presupus	υποθετικά
presupus	υποτιθέμενη
presupus	εικαζόμενη
presupus	εικάζεται
presupus	εικαζόμενη
nagy	nagy
musulmane	μουσουλμανική
musulmane	μουσουλμάνος
musulmane	μουσουλμάνοι
modificata	τροποποιημένο
modificata	τροποποιημένα
modificata	τροποποιήθηκε
modificata	τροποποιημένη
modificata	τροποποιημένος
modificata	τροποποιηθεί
modificata	τροποποιημένο
modificata	τροποποιείται
modificata	τροποποιημένα
modificata	τροποποιήθηκε
definitiva	οριστικές
definitiva	οριστικά
definitiva	οριστική
definitiva	οριστικός
definitiva	οριστικό
restaurarea	αποκατάσταση
emerit	ομότιμος
cafenea	καφετέρια
cafenea	cafe
cafenea	καφενείο
cafenea	cafe
permanente	μόνιμες
permanente	μόνιμο
permanente	μόνιμος
permanente	μόνιμη
permanente	μόνιμα
vizibila	ορατό
vizibila	ορατά
vizibila	ορατή
vizibila	ορατός
vizibila	ορατές
asociatie	σύνδεσης
asociatie	ένωση
asociatie	association
index	δείκτης
index	δείκτη
obisnuita	συνηθισμένο
obisnuita	συνηθισμένος
moral	ηθικά
moral	ηθικός
moral	ηθικό
moral	ηθική
kenneth	κένεθ
trofee	τρόπαια
asigurari	ασφάλιση
asigurari	ασφάλεια
asigurari	ασφάλειες
asigurari	ασφάλιση
asigurari	ασφάλεια
asigurari	ασφάλειες
dispute	διενέξεις
dispute	διαφορές
dispute	διαφωνίες
dispute	αμφισβητήσεις
dispute	διαφορών
portughez	πορτογαλική
portughez	πορτογαλικά
portughez	πορτογαλικό
portughez	πορτογάλοι
haiti	αϊτή
sindromul	σύνδρομο
locatie	τόπος
locatie	τοποθεσία
eugene	γιουτζίν
traseu	μονοπάτι
traseu	οδός
traseu	διαδρομή
traseu	δρομολόγιο
imbunatatit	βελτιώθηκε
imbunatatit	βελτιωμένη
imbunatatit	βελτιωμένο
imbunatatit	βελτιώθηκαν
imbunatatit	βελτιωθεί
imbunatatit	ενισχυμένη
imbunatatit	ενισχυμένες
vinde	πούλα
atlantique	atlantique
logic	λογική
logic	λογικό
logic	λογικές
logic	λογική
precizie	ακρίβεια
precizie	ακριβείας
precizie	ακρίβεια
precizie	ορθότητα
meyer	μάγιερ
masoara	μέτρο
dom	θόλος
dom	θόλο
dom	ντομ
fame	φήμη
fame	δόξα
controlat	ελεγχόμενη
controlat	ελέγχεται
controlat	ελεγχόμενο
controlat	ελεγχόμενες
actionat	ενήργησε
coleg	συνάδελφος
coleg	συνάδελφός
coleg	συνάδελφό
coleg	συνάδελφο
coleg	συνάδελφος
coleg	συνάδελφο
coleg	συνεργάτης
express	εξπρές
express	express
express	εκφράσω
amt	amt
nel	nel
baltice	βαλτική
baltice	βαλτικής
mustafa	μουσταφά
ardere	καύση
ardere	καύσης
ardere	καύση
ardere	κάψιμο
cost	cost
cost	κόστος
modifica	τροποποίηση
boeing	boeing
intoarcere	επιστροφή
cercetatorii	ερευνητές
pestera	σπήλαιο
pestera	σπηλιά
pestera	σπήλαιο
pestera	σπηλιά
pestera	σπήλαιο
pestera	σπηλιά
pestera	σπήλαιο
pestera	σπηλιά
senat	γερουσία
senat	σύγκλητος
gay	ομοφυλόφιλοι
gay	γκέι
gay	ομοφυλόφιλος
gay	gay
creta	κρήτης
creta	κρήτη
creta	κιμωλία
creta	κιμωλία
creta	κρήτης
creta	κρήτη
ming	μινγκ
montgomery	μοντγκόμερι
egiptean	αιγυπτιακό
egiptean	αιγυπτιακή
variabile	μεταβλητό
variabile	μεταβλητή
variabile	μεταβλητές
