お菓子	maiustusi
サンプリング	näidis
サンプリング	proov
失効	aegunud
ねずみ	hiir
ねずみ	hiire
オセアニア	okeaania
大気圏	atmosfääri
大気圏	atmosfäär
不審	kahtlane
リサイクル	ringlusse
チェン	cheng
隠す	peidetakse
隠す	peitu
隠す	peitmine
隠す	peida
グラフィックス	graafika
マニ	mani
カモ	pardid
カモ	part
無意味	mõttetud
無意味	mõttetu
ビーズ	helmes
ビーズ	helmed
旋風	keeristorm
無敗	võitmatu
精製	rafineeritud
スナック	suupisteid
グリップ	haare
ペダル	pedaali
アレクサンドロス	aleksandr
アレクサンドロス	aleksander
アレクサンドロス	alexander
ビザ	viisa
スタック	stack
ヴァルター	walther
ヴァルター	walter
悪性	pahaloomuline
満期	tähtaeg
強要	lummus
強要	sundimine
隙間	lünki
隙間	lüngad
ギャンブル	hasartmängud
ギャンブル	hasartmängude
ギャンブル	gamble
オリバー	oliver
庇護	eestkoste
ハリソン	harrisoni
ハリソン	harrison
フリート	laevastiku
フリート	laevastik
強姦	vägistamine
センチュリー	sajandi
センチュリー	sajand
リカルド	ricardo
スルタン	sultan
バッグ	kott
バッグ	koti
バッグ	kotid
画質	kvaliteet
飽和	küllastunud
シャア	sha
カヤ	kaya
福音書	evangeeliumi
侮辱	solvang
侮辱	solvamine
ロブ	rob
ロブ	robb
平衡	tasakaal
ダーウィン	darwin
乗馬	ratsutamine
粘土	clay
粘土	savi
占有	valduses
占有	omamine
モナ	mona
肝臓	maksa
肝臓	maks
アンゴラ	angola
ノック	kopp
ジェシカ	jess
ジェシカ	jessica
停戦	relvarahu
真ん中	keskmine
ピーチ	virsiku
滑らか	tõrgeteta
滑らか	sujuv
滑らか	mahe
滑らか	sile
ハイランド	highland
完備	täielik
完備	terviklik
完備	lõpetatud
白血病	leukeemia
アングル	nurk
アングル	nurgad
冷たい	külm
冷たい	külmad
ホノルル	honolulu
ハンプトン	hampton
ラウンジ	lounge
ディーラー	diiler
ディーラー	edasimüüja
デーモン	deemon
除隊	heakskiidu
ナイス	mõnus
ナイス	kena
ナイス	nice
ケヴィン	kevin
信条	creed
入札	pakkumine
シルエット	siluett
エディンバラ	edinburghi
中性子	neutron
パノラマ	panorama
パノラマ	panoraam
クルト	kurt
反復	kordamine
反復	iteratsiooni
修道士	munk
ヴィレッジ	küla
ヴィレッジ	külas
ロジャース	rodgers
ロジャース	rogers
バレンタイン	valentine
ボルドー	bordeaux
ヴァンパイア	vampiir
受け取り	saadi
受け取り	saadud
受け取り	laekunud
風刺	satiir
仲裁	vahekohus
仲裁	vahekohtu
顕微鏡	mikroskoobi
検察官	süüdistuse
検察官	prokurör
検察官	süüdistaja
ボトル	pudelid
ボトル	pudel
ボトル	pudelis
神風	kamikaze
クォーター	kvartal
クォーター	veerand
リチウム	liitiumi
わがまま	isekas
わがまま	isekad
ラバー	kumm
ラバー	kummist
ラバー	kummi
便所	tualetid
インタラクティブ	interaktiivne
インタラクティブ	interaktiivse
セール	müük
アグネス	agnes
フェルナンデス	fernández
フェルナンデス	fernandez
フェルナンデス	fernandes
用紙	paber
パラオ	palau
ミナ	mina
快楽	rõõm
快楽	nauding
ヒール	ravida
ヒール	parane
ヒール	kand
しみ	plekid
しみ	plekk
均衡	tasakaal
きれい	puhas
きれい	puhtaks
きれい	puhtad
気球	õhupalli
気球	õhupall
イケメン	nägus
ディラン	dylan
リンパ	lümf
メンフィス	memphis
フィルタ	filter
フィルタ	filtreeritakse
フィルタ	filtri
フィルタ	filtrid
ヴォルフガング	wolfgang
チコ	chico
蒸発	aurustunud
ココ	coco
ココ	koko
スクリュー	kruvi
祈祷	palve
祈祷	palved
募金	annetus
募金	annetuse
募金	annetada
募金	annetused
募金	annetusi
オリエント	orient
オーランド	ahvenamaa
オーランド	orlando
作物	põllukultuurid
作物	kultuurid
シャーロック	sherlock
スタッド	täkk
リッター	ritter
村人	külaelanikud
トカゲ	sisalik
参道	lähenemine
参道	lähenemisviis
参道	lähenemisviisi
飢饉	näljahäda
ピストル	püstol
布教	paljundamiseks
ブランチ	oks
ブランチ	filiaal
ブランチ	haru
ブランチ	filiaali
別館	lisa
聖歌	hümn
聖歌	hümnid
漁師	kalurid
漁師	kalamees
ガーナ	ghana
ミレニアム	aastatuhande
なぜなら	kuna
なぜなら	sest
塩素	kloori
つぼみ	pungad
ジェニファー	jennifer
クレイグ	craig
パッチ	paigad
パッチ	paik
アイザック	isaac
美学	esteetika
死別	lesk
筆記	kirjutatud
筆記	kirjalik
筆記	kirjutanud
筆記	kirjutamine
セバスチャン	sebastian
ダイアナ	diana
リハビリ	taastusravi
バーゼル	baseli
バーゼル	basel
テリア	terjer
苦情	kaebused
苦情	kaebus
二階	ülakorrusel
二階	üleval
代名詞	asesõna
静脈	veenid
静脈	veeni
チューン	viisi
ノルマンディー	normandia
ハウ	howe
合法	seaduslik
開示	avalikustamine
エデン	eden
デザート	magustoit
デザート	kõrb
リバイバル	elustamine
動脈	arteriaalse
動脈	arteri
動脈	arterid
ツイッター	twitter
発熱	palavik
リュック	seljakott
リュック	luc
織物	tekstiil
織物	tekstiili
織物	kudumine
織物	kangas
織物	riide
織物	kangast
織物	riie
織物	tekstiil
織物	tekstiili
ペスト	katk
ペスト	kahjurite
礼儀	etikett
礼儀	viisakus
ボンド	side
ボンド	bond
グロス	bruto
ヴィーナス	veenus
ゴリラ	gorilla
ゴリラ	gorillad
フリッツ	fritz
ブランコ	blanco
ニトロ	nitro
ジュゼッペ	giuseppe
竜巻	tornaado
健治	kenji
苦悩	agoonia
苦悩	ahastust
ゴリ	gori
ゴア	goa
ゴア	gore
ネブラスカ	nebraska
ポロ	polo
日没	päikeseloojang
山東省	shandongi
ミュラー	müller
ミュラー	mueller
セルティックス	celtics
ディナー	õhtusöök
白金	plaatina
パラグアイ	paraguay
ブカレスト	bukaresti
ジェシー	jesse
オオカミ	hunt
オオカミ	wolf
コンタクト	kontakt
コンタクト	kontakti
バスケット	korv
バスケット	korvi
ザルツブルク	salzburgi
特製	eriala
快感	rõõm
快感	nauding
叔母	tädi
空想	uhke
パーソナル	isiklik
パーソナル	isiklikud
段落	lõik
段落	paragrahv
段落	lõige
段落	lõigud
段落	lõiked
ハーモニー	harmoonia
やっと	lõpuks
アイディア	idee
アイディア	mõte
アイディア	ideid
アイディア	ideed
タイラー	tyler
アンプ	võimendi
アンプ	võimendid
宝物	aardeid
宝物	aare
宝物	varandus
サーブ	teeni
サーブ	teenida
サーブ	saab
イワン	ivan
ギフト	kingid
ギフト	kingitused
ギフト	kink
ギフト	kingitus
理性	põhjus
恨み	vimm
恨み	vimm
ビスマルク	bismarck
構文	süntaksi
ミキ	miki
光景	vaatamisväärsusi
光景	nägemine
アインシュタイン	einstein
申し立て	vaidlustatud
申し立て	vaidluse
申し立て	vaidlus
エミリー	emily
安い	odav
安い	odavad
安い	odav
安い	odavalt
ハーレム	harlemi
サンズ	liivad
ガイ	kutt
ガイ	guy
プラット	platt
プラット	pratt
矯正	parandused
バタフライ	liblikas
最小限	minimaalne
エレナ	elena
クイーンズ	kuningannad
スペル	õigekirja
スペル	loits
スペル	loitsu
スペル	õigekirja
チャレンジャー	väljakutsuja
プロポーズ	ettepanek
パラレル	paralleelsed
パラレル	paralleelne
パラレル	paralleelselt
サザン	lõuna
図形	geomeetria
図形	kujund
図形	kuju
図形	kujuga
ゲノム	genoomi
デイヴ	dave
マダム	madam
マダム	proua
マダム	proua
マダム	madame
トレント	trent
アーセナル	arsenali
請願	petitsiooni
アトランティック	atlandi
アトランティック	atlantic
メチル	metüül
幸田	koda
おば	tädi
おば	tädid
腐敗	lagunemine
視線	pilk
ベイビー	kallis
ベイビー	beebi
備後	bingo
キルギス	kõrgõzstani
とにかく	igatahes
アダムス	adams
ブライト	hele
ブライト	ere
参事官	nõunik
参事官	nõunik
トレーラー	haagis
トレーラー	haagise
毛皮	karvad
毛皮	karusnaha
毛皮	karv
コロシアム	coliseum
コロシアム	colosseum
シンフォニー	sümfoonia
選任	kokkusaamine
選任	nimetamine
選任	valimised
ゴールキーパー	väravavaht
マグマ	magma
条文	säte
条文	eraldised
条文	sätted
ニクソン	nixon
マリオン	marion
ごみ	prügi
ハーブ	herb
フィアット	fiat
ドロシー	dorothy
一律	ühtlaselt
チェ	choi
チェ	che
フェンダー	fender
ジョーク	nali
ジョーク	nalja
ジョーク	naljad
フォスター	foster
クロスオーバー	crossover
孵化	luuk
コウモリ	bat
コウモリ	nahkhiir
コウモリ	nahkhiired
バチカン	vatikani
バチカン	vatikan
バール	baar
バール	bar
バール	baari
ヴィラ	vila
ヴィラ	villa
ユーモア	huumor
ユーモア	huumor
溶液	lahendus
溶液	lahus
転覆	kukutada
ウイスキー	viski
ウイスキー	viski
バッド	bad
バッド	halb
バッド	paha
ナシ	pirn
ナシ	pirni
アレクセイ	aleksei
アレクセイ	aleksei
アレクサンドリア	alexandria
総局	direktoraat
エリザベート	elisabeth
コンポーネント	komponendi
コンポーネント	komponent
コンポーネント	komponendid
聴覚	kuulmine
聴覚	kuulamine
トリガー	päästikule
トリガー	päästik
イベリア	iberia
舞子	maiko
ガッツ	sisikond
レニングラード	leningradi
リップ	rip
コルト	colt
プランニング	planeerimine
プランニング	kavandamine
曲面	pinnale
曲面	pind
煉瓦	tellised
煉瓦	telliskivi
煉瓦	brick
煉瓦	tellis
ペイン	paine
ペイン	payne
ペイン	valu
自律	autonoomne
ポツダム	potsdami
ニコル	nicole
嫌がらせ	ahistamine
嫌がらせ	ahistamise
名字	perekonnanimed
ハーグ	haagi
プロヴァンス	provence
ミーティング	koosolekud
ミーティング	kohtumised
ミーティング	istungid
ミーティング	koosolek
ミーティング	kohtumine
カーペット	vaibad
カーペット	vaipa
カーペット	vaip
モンタナ	montana
カビ	hallitus
ギャップ	lünki
ギャップ	lüngad
ギャップ	lõhe
シェリー	sherry
シェリー	shelly
乗り物	sõidukid
乗り物	sõiduk
乗り物	sõiduki
ダニ	tikk
ダニ	tik
ダニ	dani
伊奈	ina
暖房	küte
暖房	kütte
数量	kogused
数量	kogus
倍率	suurendusega
江蘇省	jiangsu
中級	vahepealne
パンドラ	pandora
チャイコフスキー	tšaikovski
カナリア	kanaari
テンプル	tempel
テンプル	temple
偽造	võltsimine
偽造	võltsitud
エメラルド	smaragd
テレサ	teresa
テレサ	theresa
マッカートニー	mccartney
太い	paksud
太い	paks
アニー	annie
ベルン	bern
コックピット	kabiin
匂い	lõhna
匂い	lõhn
精神病	psühhoos
ゴメス	gomes
ゴメス	gomez
ゲーテ	goethe
無条件	tingimusteta
無条件	tingimusteta
オスカル	oscar
リハーサル	proov
ケニー	kenny
アスファルト	asfalt
祝う	tähistada
祝う	tähistame
祝う	tähista
祝う	tähistama
サラダ	salatid
サラダ	salatit
サラダ	salat
エクアドル	ecuadori
制動	pidurdamine
河北省	hebei
ルワンダ	rwanda
ドーピング	dopingu
シューマン	schumann
シューマン	schumani
十字路	risttee
レナード	leonard
ベルナール	bernard
エンリケ	enrique
ひどい	kohutav
ババ	baba
ババ	bubba
ポーツマス	portsmouth
オスロ	oslo
モニカ	monica
モニカ	monika
スペシャリスト	spetsialist
スペシャリスト	spetsialiseerunud
リガ	riia
軍備	relvastuse
ロコ	loco
パワフル	võimas
ジョシュ	joshi
ジョシュ	josh
スカーレット	scarlet
スカーレット	scarlett
放射能	radioaktiivsuse
ペレス	perez
ペレス	pérez
泣く	nutta
泣く	nutma
泣く	nuta
泣く	nutab
泣く	nutt
インディー	indie
ペガサス	pegasus
ディエゴ	diego
観念	idee
観念	mõte
前例	enneolematu
叫ぶ	karju
ケネス	kenneth
シャドウ	varju
シャドウ	vari
発送	lähetamine
嘱託	kasutuselevõtmine
マンガン	mangaani
教訓	õppetund
教訓	õppetunni
ポッター	potter
ハト	tuvid
ハト	tuvi
スモール	väikesed
スモール	väike
給料	palk
給料	töötasu
打楽器	löök
伝播	paljundamiseks
エドワーズ	edwards
スズ	tin
スズ	tina
ベネット	bennett
ミミ	mimi
洗脳	ajupesu
肩書	pealkiri
肩書	ametinimetus
肩書	tiitel
コンペティション	konkurents
コンペティション	võistlus
コンペティション	konkurentsi
役立つ	abivalmis
世俗	ilmaliku
ドリンク	jooki
ドリンク	juua
ドリンク	jook
ドリンク	joob
ドリンク	joogid
子宮	emakas
子宮	emaka
子宮	emakas
グラスゴー	glasgow
ワタナベ	watanabe
航法	navigatsiooni
下水道	kanalisatsioon
下水道	kanalisatsiooni
カザン	kaasani
由良	jura
シアン	tsüaan
シェパード	karjus
シェパード	shepard
贈り物	kingid
贈り物	kingitused
贈り物	kink
贈り物	kingitus
ラグナ	laguna
ノヴゴロド	novgorodi
オビ	obi
ベネディクト	benedict
検閲	tsenseeritud
検閲	tsensuur
オペレーション	toimingud
オペレーション	operatsioonid
オペレーション	toimimine
オペレーション	toiming
オペレーション	operatsioon
ガーディアン	eestkostja
ガーディアン	hooldaja
ガーディアン	kaitsja
ガーディアン	valvur
小麦	nisu
物事	asjad
物事	asju
ブイ	poi
描画	joonis
描画	joonistamine
マギー	maggie
フューチャー	tulevikku
フューチャー	tulevik
狂気	hullumeelsus
狂気	hullus
狂気	hullumeelsus
狂気	hullus
リマ	lima
懸賞	auhinnad
ストーカー	jälitamine
ストーカー	jälitaja
ロバ	eesel
ジュリー	julie
大麻	kanep
村落	külad
村落	külasid
村落	küla
村落	külas
生態系	ökosüsteemi
生態系	ökosüsteemide
かわいい	armsad
かわいい	nunnu
モニュメント	monumente
モニュメント	monumendi
ジャッジ	kohtunik
ピエモンテ	piemonte
ローラン	laurent
ファインダー	leidja
ファインダー	otsija
ザグレブ	zagreb
ニューカッスル	newcastle
サクラメント	sacramento
サクラメント	sakrament
マジカル	maagiline
マジカル	maagilised
リクルート	värvata
銃器	tulirelva
銃器	tulirelvade
銃器	tulirelvad
ソート	sorteerimine
ソート	sorteerimine
覚書	memorandum
サンダー	äike
紅茶	teed
紅茶	tee
デア	der
ノーラン	nolan
信じる	uskuma
信じる	usu
信じる	usud
ピッコロ	piccolo
ヴィンセント	vincent
ハイライト	rõhutatud
ハイライト	rõhutab
ハイライト	esile
ハイライト	esiletõstmine
マシーン	masin
マシーン	masina
ポーラ	paula
船首	vibu
船首	kummardus
暗闇	pimedus
エスパーニャ	españa
マーチン	martin
リラ	liiri
リベラル	liberaalne
ゼルダ	zelda
プロローグ	proloog
果物	puuviljad
果物	vili
果物	puuvili
果物	puuvilja
果物	viljad
果物	puuviljad
おじ	onu
停電	elektrikatkestus
爬虫類	roomaja
爬虫類	roomajad
共感	empaatia
五つ	viis
税金	maks
税金	maksud
登る	roni
登る	ronida
隔離	eraldatus
隔離	eraldamine
隔離	isolatsioon
隔離	isolatsiooni
バーレーン	bahreini
球体	sfääri
球体	kera
領事	konsul
不便	ebamugav
ブラームス	brahmsi
キャメロン	cameron
染め	värvitud
マーキュリー	elavhõbeda
マーキュリー	elavhõbe
知識人	intellektuaalid
知識人	intellektuaalse
ウェディング	pulmad
ウェディング	pulm
ウェディング	laulatus
ウェディング	pulma
ウェディング	pulmad
着物	kimono
救急車	kiirabi
神保	jimbo
花弁	kroonlehed
残党	jäänused
セグメント	segmentide
セグメント	segmendi
セグメント	lõik
セグメント	lõigu
ノエル	noël
ノエル	noel
絶縁	isoleeritud
ナタリー	natalie
在庫	varud
在庫	varude
在庫	inventuuri
カーティス	curtis
サングラス	päikeseprillid
セブ	cebu
スプリンター	splinter
ドミニク	dominic
ビルバオ	bilbao
原子核	tuum
ペルソナ	persona
軍縮	desarmeerimise
軍縮	relvituks
ガリレオ	galileo
ポテンシャル	potentsiaal
ポテンシャル	potentsiaali
木田	kida
生化学	biokeemia
スピーチ	sõnavõtt
スピーチ	kõne
ジャスティン	justin
降臨	laskunud
シング	singh
デュッセルドルフ	düsseldorfi
タスク	ülesanded
タスク	ülesanne
ジュピター	jupiter
キャプション	pealdis
キャプション	caption
プレイオフ	play
ユヴェントス	juventus
物品	kaubad
物品	kaup
物品	kauba
サイレン	sireen
ルーレット	rulett
小人	kääbus
小人	päkapikk
リビング	elamine
リビング	elav
チャド	tšaadi
チャド	chad
バイオリン	viiulit
バイオリン	viiul
ジャカルタ	jakarta
インターフェース	liides
インターフェース	liidese
インターフェース	liidesed
キノ	kino
ドロー	joonistada
ドロー	loosimine
ドロー	viik
済州	jeju
賞品	auhinnad
公判	kohtuistung
カスタマイズ	kohandamine
カスタマイズ	kohandamine
バングラデシュ	bangladesh
ペルシャ	pärsia
車道	sissesõidutee
変種	sort
変種	sordi
リハビリテーション	taastusravi
アクセサリー	tarvikud
アクセサリー	lisaseadmed
アクセサリー	manused
肥料	väetis
フォーチュン	varandus
ラッパー	räppar
検知	avastamise
検知	tuvastamine
検知	avastamine
検知	tuvastati
検知	tuvastatud
検知	avastatud
検知	avastati
アイスクリーム	jäätis
花序	õisik
野獣	elukas
野獣	koletis
サメ	haide
サメ	haid
サメ	hai
サメ	haid
フレディ	freddy
湖沼	järved
ソチ	sotši
オペレーター	operaator
オペレーター	käitaja
レクイエム	reekviem
ゲット	saa
レイチェル	rachel
バンクス	banks
バンクス	pangad
ナット	pähkel
陽気	rõõmsameelne
陽気	vallatu
ホルヘ	jorge
概説	kontuur
概説	kokkuvõte
マグロ	tuunikala
ジョイ	joy
ジョイ	rõõmu
ジョイ	rõõm
クッキング	süüa
プッシュ	lükka
ファンク	funk
キープ	hoida
キープ	hoia
キープ	hoian
グアテマラ	guatemala
グアテマラ	guatemala
フライデー	reede
フライデー	reedel
ダイバー	sukeldujad
可視	nähtavad
可視	nähtav
メタン	metaani
長方形	ristküliku
長方形	ristkülik
パイプライン	torujuhtme
疾病	haigused
疾病	haigus
迷路	labürint
コントローラー	kontroller
形容詞	omadussõna
形容詞	omadussõnad
アスリート	sportlane
アスリート	sportlased
動乱	murrangu
キャラバン	karavan
ユーリ	juri
ユーリ	yuri
ホルシュタイン	holstein
手足	jäsemed
丸い	ümar
丸い	ümmargused
丸い	ümmargune
丸い	voor
ジェラルド	gerald
カーテン	eesriie
カーテン	kardina
カーテン	kardinad
カーテン	kardinad
嫌悪	vastumeelsus
嫌悪	vastumeelsus
昨日	eile
ブルネイ	brunei
コンベンション	konventsiooni
コンベンション	konventsioon
人道	humanitaar
引き出し	sahtel
ロジェ	roger
課金	süüdistus
課金	laeng
ラッチ	riiv
我慢	kannatust
我慢	kannatlikkust
我慢	kannatus
コンパイル	koostada
コンパイル	koostamine
トスカーナ	toscana
カルメン	carmen
超新星	supernoova
命題	ettepanek
ファイターズ	hävitajad
ファイターズ	võitlejad
蔵王	zao
サーベル	sabre
サーベル	saber
ファウスト	faust
ファシズム	fašistlik
ファシズム	fašismi
ファシズム	fašistid
テナー	tenor
ハルビン	harbin
曼荼羅	mandala
組み込み	põimitud
ズボン	püksid
ズボン	püksid
マインツ	mainz
日の出	päikesetõusu
日の出	päikesetõus
カリキュラム	õppekavade
カリキュラム	õppekava
プラトン	platon
タップ	kraan
ロミオ	romeo
おしゃれ	stiilne
風車	tuuleveski
風車	tuuleveskid
定量	kvantitatiivne
定量	kvantitatiivsed
ヒデ	peidetakse
ヒデ	peitu
ヒデ	peitmine
ヒデ	peida
ブルックス	brooks
遼寧省	liaoningi
ピエトロ	pietro
触手	kombitsad
ドク	doc
ドク	dok
ホイットニー	whitney
チタン	titaani
チタン	titaan
和睦	leppimise
生計	elatis
悲しい	kurb
真司	shinji
ステロイド	steroidide
ステロイド	steroide
ハガキ	postkaart
アレクサンドラ	alexandra
メル	mel
ノミ	kirbud
長子	vanim
ファイナンス	rahastada
ファイナンス	rahandus
アニメイト	animeeritud
因みに	juhuslikult
ファルコン	falcon
ウガンダ	uganda
ウガンダ	uganda
許す	andestust
許す	andesta
許す	andestada
カメルーン	kameruni
コンプリート	täielik
コンプリート	terviklik
コンプリート	lõpetatud
スーパースター	superstaar
ホステス	perenaine
ホステス	võõrustaja
ダイビング	sukeldumine
ダイビング	sukelduda
リンチ	lynch
バビロン	babylon
カーネギー	carnegie
ウェリントン	wellington
リザ	liza
マーラー	mahler
カストロ	castro
ワシ	eagle
ワシ	kotkas
新星	nova
農薬	pestitsiidide
農薬	pestitsiidid
テヘラン	teherani
ブロンズ	pronks
スキップ	vahele
スキップ	vahele
ヤシ	palmi
ヤシ	peopesa
ヤシ	palm
小切手	tšekk
小切手	tšeki
絶叫	karje
手榴弾	granaat
手榴弾	granaadid
