και	và
άλλα	khác
τμήμα	sở
τμήμα	khu
τμήμα	phần
σαν	như
σαν	thích
σαν	like
εκεί	kia
εκεί	đó
άλλες	khác
τέλος	end
τέλος	kết
σειρά	series
σειρά	hàng
στοιχεία	dữ
εκτός	trừ
συνέχεια	continuity
κάτω	down
κάτω	xuống
κάτω	hạ
κάτω	dưới
πολλές	nhiều
όλα	hết
όλα	hết
σύστημα	hệ
ακόμα	côn
ακόμα	vẫn
φορές	lần
φορές	times
ίδια	cùng
χώρα	quốc
αποτέλεσμα	quả
αγώνες	khớp
αγώνες	diêm
ταινίες	phim
ταινίες	phim
μέσω	qua
μέσω	via
μέσω	qua
μαρτίου	march
γεννήθηκε	sinh
ιουνίου	june
αυτές	những
πολλά	nhiều
τρεις	tre
τρεις	ba
τρεις	three
αυγούστου	august
χρήση	dùng
ακόμη	côn
ακόμη	vẫn
ίδιο	cùng
μας	plr
εποχή	mùa
εποχή	season
εποχή	era
χωριό	làng
δήμος	municipality
κύπελλο	cup
κύπελλο	cốc
κύπελλο	tách
ζωή	đời
ζωή	zoe
ζωή	phương
μεγάλο	lớn
μεγάλο	lớn
μεγάλο	to
μεγάλο	đúc
μεγάλο	đại
μεγάλο	big
βάση	base
κέντρο	tâm
κέντρο	centre
φεβρουαρίου	tháng
κοντά	gần
κοντά	close
κοντά	đóng
κοντά	gần
κοντά	kín
μορφή	mẫu
μορφή	format
χρόνο	gian
χρόνο	thời
ιστοσελίδα	website
κόμμα	đảng
κόμμα	party
κόμμα	tiệc
κόμμα	phết
κόμμα	phẩy
γιατί	vì
γιατί	sao
ρόλο	rollo
άλμπουμ	album
άλμπουμ	album
άλμπουμ	albums
επειδή	vì
έκδοση	edition
έκδοση	phiên
έκδοση	bản
γκολ	tiêu
γκολ	đo
αρχές	bang
γύρω	khoảng
γύρω	vòng
συνήθως	thuồng
συνήθως	thường
ονομασία	tên
τελευταία	cuối
τελευταία	lately
έκανε	chế
είτε	thà
είτε	chùm
κυβέρνηση	phủ
πρώτος	trước
πρώτος	đầu
κάνει	lam
κάνει	xong
ηπα	kỳ
ηπα	mỹ
ηπα	usa
ανάμεσα	giữa
δεύτερη	giây
γλώσσα	lưỡi
γλώσσα	ngữ
γιος	trai
γιος	nhi
γιος	son
μάχη	battle
μάχη	trận
μάχη	combat
όλες	hết
κάποια	cầy
δείτε	xem
δείτε	xem
δείτε	pass
πόλεμο	tranh
πόλεμο	chiến
περιοχές	vùng
πρώην	cựu
παράδειγμα	dụ
εικόνα	ảnh
εικόνα	nh
εικόνα	hình
εικόνα	ảnh
πηγές	nguồn
βόρεια	bắc
βόρεια	bắc
αγώνα	đua
αγώνα	nhung
αγώνα	thủ
αγώνα	khớp
σελίδα	page
σελίδα	trang
θέμα	thái
ηλικία	tuổi
χρησιμοποιείται	phơi
πρώτα	trước
πρώτα	đầu
μέγεθος	cỡ
μέγεθος	size
εδώ	đây
νότια	nam
σημείο	beat
σημείο	chấm
σημείο	điểm
περίπτωση	case
νέο	new
νέο	mới
νέο	sâm
ήδη	đã
έτος	năm
σχεδόν	sắp
σχεδόν	gần
σχεδόν	hầu
ένωση	union
ένωση	hợp
περισσότερο	thêm
βασιλιά	king
βασιλιά	guy
βασιλιά	vua
εκκλησία	thờ
συμμετοχή	tooltip
δυο	hai
δυο	two
πέθανε	die
πέθανε	chết
πέθανε	chết
ανά	pr
ανά	per
μουσική	nhạc
κόσμο	cosmo
κόσμο	giới
άτομα	người
δεύτερο	giây
είδος	kiểu
είδος	gõ
είδος	loại
είδος	loài
αρκετά	đủ
εκείνη	cổ
σχολή	trường
σχολή	học
εναντίον	dũng
εναντίον	chống
τρία	tre
τρία	ba
τρία	three
όρος	núi
όρος	lắp
όρος	tiêm
όρος	trạng
βασιλιάς	king
βασιλιάς	guy
βασιλιάς	vua
παιδιά	boys
παιδιά	guys
φαίνεται	trông
τι	gì
χρονιά	năm
ηθοποιός	diễn
ούτε	củ
γαλλία	pháp
ευρώπη	âu
γνωστό	quen
βιβλίο	sách
οικογένεια	đình
πέντε	năm
παραπάνω	trên
σεζόν	mùa
σεζόν	season
πρότυπο	model
πρότυπο	mẫu
πρότυπο	chuẩn
πρότυπο	standard
αριθμός	số
θάνατο	chết
εταιρεία	ty
σώμα	thân
σώμα	body
πρωτεύουσα	vốn
σύνολο	tổng
γνωστή	quen
κατάσταση	status
κατάσταση	tiêm
κατάσταση	trạng
νησί	đảo
επίπεδο	mức
επίπεδο	tầng
επίπεδο	cấp
γερμανία	đức
άλλους	khác
δημιουργία	tạo
δημιουργία	tạo
αρχή	khởi
άδεια	phép
άδεια	rỗng
άδεια	trống
σου	sue
σου	kiện
περισσότερα	thêm
ανάπτυξη	gai
άγιος	agios
άγιος	saint
άγιος	thánh
γ΄	iii
τραγούδι	hát
τραγούδι	hót
τραγούδι	song
κόρη	gái
πάλι	lại
επαρχία	tỉnh
ιωάννης	gioan
ιωάννης	john
ιωάννης	ioannis
θεσσαλονίκη	thessaloniki
άλλοι	khác
κέρδισε	thang
κέρδισε	win
κέρδισε	thắng
κέρδισε	won
κέρδισε	thắng
συνολικά	tổng
γνωστός	quen
πληροφορίες	info
εθνικό	gạt
καριέρα	nghiệp
ποτέ	bao
ποτέ	từng
τέλη	fee
τέλη	phí
τέλη	phí
πλευρά	bên
πλευρά	phe
πλευρά	trang
ανήκει	thuộc
πρόγραμμα	trắc
πρόγραμμα	chương
πρόγραμμα	lịch
χιλιόμετρα	miles
χιλιόμετρα	phít
χιλιόμετρα	km
χιλιόμετρα	dặm
χιλιόμετρα	mileage
χιλιόμετρα	km
γεώργιος	georgios
γεώργιος	george
τύπου	nhấn
τύπου	bào
τύπου	ấn
τύπου	bấm
τύπου	kiểu
τύπου	gõ
τύπου	loại
πόλεμος	tranh
πόλεμος	chiến
εφημερίδα	báo
μικρό	nhỏ
μικρό	nhỏ
μικρό	tiểu
τόπος	nơi
τόπος	chỗ
ονομάζεται	goi
είδη	loài
πηγή	nguồn
κάποιος	somebody
πρωταθλήματα	championships
ιταλία	italy
πατέρας	cha
αναφέρει	mentions
περισσότερες	thêm
έκταση	loạt
έκταση	vực
έκταση	vùng
γενικά	tướng
γενικά	chung
σημαντικό	trọng
νίκη	thang
νίκη	win
νίκη	thắng
νίκη	winning
νίκη	thắng
μικρή	nhỏ
μικρή	nhỏ
μικρή	tiểu
έτη	chèo
έτη	năm
πατέρα	cha
αμερικανός	american
αμερικανός	mỹ
τελικό	final
πάντα	luôn
συγκρότημα	ban
συγκρότημα	band
συγκρότημα	complex
επόμενη	kế
επόμενη	tiếp
επόμενη	kit
στιγμή	lát
μήνες	tháng
θεωρία	thuyết
πολλοί	nhiều
όλοι	hết
τώρα	giờ
τώρα	ngay
προπονητής	hlv
σημαντική	trọng
ημέρα	ngày
ημέρα	day
κατέκτησε	lĩnh
στάδιο	stage
χωριά	làng
επίθεση	công
επίθεση	assault
έδωσε	tặng
λέξη	lời
λέξη	từ
δύναμη	buộc
δύναμη	sục
δύναμη	lực
τύπος	nhấn
τύπος	bào
τύπος	ấn
τύπος	bấm
τύπος	kiểu
τύπος	gõ
τύπος	loại
εκατομμύρια	triệu
εκατομμύρια	triệu
τέσσερις	bốn
πορεία	hải
μέση	trung
μέση	giữa
μέση	đọng
μέση	eo
μέση	hông
πρόβλημα	đề
πρόβλημα	rối
άνω	upper
νερό	nước
περιφέρεια	loạt
περιφέρεια	tần
περιφέρεια	vùng
περιφέρεια	huyện
μητέρα	mẹ
έξι	six
έξι	sáu
παρίσι	paris
έγραψε	viết
περιέχει	chứa
ημέρες	ngày
μαρία	chư
μαρία	maria
μερικές	cầy
τιμή	price
τιμή	giá
τιμή	giá
διαδικασία	proceedings
διαγραφή	xóa
διαγραφή	xoá
διαγραφή	xóa
διαγραφή	xoá
απογραφή	census
παρακάτω	dưới
ναός	đền
ναός	chùa
βοήθεια	cứu
βοήθεια	giúp
απόσταση	tầm
αμέσως	ngay
αναφορά	cáo
λιγκ	league
απλά	chỉ
απλά	funny
γιώργος	giorgos
γιώργος	george
γιώργος	georgios
γεγονότα	sự
σύντομο	bài
σύντομο	ngắn
σύντομο	short
σύντομο	lá
κράτος	bang
κωνσταντίνος	konstantinos
κωνσταντίνος	constantine
στρατό	quân
στρατό	army
αγία	saint
αγία	thánh
ιστορικό	nền
ιστορικό	background
σπίτι	nhà
σπίτι	ốc
σπίτι	nhà
τζον	gioan
τζον	john
τζον	jon
λειτουργία	hàm
λειτουργία	thao
βιβλία	sách
πρωθυπουργός	premier
κείμενο	chữ
γραμμή	line
γραμμή	dòng
σχέδιο	nháp
σχέδιο	plan
γη	đất
γη	đáp
ξανά	lại
αυτοί	quất
αυτοί	những
αυτοί	chúng
αυτοί	họ
χρήστης	dùng
θάλασσα	biển
χρησιμοποιούνται	phơi
πολιτείες	kỳ
χρήστη	dùng
εξουσία	sục
εξουσία	lực
καλοκαίρι	summer
καλοκαίρι	hè
παράδοση	nhường
άνδρες	hãm
δίνει	cung
όσκαρ	oscars
όσκαρ	oscar
όσκαρ	oscar
όσκαρ	oskar
γυναίκα	nữ
γυναίκα	nữ
γυναίκα	vợ
γυναίκα	vơ
γυναίκα	vk
κλπ	etc
κλπ	vv
κατάλογος	directory
κατάλογος	kê
κατάλογος	list
κατάλογος	danh
κεντρική	trung
κεντρική	central
ακολούθησε	theo
νησιά	đảo
χρώμα	nhuộm
χρώμα	màu
χρώμα	mầu
χρώμα	màu
αμερική	châu
αμερική	mỹ
κύρια	chính
κύρια	main
πρότυπα	templates
πρότυπα	mẫu
δημιουργήθηκε	tạo
μικρά	nhỏ
εμφάνιση	xem
εμφάνιση	hiện
εμφάνιση	show
τέσσερα	bốn
αυτοκρατορία	empire
ώρες	tiếng
ώρες	giờ
τίτλος	tựa
συνθήκες	treaties
μελέτη	học
σχολείο	trường
σχολείο	học
υλικό	nguyên
κάστρο	castle
κάστρο	đài
κάστρο	castro
δυτικά	tây
δυτικά	tây
καλά	tốt
καλά	hay
καλά	ngon
ανατολικά	đông
απέναντι	ngược
νίκος	nikos
άνθρωποι	người
έφτασε	đến
έφτασε	tới
αρχηγός	sếp
αρχηγός	leader
τελευταίο	cuối
αγορά	mua
αγορά	chợ
μέρες	ngày
τελική	final
καθηγητής	thầy
μέσο	vừa
μέσο	medium
μέσο	trung
γιάννης	yannis
γιάννης	giannis
σταθμός	trạm
σταθμός	ga
έρευνα	survey
έρευνα	bê
γέννησης	sinh
δυτική	tây
δυτική	tây
κωνσταντινούπολη	constantinopolis
κωνσταντινούπολη	constantinople
κωνσταντινούπολη	istanbul
έννοια	concept
απο	khỏi
απο	từ
αλέξανδρος	alexandros
αλέξανδρος	aleksandr
αλέξανδρος	alexander
θερμοκρασία	nhiệt
γενική	tướng
γενική	chung
μερικά	cầy
χρειάζεται	nhu
όμιλος	group
όμιλος	nhóm
μετάφραση	dịch
ρωσία	nga
ρώμη	phòng
ρώμη	rome
ρώμη	roma
κορυφή	nắp
κορυφή	top
κορυφή	đỉnh
κορυφή	peak
σημαία	cờ
δεδομένων	dữ
έξω	ngoài
έξω	ra
έξω	tứ
ρωσίας	nga
μιχαήλ	mikhail
μιχαήλ	michael
πέρασε	tan
διοίκηση	lệnh
διοίκηση	huy
διοίκηση	lềnh
δεξιά	phải
δεξιά	đúng
εφαρμογή	app
σύζυγος	chồng
σύζυγος	mun
σύζυγος	husband
σύζυγος	vợ
σύζυγος	vơ
σύζυγος	vk
βραβεία	premier
ημερομηνία	ngày
ανατολική	đông
μέρη	phần
λόγος	chi
παιχνίδι	game
παιχνίδι	chơi
παιχνίδι	play
παιχνίδι	chơi
παιχνίδι	at
γαλλική	pháp
σχήμα	hình
σχήμα	form
δημοτικό	tiểu
φεστιβάλ	festival
ονόματα	tên
επιχείρηση	thao
επιχείρηση	enterprise
αποφάσισε	quyết
λονδίνο	đôn
λονδίνο	london
μακεδονίας	macedonia
πρόσωπο	người
πρόσωπο	face
πρόσωπο	mặt
κίνηση	motion
κίνηση	dời
κίνηση	chuyển
κίνηση	tê
μέρα	ngày
μέρα	day
κομμάτι	mảnh
κομμάτι	miếng
κομμάτι	piece
κομμάτι	vở
ώρα	gian
ώρα	thời
λοιπόν	chà
λοιπόν	ừm
μεγάλα	lớn
μεγάλα	lớn
μεγάλα	to
μεγάλα	đúc
μεγάλα	đại
μεγάλα	big
πλοία	thuyền
πλοία	tàu
πλοία	thuyền
σημεία	điểm
αλλαγή	đổi
αλλαγή	thay
λέει	nói
διαίρεση	division
διαίρεση	tách
διαίρεση	chia
διαίρεση	chia
διευθυντής	trương
τέχνη	art
επτά	seven
επτά	bảy
δικαιώματα	quyền
κώστας	kostas
κώστας	costas
κατ	mèo
κατ	cat
βάρος	cân
ναό	đền
ναό	chùa
τροχιά	vết
τροχιά	rãnh
τομ	tom
πρόσωπα	mặt
νικόλαος	nikolaos
πίνακα	tranh
πίνακα	sơn
σύντομα	sớm
σύντομα	sắp
στοιχείο	tố
αττικής	attica
κρήτης	crete
αεκ	aek
αεκ	img
ολυμπιακός	olympic
λιγότερο	bớt
λιγότερο	ít
λιγότερο	giảm
κυκλοφορία	tê
πειραιά	piraeus
αντικείμενο	tố
χρονικό	chronicle
καλή	tốt
καλή	hay
καλή	ngon
πλαίσιο	framework
έδαφος	đất
έδαφος	đất
εκπαίδευση	luyện
εκπαίδευση	training
γάλλος	pháp
δημήτριος	dimitrios
δημήτριος	demetrios
δέκα	mười
δεύτερος	giây
επόμενο	kế
επόμενο	tiếp
επόμενο	kit
ανθρώπους	người
φυσική	chích
πρωταθλητής	champ
πρωταθλητής	cọc
πρωταθλητής	champion
χρυσό	vầng
χρυσό	golden
χρυσό	đỏi
χρυσό	vàng
χρυσό	gold
πεδίο	field
πεδίο	trường
ενότητα	unity
ενότητα	phần
ενότητα	modul
ενότητα	môđun
ενότητα	module
ενότητα	đun
χρησιμοποιήθηκε	phơi
λεπτά	phút
λεπτά	phút
φέρει	mang
ρεκόρ	album
κιθάρα	guitar
κιθάρα	ghita
δεδομένα	dữ
έναρξη	khởi
αποστολή	gửi
αποστολή	phái
αποστολή	gửi
αποστολή	gởi
χρώματα	màu
μορφές	đơn
πειραιώς	piraeus
αρχική	gốc
αρχική	tác
ήττα	đảnh
ήττα	bại
τόμος	volume
νέος	new
νέος	mới
νέος	sâm
νέος	trẻ
νέος	young
γερμανική	đức
δημήτρης	dimitrios
δημήτρης	dimitris
δημήτρης	dimitri
σκορ	điểm
σκορ	điểm
φωνητικά	vocals
φωνητικά	thanh
φωνητικά	vocal
εσωτερικό	nội
εσωτερικό	nội
ενέργεια	lượng
μοντέλο	model
στρατιώτες	binh
πώς	bao
γερμανός	đức
αφρική	phi
επιλογή	chọn
επιλογή	chọn
επιλογή	chồn
επιλογή	chọn
επιλογή	đặt
στρατός	quân
στρατός	army
περισσότεροι	thêm
ιούνιο	june
σελίδες	trang
σύγχρονη	contemporary
αθλητές	vđv
περιεχόμενο	dung
περιεχόμενο	dung
υπόθεση	case
αριστερά	trái
αγωνιστική	đua
εκδοχή	phiên
εκδοχή	bản
καλύτερα	nhất
μεγάλος	lớn
μεγάλος	to
μεγάλος	đúc
μεγάλος	đại
μεγάλος	big
λίστα	kê
λίστα	list
λίστα	danh
έκθεση	cáo
καλό	tốt
καλό	hay
καλό	ngon
οξύ	axit
οξύ	acid
οξύ	axít
πλατεία	đc
πλατεία	square
πλατεία	vuông
μάρτιο	march
πράξη	act
αχαΐας	acanthodelta
αχαΐας	achaea
καταγωγή	vạn
καταγωγή	origins
αγώνας	đua
αγώνας	nhung
αγώνας	thủ
αγώνας	khớp
στόχο	đo
στόχο	tiêu
στόχο	đo
πλαίσια	khung
κύπρο	síp
αύγουστο	august
λίμνη	ao
λίμνη	hồ
λάθος	sai
λάθος	sai
λάθος	lỗi
λάθος	nhầm
λάθος	sai
λάθος	lỗi
γραμμές	hàng
γραμμές	lines
γραμμές	dòng
επεξεργασία	sửa
νίκες	thắng
βιογραφικά	cvs
διαφορετικά	khác
διαφορετικά	kẻo
γρήγορα	mau
γρήγορα	nhanh
γρήγορα	mau
γρήγορα	nhanh
γρήγορα	nhanh
άρη	ares
άρη	mars
άνθρωπος	human
άνθρωπος	người
άνθρωπος	man
σύνορα	viền
σύνορα	frontiers
σύνορα	viền
σύνορα	biên
πλοίο	tàu
πλοίο	ship
πλοίο	tàu
πλοίο	thuyền
πλοίο	boat
ομοσπονδία	federation
αμερικανοί	american
αμερικανοί	mỹ
καλύτερο	nhất
δημιούργησε	tạo
γερμανικά	đức
δημόσια	công
αύξηση	tăng
αύξηση	nâng
αύξηση	nuôi
αύξηση	nhôm
εμφανίσεις	sightings
γύρο	hiệp
γύρο	vòng
δίσκο	đĩa
δίσκο	đĩa
δίσκο	thùng
δίσκο	khay
κοινή	chung
αξίωμα	axiom
αστεροειδής	asteroids
μήνα	tháng
πάτρα	patras
πάτρα	patra
κράτη	kỳ
άγιο	thánh
γαλλικά	pháp
δρόμο	đường
δρόμο	road
λιμάνι	cảng
λιμάνι	cổng
λιμάνι	port
λιμάνι	cảng
ηνωμένο	united
ηνωμένο	hoa
ποιητής	thơ
δείχνει	khoe
μνήμη	ức
χέρια	tay
χέρια	tay
κανόνες	luật
παιδί	nhóc
παιδί	bé
παιδί	kid
παιδί	con
εικόνες	ảnh
τελευταίος	cuối
ενώσεις	compounds
σκηνή	cảnh
σκηνή	lều
εισαγωγή	nhập
εισαγωγή	danh
εισαγωγή	chèn
μεταφορά	chuyển
μεταφορά	truyền
άτομο	người
άτομο	nguyên
άτομο	atom
γερμανοί	đức
τάξη	hạng
τάξη	lớp
παρελθόν	qua
παρελθόν	past
δουλειά	nghề
δουλειά	việc
βόρειο	bắc
απόψεις	views
άνθρακα	than
άνθρακα	carbon
άνθρακα	cacbon
οκτώ	tám
οκτώ	eight
προσθήκη	add
προσθήκη	thêm
ισραήλ	israel
άρης	aris
άρης	ares
άρης	mars
καναδά	canada
κομμάτια	rách
κόκκινο	đỏ
ηλιακό	solar
δίσκος	album
δίσκος	đĩa
δίσκος	đĩa
δίσκος	thùng
δίσκος	khay
πρωταθλήτρια	cọc
πρωταθλήτρια	champion
ροκ	đá
ροκ	rock
αντικείμενα	mục
αντικείμενα	tượng
ενέργειας	lượng
ζώνη	zone
ζώνη	múi
ζώνη	vùng
ζώνη	đai
σχέδια	designs
δίκτυο	mạng
φως	châm
φως	đèn
φως	nhạt
πραγματικό	real
πραγματικό	thực
πραγματικό	thật
πραγματικό	thiệt
μικρές	nhỏ
πίνακας	bảng
πίνακας	bàn
πίνακας	tranh
πίνακας	sơn
απάντηση	tời
περιλαμβάνονται	gồm
περιλαμβάνονται	kèm
νότιο	nam
νόμος	luật
πράγματα	điều
πράγματα	đồ
πράγματα	stuff
οποιαδήποτε	any
άννα	anna
απλώς	chỉ
απλώς	funny
έζησε	kiêng
σκηνοθέτης	trương
ιαπωνία	japan
σειρές	series
σειρές	hàng
φον	fawn
φον	von
ολυμπιακό	olympic
εμφανίστηκε	gây
δολάρια	đôla
λίγες	vài
τρόπος	đường
κεντρικό	trung
κεντρικό	central
καταστροφή	họa
καταστροφή	điêu
ναι	vâng
ναι	dạ
τιμές	giá
βασίλισσα	hậu
χημική	hóa
βίντεο	video
βίντεο	video
βίντεο	videos
παλιά	cũ
παλιά	tuổi
παλιά	già
βρετανία	britain
στρατηγός	tướng
στρατηγός	chung
εξαιρετικά	đan
ίδρυμα	quỹ
ίδρυμα	foundation
ίδρυμα	nọc
ίδρυμα	sở
υπόλοιπα	nghỉ
υπόλοιπα	iên
σταθμό	trạm
σταθμό	ga
σχετική	related
προπονητές	coaches
διαμέρισμα	phẳng
διαμέρισμα	hộ
γράμματα	đuôi
γράμματα	thư
γράμματα	chữ
μακεδονία	macedonia
πιθανώς	chu
ανδρέας	andreas
κάποιοι	cầy
εθνικός	gạt
υόρκη	york
βασιλική	royal
μνημείο	landmark
μνημείο	mốc
μνημείο	memorial
τζέιμς	james
είπε	nói
είπε	bảo
είπε	said
γονείς	song
πανελλήνιο	panhellenic
μάχες	fighting
καθεστώς	status
καθεστώς	scheme
ρωμαϊκή	roman
ρωμαϊκή	đế
λογική	luận
λογική	logic
βυζαντινή	byzantine
ολυμπιακούς	olympic
ολυμπιακούς	olympics
μοναδικό	unique
δικαιωμάτων	quyền
όρια	hạn
φυσικό	chích
κώδικα	code
κώδικα	mã
αέρα	khí
αέρα	air
δήλωσε	tuyên
πτώση	falling
πτώση	rơi
πτώση	giọt
πτώση	bỏ
πτώση	thả
πτώση	sáp
πτώση	rơi
πτώση	sút
πτώση	ngã
ζαν	jean
ζαν	jeanne
αυστραλία	australia
αυστραλία	úc
κίνα	china
παίκτης	player
φεβρουάριο	tháng
πολιτεία	bang
μυθιστόρημα	fiction
αμερικανική	american
αμερικανική	mỹ
πιθανόν	chu
λεξικό	lexicon
λεξικό	điển
νόμο	luật
ζώα	vật
σενάριο	script
ενάντια	dũng
ενάντια	chống
επαφή	lạc
μπλε	xanh
εργασίες	jobs
ολόκληρη	toàn
ολόκληρη	hẹt
ολόκληρη	whole
κινδύνου	liều
κινδύνου	ro
κινδύνου	hazard
ρόμπερτ	robert
βιβλιογραφία	bibliography
κρήτη	crete
πλήρη	say
πλήρη	full
πλήρη	đầy
λεζάντα	caption
ανάγκη	cần
ισχύει	lệ
οδηγεί	dẫn
ρώμης	phòng
ρώμης	rome
ρώμης	roma
ιερά	thánh
συνάρτηση	hàm
αξία	giá
μάζα	nhái
μάζα	mass
ειρήνη	hòa
προσπάθησε	thử
φωνή	voice
φωνή	giọng
οικογένειες	gia
ομώνυμο	homonym
εντολή	lệnh
εντολή	huy
εντολή	lềnh
γάλλοι	pháp
γάμο	cưới
θρησκεία	đạo
αδελφός	huynh
κατάκτηση	conquest
υπέγραψε	ký
σοβιετική	soviet
κερδίσει	thang
κερδίσει	win
κερδίσει	thắng
μακριά	xa
μακριά	phí
περ	khoảng
περ	approx
περ	pr
περ	per
περιγραφή	tả
πύλη	gate
πύλη	cổng
πύλη	portal
πύλη	cổng
πύλη	cổng
πύλη	gateway
ελ	elle
βαθμολογία	điểm
βαθμολογία	điểm
γεννημένος	sinh
χίτλερ	hitler
περιέχουν	chứa
ελευθερία	do
ελευθερία	liberty
ταξίδι	voyage
ταξίδι	du
ταξίδι	tý
ταξίδι	lượt
ταξίδι	trip
μοναδική	unique
ακτή	bờ
ακτή	shore
ακτή	coast
ομοσπονδίας	federation
ήθελε	wanted
ντεμπούτο	debut
χέρι	tay
χέρι	tay
στούντιο	studios
στούντιο	studio
κάρολος	charles
πέτρος	peter
πέτρος	phêrô
πέτρος	petros
άνοδο	anode
μέτωπο	trán
ουσία	chất
δούκα	duke
παναθηναϊκός	panathinaikos
δίκαιο	luật
δίκαιο	fair
εταιρία	ty
επιστήμη	khoa
θεραπεία	chữa
θεραπεία	cure
θεραπεία	đãi
μόνος	độc
σχόλιο	luận
νομό	quận
νομό	hạt
μόνη	độc
οθωμανική	ottoman
απελευθέρωση	release
απελευθέρωση	nhả
σύγκρουση	collision
σύγκρουση	xung
ασφαλείας	ninh
σούπερ	super
σούπερ	siêu
τραγουδιστής	vocalist
ηπείρου	epirus
παίζει	thấm
παίζει	chơi
παίζει	divx
ευκαιρία	hội
ινστιτούτο	viện
τάση	trend
περιοδεία	tour
ειδική	cống
βασίλης	claus
ανατολή	đông
ανατολή	orient
σταθερά	hằng
κεφάλι	đầu
κεφάλι	đàu
κεφάλι	head
πλάτος	rộng
νύχτα	đêm
μάικλ	michael
συνέδριο	thảo
μπάσο	bass
απόδοση	suất
επεισόδιο	tập
επεισόδιο	episode
ελεύθερη	free
ελεύθερη	rảnh
παπανδρέου	papandreou
ποταμός	sông
χρυσή	vầng
χρυσή	golden
χρυσή	đỏi
μαθήματα	hạng
ηγέτης	leader
ιερό	thánh
πόδια	feet
πόδια	chân
πόδια	mét
πόδια	chân
πόδια	xương
αρχικό	gốc
αρχικό	tác
επίπεδα	cấp
τηλεόραση	tv
τηλεόραση	tivi
λευκό	trắng
λευκό	white
λευκό	bạch
μικρός	nhỏ
μισό	nửa
λέξεις	lời
δούκας	duke
γωνία	góc
γωνία	góc
κανάλι	kênh
νίκησε	bại
αγάπη	love
αγάπη	yêu
βουλγαρία	bulgaria
άμεση	direct
άμεση	trực
άμεση	tức
θεόδωρος	theodoros
ελένη	eleni
ελένη	helen
παναγιώτης	panagiotis
σύνδεσμος	link
πλήρες	say
πλήρες	full
πλήρες	đầy
θάνατος	chết
γενικό	tướng
γενικό	chung
τζάκσον	jackson
πατρίδα	motherland
πατρίδα	nhà
πατρίδα	homeland
φωτογραφία	photo
φωτογραφία	foto
φωτογραφία	ảnh
φωτογραφία	ảnh
κατεύθυνση	hướng
ηρακλής	hercules
κόσμος	giới
κόσμος	người
καλύπτει	covers
νικητής	thang
νικητής	thắng
όργανο	organ
μόνον	chỉ
μόνον	duy
ανδρέα	andreas
μείωση	giảm
ιατρική	thuốc
κύπελλα	tách
κύπελλα	cups
κύπελλα	bện
πλανήτη	tinh
εξέγερση	loạn
εξέγερση	riot
εξέγερση	loạn
λήξη	end
λήξη	kết
ακτές	coast
επεισόδια	tập
επεισόδια	episodes
αντίσταση	vây
αντίσταση	cự
φωτογραφίες	ảnh
φωτογραφίες	ảnh
καρλ	karl
καρλ	carl
διάδοχος	ngai
γιάννη	yannis
παλαιά	cũ
παλαιά	tuổi
παλαιά	già
κύκλο	tròn
κύκλο	lượn
υλικά	nguyên
