eternidade	amžinybę
ombreiros	pečius
ouviches	tu
ouviches	girdėjau
alianza	vestuvės
alianza	vestuves
alianza	žiedas
alianza	aljanso
súper	super
aliados	sąjungininkų
aliados	sąjungininkai
vendendo	parduodama
tu	tu
inxusto	sąžiningą
inxusto	nesąžiningos
inxusto	nesąžiningas
inxusto	nesąžininga
adestrado	apmokyti
falado	kalbėjo
falado	kalbėjo
dio	pasakyti
fraternidade	brolija
fraternidade	brolijos
fraternidade	brolija
coitelos	peilius
coitelos	peiliai
páramo	atsiremti
inverness	inverness
protestante	protestantų
pólvora	milteliai
pólvora	miltai
escoceses	škotų
británicos	britanijos
británicos	britai
británicos	britų
kaili	kaili
disme	tu
bombardeos	bombardavimo
cabaza	moliūgas
cazador	medžiotojas
folk	liaudis
time	laiko
time	laikas
time	lapą
time	žurnalas
masturbación	masturbacija
paralelo	lygiagrečiai
esconder	slėpti
cómprenos	turi
cráter	krateris
ali	ali
ferrocarril	geležinkeliai
ferrocarril	geležinkelis
prace	prašom
prace	prašau
homiño	vyru
homiño	vyras
homiño	žmogus
ventas	pardavimai
ventas	pardavimas
ventas	parduotas
lynch	lynch
morrerei	mirti
vogel	vogel
santi	santi
santi	tu
stones	akmenų
stones	akmenys
irreversible	negrįžtamas
enigma	mįslė
rodeado	apsupti
fodida	velnias
franck	frank
franck	frenkas
yamada	yamada
bordel	viešnamį
françois	françois
florència	florencia
cat	katės
cat	katinas
cat	cat
cat	katė
casterly	akmuo
casterly	rokas
casterly	rock
llelo	jais
llelo	jas
llelo	joms
llelo	jiems
llelo	jomis
llelo	juos
zoo	zoo
diagnóstico	diagnozės
diagnóstico	diagnozė
diagnóstico	diagnostika
monos	apa
monos	beždžionė
parto	gimimas
creativo	kūrybos
ouvido	ausies
temor	baimė
temor	baime
temor	baimės
exclusiva	išimtinė
exclusiva	išimtinę
exclusiva	išimtinis
recoñecido	pripažintos
series	serija
series	serijos
expulsado	išmestas
específica	konkrečių
escoitara	girdėjau
collendo	žūklės
sistemática	reklama
complexas	kompleksas
complexas	sudėtingas
terrorista	teroristų
terrorista	teroristai
dixéronnos	kad
probabilidades	šansai
fibra	fiber
bbc	bbc
simpatía	užuojautą
negociación	derybos
expresións	išraiškos
sentan	jie
adestrados	apmokyti
aspiracións	siekius
aspiracións	siekiai
árabes	arabai
collía	būtų
probabilidade	galimybė
cepillo	šepetėlį
cepillo	teptuku
doloroso	skausmingas
doloroso	skausminga
termina	baigiama
termina	baigiasi
contraste	svyravimų
vacinas	skiepijimas
vacinas	vakcinacija
vacinas	vakcinacijos
faltan	trūksta
fda	fda
pediron	paprašė
pediron	jie
neto	anūkas
guapos	gražuolis
guapos	gražus
sensacións	pojūčius
pensemos	manau
cavernas	urvas
cavernas	olas
pagando	mokėjimo
transformación	transformacija
transformación	transformacijos
salas	kambariai
secuencia	seka
lembran	prisiminti
lumes	gaisrai
lumes	gaisrų
tocan	žaisti
tocan	groti
esquizofrenia	minimi
auditorio	auditorijoje
invisíbel	nematomas
furia	fury
graciñas	dėkui
graciñas	ačiū
graciñas	tu
menciña	vaistas
cuxos	kieno
furacán	uraganas
algas	dumblių
algas	dumbliai
mariño	jūra
mariño	jūros
crítico	esminė
tóxicos	toksinių
tóxicos	toksinų
tóxicos	toksinai
nube	debesis
nube	debesys
nube	debesų
dakota	dakotos
pagaches	tu
mesturar	mix
fluxo	srauto
fluxo	srautas
extraordinarios	nepaprasto
insoportable	nepakeliamas
conselleiros	patarėjai
conselleiros	konsultantai
negativa	atsisakymas
sexto	šeštoji
sexto	šešta
sexto	šeštasis
sexto	šeštosios
asociacións	asociacijos
asociacións	asociacijoms
traducir	išversti
promesas	pažadai
promesas	pažadų
envellecer	amžiaus
envellecer	amžius
envellecer	senėjimo
moscas	skrenda
sucesos	renginiai
sucesos	įvykiai
sucesos	įvykių
eiquí	čia
eiquí	cia
foras	tu
usaban	jie
bombeiros	ugnies
bombeiros	gaisro
bombeiros	gaisras
bombeiros	ugnis
bombeiros	ugniagesiai
compañeira	kambariokas
pata	kojos
salsa	padažas
salsa	padažu
modernas	moderni
pasaban	jie
sensatez	išmintis
sensatez	išminties
residuos	atliekos
socios	associates
ensinarlles	išmokyti
ensinarlles	jais
ensinarlles	jas
ensinarlles	joms
ensinarlles	jiems
ensinarlles	jomis
ensinarlles	juos
respostar	atsakymas
respostar	atsakyti
odiar	nekenčiu
odiar	neapykanta
traballaron	dirbau
traballaron	dirbo
recta	tiesus
recta	tiesiai
tiñades	tu
factura	bilas
medrando	auga
aprenda	išmokyti
reflexión	atspindys
reflexión	atspindžio
terribles	siaubingai
terribles	baisiai
terribles	baisios
deseguida	greit
deseguida	greitai
pilas	baterijų
pilas	akumuliatoriai
pilas	baterijos
mercamos	nusipirko
construído	statybų
lesión	traumos
lesión	žala
lesión	trauma
lesión	žalos
lesión	sužalojimas
humidade	vat
erades	tu
asombroso	nuostabu
asombroso	nuostabus
asombroso	nuostabi
construín	statybų
froitas	vaisiai
comezas	tu
fisicamente	fiziškai
estimado	brangi
estimado	brangioji
estimado	brangus
forzado	priverstinis
escaseza	stygius
escaseza	trūkumas
mama	krūtų
mama	krūties
mama	mama
unirse	prisijungti
culpar	kaltinti
lincoln	linkolnas
viaxeiro	keliautoja
viaxeiro	rambler
ironía	ironija
artes	meno
artes	menas
artes	menų
levalos	jais
levalos	jas
levalos	joms
levalos	jiems
levalos	jomis
levalos	juos
occidentais	vakarų
recén	tik
recén	tiesiog
opinan	tu
opinan	manau
comidas	valgius
conflitos	konfliktas
conflitos	konfliktų
leóns	liūtai
distancias	atstumai
laura	laura
limón	citrinų
limón	citrinos
bebes	gėrimas
bebes	gerti
estannos	jie
brutal	žiauri
brutal	žiaurus
pechou	uždaryta
pechou	uždara
regato	stream
turing	tiuringo
canles	kanalais
canles	kanalai
traballe	darbas
vaga	bangos
vaga	bangų
vaga	banga
nerviosos	apie
durmiu	miegas
durmiu	miego
querendo	dar
horta	sode
horta	sodas
arterias	arterijų
illada	izoliuota
salvou	išgelbėjo
crocodilo	krokodilas
póla	filialas
póla	šaka
acompañar	lydėti
cameron	cameron
culpables	atliktų
grandeza	didybės
humildes	kuklus
humildes	meek
tarxetas	korteles
tarxetas	kortos
aforrar	išsaugoti
chegues	tu
picos	smailių
picos	dvynys
seredes	tu
máxico	magija
máxico	stebuklingas
máxico	stebuklinga
obrigas	pareigas
galaxias	galaktikų
sento	jaustis
granada	granata
granada	granada
invitado	pakviesti
invitado	pakvietė
invitado	pakviesta
invitado	pakviestas
invitado	svečias
máscaras	kaukės
beneficencia	labdara
beneficencia	labdaros
obxección	protestas
obxección	prieštaravimo
obxección	prieštaravimas
khan	khan
cicatrices	dėmės
cativas	mergaitės
cativas	mergaites
cativas	merginos
cantan	dainuoti
cantan	jie
acta	ataskaita
ésta	šio
democrático	demokratinė
democrático	demokratinis
democrático	demokratinės
democrático	demokratinėje
utopía	utopija
asemade	laiko
asemade	laikas
tensión	įtampa
sácao	jį
postais	atvirukus
pantasmas	vaiduokliai
liberados	išleistas
tormenta	audros
tormenta	audra
respectos	gerbia
pesadelos	košmarai
atacado	užpuolė
traerei	įtraukti
barca	valties
barca	valtis
santos	šventieji
veciña	kaimynas
saíra	ji
saíra	jai
saíra	gavo
marchando	žygiuoja
déixamo	šio
pódoche	tu
poñerte	tu
desfile	procesija
prégolle	prašom
prégolle	prašau
amen	amen
mudo	kvailas
mudo	tyli
frauta	fleita
toleou	proto
coñézoo	jį
salvalo	išsaugoti
salvalo	jį
xúrocho	prisiekiu
burgués	buržuazinių
concentrado	koncentruota
concentrado	koncentruotą
concentrado	koncentruotas
teríao	būtų
red	raudona
téñome	gavo
alugar	nuoma
paces	taikos
paces	taikai
paces	fredas
paces	taika
repartir	akcija
repartir	dalintis
ecos	aidai
mansión	sodyba
mansión	namas
cansazo	išnaudojimas
cansazo	gydantis
cansazo	nuovargis
compensación	kompensacija
compensación	kompensacijos
cravos	nagus
cravos	nagai
matárono	jį
bandullo	pilvo
bandullo	pilvas
xura	tu
xura	prisiekiu
chairas	lygumų
construtores	statybininkų
ensalada	salotų
ensalada	salotos
choran	verkia
choran	verkti
pacto	paktas
pacto	pakto
oíu	girdėjau
comités	komitetai
xogaba	žaidžia
ficará	bus
viñera	ateik
rolda	konferencija
vinos	jais
vinos	jas
vinos	joms
vinos	jiems
vinos	jomis
vinos	juos
fareiche	tu
donald	donaldas
dave	dave
dave	deivas
corno	ragas
mataría	nužudyti
mataría	būtų
crueldade	žiaurumas
atentado	ataka
consigna	sandėliavimas
consigna	saugojimas
allo	česnakų
allo	česnako
dose	dozė
dose	dozė
dose	dozės
escopeta	šautuvas
escopeta	šautuvą
entraches	tu
roubaches	pavogtas
gracia	juokinga
escudo	skydo
escudo	skydas
torneo	turnyras
torneo	turnyro
capela	koplyčia
levabas	tu
lápida	akmens
lápida	antkapio
mandíbula	žandikaulio
póñense	jie
oílo	išgirsti
chamareite	vadina
chamareite	tu
crema	grietinėlė
crema	kremo
crema	grietinėlės
fíxenche	tu
quererás	tu
quererás	nori
quererás	norit
quererás	don
empezaches	tu
destrúe	naikina
martelo	plaktuką
dubídoo	abejonės
interrogado	apklausą
miura	miura
iens	yuan
ofensiva	puolimas
desesperados	beviltiška
wright	wright
trago	gėrimas
trago	gerti
gústanlle	patinka
gústanlle	mėgsta
ernesto	ernesto
pallaso	klounas
estiveses	tu
cosas	daiktai
cosas	dalykai
salvatore	salvatore
metralladora	pistoletas
metralladora	ginklą
metralladora	ginklas
metralladora	įranga
matalos	nužudyti
matalos	jais
matalos	jas
matalos	joms
matalos	jiems
matalos	jomis
matalos	juos
automóbil	automobilių
durmida	miega
silenzo	tyla
temores	baimes
abandonados	apleistas
abandonados	apleista
cubana	kubos
touros	bulių
mudaches	tu
coelliño	boni
pretos	juodai
pretos	juodas
pretos	juodi
pretos	juoda
extranxeiros	užsieniečių
extranxeiros	užsieniečiai
extranxeiros	užsienio
cazaría	medžioti
hiroshima	hirosima
raparigas	mergaitės
raparigas	mergaites
raparigas	merginos
escrava	vergas
embaixador	ambasadorius
kingsley	kingsley
les	tu
nazi	nacių
adorábel	gražiai
adorábel	gražus
adorábel	gražūs
adorábel	gražu
adorábel	gražios
adorábel	miela
lema	šūkis
latas	skardinių
bebín	išgėrė
representaba	sudarė
servente	tarnas
servente	tarnautojas
phillips	philips
senador	fantastika
senador	senatorius
camareira	padavėja
sóltao	jį
protexa	apsaugoti
camioneta	sunkvežimis
construída	statybų
kaya	kaya
cabalgar	ri
balcón	balkonas
eddy	edi
monsieur	mesjė
gong	gong
réndome	išeiga
calo	ramu
calo	tyliai
marcou	ragina
versalleses	kariai
daga	durklas
boubacar	boubacar
iraquí	irako
satanás	šėtonas
aceptou	sutarta
preguntáronme	jie
preguntáronme	paprašė
abrimos	atverti
impulsos	impulsų
impulsos	ankštiniai
contarlles	tu
cardíaca	širdy
cardíaca	širdies
cardíaca	širdis
coidan	jie
trastornos	sutrikimai
desordes	sutrikimai
crecente	auga
conferencias	konferencijos
conferencias	konferencija
conferencias	konferencijų
conferencias	konferencija
interesaba	domina
interesaba	susidomėję
tumor	auglys
convencional	įprastinis
sobor	apie
comentar	komentaras
comentar	komentarų
comentar	komentuoti
esteades	tu
instinto	instinktas
encanta	myliu
encanta	meile
encanta	meilės
encanta	meilė
encanta	labai
encanta	daug
ventá	langas
ventá	lango
seguían	dar
decenas	dešimtys
democrática	demokratinė
democrática	demokratinis
democrática	demokratinės
democrática	demokratinėje
castigados	nubausti
porá	bus
reixas	barų
navegar	bures
resiste	priešinasi
decepcionado	nusivylęs
lexislación	įstatymai
mutacións	mutacijos
mutacións	mutacijų
proteínas	baltymų
proteínas	baltymai
viaxamos	kelionėms
viaxamos	kelionei
viaxamos	kelione
viaxamos	kelionės
viaxamos	kelionė
candidato	kandidatas
candidato	kandidatės
laboratorios	labs
laboratorios	laboratorijos
laboratorios	laboratorijų
veredicto	nuosprendis
sensibles	jautrus
sensibles	jautri
sensibles	jautrios
desaparecida	trūksta
cables	vielų
cables	eilutės
cables	linijos
interaccións	sąveika
eido	laukas
quererían	būtų
quererían	nori
quererían	norit
axeitados	sąžiningą
axeitados	tinkamai
bush	bušas
universitarios	koledžas
universitarios	kolegijos
universitarios	kolegija
universitarios	koledžo
axudará	bus
preocupas	apie
aprenderon	išmoko
aprenderon	mokoma
aprenderon	išmokė
galiña	višta
galiña	vištiena
galiña	vištos
galiña	vištienos
distribución	platinimas
distribución	paskirstymo
distribución	paskirstymas
distribución	pasiskirstymas
protexida	saugomų
deseñados	suprojektuoti
deseñados	suprojektuotos
deseñados	suprojektuota
deseñados	suprojektuotas
deseñados	gaminamos
meterse	prakeiktas
intensa	stiprūs
intensa	tvirtas
intensa	stipri
intensa	stiprus
intensa	intensyvus
intensa	intensyvi
relixioso	religinių
duran	ilgalaikio
duran	duran
duran	don
combinar	apie
oíron	girdėjau
dirían	būtų
dirían	pasakyti
misións	komandiruotės
misións	misijų
misións	misijos
mississippi	misisipės
serios	rimti
serios	rimta
serios	rimtas
serios	rimtų
funcionará	darbas
funcionará	laimėjo
facilidade	lengvai
promoción	skatinimas
promoción	propagavimas
promoción	skatinimo
círculos	apskritimai
círculos	ratu
netos	anūkų
netos	sūnūs
netos	apie
asistentes	padėjėjai
asistentes	pavaduotojai
receitas	skyrimą
receitas	receptai
acuario	žuvis
acuario	žuvys
acuario	žuvų
acuario	akvariumas
chinesa	kinų
chinesa	kinijos
chinesa	kinas
abran	atverti
neurona	neuronas
lesións	sužalojimai
permitiu	leidžiama
permitiu	absoliutus
rapidez	greitas
rapidez	greita
rapidez	greiti
rapidez	greitai
rapidez	greit
rapidez	greitis
rapidez	greičio
acople	linijos
espectro	spektro
espectro	spektras
sagrados	šventa
sagrados	švento
menciñas	narkotikai
controlamos	kontrolė
controlamos	tu
móbiles	mobilusis
móbiles	saugojimo
móbiles	mobilus
móbiles	telefonai
mergullar	nardymo
fálase	žodžiai
escribiron	parašiau
escribiron	parašė
escribiron	rašė
escribiron	jie
escribiron	rašyti
afastarse	šalin
sobreviven	išgyventi
sobreviven	vaikas
sobreviven	vaikui
sobreviven	išgyvenamumo
sobreviven	išgyvenamumas
sobreviven	išgyvenimo
aterrador	baisus
indiferente	abejingi
suíza	šveicarijos
suíza	šveicarija
enciclopedia	enciklopedija
trapo	audinys
mono	apa
mono	beždžionė
westminster	vestminsterio
lazos	ryšius
lazos	obligacijų
lazos	obligacijos
comunicacións	telefonas
europeos	europiečiai
coñecela	labui
coñecela	malonumas
descubrimentos	atradimų
descubrimentos	atradimas
vellez	senas
vellez	amžiaus
vellez	amžius
proteína	baltymų
proteína	baltymas
proteína	baltymai
activos	aktyviai
activos	aktyvi
activos	aktyvus
porteiro	porter
hainos	jais
hainos	jas
hainos	joms
hainos	jiems
hainos	jomis
hainos	juos
vivan	gyva
vivan	live
vivan	gyvi
vivan	gyventi
vivan	gyvos
vivan	ilgai
vivan	ilga
vivan	ilgas
eternamente	amžinai
video	video
sexy	seksualus
pinturas	piešiniai
pinturas	paveikslai
vangarda	avangardas
fregar	mop
fregar	krūmynai
viuno	tu
viuno	jį
espiral	spiralę
competir	konkuruoti
depósitos	parduotuvės
depósitos	parduotuvėse
telos	jais
telos	jas
telos	joms
telos	jiems
telos	jomis
telos	juos
merecen	jie
merecen	nusipelno
merecen	verti
viviron	gyveno
viviron	gyvenau
artificial	dirbtinių
artificial	dirbtinis
artificial	dirbtinė
estatus	būsena
estatus	statusą
estatus	būklė
estatus	būsenos
democráticos	demokratinė
democráticos	demokratinis
democráticos	demokratinės
democráticos	demokratinėje
democráticos	klubai
criterio	kriterijus
observando	stebi
salto	šuolis
traelo	įtraukti
traelo	jį
lanzar	išmesti
gusten	patinka
gusten	mėgsta
gusten	lyg
gusten	kaip
influír	įtaka
quedando	veikiančių
quedando	važiavimas
asistir	ateik
rebentar	smūgis
darán	bus
darán	jais
darán	jas
darán	joms
darán	jiems
darán	jomis
darán	juos
metano	metano
metano	metanas
metano	dujos
desafortunadamente	deja
camiseta	marškiniai
camiseta	marškinėliai
críticas	kritika
críticas	kritikos
críticas	kritiką
convertéronse	tapti
probamos	išbandyta
probamos	tiriami
probamos	išbandytas
gratis	joja
gaza	gazos
gaza	juostelės
bandos	stovyklos
bandos	stovyklose
sentíase	veltinio
sentíase	ji
sentíase	jai
sentimental	sentimentalus
cualidades	savybes
feminino	moteris
feminino	patelės
feminino	moterys
feminino	moterų
feminino	patelė
curas	gydo
curas	kunigai
maldade	blogis
maldade	blogio
maldade	blogai
maldade	bloga
maldade	blogas
maldade	blogi
viras	tu
susto	išgąsdinti
liches	tu
irónico	ironiška
recibiches	gautas
recibiches	tu
recibiches	gavo
sorprendentes	stebina
sorprendentes	nuostabu
sorprendentes	nuostabus
sorprendentes	nuostabi
deteñan	sustabdyti
deteñan	šalin
morreremos	mirti
economicamente	ekonomiškai
precisabamos	reikėjo
existise	egzistuoti
existise	egzistavo
catálogo	katalogo
catálogo	katalogas
bestas	gyvūnai
bestas	gyvuliai
bestas	gyvūnų
infantaría	pėstininkų
lucro	pelnas
lucro	pelno
baía	įlanka
xera	sukuria
nemo	nemo
apertura	viešumas
apertura	atvirumas
apertura	atvirumą
apertura	atvirumo
probando	bandymai
observacións	stebėjimai
observacións	pastebėjimai
observacións	pastabos
observacións	pastabas
observacións	komentarai
observacións	pastabas
observacións	pastabos
observacións	komentaruose
volante	ratas
volante	rato
educativo	švietimo
educativo	švietimas
educativo	išsilavinimas
saque	tu
canal	kanalas
encontrou	giuliano
desaparecerá	dingo
desaparecerá	bus
desaparecerá	dingsta
morrerán	mirti
morrerán	jie
morrerán	bus
daquí	čia
daquí	cia
sobreviviu	išgyveno
drake	drake
levara	bus
levara	švino
bares	barų
excursión	ekskursija
queima	bus
queima	dega
queima	karšti
queima	karšto
queima	karšta
queima	karštas
xenerosidade	dosnumą
firmemente	tvirtai
produtores	gamintojai
musicais	muzikos
musicais	rekordas
monumento	paminklas
mitch	itch
españois	ispanų
españois	ispaniškai
españois	ispanijos
españois	ispanai
tardan	jie
tardan	jais
tardan	jas
tardan	joms
tardan	jiems
tardan	jomis
tardan	juos
dubidar	abejonės
dubidar	kad
progresar	afrikos
progresar	afrika
cansas	tu
viaxei	keliavo
chorei	verkė
circulación	apyvartą
calcular	apskaičiuoti
organizada	minutė
organizada	minutę
queríao	mylimas
queríao	mylėjo
queríao	jį
observación	pastebėjimas
observación	stebėjimai
observación	stebėjimas
observación	stebėjimo
muti	muti
respeto	pagarba
silenciosa	ramu
silenciosa	tyliai
silenciosa	tyli
traemos	įtraukti
traemos	atnešė
retratos	portretai
cortaron	jie
cortaron	taupymo
shock	šokiruota
shock	šokas
pertencía	jį
estúpidas	kvaila
horroroso	siaubingai
horroroso	siaubinga
horroroso	baisiai
fostes	tu
gastei	praleido
gastei	praleistas
gastei	išleista
ébola	ebolos
sardiñas	sardinės
caldo	jį
queiman	jie
queiman	dega
deixedes	don
66	bataliono
zume	sultys
zume	sulčių
rex	rex
filtro	filtras
filtro	filtruoti
machada	ranka
machada	kirvis
dilema	dilema
psicoloxía	psichologija
cooperar	bendradarbiauja
cooperación	bendradarbiavimas
cooperación	bendradarbiavimo
disputa	ginčas
disputa	ginčai
aneis	žiedai
ouvimos	girdėjau
afectado	šokiruota
francis	pranciškus
tentación	pagunda
apartamentos	butų
apartamentos	buto
apartamentos	butas
apartamentos	bute
legalmente	teisiškai
legalmente	teisėtai
bocado	gabalas
piratería	įsilaužimo
mentalidade	mentaliteto
mercando	pirkti
republicano	respublikonų
pechadas	uždaryta
pechadas	uždara
pirata	piratas
ganancias	kas
ganancias	kurie
ucrania	ukrainoje
ucrania	ukraina
prepararse	parengti
traen	įtraukti
traen	jie
morena	amazon
holm	vargšas
holm	vargšai
holm	david
holm	deividas
holm	dovydas
véspera	ieva
durará	bus
irmanciña	sis
irmanciña	sesuo
irmanciña	sese
irmanciña	sesė
bromas	pokštas
bromas	juokelių
inmobiliario	tikras
fraga	medienos
fraga	mediena
fraga	miškas
vampiro	vampyre
continuamos	tęsti
galo	gaidys
restan	keletą
eterno	amžina
treboada	audros
treboada	audra
vólveme	karalius
atento	atsargiai
brétema	rūko
donbass	donbass
velada	vakaras
velada	vakaro
velada	vakare
velada	malonaus
jackie	jackie
conseguirás	tu
bule	greitas
bule	greita
bule	greitai
bule	don
hanse	klausti
hanse	paprašyti
hanse	bus
fieis	tiesa
fieis	tikra
fieis	atsidavusi
fieis	ištikimas
detédevos	tu
detédevos	sustabdyti
detédevos	kur
canalla	utėlė
escapei	šalin
entregalo	turi
entregalo	jį
faltas	ženklai
faltas	juodai
faltas	juodas
faltas	juodi
faltas	juoda
protestar	protestas
protestar	protestuoti
telas	gavo
telas	tu
camisón	chalatu
alumnas	mergaitės
alumnas	mergaites
alumnas	merginos
cha	bus
cha	senas
regresarei	ateik
queixarse	apie
pica	skauda
barbeiro	barber
díxencho	tu
pida	nori
pida	norit
pida	klausia
quéreo	nori
quéreo	norit
quéreo	tu
coidas	manau
coidas	tu
pensións	pensija
pensións	pensijos
douradas	rankovių
coxas	blauzdos
coxas	šlaunies
vante	tu
ladrillos	plytų
ladrillos	plytos
ladrillos	plytų
ryo	ryo
sínteste	jaustis
sínteste	tu
síntese	jaučiasi
tómao	tu
matrícula	ilinojaus
matrícula	registracija
matrícula	registracijos
matrícula	registravimas
roubarlle	vogti
crenzas	įsitikinimus
turba	mafija
turba	mob
grant	gramo
mentireiros	melagiai
sally	salis
sally	sale
falarche	kalbėti
falarche	tu
trabúcaste	tu
banca	bankas
banca	bankininkystė
banca	bankininkystės
despedir	pasakyti
despedir	sak
prepare	parengti
prepare	paruošti
sorprendido	nustebęs
comprou	nusipirko
comprendeu	kad
intelectuais	intelektualai
intelectuais	intelektinė
intelectuais	intelektinės
valley	slėnis
thompson	tompsonas
dálles	jais
dálles	jas
dálles	joms
dálles	jiems
dálles	jomis
dálles	juos
güisqui	viskis
hole	skylė
chámeme	tu
chámeme	vadina
coña	tu
testán	užsispyręs
raymond	raimondas
churchill	čerčilis
campbell	campbell
cargamento	krovinys
atoparía	būtų
atoparía	tu
puntería	kadras
debías	tu
debías	turėtų
tentas	tu
corland	tu
sinxeleza	paprastumas
subsistencia	išgyvenamumo
subsistencia	išgyvenamumas
subsistencia	išgyvenimo
pagarche	tu
escriba	rašyti
inxenuo	naivi
agrada	lyg
agrada	kaip
raras	juokinga
candy	saldainis
interésalle	domina
interésalle	susidomėję
interésalle	tu
interésalle	nori
interésalle	norit
absurda	absurdiška
absurda	absurdas
detelo	jį
detelo	sustabdyti
vouna	tu
soterrar	palaidoti
bedel	čia
bedel	cia
bedel	tarnas
bedel	tarnautojas
jeb	jeb
quedarás	tu
pecharon	uždaryta
pecharon	uždara
pecharon	jie
lembralo	prisiminti
bridge	tilto
bridge	tiltas
gústanche	tu
gústanche	lyg
gústanche	kaip
comiches	tu
mentín	tu
mentín	melas
molestalo	trukdyti
molestalo	tu
mírao	saugok
mírao	prižiūrėti
ódioo	nekenčiu
ódioo	neapykanta
ódioo	jį
imaxinei	įsivaizduoti
mandil	perono
enténdelo	tu
dígocho	tu
marabillosos	nuostabaus
marabillosos	nuostabu
marabillosos	nuostabios
marabillosos	nuostabus
marabillosos	nuostabi
aburrimento	nuobodulio
aburrimento	rer
aburrimento	ašaros
solteiro	bakalauro
namorou	myliu
namorou	meile
namorou	meilės
namorou	meilė
boneca	lėlė
pobriña	vargšas
pobriña	vargšai
pobriña	daiktas
pobriña	dalykas
volvícheste	tu
volvícheste	dingo
descarado	šviežias
descarado	šviežios
descarado	švieži
descarado	šviežia
sentiches	veltinio
sentiches	jaustis
sentiches	tu
fumo	dūmai
fumo	dūmų
subdirector	ass
subdirector	asistentas
subdirector	padėjėjas
sorpréndeme	nustebęs
reunidos	surinktas
reunidos	surinkti
reunidos	surenkamos
reunidos	surinktos
levámolo	jį
preguntes	klausti
preguntes	paprašyti
preguntes	don
fichas	traškučių
angelo	angelo
artesáns	meistrams
artesáns	meistrai
artesáns	žydų
tropez	tropez
bandidos	banditai
marchaches	tu
marchaches	paliko
cabras	ožkų
cabras	ožkos
lévote	tu
lévote	vykdyti
bótao	išmesti
bótao	šalin
bótao	tu
bótao	vykdyti
bótao	jį
fodas	nori
fodas	norit
virar	sukasi
pediches	paprašė
gústasme	lyg
gústasme	kaip
gústasme	tu
devolva	grįžimas
devolva	grįžti
devolva	grąžos
necesítote	reikia
necesítote	tu
metralladoras	įranga
metralladoras	ginklus
metralladoras	ginklų
metralladoras	ginklai
metralladoras	pistoletas
metralladoras	ginklą
metralladoras	ginklas
autonomía	autonomija
autonomía	autonomiją
autonomía	autonomijos
autonomía	savarankiškumas
francesco	francesco
declaracións	pareiškimai
mandato	įgaliojimai
mandato	mandatas
xardíns	sodai
retorno	grįžimas
retorno	grįžti
retorno	grąžos
doadamente	lengvai
acompaña	lydi
aramado	vielos
aramado	laido
aramado	viela
aramado	tvoros
aramado	tvora
chamarte	ragina
chamarte	tu
chamarte	vadina
napoleón	napoleonas
boletín	specialių
