angus	angus
kokk	cociñar
kokk	cociñeira
kokk	cociñeiro
stolte	orgullosa
stolte	orgullosos
stolte	de
stolte	orgulloso
stolte	fachendoso
forhåpentligvis	esperanza
forhåpentligvis	espero
ladning	cargo
ladning	mando
ladning	cargos
ladning	carga
artilleriet	artillaría
artilleriet	artillería
levering	entrega
aktivitetene	actividades
anliggender	asuntos
skjul	ocultar
skjul	agochar
elskede	amado
elskede	querido
belysning	iluminación
ressurs	recurso
tomter	moita
tomter	moreas
tomter	moitas
tomter	moito
tomter	moitos
talende	falando
talende	de
talende	falar
talende	a
talende	falo
talende	con
staff	persoal
staff	bastón
staff	de
staff	plantilla
realistiske	realista
realistiske	realistas
røyk	fume
røyk	fumar
røyk	para
røyk	fumo
roser	rosas
fallende	a
fallende	namorarse
fallende	caendo
fallende	derrube
fallende	ardendo
problemstillinger	problemas
problemstillinger	cuestións
problemstillinger	temas
problemstillinger	asuntos
caribbean	caribe
astronaut	astronauta
vennen	amigo
vennen	amiga
enken	viúva
katter	gatos
buck	dólar
diagnose	diagnóstico
diagnose	diagnose
glemme	esquecer
glemme	esquezas
glemme	o
galakser	galaxias
rollefigur	carácter
luca	luca
retrett	retirada
konstitusjon	constitución
kampanjer	campañas
protein	proteína
saul	saúl
flow	fluxo
flow	transmisión
hiroshima	hiroshima
kvart	cuarto
eksplosjon	explosión
pride	orgullo
pride	orgulloso
adventure	aventura
strong	forte
strong	fortes
oppfant	inventou
fremskritt	progreso
fremskritt	proceso
fremskritt	progresos
fremskritt	segue
knuse	por
knuse	toliño
humphrey	humphrey
paper	papel
paper	xornal
paper	artigo
remember	lembrar
remember	lembro
remember	lembra
remember	lembras
moro	ben
moro	divertido
moro	divertida
lies	xace
lies	está
lies	reside
lies	mentira
lies	mentiras
villige	dispostos
villige	a
villige	disposto
villige	dispostas
villige	deus
villige	quere
villige	querería
villige	disposta
lesing	lendo
lesing	ler
lesing	lectura
lesing	a
sonny	filliño
smått	pequeno
smått	pequenos
smått	pequenas
smått	pequena
kongsgård	inmobiliario
elefanter	elefantes
elefanter	elefante
elefanter	marchar
målestokk	escala
ritt	pantalóns
ritt	volta
ritt	ir
ritt	liscar
klør	canteiros
klør	garras
hendte	lle
hendte	pasou
hendte	ocorreu
hendte	aconteceu
hendte	sucedeu
hendte	que
undertrykkelse	da
undertrykkelse	represión
undertrykkelse	opresión
overvåkning	vixilancia
erklæring	declaración
klassiker	clásico
prøv	tentar
prøv	intentar
fasiliteter	instalacións
nese	nariz
nese	o
nese	no
saints	santos
branner	lumes
vekke	levanta
vekke	esperta
vekke	espertar
vekke	arriba
fersk	fresco
fersk	fresca
fersk	frescos
fersk	descarado
fersk	descarados
fersk	frescas
fersk	cambiar
mack	mackie
mack	navalla
mack	mack
brutal	brutal
forstod	que
forstod	comprendín
forstod	entendían
forstod	entendeu
forstod	entendía
fineste	mellor
fineste	bos
gps	gps
returnert	volveu
innblandet	involucrado
innblandet	que
innblandet	implicado
innblandet	involucrada
senat	senado
senat	do
analysere	analizar
analysere	analizando
hvertfall	cando
hvertfall	menos
hvertfall	polo
sister	irmá
sister	a
oppdateringer	de
pakke	paquete
laser	láser
gange	andar
gange	camiñar
trass	pesar
trass	a
trass	malia
kundene	clientes
barack	barack
universell	universais
universell	universal
observasjon	observación
bombing	bombardeo
bombing	do
bombing	bombardeos
bombing	o
visning	espectador
visning	vista
visning	opinión
visning	punto
visning	visión
trapp	escaleiras
trapp	as
trapp	escaleira
trapp	escaleiras
fight	loitar
fight	contra
fight	loita
forebygge	previr
forebygge	evitando
forebygge	evitar
forebygge	previr
forebygge	que
forebygge	prever
sunn	san
sunn	saúde
sunn	sans
sunn	saudable
glimrende	excelentes
glimrende	excelente
glimrende	de
frakt	carga
frakt	cargamento
frakt	despachos
mama	mamá
mama	nai
desperat	desesperadamente
desperat	desesperado
desperat	e
illustrerer	ilustra
karibien	caribe
july	xullo
july	de
diskriminering	discriminación
telt	tendas
telt	tenda
telt	carpa
anskaffet	adquirían
skjebnen	destino
skjebnen	o
skjebnen	destino
photo	foto
trap	trampa
trap	boca
åser	outeiros
henrettelse	execución
advokater	avogados
substans	substancia
sedler	billetes
sedler	contas
sedler	as
sedler	facturas
met	coñecín
met	a
met	coñecemos
franc	francos
punktum	período
punktum	periodo
punktum	tempo
punktum	a
punktum	adolescencia
snudd	resultou
snudd	volta
snudd	sentía
trolldom	maxia
trolldom	máxico
trolldom	máxica
sjekker	o
solidaritet	a
solidaritet	solidariedade
billetter	billetes
billetter	entradas
brå	súpeto
brå	de
brå	repentino
aften	tarde
aften	noite
aften	serán
aften	noites
aften	tardes
read	lin
read	ler
read	leo
read	le
aspekt	aspecto
radioen	radio
rebel	rebelde
rebel	rebeldes
camel	camel
believe	cres
believe	creo
believe	que
believe	crer
believe	cremos
october	outubro
october	de
mais	millo
mais	trigo
terapi	terapia
terapi	de
bena	patas
bena	pernas
bena	as
bena	legs
panikk	pánico
independence	independencia
gjennomsnittet	media
gjennomsnittet	medio
gjennomsnittet	de
gjennomsnittet	estadounidense
gjennomsnittet	mediocre
midnatt	noite
midnatt	ano
midnatt	reloxo
midnatt	doce
midnatt	media
midnatt	medianoite
midnatt	da
midnatt	á
åpenbare	obvio
åpenbare	obvia
åpenbare	evidentes
åpenbare	normal
åpenbare	fixo
åpenbare	claro
negro	negros
negro	negro
eve	eva
eve	aninovo
eve	data
eve	véspera
eve	noitevella
bryggen	peirao
beer	cervexa
skadd	feridos
skadd	feridos
skadd	ferido
skadd	dano
skadd	ferido
drakter	traxes
loves	me
loves	quéreme
loves	ama
loves	quérete
loves	quere
fighting	loita
fighting	contra
fighting	loitar
fighting	loitamos
fighting	combate
fighting	pelexar
fighting	combater
tal	falo
tal	falar
tal	falamos
tal	fala
tal	fale
tal	con
near	preto
near	do
near	da
near	de
sinclair	sinclair
pope	papa
tunet	xardín
tunet	pendente
bits	partes
bits	pezas
prototype	prototipo
sweden	suecia
invitasjon	convídovos
invitasjon	a
magen	estómago
magen	o
magen	estómago
magen	ventre
magen	barriga
terrorisme	terrorismo
fund	fondo
fund	de
nabolaget	barrio
vitale	vital
forbrytelse	delito
forbrytelse	crime
forbrytelse	criminalidade
forbrytelse	crimes
forbrytelse	delincuencia
katolikk	católica
katolikk	católico
katolikk	catholic
sloss	loitei
sloss	contra
sloss	loitou
sloss	loitamos
solar	solar
solar	noso
moder	nai
moder	á
moder	mamá
ass	cu
fangen	preso
fangen	prisioneira
fangen	prisioneiro
fangen	prisioneiros
promotere	a
virtual	virtual
utfordre	reto
utfordre	desafío
utfordre	desafiar
brutalt	brutal
bear	oso
bear	osiño
barton	barton
penny	a
penny	penique
penny	penny
bekk	río
bekk	regato
grusomme	cruel
visdom	a
visdom	sensatez
visdom	sabiduría
visdom	sabedoría
lykken	felicidade
lykken	a
lykken	benestar
lykken	ledicia
sersjant	sarxento
sersjant	o
kobling	enlace
felle	trampa
felle	boca
dynamiske	dinámica
inspektør	inspector
inspektør	comisario
kusine	primo
kusine	curmán
nesen	nariz
nesen	o
nesen	no
spises	comer
spises	come
spises	comen
spises	comín
salomon	solomon
finger	dedo
finger	o
travis	travis
taxi	taxi
leave	deixar
cloud	nube
ervervet	adquirían
tradisjonene	tradicións
eksperiment	experimentos
eksperiment	experimento
eksperiment	experimentos
anbefale	aconsellan
anbefale	que
intellektuell	intelectual
separert	separadas
muskler	músculos
muskler	os
muskler	muscular
muskler	músculo
christiane	christiane
tykt	groso
regelmessige	regularmente
regelmessige	normal
regelmessige	típica
regelmessige	de
regelmessige	taxis
regelmessige	regular
pappa	pai
pappa	papá
pappa	pai
pappa	pai
pappa	papá
opprett	crear
opprett	creamos
opprett	unha
opprett	crean
deal	tratar
deal	negocio
deal	trato
slipp	liberación
slipp	lanzamento
slipp	en
slipp	liberdade
slipp	a
slipp	lanzamento
presise	exacto
sammenliknet	co
bryr	importa
bryr	igual
bryr	me
pain	dor
pain	moito
looking	a
looking	mirando
looking	mirar
looking	buscando
jagger	jagger
straight	en
straight	directo
straight	dereito
samspill	interactuando
samspill	co
gap	distancia
vinnende	gañar
universe	universo
universe	do
verdensomspennende	mundial
verdensomspennende	mundo
verdensomspennende	no
fidel	fidel
klokke	reloxo
klokke	de
klokke	pé
streker	reixas
kontrakter	contratos
goodbye	deica
goodbye	bico
goodbye	adeus
nøt	da
nøt	disfrutei
bridges	bridges
bridges	pontes
rivers	ríos
kontakte	contacto
kontakte	coñecidos
kontakte	en
kontakte	con
kontakte	podo
kontakte	contactar
syklus	ciclo
tør	se
tør	atreven
tør	a
dusin	ducias
dusin	ducias
dusin	ducia
dusin	de
betingelse	condición
betingelse	situación
betingelse	doenza
betingelse	estado
jill	jill
darkness	escuridade
heldig	afortunada
heldig	sorte
heldig	afortunado
heldig	con
heldig	de
heldig	sorte
jakte	cazar
jenkins	jenkins
lions	leóns
innimellom	cando
sad	triste
sad	tristes
ressursene	recursos
hypotese	hipótese
folkemord	xenocidio
vent	agardar
vent	espera
vent	espere
vent	agarda
ill	enfermo
ill	mal
ill	está
ill	enferma
ill	de
ill	enfermou
ill	doente
belastning	cargo
belastning	mando
belastning	cargos
belastning	carga
belastning	carga
torturert	torturado
torturert	torturada
tiltalte	acusado
tiltalte	imputado
tiltalte	o
tiltalte	calar
tiltalte	acusada
canyon	canón
venninne	moza
venninne	amigo
venninne	amiga
bestilling	orde
bestilling	para
bestilling	xiro
bestilling	postal
hector	héctor
sverget	xurou
sverget	cargo
sverget	o
sugar	azucre
ukeblad	revistas
ukeblad	revista
ukeblad	time
rytme	ritmo
tyngde	gravidade
tyngde	a
tyngde	peso
tyngde	importancia
roots	as
roots	raíces
amerikaner	estadounidense
amerikaner	americanos
amerikaner	americana
amerikaner	americano
kreativ	creativo
kreativ	creativos
kreativ	creativa
kreativ	creativas
dickinson	dickinson
homofil	homosexuais
homofil	homosexual
sårbare	vulnerables
sårbare	vulnerable
predikant	sacerdote
arktisk	ártico
tiltale	cargos
hoder	cabezas
eksakt	exactamente
eksakt	mesmo
eksakt	o
eksakt	exacto
eksakt	exacta
eksakt	mesmas
eksakt	exactamente
eksakt	mesma
factor	factor
rivaler	rivais
hate	odio
hate	os
hate	o
hate	a
dancing	baile
dancing	bailando
dancing	bailar
dancing	bailaba
picasso	picasso
inverness	inverness
stav	persoal
stav	bastón
stav	de
stav	plantilla
jump	así
jump	saltar
jump	chimpa
alone	soa
alone	só
alone	sós
alone	soas
alone	en
alone	paz
idrettsforeningen	se
disipliner	disciplinas
marty	marty
fredelige	pacífica
befal	orde
befal	motoras
befal	ordes
befal	mando
befal	de
befal	comando
undersåtter	temas
undersåtter	suxeitos
døtrene	fillas
cumberland	cumberland
corp	nosa
corp	corporación
vansker	dificultades
ideal	ideal
ideal	ideais
mislykkes	fracasar
mislykkes	fallan
mislykkes	non
mislykkes	falla
mislykkes	a
usynlige	invisibles
usynlige	invisible
døende	morren
døende	morte
døende	morrendo
døende	morrer
døende	moribundos
døende	por
lærerne	profesores
lærerne	mestres
lærerne	os
lærerne	bos
monkey	mono
monkey	monos
farmer	granxeiro
flower	flor
utførelse	execución
cowboy	vaqueiro
cowboy	de
vondt	doloroso
vondt	dano
vondt	ferido
rulle	dados
rulle	o
rulle	roll
rulle	rolo
trygghet	de
trygghet	seguridade
trygghet	seguridade
bussene	autobuses
scenene	escenas
søte	sweet
søte	doces
søte	doce
geographic	geographic
reparasjon	reparar
overvåking	vixilancia
carpenter	carpinteiro
løver	leóns
prime	primeiro
sover	durmindo
sover	durme
sover	dorme
sover	durmido
sover	adormeceu
sover	durmir
sover	durmindo
sover	durmir
sover	somníferos
hands	mans
hands	man
hands	as
oppdratt	criados
oppdratt	a
oppdratt	crecín
oppdratt	criamos
burn	queimalos
burn	queiman
burn	queimar
burn	queimade
overvekt	obesidade
overvekt	a
dawson	dawson
uheldige	desafortunado
waiting	agardando
waiting	espera
waiting	a
waiting	esperar
waiting	esperando
waiting	agardar
langsom	lento
langsom	lenta
langsom	lentos
langsom	ou
langsom	frean
langsom	tranquilo
brigaden	brigade
brigaden	a
brigaden	brigada
caesar	césar
saw	vin
saw	viu
saw	vimos
saw	vino
giant	un
giant	xigantes
giant	xigante
svømme	nadar
svømme	baño
svømme	nado
lastebil	camión
revolver	arma
revolver	pistola
revolver	revólver
komponent	compoñente
rapportere	informe
rapportere	informar
rapportere	reportando
rapportere	información
harvest	colleita
lovte	prometeron
lovte	prometín
lovte	prometinlle
lovte	prometéronme
lovte	prometida
lovte	prometíchesme
lovte	prometo
lovte	prometera
jubileet	aniversario
dum	estúpido
dum	estúpida
dum	estúpidos
dum	parvo
dum	estúpidas
dum	parvadas
dum	parvo
sein	tarde
gris	porco
individet	persoa
individet	cada
individet	individuais
individet	individuo
individet	individual
individet	tipo
gravitasjon	gravidade
gravitasjon	a
trist	triste
trist	tristes
frelse	exército
frelse	de
frelse	salvacionista
frelse	salvación
voldtekt	violación
voldtekt	viólanme
seertall	cualificacións
seertall	as
seertall	avaliacións
handlingene	as
handlingene	accións
corner	esquina
corner	recuncho
følelsen	sensación
følelsen	sentir
følelsen	sentimento
hukommelse	memoria
sleep	sono
sleep	durmir
sleep	durme
robot	robot
avskjediget	retirarse
forgiftet	envelenáronme
apartheid	apartheid
talere	relatores
betingelsene	condicións
betingelsene	patoloxías
betingelsene	as
betingelsene	termos
betingelsene	funcionamento
betingelsene	a
installasjon	aparello
installasjon	instalación
loving	agarimosa
kollektivt	colectivo
kollektivt	colectiva
above	sobre
above	ascende
above	por
above	riba
above	da
above	enriba
above	arriba
geoff	geoff
sherlock	sherlock
parade	procesión
blonde	loira
kathleen	kathleen
overbeviste	de
overbeviste	convencido
fortjeneste	beneficios
fortjeneste	ganancias
effektivitet	eficiencia
effektivitet	eficacia
applikasjoner	aplicacións
applikasjoner	para
utan	sen
soft	suave
generere	xerar
mickey	mickey
mickey	micky
innrømme	admitir
innrømme	admito
innrømme	que
innrømme	admitilo
ensom	soa
ensom	só
antageligvis	probablemente
antageligvis	que
spesial	especial
spesial	especiais
attack	ataque
attack	atacar
nights	as
nights	noites
nights	noite
nights	polas
reparere	reparar
kyr	as
kyr	vacas
kyr	gando
kyr	vacas
kyr	gado
meir	máis
kostnad	custo
kostnad	custan
kostnad	custa
dumt	parvo
dumt	estúpido
dumt	estúpida
dumt	estúpidos
dumt	parvo
dumt	estúpidas
dumt	parvadas
dumt	parvos
dumt	parvadas
dumt	parva
dumt	unha
dumt	parvada
dumt	unha
priest	cura
tilfredsstille	satisfacer
latter	risos
latter	risas
snekker	carpinteiro
kriminell	penal
kriminell	criminais
kriminell	criminal
kriminell	crime
bukser	pantalóns
bukser	pantalón
bukser	pantalóns
bukser	ruta
bukser	no
bukser	os
bukser	pantalón
bukser	brancos
syre	ácido
syre	aminoácidos
gjentar	repite
gjentar	anda
gjentar	di
gjentar	repita
gjentar	repito
gjentar	dígoche
gigantisk	un
gigantisk	xigantes
gigantisk	xigante
gigantisk	enorme
gigantisk	xigantesco
gigantisk	pauta
hanoi	hanoi
hollandsk	dutch
skam	mágoa
skam	vergoña
skam	que
skam	desgraza
skam	deshonra
skjermer	pantallas
try	tentar
try	intentar
kurve	curva
tvinger	a
tvinger	obrigando
catch	coller
catch	pescar
dyrt	caro
dyrt	caros
dyrt	cara
dracula	drácula
stolthet	orgullo
stolthet	orgulloso
spøk	broma
spøk	chiste
spøk	bromas
spøk	gracia
spøk	conto
massivt	sólida
tilværelse	existencia
tilværelse	vida
slow	lento
slow	lenta
slow	lentos
slow	ou
slow	frean
slow	tranquilo
usynlig	invisibles
usynlig	invisible
utdatert	obsoleto
stygt	fea
stygt	feo
teleskopet	telescopio
sortering	unha
sortering	como
sortering	de
sortering	tipo
sortering	especie
søt	moi
eight	oito
eight	8
demonstrerte	a
demonstrerte	demostrou
holiday	de
holiday	vacacións
utgang	saída
sjokk	choque
sjokk	de
sjokk	asalto
sjokk	conmoción
sjokk	electrochoques
meet	con
fyrster	príncipes
presisjon	precisión
mistenker	sospeitoso
dramatikk	drama
treverk	madeira
stolen	cadeira
beslaglagt	de
vitenskapsmenn	científicos
vitenskapsmenn	os
vitenskapsmenn	sociólogos
walking	camiñando
walking	pola
walking	andar
walking	andando
walking	subindo
walking	camiñaba
walking	camiñar
walking	polas
killer	asasino
killer	do
sag	vin
sag	viu
sag	vimos
sag	vino
partikkel	de
partikkel	partículas
partikkel	partícula
legene	os
legene	médicos
legene	doutores
legene	médico
menig	privadas
menig	privado
menig	privada
menig	privados
menig	raso
menig	soldado
ansette	contratar
oppfinnelse	invento
oppfinnelse	invención
stjal	roubei
stjal	roubaron
stjal	roubaches
stjal	o
stjal	roubou
stjal	estola
stjal	rouboume
arresterte	arrestados
arresterte	arrestaron
arresterte	deteñan
arresterte	o
papirer	papeis
papirer	prensa
papirer	os
papirer	xornal
papirer	xornais
administrere	se
administrere	facelo
lagrer	aforrando
lagrer	salvar
lagrer	aforro
lagrer	aforraban
andes	andes
synder	pecados
synder	agarimosa
synder	pecado
politikerne	políticos
foretrekke	preferimos
foretrekke	prefire
foretrekke	gusto
foretrekke	dos
foretrekke	prefiro
foretrekke	prefires
øks	machada
storfe	gando
storfe	vacas
storfe	gado
loddrett	verticais
loddrett	vertical
rettssaker	ensaios
rettssaker	xuízos
seng	cama
regning	bill
regning	billete
regning	conta
regning	dereitos
regning	contrato
doc	doc
worlds	mundos
imens	mentres
imens	tanto
imens	tanto
imens	mentres
marshal	mariscal
lungene	pulmóns
majoritet	maioría
veteraner	veteranos
donovan	donovan
bentley	bentley
kameraer	cámaras
dogs	cans
dogs	can
dogs	os
dogs	aos
garrett	garrett
flowers	flores
anmodning	petición
kommunisme	comunismo
kommunisme	o
borgerskap	burguesía
flå	pel
flå	ósos
militante	militantes
epost	correo
identiteten	identidade
frankie	frankie
motstå	resistir
motstå	resista
motstå	os
trail	rastro
trail	pista
spent	fan
spent	emocionado
spent	ilusionado
istand	quen
istand	de
istand	capaz
istand	capaces
istand	poder
noble	nobre
folkemengde	multitude
folkemengde	masa
folkemengde	vista
folkemengde	xente
deltakende	participación
deltakende	participar
vertikalt	verticais
vertikalt	vertical
oppmuntre	e
ferske	fresco
ferske	fresca
ferske	frescos
ferske	descarado
ferske	descarados
ferske	frescas
ferske	cambiar
papa	papá
roper	berrando
roper	berrar
roper	non
wilkes	wilkes
bedret	mellorou
flasker	botellas
varene	mercadoría
oppfordre	e
smile	sorriso
smile	sorrir
smile	sorrí
forlenge	a
forlenge	estender
worth	ser
worth	a
worth	pena
worth	paga
worth	valor
worth	vale
fiasko	por
fiasko	cardíacos
fiasko	imaxinación
fiasko	fracaso
fiasko	fracasado
stadier	fases
teknologier	tecnoloxías
introdusere	presentarlles
introdusere	á
introdusere	presentar
introdusere	ao
introdusere	introducir
introdusere	presente
stedfortreder	axudante
skandale	escándalo
robbins	robbins
skuffelse	decepción
vore	foi
cotton	algodón
cotton	de
lights	luces
lights	as
lights	luz
lights	apaguen
postkort	postal
postkort	postais
modig	valentes
modig	valente
uvær	treboada
verdighet	dignidade
mangle	falta
mangle	de
mangle	carecen
unnsetning	de
unnsetning	apoio
miner	minas
bombeangrep	bombardeo
bombeangrep	do
bombeangrep	bombardeos
bombeangrep	o
bataljonen	batallón
fingrene	os
fingrene	dedos
skapninger	criaturas
dakar	dakar
hærer	exércitos
skjuler	agochados
skjuler	escondida
delegater	delegados
marsjere	marzo
marsjere	de
marsjere	marcha
everybody	todo
everybody	todos
everybody	mundo
everybody	o
bataljoner	batallóns
peggy	peggy
fritid	libre
fritid	tempo
fritid	ocio
frokost	almorzo
frokost	almorzar
irans	irán
plankton	plancto
tragisk	tráxico
tragisk	tráxica
knapper	botóns
kjapt	rápido
kjapt	axiña
kjapt	rápida
kjapt	veña
kjapt	marchar
kjapt	rápido
kjapt	rapidamente
kjapt	axiña
godtar	aceptar
godtar	aceptalo
godtar	acepto
rotter	ratas
humaniora	humanidades
combat	de
combat	combate
combat	combates
combat	postos
øret	oído
øret	ouvido
øret	orella
ranet	roubaron
battlefield	campo
battlefield	batalla
battlefield	de
spark	unha
spark	malleira
spark	patada
spark	dáme
spark	una
spark	botar
spark	patea
wendy	wendy
foreldreløse	orfos
innblikk	percepción
ekstraordinær	extraordinario
ekstraordinær	cantidade
ekstraordinær	extraordinarias
ekstraordinær	extraordinarios
ekstraordinær	extraodinarios
ekstraordinær	extraordinaria
gjenoppbyggingen	reedificar
gjenoppbyggingen	reconstruír
hinduer	os
hinduer	hindús
wednesday	o
wednesday	mércores
skjegg	barbas
skjegg	tipo
skjegg	barba
skjegg	home
hindringer	obstáculos
tannlege	dentista
raw	materia
raw	materias
erfaren	experimentou
erfaren	experiencia
erfaren	experimentado
erfaren	nisto
below	na
below	debaixo
below	por
below	baixo
below	abaixo
below	embaixo
below	seccionada
hubble	hubble
hubble	espacial
hjerneslag	cerebral
infeksjoner	infeccións
emile	emile
kommissær	comisario
kommissær	comisionado
escape	fuxida
escape	escapar
escape	da
escape	fugarse
escape	fuxir
escape	fuga
safe	salvo
safe	segura
safe	seguro
safe	seguros
safe	a
schizofreni	esquizofrenia
sorry	sinto
sorry	síntoo
sorry	perdón
sorry	desculpe
cars	coches
cars	coche
cars	autos
høyland	altas
kyss	bico
kyss	bícame
kyss	bicar
kyss	un
kyss	biquiño
odds	probabilidades
forvirret	confuso
gjemmer	agochados
gjemmer	escondida
stygge	fea
stygge	feo
hay	feo
victory	vitoria
victory	da
victory	victoria
victory	a
helg	fin
helg	de
helg	semana
laga	creamos
laga	creou
laga	creado
laga	creei
laga	creados
gulv	chan
gulv	piso
gulv	andar
pipe	pipa
pipe	cachimba
pipe	con
pipe	esta
majestet	maxestade
beast	besta
stillhet	silencio
stillhet	calado
stillhet	silencio
stillhet	o
send	enviar
send	a
skremmende	medo
skremmende	aterrador
skremmende	terrorífico
medaljene	medallas
quo	quo
