and	ve
know	biliyor
know	bilin
category	kategori
category	kategorisi
water	su
political	siyasi
political	politik
political	siyasal
species	tür
species	türler
field	field
field	alanı
field	tarla
field	alan
field	saha
near	yakın
near	yakınında
near	yakınındaki
australia	avusturalya
australia	avustralya
video	görüntülü
video	video
need	ihtiyaç
need	lazım
need	ihtiyacım
need	gerek
island	adası
island	ada
form	formu
form	biçim
form	form
find	bulmak
find	bulun
find	bul
play	oyun
play	play
play	oyna
play	oynayın
play	çal
project	proje
project	projesi
radio	radio
radio	radyo
radio	telsiz
works	çalışır
works	çalışıyor
proposed	önerilen
every	her
development	kalkınma
development	geliştirme
development	gelişme
development	gelişim
example	örneği
example	örnek
example	örneğin
live	live
live	yaşa
live	canlı
union	sendika
union	birlik
union	birliği
india	hindistan
india	hint
next	sonraki
next	sırada
next	sıradaki
special	ozel
special	özeldir
special	özel
court	saray
court	mahkeme
court	court
region	bölge
region	bölgede
region	bölgesi
little	minik
little	küçük
little	az
short	kisa
short	kısa
william	william
province	il
western	batılı
western	western
western	batı
son	oğul
son	evlat
son	oğlum
france	fransa
france	france
council	konsey
council	konseyi
others	diger
others	diğerleri
others	diğerlerini
others	başkaları
royal	kraliyet
royal	royal
current	güncel
current	akım
current	şimdiki
current	mevcut
current	akıntı
street	sokak
street	cadde
street	street
full	tam
full	ful
full	full
full	dolu
red	kırmızı
red	kirmizi
red	kızıl
red	red
department	bölümü
department	departman
department	bölüm
department	departmanı
san	san
help	yardım
help	imdat
help	yardim
among	arasında
preserved	korunmuş
preserved	muhafaza
james	james
open	açık
open	open
open	açın
open	aç
open	açıl
force	zorla
force	force
force	kuvvet
force	güç
position	konum
position	mevki
position	pozisyon
head	baş
head	kafası
head	kafa
director	direktör
director	müdür
director	yönetmen
director	yönetici
father	baba
track	pist
track	takip
http	http
canada	kanada
never	asla
never	hic
never	hiç
australian	avustralyalı
george	george
george	yorgo
jpg	jpg
level	düzey
level	seviye
late	gec
late	geç
summer	yaza
summer	yaz
society	topluluk
society	toplum
society	sosyete
moved	taşınmış
moved	taşınan
moved	taşındı
office	büro
office	office
office	ofis
period	adet
period	nokta
period	dönem
championship	şampiyonası
championship	şampiyonluk
championship	şampiyona
round	yuvarlak
story	hikâye
story	hikaye
story	öykü
story	masal
songs	şarkı
songs	şarkılar
various	çeşitli
file	dosya
file	dosyası
days	günler
days	günlerden
days	günleri
days	günlerce
land	toprak
land	arsa
land	arazi
land	kara
land	land
business	business
business	işletme
business	iş
business	ticaret
reason	sebep
reason	sebebi
reason	nedeni
america	amerika
america	america
million	milyon
european	avrupa
european	avrupalı
term	terimi
term	vade
term	terim
term	dönem
six	six
six	alti
six	altı
post	post
post	gönderi
why	neden
why	niçin
why	niye
produced	üretildi
produced	üretilmiş
produced	üretilen
making	yapmak
subject	denek
subject	şahıs
subject	konusu
subject	konu
young	genç
young	young
total	toplam
david	davud
david	davut
david	david
science	fen
science	bilimsel
science	bilim
related	bağlantılı
related	akraba
related	ilgili
related	ilişkili
related	alakalı
rock	taş
rock	kaya
rock	rock
archived	arşivlenmiş
railway	demiryolu
become	haline
led	led
students	öğrenciler
started	başladık
started	başladı
started	başladım
news	haberler
news	haberleri
news	haber
role	rolün
role	rol
election	seçim
election	seçimler
albums	albüm
albums	albümleri
present	hediye
present	şimdiki
present	mevcut
indian	yerli
indian	kızılderili
indian	hintli
indian	hint
kingdom	krallık
books	kitapları
books	kitap
books	kitaplar
important	önemlidir
important	onemli
important	önemli
northern	kuzey
love	ask
love	sevda
love	sevgiler
love	aşk
love	sevgi
run	run
run	kaç
run	koş
canadian	kanadalı
press	press
press	basın
press	basin
press	basında
press	bas
type	tipi
type	tip
type	türü
type	tür
type	type
editor	editör
editor	düzenleyici
editor	editor
schools	okullar
schools	okulları
program	program
program	programı
issue	sorun
issue	mesele
social	toplumsal
social	sosyal
germany	almanya
production	imalat
production	yapım
production	üretim
production	prodüksiyon
male	erkek
awards	ödüller
awards	ödül
awards	ödülleri
points	puan
points	noktalar
points	puanlar
similar	benzeri
similar	benzer
professional	mesleki
professional	profesyonel
say	söyle
say	de
say	söyleyin
background	geçmişi
background	arkaplan
enough	yeter
lead	kurşun
common	yaygın
overlap	çakışma
data	veri
data	veriler
data	data
color	renk
color	rengi
color	renkli
person	kişi
person	şahıs
person	kişiye
person	insan
person	kisi
services	hizmetler
services	hizmetleri
services	hizmet
bgcolor	bgcolor
museum	müze
museum	müzesi
museum	museum
battle	savaş
battle	muharebe
battle	savas
sports	spor
sports	sporlar
already	çoktan
already	zaten
already	şimdiden
hall	salon
hall	hall
hall	salonu
buildings	binalar
buildings	binaların
date	tarihi
date	randevu
date	flört
date	buluşma
date	tarih
deleted	sildim
deleted	silindi
deleted	silinmiş
change	değişim
change	değiştir
change	değişiklik
change	değiştirme
location	yer
location	konumu
location	konum
location	yeri
yes	evet
yes	yes
our	bizim
southern	güney
southern	güneyli
lost	kaybolmuş
lost	kayıp
lost	kaybettim
lost	lost
lost	kaybettik
something	birşeyler
something	birşey
review	inceleme
review	değerlendirme
review	gözden
together	beraber
together	beraberce
together	birlikte
robert	robert
fact	gerçek
less	az
japanese	japonlar
japanese	japon
japanese	japonca
groups	gruplar
groups	grupları
content	içeriğe
content	içerik
content	içeriği
content	içerikler
isbn	isbn
board	kurulu
board	kurul
board	tahta
japan	japonya
control	kontrol
control	control
control	kumanda
control	denetim
policy	ilke
policy	politika
policy	poliçe
policy	politikası
policy	politikamız
modern	modern
modern	çağdaş
human	insani
human	insan
half	yarı
half	yarısı
half	yarim
half	yarım
design	tasarım
design	dizayn
event	etkinlik
event	olay
event	etkinliği
events	etkinlikler
events	olaylar
events	etkinlik
available	mevcuttur
available	müsait
available	mevcut
available	kullanılabilir
done	bitti
done	yapıldı
washington	washington
real	real
real	gercek
real	reel
real	gerçek
start	başlayın
start	başla
start	başlangıç
start	başlat
personal	şahsi
personal	kişisel
action	eylem
action	motor
action	aksiyon
space	boşluk
space	space
space	uzayı
space	uzay
areas	alanlar
areas	alanları
areas	bölgeler
star	yıldız
star	yıldızlı
star	star
really	gercekten
really	cidden
really	gerçekten
china	çin
possible	muhtemel
possible	mümkün
possible	olası
paul	paul
working	çalışıyorum
working	çalışıyor
working	çalışmak
working	çalışan
taken	alınmış
taken	alındı
taken	alınan
taken	aldı
taken	alınır
far	far
far	uzakta
far	uzağa
far	uzak
going	gitmek
going	gidiyorum
going	gidiyor
minister	bakan
minister	bakanı
minister	bakanım
lake	gol
lake	lake
lake	göl
lake	gölü
popular	popüler
popular	sevilen
married	evli
married	evlendi
founded	kurulmuş
founded	kurulan
founded	kuruldu
europe	avrupa
author	yazar
author	yazarı
away	uzakta
away	uzağa
away	uzak
away	uzaklara
independent	bağımsız
process	süreç
process	işlem
teams	ekipler
teams	takımlar
character	karakteri
character	karakter
low	alçak
low	düşük
michael	michael
pages	sayfaları
pages	sayfalar
light	işık
light	hafif
light	light
light	nur
light	aydınlık
big	big
big	buyuk
big	büyük
big	kocaman
seen	görüldü
seen	görülen
release	sürüm
release	serbest
want	istiyorum
episode	bölüm
episode	bolum
wrote	yazdı
republic	cumhuriyet
thomas	thomas
companies	firmalar
companies	şirketleri
companies	şirketler
via	aracılığıyla
via	via
via	yoluyla
via	üzerinden
russian	rus
russian	rusça
thanks	tesekkurler
thanks	teşekkürler
thanks	sağol
put	koy
race	irk
race	yarış
worked	çalışmış
worked	çalıştı
route	rota
route	yol
recorded	kaydedilen
recorded	kaydedilmiş
recorded	kaydedildi
someone	biri
someone	birini
someone	birisi
someone	birileri
civil	sivil
civil	medeni
police	polis
charles	charles
listed	kaydetti
users	kullanıcı
users	kullanıcıları
users	kullanıcılar
template	şablonu
template	şablon
eastern	doğulu
eastern	doğu
body	ceset
body	vücut
body	beden
question	soru
question	sorum
italian	italyanca
italian	italyan
featured	seçme
week	haftalık
week	hafta
editors	editörler
texas	teksas
texas	texas
chief	şef
chief	reis
close	yakın
close	kapat
close	yakına
close	yakin
upon	üzerine
match	eşleşme
match	karşılaşma
match	kibrit
match	maç
roman	romalı
roman	roman
come	gelin
come	gel
tour	tur
tour	tour
tour	tura
tour	turne
sea	deniz
actually	aslinda
actually	aslında
cross	karşıya
cross	haç
cross	çapraz
cross	hacı
cross	cross
playing	oynuyor
playing	oynamak
health	sağlıkla
health	sağlık
health	saglik
institute	enstitüsü
institute	enstitü
caps	şapkalar
caps	caps
forces	güçler
forces	kuvvetler
forces	kuvvetleri
green	yeşile
green	yeşillik
green	yeşil
green	green
green	yeşili
rights	hakları
rights	haklar
rights	hak
evidence	kanıt
evidence	deliller
evidence	kanıtlar
evidence	delil
originally	aslen
originally	başlangıçta
aircraft	uçaklar
aircraft	uçak
arts	sanat
arts	sanatlar
range	mesafe
range	menzil
probably	muhtemelen
consensus	uzlaşma
bar	bar
bar	çubuk
problem	problem
problem	sorun
look	bak
issues	sorunları
issues	meseleler
issues	sorunlar
alumni	mezun
alumni	mezunlar
average	ortalama
network	network
network	ağ
win	kazanın
win	kazanmak
win	galibiyet
win	kazan
shows	gösteriyor
wife	eş
wife	eşi
wife	karın
wife	karısı
night	gece
night	geceler
night	night
magazine	dergi
magazine	magazin
centre	merkezi
centre	merkez
centre	orta
centre	centre
usually	genellikle
usually	genelde
completed	tamamlanmış
completed	tamamlandı
completed	tamamladım
elected	seçilmiş
elected	seçildi
significant	önemli
african	afrika
african	afrikalı
able	kadir
google	google
stage	sahne
addition	ilave
addition	ek
ireland	irlanda
today	bugün
today	bugünde
today	bügün
today	bugun
academy	akademi
academy	akademisi
academy	akademide
saint	aziz
saint	azize
saint	saint
self	self
stations	istasyonlar
stations	istasyonları
mother	anne
mother	annesi
mother	ana
appeared	göründü
africa	afrika
culture	kültürü
culture	kültür
spanish	ispanyollar
spanish	ispanyol
spanish	ispanyolca
grand	binlik
grand	grand
committee	kurul
committee	komite
committee	heyet
committee	komitesi
things	seyler
things	şeyler
fire	ateşle
fire	ateş
fire	yangın
fire	ates
changed	değiştim
changed	değişti
changed	değişmiş
changed	değişen
changed	değiştirildi
gold	altınlar
gold	altın
gold	gold
gold	altin
female	kadın
female	dişi
course	rota
course	kurs
directed	yöneten
directed	yönetmen
directed	yönlendirilmiş
months	ay
months	aylardır
months	aylar
months	aylarca
chinese	çinliler
chinese	çinli
chinese	çince
previous	önceki
developed	gelişmiş
developed	geliştirilmiş
developed	geliştirildi
size	boyut
size	boy
size	büyüklük
size	beden
size	boyu
mentioned	bahsedilen
add	ekleyin
add	ekle
add	ekleme
festival	festival
festival	festivali
festival	festivalde
peter	peter
basketball	basketbol
basketball	basket
move	hareket
move	taşı
performance	gösteri
performance	performansı
performance	performans
standard	standard
standard	standart
means	anlamı
means	demek
give	ver
give	verin
training	antrenman
training	eğitimi
training	eğitim
artist	ressam
artist	sanatçı
artist	artist
word	kelime
word	laf
word	kelimesi
word	söz
word	sözcük
blue	blue
blue	mavi
primary	birincil
announced	duyuruldu
announced	açıklandı
announced	duyurdu
value	değeri
value	değerli
value	değer
value	deger
christian	christian
christian	hıristiyan
christian	hristiyan
private	özele
private	er
private	private
private	özel
catholic	katolik
artists	sanatçılar
artists	sanatçı
includes	içerir
includes	dahil
view	gör
view	görünüm
view	görünümü
view	manzara
almost	nerdeyse
almost	neredeyse
baseball	beysbol
baseball	beyzbol
seven	seven
seven	yedi
appears	görünüyor
ever	hic
ever	hiç
technology	teknoloji
olympics	olimpiyatlar
olympics	olimpiyatları
olympics	olimpiyat
future	gelecek
future	geleceğin
future	gelecekteki
formed	oluştu
formed	oluşturulmuş
images	görüntüler
images	resimler
images	görseller
results	sonuçlar
results	sonuçları
results	sonuç
return	dönüş
return	iade
quality	kaliteli
quality	kalite
quality	kalitesi
construction	inşaat
zealand	zelanda
front	öne
front	cephe
front	ön
cover	koru
cover	kapak
model	manken
model	model
model	modeli
despite	rağmen
read	okuma
read	okuyun
read	oku
read	okumak
material	madde
material	materyal
material	malzeme
strong	güçlü
strong	güçlüler
strong	kuvvetli
coach	antrenör
coach	koç
henry	henry
footballers	futbolcular
mark	işaretle
mark	işaret
mark	mark
rev	rev
organization	organizasyon
organization	kuruluş
organization	örgüt
studies	çalışmalar
studies	çalışmaları
federal	federal
richard	richard
html	html
virginia	virginia
car	araba
car	otomobil
car	araç
attack	saldırı
attack	saldır
conference	konferans
outside	dışarıya
outside	dışarda
outside	dışarı
outside	dışarıda
study	çalış
study	çalışma
brother	kardeş
brother	kardeşim
brother	birader
brother	kardes
brother	abi
names	isimler
names	adlar
names	adları
names	isimleri
writer	yazar
characters	karakterler
characters	karakterleri
characters	karakter
musical	müzikal
nothing	hiçbirşey
border	sınır
medical	sağlık
medical	medikal
medical	tıbbi
medical	tıp
countries	ülkeler
countries	ülkelere
countries	ülkeleri
past	geçmiş
writing	yazarlık
writing	yazma
writing	yazmak
writing	yazı
writing	yazmaya
makes	yapar
interest	faizi
interest	ilgi
interest	faiz
provided	sağladı
provided	sağlanan
killed	öldürüldü
killed	öldürülmüş
killed	öldürdüm
killed	öldürdü
medal	madalya
medal	madalyası
signed	imzaladı
signed	imzalanmış
signed	imza
signed	imzalı
signed	imzalandı
label	etiketi
label	etiket
fair	fuar
fair	adil
search	ara
search	arayın
search	arama
bay	koyu
bay	körfez
bay	defne
bay	bay
reference	referans
reference	gönderme
especially	özellikle
especially	özelliklede
especially	bilhassa
removed	çıkarıldı
removed	kaldırılmış
removed	kaldırıldı
library	kütüphane
library	kütüphanesi
management	yönetim
management	yönetimi
management	menajerlik
references	referans
features	özellikler
features	özellikleri
navy	donanma
guitar	gitar
hill	tepe
hill	hill
sure	tabi
sure	elbette
historical	tarihi
historical	tarihsel
lower	alt
lower	aşağı
daughter	kızı
daughter	kızım
daughter	kizi
appointed	atanmış
appointed	atanan
reading	okuyorum
reading	okuma
reading	okumak
yet	henüz
systems	sistemleri
systems	sistemler
systems	sistem
movement	hareket
movement	hareketler
movement	hareketlilik
specific	spesifik
specific	belirli
always	daima
always	herzaman
always	hep
actor	aktör
actor	oyuncu
natural	doğal
natural	dogal
clear	açık
clear	net
clear	temizle
clear	temiz
clear	berrak
coast	sahili
coast	kıyı
coast	sahil
chicago	şikago
chicago	chicago
championships	şampiyonası
championships	şampiyonluk
championships	şampiyona
pennsylvania	pennsylvania
pennsylvania	pensilvanya
ten	on
performed	gerçekleştirildi
performed	gerçekleştirdi
individual	bireysel
individual	birey
designed	tasarlanmış
designed	dizayn
designed	tasarlanan
designed	tasarlandı
rule	kural
etc	vb
lists	liste
lists	listeleri
lists	listeler
paris	paris
thought	düşünce
brown	brown
brown	kumral
brown	kahverengi
brown	esmer
hand	el
needs	ihtiyaç
needs	ihtiyacı
needs	ihtiyaçları
needs	ihtiyaçlar
reliable	güvenilir
smith	demirci
smith	smith
generally	genellikle
base	üs
base	baz
base	üssü
base	taban
sometimes	bazen
florida	florida
capital	başkent
capital	sermaye
capital	başkenti
valley	vadi
valley	valley
valley	vadisi
bank	banka
bank	bank
gave	vermiş
gave	verdi
ground	zemin
reached	ulaştı
italy	italya
energy	enerji
energy	enerjisi
believe	inan
believe	inanmak
believe	iman
believe	inanın
leader	önder
leader	lider
leader	lideri
active	aktif
active	etkin
online	çevrimiçi
online	internette
online	online
block	engelle
block	blok
block	block
block	engelleme
bridge	briç
bridge	köprüsü
bridge	köprü
families	aileler
families	aileleri
changes	değişiklikler
changes	değişimler
changes	değişiklik
changes	değişiklikleri
industry	sektör
industry	endüstri
industry	sanayii
industry	sanayi
collection	koleksiyon
collection	toplama
collection	koleksiyonu
request	talep
request	istek
request	rica
soon	yakinda
soon	yakında
soon	soon
leading	liderlik
leading	lider
leading	başrol
olympic	olimpiyat
olympic	olimpik
sold	satılmış
sold	satılan
sold	satıldı
sold	sattı
sold	satılır
writers	yazarlar
professor	profesör
studio	stüdyo
studio	studio
studio	stüdyosu
mexico	meksika
competition	yarışma
competition	rekabet
competition	rakip
competition	müsabaka
campaign	kampanya
org	org
theatre	tiyatro
empire	empire
empire	imparatorluk
empire	imparatorluğu
length	uzunluğu
length	boyu
length	uzunlukta
length	uzunluk
islands	adaları
islands	adalar
singer	şarkıcı
singer	singer
create	oluştur
create	oluşturun
create	oluşturma
create	yarat
create	oluşturmak
redirect	yönlendirme
redirect	yönlendir
additional	ilave
additional	ek
soviet	sovyetler
soviet	sovyet
market	pazarı
market	pazar
market	piyasa
market	market
words	kelimeler
words	sözcükler
words	sözler
words	kelime
producer	üretici
producer	yapımcı
notes	not
notes	notları
notes	notlar
hockey	hokey
hockey	hokeyi
novel	roman
code	kodu
code	şifre
code	kod
referee	hakem
fourth	dördüncüsü
fourth	dördüncü
sport	spor
sport	sport
van	van
van	minibüs
van	kamyonet
mary	meryem
mary	mary
airport	havalimanı
airport	havaalanı
sound	sound
sound	sesi
sound	ses
status	durum
status	statü
status	durumu
irish	irlandalı
placed	yerleştirdi
child	çocuk
child	çocuğum
child	cocuk
perhaps	belki
idea	fikri
idea	fikir
foreign	yabancı
municipality	belediye
municipality	belediyesi
municipality	belediyeye
register	kayıt
eight	sekiz
eight	eight
eight	sekizi
problems	problemler
problems	sorunlar
native	yerli
