κβαντική	quantum
επηρεάσει	påverkad
επηρεάσει	påverkat
μάρσαλ	marshall
ποσά	belopp
συνταγματική	konstitutionell
συνταγματική	konstitutionella
υποδομών	infrastruktur
μάζες	massorna
μάζες	vikter
δορυφόρο	satellit
δορυφόρο	satelliten
στροφές	varvar
στροφές	hastighet
στροφές	snabbhet
στροφές	speed
στροφές	varvtal
στροφές	växlad
τραπέζι	bordet
τραπέζι	bord
τραπέζι	tabell
δορυφόρους	satelliterna
δορυφόρους	satelliter
διονύσου	dionysos
διαφοροποίηση	differentiering
διαφοροποίηση	modulering
διαφοροποίηση	diversifiering
κόμβο	skarv
εντοπιστεί	spårat
εντοπιστεί	spårade
διακρίνει	särskiljer
διακρίνει	utmärker
διακρίνει	skiljer
συνδεδεμένη	anslutet
συνδεδεμένη	ansluten
συνδεδεμένη	anslutna
συνδεδεμένη	länkade
συνδεδεμένη	kopplade
συνδεδεμένη	länkat
συνδεδεμένη	länkad
αναφέρω	nämner
αναφέρω	omnämnande
αναφέρω	nämna
εγκέφαλο	hjärna
εγκέφαλο	hjärnan
εγκέφαλο	brain
προσθέτοντας	addera
χασάν	hassan
χασάν	hasan
εκτελέστηκαν	avrättade
εκτελέστηκαν	avrättades
εκτελέστηκαν	utförd
εκτελέστηκαν	avrättad
φλόγα	låga
φλόγα	flamma
φλόγα	flamman
ηλέκτρα	elektra
ηλέκτρα	electra
ηλέκτρα	elektra
οργανώνει	organiserar
οργανώνει	anordnar
οργανώνει	anordnar
ραούλ	raoul
ραούλ	raul
ραούλ	raúl
ραούλ	raúl
κυκλάδες	kykladerna
δον	don
απεικονίζουν	skildra
εξελίσσεται	utvecklande
εξελίσσεται	utvecklas
δολοφονίες	dödande
δολοφονίες	lönnmord
δολοφονίες	mördar
δολοφονίες	mord
μποτσουάνα	botswana
αρμονία	harmoni
αρμονία	harmony
ρήνου	rhen
τσάρλι	charlie
ηλιακή	sol
ηλιακή	solar
ηλιακή	solenergi
μοτίβα	mönster
κινδύνους	risker
κινδύνους	faror
πύργοι	towers
πύργοι	tornen
πύργοι	höghusen
πύργοι	torn
φόρουμ	fora
φόρουμ	forum
φόρουμ	forum
φόρουμ	forumet
διαφθορά	korruption
μεμονωμένα	individuellt
μεμονωμένα	individuell
μεμονωμένα	individuellt
μεμονωμένα	individ
μεμονωμένα	individuella
στράτευμα	trupp
στράτευμα	trupp
στράτευμα	trupper
τετάρτη	onsdag
διασταύρωση	korsning
διασταύρωση	korsningen
διασταύρωση	junction
διασταύρωση	korsning
τει	tei
μαχητικά	fighters
μαχητικά	jaktplan
μαχητικά	boxare
αιχμάλωτος	fånge
αιχμάλωτος	fången
αιχμάλωτος	fångenskap
αιχμάλωτος	fånge
αιχμάλωτος	tillfångatagna
αιχμάλωτος	fångad
αιχμάλωτος	fångat
αιχμάλωτος	fångade
αιχμάλωτος	tillfångatagen
συνομοσπονδίας	edsförbundet
χίτσκοκ	hitchcock
αντίποινα	repressalier
αντίποινα	vedergällning
παραχώρηση	koncession
παραχώρηση	eftergift
παραχώρηση	koncessionen
ιδανικό	ideal
ιδανικό	idealiska
ιδανικό	ideala
ιδανικό	idealisk
ιδανικό	idealiskt
ενηλίκων	vuxen
ενηλίκων	vuxna
ενηλίκων	vuxna
ύδατα	farvatten
ύδατα	vatten
ύδατα	waters
ύδατα	vattnen
μεραρχίες	divisioner
μεραρχίες	sektioner
αυστριακό	österrikiska
αυστριακό	österrikisk
αυστριακό	österrikare
πυροβολικό	artilleri
πυροβολικό	artilleriet
τέλεια	perfekt
τέλεια	perfect
τέλεια	perfekta
τέλεια	jättebra
τέλεια	härligt
τέλεια	toppen
απογραφές	inventarier
απογραφές	inventeringar
γάτα	katt
θαύμα	mirakel
θαύμα	undrar
θαύμα	undra
θαύμα	wonder
ισότητα	jämlikhet
ισότητα	jämställdhet
ισότητα	lika
ισότητα	jämställda
ισότητα	equal
ίκαρος	icarus
αλγερίας	algeriet
γκαλερί	gallerier
γκαλερί	galleriet
γκαλερί	galleri
κολούμπια	columbia
κολούμπια	colombia
εγκεφαλικό	stroke
εγκεφαλικό	slaganfall
αλαμπάμα	alabama
έφορος	intendent
έφορος	intendenten
εντάξει	okej
σύνορο	gräns
σύνορο	kant
σύνορο	border
σύνορο	inramning
σύνορο	gränsen
σύνορο	gräns
λειτουργική	fungerande
λειτουργική	funktionella
λειτουργική	funktionell
λειτουργική	funktionellt
λειτουργική	operationella
λειτουργική	operativa
λειτουργική	operativ
λειτουργική	operativt
κρίσεις	anfall
κρίσεις	beslag
κρίσεις	kramper
κρίσεις	kriser
πωλήσεων	försäljning
γλυκό	söt
γλυκό	sött
γλυκό	söta
γκαρντ	gard
μιγκέλ	miguel
ρούντολφ	rudolph
ρούντολφ	rudolf
πήτερ	petrus
πήτερ	peter
χρήσιμες	användbar
χρήσιμες	användbara
χρήσιμες	användbart
χρήσιμες	nyttig
κοπεγχάγη	copenhagen
κοπεγχάγη	köpenhamn
κοπεγχάγη	köpenhamns
δίσκοι	records
δίσκοι	register
δίσκοι	skivor
δίσκοι	skivor
δίσκοι	diskar
δίσκοι	disketter
ολοκαύτωμα	förintelse
ολοκαύτωμα	förintelsen
βενεζουέλας	venezuelanska
βενεζουέλας	venezuela
έσπασε	pank
έσπασε	bröt
υποκείμενο	föremål
υποκείμενο	ämne
καθήκον	plikt
καθήκον	tull
καθήκον	uppgift
παναμά	panama
σημειωματάριο	anteckningsbok
λιγότερες	färre
λιγότερες	mindre
λιγότερες	färre
δόση	dos
δόση	dosering
δόση	dos
δόση	dosen
εξεγέρσεις	upplopp
εξεγέρσεις	upploppen
αεροπλάνα	flygplan
αεροπλάνα	plan
αλκοόλ	alkohol
τόνο	tonfisk
τόνο	ton
τόνο	tonfall
κατάχρηση	missbruk
κατάχρηση	förskingring
κατάχρηση	missbruk
κατάχρηση	missbruka
κατάχρηση	övergrepp
ρίτσι	ritchie
ρίτσι	richie
ρίτσι	ricci
κυβερνών	styrande
χώμα	jord
χώμα	smuts
χώμα	jord
στρατιώτη	soldaten
στρατιώτη	soldat
στρατιώτη	trooper
άλεξ	alex
στενός	smalt
στενός	smala
στενός	smal
μαχητές	stridande
μαχητές	krigare
μαχητές	fighters
μαχητές	jaktplan
μαχητές	boxare
μαχητές	militanta
αποκτήθηκε	förvärvade
αποκτήθηκε	förvärvats
αποκτήθηκε	förvärvat
αποκτήθηκε	förvärvad
υγιεινής	hygienen
υγιεινής	hygien
ευκαιρίες	möjligheter
μοντάζ	montage
μοντάζ	redigerar
μοντάζ	redigera
μοντάζ	redigering
μηχανικοί	mekaniker
μηχανικοί	mekanik
μηχανικοί	ingenjörer
λατ	lat
ενέκρινε	godkända
ενέκρινε	godkänt
ενέκρινε	godkänd
ενέκρινε	antaget
ενέκρινε	antagna
ενέκρινε	antagen
ενέκρινε	adopterad
ενέκρινε	antogs
μασσαλία	marseille
μασσαλία	marseille
πλημμύρες	översvämning
πλημμύρες	översvämningarna
πλημμύρες	översvämningar
πλημμύρες	översvämning
πλημμύρες	översvämningar
αλλα	annan
αλλα	övrig
αλλα	övriga
αλλα	andra
αλλα	övrigt
αλλα	annat
αλλα	men
σθένος	vigor
διαβήτη	diabetes
ασημένια	silver
όπερες	operor
νικολά	nicolas
συνήθεια	anpassade
συνήθεια	sed
συνήθεια	anpassad
συνήθεια	egen
συνήθεια	anpassat
συνήθεια	vana
συνήθεια	vanor
συνήθεια	ovana
συνήθεια	vanan
τσάρου	tsar
κατάρτιση	utbildning
κατάρτιση	träning
λαογραφία	folklore
κυβερνείο	guvernementet
μεταξάς	metaxas
κάι	kai
απολύθηκε	sparken
απολύθηκε	avskedad
απολύθηκε	avskedade
απολύθηκε	avlossade
απολύθηκε	sparkad
χιούμορ	humor
χιούμορ	humor
ανακάλυψαν	upptäckts
ανακάλυψαν	upptäckt
ανακάλυψαν	upptäcktes
ανακάλυψαν	upptäckta
ανακάλυψαν	upptäckte
αγαπημένο	favorit
αγαπημένο	favoriten
αγαπημένο	favorit
ρομπέρτο	roberto
πάτρικ	patrik
πάτρικ	patrick
πρόβλεψη	prognoser
πρόβλεψη	förutsägelse
πρόβλεψη	prognosen
πρόβλεψη	prognos
πρόβλεψη	prognos
αποδεικνύει	bevisar
κούπερ	coopers
κούπερ	cooper
ρούμπενς	rubens
τάφους	gravar
τάφους	gravar
τάφους	graves
συγγενής	relativ
συγγενής	relativt
συγγενής	relativa
συγγενής	släkting
αίγινα	aegina
απόκλιση	avvikelse
γιοι	sons
γιοι	söner
γιοι	söners
κατοικείται	bebodda
ντιν	dekanus
ντιν	dean
διαστημόπλοιο	rymdfarkoster
διαστημόπλοιο	rymdskepp
διαστημόπλοιο	rymdskepp
διαστημόπλοιο	rymdskeppet
νιλ	neil
νιλ	neal
διορθώσεις	rättelser
διορθώσεις	korrigeringar
διορθώσεις	fastställs
διορθώσεις	rättar
διορθώσεις	rättelser
διορθώσεις	fixar
διορθώσεις	korrigerar
διορθώσεις	redigerar
πρόδρομος	föregångare
πρόδρομος	föregångare
μαρόκου	marocko
μαρόκου	marockos
ιού	virus
ιού	viruset
φόρμα	blankett
φόρμα	formulär
φόρμα	form
φόρμα	bilda
φόρμα	overall
διαφορών	tvister
διαφορών	dispyter
έζησαν	levde
έζησαν	bodde
έζησαν	bott
έζησαν	levt
αδάμ	adam
έλλη	ellie
έλλη	elli
μιανμάρ	burma
μιανμάρ	myanmar
προσφέρεται	erbjöd
προσφέρεται	erbjuds
προσφέρεται	erbjudna
προσφέρεται	erbjuden
κλειστή	stängda
κλειστή	stängd
κλειστή	sluten
κλειστή	stängt
γράφημα	diagram
γράφημα	graf
γράφημα	diagram
εκτόξευση	lansering
εκτόξευση	sjösättning
εκτόξευση	lansering
εκτόξευση	avfyrning
εκτόξευση	uppskjutning
εκτόξευση	inleda
εκτόξευση	starta
ταϊλάνδη	thailand
καπνού	tobak
ρόδος	rhodes
ρόδος	rhodos
φάρμακο	medicin
φάρμακο	läkemedel
φάρμακο	drog
εκτελέσει	prestera
εκτελέσει	utföra
εκτελέσει	utför
εκτελέσει	verkställa
εκτελέσει	kör
εκτελέσει	utför
εκτελέσει	avrätta
αιχμάλωτοι	interner
αιχμάλωτοι	fångar
χάμιλτον	hamilton
όμηρο	gisslan
γυαλί	glas
κάτοικος	hemmahörande
κάτοικος	bosatta
κάτοικος	bosatt
ουδέτερη	neutral
ουδέτερη	neutralt
ουδέτερη	neutrala
ευγενής	adelsman
ευγενής	ädla
ευγενής	ädel
ευγενής	ståtlig
ευγενής	noble
τιμόρ	östtimor
τιμόρ	timor
ορυχεία	brytning
ορυχεία	gruvdrift
ορυχεία	gruv
ορυχεία	gruvor
ορυχεία	gruva
ορυχεία	minor
παράθεση	offert
παράθεση	citerar
παράθεση	citera
παράθεση	citat
παράθεση	citation
παράθεση	citat
εξόρυξη	utvinning
εξόρυξη	extraktion
εξόρυξη	brytning
εξόρυξη	gruvdrift
εξόρυξη	gruv
ράιτ	wright
βόμβες	bomber
κλασσική	klassiska
κλασσική	klassisk
κλασσική	klassiskt
πόντοι	points
πόντοι	poäng
πόντοι	punkter
πόντοι	punkterna
πράκτορας	ombud
πράκτορας	agent
επίδειξη	demonstration
επιδημία	epidemi
επιδημία	epidemin
επιδημία	epidemier
επιδημία	utbrott
επιδημία	utbrottet
πρωσία	preussen
πρεσβευτής	ambassadören
πρεσβευτής	ambassadör
σέρρες	serres
φόνο	mörda
φόνο	mord
συχνότητες	frekvenserna
συχνότητες	frekvenser
αμφιβολία	tvekan
αμφιβολία	tvivel
αμφιβολία	tvivlar
ανταγωνισμού	tävling
ανταγωνισμού	konkurrens
μπενίν	benin
μέλισσα	humla
μέλισσα	bi
μέλισσα	bee
ποικίλλει	varierar
πορτογαλική	portugisiska
στέφαν	stefan
στέφαν	stephan
ινδονησίας	indonesiska
ινδονησίας	indonesien
κινηματογράφους	biografer
αντεπίθεση	motanfall
κάμπελ	campbell
γλωσσολογία	lingvistik
χρονος	tid
χρονος	tidpunkt
χρονος	dags
χρονος	klockslag
χρονος	tiden
λουίζα	louisa
λουίζα	luisa
μοτίβο	mönster
μοτίβο	mönstret
ισοτιμία	paritet
κατηγοριοποίηση	kategorisering
μεταφραστής	översättare
σουηδικά	svenskt
σουηδικά	svensk
σουηδικά	svenska
παν	pan
πες	say
πες	säg
πες	säga
πες	berätta
πες	tell
θάλασσες	hav
προγραμματισμός	planering
προγραμματισμός	planera
προγραμματισμός	planerar
προγραμματισμός	programmera
προγραμματισμός	programmering
προγραμματισμός	tidsplan
προγραμματισμός	tidtabell
προγραμματισμός	schema
έβερτον	everton
ευτυχώς	lyckligtvis
ευτυχώς	lyckligtvis
κάρτερ	carter
αρένα	arena
αρένα	arenan
μπιν	bin
μπιν	bönan
μπιν	bean
μπιν	böna
κίνητρα	motivation
κίνητρα	motivering
κίνητρα	motivationen
κίνητρα	incitament
κίνητρα	incitament
κίνητρα	motiv
δεσμοί	anknyter
δεσμοί	länkar
δεσμοί	obligationer
δαχτυλίδι	ring
ολοκληρωμένο	integrerade
ολοκληρωμένο	integrerad
ολοκληρωμένο	integrerat
νύχτες	nätter
νύχτες	kvällar
ανακωχή	vapenstillestånd
ανακωχή	vapenvila
ανακωχή	vapenstillestånd
δέσποινα	despina
ψηφιακά	digitala
ψηφιακά	digitalt
ψηφιακά	digital
νέλσον	nelson
διαλύματα	lösningarna
διαλύματα	lösningar
ανιψιός	systerson
ανιψιός	brorson
ανιψιός	syskonbarn
κλήση	ring
κλήση	call
κλήση	samtal
κλήση	ringa
κλήση	ringer
κλήση	anropar
πρόνοιας	välbefinnande
πρόνοιας	socialbidrag
πρόνοιας	välfärd
πρόνοιας	välfärden
έπαυλη	herrgården
έπαυλη	herrgård
παντρεμένη	gifta
παντρεμένη	gifte
παντρεμένη	gift
ενδοχώρα	inlandet
ενδοχώρα	inlandet
ενδοχώρα	fastlandet
ουίλιαμς	williams
χιόνι	vinterdäck
χιόνι	snö
χιόνι	snöfall
μοναχούς	munkarna
μοναχούς	munkar
αυστριακοί	österrikare
ανατομία	anatomi
σχεδιασμένο	utformade
σχεδιασμένο	designad
σχεδιασμένο	utformat
σχεδιασμένο	utformad
σχεδιασμένο	designat
σχεδιασμένο	konstruerad
σχεδιασμένο	planeras
σχεδιασμένο	planerade
σχεδιασμένο	planerad
σχεδιασμένο	planerat
δαπάνες	utgifter
δαπάνες	utgifterna
μπαχρέιν	bahrain
γένη	släkten
γένη	släkte
δίδασκε	undervisade
δίδασκε	lärd
δίδασκε	lärt
δίδασκε	lärde
δίδασκε	undervisat
έτοιμος	klara
έτοιμος	beredd
έτοιμος	klar
έτοιμος	redo
έτοιμος	färdiga
συνεχόμενα	fortlöpande
συνεχόμενα	kontinuerligt
συνεχόμενα	oavbrutet
εξασφαλίζει	säkerställer
επικίνδυνο	farliga
επικίνδυνο	farlig
επικίνδυνο	farligt
επικίνδυνο	farliga
επικίνδυνο	farligt
επικίνδυνο	riskfyllt
υπέφερε	lidit
επιπλοκές	komplikationer
επιπλοκές	komplikation
επιπλοκές	komplikationer
δρομολόγια	rutter
ντεπορτίβο	deportivo
όρκο	löfte
προειδοποίηση	varning
λύρα	lyra
έβδομο	sjunde
έβδομο	seventh
νοημοσύνη	intelligens
νοημοσύνη	underrättelser
νοημοσύνη	underrättelse
νοημοσύνη	underrättelsetjänst
νοημοσύνη	intellekt
ανησυχία	rastlöshet
ανησυχία	oro
ανησυχία	omtanke
ιστούς	vävnader
ιστούς	vävnad
ξύλινο	trä
επιλέγει	väljer
επιλέγει	markerar
επιλέγει	väljer
οκλαχόμα	oklahoma
πάχος	tjocklek
θάρρος	kurage
θάρρος	modet
θάρρος	mod
ενεργός	aktiva
ενεργός	aktiv
ενεργός	aktivt
αδύνατη	omöjliga
αδύνατη	omöjligt
αδύνατη	omöjlig
αερολιμένας	flygplats
αερολιμένας	flygplatsen
αερολιμένας	airport
προσάρτηση	annektering
δεσμός	affär
δεσμός	bindning
δεσμός	länk
δεσμός	länken
δεσμός	länka
δεσμός	bond
σεξ	kön
σεξ	sex
περιοδείες	turer
άλφα	alpha
άλφα	alfa
άλφα	alfa
εχθρός	fienden
εχθρός	fiender
εχθρός	fiende
εχθρός	fiende
εχθρός	ovän
νεολιθική	neolitisk
γκαμπόν	gabon
πρόοδος	progress
πρόοδος	förlopp
πρόοδος	framsteg
συγγνώμη	sorry
συγγνώμη	förlåt
συγγνώμη	ledsen
συγγνώμη	beklagar
λογοκρισία	censur
μικτή	blandat
μικτή	blandad
μικτή	blandade
οφέλη	fördelar
οφέλη	förmåner
ημι	semi
εξετάζει	undersöks
μελά	mela
γκόγια	goya
σοφοκλή	sofokles
κανονισμούς	förordningar
κανονισμούς	föreskrifter
κανονισμούς	förordningarna
κέντρων	centra
αναστολή	viloläge
αναστολή	avstängning
αναστολή	suspension
αναστολή	upphävande
αναστολή	hämning
αναστολή	hämmande
αναστολή	upphävd
αναστολή	avstängda
αναστολή	avstängd
ομιλίες	anföranden
ομιλίες	talen
διέκοψε	avbröt
διέκοψε	avbröts
διέκοψε	avbruten
συνεργάτη	kompanjon
συνεργάτη	partner
συνεργάτη	delägare
αμυντική	defensiva
αμυντική	defensiv
κίνητρο	motivet
κίνητρο	motiv
κίνητρο	motivation
κίνητρο	motivering
κίνητρο	motivationen
κίνητρο	incitament
χάρολντ	harold
απέδωσε	tilldelat
απέδωσε	tilldelad
βουδαπέστη	budapest
ανταρκτική	antarktis
ανταρκτική	antarktis
αλάτι	salta
αλάτι	salt
ορλεάνης	orleans
σιτάρι	vete
άστρο	astro
διάσωση	räddning
διάσωση	rädda
διάσωση	undsättning
πινακίδες	plåtar
πινακίδες	tallrikar
πινακίδες	plattor
πινακίδες	skyltar
πινακίδες	tecken
γκλεν	glen
γκλεν	glenn
μονάρχης	monark
δούλευε	fungerade
δούλευε	arbetade
δούλευε	jobbat
δούλευε	jobbade
δούλευε	funkade
δούλευε	arbetat
μελωδία	melodi
μελωδία	melody
μελωδία	melodin
μελωδία	stäm
μυστήριο	mystery
μυστήριο	mystik
μυστήριο	mysterium
μάνα	mor
μάνα	moder
μάνα	mamma
μάνα	mother
τοιχογραφία	fresco
τοιχογραφία	väggmålning
γλωσσική	språkliga
γλωσσική	språklig
γλωσσική	språkligt
τιμά	hedrar
τιμά	utmärkelser
ουρανός	himmel
ουρανός	sky
ουρανός	himlen
ουρανός	himmel
ουρανός	himlar
μειώσει	förminska
μειώσει	minska
μειώσει	reducera
μόλυνση	förorening
μόλυνση	miljöförstöring
μόλυνση	föroreningar
μόλυνση	infektioner
μόλυνση	infektion
μόλυνση	förorening
μόλυνση	kontamination
δημοσιότητα	publicitet
δημοσιότητα	offentlighet
ιατρικό	medicinska
ιατρικό	medicinsk
ιατρικό	medicinskt
προθέσεις	avsikter
προθέσεις	intentioner
μπουρούντι	burundi
ταυτόχρονη	samtidig
ταυτόχρονη	samtidiga
ταυτόχρονη	samtidig
ταυτόχρονη	samtidiga
λιθίου	litium
τυχαίο	slumpmässiga
τυχαίο	random
τυχαίο	slumpmässigt
τυχαίο	slumpvis
τυχαίο	slumpmässig
τυχαίο	olyckshändelse
τυχαίο	oavsiktlig
πολιτισμούς	kulturer
πολιτισμούς	kulturerna
λεωνίδα	leonidas
μαλάουι	malawi
επιθετική	aggressivt
επιθετική	aggressiva
επιθετική	aggressiv
σιδηροδρόμων	järnväg
σιδηροδρόμων	järnvägen
σιδηροδρόμων	järnvägar
σιδηροδρόμων	järnväg
άχρωμο	färglös
άχρωμο	färglösa
αφρικανική	afrikanskt
αφρικανική	afrikaner
αφρικανική	afrikansk
αφρικανική	afrikanska
σπουδαιότητα	betydelse
παρατηρητές	observatörer
κέλυφος	shell
κέλυφος	skal
μπάρτον	burton
μπάρτον	barton
έντι	eddie
έντι	eddy
μπουρκίνα	burkina
φάσο	faso
πορτρέτα	porträtt
κάρτες	kort
κάρτες	cards
κάρτες	kortspel
πληρώσει	betalar
πληρώσει	betala
ελίτ	elit
ελίτ	eliten
ελίτ	elite
μύτη	näsan
μύτη	näsa
μύτη	nos
έπαθλο	pris
ναυτικός	sjöman
ναυτικός	sailor
ναυτικός	sjöman
ναυτικός	nautiska
ναυτικός	sjöman
ναυτικός	sjöfolk
ναυτικός	mariner
τζέρσεϊ	jersey
ιερή	heliga
ιερή	helig
ιερή	heligt
απολιθώματα	fossiler
βασιλεύς	king
βασιλεύς	kungen
βασιλεύς	kung
βασιλεύς	konung
μις	saknar
μις	fröken
μις	miss
μορφοποίησης	formatera
μορφοποίησης	formatering
ουράς	svans
ουράς	stjärt
ουράς	svansen
ιός	virus
ιός	viruset
ενώνει	enar
ενώνει	förenar
μαχητικό	kämpe
μαχητικό	fighter
επίπεδη	platt
επίπεδη	platta
επίπεδη	lägenhet
επίπεδη	flat
όντα	varelser
γιατρό	läkaren
γιατρό	doctor
γιατρό	läkare
γιατρό	doktor
πάμπλο	pablo
ανδρόνικος	andronikos
σαντ	sand
σαντ	shad
τοπικός	lokala
τοπικός	lokalt
τοπικός	lokal
τοπικός	local
προτιμούν	föredrar
προτιμούν	föredra
προκλήθηκε	orsakade
προκλήθηκε	orsakat
βίαια	våldsamt
βίαια	våldsamt
βίαια	våldsam
βίαια	våldsamma
επηρεάζεται	påverkade
επηρεάζεται	påverkad
επηρεάζεται	påverkat
επηρεάζεται	påverkad
επηρεάζεται	påverkade
επηρεάζεται	berörd
επηρεάζεται	drabbad
επηρεάζεται	påverkat
επηρεάζεται	påverkas
ξενοδοχεία	hotell
συγκριτικά	komparativa
συγκριτικά	jämförande
συγκριτικά	jämförelsevis
συγκριτικά	förhållandevis
πρώιμο	förtida
πρώιμο	förhastat
αποθήκη	lager
αποθήκη	lagerlokal
αποθήκη	magasin
αποθήκη	lagring
αποθήκη	förvaring
εντέρου	tarm
εντέρου	tarmen
νιγηρίας	nigerianska
νιγηρίας	nigeria
λάζαρος	lazarus
σημάδι	underteckna
σημάδι	skylt
σημάδι	tecken
σημάδι	signera
μοριακό	molekylär
μοριακό	molekylära
ψήφισμα	resolution
ψήφισμα	upplösning
υπουργών	ministrarna
υπουργών	ministrar
αποφευχθεί	undvik
αποφευχθεί	undvika
αποφευχθεί	undviks
αποφευχθεί	undvikas
αποφευχθεί	undvikit
αποφευχθεί	undvek
βρύση	kran
βρύση	tryck
ενδιαφέρεται	intresserad
ενδιαφέρεται	intresserade
ώθηση	dragkraft
ώθηση	marknadsför
ώθηση	marknadsföra
εξασφαλίζοντας	säkerställa
λας	las
βικτώρια	victoria
λευκορωσία	vitryssland
πλέγμα	maskor
πλέγμα	raster
πλέγμα	rutnät
λένινγκραντ	leningrad
ντιέγκο	diego
απεικονίζονται	avbildas
μάνη	mani
πρώτον	först
πρώτον	första
δημοσιογραφία	journalistik
ρυθμίσεις	arrangemang
ρυθμίσεις	konfiguration
ρυθμίσεις	inställning
ρυθμίσεις	inställningar
δένδρα	träd
δεκτός	accepterade
δεκτός	godkänt
δεκτός	accepteras
δεκτός	accepterat
δεκτός	accepterad
δεκτός	godkänd
