astronaut	astronauta
polazna	a
polazna	comezando
polazna	empezando
polazna	comeza
polazna	tiña
polazna	iniciar
polazna	comezaba
polazna	comezar
pulitzerova	premio
pulitzerova	pulitzer
okupirana	ocupada
mračna	escuras
mračna	escuro
mračna	escura
mračna	escuridade
mračna	noite
penzionisanja	xubilación
kasarne	barracas
ružičasta	rosas
ružičasta	rosa
flow	fluxo
flow	transmisión
ilegalno	ilegal
časova	pm
mesta	lugares
mesta	sitios
mesta	onde
pretvarajući	a
pretvarajući	xirando
pobunjenicima	rebeldes
kolibe	cabana
obuka	formación
obuka	estudan
obuka	adestramento
momci	rapaces
momci	nenos
momci	os
momci	mozos
špijun	espía
rolls	e
nauči	aprenden
nauči	aprender
nauči	a
mučenje	tortura
tribunal	tribunal
projektile	mísiles
pričaj	falar
pričaj	charla
pričaj	con
kinematografija	fotografía
uhapšena	arrestados
uhapšena	arrestaron
uhapšena	deteñan
uhapšena	o
mlin	fábrica
mlin	mill
mlin	muíño
ležao	aí
vodopadi	cae
prizor	ven
prizor	vista
prizor	visión
prizor	seguramente
prizor	ver
eli	ellie
emile	emile
ostvareni	independencia
sopstvenog	propio
sopstvenog	propia
sopstvenog	seu
zarobljenike	presos
zarobljenike	os
zarobljenike	prisioneiros
sluh	que
sluh	oído
sluh	escoita
sluh	escoito
virtualna	virtual
radijacija	radiación
grlo	gorxa
prevenciju	prevención
modu	modo
stvorenje	criatura
plastika	de
plastika	plástico
puštanje	liberación
puštanje	lanzamento
puštanje	en
puštanje	liberdade
puštanje	a
čarobni	máxicos
čarobni	máxico
halo	ola
krađe	un
krađe	roubo
pokriveni	cuberto
propaganda	propaganda
kritično	crítica
sipa	lura
odrede	determinar
odrede	determinan
odrede	han
magla	néboa
magla	brétema
rastuće	de
rastuće	medrando
rastuće	medrar
rastuće	crecemento
rastuće	crecendo
rastuće	medra
rastuće	aumento
građevinarstvo	construción
građevinarstvo	construcción
građevinarstvo	construír
građevinarstvo	construtora
haley	haley
prestaju	deter
prestaju	de
prestaju	parar
prestaju	para
prestaju	deixa
komentarima	comentarios
popodne	tarde
popodne	bos
popodne	tardes
popodne	serán
odjeljenju	ward
provede	gastar
provede	pasar
okupljanje	reunión
slonovi	elefantes
slonovi	elefante
slonovi	marchar
debate	debate
posjetioci	visitantes
počinila	cometeu
počinila	cometido
počinila	cometiches
počinila	cometeses
počinila	cometer
počinila	compromiso
počinila	cometidos
počinila	comprometido
počinila	coa
prijavi	aplicación
nvo	ngo
stiču	gañar
nestale	a
nestale	desaparecidos
nestale	faltan
nestale	falta
nestale	perdidos
nestale	faltaba
savršena	perfecto
savršena	perfecta
savršena	perfectos
sonny	filliño
izumrlih	extinguiron
konkretne	específicas
konkretne	específica
konkretne	específico
konkretne	concreto
konkretne	específicos
jump	así
jump	saltar
jump	chimpa
simulacija	simulación
try	tentar
try	intentar
diplomirani	estudante
značajnom	significativas
značajnom	significativa
značajnom	significativo
značajnom	máis
značajnom	importante
spašavanja	de
spašavanja	apoio
čistu	limpa
čistu	limpo
čistu	limpar
suci	xuíces
suci	os
domove	casas
domove	vivendas
domove	casa
domove	fogares
domove	atención
neprijateljima	inimigos
visi	colga
bicikl	bicicleta
bicikl	en
neprofitne	sen
neprofitne	ánimo
neprofitne	lucro
prosperitet	prosperidade
evoluirala	evolucionou
provodnik	director
zakonodavstvo	lexislación
zakonodavstvo	a
zakonodavstvo	lei
važnom	importante
važnom	importantes
apstraktni	abstracta
meku	suave
kesa	bolsa
kesa	bolso
kesa	maletín
kesa	saco
omogućile	permitir
omogućile	permitirán
omogućile	permiten
omogućile	permitiría
omogućile	permitídeme
omogućile	permitimos
omogućile	permítame
breaking	mesmo
prelaza	cruzar
prelaza	cruzando
podnijela	a
paralelnih	paralelo
starenje	envellecemento
starenje	o
starenje	envellecer
dušična	óxido
dušična	nítrico
dušična	no
kapacitete	capacidade
meleka	os
meleka	anxos
meleka	inferno
plače	chorando
plače	choraba
plače	chorar
plače	vergoña
plače	choras
plače	choran
neuron	neurona
neuron	neuronas
ekstremne	extremas
struke	profesión
produženje	extensión
produženje	estensión
stepenica	escaleiras
stepenica	as
stepenica	escaleira
tople	calor
tople	quentes
tople	quente
tople	cálida
transformaciju	transformación
fda	fda
bliža	a
bliža	mais
bliža	máis
bliža	preto
bliža	xuntarse
bliža	achéguense
bliža	achegádevos
dinamiku	dinámica
dinamiku	dinámicas
flowers	flores
evakuaciju	evacuación
nesposobnost	incapacidade
seksualnu	sexual
dokazali	demostrar
dokazali	probar
dokazali	demostralo
dokazali	probalo
intelektualac	intelectual
zastupljenost	representación
nota	notas
azijska	asiática
azijska	asiático
azijska	asiáticos
poluge	reixas
glasovima	votos
depozita	caixa
depozita	depósito
prebačena	transferido
prebačena	trasladado
omladina	xuventude
omladina	mozos
omladina	a
omladina	mocidade
omladina	francia
omladina	de
radikali	radicais
moda	moda
moda	a
kasarna	barracas
prouzrokovati	porque
prouzrokovati	causa
prouzrokovati	causar
pesme	cancións
pesme	canción
pesme	escribir
predrasuda	prexuízos
benzin	gasolina
manipulacija	manipulación
lepa	lepa
zeitung	zeitung
pritvoru	custodia
pritvoru	baixo
pokrivene	cuberto
madam	señora
madam	señora
madam	madame
pacifik	pacífico
smrtonosno	mortal
smrtonosno	pecados
spremno	listos
spremno	lista
spremno	preparados
spremno	listo
spremno	preparado
pogibije	mortes
pozvati	convídovos
pozvati	a
slijepa	cegas
slijepa	cega
slijepa	cego
slijepa	invidentes
slijepa	cegos
slim	slim
ogrlicu	colar
okeanima	océanos
ponovi	repite
ponovi	anda
ponovi	di
ponovi	repita
ponovi	repito
ponovi	dígoche
prevara	fraude
stečena	adquirían
bullets	balas
bullets	as
percepcija	percepción
klan	clan
klan	do
klan	dos
klan	clans
prevare	fraude
ukrašen	condecorado
twist	xiro
milioni	millóns
milioni	milleiros
milioni	de
duhovnu	espiritual
duhovnu	senda
rajh	reich
čekanja	agardando
čekanja	espera
čekanja	a
čekanja	esperar
čekanja	esperando
čekanja	agardar
svakodnevne	día
svakodnevne	diariamente
svakodnevne	daily
svakodnevne	cotiá
svakodnevne	diario
registrovan	rexistrado
aspektu	aspecto
uzgojem	de
jevrejsko	xudeu
jevrejsko	bebé
jevrejsko	xudeo
petlja	acople
petlja	volta
fiksiranje	arranxar
dopusti	permitir
dopusti	permitirán
dopusti	permiten
dopusti	permitiría
dopusti	permitídeme
dopusti	permitimos
dopusti	permítame
mean	dicir
slatko	sweet
slatko	doces
slatko	doce
neuronima	neuronas
lažna	finxilo
sudnji	xuízo
radikalna	radical
radikalna	radicais
fantastični	fantástico
fantastični	fantástica
kreirana	creamos
kreirana	creou
kreirana	creado
kreirana	creei
kreirana	creados
dugove	débedas
proslavu	celebración
diktatura	ditadura
uspomena	lembranzas
uspomena	recordos
uspomena	memoria
crtani	viñeta
crtani	tira
crtani	debuxos
crtani	animados
crtani	viñetas
gusta	groso
fundamentalne	fundamental
operater	operadora
turisti	turistas
ekstrakt	extraer
ekstrakt	extraen
sopstveni	propio
sopstveni	propia
sopstveni	seu
prosto	simplemente
prosto	que
prosto	só
prosto	sen
edith	edith
naučili	aprendín
naučili	que
naučili	aprenderon
naučili	aprendemos
naučili	aprendeu
naučili	descubrimos
izumiranje	extinción
udaljenim	distante
udaljenim	afastado
objašnjavajući	explican
krade	roubar
krade	roubar
krade	roubando
poboljšan	mellorou
zvijer	besta
odličnu	excelentes
odličnu	excelente
odličnu	de
registracija	rexistro
registracija	tarxeta
redovan	regularmente
redovan	normal
redovan	típica
redovan	de
redovan	taxis
redovan	regular
adrenalin	adrenalina
gage	gage
imunološki	inmunes
imunološki	inmune
imunološki	inmunitario
virtualni	virtual
sabbath	domingo
kancelarija	oficina
kancelarija	despacho
kancelarija	correo
liberalni	liberais
liberalni	liberal
siromašni	pobre
siromašni	pobres
izvrsno	excelentes
izvrsno	excelente
izvrsno	de
rodbina	parentes
rodbina	familiares
učili	ensináronnos
učili	que
učili	ensinou
apetita	apetito
apetita	fame
pozvana	convidei
pozvana	a
pozvana	invitamos
pozvana	invitoume
pozvana	invitado
pozvana	convidado
pozvana	convidou
zvaničnici	funcionarios
ograde	perista
osamdeset	aquí
najgore	peores
najgore	peor
srijeda	o
srijeda	mércores
dogovorom	tratar
dogovorom	negocio
dogovorom	trato
salvatore	salvatore
andi	andes
ateist	ateo
gospoda	señores
gospoda	cabaleiros
produktivnost	produtividade
produktivnost	productividade
katolik	católica
katolik	católico
katolik	catholic
očekivano	se
očekivano	esperaba
očekivano	que
pitali	pregunteille
pitali	preguntou
pitali	lle
jobs	traballos
jobs	traballo
ludo	tola
ludo	tolos
ludo	tolas
ludo	tolo
bills	billetes
bills	contas
bills	as
bills	facturas
ciklusi	ciclos
fusion	fusión
fusion	reactor
zauzeta	moi
zauzeta	ocupado
zauzeta	ocupados
zauzeta	negocios
zauzeta	ocupada
pušteni	liberado
pušteni	liberados
pušteni	editaron
romantična	romántico
romantična	románticos
evropljanin	europea
evropljanin	europeas
zubima	dentes
zubima	os
najgori	peores
najgori	peor
zainteresirani	me
zainteresirani	interesaba
zainteresirani	interesábame
zainteresirani	interesados
zainteresirani	interesado
zainteresirani	interese
zainteresirani	interesa
zainteresirani	interesada
rezerva	reserva
staje	paradas
staje	frea
staje	detén
staje	deixa
staje	se
interesantan	interesante
interesantan	interesantes
radikal	radical
radikal	radicais
vrhovno	corte
vrhovno	suprema
vrhovno	supremo
mess	desastre
mess	boa
mess	lea
mess	porcallada
zaprijetio	ameazada
emocionalne	emocional
emocionalne	emocionais
emocionalne	emotivo
emocionalne	sentimentais
suočen	fronte
mliječnih	leitería
kupanje	baño
shop	tenda
shop	de
shop	mae
shop	choio
shop	delegados
zakonodavstva	lexislación
zakonodavstva	a
zakonodavstva	lei
uživati	guste
uživati	gozamos
uživati	a
uživati	da
uživati	que
uživati	gozar
uživati	gusta
mostove	bridges
mostove	pontes
ponoć	noite
ponoć	ano
ponoć	reloxo
ponoć	doce
ponoć	media
ponoć	medianoite
ponoć	da
ponoć	á
mirne	pacífica
stajanje	de
stajanje	pé
stajanje	estar
stajanje	estaba
stajanje	parados
bašte	xardín
bašte	horta
dove	pomba
probudi	levanta
probudi	esperta
probudi	espertar
probudi	arriba
odgovornim	responsable
odgovornim	responsables
odgovornim	responsábeis
odgovornim	responsábel
indijci	indios
ljubavnici	amantes
salata	ensalada
barber	barbeiro
barber	perruqueiro
smart	intelixente
smart	intelixentes
smart	listos
smart	moi
smart	listo
lenny	lenny
drugovi	camaradas
drugovi	dos
drugovi	compañeiros
nagrađeni	recompensado
skriven	oculto
skriven	oculta
skriven	ocultas
skriven	escondidos
skriven	escondidas
lift	ascensor
penicilin	penicilina
penicilin	a
ekosistem	ecosistema
privremenu	temporal
eksperimentalna	experimental
tableta	pílulas
tableta	pastillas
tableta	somníferos
cent	cento
impresioniran	impresionado
certifikat	certificado
certifikat	partida
certifikat	de
certifikat	nacemento
osveta	vinganza
osveta	vingar
lab	laboratorio
lab	no
igračka	xoguete
bombarder	bomber
dobrodošli	benvida
dobrodošli	benvido
dobrodošli	benvidos
dobrodošli	a
dobrodošli	nada
elen	ellen
organizovati	organizar
čuju	escoitar
čuju	oír
čuju	oio
akti	actos
momenat	momento
momenat	agora
momenat	intre
fed	farto
fed	de
fed	alimentado
ograda	perista
kathleen	kathleen
čestitam	parabéns
plaće	soldo
plaće	salario
plaće	salarios
reagan	reagan
zainteresovan	me
zainteresovan	interesaba
zainteresovan	interesábame
zainteresovan	interesados
zainteresovan	interesado
zainteresovan	interese
zainteresovan	interesa
zainteresovan	interesada
žetve	colleita
strancima	estraños
strancima	descoñecidos
strancima	forasteiros
naučila	aprendín
naučila	que
naučila	aprenderon
naučila	aprendemos
naučila	aprendeu
naučila	descubrimos
izbjegavanja	evitar
gutanja	trague
gutanja	traga
iznenađen	abraiado
iznenađen	sorprendidos
iznenađen	sorprendeuse
iznenađen	sorprendeume
iznenađen	sorprende
iznenađen	sorprendido
špekulacija	especulación
bašti	xardín
bašti	horta
inzulin	insulina
inzulin	á
kompleksnosti	complexidade
nedavnim	recente
nedavnim	recentes
nedavnim	últimos
opredjeljenja	compromiso
opredjeljenja	mecanismo
opredjeljenja	de
opredjeljenja	mecanismos
opredjeljenja	cos
fokusu	centre
fokusu	centrarse
fokusu	centramos
fokusu	centrarme
fokusu	foco
fokusu	focalizar
spaljena	queimado
spaljena	queimaron
spaljena	queimou
spaljena	queimados
kozari	ofensivo
kozari	ofensiva
harmoniju	harmonía
nedjeljom	os
nedjeljom	domingos
nedjeljom	domingo
čistim	limpa
čistim	limpo
čistim	limpar
registrovana	rexistrado
masnoće	graxa
masnoće	gorda
masnoće	gordo
masnoće	gordos
masnoće	o
grijehe	pecados
grijehe	agarimosa
grijehe	pecado
cage	gaiola
jarak	gabia
lonely	soa
lonely	só
kamata	interese
kamata	interesa
dajte	dar
dajte	dáme
porođaj	traballo
krivice	culpa
šejtan	demo
šejtan	diaño
šejtan	satanás
šejtan	satán
ručak	almorzo
ručak	xantar
ručak	o
ručak	comida
ručak	comer
represije	opresión
slavlje	celebración
jenny	jenny
postavljenim	no
brade	barbas
brade	tipo
utvrdila	atopei
utvrdila	que
utvrdila	atopamos
utvrdila	atoparon
utvrdila	atopou
pokriti	a
pokriti	cubrir
pokriti	cuberto
pokriti	cuberta
produžiti	a
produžiti	estender
gimme	dame
borges	borges
sjede	sentada
sjede	sentados
sjede	sentado
krvave	maldito
krvave	idiota
krvave	malditos
tranzicija	transición
štampanih	impreso
iphone	iphone
magellan	magalhães
buđenje	espertar
ekspert	experta
ekspert	experto
kreativni	creativo
kreativni	creativos
kreativni	creativa
kreativni	creativas
protivljenje	oposición
ograničavaju	límite
cigarete	tabaco
cigarete	cigarros
zdrav	san
zdrav	saúde
zdrav	sans
zdrav	saudable
gledaoci	espectadores
gledaoci	audiencia
sunset	solpor
doktori	os
doktori	médicos
doktori	doutores
doktori	médico
pouzdani	fiables
pouzdani	fiable
jučer	onte
nezaposlenih	no
nezaposlenih	paro
nezaposlenih	parados
nezaposlenih	aumento
mašinsko	mecánica
mašinsko	mecánico
dostignuće	logro
kolektivni	colectivo
kolektivni	colectiva
normana	norman
fidel	fidel
hai	hai
kopnom	continente
kamenova	pedras
kamenova	stones
kolektiv	colectivo
kolektiv	colectiva
korupcija	corrupción
korupcija	da
sjednicu	sesión
burn	queimalos
burn	queiman
burn	queimar
burn	queimade
kata	chan
kata	piso
kata	andar
akata	actos
peaks	picos
peaks	xemelgos
emocionalno	emocionalmente
potrošio	pasamos
potrošio	pasei
potrošio	pasou
potrošio	anos
dostojanstvo	dignidade
prokleta	maldita
prokleta	merda
prokleta	carallo
spaljeno	queimado
spaljeno	queimaron
spaljeno	queimou
spaljeno	queimados
municija	munición
municija	municións
municija	cartuchos
ruanda	ruanda
ljubomoran	ciumento
ljubomoran	celosa
žrtvuje	sacrificio
žrtvuje	sacrificar
žrtvuje	zugue
žrtvuje	o
gojaznost	obesidade
gojaznost	a
kasarnu	barracas
boce	botella
tužbi	denuncia
hrista	xesucristo
hrista	cristo
hrista	advindo
hrista	están
hrista	aos
hrista	por
ulaznica	billete
ulaznica	boleto
ulaznica	para
ulaznica	liscar
ugovorima	contratos
odan	leal
halucinacije	alucinacións
halucinacije	as
halucinacije	alucinacións
halucinacije	alucinación
atributi	atributos
iznenadne	súpeto
iznenadne	de
iznenadne	repentino
prodavač	vendedor
sirena	serea
daniels	daniels
fotografa	fotógrafo
osjetljivih	sensibles
osjetljivih	sensible
odlučnost	determinación
anonimno	anónimos
čujem	escoitar
čujem	oír
čujem	oio
dijagnostika	diagnóstico
dijagnostika	diagnose
kampu	campo
kampu	campamento
kampu	acampamento
kampu	do
direktori	directores
revolucionara	revolucionarios
očajnički	desesperadamente
odluče	decidir
odluče	decidimos
odluče	deciden
odluče	decido
odluče	decidirá
odluče	decide
dai	dai
maska	máscara
proda	vender
proda	vende
najbogatija	máis
najbogatija	ricos
lude	tola
lude	tolos
lude	tolas
lude	tolo
boss	xefe
boss	patrón
upitan	pregunteille
upitan	preguntou
upitan	lle
imidž	imaxe
hrišćanska	christian
hrišćanska	cristiáns
prijavu	aplicación
fudbalu	fútbol
branioci	defensores
ludi	tola
ludi	tolos
ludi	tolas
ludi	tolo
najdublje	máis
najdublje	profundo
najdublje	profunda
kasarni	barracas
tama	escuridade
procenata	por
procenata	cento
kredit	préstamo
kredit	tarxetas
kredit	crédito
kredit	roubada
kopanje	cavando
nejasna	mala
dodajući	engadindo
dodajući	engadir
palestinaca	palestinos
oficire	oficiais
oficire	os
oficire	seus
oficire	policías
oficire	de
oficire	oficial
oficire	policía
oficire	axente
lažnih	falsa
lažnih	falso
travu	herba
izvještavanje	reportando
izvještavanje	información
izvještavanje	alcance
krađa	un
krađa	roubo
obučeni	adestrados
obučeni	para
obučeni	adestrada
obučeni	adestrado
presudan	cruciais
presudan	crucial
buke	ruido
buke	ruído
buke	son
debela	graxa
debela	gorda
debela	gordo
debela	gordos
debela	o
primorana	obrigado
primorana	a
primorana	forzado
primorana	todo
primorana	obrigoume
primorana	recrutado
uopšteno	xeral
uopšteno	normalmente
ema	emma
primjećuju	percibir
oslobodilački	liberación
trouglova	triángulos
meka	suave
kamioni	camións
fantastika	fantasía
memorijal	día
memorijal	dos
memorijal	caídos
sida	sid
korala	de
korala	coral
ulog	aposta
ulog	apostar
ulog	a
ulog	aposto
ulog	que
ulog	seguro
duhovnih	espiritual
duhovnih	senda
bentley	bentley
bag	bolsa
bag	bolso
bag	maletín
bag	saco
grom	canóns
grom	trono
grom	os
grom	tronos
zagađenje	contaminación
vogel	vogelöd
vogel	vogel
