apostel	apostelen
intensiivsus	intensiteten
intensiivsus	intensitet
marss	mars
springer	springer
teave	informasjon
teave	informasjonen
teave	opplysninger
signaale	signaler
signaale	signalene
ridades	rekkene
ridades	grader
ridades	gradene
kõrgele	high
kõrgele	rus
kõrgele	høy
kõrgele	høyt
kõrgele	høgt
dakota	dakota
rey	rey
dresdeni	dresden
katastroofi	katastrofe
katastroofi	katastrofen
muusikal	musical
muusikal	musikal
muusikal	musikalsk
nigeri	niger
satelliit	satellitt
rick	rick
poom	boom
astronaut	astronaut
unenägu	drømmen
unenägu	drømme
unenägu	dream
unenägu	drøm
suundumused	trender
herakles	hercules
herakles	herkules
herakles	hercule
aspekte	aspekter
lootes	håpet
lootes	håpte
lootes	håper
mässulised	opprørere
andersen	andersen
firmad	selskaper
firmad	bedrifter
firmad	selskaper
michelangelo	michelangelo
võti	nøkkel
kliiniline	klinisk
väljatöötamine	utvikle
välised	ekstern
välised	eksternt
välised	eksterne
välised	utvendig
välised	utvendige
välised	eksteriør
võõras	fremmede
võõras	fremmed
tuttav	velkjent
tuttav	kjenner
tuttav	kjent
tuttav	kjenning
tuttav	bekjentskap
tuttav	bekjent
madalamad	senk
madalamad	nedre
madalamad	lavere
baltimore	baltimore
päevik	journal
päevik	tidsskrift
päevik	dagbok
päevik	dagbok
platvorm	plattformen
platvorm	plattform
paradigma	paradigmet
nähtavad	synlig
nähtavad	synlige
emilia	emilia
metallica	metallica
pidu	parti
pidu	fest
pidu	feste
pidu	party
meeleolu	humøret
meeleolu	mood
meeleolu	humør
sata	sata
sidus	holdbar
alternatiiv	alternative
alternatiiv	alternativ
alternatiiv	alternativ
hiv	hiv
tarn	tarn
disainitud	designet
disainitud	utformet
geneetika	genetikk
gov	gov
adolph	adolph
täitnud	oppfylt
täitnud	fullført
ingel	engelen
ingel	engel
ingel	angel
kohane	passende
kohane	hensiktsmessig
enrico	enrico
cfg	cfg
vangistatud	fengslet
vangistatud	fanget
vaatas	sett
rev	rev
akna	vindu
maximus	maximus
samsung	samsung
clemente	clemente
variandid	varianter
hüüdnime	kallenavn
pühak	helgen
pühak	saint
craig	craig
honda	honda
florence	florence
florence	firenze
reporter	reporteren
reporter	reporter
geoloogiline	geologiske
geoloogiline	geologisk
geoloogiline	geologisk
hampshire	hampshire
jutud	hendelser
jutud	historier
jutud	hendingar
jutud	fortellinger
atmosfäär	atmosfære
atmosfäär	stemning
atmosfäär	atmosfæren
lahinguid	slagene
lahinguid	kamper
sissetulek	inntekt
ületanud	overskredet
lame	flat
lame	flatt
lame	flate
elena	elena
elena	jelena
loata	uautorisert
brand	merke
brand	brand
brand	merkevare
augustin	augustin
võrgus	pålogget
võrgus	tilkoblet
võrgus	online
kasutamata	ubrukte
kasutamata	ubrukt
hunter	jeger
hunter	hunter
nõutud	forespurte
nõutud	forespurt
nõutud	bedt
nõutud	obligatorisk
nõutud	påkrevd
nõutud	kreves
moodul	modul
han	han
chapelle	chapelle
täide	lus
mungad	munker
sauna	badstue
sauna	sauna
ameeriklane	amerikaner
ameeriklane	amerikanske
ameeriklane	american
ameeriklane	amerikansk
hinnad	priser
hinnad	prisene
diktaator	diktator
meta	meta
lane	lane
armastatud	elskede
eesistuja	formann
eesistuja	ordstyrer
eesistuja	styreleder
ragnar	ragnar
canterbury	canterbury
kulu	kostnader
kulu	kostnad
kulu	koster
kulu	kosta
kulu	bekostning
kulu	utgift
tagajärg	konsekvens
julge	freidig
julge	fet
julge	dristige
julge	dristig
julge	djerv
julge	modige
julge	modig
julge	våg
julge	tør
julge	våge
julge	dristig
tasane	flat
tasane	flatt
tasane	flate
mune	eggs
mune	egg
mõjuvõimu	empowerment
konkreetsete	spesifikk
konkreetsete	spesifikt
konkreetsete	spesifikke
olli	olli
voyager	voyager
jõulud	jula
jõulud	julen
jõulud	jul
jõulud	christmas
plus	plus
plus	pluss
baltica	baltica
nõbu	fetter
nõbu	kusine
nõbu	cuz
klaviatuuri	tastatur
ökosüsteemi	økosystem
aurora	aurora
kirgiisi	kirgisisk
stanislav	stanislav
spencer	spencer
kõneleja	høyttaler
terminoloogia	terminologi
nokk	nebbet
nokk	nebb
hirv	hjort
hirv	hjortedyr
hirv	rådyr
jefferson	jefferson
tunnel	tunnel
mahajäetud	forlatte
mahajäetud	forlatt
kiired	strålene
kiired	stråler
bagdadi	bagdad
leib	brød
lendavad	flying
lendavad	flyging
lendavad	flyr
isabel	isabel
edvard	edvard
secret	hemmelige
secret	hemmelighet
secret	secret
secret	hemmelig
laagris	leiren
laagris	leirskole
laagris	leir
laagris	camp
snake	slange
snake	snake
avaldus	erklæring
avaldus	uttalelse
avaldus	utsagn
väiksemaks	mindre
kontor	kontor
kontor	kontoret
kontor	office
oskus	ferdighet
emily	emily
aldo	aldo
väljendus	uttrykk
kattis	dekkes
kattis	dekket
kahur	cannon
kahur	kanon
esitus	presentasjon
esitus	forestillinger
esitus	opptredener
paas	fasten
paas	faster
paas	faste
tervist	helsa
tervist	helse
toodang	produksjonen
toodang	produksjon
dante	dante
bordeaux	bordeaux
nuku	dukke
nuku	dokka
nuku	dokke
stsenaarium	scenario
õigustada	rettferdiggjøre
õigustada	rettferdiggjør
kaar	arc
kaar	arch
skp	bnp
autod	cars
autod	biler
oranž	orange
oranž	appelsin
oranž	oransje
ideaalne	perfekt
ideaalne	fullkommen
ideaalne	perfekte
ideaalne	perfect
ideaalne	ideelt
ideaalne	ideal
ideaalne	ideell
ideaalne	ideelle
leedulased	litauere
ani	ani
serv	kant
serv	edge
serv	kanten
muster	mønster
castle	castle
castle	slott
identiteet	identitet
identiteet	identiteten
zhang	zhang
geoffrey	geoffrey
zhou	zhou
rõivas	plagg
ainulaadne	unik
ainulaadne	unikt
ainulaadne	unike
algataja	initiativtaker
sissetung	invasjon
sissetung	inntrenging
altari	alter
magneesiumi	magnesium
mona	mona
grey	grå
grey	grey
teresa	teresa
luca	luca
oskused	skills
oskused	ferdighetene
oskused	ferdigheter
oskused	ferdighet
solomon	salomon
solomon	solomon
solomon	salomo
intervall	intervall
oklahoma	oklahoma
leopard	leopard
osaka	osaka
vastused	reaksjoner
vastused	respons
vastused	svar
vastused	svarene
tundeid	følelser
tundeid	feelings
hannah	hannah
trotski	trotskij
esitamine	innsending
esitamine	underkastelse
põhjavee	grunnvannet
järjekord	køen
järjekord	kø
järjekord	bestille
järjekord	orden
järjekord	bestilling
järjekord	order
järjekord	rekkefølge
geneetik	genetiker
motoriseeritud	motorisert
franklini	franklin
karistus	straff
karistus	straffespark
karistus	straff
montgomery	montgomery
ilmnes	manifestert
kuulnud	hørt
kuulnud	hørte
kuulnud	hort
aspekt	aspekt
benedict	benedict
benedict	benedikt
filter	filter
filter	filteret
filter	filtrere
lindi	teip
lindi	tape
lindi	bånd
terje	terje
milton	milton
vinci	vinci
pol	pol
pan	pan
reguleeritud	regulerte
reguleeritud	regulert
lendu	flyreise
lendu	flytur
lendu	flyging
augsburgi	augsburg
stephan	stephan
abstraktne	abstrakt
plaanitud	planlagt
valle	valle
puudused	manglene
puudused	svakhetene
puudused	svakheter
todd	todd
olympic	olympiske
olympic	olympic
wilde	wilde
leiba	brød
kontserdid	konserter
newcastle	newcastle
õpetlane	stipendiat
õpetlane	lærd
volinik	politisjef
volinik	kommissær
pioneer	pioneer
pioneer	pioner
ravenna	ravenna
tapab	dreper
arendus	utvikling
raskused	vanskeligheter
raskused	vansker
raskused	vanskeligheter
raskused	vansker
sotsialismi	sosialisme
grupid	grupper
grupid	gruppene
nael	spiker
nael	negl
nürnbergi	nürnberg
eraldunud	frittliggende
veerand	kvart
püssi	gevær
püssi	rifle
irl	irl
konstrueeritud	konstruert
mix	mix
mix	blanding
mix	miks
vari	skygge
vari	shadow
vari	skyggen
grete	grete
derek	derek
vesinik	hydrogen
usd	usd
reed	reed
motiiv	motivet
motiiv	motiv
motiiv	funksjonen
usbeki	usbekisk
björn	bjørn
björn	björn
veebisait	nettsted
veebisait	nettside
veebisait	nettstedet
adobe	adobe
positiivselt	positivt
oswald	oswald
galileo	galileo
liigne	overdrevent
liigne	overdreven
kuuli	kule
evelyn	evelyn
serblased	serbere
serblased	serberne
rabas	moor
rabas	moen
nahka	hud
nahka	flå
nahka	huden
hõim	stamme
haydn	haydn
tiiger	tiger
tiiger	tigergutt
rostovi	rostov
sood	sumpene
sood	myrene
bahreini	bahrain
bahreini	bahrains
vega	vega
küljed	sides
winkler	winkler
nõude	påstand
nõude	krav
nõude	hevder
nõude	kravet
võimed	evner
võimed	krefter
võimed	powers
küllastunud	mettet
ever	noensinne
ever	ever
raoul	raoul
kile	film
mägismaa	høylandet
cohen	cohen
oodatud	forventa
oodatud	ventes
oodatud	ventet
oodatud	forventet
oodatud	forventes
kartis	fryktet
kartis	fryktede
marilyn	marilyn
osake	partikkel
sara	sara
zeus	zevs
energeetika	energi
act	akt
act	handle
act	act
häda	ve
parandab	korrigerer
chang	chang
horst	horst
walt	walt
harmoonia	harmoni
harmoonia	harmony
suhtumist	holdninger
mahler	mahler
muld	jord
muld	skitt
muld	jord
muld	solis
pinged	spenninger
pinged	spenning
kontroller	kontroller
kontroller	kontrolleren
bock	bock
arve	regning
arve	bill
arve	faktura
tõstetud	oppdratt
tõstetud	hevet
tõstetud	oppvokst
tõstetud	fostret
tõstetud	oppfostret
austin	austin
klassid	klasser
klassid	fag
klassid	klassene
laser	laseren
laser	laser
varese	varese
jessica	jessica
romaane	romaner
hardcore	hardcore
informaatika	computing
informaatika	informatikk
laienemine	ekspansjon
marguerite	marguerite
delegatsioon	delegasjon
delegatsioon	delegasjonen
col	col
molotovi	molotov
õiglus	justice
õiglus	rettferdighet
kolooniad	koloniene
kolooniad	kolonier
ülalt	øverst
ülalt	top
ülalt	toppen
ülalt	overdel
ülalt	topp
formaat	formatet
formaat	format
berger	berger
hannover	hannover
vöönd	sone
vöönd	zone
hetk	moment
hetk	øyeblikket
hetk	øyeblikk
telefon	telefon
telefon	telefon
carol	carol
arktika	arktisk
arktika	arktiske
arktika	arktis
arktika	arctic
locke	locke
spektri	spekteret
spektri	spektrum
spektri	spectrum
soomlased	finner
mag	mag
minevik	fortida
minevik	fortiden
minevik	fortid
minevik	forbi
minevik	past
luksemburg	luxembourgs
luksemburg	luxemburg
luksemburg	luxembourg
gerard	gerard
teadvus	bevissthet
aadel	adel
aadel	adelen
faktor	factor
faktor	faktor
tähtkuju	stjernebilde
tegur	factor
tegur	faktor
lepingud	kontrakter
lepingud	traktater
curie	curie
veterinaaria	dyreklinikk
räägi	fortelle
räägi	fortell
räägi	snakkes
räägi	snakk
räägi	talk
räägi	tal
räägi	snakke
räägi	snakk
räägi	speak
valima	velg
valima	velge
valima	velger
valima	velge
valima	velg
valima	velger
üleriigilise	landsomfattende
oksad	greiner
portreed	portretter
lahkumine	avreise
lahkumine	avgangen
lahkumine	avgang
lahkumine	forlater
lahkumine	drar
eelistatud	foretrukket
eelistatud	foretrukne
eelistatud	foretrakk
demo	demo
efektiivsus	effektivitet
ülesehitus	struktur
norbert	norbert
esperanto	esperanto
roth	roth
resolutsiooni	oppløsning
resolutsiooni	resolusjon
tuuri	tours
reformid	reformer
laskemoona	ammunisjon
clara	clara
ligipääs	adgang
ligipääs	tilgang
psühholoogiline	psykologisk
ekvatoriaal	ekvatorial
tsivilisatsiooni	sivilisasjon
tsivilisatsiooni	sivilisasjon
saun	badstue
saun	sauna
presidendid	presidenter
komponendi	komponenten
komponendi	komponent
domineerib	dominerer
kirjutised	skrifter
asendus	erstatter
asendus	erstatning
asendus	erstatning
asendus	erstatte
asendus	erstatt
davidson	davidson
maksud	utskrevne
maksud	skatt
maksud	selvangivelsen
maksud	skatter
elmo	elmo
päikest	sun
päikest	sol
päikest	søn
päikest	solskinn
päikest	sunshine
võidetud	vinnes
võidetud	vunnet
võidetud	won
võidetud	vant
võidetud	beseires
võidetud	overvunnet
võidetud	beseiret
mõjukas	innflytelsesrike
mõjukas	innflytelsesrik
laua	bord
laua	tabell
illustraator	illustratør
kaisa	kaisa
harta	charter
ursula	ursula
nõudmised	forespørsler
nõudmised	henvendelser
nõudmised	krav
kriteeriumid	kriterier
allkiri	signatur
allkiri	underskrift
maas	down
maas	ned
maas	nedover
maas	nede
ten	tier
ten	ten
ten	ti
otsustav	avgjørende
otsustav	besluttsom
mainis	nevnte
mainis	nevnt
mainis	nevnes
meteoroloogia	meteorologi
stepan	stepan
demokraadid	demokrater
demokraadid	demokratene
näljahäda	hungersnød
motiivid	motiver
vastuvõetud	godtatt
vastuvõetud	godtas
vastuvõetud	akseptert
vastuvõetud	godkjent
vastuvõetud	aksepterte
vastuvõetud	adoptert
vastuvõetud	vedtatt
vastuvõetud	implementert
xxiii	xxiii
teodor	teodor
baleriin	ballerina
ipod	ipod
krooniline	kronisk
edwards	edwards
kraater	krater
leibkonna	husholdning
leibkonna	husstand
kauge	fjerne
kauge	fjernt
kauge	fjern
istus	satt
istus	sittet
istus	lø
istus	sat
tapmist	slakting
tapmist	slakt
tapmist	slakter
tapmist	slakte
claudio	claudio
coli	coli
ajakirjad	dagbøkene
ajakirjad	dagbøker
ajakirjad	magasiner
ajakirjad	tidsskrifter
ajakirjad	blader
turner	turner
nähtamatu	usynlige
nähtamatu	usynlig
nähtamatu	usett
haamer	hammer
jätkati	fortsettelse
jätkati	fortsatte
luxembourg	luxembourgs
luxembourg	luxemburg
luxembourg	luxembourg
piip	pipe
piip	rør
clément	clément
tõstmine	oppdrar
tõstmine	oppdra
connor	connor
kilogrammi	kilogram
baer	baer
sas	sas
raamatukogude	biblioteker
masti	mast
kümnes	tenth
kümnes	tiende
jahu	mel
jahu	måltid
täiustatud	forbedrede
täiustatud	bedret
täiustatud	forbedret
täiustatud	avansert
täiustatud	avanserte
täiustatud	advanced
blu	blu
zeusi	zevs
ajad	tidspunkter
ajad	tider
ajad	tidene
ajad	ganger
ajad	times
marine	marinesoldat
marine	marine
volõõnia	volyn
agentuur	agency
agentuur	byrå
agentuur	byrået
kõrgustik	upland
entomoloog	entomolog
kuulis	hørt
kuulis	hørte
kuulis	hort
rocca	rocca
mesopotaamia	mesopotamia
tuuleveski	vindmølle
karabahhi	karabakh
prima	prima
peegeldab	gjenspeiler
natura	natura
blackberry	blackberry
uskumused	overbevisning
uskumused	livssyn
nõid	trollkvinne
nõid	heks
nõid	witch
maandus	landet
steel	stål
isabella	isabella
mozilla	mozilla
teatab	kunngjør
teatab	erklærer
olivier	olivier
eurooplaste	europeere
alexis	alexis
kohtunud	møtt
kohtunud	møtte
kohtunud	møttes
kohtunud	met
kohtunud	traff
legaat	legatus
mürk	gifta
mürk	gift
emilie	emilie
igavesti	forever
igavesti	evig
igavesti	evighet
heidi	heidi
unustatud	glemt
reform	reform
tseremoonia	seremoni
tõlk	oversetter
tõlk	tolk
tõlk	tolken
registrisse	registrer
registrisse	register
registrisse	registrere
raadius	radius
iowa	iowa
kasvajate	svulster
antonius	antony
antonius	antonius
jesse	jesse
kesklinn	downtown
kesklinn	sentrum
walther	walther
murdis	konk
murdis	blakk
murdis	brakk
murdis	brøt
muudatus	tillegget
muudatus	forandring
muudatus	endring
muudatus	endre
nõrgad	svak
nõrgad	svakt
nõrgad	svake
einstein	einstein
ice	is
ice	ice
kann	krukke
kann	mugge
kann	jug
santi	santi
juur	root
juur	rot
tundlik	sensitivt
tundlik	sensitive
tundlik	følsom
tundlik	følsomt
tundlik	sensitiv
diplomaatia	diplomati
diplomaatia	diplomatiet
elupaikade	habitat
väärib	fortjener
tõhus	effektive
tõhus	effektiv
tõhus	effektivt
tõhus	effektive
tõhus	effektiv
tõhus	effektivt
kalduvus	tendens
täiendav	ytterligere
täiendav	ekstra
täiendav	supplementary
