toegepaste	応用
schacht	シャフト
pistool	ピストル
pistool	ガン
bereiden	準備
kaukasus	コーカサス
crosby	クロスビー
andersen	アンデルセン
giorgio	ジョルジョ
dimensie	ディメンション
dimensie	次元
dimensie	寸法
flash	flash
flash	フラッシュ
opgegraven	出土
landbouwer	農家
wendy	ウェンディ
deutschland	ドイッチュラント
superman	スーパーマン
valk	ファルコン
populaties	人口
slechtste	最悪
poitou	ポワトゥー
mama	ミイラ
mama	マミー
mama	ママ
mama	mama
jin	jin
jin	ジン
chuck	チャック
urban	アーバン
trui	セーター
trui	トレーナー
trui	ジャージー
cool	クール
cool	涼しい
springer	スプリンガー
springer	ジャンパー
vul	埋める
para	パラ
waterstof	水素
spraken	スポーク
tribune	トリブヌス
darmstadt	ダルムシュタット
verwanten	親族
verwanten	親戚
veilige	セーフ
veilige	金庫
veilige	安全
gillis	ギリス
coburg	コーブルク
markten	マーケット
fabrikanten	製造業者
stroomgebied	盆地
tienen	tens
luxemburgs	ルクセンブルク
cola	コーク
cola	コーラ
cola	コーラ
conclusies	結論
vfl	vfl
voortplanting	伝播
voortplanting	布教
voortplanting	模写
voortplanting	生殖
toneelschrijver	劇作家
lily	ユリ
lily	リリー
binnenkant	インサイド
werpen	ピッチング
werpen	ピッチャー
werpen	ピッチ
spieren	筋肉
spieren	マッスル
spieren	筋肉
pag	pag
kunststof	プラスチック
kunststof	合成樹脂
kunststof	ビニール
kunststof	プラスチック
kunststof	プラスティック
piloten	パイロット
ashley	アシュリー
ashley	アシュレイ
klimmen	登山
klimmen	クライミング
klimmen	登る
weggelaten	省略
olieverf	石油
olieverf	オイル
emi	emi
emi	えみ
sheriff	シェリフ
component	コンポーネント
twilight	トワイライト
twilight	たそがれ
stempel	切手
stempel	スタンプ
rente	利子
rente	利息
oproepen	通話
floyd	フロイド
chu	chu
sbs	sbs
producenten	プロデューサー
lynn	リン
bespreken	話し合う
bespreken	ディスカッション
verraad	裏切り
verraad	裏切り
verraad	反逆
duet	デュエット
parameter	パラメータ
tweeling	ツイン
tweeling	双生児
tweeling	双子
tweeling	ジェミニ
tweeling	双子
senegal	セネガル
elektronisch	エレクトロニック
wortel	ニンジン
wortel	人参
wortel	にんじん
wortel	root
wortel	ルート
jordanië	ヨルダン
jordanië	ジョーダン
interface	インターフェース
interface	インタフェース
kris	クリス
herdenking	追悼
herdenking	記念碑
overgave	降伏
echo	超音波
echo	反響
echo	エコー
regina	レジーナ
toyota	豊田
toyota	トヨタ
kessel	ケッセル
gotha	ゴータ
grap	ジョーク
grap	冗談
grap	イタズラ
therapie	治療
therapie	セラピー
fletcher	フレッチャー
documentatie	ドキュメント
documentatie	ドキュメンテーション
achilles	アキレス
achilles	アキレウス
venster	ウィンドウ
reynolds	レイノルズ
yoga	ヨガ
compilatie	編纂
compilatie	コンパイル
glen	グレン
piëmont	ピエモンテ
primitieve	プリミティブ
heavy	重い
heavy	ヘビー
crew	クルー
antiochië	アンティオキア
rightarm	rightarm
halfrond	半球
connor	コナー
gastheer	ホスト
gastheer	主催
bezienswaardigheden	光景
overheersing	支配
voorgestelde	おすすめ
leach	リーチ
gay	ゲイ
theodore	テオドール
tunnels	トンネル
filmpje	映画
filmpje	ムービー
filmpje	ビデオ
filmpje	動画
laden	読み込む
laden	ロード
laden	読み込み
laden	ローディング
haat	憎悪
haat	憎悪
haat	嫌い
haat	憎しみ
haat	憎悪
twin	ツイン
twin	双生児
twin	双子
soap	石けん
soap	石鹸
soap	ソープ
soap	soap
italiaan	イタリアン
innsbruck	インスブルック
broederschap	友愛
toscane	トスカーナ
vakken	科目
hagedis	トカゲ
roche	ロッシュ
afgelegen	リモート
gedetailleerde	詳細
instructies	指示
instructies	命令
instructies	手順
instructies	指示
financiering	融資
fbi	fbi
neiging	傾向
trip	旅行
trip	トリップ
zwangerschap	妊娠
prachtig	美しい
prachtig	ビューティフル
prachtig	見事
prachtig	豪華
prachtig	ゴージャス
blonde	金髪
blonde	ブロンド
blonde	金髪
blonde	ブロンド
groeve	採石場
concreet	コンクリート
siberische	シベリア
colleges	カレッジ
colleges	大学
hamburger	バーガー
hamburger	ハンバーガー
hamburger	ハンバーガー
ticket	切符
ticket	チケット
fasen	舞台
fasen	ステージ
indicatie	インジケータ
essentie	エッセンス
essentie	本質
annexatie	併合
event	イベント
event	行事
afwijkingen	異常
paniek	パニック
citaten	引用
citaten	引用
squadron	戦隊
negentien	nineteen
derek	デレック
derek	デレク
horizon	地平線
horizon	ホライズン
horizon	水平線
oneindig	インフィニット
oneindig	無限
oneindig	infinity
oneindig	無限大
berekenen	計算
berekenen	計算
berekenen	計算
berekenen	算定
stilte	静けさ
stilte	静か
stilte	サイレンス
stilte	無音
stilte	沈黙
babylon	バビロン
eugen	オイゲン
vissers	漁師
vissers	漁師
verplichtingen	義務
verplichtingen	債務
verplichtingen	負債
presidentschap	総裁
specimen	標本
specimen	見本
specimen	標本
wing	ウイング
joy	joy
joy	ジョイ
joy	喜び
peel	ピール
marche	マルシェ
contra	コントラ
preekstoel	講壇
overzeese	海外
lichtere	ライター
amfibieën	両生類
intelligentie	知能
compromis	妥協
multi	マルチ
rebecca	レベッカ
canterbury	カンタベリー
dichtbij	閉じる
dichtbij	クローズ
arp	arp
verworpen	解散
verworpen	却下
faber	フェイバー
peilingen	アンケート
peilingen	ポーリング
siegfried	ジークフリート
pionier	パイオニア
kas	温室
verlangen	欲望
verlangen	あこがれ
verplichting	義務
verplichting	債務
piraten	パイレーツ
piraten	海賊
piraten	海賊
rugby	ラグビー
kazerne	バラック
hing	ハング
indirect	間接
webpagina	ウェブページ
schending	違反
schending	侵害
schending	違反
cut	cut
cut	カット
cut	切り取り
buurman	隣人
buurman	隣人
buurman	近所
particulier	非公開
particulier	プライベート
conservatief	保守
schijn	出演
wijnen	ワイン
toledo	トレド
toevoegingen	添加物
aardewerk	陶芸
aardewerk	陶器
claudio	クラウディオ
horror	ホラー
diesel	ディーゼル
touch	タッチ
touch	touch
touch	触る
plaza	プラザ
strikte	厳重
edo	江戸
ninja	忍者
ninja	ニンジャ
chemisch	化学
mechanisme	機構
mechanisme	メカニズム
verkochte	落札
kolommen	カラム
maggie	マギー
strijders	戦士
strijders	ウォリアーズ
strijders	ファイターズ
dillon	ディロン
eds	eds
huygens	ホイヘンス
drijvende	フローティング
drijvende	浮動
nürnberg	ニュルンベルク
voorgrond	前景
presidenten	知事
presidenten	社長
verzonnen	発明
toets	キー
toets	key
creatie	創造
creatie	作成
hermes	ヘルメース
ger	ger
lindsay	リンジー
struiken	低木
struiken	低木
gate	ゲート
pierce	ピアス
pierce	ピアース
replica	レプリカ
holding	持株
oma	おばあさん
oma	祖母
oma	おばあさん
paars	パープル
easy	イージー
easy	易しい
easy	やさしい
easy	簡単
controverse	論争
bulgaars	ブルガリア
mezelf	自分
mezelf	myself
princess	王女
princess	プリンセス
triple	トリプル
moravië	モラヴィア
zambia	ザンビア
arc	アーク
arc	arc
paviljoen	パビリオン
hampshire	ハンプシャー
vervaardigde	製造
coupe	クーペ
bio	バイオ
navigatie	航法
navigatie	ナビゲーション
verplaatsing	移転
verplaatsing	変位
verplaatsing	ムーブメント
verplaatsing	楽章
verplaatsing	運動
turn	ターン
turn	曲がる
alexis	アレクシス
dominicaanse	ドミニカ
nation	ネーション
nation	国民
ribben	リブ
munitie	弾薬
munitie	弾薬
cinema	映画
cinema	シネマ
onderkaak	下顎骨
midnight	ミッドナイト
midnight	真夜中
dronken	酔っぱらい
exploitant	オペレーター
pauw	クジャク
disc	ディスク
disc	円盤
beginnende	初心者
universe	宇宙
pet	pet
pet	ペット
pet	ハット
pet	帽子
ideologie	イデオロギー
irina	イリナ
irina	イリーナ
aandoeningen	疾患
restant	剰余
gearchiveerd	アーカイブ
welvaart	繁栄
tenen	爪先
tenen	つま先
metingen	測定
metingen	測定
jill	ジル
kwartet	カルテット
dante	ダンテ
fernandez	フェルナンデス
procureur	検察官
procureur	検事
schetsen	スケッチ
schetsen	スケッチ
fabio	ファビオ
fabio	ファビオ
joshua	ヨシュア
akkoorden	協定
accommodatie	宿泊
versterkingen	援軍
rich	金持ち
rich	リッチ
virgin	処女
virgin	ヴァージン
contrast	コントラスト
zonde	シン
zonde	sin
moerassen	沼地
zum	zum
grafiek	グラフ
grafiek	チャート
beschuldiging	主張
beschuldiging	告発
parasitaire	寄生
sheffield	シェフィールド
bezoeker	ビジター
ever	ever
bevestiging	確認
panorama	パノラマ
straffen	処罰
straffen	処罰
artist	芸術家
artist	アーティスト
spreek	喋る
spreek	speak
joyce	ジョイス
beginsel	原理
hassan	ハサン
hassan	ハッサン
riet	リード
aria	アーリア
aria	アリア
broeder	兄弟
broeder	ブラザー
hemzelf	独学
herhalen	繰り返す
