цезар	凱撒
рису	飯
шанувальників	樊
шанувальників	粉絲
шанувальників	風扇
шанувальників	範
ліван	黎巴嫩
бомб	炸彈
критичні	危急
критичні	批判
критичні	臨界
ускладнення	併發症
болото	芬
болото	沼澤
болото	沼澤地
болото	沼澤
рівнина	平原
генератор	產生器
генератор	發電機
осередком	巢穴
вертикально	垂直
вертикально	縱向
вертикально	垂直
вертикально	縱向
демократи	民主黨
боксер	拳手
боксер	拳擊手
яндекс	yandex
причинами	起因
кімнату	房間
кімнату	房
відвідали	出席
абетка	字母
племінник	外甥
племінник	侄子
піку	spike
лукас	lukas
печатка	封
печатка	密封
печатка	印章
печатка	海豹
роза	玫瑰
роза	rose
роза	rosa
сплати	付款
сплати	支付
сплати	付款
сплати	支付
домен	藩
домен	網域
домен	域
ліки	藥品
ліки	藥物
ліки	醫學
ліки	藥
ліки	醫藥
ліки	藥品
ліки	醫藥
чинного	有效
реальний	real
реальний	真實
експертизи	考試
санкції	制裁
шифрування	加密
шифрування	加密
шифрування	加密
республіканська	共和
суверенітет	主權
марку	蓋章
марку	郵票
марку	印章
умова	條件
умова	狀況
торговельних	商標
вибраний	選取
атоми	原子
революційний	革命性
зустрілися	遇見
океанії	大洋洲
опалення	暖氣
опалення	供暖
опалення	加熱
полоні	俘虜
відносна	親戚
відносна	相對
винайшов	發明
глибока	深
глибока	深層
мощі	遺跡
мощі	遺物
луїджі	luigi
хочеться	概念
судження	區分
судження	區別
судження	命題
судження	提議
чергування	待命
чергування	備用
апостольська	使徒
компонента	元件
франклін	franklin
увечері	今夜
увечері	今晚
милосердя	慈悲
милосердя	憐憫
милосердя	仁慈
приєднується	加入
уламки	廢棄物
уламки	碎片
мелодії	調
корінні	土著
технік	技師
технік	技工
квантова	量子
джефф	jeff
відправлено	發射器
відправлено	發射機
доказ	證據
доказ	證明
сценарії	劇本
град	冰雹
формати	格式
сину	兒子
голі	裸
голі	赤裸
голі	裸體
яном	ian
люсі	露西
люсі	lucy
термінал	終點站
термінал	終端
термінал	終端機
хорхе	jorge
масло	奶油
масло	黃油
масло	牛油
гриб	香菇
гриб	蘑菇
ффу	ffu
авіаційна	飛機
норт	北方
норт	北
норт	北部
квадрат	正方形
квадрат	平方
квадрат	方塊
квадрат	方形
квадрат	廣場
квадрат	平方
думкою	眨眼
костюм	服裝
костюм	戲服
костюм	西裝
костюм	西服
костюм	套裝
старожитностей	文物
старожитностей	古物
дженніфер	jennifer
юта	猶他州
юта	猶他
щільності	密度
лісабон	里斯本
лісабон	lisbon
меншим	較小
плавлення	熔化
плавлення	融化
плавлення	熔化
плавлення	融化
плавлення	熔
плавлення	溶化
графічні	圖形
графічні	圖形
графічні	繪圖
перехрестя	十字路口
огляди	評語
огляди	審查
аматорський	業餘
торгова	買賣
торгова	貿易
торгова	交易
змінена	定制
нуль	零
поводження	處理
реалізується	目的
реалізується	宗旨
міхал	michal
коротке	簡短
коротке	短期
коротке	短
коротке	矮
доручення	指派
доручення	轉讓
вей	韋
вей	魏
кращі	更好
простори	空格
простори	空間
виготовлена	製造
затвор	快門
верді	verdi
вар	var
філіпп	philippe
філіпп	philipp
мрії	夢
мрії	夢境
мрії	夢想
обробку	處理
обробку	加工
обличчям	臉
обличчям	臉部
обстріл	炮擊
обстріл	轟炸
харчові	飲食
харчові	膳食
харчові	營養
рум	臉紅
мітинг	集結
мітинг	集會
точні	精確
точні	準確
точні	精確
точні	精確
вірша	詩
масивів	陣列
вулканів	火山
скоротити	修剪
скоротити	縮短
дзюдо	柔道
сонячні	太陽
сонячні	太陽能
рай	天國
рай	天堂
рай	天堂
рай	樂園
таїланд	泰國
депресії	抑鬱
депресії	鬱悶
командний	cmd
командний	命令
командний	指揮
язи	肌肉
нащадок	繼承人
нащадок	兒童
нащадок	孩子
печатки	封
печатки	密封
печатки	印章
печатки	海豹
гері	加里
гері	gary
радше	糞便
шкала	比例尺
шкала	規模
терор	恐
терор	恐怖
коронації	加冕典禮
коронації	加冕
оттава	渥太華
стрільці	射手
стрільці	槍手
вертикальні	垂直
вертикальні	縱向
повені	洪水
повені	水災
ребра	肋骨
ребра	排骨
ребра	肋骨
ребра	邊緣
артерії	栓塞
мури	牆壁
мури	城牆
мури	牆
притулку	避難所
притулку	避難
натовп	人群
натовп	群眾
ядерна	核
ядерна	核子
геолог	地質學家
діаграма	圖表
діаграма	圖
діаграма	圖表
діаграма	圖
страху	恐懼
ядерні	核
ядерні	核子
бригад	旅
кажу	說
каналом	管
каналом	管管
каналом	管道
каналом	管子
каналом	頻道
каналом	海峽
каналом	通道
майні	bahn
родовід	家譜
моментів	moments
моментів	瞬間
моментів	時刻
молодші	未成年
делегація	代表團
пограбування	打劫
пограбування	劫
пограбування	搶劫
лонг	久
лонг	長
додатки	申請
додатки	申請書
додатки	延期
вершиною	頂點
підтвердили	確認
йоган	johan
міцно	緊
помітити	通知
поворот	輪值
поворот	旋轉
поворот	自轉
поворот	輪換
додаткове	先進
благословення	祝福
благословення	祝福
сітки	電網
яскравий	雄辯
яскравий	生動
ральф	ralph
відправити	送出
квадратний	正方形
квадратний	平方
квадратний	方塊
квадратний	方形
квадратний	廣場
експерти	專家
опіки	燒傷
опіки	監督
опіки	監管
опіки	督導
цілісність	誠信
цілісність	完整性
цілісність	正直
пропустив	錯過
карток	卡
карток	紙牌
карток	卡片
карток	牌
набоїв	墨盒
фракція	派系
долар	元
долар	美元
борг	借款
борг	貸款
борг	借貸
борг	債務
схвалення	核准
схвалення	核可
схвалення	批准
іноземний	外國
іноземний	外籍
фбр	fbi
мотив	動機
бронювання	預訂
бронювання	保留
бронювання	預定
бронювання	訂位
бронювання	訂票
бронювання	預訂
бронювання	預約
кастро	castro
універсальна	環球
універсальна	普及
універсальна	普遍
тенор	男高音
кредит	信用
кредит	信貸
кредит	借款
кредит	貸款
кредит	借貸
кілометр	公里
небезпека	危害
небезпека	危險
небезпека	危險性
резерв	漂浮
резерв	浮動
резерв	浮點
резерв	準備金
резерв	儲備
динозаврів	恐龍
регбі	橄欖球
лисиця	狐
лисиця	狐狸
лисиця	fox
колоністів	殖民者
роуз	玫瑰
роуз	rose
ліон	里昂
піттсбург	匹茲堡
базовий	基地
базовий	基礎
базовий	基數
базовий	基本
вузький	濃縮
вузький	狹義
вузький	狹隘
вузький	縮小
вузький	窄
вузький	狹窄
цитати	報價
цитати	引文
цитати	引用
цитати	引述
цитати	引號
цитати	報價
цитати	引述
цитати	引用
цитати	引文
цитати	引文
цитати	語錄
радість	快樂
радість	喜悅
радість	歡樂
радість	joy
калібр	口徑
кримінальне	罪犯
кримінальне	紙漿
вбивці	刺客
попереднє	初步
попереднє	先前
шпиталь	醫院
читається	可讀
батарея	電池
батарея	電量
чаю	茶葉
чаю	茶
закінчити	完成
закінчити	終結
закінчити	結尾
закінчити	結束
одружена	已婚
понеділок	週一
понеділок	星期一
платформу	站台
платформу	平台
динамічний	動態
труба	管
труба	管管
труба	管道
труба	管子
труба	管
труба	管子
шин	辛
шин	掌握
теніс	網球
грей	灰色
грей	灰
грей	grey
щоденно	每日
доменіко	domenico
миші	鼠
миші	滑鼠
миші	鼠
підписати	簽名
підписати	簽字
підписати	簽
порівняти	比較
іспити	考試
жертвами	受害人
жертвами	受害者
подруга	女友
подруга	女朋友
подруга	朋友
подруга	好友
фап	fap
календарі	日曆
молитва	祈禱
молитва	禱告
стабільність	穩定
стабільність	穩定性
пости	直升機
пости	直升飛機
тай	泰
кропивницький	標記
кропивницький	標示
кропивницький	馬克
кропивницький	mark
спокій	平靜
ширше	更寬
ширше	廣義
зомбі	殭屍
зомбі	僵屍
зомбі	僵屍
хворим	病
хворим	生病
уаз	uaz
крамниці	店鋪
крамниці	商店
астероїди	小行星
астероїди	小行星
астероїди	岩
астероїди	岩石
костюми	服裝
костюми	戲服
костюми	西裝
прогноз	預估
прогноз	預報
прогноз	預測
засновники	創始人
засновники	創始
засновники	建國
наближається	臨近
наближається	接近
зустріли	遇見
ліза	lisa
ліза	lise
точне	精確
чутливість	靈敏度
чутливість	敏感
чутливість	敏感性
чутливість	敏感度
робінсон	魯濱遜
робінсон	robinson
вбивця	殺手
штефан	stefan
штефан	stephan
паралельні	並行
паралельні	平行
подробиці	細節
подробиці	詳情
подробиці	細節
подробиці	詳細
подробиці	詳情
реєстрація	註冊
реєстрація	登記
реєстрація	招生
реєстрація	入學
реєстрація	註冊
реєстрація	登記
листівки	明信片
взаємини	關係
повторення	重復
повторення	重現
студентам	學生
норман	諾曼
партнери	夥伴
голосом	語音
голосом	嗓子
голосом	聲音
екваторіальної	赤道
леонард	leonard
емма	艾瑪
емма	emma
тил	tyl
громадянам	市民
громадянам	公民
теології	神學
зловживання	濫用
зловживання	虐待
кратери	彈坑
цру	cia
цру	cla
філіппіни	菲律賓
банди	黑幫
банди	幫派
банди	幫
банди	幫派
опори	struts
вернер	werner
обурення	怨恨
ховається	潛伏
ховається	隱藏
пляжі	沙灘
пляжі	海灘
урожай	收成
урожай	收割
урожай	收穫
урожай	豐收
викидів	排放
викидів	排放量
сховище	儲存
сховище	貯存
анальний	肛門
анальний	肛交
купа	堆堆
купа	堆
хворий	病
хворий	生病
хворий	病
хворий	生病
докладно	細節
докладно	詳細
докладно	詳情
комета	彗星
михаїл	麥可
михаїл	michael
кота	燕麥
запрошені	邀請
запрошені	受邀
близькість	親密關係
близькість	親暱
духовенство	神職人員
стрільба	射擊
стрільба	槍擊
стрільба	拍攝
відповісти	回覆
далекі	遙遠
далекі	遠方
чудес	仙境
місячний	月刊
місячний	每月
місячний	月球
філ	phil
чиста	純潔
чиста	純純
чиста	純
чиста	純粹
етика	倫理
етика	倫理學
втеча	越獄
втеча	逃離
вагітність	懷孕
вагітність	妊娠
вагітність	孕期
літрів	公升
літрів	公升
рожевий	粉
рожевий	粉色
рожевий	粉紅色
рожевий	粉紅
диво	奇蹟
диво	奇跡
ягоди	草莓
ягоди	李子
кращий	best
кращий	最好
йон	jon
уругвай	烏拉圭
церквах	教會
церквах	教堂
вашингтона	華盛頓
артема	artem
метью	matthew
співати	歌聲
співати	唱歌
співати	歌唱
розширена	ipa
розширена	延伸
розширена	擴展
розширена	延長
алгебра	代數
людський	人類
хмар	雲
хмар	雲彩
псевдоніми	nicks
псевдоніми	暱稱
псевдоніми	綽號
псевдоніми	別名
доходить	拍攝
доходить	拍戲
арка	拱
арка	拱門
коронація	加冕典禮
коронація	加冕
границі	極限
границі	限額
македонський	馬其頓
знайомі	熟悉
знайомі	相識
знайомі	熟人
знайомі	相識
знайомі	熟人
підручника	手冊
кішка	貓咪
кішка	貓
кішка	cat
усунути	消除
страждання	受苦
страждання	苦難
страждання	痛苦
страждання	危難
страждання	遇險
практичний	實用
краса	美容
краса	美人
краса	美女
краса	美
уявити	想象
уявити	想像
гончар	波特
ліквідація	清算
деревина	木
деревина	木材
деревина	wood
деревина	木頭
белл	鐘
белл	貝爾
белл	鈴
белл	bell
коаліція	聯盟
коаліція	聯軍
співпрацювати	合作
дай	戴
приєдналася	加入
рівний	等於
коса	吐
коса	唾液
коса	口水
розмова	對話
розмова	聊
риса	特質
інфекційних	傳染性
істота	生物
перехідний	短暫
перехідний	過渡性
ера	年紀
ера	年齡
вічний	永恆
нитки	線
імпорт	進口
імпорт	進口
імпорт	進口
гранати	garnet
активи	資產
серверів	伺服器
розкрити	擴張
розкрити	擴展
розкрити	拓展
розкрити	擴大
службовець	辦事員
службовець	書記
службовець	職員
визнають	暗戀
місячного	月刊
місячного	每月
мечем	刀
мечем	劍
мечем	寶劍
підкріплення	援軍
підкріплення	增援
кліматичних	氣候
інтелект	智慧
інтелект	情報
інтелект	智力
автоматичний	自動
автоматичний	自動
пластини	電鍍
вертоліт	直升機
вертоліт	直升飛機
розсіювання	散射
розсіювання	散布
розсіювання	散射
страва	小菜
страва	菜
язав	繃帶
кен	ken
кен	肯
кемпбелл	campbell
льодовик	冰川
відбиття	反射
відбиття	反省
відбиття	思考
відбиття	反射
відбиття	思考
спектакль	奇觀
тактика	戰術
тактика	策略
тактика	戰術
тактика	策略
дубль	雙
дубль	雙重
дубль	雙倍
дубль	加倍
миша	滑鼠
миша	鼠
перетин	交集
перетин	路口
перетин	十字路口
перетин	相交
перетин	交叉
аравія	阿拉伯
модернізація	現代化
софі	sophie
ландшафт	風景
ландшафт	景觀
кат	劊子手
холмс	福爾摩斯
колія	軸
вапняку	石灰岩
стрій	調音
німець	德文
німець	德語
кукурудзи	玉米
мерфі	murphy
тимчасове	波動
тимчасове	揮發性
бмп	bmp
алессандро	alessandro
включити	包括
роздуми	思維
роздуми	思考
зоопарк	動物園
цариці	女王
цариці	皇后
цариці	queen
цариці	王后
рани	傷口
дзьоб	喙
святе	神聖
святе	神聖
розуміючи	理解
розуміючи	諒解
підтвердити	確認
підтвердити	證實
підтвердити	驗證
підтвердити	確認
підтвердити	證實
астрономія	天文
мальта	馬耳他
ален	alain
знамениті	著名
знамениті	有名
розвідник	童軍
розвідник	童子軍
декор	裝飾
десятка	十
десятка	十個
десятка	ten
випустити	鬆散
випустити	鬆動
баба	巴巴
легендарний	傳奇
впевнено	信心
впевнено	自信
ліхтенштейн	列支敦斯登
антарктиди	南極洲
антарктиди	南極
змусило	爬行
леона	leona
консультантом	顧問
консультантом	顧問
прикрас	珠寶
прикрас	首飾
еміграція	移民
лоран	laurent
приблизна	估計
приблизна	預估
нельсон	nelson
вбрання	裝備
господа	主
товариша	隊友
коментарів	評論
коментарів	意見
ефективний	有效
жаба	蟾蜍
жаба	蛙
жаба	青蛙
інтервал	區間
інтервал	間歇
інтервал	間隔
інтервал	間距
інтервал	間隔
араби	阿拉伯人
зайнято	忙
зайнято	繁忙
зайнято	忙碌
зайнято	忙著
позначки	子彈
позначки	彈頭
позначки	標記
позначки	標籤
позначки	標籤
маски	口罩
маски	面具
маски	面罩
соната	奏鳴曲
деколи	有時候
спортивне	健美
експериментальний	實驗
точний	精確
точний	精確
симфонічний	交響曲
симфонічний	交響樂
симфонічний	交響樂團
симфонічний	交響樂
фізіологія	生理
континенті	大洲
континенті	大陸
габріель	gabriel
габріель	gabrielle
фокс	狐
фокс	狐狸
фокс	fox
сертифікат	憑證
сертифікат	證書
неділі	星期日
неділі	星期天
антени	天線
озброєний	武裝
нащо	為何
нащо	為甚麼
нащо	為什麼
імпульс	衝動
розглянемо	考慮
мухаммад	穆罕默德
складною	複雜
легендарного	傳奇
тайвань	台灣
тайвань	臺灣
кольорові	有色
кольорові	彩色
кольорові	有色
зайнята	忙
зайнята	繁忙
зайнята	忙碌
зайнята	忙著
цікавить	興趣
цікавить	感興趣
лінкольн	林肯
