perzijanci	персов
ferrari	ferrari
reagira	реагирует
reagira	отвечает
barnard	барнард
dokazuje	доказывает
dokazuje	докажет
goveda	скот
argentinski	аргентинская
argentinski	аргентины
komunistički	коммунистическая
moskvu	moscow
moskvu	москва
moskvu	московская
stavi	поставить
obećao	обещал
obećao	пообещал
obećao	обещала
obećao	обещали
znajući	зная
zaštićeni	охраняемых
zaštićeni	защищена
zaštićeni	защищены
zaštićeni	защищен
hughes	хьюз
vidljive	видна
vidljive	виден
vidljive	видны
vidljive	видимые
vidljive	видимых
procese	процессы
izbjegao	избегал
izbjegao	избежал
curtis	кёртис
curtis	кертис
marx	маркс
ujedinjeni	объединенные
ujedinjeni	united
ujedinjeni	юнайтед
opcija	опция
opcija	вариант
temeljni	фундаментальные
ovisnost	зависимости
ovisnost	зависимость
ovisnost	зависимость
plinovi	газов
plinovi	газы
čuvanje	охраняет
tunela	туннели
tunela	туннелях
dennis	деннис
dennis	дэннис
arterija	артерию
arterija	артерия
arterija	артерии
bor	бор
bor	пайн
položio	заложена
položio	прошли
položio	прошел
položio	прошло
položio	прошла
hendrix	хендрикс
financija	финансы
financija	финансирование
obljetnica	годовщина
obljetnica	юбилей
obljetnica	годовщины
obljetnica	годовщину
lorenzo	лоренцо
apsolutno	абсолютно
salvador	сальвадор
građanin	гражданин
građanin	гражданина
dario	дарио
vjerovali	верила
vjerovali	поверил
vjerovali	поверила
vjerovali	верил
vjerovali	доверяли
vjerovali	доверять
vjerovali	доверял
radno	работа
radno	работы
radno	труд
radno	работа
radno	работаем
radno	рабочий
radno	рабочей
mirage	мираж
preživjelih	выживших
preživjelih	выжившие
opisana	описано
opisana	описал
opisana	описаны
opisana	описанные
okružuje	окружает
okružuje	окружающие
bantu	банту
zrakom	воздухе
naučiti	учиться
naučiti	учись
naučiti	учитесь
hebrejski	иврит
hebrejski	еврейский
albanija	албании
albanija	албания
balada	баллада
srbe	сербы
srbe	сербов
wolfgang	вольфганг
aerodrom	airport
aerodrom	аэропорт
din	din
din	декан
din	дин
slavenski	славянский
zastupnici	депутатов
zastupnici	депутаты
zastupnici	депутатов
zastupnici	заместители
zastupnici	депутаты
zastupnici	законодатели
atom	атом
mladu	невеста
leopard	леопард
lijep	приятно
lijep	мило
pijesak	песок
armenski	армении
konstantno	постоянно
konstantno	непрерывно
konstantno	постоянно
konstantno	постоянная
konstantno	постоянно
konstantno	постоянные
konstantno	постоянное
konstantno	постоянный
vaš	твоя
vaš	ваши
vaš	ваш
vaš	ваша
vaš	твой
vaš	ваше
castro	кастро
#dddddd	#dddddd
raja	раджа
raja	рай
raja	небеса
raja	небо
raja	рай
manastira	монастыри
full	полный
full	полные
full	полное
full	полного
full	полная
prefektura	префектуре
opisati	описать
opisati	опишите
misu	массе
misu	массового
misu	масса
autonomna	автономные
autonomna	автономных
autonomna	самостоятельный
spremnik	танк
spremnik	цистерны
spremnik	цистерна
spremnik	контейнер
efekti	последствия
efekti	эффекты
violinu	скрипка
povjerenstvo	комиссия
povjerenstvo	комиссии
atmosfera	атмосфера
atmosfera	атмосферу
pristaše	поддерживающие
pristaše	сторонники
pristaše	сторонников
abraham	авраам
abraham	абрахам
abraham	ибрахима
abraham	ибрахим
zvezda	star
zvezda	звезда
zvezda	стар
ice	лед
ice	льда
ice	ice
ice	лёд
atrakcija	влечение
atrakcija	достопримечательности
atrakcija	достопримечательностей
izjave	заявления
lipa	лип
litve	литве
litve	литвы
litve	литва
liang	лян
staklo	стакан
staklo	стекло
staklo	бокал
staklo	стекла
lang	лэнг
biskupi	епископов
negativno	негативных
negativno	отрицательный
negativno	отрицательные
negativno	отрицательно
negativno	негативные
negativno	отрицательное
prestižnu	престижных
milovan	милован
biljni	травяной
prince	принц
prince	принс
prince	князь
gov	gov
leća	линзы
leća	объектив
leća	линзы
ponudi	предложение
skladišta	склад
skladišta	хранилище
skladišta	склады
skladišta	складов
ikona	значок
pueblo	пуэбло
main	основная
main	основные
main	главная
main	основных
magnitude	величина
magnitude	масштабов
usmjerena	направленное
usmjerena	направленный
usmjerena	направлены
prikazivanje	отображение
prikazivanje	показ
prikazivanje	отображение
prikazivanje	отображается
zaključuje	завершается
zaključuje	заключает
pećina	пещера
pećina	пещере
preci	предки
preci	предков
mehmed	мехмед
dres	джерси
voyager	вояджер
ralph	ральф
lišće	листья
lišće	листьев
lišće	оставляет
mještani	местные
inspiriran	вдохновил
lubanja	череп
lubanja	черепа
proze	проза
pokrenula	запущен
pokrenula	запущена
mare	маре
projekcija	проекция
isteka	истечении
dominik	доминик
dominik	доминик
bear	мишка
bear	медвежонок
bear	медведь
kraći	короче
primirje	перемирия
primirje	перемирие
primirje	перемирия
primirje	перемирие
studiji	студии
studiji	studios
obnavlja	восстанавливает
mitchell	митчел
mitchell	митчелл
kljun	клюв
jasenovac	ясеновац
neprijatelji	враги
neprijatelji	врагам
neprijatelji	врагов
izložen	воздействию
podjelu	раздел
une	une
tan	тан
tmarus	tmarus
luna	луна
zvjezdana	звездное
zvjezdana	звёздный
zabrane	запреты
fotograf	фотограф
greben	рифов
alen	аллен
alen	ален
božice	богини
ain	айн
bože	god
bože	боже
bože	бог
make	сделать
make	make
ansambl	ансамбль
edo	эдо
divlji	wild
divlji	дикий
divlji	дикая
divlji	дикие
rijetka	редкие
rijetka	редко
rijetka	редкий
rijetka	редкая
rijetka	редкость
nichols	николс
bon	бон
singer	певица
singer	певец
joan	джоан
hardcore	жесть
nila	нил
nila	нила
otpornost	стойкость
otpornost	устойчивость
spisateljica	писатель
spisateljica	сценарист
ten	тан
otpad	лома
otpad	отходы
otpad	отходов
spremni	готово
spremni	готовы
spremni	готов
spremni	готова
dvorište	двор
dvorište	дворе
dvorište	двор
dvorište	дворе
dvorište	двор
dvorište	дворе
pogreške	ошибки
pogreške	ошибки
lisa	лиза
lisa	лиса
oslobodio	освободил
marsa	марсианский
marsa	марс
kemija	химия
kemija	химии
groba	могила
groba	серьезную
rossi	росси
marketing	сбыт
marketing	маркетинг
marketing	маркетинга
izložena	воздействию
mlijeko	молочный
mlijeko	молоко
mlijeko	молока
označeni	отмечен
označeni	отмечена
označeni	отмечено
označeni	отмеченные
označeni	отмечены
znakove	знаки
znakove	признаки
legije	легионы
počast	дань
počast	должное
tehničar	техник
tehničar	техника
gljiva	гриб
gljiva	грибы
generator	генератор
peruu	перу
ispit	испытания
ispit	проверка
ispit	тест
ispit	испытание
ispit	экзамен
poslužitelj	сервер
poslužitelj	сервера
poslužitelj	server
pomak	сдвиг
pomak	смену
pomak	shift
pomak	смена
pomak	смещение
pomak	компенсировать
inicijativa	инициатива
juz	жуз
wien	wien
kreolski	креольский
gubitaka	потери
gubitaka	убытки
jabuka	яблоко
jabuka	яблочный
jabuka	apple
bihać	бихач
pearl	жемчуг
pearl	жемчужина
pearl	перл
božanstvo	божество
morris	моррис
nastava	обучение
nastava	преподавание
nastava	преподавания
nastava	занятия
nastava	классы
nedavni	недавние
nedavni	последние
nedavni	недавнее
nedavni	недавно
vjerska	религиозное
vjerska	религиозный
vjerska	религиозная
vjerska	религиозных
baterije	аккумулятор
baterije	батареи
baterije	батарея
baterije	батарей
baterije	батареи
baterije	батарейки
meksički	мексиканская
meksički	мексиканский
meksički	мексики
sicilije	сицилии
ćelija	ячейка
ćelija	ячейки
ćelija	камере
ćelija	клетка
shvati	пойми
shvati	понимаю
shvati	понять
rothschild	ротшильд
uvjerenja	убеждения
uvjerenja	убеждений
brojeve	цифры
brojeve	номера
brojeve	числа
pjevao	пел
pjevao	пели
pjevao	пела
krater	кратер
vitamin	витамины
vitamin	витамина
vitamin	витамин
aplikacija	применения
aplikacija	заявка
aplikacija	применение
aplikacija	app
torino	torino
igračke	игрушки
šupljine	полость
šupljine	полости
šupljine	кариеса
spašavanje	спасение
spašavanje	сохранение
spašavanje	экономия
spašavanje	спасатели
spašavanje	спасти
spašavanje	спасение
wei	вэй
stambene	жилых
stambene	жилой
vrhova	пикс
vrhova	вершины
glover	гловер
čuda	чудес
čuda	чудеса
čuda	чудес
čuda	чудеса
dublje	глубже
opsada	осада
opsada	осады
springs	спрингс
prodor	прорыв
turista	туристических
turista	туристический
turista	турист
turista	туристов
turista	туристы
kampanja	кампании
kampanja	кампания
obveze	обязательства
obveze	обязанности
obveze	обязательства
obveze	обязанность
obveze	обязательство
puebla	пуэбла
mara	мара
drvena	деревянные
drvena	деревянный
drvena	дерево
drvena	древесина
drvena	вуд
drvena	дрова
drvena	древесины
pošta	почте
pošta	mail
pošta	почта
cska	цска
predavač	преподаватель
predavač	лектор
fontana	фонтана
fontana	фонтан
fontana	фонтаны
sektora	сектор
sektora	секторов
sektora	секторы
sektora	сектора
faust	фауст
duke	герцог
duke	дюк
boban	бобан
andreas	андреас
piramide	пирамида
piramide	пирамиды
glad	голод
glad	голод
glad	голода
zeleno	зелёные
zeleno	зелень
zeleno	зелёный
zeleno	зелёная
zeleno	зеленый
dick	член
dick	дик
izbjeglice	беженцы
zastupljenost	представительство
putanje	пути
izumio	изобрел
izumio	изобрели
izumio	изобрёл
izvješća	отчеты
izvješća	доклады
zabave	стороны
zabave	партии
zabave	вечеринки
varijacije	вариации
varijacije	вариации
sánchez	санчес
siriji	сирию
siriji	сирия
siriji	сирии
vrti	вращается
khl	кхл
postojeći	существующие
postojeći	существующая
postojeći	существующее
postojeći	существующий
standardna	стандартные
standardna	стандарт
standardna	стандартная
standardna	стандартный
standardna	standard
aluminija	алюминия
aluminija	алюминия
vozi	водить
vozi	драйв
vozi	привод
vozi	drive
donald	дональд
naredbe	команды
naredbe	команд
naredbe	заказы
naredbe	приказы
naredbe	приказ
umjetni	искусственный
umjetni	искусственные
umjetni	искусственное
umjetni	искусственных
profesionalno	профессиональное
profesionalno	professional
profesionalno	профессиональная
profesionalno	профессионал
profesionalno	профессионально
okus	вкус
okus	вкус
tropske	тропических
tropske	тропические
tropske	тропический
almanah	альманах
poplava	наводнение
poplava	потоп
poplava	наводнений
poplava	наводнения
poplava	наводнение
poplava	наводнения
poplava	наводнение
sergio	сержиу
primjeni	применяются
primjeni	применить
primjeni	применять
tramvaj	трамвай
tramvaj	тележки
tramvaj	трамвай
kraljevsko	королевские
kraljevsko	королевский
kraljevsko	royal
kraljevsko	королевской
kraljevsko	королевская
sim	сим
sim	sim
bosanskih	боснийских
leone	леоне
leone	леон
probiti	проникнуть
ukratko	кратко
ukratko	вкратце
ukratko	коротко
ukratko	короткая
ukratko	короткий
ukratko	короткое
ukratko	короткие
ukratko	коротко
pjevala	пел
pjevala	пели
pjevala	пела
japansko	японские
japansko	японская
japansko	японский
japansko	японцы
japansko	японское
japansko	японии
pečat	марка
pečat	печать
ebert	эберт
prehrane	питания
prehrane	питание
natječaj	нежный
natječaj	нежная
natječaj	нежные
natječaj	конкурс
natječaj	евровидение
esejist	эссеист
violina	скрипка
maxim	максим
počinio	совершено
počinio	совершенные
proteina	белок
proteina	белка
proteina	белки
odbacio	отклонил
odbacio	уволен
lyon	лион
osvajača	захватчиков
danilo	данило
barcelone	барселона
augustin	огюстен
miles	майлс
miles	мили
miles	миль
miles	майлз
zrcala	зеркала
zrcala	зеркал
zaštitnika	патрон
zaštitnika	покровитель
esej	эссе
esej	сочинение
similis	similis
izbijanja	вспышка
argumentum	argumentum
konvencije	конвенции
konvencije	конвенций
konvencije	конвенция
konvencije	конвенции
odražava	отражающая
odražava	отражающие
odražava	отражает
iznutra	внутри
iznutra	изнутри
iznutra	внутрь
grijeha	грех
grijeha	син
karakterističan	отличительные
karakterističan	отличительной
bratstvo	братство
bratstvo	братства
bratstvo	братство
dinara	динар
dinara	динаров
pgp	pgp
vlakana	волокна
krzno	шерсть
krzno	мех
krzno	меха
satima	часов
satima	часы
vuka	вульф
vuka	вулф
vuka	волка
vuka	вольф
vuka	волк
pokrenuta	запущен
pokrenuta	запущена
deutsche	deutsche
glasine	слух
glasine	слухи
glasine	слухи
glasine	слух
glasine	слухи
glasine	слухи
radionica	практикум
radionica	семинар
radionica	мастерская
vjenčanja	свадеб
vjenčanja	свадьбы
camp	кэмп
camp	лагерь
britaniju	британия
revoluciju	революция
revoluciju	революции
maribor	марибор
hampshire	хэмпшир
leptir	бабочка
leptir	бабочки
prikazano	показаны
prikazano	показана
prikazano	показано
prikazano	показан
prikazano	отображаться
prikazano	отображается
prikazano	выставлены
prikazano	показано
prikazano	выделенные
prikazano	актуальное
prikazano	рекомендуемые
prikazano	избранные
ubojice	убийц
ubojice	убийцы
ubojice	убийцы
ubojice	убийц
ubojice	убийцы
tvrdeći	спорят
tvrdeći	спорить
tvrdeći	утверждая
glasom	голос
suha	сухая
suha	сухие
suha	сухой
komercijalno	коммерчески
bora	бора
hunt	охота
hunt	хант
uši	вшей
uši	уши
bitaka	битв
bitaka	сражения
bitaka	битвы
graf	граф
graf	график
potpora	поддержки
potpora	поддержка
potpora	поддержку
potpora	поддерживаю
baterija	аккумулятор
baterija	батареи
baterija	батарея
mita	взятки
fritz	фриц
acer	клён
poznavanje	знания
poznavanje	знание
atlanta	атланте
historia	historia
petru	петра
vjenčanje	свадьбу
vjenčanje	свадьбы
vjenčanje	свадебный
vjenčanje	свадьба
kuge	чума
kurt	курт
pomogli	помогло
pomogli	помогли
pomogli	помог
pomogli	помогла
sul	сул
zahvalnosti	благодарность
zahvalnosti	благодарности
gene	ген
gene	джин
gene	гена
bojan	боян
ekološki	экологическое
ekološki	экологический
ekološki	экологическая
ekološki	экологических
ekološki	экологические
vice	порок
vice	вице
parovi	пары
parovi	пар
parovi	парам
uništavanje	уничтожение
uništavanje	разрушение
uništavanje	разрушения
uništavanje	уничтожения
uništavanje	уничтожение
horor	ужас
horor	ужасы
linux	linux
faraon	фараон
faraon	фараона
zenit	зенит
liječnici	доктора
liječnici	врачей
liječnici	врачи
susjeda	соседка
susjeda	сосед
susjeda	соседка
susjeda	сосед
ahmed	ахмед
tekuće	текущих
tekuće	жидкость
tekuće	жидкий
tekuće	жидкости
molio	молился
molio	молились
molio	молилась
molio	умолял
preuzimanja	загрузки
malus	яблоня
ograničeno	ограниченные
ograničeno	ограниченное
ograničeno	ограниченная
ograničeno	ограниченный
ograničeno	ограниченные
ograničeno	ограниченное
ograničeno	ограничено
testiranje	испытания
testiranje	проверка
testiranje	испытание
testiranje	тестирование
dog	собака
dog	пес
dog	пёс
definicije	определения
definicije	определение
audi	audi
tokyo	токио
pronađe	находит
pronađe	найдет
pronađe	считает
stavove	отношение
besplatno	свободно
besplatno	бесплатно
besplatno	свободный
besplatno	свободной
besplatno	бесплатный
besplatno	бесплатные
forest	леса
forest	лесных
forest	лес
promatranje	наблюдаю
promatranje	наблюдение
promatranje	замечание
promatranje	наблюдение
promatranje	наблюдения
karen	карен
kukuruz	кукурузу
kukuruz	кукуруза
kukuruz	кукурузы
posthumno	посмертно
posthumno	посмертно
chamberlain	чемберлен
trening	подготовка
trening	подготовки
trening	обучение
trening	тренинг
trening	практике
trening	практика
trening	тренировки
trening	тренировка
trening	тренировку
poduzetnik	предприниматель
poljoprivredne	сельскохозяйственные
poljoprivredne	сельскохозяйственных
poljoprivredne	сельскохозяйственная
grebena	рифов
catherine	кэтрин
catherine	катрин
catherine	катерина
catherine	екатерина
studentima	учащиеся
studentima	ученики
studentima	студентов
studentima	студенты
pretpostavke	предположения
pretpostavke	допущения
anđeli	ангелами
anđeli	ангелы
anđeli	ангелов
pita	пирожок
pita	пирог
pita	спрашивает
prijetnje	угрозы
odobrio	утверждено
odobrio	одобрено
odobrio	одобрен
odobrio	утвержден
odobrio	одобрена
odobrio	разрешено
snyder	снайдер
dale	дейл
dale	дэйл
pacijent	пациентка
pacijent	пациент
pacijent	пациента
snova	сны
snova	мечты
malta	мальте
malta	мальта
malta	мальты
justin	джастин
dostignuća	достижения
dostignuća	достижения
hoffman	хоффман
liber	liber
edgar	эдгар
mučenika	мучеников
koraka	этапы
koraka	ступеньки
koraka	шаги
japanci	японские
japanci	японская
japanci	японский
japanci	японцы
japanci	японское
japanci	японии
ozbiljne	суровое
ozbiljne	суровые
ozbiljne	серьезные
austin	остин
iznimka	исключение
iznimka	исключением
iznimka	исключения
okrenuo	повернул
okrenuo	обратился
okrenuo	повернулся
pogreška	ошибка
pogreška	ошибка
kriterij	критерий
kriterij	критерии
membrane	мембраны
marijana	марианна
opseg	окружности
opseg	охват
pobjedio	победила
pobjedio	выиграла
pobjedio	выиграл
pobjedio	победил
povezivanje	связь
povezivanje	подключение
povezivanje	соединение
povezivanje	связать
povezivanje	подключиться
povezivanje	соединение
povezivanje	подключение
povezivanje	подключение
povezivanje	соединение
ugljik	углерода
ugljik	углерод
powell	пауэлл
kontrolira	контролирует
kontrolira	контроль
slaba	слабая
slaba	слабо
slaba	слабым
slaba	слабые
slaba	слабый
konji	коней
konji	кони
konji	лошадей
konji	лошади
pristaje	подходит
odobrenje	одобрение
odobrenje	утверждение
odobrenje	разминированию
odobrenje	разминирование
odobrenje	разрешение
mostova	мосты
mostova	мостов
novinarka	журналист
novinarka	журналистка
novinarka	репортер
novinarka	репортёр
flora	флоры
flora	флора
propast	погибель
promatrati	наблюдать
promatrati	соблюдать
stilova	стайлз
stilova	стили
stilova	стилей
hbo	hbo
opremljena	оснащены
izvanredno	чрезвычайные
izvanredno	чрезвычайных
izvanredno	чрезвычайный
izvanredno	выдающийся
izvanredno	выдающиеся
tvoj	твоя
tvoj	ваши
tvoj	ваш
tvoj	ваша
tvoj	твой
tvoj	ваше
tvoj	твоя
tvoj	ваши
tvoj	ваш
tvoj	ваша
tvoj	твой
tvoj	ваше
seattle	сиэтле
seattle	сиэтл
catocala	catocala
planeti	планет
planeti	планеты
protokol	протокол
protokol	протокола
protokol	протоколу
terra	терра
umjetna	искусственный
umjetna	искусственные
umjetna	искусственное
umjetna	искусственных
svinja	свинья
svinja	свиньи
tesla	тесла
luigi	луиджи
metro	метро
metro	метрополитен
kamenje	камни
kamenje	камни
kamenje	скалы
operativne	оперативный
operativne	оперативной
reinhold	райнхольд
pumpe	насосы
vodoravno	горизонтально
vodoravno	горизонтальные
vodoravno	горизонтальной
vodoravno	горизонтали
vela	завесу
vela	покрывала
golf	гольф
sklonost	склонность
sklonost	наклона
sugerira	предлагает
palazzo	палаццо
većinski	большинство
optički	оптических
optički	зрительный
napoleona	наполеона
napoleona	наполеон
ovaca	овец
ovaca	овца
ovaca	овцы
beck	бек
helen	элен
helen	хелен
manga	манго
manga	манго
manga	манга
sigurnošću	уверенность
sigurnošću	определенности
organi	органы
organi	органов
kantona	кантоны
kantona	кантонов
kantona	кантон
branitelji	защитники
branitelji	правозащитники
branitelji	правозащитников
teritoriji	территория
sutra	завтра
kariba	карибского
maroko	марокко
unutarnja	внутренние
unutarnja	внутреннего
unutarnja	внутренняя
unutarnja	внутренний
unutarnja	внутреннее
zapovjednici	командиров
zapovjednici	командиры
moguć	возможная
moguć	возможна
moguć	возможно
moguć	возможен
građanima	граждане
građanima	граждан
jačanje	укрепление
jačanje	усиление
jačanje	повысить
jačanje	поднятия
jačanje	поднимать
trinidad	тринидад
alpe	альпы
slučajevi	случаи
slučajevi	дела
springer	спрингер
jupitera	юпитер
gif	gif
namjerava	намеревается
sebastian	себастьян
novinari	печати
novinari	пресса
novinari	пресс
novinari	нажмите
novinari	press
novinari	нажать
novinari	журналисты
novinari	журналистов
plaže	пляж
plaže	пляже
plaže	beach
plaže	бич
plaže	пляжи
plaže	пляжей
masters	masters
masters	мастерс
masters	мастера
masters	хозяева
dekan	декан
dekan	дин
shadab	shadab
sony	sony
sony	сони
privukao	привлек
privukao	привлекает
privukao	привлекла
zec	заяц
zec	заяц
zec	кролик
šećer	сахар
punta	пунта
sfera	сфера
profesionalna	профессиональное
profesionalna	professional
profesionalna	профессиональная
profesionalna	профессионал
sex	секс
invazija	вторжения
invazija	вторжение
govornici	ораторов
govornici	ораторы
govornici	выступающие
genocid	геноцид
imenice	существительные
blackmore	блэкмор
bare	пруд
bare	пруды
preporod	оживление
preporod	возрождение
plodovi	фрукты
plodovi	плоды
loša	плохо
loša	плохой
loša	bad
loša	плохая
promjeru	диаметр
laboratorij	лаборатории
laboratorij	лаборатория
laboratorij	лаборатория
laboratorij	lab
rezidencija	резиденция
rezidencija	проживание
lange	лэнг
boca	бока
boca	бутылка
boca	бутылку
minas	минас
košarka	баскетбол
tragedija	трагедии
tragedija	трагедия
bavarske	баварский
nominaciju	назначение
nominaciju	выдвижение
nominaciju	номинации
specifična	конкретных
specifična	конкретное
specifična	конкретный
specifična	конкретная
specifična	конкретные
dokazano	доказана
dokazano	доказано
dokazano	доказал
divlja	wild
divlja	дикий
divlja	дикая
divlja	дикие
iznenađenje	удивление
iznenađenje	сюрприз
prikupljanje	сбор
prikupljanje	сбора
prikupljanje	собираю
prikupljanje	коллекция
prikupljanje	collection
prikupljanje	коллекции
prikupljanje	сбор
greda	луч
greda	пучок
greda	лучи
ličnost	личности
