اسپنسر	spencer
فاش	avalikustamine
ویروسی	viiruse
بابلی	babylon
بابلی	babüloonia
صداهای	hääli
صداهای	hääled
سوسن	susan
رینگ	rõngas
رینگ	ring
رینگ	sõrmuse
رینگ	sõrmus
کفایت	piisab
خطرات	riske
خطرات	riskid
خطرات	ohud
هاردی	hardy
مخالفین	vastulause
مخالفین	opositsiooni
مخالفین	vastuseis
مخالفین	opositsioon
گوزن	põder
گوزن	hirv
گوزن	hirve
الیاس	elijah
الیاس	elias
لیزری	laseri
لیزری	laser
پاداش	preemia
پاداش	bonus
پاداش	boonus
پاداش	tasu
پاداش	autasu
نفرین	needus
لمس	puuduta
لمس	katsuda
لمس	puudutus
لمس	puutu
لمس	liigutav
لمس	puudutas
لمس	puudutatud
لمس	liigutatud
لمس	puudutanud
سوئیسی	šveitsi
سویا	sojauba
واگذاری	delegeerida
کارن	karen
مهندسین	insenerid
قشر	ajukoor
طاووس	paabulind
اسکلت	šassii
اسکلت	skeleti
اسکلت	luukere
پدربزرگ	vanaisa
پدربزرگ	vanaisa
گروپ	rühm
گروپ	grupp
گروپ	grupis
انحصار	monopol
انحصار	monopoli
منجمد	külmutatud
منجمد	külmunud
فواصل	vahemaad
فلامینگو	flamingo
خدایی	jumal
سیار	liikuv
سیار	liikuva
سیار	mobiil
سیار	mobiilne
پادگان	alused
پادگان	garrison
گرمایش	küte
گرمایش	kütte
خلاقیت	loovuse
خلاقیت	loov
خلاقیت	loominguline
اسپورتینگ	sportlik
امریکایی	ameeriklane
امریکایی	ameerika
امریکایی	american
بارون	parun
بارون	vihm
بارون	rain
بیکر	pagar
بیکر	baker
بروسیا	borussia
گی	gei
گی	homo
گی	gay
مخرب	hävitav
تهمت	laimamise
تهمت	laim
تهمت	laimu
تاسیسات	rajatis
آبیلا	ávila
مخازن	hoidlad
حسگر	sensori
حسگر	andur
مستعمره	koloonia
بودا	buddha
صاریغ	opossum
خودگردان	autonoomne
محققین	teadlased
محققین	uurijad
قسطنطنیه	konstantinoopol
ایمن	turvaline
ایمن	ohutu
ایمن	turvaline
ایمن	eamon
جفرسون	jefferson
جفرسون	jeffersoni
ناخواسته	tahtmatu
ناخواسته	soovimatu
کاوشگر	sond
کاوشگر	lander
کاوشگر	maadeavastaja
قطعاً	kindlasti
ویرانی	häving
ویرانی	hävitamine
غده	kasvaja
غده	nääre
بروک	brooke
بروک	oja
کاله	kalle
کاله	calais
مرمر	marmor
مقاصد	kavatsused
مقاصد	sihtkohad
زیارتگاه	pühamu
توفیق	abi
رکن	sammas
رکن	samba
پاسخگویی	vastus
پاسخگویی	vastus
پاسخگویی	reageering
پاسخگویی	reageerimine
جنسیتی	sugu
گیلبرت	gilbert
پدرو	pedro
تریلر	thriller
تریلر	haagis
تریلر	haagise
چاک	chuck
خوک	sigu
خوک	sead
خوک	siga
خوک	põrsas
بکند	teeb
بازوی	käsi
بازوی	käe
دوازدهمین	kaheteistkümnes
بیداری	ärkvel
جامی	karikavõistlused
جامی	cup
جامی	tops
جامی	tass
جامی	karikas
نیکون	nikon
آری	aye
تزئینات	kaunistused
شوهرش	abikaasa
کالین	colin
برونو	bruno
مارپیچی	spiraal
باخ	bach
قذافی	gaddafi
بازگشایی	taasavamise
مونتاژ	montaaž
گمنام	anonüümne
ناراحتی	kurb
محبت	kiindumus
محبت	kiindumust
همخوانی	järjepidevus
همخوانی	järjepidevuse
همخوانی	kooskõla
باک	buck
باک	bak
باک	bock
کارا	kara
کارا	cara
جنبشی	kineetiline
وبا	koolera
جهانگردان	uurijad
آستوریاس	astuuria
تزئین	dekoratsioon
تزئین	kaunistada
پیشوند	prefiks
بیهوشی	elektrikatkestus
نشستن	istumine
نشستن	istudes
نشستن	istub
شایان	cheyenne
نیایش	palveid
نیایش	palved
انصراف	välju
کلامی	suuline
کلامی	keelelise
تناقض	paradoks
تناقض	vastuolu
تناقض	vastuolu
قضائیه	kohtusüsteemi
لیندا	linda
قسم	vanne
آرم	käsi
آرم	käe
دلاور	delaware
اتصالات	ühendused
فراخوانی	kutse
فراخوانی	helistamine
اسیدی	happeliste
اسیدی	hape
اسیدی	happe
اسیدی	happesuse
بیکاری	tööpuudus
بیکاری	töötus
فلفل	pepper
فلفل	pipart
فلفل	pipar
هاپکینز	hopkins
شیطانی	deemonlik
مگس	kärbsed
مگس	kärbseid
مگس	lendab
کالاها	kaubad
کالاها	kaubad
کالاها	kaup
کالاها	kauba
لیبریا	libeeria
لیبریا	libeeria
محو	udu
لای	lai
پنجشنبه	neljapäev
بقای	ellujäämise
بقای	ellujäämine
نامیبیا	namiibia
سورینام	suriname
طیفی	spektraalne
کمدین	koomik
جن	jen
عذرخواهی	vabandus
میکس	mix
یوهانس	johannes
بذر	seeme
بذر	seemned
بذر	seeme
عملگر	operaator
عملگر	käitaja
تکن	tekkeni
فرصتی	võimalus
فرصتی	võimaluse
اخطار	teatamine
اخطار	teade
اخطار	teavitamine
اخطار	hoiatus
بخارست	bukaresti
حباب	mullid
حباب	mull
پالس	pulss
پالس	impulss
گرانت	grant
تقریب	ühtlustamine
تقریب	ühtlustamise
هیلاری	hillary
هیلاری	hilary
نژادهای	tõugude
بهاری	kevad
مزدا	mazda
گان	gunn
نرگس	narcissus
کپنهاگ	kopenhaageni
کپنهاگ	kopenhaagenis
کارولین	caroline
صدمه	kahjustus
صدمه	kahju
صدمه	kahjustused
صدمه	haiget
شارژ	süüdistus
شارژ	laeng
شارژ	laetud
خنده	naer
خنده	naeru
خنده	naer
خنده	naerma
خنده	naera
خنده	naerda
ملایم	hell
ملایم	õrn
ملایم	kerged
ملایم	kerge
ملایم	pehme
ملایم	pehmed
ییلاق	riik
مایا	maya
داند	teab
اشتوتگارت	stuttgart
جوار	tunnistab
لانه	pesa
لانه	den
منسوخ	arhailine
منسوخ	vananenud
منسوخ	iganenud
سانسکریت	sanskriti
محکومیت	veendumuste
محکومیت	veendumust
محکومیت	veendumus
امتیازات	privileegid
امتیازات	õigused
استعمال	kasutamine
استعمال	kasutus
محفوظ	kaitstud
محفوظ	säilitatud
محفوظ	säilinud
محفوظ	konserveeritud
شبح	fantoom
شبح	vaim
شبح	vaimu
شبح	kummitus
شبح	tont
دورانی	katmine
انگل	engel
انگل	parasiit
فروشنده	tarnija
فروشنده	müüja
کمیل	camille
منظره	maastik
منظره	maastiku
واتیکان	vatikani
واتیکان	vatikan
گریس	grace
اتلتیک	sportlik
موضوعاتی	teemad
سالمندان	eakad
ماموران	ohvitserid
روحیه	moraal
عشقی	armastan
عشقی	love
عشقی	armastus
عشقی	armastust
موجودیت	üksus
مارکسیست	marksist
تدبیر	reguleeritakse
تدبیر	reguleerib
تدبیر	plaan
تدبیر	plaani
تدبیر	kava
دریاها	merede
سفال	keraamika
رودریگز	rodriguez
رودریگز	rodrigues
رودریگز	rodríguez
ریس	reese
ریس	rhys
بشریت	inimlikkus
بشریت	inimkonna
بشریت	inimkond
کوهن	cohn
کوهن	cohen
فیجی	fidži
ارضی	territoriaalne
ارضی	territoriaalse
هانتر	kütt
هانتر	hunter
هانتر	jahimees
مارینو	marino
پناهنده	põgenik
پناهنده	pagulaste
پناهنده	pagulased
پناهنده	pagulaste
رزرو	reserveeritud
رزرو	varu
رزرو	reserv
رزرو	reservi
یخبندان	jää
یخبندان	ice
یخبندان	jääd
متقارن	sümmeetriline
متقارن	sümmeetriline
رابینسون	robinson
کویینز	kuningannad
بخواند	kõned
بخواند	kutsub
ملودی	meloodia
ملودی	melody
اسبق	eelkäija
وحی	ilmutus
دلو	ämber
دلو	veevalaja
ضخیم	paksud
ضخیم	paks
سوفیا	sofia
بتی	betty
دستورالعمل	retsept
دستورالعمل	retsepti
دستورالعمل	juhised
دستورالعمل	juhend
دستورالعمل	juhendid
بیعت	truudust
منتسب	väidetava
منتسب	väidetav
انگشتان	sõrmed
محتوی	konteiner
محتوی	mahuti
معصوم	süütud
معصوم	süütu
کارتون	karp
آموخته	õpetatud
آموخته	õpetas
دربی	derby
گرامر	grammatika
سپیده	dawn
سپیده	koidik
سپیده	koidu
نیکو	niko
نیکو	nico
بخت	varandus
هاله	halle
هاله	aura
هاله	halo
توری	võre
بنویسد	kirjutada
بنویسد	kirjuta
بنویسد	kirjutage
بنویسد	kirjutamine
قراردادهای	lepingud
قراردادهای	protokollid
هوندا	honda
دیداری	visuaalne
بهای	price
بهای	hind
آیفون	iphone
گیلاس	kirss
گیلاس	kirsi
گیلاس	cherry
ارکان	sammas
ارکان	samba
گزاره	ettepanek
شایستگی	kvalifitseeritud
شایستگی	väärivad
مشتقات	derivaadid
مشتقات	variandid
اسکای	skye
اسکای	sky
اسکای	taevas
سنگر	punker
تصدی	komisjon
تصدی	komisjoni
موجی	laine
موجی	lained
موجی	laineid
کارآمد	efektiivne
کارآمد	tõhus
کارآمد	tõhusad
انعطاف	paindlik
انعطاف	paindlikud
ادارات	bürood
ادارات	kontorid
ردیابی	jälitamine
ردیابی	jälgimine
ردیابی	jälgimine
ردیابی	jälgija
ردیابی	jälitaja
ردیابی	jälg
ماهانه	igakuine
قدیس	pühak
قدیس	saint
تهی	tühjus
تهی	tühi
تهی	tühjad
رفیع	high
رفیع	kõrgele
رفیع	kõrged
رفیع	kõrgel
رفیع	kõrge
نگاشت	kaart
جمجمه	kolju
جمجمه	pealuu
سوزن	nõelu
سوزن	nõelad
سوزن	nõel
سوزن	nõela
بنادر	sadamad
جوزپه	giuseppe
اعتدال	pööripäev
پذیرایی	majutus
پذیرایی	majutuse
پذیرایی	vastuvõtt
پذیرایی	meelelahutus
عروسک	nukud
عروسک	nuku
عروسک	nukk
چیزها	asjad
چیزها	asju
یقین	teatud
یقین	kindlus
یقین	ebakindlad
یقین	ebakindel
قاطع	otsustav
اریتره	eritrea
دهقان	talupoeg
هریسون	harrisoni
هریسون	harrison
بولونیا	bologna
انشعاب	kahvel
انشعاب	oks
انشعاب	filiaal
انشعاب	haru
انشعاب	filiaali
وایمار	weimar
گردنه	järsk
مارسل	marcel
کسر	fraktsioonid
کسر	puudujääk
کسر	murdosa
کسر	fraktsioon
عبادت	kummardavad
متراکم	tihe
جنایات	kuriteod
آئودی	audi
ترمینال	terminal
ترمینال	terminali
نامحدود	lõpmatu
نامحدود	lõputu
نامحدود	piiramata
نامحدود	piiramatu
سرنگون	kukutada
سرنگون	kukutada
آپاچی	apache
مشروط	tingimuslikud
عرضی	maastik
عرضی	maastiku
ذرت	mais
بدانید	tea
وبر	weber
سرودن	koosta
تعاونی	ühistu
تکنیکی	tehnilised
تکنیکی	tehniline
زی	zee
نفی	väljasaatmise
گسیل	heide
گسیل	emissioon
داوطلبانه	vabatahtlikult
داوطلبانه	vabatahtlik
خائن	reetur
رویس	royce
گریگوری	gregory
کنراد	conradi
کنراد	conrad
چکاوک	lõoke
بالتیک	baltic
بالتیک	balti
بالتیک	läänemere
آیوی	ivy
راجرز	rogers
میرسد	saabub
میرسد	jõuab
ادوین	edwin
رنگهای	värvid
اطفال	lapsed
هسن	hesse
یونس	yunus
یونس	joonas
یونس	jonah
همسایگی	naabrus
همسایگی	naabrus
همسایگی	ümbruskond
فرضی	hüpoteetiline
راو	toores
راو	toor
راو	toorelt
متناظر	vastav
آهسته	aeglane
آهسته	tasapisi
آهسته	aeglaselt
زاگرب	zagreb
نوی	neu
نیکول	nicole
گوگ	gogh
فری	praam
فری	frey
آلتو	alto
نیکلای	nikolai
نیکلای	nikolai
رؤیا	roya
رؤیا	unistus
رؤیا	dream
رؤیا	unenägu
اهدای	doonor
اهدای	doonori
پرل	pearl
پرل	pärl
پرل	pärli
پرل	perli
رفیق	kutt
رفیق	dude
رفیق	buddy
لیو	liv
بدانند	tea
مناظره	arutelu
مناظره	debatt
مناظره	arutelud
میکرو	mikro
ادراک	ettekujutus
ادراک	taju
بادهای	tuuled
تاب	hoos
ناتینگهام	nottinghami
بیاورید	tooma
پنهانی	salaja
صمیمی	südamlik
صمیمی	intiimne
قربان	söör
سوءاستفاده	kuritarvitamine
سوءاستفاده	kuritarvitamise
جنوا	genova
گنگ	loll
گنگ	jõuk
گنگ	kamp
گنگ	gang
مچ	ranne
مچ	randme
یخی	frost
یخی	jää
یخی	ice
یخی	jääd
قحطی	näljahäda
قحطی	nälga
ماسک	mask
ماسک	maskid
میگیرد	võtab
مکانیزم	mehhanism
شهدا	märt
قرض	laenu
قرض	laen
قرض	võlg
قرض	võla
قرض	laenata
قرض	laena
استوا	ekvaatori
دشواری	raskusaste
دشواری	raskused
مهمات	laskemoon
مهمات	laskemoona
آند	andide
رحمان	rahman
وصیت	testament
محفظه	kapsel
دول	abiraha
دول	dol
مشاوران	konsultandid
احتراق	põletamine
احتراق	põlemisel
درواقع	tegelikult
درواقع	tegelt
کلک	trikk
گرده	õietolmu
متخصصین	eksperdid
متخصصین	tech
متخصصین	spetsialistid
تریپل	kolmekordne
تریپل	kolmik
مهاجرین	sisserändajate
مهاجرین	immigrandid
مهاجرین	pagulased
مهاجرین	pagulaste
پروسه	protsess
پروسه	protsessi
گوهر	olemus
تراشه	chip
تراشه	kiip
تحقیر	alandatud
تحقیر	alandav
تحقیر	alandus
تحقیر	alandamine
تحقیر	põlgust
عنکبوتی	ämblik
عنکبوتی	spider
پوینت	punkt
پوینت	punkti
پوینت	point
جراح	kirurg
نورنبرگ	nürnbergi
اتمسفر	atmosfääri
اتمسفر	atmosfäär
اتمسفر	atmosfääri
قفس	puuri
قفس	puur
شهوانی	erootiline
جاسوس	spioon
دوجانبه	kahepoolsed
دوجانبه	kahepoolne
پروتون	prooton
لورا	laura
آشکارا	avatult
آشکارا	avalikult
آشکارا	ilmselgelt
آشکارا	selgesti
آشکارا	selgelt
آشکارا	avalikult
ساسکاچوان	saskatchewan
لکه	plekk
لکه	plekid
لکه	plekk
لکه	laik
لکه	udu
سوارکاری	ratsutamine
جاش	joshi
جاش	josh
بحر	meri
بحر	mere
راینلاند	rheinland
انسانها	inimesed
انسانها	inimestel
حسابرسی	audit
حسابرسی	arvepidamine
حسابرسی	raamatupidamine
حسابرسی	arvestus
قناری	kanaari
گلوکز	glükoos
یگان	ühik
یگان	üksus
قرارگاه	asula
قرارگاه	majutus
بوریس	boris
بوریس	boriss
گروگان	pantvang
گروگان	pantvangi
گروگان	pantvangis
تدارک	valmistamine
تدارک	ettevalmistamine
تدارک	ettevalmistus
جووانی	giovanni
دینار	dinaar
انور	anwar
ویک	vic
استارک	starki
استارک	stark
اتلاف	jäätmed
بای	laht
بای	bay
مونترال	montreali
کعبه	kaaba
ابدی	igavest
ابدی	igavene
ابدی	surematu
پتر	peter
پتر	peeter
پتر	petr
سیلیکات	silikaat
مهری	pitser
مهری	pitsat
مواجهه	vastasseis
نزول	laskumine
پروتستان	protestantide
تجلیل	tähistamine
سپر	kilp
ایزدی	providence
اسکیت	uisutama
آراسته	atraktiivne
آراسته	autasustatud
آراسته	kaunistatud
بورلی	beverly
سلاطین	kuningad
سایمون	simon
والاس	wallace
دیکتاتوری	diktatuuri
دیکتاتوری	diktatuur
سویی	sui
اندلس	andaluusia
لوسی	lucy
خشکسالی	näljahäda
خشکسالی	põud
اولاد	järglane
اولاد	järglased
ریکاردو	riccardo
ریکاردو	ricardo
کلوپ	klubi
کلوپ	club
پوشیدن	seljas
پوشیدن	kanna
پوشیدن	kanda
کلاب	klubi
کلاب	club
لایپزیگ	leipzigi
نفرت	vihkamine
نفرت	vihkamist
نفرت	viha
نفرت	vihkamine
برخاست	tekkisid
برخاست	tekkis
هالی	holly
ادواردز	edwards
نواری	pael
نواری	paela
مونته	monte
هافمن	hoffmann
هافمن	hoffman
آشتی	vaherahu
تروریست	terrorist
تروریست	terroristid
انصار	ansar
ارگان	organid
ارگان	organi
ارگان	elundite
ارگان	organ
خفیف	kerged
خفیف	kerge
مخروطی	koonus
بازجویی	ülekuulamine
بازجویی	ülekuulamise
انبساط	laiendamine
انبساط	laienemine
قفسه	riiul
پرتقال	orange
پرتقال	apelsin
پرتقال	oranž
پرتقال	apelsinid
نایت	ratsu
نایت	rüütli
نایت	rüütel
نایت	knight
کامیون	veok
کامیون	veoauto
شهریاری	monarhia
فلک	ferris
اسپرت	sport
اسپرت	spordi
جواهرات	juveelid
جواهرات	ehted
جواهرات	ehteid
جواهرات	ehted
وانگ	wang
بیا	tule
کورپوریشن	corporation
کورپوریشن	korporatsioon
ویلی	willie
مارپیچ	labürint
مارپیچ	labürint
مارپیچ	spiraal
مارپیچ	helix
ترنر	turner
میکروسکوپ	mikroskoobi
نکا	neckar
بیم	warner
سگا	koerad
نهر	creek
نهر	oja
پارما	parma
سوسک	prussakas
سوسک	mardikas
بزرگسال	täiskasvanu
بزرگسال	täiskasvanud
بزرگسال	täiskasvanud
لیبرالیسم	liberalismi
وجوه	fondid
غشای	membraani
فلیکس	felix
پیکربندی	konfiguratsioon
پیکربندی	seadistus
پیکربندی	seadistamine
پیکربندی	config
شنی	liiv
شنی	liiva
دخیل	kaasatud
کلیولند	cleveland
صوری	ametlik
صوری	ametliku
چهارگانه	neljakordne
رهنمودهای	juhised
رهنمودهای	suunised
رهنمودهای	juhtnöörid
شیرجه	sukeldumine
شیرجه	sukelduda
قسمتهای	episoodid
تریلیون	triljonit
معاف	vabastatud
جدیدترین	uusim
باشکوه	võrratu
تصدیق	kinnitus
تصدیق	kinnitus
تصدیق	kinnitada
تصدیق	kinnitan
تصدیق	kinnita
تصدیق	tunnustatud
تصدیق	tunnistas
تصدیق	kinnitamine
تصدیق	kinnitades
تصدیق	kontrollimine
تصدیق	tõendamine
رویارویی	vastasseis
گرگوری	gregory
کلارا	clara
کلارا	klara
جاوید	surematu
کینگز	kuningad
واتسون	watson
استن	stan
کریستف	christof
کریستف	christoph
رصد	tähelepanek
رصد	vaatluse
رصد	vaatlus
سوژه	teema
سوژه	subjekti
سوژه	subjekt
تنباکو	tubakas
فنلاندی	soome
عاقبت	tulemus
آلکساندر	alexandre
مونرو	monroe
ارل	earl
ارل	jarl
گنجشک	varblane
گنجشک	sparrow
گاردین	eestkostja
گاردین	hooldaja
گاردین	kaitsja
گاردین	valvur
زوال	ümberasustatud
فروید	freud
اسلو	oslo
بلکبرن	blackburn
جردن	jordan
جردن	jordaania
فاستر	foster
تراژدی	tragöödia
سیزدهمین	kolmeteistkümnes
سباستین	sebastian
رؤیای	unistus
رؤیای	dream
رؤیای	unenägu
المپیاد	olümpiaadil
بتهوون	beethoven
وردی	verdi
فلوئورید	fluoriidi
موریتانی	mauritaania
کلاوس	klaus
گراند	grande
گراند	grand
شاهدخت	printsess
برمه	birma
برمه	birma
واعظ	jutlustaja
خر	eesel
هانوفر	hannoveri
هانوفر	hannover
ریگ	rig
اندر	ender
پیشگام	pioneer
اساسنامه	põhikiri
الکترو	elektro
کریگ	craig
فشاری	surve
فشاری	rõhu
فشاری	rõhk
غریبه	võõrad
غریبه	võõras
شهرستانهای	maakondades
معلول	puudega
معلول	puude
معلول	puue
هیروشیما	hiroshima
آپارتمان	korteri
آپارتمان	korteris
آپارتمان	korter
شیمیدان	keemik
سفت	tihe
سفت	kitsas
سفت	tihedalt
ولت	volt
تاین	tyne
لیژ	liège
دیروز	eile
کیوتو	kyoto
اوژن	eugène
اوژن	eugene
عیب	defekt
ریل	rail
ریل	raudtee
تعالیم	õpetused
تعالیم	doktriin
ماهیگیری	kalandus
ماهیگیری	kalapüük
ماهیگیری	püük
غیرعادی	ebatavaline
غیرعادی	ebaharilik
غیرعادی	ebatavalised
پیرس	pierce
پیرس	pearce
هولمز	holmes
ظلم	rõhumise
ظلم	rõhutud
ظلم	julmus
ظلم	ebaõigluse
تمرینات	koolitus
تمرینات	koolitused
تمرینات	väljaõpe
تمرینات	treeningud
خرچنگ	krabi
کشنده	surmav
کشنده	surmav
کشنده	tappev
کشنده	saatuslik
کشنده	surmav
بوته	bush
بوته	põõsas
ناظری	pealtnägija
کاتالان	katalaani
مورفی	murphy
گرسنگی	näljane
گرسنگی	näljas
گرسنگی	nälg
پالایش	filter
پالایش	filtreeritakse
پالایش	filtri
پالایش	filtreerimine
رمزی	ramsey
چاله	loik
شاهکار	meistriteos
نویز	müra
ادریس	enoch
ادریس	idris
نمانده	peaaegu
رسوب	sette
داش	dash
داش	kriips
ریچل	rachel
شیلا	sheila
عبدی	abdi
جغد	öökull
تاثیرات	mõjud
تاثیرات	mõju
تاثیرات	toime
احتمالات	tõenäosus
یتیم	orb
دوس	dos
شفا	ravida
شفا	parane
شفا	ravitud
شفا	paranemine
شفا	paranes
شفا	paranenud
مغازه	shop
مغازه	pood
مغازه	kauplus
مغازه	poodi
مغازه	poe
چرخشی	pöörleva
نشانگان	sündroom
کنکور	läbivaatus
کنکور	eksam
نهفته	põimitud
روانپزشکی	psühhiaatria
روانپزشکی	psühhiaatrilised
گلکسی	galaktika
گلکسی	galaxy
درازا	pikaajaline
آزادانه	vabalt
پاها	jalad
خواهران	õed
اکو	eco
اکو	eko
اکو	kaja
قبله	suund
استبداد	türannia
خوشبختانه	õnneks
خوشبختانه	loodetavasti
تیتراژ	krediit
تیتراژ	krediidi
ولفگانگ	wolfgang
وزنه	kaalud
وزنه	kaal
وزنه	kaalu
وزنی	kaalutud
اجداد	esivanemad
پت	pet
پت	lemmikloom
پت	pat
پاپی	poppy
پاپی	mooni
پاپی	papi
قیصر	kaiser
پایش	skaneerimise
پایش	järelevalve
پایش	jälgimine
پایش	seire
آلیکانته	alicante
فانی	fanny
فانی	surelik
فانی	surelikud
پهلو	külg
پهلو	küljed
اکسپرس	express
اکسپرس	ekspress
اکسپرس	väljendada
اسکس	essexi
نخبگان	eliit
فینیکس	kapslid
فینیکس	phoenix
کرو	vares
ترتیبی	järjestikused
ترتیبی	järjestikust
کرایسلر	chrysler
هوتن	hutton
هوتن	houten
هوتن	houghton
ساسکس	sussexi
تاجگذاری	kroonimist
فسفر	fosforit
فسفر	fosfori
بولتون	bolton
چشمی	silm
چشمی	silma
اوا	eva
اوا	ewa
هلسینکی	helsingi
هلسینکی	helsinki
آندورا	andorra
اجبار	force
اجبار	jõud
اجبار	jõuga
اجبار	lummus
اجبار	sundimine
اجبار	sundis
اجبار	sunnitud
معقول	mõistlik
معقول	ratsionaalne
معقول	mõistlik
معقول	mõistlikud
بارگیری	allalaadimine
بارگیری	laadimine
بارگیری	allalaadimine
بارگیری	allalaaditud
مذکر	meessoost
مذکر	isane
مذکر	mehelik
دایناسور	dinosaurused
بقا	ellujäämise
بقا	ellujäämine
تورینو	tra
تورینو	torino
متفرقه	muud
متفرقه	mitmesugused
آدریان	adrian
هیچکدام	puudub
برشی	nihe
اویل	õli
اویل	nafta
گیبسون	gibson
استثنای	erand
استثنای	erandi
هراس	terrori
هراس	foobia
آوازی	vokaal
مغولی	mongoolia
استفن	stefan
رسوایی	skandaal
رسوایی	skandaali
رسوایی	häbi
آویزان	hung
آویزان	riputada
آویزان	ripuvad
آویزان	ripub
طغیان	mässasid
طغیان	mässuliste
طغیان	mässaja
طغیان	mäss
طغیان	ülestõus
نیاکان	esivanemad
مسخره	naeruväärne
الزامی	kohustuslikud
الزامی	kohustuslik
سپهسالار	generalissimus
عجیبی	kummaline
عجیبی	imelik
عجیبی	veider
حمد	kiitust
حمد	kiitus
نوشیدن	joomine
نوشیدن	jooki
نوشیدن	juua
نوشیدن	jook
سفره	laua
سفره	laud
سفره	tabel
مالدیو	maldiivid
هل	kardemoni
هل	hal
اشمیت	schmidt
اشمیت	schmitt
لوتر	luther
راهبرد	strateegia
استنباط	tuletatud
فرانچسکو	francisco
فرانچسکو	francesco
زا	generaator
مصادره	konfiskeeritud
سازندگی	ehitamine
سازندگی	ehitus
سازندگی	konstruktsioon
وارث	pärija
روزولت	roosevelt
قصبه	vald
دماغه	cape
دماغه	neeme
دماغه	cabo
دماغه	keep
اولا	ola
قدردانی	tänud
قدردانی	tunnustust
ویتنی	whitney
کوستا	costa
دیم	dim
راش	rush
ققنوس	phoenix
اوراسیا	euraasia
مرگبار	surmav
مرگبار	tappev
مرگبار	saatuslik
مرگبار	surmav
کابین	salongi
کابین	majake
کابین	kabiin
وکالت	advokaat
جوجه	kana
بهبودی	taastumine
بهبودی	taaskasutamine
بهبودی	täiustamine
بهبودی	paranemine
بهبودی	parandamine
عینک	prillid
عینک	klaasid
عینک	prillid
