tendence	tendència
diplomu	diploma
bono	bono
atšķīrās	diferien
abovestyle	abovestyle
brūss	bruce
tunelis	túnel
peldētājs	nedador
čigānu	gipsy
čigānu	gitana
čigānu	gitanes
čigānu	gitano
šekspīra	shakespeare
konkrēti	específicament
konkrēti	concretament
pastāvīgā	permanent
pastāvīgā	permanents
beidzies	caducat
beidzies	vençut
glonass	glonass
gregorijs	gregori
gregorijs	gregory
trans	trans
vārnas	corbs
atdalīta	separat
atdalīta	separats
bundeslīgas	bundesliga
atzītas	reconeguts
atzītas	reconegut
ekspedīcijā	grinch
žils	jules
džims	jim
asambleja	assemblea
kāzas	casaments
kāzas	bodes
kāzas	boda
kāzas	casament
zane	zane
vidējs	mitjà
tehniski	tècnicament
britannica	britannica
žogs	tanca
flāmu	flamenc
gazprom	gazprom
silts	warm
silts	càlid
karogi	banderes
karogi	indicadors
rita	rita
četrdesmit	quaranta
disciplīnas	disciplines
stadijas	etapes
delfi	delfos
delfi	delfi
pamiers	treva
pamiers	armistici
linu	lli
akmeņi	pedres
akmeņi	roques
honda	honda
abba	abba
aes	aes
signālus	senyals
galatasaray	galatasaray
sodīts	castigat
pacers	pacers
mati	pèl
mati	cabells
eric	eric
budistu	budista
džeralds	gerald
parakstīt	signe
parakstīt	signa
parakstīt	signar
donalds	donald
irāka	iraq
biologs	biòleg
biologs	biòloga
anita	anita
jeruzalemes	jerusalem
dens	dan
dens	donen
neparasti	inusual
bioloģiskā	biològics
bioloģiskā	biològic
piektajā	cinquè
piektajā	cinquena
hdi	hdi
tipisks	típica
tipisks	típic
niedru	reed
vēlu	tard
piesaistīja	atret
vienoties	acorden
vienoties	convenen
hipotēze	hipòtesi
platumā	amplada
manuels	manuel
manuels	manel
dienvidi	sud
ražoti	produït
ražoti	fabricat
ražoti	fabricats
medībās	caça
lūiss	lewis
paaugstināta	incrementat
zviedriem	suecs
pieraksts	notació
pieraksts	subscripció
mao	mao
trīspadsmit	tretze
fantāzijas	fantasia
fantāzijas	fantasies
lauksaimniecība	agricultura
lauksaimniecība	agricultura
apzināti	intencionadament
apzināti	deliberadament
apzināti	intencionada
ievads	introducció
čaulas	shell
čaulas	projectils
čaulas	closques
čaulas	liner
laikus	oportuna
ana	ana
kopīgas	compartits
kopīgas	compartit
milzīga	enorme
milzīga	immensa
milzīga	immens
lāci	ós
radošo	creatius
radošo	creativa
radošo	creative
radošo	creatiu
radošo	creatives
grīnbergs	grünberg
bobsleja	bobsleigh
pārtrauc	interrupcions
sūtīt	envia
iekšējais	interior
iekšējais	intern
iekšējais	interna
sandra	sandra
pārtraukums	break
pārtraukums	descans
pārtraukums	interrupció
pārtraukums	interrupció
ķirurgs	cirurgià
dzeltenais	groc
silver	plata
augumu	alçada
augumu	alçària
augumu	altura
oriģinālā	original
peldēšanas	natació
pētnieku	investigador
sacenšas	concursar
sacenšas	competir
sacenšas	competint
rasu	racial
kritēriji	criteris
mareks	marek
svītras	ratlles
zēns	noi
imperatore	imperatore
palestīniešu	palestí
paskaidrojumi	explicacions
paskaidrojumi	aclariments
baltastes	bulwer
brīvs	vacant
brīvs	lliure
brīvs	gratuït
brīvs	lliures
bagātīgi	abundant
bagātīgi	abundants
pazuda	desaparegut
iegādāts	comprats
peldēšana	natació
golden	golden
alejas	galeries
līdakas	pike
līdakas	pica
izstrādāti	desenvolupat
izstrādāti	desenvolupats
katastrofas	catàstrofes
katastrofas	desastres
pavēlnieks	lord
pavēlnieks	senyor
vienādojumu	equació
organisms	organisme
eca	eca
plānota	programades
plānota	planificat
plānota	programada
plānota	planificat
plānota	planejat
slēgt	bloqueig
slēgt	bloqueja
hēlija	heli
#ff	#ff
atpazīstamību	renom
bayer	bayer
piepilsētas	suburbana
strēlnieki	arquers
piesaistīt	atraure
kopija	còpia
pievienotas	adjuntat
vīrusu	viral
vīrusu	virus
būtiskas	imprescindibles
būtiskas	imprescindible
būtiskas	essencial
būtiskas	essencials
laikapstākļi	weather
izpratni	enteniment
izpratni	comprensió
izpratni	entesa
izpratni	entenent
laima	laima
laima	lyme
laima	calç
sulu	jugo
sulu	suc
starptautisks	transnacional
starptautisks	transnacionals
asamblejas	assemblea
sēdes	assegut
sēdes	reunions
sēdes	audiències
bot	bots
vienādojums	equació
pateikt	say
mākslīgā	artificial
akli	cecs
akli	cec
akli	cegament
pierre	pierre
regulāra	regulars
regulāra	regular
uzlabo	milloren
uzlabo	millorar
plāksnes	matrícules
plāksnes	plaques
plāksnes	placa
kēnigsbergas	königsberg
reikenens	räikkönen
garīgais	espiritual
džonijs	johnny
džonijs	jonny
lmt	lmt
aptieka	farmàcia
ronis	foca
ronis	segell
cēzara	cèsar
oksīdu	òxid
juridiski	legalment
absolūti	absolutament
tēvam	pare
civilā	civil
civilā	civil
masīva	massís
misisipi	mississipí
atrisināt	resolt
atrisināt	resoldre
atrisināt	resoldre
atrisināt	resol
nvs	cei
datori	ordinadors
reģistrētas	registrat
reģistrētas	inscrits
ieiet	introdueix
drošība	seguretat
drošība	seguretat
atkarību	dependència
procesora	cpu
procesora	processador
talantu	talent
zīmēšanas	dibuix
piens	llet
vidzeme	livònia
avīzē	periòdic
avīzē	periódico
avīzē	diari
civilās	civil
civilās	civil
precīzs	precisa
precīzs	precís
precīzs	exacte
precīzs	exactes
reperis	raper
trauku	plat
luna	luna
lerijs	larry
rīki	eines
rīki	engranatges
intervijā	entrevista
gazols	gasol
yesno	yesno
toyota	toyota
apturēta	pausada
apturēta	suspès
apturēta	suspesa
apturēta	suspesos
atzīmē	notes
aicina	trucant
aicina	invitacions
skaitļošanas	computació
aizliegums	veta
aizliegums	ban
aizliegums	prohibició
klārks	clarke
klārks	clark
koncepciju	concepte
vienmērīgi	unitàriament
ieroci	pistola
ieroci	arma
slepkavību	assassinat
las	las
gaga	gaga
samazinājies	caigut
samazinājies	rebutjat
samazinājies	disminuït
šūmahers	schumacher
grenlandes	groenlàndia
normandijas	normandia
garšu	gust
step	pas
veikalā	botiga
pašreizējie	actuals
pašreizējie	actual
pašreizējie	corrent
procedūras	procediments
atlikušās	restant
atlikušās	restants
tuberkulozes	tuberculosi
skeleta	esquelet
ulrihs	ullrich
jostas	cinturons
porsche	porsche
bazilika	basili
bazilika	basil
bazilika	alfàbrega
bazilika	basílica
dala	dividits
dala	dividit
kurland	kurland
orientalis	orientalis
izcili	brillant
apvienotais	fusionat
līknes	revolts
līknes	corbes
joahims	joachim
zebiekste	mostela
konfederāciju	confederacions
konfederāciju	confederació
salīdzināt	compare
salīdzināt	compara
salīdzināt	comparar
tiesneši	magistrats
tiesneši	jutges
rex	rex
aģents	agent
žurnāliste	periodista
romans	roman
romans	romà
elektriskais	elèctric
elektriskais	electric
ieee	ieee
atpazīt	reconeixen
atpazīt	reconèixer
atpazīt	reconeixibles
mergedtoprow	mergedtoprow
made	fetes
made	feta
uzrakstīts	escrit
taisnstūra	rectangle
taisnstūra	rectangular
ita}}	ita}}
ūdenskritums	cascada
personība	identitat
personība	personalitat
intensīva	intensius
intensīva	intensiva
intensīva	intensiu
intensīva	intens
maņu	sensorials
maņu	sensorial
pēcnācējiem	descendència
pēcnācējiem	cries
ieslodzījuma	empresonament
ērti	convenient
ērti	calaixera
ērti	còmodes
amsterdamas	amsterdam
modifikācija	modificació
gudrības	saviesa
mute	desembocadura
mute	boca
ziemeļi	nord
sarkani	roig
sarkani	vermell
sarkani	red
optisko	òptic
sauss	secà
noliktava	magatzem
sazināties	contacte
sazināties	comuniqueu
praksi	pràctica
nodoklis	deure
nodoklis	impost
dobumu	cavitats
alvis	alvis
kandidatūru	candidatura
hop	hop
dāma	queen
dāma	reina
dāma	senyora
dāma	dama
ražotāji	productors
ražotāji	fabricants
solis	pas
iedzīvotājs	resident
vērts	dignes
kuģniecības	pujades
vakuuma	buit
hipotēzi	hipòtesi
apvienojas	conflueix
apvienojas	fusiona
apvienojas	fusionar
palikusi	esquerra
palikusi	esquerre
apsūdzēja	imputats
florida	bolvir
florida	florida
matricas	matriu
kopenhāgenā	copenhagen
kopenhāgenā	copenhaguen
luhanskas	luhansk
izīrēts	llogat
finansiāli	financerament
kaķiem	gats
arheologs	arqueòleg
laulība	matrimoni
ieviešana	implementació
sasniegumu	consecució
sasniegumu	assoliment
manipulatoru	manipulador
atšķirties	difereixen
gaz	gaz
nigērijas	nigerià
profesore	catedràtic
profesore	professor
prefektūra	prefectura
iecirknis	compartiment
tcp	tcp
muti	desembocadura
muti	boca
gmbh	gmbh
fails	arxiu
fails	fitxer
redakcijas	editorial
redakcijas	versions
gulbji	swans
slovēnija	eslovènia
copa	copa
peldēt	nedar
solaris	solaris
obama	obama
spuras	aletes
marie	marie
lībekas	lübeck
īzaks	isaac
dārzos	jardins
veicinātu	foster
veicinātu	promoguin
pelēkas	gris
pelēkas	grey
pērkons	tro
inspektors	inspector
ķirzakas	llangardaixos
dejotāja	ballarí
dejotāja	dancer
dejotāja	ballarina
olimpiskajā	olympic
olimpiskajā	olímpic
luters	luther
vāgners	wagner
kursos	cursos
tuksnesis	desert
atzīti	reconeguts
atzīti	reconegut
teritoriālais	territorial
teritoriālais	territorials
dziļš	deep
dziļš	profunds
dziļš	profund
piesaista	atrau
piesaista	atraure
žaunu	gill
dana	dana
dārziņš	jardí
silvija	silvia
silvija	sílvia
izpildītāji	intèrprets
izpildītāji	artistes
pavlovs	pavlov
sausā	secà
sausā	dri
pacientiem	pacients
asp	asp
vienādu	uniforme
izzūd	desapareix
vadims	vadim
mini	mini
sekcija	secció
sekcija	badia
adams	adams
izpaudās	manifestada
ethernet	ethernet
digitālā	digital
bioloģija	biologia
eļļa	oli
frakcija	fracció
saturēt	contenir
saturēt	contenen
bahs	bach
atbalstītāji	simpatitzants
atbalstītāji	partidaris
definīcija	definició
palīgā	auxili
palīgā	ajuda
palīgā	ajut
dzīvsudraba	mercuri
dzīvsudraba	mercury
fiksēts	corregit
fiksēts	fix
fiksēts	fixes
fiksēts	arreglat
mākslīgais	artificial
lādiņu	projectil
cieņu	dignitat
cauna	marten
paplašināta	prorrogat
paplašināta	ampliat
paplašināta	ampliada
paplašināta	ampliat
veselas	sencer
veselas	sencera
apvalks	túnica
falco	falco
frakciju	facció
biļetes	bitllets
biļetes	entrades
dimantu	diamond
dimantu	diamant
izplatīšanās	propagació
izplatīšanās	distribució
izplatīšanās	difusió
atveres	obertures
nikolass	nicholas
nikolass	nicolau
gadījuma	atzar
gadījuma	aleatòria
gadījuma	aleatori
gadījuma	informal
gadījuma	casual
utype	utype
aux	livres
amerikāņi	americans
tīra	purs
tīra	pura
tīra	pur
baumas	rumors
baumas	rumor
izabella	isabel
izabella	isabella
izabella	isabelle
prāga	praga
nogulumu	sedimentàries
nieres	ronyons
nieres	ronyó
pasākuma	mesura
patērē	consumits
patērē	consumit
patērē	consumint
patērē	consumir
patērē	consumeixen
patērē	consumeix
zālamana	salomó
zālamana	solomon
apsūdzēts	imputats
reklāma	publicitat
vikingi	víkings
vikingi	vikings
sidnejas	sydney
munīcijas	municions
munīcijas	munició
plānā	pla
muguru	esquena
mūris	paret
mūris	mur
apzīmējumi	termes
apzīmējumi	condicions
apzīmējumi	llegenda
apzīmējumi	legend
porto	porto
turēt	mantén
polo	polo
laivas	embarcacions
laivas	vaixells
laivas	barques
ģenētiski	genèticament
interscope	interscope
svētdienas	diumenges
mainsnak	mainsnak
eksperimenti	experimentació
eksperimenti	experiments
eksperimenti	experimentació
ievada	introductori
clippers	clippers
leonards	leonard
atpūta	recreació
atpūta	esbarjo
atpūta	oci
atpūta	lleure
atpūta	descansa
atpūta	descans
nirnbergas	nuremberg
dzemdes	úter
dzemdes	prolapse
dzemdes	ventre
saimnieki	masters
saimnieki	amos
saimnieki	amfitrions
tarkovskis	tarkovski
gods	honor
algu	salari
algu	sou
uzplaukums	boom
piramīdas	piràmide
piramīdas	piràmides
publikācija	publicació
publikācija	edició
publikācija	publicant
gps	gps
risinājumi	solucions
teju	gairebé
uzraudzības	vigilància
tīrs	purs
tīrs	pura
tīrs	pur
konflikti	conflictes
konflikti	conflicte
sārmu	alcalina
mijiedarbība	interacció
mijiedarbība	interaccions
kritiski	crític
markss	marx
tulkots	traduït
nintendo	nintendo
jfk	jfk
kurši	curonians
izvietot	emplaçar
izvietot	desplegar
piecpadsmit	quinze
mācīja	imparteix
mācīja	impartit
tipiski	típicament
tipiski	típica
tipiski	típic
teritoriāli	territorialment
spartaks	espartac
laukiem	camps
blīvi	densament
mir	mir
sems	sam
viltus	fals
viltus	false
viltus	falses
viltus	fals
viltus	fake
apmaiņā	interchange
maisījums	barreja
dalīšanās	compartint
automašīna	cotxe
pievienojies	uneix
extra	extra
lēna	slow
lēna	lent
plānus	plans
aizstāvji	defensors
amsterdamā	amsterdam
sīrija	síria
jaunieši	juvenil
jaunieši	jovent
jaunieši	joventut
milzīgs	enorme
milzīgs	tremenda
adatas	agulla
adatas	agulles
tūre	recorregut
tūre	tour
novērtēt	valorar
novērtēt	valorarà
novērtēt	avaluar
novērtēt	avalua
novērtēt	apreciava
intensitāte	intensitat
intensitāte	intensitats
jūdžu	kilòmetre
jūdžu	milla
tulkojumi	traduccions
allmusic	allmusic
sajūta	sentiment
aizdomas	sospitós
aizdomas	sospita
aizdomas	sospites
unikāls	úniques
unikāls	únic
tic	tic
daina	daina
domāja	pensament
pretinieki	opositors
pretinieki	enemics
alba	alba
garsija	garcia
garsija	garcía
indes	verins
pieaugušiem	adults
keita	kate
vienkāršā	simple
vienkāršā	senzill
vienkāršā	elemental
drēzdenes	dresden
cieš	patiment
cieš	sofriment
cieš	patint
cieš	patir
sitiens	disparat
pasliktinājās	deteriorada
adrijas	adriatic
stratēģiski	estratègiques
stratēģiski	estratègic
stratēģiski	estratègica
stratēģiski	estratègics
haizivs	tauró
haizivs	dogfish
kabeļu	cable
interjera	interior
linga	linga
apmatojums	pèl
apmatojums	cabells
sadalīšanās	descomposició
hornets	hornets
itunes	itunes
lūdz	prega
cola	cola
stadija	etapa
stadija	escenari
apsūdzības	imputació
apsūdzības	acusacions
mantu	tonto
rīks	eina
lexikon	lexikon
lokomotīvju	locomotor
komunisti	comunistes
ģeogrāfisko	geogràfic
imperatori	emperadors
xml	xml
gruzija	georgia
gruzija	geòrgia
veģetācijas	vegetació
imdb	imdb
vakaros	vesprades
panda	panda
zīmols	branding
būtnes	éssers
degviela	combustible
piedāvājums	licitació
piedāvājums	tendra
piedāvājums	ofertes
piedāvājums	ofereix
piedāvājums	abastament
piedāvājums	subministrament
piedāvājums	oferta
duets	duets
rīkoties	acte
rīkoties	act
timberwolves	timberwolves
aizmugurējā	posterior
zieds	flor
akcija	compartir
akcija	compartició
akcija	comparteix
novērš	impedeix
novērš	impedeixi
raidījums	emissió
caurules	pipa
caurules	canonada
caurules	pipes
caurules	canonades
caurules	tubs
caurules	tub
kimi	kimi
gauja	gauja
zobiem	dents
uzpildes	omplint
uzpildes	rebliment
ģeogrāfiski	geogràficament
agnese	agnès
agnese	agnes
timbaland	timbaland
cēloņi	causes
āpsis	badger
dziļa	deep
dziļa	profunds
dziļa	profund
nelaimes	accidents
filipīnas	filipines
egons	egon
garšas	gust
garšas	sabors
garšas	sabor
afgāņu	afganesa
svinīgi	solemnement
dabūt	aconsegueix
dabūt	aconseguir
bioloģisko	biològics
bioloģisko	biològic
lašu	salmó
prakses	pràctiques
rīts	matí
magazine	revista
mākonis	núvol
denijs	danny
pulkstenis	rellotge
pulkstenis	rellotge
lēcas	lens
lēcas	lent
lēcas	lents
anastasija	anastasia
pārvadājumi	carruatge
pārvadājumi	transports
pārvadājumi	transport
gviānas	guyana
beznoteces	endorreic
tavs	teva
tavs	teu
saņemts	rebut
saņemts	rebé
saņemts	rebuda
albānija	albània
grafika	gràfics
flora	flora
stabili	estable
svarīgas	important
pārdod	vendre
pārdod	venut
pārdod	venuda
līgumi	contractes
līgumi	tractats
līgumi	acords
grūtniecības	embaràs
pārbaude	comprovant
pārbaude	verificació
pārbaude	test
pārbaude	prova
pārbaude	inspecció
pārbaude	comprovació
vērtējums	valoració
vērtējums	qualificació
vērtējums	puntuació
vērtējums	habilitació
astotā	vuitè
astotā	vuitena
kurss	curs
kurss	rumb
siltums	calor
kursā	curs
kursā	rumb
iemācījies	après
veselība	sanitat
veselība	salut
minardi	minardi
bengālijas	bengala
apmeklētājiem	visitants
vēzis	càncer
fia	fia
golfa	golf
telekomunikāciju	telecomunicacions
telekomunikāciju	telecomunicació
sniegums	actuació
sniegums	rendiment
infrastruktūra	infraestructures
infrastruktūra	infraestructura
dzēriens	beguda
navbox	navbox
tīkli	xarxes
relatīvais	relatiu
sagatavot	prepari
sagatavot	preparar
sagatavot	prepareu
ger}}	ger}}
līdzības	similituds
džimijs	jimmy
definēts	definides
definēts	definit
definēts	definits
equus	equus
uzbrucēju	assaltant
mijiedarbības	interacció
mijiedarbības	interaccions
protokoli	minuts
protokoli	protocols
ieradumi	hàbits
starppilsētu	interurbans
asa	asa
salīdzinājums	comparació
rabīns	rabí
pierādījumi	evidència
futbolisti	futbolistes
pārstāvēt	representar
pārstāvēt	representen
karēlijas	carèlia
klēts	graner
marokas	marroquí
anete	annette
reģistrācija	gravació
reģistrācija	enregistrament
reģistrācija	matriculació
reģistrācija	inscripció
alekss	alex
alekss	àlex
dzintara	amber
dzintara	ambre
konfederācija	confederació
indukcijas	inducció
rūzvelts	roosevelt
tauriņu	papallona
miruši	morts
miruši	dead
piedāvāts	ofert
ierobežot	restringeix
ierobežot	límit
briselē	brussels
vagoni	vagons
vagoni	furgonetes
vagoni	furgons
vagoni	autocars
vagoni	entrenadors
klauss	claus
klauss	klaus
reālā	real
imagesize	imagesize
sasniegta	assolit
sasniegta	aconseguit
sasniegta	assolits
krustā	crucificat
degunradzis	rinoceront
porcelāna	porcellana
traģēdija	tragèdia
nākotni	futur
ieroča	arma
rakstnieki	escriptores
rakstnieki	escriptors
dokuments	document
siu	siu
bruņotajiem	armat
bruņotajiem	armats
dzejolis	poema
izcils	brillant
auduma	teixit
stabilitāti	estabilitat
stunda	hora
skulptūru	escultura
skulptūru	escultures
edu	edu
burgundijas	bourgogne
identitātes	identitats
identitātes	identitat
piemin	mencions
piemin	esmenta
ekspozīcija	exposició
minimālā	mínim
jēga	significat
jēga	sentit
paraugi	models
paraugi	espècimens
paraugi	mostres
zobens	sabre
zobens	espasa
smith	smith
desmiti	desenes
benz	benz
benz	benzo
pframe	pframe
sulas	sucs
sulas	jugo
sulas	suc
klusais	pacífic
klusais	pacific
pastiprina	reforça
teroristu	terrorista
ciematu	poble
ciematu	aldea
akadēmiskais	acadèmica
akadēmiskais	acadèmic
korupcijas	corrupció
krēpes	mane
dārzkopības	horticultura
dārzkopības	hortícoles
dārzkopības	jardineria
valdījumā	possessió
viesi	convidats
ctx	ctx
indiana	indiana
oksīds	òxid
civilizācija	civilització
civilizācija	custodiaven
atslēga	tecla
atslēga	clau
izplešanās	expansió
jāņu	midsummer
skaistas	guapa
cietā	sòlid
pagalmā	pati
sargs	tutor
sargs	guardià
sargs	guardian
sargs	guàrdia
sekunžu	segons
ivo	ivo
slovēņu	eslovena
slovēņu	eslovè
spriedumu	sentència
termini	termes
termini	condicions
prūsija	prússia
varonību	heroics
unikāla	úniques
unikāla	únic
izņēmumi	excepcions
izņēmumi	exclusions
izņēmumi	exempcions
stratēģiskā	estratègiques
stratēģiskā	estratègic
stratēģiskā	estratègica
stratēģiskā	estratègics
konstante	constant
konstante	constants
motīvi	motius
pastāvēšana	existència
saglabāta	desat
saglabāta	salvat
intensitātes	intensitats
ungāri	hongaresos
skautu	scout
skautu	explorador
atkārtot	refà
atkārtot	refés
atkārtot	refer
atkārtot	repeteix
atkārtot	repetició
paulu	paulo
mīksts	suaus
mīksts	soft
mīksts	suau
kampaņa	campanya
konts	compte
slikta	pobre
slikta	pobres
slikta	bad
netieši	indirectes
netieši	indirecte
pelēkās	gris
pelēkās	grey
lūkas	comportes
lūkas	hatch
komēdijas	comedies
piekrīt	accepta
piekrīt	acorda
tipiska	típica
tipiska	típic
viedokļi	dictàmens
viedokļi	miradors
viedokļi	visualitzacions
efekti	efectes
ternopiļas	ternòpil
spējīgi	capaç
spējīgi	capaces
spējīgi	capaços
admirālis	almirall
noteikšana	detecció
noteikšana	determinació
jaunība	juvenil
jaunība	jovent
jaunība	joventut
sat	sat
emi	emi
gilmors	gilmour
rezervē	reservant
rezervē	reserva
serbijā	sèrbia
pārvarēt	superació
pārvarēt	superar
apvienots	combinats
apvienots	combinada
apvienots	combinades
apvienots	combinat
apvienots	fusionat
modo	modo
viesis	convidat
viesis	convidada
limited	limitades
limited	limitat
limited	limitats
ētika	ètica
aspekti	aspectes
aristotelis	aristòtil
panama	panamà
demokrātija	democràcia
migrācija	migració
dzīvokļu	apartaments
atkarīgi	dependent
atkarīgi	addicte
atkarīgi	addicta
tvaiku	vapor
fidži	fiji
coca	coca
goes	goes
trūkumi	deficiències
trūkumi	mancances
trūkumi	deficiències
līdzsvaru	balanç
līdzsvaru	saldo
līdzsvaru	equilibri
pārliecināts	segur
pārliecināts	convençut
pārliecināts	convençuts
konstitūcijā	constitució
interwiki	interwiki
astotais	vuitè
astotais	vuitena
bagātību	fortuna
inovāciju	innovació
uzbrucēji	atacants
uzbrucēji	ofensa
uzbrucēji	ofendre
slepkava	killer
slepkava	assassí
grunts	bottom
grunts	fons
tumšs	fosc
bremzēšanas	frenada
investīcijas	inversió
investīcijas	inversions
rtu	rtu
valka	valka
pārbauda	comprovant
pārbauda	verifica
pārbauda	verificació
pārbauda	comprovació
ženēvā	ginebra
patiesība	cert
patiesība	true
patiesība	veritat
ieņēmumi	rebuts
ieņēmumi	ingrés
ieņēmumi	ingressos
iegūšana	adquirint
iegūšana	extracció
iegūšana	adquisició
dārzi	jardins
statujas	estàtues
bordo	bordeus
bordo	borgonya
atļauta	autoritzat
atļauta	autoritzades
atļauta	autoritzats
atļauta	autoritzada
atļauta	permesos
atļauta	permès
audzes	formacions
trešdaļas	terços
atkarīgas	dependent
lada	lada
veikala	botiga
vīni	vins
velns	dimoni
velns	devil
velns	diable
zinu	zee
taizemes	thai
pērtiķi	micos
aizstāt	reemplaça
aizstāt	substitueix
apvienošanos	fusions
godalgas	premis
pārbaudi	comprovació
benzola	benzè
slavenais	famós
slavenais	famosos
testa	test
testa	prova
sadarboties	cooperar
gatavi	preparats
gatavi	preparat
gatavi	preparades
kirils	kirill
izplatīt	distribueix
amerika	amèrica
amerika	amèrica
matricu	matriu
vērtīga	valuós
vērtīga	valuosa
lielgabali	canons
toni	toni
toni	to
toni	matís
sabrukšanas	decaïment
emocijas	emoció
emocijas	emocions
audzināšanas	educar
palestīnā	palestina
izlaist	salta
izlaist	omet
bezkrāsains	incolor
atklājumi	descobriments
zilonis	elefant
pakļaut	exposar
izstrādājumi	articles
izstrādājumi	productes
izstrādājumi	preparatius
misūri	missouri
gatava	preparats
gatava	preparat
gatava	preparades
apstrāde	tramitació
