검토하기	pregled
떠나기	ostavljajući
떠나기	napuštanje
떠나기	ostavivši
푸리에	fourier
농도	koncentracije
농도	koncentracije
농도	koncentracija
농도	koncentraciju
농도	dubina
농도	dubinu
농도	dubine
농도	dubini
코코	nos
코스타	costa
폴라	paula
다이오드	dioda
엘레나	elena
샘플링	uzorak
샘플링	uzorka
샘플링	uzorku
지평선	horizont
팬더	panda
팬더	panther
튜브	cijev
홍대	hong
레저	ledger
레저	rekreativnih
마르코프	markov
직위	pozicija
직위	položaj
직위	pozicija
직위	pozicije
직위	položaje
직위	pozicijama
비아	putem
비아	preko
진흙	blato
쿼터	četvrtina
쿼터	kvartal
쿼터	četvrt
쿼터	četvrtinu
헐리우드	hollywood
케리	kerry
모모	momčilo
모모	momo
적응	adaptivna
적응	adaptacija
레니	lenny
체이스	chase
인디아	indija
흡연	pušenje
복권	lutrija
양키	yankee
로마노프	romanov
자율	autonomni
섀도우	sjeni
피아트	fiat
블레이크	blake
이방인	stranac
아드리안	adrian
포르쉐	porsche
벤처	poduhvat
부스	booth
대머리	bjeloglavi
마티아스	matthias
스탬프	pečat
베트남어	vijetnamski
드러낸다	otkriva
에메랄드	smaragdno
아프로	afro
색인	indeks
파우스트	faust
테두리	granica
하퍼	harper
카우보이	kauboj
카우보이	cowboys
부탄	butana
로이스	reuss
로이스	royce
로이스	lois
목차	sadržaj
서류	papire
국수	noodles
결핵	tuberkuloze
불평등	nejednakost
불평등	nejednako
비정규	nekonvencionalne
남용	zloupotreba
남용	zlostavljanja
남용	zlostavljanje
남용	zloupotrebu
화해	pomirenja
화해	pomirenje
편집기	editor
편집기	urednik
편집기	urednika
줄무늬	pruge
벅스	bak
벅스	baje
니컬러스	nicholas
모듈러	modular
베일	bale
베일	veo
베일	vale
사드	saad
사드	sard
퇴직	penzionisanja
퇴직	penzionisanje
퇴직	penzionisan
퇴직	penzionisani
포인터	kursor
포괄적	sveobuhvatan
포괄적	sveobuhvatna
재활	rehabilitaciju
재활	obnovu
통증	bol
통증	bolove
통증	bolovi
마당	dvorišta
플랫	ravan
플랫	ravne
크로스오버	over
복합체	kompleksan
복합체	kompleks
복합체	kompleksna
복합체	jedinjenje
카누	kanu
시그널	signal
더그	dag
앵커리지	anchorage
숨겨져	skriven
숨겨져	skriveni
숨겨져	skrivena
찾아보기	pregledanje
찾아보기	otkriti
찾아보기	otkriju
찾아보기	otkrili
찾아보기	otkrije
어디서나	svuda
생년월일	birthdate
블레어	blair
니콜라우스	nicholas
댓글	komentara
댓글	komentar
댓글	komentari
댓글	komentarima
아래쪽	donjem
아래쪽	niže
아래쪽	niži
아래쪽	ispod
아래쪽	dno
플로피	flopi
수족관	akvarij
콜라	coke
콜라	kolu
콜라	cola
조달	nabavke
조달	nabavku
미드	mead
미드	sredinom
리바운드	protivnapada
검출	detekciju
손상된	oštećeni
손상된	oštećeno
손상된	oštećen
걷고	walking
범죄자	zločinaca
범죄자	krivično
명성	slavnih
명성	fame
명성	ugled
입술	usne
입술	usana
마티	marty
섀넌	shannon
농부	poljoprivrednici
농부	poljoprivrednike
농부	poljoprivrednicima
농부	farmera
호위	pratnja
호위	eskort
베니	beni
비선형	nonlinear
응급	vanredna
카즈오	kazuo
스무	dvadeset
실린더	cilindar
우분투	ubuntu
리타	rita
손해	gubitke
손해	gubici
손해	štetu
손해	oštećenja
손해	štete
손해	oštećenje
버추얼	virtualna
버추얼	virtuelna
버추얼	virtualni
어시스트	pomaže
어시스트	asistencija
브람스	brahms
아이비	ivy
스플리트	splitsko
스플리트	split
스플리트	splitska
베이컨	bacon
코니	connie
혈관	plovila
치프	načelnik
치프	glavni
치프	šef
노스웨스턴	sjeverozapadu
에베레스트	everest
타원형	eliptična
마일스	miles
마일스	milja
마일스	km
디나르	dinar
리처드슨	richardson
마인드	umovi
노래방	karaoke
피드백	feedback
공지	primjeti
공지	hadis
공지	primijetiti
공지	najavama
잠금	brava
바하마	bahamas
바하마	bahama
설리번	sullivan
훌리오	julio
루니	rooney
무례한	nepristojan
매트	met
매트	matt
매트	mate
항아리	jar
엘런	ellen
엘런	elen
지불	plaćanje
지불	platiti
지불	plaćaju
지불	plati
지불	plate
지불	plaćanje
지불	isplata
감지	detekciju
네이션	nacija
통역	prevodilac
연습생	praksu
연습생	praksi
연습생	praksom
연습생	praksa
민병대	vojnica
워프	warp
갈라	gala
아브라함	ibrahim
아브라함	ibrahim
아브라함	abraham
아브라함	ibrahima
전갈자리	scorpio
아리스토텔레스	aristotel
체계적	sistematskog
체계적	sistematsko
크로니클	hronika
물고기자리	ribe
가까워	bliže
가까워	bliža
자격증	certification
자격증	kvalifikacije
자격증	kvalifikacija
자격증	certificirani
가정교사	tutor
매리너	mariner
남서	jugozapadnom
남서	jugozapad
남서	jugozapadne
남서	jugozapadna
벤치	klupi
벤치	klupa
스완	labud
흔적	trag
흔적	tragovi
흔적	trag
흔적	tragovi
흔적	stazama
에드먼턴	edmontonu
말라위	malavi
캐치	uhvati
비자	vize
비자	viza
세르비아인	srpska
세르비아인	srpski
세르비아인	srbi
세르비아인	srpski
플루트	flauta
넷스케이프	netscape
오늘도	danas
파서	parser
부모님	roditelji
부모님	roditelja
부모님	roditelj
스위프트	swift
수류탄	bombu
수류탄	granata
콜렉션	zbirka
콜렉션	kolekcija
콜렉션	collection
몬테레이	monterrey
펀자브	punjab
단락	paragraf
무제한	neograničeno
숨김	skriven
숨김	skriveni
숨김	skrivena
메사	meša
매기	maggie
귀도	guido
거품	mehurići
거품	mjehur
랠리	skupu
랠리	skup
닫습니다	zatvori
닫습니다	blizu
닫습니다	bliskoj
닫습니다	bliski
닫습니다	blizak
닫습니다	bliska
닫습니다	zatvara
독립기념일	nezavisnost
스캇	scott
배너	banner
억제	inhibicija
억제	suzbijanje
억제	inhibitor
방학	odmor
사우샘프턴	southampton
베네딕트	benedikt
베네딕트	benedikta
도달	postigli
도달	postignutim
도달	dostići
도달	dostiže
도달	dostigne
가정부	služavka
플레어	baklje
플레어	bakljom
인덱스	indeks
플라워	cvijet
아메드	ahmed
리비우	lavov
배운다	uče
배운다	nauči
배운다	uči
배운다	learn
멤버들	članovi
애정	naklonosti
위트레흐트	utrecht
볼륨	volumen
볼륨	tomova
파도	talasi
파도	talas
엘프	vilenjaci
엘프	elves
웬디	wendy
백조	labudova
백조	labud
스노우	snijeg
거스	gus
출판물	objavljivanja
출판물	objavljivanje
출판물	publikacija
타라	tara
마르코스	markos
마르코스	marcos
바빌론	babilon
반체제	disident
중성미자	neutrino
베일리	bailey
다코타	dakota
페니	peni
혼돈	konfuzije
혼돈	haos
워렌	warren
브라보	bravo
볼프	wolf
볼프	vuk
볼프	vuka
하이라이트	naglasili
하이라이트	naglašena
하이라이트	istakla
하이라이트	osvjetljava
하이라이트	isticanja
하이라이트	istaknuta
바닐라	vanilla
두뇌	mozak
손오공	goku
알란	alan
망치	čekić
주디	judy
대각선	diagonal
피타고라스	pitagora
지리학	geografija
멜로	melo
카레	kari
지브롤터	gibraltara
전자제품	elektronika
재산권	imovine
재산권	vlasništvo
재산권	imovina
재산권	imovinu
재산권	imovinska
유스티니아누스	justinijan
글래스	staklo
뱅크스	banke
컴팩트	compact
장애물	skakanje
장애물	prepreka
장애물	prepreku
장애물	prepreka
장애물	prepreke
복숭아	peaches
복숭아	breskva
사용법	upotreba
자정	ponoć
자정	ponoći
자정	ponoćno
분사	injekcijom
싸이	psy
절단	amputacija
프로토타입	prototip
템플	hram
웰스	welles
웰스	vels
웰스	wells
에덴	eden
지뢰	rudnici
지뢰	mina
지뢰	mine
피보나치	fibonacci
에두아르도	eduardo
코브라	cobra
코브라	kobra
플라톤	platon
항생제	antibiotik
정서	emocija
현미경	mikroskop
민트	mint
트로이아	troja
육체	meso
칩셋	chipset
아이튠즈	itunes
컨셉	pojam
컨셉	koncepti
트레이딩	trgovanje
중요성	važnost
중요성	važnosti
중요성	značaj
제우스	zeus
전화번호	telefon
긴장	nervni
긴장	tenzije
긴장	tenzija
워털루	waterloo
지다	džedda
노구치	noguchi
질투	ljubomoran
질투	ljubomore
질투	jealousy
안젤로	angelo
안젤로	angela
지부티	džibutija
개선하기	unaprijediti
개선하기	poboljšaju
개선하기	improve
플라스마	plazma
플라스마	plazme
수평으로	horizontalno
몽골족	mongoli
몽골족	mongolsko
프라이스	cijena
불규칙	nepravilna
사자자리	lav
사자자리	leo
스테파니	stefanie
스테파니	stephanie
킬로그램	kilogram
볼프스부르크	wolfsburg
타당성	validnost
바니	barney
디아스	díaz
디아스	diaz
볼리바르	bolivar
볼리바르	bolívar
엘렌	ellen
엘렌	elen
천하무적	invincible
모방	imitacije
랜드마크	obilježje
그놈	gnome
용접	weld
수프	čorba
측도	mjera
측도	mjeri
리라	lira
리라	lyre
트와일라잇	sumrak
나탈리	natalie
대문자	uppercase
대문자	capitalization
에밀리오	emilio
우크라이나인	ukrajinci
악용	zloupotreba
악용	zlostavljanja
악용	zlostavljanje
악용	zloupotrebu
콕스	cox
초보자	beginners
초보자	novice
남동	jugoistočna
남동	jugoistočna
바부다	barbuda
카슈미르	kašmir
블리치	bleach
수수	sorghum
히타이트	hetiti
히트맨	hitman
버니	berni
토레스	torres
에리트레아	eritreja
엘비스	elvis
텔레노벨라	telenovela
귀한	rijetki
귀한	rijetko
대리인	čuvari
대리인	agens
대리인	agent
리베라	rivera
성기	penis
복수형	množina
양수	pozitivna
양수	pozitivan
양수	pozitivne
양수	pozitivni
피카츄	pikachu
불가피한	neizbježna
바바라	barbara
콤보	combo
레아	reja
레아	lea
아톰	atom
마시기	piju
마시기	pio
마시기	piće
류블랴나	ljubljana
위생	sanitarne
위생	higijenskih
팩터	zin
팩터	faktor
올라프	olaf
사구	dine
사구	dune
노예제	rob
노예제	ropstva
아쉬운	lak
아쉬운	lako
아쉬운	lahko
아쉬운	polahko
인류학	antropologija
레이어	slojeva
레이어	slojevi
레이어	sloj
집착	opsesija
집착	opsesije
집착	obsessed
음주	piju
음주	pio
음주	piće
가입자	pretplatnika
아이누	ainu
스프린트	sprint
호프만	hoffman
호프만	hofman
팍스	paks
불만	pritužbi
불만	nezadovoljstvo
불만	tužba
불만	tužbi
불만	tužbe
불만	nezadovoljstvo
패티	patti
패티	peti
에이커	acre
에이커	hektara
광둥어	yue
조차도	čak
가루	prah
가루	praha
구출	spašavanja
구출	spašavanje
명소	atrakcija
명소	atrakcije
명소	znamenitosti
리히터	richter
아르곤	argon
웨슬리	wesley
니제르	niger
퀸시	quincy
숭배	kult
숭배	mesdžida
독성	otrovni
독성	toksičnost
트릭	trik
트릭	trikova
코멘트	komentara
코멘트	komentar
영사	konzul
루안다	luanda
휘슬러	whistler
도난	ukradene
도난	ukraden
도난	krađe
도난	krađa
유명인	poznati
유명인	poznata
유명인	poznat
유명인	poznate
유명인	slavni
웨어	ware
그라츠	graz
치사	ubistva
탬파	tampa
팔라우	palau
카리스마	harizma
카리스마	harizmatičan
주스	sok
주스	sokovi
자치령	vlast
매니토바	manitoba
헤이	hej
펌웨어	firmware
준수	uskladi
중서부	srednjem
티나	tina
펀드	fond
펀드	sredstva
펀드	fondovi
종속	zavisna
종속	zavisnosti
종속	zavisnost
종속	zavisnosti
체코어	češki
알레그로	allegro
소주	soju
설문	ankete
설문	anketa
설문	ankete
행크	hanka
규소	silicij
위임	delegacija
슈나이더	schneider
걸음	korak
걸음	koraka
걸음	koraci
세븐틴	sedamnaest
주머니	džepu
주머니	džepa
덮개	pokriti
덮개	pokrivaju
덮개	pokriće
노키아	nokia
톰프슨	thompson
파푸아	papua
록펠러	rockefeller
이고르	igor
맑음	jasni
맑음	jasnih
맑음	jasno
맑음	jasna
맑음	jasan
맑음	sunčan
맑음	sani
직사각형	pravougaonik
직사각형	pravougaonih
최소화	minimizirati
재미	fun
재미	zabava
산화물	oksidi
히스	heath
미치	mich
몰수	oduzimanje
드라큘라	drakula
악화	pogoršanje
악화	gorom
악화	gore
악화	gori
악화	gora
커크	kirk
경매	aukciji
경매	aukcija
경매	aukcije
테오도시우스	theodosius
콘티넨탈	kontinentalna
콘티넨탈	kontinentalni
브릿지	mostove
브릿지	mostovi
브릿지	mostova
칵테일	koktel
머무르고	ostala
머무르고	ostati
머무르고	ostanu
머무르고	boravka
도표	dijagram
동남아	jugoistočna
생산성	produktivnost
생산성	produktivnosti
프리웨어	freeware
카트만두	katmandu
프라이	fry
스팀	parni
스팀	parna
유리카	erika
유리카	erica
대백과사전	enciklopedija
마지	marge
언더우드	underwood
네이티브	rodnoj
손잡이	knob
손잡이	drškom
고릴라	gorile
고릴라	gorile
당뇨병	šećerna
당뇨병	dijabetes
유방	dojke
보완	komplementarni
좋아요	ok
웃음	smijeh
웃음	smije
루가	luke
루가	luk
콜론	colón
아이유	dijete
피에몬테	pijemont
먹어	jedi
먹어	eat
먹어	jede
먹어	jedu
브랜던	brandon
기병대	konjica
리아	lea
리아	lea
리아	leah
리아	lia
프롬	prom
부호화	kodiraju
트랜잭션	transakcija
트랜잭션	transakcija
우려	zabrinutosti
우려	zabrinutost
루즈벨트	roosevelt
입국	dolazak
칠리	chili
불신	kufr
가방	kesa
가방	bag
가방	kesica
소크라테스	sokrat
조선소	brodogradilišta
나가기	izlaz
나가기	exit
몬테	monte
출판됨	objavljenog
출판됨	objavljen
출판됨	objavljene
출판됨	objavljeni
출판됨	objavljena
변종	varijanta
리프트	raskol
리프트	lift
리프트	podići
리프트	podigne
현대그룹	hyundai
도시락	ručak
목적지	odredište
목적지	destinacija
목적지	destinacije
보정	korekcija
보정	korekcija
데일	dale
미스틱	mystic
모리슨	morrison
펜스	pence
표시하기	prikaz
지킨	keane
목걸이	ogrlicu
벨리즈	beliz
만족	zadovoljstvo
만족	pribavlja
만족	zadovoljan
등기	registrovan
등기	registrovana
안젤라	angela
연주회	koncerti
연주회	koncert
팽창	dilatacija
팽창	proširenje
좌표계	koordinate
활성	aktivna
활성	aktivni
활성	aktivan
섹시	sexy
까마귀	crow
까마귀	gavran
까마귀	raven
마이크로아키텍처	mikroarhitektura
나이프	nož
측량	geometar
훔쳐	ukrasti
훔쳐	krade
일러스트레이터	illustrator
북동	sjeveroistoku
조개	školjke
지오	gia
지오	geo
웁살라	uppsala
바베이도스	barbadosa
플라이어스	flyers
채팅	chat
아디다스	adidas
테라	terra
계산기	računar
에디터	editor
에디터	urednik
에디터	urednika
부끄러운	srama
오마하	omaha
엔트로피	entropija
바덴	baden
성교	spol
클린트	clint
스푸트니크	sputnik
대수학	algebra
다국어	multilingual
골짜기	dolina
연구자	istraživač
연구자	istraživači
공작부인	vojvotkinja
브르타뉴	bretanje
브르타뉴	breton
엘람	elam
아바	ava
모터스포츠	motorsport
베로니카	veronika
베로니카	veronika
크리드	vjere
천연두	boginje
탄산	karbonat
사파리	safari
스탭	osoblje
