ניומן	নিউম্যান
ברצינות	সত্যি
הוואי	হাওয়াই
חסום	ব্লক
חסום	স্তম্ভ
חסום	অবরুদ্ধ
יעדים	টার্গেট
יעדים	লক্ষ্যগুলি
יעדים	লক্ষ্য
יעדים	গন্তব্য
ורד	গোলাপের
ורד	গোলাপ
ורד	রোজ
חילוץ	নিষ্কাশন
חילוץ	আহরণ
חילוץ	সম্প্রসারণ
חילוץ	উদ্ধার
תפוצה	পৌঁছানো
תפוצה	পৌঁছান
תפוצה	নাগাল
תפוצה	পৌঁছায়
תפוצה	রিচ
תפוצה	পৌঁছাতে
ביצורים	fortification
ביצורים	প্রাণীদের
תפוח	পেল
תפוח	আপেল
תפוח	apple
תפוח	অ্যাপল
מצרית	মিশরের
מצרית	মিসরীয়
מצרית	ইজিপশিয়ান
מצרית	মিশরীয়
להתאמן	চর্চা
להתאמן	অনুশীলন
לאפס	রিসেট
יישומים	অ্যাপ্লিকেশন
יישומים	অ্যাপলিকেশন
יישומים	অ্যাপ
יישומים	অ্যাপস
ספרייה	লাইব্রেরী
ספרייה	গ্রন্থাগার
ספרייה	পাঠাগার
ספרייה	লাইব্রেরি
פוטבול	ফুটবল
מועדפת	পছন্দের
מועדפת	পছন্দনীয়
מועדפת	প্রিয়
מועדפת	পছন্দের
מועדפת	পছন্দসমূহ
אחראים	দায়ী
אחראים	responsible
אחראים	দায়িত্ববান
אחראים	দায়িত্বশীল
נגזרת	derivation
מצריים	মিশর
מחסה	আশ্রয়
מחסה	আশ্রয়স্থল
ריבר	নদী
ריבר	রিভার
קמפבל	ক্যাম্পবেল
אלבניה	আলবেনিয়া
נמלים	পিঁপড়ে
השרירים	পেশি
נוזלים	তরল
הפסחא	ইস্টার
רוברטו	রবার্তো
איסטנבול	ইস্তানবুল
איתור	অনুসরণ
איתור	অনুসরণকারী
איתור	ট্র্যাকিং
צופן	কোড
צופן	সাইফার
גאולה	মুক্তি
גאולה	পরিত্রাণ
רעה	খারাপ
רעה	বাজে
המסגרת	ফ্রেম
המסגרת	কাঠামো
רוכב	রাইডার
רוחו	রোহো
בעצמי	নিজের
בעצמי	নিজেকে
בעצמי	নিজেই
בעצמי	নিজে
מצלמה	ক্যামেরা
העמודים	স্তম্ভ
יושבת	বসে
יושבת	বসা
עודף	উদ্বৃত্ত
עודף	পরিবর্তন
עודף	পাল্টে
העצב	স্নায়ু
פוסטר	ফস্টার
לסמוך	ভরসা
האבל	হাবল
האבל	শোক
בלייק	ব্লেক
אסר	নিষিদ্ধ
בחינה	পরীক্ষা
בחינה	পরিক্ষার
בחינה	পরীক্ষার
מאבד	হারায়
התקדם	advance
התקדם	অগ্রীম
התקדם	অগ্রিম
התקדם	আগাম
השדות	ক্ষেত্র
השדות	ক্ষেত্রগুলি
השתנתה	পরিবর্তিত
בלעדי	বিশেষ
נשבר	ভেঙে
נשבר	ভাঙ্গা
נשבר	ভাঙা
נשבר	ভেঙ্গে
נשבר	অচল
נשבר	ভেঙে
נשבר	সর্বস্বান্ত
נשבר	ভেঙ্গে
איליה	ইলিয়া
איליה	এলিয়া
נעלמו	গেছে
אוילר	অয়লার
טיטוס	তিতাস
הניסוח	phrasing
לואיז	লুইজ
לואיז	লুইস
פסולת	ধ্বংসাবশেষ
פסולת	নষ্ট
רגלי	পা
רגלי	pawn
בארט	ব্যারেট
אימוץ	দত্তক
מופעל	সক্রিয়
מופעל	চালিত
רווחים	স্পেস
רווחים	আয়
רווחים	উপার্জন
רווחים	লাভজনক
רווחים	লভ্যাংশ
רווחים	লাভ
בוחן	কুইজ
ויל	করবে
ויל	করবো
ויל	দেবো
ויל	করবি
אוהל	তাবু
אוהל	তাঁবু
אוהל	তাবু
אוהל	তাঁবু
אפריקאית	আফ্রিকান
דיזל	ডিজেল
אוסטרלי	অসি
אוסטרלי	অস্ট্রেলিয়ান
לוסי	লুসি
ליאון	লিওন
ליאון	লিয়ন
יביא	আনতে
אוצרות	ভান
אוצרות	কোষাগার
עצמאיות	ইন্ডিপেন্ডেন্ট
עצמאיות	স্বাধীন
בריא	সুস্থ্য
בריא	স্বাস্থ্যবান
בריא	সুস্থ
בריא	স্বাস্থ্যকর
תאודור	থিওডোর
ניקסון	নিক্সন
סלים	সেলিম
סלים	পাতলা
סלים	স্লিম
סלים	ঝুড়ি
סלים	সেলিম
סלים	সালিম
חוקיות	লিগাল
חוקיות	আইনি
חוקיות	আইনী
להתחתן	বিয়ে
להתחתן	বুধ
פיליפס	ফিলিপস
פיליפס	ফিলিপস
מסובך	কৌশলী
מסובך	জটিল
תיעודי	ডকুমেন্টারি
תיעודי	প্রামাণ্যচিত্র
דיכאון	বিষন্নতা
דיכאון	অবসাদ
דיכאון	বিষণ্ণতা
להרים	লিফট
אסיר	বন্দী
אסיר	কয়েদী
אסיר	কারাবন্দী
אסיר	আসামী
קתולי	ক্যাথলিক
אפריקאים	আফ্রিকানদের
במול	সমান্তরাল
במול	ফ্ল্যাট
במול	ফ্লাট
לית	লেই
כוס	কাপ
מילוי	ফিলিং
אמריקנים	আমেরিকানদের
אמריקנים	আমেরিকানরা
אמריקנים	আমেরিকান
סינגפור	সিঙ্গাপুর
השומרים	গার্ডিয়ান
יושבים	বসে
יושבים	বসা
מצלמות	ক্যামেরা
התעללות	নির্যাতিত
התעללות	অবমাননাকর
התעללות	নির্যাতন
התעללות	অপব্যবহার
רגש	আবেগ
רגש	আবেগপূর্ণ
רגש	আবেগী
רגש	আবেগপ্রবণ
מראות	আয়না
תרגיל	ড্রিল
תרגיל	ব্যায়াম
הוסר	অপসারিত
מחמוד	মাহমুদ
מחמוד	মাহমুদ
התמחות	ইন্টার্নশিপ
הנבחר	মনোনীত
גרי	গ্যারি
המתמחה	ইন্টার্ন
נבל	ভিলেন
נבל	বীণা
כרטיסים	টিকিট
כרטיסים	টিকিটগুলি
כרטיסים	কার্ড
כרטיסים	তাস
מרתון	ম্যারাথন
המפקח	ইন্সপেক্টর
דרבי	ডার্বি
גנרלים	জেনারেল
משפיעה	প্রভাবশালী
בורוסיה	বরুসিয়া
מונרו	মনরো
מחסום	বাধা
השרת	সার্ভার
שגרירות	দূতাবাস
אוהבים	প্রেমীদের
אוהבים	প্রেমী
חצות	মধ্যরাত
ההכנות	প্রস্তুতি
הפיצוץ	বিস্ফোরণ
זיכרונות	স্মৃতি
אוכלים	খাচ্ছে
אוכלים	খাওয়া
אוכלים	খাওয়ার
היוזמה	উদ্যোগ
היוזמה	উদ্যোগী
היוזמה	ইনিশিয়েটিভ
נאצים	নাৎসিরা
התעמולה	প্রচারণা
אורה	ওরা
אורה	ora
בירד	পাখি
שיפורים	উন্নতি
קור	ঠান্ডা
קור	ঠাণ্ডা
קור	কোল্ড
קור	kor
קור	cor
סיון	সিভান
סוויפט	সুইফট
רוד	রড
ציינו	উল্লেখিত
תראה	দেখ
תראה	চেহারা
תראה	দেখো
נסה	চেষ্টা
פצצה	বোম
פצצה	বোমা
מינימום	সর্বনিম্ন
פנימה	ভেতর
פנימה	ভিতর
פנימה	অভ্যন্তরে
פנימה	ভিতরে
פנימה	ভেতরে
צפה	দেখেছেন
צפה	ভেসে
צפה	ফ্লোটিং
צפה	ভাসমান
צפה	দেখবেন
צפה	দেখুন
צפה	প্রদর্শন
צפה	দেখুন
צפה	ভিউ
טיפולים	চিকিত্সা
צרה	সমস্যা
צרה	সমস্যায়
צרה	ঝামেলা
צרה	সংকীর্ণ
צרה	সরু
ממדית	মাত্রিক
זהירות	সাবধান
ריימונד	রেমন্ড
סאם	স্যাম
סאם	sam
סעד	সাদ
שוחד	ঘুষ
שוחד	ঘুষ
שוחד	ঘুষ
אוטונומיה	স্বায়ত্তশাসন
ירמיהו	jeremiah
להודיע	সূচিত
שמאלה	বাঁদিক
שמאלה	রেখে
שמאלה	বাম
שמאלה	বাঁদিকে
אנטארקטיקה	অ্যান্টার্কটিকা
נחמה	ছটফট
נחמה	আরাম
נחמה	সান্ত্বনা
נחמה	সান্ত্বনা
נחמה	সান্ত্বনা
היוקרתי	অভিজাত
היוקרתי	মর্যাদাপূর্ণ
גנטי	জেনেটিক
בוני	বনি
בוני	বনি
ורנר	ভের্নার
סת	seth
סת	সেথ
סת	শেঠ
פרעה	ফারাও
פרעה	ফেরাউন
אנכי	উল্লম্ব
אנכי	উলম্ব
הבלטי	বাল্টিক
מתחרה	প্রতিদ্বন্দ্বী
מתחרה	প্রতিযোগী
שוטף	অনর্গল
עט	পেন
עט	কলম
עט	pen
שומע	শুনি
שומע	শুনার
שומע	শুনতে
הנהג	ড্রাইভার
הנהג	চালক
דרמטי	নাটকীয়
גידולים	টিউমার
מחתרת	ভূগর্ভস্থ
מחתרת	প্রতিরোধের
מחתרת	প্রতিরোধ
ליטר	লিটার
נצרות	খ্রিষ্টান
נצרות	খ্রিস্টান
נצרות	ক্রিশ্চিয়ান
נצרות	খ্রীষ্টান
נצרות	ক্রিস্টিয়ান
נצרות	খ্রীষ্টধর্ম
זול	সস্তা
גיבורים	বীর
בטן	উদর
בטן	বেলি
בטן	পেটের
בטן	পেট
בטן	পেটে
בטן	পেট
תקרית	ঘটনাবলী
תקרית	ঘটনা
נוגה	ভেনাস
מגמות	ট্রেন্ড
מגמות	প্রবণতা
מרובע	quad
מרובע	বর্গ
מרובע	বর্গক্ষেত্র
מרובע	চতুর্ভূজ
מרובע	বর্গাকার
קלייר	ক্লেয়ার
חורים	গর্ত
צייד	শিকারি
צייד	হান্টার
צייד	শিকারী
צייד	শিকার
דמיטרי	দিমিত্রি
מסלולים	রাউট
מסלולים	ট্র্যাক
תקליט	রেকর্ড
ביירות	বৈরুত
מסכימה	রাজি
מסכימה	একমত
מסכימה	রাজী
מסכימה	সম্মত
מסכימה	রাজি
מסכימה	একমত
דיאנה	ডায়ানা
חיטה	গম
קלף	কার্ড
רוקי	রকি
תקוה	হোপ
תקוה	আশা
מוט	মেরু
חליל	বাঁশি
חליל	বাঁশী
חליל	খলিল
משקף	প্রতিফলিত
משקף	প্রতিফলিত
משקף	প্রতিফলিত
משקף	প্রতিফলিত
אסטרטגי	কৌশলগত
נכחד	বিলুপ্ত
רוחנית	আধ্যাত্মিক
סתירה	পরস্পরবিরোধী
סתירה	অসঙ্গতি
אהבתי	ভালবেসে
משלוח	বিতরণ
משלוח	ডেলিভারি
משלוח	পাঠানো
משלוח	শিপিং
דילן	ডিলান
לחיזוק	জোরদার
סטריט	সড়ক
סטריט	রাস্তা
סטריט	সরণি
בפורטוגזית	পর্তুগিজ
וגאס	ভেগাস
רדיוס	ব্যাসার্ধ
לסטר	লিচেস্টার
לסטר	লেস্টার
אלכסנדריה	আলেকজান্দ্রিয়া
אוגנדה	উগান্ডা
האמירויות	এমিরেটস
האמירויות	আমিরাত
פרווה	পশম
הבריחה	অব্যাহতি
הבריחה	এস্কেপ
הבריחה	escape
פיגועים	আক্রমন
התחלתי	শুরু
תדירות	ফ্রিকোয়েন্সি
אבחון	নির্ণয়
אבחון	নির্ণয়
אירופי	ইউরোপিয়ান
אירופי	ইউরোপীয়
משתתפת	অংশগ্রহন
משתתפת	অংশগ্রহণ
צרכים	প্রয়োজনে
צרכים	প্রয়োজন
קרנות	ফান্ড
קרנות	তহবিল
קרנות	হর্ণ
התודעה	চেতনা
הקיום	অস্তিত্ব
יוצאות	বহির্গামী
אינטרסים	আগ্রহ
רוברטס	রবার্টস
באדן	বাডেন
דלתא	ডেল্টা
תואם	সামঞ্জস্যপূর্ণ
תואם	মিল
תואם	ম্যাচিং
גולד	সোনা
גולד	সোনার
גולד	সোনালি
גולד	স্বর্ণ
גולד	গুল্ড
דוכסות	duchy
קית	কেইথ
קית	কিথ
ציריך	জুরিখ
ציריך	জুরিখ
נלהב	উৎফুল্ল
נלהב	উৎসাহী
נלהב	আবেগী
נלהב	উৎসাহী
מקסימלי	সর্বোচ্চ
מקסימלי	সর্বাধিক
מסגרות	ফ্রেম
דקדוק	ব্যাকরণগত
דקדוק	গ্রামার
דקדוק	ব্যাকরণ
אלקטרוניקה	ইলেকট্রনিক্স
אלקטרוניקה	ইলেকট্রনিক
אלקטרוניקה	ইলেক্ট্রনিক্স
נאש	ন্যাশ
אפריקני	আফ্রিকান
דלה	della
שודדי	ডাকাত
אוסטרלים	অস্ট্রেলীয়
צמיחה	বৃদ্ধি
צמיחה	প্রবৃদ্ধি
שוחט	কসাই
הרצף	অনবচ্ছেদ
רוזה	রোসা
רוזה	রোজা
הפסנתר	পিয়ানো
הקמפיין	প্রচারাভিযান
הקמפיין	প্রচার
הקמפיין	প্রচারণা
פקיד	ক্লার্ক
להירשם	নিবন্ধন
להירשם	রেজিস্টার
שפם	গোঁফ
שפם	গোঁফ
עצר	বন্ধ
עצר	স্থগিত
נכשלה	ব্যর্থ
נכשלה	বিফল
רומנטית	রোমান্টিক
רומנטית	রোম্যান্টিক
תו	উল্লেখ্য
תו	টীকা
תו	নোট
תו	চিরকুট
תו	চরিত্র
תו	অক্ষর
ברונו	ব্রুনো
אדגר	এডগার
סידן	ক্যালসিয়াম
עוצב	পরিকল্পিত
סימטריה	প্রতিসাম্য
צעירות	তরুণী
צעירות	যুবক
צעירות	যুবতী
צעירות	তরুন
צעירות	তরুণ
זורמים	প্রবাহিত
מושלמת	নিখুঁত
מושלמת	উপযুক্ত
מושלמת	যথাযথ
מושלמת	নির্ভুল
מושלמת	পারফেক্ট
ידעה	জানত
ידעה	জানতাম
לוקחת	নিচ্ছে
יומני	ডায়েরি
יומני	ডায়েরী
יומני	ডায়রি
עמוקים	ডীপ
עמוקים	গভীর
עמוקים	ডিপ
ספורטאי	ক্রীড়াবিদ
ספין	স্পিন
כחולה	নীল
בחשאי	গোপনে
לירי	লিয়ারি
לירי	গীতধর্মী
שניתנו	দেয়া
שניתנו	দেওয়া
שניתנו	প্রদত্ত
תצלומים	ফটোগ্রাফ
גרייס	গ্রেস
גרייס	অনুগ্রহ
ההתחלה	শুরু
ירוקה	সবুজ
נאצי	নাৎসি
קראוס	krause
קראוס	ক্রাউস
מאכלים	খাদ্য
מסוכנים	বিপদজনক
מסוכנים	ডেঞ্জারাস
מסוכנים	বিপজ্জনক
עתידי	ভবিষ্যত
עתידי	ভবিষ্যৎ
עתידי	ভবিষ্যতের
עתידי	হবু
ימני	ঠিক
ימני	সঠিক
ימני	ডান
ימני	ডানদিকে
מיג	মিগ
הרצוי	কাঙ্খিত
סלובניה	স্লোভেনিয়া
גרילה	গেরিলা
בלפור	বেলফোর
תם	tam
להיטים	হিট
להיטים	আঘাত
ברוקלין	ব্রুকলিন
האשים	অভিযুক্ত
שמיעה	শোনার
שמיעה	শ্রবণ
שמיעה	শুনানী
מיגל	মিগুয়েল
לסקר	লস্কর
וויליאם	উইলিয়াম
יואן	ইউয়ান
כת	কাল্ট
שמיים	আকাশ
שמיים	আকাশি
וולפגנג	ভোলফগাং
נפתחת	খোলে
שרמן	শেরম্যান
איגור	ইগোর
ראול	রাউল
ראול	রাউল
מיה	মিয়া
תסמינים	উপসর্গের
תסמינים	উপসর্গ
תסמינים	লক্ষণ
נכנע	আত্মসমর্পণ
נכנע	করো
החלום	স্বপ্নের
החלום	স্বপ্ন
חרושת	কারখানা
חרושת	ফ্যাক্টরি
התבוסה	পরাজয়
בהתנדבות	স্বেচ্ছায়
גולגולת	খুলি
אופיינית	গতানুগতিক
קניין	ক্রেতা
מוטל	মোটেল
הולנדית	ওলন্দাজ
הולנדית	ডাচ
סוציולוגיה	সমাজবিজ্ঞান
מנות	খাবারের
פרוסט	ফ্রস্ট
פרוסט	তুষার
פטיש	হাতুড়ি
עורק	ধমনী
עורק	ধমনী
אלימה	সহিংস
אלימה	হিংসাত্মক
אלימה	হিংস্র
מעריך	কদর
מעריך	তারিফ
מעריך	প্রশংসা
משמעותיות	অর্থপূর্ণ
משמעותיות	তাৎপর্যপূর্ণ
מקלדת	কীবোর্ড
הקוסם	উইজার্ড
בקפריסין	সাইপ্রাস
נטלי	নাটালি
מיומנויות	দক্ষতা
מייד	অবিলম্বে
מייד	তাৎক্ষনিক
מפתחות	কি
צב	কচ্ছপ
צב	কাইট্টা
צב	কাছিম
קומנדו	কমান্ডোরা
קומנדו	কমান্ডো
טד	টেড
סולימאן	সুলেইমান
אליסון	অ্যালিসন
מודעת	সচেতন
מודעת	সচেতন
מחויב	আবদ্ধ
מחויב	প্রতিজ্ঞাবদ্ধ
מחויב	প্রতিশ্রুতিবদ্ধ
לינוקס	লিনাক্স
בזל	বেসেল
מתנות	উপহার
מודול	মডিউল
המלצה	সুপারিশকৃত
עיצב	পরিকল্পিত
מפרק	জয়েন্ট
מפרק	যৌথ
מפרק	যুগ্ম
לקות	অক্ষমতার
בלוטת	গ্রন্থি
נתנאל	নাথানিয়েল
המגזר	সেক্টরে
המגזר	সেক্টর
סון	রবি
סון	sun
סון	সূর্য
הנוסע	যাত্রী
רובר	রোভার
סצנות	দৃশ্যগুলি
סצנות	দৃশ্যগুলো
הקבינט	মন্ত্রিসভার
הקבינט	ক্যাবিনেট
רך	সফট
רך	নরম
סטן	স্ট্যান
הגבורה	বীরত্ব
לסבול	সহ্য
נחשים	সাপ
נאצר	নাসের
ונוס	ভেনাস
רגיש	সংবেদনশীল
רגיש	স্পর্শকাতর
ראס	রাস
ראס	রাস
ראס	ras
ראס	rus
מדגיש	হাইলাইট
עליות	ups
ריטה	রিতা
ריטה	রীতা
מגיש	কলসী
מגיש	উপস্থাপক
נזירים	সন্ন্যাসীদের
נזירים	ভিক্ষুদের
פנימיות	ইন্টারনাল
פנימיות	অভ্যন্তরীণ
פיצול	ভাগ
פיצול	বিভাজন
פיצול	স্প্লিট
פיצול	বিভক্ত
קרוז	ক্রুজ
לאם	লাম
יהלום	হীরে
יהלום	হীরা
יהלום	হীরক
יהלום	ডায়মন্ড
יהלום	হীরার
ורן	রেন
ורן	ভার্ন
מיוצר	উৎপাদিত
מדורג	রেটেড
כור	চুল্লী
גמישות	নমনীয়তা
גמישות	elasticity
קירור	কুলিং
קירור	শীতলীকরণ
הודי	ইন্ডিয়ান
הודי	ভারতীয়
מלקולם	ম্যালকম
מרוצה	সন্তুষ্ট
מרוצה	সুখী
מרוצה	সুখে
מרוצה	খুশি
מרוצה	শুভ
מרוצה	আনন্দিত
אוסטין	অস্টিন
פאי	পাই
בריטניקה	ব্রিটানিকা
אייזק	ইসহাক
אייזק	আইজ্যাক
עגול	গোলাকার
עגול	রাউন্ড
צלעות	পাঁজর
צלעות	পাঁজরের
הליבה	কোর
אהב	ভালবেসে
התגובות	মন্তব্য
טיולים	হাইকিং
קלרה	ক্লারা
מלזיה	মালয়েশিয়া
קמפוס	ক্যাম্পাসে
קמפוס	ক্যাম্পাস
אומן	শিল্পী
שליטים	শাসকদের
שנתית	বাৎসরিক
שנתית	বার্ষিক
שנתית	বাৎসরিক
עליונות	শ্রেষ্ঠত্ব
שחיתות	ত্রুটিপূর্ণ
שחיתות	ক্ষতিগ্রস্ত
שחיתות	বিকৃত
שחיתות	দুর্নীতিগ্রস্ত
שחיתות	দুর্নীতিবাজ
שחיתות	দুর্নীতি
שחיתות	দূর্নীতি
טרום	প্রি
הומוסקסואלים	সমকামী
הומוסקסואלים	সমকামীদের
קמח	আটা
קמח	ময়দা
ידיד	বন্ধু
ידיד	বন্ধুর
ידיד	ফ্রেন্ড
נציב	কমিশনার
לגיטימי	বৈধ
לגיטימי	বৈধ
וורד	ওয়ার্ডে
וורד	ward
וורד	ওয়ার্ড
נמכרה	বিক্রীত
לנטוש	পরিত্যাগ
הבחין	চিহ্নিত
מוסטפא	মোস্তফা
תיאום	সমন্বয়ের
לונג	দীর্ঘ
לונג	লম্বা
מטבח	রান্না
מטבח	রন্ধনপ্রণালী
מטבח	রান্নাঘর
מטבח	কিচেন
נענע	নানা
נענע	মিন্ট
נענע	পুদিনা
מעטפת	শেল
מעטפת	খাম
הביוגרפיה	আত্মজীবনী
הביוגרפיה	জীবনী
תרזה	তেরেসা
תרזה	থেরেসা
נועה	noa
אתלטיקה	দৌড়বাজী
החלקה	স্কেটিং
ידיעת	জানা
ידיעת	বজ
חכמה	চালাক
חכמה	চালাকি
חכמה	জ্ঞানী
חכמה	ওয়াইস
חכמה	স্মার্ট
חכמה	smart
חכמה	বুদ্ধিমান
חכמה	বুদ্ধি
חכמה	প্রজ্ঞা
חכמה	আক্কেল
חכמה	জ্ঞান
אלפונסו	আলফন্সো
חתולים	বিড়াল
חתולים	বেড়াল
פרגוואי	প্যারাগুয়ে
תיאודור	থিওডোর
ההבנה	উপলব্ধি
ההבנה	বুঝতে
מפרט	বিবরণী
מפרט	spec
לוגי	লজিক্যাল
לוגי	যৌক্তিক
זוחלים	সরীসৃপ
זוחלים	সরীসৃপ
טיורינג	টুরিং
הגדר	সেট
הגדר	সংকলন
הגדר	নির্ধারণ
הגדר	বেড়ার
הגדר	বেড়া
הגדר	ব্যাখ্যা
הפצה	বিতরন
הפצה	ডিস্ট্রিবিউশন
הפצה	বিতরণ
הפצה	বন্টন
מכובד	শ্রদ্ধাশীল
מכובד	শ্রদ্ধেয়
מכובד	সম্মানিত
מכובד	সম্মানিত
מכובד	সম্মানজনক
מכובד	অদ্বিতীয়
כופר	কাফের
טיילר	টাইলার
מאסטר	মাস্টার
אינסופי	অসীম
אלופה	champ
אלופה	চ্যাম্পিয়ান
אלופה	চ্যাম্পিয়ন
אלופה	বিজয়ীর
אלופה	champion
שטרלינג	স্টার্লিং
זבל	অবাঞ্ছিত
זבל	অপ্রয়োজনীয়
זבל	অনাকাঙ্ক্ষিত
זבל	চক্রাকারে
זבל	আবর্জনা
מתוכננת	পরিকল্পিত
אונייה	জাহাজ
אונייה	শিপ
אונייה	জাহাজের
סיפרה	বলেছিলাম
סיפרה	বলেছি
מולי	মলি
אללה	আল্লাহ্
אללה	allah
אללה	আল্লাহর
אללה	আল্লাহ
התשלום	অর্থপ্রদান
התשלום	পেমেন্ট
מפרסם	পোস্টিং
בסתר	গোপনে
ניקוי	পরিষ্কার
ניקוי	পরিষ্কারক
חלומות	স্বপ্ন
משוואה	সমীকরণ
פורטו	পোর্টো
פורטו	পোর্তো
פורטו	পুয়ের্তো
הרך	সফট
הרך	নরম
נעצרה	বন্ধ
נעצרה	স্থগিত
נעצרה	গ্রেফতার
נעצרה	গ্রেপ্তার
מקראית	বাইবেলের
הנשמה	আবেগপূর্ণ
הנשמה	আত্মা
להסתמך	ভরসা
פוטין	পুতিন
סופו	সমাপ্তি
סופו	শেষ
סופו	সমাপ্ত
בנקים	ব্যাংক
חמד	হামাদ
תאורטית	তাত্ত্বিক
תאורטית	তাত্ত্বিকভাবে
מתמודדים	দাবীদার
קתולים	ক্যাথলিক
מוכשר	মেধাবী
מצטער	sorry
מצטער	সরি
מצטער	দুঃখিত
עדנה	এডনা
ברט	ব্রেট
סורי	সিরিয়ার
סורי	সিরীয়
סורי	সিরিয়ান
חומרה	হার্ডওয়্যার
אלטרנטיבי	বিকল্প
פסיכולוגית	মানসিক
פסיכולוגית	মনস্তাত্ত্বিক
פסיכולוגית	মনোবৈজ্ঞানিক
פסיכולוגית	মানসিকভাবে
גרנד	গ্র্যান্ড
מפגינים	বিক্ষোভকারীরা
מפגינים	বিক্ষোভকারীদের
מפגינים	বিক্ষোভকারীরা
מפגינים	প্রতিবাদকারীরা
מפגינים	বিক্ষোভকারী
מפגינים	বিক্ষোভকারীদের
מפגינים	প্রতিবাদকারী
מפגינים	প্রতিবাদকারীরা
מפגינים	বিক্ষোভকারীরা
השקיעה	সূর্যাস্ত
קוני	কনি
מוזס	মূসা
מוזס	মোসেস
ענקית	বৃহৎ
ענקית	বিশাল
ענקית	বিপুল
ענקית	দৈত্য
ענקית	বিশাল
פרסמו	প্রকাশিত
חללים	স্পেস
ליטאי	লিথুয়ানিয়ান
ואט	ভ্যাট
הילה	halo
עוצר	থেমে
עוצר	বাঁধন
עוצר	কারফিউ
שעשועים	বিনোদন
סמינר	সেমিনার
ווסט	পশ্চিম
ללכוד	আটক
ללכוד	ক্যাপচার
ללכוד	তুলুন
מטריצה	ম্যাট্রিক্স
סרי	শ্রী
סקס	যৌন
סקס	সেক্স
סקס	লিঙ্গ
סקס	যৌনতা
סקס	sex
סיר	মুচি
סיר	পট
סיר	পাত্র
מזכירה	সেক্রেটারি
מזכירה	সচিব
מזכירה	সেক্রেটারী
הגלקסיה	galaxy
האחוזה	অট্টালিকা
אבד	হারিয়ে
הצהרה	বিবৃতি
הצהרה	স্টেটমেন্ট
בהריון	গর্ভবতী
בהריון	pregnant
מיסטר	মশাই
תביעות	দাবির
תביעות	দাবি
תביעות	দাবী
הארכיבישוף	আর্চবিশপ
הארכיבישוף	archdiocese
לוחמת	যোদ্ধা
לוחמת	লড়াকু
לוחמת	জঙ্গী
לוחמת	ফাইটার
אסלאם	ইসলাম
אסלאם	ইসলামের
הלסינקי	হেলসিঙ্কি
הלסינקי	হেলসিংকি
