細分	подразделение
燃える	парене
燃える	горяща
燃える	изгаряне
体質	конституция
体質	конституцията
イヌ	куче
イヌ	кучето
イヌ	дог
苦しみ	страдания
苦しみ	страданието
苦しみ	страда
苦しみ	страдания
苦しみ	страдание
キノコ	гъби
キノコ	гъби
キノコ	гъба
厚い	дебела
厚い	плътна
厚い	дебело
厚い	дебел
終着駅	терминус
ヤンキー	янки
飛躍	скок
ボア	боа
麻痺	парализа
麻痺	парализа
オリンピア	олимпия
クラウス	клаус
証人	свидетелите
証人	свидетели
証人	очевидци
証人	свидетел
証人	свидетели
石碑	стелата
賞賛	възхищение
賞賛	похвала
賞賛	слави
賞賛	възхвала
賞賛	хвала
シリアル	серийни
シリアル	сериен
子育て	родителски
ウィンドウ	прозореца
ウィンドウ	прозорецът
ウィンドウ	прозорец
乱闘	кавга
乱闘	сбиване
水分	влажност
水分	влага
バーバラ	барбара
遊ぶ	играе
遊ぶ	играй
遊ぶ	свири
遊ぶ	игра
決済	плащания
決済	сетълмент
決済	уреждане
決済	селище
決済	заплащане
決済	плащане
サニー	слънчев
サニー	слънчево
サニー	слънчева
サニー	съни
サニー	слънчеви
嫉妬	ревност
嫉妬	ревнив
嫉妬	ревнива
嫉妬	завист
嫉妬	ревността
嫉妬	ревност
ディスコ	дискотека
ディスコ	диско
ブタ	прасета
ブタ	свине
ブタ	прасе
ブタ	свиня
ノーマン	норман
尾翼	опашка
尾翼	опашката
退却	отстъпление
大場	оба
悪意	злонамерени
悪意	злоба
オタク	зубър
オタク	зубър
屋台	сергии
伝導	проводимост
受け取る	получаване
アーロン	аарон
アーロン	арон
アーロン	аарън
アーロン	арън
アンチ	анти
ベストセラー	бестселър
ピコ	пико
ステンレス	неръждаема
壁画	стенопис
エンブレム	емблеми
エンブレム	герб
エンブレム	емблема
素敵	прекрасен
素敵	прекрасни
素敵	прекрасна
素敵	хубав
素敵	хубава
素敵	хубаво
素敵	мило
思想家	мислители
ピクセル	пиксел
ピクセル	пиксели
コントローラ	контролери
コントローラ	контрольор
コントローラ	контролер
外科医	хирург
外科医	хирургът
伝送	трансмисия
伝送	предаване
伝送	пренос
トロイ	трой
トロイ	троя
翔子	шоко
タンカー	танкер
タンカー	цистерна
気体	бензин
気体	газове
気体	газ
気体	газове
処罰	накаже
処罰	наказание
処罰	наказания
処罰	наказанието
処罰	наказуемо
ロータス	лотос
ロータス	лотус
キャンセル	отмяна
キャンセル	отмени
キャンセル	отменена
キャンセル	отменени
キャンセル	отменено
キャンセル	отменен
キャンセル	отменена
キャンセル	отменени
キャンセル	отменено
キャンセル	отменен
キャンセル	отмяна
キャンセル	анулиране
不完全	несъвършен
ウィキ	уики
リスボン	лисабон
剥奪	лишено
剥奪	лишен
剥奪	лишени
掘削	разкопки
掘削	сондиране
掘削	пробиване
ボリビア	боливия
棄却	уволнение
幼虫	ларвите
幼虫	ларви
悪夢	кошмари
悪夢	кошмарите
悪夢	кошмар
悪夢	кошмари
悪夢	кошмарно
演目	програми
チェルシー	челси
ナンシー	нанси
カタール	катар
カタール	катарски
解読	дешифрира
解読	декодиране
ゲイリー	гери
ゲイリー	гари
やまと	ямато
出血	кървене
出血	кръвоизлив
出血	кърви
出血	кървене
出血	кръвоизлив
出血	кръвоизливи
タンゴ	танго
濡れ	мокра
濡れ	влажна
濡れ	мокър
濡れ	мокри
濡れ	мокро
ロンド	рондо
キックボクシング	кикбокс
台北市	тайпе
諮問	консултация
諮問	консултиране
諮問	консултации
火事	огън
火事	пожар
ジュリエット	жулиета
ジュリエット	джулиет
マクラーレン	макларън
プファルツ	pfalz
オアシス	оазис
赤道	екватора
クウェート	кувейт
クウェート	кувейтски
疲労	изтощително
疲労	умора
疲労	умора
疲労	изчерпване
疲労	изтощение
平壌	пхенян
国々	държави
国々	страни
ディー	ди
ディー	дий
タコ	октопод
内訳	разбивка
内訳	срив
ジャイアント	гигантски
ジャイアント	великан
ジャイアント	гигант
ジャイアント	гигантска
出願	кандидатстване
出願	молба
出願	приложение
出願	прилагане
出願	заявление
ウォーレン	уорън
銃弾	куршум
妥協	компромис
妥協	компромиси
ピストン	бутални
派手	показно
グラミー	трихогастер
グラミー	грами
抗体	антитела
抗体	антителата
抗体	имуноглобулин
抗体	антитяло
抗体	антитела
トモ	томо
風船	балон
風船	балони
おばさん	леля
リターン	връщане
リターン	завръщане
ユーラシア	евразийски
安定性	стабилност
安定性	устойчивост
コメディアン	комедиант
コメディアン	комик
コメディアン	комици
フェリックス	феликс
副官	адютант
エレクトロニクス	електроника
エレクトロニクス	електрониката
スリ	джебчия
パトロール	патрул
クレーター	кратери
クレーター	кратер
クレーター	кратера
キャピタル	столица
キャピタル	капитал
キャピタル	капитали
キャピタル	столицата
チャット	чата
チャット	чат
高句麗	когурьо
糖尿病	диабет
ディズニーランド	дисниленд
エルフ	елф
エルフ	елфи
エルフ	елфите
バーガー	бургер
バーガー	хамбургер
バーガー	бъргър
カリウム	калиев
カリウム	калий
サバイバル	преживяемост
サバイバル	оцеляване
サバイバル	оцеляването
シックス	шестима
シックス	шест
蛍光	луминесцентни
蛍光	флуоресценция
可愛い	сладко
可愛い	сладур
可愛い	сладка
可愛い	сладък
可愛い	хубава
スピリット	дух
みちのく	michinoku
グアム	гуам
民兵	милиция
民兵	милицията
側室	наложница
側室	наложници
ルター	лутер
ルター	лутър
共鳴	резонанс
ジュリアン	джулиън
ジュリアン	хулиан
ジュリアン	джулиан
受領	разписка
受領	получаване
チャーチル	чърчил
シャム	сиамски
シャム	измамник
シャム	шам
帰属	признание
モモ	праскови
モモ	момо
モモ	праскова
コンボ	комбинирано
コンボ	комбинация
デンバー	денвър
感度	чувствителност
正午	обяд
正午	обед
正午	пладне
正午	обед
正午	пладне
ハント	хънт
ハント	лов
ドレスデン	дрезден
欠席	отсъствие
欠席	отсъствие
欠席	липса
口座	сметка
口座	акаунт
批准	ратифициране
批准	ратификация
説教	проповеди
説教	проповеди
説教	проповядва
説教	проповед
説教	проповед
連想	асоциативните
フルーツ	плодове
フルーツ	плод
フルーツ	плодове
著しい	забележително
著しい	забележителен
著しい	забележителна
カウンティ	окръг
カウンティ	графство
返済	погасяване
返済	отплата
返済	възстановяване
返済	изплащане
チャネル	канали
チャネル	канал
チャネル	каналът
尾根	ридж
尾根	хребет
ウェスタン	западна
ウェスタン	западни
ウェスタン	западен
ウェスタン	западните
ウェスタン	уестърн
ウェスタン	western
スキャン	сканиране
スキャン	скенер
スキャン	сканиране
敬意	зачитане
敬意	респект
敬意	уважение
オリエンタル	ориенталски
鋭い	остро
鋭い	шарп
鋭い	остър
鋭い	остра
鋭い	остри
お茶	чай
クローズ	затваряне
クローズ	близко
クローズ	близо
クローズ	близки
ワープ	светлинна
ダイナマイト	динамит
コリンズ	колинс
飲む	пиене
飲む	пиеш
飲む	пия
飲む	пиенето
飲む	пие
飲む	пийте
飲む	пий
飲む	питие
オークション	търг
オークション	търгове
オークション	търговете
ポータブル	преносим
ポータブル	преносими
ポータブル	преносимост
モンロー	монро
芥川	акутагава
トラップ	клопка
トラップ	капан
トラップ	капани
同値	еквивалентност
ローテーション	завъртане
ローテーション	въртене
プリズム	призмата
フェアリー	феята
フェアリー	фея
ポット	трева
ポット	гърне
ポット	тенджера
マッカーサー	макартър
ハチ	оса
ハチ	пчелите
ハチ	пчели
ミッチェル	мичел
ミッチェル	мичъл
カルト	култ
カルト	секта
家事	камериерката
家事	камериерка
消える	изчезване
消える	изчезване
テンション	напрежение
個別に	индивидуално
ジャスト	просто
ジャスト	само
フォーカス	концентрация
フォーカス	фокус
分化	разграничение
分化	разграничаване
分化	диференциация
ウエスタン	западна
ウエスタン	западни
ウエスタン	западен
ウエスタン	западните
ウエスタン	уестърн
ウエスタン	western
ラトビア	латвия
ラトビア	латвийски
酢酸	ацетат
スタンプ	печат
スタンプ	стикери
スタンプ	лепенки
スタンプ	лепенка
スタンプ	стикер
スタンプ	пън
スタンス	стойка
発令	издаването
発令	емисия
発令	издаване
激戦	свирепи
激戦	свиреп
激戦	жестока
激戦	свирепо
おいしい	вкусен
おいしい	вкусно
おいしい	вкусна
おいしい	вкусен
おいしい	вкусно
おいしい	вкусна
おいしい	вкусни
停滞	стагнация
停滞	застой
停滞	неподвижен
停滞	неподвижни
停滞	неподвижна
停滞	неподвижно
臼井	усуи
カブス	малките
照射	облъчване
照射	излагане
照射	облъчване
照射	експозиция
クルーザー	крайцер
ハンドブック	наръчник
江藤	eto
アーカンソー	арканзас
パッド	площадка
パッド	подложка
マナー	обноски
マナー	маниери
バットマン	батман
裁定	постановление
裁定	управляващата
裁定	управляваща
タイル	плочка
タイル	плочки
タイル	плочки
螺旋	спирала
ホフマン	хофман
ホフマン	хофман
レジスタ	регистрите
レジスタ	регистри
レジスタ	регистър
ピュア	чисто
ピュア	чист
ピュア	чиста
蒸留	дестилация
蒸留	дестилирана
フレイ	фрей
ミッドフィールダー	полузащитник
墨田	сумида
ブーツ	ботуш
ブーツ	ботуша
ブーツ	ботуши
ブーツ	ботушите
出版物	публикации
出版物	публикация
出版物	публикуване
ヒューズ	хюс
ヒューズ	хюз
ヒューズ	фитил
問い合わせ	запитвания
問い合わせ	питане
問い合わせ	справка
問い合わせ	запитване
問い合わせ	проверки
問い合わせ	запитвания
連帯	солидарност
ポーター	носач
ポーター	портър
帰宅	дом
帰宅	домашен
帰宅	вкъщи
千鳥	чидори
メイキング	правене
エフェクト	последици
エフェクト	въздействие
エフェクト	ефекти
エフェクト	ефект
エフェクト	ефект
エフェクト	въздействие
野間	нома
デス	смърт
デス	смъртта
バター	маслото
バター	масло
教職員	преподаватели
教職員	факултета
教職員	факултет
結核	туберкулоза
結核	туберкулозата
ヨルダン	йордански
ヨルダン	джордън
ヨルダン	йордан
ヨルダン	йордания
ヨルダン	джордан
恵那	ena
コバルト	кобалт
ソフトボール	софтбол
起業	предприемач
起業	предприемачество
欠陥	недостатък
欠陥	дефект
欠陥	несъвършенство
未完	недовършена
未完	недовършени
コブラ	кобрата
コブラ	кобра
シスター	сестра
グリル	решетка
グリル	скара
グリル	грил
脂肪	дебела
脂肪	мазнина
脂肪	мазнини
脂肪	дебели
脂肪	дебел
回顧	ретроспективен
アーネスト	ърнест
眠る	спя
眠る	спим
眠る	сън
眠る	спи
天台宗	тендай
アスレチック	атлетичен
彼氏	гадже
彼氏	гаджето
エミー	ейми
迫害	преследване
迫害	преследвания
迫害	преследвана
迫害	преследван
迫害	преследвани
左近	сакон
手数料	комисионна
手数料	комисия
手数料	хонорар
手数料	такса
手数料	хонорари
手数料	такси
バドミントン	бадминтон
陶器	керамика
スクリプト	сценарии
スクリプト	сценарий
スクリプト	сценарии
トライアングル	триъгълника
トライアングル	триъгълник
溶岩	лавата
溶岩	лава
フィニッシュ	завърши
フィニッシュ	довърши
フィニッシュ	довърша
異端	ерес
異端	еретични
真似	имитират
フン	хун
ハス	лотос
ハス	лотус
メグ	мег
ボールド	дръзки
ボールド	смело
ボールド	дръзко
ボールド	смели
ボールド	смел
トッド	тод
入浴	къпане
入浴	бат
入浴	вана
入浴	баня
ハング	хунг
ハング	обесен
流体	течност
流体	флуиди
流体	течности
ジュネーヴ	женева
ハーバート	хърбърт
お菓子	сладкиши
お菓子	сладки
未完成	недовършена
未完成	недовършени
未完成	непълна
未完成	непълни
未完成	непълен
未完成	непълно
ブレーメン	бремен
共生	симбиоза
チューブ	тръбичка
チューブ	туба
チューブ	тръба
ヒゲ	бради
林業	горски
浄土宗	ходо
変装	маскировка
変装	маскиран
変装	прикрито
軍需	въоръжение
シグナル	сигнали
シグナル	сигнал
オリーブ	маслиново
オリーブ	олив
オリーブ	маслини
面接	интервю
ダイエット	диети
ダイエット	диети
ダイエット	диетична
ダイエット	диета
ダブリン	дъблин
信念	фейт
信念	вяра
信念	вярвания
信念	убеждения
スチュアート	стюърт
スチュアート	стюарт
ワイヤー	тел
ワイヤー	жици
ワイヤー	жица
ワイヤー	проводници
ワイヤー	кабели
ワイヤー	жици
アルブレヒト	албрехт
バレル	буре
バレル	бъчва
バレル	цев
バレル	варел
サンティアゴ	сантяго
雅人	масато
碑文	надпис
碑文	посвещение
碑文	надписи
一樹	казуки
ブルターニュ	британи
ブルターニュ	бритни
審判員	рефер
審判員	съдия
審判員	арбитър
スレッド	разговор
スレッド	разговори
スレッド	беседа
スレッド	нишки
スレッド	конци
スレッド	нишки
スレッド	нишка
スレッド	конец
スレッド	конци
スレッド	разговори
ドラキュラ	дракула
ルネ	рене
ルネ	рене
桟橋	пиер
桟橋	кея
亜鉛	цинков
亜鉛	цинк
グラハム	греъм
正博	масахиро
デューク	херцог
デューク	дук
デューク	дюк
語彙	речник
語彙	речника
コーディネーター	координатор
ソナー	сонар
充電	зареждане
充電	заряд
充電	зареждане
充電	презареждане
バーミンガム	бирмингам
マイヤー	майър
マイヤー	майер
リリー	лилия
リリー	лили
大工	карпентър
大工	дърводелец
大工	дърводелци
停泊	акостиране
隠岐	оки
ワクチン	ваксини
ワクチン	ваксините
ワクチン	ваксина
監獄	затворът
監獄	затвор
監獄	затвора
監獄	затвори
監獄	затворите
デラウェア	делауеър
売る	продава
破片	отломки
夜叉	яша
ペーター	петър
ペーター	питър
ペーター	петер
買い物	пазар
買い物	пазаруване
買い物	шопинг
既婚	женени
既婚	женена
既婚	омъжена
既婚	женен
陽性	позитивна
陽性	положителен
陽性	положителни
陽性	положителна
陽性	положително
チョーク	тебешир
チョーク	задушаване
四十	четиридесет
四十	forty
エコー	ехо
同調	съответствие
スイング	суинг
スイング	замах
スイング	люлка
コミュニティー	общност
コミュニティー	общността
施策	полици
施策	политики
トラクター	трактори
トラクター	трактор
トラクター	трактори
トラクター	влекач
カリスマ	харизма
カリスマ	харизматичен
下着	бельо
淡水	сладководни
分泌	секреция
ドキドキ	вълнуващо
ドキドキ	вълнуващи
ドキドキ	вълнуваща
驚き	изненада
ジェフリー	джефри
廃墟	съсипе
廃墟	разруха
廃墟	развалини
廃墟	руините
廃墟	руини
深度	дълбочина
配当	дивиденти
配当	дистрибуция
配当	разпределяне
配当	разпространение
配当	разпределение
配当	дивиденти
故意	преднамерено
故意	преднамерено
故意	умишлено
故意	нарочно
故意	умишлено
ニコ	нико
ニコ	нико
クロム	хром
クロム	хром
預言	пророчество
預言	предсказание
預言	пророчеството
掲示	бюлетин
パスポート	паспорти
パスポート	паспортите
パスポート	паспорт
カロリー	калория
カロリー	калории
消化	храносмилането
消化	храносмилане
ヘビ	змия
ヘビ	снейк
ヘビ	змиите
ヘビ	змии
膨張	разрастване
膨張	разширяване
膨張	разширение
バッジ	значка
バッジ	значката
バッジ	значки
残酷	жесток
残酷	жестоко
残酷	жестока
残酷	жестоки
ペナルティ	наказание
ペナルティ	наказателни
ペナルティ	санкция
ペナルティ	наказателен
フェンス	ограда
フェンス	огради
フェンス	оградата
船員	моряк
フォレスト	форест
フォレスト	форест
フォレスト	гора
フォレスト	горски
クラッチ	съединител
見習い	стажанти
見習い	чираци
見習い	чирак
見習い	стажант
黙示録	апокалипсис
枢機卿	кардинале
枢機卿	кардинал
メソッド	метод
メソッド	методи
スチュワート	стюърт
スチュワート	стюарт
スチュワート	стюард
スギ	сидър
賭博	хазартни
賭博	хазарт
賭博	залагане
賭博	хазарта
龍之介	рюноске
コップ	чашка
コップ	чаша
コップ	купа
コップ	къп
母国	родино
母国	родината
母国	родина
視界	видимост
ニッケル	никел
反響	ехо
プラットホーム	перон
プラットホーム	платформата
プラットホーム	платформа
カルチョ	калчо
スーザン	сюзън
ハイチ	хаити
ハイチ	хаити
洗浄	пране
洗浄	миене
洗浄	измиване
洗浄	почистване
洗浄	чистене
不祥事	скандали
不祥事	скандално
不祥事	скандал
不祥事	скандали
委任	делегация
委任	делегиране
委任	мандат
祭壇	олтар
祭壇	олтара
シエラ	сиера
新一	шиничи
帰化	натурализация
ボローニャ	болоня
ヤギ	коза
ヤギ	козе
ヤギ	козел
ヤギ	кози
ヤギ	кози
ワークショップ	семинари
ワークショップ	работилница
ワークショップ	работилницата
ワークショップ	семинар
ワーグナー	уагнър
ワーグナー	вагнер
金庫	безопасно
金庫	безопасен
金庫	сейф
慎吾	шинго
消耗	изтощение
消耗	износване
被告人	обвинена
被告人	обвинени
被告人	обвиняем
被告人	обвинен
被告人	обвиняем
被告人	ответника
被告人	обвиняемият
被告人	обвиняемия
バトン	батън
バトン	палка
睡眠	спя
睡眠	спим
睡眠	сън
睡眠	спи
モノクロ	монохромна
洗濯	пране
洗濯	миене
洗濯	измиване
洗濯	пране
洗濯	пералня
洗濯	прането
ツル	жерав
ツル	крейн
ツル	кран
リヒャルト	ричард
裏側	назад
裏側	обратно
裏側	гръб
レズビアン	лесбийка
レズビアン	лесбийки
レズビアン	лесбийките
レズビアン	лесбийки
芸者	гейша
チャップリン	чаплин
吸気	вдишване
祝福	благословията
祝福	благословия
祝福	благословията
祝福	блага
祝福	благословия
祝福	благословено
祝福	благословен
祝福	благословена
祝福	благословени
林檎	епъл
林檎	ябълков
林檎	ябълка
林檎	apple
視力	зрение
星空	звездна
ロナルド	роналд
ランニング	тичане
ランニング	бягане
高尾	такао
届出	уведомление
届出	съобщаване
届出	уведомяване
レスキュー	спасяване
土居	дои
委嘱	делегация
委嘱	делегиране
委嘱	комисионна
委嘱	комисия
アンドレア	андреа
パンダ	панда
冗談	шега
冗談	лаф
冗談	виц
お気に入り	любимо
お気に入り	любим
お気に入り	фаворит
お気に入り	любимите
お気に入り	любимо
お気に入り	любими
お気に入り	любим
お気に入り	любимка
お気に入り	любимите
お気に入り	любимци
お気に入り	любими
ロッカー	рокер
ロッカー	шкафчета
ロッカー	шкафче
トゥルー	истина
トゥルー	верни
トゥルー	вярно
ヨット	яхта
ヨット	яхти
ヨット	яхтата
ヨット	яхти
シェーン	шейн
ダイナミック	динамична
ダイナミック	динамични
ダイナミック	динамика
ダイナミック	динамично
ダイナミック	динамичен
ラバウル	рабаул
飛行船	дирижабъл
陶芸	керамика
エリオット	елиът
エリオット	елиът
まみ	мами
フットサル	футзал
消去	изтрий
ストライカー	нападател
ストライカー	страйкър
真木	маки
バイザー	визьора
バイザー	козирката
ハンプシャー	хемпшир
テント	палатките
テント	палатки
テント	шатра
テント	палатката
テント	шатрата
テント	палатка
リソース	ресурс
リソース	ресурси
リソース	ресурси
粛清	чистка
粛清	изчистване
粛清	пречистен
粛清	прочистване
崇拝	боготворят
ワトソン	уотсън
値段	цена
藤森	фухимори
快適	удобно
快適	удобен
快適	удобни
快適	удобна
快適	удобно
快適	удобен
快適	удобни
快適	удобна
足跡	отпечатък
ロベール	роберт
ロベール	робер
ロベール	робърт
バスケ	баскетбол
バスケ	баскетбола
バスケ	баскетболен
獣医	ветерани
獣医	ветеринар
獣医	ветеринар
ヴァージン	девствен
ヴァージン	девствена
ヴァージン	девица
ヴァージン	девственица
石黒	ишигуро
和音	акорд
帝政	империята
帝政	емпайър
帝政	империя
動揺	разстроен
動揺	разстроена
タブレット	таблетка
タブレット	плоча
神学校	семинарията
麻酔	анестезия
麻酔	упойка
阿弥陀如来	амитаба
人魚	русалки
人魚	русалка
ジュエル	бижу
サンチェス	санчес
サンチェス	санчез
サンチェス	sánchez
文字通り	буквално
目的地	дестинация
目的地	направление
目的地	местоназначение
目的地	посока
マルチメディア	мултимедийни
オーラ	аурата
オーラ	аура
ディープ	дълбока
ディープ	дълбок
ディープ	дълбоки
ディープ	дълбоко
マリアナ	мариана
アマゾン	амазонка
アマゾン	амазония
義雄	йошио
年数	години
年数	годините
サイコロ	зарове
サイコロ	заровете
不自然	неестествено
コロナ	корона
切符	билетите
切符	билети
切符	билет
教義	догма
教義	крийд
教義	доктрина
オメガ	омега
富豪	милионери
両面	дуплекс
地雷	мините
地雷	мини
可愛	сладост
可愛	сладур
可愛	сладки
ホッケー	хокей
かもめ	чайка
マダガスカル	мадагаскар
事績	постижения
事績	постижение
事績	постижения
事績	постигането
上告	обжалване
上告	призив
上告	жалба
カートリッジ	патрони
カートリッジ	касети
カートリッジ	патроните
カートリッジ	патрон
カートリッジ	патрона
カートリッジ	пълнител
トレイル	пътека
トレイル	следа
トレイル	диря
臓器	органите
臓器	органи
臓器	орган
電工	денко
コロンボ	коломбо
水銀	живак
水銀	меркурий
ニース	хубав
ニース	хубава
ニース	хубаво
ニース	мило
ホモ	хомо
ユニーク	уникално
ユニーク	уникален
ユニーク	уникални
ユニーク	уникална
敏郎	тоширо
城郭	замъци
アドリア	адрия
浄化	пречистване
浄化	прочистване
浄化	пречистване
浄化	пречисти
浄化	пречисти
音節	сричка
音節	срички
シダ	фърн
大洲	озу
炎症	възпалителни
炎症	възпаление
ダンカン	дънкан
ダンカン	дънкън
カッパ	капа
長江	яндзъ
摩擦	търкания
摩擦	триене
ドーン	зора
ドーン	даун
ドーン	зори
ドーン	доун
ドーン	зората
芝生	поляна
久々	ужас
久々	олеле
悪役	злодей
実効	ефективност
実効	ефективна
実効	ефективен
実効	ефективни
実効	ефикасно
実効	ефективно
セナ	сена
セナ	сена
アルマ	алма
ルナ	луна
オリオン	орион
ルーシー	люси
ルーシー	луси
ウィリー	уили
ウィリー	вили
ステータス	статус
ステータス	състояние
ステータス	положение
ステータス	статут
アロン	аарон
アロン	арон
アロン	аарън
アロン	арън
アロン	арон
アロン	арън
四川省	съчуан
柔軟	гъвкавост
イングリッシュ	английски
イングリッシュ	bulgarian
イングリッシュ	англичани
浮気	изневяра
浮気	изневярата
浮気	изневяра
浮気	афера
マッサージ	масажи
マッサージ	масаж
マッサージ	масажи
捕鯨	китолова
劣化	влошаване
劣化	разграждане
工具	инструмент
上海市	шанхай
オナニー	мастурбация
クイック	бързо
リニア	линейни
リニア	линеен
リニア	линейна
ワタ	speciosa
ラーマ	лама
ラーマ	рама
浄土真宗	ходо
接着	сцепление
サンプリング	мостра
サンプリング	проба
サンプリング	извадка
必死	отчаяно
必死	отчаяни
必死	отчаяна
必死	отчаян
必死	отчаяно
失効	изтекла
失効	изтекъл
失効	изтече
失効	изтекло
ねずみ	маус
ねずみ	миши
ねずみ	мишки
ねずみ	мишка
経典	сутри
経典	сутра
オセアニア	океания
大気圏	атмосфера
不審	подозрителна
不審	подозрителен
不審	подозрителни
不審	подозрително
リサイクル	рециклиране
リサイクル	рециклиране
リサイクル	рециклирането
チェン	ченг
チェン	чън
隠す	скриване
グラフィックス	графики
グラフィックス	графичен
グラフィックス	графика
マニ	мани
カモ	патици
カモ	дък
カモ	патка
カモ	патици
カモ	пате
カモ	патица
無意味	безсмислен
無意味	безсмислено
無意味	безмислено
ビーズ	перла
ビーズ	мъниста
旋風	вихър
旋風	вихрушка
無敗	непобеден
精製	рафинирани
精製	рафиниране
カンパ	кампа
スナック	закуска
スナック	закуски
スナック	хапване
スナック	закуски
グリップ	дръжка
グリップ	сцепление
グリップ	хватката
ペダル	педал
ペダル	педала
アレクサンドロス	александър
ビザ	виза
ビザ	визи
ヴァルター	валтер
ヴァルター	уолтър
ヴァルター	валтер
悪性	злокачествени
満期	зрялост
満期	падеж
強要	принуда
強要	принуда
隙間	пропуски
ギャンブル	хазартни
ギャンブル	хазарт
ギャンブル	залагане
ギャンブル	хазарта
ギャンブル	хазарт
ギャンブル	гембъл
握手	ръкостискане
オリバー	оливър
庇護	патронажа
ハリソン	харисън
フリート	флотилия
フリート	флота
フリート	флот
風力	гейл
強姦	изнасилвания
強姦	изнасилване
強姦	изнасилена
センチュリー	век
センチュリー	вековен
センチュリー	века
リカルド	рикардо
スルタン	султан
スルタン	султанът
スルタン	султана
バッグ	сак
バッグ	чантата
バッグ	торбичка
バッグ	чанта
バッグ	торба
バッグ	торбички
バッグ	чанти
バッグ	торби
画質	качество
画質	качеството
飽和	насищане
飽和	наситени
飽和	наситен
シャア	ша
カヤ	кая
福音書	евангелието
ユニバーシアード	универсиада
侮辱	обида
侮辱	оскърбление
ロブ	роб
平衡	равновесието
平衡	равновесие
ダーウィン	дарвин
乗馬	езда
