teolog	teolog
preuzimanje	převzetí
unuka	vnučku
unuka	vnučka
unuka	vnuka
unuka	vnuk
opstanak	přežití
lokalitetu	lokalita
kritiku	kritika
kritiku	kritiku
lud	šílený
lud	šílené
lud	blázen
lud	šílený
lud	šílená
lud	bláznivý
minimalno	minimální
minimalno	minimum
minimalno	minimálně
minimalno	minimální
dramu	drama
sean	sean
sean	seana
perzijanci	peršané
azija	asie
azija	asii
prijetnja	ohrožení
prijetnja	hrozba
baden	baden
datoteke	souborů
datoteke	soubory
datoteke	spisy
datoteke	složky
živote	žije
živote	životy
živote	životů
apollo	apollo
admin	správce
nestala	chybí
nestala	chybějící
corydoras	pancéřníček
bird	pták
bird	ptáček
bird	bird
bird	ptačí
vjerojatnost	pravděpodobnost
vjerojatnost	pravděpodobnosti
plaća	mzda
plaća	plat
plaća	platí
plaća	vyplácí
plaća	platit
plaća	zaplatit
plaća	plat
terapija	terapie
terapija	terapii
ribeiro	ribeiro
hahn	hahn
johannes	johannes
statut	statutu
statut	statut
platforma	plošina
platforma	nástupiště
platforma	platforma
platforma	platformy
platforma	platformu
wallace	wallace
cipar	kypru
cipar	kypr
wunderlich	wunderlich
georges	georges
misa	hmota
misa	mše
misa	hmotnosti
misa	hmotnost
kat	kat
kat	patře
kat	podlaha
kat	poschodí
kat	podlaží
kat	patro
tamno	tmavá
tamno	tmavé
tamno	dark
tamno	temné
tamno	tmavý
tamno	tmavě
miris	pach
miris	vůně
miris	cítit
miris	vůně
miris	zápach
miris	čich
miris	parfém
miris	parfémy
miris	vůně
potrošnje	utrácení
potrošnje	výdaje
potrošnje	spotřeba
potrošnje	konzumace
potrošnje	spotřebu
sadržavati	obsahovat
sadržavati	obsahují
zhao	zhao
dejan	dejan
bilje	rostliny
bilje	bylinky
bilje	byliny
marino	marino
kombinacije	kombinace
ricardo	ricardo
trake	kazety
trake	nahrávky
trake	pásky
dizel	diesel
dizel	nafta
bryant	bryant
stražnji	zadní
tiskana	tištěné
fan	fanynka
fan	fan
fan	větrák
fan	fanoušek
fan	fanda
očeve	otců
očeve	otcové
rich	bohaté
rich	bohatí
rich	bohatá
rich	rich
rich	bohatý
dopuštenje	svolení
dopuštenje	povolení
dopuštenje	oprávnění
simfonija	symfonie
doseljenici	osadníci
osudio	odsouzený
osudio	odsouzeni
osudio	odsouzena
osudio	odsouzen
generatora	generátory
fang	fang
specifične	specifické
specifične	specifická
specifične	konkrétní
specifične	specifický
zanimanja	profese
molitva	modlení
molitva	modlitbu
molitva	modlitba
cohen	cohen
faktora	faktorů
faktora	faktory
faktora	činitele
pink	pink
pink	růžový
pink	růžová
pink	růžové
doseljenika	osadníci
amazonas	amazonas
wagner	wagner
kontinuirano	nepřetržitě
kontinuirano	průběžně
kontinuirano	nepřetržité
kontinuirano	kontinuální
kontinuirano	nepřetržitý
kontinuirano	průběžné
molu	mola
molu	molu
molu	molo
vještica	čarodějnice
vještica	čarodějka
ham	šunka
ham	ham
ham	šunku
pirati	piráti
pirati	piráty
pretvoriti	proměnit
pretvoriti	převést
pojedinci	jednotlivci
pojedinci	jedinci
pojedinci	jednotlivců
pojedinci	jednotlivce
trst	terstu
jorge	jorge
stope	sazby
stope	kroky
biografski	biografické
izjava	prohlášení
izjava	výkaz
suprotnosti	protiklady
sandra	sandro
sandra	sandra
jonathan	jonathan
hrabrost	odvaha
hrabrost	kuráž
hrabrost	odvahu
menadžer	vedoucí
menadžer	správce
menadžer	manažer
piramida	pyramidu
piramida	pyramida
piramida	pyramidy
piramida	pyramid
piramida	pyramidy
kapitala	kapitál
garcia	garcia
gonzález	gonzález
čvor	uzel
čvor	uzel
bek	beck
bek	quarterback
eduard	eduard
odgovarajući	odpovídající
udovica	vdova
tumačenje	výklad
tumačenje	interpretace
tumačenje	tlumočení
podgorica	podgorica
harmonika	harmoniku
harmonika	harmoniku
spora	spóry
spora	spor
spora	sporu
trgovac	obchodník
trgovac	obchodník
trgovac	prodejce
trgovac	dealer
trgovac	obchodník
trgovac	překupník
poslovi	zaměstnání
legendarni	legendární
klasificira	klasifikuje
želeći	přání
želeći	přejí
želeći	přejeme
obveza	povinnost
obveza	povinnosti
obveza	závazek
obveza	závazek
obveza	odhodlání
hooper	hooper
radovan	radovan
muell	muell
nebeska	nebeská
nebeska	nebeské
nebeska	božské
nebeska	nebeský
nebeska	božský
nebeska	nebeské
nebeska	nebeský
rukopis	písmo
rukopis	rukopis
rukopis	rukopis
postignut	dosaženo
postignut	dosažena
postignut	dosažen
postignut	dosáhli
dostupne	dostupný
dostupne	dostupná
dostupne	dostupné
ulaganja	investice
ulaganja	investování
ulaganja	investice
sahranjen	pohřbená
sahranjen	pohřbené
sahranjen	pohřbený
sahranjen	pohřben
pregovori	vyjednávání
pregovori	jednání
pregovori	vyjednávání
pregovori	jednání
novčanice	účty
novčanice	bankovky
šteta	skoda
šteta	škoda
hlađenja	chladící
hlađenja	chlazení
hlađenja	chladicí
lisica	fox
lisica	liška
napetosti	napětí
najmanja	nejmenší
lazar	lazarus
lazar	lazar
litara	litrů
litara	litry
litara	litry
litara	galonů
litara	litrů
prepoznati	rozpoznat
prepoznati	rozpoznat
prepoznati	uznat
whitley	whitley
milorad	milorad
nezadovoljstvo	nespokojenost
nezadovoljstvo	nespokojenost
cestom	silnice
cestom	silniční
cestom	cesta
cestom	road
definirana	vymezené
definirana	definovaný
definirana	definováno
definirana	definovaná
definirana	definované
nebeski	nebeská
nebeski	nebeské
nebeski	božské
nebeski	nebeský
nebeski	božský
okrunjen	korunován
udaljeno	vzdálený
udaljeno	vzdálená
udaljeno	vzdálené
udaljeno	vzdálená
udaljeno	vzdálený
udaljeno	ovladač
udaljeno	vzdálené
fernández	fernández
izborni	volební
islanda	island
smanjen	snížené
smanjen	snížený
smanjen	snížen
smanjen	snížená
evolucija	evoluci
evolucija	vývoj
evolucija	evoluce
prijateljstvo	kamarádství
prijateljstvo	přátelství
poletio	létal
poletio	letěl
ulmus	ulmus
francuza	francouz
jose	jose
jose	josé
jose	josé
tehnološki	technologicky
tehnološki	technologický
tehnološki	technologická
tehnološki	technologické
blake	blake
neuspjeh	neúspěch
neuspjeh	selhání
savršeno	dokonalá
savršeno	perfektní
savršeno	dokonalý
elvis	elvis
elvis	elvise
carska	císařský
carska	císařské
carska	imperiální
carska	imperial
vena	žílu
vena	žíla
vena	žíly
skoplje	skopje
ram	ram
cao	cao
rukopisa	písmo
rukopisa	rukopis
rukopisa	rukopisy
rukopisa	rukopis
nedjelja	neděli
nedjelja	nedělní
nedjelja	neděle
bjelokosti	slonoviny
doktorat	doktorát
doktorat	doktorát
doktorat	phd
churchill	churchill
psa	psí
psa	pejsek
psa	pes
vaše	vaše
vaše	váš
vaše	tvůj
vaše	tvoje
vaše	vaši
felix	felixe
felix	felix
koeficijent	koeficient
proslave	oslavy
ubijena	zavražděný
ubijena	zavražděna
ubijena	zavražděná
ubijena	zavražděn
mlijeka	mléko
mlijeka	mléčná
mlijeka	mléka
motiva	motiv
motiva	motivy
porta	porta
snijeg	sníh
snijeg	sněhu
ravna	plochý
ravna	byt
ravna	ploché
ravna	plochá
domovina	vlasti
domovina	vlast
domovina	zemi
domovina	země
objavljivanje	zveřejňování
objavljivanje	vyhlášení
objavljivanje	publikace
objavljivanje	uveřejnění
objavljivanje	zveřejnění
objavljivanje	zveřejňování
objavljivanje	nakladatelství
objavljivanje	vydavatelství
objavljivanje	zveřejňování
objavljivanje	publikování
objavljivanje	zveřejnění
nadvojvoda	arcivévoda
atomi	atomů
atomi	atomy
bratstva	bratrstva
bratstva	bratrstva
bratstva	bratrství
bratstva	bratrstvo
bratstva	bratrstva
bratstva	bratrství
bratstva	bratrstvo
diktature	diktatury
poštovanje	úctu
poštovanje	respekt
poštovanje	respektovat
poštovanje	úcta
poštovanje	respektu
jar	sklenice
jar	jar
obična	obyčejné
obična	obyčejná
obična	obyčejný
reich	říše
istarski	istrijské
rama	rama
zatvara	zavře
zatvara	zavírá
bilja	bylinky
bilja	byliny
mons	mons
ferrari	ferrari
povod	příležitost
povod	příležitosti
reagira	reaguje
reagira	reaguje
reagira	reaguje
barnard	barnard
dokazuje	dokazuje
goveda	skot
goveda	dobytek
argentinski	argentinské
komunistički	komunista
komunistički	komunistická
komunistički	komunistické
moskvu	moskvy
moskvu	moskvě
moskvu	moskva
obećao	slíbili
obećao	slíbil
obećao	slíbila
zaštićeni	chráněný
zaštićeni	chráněná
zaštićeni	chráněno
zaštićeni	chráněné
hughes	hughes
vidljive	viditelný
vidljive	viditelná
vidljive	viditelné
procese	postupy
procese	procesy
procese	procesů
izbjegao	vyhnout
curtis	curtis
marx	marx
ujedinjeni	united
ujedinjeni	spojených
ujedinjeni	spojené
opcija	možnost
temeljni	zásadní
ovisnost	závislosti
ovisnost	závislost
ovisnost	závislosti
ovisnost	závislost
plinovi	plyny
tunela	tunely
tunela	tunelů
dennis	dennis
dennis	denis
arterija	tepna
arterija	tepnu
arterija	tepny
bor	pine
bor	borovice
položio	prošla
položio	prošel
hendrix	hendrix
financija	financování
financija	finance
financija	financovat
obljetnica	výročí
lorenzo	lorenzo
apsolutno	naprosto
apsolutno	absolutně
salvador	salvador
građanin	občan
građanin	občana
dario	dario
draba	draba
vjerovali	věřila
vjerovali	věřili
vjerovali	věřil
vjerovali	důvěryhodný
vjerovali	důvěryhodné
zenica	zenica
radno	práce
radno	prace
radno	pracovní
radno	práci
radno	pracovat
radno	pracující
radno	pracovní
mirage	mirage
preživjelih	přeživší
opisana	popsáno
opisana	popsána
opisana	popsané
opisana	popsaná
okružuje	obklopuje
okružuje	okolní
bantu	bantu
zrakom	vzduchem
makarska	makarska
naučiti	naučit
hebrejski	hebrejsky
albanija	albánie
balada	baladu
srbe	srbové
wolfgang	wolfgang
aerodrom	letištní
aerodrom	letiště
din	din
din	deane
din	děkan
din	dean
slavenski	slovanské
zastupnici	poslanci
zastupnici	zástupci
zastupnici	zákonodárci
atom	atom
mladu	nevěstu
mladu	nevěstou
mladu	nevěsta
leopard	leopard
lijep	pěkný
lijep	hezky
lijep	hezký
lijep	pěkné
lijep	nice
pijesak	písek
pijesak	písku
armenski	arménské
konstantno	nepřetržitě
konstantno	průběžně
konstantno	nepřetržitě
konstantno	neustále
konstantno	konstantní
konstantno	stálý
konstantno	neustálé
konstantno	stálé
konstantno	stálá
vaš	vaše
vaš	váš
vaš	tvůj
vaš	tvoje
vaš	vaši
castro	castro
#dddddd	#dddddd
raja	raja
raja	nebe
raja	nebesa
raja	ráje
raja	ráj
raja	paradise
manastira	kláštery
full	plné
full	plný
full	plná
povećan	zvýšený
povećan	zvýšená
povećan	zvýšení
povećan	zvýšené
prefektura	prefektura
opisati	popište
opisati	popsat
misu	hmota
misu	mše
misu	hmotnosti
misu	hmotnost
autonomna	autonomní
spremnik	tanku
spremnik	tank
spremnik	nádrž
spremnik	nádoba
spremnik	kontejner
spremnik	kontejneru
spremnik	zásobník
efekti	dopady
efekti	efekty
efekti	účinky
efekti	vlivy
violinu	housle
violinu	housle
povjerenstvo	provize
povjerenstvo	komise
atmosfera	atmosféru
atmosfera	ovzduší
atmosfera	atmosféry
atmosfera	atmosféra
pristaše	příznivci
pristaše	stoupenci
abraham	abraham
zvezda	hvězda
zvezda	star
ice	ledu
ice	led
ice	ice
atrakcija	atrakce
atrakcija	přitažlivost
atrakcija	atrakce
atrakcija	zajímavosti
izjave	výpovědi
lipa	lip
lipa	ret
litve	lotyšsko
litve	litva
liang	liang
staklo	sklenice
staklo	skla
staklo	sklo
lang	lang
biskupi	biskupové
negativno	záporné
negativno	negativní
prestižnu	prestižní
zapošljava	zaměstnává
prince	princi
prince	kníže
prince	prince
prince	princ
gov	gov
leća	čočky
leća	čočka
leća	čočky
ponudi	nabídku
ponudi	nabídnout
ponudi	nabídka
skladišta	skladiště
skladišta	sklad
skladišta	sklady
ikona	ikonu
ikona	ikona
ikona	ikony
pueblo	pueblo
main	main
main	hlavní
usmjerena	namířených
usmjerena	režie
prikazivanje	ukazující
prikazivanje	zobrazování
zaključuje	uzavírá
pećina	jeskyně
pećina	jeskyni
preci	předky
preci	předků
preci	předci
preci	předkové
mehmed	mehmed
dres	dres
dres	jersey
voyager	voyager
voyager	voyageru
ralph	ralpha
ralph	ralph
lišće	listí
lišće	listů
lišće	listy
mještani	místní
inspiriran	inspirovala
inspiriran	inspiroval
lubanja	lebku
lubanja	lebky
lubanja	lebka
proze	prózu
pokrenula	spuštěn
pokrenula	zahájena
pokrenula	zahájila
sfr	sfr
mare	mare
projekcija	projekce
isteka	vypršení
dominik	dominik
dominik	dominic
dominik	dominika
dominik	dominik
bear	méďa
bear	medvěd
bear	medvědí
bear	bear
kraći	kratší
primirje	příměří
primirje	příměří
studiji	studia
obnavlja	obnovuje
obnavlja	obnoví
mitchell	mitchell
kljun	zobák
neprijatelji	nepřátele
neprijatelji	nepřátel
neprijatelji	nepřátelé
izložen	vystaveno
izložen	vystaven
izložen	vystavené
izložen	nechráněný
une	une
tan	tan
luna	luna
zvjezdana	hvězdná
zvjezdana	hvězdné
zvjezdana	hvězdný
zvjezdana	hvězdná
zabrane	zákazy
fotograf	fotograf
fotograf	fotografka
greben	útesu
greben	útes
alen	allen
alen	allena
alen	alen
božice	bohyně
bože	bůh
bože	bože
bože	boží
make	učinit
make	udělat
make	vyrobit
mirjana	mirjana
ansambl	komplet
divlji	divočina
divlji	divoká
divlji	divoké
divlji	divoký
rijetka	vzácný
rijetka	vzácné
rijetka	vzácná
nichols	nichols
bon	bon
singer	zpěvačka
singer	zpěvák
joan	joan
hardcore	hardcore
nila	nilu
otpornost	odolnost
spisateljica	spisovatel
spisateljica	autor
spisateljica	spisovatelka
ten	tan
otpad	odpad
otpad	šrot
otpad	odpad
otpad	odpadu
otpad	odpady
otpad	plýtvání
intermedia	intermedia
spremni	připraven
spremni	připravena
spremni	připraveno
dvorište	nádvoří
dvorište	dvůr
dvorište	dvorku
dvorište	dvorek
dvorište	dvorek
dvorište	yard
dvorište	loděnice
pogreške	chyby
pogreške	chyb
pogreške	omyly
pogreške	chyby
pogreške	chyb
pogreške	omyly
lisa	lisa
lisa	lisu
lisa	líza
lisa	lisy
oslobodio	osvobodil
oslobodio	osvobozen
mlečani	benátčané
marsa	martian
marsa	marsu
marsa	mars
kemija	chemii
kemija	chemie
groba	hrobu
groba	hrob
siska	sisko
rossi	rossi
marketing	marketing
izložena	vystaveno
izložena	vystaven
izložena	vystavené
izložena	nechráněný
mlijeko	mléko
mlijeko	mléčná
mlijeko	mléka
označeni	označené
označeni	označen
označeni	označený
označeni	označeno
znakove	znamení
legije	legie
počast	hold
počast	pocta
tehničar	technik
tehničar	technika
gljiva	houby
gljiva	houba
generator	generátoru
generator	generátor
peruu	peru
ispit	test
ispit	zkouška
ispit	otestovat
poslužitelj	serveru
poslužitelj	server
pomak	směnu
pomak	směna
pomak	posun
pomak	vyrovnání
inicijativa	iniciativa
inicijativa	iniciativy
inicijativa	podnět
inicijativa	iniciativu
wien	wien
wien	vídeň
kreolski	kreolské
gubitaka	ztrát
gubitaka	ztráty
jabuka	jablko
jabuka	jablečný
jabuka	apple
jabuka	jablka
oton	oton
pearl	pearl
pearl	perlu
pearl	perla
božanstvo	božstvo
božanstvo	božství
božanstvo	božstvo
morris	morris
morris	morrise
nastava	vyučování
nastava	učení
nastava	výuka
nastava	výuky
nastava	třídy
nedavni	nedávný
nedavni	nedávné
nedavni	nedávná
vjerska	náboženský
vjerska	náboženská
vjerska	náboženské
baterije	baterie
baterije	baterie
baterije	baterky
meksički	mexická
meksički	mexický
meksički	mexičan
meksički	mexické
sicilije	sicílie
ćelija	buňky
ćelija	buňka
ćelija	cela
ćelija	cely
shvati	pochopit
rothschild	rothschild
uvjerenja	přesvědčení
brojeve	čísla
pjevao	sang
pjevao	zpíval
pjevao	zpívala
krater	kráter
vitamin	vitamín
aplikacija	přihláška
aplikacija	aplikace
aplikacija	žádost
aplikacija	aplikace
aplikacija	app
aplikacija	aplikaci
torino	torino
igračke	hračky
šupljine	dutiny
šupljine	dutiny
spašavanje	záchrana
spašavanje	ukládání
spašavanje	úspory
spašavanje	záchranu
spašavanje	uložení
spašavanje	záchrana
spašavanje	záchranu
wei	wei
stambene	obytné
vrhova	peaks
vrhova	vrcholy
glover	glover
čuda	zázraky
čuda	zázraků
čuda	zázraky
čuda	divy
dublje	hlouběji
dublje	hlubší
opsada	obléhání
opsada	obležení
springs	springs
springs	prameny
prodor	průlom
turista	turistická
turista	turistické
turista	turista
turista	turisty
turista	turistů
turista	turisté
kampanja	kampaň
kampanja	kampaně
kampanja	tažení
obveze	závazky
obveze	povinnosti
obveze	závazky
obveze	závazků
obveze	povinnost
obveze	povinnosti
obveze	závazek
puebla	puebla
mara	maru
mara	mara
odredište	cíl
odredište	destinace
drvena	dřevěné
drvena	dřevěná
drvena	dřevěný
drvena	dřevo
drvena	dřeva
pošta	poštu
pošta	mail
pošta	pošta
pošta	poštou
cska	cska
predavač	lektor
fontana	fontana
fontana	fontána
fontana	fontány
fontana	fontány
sektora	sektor
sektora	odvětví
sektora	sektoru
sektora	odvětví
sektora	sektorů
sektora	sektory
faust	faust
duke	duke
duke	vévoda
boban	boban
andreas	andreas
piramide	pyramidu
piramide	pyramida
piramide	pyramidy
piramide	pyramid
piramide	pyramidy
glad	hladomor
glad	hlad
zeleno	zelené
zeleno	zelený
zeleno	green
zeleno	zeleně
zeleno	zelená
dick	dick
dick	kokot
izbjeglice	uprchlíků
izbjeglice	uprchlíky
izbjeglice	uprchlíci
spojena	sloučeny
spojena	sloučit
zastupljenost	zastupování
zastupljenost	reprezentace
zastupljenost	zastoupení
putanje	stezky
putanje	cest
putanje	cesty
izumio	vymyšlená
izumio	vynalezl
izumio	smyšlený
izumio	vymyšlený
izvješća	zprávy
izvješća	hlášení
zabave	večírky
zabave	strany
varijacije	varianty
varijacije	variace
varijacije	variace
sánchez	sánchez
siriji	sýrie
vrti	točí
vrti	točí
khl	khl
postojeći	existující
postojeći	stávající
standardna	norma
standardna	standardní
standardna	standard
aluminija	hliník
aluminija	hliník
vozi	řídit
vozi	drive
donald	donald
naredbe	příkazy
naredbe	příkazů
naredbe	příkazy
naredbe	objednávky
naredbe	rozkazy
umjetni	umělý
umjetni	umělé
umjetni	uměle
umjetni	umělá
profesionalno	profesionální
profesionalno	profesionál
profesionalno	profesní
profesionalno	profesionálně
okus	chuť
okus	chuť
okus	příchuť
tropske	tropické
canis	canis
almanah	almanach
poplava	povodně
poplava	povodeň
poplava	záplavy
poplava	povodně
poplava	záplavy
poplava	povodně
poplava	záplavy
sergio	sergio
primjeni	aplikovat
primjeni	uplatnit
tramvaj	tramvaj
tramvaj	tramvaje
tramvaj	vozík
tramvaj	tramvaj
tramvaj	vozíku
tramvaj	tramvaj
kraljevsko	královské
kraljevsko	královská
kraljevsko	royal
kraljevsko	královský
sim	sim
sim	sim
bosanskih	bosenské
leone	leone
leone	leona
leone	leone
leone	leon
probiti	proniknout
ukratko	stručně
ukratko	krátce
ukratko	krátké
ukratko	krátká
ukratko	krátký
pjevala	sang
pjevala	zpíval
pjevala	zpívala
japansko	japonské
japansko	japonská
japansko	japonský
japansko	japonec
pečat	známka
pečat	razítko
pečat	pečeť
pečat	seal
ebert	ebert
prehrane	výživa
prehrane	výživy
natječaj	něžné
natječaj	něžná
natječaj	nabídka
natječaj	soutěž
esejist	esejista
violina	housle
maxim	maxime
maxim	maxim
maxim	maxima
počinio	spáchal
proteina	protein
proteina	proteiny
proteina	bílkoviny
proteina	bílkovin
lyon	lyon
jajce	jajce
osvajača	vetřelci
danilo	danilo
barcelone	barceloně
barcelone	barcelona
augustin	augustin
miles	miles
miles	kilometry
miles	mil
miles	míle
zrcala	zrcadla
zrcala	zrcátka
zaštitnika	patrona
zaštitnika	patron
esej	esej
izbijanja	epidemie
izbijanja	ohnisko
postizanje	dosahování
postizanje	dosažení
postizanje	dosažení
konvencije	úmluvy
konvencije	úmluv
konvencije	konvence
konvencije	konvence
konvencije	sjezd
konvencije	úmluvy
konvencije	úmluva
odražava	odrážející
odražava	reflexní
odražava	odráží
iznutra	dovnitř
iznutra	uvnitř
iznutra	vevnitř
grijeha	hříchu
grijeha	sin
grijeha	hřích
karakterističan	rozlišovací
karakterističan	výrazné
karakterističan	výrazná
karakterističan	výrazný
bratstvo	bratrstva
bratstvo	bratrství
bratstvo	bratrstvo
bratstvo	bratrstva
bratstvo	bratrství
bratstvo	bratrstvo
dinara	dinár
dinara	dinárů
pgp	pgp
vlakana	vlákno
vlakana	vlákna
krzno	kožešiny
krzno	srst
satima	hodin
satima	hodiny
vuka	vlčí
vuka	vlk
vuka	wolf
pokrenuta	spuštěn
pokrenuta	zahájena
pokrenuta	zahájila
deutsche	deutsche
glasine	zvěsti
glasine	pomluvy
glasine	fámy
glasine	zvěsti
glasine	fámy
radionica	workshop
radionica	dílna
radionica	seminář
vjenčanja	svatby
vjenčanja	svateb
camp	kemp
camp	camp
camp	tábor
britaniju	británie
revoluciju	revoluce
revoluciju	revoluci
maribor	maribor
hampshire	hampshire
leptir	motýl
leptir	motýlek
prikazano	zobrazeny
prikazano	doporučené
prikazano	doporučeno
ubojice	vrahové
ubojice	vrazi
ubojice	vrahy
ubojice	zabijáci
ubojice	vrahové
ubojice	vrahy
ubojice	vrazi
ubojice	vrahové
ubojice	vrazi
ubojice	zabijáci
tvrdeći	hádání
tvrdeći	tvrdí
glasom	hlas
suha	suchá
suha	suché
suha	sucho
suha	suchý
komercijalno	obchodně
komercijalno	komerčně
bora	bora
nakai	nakai
hunt	hon
hunt	lov
hunt	hunt
hunt	lovu
hunt	lovit
uši	vši
uši	uši
uši	uší
bitaka	bitev
bitaka	bitvy
graf	grafu
graf	graf
graf	graf
potpora	podporu
potpora	podporovat
potpora	podpořit
potpora	podpory
potpora	podpora
baterija	baterie
mita	úplatky
fritz	fritz
acer	acer
poznavanje	znalosti
poznavanje	poznání
poznavanje	znalost
poznavanje	vědomosti
poznavanje	vědění
atlanta	atlantě
atlanta	atlanty
historia	historia
petru	petro
petru	petra
vjenčanje	svatba
vjenčanje	svatbu
vjenčanje	svatební
vjenčanje	svatby
kuge	mor
kuge	moru
kurt	kurt
kurt	kurta
pomogli	pomohli
pomogli	pomáhal
pomogli	pomohly
pomogli	pomohl
pomogli	pomohla
sul	sul
zahvalnosti	vděčnost
zahvalnosti	vděk
gene	gene
gene	gen
bojan	bojan
ekološki	ekologické
ekološki	ekologický
ekološki	ekologická
vice	vice
parovi	dvojice
parovi	páry
uništavanje	zkáza
uništavanje	zničení
uništavanje	ničení
uništavanje	destrukce
horor	horor
horor	hrůza
linux	linux
faraon	faraón
zenit	zenith
liječnici	doktoři
liječnici	doktorů
liječnici	lékaři
zamjene	náhradníci
susjeda	sousedka
susjeda	soused
susjeda	sousedka
susjeda	soused
ahmed	ahmed
tekuće	probíhá
tekuće	pokračující
tekuće	probíhající
tekuće	tekutý
tekuće	tekutina
tekuće	tekuté
tekuće	kapalina
molio	modlil
molio	modlila
molio	prosil
molio	prosila
preuzimanja	stahování
preuzimanja	stažení
malus	malus
ograničeno	omezeno
ograničeno	omezený
ograničeno	omezené
ograničeno	omezená
ograničeno	omezeno
ograničeno	omezený
ograničeno	omezená
ograničeno	omezené
testiranje	testování
testiranje	zkoušení
testiranje	zkouška
testiranje	zkoušky
dog	psí
dog	pejsek
dog	pes
definicije	definice
definicije	definice
definicije	vymezení
audi	audi
tokyo	tokiu
tokyo	tokio
pronađe	najde
stavove	přístupy
stavove	postoje
besplatno	volná
besplatno	volné
besplatno	volný
besplatno	free
besplatno	zdarma
forest	lesní
forest	les
forest	lesy
forest	lesa
promatranje	pozorování
promatranje	pozorování
promatranje	pozorovací
promatranje	postřeh
karen	karen
kukuruz	kukuřice
kukuruz	kukuřici
posthumno	posmrtné
chamberlain	chamberlain
trening	trénink
trening	výcvik
trening	školení
trening	trénink
trening	praxe
trening	praxi
trening	tréninky
trening	trénink
trening	posilování
trening	cvičení
poduzetnik	podnikatele
poduzetnik	podnikatel
