wembley	ومبلی
nuoma	اقساط
nuoma	اجاره
kaimynas	همسایه
kaimynas	همسایه
pirštas	انگشتش
pirštas	انگشت
pirštas	فینگر
jacqueline	ژاکلین
bėgiai	نرده
ortega	اورتگا
ide	ide
mandela	ماندلا
kiribačio	کیریباتی
colo	کولو
morrison	موریسون
français	français
spartą	اسپارتا
likučių	مانده
seule	سئول
tuberkuliozė	سل
grafinio	نگاره
grafinio	graphic
swansea	سوانسی
horizontas	افق
miškininkystė	جنگلداری
tarpininkavimo	میانجی
tarpininkavimo	میانجیگری
patogi	راحتی
patogi	راحت
uždirbti	کسب
apmokestinimo	مالیات
subpage	subpage
abdullah	عبدالله
avenir	avenir
išgyvenimo	بقا
išgyvenimo	بقای
išgyvenimo	بقاء
valdis	والدیس
granata	نارنجک
sidney	سیدنی
turtai	بخت
minia	جمعیت
minia	شلوغی
minia	ازدحام
kalbotyra	زبانشناسی
teisėta	مشروع
gražūs	خوبی
gražūs	قشنگ
gražūs	قشنگه
sinensis	sinensis
milius	میلیوس
togas	توگو
reputacija	اعتبار
reputacija	آبرو
reputacija	شهرت
reputacija	شهرتش
užutėkis	sund
autobiografija	خودزندگینامه
autobiografija	زندگینامه
nuolaidų	امتیازی
derva	آدامس
derva	رزین
briaunainis	چندوجهی
mira	میرا
choleros	وبا
daiktavardis	اسم
daiktavardis	موصوف
polina	پولینا
eldorado	الدورادو
joninių	چله
įrašymas	ضبط
devi	دوی
betty	بتی
gibson	گیبسون
grevenmacher	گرونماخر
fenerbahçe	باشگاه
šonkaulių	دنده
šonkaulių	دنده
#ffcc	#ffcc
panda	پاندای
panda	پاندا
stebuklas	معجزه
neigimas	انکار
neigimas	کفر
redakcinė	سرمقاله
mėgstamiausias	محبوب
švarus	تمیز
švarus	پاکم
švarus	پاک
rowland	رولند
sankirtos	چهارراه
sankirtos	تقاطع
arno	آرنو
zuzana	زوزانا
rojų	بهشت
neapykanta	کینه
neapykanta	بغض
neapykanta	عداوت
neapykanta	نفرت
neapykanta	متنفر
neapykanta	متنفرم
neapykanta	تنفر
neapykanta	نفرت
lyja	بارندگی
elitas	نخبگان
elitas	نخبه
diržas	کمربند
australianopenresult	australianopenresult
ešerys	لوتی
ešerys	پرچ
metano	متان
arekipos	آرکیپا
massimo	ماسیمو
botnijos	بوتنی
kirk	کرک
clinton	کلینتون
donato	دوناتو
biurų	دفاتر
biurų	ادارات
matavimas	پیمانه
vairuotojų	رانندگان
pomidorų	گوجه
buriatų	buryat
uagadugu	اوآگادوگو
gliese	گلیز
išimtys	استثنا
pateikimas	تسلیمی
pateikimas	تسلیم
leopardas	پلنگی
leopardas	پلنگ
dokumentacijos	مستندات
monografijos	monographs
usopenresult	usopenresult
romanovas	رومانوف
triušiai	خرگوشی
triušiai	خرگوش
rembrantas	رامبرانت
hab	hab
moldavų	مولداویایی
konfigūracija	پیکربندی
shannon	شنون
shannon	شانون
shannon	شانن
naga	ناگا
degtinė	ودکا
imunitetas	بیزاری
imunitetas	برائت
imunitetas	مصونیت
wells	ولز
žodynų	واژگان
horst	هورست
atspindys	بازتاب
atspindys	انعکاس
fotografė	photographer
fotografė	عکاس
aklas	کور
aklas	نابینا
siūlai	نخی
siūlai	نخ
díaz	دیاز
ironija	طنز
ironija	طعنه
priesaika	قسم
priesaika	سوگند
linai	کتان
guillaume	گیوم
sunaikinimas	تخریب
sunaikinimas	هلاکت
sunaikinimas	نابودی
sunaikinimas	خرابی
sunaikinimas	ویرانی
kapiliarų	مویرگ
sampdoria	سمپدوریا
džamu	جامو
continental	قارهای
fosfatų	فسفات
jura	ژورا
džiuljeta	جولیت
džiuljeta	ژولیت
aug	اوت
aug	aug
zoran	زوران
routledge	روتلج
andersen	اندرسن
twitter	توئیتر
twitter	twitter
twitter	تویتر
twitter	توییتر
banginis	نهنگ
banginis	وال
skolininko	بدهکار
turbinos	توربینهای
stela	استلا
karvė	گاوها
karvė	گاوه
karvė	گاوی
karvė	گاو
mandatas	فرمانی
frenchopenresult	frenchopenresult
ribojimas	محدودیت
džiaugsmo	مسرت
džiaugsmo	شادی
džiaugsmo	جوی
džiaugsmo	شادمانی
džiaugsmo	خوشی
zeiss	زایس
adobe	خشت
adobe	ادوبی
failas	پرونده
mer	مر
meškutė	شاپرک
neteisingas	نادرست
alkūnės	آرنج
twente	توئنته
seine	سن
mieško	میشکو
kvadratas	تقسیم
kvadratas	واحد
turkmėnija	ترکمنستان
dharma	دارما
alvaro	آلوارو
tenesio	تنسی
alegorija	تمثیل
mesa	مسا
kinematografija	فیلمبرداری
bruklino	بروکلین
varlė	قورباغه
klounas	دلقک
bachtinas	باختین
liucernos	لوسرن
uniformas	یونیفرم
uniformas	یونیفورم
pilkapis	گورپشته
obi	اوبی
vip	vip
wimbledonresult	wimbledonresult
pomidorai	گوجه
žiaurus	وحشیانه
paramore	پارامور
įspūdinga	ابهت
įspūdinga	موثر
įspūdinga	تماشایی
įspūdinga	دیدنی
buena	بوئنا
samurajus	سامورایی
adalbertas	آدالبرت
antikūnų	پادتن
emmanuel	امانوئل
bim	bim
trukdyti	مزاحم
atstatymas	بازگردانی
atstatymas	مرمت
atstatymas	ترمیم
uml	uml
kištis	دخالت
demokratinėje	دمکراتیک
demokratinėje	دموکراتیک
demokratinėje	دموکرات
kabeliai	کابل
kabeliai	کابلی
kabeliai	کابل
rapsų	تجاوز
ligūrijos	لیگوریا
ruošos	ثبت
kamuoliukas	بیسبال
lūžių	شکستگی
maliarija	مالاریا
advokatai	وکیل
advokatai	وکلا
agripa	آگریپا
kapitonai	اساتید
kapitonai	استادان
kapitonai	اربابان
kapitonai	مسترز
chunino	جونین
hansen	هانسن
hansen	هنسن
stanfordo	استنفورد
whitney	ویتنی
gugenheimo	گوگنهایم
nustebino	متحیر
kraujavimas	خونریزی
fermentas	آنزیم
adatos	سوزن
adatos	سرنگ
forbes	فوربس
forbes	فوربز
preparatas	آمادگی
preparatas	تدارک
granatų	انار
nusipelnė	لایق
nusipelnė	رهنورد
suplanuotas	بادکنکی
vasalas	واسال
rubens	روبنس
pasirūpinti	ترتیب
timeaxis	timeaxis
žmogžudysčių	قتلهای
jogailaitė	یاگیلون
bara	bara
bara	بارا
pradešas	پرادش
sraigtasparnio	هلیکوپتر
sraigtasparnio	بالگرد
abejonės	شک
stumia	هل
tolerancija	بردباری
tolerancija	تحمل
tolerancija	مدارا
pasodinti	جاسازی
pasodinti	بلغزد
pasodinti	کاشته
benetton	benetton
gaisrai	آتشسوزی
nykštukas	کوتوله
raja	اسکیت
didvyriai	قهرمانان
étienne	اتین
gebėjimai	قابلیت
bernardino	برناردینو
tara	تارا
borisov	بوریسف
trieste	تریسته
xxv	xxv
ontarijas	انتاریو
bronzinė	ترویلوس
luizianos	لوئیزیانا
bosch	بوش
švieži	تازه
delegatai	نمایندگان
matteo	متئو
protingas	باهوش
protingas	خردمند
protingas	باهوش
protingas	هوشمند
vienuolės	راهبه
undef	undef
priemaiša	ناخالصی
imuniteto	بیزاری
imuniteto	برائت
imuniteto	مصونیت
pamokslų	موعظه
teisėtai	قانونا
meilužė	معشوقه
delis	دهلی
kriaušių	گلابی
karbonatas	کربنات
žiburiai	چراغها
žiburiai	چراغ
akcininkai	سهامداران
pranciškonai	فرانسیسکن
naujovė	نوآوری
ava	آوا
grove	گروو
grove	گرو
jung	جونگ
jung	یونگ
cartier	کارتیه
padažu	سس
troškimas	خواهان
troškimas	طالب
troškimas	میل
troškimas	هوس
yucca	یوکا
perlai	پرند
perlai	مرواریدی
timbaland	تیمبلند
paruošimas	آمادگی
paruošimas	تدارک
triumfas	پیروزی
triumfas	تریومف
ursula	اورسلا
andersson	آندرشون
baba	baba
testcases	testcases
gianni	جیانی
importuoti	واردشده
importuoti	وارداتی
buteliai	بطری
nicholson	نیکلسون
guobų	الم
guobų	نارون
saudas	سعود
tobulas	عالی
tobulas	perfect
tobulas	پرفکت
konkurentas	رقیب
konkurentas	رقیب
vikšras	کرم
vikšras	کاترپیلار
ángel	آنخل
utar	اوتار
falenopsis	phalaenopsis
antonov	آنتونوف
nuestra	nuestra
aimarų	آیمارا
daugiskaita	جمع
lokomotive	lokomotive
yamaha	یاماها
gorica	گریتسا
vinci	وینچی
rezonanso	تشدید
volvo	ولوو
graužikai	جوندگان
graužikai	جونده
graužikai	جونده
pagalvės	متکا
pagalvės	بالش
kauliukai	تاس
kauliukai	طاس
trinties	اصطکاک
tikslūs	دقیق
naudingumo	سودمندی
butelis	بطری
milton	میلتون
deutsch	دویچ
kusko	کوزکو
kalmaro	کالمار
nuno	نونو
išformuota	منحل
trokšta	خواهان
trokšta	طالب
trento	ترنتو
kriauklė	صدفی
shah	shah
shah	شاه
šviežias	تازه
komunalinių	تسهیلات
arte	arte
monde	monde
alabama	آلاباما
clash	کلش
clash	برخورد
ateiviai	بیگانگان
deutscher	دویچر
trs	fms
persėjas	پرسیوس
aleksijus	آلکسیوس
višta	مرغی
višta	مرغ
višta	جوجه
jubiliejus	سالگرد
kalkių	آهک
kalkių	لایم
teherano	تهران
teherano	tehran
bombardavimo	بمبگذاری
bombardavimo	بمباران
kalniečių	تارتان
gros	gros
vat	مرطوب
vat	خیس
ačiū	تشکر
ačiū	سپاس
ačiū	ممنون
beselio	بسل
maitinimas	تدارکات
ketverto	کوارتت
lynch	لینچ
nelygybė	نابرابری
nelygybė	inequality
lempa	لامپ
lempa	چراغی
lempa	چراغ
lempa	لامپ
viskis	ویسکی
viskis	ھم
viskis	ویسکی
bukų	بیچ
astra	آسترا
pilnametystės	بزرگسالی
pilnametystės	بلوغ
nuotėkis	درز
universitatea	universitatea
apsiaustas	شنل
apsiaustas	خرقه
apsiaustas	ردای
remixes	remixes
daugava	دائوگاوا
mechelen	مشلان
krešėjimo	لخته
krešėjimo	انعقاد
goja	گویا
trimitai	ترومپت
trimitai	شیپوری
kosmonautas	فضانورد
laumžirgis	هاوکر
altvar	altvar
dekarto	دکارتی
varškė	کشک
mozaikos	موزاییک
mozaikos	معرق
mozaikos	موزاییک
mozaikos	موزائیک
stemma	stemma
sepc	sepc
andamanų	آندامان
mineralinis	معدنی
atyrau	آتیرائو
skrandis	معدی
paulus	پلوس
egzaminas	امتحان
egzaminas	معاینه
egzaminas	آزمون
nuodėmes	گناهان
dviračio	دوچرخه
žolelių	گیاهی
žolelių	گیاهان
mindanao	میندانائو
katmandu	کاتماندو
velvet	مخمل
velvet	مخملی
kat	کت
vin	وین
morkų	هویج
morkų	هویج
ketinimus	قصدی
ketinimus	قصد
ketinimus	نیات
ketinimus	مقاصد
parašiutu	چتر
pianino	piano
pianino	پیانوی
pianino	پیانو
fasas	فاسو
pirkėjas	خریدار
derinimas	مصالحه
derinimas	پیکربندی
humbolto	هومبولت
martenas	مارتن
kosmologija	کیهانشناسی
mylėti	معشوق
mylėti	دوستدار
kabina	اتاقک
kabina	تاکسی
kabina	اتاقک
kabina	کابین
kabina	کلبه
norwich	نورویچ
musée	musée
geresnė	بهتر
geresnė	بهترش
judaizmas	یهودیت
ultima	ultima
cfr	cfr
strauss	اشتراوس
blade	بلید
blade	تیغه
blade	تیغ
rajon	ریجان
domina	علاقمندی
domina	علاقه
domina	علاقمند
frans	فرانس
rostock	روستوک
blužnies	طحال
lova	تخت
lova	تختخواب
lova	بستر
lova	رختخواب
pitsburgo	پیتزبورگ
hardy	اردی
hardy	هاردی
grodno	گرودنو
cupressaceae	سرویان
maz	مازیار
talentingas	استعداد
jautrios	حساس
jautrios	حساسی
krokodilas	تمساح
krokodilas	کروکودیل
varuna	وارونا
kanalizacijos	فاضلاب
ieee	ieee
biurai	دفاتر
biurai	ادارات
mūza	الهه
flamenko	فلامنکو
liststyle	liststyle
čerkasų	چرکاسی
ano	ano
kama	کاما
kama	کامه
justinianas	ژوستینیان
gomurio	ذائقه
įtaisytas	نهفته
įtaisytas	توکار
auglys	تومور
auglys	غده
factbook	factbook
daniela	دانیلا
blogiau	بدتر
berg	برگ
zagrebas	زاگرب
papuošalas	جواهر
papuošalas	جواهرات
lyra	لیرا
kabinos	اتاقک
iraklis	ایراکلی
būgno	طبل
būgno	درام
sutuoktiniai	همسران
paliečia	رسد
alla	آلا
segmentai	قطعه
pramoga	سرگرمی
pramoga	تفریحات
pramoga	پذیرایی
avilių	کندو
avilių	هایو
avilių	کندوی
mok	موک
agresija	پرخاشگری
agresija	تجاوز
imagesize	imagesize
carrera	کاررا
cunamio	سونامی
wes	وس
esbjerg	اسبیرگ
pagražinti	آراسته
puccini	پوچینی
nippon	نیپون
gómez	گومز
ūdra	سمور
ūdra	شنگ
ūdra	اوتر
eclipse	گرفتگی
eclipse	خورشیدگرفتگی
lemiamas	قاطع
eugen	اویگن
kobra	کبری
kobra	کبرا
bella	بلا
sato	ساتو
vagonai	ونس
vagonai	ون
vagonai	وَن
marksas	مارکس
laukinis	وحشی
nesėkmė	شکست
nesėkmė	نارسایی
nesėkmė	خرابی
valerius	والریوس
diaz	دیاز
wesley	وسلی
plotarea	plotarea
gala	گالا
gala	gala
kalis	پتاسیم
mirtina	کشنده
mirtina	کشنده
mirtina	مرگبار
mirtina	مهلک
mylios	مایل
palanki	نعمتهای
džonatanas	جاناتان
scalemajor	scalemajor
ankaros	آنکارا
geria	نوشیدن
geria	آشامیدنی
geria	نوشیدنی
toto	توتو
metras	متر
saugus	باشگاه
saugus	ورزشگاه
saugus	ورزش
inka	اینکا
doro	نیکوکاران
topalovas	توپالف
parazitų	انگل
valenciennes	والنسین
dostojevskis	داستایوسکی
willis	ویلیس
medici	مدیچی
malibu	مالیبو
christoph	کریستف
christoph	کریستوف
himalajinis	هیمالیا
wikitable	wikitable
soto	سوتو
bilietus	بلیط
bilietus	بلیت
castillo	کاستیلو
liam	لیام
liam	لیم
granatas	لعل
pont	پون
pont	پنت
prizų	جوایز
fredrikstad	فردریکستاد
biochemija	بیوشیمی
dažyti	رنگین
sullivan	سالیوان
pamiršti	فراموش
pamiršti	یادشان
phantom	اشباح
phantom	شبح
phantom	فانتوم
sprache	sprache
silpną	غش
aldo	آلدو
kooperatyvas	تعاونی
slėpti	پنهان
transliacijas	مخابره
motyvacija	انگیزه
motyvacija	انگیزش
serge	سرژ
atlaidus	بخشنده
kedrų	سدار
posėdžiai	جلسات
posėdžiai	نشستهای
posėdžiai	جلسات
vergas	slave
vergas	بنده
vergas	برده
musmirė	قیصریه
privalomi	الزامی
privalomi	اجباری
privalomi	واجب
umaras	عمر
deimantai	الماس
deimantai	الماسها
deimantai	خشت
deimantai	الماسهای
aliuminis	آلومینیوم
aliuminis	آلومینیوم
darbdavys	کارفرمایان
darbdavys	کارفرما
darbdavys	کارفرمای
testai	آزمونهای
barbuda	باربودا
blizgesys	براق
aviečių	تمشک
paskola	قرض
paskola	وام
demi	دمی
įnašas	سهم
drakula	دراکولا
lolita	لولیتا
hasanas	حسن
hilal	هلال
afrikanų	آفریکانس
elias	الیاس
verpimo	چرخیدن
verpimo	چرخان
šalmą	کلاه
loginis	منطق
loginis	منطقی
streikai	رسد
įžymybių	سلبریتی
įžymybių	مشاهیر
blogiausia	بدترین
pelkę	باتلاق
pelkę	مرداب
nepasitikėjimą	بدگمانی
trajektorijos	مسیر
olympiacos	olympiacos
abs	abs
sambo	سامبو
sulaužė	شکسته
sulaužė	ورشکسته
apklausa	نظرسنجی
nelaimė	مصیبت
nelaimė	فاجعه
nelaimė	مصیبتی
nelaimė	حادثه
autobuso	اتوبوس
autobuso	bus
nie	نیه
grynasis	تور
grynasis	net
chanty	خانتی
gustaf	گوستاف
muntjakas	فریادکش
skalės	ترازوی
alignbars	alignbars
musica	musica
pueblo	پوئبلو
gerinimo	بهبودی
gerinimo	بهبود
dialogai	گفتگوها
teodosijus	تئودوسیوس
greitesnis	تندتر
drėgmė	رطوبت
drėgmė	رطوبت
sudėtingumas	دشواری
sudėtingumas	سختی
sudėtingumas	پیچیدگی
svajonės	رؤیاها
svajonės	پریشان
svajonės	رویاها
svajonės	رویاهای
rupija	روپیه
nuotaikas	حالات
išbandytas	آزموده
konsultavimas	مشورت
konsultavimas	مشاوره
grįžimas	بازگشت
dokumentacija	مستندات
trauka	گرانشی
trauka	جاذبه
trauka	گرانش
nomenklatūra	نامگذاری
shuttle	شاتل
erasmus	اراسموس
manijokai	مانیوک
lėktuve	طیاره
noel	نوئل
noel	نول
cern	سرن
kodavimo	کدگذاری
kodavimo	پربازده
nata	ناتا
svyravimų	نوسانات
svyravimų	کنتراست
bam	bam
bam	بم
psichinės	روانی
sofoklis	سوفوکل
intervencija	دخالت
intervencija	مداخله
bombardavo	بمباران
ignacas	ایگناز
įsikūnijimas	حلول
įsikūnijimas	تجسم
įsikūnijimas	مجسم
nagus	ناخن
nagus	میخ
damos	بانوی
damos	بانو
asbesto	نسوز
coventry	کاونتری
sandėlio	انبار
diabetu	دیابت
nuostabus	عالی
nuostabus	عالیه
nuostabus	عالی
fabricius	فابریسیوس
subaru	سوبارو
vitaminai	ویتامینهای
vitaminai	ویتامین
vitaminai	ویتامین
osbourne	آزبورن
iliuzija	وهم
iliuzija	توهم
barjerą	برزخی
barjerą	مانع
til	تیل
poilsis	تفریح
poilsis	تفریحات
poilsis	آرامش
poilsis	الباقی
poilsis	استراحت
midus	مید
cilindras	استوانه
cilindras	سیلندر
kabulo	کابل
sąžinės	وجدان
vasco	واسکو
silpnesnis	ضعیفتر
jackie	جکی
vagis	دزد
krūtinkaulio	جناغ
abba	ابا
abba	آبا
nuoga	عریان
nuoga	لختی
nuoga	برهنه
nuoga	لخت
manu	مانو
ješiva	یشیوا
sėklidės	خایه
sėklidės	بیضه
sinatra	سیناترا
suformuluoti	تزریق
kon	kon
įterpti	درج
grobis	درندگان
grobis	طعمه
grobis	شکارش
origami	اوریگامی
kalikstas	کالیکتوس
dima	دیم
dima	دیما
hoffmann	هافمن
lippi	لیپی
apelsinų	پرتقال
apelsinų	نارنجی
apelsinų	اورنج
ericsson	اریکسون
dvynys	دوقلو
ambicijų	بلندپروازی
mąstytojas	متفکر
amžina	ابدی
amžina	جاودانی
amžina	پاینده
suvereniteto	حاکمیت
gaila	ترحم
gaila	افسوس
gaila	متاسفم
setas	سث
setas	سِت
batus	پوتین
batus	چکمه
suvirinimo	جوشکاری
akordeonas	آکاردئون
pilvą	بطن
pilvą	شکم
pilvą	شکمش
salyklo	مالت
tech	فناوری
tech	متخصصین
tech	تکنولوژی
pykčio	خشم
diablo	دیابلو
paradas	رژه
kopūstai	کلم
gizos	جیزه
gaidukas	روف
crest	کرست
loa	لوا
mora	مورا
xxiv	xxiv
madre	مادره
ateistas	آتئیست
vėdinimo	تهویه
alvaras	آلوار
algebra	جبر
kandži	کانجی
dviratis	دوچرخه
dviratis	موتور
dviratis	دوچرخه
alyva	نفت
alyva	اویل
alyva	روغن
vejle	وایله
kaskada	آبشاری
klijai	چسب
klijai	چسبنده
lauda	لادا
kmi	bmi
vieversys	چکاوک
rodriguez	رودریگز
komplikacijos	عوارض
bilietas	بلیط
bilietas	بلیت
ldp	ldp
akcentas	سرکوب
akcentas	آکسان
akcentas	لهجه
cosmos	کیهان
cosmos	گیتی
kiaušidės	تخمدان
kiaušidės	تخمدان
hart	هارت
gomes	گومز
mergedrow	mergedrow
hansa	هنسا
baitų	بایت
elegans	الگانس
vilkikas	تراکتور
vilkikas	تراکتورسازی
zabrze	زابژه
sunkumai	چالش
sunkumai	دشواری
sunkumai	سختی
sunkumai	مشکلات
muller	مولر
florijonas	فلوریان
išmokyti	تدریس
ffd	ffd
atspindžiai	بازتاب
gavėjas	گیرنده
gavėjas	گیرنده
frida	فریدا
šarvuotas	زرهی
blanc	بلان
biskajos	بیسکای
apribojimas	محدودیت
feraros	فرارا
berklio	برکلی
išprovokavo	تحریک
azul	آزول
malo	ملو
gora	قرا
groupstyle	groupstyle
anthus	anthus
julianas	ژولیانوس
hagen	هاگن
kvepalai	عطر
klijų	چسب
klijų	چسبنده
stojimo	الحاق
raštingumo	سوادی
raštingumo	سواد
lemūras	لمور
tinklainės	شبکیه
sodinti	کاشتن
sodinti	کاشت
karlsruhe	کارلسروهه
įkaitų	گروگان
įkaitų	گروگانگیری
brunėjus	برونئی
lindgren	لیندگرن
duisburg	دویسبورگ
pasigirti	مباهات
privalumų	مزایای
witold	ویتولد
bursa	بورسا
bursa	داسی
karnavalas	کارناوال
kvepalų	خوشبو
fierro	فیرو
karina	کارین
karina	کارینا
atspindžio	بازتاب
atspindžio	انعکاس
karpiai	کپور
ira	آیرا
gilmour	گیلمور
lengvesnis	سبکتر
lengvesnis	روشنتر
lengvesnis	فندک
dateformat	dateformat
amplitudės	دامنه
robotai	رباتها
robotai	روباتها
ekstraktas	استخراج
ekstraktas	چکیده
gaja	گایا
atgailos	توبه
interaktyvus	تعاملی
laz	لاز
jautiena	بیف
apsauginis	رله
apsauginis	محافظتی
kupolu	گنبد
sugalvotas	اختراع
mantra	مانترا
birmos	برمه
birmos	برما
birmos	برمه
kia	کیا
vaccinium	واکسینیوم
rymano	ریمان
pyragas	cake
pyragas	کیکه
pyragas	کیک
pyragas	پای
drenažo	زهکشی
