enciklopedije	encyclopaedia
fokus	fokus
emisiju	gewys
emisiju	wys
kasparov	kasparof
wide	wyd
mama	mama
platforma	platform
césar	césar
centenario	centenario
spojena	saamvoeg
spojena	saamgevoeg
menadžera	bestuurders
sposobni	bekwame
rogers	rogers
robu	goedere
psv	psv
joachim	joachim
pereira	pereira
olivier	olivier
hat	hoed
lucija	lucia
doze	hoeveelhede
garda	garda
drveni	wooden
promijenjen	gewysig
složio	ooreengekom
desi	desi
amazonas	amazonas
desetine	tiene
desetine	dosyne
desetine	tellings
ciudad	ciudad
običnih	gewoon
claudio	claudio
tvoj	joune
sekcije	seksies
sekcije	afdelings
sekcije	artikels
odobrio	goedgekeur
tragedija	tragedie
anđeo	angelina
anđeo	engel
anđeo	angel
kent	kent
joel	joel
betty	betty
lim	lim
algoritam	algoritme
bande	bende
fenerbahçe	fenerbahçe
luna	luna
mrtva	dooie
mrtva	dood
imenovana	aangestelde
kreiranje	skep
preostala	oorblywende
preostala	oor
republikanske	republican
poslanici	boodskappers
poslanici	apostles
poslanici	wetgewers
oluje	storms
oksidi	oxide
kopnena	grond
kopnena	grond
kopnena	ground
violina	viool
trgovaca	verskaffer
milwaukee	milwaukee
anglo	anglo
bavili	verloof
bavili	betrokke
raj	paradise
intervencije	intervensie
intervencije	broodnodige
slava	glorie
slava	glory
uvid	insig
blizak	toemaak
blizak	sluit
stručni	kundige
stručni	expert
stručni	ervare
uzrokujući	veroorsaak
širokog	breed
širokog	broad
pobijedi	wen
bundeslige	bundesliga
menadžment	bestuur
bubanj	drum
bubanj	drom
poklon	geskenk
graf	graaf
jod	jodium
carla	carla
ekvivalent	ekwivalente
ekvivalent	ekwivalent
kompletna	voltooi
kompletna	afgehandel
moon	maan
erwin	erwin
gay	homoseksuele
gay	gay
poplava	vloed
poplava	vloede
csstext	csstext
esej	opstel
harvey	harvey
ismail	ismail
korisne	bruikbare
korisne	nuttig
virgin	virgin
virgin	maagd
srednjih	sekondêr
srednjih	sekondêre
vijetnamski	viëtnamese
nikozija	nicosia
grace	grace
díaz	díaz
bazilika	minor
tamne	donker
tkivu	tissues
definisati	definieer
platon	plato
rfc	rfc
tata	pa
tata	pappa
kapital	hoofstad
desktop	werkskerm
nosač	draer
nosač	diensverskaffer
počinio	begaan
uzela	took
snimljene	opgeneem
ulaganja	beleggings
staljin	stalin
katastrofa	ramp
katastrofa	disaster
katastrofa	katastrofe
otkrivene	ontdekte
rhode	rhode
svg}}	svg}}
amy	amy
okončan	geëindig
brooks	brooks
izazov	challenge
izazov	uitdaging
čarobnjaka	towenaar
čarobnjaka	assistent
tropske	tropiese
webb	webb
sen	sen
sen	sep
adem	adem
sfera	sfeer
mikroskop	mikroskoop
jetra	lewer
odbacuje	rejects
umre	dies
cvijeće	blomme
galileo	galileo
alexandre	alexandre
porazila	verslaan
mahmud	mahmoud
mahmud	mahmoed
sportsko	sportsoorte
sportsko	sport
svinje	varke
najniža	laagste
najniža	laagte
tretmana	behandelings
kapi	daal
metale	metale
prijateljstva	vriendskappe
prijateljstva	vriendskap
poslali	gestuur
bazama	databasisse
bazama	databasis
denver	denver
standardi	standaarde
nestali	gone
nestali	gegaan
nestali	ontbreek
nestali	vermis
nestali	afwesig
izričito	uitdruklik
izričito	pertinent
kompozitori	komponiste
jenson	jenson
blaga	treasures
blaga	mild
diskusija	besprekings
diskusija	bespreking
prst	vinger
xbox	xbox
imovinu	eiendom
lihtenštajn	liechtenstein
egipćani	egyptians
četrdeset	veertig
susjeda	buurman
susjeda	bure
susjeda	buurman
prijetnje	dreigemente
teku	vloei
teku	flow
teku	vloeiende
nastava	instruksie
pluton	pluto
gledao	gekyk
teoretski	teoretiese
linnaeus	linnaeus
reci	vertel
pčele	bye
osvojena	gewen
dublje	dieper
jemen	jemen
odsustvu	afwesigheid
diviziji	division
diviziji	deling
afera	affair
ione	ione
deportivo	deportivo
antike	antiquity
spomenuta	genoem
springfield	springfield
truman	truman
eugen	eugen
prevedena	vertaalde
naglasak	beklemtoning
naglasak	benadruk
lijekovima	medikasie
tesla	tesla
podizanje	lig
podizanje	insameling
podizanje	oplig
podizanje	raising
brooklyn	brooklyn
prijetnja	bedreiging
gottfried	gottfried
ist	ist
austin	austin
uslovom	voorwaarde
uslovom	kondisie
vožnje	bestuur
vožnje	driving
nicholson	nicholson
pravaca	roetes
pravaca	aanwysings
pravaca	voorskrifte
earl	earl
based	gebaseer
based	gebasseer
lud	mal
antologija	digbundel
nicholas	nikolaas
nicholas	nicolaas
evanđelje	evangelie
honda	honda
rotacija	rotasie
mehanizmi	meganismes
pigment	pigment
coppola	coppola
pascal	pascal
herman	herman
irving	irving
duboke	diep
izrazi	uitdrukkings
marketing	bemarking
univerzitetima	universiteite
johansson	johansson
diana	diana
odabrana	gekose
odabrana	gekies
odabrana	gemerk
moli	bid
moli	molly
solun	thessaloniki
telefon	foon
telefon	phone
telefon	telefoon
poglavlje	hoofstuk
vođenje	hardloop
rotor	rotor
rotor	krul
luther	luther
balkanski	balkan
visual	visuele
korejski	korean
korejski	koreaanse
opisivanje	beskryf
malfoy	malfoy
ground	grond
ground	ground
konfiguracija	opstelling
jaki	sterk
medici	medici
zamjene	vervangings
malcolm	malcolm
burkina	burkina
pierce	pierce
dragi	liewe
dragi	liefling
bogatim	ryk
remi	remi
remi	remy
siro	siro
drvene	wooden
sluga	dienaar
nadzorom	toesig
pokretač	lanseerder
koch	koch
zadovoljan	tevrede
her	herr
gvajana	guiana
aziz	aziz
stvarne	ware
stvarne	werklike
štampa	pers
štampa	druk
štampa	afdrukke
parametri	parameters
glenn	glenn
kuhinja	kookkuns
kuhinja	kombuis
antoaneta	antoinette
provesti	implement
provesti	implementeer
provesti	spandeer
provesti	besteding
clarke	clarke
adler	adler
patent	patent
malik	malik
osvojen	gewen
eine	eine
neretva	neretva
pravci	roetes
pravci	aanwysings
pravci	voorskrifte
policajac	polisieman
ramat	ramat
travi	gras
sunčev	solar
reed	riet
reed	reed
ispita	eksamens
vodopad	waterval
fiorentina	fiorentina
slovački	slowaaks
predavač	instrukteur
preciznost	presisie
preciznost	akkuraatheid
bernhard	bernhard
openstreetmap	openstreetmap
uspješni	suksesvol
uspješni	suksesvolle
morris	morris
linearno	liniêre
linearno	lineêre
koncerti	konserte
dubini	diepte
rukopisa	manuscripts
pratnji	gepaardgaande
slojevi	lae
philipp	philipp
istinski	werklik
istinski	voorwaar
savršeno	perfectly
perua	peru
vaduz	vaduz
doo	doo
skladište	warehouse
skladište	berging
procedure	prosedures
duhovne	geestelik
ptolemej	ptolemeus
face	gesiggie
face	gesig
hannah	hannah
hannah	hanna
senatora	senators
helen	helen
najbrže	vinnigste
pristalice	ondersteuners
srž	essence
cool	koel
cool	afkoel
cool	cool
benedikt	benedictus
dubinu	diepte
organela	organelle
trump	trump
tang	tang
amon	amon
molitve	prayers
gutenberg	gutenberg
kontroliše	kontrole
kontroliše	beheer
kontroliše	kontrole
kontroliše	kontroles
magnetno	magnetiese
karate	karate
izgubljena	verlore
izgubljena	verloor
rita	rita
channel	kanaal
animirani	geanimeerde
zaposleni	employed
goa	goa
krzno	pels
laboratoriji	laboratorium
laboratoriji	laboratorium
laboratoriji	lab
proglašeno	verklaar
proglašeno	aangekondig
sponzor	borg
naoružani	gewapende
operativne	operative
operativne	operasionele
parametara	parameters
puerto	puerto
tab	oortjie
balada	ballad
opseg	tuis
lionel	lionel
allahov	onduidelikheid
prostorija	perseel
vidljiv	sigbare
vidljiv	sigbaar
agassi	agassi
divlja	wildernis
divlja	wild
divlja	wilde
izrada	toelae
senator	senator
automatsko	outomatiese
automatsko	outomaties
pšenice	koring
radar	radar
obavezan	verpligtend
lac	lac
navodeći	citing
korisni	bruikbare
korisni	nuttig
korisni	nuttige
korisni	gehelp
korisni	hulpvaardig
korisni	behulpsaam
korisni	nuttig
domovina	bantoestan
odgovarajućeg	ooreenstemmend
primoran	geforseer
primoran	gedwing
izvođači	kunstenaars
domaćinstva	huishoudings
plemeniti	noble
plemeniti	edel
auschwitz	auschwitz
profesori	professors
profesori	onderwysers
rundu	rondte
oficiri	beamptes
nintendo	nintendo
mehanizama	meganismes
atlanta	atlanta
zaštićeni	beskerm
sportisti	atlete
kriteriji	kriteria
keep	aanhou
keep	hou
keep	behou
osjećaju	voel
osjećaju	voel
domaća	domestic
domaća	huishoudelike
dozvoljena	toegelaat
selim	selim
marilyn	marilyn
brži	gouer
brži	vinniger
jena	jena
matematička	wiskundige
matematička	wiskunde
napušten	verlate
proboj	deurbraak
proboj	baanbreker
hafiz	hafiz
diktator	diktator
edwards	edwards
muslim	muslim
muslim	moslem
muslim	moslems
elektronika	elektronika
clinton	clinton
gravitacija	swaartekrag
gravitacija	gravitasie
zabranio	verbande
zabranio	verban
venecija	venesië
venecija	venice
visualeditor	visualeditor
telefona	fone
galij	gallium
monitor	monitor
byron	byron
sturm	sturm
dominic	dominic
gala	gala
eri	erie
ispit	ondersoeke
ispit	eksamen
zore	dawn
hermes	hermes
vella	vella
abd	abd
imama	imam
imama	imams
koza	bok
koza	goat
jürgen	jürgen
jürgen	jurgens
regionalna	streek
porastao	grown
baron	baron
korporacija	corporation
korporacija	korporasie
korporacija	onderneming
korporacija	korporasies
oltar	altaar
oltar	ara
oltar	shrine
eksplozija	vernietig
eksplozija	ontploffing
haiti	haiti
haiti	haïti
povrće	groente
rand	rand
rand	randse
nitrat	nitrate
osjećanja	feelings
osjećanja	gevoelens
indirektno	indirek
indirektno	hoedanigheid
dostići	bereik
dostići	reikwydte
poljoprivredni	agricultural
gregory	gregory
gregory	gregorius
ruba	brink
medical	mediese
medical	medies
ceremonija	ceremony
ceremonija	seremonie
vfl	vfl
poteškoća	moeilikheidsgraad
poteškoća	moeilikheid
mana	mana
audi	audi
hokej	hokkie
finansije	finansieel
finansije	finansies
challenge	challenge
challenge	uitdaging
mišiće	spiere
aranžman	indeling
jose	jose
spojeni	saamvoeg
spojeni	saamgevoeg
nbc	nbc
usb	usb
procedura	prosedures
procedura	prosedure
kramnik	kramnik
lucije	lucius
lucije	lucia
ser	sir
ser	meneer
ser	ser
björn	björn
vatikan	vatikaan
glasine	gerugte
glasine	gerugte
soundtrack	klankbaan
alpskom	alpine
samoa	samoa
korijeni	wortels
tereza	teresa
reza	reza
rušenje	demolition
neto	netto
prihode	inkomste
mills	mills
gran	gran
eksperiment	eksperimenteer
eksperiment	eksperiment
vinci	vinci
viđen	gesien
savezničkih	allied
obrazac	patroon
napore	pogings
negativan	negatiewe
negativan	negatief
jadransko	adriatiese
kvartet	kwartet
pušaka	rifles
ksenon	xenon
burton	burton
nadležnost	jurisdiksie
utorak	dinsdag
dim	smoke
braniti	verdedig
misleći	denke
jednostavnih	eenvoudige
jednostavnih	eenvoudig
kyle	kyle
vježbe	oefeninge
horatio	horatio
uče	leer
parsons	parsons
división	división
peterburg	petersburg
običnog	gewoon
über	über
graditelj	bouer
råsunda	råsunda
kamenje	klippe
berger	berger
goldwyn	goldwyn
petrov	petrov
pobjegne	ontsnap
hera	hera
široj	wyer
vena	vena
vena	aar
psiholog	sielkundige
laurent	laurent
louise	louise
stručnjak	specialist
stručnjak	deskundige
stručnjak	kundige
stručnjak	expert
stručnjak	ervare
transkripcija	transkripsie
teškom	moeilik
žestoki	kragtig
koristimo	gebruik
guma	tyres
guma	rubber
rame	skouer
gustave	gustave
danijel	daan
danijel	daniel
danijel	daniël
naišao	raakgeloop
naišao	teëgekom
eyes	oë
harald	harald
korisna	bruikbare
korisna	nuttig
opcije	opsies
ravnica	gewoon
ravnica	eenvoudig
lille	lille
bug	fout
statističke	statistiese
ormond	ormond
premijeru	premiere
uzrokovane	veroorsaak
zarobljeni	vasgevang
zarobljeni	vasgekeer
christoph	christof
pretrage	soek
pretrage	search
pretrage	deursoek
sljedbenika	volgelinge
urdu	oerdoe
praga	drumpel
jačanje	hupstoot
jačanje	bevorder
gil	gil
ogledalo	weerspieël
ogledalo	spieël
ogledalo	spieëlbeeld
ogledalo	dupliseer
rivera	rivera
klinička	kliniese
trinidad	trinidad
smanjila	cut
briga	omgee
porodično	familie
porodično	gesin
slabiji	swakker
rachel	rachel
ain	ain
fudbaler	sokkerspeler
odjeća	klerasie
odjeća	klere
odjeća	kleredrag
odjeća	klere
beba	baba
sistemski	sistemiese
baština	erfenis
baština	heritage
leicester	leicester
allan	allan
pruska	pruise
massimo	massimo
davanje	toestaan
množenje	maal
označene	designated
označene	aangewese
označene	aangewys
filozofi	filosowe
paste	plak
harmonika	trekklavier
harmonika	skerpioen
ham	ham
bern	bern
dres	hemp
too	te
hvar	hvar
neprijatelji	vyande
posmatrača	monitors
fußball	fußball
duhan	tabak
córdoba	córdoba
atrakcija	aantrekkingskrag
atrakcija	aantreklikheid
atrakcija	attraksies
seymour	seymour
pakao	hell
pakao	inferno
cox	cox
hotspur	hotspur
odiseja	odyssey
patuljci	dwarfs
prodati	verkoop
atatürk	atatürk
pera	krale
pera	pens
sportskim	sporting
vjernici	faithful
pont	pont
lansdowne	lansdowne
provođenje	enforcement
tigar	tier
tigar	tiger
vjernik	believer
louisa	louisa
louisa	luisa
potpis	handtekening
freeman	freeman
pionir	pioneer
pionir	pionier
praha	powder
walt	walt
prostori	ruimtes
prostori	spasies
pamuk	katoen
proizveo	vervaardig
proizveo	geproduseer
insekti	insekte
insekti	insek
c++	c++
mitovi	mites
napori	pogings
autonomni	outonome
kristali	kristalle
alternativna	alternatief
alternativna	alternatiewe
sažetak	opsomming
stranaca	buitelanders
autizam	outisme
mia	mia
neal	neal
grosso	grosso
potrebnih	vereiste
potrebnih	benodigde
potrebnih	benodig
potrebnih	vereis
poslovi	jobs
poslovi	werksgeleenthede
poslovi	werke
poslovi	betrekkings
poslovi	poste
tretira	lekkernye
ustavna	ingryping
ustavna	konstitusionele
ustavna	grondwetlike
pravda	geregtigheid
pravda	justice
pravda	justisie
ovce	skaap
bmp	bmp
nastavnika	onderwysers
sreća	geluk
#ffc	#ffc
arturo	arturo
procvat	boom
prometej	prometheus
organizirana	georganiseerde
ukraden	gesteel
ukraden	gesteelde
girls	meisies
girls	mishandel
drvena	wooden
liège	luik
društvima	bybelgenootskappe
zastupljena	verteenwoordig
tvrdnju	eis
kršenja	grondwetlike
tamna	donker
unicode	unicode
političari	politici
helmut	helmut
suprotnost	teenoorgestelde
track	volg
track	snit
track	baan
track	spoor
embargo	embargo
integracija	integrasie
deveti	ninth
štetnih	skadelike
odraz	refleksie
mariner	mariner
raf	raf
rukopis	manuscript
vanadij	vanadium
zora	dawn
lenjin	lenin
stanište	habitat
edge	rand
edge	kant
edge	edge
alternativa	alternatief
alternativa	alternatiewe
alternativa	alternatiewe
globalno	wêreldwyd
globalno	global
globalno	globale
globalno	globaal
alfredo	alfredo
dozvolio	toegelaat
pierluigi	pierluigi
chang	chang
miš	muis
quinn	quinn
koncentraciju	konsentrasie
koncentraciju	studierigting
gibraltara	gibraltar
vod	platoon
pobunjenici	rebels
pobunjenici	rebelle
licence	lisensie
aleksa	alexa
hardy	hardy
petersen	petersen
koplje	lance
koplje	spear
algebra	algebra
proučavaju	studying
proučavaju	opstaan
kefej	cepheus
penn	penn
saksofon	saxofoon
viskoznost	viskositeit
linda	linda
zvjezdana	stellar
saveznik	ally
sigismund	sigismund
carina	carina
carina	doeane
carina	customs
oblikovanje	shaping
hernández	hernández
kapija	hek
ubrzano	speedy
trudna	swanger
tipičan	tipiese
tipičan	typical
čudovište	monster
udario	getref
udario	tref
serijski	serie
mato	mato
ratnici	warriors
odlučiti	besluit
pomorski	naval
pomorski	maritieme
sidney	sidney
normi	norme
evropljani	europeans
gerald	gerald
kuga	plaag
podržao	gesteun
podržao	ondersteunde
beşiktaş	beşiktaş
arte	arte
demosten	demosthenes
proslave	vieringe
proslave	viering
uzimanja	vat
identične	identiese
identične	identies
binarni	binêre
patton	patton
hal	hal
jeremy	jeremy
ellis	ellis
vernon	vernon
stilova	styles
stilova	uitsonderings
stilova	style
propao	misluk
tajland	thailand
predsjednici	presidente
nach	nach
dawn	dawn
babilon	babylon
aktiviraju	aktiveer
fizičko	fisiese
fizičko	fisieke
eintracht	eintracht
sivi	grys
sivi	grey
winston	winston
nasljedna	hereditary
potrošnja	verbruik
potrošnja	vrymoedigheid
nemira	onrus
facebook	facebook
živo	leef
živo	tuiste
etika	etiek
prijetnju	bedreiging
curie	curie
hladno	cold
hladno	koue
hladno	koud
zavjere	conspiracy
izolacije	isolation
izolacije	isolasie
miješa	inmenging
fry	fry
sampras	sampras
automobile	motors
automobile	karre
automobile	cars
bergman	bergman
letovi	vlugte
emocija	emosie
emocija	emosies
baca	throws
geoffrey	geoffrey
browning	browning
jednakosti	gelykheid
pisan	geskryf
jede	eet
nancy	nancy
istván	istván
jaje	eier
bahrein	bahrein
jasan	skoonmaak
jasan	skoon
guns	vuurwapens
sigma	sigma
polimera	polimeer
očekivanja	expectations
nastavu	instruksie
smanji	verminder
rekonstrukcije	heropbou
poštuje	respekteer
suze	tears
suze	trane
regulira	behartig
mao	mao
anand	anand
grissom	grissom
shaw	shaw
blage	mild
julia	magda
julia	julia
kolumbo	columbus
kutije	bokse
kutije	kassies
oštre	skerp
spašavanje	redding
spašavanje	red
saradnici	associates
saradnici	bruikbare
saradnici	nuttig
saradnici	kollegas
predsjedavajući	speaker
predsjedavajući	luidspreker
predsjedavajući	spreker
predsjedavajući	chairman
prihodi	inkomste
prihodi	opbrengste
prihodi	verdienste
portland	portland
napoléon	napoléon
dario	dario
kontroverze	controversy
incident	voorval
incident	insident
mjehur	borrel
mjehur	bubble
marker	merker
monako	monaco
anatomija	anatomy
carevi	keisers
buffalo	buffalo
grijeh	sonde
sanja	drome
putnici	passasiers
putnici	reisigers
pismenost	geletterdheid
svjedoci	getuies
izdali	uitgereik
lukom	knoffel
intervencija	intervensie
intervencija	broodnodige
messi	messi
hold	hou
palestina	palestina
izmislio	uitgevind
hannover	hanover
hannover	hannover
finansiranje	finansiering
finansiranje	befondsing
prelaz	crossing
četrnaest	veertien
granger	granger
nauru	na
nauru	nauru
keane	keane
tvrdili	opgeëis
tvrdili	geëis
identičan	identiese
identičan	identies
gospodaru	here
mara	mara
jugozapadna	suidwes
kazanj	kazan
posjetu	besoek
amazon	amazon
rooney	rooney
bagdad	bagdad
aur	aur
diva	diva
kupila	gekoop
kupila	gekoopte
kupila	aangekoop
šećerna	diabetes
komentara	kommentaar
bebek	bebek
ibrahima	abraham
uništeni	vernietig
krompir	potatoes
krompir	aartappel
kaunas	kaunas
dmitrij	dmitri
dmitrij	dmitri
pjesnici	digters
nervna	neuro
junior	junior
bologna	bologna
viteza	ridder
viteza	ruiter
gaston	gaston
mliječni	dairy
mliječni	milky
duhovni	geestelik
miles	myle
miles	myl
iranska	irannese
mauzolej	mausoleum
pokrivena	gedek
banana	piesang
autoputeva	highways
tomas	tomas
manhattan	manhattan
dobijeni	afgelei
kuge	plaag
supernova	supernovas
supernova	supernova
oman	oman
argon	argon
štetno	skadelike
mobilne	selfoon
cnn	cnn
okolne	omliggende
merkur	mercury
merkur	kwik
amadeus	amadeus
komercijalne	kommersiële
komercijalne	kommersieel
pirati	pirates
lete	fly
lete	vlieg
imaginarni	imaginary
imaginarni	denkbeeldige
orleans	orleans
razumije	verstaan
praksu	practice
praksu	praktyk
praksu	oefen
pepsi	pepsi
glen	glen
stava	houding
petrova	petrov
zamku	lokval
magdalena	magdalene
magdalena	magdalena
magdalena	río
propisa	regulasies
podigli	opgerig
čekić	hamer
čekić	hammer
vasilije	wasili
snimci	opnames
emocije	emosies
artur	arthur
jun	jun
jun	july
jun	junie
jezičke	linguistiese
ramírez	ramírez
zatvoreno	geslote
zatvoreno	gesluit
zatvoreno	toegemaak
rudi	rudi
edwin	edwin
rosso	rosso
palme	palme
krovna	sambreel
olakšava	fasiliteer
pjevaju	eer
privlače	lok
logorima	kampe
charlton	charlton
nalaz	bevinding
nalaz	vind
kill	doodmaak
iznenađenje	verrassing
fobos	phobos
službenik	klerk
službenik	clerk
direktna	direk
direktna	rig
direktna	direkte
sala	joke
aston	aston
cum	cum
dostupno	beskikbaar
drift	drift
martín	martín
lausanne	lausanne
reklama	kommersiële
reklama	kommersieel
kuip	kuip
pokrenula	geloop
pokrenula	sedert
pokrenula	geloods
esa	esa
nuklearno	nuclear
becker	becker
sana	sana
unaprijeđen	bevorder
čistom	skoon
preživljavanje	oorlewing
savezničke	allied
rasti	blou
price	berigte
price	stories
molibden	molibdeen
virusi	viruses
lična	persoonlik
lična	persoonlike
urađeno	voltooi
urađeno	gedoen
urađeno	klaar
trudnoća	swangerskap
python	python
python	luislang
meyer	meyer
erupcija	uitbarsting
strujanje	vloei
strujanje	flow
periodnog	periodieke
osudio	gevonnis
upute	instruksies
moreno	moreno
podzemna	ondergrondse
android	android
rez	cut
iucn	iubn
grudi	chest
grudi	borskas
grudi	kassie
logore	kampe
resurse	hulpbronne
epohe	epog
gwh	gwh
umjetničkim	artistieke
okupacija	besetting
računarstvo	uitwerk
reading	lees
chester	chester
izuzetne	uitsonderlik
izuzetne	extraordinary
silovanje	verkragting
beton	beton
komuna	commune
granada	granada
tribus	tribus
newman	newman
robbie	robbie
lažni	valse
lažni	fake
char	char
own	eie
kružnica	sirkel
ming	ming
zavjet	testament
albion	albion
izazove	uitdagings
proizvela	vervaardig
proizvela	geproduseer
siromaštva	armoede
ulrich	ulrich
salem	salem
zanimljiv	interessant
mape	kaarte
optužbi	kostes
šezdesetih	sixties
sok	sap
ala	ala
pronalaze	vind
wiener	wiener
posmatranje	kyk
volfram	wolfram
chan	chan
identifikacija	identifikasie
koledža	kolleges
brien	brien
lanka	lanka
poklonio	geskenk
poklonio	skenkings
hrast	oak
richmond	richmond
sociedad	sociedad
singapur	singapoer
reims	reims
batman	batman
palac	duim
got	het
got	got
braun	braun
tvoje	joune
tvoje	jou
dobrovoljaca	volunteers
cvijeća	blomme
fontana	fontana
fontana	fontein
karpov	karpov
spektru	spektrum
digitalne	digitale
digitalne	digital
odgovore	antwoorde
pravcima	aanwysings
pravcima	voorskrifte
nlm	nlm
publikacija	publikasies
morima	seas
rubovima	rande
kanu	cannes
kanu	canoe
građanske	burgerlike
građanske	munisipale
građanske	civic
ofanzivu	aanstootlik
bizantskog	opvolger
