در	врата
هر	секоја
هر	секое
هر	секој
هر	било
باشگاه	клуб
باشگاه	сала
باشگاه	физичко
باشگاه	теретана
شهرهای	општини
دانشگاه	универзитет
دانشگاه	факултет
دانشگاه	колеџ
مورد	случај
مورد	кејс
سده	век
ثبت	дневник
ثبت	дневникот
ثبت	евиденција
وجود	егзистенција
وجود	постоење
زبان	јазици
زبان	јазик
زبان	јазикот
زبان	јазик
زادگان	потомок
مسکونی	станбен
شماره	број
کار	работа
کار	работно
کار	работа
کار	дело
کار	работно
کار	работи
کار	работен
کار	работна
کار	работење
اما	но
اما	ама
بازیگران	снимањето
بازیگران	глумци
بازیگران	актери
روی	рој
روی	цинк
فرودگاه	аеродром
صورت	соочи
صورت	свртено
صورت	лице
مرکز	централно
مرکز	централен
مرکز	централа
مرکز	централна
مرکز	средина
مرکز	центар
مرکز	средина
مرکز	центар
زمان	времето
زمان	време
شرکت	корпоративна
شرکت	корпоративни
شرکت	компанија
شرکت	учествува
مقاله	есеј
مقاله	состав
مقاله	есејот
مقاله	член
مقاله	статија
مقاله	статии
مقاله	натписи
مقاله	артикли
مقاله	написи
تیم	тим
تیم	екипа
تیم	тим
مرد	маж
مرد	чоек
مرد	човек
مرد	мен
مرد	човекот
انگلیسی	англиски
نظر	коментар
نظر	коментирање
نظر	мислење
جهانی	international
جهانی	меѓународна
جهانی	интернационална
جهانی	меѓународни
جهانی	меѓународен
جهانی	универзално
جهانی	универзален
جهانی	универзални
جهانی	универзална
جهانی	глобална
جهانی	глобални
جهانی	глобално
جهانی	ворлд
جهانی	world
جهانی	свет
جهانی	светот
جهانی	свету
همچنین	премногу
زندگی	живите
زندگی	живеејќи
زندگی	живеење
زندگی	живот
زندگی	life
زندگی	животот
زن	жената
زن	жено
زن	жена
زن	женка
زن	женско
زن	женски
زن	женска
زن	сопруга
زن	жена
زیر	подолу
زیر	под
آنها	ги
آنها	нив
آنها	тие
آنها	они
هستند	се
هستند	are
جوایز	награди
جوایز	награди
روستا	село
روستا	селски
تهران	техеран
بازی	игра
بازی	игри
بازی	пушти
بازی	играј
بازی	свири
تاریخی	историски
تاریخی	историско
تاریخی	историска
تاریخی	историски
تاریخی	историско
تاریخی	историска
سرشماری	попис
فرانسه	французи
فرانسه	француски
فرانسه	франс
فرانسه	франција
جنگ	војна
باید	мора
باید	must
دست	раце
دست	рацете
دست	арм
دست	рака
دست	дланка
شورای	совет
محل	место
محل	локација
های	hai
توابع	функции
کتاب	книга
کتاب	книги
آلمان	германски
آلمان	герман
آلمان	германска
آلمان	germany
آلمان	германија
سطح	нивоа
سطح	површина
سطح	површината
سطح	ниво
اصلی	главни
اصلی	главен
اصلی	главна
اصلی	главното
اصلی	оригинал
اصلی	примарна
اصلی	примарно
اصلی	примарен
ساخت	изградбата
ساخت	градба
ساخت	градење
ساخت	градежништво
ساخت	конструкција
ساخت	изградба
ساخت	производство
المپیک	олимписки
المپیک	олимпик
المپیک	олимпијадата
المپیک	олимпијада
اول	прв
اول	први
اول	прво
اول	прва
سازمان	организација
سازمان	организација
سازمان	агенција
سه	тројца
سه	три
سه	тројка
دارای	реномирани
دارای	прочуен
کند	дали
مرکزی	централно
مرکزی	централен
مرکزی	централа
مرکزی	централна
ایالت	состојба
ایالت	држава
زنده	жива
زنده	живи
زنده	жив
فارسی	фарси
فارسی	персиска
فارسی	персиски
بین	грав
بین	бин
بین	помеѓу
بین	помегу
بین	измеѓу
بین	меѓу
انگلستان	англија
دوم	второ
دوم	втор
دوم	втори
دوم	втората
دوم	втора
موسیقی	музика
گروه	бенд
گروه	група
گروه	групно
گروه	групни
گروه	групна
جایزه	бонус
جایزه	награда
جایزه	награда
بیشتر	повеќето
بیشتر	најмногу
بیشتر	уште
بیشتر	повеќе
جنوبی	јужен
جنوبی	јужна
جنوبی	јужни
جنوبی	југ
جنوبی	јужно
جنوبی	јужна
روز	ден
روز	дневна
جمهوری	република
جمهوری	republic
جمهوری	републиката
مرگ	смрт
مرگ	смртта
ولی	но
ولی	ама
داد	дод
آمریکایی	американска
آمریکایی	американски
آمریکایی	американец
نقش	улога
منطقه	регион
منطقه	зона
منطقه	реон
منطقه	округ
منطقه	област
منطقه	подрачје
بسیار	многу
بسیار	многумина
بسیار	многу
اسلامی	исламски
اسلامی	исламска
بزرگ	голем
بزرگ	голема
بزرگ	големи
بزرگ	големо
بزرگ	голем
بزرگ	голема
بزرگ	големи
اروپا	европа
روستایی	рурален
روستایی	рурална
روستایی	рурални
روستایی	руралните
روستایی	селанец
روستایی	селанец
روستایی	селска
روستایی	селанка
آمار	статистика
فعالیت	дејност
فعالیت	активност
فعالیت	активности
اشاره	навестување
اشاره	сугестија
زاده	родено
زاده	роди
زاده	роден
زاده	родени
زاده	раѓа
محمد	мохамад
محمد	мухамед
محمد	мохамед
بریتانیا	британија
بریتانیا	британски
بریتانیا	британска
بریتانیا	британскиот
مانند	како
مانند	like
چند	малкумина
چند	неколку
چند	неколкумина
چند	мулти
شمالی	северно
شمالی	север
شمالی	северот
شمالی	северен
شمالی	северна
شمالی	каролина
آب	вода
آب	воден
خورشیدگرفتگی	затемнување
خورشیدگرفتگی	помрачување
ایرانی	персиска
ایرانی	персиски
ایرانی	иранските
ایرانی	иранскиот
ایرانی	ирански
اطلاعات	инфо
اطلاعات	информации
اطلاعات	информација
اطلاعات	информации
ایجاد	создај
ایجاد	креирање
ایجاد	создавање
ایجاد	креирање
ایجاد	креација
ایجاد	создавање
ایجاد	креирање
ایجاد	креирам
ایجاد	креирајќи
مالک	сопственик
مالک	малик
امنیت	сигурност
امنیت	обезбедување
امنیت	безбедност
امنیت	сигурност
امنیت	безбедност
نوع	тип
مردم	народ
مردم	луѓе
دلیل	причина
دلیل	разум
دلیل	разумот
دلیل	кауза
دلیل	предизвика
روستای	село
روستای	селски
دور	далеку
دور	далеку
دور	подалеку
اولین	евелин
مربوط	релевантни
مربوط	поврзани
مربوط	поврзано
بار	оптоварување
بار	бар
بار	bar
دریا	море
شما	вие
شما	ти
شما	тебе
شما	си
شما	твојата
شما	твојот
شما	вашиот
شما	ваш
برابر	еднакво
برابر	еднаков
برابر	еднакви
برابر	еднаквите
تولید	производство
تولید	продукција
تولید	производство
تولید	генерира
تپه	брдо
تپه	ридот
تپه	hill
تپه	хил
تپه	рид
تنها	сами
تنها	сама
تنها	сам
تنها	само
تنها	осамена
تنها	осамени
تنها	осамен
تنها	осамено
علی	али
شرقی	исток
شرقی	ориентални
شرقی	источна
شرقی	источни
شرقی	источно
شرقی	источен
یونسکو	унеско
یونسکو	сајтови
یونسکو	локалитети
برخی	некои
میان	помеѓу
میان	помегу
میان	измеѓу
میان	меѓу
جهان	ворлд
جهان	world
جهان	свет
جهان	светот
جهان	свету
جام	чашка
جام	куп
جام	шолја
جام	пехар
ارتفاع	висина
ارتفاع	височина
ارتفاع	висина
کد	шифра
کد	код
کشف	откриени
کشف	откриено
کشف	откриена
کشف	откријте
کشف	откритие
کشف	откривање
نشان	значка
نشان	беџ
حذف	бришење
حذف	бришам
حذف	отстранување
حذف	отстрани
حذف	бришење
حذف	избриши
تلویزیونی	телевизија
غربی	запад
غربی	западно
غربی	вест
غربی	вестерн
غربی	западни
غربی	западна
گرفته	преземено
گرفته	сликани
گرفته	сликано
دوران	периоди
دوران	ера
شامل	вклучени
شامل	вклучено
شامل	вклучи
شامل	вклучува
شدن	станувајќи
شدن	станување
شدن	добивање
شدن	вадење
بهترین	најдобар
بهترین	најдобро
بهترین	најдобри
بهترین	најдобра
بهترین	бест
دولت	состојба
دولت	држава
دولت	влада
همراه	мобилен
همراه	мобилни
همراه	мобиле
همراه	придружени
همراه	придружуваше
همراه	придружена
همراه	придружен
همراه	придружувани
همراه	придружниот
چپ	лево
چپ	лева
چپ	левица
ایتالیا	italia
ایتالیا	италија
ایتالیا	италија
ایتالیا	италијанска
ایتالیا	италијански
ایتالیا	италијанецот
ایتالیا	италијанец
صفحه	страница
صفحه	страницата
مجلس	парламентот
مجلس	парламент
مجلس	собранието
مجلس	собрание
تحت	под
آغاز	почни
آغاز	почеток
آغاز	старт
آغاز	почеток
آغاز	почнувам
آغاز	почнувајќи
آغاز	почетна
ویکی	вики
ویکی	вики
راه	патека
راه	начин
کشتی	бродови
کشتی	бродовите
کشتی	брод
کشتی	борење
کشتی	брод
کشتی	чамец
بودند	беа
بودند	биле
الگو	шаблон
الگو	шема
توجه	внимание
بن	ben
بن	бен
همه	сите
همه	сите
همه	секого
کوچک	малечко
کوچک	мала
کوچک	мал
کوچک	мали
کوچک	мало
کوچک	мала
کوچک	мал
کوچک	литл
کوچک	мали
کوچک	малку
کوچک	мало
کوچک	малолетник
کوچک	помали
ژاپن	јапонија
ژاپن	јапан
رسمی	официјално
رسمی	службен
رسمی	службено
رسمی	официјална
رسمی	формално
رسمی	формални
رسمی	формална
رسمی	формален
اسلام	ислам
اسلام	исламот
سپتامبر	септември
پرونده	случај
پرونده	кејс
پرونده	датотека
ماه	месецот
ماه	месец
ماه	месечно
ماه	месечен
ماه	месеци
ماه	месечина
ماه	месечева
ماه	месечината
اوت	август
اوت	аугуст
اوت	aug
هزار	илјада
هزار	илјадници
هزار	илјади
تابستانی	лето
چون	бидејќи
چون	кога
آوریل	apr
آوریل	април
تغییر	менувам
تغییر	менување
تغییر	менува
تغییر	измени
تغییر	промени
تغییر	промена
تغییر	смени
تغییر	измени
مجموعه	збирка
مجموعه	колекција
سیاسی	политички
سیاسی	политичко
سیاسی	политичка
شکل	облик
شکل	форма
شکل	форма
شکل	фигура
شکل	бројка
مارس	марш
مارس	март
مارس	марс
درخواست	барањето
درخواست	барање
کیلومتر	километар
کیلومتر	километар
جمله	казна
جمله	реченица
جمله	пресуда
گردشگری	туризам
گردشگری	туристичка
گردشگری	турист
گردشگری	туристички
گردشگری	разгледување
گردشگری	прошетките
شهری	урбан
شهری	урбана
شهری	урбано
شهری	урбани
شهری	општинско
شهری	општински
شهری	град
شهری	градско
شهری	градот
شهری	градски
ممکن	можно
ممکن	можни
ممکن	возможно
ممکن	можен
لیگ	лига
روسیه	руска
روسیه	руски
روسیه	руско
روسیه	русија
منابع	извори
منابع	ресурсите
منابع	ресурси
نخستین	прв
نخستین	први
نخستین	прво
نخستین	прва
شاه	крал
شاه	кинг
شاه	кралот
شاه	шах
جنوب	јужен
جنوب	јужна
جنوب	јужни
جنوب	југ
جنوب	јужно
جنوب	јужна
طور	маунт
طور	планината
طور	монтирање
طور	tur
تشکیل	формирана
تشکیل	формирани
تشکیل	формиран
تشکیل	формирано
تشکیل	формирање
تشکیل	формација
فوت	нога
فوت	стапало
فوت	фут
اکتبر	октомври
ژوئن	јуни
ژوئن	џун
چه	што
امکان	можно
امکان	можни
امکان	возможно
امکان	можен
امکان	можноста
نویسندگان	авторите
نویسندگان	автори
سر	sar
سر	сар
سر	главата
سر	глава
سر	главите
سر	глави
حزب	партиски
حزب	партиска
حزب	забава
حزب	журка
حزب	партија
ما	наша
ما	наши
ما	нашата
ما	наш
ما	нашиот
ما	нашите
فرهنگ	култура
برندگان	добитниците
برندگان	добитници
برندگان	победниците
برندگان	победници
دیگری	друг
دیگری	друга
قابل	подвижни
قابل	преносливи
بدون	без
خانه	куќа
خانه	хаус
خانه	дом
خانه	дома
خانه	домот
خانه	home
دسامبر	декември
موارد	предмети
موارد	ставки
موارد	случаи
موارد	случаеви
هند	индија
آلبوم	албум
آزاد	слободни
آزاد	бесплатно
آزاد	слободно
آزاد	слободна
آزاد	слободен
چاپ	печатење
چاپ	печати
چاپ	печатење
علمی	науката
علمی	наука
علمی	науки
علمی	научни
علمی	научен
علمی	научно
نوامبر	ноември
آسیا	азиско
آسیا	азиски
آسیا	азиска
شمال	северно
شمال	север
شمال	северот
شمال	северен
شمال	северна
پایان	крај
علوم	науката
علوم	наука
علوم	науки
علوم	науки
جان	јован
جان	џон
سید	сид
کالیفرنیا	калифорнија
قرن	век
بازیگر	глумица
بازیگر	актерка
بازیگر	глумец
بازیگر	актер
صنایع	индустрии
صنایع	индустрија
صنایع	индустри
صنایع	индустрија
گونه	образот
گونه	образ
گونه	врсти
گونه	видови
کانادا	канада
کانادا	канадска
کانادا	канадски
اسپانیا	шпанија
اسپانیا	шпански
اسپانیا	шпанско
اسپانیا	шпанска
زمین	земја
زمین	земјата
زمین	земјо
رئیس	шеф
رئیس	шефот
رئیس	газда
رئیس	boss
برزیل	бразил
برزیل	бразилски
سبک	светлината
سبک	светол
سبک	светло
سبک	светлина
سبک	светлост
سبک	стил
بالا	top
بالا	топ
بالا	врвот
بالا	бала
جدید	ново
جدید	нов
جدید	нови
جدید	нова
تصویر	слика
غیر	non
حضور	посетеност
حضور	присуство
حضور	присутност
حضور	присуство
وارد	ворд
وارد	вард
عضو	членка
عضو	член
عضو	донирање
عضو	донација
میراث	наследство
میراث	наследство
زنان	жени
زنان	женски
زنان	жените
نظامی	воена
نظامی	војска
آذربایجان	азербејџан
جای	место
هیچ	било
چین	брадата
چین	брада
چین	муцка
چین	кина
سیستم	систем
ظاهر	изглед
ظاهر	појавување
ظاهر	захир
ادامه	продолжи
درجه	одделение
درجه	оцена
درجه	дипломи
درجه	степени
درجه	ранг
درجه	ранк
درجه	чин
درجه	диплома
درجه	степен
انتخاب	избирајќи
انتخاب	одбери
انتخاب	избери
انتخاب	изберете
انتخاب	селектирај
انتخاب	одбери
انتخاب	изберете
انتخاب	избирање
انتخاب	избери
انتخاب	избор
موجود	достапно
موجود	достапни
موجود	достапен
موجود	достапна
موجود	постојните
موجود	постојна
موجود	постоечките
موجود	постоечки
موجود	постоечка
موجود	постојни
دستی	прирачник
دستی	упатство
دستی	рачно
دستی	рачна
فقط	само
اعلام	прогласи
اعلام	прогласена
اعلام	прогласен
اعلام	декларација
اعلام	прогласување
اعلام	декларацијата
نسبت	сооднос
اعضای	членки
اعضای	членовите
اعضای	членови
مسابقات	турнир
تلفن	телефон
تلفن	телефонот
تلفن	телефон
تلفن	телефонски
داستان	расказ
داستان	сторија
داستان	приказна
داستان	раскази
داستان	приказни
سوم	iii
سوم	трета
سوم	трет
سوم	трето
سوم	трети
سوم	третиот
خط	линија
قانون	закон
قانون	владеење
قانون	правило
درگذشت	почина
درگذشت	умре
درگذشت	умрел
درگذشت	починал
درگذشت	умрела
علت	причина
علت	разум
علت	разумот
علت	кауза
علت	предизвика
مهم	важна
مهم	битно
مهم	важно
مهم	битен
مهم	важни
منبع	извор
منبع	ресурсот
منبع	ресурс
منبع	ресурси
میلیون	милион
میلیون	милиони
کمک	помагаат
کمک	помош
جهت	упатство
جهت	насоки
جهت	правец
جهت	насока
جهت	ориентација
هوایی	воздушно
هوایی	воздушни
هوایی	воздух
هوایی	ер
هوایی	air
حتی	дури
نمایش	покажи
نمایش	прикажи
آمریکای	америка
ناحیه	регион
ناحیه	реон
ناحیه	округ
ناحیه	област
ناحیه	подрачје
طراحی	дизајн
طراحی	проектирање
طراحی	дизајнирање
آموزش	наставата
آموزش	настава
آموزش	обука
آموزش	тренинг
آموزش	образование
آموزش	едукација
قلعه	упориште
قلعه	тврдина
قلعه	замок
قلعه	тврдина
ویرایش	измени
ویرایش	уредување
ویرایش	уреди
ویرایش	монтажа
ویرایش	уредување
ویرایش	уредувањето
حکومت	влада
نمایندگان	пратеници
نمایندگان	пратеника
نمایندگان	заменици
نمایندگان	претставници
نمایندگان	преставници
نمایندگان	делегати
نمایندگان	делегатите
بازدید	посети
بازدید	посетени
بازدید	прегледај
بازدید	преглед
بازدید	посета
بازدید	посети
بازدید	посети
شیمیایی	хемиско
شیمیایی	хемиски
شیمیایی	хемикалии
مساحت	област
مساحت	подрачје
ادبیات	литература
ادبیات	книжевност
موضوع	тема
موضوع	субјектот
موضوع	тема
موضوع	предмет
موضوع	субјект
شبکه	мрежа
شبکه	решетка
شبکه	вмрежување
شبکه	мрежа
شبکه	мрежи
شبکه	network
برنامه	апликацијата
برنامه	апликација
برنامه	програм
برنامه	програма
برنامه	распоред
برنامه	програма
کاربران	корисници
تولد	родендени
تولد	роденденска
تولد	роденденски
تولد	роденден
تولد	раѓање
تولد	раѓањето
تبدیل	преобрати
تبدیل	конверзија
تبدیل	преобрази
تبدیل	трансформираат
تبدیل	трансформација
تبدیل	трансформира
تبدیل	трансформирање
تبدیل	трансформации
تبدیل	трансформација
تبدیل	преобразба
دریایی	маринец
سن	сен
سن	возраст
سن	старост
سن	сена
سن	san
سن	сан
سن	светец
سن	свети
سن	сеинт
سن	света
عربی	араби
عربی	арапски
روش	методот
روش	метод
روش	метода
بازیکن	играчот
بازیکن	играч
بازیکن	играчи
رفته	заминати
بودن	битие
نتیجه	исход
نتیجه	резултати
نتیجه	резултат
نتیجه	заклучок
انقلاب	револуција
تگزاس	тексас
عراق	ирак
شروع	почни
شروع	почеток
شروع	старт
شروع	почнувам
شروع	почнувајќи
شروع	почетна
هنر	уметност
هنر	уметности
هنر	уметност
هنر	арт
هنر	уметничко
هنر	уметноста
زمینه	подлога
زمینه	заднина
زمینه	позадина
قسمت	дел
قسمت	епизода
بررسی	проверување
بررسی	проверувам
بررسی	провери
بررسی	проверено
بررسی	проверка
بررسی	чек
مدیر	менаџер
مدیر	администратор
مدیر	директорот
مدیر	директорката
مدیر	директор
باز	отворено
باز	отворени
باز	отворена
باز	отворен
باز	опен
باز	отвори
باز	грб
باز	назад
باز	отклучена
باز	отклучи
ترکیه	мисирка
ترکیه	турција
ترکیه	турска
ترکیه	турско
ترکیه	турски
ترکیه	турскиот
مدال	медал
مدال	медали
مدال	ордени
حقوق	плата
حقوق	закон
حقوق	права
عمومی	генерички
عمومی	општ
عمومی	јавно
عمومی	јавни
عمومی	јавен
عمومی	јавна
عمومی	јавност
عمومی	public
عمومی	општи
عمومی	општа
عمومی	општо
عمومی	генерал
حسین	хусеин
ترجمه	преведување
ترجمه	преведува
ترجمه	преведување
ترجمه	превод
ترجمه	преведување
ترجمه	преведува
ترجمه	преведи
ترجمه	преведе
دقیقه	минути
دقیقه	минута
رنگ	боја
رنگ	боја
افزایش	зголемување
افزایش	зголеми
افزایش	зголемени
افزایش	зголемена
افزایش	зголемено
افزایش	зголемен
طبیعی	природна
طبیعی	природни
طبیعی	природен
طبیعی	природно
طبیعی	нормален
طبیعی	нормално
طبیعی	нормална
طبیعی	нормални
معروف	познат
معروف	познатата
معروف	славна
معروف	позната
معروف	познати
مدیریت	управување
مدیریت	менаџирање
مدیریت	управен
مدیریت	управување
مدیریت	менаџмент
مدیریت	раководење
گل	цвеќе
گل	цвеќиња
گل	цветови
گل	цвеќе
گل	цвет
گل	автогол
گل	цел
گل	гол
انتشار	дифузија
انتشار	издавачки
انتشار	објавување
انتشار	објави
انتشار	пропагирање
انتشار	емисиите
ایشان	тие
ایشان	они
نیاز	треба
نیاز	потреба
نیاز	потребна
نیاز	потребно
نیاز	потребни
نیاز	потреби
نیاز	потребна
نیاز	потребно
نیاز	потребни
نیاز	задолжително
توضیح	коментар
توضیح	коментирање
ترکیب	спој
ترکیب	комбинира
ترکیب	состав
ترکیب	комбинација
دریافت	примањето
دریافت	добивајќи
دریافت	примање
دریافت	примаме
دریافت	добивањето
دریافت	примаат
دریافت	прими
دریافت	прием
دریافت	рецепција
دریافت	приемот
رشته	низа
رشته	врвка
رشته	стринг
رشته	нишка
رشته	конец
کننده	изведувач
موافق	договорено
هنری	анри
هنری	хенри
مواد	дрога
مواد	дроги
مواد	материјална
مواد	материјал
مواد	материјали
درباره	околу
درباره	за
کارگردانی	насочени
کارگردانی	режија
کارگردانی	режија
استرالیا	австралиска
استرالیا	австралиски
اجتماعی	социјална
اجتماعی	социјално
اجتماعی	општествени
بانی	бони
جریان	актуелни
جریان	тековната
جریان	моментална
جریان	сегашна
جریان	тековна
جریان	тек
جریان	течат
جریان	проток
جریان	тек
جریان	поток
جریان	проток
جریان	stream
طریق	виа
طریق	преку
طریق	via
نویسنده	писателка
نویسنده	писател
نویسنده	автор
ژانویه	јануари
کنار	настрана
کنار	страната
کنار	страна
انرژی	енергија
انرژی	енергетска
انرژی	енерџи
انرژی	energy
انرژی	енергетика
انتخابات	избори
انتخابات	избори
حسن	хасан
حسن	хасан
ملیت	националност
مه	мајски
مه	мај
مه	mah
مه	маглата
مه	магла
مه	магла
کسی	некој
کسی	некого
کسی	некому
ثانیه	секунди
ثانیه	второ
ثانیه	втор
ثانیه	втори
ثانیه	втората
ثانیه	втора
کل	вкупно
کل	вкупен
کل	тотал
کل	вкупна
کل	цела
کل	целина
کل	кал
اصفهان	исфахан
خان	хан
خان	кан
دکتر	доктор
دکتر	лекар
دکتر	докторка
انجمن	совет
انجمن	општество
انجمن	братство
انجمن	заедница
انجمن	здружение
انجمن	асоцијација
غرب	запад
غرب	западно
غرب	вест
توسعه	развој
توسعه	развивање
توسعه	развивањето
توسعه	развој
فصل	поглавје
فصل	сезона
معمولاً	обично
رسید	достигнат
رسید	постигнат
رسید	достигна
رسید	сметка
رسید	пристигнаа
رسید	пристигнал
رسید	пристигна
ژوئیه	јули
فارس	билетите
فارس	фарс
شوروی	советите
شوروی	советска
شوروی	советски
افغانستان	афганистан
افغانستان	авганистан
ورزش	сала
ورزش	физичко
ورزش	теретана
ورزش	sport
ورزش	спорт
ورزش	вежбање
ورزش	вежби
ورزش	вежба
ورزش	вежбајте
ورزش	спортови
ورزش	спортски
ورزش	спорт
معماری	архитектурата
معماری	архитектура
معماری	архитектонски
معماری	архитектонско
باند	врска
باند	бонд
آنجا	таму
پرندگان	птиците
پرندگان	птици
آخرین	последно
آخرین	последни
آخرین	последен
آخرین	последна
آخرین	последниот
آخرین	final
آخرین	финална
آخرین	конечен
آخرین	конечна
آخرین	најнови
آخرین	најнова
آخرین	најново
پزشکی	медицина
پزشکی	лек
پزشکی	медицински
فرهنگی	култура
فرهنگی	културни
فرهنگی	културен
فرهنگی	културно
فرهنگی	културна
تلویزیون	телевизија
دنیا	ворлд
دنیا	world
دنیا	свет
دنیا	светот
دنیا	свету
خوانندگان	пеачи
خوانندگان	пејачи
خوانندگان	читател
خوانندگان	читач
خوانندگان	читатели
خوانندگان	читателите
جغرافیای	географија
حالت	состојба
حالت	држава
حالت	режим
حالت	расположение
حالت	расположени
کوه	планинска
کوه	планински
کوه	планина
کوه	маунт
کوه	планината
کوه	монтирање
مقالات	статии
مقالات	натписи
مقالات	артикли
مقالات	написи
مقالات	есеи
مدیران	раководители
عمل	дејство
عمل	акција
عمل	операција
عمل	операцијата
عمل	чин
عمل	акт
کره	путер
کره	корејски
کره	кореа
کره	кореја
انتقال	пренос
انتقال	трансмисија
انتقال	пренос
انتقال	трансфер
انتقال	преместување
انتقال	пренесување
انتقال	транзиција
انتقال	транспорт
انتقال	транспортер
انتقال	транспортирање
فوریه	итно
فوریه	фебруари
فوریه	февруари
فوریه	фурје
ارائه	презентација
رود	река
رود	ривер
رود	реката
رود	род
سیاست	политика
سیاست	политика
سیاست	дипломатија
فرانسوی	французи
فرانسوی	француски
وطن	дом
وطن	дома
وطن	домот
وطن	home
وطن	миграција
وطن	миграции
برتر	велича
برتر	супериорна
برتر	супериорен
نزدیک	речиси
نزدیک	скоро
نزدیک	блиску
نزدیک	затвори
نزدیک	близу
نزدیک	блиску
نزدیک	близина
دلار	долар
دلار	долари
دلار	доларот
داخلی	ентериер
داخلی	внатрешност
داخلی	внатрешни
داخلی	внатрешно
داخلی	внатрешна
داخلی	внатрешен
کاهش	намали
کاهش	намалување
کاهش	намалување
کاهش	редукција
کاهش	намали
کاهش	намалување
کاهش	опаѓање
احمد	ахмед
احمد	ахмад
ده	десетмина
ده	ten
ده	десетка
ده	десет
ارتش	воена
ارتش	војска
ارتش	армија
ارتش	војска
سایر	соер
مشخص	специфична
مشخص	специфично
مشخص	специфични
مشخص	конкретни
مشخص	специфичен
مشخص	одредено
مشخص	осветли
مشخص	истакне
مشخص	истакна
مشخص	истакната
مشخص	истакнато
گفت	рече
گفت	рекол
حاضر	сегашност
حاضر	сегашна
حاضر	поклон
حاضر	присутни
حاضر	претстави
حاضر	подарок
اسرائیل	израел
اسرائیل	израелска
اسرائیل	израелските
اسرائیل	израелскиот
اسرائیل	израелски
انسان	човечко
انسان	човек
انسان	човечки
انسان	човечка
انسان	маж
انسان	чоек
انسان	човек
انسان	мен
انسان	човекот
مسجد	џамија
مثل	како
مثل	like
شهرها	градови
شهرها	градови
سیاه	црн
سیاه	црна
سیاه	црно
سیاه	црни
سیاه	црнец
قدرت	снага
قدرت	сила
قدرت	силата
قدرت	моќ
قدرت	власт
قدرت	моќност
بنا	структуриран
نسخه	верзија
نسخه	рецепт
کم	мала
کم	мал
کم	литл
کم	мали
کم	малку
کم	мало
کم	kam
کم	ци
کم	кам
کم	ниско
کم	ниски
کم	ниска
کم	низок
خانواده	семејствата
خانواده	фамилии
خانواده	семејства
خانواده	семејство
خانواده	фамилијарно
خانواده	фамилијарна
