عوام	commons
قیاس	analogy
بازیافت	recycle
بازیافت	recycling
موس	moose
مؤسسات	institutions
دیگو	diego
کریستینا	christina
کریستینا	cristina
آران	aran
تجربیات	experiences
ریاضیدان	mathematician
خونین	bloody
کافه	cafe
کافه	café
لیل	lil
لیل	lille
دستان	hands
فروشی	shop
دریک	drake
مراسمی	ceremony
مراسمی	ceremonies
گشتی	patrol
مرجان	coral
مرجان	marjane
مرجان	marjan
پلاسما	plasma
سقراط	socrates
بوتان	bhutan
تعمیم	generalized
تعمیم	generalization
باردار	pregnant
مالیاتی	tax
مالیاتی	taxes
تداوم	persistence
سینت	sint
آریا	aria
آریا	arya
گزیده	bitten
گزیده	selective
بره	arietis
بره	aries
دیوارها	walls
افراطی	extremist
افراطی	extreme
آژاکس	ajax
فرشتگان	angels
جیوه	mercury
فاضلاب	sewer
فاضلاب	sewage
فاضلاب	sewers
وادی	wadi
لیاقت	deserve
لیاقت	merit
جودی	judy
حفر	dig
حفر	digging
شعله	flame
شعله	flames
کوچولو	little
تلفیق	merger
تلفیق	mixing
فک	jaw
زعفران	saffron
زعفران	crocus
تعاریف	definitions
دامن	skirt
دامن	skirts
گیلمور	gilmour
گیلمور	gilmore
مفصلی	arthritis
گیتاریست	guitarist
گوینده	talker
حرام	unlawful
حرام	forbidden
حرام	prohibited
محراب	altar
محراب	sanctuary
اقیانوسی	oceanic
اقیانوسی	ocean
وظیفهٔ	intuitively
گیتی	universe
گیتی	cosmos
رید	reid
رید	reed
عموی	uncle
جودو	judo
پژو	peugeot
مسائلی	problems
بالاتری	higher
تامیل	tamil
نوسنگی	neolithic
کورت	curt
کورت	kurt
خطبه	sermon
نزاع	dispute
نزاع	conflict
داروین	darwin
غواصی	diving
غواصی	dive
بلوط	chestnut
بلوط	acorns
بلوط	chestnuts
بلوط	balut
بلوط	oak
دستورات	orders
تقارن	symmetry
رونمایی	unveiled
اسراییل	israel
اسراییل	israeli
اشباع	saturation
اشباع	saturated
کوئین	quinn
پلاتین	platinum
پشتیبان	support
پشتیبان	backup
اسکندریه	alexandria
مرکوری	mercury
پخت	cooking
پخت	bake
موری	maury
موری	murray
تضعیف	undermining
تضعیف	attenuation
تضعیف	weakening
خزانه	treasury
شهروندی	citizenship
شهروندی	citizen
فین	finn
زانو	knee
زانو	knees
آرنا	arena
فلش	flash
ناتمام	unfinished
ناتمام	incomplete
ورنر	werner
تنبیه	punished
تنبیه	punishment
اشتباهات	mistakes
ویدئوی	video
مناره	minaret
تقلب	cheat
تقلب	cheating
تقلب	fraud
نشینی	retreat
موزامبیک	mozambique
ایرویز	airways
مغان	magi
حقایق	facts
رواندا	rwanda
مونترآل	montréal
تامسون	thompson
تامسون	thomson
انتقادات	criticisms
مانکن	supermodel
مانکن	mannequin
پاور	power
پاور	powered
جنجال	popping
جنجال	controversy
تبت	tibetan
تبت	tibet
میتسوبیشی	mitsubishi
نورد	carriage
نورد	nord
اهلی	domesticated
اهلی	ahli
اهلی	domestic
تیرداد	tiridates
خاکستر	ash
اساطیری	avatars
میانجی	mediator
میانجی	mediation
میانجی	intermediate
میانجی	mediators
استریت	street
تکاملی	evolutionary
گوجه	tomato
زرهی	panzer
زرهی	armored
قندهار	kandahar
خروس	cock
خروس	rooster
کاریکاتور	caricature
توت	tut
اطاعت	obey
سلیمانی	slimani
نمادین	symbolic
آگهی	advertisement
آگهی	advertising
واکسن	vaccines
واکسن	vaccine
منفرد	manfred
نیجر	niger
تامی	tommy
وارن	warren
سیلندر	cylinder
رستاخیز	doomsday
رستاخیز	resurrection
حشره	insect
بیوگرافی	biographies
بیوگرافی	biography
امانوئل	emanuel
امانوئل	emanuele
امانوئل	emmanuel
امانوئل	emmanuelle
جبری	algebraic
شورشی	insurgent
شورشی	rebel
شورشی	rebels
شکوفایی	bloom
منطبق	identical
عهدنامه	treaty
اقتصاددان	economist
کنش	action
کنش	actions
پاهای	feet
آرون	aaron
تنظیمات	adjustments
تنظیمات	preferences
تنظیمات	settings
آمیخته	mixture
آمیخته	mixtures
لیسبون	lisbon
دانیال	daniel
خوانی	recital
حماس	hamas
دوز	dosage
دوز	dose
فرانکو	franco
تحقیقی	scholarship
فمینیسم	feminism
حلب	aleppo
سکولار	secular
زراعی	agrarian
تأخیر	delay
تأخیر	postpone
آشوب	commotion
آشوب	chaos
پارکر	parker
بالقوه	potential
بالقوه	potentially
نخاعی	spinal
ادموند	edmund
غلامعلی	gholam
زینتی	decorative
زینتی	ornamental
زینتی	ornament
سقط	abortion
تاتنهام	tottenham
دیزل	diesel
محفل	coven
محفل	assembly
ناسیونال	nationale
ناسیونال	nacional
تماشای	watching
دوبلین	dublin
الکترونی	electron
یاهو	yahoo
درآمدی	income
قطره	drop
قطره	drops
باطل	vanities
باطل	falsehood
باطل	false
باطل	void
باطل	vanity
نیرومند	powerful
خداحافظی	goodbye
آنالوگ	analog
جونگ	jong
جونگ	joong
جونگ	jeong
جونگ	jung
رون	ron
اصابت	impact
عاطفی	emotional
دوندگان	racers
دوندگان	runners
اسکن	scan
مایعات	liquids
مایعات	fluids
وات	watt
عدسی	lens
الجزیره	algiers
مخفیانه	secretly
کریستیان	christian
کریستیان	cristian
امارت	emirate
صدیق	siddiq
مستطیل	rectangle
پورشه	porsche
سوگند	oath
کرنل	cornell
کرنل	cornel
کاج	pinus
کاج	kaj
کاج	pine
بایت	byte
بایت	bytes
تسلیحات	warheads
باروک	baroque
تبخیر	rotary
تبخیر	evaporation
انقلابیون	revolutionaries
کاتالونیا	catalunya
کاتالونیا	catalonia
برفی	snow
برفی	snowy
مهربان	kind
مهربان	merciful
سوالات	questions
محافل	covens
رنگین	dyed
راکی	rocky
نوسازی	renewal
نوسازی	renovation
نوسازی	rehabilitation
ریموند	raymond
شوک	shock
میخی	gibberish
میخی	cuneiform
ابتکار	improv
ابتکار	initiative
ابتکار	improvisation
نمادی	symbolic
ورد	spell
زدایی	deregulation
امیلی	emily
بور	bor
بور	bohr
بور	burr
بور	boron
اسپورت	sport
اسپورت	sports
آرت	art
موانع	barriers
موانع	setbacks
موانع	obstacles
احادیث	readings
تاخیر	delay
کولی	gypsy
ناتوانی	inability
ناتوانی	disability
تاکسی	taxi
تاکسی	cab
کلیوی	renal
زشت	ugly
فرید	farid
ماهر	skilled
ماهر	maher
پایانه	terminal
توس	birch
مصادف	coincide
عجایب	wonders
تعدیل	adjustment
زراعت	crops
زراعت	farming
واجب	mandatory
واجب	necessary
راستش	actually
بدتر	worse
لوی	levi
لوی	loy
لوی	levy
سبزیجات	vegetable
سبزیجات	vegetables
کارخانجات	factories
شگفت	marvellous
مازیار	maz
داس	scythe
داس	sickle
داس	das
هموار	smooth
قرائت	recitation
قرائت	reading
نیا	nia
آناتومی	anatomy
سوق	drive
هیلز	hills
انتصاب	appointing
وفاداری	fidelity
وفاداری	loyalty
بارانی	shower
بارانی	rainy
بارانی	rain
بارانی	raincoat
بیچ	beech
بیچ	beach
کیفری	criminal
آرزو	wish
آرزو	wishing
تصمیمات	decisions
دانشگاهیان	academics
دانشگاهیان	academia
ضرر	losses
جنون	dementia
جنون	madness
جنون	insanity
متقاعد	convinced
متقاعد	convince
متقاعد	convincing
تایلر	tyler
عزت	honour
عزت	honor
عزت	glory
تمبر	stamp
تمبر	stamps
بلگراد	belgrade
معاملات	deals
معاملات	transactions
یاقوت	sapphires
یاقوت	rubies
یاقوت	ruby
نوزده	nineteen
پرسی	percy
دستکاری	manipulating
دستکاری	manipulation
معجزه	miracles
معجزه	miracle
باهم	together
خوردگی	corrosion
لوکوموتیو	locomotive
بدهی	debts
بدهی	liabilities
بدهی	debt
بدهی	debit
کلیساها	churches
پرستوی	swallow
چادر	tents
چادر	camping
چادر	tent
عمو	uncle
نوسان	oscillating
نوسان	oscillation
نوسان	swing
سرنشین	passenger
سرنشین	crew
زنجیر	chain
ریوی	pulmonary
اسپانیای	spain
ایزوتوپ	isotopes
ایزوتوپ	isotope
ین	yen
دلالت	implies
دلالت	implication
نیزه	spear
پارالمپیک	paralympics
مشهود	evident
مشهود	witnessed
اسپنسر	spencer
طوطی	parrots
طوطی	parrot
آپالاشیا	appalachia
لاتزیو	lazio
بلژیکی	belgian
اسکاندیناوی	scandinavia
اسکاندیناوی	scandinavian
بارو	barrow
کمینه	minimum
کمینه	minimal
کاراته	karate
دستگاهی	device
کوپه	compartment
کوپه	coupe
منازل	mansions
سرما	cold
آموزگار	teacher
شجاعت	courage
توران	turan
برهم	surge
پرستار	nurse
مشکی	black
بنگال	bengal
الحاق	addendum
الحاق	accession
توریستی	tourist
ایان	ian
استیضاح	impeachment
جاوه	java
متعهد	minuteman
متعهد	bound
متعهد	committed
بلیز	belize
مسمومیت	poisoning
مسمومیت	toxicity
مجرد	singles
مجرد	bachelor
عروقی	vascular
تحکیم	consolidation
سرگئی	sergei
درخشش	shine
درخشش	luminosity
درخشش	glowing
درخشش	glitter
درخشش	glow
اینترنشنال	international
دیترویت	detroit
فرعون	pharaoh
سهره	finch
هارون	harun
صمد	samad
شنوایی	hearing
جواهر	jewels
جواهر	jewel
جواهر	jewelry
هیجان	excitement
هیجان	thrill
هیجان	excited
برانگیز	urge
برانگیز	rouse
پرتره	portrait
تومور	tumor
کپسول	capsule
بیسبال	baseball
کروموزوم	chromosomes
کروموزوم	chromosome
خستگی	fatigue
خستگی	boredom
خستگی	exhaustion
بسامد	frequency
استعفای	resignation
چاپلین	chaplin
الکتریسیته	electricity
کریک	creek
پنجاب	punjab
غیرممکن	impossible
اشیا	objects
مشت	fists
مشت	punch
مشت	fist
ربع	quarter
سهولت	ease
کنسولگری	consulate
جسیکا	jessica
مجنون	insane
مجنون	mad
ویکیپدیای	wikipedia
بالکان	balkans
بالکان	balkan
باروری	fertility
باروری	gestation
هوافضا	aerospace
عزاداری	mourn
عزاداری	mourning
اضطراب	anxiety
شرلوک	sherlock
نسیم	breeze
اضطراری	emergency
ثور	thor
نزاکت	propriety
نزاکت	civility
نزاکت	tact
فروهر	essence
باکس	box
اسکوشیا	scotia
میش	ewes
میش	ewe
تعصب	intolerance
تعصب	prejudice
تعصب	dogma
تفنگداران	musketeers
تفنگداران	corps
کرک	kirk
درصدی	percentage
سنتز	synthesis
افغانی	afghani
افغانی	afghan
نیر	nir
اصولی	systematic
وارده	sustained
سپید	white
واسکو	vasco
متناهی	finite
هدر	heather
طبع	temper
نیکولا	nicola
نیکولا	nikola
دریچه	valve
دریچه	hatch
احساسی	emotional
انجیر	ficus
انجیر	fig
ثالث	tertiary
جوهر	toner
جوهر	ink
پلاستیکی	plastic
پن	penn
پن	pan
تیموری	shahrukh
سس	sauce
تیغ	blade
مولر	müller
مولر	mueller
مولر	muller
انتقالی	transitional
مبدا	origin
رولز	rolls
آرژانتینی	argentinian
آرژانتینی	argentine
کیل	kale
کیل	kiel
وقفه	interrupt
وقفه	interruption
وقفه	intermission
وقفه	interruptions
گواهینامه	license
گواهینامه	certificate
روال	routine
فراموشی	forgetting
آمینه	amino
زامبیا	zambia
تم	tam
تم	theme
فاش	disclose
فاش	reveal
فاش	disclosure
ویروسی	viral
بابلی	babylon
بابلی	babylonian
صداهای	voices
سوسن	lilium
سوسن	susan
رینگ	ring
خطرات	risks
خطرات	dangers
هاردی	hardy
مخالفین	opposition
گوزن	stag
گوزن	moose
گوزن	deer
گوزن	caribou
نیومن	newman
نیومن	neumann
دورتموند	dortmund
الیاس	elijah
الیاس	elias
لیزری	laser
پاداش	bonus
پاداش	rewards
پاداش	reward
نفرین	curse
لمس	touch
لمس	touching
لمس	touched
سوئیسی	swiss
سویا	soybean
واگذاری	delegate
کارن	karen
مهندسین	engineers
قشر	cortex
طاووس	peacock
اسکلت	chassis
اسکلت	skeleton
اسکلت	skeletons
پدربزرگ	grandpa
پدربزرگ	grandfather
گروپ	group
انحصار	monopoly
منجمد	frozen
فواصل	distances
فواصل	intervals
فلامینگو	flamingo
خدایی	god
سیار	mobile
پادگان	bases
پادگان	garrison
گرمایش	heating
خلاقیت	creativity
خلاقیت	creative
اسپورتینگ	sporting
امریکایی	american
بارون	baron
بارون	rain
بیکر	baker
بروسیا	borussia
گی	gay
مخرب	destructive
تهمت	defamation
تهمت	slander
تهمت	libel
آبیلا	ávila
مخازن	repositories
حسگر	sensor
مستعمره	colony
بودا	buddha
مکاتب	communicator
صاریغ	possum
صاریغ	opossum
خودگردان	autonomous
محققین	researchers
قسطنطنیه	constantinople
ایمن	safe
ایمن	ayman
ایمن	secure
ایمن	eamon
جفرسون	jefferson
ناخواسته	unwanted
کاوشگر	probe
کاوشگر	lander
کاوشگر	explorer
قطعاً	definitely
ویرانی	ruin
ویرانی	destruction
غده	tumor
غده	gland
بروک	brooke
بروک	brook
یزید	yazid
کاله	kalle
کاله	calais
مرمر	marble
مقاصد	intentions
مقاصد	purposes
مقاصد	destinations
زیارتگاه	shrine
گراد	grad
سنتور	centaur
انعقاد	coagulation
توفیق	assistance
رکن	pillar
پاسخگویی	answer
پاسخگویی	response
جنسیتی	gender
گیلبرت	gilbert
پدرو	pedro
تریلر	thriller
تریلر	trailer
چاک	chuck
خوک	pigs
خوک	pig
بکند	does
بازوی	arm
دوازدهمین	twelfth
مدیاویکی	mediawiki
بیداری	awake
جامی	cups
جامی	cup
نیکون	nikon
بازتابی	flashbacks
آری	aye
تزئینات	decorations
شوهرش	husband
کالین	colin
برونو	bruno
مارپیچی	spiral
باخ	bach
قذافی	gaddafi
بازگشایی	reopening
گمنام	anonymous
ناراحتی	sad
محبت	kindness
محبت	affection
همخوانی	consistency
باک	buck
باک	bak
باک	bock
کارا	kara
کارا	cara
جنبشی	kinetic
وبا	cholera
جهانگردان	explorers
آستوریاس	asturias
تزئین	decoration
تزئین	decorate
پیشوند	prefix
بیهوشی	anesthetic
بیهوشی	blackout
نشستن	sitting
شایان	cheyenne
نیایش	invocation
نیایش	adoration
نیایش	glorification
نیایش	prayers
انصراف	quit
بیشه	thicket
کلامی	verbal
کلامی	linguistic
تناقض	contradictions
تناقض	paradox
تناقض	inconsistency
تناقض	contradiction
قضائیه	judiciary
تعطیلی	shutdown
لیندا	linda
لیندا	lynda
قسم	swear
قسم	oath
کمبوجیه	cambyses
آرم	arm
دلاور	delaware
اتصالات	connections
فراخوانی	callback
فراخوانی	summons
فراخوانی	calling
اسیدی	acidic
اسیدی	acid
اسیدی	acidity
بیکاری	unemployment
فلفل	pepper
هاپکینز	hopkins
شیطانی	demonic
مگس	flies
کالاها	commodities
کالاها	goods
لیبریا	liberia
لیبریا	liberian
محو	blur
لای	lai
لای	lay
پنجشنبه	thu
پنجشنبه	thursday
بقای	survival
نامیبیا	namibia
سورینام	suriname
طیفی	spectral
کمدین	comedian
جن	jen
جن	djinn
جن	jenn
عذرخواهی	apologies
عذرخواهی	excuses
عذرخواهی	apology
بازگو	recount
میکس	mix
یوهانس	johannes
بذر	seed
بذر	seeds
عملگر	operator
تکن	tekken
فرصتی	opportunity
اخطار	notification
اخطار	warning
بخارست	bucharest
حباب	bubbles
حباب	bubble
پالس	pulse
گرانت	grunt
گرانت	grant
تقریب	approximation
هیلاری	hillary
هیلاری	hilary
نژادهای	breeds
بهاری	spring
مزدا	mazda
نقدهای	reviews
تفریح	recreation
گان	gunn
نرگس	narcissus
نرگس	nargis
سبزی	nutritious
کپنهاگ	copenhagen
کارولین	caroline
صدمه	damage
صدمه	hurt
شارژ	charge
شارژ	charged
خنده	laughter
خنده	laugh
ملایم	gentle
ملایم	mild
ملایم	soft
اشکالات	drawbacks
ییلاق	countryside
ییلاق	country
مایا	maya
داند	knows
اشتوتگارت	stuttgart
جوار	admits
چنگیز	genghis
لانه	nest
لانه	den
منسوخ	archaic
منسوخ	outdated
منسوخ	obsolete
سانسکریت	sanskrit
محکومیت	convictions
محکومیت	conviction
امتیازات	privileges
امتیازات	scores
استعمال	usage
محفوظ	protected
محفوظ	preserved
شبح	phantom
شبح	ghost
دورانی	coating
انگل	engel
انگل	parasites
انگل	parasite
فروشنده	vendor
کمیل	camille
کمیل	kamil
تانسور	tensor
منظره	landscape
تلفیقی	scarves
واتیکان	vatican
گریس	grace
اتلتیک	athletic
موضوعاتی	topics
بهرامی	bahrami
آیدین	aydın
سالمندان	nursing
سالمندان	elderly
ماموران	officers
روحیه	morale
عشقی	love
موجودیت	entity
مارکسیست	marxist
تدبیر	regulates
تدبیر	regulate
تدبیر	plan
دریاها	seas
سفال	pottery
رودریگز	rodriguez
رودریگز	rodrigues
رودریگز	rodríguez
ریس	reese
ریس	rhys
ریس	reiss
بشریت	humanity
کوهن	cohn
کوهن	cohen
کوهن	kohn
فیجی	fiji
سمرقند	samarkand
ارضی	territorial
هانتر	hunter
مارینو	marino
پناهنده	refugee
پناهنده	refugees
رزرو	booked
رزرو	reserved
رزرو	reservations
رزرو	reservation
رزرو	reserve
یخبندان	glacial
یخبندان	ice
متقارن	symmetric
متقارن	symmetrical
رابینسون	robinson
کویینز	queens
بخواند	calls
ملودی	melody
اسبق	predecessor
زیربخش	subdivision
ریاض	riyadh
مکزیکو	mexicali
وحی	revelation
دلو	bucket
دلو	aquarius
دلو	aquarii
استانهای	governorates
مهرآباد	mehrabad
ضخیم	thick
کربنات	carbonate
انقباض	contractions
انقباض	contraction
شفت	shaft
سوفیا	sofia
امیدوار	hopeful
بتی	betty
دستورالعمل	instruction
دستورالعمل	recipe
دستورالعمل	instructions
منتسب	alleged
انگشتان	fingers
محتوی	container
نامزدها	nominees
نامزدها	nominations
معصوم	innocent
کارتون	carton
کارتون	cartoon
کارتون	cartoons
احتیاط	prudent
احتیاط	caution
آموخته	taught
دربی	derby
گرامر	grammar
سپیده	dawn
نیکو	niko
نیکو	nico
بخت	fortunes
بخت	fortune
هاله	halle
هاله	aura
هاله	halo
توری	lattice
توری	grid
بنویسد	write
همسران	spouses
همسران	wives
قراردادهای	contracts
قراردادهای	protocols
هوندا	honda
دیداری	visual
آتی	futures
بهای	price
آیفون	iphone
گیلاس	cherry
ارکان	pillar
گزاره	proposition
شایستگی	qualified
شایستگی	merit
مشتقات	derivatives
مشتقات	variants
اسکای	skye
اسکای	sky
سنگر	bunker
تصدی	commission
تصدی	tenure
همجوار	contiguous
موجی	wave
موجی	waves
کارآمد	efficient
انعطاف	flexible
ادارات	offices
ردیابی	tracing
ردیابی	tracking
ردیابی	tracker
ردیابی	trace
ماهانه	monthly
قدیس	saint
تهی	void
تهی	empty
رفیع	high
رفیع	rafi
نگاشت	map
جمجمه	skulls
جمجمه	skull
عطار	attar
عطار	grocer
سوزن	needles
سوزن	needle
بنادر	ports
جوزپه	giuseppe
اعتدال	moderation
اعتدال	equinox
پذیرایی	accommodation
پذیرایی	reception
پذیرایی	entertainment
عروسک	dolls
عروسک	doll
چیزها	things
تزیین	decorating
یقین	certain
یقین	certainty
یقین	uncertain
قاطع	decisive
اریتره	eritrea
دهقان	peasant
هریسون	harrison
بولونیا	bologna
حک	engraving
انشعاب	fork
انشعاب	branch
وایمار	weimar
گردنه	steep
مارسل	marcel
کسر	deduction
کسر	fractions
کسر	deficit
کسر	fraction
عبادت	worship
متراکم	dense
جنایات	crimes
آئودی	audi
ترمینال	terminal
نامحدود	infinite
نامحدود	unlimited
سرنگون	topple
سرنگون	overthrow
آپاچی	apache
مشروط	contingent
عرضی	landscape
عرضی	transverse
ذرت	corn
بدانید	know
وبر	weber
سرودن	compose
تعاونی	cooperative
تکنیکی	technical
زی	zee
نفی	deportation
گسیل	emission
داوطلبانه	voluntarily
داوطلبانه	voluntary
خائن	traitor
رویس	royce
گریگوری	gregory
کنراد	conrad
چکاوک	lark
بالتیک	baltic
آیوی	ivy
راجرز	rogers
میرسد	arriving
میرسد	reaches
ادوین	edwin
رنگهای	colors
اطفال	children
اطفال	childrens
هسن	hesse
یونس	younes
یونس	yunus
یونس	jonah
یونس	younis
همسایگی	neighborhood
همسایگی	neighbourhood
فرضی	hypothetical
راو	raw
متناظر	corresponding
آهسته	whispering
آهسته	slow
آهسته	slowly
زاگرب	zagreb
نوی	neu
نیکول	nicole
گوگ	gogh
فری	ferry
فری	frey
فری	fray
تقطیر	distillation
سرنگونی	overthrowing
آلتو	alto
نیکلای	nikolai
نیکلای	nikolay
رؤیا	roya
رؤیا	dream
اهدای	donor
پرل	pearl
پرل	perl
رفیق	dude
رفیق	buddy
لیو	liv
بدانند	know
عظمت	grandeur
عظمت	greatness
مناظره	debate
مناظره	debating
مناظره	debates
میکرو	micro
ادراک	perception
بادهای	winds
تاب	swinging
تاب	swing
ناتینگهام	nottingham
بیاورید	bring
پنهانی	secretly
صمیمی	cordial
صمیمی	intimate
زینب	zainab
قربان	sir
سوءاستفاده	abuse
جنوا	genoa
گنگ	dumb
گنگ	gang
مچ	wrist
یخی	frost
یخی	ice
قحطی	famine
قحطی	starvation
ماسک	mask
ماسک	masks
میگیرد	takes
میگیرد	receives
مکانیزم	mechanism
شهدا	martyrs
قرض	loan
قرض	debt
استوا	equator
دشواری	difficulty
دشواری	hardship
مهمات	ammunition
آند	andean
رحمان	rahman
وصیت	testament
محفظه	capsule
دول	dole
دول	dol
مشاوران	consultants
مشاوران	advisors
احتراق	combustion
احتراق	ignition
درواقع	actually
کلک	deceit
کلک	trick
گرده	pollen
متخصصین	experts
متخصصین	tech
متخصصین	specialists
تریپل	triple
فسیلی	fossil
مهاجرین	migrants
مهاجرین	immigrants
مهاجرین	refugees
پروسه	process
گوهر	essence
تراشه	chip
تحقیر	humiliated
تحقیر	humiliating
تحقیر	humiliation
تحقیر	contempt
عنکبوتی	spider
عنکبوتی	spidey
پوینت	point
جراح	surgeon
جراح	jarrah
نورنبرگ	nürnberg
نورنبرگ	nuremberg
اتمسفر	atmosphere
اتمسفر	atmospheric
قفس	cage
شهوانی	erotic
جاسوس	spy
ندا	neda
دوجانبه	bilateral
پروتون	proton
لورا	laura
آشکارا	openly
آشکارا	clearly
آشکارا	publicly
ساسکاچوان	saskatchewan
لکه	smudge
لکه	stains
لکه	stain
لکه	blob
لکه	blur
سوارکاری	riding
سوارکاری	equestrian
متریک	metric
جاش	josh
بحر	sea
راینلاند	rhineland
انسانها	humans
حسابرسی	audit
حسابرسی	accounting
قناری	canaries
قناری	canary
گلوکز	glucose
یگان	unit
قرارگاه	settlement
قرارگاه	lodging
پشتوانه	endowment
بوریس	boris
گروگان	hostage
تدارک	preparation
جووانی	giovanni
دینار	dinar
انور	enver
انور	anwar
ویک	vic
استارک	stark
اتلاف	waste
بای	bay
مونترال	montreal
زناشویی	marital
کعبه	kaaba
ابدی	eternal
ابدی	immortal
پتر	peter
پتر	petr
سیلیکات	silicate
مهری	seal
مواجهه	confrontation
نزول	descent
عسکری	askari
پروتستان	protestant
سرعتی	speedy
تجلیل	celebration
سپر	shield
سپر	bumper
فرات	euphrates
ایزدی	providence
اسکیت	skating
اسکیت	skate
اسکیت	skateboarding
آراسته	attractive
آراسته	decorated
آراسته	embellished
بورلی	beverly
چهارراه	intersection
فراطبیعی	paranormal
سلاطین	kings
سایمون	simon
والاس	wallace
دیکتاتوری	dictatorial
دیکتاتوری	dictatorship
سویی	sui
اندلس	andalusia
بدخشان	badakhshan
لوسی	lucy
خشکسالی	famine
خشکسالی	drought
اولاد	offspring
سمفونیک	symphonic
الموت	alamut
ریکاردو	riccardo
ریکاردو	ricardo
کلوپ	club
کلوپ	klopp
پوشیدن	wearing
پوشیدن	wear
کلاب	club
تایی	tae
لایپزیگ	leipzig
نفرت	hatred
نفرت	hate
برخاست	arose
برخاست	takeoff
هالی	holly
چهاردهمین	fourteenth
ادواردز	edwards
نواری	ribbon
تالیفات	compilations
مونته	monte
آناهیتا	anahita
هافمن	hoffmann
هافمن	hoffman
غزنوی	ghazni
آشتی	truce
تروریست	terrorist
تروریست	terrorists
انصار	ansar
سیستانی	sistani
ارگان	organs
ارگان	organ
خفیف	mild
خفیف	slight
مخروطی	conical
مخروطی	cone
بازجویی	interrogation
بازجویی	questioning
انبساط	expansion
قفسه	shelf
قفسه	cupboard
پرتقال	orange
پرتقال	oranges
نایت	knight
کامیون	truck
شهریاری	monarchy
فلک	ferris
اسپرت	sports
جواهرات	jewels
جواهرات	jewelry
جواهرات	jewellery
وانگ	wang
بیا	come
کورپوریشن	corporation
ویلی	willie
عماد	imad
عماد	emad
کیارستمی	kiarostami
مارپیچ	labyrinth
مارپیچ	maze
مارپیچ	serpentine
مارپیچ	spiral
مارپیچ	helix
ترنر	turner
میکروسکوپ	microscope
نکا	neckar
بیم	warner
سگا	sega
سگا	dogs
نهر	nahr
نهر	creek
پارما	parma
جزیی	trivial
