athenaeum	athenaeum
evolúció	εξέλιξη
evolúció	εξελιξη
evolúció	εξελικτική
szurkolók	ανεμιστήρες
szurkolók	θαυμαστές
szurkolók	οπαδοί
üzemeltető	φορέα
üzemeltető	χειριστή
üzemeltető	χειριστής
conrad	κόνραντ
analízis	ανάλυση
mongólia	μογγολία
luna	λούνα
privát	ιδιωτικά
privát	ιδιωτική
privát	ιδιωτικό
privát	ιδιωτικός
kezdetek	αρχή
bizonyítani	αποδεικνύοντας
bizonyítani	αποδείξω
bizonyítani	απόδειξε
bizonyítani	απέδειξε
főnök	αρχηγός
főnök	αρχηγέ
főnök	αφεντικό
főnök	boss
szülő	γονιών
szülő	γονέα
szülő	γονέας
szülő	μητρική
szülő	γονιός
harvey	harvey
harvey	χάρβεϊ
áruház	κατάστημα
áruház	μαγαζί
jackie	τζάκι
jackie	τζάκυ
jackie	jackie
atlanta	ατλάντα
koordináta	συντεταγμένες
claudius	κλαύδιος
átadott	μεταφέρθηκαν
átadott	μεταφερθεί
átadott	μεταφέρθηκε
potenciális	δυνατότητες
potenciális	δυναμικό
lambert	λάμπερτ
horror	φρίκη
horror	τρόμου
horror	τρόμος
szaxofon	σαξόφωνο
utasok	επιβατών
utasok	επιβάτες
utasok	ταξιδιωτών
utasok	ταξιδιώτες
teológia	θεολογία
eltávolították	αφαιρέθηκαν
eltávolították	αφαιρέθηκε
eltávolították	αφαιρεθεί
diszkográfia	δισκογραφία
hamburger	χάμπουργκερ
hamburger	burger
hamburger	μπέργκερ
hamburger	χάμπουργκερ
hamburger	χάμπουργκερ
hamburger	χάμπουργκερ
hamburger	μπιφτέκια
hamburger	μπέργκερ
szál	ίνες
szál	ίνα
szál	ινών
szál	νήματα
szál	νήμα
szál	κλωστή
centrum	centrum
centrum	κέντρο
fát	ξύλο
fát	ξυλεία
hatásai	επιπτώσεις
hatásai	επιδράσεις
hatásai	εφέ
keserű	πίκρα
keserű	πικρή
keserű	πικρό
bűncselekmény	κακούργημα
bűncselekmény	εγκλημα
bűncselekmény	έγκλημα
bűncselekmény	εγκληματικότητα
kutatói	ερευνητή
kutatói	ερευνήτρια
kutatói	ερευνητής
kutatói	ερευνητές
lennon	λένον
broadway	μπρόντγουεϊ
értelmező	ερμηνευτική
bomba	βόμβα
bomba	βόμβες
tudatosan	συνειδητά
abraham	αβραάμ
szerencsétlen	άτυχος
szerencsétlen	άτυχο
szerencsétlen	άτυχη
szerencsétlen	ατυχία
szerencsétlen	ατυχές
szerencsétlen	ατυχής
szerencsétlen	ατυχή
felszerelve	τοποθετηθεί
felszerelve	εξοπλισμένο
felszerelve	εξοπλισμένοι
felszerelve	εξοπλισμένα
ibc	ibc
madagaszkár	μαδαγασκάρης
madagaszkár	μαδαγασκάρη
gene	τζην
gene	gene
gene	τζιν
gene	γονίδιο
oslo	όσλο
robbanás	έκρηξη
csonka	κόλουρο
krakkó	κρακοβία
diploma	πτυχίο
diploma	δίπλωμα
diploma	πτυχίο
diploma	βαθμός
egyetértés	συμφωνία
egyetértés	κατανόηση
egyetértés	συναίνεση
belseje	εσωτερικό
belseje	εσωτερικών
megoldások	λύσεις
megoldások	διαλύματα
hetes	seven
hetes	επτά
hetes	εφτά
következményei	επιπτώσεις
következményei	συνέπειες
lucia	λουσία
boszorkány	μάγισσα
fészek	φωλιά
ars	ars
pat	pat
pat	πατ
propaganda	προπαγάνδα
szocializmus	σοσιαλισμού
botrány	σκάνδαλα
botrány	σκάνδαλο
botrány	σκανδαλώδες
webber	γουέμπερ
szilveszter	σιλβέστερ
santo	σάντο
tök	κολοκύθα
sheffield	σέφιλντ
joel	τζόελ
janeiro	janeiro
végrehajtási	επιβολής
végrehajtási	επιβολή
asszisztensek	βοηθοί
asszisztensek	βοηθούς
düsseldorf	ντίσελντορφ
düsseldorf	ντίσελντορφ
termelt	παραγόμενα
termelt	παρήχθησαν
termelt	παράγεται
csarnok	χωλ
csarnok	hall
csarnok	χολ
spider	σπάιντερ
spider	αράχνη
interaktív	διαδραστική
sex	σεξ
sex	sex
sex	φύλο
feltöltött	ανέβηκαν
feltöltött	ανέβηκε
feltöltött	ανέβασε
autóval	αυτοκίνητο
autóval	αμάξι
autóval	car
paramount	paramount
hivatkozást	σύνδεσμο
hivatkozást	σύνδεσμος
hivatkozást	λινκ
hivatkozást	δεσμός
hivatkozást	link
hivatkozást	σύνδεση
alkotók	δημιουργοί
alkotók	δημιουργούς
szépség	ομορφιά
csomag	πακέτο
csomag	αγέλη
csomag	συσκευασία
csomag	δέμα
csomag	πακέτο
csomag	συσκευασία
kai	kai
kai	κάι
kazahsztán	καζακστάν
kazahsztán	καζαχστάν
puy	puy
utazási	travel
utazási	ταξίδια
utazási	ταξίδι
radioaktív	ραδιενεργό
radioaktív	ραδιενεργών
radioaktív	ραδιενεργά
lezárt	σφραγισμένο
lezárt	σφραγισμένα
lezárt	σφραγισμένη
lezárt	σφραγίστηκε
jamaica	τζαμάικα
kopasz	φαλακρός
kopasz	φαλακρό
kaukázusi	καύκασο
bokor	θάμνους
bokor	bush
bokor	μπους
bokor	θάμνος
bokor	θάμνο
bokor	θάμνος
búza	σιταριού
búza	σιτάρι
búza	σίτου
egységesen	ομοιόμορφα
bónusz	bonus
bónusz	μπόνους
bónusz	bonus
bónusz	μπόνους
hónapja	μήνα
hónapja	μήνας
amy	amy
amy	έιμυ
amy	έιμι
jelentéktelen	ασήμαντη
jelentéktelen	ασήμαντος
jelentéktelen	ασήμαντο
jelentéktelen	ανούσιο
jelentéktelen	ανούσια
jelentéktelen	ασήμαντη
jelentéktelen	ασήμαντος
jelentéktelen	ασήμαντο
alpha	alpha
alpha	άλφα
alpha	αλφα
sör	μπύρα
sör	μπίρα
sör	μπύρες
hughes	hughes
hughes	χιούζ
hughes	χιουζ
jake	jake
jake	τζέικ
sorba	ουρά
hopkins	χόπκινς
stark	σταρκ
olivier	ολιβιέ
ned	νεντ
niger	νίγηρα
megjelölt	σημαδεμένος
megjelölt	σηματοδότησε
kizárólagos	αποκλειστική
kizárólagos	αποκλειστικός
kizárólagos	αποκλειστικό
kizárólagos	αποκλειστικά
kizárólagos	αποκλειστικότητα
szemét	σκουπίδια
szemét	σκουπίδια
szemét	σκουπίδι
szemét	σκουπίδια
lakás	επίπεδη
lakás	διαμέρισμα
lakás	διαμέρισμα
lakás	κατοικία
lakás	στέγαση
lakás	στέγασης
lakás	ακίνητα
trilógia	τριλογία
dakota	ντακότα
szombaton	σάββατο
évenként	ετησίως
évenként	ετήσια
koncepció	έννοια
jeanne	ιωάννα
jeanne	joan
jeanne	τζόαν
jeanne	τζοάν
jeanne	ιωάννα
jeanne	ζαν
átalakított	τροποποιημένο
átalakított	τροποποιημένα
átalakított	τροποποιήθηκε
átalakított	τροποποιημένη
átalakított	τροποποιημένος
átalakított	μετατροπή
átalakított	μεταμορφωθεί
átalakított	μεταμορφώθηκε
átalakított	προσαρμοσμένες
átalakított	προσαρμοστεί
átalakított	προσαρμοσμένα
átalakított	προσαρμοσμένη
átalakított	προσαρμοσμένο
előnyös	ωφέλιμη
előnyös	ευεργετική
előnyös	επωφελής
törlése	διαγραφή
alább	κατωτέρω
alább	κάτω
alább	παρακάτω
alább	κατω
bizonyítékok	αποδείξεις
bsc	bsc
eduardo	εντουάρντο
fizikusok	φυσικοί
fizikusok	φυσικούς
simpson	σίμπσον
simpson	simpson
simpson	σίμσον
nílus	νείλου
vallások	θρησκείες
orange	πορτοκάλι
orange	πορτοκαλί
számláló	μετρητής
számláló	πάγκο
számláló	αριθμητή
elkerülése	αποφυγή
elkerülése	αποφεύγοντας
elkerülése	αποφεύγω
elkerülése	αποφυγή
elkerülése	αποφύγετε
elkerülése	αποφευχθεί
elkerülése	αποφεύγετε
elkerülése	αποφυγή
konszenzus	συναίνεση
michelle	michelle
michelle	μισέλ
paula	πόλα
paula	πάολα
paula	πώλα
gerhard	γκέρχαρντ
kapcsolatai	συνδέσεις
kapcsolatai	διασυνδέσεις
elszenvedett	υπομείνει
közreműködő	συντελεστές
nicaragua	νικαράγουα
castro	κάστρο
vandalizmus	βανδαλισμό
rhône	rhône
mobile	mobile
mobile	κινητό
mobile	κινητή
mobile	κινητά
glenn	γκλεν
stein	στάιν
gombák	μανιτάρια
gombák	μύκητες
gombák	μύκητα
gombák	μύκητες
ablakok	windows
ablakok	παραθύρων
ablakok	παράθυρα
brno	brno
reagál	ανταποκρίνεται
reagál	ανταπόκριση
reagál	ανταποκρίνεται
évszázad	αιώνα
évszázad	αιώνας
armstrong	άρμστρονγκ
csomópont	κόμβος
csomópont	διασταύρωση
törvénytelen	παράνομη
aranyos	χαριτωμένη
aranyos	χαριτωμένα
aranyos	χαριτωμένος
aranyos	χαριτωμένο
palermo	παλέρμο
bezárt	κλειστό
bezárt	κλειστο
bezárt	κλειστή
bezárt	κλειστά
csökkentése	μειώσει
csökkentése	μείωση
rain	βροχή
rain	ρέιν
rain	βροχές
auto	αυτόματο
auto	auto
auto	αυτόματη
kitörés	εστία
kitörés	ξέσπασμα
kitörés	επιδημία
kitörés	έκρηξη
kitörés	ξέσπασμα
freddie	φρέντι
freddie	φρέντυ
apache	απάτσι
esküvő	γάμο
esküvő	γάμος
hudson	χάντσον
utcák	δρόμους
utcák	δρόμοι
technikailag	τεχνικώς
technikailag	τεχνικά
alekszandrovics	αλεξάντροβιτς
perui	περουβιανή
perui	περού
perui	περού
koreográfus	χορογράφος
recept	συνταγή
recept	συνταγή
társaságok	εταιρίες
társaságok	εταιρείες
társaságok	εταιρίες
társaságok	εταιρείες
megszüntetése	περάτωση
megszüntetése	λήξη
megszüntetése	τερματισμός
siemens	siemens
kiadások	δαπάνες
kiadások	δαπάνη
kiadások	έξοδα
ábrázol	απεικονίζει
nyelvészet	γλωσσολογία
hollywoodi	χόλιγουντ
hollywoodi	χόλλυγουντ
hollywoodi	hollywood
hollywoodi	χόλυγουντ
divat	μόδας
divat	μόδα
christoph	κριστόφ
christoph	christoph
összeg	ποσό
összeg	άθροισμα
nicole	νικόλ
nicole	nicole
nepál	νεπάλ
távközlési	telecom
távközlési	τηλεπικοινωνιών
távközlési	τηλεπικοινωνίες
távközlési	τηλεπικοινωνία
kocsik	αμάξια
kocsik	αυτοκίνητα
kocsik	άμαξες
kocsik	βαγόνια
kocsik	άμαξες
kocsik	βαγόνια
felújítás	ανακαινίσεις
felújítás	ανακαίνιση
felújítás	ανανέωση
felújítás	ανακαίνιση
felújítás	ανακαίνιση
professzionális	επαγγελματικό
professzionális	επαγγελματική
professzionális	επαγγελματίας
professzionális	επαγγελματικά
houston	χιούστον
ulrich	ούλριχ
működés	επιχειρηση
működés	εγχείρηση
működés	λειτουργία
működés	επιχείρηση
lika	λίκα
istennő	θεά
istennő	θεα
hidak	γεφυρών
hidak	γέφυρες
kultúrák	πολιτισμοί
kultúrák	κουλτούρες
kultúrák	καλλιέργειες
kultúrák	πολιτισμούς
lombard	λόμπαρντ
vívás	ξιφασκία
waters	ύδατα
waters	γουότερς
waters	νερά
fbi	fbi
későn	αργά
vert	vert
szociológus	κοινωνιολόγος
cape	ακρωτήρι
cape	κέιπ
cape	ακρωτήριο
cape	κάπα
hallani	ακούσω
kimondottan	συγκεκριμένα
kiadatlan	αδημοσίευτη
vilma	βίλμα
lili	λίλυ
lili	lily
lili	λίλι
harald	harald
plus	συν
plus	plus
érvénytelen	άκυρο
érvénytelen	άκυρη
kövér	λίπος
kövér	χοντρός
kínál	προσφέρει
kínál	προσφορές
kínál	προσφέροντας
kolostorban	μοναστήρι
kolostorban	μονή
kerék	τιμόνι
kerék	τροχό
kerék	τροχού
kerék	ρόδα
kerék	τροχός
kerék	τροχών
kerék	τροχούς
kerék	ρόδες
kerék	τροχοί
vegyész	χημικός
fejlesztések	βελτιώσεις
fejlesztések	βελτίωση
fejlesztések	αναβαθμίσεις
fejlesztések	εξελίξεις
fejlesztések	εξελίξει
emelet	δάπεδο
emelet	όροφο
emelet	πάτωμα
emelet	όροφος
szimmetrikus	συμμετρικός
szimmetrikus	συμμετρικό
kártya	τράπουλα
kártya	χαρτιά
kártya	κάρτες
kártya	φύλλα
kártya	κάρτα
instrumentális	instrumental
holmes	holmes
holmes	χόλμς
holmes	χολμς
kötés	συνδετικό
kötés	δεσμευτική
kötés	δεσμευτικός
kötés	δεσμευτικό
kötés	πλέξιμο
kötés	επίδεσμο
kötés	δεσμός
kötés	μποντ
kötés	bond
ezentúl	εφεξής
tulajdonság	ακίνητο
tulajdonság	ιδιοκτησία
tulajdonság	ιδιότητα
tulajdonság	ακίνητα
tulajdonság	ιδιότητες
tulajdonság	ακίνητα
légkör	ατμόσφαιρα
légkör	ατμοσφαιρικό
légkör	ατμοσφαιρική
kurd	κουρδικό
kurd	κούρδων
kurd	κούρδους
kurd	κούρδοι
szabályozza	ρυθμίζει
mainz	mainz
terveket	σχέδια
varázsló	μάγο
varázsló	μάγος
varázsló	μάγος
varázsló	μάγος
heinz	heinz
sárgás	κιτρινωπό
producerek	παραγωγών
producerek	παραγωγοί
nyelveket	γλώσσες
felmérés	έρευνες
felmérés	δημοσκόπηση
felmérés	έρευνα
felmérés	ερευνα
felmérés	δημοσκόπηση
eugène	eugène
gyanús	ύποπτο
gyanús	καχύποπτος
gyanús	ύποπτος
gyanús	ύποπτο
gyanús	ύποπτη
henger	κύλινδρο
henger	κύλινδροι
henger	κυλίνδρους
műsorok	παραστάσεις
műsorok	δείχνει
venezia	venezia
felváltva	εναλλάξ
csökkenő	κατεβαίνει
csökkenő	φθίνουσα
csökkenő	φθίνουσα
csökkenő	πτωτική
csökkenő	φθίνουσα
csökkenő	μειώνεται
todd	τοντ
parma	πάρμα
infrastruktúra	υποδομές
infrastruktúra	υποδομής
infrastruktúra	υποδομή
seattle	σηάτλ
seattle	σιάτλ
fegyvereket	όπλα
fegyvereket	οπλα
vágy	πόθος
vágy	επιθυμία
vágy	επιθυμίες
vágy	λαγνεία
vágy	πόθος
vágy	πόθο
vágy	λαχτάρα
romboló	καταστροφέας
romboló	καταστροφέα
romboló	αντιτορπιλικό
ugrás	άλμα
erotikus	ερωτική
erotikus	ερωτικό
erotikus	ερωτικές
erotikus	ερωτικά
homo	χόμο
hibrid	υβρίδιο
hibrid	υβριδικά
hibrid	υβριδικό
dráva	ντράβα
bon	μπον
robbie	ρόμπι
morris	μόρις
morris	morris
morris	μόρρις
europa	europa
cukor	γλυκά
cukor	καραμέλες
cukor	καραμέλα
cukor	κάντυ
cukor	ζάχαρη
terhes	έγκυος
érvek	επιχειρήματα
érvek	επιχειρηματολογία
városokat	πόλεων
városokat	πόλεις
mdf	mdf
triász	τριασική
tömör	συμπαγής
tömör	συμπαγή
tömör	συμπαγές
tömör	συμπαγής
tömör	στερεό
tömör	στερεά
tömör	συμπαγές
tömör	λακωνική
tömör	συνοπτικό
anhalt	άνχαλτ
kórházi	νοσοκομείο
komédia	κωμωδία
komédia	φάρσα
ita	ita
víztározó	δεξαμενή
roth	roth
roth	ροθ
csont	κόκκαλα
csont	οστά
csont	κόκαλα
csont	μπόουνς
csont	οστό
csont	κόκαλα
csont	οστά
csont	κόκαλο
csont	κόκκαλο
bennett	μπένετ
csőre	ράμφος
arizona	αριζόνα
jegyzett	εγγεγραμμένος
jegyzett	εγγεγραμμένο
jegyzett	εισηγμένες
baseball	μπέιζμπολ
egyezik	αγώνες
egyezik	σπίρτα
egyezik	αντιστοιχία
egyezik	ματς
egyezik	αγώνα
egyezik	ταίριασμα
egyezik	αγώνας
bolond	ανόητος
bolond	ανόητη
bolond	ανόητο
algebra	άλγεβρα
kínaiak	κινέζος
kínaiak	κινεζική
kínaiak	κινέζικο
kínaiak	κινέζικα
kínaiak	κινέζοι
igazgatóság	διεύθυνση
tibet	θιβέτ
őszintén	ειλικρινά
toyota	toyota
ovális	οβάλ
megosztott	κοινοποίησε
megosztott	κοινοποιήθηκε
megosztott	διαιρεμένη
megosztott	διχασμένη
megosztott	διαιρείται
tematikus	θεματικά
követői	οπαδούς
követői	ακόλουθους
követői	ακόλουθοι
napokban	ημέρες
napokban	ημερες
napokban	μέρες
munkahelyek	δουλειές
munkahelyek	εργασίες
hanna	hannah
hanna	χάννα
hanna	χάνα
hanna	χάννα
hanna	χάνα
halottak	νεκροί
halottak	νεκρή
halottak	νεκρός
halottak	νεκρό
burton	burton
burton	μπέρτον
burton	μπάρτον
nacionalista	εθνικιστική
csatornák	κανάλια
csatornák	κανάλια
csatornák	υδρορροές
csatornák	υπονόμους
kezelő	φορέα
kezelő	χειριστή
kezelő	χειριστής
kezelő	μάνατζερ
kezelő	διαχειριστής
kezelő	διευθυντής
vatikáni	βατικανό
módszertani	μεθοδολογικές
porsche	πόρσε
haiti	αϊτή
hírhedt	διαβόητος
hírhedt	διαβόητη
tokiói	τόκυο
tokiói	τόκιο
józan	νηφάλια
józan	νηφάλιος
költség	cost
költség	κόστος
költség	έξοδα
költség	κόστος
ricardo	ρικάρντο
részleteket	λεπτομέρειες
mel	μελ
alpesi	αλπική
törtek	κλάσματα
galamb	περιστέρι
galamb	περιστέρι
szervező	διοργανωτής
szervező	διοργανωτής
szervező	οργανωτής
szervező	διοργανωτή
szervező	διοργανωτής
szervező	οργανωτής
macskák	γάτες
elpusztította	καταστραφεί
elpusztította	καταστράφηκε
elpusztította	κατεστραμμένο
elpusztította	καταστράφηκαν
elpusztította	κατεστραμμένα
hús	κρέατα
hús	κρέας
hús	σάρκα
követelt	απαίτησε
követelt	απαιτούσε
búcsú	χωρισμός
bástya	προπύργιο
bástya	πύργος
bástya	πύργο
vosges	vosges
felipe	φελίπε
hirdetett	διαφημίζεται
hirdetett	προωθείται
hirdetett	προωθήθηκε
logó	λογότυπο
katalógus	κατάλογοι
katalógus	καταλόγους
katalógus	κατάλογο
katalógus	κατάλογο
platform	πλατφόρμα
platform	εξέδρα
platform	αποβάθρα
platform	εξέδρες
platform	πλατφόρμες
nyelvtan	γραμματική
kollektív	συλλογική
kollektív	συλλογικό
kollektív	συλλογικά
kollektív	συλλογικές
hazafias	πατριώτης
hazafias	πατριωτικό
rogers	ρότζερς
tudor	τυδώρ
tizenegyedik	ενδέκατη
jefferson	τζέφερσον
meghívást	πρόσκληση
meghívást	πρόσκληση
feladatai	καθήκοντα
feladatai	δασμοί
feladatai	καθήκοντα
vállalja	διαπράττει
vállalja	δεσμεύεται
viselkedik	συμπεριφέρεται
viselkedik	συμπεριφέρεται
glasgow	γλασκώβη
suriname	σουρινάμ
légió	λεγεώνα
gyalogság	πεζικό
bauer	μπάουερ
muzulmán	μουσουλμανική
muzulmán	μουσουλμάνος
muzulmán	μουσουλμάνοι
fajták	φυλών
fajták	ποικιλίες
hivatkozásokat	αναφορές
hivatkozásokat	παραπομπές
montana	μοντάνα
stratégia	στρατηγική
nélkülözhetetlen	απαραίτητος
nélkülözhetetlen	απαραίτητος
nélkülözhetetlen	ουσιώδης
nélkülözhetetlen	απαραίτητο
nélkülözhetetlen	ουσιώδες
biztonság	ασφάλεια
biztonság	ασφαλείας
biztonság	χρηματοκιβώτιο
biztonság	ασφαλείς
biztonság	ασφαλές
biztonság	ασφαλής
biztonság	ασφαλή
biztonság	ασφάλεια
len	λίνο
len	λινάρι
len	λεν
struktúra	διάρθρωση
struktúra	δομή
ismétlődő	αντιγραφή
ismétlődő	αντίγραφο
ismétlődő	επαναλαμβανόμενο
ismétlődő	επαναλαμβανόμενες
ismétlődő	επαναλαμβανόμενη
ismétlődő	επαναλαμβανόμενη
ismétlődő	επαναλαμβανόμενο
ismétlődő	επαναλαμβανόμενη
ismétlődő	επαναλαμβάνεται
felvételeket	κασέτες
felvételeket	ηχογραφήσεις
bűnös	ένοχοι
bűnös	ένοχος
bűnös	ένοχη
bűnös	αμαρτωλός
bűnös	αμαρτωλό
bűnös	αμαρτωλή
elsődlegesen	πρωτίστως
kiejtés	προφορά
kén	θειάφι
kén	θείο
kén	θειάφι
kén	θείο
kén	θείου
admirális	ναύαρχος
tarka	pied
váltakozó	εναλλασσόμενο
váltakozó	εναλλάξ
tedd	βάλτε
tedd	βάλε
mérhető	μετρήσιμη
puha	απαλά
puha	μαλακός
puha	μαλακά
puha	μαλακό
zavaros	μπερδεμένοι
zavaros	μπερδεμένο
zavaros	μπερδεμένος
zavaros	μπερδεμένη
zavaros	σύγχυση
zavaros	θολό
zavaros	συννεφιά
zavaros	μπερδεμένο
zavaros	σύγχυση
liechtenstein	λιχτενστάιν
jessica	τζέσικα
jessica	jessica
hubert	χιούμπερτ
hitte	πίστευε
hitte	πιστεύεται
rap	ραπ
januárban	ιανουαρίου
januárban	ιανουάριο
januárban	ιανουάριος
sértő	προσβλητικό
sértő	προσβλητική
sértő	προσβλητικό
sértő	προσβλητική
iowa	αϊόβα
törvényeket	νόμους
törvényeket	νόμοι
kölcsön	δανείστηκε
kölcsön	δάνεια
kölcsön	δάνειο
kölcsön	δανεισμός
kölcsön	δανεισμού
clarke	κλαρκ
kezdeményezés	πρωτοβουλία
túlélte	επέζησαν
túlélte	επιβίωσε
túlélte	επέζησε
régiók	περιφερειών
régiók	περιοχές
régiók	περιφέρειες
régiók	περιφέρεια
régiók	περιοχή
módosult	τροποποιημένο
módosult	τροποποιημένα
módosult	τροποποιήθηκε
módosult	τροποποιημένη
módosult	τροποποιημένος
algoritmus	αλγόριθμο
algoritmus	αλγόριθμος
marton	μάρτον
randy	ράντι
randy	ράντυ
ferde	στραβή
ferde	στραβό
ontario	οντάριο
riporter	δημοσιογράφος
riporter	ρεπόρτερ
esély	πιθανότητες
esély	ευκαιρία
esély	τσανς
esély	πιθανότητες
szárnyas	φτερωτό
ünnepség	τελετή
ünnepség	γιορτή
ünnepség	εορτασμός
kaliforniában	καλιφόρνια
kaliforniában	california
rossi	ρόσι
temetkezési	νεκροθάφτη
kibocsátott	εκδόθηκε
