தெரிந்தது	conegut
சிந்தனையாளர்	pensador
சிகரெட்	cigarreta
சிகரெட்	cigarret
சிகரெட்	cigarrets
சிகரெட்	cigarretes
காரம்	picant
வேன்	van
வேன்	furgoneta
மூத்தவர்	sènior
வெண்ணெய்	mantega
சிங்கர்	singer
சிங்கர்	cantant
இடையிலுள்ள	autenticitat
மனோ	mano
நிழல்கள்	ombres
கலவரங்கள்	motí
ஆர்சனல்	arsenal
வின்ஸ்டன்	winston
இராமானுசர்	ramanuja
புதுப்பிக்கப்பட்டது	actualitzat
அனிமேஷன்	animades
அனிமேஷன்	animat
அனிமேஷன்	anime
வேம்பு	neem
தேரை	gripau
லக்ஷ்மி	laxmi
மகேஷ்	mahesh
கொள்வனவு	compres
கொள்வனவு	shopping
பேரிடர்	desastre
எறும்புகள்	formigues
தட்டி	aixeta
தட்டி	toca
தட்டி	tap
உபயோகம்	ús
உபயோகம்	utilitat
மெழுகு	cera
சிந்தி	sindhi
ஹாக்	hawk
ஹாக்	hawke
காய்ந்த	secà
பயங்கரவாத	terror
செயற்பட	funcionals
செயற்பட	funcional
ஹான்ஸ்	hans
பட்டர்	mantega
ராணா	rana
அனுபவத்தை	experiencia
அனுபவத்தை	experiència
ஆசான்	mentor
பாராட்டும்	reconeixement
குறைந்தளவு	conservador
சக்திவாய்ந்த	poderós
சக்திவாய்ந்த	poderosos
சக்திவாய்ந்த	potent
சக்திவாய்ந்த	poderosa
சக்திவாய்ந்த	poderoses
திங்கட்கிழமை	dilluns
தனிநபர்கள்	particulars
ஆண்குறி	penis
டெர்ரி	terry
படைத்தவர்	creador
மண்டேலா	mandela
ஹூ	hoo
கொள்கலன்	contingut
கொள்கலன்	contenidor
கொள்கலன்	recipient
இப்ராகிம்	ibrahim
கூந்தல்	pèl
கூந்தல்	cabells
மறையும்	oculta
மறையும்	amaga
அருமை	fantàstic
அருமை	fantàstica
அருமை	aiguablava
அருமை	bonic
அருமை	niça
இயங்கியல்	operatiu
இயங்கியல்	operatius
இயங்கியல்	operativa
மகனே	fill
சுகுமாரன்	sukumaran
தலையீடு	intervenció
குழப்பங்கள்	conflictes
குழப்பங்கள்	conflicte
விருப்பப்படி	custom
விருப்பப்படி	personalitzada
விருப்பப்படி	personalitzat
உள்ளடக்கங்கள்	continguts
இரக்கம்	compassió
ஓசியானியா	oceania
மீனா	meena
கிரோன்	crohn
யாங்	yang
எட்வார்ட்	edward
எட்வார்ட்	eduard
நகை	joia
கமிஷன்	comissió
ஆலோசனைகள்	suggerències
ஆலோசனைகள்	suggeriments
சொந்தம்	propi
சொந்தம்	propis
தொடும்	toquin
தொடும்	tocar
ஆரோக்கியம்	sanitat
ஆரோக்கியம்	salut
ருத்ர	rudra
பாஸ்பரஸ்	fòsfor
மாறிகள்	variable
மாறிகள்	variables
திலகர்	tilak
நுண்ணோக்கி	microscopi
ஐசக்	isaac
வாழ்வது	vivint
வெற்றிபெற்று	guanyat
ஓவல்	oval
சலாம்	salam
மேலாளராக	gestor
சலுகை	oferta
ரசாயன	chemical
ரசாயன	químic
ஸ்வீடன்	suècia
ரிஷி	rishi
லாக்	bloqueig
லாக்	bloqueja
லாக்	bitàcola
கரோலினா	carolina
பாஜக	bjp
பார்பரா	bàrbara
பார்பரா	barbara
செலுத்தப்பட்டது	pagat
செலுத்தப்பட்டது	retribuïts
செலுத்தப்பட்டது	pagats
அந்தோனியார்	anthony
ஸ்டாக்ஹோம்	estocolm
ஸ்டாக்ஹோம்	stockholm
புரூணை	brunei
பள்ளிக்கூடம்	escola
ஸ்கோடா	skoda
வர்ணம்	pintat
வர்ணம்	pigment
ரோஜாக்கள்	roses
மாட்	matt
சொத்துகள்	actius
சக்	chuck
பூரி	puri
டொனால்ட்	donald
ஒதுக்கப்பட்டது	reservat
ஒதுக்கப்பட்டது	reservada
ஒதுக்கப்பட்டது	reservats
பேட்ரிக்	patrick
பாடுகிறார்	canta
பாடுகிறார்	cant
பாடுகிறார்	cantant
போயர்	boer
பிரிக்ஸ்	brics
ஒப்பனை	maquillatge
ஒப்பனை	cosmètics
ஒப்பனை	cosmètica
துரோணர்	drona
தாமிரம்	coure
கவனத்திற்கு	atenció
ஆந்தை	mussol
பிரபலங்கள்	famosos
ஜூலியா	julia
ஜூலியா	júlia
நிணநீர்	limfa
இனக்குழு	etnicitat
டாமன்	damon
கொன்றார்	matat
காளான்	bolet
போதைப்பொருள்	droga
மதங்கள்	religions
ஓடுகள்	fitxes
டெர்	der
ஃபோர்ப்ஸ்	forbes
இயக்கிகள்	controladors
இயக்கிகள்	conductors
இயக்கிகள்	xofers
பிலடெல்பியா	filadèlfia
பிலடெல்பியா	philadelphia
இரங்கல்	condol
செம்பிலான்	sembilan
கடிகாரங்கள்	rellotges
ராஸ்	ross
எலுமிச்சை	llimona
எலுமிச்சை	calç
மனிதனும்	ànima
பதக்கங்களை	medalles
ரீட்	reed
ஆனந்தம்	alegria
மார்க்கம்	religió
மார்க்கம்	markham
காய்கறி	vegetal
முதிர்ச்சி	maduresa
முதிர்ச்சி	venciment
வழங்கவும்	proveir
வழங்கவும்	aportar
வழங்கவும்	proporcionar
ஷேன்	shane
குறும்படம்	miniatura
குறும்படம்	icona
சோனியா	sonia
நீரியல்	hidrologia
இலைகளை	fulls
இலைகளை	fulles
அசுரன்	monster
அசுரன்	monstre
கிளாரா	clara
தேவாலயத்தில்	piazza
அரி	ari
செயல்படுத்துகிறது	tramitació
செயல்படுத்துகிறது	processament
சளி	fred
சளி	refredats
கொடூரமான	cruel
கொடூரமான	brutal
முசோலினி	mussolini
தூதுவர்	ambaixador
செக்ஸ்	sexe
செக்ஸ்	sex
பாலினம்	gènere
குணப்படுத்தும்	curació
குணப்படுத்தும்	millorant
கைபேசி	mòbil
காலாண்டு	trimestrals
காலாண்டு	trimestral
காலாண்டு	trimestre
பபெட்	buffett
புலங்கள்	camps
அன்னிய	exteriors
சாஸ்திரம்	xastra
பரவுகிறது	escampa
பண்டிட்	pandit
ஏறு	trepa
ஏறு	escalar
மரபை	llegat
மரபை	herència
புகலிடம்	refugi
சவாலாக	impugnat
சவாலாக	impugnades
இம்ரான்	imran
எண்ணங்களை	pensaments
அளவுகோல்	escala
அடல்	atal
புதுப்பிக்கத்தக்க	renovable
புதுப்பிக்கத்தக்க	renovables
கதா	katha
நகர்வுகள்	moviments
ஹெக்டர்	hector
மாயன்	mayan
வெண்கல	bronze
மஸ்ஜித்	masjid
ரோல்	rotllo
ரோல்	roll
ரோல்	rotlle
ஆல்பங்கள்	àlbums
கெல்லி	kelly
கோபால	gopala
பாக்கியம்	beneïda
பாக்கியம்	esplèndida
பாக்கியம்	beneït
பாக்கியம்	blest
சிறகு	wings
சிறகு	ales
பட்டாணி	pèsol
பட்டாணி	pèsols
சர்ச்சில்	churchill
அங்கீகரிக்கப்பட்டது	aprovades
அங்கீகரிக்கப்பட்டது	aprovat
அங்கீகரிக்கப்பட்டது	aprovada
அங்கீகரிக்கப்பட்டது	aprovats
ஆற்றலும்	energia
கூட்டுக்	combinats
கூட்டுக்	combinada
கூட்டுக்	combinades
கூட்டுக்	combinat
ஆக்கி	processador
கடற்படையினர்	marines
நிபுணத்துவம்	peritatge
கற்பு	castedat
கவர்ந்தது	inspira
ஈடன்	eden
கொன்றது	matat
அதிகபட்சம்	max
அதிகபட்சம்	màx
அதிகபட்சம்	màxim
அம்பாலா	ambala
சுருங்கி	encongeix
கிட்	git
கிட்	kit
செய்தியாளர்	press
செய்தியாளர்	premsa
செய்தியாளர்	reporter
வகுத்தது	pavimentada
வகுத்தது	pavimentat
மறியல்	piquets
சிப்	xip
சிப்	chip
புக்கர்	booker
கேளிக்கை	recreació
கேளிக்கை	esbarjo
கேளிக்கை	oci
கேளிக்கை	entreteniment
கேளிக்கை	entertainment
சமோவா	samoa
பந்துகள்	pilotes
பந்துகள்	boles
பருவங்கள்	temporades
பருவங்கள்	estacions
குடியேற்றவாத	colonització
வாத	terror
நிலுவையில்	pendent
யுனிக்ஸ்	unix
தொட்டில்	bressol
வாசம்	alè
வாசம்	indulgència
துன்பங்கள்	penes
கோளம்	esfera
திரையரங்கு	teatre
பின்புலம்	antecedents
பின்புலம்	fons
தத்து	pestanya
தத்து	tab
லம்போர்கினி	lamborghini
ஆலோசனைக்	consulta
தனிமையில்	sola
தனிமையில்	solitari
தனிமையில்	solitud
தனிமையில்	soledat
வழிகாட்டல்	orientació
விக்கெட்	wicket
பார்வைகள்	visites
பார்வைகள்	visualitzacions
நோக்கங்களை	intencions
பளிங்கு	marble
பளிங்கு	marbre
மனிதர்களும்	humans
வாக்கியம்	frase
வாக்கியம்	frase
சொற்பொருள்	semàntic
எதிரானது	contra
எதிரானது	against
அனுப்புகிறது	enviament
அனுப்புகிறது	enviant
சுமேரிய	sumeri
துவக்கி	llançadora
பூனைகள்	gats
வார்சா	varsòvia
புள்ளிவிவரம்	estadística
புள்ளிவிவரம்	estadístiques
புள்ளிவிவரம்	anàlisis
பாஸ்கல்	pascal
மார்க்கெட்	mercat
கணங்கள்	moments
சோமாலியா	somàlia
படத்தொகுப்பு	collage
மீனவர்	pescadors
மீனவர்	pescador
குண்டூர்	guntur
பென்சீன்	benzè
இருக்கவும்	estada
துல்லியம்	precisió
குவளை	mug
தொழிற்சாலையில்	fàbrica
ராக்கெட்	coet
ஆல்ப்ஸ்	alps
இயல்பை	natura
இயல்பை	naturalesa
வித்து	llavor
பானங்கள்	begudes
பானங்கள்	begudes
நினைக்கும்	pensa
பெயர்ச்சி	reemplaça
பெயர்ச்சி	substitueix
தற்செயலாக	accidentalment
சந்த்	chand
சமத்துவம்	neutralitat
சமத்துவம்	igualtat
நடனங்கள்	danses
நடனங்கள்	balls
விடு	excedència
விடு	llença
விடு	gota
துர்கா	durga
அலபாமா	alabama
தொழுகை	salah
ரேகை	longitud
பாலைவனத்தில்	desert
லூசியானா	louisiana
கரைப்பான்	dissolvent
எறிந்து	elenc
எறிந்து	repartiment
கலீபா	califa
தந்திரம்	truc
மதிப்பாய்வு	revisió
மதிப்பாய்வு	revisa
மதிப்பாய்வு	moderació
குவான்	guan
ஆர்எஸ்எஸ்	rss
நேர்மை	honestedat
பொறாமை	gelós
பொறாமை	enveja
பொறாமை	gelosia
கோட்டா	kota
வரவிருக்கும்	pròximes
வரவிருக்கும்	propers
வரவிருக்கும்	properes
அவுட்லுக்	outlook
சூசன்	susan
காமெடி	comèdia
நையாண்டி	sàtira
கமிட்டி	comitè
ஜீலம்	jhelum
வைக்கோல்	palla
இப்ராஹிம்	ibrahim
முத்துக்கள்	perles
அலோர்	alor
ஆமைகள்	tortugues
யா	yaa
அலெக்சாந்திரியா	alexandria
சாதாரணமான	mediocres
அமிதாப்	amitabh
சேவா	seva
புள்ளிவிவர	estadístic
பங்களா	bungalow
ஈஸ்ட்	llevats
ஈஸ்ட்	llevat
ஈஸ்ட்	rent
பரிணாமம்	evolució
கல்யாண்	kalyan
பங்கேற்பு	participació
பங்கேற்பு	assisteixen
பங்கேற்பு	assistir
சோலார்	solar
மேகங்கள்	núvols
கேம்ஸ்	jocs
கருட	garuda
நீரோ	nero
பூத	físic
நெரிசல்	congestió
வாய்க்கால்	canal
கடலியல்	oceanografia
இறைவனிடம்	lord
இறைவனிடம்	senyor
ரொனால்ட்	ronald
கொலராடோ	colorado
வளாகங்கள்	planters
மிதவை	flotant
மிதவை	surant
பதிய	gng
முதலீட்டாளர்	inversor
உணரிகள்	sensors
உணரிகள்	captadors
நசீர்	nazir
சோர்வு	fatiga
சோர்வு	cansada
சோர்வு	cansats
சோர்வு	cansat
திறக்க	oberta
திறக்க	oberts
திறக்க	open
திறக்க	obre
திறக்க	obert
வானியற்பியல்	astrofísica
குழப்பத்தை	sedició
சையது	syed
இடைவெளிகள்	espais
இரவும்	nit
அத்தியாவசிய	imprescindibles
அத்தியாவசிய	imprescindible
அத்தியாவசிய	essencial
அத்தியாவசிய	essencials
ஏதுமில்லை	cap
ராஜு	raju
பயன்முறை	modalitat
பயன்முறை	mode
பெர்க்சையர்	berkshire
ஜிமெயில்	gmail
ஆர்வமும்	tendencies
கவர்ச்சியான	sexy
சுலைமான்	suleiman
சுலைமான்	sulaiman
தெருக்கள்	carrers
ஆர்ச்சர்	arquer
ஆர்ச்சர்	archer
கீரை	espinacs
ஜெப்ரி	geoffrey
சன்னி	assolellat
பாதுகாக்கவும்	protegir
படையணி	batalló
மோட்சம்	devoció
சொரெஸ்	soros
பயிற்சியாளர்கள்	autocars
பயிற்சியாளர்கள்	entrenadors
பேசுகிறது	parla
பேசுகிறது	parlant
ஈடுபட்டுள்ள	compromesa
ஈடுபட்டுள்ள	promès
ஈடுபட்டுள்ள	promesos
ஈடுபட்டுள்ள	promesa
ஏழ்மை	pobresa
உடற்கூறு	anatomia
பயங்கர	terrible
பயங்கர	terribles
மேலாளர்கள்	gestors
மேலாளர்கள்	directius
மீதம்	balanç
மீதம்	saldo
மீதம்	equilibri
மீதம்	restant
மீதம்	restants
மீதம்	esquerra
மீதம்	esquerre
பீச்	préssecs
பீச்	presseguer
பீச்	préssec
குதுப்	qutb
லுட்விக்	ludwig
அமிர்தசரஸ்	amritsar
பொறுப்பான	responsable
தீவிரவாதம்	terrorisme
பரதன்	bharata
குறுக்கீடு	interrupció
குறுக்கீடு	interferència
எள்	sèsam
வடிவமைக்க	configura
மனப்பான்மை	actitud
எட்ஜ்	vora
எட்ஜ்	edge
செய்கிறான்	causes
மாவீரன்	warrior
மாவீரன்	guerrer
வாருங்கள்	vine
ஆன்மீகம்	espiritual
மெகாடெத்	megadeth
உள்நாட்டில்	localment
வியூகம்	estratègia
மாம்பழம்	mango
சத்யஜித்	satyajit
கழுதை	ase
வயிற்றுப்போக்கு	diarrea
முஸ்தபா	mustafa
முஸ்தபா	mustafà
நம்பிக்கையுடன்	esperem
கிரகம்	planeta
தலைக்கு	head
தலைக்கு	capçal
மாறிவிட்டது	canviades
மாறிவிட்டது	canviat
மாறிவிட்டது	canviada
மியாமி	miami
பொறித்த	fregit
நிக்கோலஸ்	nicolas
நிக்கோலஸ்	nicholas
நிக்கோலஸ்	nicolau
நானா	nana
மோகம்	passió
தெரிவித்துக்	visitat
கால்நடைகள்	bestiar
கால்நடைகள்	boví
ஓட்டோ	otto
நாளைய	demà
சிர்க்கோனியம்	zirconi
சந்தர்ப்பம்	context
ஆண்டர்சன்	anderson
சிக்னல்	senyal
அடையாறு	adyar
மோடம்	mòdem
கிளென்	glen
கிளென்	glenn
காபூல்	kabul
அரிவாள்	falç
பேச்சாளர்கள்	altaveus
பேச்சாளர்கள்	parlants
எலிகள்	ratolins
வைன்	vi
வாடிக்கையாளரின்	client
பட்டினி	inanició
பழமொழிகள்	refranys
திறக்கும்	obertura
ராபர்ட்ஸ்	roberts
கிரி	kiri
பிரைவேட்	pvt
அசிட்டேட்டு	acetat
மருமகன்	nebot
அஷ்ட	ashta
கிரகங்கள்	planetes
காவி	safrà
தோழன்	mat
நாட்டியம்	dansa
நிறைவுற்ற	saturats
கடனை	deute
மகேந்திர	mahendra
உபரி	extres
உபரி	excedent
உபரி	excedents
அனுபவ	exp
குட்டிகள்	cadells
குட்டிகள்	cadells
ஓவியத்தை	pintura
மணமகள்	núvia
சின்னப்பர்	tebes
ஜூலி	julie
வேணு	venu
சொல்லாட்சி	retòrica
அலங்கரிக்கப்பட்ட	decorats
அலங்கரிக்கப்பட்ட	decorat
ஒலிகள்	sons
ஜோர்டான்	jordà
ஜோர்டான்	jordània
பிரபஞ்சம்	univers
பிரபஞ்சம்	galàxia
சிறுநீரகம்	ronyó
மறக்க	oblida
பிளாங்க்	planck
நடித்தது	protagonitzat
சுயசரிதை	biografia
ரூபி	rubí
ரூபி	ruby
அத்தை	tieta
அத்தை	tieta
அத்தை	tia
துரோகம்	traïció
சீரோ	ciro
சரியா	dret
சரியா	dreta
பிட்டு	bit
கார்லோ	carlo
நடக்கின்றன	passant
பக்கத்து	veí
அவகாசம்	respir
பண்பேற்றம்	modulació
திரி	tri
டேம்	dame
படுக்கையில்	llit
விவசாயி	agricultor
விவசாயி	granger
வழங்குநர்	màquina
வழங்குநர்	proveïdor
பதினொன்று	onze
பதினொன்று	eleven
திறமைகளை	talents
திறமைகளை	habilitats
இரகசியமாக	secretament
முன்னேற்றத்தை	progrés
முகமூடி	màscara
கோல்ட்மேன்	goldman
மொழிபெயர்க்கப்பட்டது	traduït
பட்லர்	butler
பட்லர்	majordom
காட்டப்பட்டது	descarta
காட்டப்பட்டது	mostrat
முபாரக்	mubarak
லூதியானா	ludhiana
ஜின்னா	jinnah
குளூனி	clooney
பென்னி	penny
பென்னி	cèntim
பென்னி	benny
ஹன்னிபால்	anníbal
வில்லி	willy
பொய்யான	fals
பொய்யான	false
பொய்யான	falses
பொய்யான	fals
பொய்யான	fake
ஸ்ரீநகர்	srinagar
படத்தைப்	foto
முற்றத்தில்	pati
மல்யுத்தம்	lluita
பெட்ரோ	pedro
பிம்பம்	imatge
இறுக்கம்	compressió
இழப்பீடு	compensació
இழப்பீடு	indemnització
பொட்டு	bindi
கோலங்கள்	dibuixos
நீட்டிப்பு	estén
நீட்டிப்பு	ressaca
நீட்டிப்பு	resaca
வினைச்சொல்	verb
பிசுமத்	bismut
ஜாகுவார்	jaguar
கிராமத்திற்கு	poble
கிராமத்திற்கு	aldea
பாணிகள்	estils
அல்ஜீரியா	algèria
குளிர்காலம்	hivern
குறிப்பான	específics
குறிப்பான	específic
காத்துக்	esperant
செதுக்கப்பட்ட	tallada
ஜெனிபர்	jennifer
மஹா	maha
டோம்	cúpula
ஆராய்ச்சியாளர்	investigador
நதியா	nadia
பத்திரிக்கையாளர்	periodista
இர்வின்	irwin
இர்வின்	irvine
புரூக்	brooke
உற்பத்தியாளர்	fabricant
புதன்கிழமை	dimecres
கொரியன்	coreà
முன்னொட்டு	prefix
படக்	batak
தவ	tava
சாமா	chama
விவகாரம்	escàndol
முதலாளித்துவ	capitalista
அடித்தளமாக	castigada
பயோடீசல்	biodièsel
பாடு	cantar
பாடு	sing
கொதிக்க	bullir
சையத்	syed
பண்டார	pandora
தமன்	daman
சியாம்	siam
பாகா	baja
கிடங்கு	magatzem
கிடங்கு	repositori
சொட்டு	degoteig
சோடா	refresc
சோடா	soda
நாஷ்	nash
பயங்கரமான	terrible
பயங்கரமான	terribles
மலரின்	esclafa
பொறுத்தே	depèn
சிறப்பானது	destacat
குங்குமப்பூ	safrà
வழித்தடங்கள்	rutes
துறவறம்	saint
பார்க்கப்பட்டது	vistos
பார்க்கப்பட்டது	vist
பார்க்கப்பட்டது	mirava
பார்க்கப்பட்டது	vigilat
காப்பாளர்	mantenidor
மேனி	manny
கையாளுதல்	tramitació
கையாளுதல்	maneig
கையாளுதல்	manipulació
வழங்குவதில்	aportant
டாப்ளர்	doppler
அடித்தள	soterrani
கார்டர்	carter
ரைடர்ஸ்	riders
ரைடர்ஸ்	genets
குடிமகன்	ciutadà
பேராசிரியர்கள்	catedràtics
பேராசிரியர்கள்	professores
உருகிய	fos
பால்டிக்	bàltic
ஏற்கப்பட்டது	acceptada
ஏற்கப்பட்டது	acceptats
ஏற்கப்பட்டது	acceptat
அரசுகளும்	governs
மொசாம்பிக்	moçambic
ஹரியானா	haryana
சோமு	somu
ஒட்டுண்ணி	paràsits
சுடும்	tirador
ஃபெராரி	ferrari
ஜாதி	casta
நிறுத்தங்கள்	parades
நாகை	nagai
பர்	bur
ஈரம்	humida
ஈரம்	mullat
மிருகங்கள்	animals
விதிவிலக்கு	excepcions
பொறுமை	paciència
குறிப்பை	nota
கன்னியர்	maidens
ஜார்ஜியா	georgia
ஜார்ஜியா	geòrgia
சிறகுகள்	plomes
சிறகுகள்	wings
சிறகுகள்	ales
காகம்	corb
ஜிகாத்	gihad
பையன்	noi
பையன்	guy
மெய்யான	original
கோர்டன்	gordon
பெக்	suplicar
ஹாரிசன்	harrison
கீத்	keith
சுற்றுகள்	rondes
விரும்புகின்றனர்	correspondre
குறும்படங்கள்	icones
குரல்கள்	veus
சிண்ட்ரெல்லா	ventafocs
பானு	banu
மோ	moe
தோட்டக்கலை	horticultura
தோட்டக்கலை	hortícoles
தோட்டக்கலை	jardineria
தீவுக்கூட்டம்	arxipèlag
அலைந்து	volten
இஞ்சி	gingebre
இஞ்சி	ginger
காசநோய்	tuberculosi
பிரான்	braun
பிரான்	piran
ஏபெல்	abel
பெல்ஜிய	belga
சமரசம்	avinença
பணியாளர்களின்	empleats
பணியாளர்களின்	personal
முந்திரி	anacard
உருவகம்	albirament
திறமைகள்	aptituds
திறமைகள்	habilitats
திறமைகள்	competències
திறமைகள்	talents
விஷம்	verí
வயநாடு	wayanad
அச்சே	aceh
பீங்கான்	porcellana
கரோலின்	caroline
விஸ்கி	whisky
பேனா	bolígraf
பேனா	ploma
பேனா	pen
பேனா	llapis
பேனா	opengl
திணிப்பு	bolcat
திணிப்பு	bolca
மசாலா	masala
மாஸ்	missa
மாஸ்	massa
பாமினி	bahmani
நட்டு	nut
ஊழி	època
சொகுசு	luxe
நம்பத்தகுந்த	fidelment
ஐஸ்வர்யா	aishwarya
குங்	kung
சேகரிக்க	recollir
ஆலம்	alam
சுவடுகள்	senders
உகாண்டா	uganda
கருக்கலைப்பு	avortament
உருப்படிகள்	elements
கர்ப்பப்பை	cervical
கரீம்	karim
கரீம்	kareem
காத்மாண்டு	kathmandu
இரவுகள்	nits
ஷர்மா	sharma
வைமாக்ஸ்	wimax
செவ்வாய்க்கிழமை	dimarts
புளி	tamarinde
சியாங்	chiang
சியாங்	xiang
சியாங்	siang
வரதட்சணை	dot
சர்வாதிகாரி	dictador
முகில்	núvol
கிட்மேன்	kidman
கிராமங்களை	viles
பூசி	warm
பூசி	càlid
சமிதி	samiti
கற்றை	ramals
கற்றை	vessants
முடுக்கம்	acceleració
இருக்கும்போதே	mentre
ஐபிஎல்	ipl
கடத்தப்பட்ட	segrestat
கடத்தப்பட்ட	segrestada
சோர்ஸ்	soares
இறுக்கமாக	ajustat
இசைக்கு	sintonia
இத்தாலியன்	italià
ஒயிட்	white
ஒயிட்	blanc
தொந்தரவு	molestar
தொந்தரவு	molesten
சான்டா	santa
கேளுங்கள்	escolta
கேளுங்கள்	escolteu
ஃபிராங்கண்ஸ்டைன்	frankenstein
கிடைமட்ட	horitzontal
கேன்ஸ்	canes
கேன்ஸ்	cannes
கிளாஸ்கோ	glasgow
மட்டு	modular
ஹாலந்து	holanda
ஹாலந்து	holland
வடிகால்	drenatge
ஆக்ஸிஜன்	oxigen
செருகி	connector
செருகி	complement
அடுப்பு	estufa
புல்வெளி	gespa
பழைமை	antiguitats
பழைமை	brocanters
அடிமைத்தனம்	esclavitud
அடிமைத்தனம்	addictiu
குரோ	kuro
குரோ	cro
குரோ	gro
தொடர்புடையவை	relacionat
தொடர்புடையவை	relacionada
தொடர்புடையவை	relacionats
லைலா	leila
ஷேக்ஸ்பியர்	shakespeare
மெர்ரில்	merrill
அன்ரன்	anton
வீர்	veer
ஜாஸ்	jazz
தர்பார்	darbar
அன்பும்	amor
கலவைகள்	compostos
வைரல்	viral
சகாப்தம்	era
அர்ஜூன்	arjun
தானியம்	gra
தானியம்	cereals
தானியம்	cereal
மூ	moo
ரூஸ்வெல்ட்	roosevelt
டொபாகோ	tobago
செப்பெலின்	zeppelin
சாத்தியங்கள்	possibilitats
ஆர்டர்	ordenat
ஆர்டர்	orde
ஆர்டர்	ordre
மதுவிலக்கு	prohibició
பயணிகளும்	viatgers
அரசியலிலும்	concentrant
படிவங்கள்	formularis
படிவங்கள்	formes
நிறைவடைந்தது	acabada
நிறைவடைந்தது	finalitzat
நிறைவடைந்தது	acabat
நெடுந்தீவு	delft
சமர்	samar
தீர்மானிக்கிறது	determina
திருடன்	lladre
கபில	castanya
ஜோவி	jovi
நாற்காலி	cadira
விற்பனையாளர்	venedor
ஓநாய்	llop
ஓநாய்	wolf
வர்ண	pigment
பாகு	baku
கோலார்	kolar
பீட	altiplà
கிராமத்து	poble
கிராமத்து	aldea
உத்திகளை	estratègies
பத்தொன்பது	dinou
பிரிமியர்	estrena
ஹாப்	hop
தேவதைகள்	fades
தேவதைகள்	àngels
தேவதைகள்	angels
கோர்ட்	cort
கோர்ட்	tribunal
அஸ்ஸாம்	assam
லூனா	luna
முன்மொழியப்பட்ட	proposat
