dhe	and
ekonomike	economic
tilla	such
saint	saint
asnjë	none
plotë	full
rajoni	region
rajoni	district
shqiptarëve	albanians
shkolla	schools
shkolla	school
afër	near
afër	close
then	fail
drejt	straight
drejt	towards
lindje	east
historia	story
historia	history
film	movie
film	film
figura	image
figura	figures
figura	figure
zoti	god
zoti	lord
kosova	kosovo
gjuha	tongue
gjuha	language
studimet	studies
familje	family
duket	seems
duket	looks
tha	said
fillon	begins
fillon	starts
fillon	starting
anë	side
gjerë	wide
greke	greek
qëllim	purpose
city	city
tempulli	temple
kane	kane
von	von
lufta	war
rast	case
vjen	comes
vjen	coming
grupi	band
grupi	group
pare	seen
itali	italy
arritur	achieved
arritur	reached
shumica	majority
rëndësishëm	instrumental
svg	svg
shkencore	scientific
autor	author
përpara	forward
përpara	before
punës	labor
tregon	indicates
tregon	shows
tonë	our
njerëz	people
jugore	southern
botuar	published
pesë	five
anëtar	member
lloji	kind
lloji	type
emër	noun
emër	name
ibn	ibn
grup	group
mali	mountain
mali	mount
mali	mali
zhvillimin	development
und	und
john	john
vendet	seats
vendet	places
vendet	countries
poshtë	down
poshtë	below
poshtë	bottom
fjala	word
qendrore	central
jep	gives
jep	grants
jep	provides
jep	give
wikipedia	wikipedia
bashkë	together
hershme	early
jugut	south
lindore	eastern
përfshinë	included
italia	italy
qarqet	circles
qarqet	circuits
qarqet	districts
punë	job
punë	work
hapur	open
hapur	unlocked
njihet	known
qendra	center
qendra	centre
libri	book
romake	roman
shquar	distinguished
caktuar	assigned
administrative	administrative
pati	patty
pati	patti
burimi	source
burimi	resource
sistemi	system
politik	political
fushë	field
shtëpia	home
shtëpia	house
kete	this
ora	time
ora	ora
ora	clock
gola	goals
serbe	serb
serbe	serbian
detit	sea
burim	source
njeri	human
njeri	man
not	swimming
faqet	pages
faqet	cheeks
ate	him
lirë	loose
lirë	cheap
lirë	free
bardhë	white
komuniste	communist
gjermane	german
ujë	water
zhvilluar	developed
rrethi	circle
koha	time
letrare	literary
tokë	earth
tokë	land
histori	story
histori	history
kreu	head
njeriu	man
gjendje	situation
gjendje	condition
amerikane	american
krye	top
tirana	tirana
veprat	deeds
vendos	set
vendos	decide
mbajtur	maintained
mbajtur	kept
com	com
madje	even
colspan	colspan
përfshin	includes
përfshin	involves
george	george
elektrike	electrical
elektrike	electric
luftë	war
arsye	reasons
arsye	reason
punuar	worked
punuar	working
perëndim	west
fëmijë	kids
fëmijë	child
fëmijë	children
malit	mountain
qarku	county
qarku	circuit
autori	author
shtrihet	stretches
shtrihet	extends
mira	mira
mira	meera
verore	summer
ushtarak	military
ushtarak	martial
san	san
përsëri	again
evropian	european
vendbanim	residence
familja	family
larg	far
larg	away
shkodër	shkodra
princi	prince
kaluar	past
pikë	points
pikë	point
qeveria	government
nobel	nobel
shkencave	sciences
rolin	role
jugosllave	yugoslav
mal	mountain
mal	mal
vetem	alone
vetem	only
vetem	just
drejtë	straight
drejtë	right
aktor	actor
italian	italian
skeda	tab
luajti	played
gjashtë	six
universiteti	university
gjetur	found
radio	radio
yes	yes
formuar	formed
formuar	shaped
mbretëresha	queen
italiane	italian
bazuar	based
përshkrimi	description
rrugë	street
rrugë	road
gjerman	german
lashtë	ancient
perandoria	empire
poezi	poem
poezi	poetry
evropiane	european
drejtim	direction
luan	luan
luan	lion
luan	plays
luan	playing
artistike	artistic
mundur	possible
mundur	defeated
atje	there
brendshme	interior
dita	dita
dita	day
shpejt	soon
shpejt	fast
shpejt	quickly
shpejt	quick
natyrore	natural
veriut	north
veriut	northern
ndryshe	different
ara	crops
ara	ara
ara	cornfields
perandori	empire
perandori	emperor
kush	who
fusha	fields
fusha	field
fusha	areas
anglisht	english
forma	shapes
forma	forms
forma	shape
forma	form
fillimisht	initially
fillimisht	originally
muaj	months
muaj	month
publike	public
shënuar	scored
shënuar	marked
shtet	country
shtet	state
demokratike	democratic
filmi	movie
filmi	film
veçanërisht	particularly
veçanërisht	especially
veçanërisht	specifically
moderne	modern
metra	meters
artit	art
artit	artwork
gjithmonë	always
tashmë	already
york	york
kryer	committed
gjermani	germany
sur	sur
erdhi	arrived
erdhi	came
dorë	hand
sukses	success
gjate	long
world	world
paris	paris
shtatë	seven
shtatë	seventh
këngë	songs
këngë	song
megjithëse	although
megjithëse	though
vazhdoi	continued
përmban	contains
përmban	contain
args	args
targa	plates
marrin	receive
menjëherë	immediately
gati	ready
robert	robert
club	club
libër	book
përfundoi	completed
përfundoi	ended
përfundoi	finished
mire	good
sistem	system
des	des
shekulli	century
periudhë	period
vazhdon	continues
shoqërore	humanities
shoqërore	social
artikuj	articles
sotme	today
shkrimtar	writer
ndërkohë	meanwhile
qartë	clear
qartë	clearly
huaj	stranger
huaj	foreign
francez	french
thjeshtë	simple
thjeshtë	simply
fshatrat	villages
vlera	values
vlera	value
sikur	like
themeluar	founded
themeluar	established
rol	role
ndërkombëtar	international
bashkimi	union
bashkimi	merger
bashkimi	unity
bashkimi	joining
lumi	river
lumi	lumi
maqedoni	macedonia
golin	goal
toka	earth
toka	land
raste	occasions
raste	cases
here	times
here	time
xxxx	xxxx
filluan	started
shkurtër	short
shkurtër	brief
yyyy	yyyy
roman	roman
roman	novel
william	william
uefa	uefa
vendosi	decided
drejtuar	headed
mbetur	remaining
rruga	street
rruga	road
ndoshta	perhaps
ndoshta	maybe
ndoshta	probably
kupa	chalice
kupa	cups
kupa	cup
ekonomik	economic
bukur	beautiful
bukur	pretty
bukur	nice
jean	jean
turke	turkish
ulët	low
periudha	period
periudha	periods
real	real
jetojnë	live
publik	public
pavarur	independent
pavarur	freelance
ushtria	military
ushtria	army
lind	born
lind	lind
fundi	end
ndarë	divided
klubi	club
fakt	fact
kuqe	red
pasha	pasha
puna	work
puna	puna
udhëheqëse	leading
vdekur	dead
university	university
www	www
gjeografike	geographic
gjeografike	geographical
madrid	madrid
njësi	units
njësi	unit
osman	osman
qytetet	towns
qytetet	cities
https	https
gazeta	newspaper
gazeta	newspapers
gazeta	paper
rritur	adult
format	shapes
format	format
zgjedhur	selected
anëtarët	members
banorët	inhabitants
banorët	residents
fuqi	power
duhej	needed
kalon	passes
punoi	worked
katolike	catholic
artikulli	article
shkollë	school
seri	series
përbashkët	shared
përbashkët	common
përbashkët	joint
akoma	still
akoma	yet
rezultat	result
fëmijët	kids
fëmijët	children
profesor	professor
ngjarje	event
ngjarje	events
cet	cet
mban	holds
mban	keeps
pika	dots
pika	drops
pika	point
vendasit	locals
vendasit	natives
posta	mail
fakultetin	faculty
kaloi	spent
kaloi	crossed
derisa	till
derisa	until
lehtë	easy
tej	tej
konsiderohet	considered
qysh	since
greqi	greece
jeton	living
jeton	live
jeton	lives
pjese	part
fillore	elementary
xhamia	lami
xhamia	mosque
nisur	initiated
nisur	launched
ilire	illyrian
arrin	arrives
arrin	reaches
hoxha	hoxha
rëndë	heavy
bin	bin
bin	bean
bin	bini
charles	charles
kurrë	never
vrarë	murdered
vrarë	killed
united	united
ismail	ismail
projekte	projects
vendeve	countries
league	league
sulltani	sultan
pothuajse	almost
fituesit	winners
barcelona	barcelona
gjallë	alive
pamje	view
class	class
sistemin	system
shkon	runs
shkon	going
shkon	goes
david	david
mundësi	possibility
mundësi	chance
mundësi	opportunity
lokale	local
ndryshëm	different
ndryshëm	various
gjon	john
pikërisht	precisely
pikërisht	exactly
mbetet	remains
mbetet	lag
tona	our
portal	portal
çmimi	price
çfarë	what
kthehet	returns
treguar	shown
treguar	narrated
page	salary
finlanda	finland
mbas	after
fizike	physical
mesatare	intermediate
mesatare	average
mesatare	medium
serb	serb
serb	serbian
përbërë	composite
përbërë	composed
përbërë	comprised
lloje	varieties
lloje	types
guvernator	governor
vështirë	hard
vështirë	tough
vështirë	difficult
shkallë	ladder
shkallë	ladders
uji	water
uji	fluid
ndeshjet	matches
ngjashme	similar
mbrojtur	protected
guri	stone
guri	guri
guri	rock
ekziston	exist
ekziston	exists
njerëzore	human
lidhja	connection
lidhja	link
prodhuar	produced
prodhuar	manufactured
premier	premier
thellë	deep
numrin	number
organizuar	organised
organizuar	organized
prof	prof
mësues	teacher
kushtet	terms
kushtet	conditions
kryeqyteti	capital
cest	cest
zyrtar	official
art	art
krishterë	liturgical
krishterë	christian
krishterë	christians
drejtor	director
drejtor	principal
internet	internet
shkup	skopje
nord	nord
shkruan	writes
shkruan	writing
paul	paul
djali	boy
maria	maria
one	one
mijë	thousand
paraqitur	presented
paraqitur	submitted
grupe	groups
burimet	sources
burimet	resources
personale	personal
ditët	days
lartësi	altitude
lartësi	elevation
lartësi	height
gjergj	giorgio
gjergj	gjergj
mehmet	mehmet
mehmet	mehmed
trupit	body
islam	islam
evropë	europe
ditën	day
frashëri	frashëri
franceze	french
sociale	social
biri	son
sezoni	season
ibrahim	ibrahim
diçka	something
james	james
kuq	red
keni	kenny
keni	have
drejtimin	directing
pasojë	consequence
politikan	politician
bie	falling
bie	fall
bie	falls
studime	studies
zonë	zone
zonë	area
kërkon	requires
don	don
hap	step
hap	open
nisi	started
nisi	launched
filma	films
filma	movies
trupat	nudes
trupat	troops
trupat	bodies
keq	bad
keq	sorry
ruajtur	stored
ruajtur	preserved
ruajtur	saved
trashëgimisë	heritage
ngushtë	narrow
ngushtë	bff
ngushtë	tight
rrjedh	stems
rrjedh	leaking
rrjedh	flows
video	video
famshëm	celebrity
famshëm	famous
ngritur	elevated
ngritur	erected
plotësisht	fully
plotësisht	completely
plotësisht	totally
utc	utc
skuadra	squad
skuadra	team
civile	civil
civile	civilian
forca	strength
forca	force
sovjetik	soviet
punon	works
punon	working
përdor	use
përdor	uses
pavarësisht	regardless
pavarësisht	despite
humbur	lost
arti	arti
arti	art
libra	books
kuvendit	assembly
bota	world
përdorim	use
burime	sources
burime	springs
burime	resources
çështje	issue
çështje	issues
zonat	zones
zonat	areas
private	private
shkroi	wrote
çka	what
këshilli	council
wiki	wiki
lëvizje	motion
lëvizje	movement
rock	rock
muzika	music
aktore	actress
malet	mountains
drita	light
drita	lights
flamuri	flag
kthyer	returned
gjermania	germany
nevojshme	needed
muzikore	musical
historik	historic
historik	historical
përdorimi	usage
përdorimi	use
letërsi	literature
artë	golden
lëvizja	motion
lëvizja	moving
lëvizja	movement
veprave	deeds
national	national
durrësit	durrës
sulltan	sultan
link	link
can	chan
ndihmuar	assisted
zbuluar	discovered
zbuluar	detected
kërkuar	requested
grek	greek
alias	alias
loire	loire
elizabeth	elizabeth
zhvillimi	development
finale	finale
finale	final
finale	finals
monument	monument
duka	duke
romë	rome
romë	roma
liga	league
liga	liga
lidhjet	relationships
lidhjet	alloys
lidhjet	links
lidhjet	connections
lidhjet	ties
ishujt	islands
round	round
kënga	song
vazhdim	continuation
vazhdim	sequel
serie	serie
materiale	material
materiale	materials
dhjetë	ten
skënderbeut	skanderbeg
berisha	berisha
mënyra	ways
anëtarë	members
dite	dite
dite	day
spanja	spain
futbollist	footballer
rritje	increase
rritje	growth
josé	josé
kufizohet	bordered
alpes	alpes
katërt	fourth
lojtari	player
kultura	culture
kultura	cultures
tjeter	next
nder	honour
nder	honor
titull	title
klasike	classic
hasan	hassan
hasan	hasan
dashur	dear
kuvendi	assembly
artikull	article
artikull	item
skënderbeu	skanderbeg
haute	haute
mendohet	presumed
ligji	law
tuaj	your
popullor	popular
mbeti	remained
nëna	mother
lart	high
lart	upstairs
qytete	cities
keto	these
hyri	entered
plot	full
pashë	saw
grupin	group
ndodh	happens
ndodh	happening
enver	enver
dihet	known
dihet	know
vdekje	death
shtete	states
shtete	countries
xix	xix
struktura	facilities
struktura	structures
struktura	structure
foto	photo
foto	picture
foto	photos
mark	mark
ngjyrë	color
ngjyrë	colour
ngjyrë	paint
ngjyrë	ink
shkencor	scientific
aktiv	active
jete	lifetime
jete	life
nivel	level
marrëdhëniet	relationships
marrëdhëniet	relationship
marrëdhëniet	relations
tetë	eight
png	png
ndihmë	help
qëndron	stands
qëndron	stays
krijoi	created
joseph	joseph
zgjedhjet	elections
zgjedhjet	election
diellit	sun
radhë	queue
mbretëria	kingdom
michael	michael
ruse	russian
ruse	ruse
aktori	actor
thjesht	simply
thjesht	just
vlerë	value
njëkohësisht	simultaneously
pjesët	parts
ndryshime	changes
euro	euros
euro	euro
ebu	ebu
ebu	abu
faqen	page
huaja	foreign
rrallë	rarely
rrallë	rare
artistik	artistic
territorin	territory
ndahet	shared
beratit	berat
will	will
orë	hours
orë	hour
minuta	minutes
anglez	english
cdo	every
qendror	central
vii	vii
britanike	british
martin	martin
tokat	lands
karl	karl
karl	carl
këmbë	foot
këmbë	legs
këmbë	leg
masë	measure
ati	father
ati	ati
nevojë	need
zhvillim	development
kombit	nation
emrat	names
prizren	prizren
solli	brought
etnike	ethnic
gjysmë	semi
gjysmë	half
fitues	winner
kanada	canada
modern	modern
shihet	seen
shihet	viewed
xvi	xvi
malore	mountain
malore	mountainous
rrit	increase
rrit	increases
tradicionale	traditional
regjisor	director
fifa	fifa
ndikim	impact
ndikim	influence
angli	england
van	van
rajon	region
socialiste	socialist
dërguar	shipped
dërguar	sent
durrës	durrës
ndjekur	followed
ndjekur	chased
probleme	problems
probleme	trouble
ekzistojnë	exist
vajza	daughter
vajza	girls
bej	bey
map	map
afërsi	vicinity
duart	hands
verës	summer
hapësirë	space
ndryshuar	changed
ndryshuar	modified
sasi	quantities
sasi	amount
qëllimi	goal
ortodokse	orthodox
shpall	proclaims
shpall	declares
shum	very
shum	shum
stamboll	istanbul
karakter	character
ngjyra	color
ngjyra	colours
ngjyra	colour
ngjyra	colors
përreth	around
ura	bridge
ura	ura
ura	bridges
mbrojtës	defender
mbrojtës	protector
asgjë	nothing
peshkopi	bishop
albania	albania
londër	london
ahmet	ahmet
ahmet	ahmad
pune	work
pune	working
stadium	stadium
jan	jan
banorëve	residents
ngjarjet	events
beteja	battle
beteja	battles
mustafa	mustafa
udhëheqës	leader
gjakut	blood
fillimi	beginning
bizantine	byzantine
haxhi	pilgrimage
haxhi	hajj
haxhi	hagi
fitore	win
albert	albert
shumicën	majority
html	html
bar	grass
bar	bar
fakulteti	faculty
kushtuar	dedicated
detyrë	duty
detyrë	assignment
detyrë	task
turk	turk
turk	turkish
cup	cup
ekipi	team
fetar	religious
detyruar	forced
black	black
rritet	grows
rritet	growing
rritet	grow
latine	latina
#ddd	#ddd
profesionale	professional
liqeni	lake
përmendet	mentioned
album	album
teatri	theater
teatri	theatre
albumi	album
lindor	eastern
ndonjëherë	sometimes
press	press
kategorinë	category
web	web
seksioni	section
live	live
version	version
turqi	turkey
milionë	million
arabe	arab
bashkia	municipality
lufte	war
komandant	commander
pushtimit	conquest
shkollat	schools
regjistruar	registered
regjistruar	recorded
procesi	process
den	den
trupi	body
international	international
bëhen	become
ofron	offers
bashkimin	unification
organizata	organization
organizata	organisation
organizata	organizations
person	person
objekte	items
objekte	objects
fuqishëm	powerful
aktive	active
bujqësore	agricultural
bujqësore	farming
pranuar	accepted
takon	meets
revista	magazine
revista	magazines
gruaja	woman
gruaja	wife
qafë	neck
shërbim	service
ministër	minister
man	mann
man	man
jashtëm	external
pyrénées	pyrénées
burg	jail
burg	prison
dinastia	dynasty
france	france
debutimin	debut
romak	roman
peter	peter
franca	france
kimike	chemical
ndërtimi	construction
arkitektura	architecture
degë	branches
degë	branch
khan	khan
ndodhi	happened
greqisht	greek
përtej	beyond
allahu	allah
allahu	god
serbisë	serbia
louis	louis
elemente	elements
ajrore	aerial
përkthyer	translated
këngët	songs
gurë	stones
gurë	stone
gurë	rocks
shoqata	association
përcaktuar	defined
përcaktuar	designated
king	king
program	application
program	program
humbje	loss
humbje	defeats
humbje	losses
humbje	defeat
valencia	valencia
lindja	east
lindja	birth
vdekja	death
fjalët	words
les	les
sjellë	brought
sjellë	bring
femra	females
femra	female
femra	women
mbyllur	locked
mbyllur	closed
first	first
marrëveshje	agreement
marrëveshje	deal
shfaq	display
shfaq	show
siguruar	insured
siguruar	secured
arkeologjike	archeological
arkeologjike	archaeological
mit	mit
mit	myth
pranoi	confessed
pranoi	acknowledged
pranoi	admitted
pranoi	accepted
rezultatet	results
krejt	all
antike	antique
antike	ancient
antike	antiques
zyrtarisht	officially
titulli	headline
titulli	title
rilindjes	renaissance
humbi	lost
santa	santa
tregime	stories
bashkëpunim	collaboration
bashkëpunim	cooperation
bashkëpunim	complicity
jugosllavisë	yugoslavia
shpella	cave
shpella	caves
elektronike	electronics
elektronike	electronic
maleve	mountains
shërben	serves
kilometra	kilometres
kilometra	kilometers
kulla	tower
shkëmb	rock
shkëmb	cliff
zot	god
zot	gosh
zot	lord
funksion	function
sipër	top
sipër	above
sipër	upstairs
financiare	financial
vlerat	values
zëri	sound
zëri	voice
zëri	audio
malin	mount
malin	malin
forcë	strength
forcë	force
përbëjnë	pose
xhami	masjid
xhami	glass
xhami	mosques
xhami	mosque
komunist	communist
perëndimor	western
tim	tim
magnetike	magnetic
proces	process
konsideruar	considered
xiv	xiv
ballkan	balkans
ballkan	balkan
zakonshme	usual
flet	talking
flet	speaks
festivali	festival
kombeve	nations
holandë	netherlands
holandë	holland
përmendur	mentioned
përmendur	cited
fotografi	photo
fotografi	photography
fotografi	photos
fotografi	pictures
prodhimi	output
prodhimi	production
vazhduar	continued
dashuri	love
temperatura	temperature
temperatura	temperatures
serbia	serbia
vazhdimisht	constantly
vazhdimisht	consistently
vazhdimisht	continuously
roma	rome
këngëtar	singer
kalaja	castle
kalaja	fortress
rilindja	renaissance
rilindja	rebirth
përpjekje	attempt
përpjekje	effort
banuar	inhabited
banuar	resided
detare	marine
detare	naval
detare	maritime
secili	each
kudo	everywhere
mbështetur	supported
gratë	women
kulturor	cultural
sistemet	systems
pierre	pierre
famshme	famous
shtuar	added
kompania	company
kategoria	category
herët	early
vendim	decision
social	social
saktë	accurate
saktë	correct
gol	gol
gol	goal
sjell	brings
britanik	british
përfunduar	completed
përfunduar	finished
ben	ben
instituti	institute
njëjtë	same
online	online
shërbeu	served
letër	paper
letër	letter
problemet	problems
formula	formula
formula	formulas
njësia	unit
njësia	utility
energji	energy
rregullt	orderly
rregullt	regular
diskutimet	discussions
diskutimet	discussion
druri	wooden
druri	wood
druri	tree
librat	books
spanjës	spain
kujdes	attention
kujdes	watch
mbuluar	covered
përfundimisht	eventually
përfundimisht	definitely
tema	topic
tema	theme
kufizuar	limited
kufizuar	restricted
pavarësinë	independence
utc+	utc+
red	red
tom	tom
theksuar	emphasised
rusia	russia
shkaktuar	caused
shkaktuar	triggered
shkaktuar	inflicted
zezë	black
ftohtë	cold
kokë	head
emra	names
udhëhequr	led
muret	walls
zhvillohet	evolves
zhvillohet	develop
zhvillohet	evolve
armë	weapons
armë	weapon
armë	gun
armë	guns
teknike	technical
formimin	forming
deti	sea
trupin	body
sud	sud
katalonia	catalonia
lojtar	player
seine	seine
shkuar	gone
problem	problem
lekë	leks
objekt	object
brendshëm	interior
metal	metal
nis	start
nis	launches
nis	nis
përfaqësues	representative
përfaqësues	representatives
armatosur	armed
martuar	married
prishtina	pristina
zënë	busy
kan	cannes
kan	kan
studimi	study
perandor	emperor
familjet	households
familjet	families
bregu	shore
bregu	coast
termi	term
maja	maya
maja	maja
maja	yeast
role	roles
programi	program
japoni	japan
britania	britannia
kah	towards
krijimi	creation
india	india
fiton	wins
kuvendin	convent
roli	role
prejardhje	backgrounds
element	item
google	google
rrethuar	surrounded
rrethuar	besieged
qindra	hundred
qindra	hundreds
dritë	light
nëntë	nine
nëntë	ninth
llojet	types
rexhep	recep
thomas	thomas
vendoset	located
vendoset	deployed
vendoset	deploy
letrar	literary
max	max
sportive	sports
egër	wild
egër	savage
egër	fierce
fushat	fields
mbrojtje	defence
mbrojtje	defense
mbrojtje	protection
faza	phase
faza	stages
faza	stage
gjithsej	total
manchester	manchester
has	faces
shprehje	expression
princ	prince
baza	bases
baza	base
ndonëse	although
ndonëse	though
normale	normal
shpirtërore	spiritual
shërbyer	served
park	park
shah	shah
shah	chess
valign	valign
festa	party
festa	holiday
gjuhët	languages
naim	naim
organizimin	organizing
politikë	policy
politikë	politics
mësimet	lessons
mësimet	teachings
mundi	beat
mundi	defeated
teoria	theory
psh	like
hershëm	early
autorit	copyright
mbaroi	finished
term	term
hyrje	entrance
hyrje	access
hyrje	entry
hyrje	login
sri	sri
detyra	duty
detyra	tasks
detyra	assignment
detyra	assignments
detyra	task
gjendja	status
shkenca	science
end	end
mod	mod
ballkanit	balkan
muhammad	muhammad
trup	body
lojë	game
barabartë	equal
poet	poet
finlandë	finland
kuptim	sense
bayern	bayern
ndryshon	changing
ndryshon	changes
krijon	creates
përballë	opposite
sali	sali
sëmundje	illness
sëmundje	diseases
sëmundje	sickness
sëmundje	disease
përdoruesit	users
dega	branch
projekti	project
imam	imam
dëshmi	evidence
dëshmi	testimony
dëshmi	proof
popull	people
popull	nation
kryen	committed
australia	australia
rhône	rhône
sheh	seer
sheh	see
javë	week
javë	weeks
alexander	alexander
prindërit	parents
ndryshimet	changes
mbretërore	regal
mbretërore	royal
org	org
henry	henry
donte	wanted
gjithçka	everything
mijëra	thousands
energjia	energy
simbol	symbol
atdheut	homeland
atdheut	fatherland
tempujt	temples
lejuar	allowed
lejuar	permitted
anët	edges
anët	sides
shtesë	extra
shtesë	supplement
shtesë	addendum
shtesë	additional
listë	list
origjinal	original
europian	european
kongresit	congress
abdullah	abdullah
lejon	allows
rënë	fallen
shënime	notes
shënime	clipboard
artist	artist
vazhdueshme	constant
vazhdueshme	continuous
shekuj	centuries
gjata	long
muzikë	music
lidhjen	connectivity
ide	ideas
ide	idea
liri	freedom
shkrimet	writings
shkrimet	logs
shkrimet	scriptures
vëllezërit	brothers
sekretar	secretary
final	final
shpellat	caves
përkatësisht	respectively
rrugët	roads
rrugët	streets
rrugët	routes
agim	dawn
agim	sunrise
varet	depends
est	est
windows	windows
date	date
tituj	titles
kongresi	congress
elbasan	elbasan
jugor	southern
xiii	xiii
amerika	america
vdes	die
vdes	dying
vdes	dies
manastirit	monastery
pjesërisht	partly
pjesërisht	partially
kishë	chapel
kishë	church
model	model
metoda	method
metoda	methods
kina	china
nxënës	students
nxënës	pupils
nxënës	pupil
nxënës	student
nxënës	apprentice
interes	interest
çështjet	issues
antonio	antonio
viii	viii
relativisht	comparatively
relativisht	relatively
trupave	troops
trupave	troop
ministria	ministry
hapi	step
shprehur	expressed
mbahet	maintained
ndahen	separated
ndahen	separate
ndërtesa	building
ndërtesa	buildings
italisht	italian
muzeu	museum
klima	climate
vlerësuar	appreciated
christian	christian
greqia	greece
baba	baba
baba	dad
baba	father
rumani	romania
mësuar	learned
porta	gate
porta	porta
ushtri	army
gazetar	journalist
gazetar	reporter
grupet	groups
detyrën	duty
krahasim	comparison
abu	abu
krahina	province
richard	richard
ndryshim	change
ndryshim	difference
vlen	worth
