tutvustati	introduced
järg	sequel
seen	fungus
thor	thor
agentuuri	agency
sang	sang
terav	sharp
foorum	forum
luuletus	poem
õpetab	teaches
väidetud	claimed
orto	ortho
traditsioonilised	traditional
sõnumid	messages
timothy	timothy
cat	cat
kajastab	reflects
gnu	gnu
faktid	facts
täpsed	accurate
pete	pete
diameeter	diameter
gloria	gloria
kursused	courses
suomen	suomen
constantin	constantin
horisontaalselt	horizontally
suurenemine	increase
triinu	ella
vassiljev	vasiliev
léon	léon
strauss	strauss
institutsioonid	institutions
romantiline	romantic
uhke	proud
kirjutades	typing
haruldased	rare
vista	vista
kohvi	coffee
marianne	marianne
tegija	maker
jeemeni	yemen
jeemeni	yemeni
omar	omar
pinnas	soil
kodakondsus	nationality
kodakondsus	citizenship
ajavahemik	period
giulio	giulio
standardid	standards
allveelaev	submarine
albumid	albums
pühendunud	devoted
pühendunud	dedicated
pühendunud	committed
tselluloosi	cellulose
liigitada	classify
tasapisi	slowly
romano	romano
resolutsioon	resolution
andrzej	andrzej
philadelphia	philadelphia
oulu	oulu
mürgine	toxic
mürgine	venomous
mürgine	poisonous
väärt	worth
tapmine	slaughter
tapmine	killing
esa	esa
read	rows
read	lines
michele	michele
korsika	corsican
korsika	corsica
kaksteist	twelve
histoloogia	histology
ekspert	expert
ökoloogiline	ecological
sool	salt
jung	jung
müük	sales
müük	sale
vähendamine	reduction
vähendamine	reducing
smithi	smith
smart	smart
loobunud	caving
viljakas	fertile
viljakas	prolific
viljakas	fruitful
hell	gentle
kokkupõrge	impact
kokkupõrge	collision
paber	paper
alasti	naked
alasti	nude
sammas	column
sammas	pillar
mitt	mitt
maatriks	matrix
neljandaks	fourth
parameeter	parameter
žanr	genre
stella	stella
oskuste	skill
edutult	unsuccessfully
otsustanud	decided
sinised	blue
schultz	schultz
lapselaps	granddaughter
lapselaps	grandchild
lapselaps	grandson
wales	wales
elbe	elbe
kogemata	accidentally
hani	goose
hani	hani
hani	han
rex	rex
territoriaalne	territorial
jeffersoni	jefferson
bengali	bengal
harrison	harrison
maia	maia
mehaanilise	mechanically
ümbritsev	surrounding
chicagos	chicago
turba	peat
hävitatud	destroyed
hävitatud	exterminated
karistuse	punishment
liigitus	classification
hävitamine	destroy
hävitamine	destruction
korrus	floor
beach	beach
õiglane	righteous
õiglane	fair
pööre	twist
pööre	turn
sõitja	passenger
sõitja	occupant
astrofüüsik	astrophysicist
kuru	pass
kliendi	customer
kliendi	client
katoliiklased	catholics
pidulik	festive
võrreldav	comparable
phillips	phillips
kaas	lid
lennata	fly
lõpetatud	complete
lõpetatud	completed
lõpetatud	finished
alumiiniumi	aluminium
yves	yves
ted	ted
kümmekond	dozen
abt	abbot
möödub	passes
tõlked	translations
camille	camille
claus	claus
meeldis	loved
meeldis	liked
liides	interface
toll	inch
toll	toll
toll	customs
tammeka	oak
kaaslased	companions
cook	cook
stressi	stress
varad	assets
amy	amy
kive	stones
kive	rocks
zürichi	zürich
brüssel	brussels
kaltsiumi	calcium
gonzález	gonzález
sigmund	sigmund
berni	berne
ahven	perch
suurendatud	increased
laienenud	dilated
laienenud	enlarged
töölised	workers
flash	flash
göteborgi	gothenburg
projektid	projects
june	june
parasvöötme	temperate
gérard	gérard
konsooli	console
siena	siena
verner	verner
verona	verona
singapuri	singapore
kalm	kalm
rühmitus	grouping
käsitöö	handicraft
käsitöö	craft
käsitöö	handmade
käsitöö	crafts
religioosne	religious
muljet	impress
vincenzo	vincenzo
ülekanne	transmission
ülekanne	transfer
ülekanne	broadcast
mõjud	effects
arvud	figures
määr	rate
opositsioon	opposition
irene	irene
leidmine	finding
üheksas	ninth
fourier	fourier
mošee	mosque
benito	benito
valentina	valentina
mõistab	understands
revolutsiooniline	revolutionary
astuuria	asturias
mitmekesine	diverse
joonia	ionian
tervishoid	health
käimine	dating
bauer	bauer
pidulikult	solemnly
näita	show
budism	buddhism
koguma	collect
laenatud	borrowed
tunnistama	acknowledge
ruumiline	spatial
magma	magma
raudteede	railways
sektor	sector
enterprise	enterprise
keskmised	medium
keskmised	averages
joone	line
sõnum	message
tiigid	ponds
beethoven	beethoven
arenema	evolve
teadis	knew
tipu	vertex
città	città
augusta	augusta
bio	bio
biokeemia	biochemistry
nielsen	nielsen
fra	fra
jános	jános
hobused	horses
rongi	train
rikkus	riches
rikkus	wealth
rikkus	ruined
etendus	show
marshalli	marshall
kvalifikatsioon	qualifications
kvalifikatsioon	qualification
koondatud	aggregated
intensiivsus	intensity
marss	mars
springer	springer
teave	information
signaale	signals
ridades	ranks
kõrgele	high
dakota	dakota
rey	rey
dresdeni	dresden
katastroofi	disaster
muusikal	musical
nigeri	niger
satelliit	satellite
rick	rick
poom	boom
astronaut	astronaut
unenägu	dream
suundumused	trends
herakles	hercules
herakles	hercule
aspekte	aspects
vastastikku	mutually
vastastikku	reciprocally
lootes	hoping
mässulised	insurgents
andersen	andersen
firmad	corporations
firmad	firms
firmad	companies
võti	key
kliiniline	clinical
väljatöötamine	elaboration
väljatöötamine	developing
välised	external
välised	exterior
võõras	stranger
tuttav	familiar
tuttav	acquaintance
madalamad	lower
baltimore	baltimore
päevik	journal
päevik	diary
platvorm	platform
paradigma	paradigm
nähtavad	visible
emilia	emilia
metallica	metallica
pidu	party
meeleolu	mood
sata	sata
sidus	coherent
alternatiiv	alternative
alternatiiv	alternate
hiv	hiv
tarn	tarn
disainitud	designed
geneetika	genetics
gov	gov
adolph	adolph
täitnud	fulfilled
ingel	angel
kohane	appropriate
enrico	enrico
cfg	cfg
vangistatud	imprisoned
vangistatud	captured
vaatas	watched
rev	rev
akna	window
maximus	maximus
meelega	deliberately
samsung	samsung
clemente	clemente
variandid	variants
hüüdnime	nickname
pühak	saint
craig	craig
honda	honda
florence	florence
reporter	reporter
geoloogiline	geologic
geoloogiline	geological
hampshire	hampshire
jutud	stories
atmosfäär	atmosphere
lahinguid	battles
sissetulek	income
ületanud	exceeded
lame	flat
elena	elena
loata	unauthorized
brand	brand
augustin	augustin
võrgus	online
hunter	hunter
nõutud	requested
nõutud	required
moodul	module
han	han
chapelle	chapelle
täide	lice
mungad	monks
sauna	sauna
ameeriklane	american
hinnad	prices
diktaator	dictator
meta	meta
lane	lane
armastatud	beloved
eesistuja	chairperson
eesistuja	chairman
ragnar	ragnar
canterbury	canterbury
kulu	cost
kulu	expense
ettepanekuid	proposals
tagajärg	consequence
julge	bold
julge	courageous
julge	dare
julge	daring
tasane	flat
mune	eggs
mõjuvõimu	empowerment
konkreetsete	specific
olli	olli
voyager	voyager
jõulud	christmas
plus	plus
nõbu	cousin
nõbu	cuz
klaviatuuri	keyboard
ökosüsteemi	ecosystem
aurora	aurora
kirgiisi	kyrgyz
stanislav	stanislav
spencer	spencer
kõneleja	speaker
kõneleja	talker
terminoloogia	terminology
hirv	deer
jefferson	jefferson
tunnel	tunnel
mahajäetud	abandoned
kiired	rays
bagdadi	baghdad
leib	bread
lendavad	flying
isabel	isabel
edvard	edvard
secret	secret
laagris	camp
snake	snake
avaldus	statement
kontor	office
oskus	mastery
oskus	skill
emily	emily
aldo	aldo
väljendus	expression
kattis	covered
kahur	cannon
esitus	presentation
esitus	performances
paas	fasting
tervist	health
toodang	production
dante	dante
bordeaux	bordeaux
nuku	doll
stsenaarium	scenario
õigustada	justify
kaar	arc
kaar	arch
skp	gdp
autod	cars
oranž	orange
ideaalne	perfect
ideaalne	ideal
leedulased	lithuanians
ani	ani
serv	edge
muster	pattern
castle	castle
identiteet	identity
zhang	zhang
geoffrey	geoffrey
zhou	zhou
rõivas	garment
par	par
ainulaadne	unique
algataja	originator
algataja	initiator
algataja	instigator
sissetung	invasion
sissetung	intrusion
vastuluure	counterintelligence
avastamise	detection
altari	altar
magneesiumi	magnesium
mona	mona
grey	grey
teresa	teresa
luca	luca
oskused	skills
oskused	skill
solomon	solomon
intervall	interval
oklahoma	oklahoma
leopard	leopard
osaka	osaka
rikkumise	infringement
vastused	responses
vastused	answers
vastused	replies
tundeid	feelings
hannah	hannah
trotski	trotsky
esitamine	submission
põhjavee	groundwater
järjekord	queue
järjekord	order
geneetik	geneticist
motoriseeritud	motorized
franklini	franklin
karistus	penalty
karistus	punishment
montgomery	montgomery
eripära	specificities
ilmnes	manifested
kuulnud	heard
aspekt	facet
aspekt	aspect
benedict	benedict
filter	filter
lindi	tape
terje	terje
milton	milton
vinci	vinci
pol	pol
pan	pan
reguleeritud	regulated
lendu	flight
augsburgi	augsburg
stephan	stephan
abstraktne	abstract
plaanitud	planned
valle	valle
puudused	deficiencies
puudused	shortcomings
puudused	weaknesses
todd	todd
olympic	olympic
wilde	wilde
leiba	bread
kontserdid	concerts
newcastle	newcastle
õpetlane	scholar
volinik	commissioner
pioneer	pioneer
ravenna	ravenna
tapab	kills
arendus	development
raskused	difficulty
raskused	difficulties
raskused	quagmire
sotsialismi	socialism
grupid	groups
nael	nail
nürnbergi	nuremberg
veerand	quarter
püssi	rifle
irl	irl
konstrueeritud	constructed
anglikaani	anglican
mix	mix
vari	shadow
grete	grete
derek	derek
vesinik	hydrogen
usd	usd
reed	reed
motiiv	motive
motiiv	motif
motiiv	feature
usbeki	uzbek
björn	bjorn
björn	björn
veebisait	website
adobe	adobe
positiivselt	positively
oswald	oswald
galileo	galileo
värskelt	freshly
liigne	excessive
kuuli	bullet
evelyn	evelyn
serblased	serbs
rabas	moor
nahka	skin
hõim	tribe
haydn	haydn
tiiger	tiger
tiiger	tigger
rostovi	rostov
sood	swamps
sood	marshes
bahreini	bahrain
vega	vega
küljed	sides
winkler	winkler
nõude	claim
võimed	abilities
võimed	powers
vastukaaluks	counterbalance
küllastunud	saturated
ever	ever
raoul	raoul
kile	film
mägismaa	highlands
cohen	cohen
oodatud	expected
kartis	feared
marilyn	marilyn
osake	particle
sara	sara
zeus	zeus
energeetika	energy
act	act
anto	anto
häda	woe
häda	calamity
parandab	improves
parandab	corrects
chang	chang
horst	horst
walt	walt
harmoonia	harmony
harmoonia	harmonics
suhtumist	attitudes
mahler	mahler
muld	soil
muld	dirt
muld	soils
pinged	tension
pinged	tensions
võidelnud	struggled
kontroller	controller
bock	bock
arve	bill
arve	invoice
tõstetud	raised
austin	austin
klassid	classes
laser	laser
varese	varese
jessica	jessica
romaane	novels
hardcore	hardcore
informaatika	informatics
informaatika	computing
laienemine	enlargement
laienemine	expansion
marguerite	marguerite
delegatsioon	delegation
col	col
molotovi	molotov
õiglus	justice
õiglus	fairness
deutschland	deutschland
kolooniad	colonies
ülalt	top
formaat	format
freudi	freudian
iru	iru
berger	berger
hannover	hannover
vöönd	zone
pühitsetud	consecrated
hetk	moment
telefon	phone
telefon	telephone
carol	carol
arktika	arctic
locke	locke
spektri	spectrum
soomlased	finns
mag	mag
minevik	past
luksemburg	luxembourg
gerard	gerard
teadvus	consciousness
lasku	descend
aadel	nobility
faktor	factor
tähtkuju	constellation
tegur	factor
lepingud	contracts
lepingud	treaties
lepingud	agreements
curie	curie
veterinaaria	veterinary
räägi	tell
räägi	talk
räägi	speak
valima	choose
valima	select
oksad	branches
portreed	portraits
lahkumine	departure
lahkumine	leaving
eelistatud	preferred
demo	demo
efektiivsus	efficiency
efektiivsus	effectiveness
efektiivsus	efficacy
ülesehitus	reconstruction
ülesehitus	structure
norbert	norbert
esperanto	esperanto
roth	roth
resolutsiooni	resolution
tuuri	tours
reformid	reforms
laskemoona	ammunition
laskemoona	munitions
väljund	output
clara	clara
ligipääs	access
psühholoogiline	psychological
ekvatoriaal	equatorial
tsivilisatsiooni	civilization
tsivilisatsiooni	civilisation
saun	sauna
presidendid	presidents
komponendi	component
domineerib	dominates
kirjutised	writings
asendus	replacement
asendus	substitute
asendus	replace
davidson	davidson
maksud	levies
maksud	taxes
elmo	elmo
päikest	sun
päikest	sunshine
võidetud	won
võidetud	defeated
mõjukas	influential
laua	table
illustraator	illustrator
harta	charter
ursula	ursula
nõudmised	requests
nõudmised	demands
kriteeriumid	criteria
allkiri	signature
maas	down
ten	ten
otsustav	decisive
mainis	mentioned
meteoroloogia	meteorology
stepan	stepan
demokraadid	democrats
näljahäda	famine
motiivid	motifs
motiivid	motives
vastuvõetud	accepted
vastuvõetud	adopted
xxiii	xxiii
teodor	teodor
baleriin	ballerina
ipod	ipod
krooniline	chronic
edwards	edwards
kraater	crater
leibkonna	household
kauge	distant
istus	sat
tapmist	slaughter
claudio	claudio
coli	coli
ajakirjad	journals
ajakirjad	magazines
turner	turner
nähtamatu	invisible
haamer	hammer
jätkati	continued
luxembourg	luxembourg
piip	beep
piip	pipe
clément	clément
vastuolud	inconsistencies
tõstmine	lifting
connor	connor
kilogrammi	kilograms
kilogrammi	kilogram
baer	baer
sas	sas
raamatukogude	libraries
masti	mast
kümnes	tenth
jahu	flour
jahu	meal
täiustatud	improved
täiustatud	advanced
blu	blu
zeusi	zeus
ajad	times
marine	marine
volõõnia	volyn
agentuur	agency
kõrgustik	upland
entomoloog	entomologist
kuulis	heard
rocca	rocca
mesopotaamia	mesopotamia
tuuleveski	windmill
karabahhi	karabakh
prima	prima
peegeldab	reflects
natura	natura
blackberry	blackberry
uskumused	beliefs
nõid	sorceress
nõid	witch
maandus	landed
sõltuvust	dependency
sõltuvust	dependence
steel	steel
isabella	isabella
mozilla	mozilla
teatab	announces
teatab	declares
olivier	olivier
eurooplaste	europeans
alexis	alexis
kohtunud	met
legaat	legatus
mürk	venom
mürk	poison
emilie	emilie
igavesti	forever
heidi	heidi
unustatud	forgotten
reform	reform
tseremoonia	ceremony
tõlk	translator
tõlk	interpreter
registrisse	register
iowa	iowa
kasvajate	tumours
antonius	antony
jesse	jesse
kesklinn	downtown
walther	walther
murdis	broke
muudatus	amendment
muudatus	change
nõrgad	weak
einstein	einstein
ice	ice
kann	jug
santi	santi
juur	root
tundlik	sensitive
diplomaatia	diplomacy
elupaikade	habitats
elupaikade	habitat
väärib	deserves
väärib	deserving
tõhus	efficient
tõhus	effective
kalduvus	propensity
kalduvus	tendency
hingamisteede	respiratory
täiendav	additional
täiendav	complementary
täiendav	supplementary
värvitud	painted
värvitud	dyed
ertshertsog	archduke
janne	janne
tööriist	tool
rikutud	corrupted
rikutud	ruined
rikutud	spoiled
rikutud	violated
kohustuse	commitment
protesti	protest
hüppas	jumped
tonga	tonga
edit	edit
gaboni	gabon
gaboni	gabonese
reageerivad	reacting
reageerivad	react
vaenlased	enemies
khan	khan
terra	terra
doc	doc
eeldus	presumption
eeldus	premise
mitmekordne	multiple
haute	haute
kandidaadid	candidates
dom	dom
girls	girls
césar	cesar
césar	césar
teras	steel
benedetto	benedetto
nool	arrow
veronika	veronika
tasand	level
eeskiri	regulation
eeskiri	rule
allveelaeva	submarine
detailid	details
unikaalne	unique
švaabimaa	swabia
arkadi	arkady
kasvatatud	grown
kasvatatud	raised
kasvatatud	bred
bluetooth	bluetooth
järsk	steep
pomm	bomb
automaatne	auto
automaatne	automatic
vaene	poor
pseudonüüm	pseudonym
loomaarst	vet
loomaarst	veterinarian
pidamine	keeping
parandamine	improving
parandamine	repair
parandamine	correction
parandamine	rectification
parandamine	improvement
eile	yesterday
popper	popper
hella	hella
volta	volta
polüneesia	polynesian
polüneesia	polynesia
tagumine	rear
rikkumine	infringement
rikkumine	violation
enrique	enrique
tamara	tamara
rob	rob
tln	tln
basel	basel
lamp	lamp
seisu	standings
võistleja	contestant
võistleja	contender
betty	betty
kullast	gold
ellis	ellis
institutsioon	institution
lint	tape
sissepääs	entrance
sõrmuse	ring
kaubamärk	trademark
pilvede	clouds
hurda	greyhound
vilistlased	alumni
philips	philips
preestrid	priests
jälgimine	tracing
jälgimine	tracking
jälgimine	monitoring
väärtuslik	valuable
teaduslikud	scientific
aruba	aruba
argumendi	argument
konkurents	competition
kurjategija	felon
kurjategija	criminal
kurjategija	offender
teemant	diamond
laava	lava
kaitsjad	defenders
kaitsjad	protectors
kaitsjad	guardians
argumendid	arguments
asjaolud	circumstance
asjaolud	circumstances
regioonide	cor
nordisk	nordisk
türklased	turks
vask	copper
theodore	theodore
alpes	alpes
unistus	dream
järeldus	conclusion
kvartalis	quarterly
konsultant	consultant
konstruktsioon	construction
ilona	ilona
vaikselt	quietly
vaikselt	silently
tõrjuda	repel
kattub	overlaps
kattub	overlapping
soovitab	recommends
soovitab	suggests
platoo	plateau
córdoba	córdoba
malmö	malmö
chuck	chuck
lambert	lambert
silvio	silvio
dialoogi	dialogue
dialoogi	dialog
fine	fine
süüdistuse	prosecution
vaz	vaz
kristian	kristian
ramón	ramón
seinad	walls
uss	worm
ümmargune	round
next	next
ravida	heal
katki	broken
taktika	tactics
taktika	tactic
takistuse	obstacle
skandaali	scandal
amadeus	amadeus
teenus	service
vedel	liquid
partner	partner
partner	associate
alalise	permanent
namiibia	namibia
lõhn	odour
lõhn	smell
lõhn	scent
zeit	zeit
seadusandlik	legislative
seadusandlik	legislature
pruunid	brown
pruunid	browns
etnoloog	ethnologist
allutatud	subordinate
allutatud	subordinated
cia	cia
cia	cla
saarlased	islanders
algebra	calculus
algebra	algebra
vastastikune	mutual
vastastikune	reciprocal
armand	armand
bakuu	baku
läbiviidud	performed
tag	tag
ostsid	bought
vabanenud	released
nupp	button
annie	annie
kotzebue	kotzebue
reich	reich
sisend	input
tadžikistani	tajikistan
hillary	hillary
harvard	harvard
jyväskylä	jyväskylä
dong	dong
luige	swan
neljakordne	quadruple
areneda	evolve
istanbuli	istanbul
kalevala	kalevala
kübar	hat
peatub	stops
lao	lao
plaane	plans
libeeria	liberia
libeeria	liberian
lõigu	segment
monarh	monarch
palka	hire
luna	luna
ehitaja	builder
heidelbergi	heidelberg
hollywoodi	hollywood
lilla	purple
publik	audience
publik	crowd
kaovad	disappear
laupäeval	saturday
veeteede	waterways
lahendamine	resolving
lahendamine	resolution
fin	fin
ehitab	builds
kaevatud	dug
acer	acer
lööb	hits
lööb	beats
vastavusse	align
rubens	rubens
tugevdada	strengthen
tugevdada	reinforce
algoritm	algorithm
populatsioon	population
alias	alias
identne	identical
hero	crank
hero	hero
tõuke	impetus
grupis	group
indutseeritud	induced
baikali	baikal
kepler	kepler
mõrv	homicide
mõrv	murder
ahvenamaa	åland
filtri	filter
esivanemad	ancestors
armas	lovely
veenis	persuaded
pass	passport
õuna	apple
château	château
jenny	jenny
umberto	umberto
henryk	henryk
kentucky	kentucky
pilved	clouds
pilved	cloud
mer	mer
lipnik	ensign
padova	padua
franki	frank
tähendusi	meanings
osaleja	participant
õlu	beer
paratamatu	inevitable
reklaam	publicity
reklaam	commercial
reklaam	advertising
selma	selma
adelaide	adelaide
romana	romana
kogemused	experiences
kogemused	experience
tagurpidi	reverse
ümar	rounded
ümar	round
genfis	geneva
kuulas	listened
vaatluse	observation
aspekti	aspect
sünagoog	synagogue
paigal	freeze
kolmnurk	triangle
lõksu	trap
regulaarne	regular
sümmeetria	symmetry
paleontoloog	paleontologist
teadust	science
stig	stig
edith	edith
aspektid	aspects
hahn	hahn
organisatsioone	organizations
organisatsioone	organisations
positiivsed	positive
dostojevski	dostoyevsky
tsitaat	quote
tsitaat	quotation
liepāja	liepāja
valdkonnad	areas
pearl	pearl
viasat	viasat
joonas	jonah
silmapaistev	outstanding
liitumine	merger
liitumine	joining
ohutu	harmless
ohutu	safe
iraak	iraq
györgy	györgy
bissau	bissau
janet	janet
viktoria	viktoria
legendaarne	legendary
rudolph	rudolph
petra	petra
motors	motors
brad	brad
kubrick	kubrick
ühendused	connections
ühendused	associations
ühendused	interconnections
kaksikud	gemini
kaksikud	twins
mängitud	played
seisnes	consisted
monroe	monroe
tuuled	winds
tingimusteta	unconditionally
tingimusteta	unconditional
kitsad	narrow
eeliseid	advantages
selgitab	explains
häiritud	disturbed
nathan	nathan
liiklus	traffic
nicola	nicola
hoidja	keeper
müüt	myth
leben	leben
rääkinud	spoken
mosambiigi	mozambique
mõõdukas	moderate
renate	renate
sforza	sforza
konteksti	context
kihid	layers
pühakute	saints
kama	kama
toledo	toledo
plii	lead
tais	thailand
liivakivi	sandstone
väljakujunenud	settled
laused	phrases
laused	sentences
sarnasus	resemblance
sarnasus	similarity
scsi	scsi
palavik	fever
sanders	sanders
vallandati	fired
hääldatakse	pronounced
patareid	batteries
ohver	victim
tycho	tycho
kiirabi	ambulance
raúl	raúl
hääletus	vote
hääletus	voting
marcello	marcello
vastupidav	durable
tähevärav	stargate
pereira	pereira
säde	spark
toni	toni
varade	assets
reuters	reuters
aianduse	horticulture
tantsud	dances
cannes	cannes
dieter	dieter
larissa	larissa
pane	put
isiksus	personality
olendid	beings
olendid	creatures
kanalid	channels
kanalid	canals
kanalid	channel
põletatud	burned
põletatud	scorched
põletatud	burnt
sain	got
smirnov	smirnov
kontaktid	contacts
korteris	apartment
suremus	mortality
juhend	guide
juhend	instructions
moe	moe
usbekistani	uzbekistan
osce	osce
pankur	banker
claire	claire
stefano	stefano
kana	chicken
kana	hen
täitmine	filling
täitmine	execution
koopad	caves
nebraska	nebraska
keeld	ban
keeld	prohibition
täiendavad	additional
hart	hart
komplekt	set
komplekt	kit
alfons	alfons
qui	qui
kolju	skull
pms	pms
kadusid	disappeared
abdul	abdul
winston	winston
alabama	alabama
arendaja	developer
otsad	ends
löök	blow
löök	percussion
löök	strike
löök	kick
tundsid	felt
fbi	fbi
pzkpfw	panzer
bismarck	bismarck
uks	door
teadlikult	consciously
teadlikult	knowingly
wells	wells
athena	athena
leiutatud	invented
susi	susi
kõrva	ear
pippin	pippin
liikumised	movements
soovitav	desirable
vietnam	vietnam
veronica	veronica
rahaühik	currency
greg	greg
auru	steam
auru	vapour
alto	alto
houston	houston
kukub	falls
pannoonia	pannonian
ibrahim	ibrahim
küpros	cyprus
galaktikate	galaxies
pealkirjad	headlines
pealkirjad	titles
illüüria	illyrian
kõrvad	ears
atlantis	atlantis
louisiana	louisiana
fauna	fauna
göteborgis	göteborg
laos	laos
vabrik	factory
kloostrid	monasteries
mathias	mathias
sõiduki	vehicle
mehhanismid	mechanisms
kehti	apply
paaris	paired
paaris	pairs
ash	ash
mauritiuse	mauritius
raport	report
süüdistatud	accused
pavia	pavia
vie	vie
nõudlus	demand
erapooletu	abstention
erapooletu	impartial
erapooletu	unbiased
erapooletu	neutral
gotha	gotha
duke	duke
juut	jewish
juut	jew
lahendused	solutions
laulda	sing
planeerimine	planning
võrreldakse	compares
cesare	cesare
ameeriklased	americans
tehnoloogiad	technologies
kohtuda	meet
diktatuuri	dictatorship
mercia	mercia
okt	oct
louvre	louvre
kuude	months
ministrid	ministers
kümned	tens
kümned	dozens
racing	racing
solanum	solanum
kent	kent
tudengid	students
quintus	quintus
karvane	hairy
karvane	furry
ülevõtmine	transposition
ülevõtmine	takeover
piirkondlikud	regional
kristo	kristo
windsor	windsor
kasvatus	upbringing
kasvatus	parenting
ari	ari
hondurase	honduras
sõnastik	glossary
sõnastik	dictionary
teravilja	cereal
hädavajalik	indispensable
hädavajalik	essential
kristin	kristin
martino	martino
keerukas	complex
põrgu	hell
