भ्रमित	বিভ্রান্ত
तूफ़ान	ঝড়ের
तूफ़ान	ঝড়
कड़ा	শক্ত
कड़ा	টাইট
कड़ा	কঠিন
दुबे	ডুবি
बदली	মেঘাচ্ছন্ন
बदली	মেঘলা
पड़ाव	মাইলস্টোন
पड़ाव	মাইলফলক
एंजाइम	এনজাইম
मूसा	মূসা
मूसा	মোসেস
मूसा	মুসা
पिंक	গোলাপি
पिंक	গোলাপী
पिंक	পিঙ্ক
सत्येन्द्र	সতীন্দ্র
कॉमर्स	বাণিজ্য
कॉमर्स	বানিজ্য
कॉमर्स	কমার্স
राजन	রাজন
जीप	জীপ
चलाना	exec
चलाना	সঞ্চালনের
दादी	দাদি
दादी	ঠাকুমা
दादी	ঠাকুরমা
कमिश्नर	কমিশনার
पहाड़ियाँ	পাহাড়
पहाड़ियाँ	হিলস
मैथ्यू	ম্যাথু
मैथ्यू	ম্যাথিউ
षड्यंत्र	ষড়যন্ত্র
अंडमान	আন্দামান
दूषित	ক্ষতিগ্রস্ত
दूषित	বিকৃত
पश्च	রিয়ার
रीडर	পাঠক
रीडर	রিডার
मिर्ज़ा	মির্জা
मिर्ज़ा	মির্জাপুর
क्रांतिकारियों	বিপ্লবীদের
प्रशिक्षक	প্রশিক্ষক
प्रशिक्षक	প্রশিক্ষক
उषा	ঊষা
नास्तिक	নাস্তিকতা
नास्तिक	নাস্তিক
नास्तिक	নাস্তিকতার
प्रचारित	উন্নীত
प्रवर्धक	বিবর্ধক
फसलें	শ্যামলা
फसलें	ফসল
फसलें	ফসলের
डायोड	ডায়োড
अमूर्त	বিমূর্ত
सौभाग्य	সৌভাগ্যবশত
सौभाग्य	ফরচুন
ब्रायंट	ব্রায়ান্ট
गैरी	গ্যারি
कुश	কুশ
साइमन	সাইমন
सामंत	সামন্ত
हिब्रू	হিব্রু
बर्ड	পাখি
आत्मसमर्पण	আত্মসমর্পণ
एथलेटिक्स	দৌড়বাজী
तैराकी	সাঁতার
हक	হাক
हक	হক
संस्थागत	প্রাতিষ্ঠানিক
चिट्ठा	ব্লগ
ठंड	ঠান্ডা
ठंड	ঠাণ্ডা
ठंड	কোল্ড
चूहे	ইঁদুর
चूहे	ইঁদুর
लीड	লিড
लीड	নেতৃত্ব
लीड	লিড
लीड	সীসা
दरार	রিফট
दरार	ফাটল
दरार	ক্র্যাক
दरार	ফাটা
दार्शनिकों	দার্শনিক
नेहरु	নেহেরু
पंकज	পঙ্কজ
संवेदना	সমবেদনা
सॉफ़्टवेयर	সফটওয়্যার
सॉफ़्टवेयर	সফ্টওয়্যার
परवाह	পরিচর্যা
परवाह	যত্ন
बहुविकल्पी	নিরসন
महेन्द्र	মহেন্দ্র
बमबारी	গোলাবর্ষণ
बमबारी	বোম
बमबारी	বোমা
कठपुतली	পুতুল
अधीनस्थ	অধস্তন
ग्रीनहाउस	গ্রীনহাউস
कैम्प	ক্যাম্প
कैम्प	শিবির
विषाक्तता	বিষক্রিয়া
चिंतित	উদ্বিগ্ন
चिंतित	উদ্বিগ্ন
चिंतित	চিন্তিত
चिंतित	চিন্তিত
जॉर्डन	জর্দান
जॉर्डन	জর্ডান
एथलीट	ক্রীড়াবিদ
एथलीट	ক্রীড়াবিদ
बीजापुर	বিজাপুর
विधिक	লিগাল
विधिक	আইনি
विधिक	আইনী
असुरक्षित	অনিরাপদ
असुरक्षित	অসুরক্ষিত
असुरक्षित	অনিরাপদ
असुरक्षित	অসুরক্ষিত
वृन्दावन	বৃন্দাবন
रेखीय	সাইডবার
रेखीय	রৈখিক
शहद	মধুময়
शहद	মধু
शहद	হানি
अम्लीय	আম্লিক
ऑपरेटर	অপারেটর
ऑपरेटर	অপারেটর
नल	null
प्रेसीडेंसी	প্রেসিডেন্সি
कुक	কুক
मनी	অর্থ
मनी	টাকার
मनी	টাকা
मनी	মনি
नारा	স্লোগান
नारा	শ্লোগান
चढ़	মরিচা
चढ़	মরচে
सेक्टर	সেক্টরে
सेक्टर	সেক্টর
सेक्टर	সেক্টর
महासागरीय	ওশেনিয়া
क्रियाशील	সক্রিয়
बैठकों	সভা
भट्ठी	ফার্নেস
कारें	গাড়ি
क्योकि	কেননা
क्योकि	কারন
क्योकि	কারণ
सभ्य	ভদ্র
विकलांगता	অক্ষমতার
अनजाने	অজ্ঞাতসারে
नोट्स	টীকা
नोट्स	নোট
सहारनपुर	সাহারানপুর
कहें	বলবো
कहें	বলে
कहें	বলো
कहें	বলতে
कहें	বল
कहें	বলুন
सुधीर	সুধীর
एव	ave
सामी	সামী
सामी	সামি
धर्मशास्त्र	ধর্মতত্ত্ব
सीखा	শিখেছেন
सीखा	শিখেছি
आर्क	আর্ক
ट्रम्प	ট্রাম্পকে
ट्रम्प	ট্রাম
ट्रम्प	ভেরী
ट्रम्प	ট্রাম্প
यीशु	জেসাস
यीशु	যিশু
यीशु	যীশু
यीशु	ঈসা
चश्मे	চশমা
चश्मे	চশমার
एक्यूपंक्चर	আকুপাংচার
प्लूटो	প্লুটো
डेनियल	ড্যানিয়েল
डेनियल	ডেনিয়েল
पैरिस	প্যারিস
कामयाबी	সফল
कामयाबी	সাফল্য
कामयाबी	সফলতা
प्रोटोटाइप	প্রোটোটাইপ
सिलसिले	সাইলাস
फर्क	পার্থক্য
इयान	ইয়ান
दुग्ध	দুগ্ধ
भयभीत	ভীত
भयभीत	শঙ্কিত
भयभीत	ভয়
भयभीत	ভীত
भयभीत	শঙ্কিত
भयभीत	ভয়
वसूली	সেরে
वसूली	পুনরুদ্ধার
मौन	নিশ্চুপ
मौन	নীরব
मौन	নিঃশব্দ
मौन	নীরবতা
मौन	নিস্তব্ধতা
मौन	নিঃশব্দ
डिप्लोमा	ডিপ্লোমা
घटा	হ্রাস
पॉइंट	বিন্দু
पॉइंट	পয়েন্ট
पॉइंट	বিন্দু
पॉइंट	পয়েন্ট
जमैका	জ্যামাইকা
जमैका	জামাইকা
स्केल	মাত্রা
मुंशी	মুন্সি
मक्खन	মাখনের
मक्खन	মাখন
साम्राज्यवाद	সাম্রাজ্যবাদ
सूत	সুত
सूत	সুতা
सूत	তুলো
सूत	কটন
सूत	তুলা
इज़राइल	ইজরায়েল
इज़राइल	ইজরাইল
इज़राइल	ইসরায়েল
इज़राइल	ইসরাইল
वैधता	বৈধতা
अनन्य	বিশেষ
सीना	সিনা
सीना	সেনা
श्रृंगार	মেকআপ
अर्ल	আর্ল
निर्देशिका	ডিরেক্টরি
निर्देशिका	সূচিপত্র
निर्देशिका	সূচি
निर्देशिका	ডিরেক্টরী
समता	প্যারিটি
समता	সমতা
एवेन्यू	এভিনিউ
बेरोजगारी	বেকারত্ব
बेरोजगारी	বেকারত্বের
लत	আসক্তি
लत	নেশা
जुर्माना	ফাইন
जुर्माना	জরিমানা
जुर्माना	জরিয়ে
जुर्माना	জরিমানার
क़ुरान	কোরান
क़ुरान	কুরআন
पूर्णता	বিকল্প
मार्केटिंग	বিপণন
मार्केटिंग	ব্যবসায়িক
मार्केटिंग	মার্কেটিং
पीड़ितों	দুর্গতদের
पीड़ितों	শিকার
पीड़ितों	ক্ষতিগ্রস্তদের
शक्तियां	শক্তি
बादलों	মেঘমালা
बादलों	মেঘের
बादलों	মেঘ
चतुर्भुज	চতুর্ভুজ
चतुर्भुज	আয়তক্ষেত্র
चीता	চিতা
चीता	চিতা
मूक	নীরব
मूक	নিঃশব্দ
मूक	নিশ্চুপ
मूक	নীরব
मूक	নিঃশব্দ
लीन	লিন
प्रतिभाशाली	প্রতিভা
प्रतिभाशाली	মেধাবী
पनीर	cheese
पनीर	চিজ
पनीर	পনির
स्मार्ट	স্মার্ট
स्मार्ट	smart
स्मार्ट	বুদ্ধিমান
स्मार्ट	বুদ্ধি
नियोक्ता	নিয়োগকর্তা
पश्तो	পশতু
मैडोना	ম্যাডোনা
बराक	বারাক
बराक	বারাক
बराक	বরাক
नाड़ी	প্লাস
कादर	কাদের
स्पीकर	স্পিকার
स्पीकर	স্পীকার
सहभागिता	নিযুক্ত
सहभागिता	সংশ্লিষ্টতা
सहभागिता	নিযুক্তি
यों	তক্তা
गतिविधियाँ	কর্মকাণ্ড
गतिविधियाँ	কার্যক্রম
कल्कि	কল্কি
इसराइल	ইজরায়েল
इसराइल	ইজরাইল
इसराइल	ইসরায়েল
इसराइल	ইসরাইল
कच्छ	কুচ
कृषक	কৃষক
कृषक	চাষী
कृषक	কৃষকরা
कृषक	কৃষকদের
इंडीज़	ইন্ডিজের
इंडीज़	ইন্ডিজ
ब्राउजर	ব্রাউজার
गुदा	পায়ু
बीघा	বিঘা
मूर्तिकला	ভাস্কর্য
शाश्वत	অনন্তকাল
किरणें	রশ্মি
वैश्वीकरण	বিশ্বায়ন
बैग	ব্যাগের
बैग	ব্যাগ
बैग	থলে
बैग	ব্যাগের
बैग	ব্যাগ
नर्तक	নর্তকী
नर्तक	নৃত্যশিল্পী
नर्तक	নর্তকী
नर्तक	নাচিয়ে
ग्लूकोज	গ্লুকোজ
नीतियाँ	নীতিমালা
नीतियाँ	নীতিগুলি
नीतियाँ	নীতি
प्रतिभागियों	অংশগ্রহণকারী
प्रतिभागियों	অংশগ্রহণকারীদের
प्रतिभागियों	অংশগ্রহণকারীরা
प्रतिभागियों	অংশগ্রহনকারী
दत्ता	দত্ত
दत्ता	দত্ত
पढ़ना	পড়া
आपरेशन	অপারেশন
आपरेशन	কাজ
ब्रॉडबैंड	ব্রডব্যান্ড
मैनुअल	ম্যানুয়াল
दर्जन	ডজনখানেক
दर्जन	ডজন
सुखद	উপভোগ্য
सुखद	মনোরম
सस्ती	সাশ্রয়ী
सस्ती	সাধ্যের
सस्ती	সস্তা
गन्ना	আখের
गन्ना	আখ
रणवीर	রণবীর
बेखम	বেকহ্যাম
स्याही	কালি
स्याही	কালির
रॉस	রস
हवाओं	বায়ু
हवाओं	বাতাস
परम्पराओं	ঐতিহ্যের
पूछे	জিজ্ঞাসা
पूछे	জিজ্ঞেস
सेब	পেল
सेब	আপেল
सेब	apple
सेब	অ্যাপল
रो	রো
रो	ক্রন্দন
रो	কান্না
रो	কাঁদতে
पुस्तकालयों	লাইব্রেরী
पुस्तकालयों	লাইব্রেরি
पुस्तकालयों	লাইব্রেরী
पुस्तकालयों	গ্রন্থাগার
पुस्तकालयों	পাঠাগার
पुस्तकालयों	লাইব্রেরি
बालाजी	বালাজি
चौकी	চেকপয়েন্ট
बहनों	বোনেরা
बहनों	বোনদের
बहनों	বোন
अश्लील	পর্ন
आपात	জরুরী
रेसलमेनिया	wrestlemania
नामीबिया	নামিবিয়া
स्त्रियाँ	নারী
स्त्रियाँ	মহিলা
स्त्रियाँ	নারীর
स्त्रियाँ	নারীদের
स्त्रियाँ	মহিলারা
एनी	অ্যানি
मामा	mama
मामा	মামা
मामा	মাগো
मामा	মামার
मामा	কাকা
मामा	আঙ্কেল
मामा	চাচা
रूपांतर	বুলগেরীয়
नगरीय	শহুরে
नगरीय	আরবান
नगरीय	নগর
क्रोधित	ক্রুদ্ধ
क्रोधित	রাগান্বিত
क्रोधित	রাগী
क्रोधित	রেগে
क्रोधित	রাগ
तात्कालिक	জরুরী
तात्कालिक	জরুরি
तात्कालिक	তাৎক্ষণিক
हलके	হালকাভাবে
कमांड	কমান্ড
कमांड	কমান্ড
विवेकानन्द	বিবেকানন্দ
धोनी	dhoni
धोनी	ধনি
धोनी	ধোনি
धोनी	ধোনির
बुराई	অনিষ্ট
बुराई	মন্দ
बुराई	শয়তান
टाइपिंग	টাইপিং
उत्तेजक	উত্তেজক
दशमलव	দশমিক
काई	কাই
क्रूर	নিষ্ঠুর
क्रूर	নির্মম
क्रूर	নৃশংস
क्रूर	পাশবিক
क्रूर	নিষ্ঠুর
जोनाथन	জনাথন
जोनाथन	জোনাথন
हस्त	হস্তনির্মিত
गढ़ी	গ্রহি
गोपीनाथ	গোপীনাথ
फ्लाइट	ফ্লাইট
फ्लाइट	উড্ডয়ন
फ्लाइट	উড়ান
निकटता	proximity
निकटता	নৈকট্য
मीणा	মীনা
सैर	হাটে
सैर	ওয়াক
सैर	হাঁটা
सैर	হাটতে
चिकनी	মসৃণ
चिकनी	মসৃন
चिकनी	চর্বিযুক্ত
कैनेडी	কেনেডি
टाई	টাই
विदेशियों	বিদেশীদের
विदेशियों	বিদেশীরা
अनुवादित	অনূদিত
अनुवादित	অনুদিত
इंजीनियरों	ইঞ্জিনিয়ারদের
इंजीनियरों	ইঞ্জিনিয়ার্স
गा	গাইতে
गा	গাও
सर्पिल	সর্পিল
परिशिष्ट	পরিশিষ্ট
गवाही	সাক্ষ্য
लेआउट	লেআউট
लेआउट	লাও
लेआउट	বিন্যাস
कैदियों	বন্দীদের
कैदियों	বন্দি
कैदियों	বন্দীরা
कैदियों	কারাবন্দী
अरविंद	অরবিন্দ
फिजी	ফিজি
हुक	হুক
रिटर्न	উত্তরে
रिटर्न	রিটার্ন
रिटर्न	ফেরত
प्लैटिनम	প্ল্যাটিনাম
प्लैटिनम	প্লাটিনাম
फिल	ফিল
फिलीपींस	ফিলিপাইন
फिलीपींस	ফিলিপাইন্স
फिलीपींस	ফিলিপিন্স
दीवारें	দেয়াল
दीवारें	দেওয়াল
सपाट	সমান্তরাল
सपाट	ফ্ল্যাট
सपाट	ফ্লাট
नक़ल	প্রতিলিপি
फ्रेमवर्क	ফ্রেমওয়ার্ক
देशभक्ति	প্রসংসা
केन्या	কেনিয়া
बर्बाद	নষ্ট
बर्बाद	নষ্ট
बिड़ला	বিড়লা
कस्टम	কাস্টমস
कस्टम	শুল্ক
कस्टम	কাস্টম
कस्टम	নিজস্ব
कस्टम	পছন্দসই
कस्टम	স্বনির্ধারিত
अकादमिक	একাডেমিক
अकादमिक	অ্যাকাডেমিক
शेन	শেন
असीम	অবিরাম
असीम	অসীম
एकजुट	একত্র
कोलेस्ट्रॉल	কোলেস্টেরল
दांते	দান্তে
सीबीआई	সিবিআই
किंगफिशर	মাছরাঙা
बगीचे	উদ্যান
बगीचे	বাগান
बगीचे	গার্ডেন
बगीचे	বাগানের
मुराद	মুরাদ
युग्म	জুটি
ईमान	বিশ্বাস
ईमान	ফেইথ
भट्टी	ফার্নেস
पोटैशियम	পটাশিয়াম
पोटैशियम	পটাসিয়াম
केली	কেলি
लोकगीत	লোকাচার
सर्बिया	সার্বিয়া
धर्मनिरपेक्ष	ধর্মনিরপেক্ষ
दृष्टिगोचर	দৃশ্যমান
तोप	ক্যানন
तोप	কামান
दूरभाष	টেলিফোন
दुल्हन	বধূ
दुल्हन	কনে
दुल्हन	নববধূ
उड़	উড়তে
उड़	উড়ে
उड़	মাছি
गुजरता	পাস
माली	মালদ্বীপ
माली	মালী
माली	মালি
परियोजनाएं	প্রকল্প
परियोजनाएं	প্রজেক্ট
सिएटल	সিয়াটেল
टायर	বেড়
टायर	টায়ার
टायर	টায়ার
टायर	চাকা
टायर	টায়ার
टायर	টায়ারের
टायर	টায়ার
बाँस	বাঁশ
रोहिणी	রোহিনী
सुधारक	reformer
अठारह	আঠারো
उन्नयन	আপগ্রেড
उन्नयन	টিলা
पेंशन	পেনশন
गरिमा	মর্যাদা
धागे	সুতা
बताना	বলুন
बताना	বলো
बताना	বলি
सिलेंडर	সিলিন্ডার
मैक्सिकन	মেক্সিকান
देशो	দেশ
देशो	দেশগুলো
देशो	দেশগুলি
खोपड़ी	খুলি
कोलम्बिया	কলম্বিয়া
छत्रपति	ছত্রপতি
विद्रोहियों	বিদ্রোহী
विद्रोहियों	বিদ্রোহীদের
विद्रोहियों	বিদ্রোহীরা
कैसा	কীভাবে
कैसा	কিভাবে
कैसा	কত
कैसा	কেমন
स्टीवन	স্টিভেন
टेल	টেল
टेल	লেজ
बालिका	বালিকা
कबीले	উপজাতি
सूर्योदय	সূর্যোদয়
सूर्योदय	সানরাইজ
रणनीतिक	কৌশলগত
रणनीतिक	কৌশলগত
झटके	ধাক্কায়
झटके	আয
प्रक्षेप	সংযোগ
पर्यवेक्षण	তত্ত্বাবধান
पर्यवेक्षण	তত্ত্বাবধানে
पर्यवेक्षण	তদারকি
एमी	অমি
एमी	এমি
रवीन्द्र	রবীন্দ্র
प्लेटो	প্লেটো
मीन	আলামীন
मीन	মীন
कनाडाई	কানাডিয়ান
रिसाव	ছিদ্র
अनावरण	উন্মোচিত
निषिद्ध	নিষিদ্ধ
निषिद्ध	নিষিদ্ধ
सेम	বিন
सेम	শিম
सेम	শিম
सेम	মটরশুটি
रॉन	রন
वैद्य	vaidya
बरसात	গোসল
बरसात	বর্ষণ
बरसात	ঝরনা
बरसात	শাওয়ার
बरसात	বৃষ্টিস্নাত
बरसात	বৃষ্টির
बरसात	বৃষ
बरसात	বৃষ্টি
बनर्जी	বন্দ্যোপাধ্যায়
इंटेल	ইন্টেল
इंटेल	intel
फास्ट	দ্রুত
फास्ट	ফাস্ট
मोहित	মোহিত
बाह	bah
तालिबान	তালিবানরা
तालिबान	তালেবান
तालिबान	তালিবান
तालिबान	তালেবানদের
नेताजी	নেতাজি
नेताजी	নেতাজী
दर्शनशास्त्र	দর্শন
स्वादिष्ट	সুস্বাদু
स्वादिष्ट	মজাদার
स्वादिष्ट	লোভনীয়
स्वादिष्ट	মুখরোচক
स्वादिष्ट	মজাদার
स्वादिष्ट	সুস্বাদু
ज्वाला	শিখা
ईंटों	ইট
ईंटों	ব্রিক
कर्ज	ঋণ
सलाद	লেটুস
सलाद	সালাদ
सलाद	সালাদ
जलन	ঈর্ষা
जलन	হিংসা
जलन	ঈর্ষান্বিত
शौकिया	অপেশাদার
शौकिया	শখের
अनूठा	অনন্য
पेशावर	পেশোয়ারের
पेशावर	পেশোয়ার
पहेली	পাজল
पहेली	ধাঁধা
पहेली	ধাঁধাঁ
पहेली	ধাঁধা
चादर	শাল
चादर	শীট
जामा	জামে
नासिक	নাশিক
फ्रैंकलिन	ফ্রাঙ্কলিন
एथिलीन	ইথাইল
सेकेंड	সেকেন্ড
सेकेंड	সেকেন্ড
सेकेंड	দ্বিতীয়
आयुध	সমরাস্ত্র
मानविकी	মানববিদ্যা
प्रवीण	প্রবীণ
महापौर	মেয়র
आयताकार	আয়তক্ষেত্র
प्रस्तावना	আহরণ
प्रस्तावना	পরিচয়
प्रस्तावना	ভূমিকা
मॉरीशस	মরিশাস
गंगाधर	গঙ্গাধর
बाधाओं	বাধা
बाधाओं	বাধা
बाधाओं	বাধার
बाधाओं	প্রতিবন্ধকতা
माइग्रेन	মাইগ্রেন
परिधान	পোষাক
परिधान	ড্রেস
परिधान	পোশাক
परिधान	dress
परिधान	গার্মেন্টস
परिधान	পোশাক
गोलीबारी	শুটআউট
गोलीबारी	শুটিং
गोलीबारी	হত্যাকাণ্ড
गोलीबारी	গোলাগুলি
हब	হাব
जग	বিশ্ব
जग	ওয়ার্ল্ড
जग	পৃথিবী
जग	দুনিয়া
जग	জগ
पम्प	পাম্প
मातृ	মাতৃ
बायर	বেয়ার
नाल	নাল
नाल	horseshoe
पवित्रता	বিশুদ্ধতা
पवित्रता	পবিত্রতা
लाभप्रद	লাভজনক
रोचेस्टर	রোচেস্টার
श्रेष्ठता	শ্রেষ্ঠত্ব
मुलाक़ात	আড্ডা
डोनाल्ड	ডোনাল্ড
रमन	রমন
सीढ़ी	মই
पटियाला	পাতিয়ালা
प्रतिकृति	প্যাটার্ন
प्रतिकृति	রেপ্লিকা
घराने	শৈলী
घराने	গোত্র
ताड़	তালু
ताड़	পাম
ताड़	তাল
धमाके	ব্যাং
धमाके	bang
सीटी	বাঁশি
सिरदर्द	মাথাব্যথা
कट्टर	গোঁড়া
कट्टर	একনিষ্ঠ
उपनिवेशवाद	কলোনি
उपनिवेशवाद	উপনিবেশ
सैंडविच	স্যান্ডউইচ
सैंडविच	স্যান্ডউইচ
चिप्स	চিপস
उद्योगपति	শিল্পপতি
विधियां	পদ্ধতিগুলি
बिखरे	বিক্ষিপ্ত
दार्जिलिंग	দার্জিলিং
टिहरी	তেহরি
शैतान	শয়তানের
शैतान	ডেভিল
शैतान	শয়তান
शैतान	শয়তানের
शैतान	শয়তান
शीट	শীট
शीट	চাদর
उद्धार	উদ্ধার
पैकेजिंग	প্যাকেজিং
म्यूनिख	মিউনিখ
शरीफ	শরিফ
शरीफ	শরীফ
बिस्तर	বিছানা
बिस्तर	বিছানায়
बिस्तर	বিছানার
बिस्तर	খাট
बिस्तर	বেড
बोल्ट	বোল্ট
गुम्बद	গম্বুজ
गुम्बद	ডোম
सेवानिवृत्ति	অবসর
जश्न	উদযাপন
इंडीज	ইন্ডিজের
इंडीज	ইন্ডিজ
लहरों	ঢেউ
लहरों	তরঙ্গ
टंडन	ট্যান্ডন
अस्थिरता	অস্থিরতা
संग्रहीत	সংরক্ষিত
सीसा	নেতৃত্ব
सीसा	লিড
सीसा	সীসা
तना	স্টেম
सदाबहार	এভারগ্রিন
कंकाल	কঙ্কাল
नाइट्राइट	nitrite
समीर	সমীর
समीर	সামির
ऑर	ওর
तांबे	তামা
समतुल्य	সমতুল্য
जिन्ना	জিন্নাহ
फेरारी	ফেরারি
माईस्पेस	মাইস্পেস
एमआईटी	এমআইটি
भ्रामक	বিভ্রান্তিকর
संभावनाओं	সম্ভাবনা
संभावनाओं	সম্ভাবনার
नगण्य	সামান্য
केक	পিঠা
केक	কেকের
केक	কেক
जिज्ञासा	কৌতূহল
अन्याय	অন্যায়
अन्याय	অবিচার
अनुसूची	সময়সূচী
अनुसूची	সময়সূচি
सेठी	শেঠি
हमीरपुर	হামিরপুর
एनिमेशन	অ্যানিমেশন
एनिमेशन	অ্যানিমেশন
देखो	দেখ
देखो	চেহারা
देखो	দেখো
इंतजार	অপেক্ষা
हिम्मत	সাহসিকতা
हिम्मत	সাহস
हिम्मत	সাহস
हिम्मत	dare
हिम्मत	ডেয়ার
प्रमाणपत्र	সার্টিফিকেট
प्रमाणपत्र	সার্টিফিকেট
सांकेतिक	প্রতীকী
सांकेतिक	প্রতীকি
सिंधिया	সিন্ধিয়া
असमानता	বৈষম্য
असमानता	অসমতা
असमानता	বৈষম্যের
झांसी	ঝাঁসির
आमदनी	আয়
आमदनी	ইনকাম
टिन	টিনের
टिन	টিন
चारा	শাকসবজি
चारा	টোপ
ओलिवर	অলিভার
डिब्बे	ক্যান
घनी	পুরু
एस्पिरिन	অ্যাসপিরিন
जनजातीय	উপজাতি
जनजातीय	আদিবাসী
सोर्स	উৎসস্থল
सोर्स	উৎস
सोर्स	সোর্স
विश्लेषक	বিশ্লেষক
नीम	নিম
चेल्सी	চেলসি
पाम	পাম
पाम	pam
रिश्तों	সম্পর্কগুলো
रिश्तों	সম্পর্ক
संन्यास	অবসর
पुनर्वास	পুনর্বাসন
पुनर्वास	পুনর্বাসনের
पुनर्वास	পুনর্বাসন
प्रोसेसर	প্রসেসর
स्ट्रीम	ছড়া
स्ट्रीम	স্ট্রিম
वक्तव्य	বিবৃতি
वक्तव्य	স্টেটমেন্ট
चंद्रगुप्त	চন্দ্রগুপ্ত
मुमताज़	মমতাজ
मुमताज़	মুমতাজ
जालंधर	জলন্ধর
कोंकणी	কোঙ্কণী
बारहवीं	দ্বাদশ
बारहवीं	twelfth
नागराज	নাগরাজ
स्टुअर्ट	স্টুয়ার্ট
अचार	আচার
प्रदाताओं	প্রদানকারীদের
फेंकने	নিক্ষেপ
शर्तें	শর্ত
शर्तें	পরিস্থিতি
शर्तें	শর্তাবলী
मॉड्यूल	মডিউল
हिरण	হরিণ
हिरण	ডিয়ার
पिकनिक	পিকনিক
पिकनिक	বনভোজন
ईसाइयों	খ্রিস্টান
ईसाइयों	খ্রীষ্টান
सईद	সাঈদ
सईद	সাইদ
प्रेषित	প্রেরিত
ज़िन्दगी	জিন্দেগী
ज़िन्दगी	জিন্দেগি
ज़िन्दगी	প্রাণ
ज़िन्दगी	জিবন
ज़िन्दगी	লাইফ
ज़िन्दगी	জীবনের
ज़िन्दगी	জীবন
बॉय	ছেলে
बॉय	বালক
बॉय	ছেলেটা
बॉय	ছেলেটি
हजरत	হযরত
हजरत	হজরত
इब्राहिम	ইব্রাহিম
इब्राहिम	ইব্রাহীম
प्रीति	প্রীতি
संवेदी	ইন্দ্রিয়
कार्लो	কার্লো
चावला	চাওলা
स्वार्थ	স্বার্থপরতা
तपेदिक	যক্ষ্মা
पुर	পুর
फिल्मफेयर	ফিল্মফেয়ার
वीजा	ভিসা
वीजा	ভিসা
कौशिक	কৌশিক
बैनर	ব্যানার
याहू	ইয়াহু
याहू	yahoo
बुजुर्ग	বয়স্ক
बुजुर्ग	বয়স্কদের
वेदी	বেদী
उत्साहित	অধীর
उत्साहित	উত্তেজিত
प्रलय	বিপর্যয়
नागौर	নাগৌর
रिले	রিলে
रिले	রিলে
रिले	রেলে
चुनौतियों	চ্যালেঞ্জ
बर्मन	বর্মণ
अनवर	আনোয়ার
फर्ग्यूसन	ফার্গুসন
हालात	পরিস্থিতি
हालात	মতভেদ
हालात	পরিস্থিতি
महाद्वीपों	মহাদেশের
महाद्वीपों	মহাদেশ
इस्लामाबाद	ইসলামাবাদ
लेनिन	লেনিন
समाचारपत्र	সংবাদপত্র
संतोषजनक	সন্তোষজনক
सफ़र	যাত্রা
सफ़र	জার্নি
खींचा	ড্রিউ
स्क्वैश	স্কোয়াশ
लॉक	লক
एबीसी	এবিসি
पीएचडी	পিএইচডি
