les	το
trois	τρεις
trois	three
trois	τρία
trois	τρια
articles	άρθρα
articles	τεχνουργήματα
articles	αρθρα
article	αρθρο
article	άρθρο
guerre	πόλεμος
guerre	πόλεμο
sans	χωρίς
saison	εποχή
saison	σαιζόν
saison	σεζον
saison	σεζόν
fin	πτερύγιο
fin	fin
fin	φιν
fin	τέλος
fin	λήξη
année	ετος
année	έτος
année	χρονιά
année	έτο
temps	καιρός
temps	χρόνος
temps	χρονος
temps	ώρα
temps	φορά
temps	ωρα
temps	χρόνο
plusieurs	πολλά
plusieurs	πολλοι
plusieurs	πολλοί
plusieurs	πολλές
plusieurs	πολλα
plusieurs	αρκετές
plusieurs	αρκετοί
plusieurs	πολλαπλές
plusieurs	πολλαπλή
plusieurs	πολλαπλά
faire	κάνοντας
faire	faire
mars	μαρτίου
mars	μάρτιος
mars	μάρτιο
mars	αρη
mars	άρη
mars	μαρς
mars	αρης
mars	άρης
histoire	ιστορία
histoire	ιστορια
histoire	ιστορικό
série	σειρές
série	σειρά
série	σειρα
série	αύξοντα
série	αύξων
joueur	παίκτης
joueur	παίκτη
joueur	παίχτης
joueur	παίχτη
mai	μάη
mai	μάιος
mai	μέι
mai	μάης
mai	mai
mai	μάι
tour	ξενάγηση
tour	περιήγηση
tour	tour
tour	περιοδεία
tour	πύργος
tour	πύργο
mort	πέθανε
mort	πεθανε
mort	θάνατος
mort	θάνατο
mort	μορτ
mort	νεκροί
mort	νεκρή
mort	νεκρός
mort	νεκρό
juin	τζουν
juin	ιούνιο
juin	ιουνίου
juin	τζουν
juin	ιούνιος
jpg	jpg
française	γάλλοι
française	γάλλος
française	γαλλική
française	γαλλικό
française	γαλλικά
pierre	stone
pierre	πέτρα
pierre	στόουν
pierre	πέτρος
pierre	πέτρο
pierre	peter
pierre	πίτερ
pierre	πήτερ
pierre	πιέρ
pierre	pierre
pierre	πιερ
région	περιφέρεια
région	περιοχή
région	έκταση
région	εμβαδόν
région	περιοχή
région	περιοχη
janvier	ιανουαρίου
janvier	ιανουάριο
janvier	ιανουάριος
avoir	έχοντας
fois	times
fois	φορές
fois	χρόνοι
autre	λοιπά
autre	αλλα
autre	άλλες
autre	άλλα
septembre	σεπτεμβρίου
septembre	σεπτέμβρη
septembre	σεπτέμβριος
septembre	σεπτέμβριο
juillet	ιούλιος
juillet	ιούλιο
juillet	ιουλίου
juillet	ιουλιος
état	κατάσταση
état	status
état	καθεστώς
état	κατασταση
état	κράτος
état	πολιτεία
état	state
état	κατάσταση
état	όρος
église	τσερτς
église	εκκλησία
église	εκκλησια
octobre	οκτώβριος
octobre	οκτώβριο
octobre	οκτωβρίου
place	τόπος
place	μέρος
famille	οικογενεια
famille	οικογένεια
états	πολιτείες
états	κρατών
états	κράτη
général	στρατηγός
général	γενική
général	γενικές
général	γενικά
général	γενικό
avril	απρ
avril	απρίλιος
avril	απρίλιο
avril	απρίλη
avril	απριλίου
avril	έιπριλ
avril	avril
insee	insee
tous	ολα
tous	όλοι
tous	όλες
tous	όλα
politique	πολιτική
politique	πολιτικη
politique	πολιτικά
politique	πολιτική
album	δίσκος
album	άλμπουμ
décembre	δεκέμβριο
décembre	δεκέμβριος
décembre	δεκεμβρίου
août	αύγουστος
août	αύγουστο
août	αυγούστου
todo	todo
novembre	νοεμβρίου
novembre	νοέμβριο
novembre	νοέμβριος
novembre	νοε
avait	είχε
prix	τιμές
prix	τιμή
nouvelle	νεα
nouvelle	νέο
nouvelle	νέα
nouvelle	νέος
février	φεβρουάριος
février	φεβρουάριο
février	φεβρουαρίου
février	φεβ
département	τμήμα
département	τμημα
grande	μεγάλα
grande	μεγάλο
grande	μεγάλη
grande	μεγάλα
grande	μεγάλος
grande	μεγάλο
grande	τέλεια
grande	υπέροχα
grande	γκράντε
peu	λίγοι
peu	ελάχιστοι
peu	λίγες
peu	μικρή
peu	little
peu	μικρό
américain	αμερικανική
américain	αμερικάνικα
américain	αμερικανός
américain	αμερικάνος
américain	αμερικάνικο
américain	αμερικανοί
soit	είτε
début	αρχή
début	ξεκινήστε
début	ξεκίνα
début	εκκίνηση
début	έναρξη
début	αρχή
ligne	γραμμή
ligne	line
ligne	γραμμη
ligne	σειρά
ligne	κουπί
ligne	ρόου
suite	σουίτα
nationale	εθνικός
nationale	εθνικό
nationale	εθνικη
nationale	εθνική
nationale	nationale
championnat	πρωτάθλημα
encore	πάλι
encore	ξανά
encore	παλι
encore	ακόμη
encore	ακομα
encore	ακόμα
encore	encore
image	φωτογραφια
image	φωτογραφία
image	εικόνα
image	εικόνα
image	εικονα
vie	life
vie	ζωή
vie	ζωη
unis	united
unis	ενωμένη
unis	ενωμένοι
unis	ηνωμένο
lien	σύνδεσμο
lien	σύνδεσμος
lien	λινκ
lien	δεσμός
lien	link
lien	σύνδεση
football	ποδόσφαιρο
football	φούτμπολ
football	football
football	ποδόσφαιρο
jeux	παιχνίδια
jeux	αγωνες
jeux	αγώνες
jeux	games
moins	μείον
moins	λιγότερο
moins	λιγότερες
moins	λιγότερα
ouest	δυτικά
ouest	δυτική
ouest	γουέστ
ouest	δύση
ouest	δυτικά
ouest	γουέστερν
ouest	δυτικό
ouest	δυτική
ouest	western
page	σελίδα
page	page
page	σελιδα
nouveau	νεα
nouveau	νέο
nouveau	νέα
nouveau	νέος
vous	εσύ
vous	εσείς
vous	εσυ
centre	κέντρο
centre	κεντρο
centre	center
centre	κέντρο
cours	πορεια
cours	πορεία
cours	cours
cours	μαθήματα
partir	φύγε
partir	αφήσω
village	χωριο
village	χωριό
université	πανεπιστήμιο
université	university
université	πανεπιστημιο
université	κολλέγιο
université	college
université	κολέγιο
louis	λουδοβίκος
louis	λούης
louis	λούις
louis	λουί
louis	louis
nombre	αριθμός
nombre	νούμερο
quelques	μερικές
quelques	κάποια
quelques	κάποιοι
quelques	μερικοί
quelques	μερικά
siècle	αιώνα
siècle	αιώνας
coupe	κούρεμα
coupe	κύπελλο
coupe	κούπα
coupe	φλιτζάνι
coupe	κοπή
coupe	κόψιμο
coupe	κόψτε
coupe	κομμένα
coupe	κόψιμο
coupe	κόψω
coupe	κουπέ
population	πληθυσμός
population	πληθυσμού
connexes	σχετική
connexes	σχετικές
connexes	σχετικό
homme	αρσενικό
homme	άνδρας
homme	αρσενικά
homme	άρρεν
homme	homme
homme	ανδρες
homme	άντρες
homme	άνδρες
homme	άνθρωπος
homme	φίλε
homme	φιλε
communes	δήμους
communes	δήμοι
division	μεραρχία
division	διαίρεση
président	πρόεδρος
président	πρόεδρε
président	πρόεδρο
président	πολυθρόνα
président	καρέκλα
national	εθνικός
national	εθνικό
national	εθνικη
national	εθνική
société	κοινωνία
société	κοινωνια
société	λόχος
société	εταιρεία
société	εταιρία
quatre	τέσσερις
quatre	τέσσερα
quatre	four
quatre	τεσσερα
cas	περίπτωση
cas	υποθεση
cas	υπόθεση
cas	cas
cas	θήκες
cas	περιπτώσεις
cas	υποθέσεις
jeu	παιχνίδι
jeu	game
jeu	παιχνιδι
jeu	τζόγος
jeu	τζόγο
genre	φύλο
genre	γένος
genre	γένος
genre	γένους
genre	όπως
genre	οπως
genre	like
genre	σαν
musique	μουσικη
musique	μουσική
fils	σύρματα
fils	καλώδιο
fils	σύρμα
fils	γιος
fils	υιός
fils	γιε
fils	γιοι
fils	γιοί
fils	γιους
fils	νήμα
fils	νήματα
roi	βασιλεύς
roi	βασιλιάς
roi	κινγκ
roi	βασιλιά
roi	king
roi	αε
parti	πάρτυ
parti	κόμμα
parti	πάρτι
parti	party
parti	έφυγε
parti	εφυγε
jour	μερα
jour	ημερα
jour	ημέρα
jour	μέρα
europe	ευρώπη
europe	ευρωπη
mise	mise
forme	μορφη
forme	μορφή
forme	έντυπο
forme	φόρμα
forme	σχήμα
époque	εποχή
époque	εποχή
ancien	αρχαίος
ancien	αρχαίο
ancien	αρχαία
ancien	παλαιά
ancien	παλιό
ancien	παλαιό
ancien	παλιά
ancien	γέρος
ancien	πρεσβύτερος
ancien	γέροντας
ancien	γέροντα
ancien	πρώην
ancien	πρωην
origine	προέλευση
origine	καταγωγή
origine	προέλευση
origine	καταγωγή
ordre	τάξη
ordre	παραγγελία
ordre	σειρά
ordre	διαταγή
château	σατό
château	καστρο
château	κάστρο
château	castle
château	πύργο
école	σχολεία
école	σχολές
école	σχολείο
école	σχολη
école	σχολειο
école	σχολή
carrière	σταδιοδρομία
carrière	καριέρα
carrière	λατομείο
carrière	καριέρες
carrière	σταδιοδρομία
part	share
part	κοινοποίηση
part	μετοχή
part	μερίδιο
deuxième	δεύτερο
deuxième	δεύτερος
deuxième	δεύτερη
bar	ράβδος
bar	μπαρ
bar	bar
bar	μπάρ
bar	μπάρα
située	εντοπίστηκε
charles	τσαρλς
charles	charles
charles	σαρλ
charles	κάρολος
points	τελείες
points	σημεία
points	βαθμοί
points	πόντοι
ayant	έχοντας
paul	παύλος
paul	paul
paul	πωλ
paul	πολ
rue	στριτ
rue	οδός
rue	δρόμος
rue	ρου
rue	rue
chef	chef
chef	σεφ
chef	αρχηγός
chef	αρχηγέ
père	μπαμπά
père	πατερα
père	πατέρας
père	πατέρα
père	πάτερ
exemple	παράδειγμα
exemple	παραδειγμα
trouve	βρίσκει
durant	ντουράντ
rapport	έκθεση
rapport	εκθεση
rapport	αναφορα
rapport	αναφορά
art	τέχνη
art	art
art	αρτ
art	τεχνη
canton	κάντον
dernier	τελευταίο
dernier	τελευταίοι
dernier	τελευταίος
dernier	τελευταια
dernier	τελευταία
type	τύπου
type	type
type	τύπος
type	είδος
habitants	κάτοικοι
habitants	κατοίκους
habitants	κάτοικοι
habitants	κατοίκους
point	πόντος
point	σημειο
point	σημείο
compte	καταμέτρηση
compte	κόμης
compte	κόμη
compte	account
compte	λογαριασμός
compte	λογαριασμό
période	περίοδος
période	περίοδο
armée	στρατιωτικός
armée	στρατός
armée	στρατιωτική
armée	στρατιωτικοί
armée	στρατιωτικά
armée	στρατός
armée	στρατό
eau	νερό
eau	νερο
eau	ύδωρ
marie	μαρί
marie	marie
marie	μαίρη
marie	μαρία
marie	μαρια
discuter	τσατ
discuter	συζητήστε
discuter	συζητήσουμε
discuter	τσατ
discuter	συνομιλία
discuter	chat
car	επειδή
car	γιατί
projet	έργο
projet	εργο
projet	σχέδιο
chaque	κάθε
chaque	καθε
chaque	έκαστος
chaque	κάθε
anglais	greek
anglais	αγγλικα
anglais	αγγλική
anglais	αγγλικό
anglais	αγγλικά
province	επαρχία
john	τζων
john	τζον
john	john
john	ιωάννης
international	international
international	διεθνείς
international	διεθνής
international	διεθνή
international	διεθνές
conseil	συμβουλές
conseil	συμβουλή
conseil	συμβούλιο
françois	francis
françois	φράνσις
françois	φρανσουά
françois	φρανσουά
maison	χάουζ
maison	house
maison	σπιτι
maison	σπίτι
maison	πατρίδα
maison	σπιτι
maison	σπίτι
cela	αυτο
cela	αυτό
cela	αυτό
cela	ότι
cela	that
demande	παράκληση
demande	αίτηση
demande	αίτημα
demande	ρώτησε
demande	ρώτα
demande	ρωτήστε
demande	ρωτήσω
demande	ζήτα
fonction	συνάρτηση
fonction	λειτουργία
toujours	πάντα
toujours	πάντοτε
toujours	παντα
toujours	ακόμη
toujours	ακομα
toujours	ακόμα
doit	πρέπει
production	παραγωγή
production	παραγωγής
certains	μερικές
certains	κάποια
certains	κάποιοι
certains	μερικοί
certains	μερικά
membre	μέλος
membre	βουλευτής
membre	μελος
près	κοντά
près	κοντα
rôle	ρόλος
rôle	ρόλο
meilleur	καλύτερα
meilleur	καλυτερα
meilleur	καλύτερο
meilleur	καλύτερη
meilleur	καλύτερα
meilleur	καλύτερο
meilleur	best
droit	σωστα
droit	δεξιά
droit	σωστό
droit	σωστά
droit	νόμο
droit	δίκαιο
droit	νόμος
mois	μήνες
mois	μηνών
mois	μήνα
mois	μήνας
île	island
île	νησί
île	νησι
île	νήσος
île	île
république	δημοκρατια
république	δημοκρατία
service	υπηρεσία
service	service
service	εξυπηρέτηση
jacques	ζακ
jacques	jacques
score	βαθμολογία
score	σκορ
ensuite	τότε
ensuite	μετά
langue	γλώσσα
langue	γλωσσα
dit	είπε
dit	λεει
dit	λέει
gouvernement	κυβερνηση
gouvernement	κυβέρνηση
center	κέντρο
center	κεντρο
center	center
elles	elles
elles	αυτοί
petit	μικρή
petit	μικρό
petit	μικρές
petit	μικρός
petit	μικρά
petit	petit
petit	μικρή
petit	little
petit	μικρό
toutes	ολα
toutes	όλοι
toutes	όλες
toutes	όλα
argent	χρήμα
argent	χρήματα
argent	λεφτά
argent	ασημί
argent	ασημένια
argent	σίλβερ
argent	ασήμι
argent	silver
argent	κας
argent	μετρητά
souvent	συχνά
souvent	συχνα
souvent	συχνά
style	στυλ
style	ύφος
style	στιλ
style	styling
face	πρόσωπο
face	προσωπο
face	φάτσα
olympiques	ολυμπιακή
olympiques	ολυμπιακός
olympiques	ολυμπιακό
olympiques	ολυμπιακοί
olympiques	ολυμπιακούς
quand	πότε
quand	όταν
quand	οταν
top	κορυφαία
top	τοπ
top	top
top	κορυφή
ministre	υπουργός
mondiale	παγκοσμίως
mondiale	παγκόσμια
mondiale	world
mondiale	κόσμο
mondiale	κόσμος
mondiale	παγκόσμια
mondiale	global
mondiale	παγκόσμιο
ensemble	μαζί
ensemble	μαζι
théâtre	θέατρο
théâtre	θεατρο
théâtre	θέατρο
théâtre	θεατρο
épisode	επεισόδιο
scène	σκηνή
scène	σκηνη
scène	στάδιο
situé	εντοπίστηκε
toute	ολα
toute	όλοι
toute	όλες
toute	όλα
asp	asp
musée	museum
musée	μουσείο
troisième	τρίτον
troisième	τρίτο
troisième	τρίτη
troisième	τρίτος
nombreux	πολλά
nombreux	πολλοι
nombreux	πολλοί
nombreux	πολλές
nombreux	πολλα
nombreux	πολυάριθμες
nombreux	πολυάριθμα
auteur	συγγραφέας
auteur	συγγραφέα
auteur	συντάκτης
auteur	συγγραφέας
auteur	συγγραφέα
cependant	ωστόσο
cependant	εντούτοις
système	συστημα
système	σύστημα
création	δημιουργία
stade	στάδιο
stade	γήπεδο
stade	στάδιο
tard	αργά
reste	μείνετε
reste	μείνε
reste	παραμονή
seconde	δεύτερο
seconde	δεύτερος
seconde	δεύτερη
roman	ρωμαϊκό
roman	ρωμαϊκή
roman	ρωμαίος
roman	ρόμαν
jours	ημέρες
jours	ημερες
jours	μέρες
hui	σημερα
hui	σήμερα
édition	επεξεργασία
édition	έκδοση
édition	εκδοση
édition	μοντάζ
historique	ιστορική
historique	ιστορικός
historique	ιστορικές
historique	ιστορικά
historique	ιστορική
historique	ιστορικός
historique	ιστορία
historique	ιστορια
historique	ιστορικό
sera	γουίλ
sera	will
sera	θα
permet	επιτρέπει
âge	ηλικίας
âge	ηλικία
âge	ηλικια
robert	robert
robert	ρόμπερτ
officiel	επίσημο
officiel	αξιωματούχος
officiel	επίσημη
environ	περίπου
effet	εφέ
effet	αποτέλεσμα
effet	επίδραση
version	έκδοση
version	εκδοχή
membres	μέλος
membres	βουλευτής
membres	μελος
membres	έλη
membres	μέλη
membres	μελη
niveau	επίπεδο
niveau	στάθμη
niveau	level
champion	πρωταθλητής
champion	πρωταθλητή
champion	πρωταθλήτρια
champion	πρωταθλητής
champion	πρωταθλητή
espèce	ειδη
espèce	είδος
espèce	είδη
michel	μιχαήλ
michel	michael
michel	μάικλ
michel	μισέλ
michel	michel
raison	αιτία
raison	λόγος
modèle	μοντελο
modèle	υπόδειγμα
modèle	μοντέλο
modèle	πρότυπο
modèle	πρότυπο
travail	έργο
travail	δουλειά
travail	εργασίες
travail	εργασία
travail	δουλεια
femme	γυναίκες
femme	γυναικες
femme	γυναικα
femme	γυναίκα
femme	γυναίκα
femme	θηλυκό
femme	γυναίκα
femme	σύζυγος
femme	σύζυγο
cinq	five
cinq	πεντε
cinq	πέντε
déjà	ήδη
déjà	ηδη
bas	κάλτσες
bas	καλσόν
bas	χαμηλά
bas	χαμηλό
bas	χαμηλή
bas	χαμηλός
bas	bas
texte	κείμενο
terre	γη
terre	γή
terre	ξηρά
terre	land
terre	γη
terre	στεριά
terre	terre
terre	χώμα
terre	έδαφος
allemagne	γερμανία
allemagne	γερμανια
compétition	ανταγωνιστικά
compétition	ανταγωνιστική
compétition	ανταγωνιστικός
compétition	ανταγωνιστικό
compétition	ανταγωνισμού
compétition	διαγωνισμός
compétition	ανταγωνισμός
wikipédia	wikipedia
allemand	γερμανοί
allemand	γερμανός
allemand	γερμανικό
allemand	γερμανικά
allemand	γερμανική
allemand	allemand
britannique	βρετανικό
britannique	βρετανός
britannique	βρετανική
britannique	βρετανοί
britannique	βρετανικά
porte	θύρα
porte	πύλη
porte	porte
porte	πορτα
porte	πόρτα
hommes	ανδρες
hommes	άντρες
hommes	άνδρες
hommes	αρσενικά
italie	ιταλία
bataille	μαχη
bataille	μάχη
corps	σωμα
corps	πτώμα
corps	κορμί
corps	σώμα
corps	σώμα
demi	μισό
demi	μισά
demi	μισή
demi	ντέμι
siège	πολιορκία
siège	αρχηγείο
siège	έδρα
siège	κάθισμα
siège	έδρα
personnes	ατομα
personnes	πρόσωπα
personnes	άτομα
personnes	ατομα
personnes	ανθρωποι
personnes	άνθρωποι
personnes	κόσμος
personnes	άτομα
personnes	ανθρώπους
nommé	ονόματι
nommé	διορίζεται
nommé	διορίστηκε
nommé	διόρισε
nommé	διορίζονται
route	οδός
route	διαδρομή
route	δρομολόγιο
route	αυτοκινητόδρομος
route	λεωφόρος
route	αυτοκινητόδρομο
route	οδός
route	δρόμος
route	δρόμο
route	road
finale	φινάλε
finale	τελικός
finale	τελικό
finale	τελικο
finale	τελική
finale	τελικο
finale	τελικοί
jeune	νεαρός
jeune	νέος
match	παιχνίδι
match	game
match	παιχνιδι
match	αντιστοιχία
match	ματς
match	αγώνα
match	ταίριασμα
match	αγώνας
peuvent	can
peuvent	μπορεί
york	γιορκ
york	υόρκη
york	york
royaume	βασίλειο
long	μακρύς
long	μακρύ
long	λονγκ
long	long
latitude	πλάτος
base	βαση
base	βάση
base	βαση
base	βάση
études	μελέτες
études	σπουδές
communauté	κοινοτητα
communauté	κοινότητα
communauté	κοινότητας
association	σύνδεσης
association	ένωση
association	association
militaire	στρατιωτικός
militaire	στρατός
militaire	στρατιωτική
militaire	στρατιωτικοί
militaire	στρατιωτικά
section	ενότητα
section	τμήμα
section	τμημα
bronze	χάλκινο
livre	βιβλιο
livre	βιβλίο
livre	λίρα
livre	livre
américaine	αμερικανική
américaine	αμερικάνικα
américaine	αμερικανός
américaine	αμερικάνος
américaine	αμερικάνικο
américaine	αμερικανοί
haut	high
haut	ψηλά
haut	υψηλή
haut	υψηλός
haut	υψηλό
haut	κορυφαία
haut	τοπ
haut	top
haut	κορυφή
suisse	ελβετία
suisse	ελβετικό
suisse	ελβετική
suisse	ελβετικής
canada	καναδάς
canada	καναδά
valign	valign
suivant	ακολουθώντας
suivant	ακολουθεί
suivant	ακόλουθες
suivant	επόμενος
suivant	επόμενη
suivant	επόμενο
beaucoup	πολλά
beaucoup	πολλοι
beaucoup	πολλοί
beaucoup	πολλές
beaucoup	πολλα
dire	πω
dire	πείτε
dire	πες
seul	μόνοι
seul	μονη
seul	μόνη
seul	μόνος
seul	μόνον
seul	μόνο
seul	μονο
fille	κοπέλα
fille	κορίτσι
fille	θυγατέρα
fille	κόρη
fille	κορη
buts	στόχοι
buts	σκοποί
buts	αποσκοπεί
buts	στόχοι
buts	στόχους
buts	γκολ
enfants	παιδια
enfants	παιδιά
enfants	παιδια
enfants	τέκνα
enfants	παιδιά
direction	κατεύθυνση
direction	διεύθυνση
position	στίγμα
position	θεση
position	θέση
pouvoir	power
pouvoir	εξουσία
pouvoir	δύναμη
pouvoir	ισχύς
but	στόχο
but	γκολ
but	σκοπός
but	σκοπό
ailleurs	αλλού
merci	ευχαριστούμε
merci	ευχαριστίες
merci	ευχαριστω
merci	ευχαριστώ
tête	κεφαλής
tête	κεφαλή
tête	κεφάλι
tête	κορώνα
tête	κεφαλές
tête	κεφάλια
tête	κορόνα
territoire	έδαφος
territoire	επικράτεια
union	ένωση
union	ενωση
union	γιούνιον
union	συνδικάτο
union	σωματείο
construction	ναυπήγηση
construction	κατασκευές
construction	κατασκευή
ancienne	αρχαίος
ancienne	αρχαίο
ancienne	αρχαία
ancienne	παλαιά
ancienne	παλιό
ancienne	παλαιό
ancienne	παλιά
ancienne	γέρος
ancienne	πρώην
ancienne	πρωην
premiers	πρώτο
premiers	πρώτον
premiers	πρώτη
premiers	πρώτα
premiers	πρώτος
prend	πάρτε
prend	λήψη
prend	πάρε
prend	παίρνει
maire	maire
maire	δήμαρχος
présente	δώρα
présente	παρών
présente	δώρο
présente	παρόντες
présente	παρούσα
présente	παρόν
personnalité	προσωπικότητα
ligue	league
ligue	πρωτάθλημα
ligue	λιγκ
public	δημόσιες
public	δημόσια
public	δημόσιος
pages	σελίδες
pages	σελίδα
pages	page
pages	σελιδα
externe	εξωτερική
externe	εξωτερικά
externe	εξωτερικό
externe	εξωτερικός
simple	απλός
simple	απλή
simple	απλό
simple	singles
simple	μονά
dernière	τελευταίο
dernière	τελευταίοι
dernière	τελευταίος
dernière	τελευταια
dernière	τελευταία
henri	ερρίκος
henri	χένρυ
henri	χένρι
henri	ανρί
henri	henri
chanson	τραγούδια
chanson	τραγουδι
chanson	τραγούδι
chanson	σονγκ
poste	post
poste	δημοσίευση
poste	ποστ
culture	κουλτούρα
culture	πολιτισμού
culture	πολιτισμός
culture	καλλιέργεια
grâce	γκρέις
développement	εξέλιξη
développement	ανάπτυξη
développement	αναπτυξη
sortie	έξοδος
sortie	εκδρομή
sortie	έξοδος
sortie	έξοδο
sortie	έξω
sortie	out
sortie	εξω
empire	αυτοκρατορία
empire	empire
empire	εμπάιρ
québec	κεμπέκ
david	ντέιβιντ
david	david
david	νταβίντ
david	δαβίδ
loi	νόμο
loi	δίκαιο
loi	νόμος
loi	πράξη
loi	act
équipes	ομαδες
équipes	ομάδες
côté	πλευρα
côté	πλευρά
côté	side
mer	θάλασσα
mer	θαλασσα
haute	high
haute	ψηλά
haute	υψηλή
haute	υψηλός
haute	υψηλό
haute	haute
vue	θεα
vue	θέα
vue	όψη
vue	προβολή
vue	view
espagne	ισπανία
mère	μαμά
mère	μητέρα
mère	μάνα
fichier	φάκελος
fichier	file
fichier	αρχείο
nombreuses	πολλά
nombreuses	πολλοι
nombreuses	πολλοί
nombreuses	πολλές
nombreuses	πολλα
nombreuses	πολυάριθμες
nombreuses	πολυάριθμα
acteur	ηθοποιός
parcours	οδός
parcours	διαδρομή
parcours	δρομολόγιο
parcours	ταξιδι
parcours	ταξίδι
recherche	αναζητήστε
recherche	αναζήτηση
recherche	έρευνα
recherche	ερευνα
recherche	έρευνες
classement	ιεράρχηση
classement	κατάταξη
classement	ταξινόμηση
classement	κατάταξη
code	κώδικα
code	κωδικός
code	κώδικας
