ラオス	laos
売春	prostitusyon
ドリル	drill
話し合い	talakayan
スターリング	sterling
スターリング	stirling
ヘルシンキ	helsinki
アーノルド	arnold
ハノーファー	hanover
ハノーファー	hannover
製造業	paggawa
製造業	paggawa
製造業	manufacturing
製造業	pagmamanupaktura
宣告	pangungusap
鴨川	kamogawa
マフィア	mafia
ルビ	ruby
山根	yamane
金髪	blonde
金髪	blond
小野田	onoda
ヴィオラ	viola
胞子	spores
胞子	spore
開花	halamang
ジュール	jules
ジュール	joules
ジュール	joule
賀茂	kamo
ナミ	nami
アンカー	anchor
アンカー	anchor
ネバダ	nevada
溶接	welding
溶接	hinang
ビクトリア	victoria
給付	makinabang
給付	benepisyo
環礁	karang
手動	manual
マキシ	maxi
パルス	pulso
パルス	tibok
レオナルド	leonardo
許諾	pahintulot
許諾	pahintulot
許諾	permiso
まゆ	kilay
カオス	nagkagulo
カオス	kaguluhan
マネージメント	management
マネージメント	pamamahala
マネージメント	tagapamahala
ハングル	hangul
抹消	pagkansela
セクシー	sexy
発光	kumikinang
ちび	tiny
ダウ	dow
リッチモンド	richmond
注ぐ	ibuhos
カーネル	kernel
電線	cable
スペンサー	spencer
ギルバート	gilbert
隆盛	takamori
興奮	kaguluhan
興奮	excited
モータースポーツ	motorsports
台地	plateau
パルマ	palma
パルマ	pepeng
日数	araw
機密	confidential
未遂	tinangkang
未遂	sinubukang
未遂	tinangka
未遂	sinubukan
未遂	attempt
未遂	susubukan
未遂	pagtatangka
未遂	susubukang
クライアント	kliyente
クライアント	client
クライアント	kliyente
掃除	linis
掃除	paglilinis
ウシ	baka
ソマリア	somalia
穀物	butil
パオ	pao
抜粋	sipi
スカイライン	skyline
鉱石	ore
保育園	nursery
シンポジウム	symposium
美香	mika
エドガー	edgar
湯沢	yuzawa
ローラー	roller
トラスト	magtiwala
トラスト	pinagkakatiwalaan
トラスト	tiwala
トラスト	trust
エリカ	erika
フラット	flat
フラット	patag
アニメーター	animator
カバ	hippo
カバ	hippopotamus
ジョーカー	joker
受け入れる	tanggapin
受け入れる	accept
浅川	asakawa
シェフ	chef
館山	tateyama
歯車	gear
俊夫	toshio
グレッグ	greg
パスワード	password
十勝	subprepektura
メカニック	mekaniko
申告	ipinapahayag
申告	ipahayag
申告	declare
申告	pagpapahayag
赤ちゃん	baby
赤ちゃん	sanggol
細分	subdivision
金井	kanai
スクロール	scrolling
スクロール	scroll
会う	matugunan
会う	kilalanin
会う	magkita
セクター	sektor
セクター	sector
濃い	malakas
濃い	strong
減らす	bumaba
減らす	bawasan
減らす	bawasan
ショパン	chopin
一関	ichinoseki
ネック	leeg
ストライキ	strike
ストライキ	welga
最低限	pinakamababa
最低限	pinakamaliit
最低限	minimum
最低限	pinakamababang
スクランブル	aagawan
レター	sulat
レター	liham
レター	letter
回廊	corridor
プレゼン	pagtatanghal
プレゼン	pagtatanghal
モスク	moske
モスク	mosque
ルーカス	lucas
ルーカス	lukas
プライド	pride
プライド	ipinagmamalaki
プライド	pagmamalaki
テロリスト	terorista
バーンズ	barnes
バーンズ	burns
管理人	admin
管理人	administrator
管理人	administrador
管理人	tagapangasiwa
持ち込み	carry
持ち込み	magdala
持ち込み	magdadala
持ち込み	dalhin
コスチューム	kasuutan
コスチューム	costume
コスチューム	costume
こだま	kodama
カージナルス	cardinals
美智子	michiko
波動	alon
エアバス	airbus
スペック	speck
スペック	detalye
スペック	spec
ボリス	boris
サンバ	samba
原告	plaintiff
原告	claimant
チキン	chicken
チキン	manok
インデックス	index
さおり	saori
頼朝	yoritomo
ピックアップ	pickup
ピックアップ	pagkuha
コールド	malamig
コールド	sipon
コールド	lamig
プライス	presyo
ハロルド	harold
待遇	paggamot
北極	arctic
すごい	pambihira
すごい	galing
すごい	amazing
吹雪	blizzard
ライプツィヒ	leipzig
アダムズ	adams
ジュース	katas
ジュース	juice
ルージュ	rouge
守山	moriyama
従兄弟	cousin
従兄弟	pinsan
ギルド	guild
ギルド	kapisanan
ブラザー	kuya
チューリッヒ	zurich
内線	extension
ルクス	lux
ステッカー	sticker
浅い	mababaw
カブ	turnip
カブ	cub
パウル	paul
パウル	pablo
故人	namayapa
故人	namatay
ハンドボール	handball
オークス	oaks
石狩	ishikari
エッグ	itlog
エッグ	itlog
更生	rehabilitation
スキン	balat
悦子	etsuko
まさし	masashi
パース	perth
皐月	satsuki
エマ	emma
ヌード	kahubaran
ヌード	paghuhubad
ヌード	nakahubad
ヌード	hubad
公害	polusyon
コペンハーゲン	copenhagen
りんご	mansanas
りんご	apple
りんご	mansanas
ヒカル	hikaru
インフルエンザ	trangkaso
関税	tariff
毒性	toxic
メカニズム	mekanismo
メカニズム	mekanismo
ファンタジア	fantasia
やさしい	madali
やさしい	madaling
やさしい	easy
ジャンボ	jumbo
ネギ	leek
燃える	nasusunog
芳賀	haga
体質	constitution
イヌ	aso
イヌ	dog
苦しみ	paghihirap
キノコ	mushrooms
キノコ	kabute
グラン	gran
厚い	makapal
終着駅	terminus
ヤンキー	yankee
飛躍	leap
ボア	boa
オリンピア	olympia
クラウス	klaus
義経	yoshitsune
証人	jehova
証人	testigo
証人	witness
石碑	stele
賞賛	humanga
賞賛	paghanga
賞賛	purihin
賞賛	papuri
シリアル	serial
シリアル	cereal
ウィンドウ	bintana
乱闘	brawl
聴く	pakinggan
聴く	makinig
バーバラ	barbara
遊ぶ	dula
遊ぶ	play
遊ぶ	makipaglaro
遊ぶ	maglaro
決済	pagbabayad
決済	settlement
決済	pagbabayad
決済	kabayaran
決済	bayad
サニー	maaraw
サニー	sunny
嫉妬	selos
嫉妬	inggit
嫉妬	nagseselos
嫉妬	selos
なつみ	natsumi
ディスコ	disco
相川	aikawa
ブタ	baboy
ノーマン	norman
尾翼	tail
尾翼	buntot
退却	retiro
退却	retreat
大場	oba
悪意	mapanirang
悪意	malisyosong
悪意	malisya
高村	takamura
オタク	geek
オタク	nerd
伝導	conductivity
受け取る	makatanggap
受け取る	matanggap
受け取る	tumanggap
アーロン	aaron
アンチ	anti
ベストセラー	bestseller
ピコ	pico
葉月	hazuki
タックル	harapin
ステンレス	stainless
壁画	mural
エンブレム	sagisag
エンブレム	emblem
素敵	lovely
素敵	ganda
素敵	sarap
素敵	nice
ピクセル	pixel
ピクセル	pixel
ピクセル	pixels
コントローラ	controller
たまに	paminsan
外科医	siruhano
伝送	transmission
伝送	paghahatid
木戸	kido
トロイ	troy
二条	nijō
翔子	shoko
タンカー	tanker
気体	gas
処罰	punish
処罰	kaparusahan
処罰	parusa
ロータス	lotus
キャンセル	kinansela
キャンセル	kinansela
キャンセル	pagkansela
山手	yamate
ウィキ	wiki
リスボン	lisboa
剥奪	binawian
掘削	paghuhukay
掘削	paghuhukay
ボリビア	bolivian
ボリビア	bolivia
幼虫	larvae
悪夢	bangungot
悪夢	nightmare
桜田	sakurada
標準化	standardization
チェルシー	chelsea
ナンシー	nancy
カタール	qatar
解読	decipher
草野	kusano
ゲイリー	gary
やまと	yamato
タンゴ	tango
濡れ	basa
ロンド	rondo
台北市	taipei
諮問	pagsangguni
諮問	konsultasyon
火事	fire
火事	sunog
火事	apoy
慎太郎	shintaro
正夫	masao
ジュリエット	juliet
マクラーレン	mclaren
オアシス	oasis
赤道	ekwador
クウェート	kuwait
疲労	nakakapagod
疲労	nakakapagod
平壌	pyongyang
国々	bansang
ディー	dee
タコ	pugita
タコ	octopus
内訳	pagkakahati
ジャイアント	giant
ジャイアント	higante
バディ	pare
バディ	buddy
出願	aplikasyon
ウォーレン	warren
銃弾	bala
ピストン	piston
派手	marangya
雅美	masami
グラミー	grammy
海部	kaifu
抗体	antibody
トモ	tomo
風船	lobo
おばさん	auntie
おばさん	tita
リターン	bumalik
リターン	pagbabalik
ユーラシア	eurasian
安定性	katatagan
コメディアン	komedyante
フェリックス	felix
副官	adjutant
エレクトロニクス	elektronika
エレクトロニクス	electronics
パトロール	patrol
クレーター	crater
キャピタル	capital
キャピタル	kabisera
キャピタル	kapital
チャット	chat
高句麗	goguryeo
糖尿病	diabetes
ディズニーランド	disneyland
エルフ	elf
バーガー	burger
カリウム	potassium
サバイバル	matira
シックス	anim
蛍光	fluorescent
ともだち	tomodachi
可愛い	cute
可愛い	pretty
スピリット	diwa
相良	sagara
グアム	guam
民兵	militia
側室	concubine
ルター	luther
共鳴	resonance
ジュリアン	julian
受領	resibo
チャーチル	churchill
鮎川	ayukawa
まゆみ	mayumi
湯川	yukawa
及川	oikawa
シャム	siamese
モモ	momo
モモ	peach
コンボ	combo
デンバー	denver
感度	sensitivity
正午	tanghali
正午	noon
ハント	hunt
ハント	mangkukulam
欠席	absent
欠席	kawalan
口座	account
説教	sermon
フルーツ	prutas
フルーツ	bunga
フルーツ	fruits
フルーツ	prutas
カウンティ	county
カウンティ	kondado
カウンティ	counties
チャネル	channels
チャネル	channel
チャネル	channel
淳子	junko
尾根	ridge
知子	tomoko
ウェスタン	kanluranin
ウェスタン	western
スキャン	scanning
スキャン	scan
敬意	respect
敬意	respeto
敬意	paggalang
オリエンタル	oriental
鋭い	matalim
鋭い	pagkagising
お茶	tsaa
お茶	tsa
クローズ	close
クローズ	malapit
クローズ	isara
ワープ	warp
正一	shoichi
ダイナマイト	dinamita
コリンズ	collins
飲む	inuman
飲む	inom
飲む	inumin
飲む	uminom
オークション	subasta
オークション	auction
ポータブル	portable
モンロー	monroe
トラップ	trap
同値	equivalence
ローテーション	rotation
ローテーション	ikot
プリズム	prism
フェアリー	fairy
ポット	pot
ポット	palayok
マッカーサー	macarthur
ハチ	putakti
ハチ	bubuyog
ハチ	bees
ミッチェル	mitchell
カルト	kargo
カルト	kulto
消える	nawawalang
消える	mawala
消える	nawawala
テンション	tension
テンション	igting
個別に	magkakahiwalay
ジャスト	lng
ジャスト	nalang
ジャスト	basta
フォーカス	focus
フォーカス	tuon
ナムコ	namco
分化	pagkita
ウエスタン	kanluranin
ウエスタン	western
ラトビア	latbiya
ラトビア	leton
酢酸	acetate
スタンプ	stamp
スタンプ	sticker
スタンス	tindig
激戦	lupit
激戦	matindi
おいしい	masarap
停滞	galaw
臼井	usui
スリップ	slip
照射	lantad
照射	exposure
クルーザー	cruiser
ハンドブック	handbook
江藤	eto
アーカンソー	arkansas
パッド	pad
マナー	asal
太陽光	sunlight
烏丸	karasuma
バットマン	batman
裁定	namumuno
タイル	tiles
螺旋	helix
ホフマン	hoffmann
ホフマン	hoffman
レジスタ	register
ピュア	purong
ピュア	pure
ピュア	dalisay
蒸留	distilled
フレイ	frey
フレイ	awayan
ミッドフィールダー	tagabantay
墨田	sumida
ブーツ	boot
ブーツ	bota
ブーツ	boots
出版物	publikasyon
出版物	publication
ヒューズ	hughes
問い合わせ	katanungan
問い合わせ	query
問い合わせ	katanungan
連帯	pagkakaisa
ポーター	porter
帰宅	tahanan
帰宅	bahay
帰宅	makauwi
メイキング	ginagawang
エフェクト	effects
エフェクト	epekto
エフェクト	effect
エフェクト	epekto
デス	kamatayan
バター	butter
バター	mantikilya
塩谷	shioya
教職員	faculty
結核	tuberculosis
ヨルダン	jordan
恵那	ena
コバルト	cobalt
ソフトボール	softball
起業	entrepreneur
起業	negosyante
起業	pagnenegosyo
未完	unfinished
コブラ	cobra
シスター	sister
シスター	ate
グリル	ihaw
脂肪	taba
脂肪	mataba
アーネスト	ernest
眠る	matulog
眠る	tulog
眠る	sleep
天台宗	tendai
成美	narumi
アスレチック	athletic
彼氏	bf
彼氏	boyfriend
エミー	amy
左近	sakon
勧誘	nakikipagtalik
手数料	commission
手数料	komisyon
手数料	fee
手数料	bayad
手数料	bayad
バドミントン	badminton
ザック	zac
陶器	palayok
スクリプト	script
トライアングル	tatsulok
溶岩	lava
フィニッシュ	tapusin
異端	erehiya
高見	takami
真似	gumagaya
真似	gayahin
フン	hun
ハス	lotus
メグ	meg
ボールド	bold
トッド	todd
入浴	maligo
入浴	paliligo
入浴	paliguan
入浴	naliligo
須磨	suma
ハング	hung
ハング	hang
流体	likido
流体	fluid
ジュネーヴ	geneva
ハーバート	herbert
お菓子	sweets
秀行	hideyuki
未完成	unfinished
圭介	keisuke
オシ	osh
犬山	inuyama
ブレーメン	bremen
宮澤	miyazawa
チューブ	tube
林業	forestry
祐介	yusuke
シグナル	senyas
シグナル	signal
シグナル	hudyat
オリーブ	olive
オリーブ	oliba
面接	interview
面接	panayam
面接	pakikipanayam
ダイエット	pagdidiyeta
ダイエット	diyeta
ダイエット	diet
ダブリン	dublin
信念	pananampalataya
信念	paniniwala
信念	paniniwala
スチュアート	stuart
ワイヤー	wire
ワイヤー	kawad
アルブレヒト	albrecht
バレル	barrel
サンティアゴ	santiago
雅人	masato
一樹	kazuki
いろは	iroha
ブルターニュ	brittany
審判員	referee
さゆり	sayuri
米倉	yonekura
スレッド	usapan
スレッド	uusap
スレッド	sinulid
スレッド	thread
正和	shōwa
ドラキュラ	dracula
ルネ	rené
ルネ	rene
桟橋	pantalan
桟橋	pier
桟橋	daungan
亜鉛	sink
グラハム	graham
正博	masahiro
デューク	duke
語彙	talasalitaan
コーディネーター	coordinator
ソナー	sonar
大滝	otaki
充電	singil
充電	charge
グラブ	grab
グラブ	sunggaban
バーミンガム	birmingham
マイヤー	meyer
リリー	lily
大工	carpenter
大工	karpintero
隠岐	oki
チャイ	chai
ワクチン	bakuna
ワクチン	vaccine
ワクチン	bakuna
監獄	bilangguan
デラウェア	delaware
売る	ibenta
売る	magbenta
売る	nagbebenta
破片	gumuhong
夜叉	yasha
桃園	taoyuan
ペーター	pedro
ペーター	peter
買い物	pamimili
買い物	namimili
買い物	shopping
既婚	kasal
既婚	ikinasal
既婚	pinakasalan
陽性	positive
陽性	positibong
陽性	positibo
チョーク	chalk
四十	apatnapu
エコー	echo
スイング	swing
コミュニティー	pamayanan
コミュニティー	komunidad
施策	patakaran
カリスマ	charismatic
吹く	blows
ドキドキ	exciting
ドキドキ	nakapupukaw
驚き	surprise
驚き	pagkagulat
驚き	sorpresa
ジェフリー	jeffrey
廃墟	makawala
深度	lalim
配当	pamamahagi
故意	sinasadyang
ニコ	nico
クロム	chrome
生き方	pamumuhay
預言	hula
掲示	bulletin
パスポート	pasaporte
パスポート	passport
カロリー	calorie
消化	panunaw
ヘビ	ahas
ヘビ	snakes
膨張	expansion
バッジ	badge
バッジ	badge
残酷	malupit
ペナルティ	parusa
フェンス	bakod
浪速	naniwa
船員	mandaragat
フォレスト	kagubatan
フォレスト	gubat
見習い	trainee
黙示録	apocalypse
枢機卿	cardinal
枢機卿	kardinal
メソッド	paraan
メソッド	pamamaraan
スチュワート	stewart
スランプ	slump
スギ	cedar
賭博	sugal
賭博	pagsusugal
コップ	tasa
コップ	kopa
からくり	karakuri
視界	nakikita
反響	echo
川本	kawamoto
プラットホーム	platform
プラットホーム	plataporma
カルチョ	calcio
スーザン	susan
ハイチ	hayti
ハイチ	haiti
ハイチ	haitian
杉原	sugihara
洗浄	paghuhugas
洗浄	linis
洗浄	paglilinis
不祥事	scandal
不祥事	iskandalo
不祥事	scandals
チエ	chie
委任	delegasyon
委任	kautusan
祭壇	dambana
シエラ	sierra
新一	shinichi
帰化	naturalisasyon
手当	baon
ボローニャ	bologna
ヤギ	kambing
ワークショップ	workshop
ワーグナー	wagner
金庫	ligtas
金庫	safe
臨済宗	rinzai
慎吾	shingo
被告人	inakusahan
被告人	defendant
バトン	baton
睡眠	matulog
睡眠	tulog
睡眠	sleep
モノクロ	monochrome
洗濯	paghuhugas
洗濯	laba
ツル	crane
リヒャルト	richard
吉沢	yoshizawa
裏側	likod
裏側	bumalik
裏側	balikan
裏側	balik
レズビアン	tomboy
レズビアン	lesbian
レズビアン	lesbians
芸者	geisha
チャップリン	chaplin
祝福	pagpapala
祝福	blessings
祝福	biyaya
祝福	pinagpala
祝福	mapalad
祝福	blessed
林檎	apple
林檎	mansanas
星空	starry
ケット	ket
ロナルド	ronald
ランニング	takbo
ランニング	pagtakbo
ランニング	tumatakbo
高尾	takao
古谷	furuya
届出	notification
届出	abiso
レスキュー	pagsagip
レスキュー	pagligtas
レスキュー	rescue
土居	doi
委嘱	delegasyon
委嘱	commission
委嘱	komisyon
アンドレア	andrea
パンダ	panda
冗談	joke
お気に入り	favourite
お気に入り	paborito
お気に入り	favorite
お気に入り	paborito
ロッカー	rakista
ロッカー	locker
トゥルー	totoo
トゥルー	true
ヨット	yate
シェーン	shane
ダイナミック	dynamic
勝浦	katsuura
陶芸	palayok
安西	anzai
エリオット	elliott
エリオット	elliot
まみ	mami
フットサル	futsal
消去	burahin
ストライカー	striker
真木	maki
ハンプシャー	hampshire
テント	tolda
テント	tent
リソース	mapagkukunan
リソース	resource
リソース	mapagkukunan
リソース	yaman
リソース	kayamanan
セリ	seri
崇拝	pagsamba
ワトソン	watson
値段	presyo
藤森	fujimori
快適	komportable
快適	kumportable
足跡	footprints
ロベール	robert
バスケ	basketbol
バスケ	basketball
ケロロ	keroro
房総	boso
ヴァージン	virgin
ヴァージン	birhen
石黒	ishiguro
松野	matsuno
和音	kuwerdas
帝政	imperyo
帝政	monggol
動揺	naiinis
タブレット	tablet
神学校	seminary
阿弥陀如来	amitabha
人魚	sirena
人魚	mermaid
ジュエル	jewel
サンチェス	sanchez
サンチェス	sánchez
文字通り	literal
目的地	pupuntahan
目的地	destinasyon
目的地	patutunguhan
マルチメディア	multimedia
オーラ	aura
五条	gojo
ディープ	malalim
ディープ	deep
マリアナ	mariana
アマゾン	amazon
義雄	yoshio
年数	taon
サイコロ	dice
気仙沼	kesennuma
コロナ	corona
切符	tiket
切符	ticket
切符	tiket
ちひろ	chihiro
氷川	hikawa
教義	dogma
教義	creed
教義	doktrina
教義	doctrine
オメガ	omega
ホッケー	hockey
マダガスカル	madagascar
事績	achievements
事績	nagawa
事績	nakamit
事績	achievement
キタ	kita
上告	apila
上告	umapela
上告	apela
カートリッジ	cartridges
カートリッジ	cartridge
トレイル	trail
臓器	organo
臓器	organs
臓器	organo
臓器	organ
コロンボ	colombo
水銀	mercury
ニース	ganda
ニース	sarap
ニース	nice
ホモ	homo
ユニーク	natatanging
ユニーク	kakaibang
ユニーク	unique
ユニーク	natatangi
音節	pantig
音節	syllables
縁起	engi
今野	konno
シダ	pako
シダ	fern
炎症	pamamaga
ダンカン	duncan
カッパ	kappa
長江	yangtze
摩擦	kiskisan
ドーン	dawn
ドーン	liwayway
芝生	lawn
芝生	damuhan
久々	hala
エヴァンゲリオン	evangelion
実効	bisa
実効	epektibo
実効	epektibong
実効	effective
実効	mabisa
セナ	sena
アルマ	alma
ルナ	luna
オリオン	orion
謙信	kenshin
ルーシー	lucy
ウィリー	willy
ステータス	status
ステータス	katayuan
アロン	aaron
アロン	aron
四川省	sichuan
柔軟	flexibility
イングリッシュ	tagalog
イングリッシュ	ingles
浮気	pagtataksil
浮気	affair
みのり	minori
マッサージ	masahe
マッサージ	massage
劣化	pagkasira
工具	kasangkapan
上海市	shanghai
クイック	mabilisan
クイック	dali
リニア	guhit
リニア	diretso
ラーマ	lama
ラーマ	rama
卓也	takuya
サカ	saka
接着	adhesion
サンプリング	sample
サンプリング	halimbawa
サンプリング	sampling
必死	desperado
必死	desperate
失効	natapos
失効	pagtatapos
ねずみ	mouse
ねずみ	daga
経典	sutras
経典	sutra
オセアニア	oceania
書体	typeface
大気圏	kapaligiran
きらら	kirara
チェン	cheng
隠す	itago
グラフィックス	graphics
マニ	mani
カモ	bibi
ビーズ	rosaryo
ビーズ	kuwintas
責め	blame
責め	sisihin
責め	sinisisi
スナック	meryenda
スナック	snack
スナック	meryenda
グリップ	pagkakahawak
ペダル	padyak
アレクサンドロス	alejandro
アレクサンドロス	alexander
ビザ	visa
紀子	noriko
土田	tsuchida
矢吹	yabuki
トレス	tres
スタック	stack
ヴァルター	walther
ヴァルター	walter
悪性	nakamamatay
満期	kapanahunan
隙間	gaps
ギャンブル	sugal
ギャンブル	pagsusugal
屋号	yago
握手	pakikipagkamay
オリバー	oliver
庇護	pagkalinga
ハリソン	harrison
風力	gale
強姦	panggagahasa
センチュリー	siglo
センチュリー	century
リカルド	ricardo
スルタン	sultan
我孫子	abiko
バッグ	supot
バッグ	bag
バッグ	bag
画質	kalidad
画質	quality
飽和	lunod
シャア	sha
福音書	ebanghelyo
侮辱	lait
さとみ	satomi
ロブ	rob
ダーウィン	darwin
乗馬	nakasakay
粘土	clay
幸一	koichi
大杉	osugi
占有	pagkontrol
モナ	mona
追及	hinahabol
信雄	nobuo
肝臓	atay
アンゴラ	angola
味噌	miso
ノック	kumatok
ノック	knock
ノック	kalinangang
ジェシカ	jess
ジェシカ	jessica
克己	katsumi
尊氏	takauji
真ん中	gitnang
真ん中	gitna
ペイント	paint
ペイント	pintura
ピーチ	peach
滑らか	makinis
ハイランド	highland
クッパ	bowser
完備	complete
完備	kumpletuhin
完備	kompleto
完備	kumpleto
白血病	leukemia
アングル	anggulo
アングル	angulo
アングル	angles
冷たい	malamig
冷たい	sipon
冷たい	lamig
ホノルル	honolulu
ハンプトン	hampton
ラウンジ	pahingahan
高杉	takasugi
ディーラー	dealer
除隊	puke
ナイス	ganda
ナイス	sarap
ナイス	nice
ケヴィン	kevin
信条	creed
入札	tawad
入札	bid
入札	bidding
台帳	ledger
良平	ryohei
エディンバラ	edinburgh
中性子	neutron
パノラマ	panorama
クルト	kurt
反復	uulit
反復	paguulit
ネイティブ	katutubo
ネイティブ	katutubong
祐子	yuko
修道士	friar
修道士	friars
ヴィレッジ	nayon
ロジャース	rogers
バレンタイン	valentine
パチ	pati
ボルドー	burdeos
ヴァンパイア	bampira
ヴァンパイア	vampire
受け取り	natanggap
風刺	panunuya
仲裁	arbitration
顕微鏡	mikroskopyo
検察官	prosecutor
ボトル	bote
神風	kamikaze
クォーター	quarter
グリッド	grid
リチウム	lityo
わがまま	makasarili
ラバー	goma
便所	banyo
インタラクティブ	interactive
セール	sale
セール	ibinibenta
アグネス	agnes
フェルナンデス	fernández
フェルナンデス	fernandez
フェルナンデス	fernandes
用紙	papel
パラオ	palau
ミナ	mina
快楽	tuwa
快楽	kasiyahan
ヒール	gumagaling
ヒール	heal
ヒール	gumaling
ヒール	pagalingin
ヒール	sakong
しみ	mantsa
きれい	malinis
気球	lobo
百合子	yuriko
イケメン	pogi
イケメン	gwapo
ディラン	dylan
リンパ	sistemang
リンパ	lymph
メンフィス	memphis
須賀	suga
永山	nagayama
フィルタ	filter
フィルタ	salain
フィルタ	panala
ヴォルフガング	wolfgang
チコ	chico
蒸発	evaporation
ココ	coco
