சுந்தரி	sundari
காஸ்ட்ரோ	castros
காஸ்ட்ரோ	castro
பருந்து	drake
உறவுகளை	relationer
உறவுகளை	förhållanden
கட்டளைகள்	kommandon
ஜன	jan
ஜன	jana
காஜா	gajah
உரித்தான	förtjänade
உரித்தான	välförtjänt
மேம்படுத்தவும்	uppgradera
மேம்படுத்தவும்	uppgradering
கசிவு	läcka
கசிவு	läckage
மகரிஷி	maharishi
பிளாஸ்மா	plasma
முதலாளி	chef
முதலாளி	chefen
முதலாளி	bossen
முதலாளி	boss
வடிவமைப்புகள்	format
லாபம்	vinst
ஆடைகளை	kläder
பட்டாம்பூச்சி	fjäril
ஆடுகள்	getter
நாட்களை	dagarna
நாட்களை	dagar
நாட்களை	days
சிம்லா	shimla
சிம்லா	simla
நியாயம்	justice
நியாயம்	rättvisa
நியாயம்	rättskipning
நியாயம்	mässa
நியாயம்	rättvist
நியாயம்	rättvis
இடவியல்	topologi
பிறப்பிடம்	infödda
பிறப்பிடம்	inhemska
குளுக்கோஸ்	glukos
குளுக்கோஸ்	druvsocker
முனி	muni
எரிக்சன்	ericsson
காதில்	viska
காதில்	viskar
காதில்	öra
காதில்	öron
நகர்த்த	flyttade
நகர்த்த	flyttat
நகர்த்த	rörd
நகர்த்த	flyttad
ஹாங்	hong
சிறப்பை	excellens
மறுமொழி	svar
மறுமொழி	svara
பெட்ரோலிய	petroleum
தேசாய்	desai
அன்பே	kära
அன்பே	älskling
பிரதிநிதித்துவம்	representera
பிரதிநிதித்துவம்	företräda
பிரதிநிதித்துவம்	representerar
சிமெண்ட்	cement
ஷங்கர்	shankar
போய்விட்டது	borta
போய்விட்டது	åkt
போய்விட்டது	gått
மின்சுற்று	kretsar
மின்சுற்று	krets
நாகா	naga
கலப்பை	plöja
உடைமை	fastighet
உடைமை	egenskap
உடைமை	fastigheter
உடைமை	egendom
பில்போர்ட்	skylt
பயணித்த	reste
பயணித்த	rest
மாடி	våningen
மாடி	våning
மாடி	golv
மாடி	golvet
கர்னல்	översten
கர்னல்	överste
புதுமையான	nyskapande
புதுமையான	innovativ
புதுமையான	innovativa
புதுமையான	innovativt
ஷான்	shan
கன்னித்	oskuld
கன்னித்	virgin
கன்னித்	jungfru
வந்தேன்	kom
வௌவால்	fladdermus
வௌவால்	bat
பல்லி	ödlor
பல்லி	ödlan
பல்லி	ödla
டயர்	däck
மோட்டார்ஸ்	motorer
மோட்டார்ஸ்	motors
நைக்	nike
ஆங்	ang
ஆங்	ong
ஆங்	aung
கிணறுகள்	brunnar
கிணறுகள்	wells
கதவுகள்	dörrarna
கதவுகள்	dörrar
வாசகர்கள்	läsare
கலிலியோ	galileo
அப்பாஸ்	abbas
ரசிகர்	fläkt
ரசிகர்	beundrare
ரசிகர்	fan
விரல்கள்	fingrar
விரல்கள்	fingrarna
கனவுகள்	drömmar
கனவுகள்	dreams
பிரையன்	brian
பிரையன்	bryan
பாலஸ்தீன	palestinska
பாலஸ்தீன	palestinsk
பாலஸ்தீன	palestinier
கப்பம்	utpressning
கப்பம்	luffare
ஜார்க்கண்ட்	jharkhand
காணவில்லை	saknar
காணவில்லை	saknas
காணவில்லை	saknade
காணவில்லை	saknad
காணவில்லை	försvunnen
இனிமேல்	längre
பிச்சை	tigga
பிச்சை	tigger
பிச்சை	tigga
பிச்சை	böna
ஜோஸ்	jose
ஜோஸ்	joes
ஜோஸ்	jos
ஜோஸ்	josé
ஜோஸ்	joss
நேரான	straight
நேரான	rakt
நேரான	rak
நேரான	raka
நேரான	linjär
நேரான	linjära
நேரான	linjärt
உயிரோடு	levande
உயிரோடு	alive
பிலிப்பைன்	filippinska
ராஷ்டிரிய	rashtriya
பிரார்த்தனை	ber
பிரார்த்தனை	be
பிரார்த்தனை	bedja
பிரார்த்தனை	ber
பிரார்த்தனை	böner
பிரார்த்தனை	bön
பொருத்தி	monterad
பொருத்தி	monterat
பொருத்தி	monterade
தொழிலாளி	arbetare
தொழிலாளி	arbetstagare
அகர்வால்	agarwal
ஆன்ம	andliga
ஆன்ம	själslig
ஆன்ம	andlig
ஆன்ம	andligt
மஹால்	mahal
யுத்த	battle
யுத்த	slaget
யுத்த	kamp
யுத்த	strid
விலா	vila
விலா	revben
விலா	revbenen
கனமான	heavy
கனமான	tungt
கனமான	tung
கனமான	tunga
வியாழக்கிழமை	torsdag
நெகிரி	negeri
எரிசக்தி	drivmedel
எரிசக்தி	bränsle
எரிசக்தி	kalorier
எரிசக்தி	energi
எரிசக்தி	energy
பிரித்தல்	separering
பிரித்தல்	separation
புத்தி	smarta
புத்தி	smart
டாட்	tot
டாட்	punkt
டாட்	pricken
டாட்	prick
டாட்	dot
ஹன்னா	hannah
ஹன்னா	hanna
ஹன்னா	hanna
மடியில்	varv
தட்டில்	registreringsskylt
தட்டில்	plåt
தட்டில்	tallrik
சலுகைகள்	erbjuder
சலுகைகள்	erbjudanden
ஹாக்கி	ishockey
ஹாக்கி	hockey
ஹசன்	hassan
ஹசன்	hasan
நைஜீரியா	nigeria
திசைமாற்றி	styrning
வரைதல்	dra
வரைதல்	draw
வரைதல்	dragning
வரைதல்	rita
வரைதல்	dragning
வரைதல்	teckning
வரைதல்	ritning
வரைதல்	rita
வரைதல்	ritar
கொண்டாட்டங்கள்	firande
கொண்டாட்டங்கள்	högtider
கொண்டாட்டங்கள்	festligheter
கொண்டாட்டங்கள்	firandet
உருண்டை	klot
உருண்டை	köttbullar
காமன்வெல்த்	samväldet
அணுகும்	åtkomst
அணுகும்	tillgång
அணுகும்	tillträde
ஃபீஸ்டா	fiesta
மதிப்பெண்கள்	score
மதிப்பெண்கள்	poäng
மதிப்பெண்கள்	poäng
அவதூறு	förtal
அவதூறு	svordomar
அவதூறு	förtal
அவதூறு	irriterade
அவதூறு	irriterad
அதிகாரிகளின்	officerare
யமுனா	yamuna
மொழிபெயர்ப்புகள்	översättningar
முதலீடுகள்	placeringar
முதலீடுகள்	investeringar
சுடுதல்	skytt
யூதா	juda
யூதா	judah
முன்னோர்கள்	förfäder
மனிதனுக்கு	mannen
மனிதனுக்கு	människan
மனிதனுக்கு	man
பதில்கள்	reaktioner
பதில்கள்	svar
பதில்கள்	svaren
பதில்கள்	svar
பதில்கள்	svaren
பதில்கள்	svar
பதில்கள்	svarar
வெனிஸ்	venedig
தொல்லை	besvär
தொல்லை	problem
தொல்லை	trubbel
தொல்லை	olägenheter
தொல்லை	olägenhet
தலைகள்	krona
தலைகள்	huvuden
கண்காணிப்பாளர்	watcher
அஹ்மத்	ahmed
அஹ்மத்	ahmed
அஹ்மத்	ahmad
அரிசோனா	arizona
ஜூல்	joule
கூட்டத்தை	publiken
கூட்டத்தை	publik
கூட்டத்தை	folkmassa
கறி	fårkött
கறி	curry
ஈராக்கிய	irakier
ஈராக்கிய	irakiska
ஈராக்கிய	irakisk
ஜெஃப்	jeff
வர்ஜீனியா	virginia
மந்திரங்கள்	ramsor
படேல்	patel
சுழி	noll
சுழி	zero
சுழி	nolla
உணர்ச்சிகள்	reaktioner
போர்டு	bräda
போர்டு	brädet
போர்டு	styrelse
போர்டு	board
போர்டு	styrelsen
இருப்பை	närvaro
இருப்பை	förekomst
மாடலிங்	modellering
சல்மான்	salman
பித்தளை	brass
பித்தளை	mässing
ஹைதர்	haider
பிடிப்பு	fånga
நகைகள்	ädelstenar
நகைகள்	juveler
நகைகள்	smycken
நகைகள்	smycke
நகைகள்	smycken
நகைகள்	smycke
நாற்கரம்	fyrhörning
பெப்	pep
டச்	touch
டச்	beröring
டச்	vidrör
டச்	vidröra
டச்	rör
டச்	holländsk
டச்	holländare
டச்	holländska
டச்	nederländska
பெரும	galaktiska
நெல்லி	nelly
வளைத்து	böj
வளைத்து	böja
கோரிக்கைகள்	begäran
கோரிக்கைகள்	önskemål
கோரிக்கைகள்	förfrågningar
இடி	åska
இடி	dunder
இடி	thunder
மிசிசிப்பி	mississippi
தியாகி	martyr
யாரையும்	någon
ஆல்கஹால்	alkohol
ரன்கள்	körs
ரொட்டி	bröd
கும்பல்	gäng
கும்பல்	gänget
கும்பல்	gang
கொசு	mygga
பெரியவர்கள்	vuxna
புளோரின்	fluor
டியான்	dion
மிலன்	milan
மிலன்	milano
திருப்பம்	twist
திருப்பம்	vrida
உருளைக்கிழங்கு	potatis
உருளைக்கிழங்கு	potatis
உருளைக்கிழங்கு	potato
தெரிந்தது	kända
தெரிந்தது	känd
தெரிந்தது	känt
விழுந்தது	föll
விழுந்தது	trillade
விழுந்தது	ramlade
சொர்க்கம்	himmel
சொர்க்கம்	heaven
சொர்க்கம்	himlen
சொர்க்கம்	himmelriket
சொர்க்கம்	himmelen
சொர்க்கம்	paradiset
சொர்க்கம்	paradis
சொர்க்கம்	paradise
வேடிக்கை	roliga
வேடிக்கை	kul
வேடிக்கை	rolig
வேடிக்கை	skoj
வேடிக்கை	roligt
வேடிக்கை	roligt
வேடிக்கை	kul
வேடிக்கை	rolig
வேடிக்கை	lustigt
எதிர்பார்த்த	förväntade
எதிர்பார்த்த	förväntat
எதிர்பார்த்த	förväntas
எதிர்பார்த்த	förväntad
எதிர்பார்த்த	väntas
வடிகட்டி	filter
வடிகட்டி	filtrera
வடிகட்டி	filtret
நுட்பங்களை	tekniker
நுட்பங்களை	teknik
சூத்திரங்கள்	formler
சூத்திரங்கள்	formlerna
புனல்	tratt
துவங்குகிறது	startar
துவங்குகிறது	börjar
துவங்குகிறது	startar
துவங்குகிறது	börjar
தீவிரவாதி	terrorister
தீவிரவாதி	terrorist
தீவிரவாதி	terroristen
பிளாக்பெர்ரி	blackberry
ஆதரிக்கிறது	stöttar
ஆதரிக்கிறது	stöder
ஆதரிக்கிறது	stödjer
தந்தைக்கு	far
தந்தைக்கு	fader
தந்தைக்கு	fadern
தந்தைக்கு	pappa
மதியம்	middagstid
மதியம்	noon
மதியம்	eftermiddagen
மதியம்	eftermiddag
இம்மானுவேல்	immanuel
இம்மானுவேல்	emmanuel
தஞ்சோங்	tanjung
லோபஸ்	lópez
லோபஸ்	lópez
லோபஸ்	lopez
ஹாலே	halle
பழங்குடியின	aboriginal
வலைப்பூ	blog
வலைப்பூ	bloggen
வலைப்பூ	blogg
பெங்காலி	bengaliska
அத்தி	fikon
காற்றியக்கவியல்	aerodynamik
படகில்	färja
சுரங்கங்கள்	tunnlar
சுரங்கங்கள்	tunnlarna
அழுத்தி	kompressor
பழுது	reparation
பழுது	reparationer
பழுது	reparation
பழுது	reparera
பழுது	reparationer
பழுது	lagning
அறுகோண	hexagonala
ஊஞ்சல்	sving
ஊஞ்சல்	gunga
ஊஞ்சல்	svinga
ஊஞ்சல்	swing
பைபிள்	bibel
பைபிள்	bibeln
அடியார்கள்	tjänare
ஹம்	hum
தோற்றங்கள்	avbildningar
தோற்றங்கள்	bilder
புன்னகை	smile
புன்னகை	le
புன்னகை	leende
புன்னகை	ler
புன்னகை	leende
சைரஸ்	cyrus
கால்களை	legs
கால்களை	benen
கால்களை	ben
பரிமாணம்	dimensionen
பரிமாணம்	dimension
பரிமாணம்	mått
இவான்	ivan
இவான்	evan
அரபிக்	arabisk
லில்லி	lilly
லில்லி	lily
லில்லி	lilja
வார்த்தைகளை	ord
முன்பதிவு	bokar
முன்பதிவு	bokning
முன்பதிவு	reserv
முன்பதிவு	reserven
முன்பதிவு	reservera
குறிப்பிடவில்லை	specificerat
குறிப்பிடவில்லை	specificerade
குறிப்பிடவில்லை	angiven
குறிப்பிடவில்லை	specificerad
குறிப்பிடவில்லை	angivet
எடையை	tyngd
எடையை	vikt
பராமரிக்க	upprätthålla
பராமரிக்க	underhålla
பராமரிக்க	bibehålla
கியூரி	curie
கட்டமைக்கப்பட்ட	strukturerade
கட்டமைக்கப்பட்ட	strukturerat
கட்டமைக்கப்பட்ட	strukturerad
பிரெட்	brett
பிரெட்	fred
பாரா	para
திறந்தவெளி	festplats
திறந்தவெளி	nöjesfält
அவளின்	hennes
அவளின்	her
அவளின்	henne
சுறா	haj
சுறா	shark
செமிடிக்	semitiska
கொம்புகள்	hornen
கொம்புகள்	horn
அகராதிகள்	ordböcker
அகராதிகள்	lexikon
அணிய	slitage
அணிய	bära
அணிய	bär
உருகுவே	uruguay
சோப்ரா	chopra
நிபந்தனை	skick
நிபந்தனை	villkor
அச்சுப்பொறிகள்	skrivare
பின்னம்	bråkdel
பின்னம்	fraktionen
பின்னம்	fraktion
மீட்டரில்	challenger
மீட்டரில்	utmanaren
மீட்டரில்	utmanare
போராடினார்	slogs
போராடினார்	kämpat
போராடினார்	kämpade
போராடினார்	slagits
டேல்	dale
எஸ்டேட்	egendom
பாண்டு	pandu
ஓடை	bäck
ஓடை	stream
ஓடை	ström
எந்திர	bearbetning
ஊற்று	fontänen
ஊற்று	fontän
விளையாடுபவர்	player
விளையாடுபவர்	spelaren
விளையாடுபவர்	spelare
விளையாடுபவர்	spelare
விமானத்தை	planet
விமானத்தை	plan
வெங்காயம்	lökar
வெங்காயம்	lök
வெங்காயம்	lök
விசைகள்	keys
விசைகள்	nycklarna
விசைகள்	nycklar
விசைகள்	tangenter
விசைகள்	avtryckaren
விசைகள்	utlösande
விசைகள்	utlösa
விளையாடுகிறார்	leker
விளையாடுகிறார்	spelar
விளையாடுகிறார்	spela
விளையாடுகிறார்	leka
பலரை	valde
அழிப்பு	rensning
நுண்ணுயிரியல்	mikrobiologi
மஞ்சு	manchu
அன்றாடம்	dagligen
அன்றாடம்	daglig
அன்றாடம்	dagliga
அன்றாடம்	daily
சக்கரங்கள்	hjul
சக்கரங்கள்	kärra
சக்கரங்கள்	hjulen
நிவாரணம்	lindring
நிவாரணம்	lättnad
நிவாரணம்	befrielse
நிவாரணம்	lättnader
நாடா	band
நாடா	tejp
பூச்சு	gips
பூச்சு	puts
குறைந்துள்ளது	sänkning
குறைந்துள்ளது	minska
குறைந்துள்ளது	minskning
மாலிப்டினம்	molybden
தீர்ப்பை	omdöme
வைத்திருந்தது	hållit
வைத்திருந்தது	höll
வைத்திருந்தது	behöll
வைத்திருந்தது	behållit
தோ	tho
தோ	sä
தோ	toa
அங்க	anga
முகவரியை	adress
முகவரியை	address
வோல்ட்	volt
யூசுப்	yousuf
பைன்	tall
பைன்	pine
வாரன்	warren
நிறுவுதல்	montering
நிறுவுதல்	installation
நிறுவுதல்	anläggning
டவர்	tower
டவர்	torn
டவர்	tornet
தனியுரிமை	sekretess
தனியுரிமை	privatliv
தனியுரிமை	integritet
தனியுரிமை	avskildhet
அணிவகுப்பு	paraden
அணிவகுப்பு	parade
அணிவகுப்பு	parad
ஆன்டர்சன்	anderson
கேமரா	kamera
கேமரா	kameran
இறுதியான	slutliga
இறுதியான	final
இறுதியான	slutligt
இறுதியான	sista
இறுதியான	slutgiltigt
இறுதியான	slutlig
இறுதியான	ultimata
போக்குகள்	trender
போக்குகள்	tendenser
உணரப்பட்டது	insåg
சாலமன்	solomon
சாலமன்	salomo
மட்டை	fladdermus
மட்டை	bat
மங்கள	mangala
கார்ட்டூன்	tecknad
கார்ட்டூன்	tecknade
கார்ட்டூன்	tecknat
சிந்தனையாளர்	tänkare
சிகரெட்	cigarett
சிகரெட்	cigaretter
காரம்	kryddig
வேன்	van
வேன்	skåpbil
மூத்தவர்	senior
வெண்ணெய்	smör
முயற்சிக்கும்	försöker
மரியாள்	magdalena
சிங்கர்	singer
சிங்கர்	sångare
சிங்கர்	sångerska
இடையிலுள்ள	äkthet
மனோ	mano
நிழல்கள்	skuggor
கலவரங்கள்	upplopp
கலவரங்கள்	upploppen
ஆர்சனல்	arsenal
வின்ஸ்டன்	winston
குடிசை	hut
குடிசை	hydda
புதுப்பிக்கப்பட்டது	uppdaterat
புதுப்பிக்கப்பட்டது	uppdaterad
புதுப்பிக்கப்பட்டது	uppdaterade
புதுப்பிக்கப்பட்டது	uppdateras
அனிமேஷன்	animerade
அனிமேஷன்	anime
தேரை	paddan
தேரை	padda
மகேஷ்	mahesh
மூவி	film
கொள்வனவு	shopping
பேரிடர்	katastrof
பேரிடர்	katastrofen
பேரிடர்	katastrofer
எறும்புகள்	myror
எறும்புகள்	myrorna
தட்டி	tryck
உபயோகம்	användning
உபயோகம்	användbarhet
மெழுகு	vax
மெழுகு	wax
சிந்தி	sindhi
வெளிப்புறம்	utvändigt
வெளிப்புறம்	yttre
வெளிப்புறம்	utvändig
ஹாக்	hök
ஹாக்	hawk
ஹாக்	hawke
காய்ந்த	torrt
காய்ந்த	torka
காய்ந்த	torra
காய்ந்த	torr
கீற்று	streak
பயங்கரவாத	terror
பயங்கரவாத	skräck
செயற்பட	fungerande
செயற்பட	funktionella
செயற்பட	funktionell
செயற்பட	funktionellt
சொத்துரிமை	ägande
சொத்துரிமை	äganderätt
சொத்துரிமை	ägare
சொத்துரிமை	ägarskap
ஹான்ஸ்	hans
பட்டர்	smör
ராணா	rana
அனுபவத்தை	upplevelse
அனுபவத்தை	erfarenheter
அனுபவத்தை	erfarenhet
ஆசான்	handledare
ஆசான்	mentor
பாராட்டும்	uppskattning
குறைந்தளவு	konservativ
குறைந்தளவு	konservativa
குறைந்தளவு	konservativt
ரொனால்டோ	ronaldo
செய்தாலும்	oavsett
சக்திவாய்ந்த	kraftfull
சக்திவாய்ந்த	mäktiga
சக்திவாய்ந்த	mäktig
சக்திவாய்ந்த	mäktigt
திங்கட்கிழமை	måndag
தனிநபர்கள்	privatpersoner
தனிநபர்கள்	individer
ஆண்குறி	penis
டெர்ரி	terry
படைத்தவர்	skaparen
படைத்தவர்	skapare
மண்டேலா	mandela
ஹூ	hoo
கொள்கலன்	innehållet
கொள்கலன்	innehåll
கொள்கலன்	container
கொள்கலன்	behållare
இப்ராகிம்	ibrahim
அடிப்படைகள்	grundläggande
அடிப்படைகள்	grunderna
அடிப்படைகள்	basics
கூந்தல்	hair
கூந்தல்	hår
கூந்தல்	håret
மறையும்	dölj
மறையும்	dölja
மறையும்	gömma
மறையும்	göm
அருமை	fantastisk
அருமை	fantastiskt
அருமை	fantastiska
அருமை	superb
அருமை	snyggt
அருமை	trevligt
அருமை	fint
அருமை	fina
அருமை	snygg
அருமை	snygga
இயங்கியல்	operationella
இயங்கியல்	operativa
இயங்கியல்	operativ
இயங்கியல்	operativt
மகனே	sonen
மகனே	son
தலையீடு	interventioner
தலையீடு	ingripande
தலையீடு	intervention
கரிய	mörkare
குழப்பங்கள்	konflikterna
குழப்பங்கள்	konflikter
குழப்பங்கள்	konflikten
குழப்பங்கள்	konflikter
குழப்பங்கள்	konflikt
விருப்பப்படி	anpassade
விருப்பப்படி	sed
விருப்பப்படி	anpassad
விருப்பப்படி	egen
விருப்பப்படி	anpassat
உள்ளடக்கங்கள்	innehållet
உள்ளடக்கங்கள்	innehåll
உள்ளடக்கங்கள்	innehållsförteckning
இரக்கம்	medkänsla
இரக்கம்	medlidande
வானவில்	rainbow
வானவில்	regnbåge
ஓசியானியா	oceanien
கிரோன்	crohns
யாங்	yang
எட்வார்ட்	edvard
எட்வார்ட்	edward
நகை	juvel
நகை	jewel
நகை	smycken
நகை	smycke
கமிஷன்	kommissionens
கமிஷன்	kommission
கமிஷன்	provision
கமிஷன்	kommissionen
ஆலோசனைகள்	förslag
சொந்தம்	äga
சொந்தம்	eget
சொந்தம்	egen
சொந்தம்	egna
தொடும்	beröring
தொடும்	rörande
தொடும்	vidröra
பாலன்	balan
ஆரோக்கியம்	hälsa
ருத்ர	rudra
பாஸ்பரஸ்	fosfor
மாறிகள்	rörlig
மாறிகள்	variabeln
மாறிகள்	variabel
மாறிகள்	varierande
மாறிகள்	variablerna
மாறிகள்	variabler
திலகர்	tilak
நுண்ணோக்கி	mikroskop
ஐசக்	isaac
ஐசக்	isak
வாழ்வது	living
வாழ்வது	levande
வெற்றிபெற்று	vunna
வெற்றிபெற்று	won
வெற்றிபெற்று	vunnit
வெற்றிபெற்று	vann
ஓவல்	oval
ஓவல்	ovala
சலாம்	salam
மேலாளராக	chef
மேலாளராக	föreståndare
மேலாளராக	manager
சலுகை	erbjudande
சலுகை	erbjudandet
ரசாயன	kemisk
ரசாயன	kemikalie
ரசாயன	kemiskt
ஸ்வீடன்	sweden
ஸ்வீடன்	sverige
லாக்	lock
லாக்	lås
லாக்	logg
லாக்	logga
கரோலினா	carolina
பாஜக	bjp
பார்பரா	barbara
