frankfurtes	φρανκφούρτη
apturēt	σταμάτα
apturēt	αλτ
starpkaru	μεσοπολέμου
madridē	μαδρίτη
madridē	μαδρίτης
austrumi	ανατολή
austrumi	ανατολική
austrumi	ανατολικά
austrumi	ανατολικό
austrumi	ιστ
laulību	γάμο
laulību	γάμος
linecolor	linecolor
kareivis	στρατιώτης
kareivis	στρατιώτη
baptistu	βαπτιστής
nīlas	νείλου
labāku	καλύτερα
labāku	καλυτερα
labāku	καλύτερο
labāku	καλύτερη
konferenču	διασκέψεις
konferenču	συνέδρια
konferenču	διασκέψεων
buļļu	ταύρους
georgijs	γκεόργκι
kerija	κάρι
kerija	κέρι
ņēma	πήρε
telegrāfa	telegraph
telegrāfa	τηλεγραφική
veicināšana	προαγωγή
veicināšana	προώθηση
kļūda	λάθος
kļūda	σφάλμα
nora	νόρα
sur	sur
log	κούτσουρο
pagarināts	επεκταθεί
pagarināts	εκτεταμένη
pagarināts	εκτεταμένο
pagarināts	παρατάθηκε
pagarināts	παρατεταμένη
pagarināts	παρατεταμένα
gultas	κρεβάτια
gultas	κρεβάτι
gultas	κρεββάτι
mazdēls	εγγονός
mazdēls	εγγονό
grizzlies	γκρίζλις
karaļi	βασιλιάδες
karaļi	βασιλείς
karaļi	βασιλέων
karaļi	κινγκς
hamburgā	αμβούργο
olivers	όλιβερ
olivers	oliver
atnesa	έφερε
lieldienu	πάσχα
forums	forum
forums	φόρουμ
organismi	οργανισμοί
vienpadsmit	eleven
vienpadsmit	ένδεκα
vienpadsmit	έντεκα
papildina	συμπληρώνει
papildina	συμπλήρωση
papildina	συμπληρώνουν
ceļotājs	ταξιδιώτης
ceļotājs	ταξιδιώτη
ceļotājs	ταξιδιώτης
ceļotājs	ταξιδιώτη
simti	hundred
simti	εκατό
simti	εκατοντάδες
skaidro	εξηγεί
skaidro	εξηγείται
zorro	ζορό
sociālais	κοινωνικά
sociālais	κοινωνικές
sociālais	κοινωνικό
sociālais	κοινωνικη
sociālais	κοινωνική
darīts	κάνει
darīts	έγινε
darīts	εγινε
faila	φάκελος
faila	file
faila	αρχείο
minoritātes	μειονοτήτων
minoritātes	μειονότητες
modas	μοντ
likteni	πεπρωμένο
likteni	μοίρα
likteni	μοίρα
likteni	πεπρωμένο
dieviete	θεά
dieviete	θεα
barošanas	σίτιση
pārveidot	μετατροπή
pārveidot	τροποποίηση
pārveidot	μετατρέψει
pārveidot	μεταμόρφωση
briesmas	κίνδυνοι
briesmas	κινδύνους
briesmas	κίνδυνο
briesmas	κίνδυνος
patiesi	πραγματικά
patiesi	αληθινά
barjeru	φράγμα
aizstāvēt	υπερασπιστεί
atvaļināts	συνταξιούχος
atvaļināts	αποσύρθηκε
džeina	τζέιν
džeina	jane
džeina	τζέην
mēreni	μετρίως
novērotas	παρατηρήθηκαν
novērotas	παρατηρήθηκε
novērotas	παρατηρηθεί
sociālistu	σοσιαλιστής
sociālistu	σοσιαλιστικό
sociālistu	σοσιαλιστική
sociālistu	σοσιαλιστικής
piecdesmit	fifty
piecdesmit	πενήντα
piekļūt	πρόσβαση
atcelta	ακυρώθηκε
atcelta	ακυρώνεται
atcelta	ακυρώθηκε
atcelta	ακυρώνεται
barbara	μπάρμπαρα
barbara	barbara
politiķi	πολιτικούς
politiķi	πολιτικοί
stratēģijas	στρατηγικές
tuvākā	πλησιέστερη
tuvākā	πλησιέστερα
tuvākā	πλησιέστερο
masačūsetsas	μασαχουσέτης
masačūsetsas	μασαχουσέτη
failus	αρχεία
failus	φάκελοι
prezidentūras	προεδρία
sēj	σπείρει
neapoles	νάπολη
kaļķu	λάιμ
genādijs	γκενάντι
čaka	τσάκα
čaka	τσακ
čaka	chuck
uzstādīt	σετ
uzstādīt	εγκατάσταση
uzstādīt	εγκαταστάθηκε
uzstādīt	εγκατασταθεί
uzstādīt	εγκατεστημένο
uzstādīt	εγκατεστημένη
uzstādīt	εγκατεστημένα
ceļojums	ταξιδι
ceļojums	ταξίδι
ceļojums	ταξιδι
ceļojums	εκδρομή
ceļojums	τριπ
ceļojums	ταξίδι
pastāvīga	μόνιμες
pastāvīga	μόνιμο
pastāvīga	μόνιμος
pastāvīga	μόνιμη
pastāvīga	μόνιμα
tendence	τάση
tendence	τάσεις
tendence	τάση
nogāzes	πλαγιά
nogāzes	κλίση
nogāzes	πλαγιές
noslēdz	κλείνει
noslēdz	συμπεραίνει
ienaidnieks	εχθρός
ienaidnieks	εχθρό
ērgļi	αετοί
pagātnes	παρελθον
pagātnes	περασμένες
pagātnes	περασμένα
pagātnes	παρελθόν
piedzīvojumi	περιπέτειες
piedzīvojumi	περιπέτεια
slāņi	στρώσεις
slāņi	στρώματα
atvērt	άνοιξε
atvērt	ανοιχτά
atvērt	ανοιχτό
atvērt	άνοιγμα
atvērt	ανοικτό
vārdnīcas	λεξικά
izdzīvot	επιβιώνουν
izdzīvot	επιβιώσει
izdzīvot	επέζησε
izdzīvot	επιβίωση
izdzīvot	επιβίωσε
gabriels	gabriel
gabriels	γαβριήλ
gabriels	γκάμπριελ
gabriels	γκαμπριέλ
hiēnas	ύαινες
uzsver	στιγμιότυπα
uzsver	επισημαίνει
uzsver	τονίζει
donavas	δούναβη
auss	αυτί
auss	αφτί
kviešu	σιταριού
kviešu	σιτάρι
kviešu	σίτου
šaura	στενό
šaura	στενή
šaura	στενός
ribentropa	ρίμπεντροπ
ledu	πάγος
ledu	πάγο
ledu	ice
neolīta	νεολιθική
izgatavota	κατασκευάζεται
izgatavota	κατασκευασμένα
izgatavota	κατασκευασμένο
izgatavota	παρασκευάζεται
izgatavota	κατασκευάστηκαν
izgatavota	κατασκευάζονται
egejas	αιγαίου
egejas	αιγαίο
ienākumus	εισόδημα
ienākumus	έσοδα
ienākumus	εισοδήματα
ienākumus	εισοδήματος
jaunākie	νεότερο
lode	σφαίρα
skalas	κλίμακες
kvarca	χαλαζία
akts	πράξη
akts	act
galīgi	οριστικές
galīgi	οριστικά
galīgi	οριστική
galīgi	οριστικός
galīgi	οριστικό
kaujinieku	μαχητές
kaujinieku	πολιτοφυλακή
kaujinieku	εθνοφρουρά
pakešu	πακέτα
mainījies	άλλαξα
mainījies	αλλάξει
mainījies	άλλαξε
iepriekšējie	προηγούμενη
iepriekšējie	προηγούμενα
iepriekšējie	προηγούμενος
iepriekšējie	προηγούμενο
iepriekšējie	προηγούμενες
izdalīt	διανέμουν
ipv	ipv
plazmas	πλάσματος
plazmas	πλάσμα
horvātija	κροατία
zara	κλαδί
zara	μπραντς
zara	υποκατάστημα
pētījums	δίκη
pētījums	δίκης
pētījums	μελέτη
derīgas	ταιριάζει
nelsons	νέλσον
nelsons	nelson
rasels	ράσελ
rasels	russell
halles	halle
halles	χάλι
pakājē	πρόποδες
pretiniekiem	αντιπάλους
pretiniekiem	αντίπαλοι
apliecina	πιστοποιεί
pierāda	αποδεικνύει
nesaskaņas	διαφωνία
nesaskaņas	ασυμφωνία
nesaskaņas	διαφωνίες
nesaskaņas	διχόνοια
magnētisko	μαγνητικές
magnētisko	μαγνητική
magnētisko	μαγνητικά
magnētisko	μαγνητικό
tuvāko	πλησιέστερη
tuvāko	πλησιέστερα
tuvāko	πλησιέστερο
iziešanas	έξοδος
iziešanas	έξοδο
krusa	χαίρε
krusa	χαλάζι
fords	φορντ
fords	φόρντ
fords	ford
deivs	ντέιβ
ķēde	αλυσίδα
ķēde	αλυσίδες
ķēde	κύκλωμα
pcall	pcall
silīcija	πυρίτιο
silīcija	πυριτίου
silīcija	σιλικόνη
vatikāna	βατικανό
apmaiņa	ανταλλαγή
apmaiņa	ανταλλαγές
apmaiņa	χρηματιστήρια
demonstrācijas	επιδείξεις
demonstrācijas	διαδηλώσεις
mustela	mustela
niedres	καλάμια
usb	usb
deviņu	εννέα
deviņu	εννιά
deviņu	nine
veiksmīgu	επιτυχής
veiksmīgu	επιτυχημένη
veiksmīgu	επιτυχημένος
veiksmīgu	επιτυχές
england	αγγλία
poznaņas	poznań
dievi	θεούς
dievi	θεοί
turnīri	τουρνουά
vera	βέρα
semjuels	σάμουελ
semjuels	σάμιουελ
pretinieks	εχθρός
pretinieks	εχθρό
pretinieks	αντίπαλός
pretinieks	αντίπαλο
pretinieks	αντίπαλος
dziļāk	βαθύτερα
dziļāk	βαθύτερη
dziļāk	βαθύτερο
nodrošināta	εξασφάλισε
nodrošināta	εξασφαλίζεται
nodrošināta	διαβεβαίωσε
augšpus	ανάντη
liktenis	πεπρωμένο
liktenis	μοίρα
liktenis	μοίρα
liktenis	πεπρωμένο
vdk	kgb
drīzumā	σύντομα
drīzumā	προσεχώς
drīzumā	προσεχή
drīzumā	προσεχείς
drīzumā	επερχόμενη
sēklu	σπόροι
sēklu	σπόρων
sēklu	σπόρο
sēklu	σπόρος
gaļa	κρέατα
gaļa	κρέας
sietlas	σηάτλ
sietlas	σιάτλ
smiltis	άμμου
smiltis	σαντ
smiltis	άμμος
smiltis	άμμο
pievienoti	πρόσθεσε
pievienoti	προστέθηκε
pievienoti	προστέθηκαν
pievienoti	προστίθεται
pievienoti	επισυνάπτεται
pievienoti	συνημμένο
demokrātijas	δημοκρατίες
tumša	dark
tumša	σκοτεινά
tumša	σκοτάδι
tumša	σκούρο
tumša	σκοτεινό
liepu	λίντεν
novēro	παρατήρησε
novēro	παρατηρήστε
dzejā	στίχος
dzejā	στίχο
iesaistās	εμπλοκή
papua	παπούα
varoņi	ήρωες
varoņi	ηρώων
hip	ισχίο
hip	χιπ
formatdate	formatdate
gēnu	τζην
gēnu	gene
gēnu	τζιν
gēnu	γονίδιο
romeo	ρομέο
romeo	ρωμαίος
romeo	ρωμαίο
zobenu	σπαθί
zobenu	ξίφος
raidītāji	πομπούς
sesks	κουνάβι
sesks	νυφίτσα
bērnība	παιδικά
departamentā	τμήμα
departamentā	τμημα
amatniecības	σκάφος
amatniecības	βιοτεχνίας
euro	ευρω
euro	euro
euro	ευρώ
dvēsele	σόουλ
dvēsele	ψυχή
dvēsele	ψυχής
atļauj	επιτρέπει
atļauj	επιτρέψει
ericsson	έρικσον
ericsson	ericsson
atsauca	απέσυρε
smags	βαρύς
smags	βαρύ
smags	βαριά
smags	σοβαρή
bronza	χάλκινο
papildināts	ανανεωμένη
artis	artis
migla	ομίχλη
migla	φογκ
migla	ομίχλη
krava	φόρτωση
krava	φορτίο
krava	φορτίο
iekšzemē	ενδοχώρα
sēž	κάθεται
sēž	καθισμένος
sēž	καθιστός
ieguldījums	εισφορά
ieguldījums	συμβολή
ieguldījums	συνεισφορά
ieguldījums	επένδυση
ieguldījums	επενδύσεις
ieguldījums	επενδύσεων
runu	λόγος
runu	ομιλία
militāri	στρατιωτικός
militāri	στρατός
militāri	στρατιωτική
militāri	στρατιωτικοί
militāri	στρατιωτικά
redakcija	έκδοση
redakcija	εκδοχή
somālijas	σομαλία
somālijas	σομαλίας
sadaļas	τμήματα
sadaļas	ενότητες
sadaļas	κεφάλαια
advokātu	δικηγόρος
advokātu	δικηγόρο
darbnīca	ημερίδα
darbnīca	εργαστήριο
darbnīca	εργαστήρι
rīku	εξοπλισμό
ženēvas	γενεύη
zemesraga	κανάβεραλ
meksika	μεξικό
pusvadītāju	ημιαγωγών
pusvadītāju	ημιαγωγών
skudru	μυρμήγκια
zirgam	ίππος
zirgam	άλογο
pozitīvi	θετικές
pozitīvi	θετικά
pozitīvi	θετικός
pozitīvi	θετικό
pozitīvi	θετική
mednieki	κυνηγούς
mednieki	κυνηγοί
vērsts	σκηνοθέτησε
vērsts	σκηνοθεσία
vērsts	προσανατολισμένη
mantas	πράγματα
vilces	έλξης
vilces	έλξη
vilces	ώθηση
izteiktas	προφέρεται
pierādījumu	αποδείξεις
pierādījumu	απόδειξη
kristietība	χριστιανισμού
dzēšanu	διαγραφή
izvairās	αποφεύγει
stiprs	δυνατοί
stiprs	δυνατός
stiprs	δυνατό
stiprs	δυνατή
zoo	ζωολογικό
olimpiāde	ολυμπιάδα
olimpiāde	ολυμπιακοί
olimpiāde	ολυμπιακούς
nulle	μηδενικό
nulle	μηδέν
aprīkots	τοποθετηθεί
aprīkots	εξοπλισμένο
aprīkots	εξοπλισμένοι
aprīkots	εξοπλισμένα
disney	disney
zaļas	πράσινη
zaļas	πράσινα
zaļas	πράσινος
zaļas	πράσινο
zaļas	πρασινο
elza	έλσα
elza	έλζα
zum	zum
ņem	πάρτε
ņem	λήψη
ņem	πάρε
pievienošanas	ενσωμάτωση
alianse	συμμαχία
etc	κλπ
apkārtmērs	περίμετρος
arābi	άραβες
raktuves	ορυχεία
raktuves	νάρκες
raktuves	ορυχείο
kāpnes	σκάλα
kāpnes	σκάλες
kāpnes	σκάλα
kāpnes	σκαλιά
kāpnes	σκαλοπάτια
kāpnes	σκάλες
gana	γκάνα
vesels	ολόκληρα
vesels	ολόκληρη
vesels	ολόκληρο
virsbūves	αμαξώματος
virsbūves	αμάξωμα
virsbūves	σώματα
virsbūves	κορμιά
virsbūves	πτώματα
parametrs	παράμετρος
militārie	στρατιωτικός
militārie	στρατός
militārie	στρατιωτική
militārie	στρατιωτικοί
militārie	στρατιωτικά
dzīvoklī	διαμέρισμα
iestāšanās	προσχώρηση
iestāšanās	ένταξη
iestāšanās	προσχώρησης
leļļu	μαριονέτα
vistas	όρνιθες
vistas	κότες
vistas	κότα
vistas	κοτόπουλο
vistas	κοτόπουλα
vistas	όρνιθες
vistas	κότες
īpatņu	δείγματα
getparent	getparent
deklarācija	διακήρυξη
deklarācija	δήλωση
islandē	ισλανδίας
islandē	ισλανδία
savādāk	διαφορετικά
savādāk	άλλως
savādāk	αλλιώς
savādāk	αλλιως
pjedestāla	βάθρο
pjedestāla	εξέδρα
pjedestāla	βάθρο
autonomijas	αυτονομία
paradīzes	παράδεισος
paradīzes	paradise
paradīzes	παράδεισο
vēsturisks	ιστορική
vēsturisks	ιστορικός
vēsturisks	ιστορικές
vēsturisks	ιστορικά
vēsturisks	ιστορική
vēsturisks	ιστορικός
panorāma	panorama
panorāma	πανοραμική
atmosfēra	ατμόσφαιρα
eva	ευα
eva	εύα
eva	eva
eva	εοχ
astoņiem	οκτώ
astoņiem	eight
astoņiem	οχτώ
mobilais	mobile
mobilais	κινητό
mobilais	κινητή
mobilais	κινητά
inovācijas	καινοτομίες
inovācijas	καινοτομίες
inovācijas	καινοτομίας
inovācijas	καινοτομία
dītrihs	ντίτριχ
bolīvijas	βολιβίας
seju	πρόσωπο
seju	προσωπο
seju	φάτσα
salo	σάλο
pārvaldnieks	μάνατζερ
pārvaldnieks	διαχειριστής
pārvaldnieks	διευθυντής
dem	dem
primārais	πρωτογενής
primārais	πρωτοβάθμια
primārais	πρωτογενούς
primārais	πρωτεύον
darījumu	συναλλαγή
diplomu	πτυχίο
diplomu	δίπλωμα
bono	μπόνο
atšķīrās	διέφερε
atšķīrās	διέφεραν
abovestyle	abovestyle
brūss	bruce
brūss	μπρους
brūss	μπρούς
tunelis	στοά
tunelis	σήραγγα
tunelis	τούνελ
peldētājs	κολυμβητής
čigānu	τσιγγάνα
čigānu	τσιγγάνα
šekspīra	σαίξπηρ
izpildi	εκπλήρωση
konkrēti	συγκεκριμένα
pastāvīgā	μόνιμες
pastāvīgā	μόνιμο
pastāvīgā	μόνιμος
pastāvīgā	μόνιμη
pastāvīgā	μόνιμα
beidzies	έληξε
fiat	fiat
glonass	glonass
ceturtdaļfinālā	προημιτελικούς
gregorijs	γκρέγκορι
gregorijs	γκρέγκορυ
trans	τρανς
trans	trans
vārnas	κοράκια
atdalīta	χωρισμένοι
atdalīta	χωρισμένος
bundeslīgas	bundesliga
atzītas	αναγνωρισμένο
atzītas	αναγνωρίζεται
atzītas	αναγνωρίστηκε
atzītas	αναγνωρισμένη
atzītas	αναγνωρίζεται
atzītas	αναγνωρισμένο
atzītas	αναγνωρισμένος
atzītas	αναγνωρισμένη
atzītas	αναγνωρισμένα
skolēniem	μαθητών
skolēniem	μαθητές
skolēniem	κόρες
žils	τζουλς
džims	jim
džims	τζιμ
asambleja	συναρμολόγηση
asambleja	συνέλευση
kāzas	γάμους
kāzas	γάμοι
kāzas	γάμο
kāzas	γάμος
zane	ζέιν
vidējs	μέτρια
vidējs	μεσαία
vidējs	μεσαίο
vidējs	μέσο
tehniski	τεχνικώς
tehniski	τεχνικά
mēģinājumu	πρόβα
britannica	μπριτάνικα
žogs	φράκτη
žogs	φράχτης
žogs	φράχτη
flāmu	φλαμανδική
gazprom	gazprom
silts	ζεστή
silts	ζεστό
silts	ζεστός
silts	ζεστά
karogi	σημαίες
rita	ρίτα
četrdesmit	σαράντα
četrdesmit	forty
stadijas	στάδια
stadijas	φάσεις
delfi	δελφών
pamiers	ανακωχή
pamiers	εκεχειρία
pamiers	εκεχειρία
pamiers	ανακωχή
pamiers	εκεχειρία
linu	λίνο
linu	λινάρι
akmeņi	πέτρες
akmeņi	λίθοι
akmeņi	βράχια
akmeņi	βράχους
akmeņi	πέτρες
akmeņi	βράχοι
akmeņi	πετρώματα
honda	honda
abba	abba
aes	aes
signālus	σήματα
galatasaray	galatasaray
sodīts	τιμωρείται
sodīts	τιμωρηθεί
pacers	πέισερς
mati	τρίχα
mati	τρίχες
mati	μαλλιά
senas	αρχαίος
senas	αρχαίο
senas	αρχαία
eric	ερικ
eric	eric
eric	έρικ
budistu	βουδιστής
džeralds	τζέραλντ
parakstīt	σημάδι
parakstīt	υπόγραψε
donalds	ντόναλντ
irāka	ιράκ
biologs	βιολόγος
anita	ανίτα
jeruzalemes	ιερουσαλήμ
dens	νταν
dens	dan
neparasti	ασυνήθιστος
neparasti	ασυνήθιστο
neparasti	ασυνήθιστα
neparasti	ασυνήθιστη
bioloģiskā	βιολογικό
bioloģiskā	βιολογική
bioloģiskā	βιολογικά
bioloģiskā	βιολογικός
bioloģiskā	βιολογικές
piektajā	πέμπτη
piektajā	πέμπτος
piektajā	πέμπτο
hdi	hdi
tipisks	τυπικές
tipisks	τυπικά
tipisks	τυπικός
tipisks	τυπικό
tipisks	τυπική
niedru	ριντ
niedru	ρηντ
vēlu	αργά
piesaistīja	έλκονται
piesaistīja	προσέλκυσε
vienoties	συμφωνούν
vienoties	συμφωνώ
platumā	πλάτος
manuels	manuel
manuels	μανουέλ
dienvidi	νότιο
dienvidi	νοτια
dienvidi	νότια
dienvidi	νότος
ražoti	παραγόμενα
ražoti	παρήχθησαν
ražoti	παράγεται
ražoti	κατασκευάζεται
ražoti	κατασκευασμένα
ražoti	κατασκευασμένο
ražoti	παρασκευάζεται
ražoti	κατασκευάστηκαν
ražoti	κατασκευάζονται
medībās	κυνηγάει
medībās	κυνήγι
abinieku	αμφίβιο
lūiss	λουις
lūiss	lewis
lūiss	λούις
lūiss	λιούις
paaugstināta	αυξημένος
paaugstināta	αυξημένο
paaugstināta	αυξημένη
zviedriem	σουηδοί
pieraksts	συνδρομή
locītavas	αρθρώσεων
locītavas	αρθρώσεις
mao	μάο
trīspadsmit	thirteen
trīspadsmit	δεκατρείς
trīspadsmit	δεκατρία
drošu	χρηματοκιβώτιο
drošu	ασφαλείς
drošu	ασφαλές
drošu	ασφαλής
drošu	ασφαλή
sēru	πένθος
fantāzijas	φαντασίωση
fantāzijas	φαντασία
fantāzijas	φαντασιώσεις
lauksaimniecība	γεωργία
apzināti	συνειδητά
apzināti	σκοπίμως
apzināti	σκόπιμα
apzināti	επίτηδες
apzināti	σκόπιμα
apzināti	εσκεμμένα
apzināti	σκόπιμη
ievads	εισαγωγη
ievads	εισαγωγή
čaulas	κέλυφος
čaulas	κοχύλια
čaulas	χιτώνια
čaulas	χιτώνιο
laikus	έγκαιρη
laikus	επίκαιρη
dziļu	βαθύ
ana	άνα
ana	ana
kopīgas	κοινοποίησε
kopīgas	κοινοποιήθηκε
senioru	τελειόφοιτοι
milzīga	τεράστια
milzīga	τεράστιες
milzīga	τεράστιος
milzīga	τεράστιο
milzīga	τεράστια
milzīga	τεράστιος
milzīga	τεράστιο
milzīga	μαζική
lāci	αρκουδάκι
lāci	αρκούδα
lāci	αρκούδος
pagrīdes	πεζόδρομο
radošo	δημιουργικός
radošo	δημιουργική
radošo	δημιουργικό
radošo	creative
uzplauka	ευημερούσε
pārtrauc	εγκατάλειψη
pārtrauc	διακόπτει
sūtīt	αποστολή
sūtīt	στείλε
sūtīt	στείλτε
sūtīt	στείλω
iekšējais	εσωτερικό
iekšējais	εσωτερικών
iekšējais	εσωτερικές
iekšējais	εσωτερική
iekšējais	εσωτερικός
iekšējais	εσωτερικό
iekšējais	εσωτερικά
iekšējais	εσωτερικό
sandra	σάντρα
pārtraukums	διάλειμμα
pārtraukums	σπάσε
pārtraukums	διακοπή
pārtraukums	σπάσιμο
pārtraukums	διακοπή
slēpjas	κρύβεται
slēpjas	κρύβονται
ķirurgs	χειρούργος
ķirurgs	χειρουργός
dzeltenais	κίτρινα
dzeltenais	κίτρινος
dzeltenais	κίτρινη
dzeltenais	κίτρινο
silver	ασημί
silver	ασημένια
silver	σίλβερ
silver	ασήμι
silver	silver
augumu	ανάστημα
augumu	ύψος
oriģinālā	αυθεντικό
