فرعون	paraon
گراد	grad
توفیق	tulong
رکن	pillar
پاسخگویی	sagutin
پاسخگویی	sagot
جنسیتی	kasarian
گیلبرت	gilbert
پدرو	pedro
تریلر	thriller
تریلر	trailer
چاک	chuck
ضلعی	kuwadrilateral
خوک	baboy
بازوی	bisig
بازوی	braso
مدیاویکی	mediawiki
بیداری	gising
جامی	tasa
جامی	tasa
جامی	kopa
آری	aye
شوهرش	asawa
شوهرش	lakay
کالین	colin
برونو	bruno
مارپیچی	spiral
باخ	bach
قذافی	gaddafi
گمنام	anonymous
ناراحتی	malungkot
ناراحتی	sad
محبت	kagandahang
محبت	kabaitan
محبت	pagmamahal
همخوانی	consistency
باک	buck
باک	alma
باک	bak
باک	bock
کارا	kara
کارا	cara
وبا	kolera
جهانگردان	panginoon
آستوریاس	asturias
تزئین	hiyas
تزئین	dekorasyon
تزئین	pamasko
پیشوند	prefix
بیهوشی	blackout
نشستن	nakaupo
نشستن	upo
شایان	cheyenne
نیایش	pagsamba
نیایش	panalangin
نیایش	prayers
انصراف	lumabas
کلامی	pandiwang
کلامی	antropolohiyang
تناقض	paradox
تناقض	pagbabagu
تناقض	kontradiksiyon
قضائیه	judiciary
لیندا	linda
قسم	swear
قسم	panunumpa
کمبوجیه	cambyses
آرم	bisig
آرم	braso
دلاور	delaware
فراخوانی	summons
فراخوانی	pagtawag
فراخوانی	tumatawag
اسیدی	acidic
اسیدی	acid
اسیدی	asido
اسیدی	acidity
بیکاری	unemployment
فلفل	paminta
هاپکینز	hopkins
مگس	langaw
کالاها	kalakal
کالاها	paninda
لیبریا	liberia
لیبریا	liberian
لای	lai
لای	lay
پنجشنبه	thu
پنجشنبه	huwebes
بقای	matira
نامیبیا	namibia
سورینام	suriname
طرفه	sided
طیفی	spectral
کمدین	komedyante
جن	jen
جن	djinn
عذرخواهی	apology
میکس	mix
میکس	halo
میکس	ihalo
یوهانس	johannes
بذر	seed
بذر	buto
بذر	binhi
عملگر	operator
فرصتی	pagkakataon
فرصتی	opportunity
اخطار	notification
اخطار	abiso
اخطار	babala
بخارست	bucharest
حباب	bula
حباب	bubble
پالس	pulso
پالس	tibok
گرانت	grant
هیلاری	hillary
هیلاری	hilary
بهاری	spring
بهاری	tagsibol
مزدا	mazda
نقدهای	review
تفریح	paglilibang
تفریح	libangan
نرگس	narcissus
کپنهاگ	copenhagen
کارولین	caroline
صدمه	damage
صدمه	pinsala
صدمه	nasaktan
شارژ	singil
شارژ	charge
شارژ	charge
خنده	pagtawa
خنده	tawa
خنده	tawa
خنده	tumawa
ملایم	magiliw
ملایم	mild
ملایم	banayad
ملایم	malambot
ییلاق	kabukiran
ییلاق	bansa
ییلاق	makabayan
مایا	maya
داند	nakakaalam
داند	knows
اشتوتگارت	stuttgart
جوار	magmasid
چنگیز	genghis
لانه	pugad
لانه	den
منسوخ	archaic
منسوخ	outdated
منسوخ	laos
محکومیت	paninindigan
امتیازات	pribilehiyo
امتیازات	scores
استعمال	paggamit
محفوظ	pinoprotektahan
محفوظ	protektado
محفوظ	nakapreserba
شبح	phantom
شبح	ghost
شبح	multo
دورانی	patong
انگل	parasite
کمیل	camille
کمیل	kamil
تانسور	tensor
منظره	pahiga
منظره	landscape
منظره	tanawin
واتیکان	vatican
گریس	grace
گریس	biyaya
اتلتیک	athletic
موضوعاتی	paksa
سالمندان	nursing
سالمندان	matatanda
عشقی	nagmahal
عشقی	love
عشقی	nagmamahal
موجودیت	entidad
موجودیت	entity
مارکسیست	marxista
تدبیر	plano
تدبیر	plan
تدبیر	magplano
دریاها	seas
دریاها	kabilang
سفال	palayok
رودریگز	rodriguez
رودریگز	rodríguez
ریس	reese
ریس	reiss
بشریت	sangkatauhan
کوهن	cohen
فیجی	fiji
ارضی	teritoryal
هانتر	hunter
مارینو	marino
پناهنده	refugee
رزرو	reserved
رزرو	reserbasyon
رزرو	reservation
رزرو	reserve
رزرو	reserba
یخبندان	glacial
یخبندان	yelo
یخبندان	ice
رابینسون	robinson
کویینز	queens
ملودی	melody
اسبق	predecessor
زیربخش	subdivision
ریاض	riyadh
مکزیکو	méxico
وحی	pagsisiwalat
دلو	timba
دلو	bucket
دلو	balde
دلو	aquarius
ضخیم	makapal
کربنات	carbonate
انقباض	ikli
شفت	poste
سوفیا	sofia
امیدوار	umaasa
بتی	betty
دستورالعمل	instruksiyon
دستورالعمل	instruksyon
دستورالعمل	pagtuturo
دستورالعمل	tagubilin
دستورالعمل	recipe
دستورالعمل	tagubilin
منتسب	umano
انگشتان	daliri
محتوی	lalagyan
نامزدها	nominees
نامزدها	nominations
معصوم	inosenteng
معصوم	inosente
معصوم	inocencio
معصوم	innocent
کارتون	cartoon
کارتون	cartoons
احتیاط	masinop
احتیاط	ingat
آموخته	tinuturuan
آموخته	itinuro
آموخته	tinuruan
آموخته	nagturo
دربی	derby
گرامر	grammar
سپیده	dawn
سپیده	liwayway
نیکو	nico
بخت	fortune
هاله	halle
هاله	aura
هاله	halo
بهنام	eater
توری	lattice
توری	grid
بنویسد	magsulat
بنویسد	sumulat
بنویسد	isulat
همسران	divorce
همسران	wives
هوندا	honda
دیداری	biswal
آتی	futures
بهای	presyo
آیفون	iphone
گیلاس	cherry
گیلاس	seresa
ارکان	pillar
گزاره	panukala
شایستگی	kwalipikado
شایستگی	merit
مشتقات	variants
اسکای	skye
اسکای	sky
اسکای	kalangitan
اسکای	himpapawid
تصدی	commission
تصدی	komisyon
تصدی	tenure
موجی	alon
موجی	alon
انعطاف	flexible
انعطاف	nababaluktot
ادارات	opisina
ردیابی	pagsubaybay
ردیابی	tracker
ردیابی	bakas
ماهانه	monthly
ماهانه	buwanang
قدیس	santo
قدیس	santa
رفیع	high
رفیع	mataas
نگاشت	mapa
جمجمه	bungo
سوزن	karayom
سوزن	needle
جوزپه	giuseppe
اعتدال	pagkontrol
اعتدال	equinox
پذیرایی	tirahan
پذیرایی	accommodation
پذیرایی	reception
پذیرایی	pagtanggap
پذیرایی	libangan
پذیرایی	entertainment
عروسک	dolls
عروسک	manika
عروسک	manikang
عروسک	doll
چیزها	bagay
تزیین	dekorasyon
یقین	tiyak
یقین	katiyakan
قاطع	decisive
اریتره	eritrea
هریسون	harrison
بولونیا	bologna
انشعاب	tinidor
انشعاب	sangay
وایمار	weimar
مارسل	marcel
کسر	fractions
کسر	deficit
عبادت	pagsamba
متراکم	siksik
ترمینال	terminal
نامحدود	infinite
نامحدود	unlimited
سرنگون	ibagsak
آپاچی	apache
عرضی	pahiga
عرضی	landscape
عرضی	tanawin
عرضی	transverse
ذرت	mais
بدانید	alam
بدانید	kilala
وبر	weber
تعاونی	matulungin
تعاونی	kooperatiba
تکنیکی	teknikal
زی	zee
گسیل	paglabas
داوطلبانه	kusang
خائن	taksil
رویس	royce
گریگوری	gregorio
گریگوری	gregory
کنراد	conrad
بالتیک	baltiko
آیوی	ivy
راجرز	rogers
میرسد	makakarating
ادوین	edwin
رنگهای	kulay
هسن	hesse
یونس	jonah
همسایگی	lokalidad
فرضی	hypothetical
راو	raw
راو	hilaw
متناظر	kaukulang
آهسته	mabagal
زاگرب	zagreb
نوی	neu
نیکول	nicole
گوگ	gogh
فری	ferry
فری	frey
فری	awayan
آلتو	alto
نیکلای	nikolaj
نیکلای	nikolay
رؤیا	dream
رؤیا	pinapangarap
رؤیا	panaginip
رؤیا	pangarap
اهدای	donor
پرل	pearl
پرل	perlas
پرل	perl
رفیق	pare
رفیق	buddy
لیو	liv
بدانند	alam
بدانند	kilala
عظمت	kadakilaan
عظمت	kadakilaan
مناظره	debate
میکرو	micro
ادراک	perception
بادهای	winds
تاب	swinging
تاب	swing
ناتینگهام	nottingham
بیاورید	magdala
بیاورید	magdadala
بیاورید	dalhin
پنهانی	palihim
صمیمی	maseselang
صمیمی	intimate
قربان	sir
سوءاستفاده	abuso
سوءاستفاده	aabuso
جنوا	genoa
گنگ	dumb
گنگ	pipi
گنگ	gang
مچ	pulso
یخی	frost
یخی	yelo
یخی	ice
قحطی	kagutuman
قحطی	istarbasyon
ماسک	mask
ماسک	maskara
میگیرد	tumatagal
میگیرد	inaabot
میگیرد	natatanggap
مکانیزم	mekanismo
شهدا	martir
قرض	pautang
قرض	utang
قرض	hiramin
استوا	ekwador
دشواری	nahirapan
رحمان	rahman
وصیت	tipan
محفظه	capsule
دول	dole
دول	dol
احتراق	kombustiyon
احتراق	ignition
درواقع	actually
کلک	pagtatalo
کلک	trick
گرده	pollen
گرده	dry
متخصصین	eksperto
متخصصین	tech
تریپل	triple
فسیلی	fossil
مهاجرین	imigrante
پروسه	maproseso
پروسه	prosesong
پروسه	proseso
گوهر	kakanyahan
تحقیر	pagsuway
عنکبوتی	gagamba
عنکبوتی	spider
پوینت	puntong
پوینت	punto
پوینت	point
جراح	siruhano
اتمسفر	kapaligiran
اتمسفر	atmospheric
قفس	cage
شهوانی	sekswal
جاسوس	spy
ندا	neda
دوجانبه	bilateral
پروتون	proton
لورا	laura
ساسکاچوان	saskatchewan
لکه	mantsa
سوارکاری	nakasakay
سوارکاری	equestrian
متریک	metric
جاش	josh
بحر	dagat
راینلاند	rhineland
حسابرسی	audit
حسابرسی	accounting
قناری	canary
گلوکز	glucose
یگان	yunit
یگان	unit
قرارگاه	settlement
بوریس	boris
گروگان	hostage
تدارک	paghahanda
جووانی	giovanni
دینار	dinar
انور	anwar
ویک	vic
استارک	stark
اتلاف	basura
بای	look
بای	bay
مونترال	montreal
کعبه	kaaba
ابدی	eternal
ابدی	immortal
پتر	pedro
پتر	peter
پتر	petr
مهری	seal
مواجهه	gulo
نزول	baba
پروتستان	protestant
سرعتی	speedy
تجلیل	pagdiriwang
تجلیل	selebrasyon
زحمات	deed
سپر	kalasag
فرات	eufrates
ایزدی	providence
اسکیت	skating
اسکیت	skate
اسکیت	skateboarding
بورلی	beverly
چهارراه	kanto
فراطبیعی	mahiya
سلاطین	kings
سلاطین	hari
سایمون	simon
والاس	wallace
دیکتاتوری	diktadura
سویی	sui
اندلس	andalusia
بدخشان	badakhshan
لوسی	lucy
خشکسالی	kagutuman
خشکسالی	tagtuyot
اولاد	anak
ریکاردو	riccardo
ریکاردو	ricardo
کلوپ	club
کلوپ	samahan
پوشیدن	suot
پوشیدن	nagsusuot
پوشیدن	magsuot
کلاب	club
کلاب	samahan
تایی	tae
لایپزیگ	leipzig
نفرت	hate
برخاست	lumipad
هالی	holly
ادواردز	edwards
نواری	ribbon
نواری	laso
تالیفات	compilations
مونته	monte
هافمن	hoffmann
هافمن	hoffman
غزنوی	ghazni
تروریست	terorista
ارگان	organo
ارگان	organs
ارگان	organo
ارگان	organ
خفیف	mild
خفیف	banayad
خفیف	slight
مخروطی	cone
انبساط	expansion
قفسه	shelf
پرتقال	orange
پرتقال	kahel
پرتقال	oranges
نایت	knight
کامیون	truck
کامیون	trak
شهریاری	monarkiya
فلک	ferris
اسپرت	palakasan
اسپرت	isports
اسپرت	sports
جواهرات	hiyas
جواهرات	alahas
وانگ	wang
بیا	dumating
بیا	darating
بیا	lumapit
کورپوریشن	corporation
کورپوریشن	korporasyon
ویلی	willie
مارپیچ	labyrinth
مارپیچ	maze
مارپیچ	spiral
مارپیچ	helix
ترنر	turner
میکروسکوپ	mikroskopyo
بیم	warner
سگا	sega
نهر	creek
پارما	pepeng
گوارشی	gastrointestinal
گوارشی	digestive
سوسک	ipis
سوسک	ipis
سوسک	salagubang
بزرگسال	adult
بزرگسال	matanda
لیبرالیسم	liberalismo
وجوه	pondo
غشای	balamban
فلیکس	felix
پیکربندی	configuration
پیکربندی	pagsasaayos
پیکربندی	config
شنی	buhangin
شنی	sand
دخیل	involved
دخیل	kasangkot
کلیولند	cleveland
صوری	pormal
رهنمودهای	alituntunin
شیرجه	diving
شیرجه	sisid
شیرجه	sumisid
شیرجه	dive
قسمتهای	episodes
تریلیون	trilyon
معاف	exempt
جدیدترین	pinakabago
جدیدترین	pinakabagong
جدیدترین	pinakabago
جدیدترین	pinakahuling
جدیدترین	pinakahuli
جدیدترین	latest
باشکوه	magnificent
تصدیق	pagkumpirma
تصدیق	kumpirmasyon
تصدیق	kumpirmado
تصدیق	kumpirmahin
تصدیق	kinukumpirma
تصدیق	beripikasyon
رویارویی	gulo
رویارویی	makatagpo
رویارویی	nararanasan
گرگوری	gregorio
گرگوری	gregory
کلارا	clara
جاوید	everlasting
جاوید	immortal
کینگز	kings
کینگز	hari
سوشی	sushi
واتسون	watson
استن	stan
کریستف	christoph
رصد	obserbatoryo
رصد	observation
سوژه	sasailalim
سوژه	paksa
سوژه	subject
بلد	balad
تنباکو	tabako
فنلاندی	pinlandes
عاقبت	outcome
عاقبت	kinalabasan
آلکساندر	alexandre
مونرو	monroe
ارل	earl
گنجشک	sparrow
گاردین	tagapangalaga
زوال	displaced
زوال	tinatanggihan
فروید	freud
اسلو	oslo
بلکبرن	blackburn
جردن	jordan
فاستر	foster
تراژدی	trahedya
سباستین	sebastian
رؤیای	dream
رؤیای	pinapangarap
رؤیای	panaginip
رؤیای	pangarap
المپیاد	olympiad
بتهوون	beethoven
وردی	verdi
کانونی	focal
فلوئورید	fluoride
دوزیستان	amphibian
موریتانی	mauritania
ادراری	urinary
کلاوس	klaus
گراند	grande
گراند	grand
شاهدخت	princess
شاهدخت	prinsesa
برمه	burma
واعظ	mangangaral
خر	asno
خر	donkey
هانوفر	hanover
هانوفر	hannover
ریگ	rig
اندر	ender
پیشگام	pioneer
اساسنامه	statute
الکترو	electro
کریگ	craig
فشاری	presyon
غریبه	strangers
غریبه	stranger
شهرستانهای	counties
شمشیربازی	fencing
شمشیربازی	eskrima
معلول	kapansanan
هیروشیما	hiroshima
آپارتمان	apartment
سفت	masikip
سفت	mahigpit
بتنی	bethany
تاین	tyne
نیش	sting
لیژ	liège
دیروز	kahapon
کیوتو	kyoto
اوژن	eugène
اوژن	eugene
اوژن	eugenio
عیب	kasalanan
ریل	riles
تعالیم	doktrina
تعالیم	doctrine
ماهیگیری	pangingisda
پیرس	pierce
هولمز	holmes
ظلم	aapi
ظلم	makatarungan
تمرینات	pagsasanay
خرچنگ	ulang
خرچنگ	lobster
خرچنگ	alimango
خرچنگ	talangka
خرچنگ	alimasag
کشنده	nakamamatay
کشنده	aswang
بوته	bush
کاتالان	katalan
کاتالان	catalan
مورفی	murphy
گرسنگی	gutom
پالایش	filter
پالایش	salain
پالایش	panala
رمزی	ramsey
شاهکار	stunt
شاهکار	feat
نویز	ingay
ادریس	enoch
ادریس	idris
نمانده	halos
داش	dash
ریچل	rachel
شیلا	sheila
شیلا	silla
جغد	owl
عمرو	amr
تاثیرات	effects
تاثیرات	epekto
احتمالات	odds
احتمالات	probabilidad
یتیم	orphan
دوس	dos
شفا	gumagaling
شفا	heal
شفا	gumaling
شفا	pagalingin
شفا	healing
مغازه	shop
مغازه	tindahan
مغازه	mamili
نشانگان	syndrome
کنکور	pagsusulit
نهفته	embedded
روانپزشکی	sikiyatriya
چیره	dominado
گلکسی	galaxy
آزادانه	malayang
پاها	binti
خواهران	sis
خواهران	sisters
اکو	eco
اکو	eko
اکو	echo
قبله	direction
قبله	direksiyon
قبله	direksyon
تیتراژ	credits
تیتراژ	kredito
ولفگانگ	wolfgang
وزنه	timbang
وزنه	bigat
اجداد	ninuno
پت	pet
پت	alaga
پت	pat
پاپی	poppy
قیصر	kaiser
پایش	scanning
پایش	pagmamanman
پایش	pagsubaybay
پایش	sinusubaybayan
آلیکانته	alicante
فانی	fanny
فانی	mortal
پهلو	gilid
پهلو	tabi
پهلو	karamay
پهلو	tagiliran
پهلو	panig
اکسپرس	ipahayag
اکسپرس	express
اسکس	essex
نخبگان	pili
نخبگان	elite
فینیکس	phoenix
کرو	uwak
ترتیبی	ordinal
ترتیبی	sequential
کرایسلر	chrysler
هوتن	hutton
هوتن	houten
هوتن	houghton
غیرانتفاعی	nonprofit
ساسکس	sussex
تاجگذاری	coronation
فسفر	phosphorus
بولتون	bolton
چشمی	mata
اوتار	uttar
اوا	eva
اوا	ewa
هلسینکی	helsinki
آندورا	andorra
اجبار	puwersa
اجبار	pinilit
اجبار	sapilitang
معقول	talino
معقول	makatwiran
معقول	makatwirang
بارگیری	download
بارگیری	nilo
مذکر	male
مذکر	lalaki
مذکر	panlalaki
دایناسور	dinosaur
بقا	matira
تورینو	tra
تورینو	torino
متفرقه	misc
متفرقه	miscellaneous
متفرقه	kalokohan
آدریان	adrian
هیچکدام	wala
برشی	shear
اویل	langis
اویل	oil
گیبسون	gibson
هراس	terror
هراس	kilabot
هراس	phobia
آوازی	vocal
استفن	stefan
رسوایی	scandal
رسوایی	iskandalo
سوخو	sukhoi
آویزان	hung
آویزان	hang
آویزان	tambay
آویزان	pabitin
طغیان	rebel
طغیان	rebelde
طغیان	paghihimagsik
نیاکان	ninuno
مسخره	nakakatawa
الزامی	sapilitan
نخجوان	nakhchivan
عجیبی	kakaiba
حمد	purihin
حمد	papuri
نوشیدن	inuman
نوشیدن	inom
نوشیدن	inumin
نوشیدن	uminom
سفره	lamesa
سفره	mesa
سفره	talahanayan
سفره	table
مالدیو	maldives
هل	nagtutulak
هل	tinutulak
اشمیت	schmidt
اشمیت	schmitt
لوتر	luther
راهبرد	alituntunin
راهبرد	estratehiya
راهبرد	diskarte
فرانچسکو	francisco
فرانچسکو	francesco
زا	tagabuo
زا	generator
سازندگی	konstruksiyon
سازندگی	construction
سازندگی	konstruksyon
وارث	tagapagmana
روزولت	roosevelt
قصبه	parokya
دماغه	cape
دماغه	tangos
دماغه	kabo
اولا	ola
قدردانی	pasasalamat
قدردانی	pagpapahalaga
ویتنی	whitney
کوستا	costa
دیم	madilim
راش	rush
ققنوس	phoenix
اوراسیا	eurasya
مرگبار	nakamamatay
مرگبار	aswang
وکالت	abugado
وکالت	attorney
جوجه	chicken
جوجه	manok
بهبودی	pagbawi
بهبودی	pagbangon
بهبودی	paggaling
بهبودی	recovery
بهبودی	pagpapabuti
عینک	baso
عینک	salamin
عینک	glasses
هومبولت	humboldt
بریدن	pagputol
مارکسیسم	marxismo
متابولیسم	metabolismo
میرود	napupunta
کج	italic
ناکام	bigo
ناکام	bigo
شمع	kandila
شمع	kandila
تاد	todd
پشتو	pashto
توبه	pagsisisi
توبه	kayo
مترادف	magkasingkahulugan
مترادف	synonym
شلوغ	messy
شلوغ	kalat
شلوغ	magulo
شلوغ	abala
شلوغ	busy
شلوغ	maingay
شلوغ	mataong
شلوغ	masikip
ژولیت	juliette
ژولیت	juliet
بنیامین	benjamin
گنبدی	fiddler
فال	fortune
پارسا	parsa
ونسان	vincent
لوکا	luca
لوکا	luka
مرکبات	citrus
یوجین	eugene
یوجین	eugenio
فیس	facebook
هاروی	harvey
توییتر	twitter
ید	iodine
تنور	hurno
تنور	tenor
بیاورند	gumawa
بیاورند	makagawa
بیاورند	magkaanak
توگو	togo
عصبانی	magalit
عصبانی	galit
عصبانی	nagagalit
جوآن	joan
شعرای	lyrics
آوانگاری	ponetika
استوک	stoke
زباله	basura
زباله	basura
زباله	basura
آشیانه	pugad
جوندگان	rodentia
توهم	halusinasyon
توهم	ilusyon
آنتون	anton
آشامیدنی	inuman
آشامیدنی	inom
الاهلی	pangkalakal
الاهلی	commercial
الاهلی	komersyal
الاهلی	komersiyal
آبزی	nabubuhay
آبزی	aquatic
آزادسازی	paglaya
آزادسازی	liberation
شکلات	tsokolate
شکلات	chocolate
ژنوم	genome
الک	elk
الک	alec
رقبای	karibal
آفتابی	maaraw
آفتابی	sunny
ترجیحات	kagustuhan
ترجیحات	bac
جوشکاری	hinang
ختنه	pagtutuli
ختنه	tuli
استثنایی	espesyal
استثنایی	special
استثنایی	natatanging
تاجیک	tajik
بوت	booth
پابلو	pablo
پالاس	pallas
ائوسن	eoseno
چیبا	chiba
باربادوس	barbados
بلیک	blake
انفجاری	pagsabog
انفجاری	sumasabog
نزدیکترین	nearest
نزدیکترین	pinakamalapit
نزدیکترین	pinakamalapit
گیت	gate
گیت	gates
عرف	mores
انتحاری	magpakamatay
انتحاری	pagpapakamatay
اوکراینی	ukranyano
قلمروی	teritoryo
ترانزیستور	pnp
ترانزیستور	transistor
سیریلیک	siriliko
بازل	basel
مهمانی	partido
مهمانی	party
مهمانی	pagdiriwang
مهمانی	pagtitipon
مهمانی	kapistahan
مهمانی	feast
رویت	turn
رویت	lumiko
مفاصل	kasu
پیشانی	noo
وفور	abundance
وفور	kasagsagan
کاسپین	caspian
قلع	tin
قلع	lata
آزاده	libreng
آزاده	free
آزاده	libre
آزاده	malaya
پدران	forefathers
حیفا	haifa
داغستان	dagestan
کاناگاوا	kanagawa
پگاه	maagang
پگاه	maaga
توفان	bagyong
توفان	bagyo
هویدا	maliwanag
اژدهای	dragon
یاسر	yasser
بالتیمور	baltimore
بعدا	mamaya
اولاً	ula
اینتل	intel
استرس	stress
استرس	stress
ناب	kumikinang
ناب	purong
ناب	pure
ناب	dalisay
مفسر	tagapagsalin
مفسر	interpreter
مفسر	commentator
آندرا	andrea
آندرا	andhra
نادو	nadu
متعارف	maginoo
متعارف	canonical
بیهوده	vanity
بیضی	elipso
کمرنگ	pale
کلسترول	kolesterol
کلسترول	cholesterol
هلیکوپتر	helicopter
شیوا	shiva
یونی	iono
گلو	lalamunan
سریالی	serial
ندیده	seen
ندیده	nakita
بطن	ventricular
بطن	bentrikulo
بطن	puson
ارسلان	arslan
آهو	usa
آهو	aho
آهو	gazelle
دونتسک	donetsk
منگنز	manganese
برگه	sheet
کاذب	maling
کاذب	false
جگوار	jaguar
فازی	phase
امینم	eminem
یوکوهاما	yokohama
جذابیت	attraction
جذابیت	akit
سوفی	sophie
موقتی	pansamantala
موقتی	pansamantala
موقتی	temp
ایمی	amy
مضر	nakakasama
هود	hood
شلوار	pantalon
پذیرد	tinatanggap
پذیرد	tumatanggap
سوزوکی	suzuki
گای	guy
رادیکال	radical
سنسور	sensor
خازن	kapasitor
لیتل	kaunti
لیتل	maliit
طیب	bridal
طیب	tayyip
ورونا	verona
خرابی	pagkabigo
خرابی	destruction
خرابی	sawi
خرابی	nabigo
خرابی	palpak
بوسه	kisses
بوسه	halik
بوسه	kiss
اعماق	malalim
اعماق	deep
لاو	lao
لاو	luv
جنت	janet
کامپایلر	compiler
ونوس	venus
دانته	dante
آقایی	ginoo
آقایی	gentleman
فرزانه	matalino
میترا	mitra
ویستا	vista
اسهال	pagtatae
اسهال	diarrhea
پرستون	preston
اذعان	tinatanggap
اذعان	kilalanin
چیدمان	layout
جنگجویان	warriors
الکترومغناطیس	electromagnetic
الکترومغناطیس	elektromagnetismo
کران	bingi
بازگرداندن	ibalik
زاد	anak
لوران	laurent
پردازی	pinoproseso
پردازی	pagpoproseso
پردازی	processing
پردازی	pagproseso
سرم	serum
روبن	reuben
روبن	ruben
حضورش	presensya
حضورش	iral
حضورش	presence
حضورش	presensiya
تزار	tsar
گرانده	grande
پلانک	planck
رانندگان	driver
رانندگان	motorista
ناپولی	neapolitan
ناپولی	napoli
دمی	demi
مبارزان	fighters
مبارزان	palaban
مبارزان	fighter
ماهه	buwan
ماهه	months
تشریفات	seremonya
جوراب	sock
جوراب	medyas
سیلور	pilak
سیلور	silver
تحرک	paggalaw
تحرک	kilusan
تحرک	mobility
لیتیم	lityo
نئو	neo
دفعات	times
دفعات	beses
پیکره	corpus
الیکایی	wren
ساعتی	oras
کما	coma
کما	koma
پره	busog
پره	full
پره	buo
پره	buong
بحثش	talakayan
ارتشی	military
ارتشی	pangmilitar
ارتشی	militar
ارتشی	hukbo
ارتشی	army
داوطلبان	volunteers
داوطلبان	boluntaryo
ناتوان	mahina
مکی	maki
خیز	vigil
خیز	bilbil
بزودی	nagtagal
بزودی	soon
