par	關於
skatīt	見
centra	中心
otrā	第二
otrā	秒
padomju	蘇維埃
padomju	板
krievu	俄語
krievu	俄文
krievu	russo
score	分數
score	得分
score	比分
vācijas	德文
vācijas	德語
vācijas	德國
tautas	熱門
tautas	流行
tautas	受歡迎
tautas	人氣
tautas	民謠
tautas	民間
tautas	民俗
garums	長度
garums	經度
daudz	許多
divas	兩
divas	兩個
divas	二
komandas	命令
komandas	團隊
komandas	球隊
komandas	隊伍
pils	城堡
pils	castle
pils	城
pils	皇宮
pils	宮殿
pils	王宮
pils	宮廷
pils	宮
vietas	spot
vietas	斑點
vietas	地點
vietas	地方
vietas	地點
latns	latns
longew	longew
valodas	語言
valodas	語文
reizes	折疊
reizes	折
reizes	疊
reizes	摺疊
pašlaik	目前
romas	羅馬
sezonā	季
sezonā	季節
novads	市
sākumā	最初
grupa	群組
grupa	群
šis	這
šis	這個
valodā	正宗
ūdens	飲水
ūdens	水
bieži	常見
bieži	通用
bieži	共同
šīs	這些
ģints	屬
tiesības	特權
tiesības	右
tiesības	權利
valoda	語言
valoda	語
valoda	語文
tāpat	同樣
polijas	波蘭
fon	von
janvārī	一月
sugas	魚種
sugas	物種
pasaulē	世界
jūlijā	七月
jūlijā	七月份
ciems	村
ciems	鄉村
ciems	村莊
ciems	村落
ciems	村子
citas	其他
citas	其他
skaits	數
skaits	伯爵
skaits	數數
skaits	計數
skaits	數字
skaits	數
skaits	號碼
skaits	編號
ziemeļu	北方
ziemeļu	北
ziemeļu	北部
ziemeļu	北歐
ziemeļu	北方
ziemeļu	北部
suga	魚種
suga	物種
spēlē	玩
spēlē	彈
spēlē	播放
spēlē	玩
spēlē	播放
mūzikas	音樂
mūzikas	音樂劇
apriņķis	郡
apriņķis	縣
upes	河
upes	江河
upes	河流
upes	江
upes	河流
komanda	命令
komanda	指揮
komanda	團隊
komanda	球隊
komanda	隊伍
izlases	隨機
martā	三月
amerikāņu	美式
novembrī	十一月
augustā	八月
augustā	八月份
dienas	日子
dienas	天數
dienas	每日
reizi	一次
reizi	一旦
jūnijā	六月份
jūnijā	六月
armijas	集團軍
armijas	軍隊
armijas	軍
armijas	陸軍
klubs	幫會
klubs	club
klubs	俱樂部
cilvēku	人類
com	com
salas	群島
salas	島嶼
līgas	聯盟
līgas	同盟
līgas	聯賽
hokeja	曲棍球
hokeja	冰球
decembrī	十二月
ezers	湖泊
ezers	湖
dzelzceļa	鐵路
francijas	法文
francijas	法語
iespējams	可能
septembrī	九月份
septembrī	九月
gadus	歲月
gadus	年份
baltijas	波羅
baltijas	波羅的海
oktobrī	十月
oktobrī	十月份
daļas	部件
daļas	零件
izmanto	使用
austrumu	東
austrumu	東部
austrumu	東方
austrumu	東區
austrumu	東方
austrumu	東部
kultūras	莊稼
kultūras	農作物
kultūras	作物
kultūras	文化
rietumu	西邊
rietumu	西
rietumu	西方
rietumu	西部
rietumu	西方
rietumu	西部
dzimums	性別
dzimums	性別
dzimums	性愛
dzimums	性行為
dzimums	性
tagad	現在
baznīcas	教會
baznīcas	教堂
baznīcas	教會
baznīcas	教堂
auto	車
auto	汽車
auto	貨車
auto	卡車
auto	自動
baznīca	教會
baznīca	教堂
dzīvo	生活
dzīvo	活
dzīvo	直播
dzīvo	live
visas	全部
visas	所有
visas	all
aprīlī	四月
aprīlī	四月份
sporta	體育
sporta	運動
sporta	體育
sporta	運動
svg	svg
mājaslapa	網站
mājaslapa	網頁
mājaslapa	首頁
partijas	批次
zelta	golden
zelta	黃金
zelta	金色
zelta	金
zelta	金子
zelta	黃金
zelta	金色
zelta	gold
franču	法文
franču	法語
mājas	住家
mājas	房屋
mājas	房子
mājas	山寨
mājas	首頁
mājas	家
mājas	home
mājas	住家
citi	其他
citi	其他
nba	nba
februārī	二月
gandrīz	幾乎
latd	latd
longd	longd
latm	latm
longm	longm
krastā	岸上
krastā	岸
krastā	岸邊
krastā	海岸
krastā	上岸
pasta	mail
pasta	郵件
pasta	郵寄
pasta	信件
albums	相簿
albums	專輯
lauku	農村
prezidents	總統
prezidents	主席
gadi	歲月
gadi	年份
karalis	國王
karalis	king
karalis	王
nodarbošanās	職業
nodarbošanās	佔領
galvenokārt	大多
stacijas	站
stacijas	車站
politiķis	政客
politiķis	政治家
šeit	這裡
universitātes	大學
universitātes	大學
darba	工作
republikas	共和國
republikas	共和
būtu	應該
gadiem	歲月
gadiem	年份
apgabals	郡
apgabals	縣
apgabals	區
apgabals	地區
apgabals	面積
apgabals	地區
apgabals	區域
apgabals	區
darbības	活動
darbības	行動
pilsētu	城市
cilvēki	人
cilvēki	人們
cilvēki	人民
ezera	湖泊
ezera	湖
vārti	門戶
vārti	門
vārti	大門
kārlis	charles
izlase	樣品
izlase	取樣
izlase	抽樣
izlase	樣本
izlase	挑選
izlase	選取
izlase	選擇
izlase	甄選
viņi	她們
viņi	他們
viņi	它們
īpaši	尤其
īpaši	尤其是
īpaši	特別
dienvidu	南方
dienvidu	南部
dienvidu	南
dienvidu	南方
dienvidu	南部
partija	黨
partija	政黨
partija	宴會
partija	派對
partija	聚會
partija	批次
partija	分批
informācija	資訊
kluba	幫會
kluba	club
kluba	俱樂部
dzimusi	生於
dzimusi	誕生
dzimusi	出生
dzimusi	天生
teritorijas	領土
teritorijas	地區
rajons	組織
rajons	區
rajons	地區
balvu	獎品
balvu	獎賞
balvu	獎
medaļu	獎章
medaļu	勳章
medaļu	獎牌
lielā	大型
lielā	big
lielā	大
stat	stat
pirmās	首先
pirmās	第一
ielas	街道
katoļu	天主教
katoļu	天主教徒
visi	每個人
visi	全部
visi	所有
visi	all
visi	大家
visi	每個人
sistēmas	系統
sistēmas	系統
pusē	一面
pusē	側
līga	聯盟
līga	同盟
līga	聯賽
mūsdienu	摩登
mūsdienu	現代
mūsdienu	近代
mūsdienu	現代化
mūsdienu	當代
divi	兩
divi	兩個
divi	二
nāves	死亡
nāves	死神
pieder	擁有
padomes	安理會
aleksandrs	亞歷山大
aleksandrs	alexander
augusts	八月
augusts	八月份
galvenais	主要
galvenais	鑰匙
galvenais	鍵
galvenais	key
galvenais	關鍵
top	頂
top	top
top	頂端
top	熱門
top	最高
amerikas	美式
universitāte	大學
uzvarēja	元
liela	大型
liela	big
liela	大
liela	棒
liela	偉大
dabas	自然
dabas	天然
club	幫會
club	club
club	俱樂部
vairāki	多重
vairāki	多種
vairāki	多個
savienības	聯盟
savienības	工會
stacija	站
stacija	車站
vidū	中間
rakstnieks	作家
rakstnieks	作者
rakstnieks	編劇
universitātē	大學
pats	自己
ziemeļos	北方
ziemeļos	北
ziemeļos	北部
dienvidos	南
dienvidos	南方
dienvidos	南部
virs	上方
virs	以上
dziesmas	歌曲
dziesmas	歌
sieviešu	女
sieviešu	女性
zem	下方
zem	以下
maskavas	莫斯科
sākotnēji	最初
sākotnēji	原本
tieši	直接
filma	電影
filma	影片
filma	電影
filma	膠片
filma	影片
filmas	影片
filmas	電影
atkal	再次
autors	作者
zeme	地球
zeme	大地
zeme	陸地
zeme	土地
zeme	地面
ķermeņa	屍體
ķermeņa	體
ķermeņa	身體
sasniedza	已達到
vēlēšanās	選舉
vēlēšanās	選舉
stadions	體育館
stadions	運動場
stadions	球場
karš	戰
karš	戰爭
iedzīvotāji	居民
iedzīvotāji	市民
iedzīvotāji	公民
iedzīvotāji	人口
saules	太陽
saules	孫
saules	珊
saules	陽光
saules	太陽
saules	太陽能
vācijā	德國
laiks	時光
laiks	時間
ģimenē	家人
ģimenē	家屬
ģimenē	家庭
valstis	國家
valstis	國家
valstis	各國
skolas	學校
skolas	學校
skolas	上學
diena	日
diena	一天
diena	白天
diena	day
austrumos	東
austrumos	東部
austrumos	東方
austrumos	東區
temperatūra	氣溫
temperatūra	溫度
temperatūra	體溫
temperatūra	氣溫
temperatūra	溫度
aktieris	男主角
aktieris	演員
ciema	村
ciema	鄉村
ciema	村莊
ciema	村落
ciema	村子
darbi	工程
darbi	作品
darbi	工作
vēstures	歷史
kalnu	山
kalnu	山區
kalnu	山地
jūlijs	julius
jūlijs	七月
jūlijs	七月份
aizsardzības	國防
aizsardzības	防衛
čempionāts	錦標賽
datums	日期
datums	約會
visiem	每個人
visiem	全部
visiem	所有
visiem	all
visiem	大家
visiem	每個人
bgcolor	bgcolor
ēka	大樓
ēka	建築
ēka	建築物
sistēma	系統
vadītājs	管理者
vadītājs	經理人
vadītājs	經理
vadītājs	駕駛
vadītājs	司機
vadītājs	駕駛員
vadītājs	領導人
vadītājs	領導者
vadītājs	領袖
vadītājs	頭
vadītājs	頭部
caur	通過
caur	經由
caur	透過
caur	通過
kam	錦
colspan	colspan
ievēlēts	當選
ietilpst	封面
ietilpst	包括
ēkas	大樓
ēkas	建築
ēkas	建築物
ēkas	建築
ēkas	建築物
janvāris	一月
karjeru	職業
grupu	群組
grupu	群
vēsturē	歷史
uzņēmums	公司
uzņēmums	建立
uzņēmums	企業
tēvs	父親
tēvs	神父
tēvs	父
vārdu	詞
vārdu	word
vārdu	單詞
vārdu	字
vārdu	單字
dēls	兒子
basketbola	籃球
čempionāta	錦標賽
sudraba	銀色
sudraba	銀
sudraba	白銀
vārds	名字
vārds	名稱
vārds	姓名
teritorija	領地
teritorija	領土
teritorija	面積
teritorija	地區
teritorija	區域
teritorija	區
cilvēka	人類
netālu	近
netālu	靠近
netālu	附近
netālu	周邊
netālu	鄰近
netālu	附近
rietumos	西邊
rietumos	西
rietumos	西方
rietumos	西部
svars	加權
svars	重量
svars	重量
svars	體重
svars	份量
režisors	主任
režisors	導演
režisors	司長
spānijas	西班牙文
spānijas	西班牙語
labākais	best
labākais	最好
radio	電台
radio	廣播
radio	無線電廣播
radio	收音機
radio	廣播電台
radio	無線電
visvairāk	最多
visvairāk	大部分
visvairāk	多數
visvairāk	大多
visvairāk	大多數
otrais	第二
otrais	秒
dziesma	歌曲
dziesma	宋
dziesma	首歌
dziesma	歌
kaujas	戰
kaujas	戰役
kaujas	戰鬥
galvenā	主要
eest	eest
viņas	她的
vojevodiste	省
itālijas	義大利文
itālijas	義大利
koka	木
koka	木材
koka	wood
koka	木頭
clubnat	clubnat
isbn	isbn
brīvības	自由
karjeras	職業
karjeras	職業
miera	平安
miera	和平
pavadonis	衛星
pavadonis	月球
pavadonis	月亮
pavadonis	月
jūnijs	六月份
jūnijs	六月
katru	每個
www	www
tiesnesis	法官
karā	戰
karā	戰爭
sala	海島
sala	島嶼
sala	島
marts	mar
marts	三月
izglītības	教育
studijas	工作室
studijas	錄音室
studijas	studio
studijas	工作室
valdības	政府
valdības	政府
veids	型態
veids	類型
saraksts	名單
saraksts	清單
saraksts	列表
vasarā	summer
vasarā	夏日
vasarā	夏季
vasarā	暑假
vasarā	夏天
daudzi	許多
pamatā	基本上
starptautiskā	國際
maijs	may
maijs	梅
maijs	五月份
maijs	五月
karaļa	皇家
karaļa	皇室
būs	將
būs	威爾
ebreju	猶太人
ebreju	猶太
ebreju	猶太教
ebreju	希伯來
ebreju	希伯來文
agrāk	先前
agrāk	早先
agrāk	先前
indijas	印度
nedaudz	稍微
attēlā	圖
izmaiņas	變更
izmaiņas	變動
izmaiņas	變化
izmaiņas	更改
izmaiņas	改變
izmaiņas	更改
izmaiņas	變更
izmaiņas	變
cet	cet
pilnībā	充分
albuma	相簿
albuma	專輯
sezonu	季
sezonu	季節
robežas	邊界
robežas	界線
robežas	界限
robežas	邊界
robežas	邊框
robežas	邊境
robežas	邊界
robežas	邊框
robežas	邊境
robežas	極限
robežas	限額
medaļas	獎章
medaļas	勳章
medaļas	獎牌
pēdējā	上次
pēdējā	最後
dienu	日
dienu	一天
dienu	白天
dienu	day
dienā	日
dienā	一天
dienā	白天
dienā	day
dienā	每日
periods	期間
vēsture	歷史
platība	面積
platība	地區
platība	區域
platība	區
poļu	極地
karaspēks	陸戰隊
karaspēks	海軍陸戰隊
karaspēks	部隊
liels	大型
liels	big
liels	大
liels	棒
liels	偉大
zināms	已知
teātra	劇場
teātra	戰區
teātra	戲劇
teātra	劇院
teātra	戲院
aiz	背後
aiz	後面
aiz	身後
aktrise	女主角
aktrise	女演員
aktrise	演員
joprojām	仍然
joprojām	依然
februāris	二月
filmu	電影
filmu	影片
kārta	轉
kārta	圓
kārta	輪
tirdzniecības	行銷
tirdzniecības	貿易
grieķu	希臘文
grieķu	希臘
cilvēks	人類
cilvēks	人
cilvēks	男人
cilvēks	man
brālis	弟弟
brālis	哥
brālis	師兄
brālis	哥哥
brālis	兄弟
parks	樸
parks	公園
sacensībās	競賽
darbība	手術
darbība	行動
darbība	運算
darbība	操作
darbība	動態
darbība	活動
uzbrucējs	前鋒
bronzas	青銅
bronzas	銅
not	reg
karogs	旗幟
karogs	國旗
karogs	旗
karogs	旗子
zemi	地球
zemi	大地
zemi	陸地
zemi	土地
dažas	一些
dažas	有些
māte	母后
māte	母親
vidēji	平均
vidēji	平均值
vidēji	中位數
kategorijas	類別
ledus	冰塊
ledus	冰
ledus	ice
septembris	九月份
septembris	九月
tālāk	進一步
treneris	教練
vadīja	led
kāds	某人
kāds	有人
līnijas	線條
līnijas	線
ķīnas	中文
ķīnas	漢語
ķīnas	華人
krasta	岸上
krasta	岸
krasta	岸邊
krasta	海岸
žanrs	類型
žanrs	流派
šobrīd	目前
japānas	日本人
japānas	日文
komandieris	指揮官
komandieris	司令
dzīvi	生命
dzīvi	人生
dzīvi	生活
dzīvi	活
dzīvi	直播
dzīvi	live
jauna	新
jauna	新的
augstākā	最高
augstākā	最高
džons	john
novembris	十一月
rowspan	rowspan
skolā	學校
skolā	上學
jūlija	七月
jūlija	七月份
pulka	團
pulka	兵團
valdība	政府
mazāk	少
mazāk	少了
impērija	帝國
sevi	自我
decembris	十二月
decembris	dec
decembris	十二月
kļuvis	成為
aprīlis	四月
aprīlis	四月份
reizēm	有時候
pievienojās	加入
sistēmu	系統
lapas	樹葉
lapas	葉子
lapas	頁
īpašības	特徵
īpašības	特性
īpašības	特點
īpašības	屬性
daži	一些
daži	有些
darbs	工作
darbs	工作
darbs	工作
oktobris	十月
oktobris	十月份
grāmatas	圖書
grāmatas	書
grāmatas	書籍
muzejs	博物館
vārdi	人名
vārdi	名稱
vārdi	姓名
vārdi	言語
vārdi	詞語
vārdi	字
vārdi	詞
šie	這些
miljoni	百萬
miljoni	百萬
dažādas	不同
dažādas	雜項
grāmatu	圖書
grāmatu	書
grāmatu	書籍
sezona	季
sezona	季節
spēlētājs	球員
spēlētājs	玩家
meža	森林
spēle	game
spēle	比賽
spēle	博弈
spēle	遊戲
atsauces	參考
vairāku	多重
vairāku	多種
vairāku	多個
png	png
pāri	傷害
pāri	配對
rezultāts	成果
rezultāts	結果
rezultāts	結果
armija	集團軍
armija	軍隊
armija	軍
armija	陸軍
upe	河
upe	江河
upe	河流
upe	江
dzīvnieku	動物
biedrības	社團
biedrības	社會
teātrī	電影院
teātrī	劇場
teātrī	戲劇
teātrī	劇院
teātrī	戲院
pēteris	彼得
pēteris	peter
daļēji	局部
daļēji	部分
daļēji	局部
daļēji	部分
vienības	各單位
vienības	單元
vienības	單位
vienības	實體
oficiāli	官方
oficiāli	正式
augu	廠
augu	植物
augu	工廠
lielais	big
lielais	大
gaismas	光線
gaismas	光
gaismas	燈光
gaismas	輕
gaismas	光明
gaismas	燈
gaismas	燈光
kauss	盃
kauss	杯
kauss	杯子
albumu	相簿
albumu	專輯
iepriekš	先前
āfrikas	非洲
cilvēkiem	人類
cilvēkiem	人
cilvēkiem	人們
cilvēkiem	人民
kaujā	戰
kaujā	戰役
kaujā	戰鬥
lomu	作用
lomu	角色
okeāna	大洋
okeāna	洋
okeāna	海洋
okeāna	海
karjera	職業
karjera	職業
karjera	採石場
divus	兩
divus	兩個
divus	二
piezīmes	評論
piezīmes	意見
formas	形狀
formas	表格
zemnieku	農民
izņemot	除了
izņemot	除外
raksti	文章
raksti	經文
raksti	經文
https	https
pašu	相同
johans	johan
goda	名譽
goda	榮譽
goda	名譽
mācību	教書
mācību	教學
mācību	教
mācību	培訓
mācību	訓練
sabiedrības	社會
muiža	莊園
uzvaras	勝利
dzejnieks	詩人
metrus	米
metrus	公尺
vienmēr	始終
vienmēr	永遠
vienmēr	總是
roberts	羅伯特
roberts	robert
pili	城堡
pili	castle
pili	城
valstīm	國家
valstīm	各國
balva	戰利品
balva	獎盃
balva	獎杯
balva	頒獎
balva	獎勵
balva	獎
balva	獎品
balva	獎賞
balva	獎
balva	授予
balva	獎
pirmie	首先
pirmie	第一
putnu	伯德
putnu	鳥
okupācijas	職業
okupācijas	佔領
loceklis	會員
loceklis	成員
austrālijas	澳洲
ministrs	大臣
ministrs	部長
pasažieru	乘客
pasažieru	旅客
minēta	提及
minēta	mentions
abi	abi
punkti	點
punkti	點數
punkti	積分
punkti	分數
satur	含有
satur	包含
centrā	市區
centrā	中心
centrā	中心
drīz	不久
drīz	很快
nokrišņu	降雨量
nokrišņu	雨量
nokrišņu	降雨
austrijas	奧地利
vietām	地方
vietām	地點
līdzīgi	類似
līdzīgi	相似
dažādi	不同
dažādi	雜項
piemineklis	碑
piemineklis	紀念碑
putni	鳥類
putni	鳥
putni	鳥兒
polijā	波蘭
republika	共和國
republika	共和
raksts	圖案
raksts	格局
raksts	模式
izmantots	使用
galvenās	主要
iekļauta	包括
punkts	角
punkts	點
kino	電影
kino	電影院
kino	電影
kino	戲院
āzijas	亞洲
karu	戰
karu	戰爭
mākslinieks	藝術家
mākslinieks	藝人
pārsvarā	大多
latīņu	拉丁
latīņu	拉丁文
galvaspilsēta	資本
galvaspilsēta	首都
arābu	阿拉伯
arābu	阿拉伯文
arābu	阿拉伯語
krusta	十字架
krusta	cross
krusta	十字
krusta	交叉
esot	據稱
akmens	stone
akmens	石
akmens	斯通
akmens	石頭
akmens	岩
akmens	岩石
akmens	石頭
akmens	rock
akmens	搖滾
mātītes	女性
bērni	小孩
bērni	兒童
televīzijas	電視機
televīzijas	電視
televīzijas	電視台
zaudēja	失
zaudēja	輸
zaudēja	輸了
zaudēja	遺失
zaudēja	迷失
ģimenes	家庭
ģimenes	家人
ģimenes	家屬
ģimenes	家庭
pāvests	教皇
pāvests	教宗
četras	四個
četras	四
četras	四名
cits	其他
līnija	line
līnija	線
līnija	線路
nobela	諾貝爾
medicīnas	醫療
medicīnas	醫務
medicīnas	醫學
ārpus	外部
ārpus	室外
ārpus	外面
ārpus	外
koku	樹
koku	樹木
balvas	頒獎
balvas	獎勵
balvas	獎
balvas	獎品
piedalās	參加
piedalās	參與
pārskats	審查
daudzums	數量
daudzums	量
video	視訊
video	影片
turcijas	土耳其
priekšsēdētājs	總統
priekšsēdētājs	主席
priekšsēdētājs	主席
priekšsēdētājs	主席
org	org
gar	沿
frīdrihs	friedrich
daudzas	許多
sacensības	競賽
sacensības	種族
sacensības	比賽
sacensības	賽跑
sacensības	種族
sacensības	競賽
skola	學校
skola	上學
raksta	書寫
raksta	寫入
raksta	寫
raksta	撰寫
raksta	寫作
nozīme	含義
projekta	項目
attēlu	影象
attēlu	影像
attēlu	圖片
bāzes	基地
ciemu	村
ciemu	鄉村
ciemu	村莊
ciemu	村落
ciemu	村子
lauksaimniecības	農業
priekštecis	祖先
formula	公式
formula	方程式
formula	配方
sakarā	尊敬
sakarā	尊重
francijā	法國
dzelzs	鋼鐵
dzelzs	鐵
trešā	第三
ceļš	路徑
ceļš	公路
ceļš	道路
ceļš	路
grāmata	圖書
grāmata	書
grāmata	書籍
cīņas	摔跤
cīņas	摔角
cīņas	戰役
augstums	海拔
augstums	高度
augstums	身高
augstums	高度
gadījumos	案例
atbalstu	支援
dzimtā	原生
pēdējais	上次
pēdējais	最後
kompānija	公司
viegli	容易
viegli	輕鬆
viegli	簡單
studentu	學生
skolu	學校
skolu	上學
klubā	幫會
klubā	club
klubā	俱樂部
versija	版
versija	版本
pēdējo	上次
pēdējo	最後
vēlēšanas	選舉
vēlēšanas	選舉
čempions	拳王
čempions	冠軍
čempions	冠軍
kravas	貨運
kravas	貨物
kravas	貨
kravas	運費
kravas	貨運
kravas	負載
kravas	負荷
akadēmijas	學院
jaunas	新
jaunas	新的
savienība	聯盟
savienība	工會
papildus	附加
papildus	補充
iespējas	可能性
iespējas	機遇
iespējas	機會
iespējas	選項
gara	久
gara	長
nationalyears	nationalyears
tour	游
tour	遊覽
tour	導覽
tour	旅遊
dalībnieki	演員
dalībnieki	成員
finanšu	財務
finanšu	金融
finanšu	財務
aktīvi	積極
aktīvi	活躍
aktīvi	資產
trešais	第三
temperatūras	氣溫
temperatūras	溫度
temperatūras	氣溫
temperatūras	溫度
temperatūras	體溫
attiecības	關係
attiecības	關係
attiecības	戀愛
attiecības	感情
attiecības	關係
vīriešu	男性
vīriešu	男
avots	來源
avots	源
grand	grand
kājnieku	步兵
pēctecis	後裔
pēctecis	後代
jaunais	新
jaunais	新的
aizsargs	守衛
aizsargs	衛兵
aizsargs	警衛
aizsargs	守護
grādu	度
grādu	程度
grādu	學位
vienība	股
vienība	單元
vienība	單位
vienība	實體
mirusi	逝者
mirusi	已故
mirusi	死
piemiņas	紀念
piemiņas	紀念
piemiņas	紀念館
piemiņas	紀念碑
piemiņas	紀念
piemiņas	紀念
kalendāra	日曆
kalendāra	曆法
kalendāra	曆
vielas	物質
reģions	區域
tuvumā	周邊
tuvumā	鄰近
tuvumā	附近
mēneša	月刊
mēneša	每月
masa	質量
masa	彌撒
samērā	相對
trim	三
trim	三個
nepieciešams	需求
nepieciešams	需要
nepieciešams	需要
nepieciešams	必要
nepieciešams	必需
visa	全部
visa	所有
visa	all
jūra	大海
jūra	海上
jūra	海
maskavā	莫斯科
foto	像片
foto	照片
iekļauts	包括
darbinieks	僱員
darbinieks	員工
darbinieks	職工
spāņu	西班牙文
spāņu	西班牙語
uzvarējis	元
minūtes	分鐘
iedalījums	明細
iedalījums	擊穿
iedalījums	師團
sks	探險
viss	一切都
viss	一切
lielas	大型
mērķis	目標
mērķis	目標
mērķis	目標
jauns	新
jauns	新的
nakts	夜晚
nakts	晚上
nakts	夜
zinātnes	科學
ieskaitot	包括
ieskaitot	包容
ieskaitot	包容性
kapteinis	機長
kapteinis	隊長
kapteinis	主人
kapteinis	大師
kapteinis	師父
kapteinis	師傅
kapteinis	指揮官
kapteinis	司令
olas	蛋
olas	雞蛋
olas	卵
olas	蛋
olas	雞蛋
marija	marie
marija	mary
marija	瑪麗
marija	瑪莉
marija	瑪利亞
marija	瑪麗亞
marija	maria
interneta	網路
interneta	網際網路
miljoniem	百萬
funkcijas	函數
programmas	方案
programmas	方案
programmas	程式
sarkanā	紅
sarkanā	red
sarkanā	紅色
pilnīgi	絕對
pilnīgi	充分
pilnīgi	完全
pilnīgi	完全
ātri	快速
ātri	快速
līgums	合同
līgums	合約
līgums	條約
revolūcijas	革命
vidējā	平均
vidējā	平均值
literatūras	文學
literatūras	文獻
literatūras	文學
biedrs	會員
biedrs	成員
biedrs	同志
biedrs	同學
dzīvnieki	動物
html	html
pazīstama	已知
tips	型態
tips	類型
zinātne	科學
red	ied
rezultāti	成果
rezultāti	結果
metri	公尺
metri	米
metri	公尺
anna	anne
anna	ann
anna	安娜
anna	anna
iekļāva	包括
teātris	劇場
teātris	戰區
teātris	戲劇
teātris	劇院
teātris	戲院
bīskaps	主教
bīskaps	bishop
katra	每個
vecāki	父母親
vecāki	父母
vecāki	家長
vecāki	年長
vecāki	老年
policijas	警務
policijas	警方
policijas	警務
policijas	警察
galvas	頭
galvas	頭部
federācijas	聯邦
krāsu	色
krāsu	彩色
krāsu	顏色
krāsu	色彩
krāsu	彩色
krāsu	顏色
krāsu	色彩
ungārijas	匈牙利
ungārijas	匈牙利語
vienkārši	簡單
ministrijas	部委
ministrijas	各部
ekonomikas	經濟
izveidot	創建
tēviņi	男性
tēviņi	男性
tēviņi	男
forma	形狀
forma	形式
forma	表格
krāsas	顏色
krāsas	色彩
krāsas	畫
krāsas	油漆
krāsas	顏料
krāsas	顏色
krāsas	色彩
nedēļas	星期
nedēļas	周
nedēļas	週數
nedēļas	每星期
nedēļas	週刊
nedēļas	每週
nedēļas	每周
tūkstoši	千
tūkstoši	數千
garš	高
garš	高大
garš	久
garš	長
sērijas	系列
desmit	十
desmit	十個
desmit	ten
imperators	皇帝
imperators	天皇
strauji	快速
pāris	配對
pāris	夫妻
pāris	情侶
pāris	夫婦
augstākās	最高
sauszemes	陸地
barības	動態
barības	飼料
ūdenī	飲水
ūdenī	水
pieņemts	假定
pieņemts	接受
atklāts	開
atklāts	營業
atklāts	開啟
atklāts	開放
diezgan	漂亮
beidzās	過期
tilts	橋
tilts	艦橋
tilts	大橋
tilts	橋梁
tilts	橋牌
ielām	街道
tabula	表
cauri	透過
cauri	通過
džeimss	james
džeimss	詹姆士
blakus	鄰接
blakus	相鄰
blakus	鄰近
blakus	毗鄰
strādāt	工作
kom	com
japāņu	日本人
japāņu	日文
mūzika	音樂
province	省
province	省省
province	省份
padome	安理會
itāļu	義大利文
itāļu	義大利
naudas	金錢
naudas	錢
iso	iso
mēness	月球
mēness	月亮
mēness	月
svētku	喜慶
vācija	德國
aleksandra	alexandra
aleksandra	aleksandra
vārtsargs	守門員
kuģis	船隻
kuģis	船
kuģis	船隻
kuģis	艦
kuģis	船舶
kuģis	工藝
kuģis	手藝
iet	步行
iet	散步
iet	走路
marta	martha
marta	三月
turnīrs	錦標賽
