romero	ρομέρο
enregistraments	ηχογραφήσεις
euro	ευρω
euro	euro
euro	ευρώ
armenis	αρμένιοι
muntar	τοποθέτηση
muntar	στερέωσης
vins	κρασιά
vins	οίνοι
prince	πρίγκηπας
prince	πρίγκιπας
prince	πρίγκιπα
prince	πρινς
prince	prince
holstein	holstein
catolicisme	καθολικισμό
afecten	επηρεάσει
afecten	επηρεάζουν
iniciatives	πρωτοβουλίες
fila	σειρά
fila	κουπί
fila	ρόου
connexions	συνδέσεις
connexions	διασυνδέσεις
dignitat	αξιοπρέπεια
flores	φλόρες
cartell	αφίσα
cartell	πόστερ
fetge	ήπαρ
fetge	συκώτι
marx	μαρξ
ciu	οσε
jerarquia	ιεραρχία
jerarquia	ιεράρχηση
leonard	λέοναρντ
leonard	leonard
collins	collins
collins	κόλλινς
collins	κόλινς
pòrtic	πόρτικο
escrivint	συγγραφή
escrivint	γραφή
escrivint	γράψιμο
manageryears	manageryears
danubi	δούναβη
aplicat	εφαρμόστηκε
aplicat	εφαρμόζεται
aplicat	εφαρμοζόμενη
paquets	συσκευασίες
paquets	πακέτα
paquets	δέματα
caixes	κουτιά
caixes	κιβώτια
lentament	αργά
suplement	συμπλήρωση
suplement	συμπλήρωμα
accessible	προσβάσιμο
accessible	προσβάσιμη
accessible	προσιτή
accessible	προσιτό
salons	αίθουσες
filadèlfia	φιλαδέλφεια
especialistes	ειδικοί
especialistes	ειδικούς
hardy	χάρντι
hudson	χάντσον
combinar	συνδυασμός
combinar	συνδυάζουν
amir	αμίρ
infraestructura	υποδομές
infraestructura	υποδομής
infraestructura	υποδομή
olor	μυρωδιά
olor	άρωμα
olor	οσμή
olor	οσμή
olor	όσφρηση
olor	μυρωδιά
watson	γουάτσον
watson	γουότσον
watson	watson
substrat	υπόστρωμα
prix	πρι
banys	τουαλέτες
banys	μπάνια
banys	λουτρά
banys	μπάνια
holandès	ολλανδός
holandès	ολλανδικό
holandès	ολλανδικά
holandès	ντατς
holandès	ολλανδική
estrenat	κυκλοφόρησε
estrenat	απελευθερώνεται
ibèric	ιβηρική
harris	χάρρις
harris	χάρις
harris	harris
mortal	θανατηφόρα
mortal	θανατηφόρος
mortal	θανατηφόρο
mortal	θανάσιμα
mortal	θνητοί
mortal	θνητός
mortal	θνητό
mortal	θνητή
servit	υπηρέτησε
insígnia	διακριτικά
insígnia	έμβλημα
elionor	έλενορ
gal	γκαλ
chen	chen
chen	τσεν
trans	τρανς
trans	trans
anunci	αναγγελία
anunci	ανακοίνωση
exposat	εκτεθεί
exposat	εκτεθειμένοι
exposat	εκτεθειμένη
exposat	εκτεθειμένα
exposat	εκτεθειμένος
exposat	εκτεθειμένο
compressió	συμπίεση
dilluns	δευτέρα
editada	επεξεργάστηκε
examen	εξετάσεις
rudolf	ρούντολφ
nicolás	nicolás
viscut	έζησα
viscut	έζησε
viscut	έζησαν
viscut	ζούσε
cama	πόδι
paquet	δέμα
paquet	πακέτο
paquet	συσκευασία
sergi	σέργιος
transforma	μετατρέψει
transforma	μεταμόρφωση
transforma	μεταμορφώνει
morfologia	μορφολογία
bru	bru
èmfasi	έμφαση
tierra	tierra
dispersió	διασπορά
autopista	αυτοκινητόδρομος
autopista	λεωφόρος
autopista	αυτοκινητόδρομο
rebuda	ελήφθη
rebuda	έλαβε
huracà	τυφώνας
huracà	τυφώνα
margaret	μαργαρίτα
margaret	μάργκαρετ
desastre	καταστροφή
protector	προστάτη
protector	προστάτης
estructural	διαρθρωτικά
defensiva	αμυντική
defensiva	αμυντικός
defensiva	αμυντικά
entrat	εισήλθε
conscient	συνειδητή
capitals	πρωτεύουσες
sensible	ευαίσθητο
sensible	ευαίσθητη
sensible	ευαίσθητος
sensible	ευαίσθητα
sensible	ευαισθησία
criminal	κακοποιός
criminal	εγκληματική
criminal	εγκληματίας
criminal	ποινικό
warner	γουόρνερ
warner	warner
humits	υγρή
humits	υγρός
humits	υγρό
bank	τράπεζα
bank	bank
bit	bit
gustav	γκούσταβ
decorats	διακοσμημένα
fans	ανεμιστήρες
fans	θαυμαστές
fans	οπαδοί
domina	κυριαρχεί
josef	ιωσήφ
josef	γιόζεφ
josef	τζόζεφ
bas	bas
esclau	δούλος
esclau	σκλάβα
esclau	σκλάβος
tebes	θήβα
hms	hms
ajudat	βοήθησα
ajudat	βοήθησε
setena	έβδομη
setena	έβδομο
maduresa	ωριμότητα
schmidt	σμιτ
schmidt	schmidt
schmidt	σμιντ
condemna	καταδίκη
condemna	καταδικάζει
reuneix	συγκεντρώνει
adjacents	δίπλα
construeix	κατασκεύασμα
construeix	κατασκευή
anatòlia	ανατολία
bany	μπάνιο
bany	τουαλέτα
estimació	εκτίμηση
barba	γενειάδα
barba	μούσι
barba	γένια
exportació	εξαγωγές
exportació	εξαγωγή
exportació	εξαγωγής
exportació	εξαγωγή
suports	σκηνικά
notre	notre
atribuït	απέδωσε
atribuït	αποδόθηκε
atribuït	αποδίδεται
anatomia	ανατομία
codificació	κωδικοποίηση
codificació	κωδικοποίηση
francesca	φραντσέσκα
jurament	όρκο
jurament	όρκος
venjança	εκδίκηση
venjança	εκδίκηση
mercenaris	μισθοφόροι
mercenaris	μισθοφόρους
alep	χαλέπι
medicaments	φάρμακα
habitacions	αίθουσες
habitacions	δωμάτια
exclusiva	αποκλειστική
exclusiva	αποκλειστικός
exclusiva	αποκλειστικό
exclusiva	αποκλειστικά
exclusiva	αποκλειστικότητα
integrant	ενσωμάτωση
contractat	προσέλαβε
subclassis	subclassis
sumatra	σουμάτρα
scala	scala
passatge	πέρασμα
veïnat	γειτονιά
veïnat	γειτονία
recuperat	ανακτηθεί
registrat	εγγεγραμμένος
registrat	καταχωρημένο
relatiu	συγγενής
relatiu	σχετικός
relatiu	σχετική
relatiu	σχετικό
next	επόμενος
next	επόμενη
next	επόμενο
proporcional	αναλογική
proporcional	αναλογικά
proporcional	αναλογικό
gastronomia	γαστρονομία
pisa	πίζα
dependent	εξαρτημένος
dependent	εξαρτημένη
esperant	περιμένω
esperant	περιμένοντας
esperant	περιμένει
esperant	αναμονή
concentrar	πυκνό
gonzalo	γκονζάλο
característics	χαρακτηριστική
característics	χαρακτηριστικό
incendis	φωτιές
incendis	πυρκαγιές
pretor	πραίτορα
sony	sony
kurt	κουρτ
kurt	κερτ
ibm	ibm
suggerir	προτείνετε
sou	μισθός
sou	μισθό
focs	πυροτεχνήματα
dividits	διαιρεμένη
dividits	διχασμένη
dividits	διαιρείται
preservació	διαφύλαξη
preservació	διατήρηση
thompson	thompson
thompson	τόμπσον
thompson	τόμσον
oportunitats	ευκαιρίες
cook	μάγειρα
cook	μαγείρισσα
cook	μάγειρας
cook	κουκ
cook	μαγείρεμα
eugeni	γιουτζίν
assistents	συμμετέχοντες
assistents	βοηθοί
assistents	βοηθούς
targetes	τράπουλα
targetes	χαρτιά
targetes	κάρτες
targetes	φύλλα
latitud	πλάτος
concentracions	συγκεντρώσεις
caçadors	κυνηγούς
caçadors	κυνηγοί
catherine	κατρίν
catherine	catherine
catherine	αικατερίνη
catherine	κάθριν
catherine	κατερίνα
uganda	ουγκάντα
reglament	κανονισμός
reglament	κανονισμού
beguda	αναψυκτικό
beguda	ποτό
beguda	ρόφημα
beguda	ποτό
bicicleta	ποδήλατο
duració	διάρκεια
duració	διαρκεια
consolidació	παγίωση
consolidació	ενοποίηση
neolític	νεολιθική
determinació	αποφασιστικότητα
determinació	προσδιορισμός
determinació	καθορισμός
elevades	αυξημένα
pep	πεπ
combinat	συνδυασμένα
combinat	συνδυασμένες
combinat	συνδυασμένη
combinat	συνδυασμένης
combinat	συνδυασμένο
silvestre	silvestre
facció	φατρία
sultanat	σουλτανάτο
école	école
carlota	charlotte
carlota	σαρλότ
carlota	σάρλοτ
estels	άστρα
estels	αστέρια
estels	stars
estels	αστεράκια
khanat	χανάτο
negatius	αρνητικά
esclavitud	δουλεία
esclavitud	σκλαβιά
paleolític	παλαιολιθική
àtom	άτομο
segòvia	σεγκόβια
pastoral	ποιμενική
ortega	ortega
ramírez	ραμίρεζ
dinosaures	δεινόσαυροι
dinosaures	δεινόσαυρους
immediata	άμεσο
immediata	αμεσα
immediata	άμεση
envolten	περιβάλλουν
esquadra	απόσπασμα
esquadra	διμοιρία
esquadra	ομάδα
levi	levi
dead	νεκροί
dead	νεκρή
dead	νεκρός
dead	νεκρό
brut	βρούτος
lang	λανγκ
clans	φυλές
clans	φατρίες
porció	μερίδα
tubs	λυχνίες
tubs	σωλήνες
penes	λύπες
accidents	ατυχήματα
entrant	μίζα
lloyd	λόυντ
lloyd	λόιντ
lloyd	lloyd
fix	σταθερό
fix	σταθερή
fix	σταθερά
privilegi	προνόμιο
apòstols	απόστολοι
càlculs	υπολογισμούς
càlculs	υπολογισμοί
montenegro	μαυροβούνιο
descàrrega	κατέβασμα
descàrrega	λήψη
descàrrega	κατεβάστε
realista	ρεαλιστικά
realista	ρεαλιστική
realista	ρεαλιστικές
realista	ρεαλιστικό
angel	άγγελος
angel	αγγελος
angel	έιντζελ
angel	angel
handbol	χάντμπολ
mercedes	mercedes
mercedes	μερσέντες
mercedes	μερσεντές
bizanci	βυζάντιο
hondures	ονδούρα
malawi	μαλάουι
primari	πρωτογενής
primari	πρωτοβάθμια
primari	πρωτογενούς
primari	πρωτεύον
mobilitat	κινητικότητα
mobilitat	κινητικότητας
crustacis	μαλακόστρακα
racó	γωνιακό
racó	γωνιά
racó	γωνία
troia	τροία
troia	τρόι
erupció	έκρηξη
gats	γάτες
homer	χόμερ
homer	όμηρος
costaneres	παράκτιες
costaneres	παράκτια
poderosa	ισχυρός
poderosa	ισχυρό
poderosa	ισχυρή
futurs	μέλλοντα
sàhara	σαχάρα
promotor	διοργανωτής
tabac	καπνού
tabac	καπνός
tabac	καπνό
tabac	καπνά
metropolitan	μητροπολιτική
pics	σφαίρες
pics	κορυφές
pronunciat	προφέρεται
fiable	αξιόπιστο
fiable	αξιόπιστα
fiable	αξιόπιστη
fiable	αξιόπιστος
montpeller	μονπελιέ
assassí	δολοφόνος
assassí	φονιά
assassí	φονιάς
precipitacions	βροχοπτώσεις
eficiència	αποτελεσματικότητα
eficiència	αποδοτικότητα
eficiència	απόδοση
sencera	ολόκληρα
sencera	ολόκληρη
sencera	ολόκληρο
entesa	κατανόηση
coberts	μαχαιροπίρουνα
stanford	στάνφορντ
info	info
info	πληροφορίες
virgili	βέρτζιλ
classic	κλασσικά
classic	κλασικά
classic	κλασσικό
classic	κλασική
classic	κλασικό
cràter	κρατήρα
esquadró	σμήνος
esquadró	μοίρα
suprema	υπέρτατη
suprema	ανώτατο
suprema	ανώτατη
antologia	ανθολογία
franquícia	franchise
declaracions	καταθέσεις
declaracions	δηλώσεις
mecànic	μηχανικός
mecànic	μηχανικά
mecànic	μηχανικό
explorar	εξερεύνηση
hereva	κληρονόμος
hereva	κληρονόμο
wei	γουέι
diferencial	διαφορική
esplendor	μεγαλείο
baker	baker
baker	μπέικερ
turistes	τουρίστες
calcària	ασβεστόλιθο
revela	αποκαλύπτει
revela	αποκαλύπτεται
leiden	leiden
limitacions	περιορισμούς
limitacions	περιορισμοί
consola	κονσόλα
partició	διαχωριστικό
partició	κατάτμηση
partició	διχοτόμηση
postura	στάση
tribunals	δικαστήρια
cortés	κορτές
sagristia	σκευοφυλάκιο
descomposició	αποσύνθεση
conreus	καλλιέργειες
conreus	σοδειές
respostes	απαντήσεις
respostes	απαντήσεις
respostes	απαντήσεις
conservadors	συντηρητικοί
conservadors	συντηρητικούς
candidatures	υποψηφιότητες
mariners	ναυτικοί
mariners	ναύτες
horari	πρόγραμμα
horari	χρονοδιάγραμμα
horari	προγραμματισμός
horari	προγραμμα
annexió	προσάρτηση
kurdistan	κουρδιστάν
devoció	αφοσίωση
kent	κεντ
portals	πύλες
melodies	μελωδίες
mixta	μεικτή
mixta	μεικτό
mixta	μικτή
mixta	μεικτά
mixta	μεικτές
mosaic	μωσαϊκό
proa	τόξο
proa	υπόκλιση
auxiliars	βοηθητικά
auxiliars	βοηθητικό
auxiliars	βοηθητική
desenes	tens
desenes	δεδ
atacant	επιτίθεται
agnès	άγκνες
agnès	αγνή
evans	έβανς
evans	evans
utrecht	ουτρέχτη
infeccions	μολύνσεις
infeccions	λοιμώξεις
explotar	εκραγεί
olivier	ολιβιέ
gendarmeria	χωροφυλακής
successives	διαδοχικές
successives	διαδοχικά
complement	πρόσθετο
slam	slam
graham	γκράχαμ
graham	graham
prosperitat	ευημερία
tràcia	θράκη
savi	σοφοί
savi	σοφό
savi	σοφή
savi	σοφός
andes	άνδεις
cantàbria	κανταβρία
gutiérrez	gutiérrez
belgrad	βελιγράδι
belgrad	βελιγραδίου
ingredients	συστατικά
advocats	δικηγόρους
advocats	δικηγόροι
acadèmics	ακαδημαϊκοί
mills	μιλς
elegits	εκλεγμένος
elegits	εκλεγεί
elegits	εκλέγεται
elegits	εξελέγη
fuga	φούγκα
fuga	διαφυγής
fuga	διαφυγή
fuga	απόδραση
rom	ρομ
rom	rom
rom	ρούμι
louise	λουίζ
hospitals	νοσοκομείων
hospitals	νοσοκομεία
obligació	υποχρέωση
esteban	εστεμπάν
trastorn	διαταραχή
trastorn	αταξία
sara	sara
sara	σάρα
imam	ιμάμη
oslo	όσλο
prevenció	πρόληψη
mussolini	μουσολίνι
bombarders	βομβαρδιστικά
bombarders	βομβιστές
comparar	συγκρίνετε
comparar	συγκρίνουμε
vespre	απόγευμα
vespre	καλησπέρα
vespre	βράδυ
morales	μοράλες
jeff	τζεφ
jeff	jeff
descans	διάλειμμα
descans	σπάσε
descans	διακοπή
descans	σπάσιμο
descans	ξεκούραση
descans	υπόλοιπα
descans	ανάπαυση
actuant	ενεργεί
actuant	ηθοποιία
actuant	υποκριτική
actuant	ενεργώντας
bryan	bryan
tallada	χάραξε
radar	ραντάρ
sopar	βραδινό
sopar	δείπνο
contingent	άγημα
johan	γιόχαν
caracteritzat	χαρακτηρίζεται
lisa	λίζα
lisa	λίσα
lisa	lisa
plasma	πλάσματος
plasma	πλάσμα
ratolí	ποντικάκι
ratolí	ποντικός
ratolí	μάους
ratolí	ποντίκι
basilea	βασιλείας
basilea	βασιλεία
corbes	καμπύλες
correcció	διόρθωση
correcció	ορθότητα
àvia	γιαγιά
cooper	cooper
cooper	κούπερ
internacionalment	διεθνώς
guillermo	γκιγιέρμο
mostrat	εμφανίζεται
néta	εγγονή
folklore	λαογραφία
gant	γάνδη
seine	σηκουάνα
raïm	σταφύλια
solo	σόλο
hot	ζέστη
hot	ζεστό
hot	καυτός
hot	καυτό
hot	καυτή
administracions	διοικήσεις
conqueridor	κατακτητής
enciclopèdic	εγκυκλοπαιδική
herman	herman
herman	χέρμαν
werner	βέρνερ
rituals	τελετές
rituals	τελετουργικά
discursos	ομιλίες
amfibis	αμφίβια
sts	sts
detinguts	κρατούμενοι
detinguts	κρατουμένων
desenvolupats	αναπτύχθηκαν
desenvolupats	αναπτύχθηκε
desenvolupats	αναπτυχθεί
mikhaïl	μιχαήλ
caledònia	καληδονία
detenció	σύλληψη
detenció	κράτησης
detenció	τιμωρία
detenció	κράτηση
entrevistes	συνεντεύξεις
audiovisual	οπτικοακουστικό
audiovisual	οπτικοακουστικά
subespècie	υποείδος
sofre	θειάφι
sofre	θείο
aïllada	απομονωμένος
aïllada	απομονωμένο
aïllada	απομονωμένα
aïllada	απομονωμένη
manhattan	μανχάταν
hopkins	χόπκινς
haia	χάγης
haia	χάγη
melbourne	μελβούρνη
sociologia	κοινωνιολογία
estratègic	στρατηγικό
jerry	τζέρυ
jerry	τζέρι
namíbia	ναμίμπια
ramos	ράμος
teòrica	θεωρητικές
teòrica	θεωρητικά
teòrica	θεωρητικό
teòrica	θεωρητική
timbre	κουδούνι
timbre	καμπάνα
timbre	μπελ
timbre	καμπανάκι
timbre	bell
acumulació	συσσώρευση
magatzems	αποθήκες
mali	μάλι
weimar	βαϊμάρη
pous	γουέλς
pous	πηγάδια
taverna	ταβέρνα
true	αληθές
true	αληθεια
true	αληθινή
true	αλήθεια
connecticut	κονέκτικατ
impost	φόρου
impost	φόρος
aurora	aurora
terrat	ταράτσα
darwin	δαρβίνου
darwin	δαρβίνος
institucional	θεσμικό
institucional	θεσμική
lugo	λούγκο
coets	ρουκέτες
coets	πύραυλοι
romàntic	ρομαντικά
romàntic	ρομαντικό
romàntic	ρομαντική
romàntic	ρομαντικός
precipitació	κατακρήμνιση
executiva	εκτελεστική
executiva	εκτελεστικό
eure	eure
matthew	μάθιου
acb	acb
intermedi	ενδιάμεσα
intermedi	ενδιάμεσος
intermedi	ενδιάμεση
intermedi	ενδιάμεσες
intermedi	ενδιάμεσο
beatriu	μπεατρίς
polígon	πολύγωνο
corregir	σωστή
corregir	σωστό
corregir	σωστά
corregir	σωστός
traspàs	μεταφορά
traspàs	μετάθεση
traspàs	μεταβίβαση
compartit	κοινοποίησε
compartit	κοινοποιήθηκε
pero	πέρο
desapareguda	λείπουν
desapareguda	λείπει
desapareguda	αγνοούμενος
desapareguda	αγνοείται
butlletí	newsletter
butlletí	δελτίο
hercegovina	ερζεγοβίνη
groenlàndia	γροιλανδίας
groenlàndia	γροιλανδία
inca	ίνκα
oceania	ωκεανία
studio	στούντιο
studio	studio
shadow	σκιά
indo	ινδο
faccions	φατρίες
aixeca	ανελκυστήρες
zoologia	ζωολογία
efectius	στρατεύματα
efectius	στράτευμα
efectius	στρατιώτες
toro	τόρο
campanes	κουδούνια
campanes	καμπάνες
extraordinària	έκτακτα
extraordinària	έκτακτη
basar	παζάρι
vuitè	όγδοη
vuitè	όγδοο
ron	ρον
ron	ron
migració	μετανάστευση
migració	μετανάστευσης
antropologia	ανθρωπολογία
princeton	πρίνστον
baptiste	μπαπτίστ
carro	καρότσι
carro	καρτ
carro	κάρο
estatuts	καταστατικό
estatuts	καταστατικά
contínuament	συνεχώς
solana	σολάνα
solana	λιακάδα
precisa	ακριβής
precisa	ακριβές
precisa	ακριβή
precisa	ακριβείς
turner	turner
turner	τέρνερ
palaus	παλάτια
auge	αύγη
mesopotàmia	μεσοποταμία
pradesh	pradesh
vestuari	γκαρνταρόμπα
vestuari	ντουλάπα
vestuari	στολές
vestuari	κουστούμια
vestuari	κοστούμια
renúncia	παραίτηση
caigut	πεσμένο
disset	δεκαεπτά
disset	seventeen
disset	δεκαεφτά
controlada	ελεγχόμενη
controlada	ελέγχεται
controlada	ελεγχόμενο
controlada	ελεγχόμενες
circumferència	κύκλο
circumferència	κύκλος
circumferència	περίμετρος
epidèmia	επιδημία
transversal	εγκάρσια
divulgació	γνωστοποίηση
salvatges	βάρβαροι
salvatges	άγριοι
naturalista	φυσιοδίφης
moderat	μέτρια
moderat	μέτριος
moderat	μέτριο
moderat	μετριαστεί
abolició	κατάργηση
guillaume	γκιγιόμ
meca	μέκκα
visitant	επισκέπτης
visitant	επισκέπτη
visitant	επισκέπτης
dolç	γλυκό
dolç	γλυκά
dolç	γλυκιά
dolç	γλυκός
torrents	torrent
larry	λάρρυ
larry	larry
larry	λάρυ
larry	λάρι
patent	ευρεσιτεχνίας
patent	πατέντα
twitter	τουίτερ
twitter	twitter
wayne	γουέιν
wayne	wayne
cerimònies	τελετές
escates	κλίμακες
vocabulari	λεξιλόγιο
pila	στοίβα
pila	σωρός
pila	στοίβα
pila	στακ
dick	dick
dick	ντικ
prior	ηγούμενος
edimburg	εδιμβούργου
edimburg	εδιμβούργο
motocicletes	μοτοσικλέτες
arsenal	οπλοστάσιο
transformacions	μεταμορφώσεις
desapareix	εξαφανίζεται
delictes	εγκλήματα
ortiz	ορτίζ
cia	cia
cia	σια
cia	cia
cia	σια
pink	ροζ
iglesias	iglesias
dave	ντέιβ
ventre	μήτρα
submarí	υποβρύχιο
llibertats	ελευθερίες
llibertats	ελευθεριών
servidors	σέρβερ
servidors	διακομιστές
excepcions	εξαίρεση
excepcions	εξαιρέσεις
jamaica	τζαμάικα
letó	λετονική
evolucionar	εξελιχθεί
generat	παραγόμενα
generat	παράγεται
sals	άλατά
sals	άλατα
ken	ken
ken	κεν
observador	παρατηρητή
observador	παρατηρητής
tiberi	τιβέριος
fotogràfica	φωτογραφικές
fotogràfica	φωτογραφική
controlat	ελεγχόμενη
controlat	ελέγχεται
controlat	ελεγχόμενο
controlat	ελεγχόμενες
almeria	αλμερία
quintana	κιντάνα
valoració	αποτίμησης
valoració	αποτίμηση
interaccions	αλληλεπιδράσεις
pesant	βαρύς
pesant	βαρύ
pesant	βαριά
atlanta	ατλάντα
substitueix	αντικατάσταση
substitueix	αντικαταστήσει
substitueix	αντικατέστησε
recomana	προτείνετε
recomana	προτείνω
recomana	συστήνει
recomana	συνιστά
recomana	προτείνει
houston	χιούστον
singapur	σιγκαπούρη
deure	δασμός
deure	καθήκον
assíria	ασσυρία
aprenent	μαθητευόμενος
rubí	ρούμπι
rubí	ruby
rubí	ρουμπίνι
northern	βόρειος
northern	βόρειο
northern	βόρεια
northern	βορεια
sul	sul
fritz	φριτς
fritz	φριτζ
cantatas	καντάτες
marxista	μαρξιστική
edgar	έντγκαρ
fallida	πτώχευση
fallida	χρεοκοπία
pietat	έλεος
phil	φιλ
phil	phil
phil	φίλ
andreas	ανδρέα
andreas	ανδρέας
andreas	andreas
andreas	αντρέας
somme	σομ
joies	κοσμήματα
antecedents	φόντο
antecedents	υπόβαθρο
antecedents	ιστορικό
ryan	ryan
ryan	ράιαν
versalles	βερσαλλίες
murals	τοιχογραφίες
pica	πάικ
pica	πίκα
qualificació	βαθμολογία
búlgar	βούλγαρος
búlgar	βουλγαρική
búlgar	βούλγαροι
deutsche	deutsche
albacete	αλμπαθέτε
repúbliques	δημοκρατίες
repúbliques	δημοκρατιών
susan	σούζαν
susan	susan
convidats	προσκεκλημένοι
convidats	καλεσμένους
convidats	καλεσμένοι
convidats	φιλοξενούμενοι
convidats	επισκέπτες
bàrbara	μπάρμπαρα
bàrbara	barbara
infern	κόλαση
infern	κόλαση
revolucionaris	επαναστάτες
lost	χάθηκε
lost	χαμένος
lost	χάσαμε
lost	χαμένη
lost	χάσει
lost	χαμένοι
mini	μίνι
mini	mini
filòsofs	φιλόσοφοι
rosario	ροζάριο
buits	κενά
salvat	αποθηκευμένα
salvat	αποθηκεύτηκε
salvat	σώθηκε
salvat	έσωσε
salvat	αποθηκευμένες
permanents	μόνιμες
permanents	μόνιμο
permanents	μόνιμος
permanents	μόνιμη
permanents	μόνιμα
modest	μετριόφρων
segments	τμήματα
mansur	μανσούρ
nikolai	νικολάι
nikolai	νικολάι
marcos	μάρκος
gestionar	διαχείριση
especialitzats	εξειδικευμένο
especialitzats	εξειδικευμένη
geologia	γεωλογία
avaluar	αξιολόγησε
banca	banca
banca	πάγκος
banca	παγκάκι
banca	πάγκο
llars	νοικοκυριά
llars	νοικοκυριών
gall	κόκορας
gall	κόκορα
desnivell	πλαγιά
desnivell	κλίση
aristocràcia	αριστοκράτες
aristocràcia	αριστοκρατία
