die	the
verkiesing	election
verbind	connected
verbind	connect
geval	case
unie	union
griekse	greek
behoort	belongs
behoort	belong
werke	jobs
sterre	sparks
sterre	bars
sterre	stars
natal	natal
jou	your
slag	battle
slag	battles
deelstaat	state
oseaan	ocean
son	sun
help	help
museum	museum
want	because
gregoriaanse	gregorian
probeer	try
bome	trees
gemeentes	parishes
voltooi	completed
voltooi	finish
voltooi	done
voltooi	complete
kilometer	kilometre
kilometer	kilometers
kilometer	kilometres
stelsel	system
raad	advice
raad	council
dorpe	towns
gebly	lived
stede	cities
klub	club
vader	father
ster	star
almal	everybody
almal	all
almal	everyone
australië	australia
vanuit	from
skakel	link
skakel	call
skakel	hyperlink
genus	genus
weke	weeks
lyk	looks
york	york
generaal	general
sint	sint
vergadering	meeting
orde	order
loop	walking
nooit	never
antieke	ancient
musiek	music
willem	willem
willem	william
rooms	rooms
uitgawe	edition
verkry	acquired
verkry	acquire
william	william
verkoop	sell
verkoop	sold
verkoop	selling
voël	bird
sjina	china
dien	serve
dien	submit
james	james
italië	italy
duits	german
vierde	fourth
hoër	higher
lei	lead
groei	growth
gestel	set
foto	photo
gevestig	established
verloor	lost
sewe	seven
handel	trade
oorspronklik	originally
oorspronklik	original
voorbeeld	sample
voorbeeld	instance
voorbeeld	example
voorsitter	chair
stellenbosch	stellenbosch
sterf	die
nederlands	dutch
verskil	difference
verskil	disagree
sentraal	central
oppervlakte	area
naas	naas
bevestig	verified
bevestig	confirm
crystal	crystal
bepaal	determined
bepaal	determines
indiese	indian
klas	class
lughawe	bunker
lughawe	airport
louis	louis
vertoon	reveal
vertoon	displaying
vertoon	display
vertoon	displayed
colspan	colspan
altyd	always
lig	light
lig	raise
txt	txt
punt	dot
punt	point
vroue	women
kant	edge
kant	side
betrokke	engaged
wou	wanted
rome	rome
week	week
reg	law
stadium	stage
prof	prof
vervaardig	produced
vervaardig	produce
geskep	created
plaasgevind	occurred
elizabeth	elizabeth
parys	paris
openbare	public
oud	old
beskikbaar	available
dui	indicate
akteur	actor
sentrale	central
totale	total
behaal	achievement
natuurlike	natural
bied	offer
amptelik	official
indië	india
loopbaan	career
skep	create
olimpiese	olympic
dogter	daughter
dra	carry
dra	contribute
hoof	main
druk	press
druk	pressure
verteenwoordig	represented
verteenwoordig	represents
verteenwoordig	represent
boeke	books
meestal	mostly
geplaas	posted
albei	both
etniese	ethnic
kus	coast
gepubliseer	live
gepubliseer	published
super	super
kuns	art
bring	bring
geld	money
erken	admit
erken	acknowledge
maria	mary
maria	maria
leier	leader
boom	tree
boom	boom
rolprent	movie
rolprent	film
westelike	western
kanada	canada
tradisionele	traditional
national	national
verdeel	divide
pole	poland
beweging	motion
beweging	movement
russies	russian
russies	tunisia
russies	louisiana
japannese	japanese
diere	animals
beter	better
punte	points
kulturele	cultural
beperk	restricted
beperk	limit
beperk	limited
liggaam	body
wen	win
basis	base
verlaat	exit
white	white
red	rescue
spanje	spain
magte	forces
geraak	impacted
geraak	affected
goewerneur	governor
kultuur	culture
charles	charles
heilige	saint
heilige	holy
kaart	map
oorsprong	origin
david	david
kennis	acquaintance
kennis	knowledge
parlement	parliament
groen	green
sosiale	social
geboue	buildings
bloemfontein	bloemfontein
gebring	brought
trek	pull
stem	vote
stem	voice
vroeër	earlier
energie	energy
von	von
boere	farmers
boere	boer
boere	farmer
prys	price
prys	prize
prins	prince
ligging	location
gestuur	sent
broer	brother
studente	students
gemeenskap	society
gemeenskap	community
berg	mountain
berlyn	berlin
oppervlak	surface
agter	behind
bronne	sources
bronne	source
beleid	policy
port	port
album	album
beweeg	none
beweeg	move
beweeg	moving
voorheen	previously
vertrek	departure
egipte	egypt
egipte	empty
iets	something
meerderheid	majority
com	com
asië	asia
verskaf	provide
verskaf	provided
verskaf	supplied
verskaf	supply
lees	read
lees	reading
sir	sir
webtuiste	website
onderwys	education
vinnig	fast
periode	period
agt	eight
lengte	length
manier	way
goue	golden
buitelandse	foreign
teenoor	towards
teenoor	toward
aangebied	offered
aangebied	presenting
aangebied	hosted
ingesluit	included
ingesluit	include
tipe	type
peter	peter
km²	km²
verskeidenheid	diversity
verskeidenheid	variety
poskode	zip
stemme	votes
biskop	bishop
duidelik	clearly
duidelik	obviously
leiding	hinting
leiding	guidance
iemand	someone
anders	different
politikus	politician
proses	process
pieter	pieter
tree	take
toon	pitch
pas	fit
pas	match
alias	alias
massa	mass
voorgestel	suggested
jacobus	jacobus
besit	possession
vorige	past
gesê	said
plekke	places
spaanse	spanish
argitek	architect
res	rest
lewer	liver
ekonomie	economics
ekonomie	economy
mark	market
mark	mark
saak	cause
den	slave
getroud	married
spesie	species
hoogte	height
suidwes	southwest
lae	layers
lae	low
gelderland	gelderland
namibië	namibia
sake	causes
dinastie	dynasty
verwerf	earn
verwerf	earned
afgelei	derived
onafhanklikheid	independence
verower	conquer
verhouding	ratio
verhouding	relationship
admin	admin
gekies	selected
gedeelte	portion
gedeelte	part
hoog	high
hoog	tall
waarde	value
mans	males
mans	men
maatskappy	company
maatskappy	comma
lug	sky
lug	air
regte	rights
regte	real
dorpie	village
oranje	orange
plessis	plessis
dienste	services
digter	poet
then	then
tien	ten
rigting	direction
ondersoek	probe
ondersoek	detect
gereeld	frequently
gereeld	often
getal	number
alles	everything
alles	all
onafhanklike	independent
volk	volk
demokratiese	democratic
wys	show
botha	botha
seeland	zealand
spesifieke	specific
gemiddelde	average
stryd	struggle
huwelik	marriage
vrygestel	released
leër	army
robert	robert
ouer	parent
ouer	older
leef	living
toegeken	assigned
media	media
gelede	ago
beïnvloed	influence
beïnvloed	affect
bron	source
projek	project
behalwe	except
naamlik	called
alexander	alexander
alfabet	alphabet
kind	kid
kind	child
gepraat	speaking
genoeg	enough
voorbeelde	templates
voorbeelde	examples
voorbeelde	samples
voorbeelde	example
strek	stretch
kruger	kruger
eenheid	unit
teks	text
ierland	ireland
vloot	navy
mate	measurement
kommissie	commission
smith	smith
bevorder	boosted
bevorder	promoted
bevorder	promote
bevorder	boost
studie	study
burgemeester	mayor
gebaseer	based
afstand	distance
sit	sitting
steyn	steyn
aangeneem	assumed
aangeneem	adopted
navorsing	research
durban	durban
bestuur	manage
bestuur	management
bestuur	driving
skotland	scotland
opgeneem	recorded
hand	manual
hand	hand
oop	open
swede	sweden
benoem	name
praat	talk
praat	speak
petrus	petrus
petrus	peter
bedien	serve
bedien	serves
gewilde	popular
eienskappe	features
african	african
thomas	thomas
elektriese	electrical
elektriese	electric
laer	lower
venter	venter
aandag	attention
aandag	authentic
paleis	palace
sjinese	chinese
voorsien	provide
all	all
geleentheid	event
steun	support
leer	leather
leer	learning
leer	learn
vloei	flow
kyk	watch
kyk	look
kyk	watching
henry	henry
rolprente	movies
seuns	boys
seuns	sons
glo	believe
vroeg	early
gegaan	gone
html	html
denemarke	denmark
denemarke	denominator
kombinasie	combination
des	dec
vrye	spare
bladsy	anchor
bladsy	page
bladsy	pages
diep	deep
italiaanse	italian
roman	novel
kwazulu	kwazulu
geloof	faith
murray	murray
soek	search
grand	grand
graad	grade
graad	degree
soldate	soldier
ouers	parents
skole	schools
intussen	meanwhile
elemente	elements
struik	shrub
koninklike	royal
weet	know
plante	plants
verslaan	defeated
toring	tower
toring	rook
vervoer	transportation
vervoer	transport
rede	reason
walt	walt
krag	force
krag	power
versprei	distribute
poolse	polish
opvolger	follower
betekenis	meaning
betekenis	significance
geniet	enjoying
federale	federal
gesin	family
donker	dark
versameling	collection
nege	nine
richard	richard
internet	internet
uitgewers	publishers
san	san
klassieke	classical
klassieke	classic
dink	thinks
dink	think
url	url
fort	fort
nedersettings	settlements
afrikaners	afrikaner
gewerk	worked
beskerm	protected
maklik	easy
probleme	problems
persoonlike	personal
university	wits
https	https
burgers	citizens
fishes	fishes
swaar	heavy
vrede	peace
reis	travel
reis	traveling
burger	burger
burger	citizen
andrew	andrew
voet	foot
ondersteun	supporting
ondersteun	support
gewoon	plain
gewoon	ordinary
malan	malan
moeder	mother
regeer	ruled
onderwerp	topic
onderwerp	subject
materiaal	material
materiaal	materials
elk	each
aktrise	actress
afdelings	sections
studeer	study
studeer	studies
goud	gold
volle	full
bestaande	existing
iso	iso
groepeer	group
nature	nature
chemiese	chemical
gevalle	resort
gevalle	cases
gevalle	instances
skip	ship
ver	far
watter	which
belgië	belgium
behou	keep
noorweë	nevada
noorweë	norway
merwe	merwe
versoek	requested
versoek	request
hulp	help
toit	toit
hoop	hope
bedryf	industry
saint	saint
inheemse	native
sulke	such
dalk	maybe
albert	albert
king	king
warm	hot
bgcolor	bgcolor
bruin	brown
deelgeneem	participated
sukses	success
eeue	century
aangedui	indicated
voorwerpe	objects
onbekend	unknown
joodse	jewish
temperatuur	temperature
victoria	victoria
maan	moon
wyk	wyk
wyk	departing
stig	stig
jean	jean
karel	charles
verantwoordelik	responsible
kaarte	cards
kaarte	maps
kaarte	card
wissel	toggle
wissel	switch
wissel	floating
seisoen	season
nasies	nations
amper	almost
grondwet	constitution
www	www
ens	etc
ens	ens
kollege	college
waargeneem	observed
besig	busy
verhaal	remedies
verhaal	scoop
opleiding	education
uitgevoer	executed
uitgevoer	performed
soortgelyke	similar
skiereiland	peninsula
wetenskap	science
tye	times
gewild	popular
gewild	featured
gewild	trending
jaarlikse	annual
nowrap	nowrap
vermoor	murdered
vermoor	killed
teorie	theory
jesus	jesus
kasteel	castle
lyf	body
wedstryde	games
oostenryk	austria
totdat	until
bybel	bible
moskou	moscow
hawe	harbor
hawe	port
brasilië	brazil
history	history
plan	plan
michael	michael
beelde	images
beelde	image
gedigte	poems
verbeter	enhance
ring	ring
vol	full
olivier	olivier
toegelaat	allowed
finansiële	hierarchical
finansiële	financial
gevra	asked
anna	anna
gebruikers	users
fam	fam
vergelyking	equation
vergelyking	elevation
noordwes	northwest
lyn	line
soorte	types
poging	effort
blare	leaves
drama	drama
wallis	wales
insluitend	including
hospitaal	hospital
arabiese	arabic
onlangse	rect
onlangse	recent
weeg	weighs
alleen	alone
departement	department
johan	johan
uur	hour
toestand	state
koerant	newspaper
riviere	rivers
letterkunde	literature
verhoog	increase
verhoog	stage
professor	professor
vlug	flight
wapen	weapon
hoeveelheid	quantity
spanne	teams
sin	sentence
sin	sense
koste	cost
insluitende	including
ortodokse	orthodox
gebeur	wise
gebeur	happening
opstand	rebellion
vestig	establish
niks	nothing
swak	poor
swak	weak
insluit	include
betaal	pay
betaal	settle
betaal	paid
simbool	symbol
simbool	figurine
bewys	proof
geskenk	donated
geskenk	gift
feit	fact
zimbabwe	zimbabwe
datum	date
vertel	telling
vertel	tell
maand	month
beweer	assert
munisipale	civic
oog	eye
studies	studies
verspreiding	distribution
kolonie	colony
ingevoer	entered
ingevoer	imported
struktuur	restart
struktuur	struct
struktuur	structure
kunstenaars	artists
kunstenaars	performers
wedstryd	contest
liefde	love
meksiko	mexico
oblast	oblast
standaard	standard
aanval	attack
christian	christian
probleem	problem
skrywers	writers
skrywers	authors
kanadese	canadian
voorstel	suggestion
radio	radio
hertog	duke
stand	standings
onafhanklik	independent
onafhanklik	independently
katedraal	cathedral
bokant	top
bokant	copy
klimaat	climate
vernietig	destroyed
vernietig	destroy
vernietig	blast
onderneem	pledged
onderneem	undertook
sensus	census
onderskei	distinguish
skepe	ships
weermag	army
metropolitaanse	metropolitan
getrek	drawn
town	town
klerk	clerk
klerk	klerk
kos	food
kos	costs
smuts	smuts
duur	duration
switserland	switzerland
switserland	sutherland
heeltemal	completely
verminder	reduce
verminder	eliminated
verminder	decrease
verminder	reduces
saamgestel	curated
terugkeer	return
afdeling	section
blyk	seems
rewolusie	revolution
atmosfeer	atmosphere
begrawe	buried
edward	edward
plant	plant
roux	roux
jaarliks	annually
ontmoet	meet
google	google
terrein	field
winter	winter
pius	pius
feitlik	critically
noem	mention
behandel	treated
behandel	treat
stuur	transmit
stuur	send
verleen	kindly
verleen	grant
israel	israel
etiket	tags
etiket	label
belangrik	important
org	org
area	area
somer	summer
deense	danish
aard	nature
sanger	singer
sanger	sanger
veld	field
pogings	efforts
pogings	attempts
moeilik	hard
moeilik	difficult
vra	ask
sweedse	swiss
sweedse	swedish
heel	heel
vierkante	squares
erasmus	erasmus
hart	heart
ernstige	serious
besonder	particularly
besonder	particular
chris	chris
stelsels	systems
clemens	clement
getalle	numbers
getalle	number
vii	vii
politiek	politics
ondanks	despite
bediening	locating
klooster	monastery
agtergrond	background
kern	core
joseph	joseph
idee	idea
verdrag	treaty
somerset	somerset
provinsies	states
provinsies	counties
brand	fire
wêreldwyd	worldwide
wêreldwyd	global
australiese	australian
wiki	wiki
volume	volume
tipiese	typical
dekades	decades
wellington	wellington
streke	regions
relatief	relative
filosofie	philosophy
godsdienstige	religious
pers	purple
pers	press
pers	violet
tydskrif	magazine
afgeneem	decreased
provinsiale	provincial
koop	buy
kruis	cross
voorkoms	appearance
voorkoms	occurrence
villiers	villiers
martin	martin
vele	many
literêre	literary
verhuis	moved
saal	hall
spel	game
spel	gameplay
sokker	soccer
bydrae	contribution
litaue	lithuania
brug	bridge
rand	rand
rand	edge
vlae	flags
monument	monument
gelyk	equal
silwer	liter
silwer	filtering
silwer	silver
silwer	fill
behels	involves
landbou	agriculture
voorwerp	object
natuur	nature
stille	quiet
produkte	products
westerse	western
vereniging	association
seker	sure
verstaan	understand
komitee	committee
eintlik	actually
belangstelling	interest
bedank	quit
griekeland	akron
griekeland	alcoa
griekeland	greece
iran	iran
vrugte	fruit
gas	gas
gas	guest
stigter	creator
stam	root
verlede	past
uiters	extremely
uiters	extreme
akademie	academy
aangewys	designated
motor	engine
motor	car
gesluit	closed
eenvoudige	simple
grense	borders
gekoop	purchased
portugese	portuguese
tradisie	tradition
here	lord
kalifornië	california
royal	royal
kardinale	cardinals
bevind	finds
egiptiese	egyptian
publiseer	publish
uitgereik	issued
ooreenkoms	agreement
akademiese	academic
gou	soon
gesterf	died
baan	track
anglo	anglo
vryheid	freedom
vryheid	liberty
anc	anc
last	last
slawiese	slavic
samewerking	collaboration
samewerking	cooperation
argentinië	argentina
skilder	painting
stedelike	urban
produksie	production
sondag	sunday
messier	messier
prix	prix
geheel	whole
geheel	totality
brief	letter
viii	viii
woordeboek	dictionary
ton	tonne
ton	tonnes
bewoners	dwellers
nes	nest
spaans	spanish
samelewing	society
samelewing	community
huise	homes
huise	residences
huise	houses
joubert	joubert
gevolglik	resulting
pierre	pierre
midde	mid
aangekondig	declared
aangekondig	announced
publiek	public
turkye	turkey
godsdiens	religion
era	era
golf	wave
natuurlik	course
omstandighede	circumstance
omstandighede	circumstances
mooi	beautiful
mooi	pretty
geboorte	birth
oorleef	survive
predikante	clergy
direk	direct
verwant	related
redakteur	editor
gregorius	gregory
sasol	sasol
ontdekking	discovery
geleidelik	progressively
wilhelm	wilhelm
soortgelyk	lookalike
bietjie	little
amsterdam	amsterdam
kaptein	captain
verwysings	references
voorstad	suburb
siekte	disease
siekte	sickness
afrikaner	afrikaner
bywoning	attendance
professionele	professional
onderskeidelik	respectively
mediese	medical
uitvoerende	executive
getrou	married
stuk	piece
kolonies	colonization
toegang	access
suidoos	southeast
hof	court
hof	courthouse
phil	phil
bank	bank
teken	draw
teken	sign
skaars	barely
skaars	rare
ooit	ever
graaff	graaff
gedra	behave
gedra	borne
gesag	authority
ensiklopedie	encyclopedia
ierse	irish
suster	sister
andré	andré
piet	piet
myl	miles
myl	mile
gebeure	events
tegnologie	technology
verby	beyond
mitologie	mythology
marais	marais
christus	christ
portugal	portugal
toekenning	award
afsonderlike	separate
vliegtuig	airplane
vliegtuig	plane
vliegtuig	aircraft
gauteng	gauteng
frederik	frederik
frederik	frederick
genaamd	named
onderkant	bottom
vas	firm
manlike	male
toegeneem	increased
mars	mars
potgieter	potgieter
beaufort	beaufort
hande	hands
kompetisie	competition
kompetisie	contest
privaat	privately
privaat	private
dialekte	dialects
aktief	adjective
aktief	active
aktief	ablative
aktief	accusative
aktief	activities
abraham	abraham
partye	parties
spyte	spite
dinge	things
benedictus	benedict
eindig	ends
eindig	ending
tegniese	technical
nag	night
karakters	characters
hans	hans
bedek	coated
bedek	covers
koue	cold
graaf	graf
argitektuur	architecture
via	via
metode	method
frank	frank
bespreek	book
bespreek	discuss
bespreek	reserve
ben	ben
redes	reasons
eenhede	units
droë	dry
bestudeer	study
beset	occupied
olie	oil
spelers	players
twaalf	twelve
sekretaris	secretary
federasie	federation
stof	dust
kommersiële	commercial
primêre	primary
jode	jews
persiese	persian
helder	bright
rio	rio
dam	dam
toekoms	future
grootliks	significantly
duisende	thousands
polisie	police
geslag	genders
geslag	gender
geslag	sex
graf	grave
besoekers	visitors
air	air
item	item
volwasse	mature
kies	select
duitsers	germans
korea	korea
basiese	basics
basiese	basic
benodig	need
benodig	required
broers	brothers
komponis	composer
kunstenaar	artist
germaanse	germanic
vermoë	ability
mond	mouth
unesco	unesco
united	united
paulus	paul
house	house
gesondheid	health
leerders	learners
leerders	pupils
geskiedkundige	historical
gunste	favour
aktiwiteite	activities
aktiwiteite	events
aktiwiteite	event
konflik	conflict
gemeenskaplike	common
inkomste	income
inkomste	revenue
hulself	themselves
pretorius	pretorius
karoo	karoo
ken	know
ligte	light
ligte	slight
dirk	dirk
erfenis	heritage
andries	andries
mosambiek	mozambique
bladsye	pages
heelal	universe
verdwyn	disappear
geskei	separated
geskei	divorced
hoek	angle
blomme	flowers
tuiste	living
johann	johann
verwante	related
sport	sport
sport	sports
selfstandige	independent
onderneming	corporation
onderneming	enterprise
tempel	temple
beroemde	celebrity
twintig	twenty
berig	story
args	args
coetzee	coetzee
ford	ford
jongste	last
jongste	latest
berge	mountains
literatuur	literature
lange	lange
saamgesmelt	melted
tabel	table
speler	player
kommunistiese	communist
daniel	daniel
sokkerspeler	footballer
prent	picture
prent	image
prent	nature
vraag	question
sterrebeeld	constellation
eric	eric
voel	feel
voel	feels
voel	feeling
optrede	behaviors
optrede	behaviour
optrede	conduct
blad	page
outonome	autonomous
letters	letters
reaksie	reaction
opvoedkundige	educational
vliegtuie	aircraft
effens	barely
effens	slightly
vaste	canned
vaste	rigid
soria	soria
transvaalse	transvaal
fokus	focus
been	bone
geklassifiseer	classified
reëls	rules
reëls	lines
geweier	declined
verduidelik	explain
teater	theater
teater	theatre
jacques	jacques
gevaar	danger
kroon	crown
ingestel	cured
ingestel	introduced
finland	finland
mee	mee
mee	with
altesaam	for
presies	exactly
presies	exact
beplan	planned
carl	carl
produk	product
gewig	weight
vallei	valley
hede	present
enjin	engine
adam	adam
oom	uncle
klank	sound
profiel	profile
bygedra	stamping
bygedra	contributed
sosialistiese	socialist
taak	task
mere	lakes
ondersteuning	support
aansienlik	substantially
hertzog	hertzog
administrasie	administration
minute	mins
minute	minutes
oprigting	construction
biblioteek	library
kandidaat	candidate
suksesvolle	successful
toepassing	application
toepassing	app
toegepas	applied
versterk	strengthen
eet	eating
straat	street
motors	automobiles
motors	cars
litause	lithuanian
angola	angola
angola	mongolia
parameter	parameter
christiaan	christiaan
christiaan	christian
maatskaplike	social
suiwer	pure
middelburg	middelburg
getoon	expressed
smit	smit
wikimedia	wikimedia
sesde	six
oxford	oxford
hongarye	hungary
getref	hit
temperature	temperatures
washington	washington
kat	cat
ere	honor
vereis	required
hout	wood
skerp	sharp
sydney	sydney
stroom	feed
stroom	stream
dier	animal
rig	incite
rig	direct
vry	free
wiskundige	mathematical
arabies	arabic
uitgebeeld	illustrated
vervaardiger	producer
vervaardiger	manufacturer
betrekking	relation
wette	laws
kimberley	kimberley
kritiek	critical
letter	letter
alfred	alfred
deelstate	states
boer	jack
onderrig	education
onderrig	tutoring
harry	harry
voordeel	advantage
voordeel	benefit
verskille	differences
gees	gees
gees	spirit
toets	test
toets	testing
tropiese	tropical
kontak	contact
aangepas	custom
vriende	friends
oorsese	overseas
union	union
gelys	listed
les	les
les	leslie
jack	jack
tsaar	tsar
burgerlike	civic
aanvalle	attacks
font	font
botswana	botswana
aangewend	applied
televisie	television
gevoer	excluded
dadelik	immediately
maal	multiplication
omring	surrounded
wiskunde	mathematics
wiskunde	math
onderteken	encrypt
onderteken	sign
voorganger	predecessor
sending	mission
american	american
nelson	nelson
verbied	deny
marie	marie
islamitiese	islamic
wysig	edit
wysig	modify
wysig	change
oorloë	wars
hoogtepunt	highlight
kanaal	canal
kanaal	channel
vergelyk	compare
maksimum	max
maksimum	maximum
fisiese	physical
dokumente	docs
betref	concerns
veldtog	campaign
hare	hair
tekste	texts
gehoor	audience
gehoor	hearing
toeriste	tourist
toeriste	tourists
bynaam	nickname
planne	plans
gedwing	forced
joernalis	journalist
león	león
werklikheid	reality
instituut	institute
gedefinieer	defined
direkte	direct
vervaardiging	manufacturing
karl	karl
turkse	turkish
programme	applications
programme	programs
programme	shows
tipies	typically
strand	beach
strand	reno
gram	grams
gram	gram
nicolaas	nicholas
nicolaas	nicolaas
bewyse	evidence
chili	chile
beskerming	protection
nommer	number
video	video
gebruiker	user
voedsel	food
prinses	princess
passasiers	passengers
passasiers	passenger
ngc	mice
ngc	ngc
brits	british
lodewyk	louis
stap	step
leiers	leadership
leiers	leaders
angeles	angeles
tuin	garden
jonger	hiring
jonger	younger
toestande	conditions
industriële	industrial
redelik	fair
spoed	speed
halfrond	hemisphere
friedrich	friedrich
bal	ball
aparte	separate
verkiesings	elections
belgiese	belgian
instellings	formatting
sendeling	missionary
hoeveelhede	doses
gemeenskappe	communities
sing	sings
sing	singing
uitgebreide	extended
miskien	maybe
rekord	record
suksesvol	successful
