emancipação	emancipation
marítima	maritim
parou	dihentikan
parou	terhenti
bombas	pam
bombas	bom
visa	visa
equipas	pasukan
equipas	teams
escocês	scotland
debates	perbahasan
debates	perdebatan
acusação	tuduhan
acusação	dakwaan
acusação	penuntut
investigações	researches
investigações	siasatan
adequada	proper
adequada	memadai
misericórdia	mercy
misericórdia	rahmat
mínimos	minima
mínimos	minima
mínimos	minimum
mínimos	minimum
válidos	sah
guiana	guiana
guiana	guyana
make	buat
esquadrão	skuadron
esquadrão	skuad
registo	register
registo	pendaftar
registo	pendaftaran
registo	registry
registo	pendaftaran
governante	pembaris
governante	penguasa
piratas	lanun
piratas	pirates
piratas	perompak
piratas	lanun
kids	kids
corredor	runner
corredor	lorong
corredor	koridor
kingdom	kingdom
kingdom	kerajaan
vizinho	jiran
vizinho	jiran
vestígios	jejak
vestígios	surih
vestígios	jejak
sandra	sandra
profundo	deep
clipes	klip
tanques	tangki
tanques	tank
tanques	tank
ideologia	ideologi
arnold	arnold
gerente	pengurus
gerente	manager
urss	soviet
reconhecer	iktiraf
reconhecer	kenali
reconhecer	mengenali
reconhecer	iktiraf
reconhecer	mengenali
reconhecer	mengakui
reconhecer	memperakui
atrações	tarikan
adotou	adopted
imposto	cukai
prazer	keseronokan
prazer	kesenangan
rené	rené
rené	rene
actor	pelakon
assinar	melanggan
assinar	penandatangan
assinar	menandatangan
assinar	tanda
assinar	petanda
assinar	sign
assinar	tandatangan
ofereceu	ditawarkan
intelectuais	intelektual
caridade	sedekah
caridade	bersedekah
caridade	sedekah
integrada	bersepadu
carvão	arang
pistas	runways
pistas	cerun
cordilheira	julat
cordilheira	cordillera
presa	terlekat
presa	terjebak
presa	ditahan
presa	ditangkap
presa	mangsa
noites	nights
amaro	amaro
barcos	bot
barcos	perahu
arredores	sekitarnya
arredores	persekitaran
malta	pengilang
malta	malta
oponente	lawan
básicos	asas
básicos	basic
raymond	raymond
dublagem	dubbing
hunter	pemburu
hunter	hunter
iniciando	awai
iniciando	bermula
iniciando	memulakan
forest	hutan
consideração	pertimbangan
episcopal	episcopal
visitou	melawat
visitou	dilawati
visitou	dilawat
salva	menjimatkan
salva	bijak
salva	disimpan
premier	premier
her	nya
her	her
justo	adil
justo	fair
anéis	berbunyi
humberto	humbert
humberto	humberto
humberto	umberto
humberto	hubert
átomos	atom
átomos	atom
ernst	ernst
vanessa	vanessa
comunistas	komunis
comunistas	komunis
rodovias	lebuhraya
sepultado	dikebumikan
sepultado	terkubur
sepultado	berkubur
inspirada	inspired
inspirada	diinspirasikan
inspirada	diilhamkan
joan	joan
absurdo	mengarut
frankfurt	frankfurt
lara	lara
inovação	inovasi
florida	florida
falhas	kegagalan
falhas	cela
falhas	kekurangan
nbc	nbc
meridional	selatan
montana	montana
fundir	gabung
fundir	cantuman
fundir	cantum
fundir	menggabung
fundir	penggabungan
dum	dum
felicidade	kebahagiaan
performances	pertunjukan
triunfo	kemenangan
triunfo	triumph
telescópio	teleskop
telescópio	moor
canada	kanada
canada	canada
norman	norman
tronco	bagasi
tronco	bonet
caverna	gua
promessa	janji
promessa	ikrar
promessa	berikrar
liverpool	liverpool
alternativas	alternatif
alternativas	alternatif
dourado	golden
dourado	emas
dourado	keemasan
dourado	emas
dourado	gold
bebê	baby
bebê	sayang
harold	harold
comparado	berbanding
comparado	dibandingkan
propõe	proposes
virginia	virginia
resultante	terhasil
portos	pelabuhan
portos	port
fixa	dibaiki
adversários	musuh
adversários	lawan
minuto	minit
reitor	provost
reitor	dean
reitor	rektor
edge	tepi
contemporâneo	kontemporari
noiva	tunangnya
noiva	pengantin
noiva	bertunang
emi	emi
coletiva	kolektif
pavilhão	bendera
pavilhão	astaka
pavilhão	pavilion
spin	spin
proximidade	closeness
inserir	selit
wii	wii
borda	rim
borda	tepi
borda	sempadan
funcionário	pekerja
funcionário	rasmi
funcionário	official
percepção	persepsi
ganho	dapatan
ganho	gandaan
ganho	gain
loire	loire
nov	nov
nov	julai
acadêmica	akademik
frequentes	kerap
frequentes	lumrah
frequentes	common
fechada	ditutup
fechada	tertutup
infra	infra
cinza	kelabu
cinza	ash
cinza	abu
cinza	kelabu
cinza	grey
oxigênio	oksigen
serie	serie
frequente	lumrah
frequente	common
frequente	kerap
phoenix	phoenix
enviada	hantar
enviada	sent
enviada	dihantar
muralha	wall
muralha	dinding
mercedes	mercedes
machos	jantan
difíceis	sukar
sargento	sarjan
sargento	sarjan
rachel	rachel
renovação	refurbishment
renovação	renovasi
renovação	renovation
renovação	pembaharuan
exclusivo	ekslusif
exclusivo	exclusive
exclusivo	eksklusif
geometria	geometri
crônica	kronik
crônica	kronik
telecomunicações	telekomunikasi
apoiado	disokong
eficaz	berkesan
eficaz	efektif
sweet	sweet
hopkins	hopkins
prestígio	berprestij
prestígio	berkedudukan
prestígio	prestij
governadores	gabenor
coletivo	kolektif
centímetros	sentimeter
centímetros	inchi
centímetros	inci
centímetros	sentimeter
leipzig	leipzig
say	ckp
say	cakap
secundárias	secondary
secundárias	sekunder
fenômenos	fenomena
fenômenos	fenomena
enterrado	dikebumikan
enterrado	terkubur
enterrado	berkubur
líbia	libya
líbia	libya
embarcações	pembuluh
pouso	landing
pouso	pendaratan
issn	issn
nascente	nascent
confrontos	clashes
confrontos	konfrontasi
criaturas	makhluk
criaturas	mahluk
euro	euro
colapso	runtuhan
colapso	runtuh
parágrafo	perenggan
marx	marx
matheus	matheus
tigre	tiger
tigre	harimau
tigre	tig
pescoço	leher
competir	bersaing
competir	bersaing
competir	bertanding
operar	beroperasi
operar	operate
operar	beroperasi
semestre	semester
ring	ring
ring	cincin
temática	thematic
temática	tema
derivados	terbitan
oficina	workshop
oficina	bengkel
estêvão	stephen
estêvão	stefan
dinamarquês	denmark
dinamarquês	danish
invenção	rekaan
hidrogênio	hidrogen
perdida	lost
perdida	kehilangan
perdida	hilang
timor	timor
hebraico	hebrew
hebraico	ibrani
adolfo	adolfo
adolfo	adolf
bactérias	bakteria
progressivo	progresif
requer	memerlukan
alfa	alpha
alfa	alfa
tentaram	dicuba
tentaram	mencuba
verso	ayat
harrison	harrison
ligeiramente	slightly
futuros	futures
fiéis	mukmin
potências	kuasa
toque	touch
toque	sentuhan
toque	sentuh
toque	tap
toque	ketik
encontros	mesyuarat
encontros	dating
votado	undi
votado	diundi
viajar	melancong
viajar	travel
viajar	pelancongan
viajar	kembara
viajar	melancong
viajar	melancong
turner	turner
cds	cd
incorporada	berkanun
incorporada	tertanam
incorporada	terbenam
incorporada	dibenamkan
primárias	primaries
primárias	primer
primárias	utama
bombeiros	bomba
meninos	boys
observado	diperhatikan
observado	diperhati
pertencem	belong
pecuária	ternakan
rodapé	kekaki
rodapé	pengaki
maneiras	cara
maneiras	adab
hills	hills
absoluto	mutlak
supercopa	supercopa
money	wang
money	duit
crenças	kepercayaan
crenças	keyakinan
crenças	kepercayaan
viseu	viseu
moreno	moreno
compreender	fahami
compreender	understanding
compreender	pengertian
compreender	memahami
compreender	pemahaman
lobos	serigala
lobos	lobos
denis	denis
patinação	skating
patinação	luncur
airlines	penerbangan
airlines	airlines
monstros	raksaksa
sobrevivência	survival
silvio	silvio
continha	terkandung
vermelhas	merah
vermelhas	red
negativa	negative
negativa	negatif
parentes	kerabat
julia	julia
verificabilidade	verifiability
orgânica	organik
realizando	tampil
significativamente	ketara
raro	rare
raro	jarang
caracterizado	diperincikan
mariposa	moth
mariposa	anai
perfeita	perfect
perfeita	sempurna
bush	semak
bush	bush
redonda	pusingan
redonda	bulat
sociologia	ijtima
gótico	goth
gótico	gothic
quadrado	persegi
quadrado	square
quadrado	segiempat
rodríguez	rodriguez
rodríguez	rodríguez
renânia	rhineland
atacou	menyerang
atacou	diserang
sin	yaasin
sin	dosa
normais	normal
amistoso	mesra
amistoso	friendly
amistoso	ramah
amistoso	bersahabat
coragem	keberanian
coragem	keberanian
atitudes	sikap
obtidos	diperoleh
obtidos	diperolehi
vantagens	faedah
vantagens	manfaat
vantagens	kelebihan
eyes	mata
básicas	asas
básicas	asasnya
básicas	asas
básicas	basic
directamente	langsung
directamente	directly
ilegal	haram
mansão	mansion
mansão	manor
vítor	viktor
vítor	victor
sugeriu	dicadangkan
sugeriu	cadangkan
submarino	selam
mudado	ditukar
intenso	intensive
intenso	intensif
intenso	tegang
intenso	sengit
intenso	intense
adquirir	cekup
ferrari	ferrari
peixoto	peixoto
trilhas	jejak
trilhas	runut
trilhas	trek
gerando	menjana
assistir	watch
assistir	tonton
espelho	cermin
espelho	mirror
expandir	kembang
fritz	fritz
area	keluasan
area	kawasan
area	area
allan	allan
boeing	boeing
assalto	serangan
assalto	rompakan
opa	opa
opa	alamak
opa	oops
bourbon	bourbon
hardy	hardy
fêmeas	betina
fêmeas	perempuan
angelo	angelo
trens	keretapi
sudão	sudan
apareceram	muncul
móvel	mobile
móvel	bimbit
ampliação	pembesaran
ampliação	zoom
ampliação	zum
abraço	peluk
abraço	merangkul
copas	hati
copas	hearts
vestido	berpakaian
vestido	dress
muralhas	tembok
muralhas	dinding
barragem	dam
barragem	empangan
informar	inform
jefferson	jefferson
simão	simon
simão	simón
identificado	ditandakan
identificado	tagged
identificado	ditanda
identificado	ditag
identificado	dikenalpasti
residencial	perumahan
residencial	kediaman
delegação	delegasi
michelle	michelle
simmons	simmons
expresso	express
expresso	luahkan
expresso	espresso
expresso	diungkap
expresso	diungkapkan
human	manusia
human	human
jstor	jstor
khan	khan
corda	tali
espíritos	roh
espíritos	arwah
espíritos	spirit
ritual	ritual
luna	luna
concluir	selesaikan
concluir	finish
concluir	menyimpulkan
teto	siling
teto	ceiling
teto	atap
teto	bumbung
possibilidades	kemungkinannya
possibilidades	kebarangkalian
possibilidades	kemungkinan
restaurantes	restoran
cozinha	hidangan
cozinha	masakan
cozinha	masakan
cozinha	memasak
cozinha	cooking
cozinha	kitchen
cozinha	dapur
mariano	mariano
introduziu	diperkenalkan
introduziu	berkenalan
explorar	meneroka
explorar	teroka
explorar	terokai
explorar	terokai
explorar	teroka
delgada	delgada
delgada	ramping
gaspar	gaspar
comer	makan
comer	makan
mísseis	misil
dívida	hutang
field	bidang
field	medan
complementar	pelengkap
complementar	pelengkap
definidos	ditakrifkan
definidos	ditakrif
raças	ras
albânia	albania
albânia	albania
second	second
second	kedua
únicas	unik
únicas	unique
quebec	quebec
luigi	luigi
navarra	navarra
amar	penyayang
amar	amar
fio	wayar
fio	jaluran
fio	bebenang
infecção	jangkitan
aparelhos	peranti
aparelhos	ditalian
aparelhos	apparatus
ideais	kefahaman
ideais	ideal
vizinha	jiran
vizinha	jiran
fame	kemasyhuran
fame	fame
águia	eagle
águia	helang
antioquia	antioch
antioquia	antioquia
than	daripada
move	moves
soberania	kedaulatan
biografias	biographies
oklahoma	oklahoma
main	utama
sabor	citarasa
sabor	rasa
sabor	taste
sabor	merasai
sabor	selera
sabor	perisa
sabor	flavor
sabor	flavour
sabor	flavour
naturalidade	hometown
kentucky	kentucky
negativo	negative
negativo	negatif
protestantes	protestants
protestantes	protestant
protestantes	protesters
cantada	sung
cantada	dinyanyikan
inês	inez
inês	ines
inês	inés
inês	agnes
bonita	cantik
bonita	molek
bonita	pretty
úteis	bermanfaat
úteis	berguna
úteis	membantu
navegador	navigator
navegador	pelayar
vaz	vaz
passe	lulus
anfíbio	amfibia
anfíbio	amfibia
petersburgo	petersburg
remo	mendayung
remo	remus
remo	oar
remo	paddle
remo	kayuh
remo	remo
juízes	hakim
iowa	iowa
silver	perak
moça	girl
moça	lady
heaven	heaven
heaven	syurga
corretamente	betulnya
ralph	ralph
entende	memahami
entende	fahami
responde	jawapan
responde	reply
georg	georg
fixo	dibaiki
penas	bulu
penas	bulu
gardens	gardens
segura	dodoi
segura	hold
segura	tahan
segura	aman
segura	amani
segura	secure
info	info
info	maklumat
introduzida	diperkenalkan
introduzida	berkenalan
faro	faro
jesuítas	jesuit
jesuítas	jesuit
chipre	cyprus
falcão	falcon
falcão	hawk
falcão	helang
falcão	falcão
capturar	cekup
capturar	tangkapan
capturar	menangkap
saudita	saudi
marítimo	maritime
marítimo	maritim
pen	pen
inseto	serangga
inseto	pepijat
inseto	bug
expectativa	jangkaan
expectativa	expectation
expectativa	jangkaan
sultão	sultan
gerenciamento	menguruskan
gerenciamento	pengurusan
gerenciamento	management
estrangeiras	asing
estrangeiras	foreign
formados	dibentuk
financiamento	pembiayaan
financiamento	pembiayaan
protesto	bantahan
pecado	yaasin
pecado	dosa
craig	craig
drive	pemacu
burocratas	birokrat
pensando	pemikiran
pensando	berfikir
pensando	fikirkan
wellington	wellington
pilar	pillar
pilar	pilar
geográfico	geografi
full	full
full	kenyang
full	penuh
roberts	roberts
pato	itik
pato	duck
classificadas	diisih
classificadas	diurut
classificadas	disusun
participante	peserta
participante	peserta
concreto	konkrit
ama	ama
ama	pengasuh
ama	nanny
ama	loves
fiável	dipercayai
protegido	terlindung
protegido	dilindungi
prefixo	awalan
institucional	institutional
square	persegi
square	square
square	segiempat
lendas	lagenda
emmy	emmy
prato	hidangan
prato	dish
prato	plate
prato	lempeng
prato	plat
prato	piring
mixagem	mix
mixagem	campuran
mixagem	campur
mixagem	campurkan
mixagem	campurkan
anuais	tahunan
difusão	diffusion
difusão	siaran
difusão	penyiaran
difusão	dissemination
pas	pas
tributo	penghormatan
uruguaio	uruguay
muro	wall
muro	dinding
fraco	lemah
dezesseis	sixteen
demonstração	demo
demonstração	demonstrasi
faculdades	kolej
bull	bull
salário	gaji
salário	upah
salário	upah
rodolfo	rodolfo
rodolfo	rudolf
wallace	wallace
cole	cole
comandos	komando
comandos	arahan
comandos	komando
comandos	kawalan
recomendação	saranan
coberto	diliputi
coberto	covered
conspiração	plot
conspiração	konspirasi
antero	antero
justificar	justifying
justificar	membenarkan
carol	carol
usos	kegunaan
fall	fall
fall	jatuh
gilbert	gilbert
jake	jake
concorrentes	contestants
concorrentes	pesaing
bibliotecas	pustaka
bibliotecas	perpustakaan
aníbal	hannibal
sagrada	keramat
detalhe	detail
triste	sedih
triste	sad
doente	ili
doente	patient
doente	sabar
doente	pesakit
doente	sakit
aveiro	aveiro
prédios	bangunan
radar	radar
variados	kepelbagaian
variados	assorted
representações	representations
representações	penggambaran
bonito	handsome
bonito	cantik
bonito	molek
bonito	pretty
saboia	savoie
saboia	savoy
pacto	pakatan
pacto	dalilnya
cabelos	hair
cabelos	rambut
escândalo	scandal
escândalo	skandal
escândalo	skandal
rivais	saingan
lyon	lyon
jessica	jessica
contemporâneos	kontemporari
contemporâneos	contemporaries
pacheco	pacheco
tragédia	tragedi
tyler	tyler
suspeita	curiga
suspeita	mencurigakan
suspeita	suspek
suspeita	disyaki
suspeita	disyaki
interessado	berminat
diabo	devil
diabo	syaitan
golpes	coups
golpes	pukulan
vela	candle
vela	lilin
vela	berlayar
vela	belayar
vela	vela
vela	pelayaran
vela	belayar
vigilância	vigilance
vigilância	pengintipan
vigilância	pengawasan
arquitecto	arkitek
óbvio	obvious
tiger	tiger
tiger	harimau
müller	müller
alexandra	alexandra
hal	hal
pesada	berat
feiras	fairs
feiras	exhibitions
alessandro	alessandro
equações	persamaan
myspace	myspace
bruto	jijik
bruto	kasar
bruto	kasar
regressou	dikembalikan
fernández	fernandez
fernández	fernández
linguística	linguistik
linguística	linguistik
wikis	wikis
utilizador	penguna
utilizador	user
utilizador	pengguna
johns	johns
tiros	tembakan
etiópia	habsyah
etiópia	habsyah
géneros	genre
dependência	kebergantungan
dependência	ketagihan
dependência	dependence
compor	gubah
compor	menggubah
figueira	figueira
adelaide	adelaide
amado	dicintai
amado	disayangi
amado	tercinta
alcançado	dijangkau
alcançado	dicapai
alcançado	dicapai
multidão	mob
multidão	keramaian
resolvido	terlerai
resolvido	dipecahkan
resolvido	diisih
resolvido	diurut
resolvido	disusun
lane	lane
lane	lorong
polegadas	inch
polegadas	inci
polegadas	inchi
polegadas	inci
teodoro	theodore
guarnição	garrison
markku	markku
roland	roland
completos	complete
completos	lengkap
especializado	dikhususkan
especializado	specialist
especializado	pakar
dano	kerosakan
dano	kerosakan
hesse	hesse
reconhece	iktiraf
reconhece	kenali
reconhece	mengenali
reconhece	iktiraf
reconhece	mengenali
reconhece	mengiktiraf
console	konsol
barreira	halangan
barreira	penghalang
protestante	protestant
mineral	mineral
mineral	galian
fina	nipis
esperava	dijangka
adolescência	adolescent
adolescência	remaja
mind	mind
mind	minda
líbano	lubnan
pete	pete
algarve	algarve
sólido	pepejal
sólido	pejal
sólido	padu
dirigentes	pemimpin
dirigentes	leaders
magnético	magnet
magnético	magnetik
magnético	magnetic
gigantes	gergasi
gigantes	giant
licenciatura	ijazah
licenciatura	darjah
licenciatura	graduan
licenciatura	lulus
licenciatura	graduate
ameaças	ugutan
ameaças	ancaman
ameaças	ugutan
ameaças	ancaman
múltiplos	berbilang
múltiplos	pelbagai
mercadorias	komoditi
mercadorias	barangan
mercadorias	barangan
mercadorias	dagangan
mercadorias	merchandise
mercadorias	freight
agradeço	hargai
patrícia	patricia
comemoração	perayaan
sentença	hukuman
sentença	kalimat
frutas	berbuah
frutas	buah
frutas	buah
frutas	fruits
precisava	diperlukan
precisava	needed
índices	indeks
prevenção	pencegahan
melodia	melodi
melodia	melody
melodia	tune
junius	junius
eliminados	dipadam
eliminados	terpadam
eliminados	tersisih
pesquisador	penyelidik
celebração	perayaan
manuscrito	manuskrip
manuscrito	naskhah
crônicas	kronik
crônicas	kronik
boi	boi
boi	bull
württemberg	württemberg
caçadores	pemburu
masters	sifu
sebastian	sebastian
separar	memisahkan
separar	berasingan
interessados	berminat
interessados	stakeholders
deficiência	kecacatan
deficiência	kecacatan
kew	kew
collins	collins
hospitais	hospital
briga	lawan
briga	berlawan
briga	bergaduh
briga	fight
tomado	direbut
tomado	diambil
tomado	taken
maomé	mohammad
maomé	muhammad
maomé	mohammed
maomé	mehmet
removido	dibuang
removido	dikeluarkan
painel	dashboard
painel	panel
diariamente	harian
diariamente	daily
chi	chi
armadura	armor
armadura	armor
armadura	armour
micro	micro
micro	mikro
cartões	kad
adquirido	didapat
adquirido	diperoleh
adquirido	diperolehi
adquirido	dibeli
frequentou	dihadiri
frequentou	menghadiri
recomendações	saranan
recomendações	saranan
garantia	cagaran
garantia	jaminan
garantia	guarantee
greatest	terbesar
greatest	greatest
criminal	penjenayah
criminal	jenayah
luxo	kemewahan
luxo	mewah
phillips	phillips
boxe	tinju
boxe	boxing
esculturas	arca
born	lahir
born	dilahirkan
born	born
novatos	beginners
novatos	newbies
novatos	rookies
aurora	aurora
mitchell	mitchell
made	diperbuat
made	made
made	bancuh
subida	panjat
subida	daki
subida	rise
subida	bangkit
subdivisões	subbahagian
claudio	claudio
patrocínio	menaja
patrocínio	taja
patrocínio	penaja
patrocínio	penajaan
macho	macho
macho	jantan
macho	male
saxônia	saxony
setúbal	setúbal
detroit	detroit
querendo	mahukan
hardware	hardware
hardware	perkakasan
ouvido	mendengar
ouvido	didengar
ouvido	telinga
perdas	kerugian
perdas	kerugian
urbanas	urban
lesões	lesi
lesões	kecederaan
lesões	kecederaan
alencar	alencar
visitas	lawatan
nervoso	nervous
nervoso	gementar
han	han
soviéticos	soviet
soviéticos	soviet
febre	demam
transformando	menjelmakan
ltd	ltd
separadas	dipisahkan
separadas	berpisah
separadas	berasingan
hudson	hudson
maratona	marathon
elvis	elvis
cobra	cobra
cobra	snake
cobra	ular
preparar	menyedia
preparar	prepare
andamento	kemajuan
andamento	progres
andamento	perkembangan
andamento	progress
andamento	tempo
escolhidos	dipilih
escolhidos	terpilih
socialismo	sosialisme
june	june
june	jun
ice	ais
colecção	koleksi
colecção	collection
cine	cine
fotógrafo	photographer
fotógrafo	jurugambar
ruth	ruth
jesse	jesse
romântico	romantik
romântico	romantic
experimentos	eksperimen
gramática	tatabahasa
laços	silaturrahim
divididas	dibagi
divididas	dibahagikan
divididas	dibahagi
acer	acer
riscos	risiko
riscos	risiko
trocar	suis
trocar	switch
trocar	swap
nilo	nil
atribuição	peruntukan
atribuição	assignment
atribuição	tugasan
atribuição	pengiktirafan
patrono	pelindung
ted	ted
mônica	monica
regência	sigi
consistia	berkisarkan
hart	hart
novato	newbie
novato	pemula
mensal	bulanan
favorito	favourite
favorito	kegemaran
favorito	kegemaran
favorito	kesayangan
favorito	kesukaan
conservador	konservatif
veloso	veloso
espetáculos	spectacles
martín	martín
martín	martin
circo	circus
circo	sarkas
selecionado	dipilih
irene	irene
bebidas	minuman
caçador	huntsman
caçador	pemburu
caçador	hunter
monge	rahib
naruto	naruto
pôr	put
pôr	meletakkan
atacado	borong
atacado	menyerang
atacado	diserang
trigo	gandum
quentes	hangat
quentes	suam
murphy	murphy
ante	ante
cenários	senario
pacote	pek
pacote	pack
pacote	bundle
pacote	packet
pacote	pakej
silêncio	senyap
silêncio	senyap
silêncio	senyap
silêncio	silent
nicholas	nicholas
kenneth	kenneth
buraco	lubang
buraco	hole
nono	nono
nono	kesembilan
romanas	roman
romanas	rom
helen	helen
ascendência	pendaratan
sentiu	dirasakan
sentiu	dirasai
esperando	menunggu
esperando	menjangkakan
esperando	mengharap
esperando	menjangka
esperando	mengharapkan
esperando	berharap
esperando	mengharapkan
madame	puan
madame	madam
madame	madame
carácter	aksara
carácter	watak
ernest	ernest
voltas	lap
cap	cap
cap	tudung
delegado	diagihkan
delegado	diwakilkan
delegado	delegasi
delegado	timbalan
funcional	fungsian
amadores	amatur
amadores	amatur
protecção	pelindung
protecção	perlindungan
jogado	dimain
transferida	dipindahkan
pérez	perez
pérez	pérez
empresarial	korporat
next	next
next	selanjutnya
next	seterusnya
ajudando	helping
ajudando	membantu
leves	ringan
montevidéu	montevideo
bico	paruh
arranjo	susunan
agências	agensi
margaret	margaret
standard	piawai
standard	standard
adolf	adolf
jam	jem
seattle	seattle
aaron	harun
aaron	aaron
cruzada	crusade
cruzada	crusader
preparado	ready
preparado	siap
chamando	menelefon
chamando	memanggil
chamando	calling
servido	menghidang
servido	dihidangkan
bass	bes
bass	bass
receitas	pendapatan
receitas	resipi
receitas	resepi
receitas	pendapatan
devil	devil
devil	syaitan
pioneiros	perintis
pioneiros	perintis
pioneiros	pioneer
complexa	complex
complexa	kompleks
moisés	musa
moisés	moses
formações	formations
exportação	eksport
exportação	eksport
exportação	mengeksport
incluídos	disertakan
incluídos	termasuk
simpson	simpson
constituinte	pengundi
forever	forever
forever	selamanya
cratera	kawah
estrelou	membintangi
hábito	tabiat
duff	duff
detetive	detektif
lagoas	kolam
lagoas	lagoons
restauro	pulih
restauro	pemulihan
restauro	restoration
frederick	frederick
milan	milan
levantamento	mengangkat
ocupando	occupying
cumprimento	pematuhan
cumprimento	ucapan
sacramento	sacramento
sacramento	sakramen
temporariamente	sementara
avançado	advanced
incluídas	disertakan
incluídas	termasuk
interpretações	pentafsiran
alerta	amaran
greco	greco
inéditas	unreleased
joinville	joinville
resende	resende
islândia	iceland
perna	kaki
perna	leg
haiti	haiti
haiti	haiti
habitação	perumahan
mágica	ajaibnya
mágica	magic
mágica	sihir
mágica	magik
