ajettu	駕駛
taidot	技藝
taidot	技巧
taidot	技能
lääkkeet	藥品
lääkkeet	藥物
lääkkeet	毒品
lääkkeet	藥品
lääkkeet	藥物
lääkkeet	醫學
lääkkeet	藥
lääkkeet	醫藥
lääkkeet	藥品
lääkkeet	醫藥
hinnat	物價
hinnat	價格
kuvernementti	省
kuvernementti	省省
kolmio	三角形
kolmio	三角
kolmio	三角形
kolmio	三角
kolmio	三角形
arkeologi	考古學家
ulkoisesti	外部
ulkoisesti	對外
vihreää	綠色
vihreää	綠
vihreää	綠地
vihreää	格林
puutteita	缺陷
puutteita	缺點
puutteita	弱點
helmikuu	二月
helmikuu	二月
salaperäinen	神秘
sovelletaan	適用
sovelletaan	適用
sekoitetaan	搭配
sekoitetaan	組合
sekoitetaan	混合
sekoitetaan	攪拌
torres	torres
laituri	船塢
laituri	碼頭
laituri	碼頭
laituri	站台
laituri	平台
vastarinnan	阻力
vastarinnan	電阻
vastarinnan	抵抗
vastarinnan	抵制
astrid	astrid
kokemuksen	體驗
kokemuksen	經驗
terve	健康
lapsuuden	童年
käynnistää	發射
sims	sims
percy	percy
harper	harper
arvostelua	批評
arvostelua	批判
arvostelua	批評
markkinoiden	市場
markkinoiden	市場
klaani	氏族
klaani	部族
klaani	氏
barack	barack
liv	liv
nouseva	上升
nya	nya
maidon	乳
maidon	牛奶
maidon	奶
keksiä	餅乾
keksiä	cookie
keksiä	發明
verkosto	網路
verkosto	網
hiippakunta	教區
matkustajat	乘客
matkustajat	旅客
matkustajat	乘客
matkustajat	旅客
pato	壩
pato	水電站
pato	水庫
pato	大壩
pato	水壩
raudan	鋼鐵
raudan	鐵
belle	belle
belle	貝勒
olivia	olivia
pojanpoika	孫子
pojanpoika	外孫
lordin	主
myrkyllinen	有毒
myrkyllinen	毒性
myrkyllinen	有毒
todistus	憑證
todistus	證書
todistus	證據
todistus	證明
ajoneuvo	車輛
tea	茶葉
tea	茶
huoneen	房間
huoneen	房
vapaaehtoinen	自願
vapaaehtoinen	自願性
vapaaehtoinen	志願者
vapaaehtoinen	義工
puolison	配偶
kreikkaa	希臘文
kreikkaa	希臘
kiitosta	表揚
kiitosta	贊美
kiitosta	稱贊
hiljattain	最近
hiljattain	近日
hiljattain	近期
rakenteet	建構
rakenteet	結構
liiketoiminta	企業
liiketoiminta	業務
liiketoiminta	商業
liiketoiminta	商務
uhrin	受害人
uhrin	受害者
uhrin	死者
elinikä	壽命
elinikä	長壽
elinikä	終生
elinikä	一生
elinikä	終身
tutkijoita	研究者
tutkijoita	科學家
kasvuun	成長
kasvuun	增長
win	贏了
win	勝利
win	贏
win	win
georgi	georgi
georgi	georgy
tarjouksen	投標
tarjouksen	出價
tarjouksen	優惠
teknologia	技術
teknologia	科技
viikoittain	每星期
viikoittain	週刊
viikoittain	每週
viikoittain	每周
milanossa	米蘭
tekijänoikeuden	版權
tekijänoikeuden	著作權
stark	stark
ilmaisu	表達
ilmaisu	表情
asiantuntijoiden	專家
levi	levi
rossin	ross
julistuksen	宣告
julistuksen	公告
julistuksen	宣言
lainsäädäntö	法律
lainsäädäntö	立法
päivittää	升級
päivittää	提升
päivittää	更新
shop	shop
shop	購物
shop	店鋪
shop	店
shop	商店
suosikki	最愛
suosikki	喜愛
kaivaa	挖
kaivaa	挖掘
kaivaa	挖
url	url
url	網址
koske	touch
koske	摸
koske	觸碰
koske	觸控
koske	觸動
dorothy	dorothy
kykyjä	人才
rikkoo	違反
rikkoo	違規
rikkoo	突破
rikkoo	打破
rikkoo	違反
rikkoo	違約
rikkoo	違規
pakistan	巴基斯坦
guild	公會
vuosikymmenellä	十年
avaus	開局
avaus	開幕
näyttö	螢幕
näyttö	顯示
näyttö	顯示器
näyttö	展示
näyttö	證據
mitta	測量
mitta	度量
mitta	計量
mitta	衡量
mitta	量度
otteita	節錄
otteita	摘錄
otteita	摘錄
seksuaalinen	性
pallonpuoliskolla	半球
ruusun	玫瑰
ruusun	rose
robbie	robbie
miranda	miranda
pettymys	失望
pettymys	失望
tilapäisesti	暫時
kävely	步行
kävely	散步
kävely	行走
kävely	走路
kävely	步行
kävely	散步
kävely	走路
ulkomaalaisia	外國人
ulkomaalaisia	外籍人士
alhaalla	樓下
lokit	海鷗
lokit	原木
eno	舅舅
eno	伯父
eno	叔叔
eno	阿叔
suzuki	鈴木
tulivuori	火山
kaula	脖子
kaula	頸
kaula	頸部
kissan	貓咪
kissan	貓
kissan	cat
valentine	情人節
mills	mills
kaduilla	街道
facebookissa	facebook
diktaattori	獨裁者
plaza	plaza
plaza	廣場
uusinta	重播
juutalaista	猶太人
juutalaista	猶太
juutalaista	猶太教
intiaaneja	印地安人
kansalliset	national
kansalliset	國家
valmistumisen	畢業
rinnakkain	並行
rinnakkain	平行
hyönteiset	昆蟲
hyönteiset	昆蟲
tuomarit	法官
grafiikka	圖形
grafiikka	繪圖
sivusta	側翼
sivusta	側面
akateemisen	學術
daimler	daimler
vihaa	怒
vihaa	憤怒
vihaa	怒火
vihaa	仇視
vihaa	仇恨
vihaa	憎恨
vihaa	恨
vihaa	討厭
vihaa	仇恨
talonpojat	農民
muslimit	穆斯林
muslimit	穆斯林
pia	pia
perinteet	傳統
perinteet	傳統
woods	林子
woods	樹林
runebergin	runeberg
seppä	鐵匠
seppä	smith
seppä	史密斯
vanessa	vanessa
hiiltä	炭
hiiltä	木炭
hiiltä	碳
hiiltä	炭
kolminkertainen	三重
niilin	尼羅河
bowie	bowie
toimenpiteitä	措施
mel	mel
mel	梅爾
solut	細胞
montrealin	蒙特婁
android	android
työpaikan	workplace
opettajia	教師
oppositio	反對
oppositio	反對派
oppositio	反對黨
konfederaation	邦聯
täti	姑姑
täti	伯母
täti	姨媽
täti	阿姨
täti	姑姑
täti	姨媽
pianon	鋼琴
väkivalta	暴力
kay	凱
ikävä	miss
ikävä	小姐
painon	重量
painon	體重
painon	份量
persianlahden	海灣
valmistajat	製片人
valmistajat	製造商
capitol	都城
siipi	永
siipi	翼
karma	報應
karma	因果報應
amd	amd
asukkaille	居民
tanssii	舞蹈
tanssii	舞動
tanssii	跳舞
tanssii	舞
amor	amor
singh	singh
resursseja	資源
onnea	幸福
onnea	運氣
hiv	hiv
kertyy	累積
kertyy	積累
kertyy	積累
afrikkalainen	非洲
moses	摩西
tiedustelu	偵查
tiedustelu	偵察
tiedustelu	智慧
tiedustelu	情報
tiedustelu	智力
tiedustelu	偵查
tiedustelu	偵察
viestintä	通訊
viestintä	溝通
viestintä	溝通
viestintä	通訊
levitä	傳播
levitä	散播
levitä	蔓延
sallitaan	允許
sallitaan	允許
sallitaan	獲准
pyhimys	聖人
pyhimys	聖
maalausta	畫畫
maalausta	畫
maalausta	油畫
maalausta	繪畫
lumi	下雪
lumi	雪
lumi	snow
tyttöystävä	女友
tyttöystävä	女朋友
travis	travis
uskottu	知己
maitoa	乳
maitoa	牛奶
maitoa	奶
linnaa	城堡
linnaa	castle
linnaa	城
murhaaja	殺手
etuna	優點
etuna	優勢
tarzan	泰山
andre	andre
suojeltu	保護
oleg	oleg
sini	blue
sini	藍
sini	藍色
rebecca	rebecca
laser	雷射
laser	鐳射
suorat	直直
suorat	直
suorat	直接
zeuksen	宙斯
cobra	眼鏡蛇
arvostelun	批評
arvostelun	批判
häiriö	干擾
häiriö	干預
häiriö	干涉
häiriö	擾動
häiriö	失調
häiriö	擾亂
tobias	tobias
tunnelin	地道
tunnelin	隧道
kapinaa	叛亂
kapinaa	叛逆
kapinaa	反叛
kapinaa	叛亂
kapinaa	叛變
vita	vita
jatkuvat	持續
jatkuvat	連續
henkilökunta	人員
henkilökunta	人事
bryssel	布魯塞爾
kupari	銅礦
kupari	銅
vala	誓
vala	誓言
vala	誓詞
vala	宣誓
vala	誓
vala	誓言
vala	誓詞
rikkomisesta	侵犯
ara	ara
drake	drake
lanka	電線
lanka	鋼絲
lanka	鐵絲
lanka	線
lanka	紗
java	爪哇
java	java
rivin	划
rivin	排
kokeita	試驗
kokeita	實驗
toimenpide	手術
toimenpide	行動
toimenpide	運算
toimenpide	操作
toimenpide	測量
toimenpide	度量
toimenpide	計量
toimenpide	衡量
toimenpide	量度
marokko	摩洛哥
saga	佐賀
kartat	地圖
kartat	圖表
todisteet	證據
todisteet	證明
todisteet	證據
harrisin	harris
mont	蒙特
mont	蒙
veistoksia	雕塑
runoutta	詩
runoutta	詩歌
sade	雨
sade	下雨
sade	雨水
ham	火腿
ulospäin	外向
ulospäin	向外
aukon	光圈
aukon	孔徑
garcia	加西亞
rotua	品種
rotua	繁殖
syöpä	癌症
syöpä	癌
bolivian	玻利維亞
livenä	活
livenä	直播
livenä	live
syytettynä	被告
tarpeellinen	必要
tarpeellinen	必需
allekirjoitus	簽約
allekirjoitus	簽署
allekirjoitus	簽名
allekirjoitus	簽字
allekirjoitus	簽
allekirjoitus	簽名
allekirjoitus	署名
allekirjoitus	簽署
allekirjoitus	簽名
allekirjoitus	簽字
allekirjoitus	簽署
alpit	阿爾卑斯山
törmää	相撞
törmää	碰撞
vuosikymmenien	幾十年
näytös	act
saattue	船隊
saattue	車隊
saattue	陪同
saattue	護航
saattue	護送
saattue	車隊
aineisto	物料
aineisto	材質
aineisto	材料
entsyymi	酶
otus	生物
karjaa	牲畜
karjaa	畜牧
karjaa	牛
kotimainen	家用
kotimainen	國內
kotimainen	土著
kommenttia	評論
täydellistä	完美
lähetys	廣播
lähetys	直播
lähetys	播放
lähetys	播出
lähetys	傳送
lähetys	傳輸
lähetys	貨運
lähetys	裝運
lähetys	托運
rautatiet	鐵路
rautatiet	鐵路
rautatiet	鐵道
rautatiet	鐵路
rautatiet	鐵道
elektroninen	電子
emmanuel	emmanuel
oppimisen	學習
oppimisen	學
asiakkaiden	客戶
asiakkaiden	顧客
asiakkaiden	客戶
hiekkaa	沙
hiekkaa	沙子
hiekkaa	砂
latinalainen	拉丁
latinalainen	拉丁文
shah	沙
shah	shah
iltapäivällä	下午
iltapäivällä	午後
kalastaja	漁民
kalastaja	漁夫
myyntiä	銷售
myyntiä	銷售量
myyntiä	銷售額
kanavat	頻道
kanavat	渠道
kanavat	運河
sinistä	blue
sinistä	藍
sinistä	藍色
vanhempaa	家長
vanhempaa	父母
vanhempaa	年長
vanhempaa	老年
teddy	teddy
bibliografia	書目
lauren	lauren
tulva	洪水
tulva	水災
tulva	洪水
tulva	水災
julistus	宣言
muinaiset	古代
muinaiset	古老
tiedostojen	文件
tiedostojen	檔案
keskimmäinen	中間
maaperä	泥土
maaperä	土壤
maaperä	土
maaperä	土壤
hayes	hayes
puhunut	口語
jännite	張力
jännite	電壓
sano	說
rakenteiden	結構
intercontinental	洲際
sopimukset	合約
sopimukset	合同
sopimukset	條約
sopimukset	協定
sopimukset	公約
lainattu	借
lainattu	引用
lainattu	引述
terävä	尖銳
terävä	鋒利
terävä	銳利
hbo	hbo
esiintymistä	表演
junien	火車
junien	列車
menetelmät	方法
kallis	昂貴
kallis	貴
hassan	hassan
hassan	哈桑
reagan	里根
elintarvikkeiden	食品
lunta	下雪
lunta	下雪
lunta	雪
lunta	snow
falls	瀑布
smash	砸
smash	打碎
smash	粉碎
kylmää	冷冷
kylmää	寒冷
kylmää	冷
pyörii	滾動
pyörii	紡
terminaali	終點站
terminaali	終端
terminaali	終端機
rakas	dear
riley	riley
teatteria	劇場
teatteria	戰區
teatteria	戲劇
teatteria	劇院
teatteria	戲院
aero	航空
hussein	hussein
enrique	enrique
gnu	gnu
singer	singer
singer	歌手
joutsen	天鵝
kirjeet	信
kirjeet	字母
kirjeet	信件
piipun	槍口
toivoa	希望
toivoa	hope
ulkoinen	外部
ulkoinen	外表
järjestelmät	系統
materiaaleja	物料
materiaaleja	材料
syksy	秋季
syksy	秋天
syksy	秋
syksy	秋季
syksy	秋天
syksy	跌倒
bulgariassa	保加利亞
andien	安第斯山脈
metallista	金屬
pidemmän	更高
fregatti	巡防艦
fregatti	護衛艦
christoph	christoph
vastauksia	答案
vastauksia	解答
vastauksia	回覆
vastauksia	答復
vastustajien	對手
pehmeä	軟軟
pehmeä	柔軟
pehmeä	柔和
pehmeä	軟
yhteisöt	實體
luuli	思想
montenegro	黑山
ratkaisee	解決
ratkaisee	解
tracy	tracy
lahja	現任
lahja	禮物
lahja	禮品
lahja	天賦
schneider	schneider
ovi	門
aspergillus	曲霉
piha	院子
piha	庭院
piha	院子
piha	碼
piha	庭院
frances	frances
huhti	四月
huhti	四月份
kirkas	清除
kirkas	明亮
ainutlaatuinen	獨特
ainutlaatuinen	獨一無二
usb	usb
jäännökset	殘留物
jäännökset	殘餘物
jäännökset	殘渣
kursseja	課程
muistin	記憶力
muistin	記憶
muistin	記憶體
muistin	回憶
rice	大米
rice	米
rice	米飯
rice	飯
smp	smp
kuuba	古巴
periaatteet	原則
visa	visa
visa	簽證
malta	馬耳他
malta	馬耳他
ajoneuvojen	車輛
viihde	娛樂
twin	孿生
twin	雙胞胎
twin	雙胞
katsomassa	觀看
sali	健身房
sali	體育館
sali	廳
sali	霍爾
sali	大廳
sali	hall
pariskunnan	夫妻
pariskunnan	情侶
pariskunnan	夫婦
lasi	玻璃
rue	rue
enkelit	天使
wing	永
wing	翼
tahto	將
tahto	威爾
vilkas	活潑
vilkas	熱鬧
casa	casa
hyöty	受益
hyöty	福利
hyöty	實用
hyöty	效用
hyöty	實用性
perua	取消
nes	nes
kaksoset	雙胞胎
kamppailu	鬥爭
kamppailu	奮鬥
kamppailu	掙扎
chase	追
chase	大通
chase	追逐
kukko	公雞
kukko	公雞
blanc	blanc
lisenssi	執照
lisenssi	許可
lisenssi	許可證
lisenssi	執照
lisenssi	駕照
lisenssi	許可證
mielenkiintoista	有趣
islanders	島民
virtaus	流
virtaus	流程
virtaus	流通
virtaus	流動
virtaus	流量
vyöhyke	區
vyöhyke	區域
monimutkainen	複雜
monimutkainen	複雜性
monimutkainen	複雜
monimutkainen	複雜
saapuneet	抵達
saapuneet	到達
räjähdyksen	爆炸
virkamiehet	官員
kasvillisuuden	植被
sotamies	隱私
sotamies	私人
sotamies	私營
kellon	鐘
kellon	鍾
kellon	時鐘
varusteet	裝備
varusteet	裝備
varusteet	gear
varusteet	齒輪
bauer	bauer
trilogia	三部曲
victorian	維多利亞
victorian	victoria
luxemburg	盧森堡
veneet	船隻
veneet	艇
emäntä	情婦
emäntä	女主人
opiskelu	學習
opiskelu	研究
opiskelu	學習
opiskelu	學習
opiskelu	學
kolmekymmentä	三十
kolmekymmentä	thirty
bowl	碗
hauska	好玩
hauska	樂趣
hauska	搞笑
hauska	好笑
bertrand	bertrand
bostonissa	波士頓
yritän	嘗試
terästä	鋼鐵
terästä	鋼
myrkyllisiä	有毒
myrkyllisiä	毒性
myrkyllisiä	有毒
vetäytyä	撤回
vetäytyä	收回
goodman	goodman
meta	元
drew	drew
hotellissa	飯店
hotellissa	酒店
hotellissa	賓館
hotellissa	旅館
estä	防止
estä	區塊
estä	block
salaman	閃電
salaman	電光
odotettiin	預計
odotettiin	預期
hyödyllistä	實用
hyödyllistä	有用
ravintoloita	飯店
ravintoloita	餐廳
ravintoloita	餐館
termit	用語
termit	術語
termit	條款
termit	術語
valtuuskunnan	代表團
määrittely	定義
leader	領導人
leader	領導者
leader	領袖
osastot	頭銜
osastot	職銜
osastot	標題
osastot	病房
osastot	各部門
tiikeri	虎
tiikeri	老虎
piper	piper
mekaaninen	機械
ympäröivä	周邊
korkki	帽
korkki	cap
korkki	上限
korkki	cork
ericsson	ericsson
yksityiset	隱私
yksityiset	私人
yksityiset	私營
huolissaan	擔憂
huolissaan	擔心
motors	馬達
muslimeja	穆斯林
millerin	米勒
millerin	miller
tutkiminen	勘探
tutkiminen	探索
tutkiminen	考試
dana	dana
seth	seth
kadut	街道
tilastojen	統計數字
cliff	懸崖
cliff	崖
trinity	三位一體
ikää	年紀
ikää	年齡
persoona	人格
persoona	人格
persoona	性格
persoona	個性
kortit	卡
kortit	紙牌
kortit	卡片
kortit	牌
suosi	偏好
kerrosta	地板
kiinteän	固定
työnantaja	雇主
työnantaja	僱主
työnantaja	雇主
jäätikkö	冰川
viisitoista	fifteen
viisitoista	十五
sairaudet	疾病
leiri	露營
leiri	難民營
leiri	營
leiri	營地
ilmiöt	現象
edelliset	先前
samurai	武士
vangittuna	囚禁
viljely	種植
lämpö	熱
lämpö	熱火
lämpö	加熱
lämpö	熱力
lämpö	熱量
lämpö	熱力
osoitteen	地址
osoitteen	住址
velvollisuus	職責
velvollisuus	責任
velvollisuus	義務
taivaaseen	天國
taivaaseen	天堂
cash	現金
kielto	禁止
kielto	禁止
luonnollista	自然
luonnollista	天然
ibrahim	ibrahim
osittainen	局部
osittainen	部分
walsh	walsh
hyödyllisiä	實用
hyödyllisiä	有用
kauppiaat	商人
kauppiaat	商家
kauppiaat	經銷商
siviili	民事
jordanian	約旦
seikkailuja	冒險
seikkailuja	探險
seikkailuja	冒險
korkeimmat	最高
autonomian	自主
autonomian	自治
poikkeava	異常
liikkeellä	搬家
liikkeellä	感動
totuutta	真理
totuutta	事實
totuutta	真相
kuvastaa	反映
johtaneet	led
junalla	火車
junalla	列車
suojattu	保護
liekki	火焰
rantaa	沙灘
rantaa	海灘
willem	willem
avataan	開局
avataan	開幕
asteittain	漸進
asteittain	逐漸
asteittain	逐步
asteittain	逐漸
asteittain	漸進
asteittain	進步
asteittain	累進
asteittain	逐步
rytmi	韻律
rytmi	節奏
vedyn	氫氣
vedyn	氫
kummisetä	乾爹
kummisetä	教父
sisäpuolella	內在
sisäpuolella	裡面
sisäpuolella	內心
sisäpuolella	內部
chili	辣椒
opiskelijoille	學生
positiivista	積極
positiivista	正面
positiivista	陽性
jälkeläinen	後代
jälkeläinen	後裔
jälkeläinen	後代
hankittu	購買
vampyyri	吸血鬼
karjan	牲畜
karjan	畜牧
vakuuttaa	說服
kopioida	重複
kopioida	複製
natalie	natalie
fyysistä	物理
jalkojen	英尺
jalkojen	腳
jalkojen	腿
yksinkertaista	簡單
yksinkertaista	簡化
risteyksessä	交集
risteyksessä	路口
risteyksessä	十字路口
risteyksessä	十字路口
kulman	角落
kulman	轉角
kulman	角
sainz	sainz
ikkunat	windows
ikkunat	窗
ikkunat	視窗
eagles	老鷹
eagles	鷹
faarao	法老
muistoja	記憶
muistoja	回憶
llc	llc
coleman	coleman
metallica	metallica
laitetta	裝置
putki	管
putki	管管
putki	管道
putki	管子
putki	管
putki	管子
kunto	條件
kunto	狀況
kunto	健身
rico	rico
säilytetty	留用
vartija	守護神
vartija	守護者
vartija	守護
vartija	監護人
vartija	守衛
vartija	衛兵
vartija	警衛
vartija	守護
väline	儀器
väline	樂器
väline	文書
väline	工具
identiteetin	身分
identiteetin	身份
siirtokuntien	定居點
whitney	whitney
petit	petit
pala	燒錄
pala	燃燒
pala	燒傷
pala	燒
pala	燒死
wade	wade
saapumista	抵達
saapumista	到達
lähemmäs	更近
sovelluksia	申請
sovelluksia	申請書
piirustukset	圖畫
piirustukset	圖紙
piirustukset	繪圖
ehdokkaan	候選人
ehdokkaan	候選
chang	chang
chang	張
edellytykset	先決條件
edellytykset	條件
hengellinen	靈性
hengellinen	精神
alejandro	alejandro
enterprise	企業
leikkauksen	手術
leikkauksen	外科手術
neuvottelujen	談判
viisas	明智
viisas	英明
viisas	聰明
viisas	smart
lähetykset	裝運
lähetykset	放送
lähetykset	廣播
isänmaan	祖國
alfredo	alfredo
idol	偶像
piilossa	隱藏
piilossa	隱藏
löytöjä	發現
löytöjä	探索
joshua	joshua
syytteet	收費
akun	電池
akun	電量
sokea	瞎子
sokea	盲目
sokea	盲
sokea	盲人
sokea	瞎
korkeuden	身高
korkeuden	高度
galileo	伽利略
asiakkaita	客戶
asiakkaita	顧客
asiakkaita	客戶
tunnustuksen	懺悔
tunnustuksen	告白
tunnustuksen	表白
tunnustuksen	告解
tekijänoikeuksien	版權
tekijänoikeuksien	著作權
liittyneet	加入
vas	vas
ehdotettiin	推薦
opettajat	教師
dome	穹
dome	圓頂
matemaattinen	數學
alexis	alexis
kipua	痛
kipua	傷痛
kipua	疼痛
kipua	痛苦
matalalla	低低
matalalla	低
brett	brett
soturi	戰士
soturi	勇士
taipumus	傾向
taipumus	傾向
lance	lance
lance	長矛
myöskin	還
myöskin	也
maatilan	農場
viruksen	病毒
rinnan	胸
rinnan	胸部
rinnan	胸膛
rinnan	胸口
papiston	神職人員
kuivaa	乾燥
kuivaa	乾
kirjaimia	信
kirjaimia	字母
kirjaimia	信件
lapua	lapua
aikaisin	提早
aikaisin	及早
aikaisin	早期
aikaisin	提前
singaporessa	新加坡
etua	興趣
etua	利息
viini	酒
viini	葡萄酒
havaijin	夏威夷
lausunnon	意見
kertynyt	累積
kertynyt	累計
katsojia	觀眾
katsojia	旁觀者
katsojia	觀眾
kara	kara
julien	julie
blackmore	blackmore
osuudet	比例
osuudet	捐款
osuudet	繳款
osuudet	共享
osuudet	分享
osuudet	股份
yksittäin	個別
kortteja	卡
kortteja	紙牌
kortteja	卡片
kortteja	牌
vastustajia	對手
kansallisten	national
kansallisten	國家
sirius	天狼星
selitykset	解釋
selitykset	解釋
järkevä	理性
järkevä	合理
säästää	節省
säästää	儲蓄
seuraukset	特效
seuraukset	效應
seuraukset	影響
seuraukset	效果
seuraukset	後果
arabit	阿拉伯人
kettu	狐
kettu	狐狸
kettu	fox
algeria	阿爾及利亞
vahvin	最強
vankia	俘虜
vankia	囚犯
vankia	犯人
vankia	囚徒
teresa	teresa
nyberg	nyberg
osaka	大阪
tuomita	譴責
korvataan	替代
korvataan	取代
korvataan	替換
korvataan	更換
korvataan	代替
kana	雞肉
kana	山雞
kana	雞
kana	母雞
kana	假名
kana	奏
kehottaa	敦促
kehottaa	敦促
vaihtelua	波動
vaihtelua	變更
vaihtelua	變異
vaaraa	危險
vaaraa	危險性
eilen	昨天
eilen	昨日
happi	氧氣
happi	氧
logiikka	邏輯
sukupuoli	性別
sukupuoli	性
sukupuoli	性別
sukupuoli	性愛
sukupuoli	性行為
sukupuoli	性
tavat	禮儀
tavat	禮貌
filosofit	哲學家
taiwanin	台灣
taiwanin	臺灣
taiwanin	臺灣
japanista	日本
hirvi	麋鹿
hirvi	麋鹿
hirvi	鹿
hirvi	雄鹿
oletettu	假定
oletettu	據稱
oletettu	假設
oletettu	推定
oletettu	假定
kankaan	布料
kankaan	纖維
kankaan	織物
molly	茉莉
molly	molly
lissabonin	里斯本
lissabonin	lisbon
filippiinit	菲律賓
todellisuus	現實
vihreitä	綠黨
muovi	塑料
muovi	塑膠
muovi	塑料
muovi	塑膠
tiivis	協約
tiivis	緊湊
tiivis	契約
tiivis	簡潔
tiivis	簡明
gaala	盛會
gaala	晚會
herkkä	敏感
herkkä	敏感性
herkkä	敏感度
germain	germain
joosef	約瑟夫
joosef	joseph
joosef	約瑟
vista	vista
syvälle	深
syvälle	深層
konflikti	衝突
lima	黏液
uudistukset	改革
uudistukset	改革
vapaaehtoisia	志願者
sharon	sharon
sharon	沙龍
riisi	大米
riisi	米
riisi	米飯
riisi	飯
pyörä	輪
pyörä	車輪
pyörä	單車
pyörä	腳踏車
pyörä	自行車
sms	簡訊
luvannut	允諾
parantunut	痊癒
parantunut	改進
parantunut	改善
parantunut	改良
skandaali	醜聞
skandaali	緋聞
naulan	釘
naulan	釘子
naulan	指甲
palkka	薪水
palkka	工資
palkka	薪資
palkka	薪金
palkka	工資
palkka	付費
palkka	付款
palkka	支付
palkka	工資
houkutteli	誘騙
perjantaina	星期五
perjantaina	週五
gsm	gsm
volley	凌空
orp	orp
orjuuden	奴隸制
orjuuden	奴役
kellot	鐘錶
kellot	時鐘
kellot	手錶
kellot	鐘聲
lähestyy	閉幕
lähestyy	臨近
lähestyy	接近
tiheä	稠密
tiheä	密集
vega	vega
huonetta	客房
huonetta	房間
marty	marty
uudistuksen	改革
viestiä	留言
viestiä	訊息
viestiä	信件
liput	票
liput	門票
liput	車票
liput	票券
liput	旗幟
