மற்றும்	és
தேசிய	országos
தேசிய	national
கலந்து	szakorvos
இலங்கை	ceylon
இங்கு	itt
கி	kyi
அமெரிக்க	amerikai
அடிப்படை	alap
அடிப்படை	bázis
அடிப்படை	alap
அடிப்படை	alapvető
பெயர்	neve
பெயர்	név
பெயர்	címke
மூன்று	három
ஆண்கள்	hímek
ஆண்கள்	férfi
ஆண்கள்	férfiak
ஆண்கள்	emberek
ஆண்கள்	mens
ஒன்று	gyülekező
ஒன்று	egy
ஐக்கிய	united
ஐக்கிய	egyesült
புதிய	újdonság
புதிய	új
புதிய	frissen
புதிய	friss
மொத்தம்	teljes
மொத்தம்	összesen
இவை	ezek
இவை	ezeket
சிறந்த	nagyszerű
சிறந்த	legjobbak
சிறந்த	legjobb
சிறந்த	best
சிறந்த	kiváló
அரசு	kormány
அரசு	kormányzat
வசதிகள்	létesítmények
இந்தியா	india
பெரிய	nagyszerű
பெரிய	nagyok
பெரிய	nagy
பெரிய	nagyok
பெரிய	nagyméretű
பெரிய	nagy
ஊரக	vidék
ஊரக	vidéki
நாள்	nap
நாள்	napon
நாள்	nappal
நாள்	napot
பிறப்பு	általános
பிறப்பு	generikus
பிறப்பு	született
பிறப்பு	megszületett
பிறப்பு	születés
பிறப்பு	születési
பிறப்பு	szülés
இருந்தது	volt
முக்கிய	fő
முக்கிய	main
முக்கிய	főbb
முக்கிய	fontos
பல்வேறு	fajta
பல்வேறு	többféle
பல்வேறு	különféle
பல்வேறு	különböző
இருந்த	voltak
திரைப்படங்கள்	mozi
திரைப்படங்கள்	filmek
திரைப்படங்கள்	filmeket
பிற	egyéb
பிற	más
அவர்கள்	ők
அவர்கள்	őket
அவர்கள்	ők
மொழி	nyelv
முறை	módszer
முறை	eljárás
முறை	mód
முறை	mode
முறை	üzemmód
கோயில்	templom
கோயில்	szentély
கோயில்	temploma
கோயில்	temple
விருது	díj
விருது	díjat
பொதுவாக	általános
பொதுவாக	tábornok
அக்டோபர்	októberi
அக்டோபர்	októberben
அக்டோபர்	október
செய்து	lekötött
செய்து	elkövetett
செய்து	elkötelezett
இரண்டாம்	másodszor
இரண்டாம்	másodperc
இரண்டாம்	második
இரண்டாம்	középfokú
இரண்டாம்	másodlagos
வரும்	jön
வரும்	jövök
வரும்	jön
மே	may
மே	május
மே	májusi
மே	májusban
ஒவ்வொரு	minden
ஒவ்வொரு	mindegyik
மட்டுமே	csak
மட்டுமே	kizárólag
வரலாறு	történelme
வரலாறு	előzmények
வரலாறு	történelem
பகுதியில்	terület
பகுதியில்	környék
நூல்கள்	könyveket
நூல்கள்	könyvek
நூல்கள்	könyv
சேர்ந்த	tartozó
பின்	pin
பின்	után
பின்	after
பின்	miután
பின்	utána
பின்	vissza
இல்லை	nem
நவம்பர்	november
நவம்பர்	novemberi
நவம்பர்	novemberben
அதிக	high
அதிக	magas
அதிக	magasan
காலத்தில்	időszak
காலத்தில்	időtartam
காலத்தில்	periódus
மிக	nagyon
நான்கு	négy
பிறகு	akkor
பிறகு	aztán
பிறகு	később
பிறகு	után
பிறகு	after
பிறகு	miután
பிறகு	utána
அரசியல்	politika
அரசியல்	politikai
அரசியல்	politika
பகுதி	részleges
பகுதி	részlegesen
பகுதி	terület
பகுதி	környék
பகுதி	régió
பகுதி	régiók
பகுதி	részben
பகுதி	rész
பகுதி	része
பகுதி	szegmens
பற்றி	kb
பற்றி	nagyjából
பற்றி	körülbelül
ஆறு	hat
ஆறு	folyami
ஆறு	folyó
மீண்டும்	újra
இங்கிலாந்து	anglia
இங்கிலாந்து	england
இங்கிலாந்து	angliai
காலம்	szezont
காலம்	idény
காலம்	évszak
காலம்	évad
காலம்	szezon
காலம்	időszak
காலம்	időtartam
காலம்	periódus
காலம்	ideje
காலம்	időpont
காலம்	idő
நிலை	állás
நிலை	pozíció
நிலை	álláspont
நிலை	állapot
நிலை	állami
நிலை	állam
நிலை	szint
நிலை	szintű
ஒரே	ugyanez
ஒரே	ugyanaz
போர்	háború
காரணமாக	esedékes
பொருள்	anyagok
பொருள்	anyag
பொருள்	anyaga
பொருள்	termék
பொருள்	objektum
பொருள்	tárgy
பொருள்	szinonimák
பொருள்	alany
பொருள்	figyelemmel
பொருள்	tárgy
அறிவியல்	tudomány
பேச்சு	beszéde
பேச்சு	beszéd
பேச்சு	beszélni
பேச்சு	beszélgetés
இதனால்	with
அனைத்து	mindegyik
அனைத்து	mind
அனைத்து	minden
கல்வி	oktatási
கல்வி	oktatás
ஏப்ரல்	apr
ஏப்ரல்	april
ஏப்ரல்	április
ஏப்ரல்	áprilisi
ஏப்ரல்	áprilisban
உலக	világ
உலக	world
உலக	vilag
உலக	globális
உலக	global
கே	melegek
கே	meleg
கே	buzi
முடியும்	tud
முடியும்	can
முடியும்	lehet
கீழ்	lefelé
கீழ்	le
கீழ்	alacsonyabb
கீழ்	alsó
கீழ்	lejjebb
கீழ்	alatt
கீழ்	alatta
கீழ்	alá
கீழ்	alul
கீழ்	alja
கீழ்	alsó
கீழ்	fenék
இடம்	hely
இடம்	helyszín
இடம்	hely
இடம்	elhelyezkedés
இடம்	űr
இடம்	tér
செப்டம்பர்	szeptemberben
செப்டம்பர்	szeptember
செப்டம்பர்	szeptemberi
பேர்	másoknak
பேர்	egyéb
பேர்	mások
பேர்	egyebek
பெரும்	nagyszerű
பெரும்	szemtelen
சி	chi
நாடுகள்	országokban
நாடுகள்	országok
தொகுதி	albumok
தொகுதி	rendszer
தொகுதி	system
தொகுதி	modul
கிழக்கு	keletre
கிழக்கு	keleti
கிழக்கு	kelet
கிழக்கு	orient
கிழக்கு	kelet
கிழக்கு	keleti
அமைப்பு	beállítás
அமைப்பு	csapda
அமைப்பு	rendszer
அமைப்பு	system
அமைப்பு	beállítás
அமைப்பு	szervezés
அமைப்பு	szervezet
அமைப்பு	struktúra
அமைப்பு	szerkezet
அமைப்பு	felépítés
அமைப்பு	építmény
அளவு	összeg
அளவு	mennyiség
அளவு	mérleg
அளவு	skálán
அளவு	skála
அளவு	mérete
அளவு	méret
நகர்	nagar
மற்ற	egyéb
மற்ற	más
இந்து	hindu
இவற்றையும்	ezek
இவற்றையும்	ezeket
தற்போது	most
தற்போது	jelenleg
பாடல்	dal
பாடல்	dalt
பாடல்	song
உண்டு	elérhető
உண்டு	rendelhető
உண்டு	van
வாழும்	élni
வாழும்	élő
இருக்கிறது	elérhető
இருக்கிறது	rendelhető
நிறுவனம்	társaság
நிறுவனம்	vállalat
நிறுவனம்	cég
நிறுவனம்	század
நிறுவனம்	munkaadók
நிறுவனம்	munkáltató
நிறுவனம்	munkaadó
நிறுவனம்	szervezés
நிறுவனம்	szervezet
நிறுவனம்	szervezés
நிறுவனம்	szervezet
நபர்கள்	emberek
காலனி	kolónia
காலனி	telep
மேற்கு	nyugat
மேற்கு	nyugati
மேற்கு	nyugati
மேற்கு	nyugat
மேற்கு	western
தலைவர்	elnök
தலைவர்	vezér
தலைவர்	leader
தலைவர்	vezető
முதலில்	először
முதலில்	első
சார்ந்த	relatív
சார்ந்த	viszonylagos
சார்ந்த	rokon
சார்ந்த	függőség
சார்ந்த	alapú
சார்ந்த	alapozott
மேல்	felül
மேல்	top
மேல்	csúcs
மேல்	felső
மேல்	legfelső
நாடு	ország
நாடு	országban
மட்டும்	csak
மட்டும்	kizárólag
அடிப்படையில்	lényegében
அடிப்படையில்	alapvetően
அடிப்படையில்	gyakorlatilag
எண்	gróf
எண்	szám
எண்	száma
குறிப்பிட்ட	megadott
குறிப்பிட்ட	meghatározott
குறிப்பிட்ட	megadva
குறிப்பிட்ட	specifikus
குறிப்பிட்ட	konkrét
சிறிய	kis
சிறிய	kicsik
சிறிய	kicsi
சிறிய	kis
சிறிய	kicsi
சிறிய	kevés
வந்த	jött
வேறு	egyéb
வேறு	más
மார்ச்	március
மார்ச்	márciusi
நிலையில்	állapota
நிலையில்	feltétel
நிலையில்	állapot
நிலையில்	színpad
நிலையில்	színpadon
பெண்	kislány
பெண்	csaj
பெண்	lány
பெண்	nő
பெண்	asszony
பெண்	nö
பெண்	nőnemű
பெண்	nő
பெண்	női
பெண்	nőstény
வெற்றி	sikeres
வெற்றி	siker
வெற்றி	győz
வெற்றி	nyert
வெற்றி	győzelem
வெற்றி	nyerő
வெற்றி	nyert
வெற்றி	győzelem
வெற்றி	win
வெற்றி	nyerni
வெற்றி	győzelem
வெற்றி	nyerj
இணைப்பு	kapcsolat
இணைப்பு	kapcsolódás
இணைப்பு	csatlakozás
இணைப்பு	hivatkozás
இணைப்பு	kapcsolat
இணைப்பு	link
இணைப்பு	linket
இணைப்பு	hivatkozást
இணைப்பு	függelék
திரைப்படம்	filmet
திரைப்படம்	mozi
திரைப்படம்	film
திரைப்படம்	fólia
திரைப்படம்	film
வகை	kategória
வகை	típus
வகை	típusa
வகை	mód
வகை	mode
வகை	üzemmód
ஐந்து	öt
ஐந்து	öten
அதே	ugyanez
அதே	ugyanaz
சிறப்பு	kiemelt
சிறப்பு	különleges
சிறப்பு	speciális
சுமார்	kb
சுமார்	nagyjából
சுமார்	körülbelül
கட்டுரைகள்	árucikkek
கட்டுரைகள்	cikkek
படி	olvasott
படி	lépés
படி	lépcső
மனித	ember
மனித	emberi
பெரும்பாலும்	majdnem
பெரும்பாலும்	gyakran
பெரும்பாலும்	leginkább
பெரும்பாலும்	főleg
பெரும்பாலும்	főként
பெரும்பாலும்	többnyire
கட்சி	party
கட்சி	buli
கட்சி	parti
பொது	közös
பொது	gyakori
பொது	nyilvános
பொது	nyilvánosság
பொது	nyilvánosan
பொது	publikus
பொது	általános
பொது	tábornok
கல்லூரி	kollégium
கல்லூரி	főiskola
கல்லூரி	egyetem
இசை	zene
முறையில்	mód
முறையில்	mode
முறையில்	üzemmód
நாட்டின்	ország
நாட்டின்	országban
மத்திய	központi
மில்லியன்	millió
மில்லியன்	milliók
மில்லியன்	millió
நகரம்	city
நகரம்	városi
நகரம்	város
எந்த	bármelyik
எந்த	bármely
எந்த	bármilyen
எந்த	ami
எந்த	melyik
எந்த	mely
எந்த	amely
எனப்படும்	hívott
நீர்	víz
நீர்	vizet
செய்யும்	csinál
இணைந்து	csatlakozz
இணைந்து	csatlakozás
விக்கிப்பீடியா	wikipédia
சென்று	elment
சென்று	eltűnt
பார்க்க	lásd
அணி	mátrix
அணி	csapat
அணி	team
எழுதிய	megírva
எழுதிய	írásbeli
எழுதிய	írta
எழுதிய	írott
எழுதிய	írt
எழுதிய	irtam
எழுதிய	írta
எழுதிய	írtam
நிலையம்	állomás
நிலையம்	pályaudvar
தொடர்பான	összefüggő
தொடர்பான	kapcsolódó
தொடர்பான	rokonok
தொடர்பான	rokon
தொடர்பான	kapcsolatban
மீட்டர்	méter
மீட்டர்	méter
மீட்டர்	méter
மீட்டர்	mérő
இடத்தில்	hely
கோவில்	templom
கோவில்	szentély
கோவில்	temploma
கோவில்	temple
மாதம்	hónap
மாதம்	hónapja
ஆய்வு	vizsgálat
ஆய்வு	tanulmányok
ஆய்வு	tanulás
ஆய்வு	tanulmány
ஆய்வு	kutatás
ஆய்வு	kutatások
ஆய்வு	kutatási
வட	észak
வட	északi
வட	északra
குறைந்த	kisebb
குறைந்த	legalacsonyabb
குறைந்த	alacsonyan
குறைந்த	alacsony
குறைந்த	kevesebbet
குறைந்த	kevesebb
குறைந்த	kevésbé
டிசம்பர்	december
டிசம்பர்	decemberi
டிசம்பர்	decemberben
டிசம்பர்	dec
முன்	front
முன்	eleje
முன்	előtte
முன்	előtt
முன்	mielőtt
வாழ்க்கை	élet
வாழ்க்கை	életem
வாழ்க்கை	life
சனவரி	januári
சனவரி	január
சனவரி	januárban
புனித	szent
ஆகியவை	vis
இரண்டாவது	másodszor
இரண்டாவது	másodperc
இரண்டாவது	második
இரண்டாவது	középfokú
இரண்டாவது	másodlagos
ஆங்கிலம்	angolul
ஆங்கிலம்	angol
அங்கு	ott
தொழில்	üzleti
தொழில்	üzlet
தொழில்	ágazat
தொழில்	iparág
தொழில்	ipar
தொழில்	foglalkozása
தொழில்	szakma
தொழில்	foglalkozás
பழைய	idős
பழைய	régit
பழைய	régi
பழைய	öreg
பழைய	régiek
பழைய	idősebbek
பழைய	öregebb
பழைய	idősebb
பழைய	régebbi
ஆண்டுகள்	évek
ஆண்டுகள்	év
குறிப்பாக	különösen
குறிப்பாக	különösen
குறிப்பாக	főleg
குறிப்பாக	konkrétan
குறிப்பாக	kifejezetten
குறிப்பாக	kimondottan
குறிப்பாக	speciálisan
பார்க்கவும்	látogatás
பார்க்கவும்	óra
பார்க்கவும்	vigyázz
துறை	részleg
துறை	megye
துறை	kikötők
துறை	kikötő
துறை	port
கடல்	tengerész
கடல்	tengeri
கடல்	tengerészgyalogos
கடல்	tengeren
கடல்	tengeri
கடல்	tenger
கடல்	óceán
கடல்	ocean
போல	mint
போல	like
போல	tetszik
இதற்கு	for
சிறு	kis
சிறு	kicsik
சிறு	kicsi
சிறு	kiskorú
சிறு	kisebb
தென்	dél
தென்	délre
தென்	déli
உயர்	high
உயர்	magas
உயர்	magasan
உயர்	deluxe
வடக்கு	észak
வடக்கு	északi
வடக்கு	északra
ஆட்சி	királyság
ஆட்சி	szabály
ஆட்சி	kormányzás
ஆட்சி	irányítás
ஆட்சி	uralma
ஆட்சி	uralom
மக்களின்	emberek
நோய்	betegségek
நோய்	betegség
நோய்	betegségek
நோய்	betegség
நோய்	megbetegedés
தேர்தல்	választási
தேர்தல்	választás
தேர்தல்	választások
உற்பத்தி	előállítás
உற்பத்தி	gyártás
உற்பத்தி	termelés
உற்பத்தி	termelési
உற்பத்தி	előállítás
உற்பத்தி	gyártási
உற்பத்தி	gyártás
ஆக	aug
வந்தது	megérkezett
வந்தது	megérkeztek
வந்தது	jött
கலை	művészet
கலை	művészetek
கலை	művészeti
கலை	művészet
கலை	art
சமூக	társadalmi
சமூக	szociális
போல்	bol
போல்	mint
போல்	like
போல்	tetszik
தர	minőségi
தர	minősége
தர	minőség
நூற்றாண்டு	évszázad
நூற்றாண்டு	század
உலகின்	vb
உலகின்	világok
அமெரிக்கா	amerika
அமெரிக்கா	america
பகுதிகளில்	térségek
பகுதிகளில்	területek
வந்து	gyere
பரிசு	díj
பரிசு	jutalom
பரிசு	nyeremény
பரிசு	ajándék
பிரிவு	kategória
பிரிவு	hadosztály
பிரிவு	körzet
பிரிவு	részleg
பிரிவு	divízió
பிரிவு	részleg
பிரிவு	szakasz
பிரிவு	szekció
உடல்	test
உடல்	testem
உடல்	holttest
இவர்கள்	ezek
இவர்கள்	ezeket
கூட	még
கூட	szintén
கூட	egyben
கூட	úgyszintén
கூட	is
கூட	túl
எழுத்தாளர்	író
குழு	csoport
குழு	csoportban
இலக்கிய	irodalom
இலக்கிய	irodalmi
விளையாட்டு	szerencsejáték
விளையாட்டு	sport
விளையாட்டு	sportban
விளையாட்டு	játék
விளையாட்டு	game
விளையாட்டு	meccs
விளையாட்டு	sport
உறுப்பினர்கள்	tagjai
உறுப்பினர்கள்	tagok
உறுப்பினர்கள்	tagoknak
உறுப்பினர்கள்	képviselők
இறப்பு	halál
இறப்பு	mortalitás
அடி	lábak
அடி	láb
அடி	ütés
அடி	találat
துணை	társ
துணை	partner
துணை	társa
துணை	társam
துணை	támogatás
துணை	támogatást
துணை	tengeralattjáró
துணை	helyettes
துணை	megbízott
பதிப்பு	kiadás
பதிப்பு	verzió
பதிப்பு	változat
சொல்	mondd
சொல்	szó
சொல்	szava
சொல்	mondd
தெற்கு	dél
தெற்கு	délre
தெற்கு	déli
கட்டுரை	árucikk
கட்டுரை	cikk
கட்டுரை	összetétel
கட்டுரை	összetétele
கட்டுரை	árucikkek
கட்டுரை	cikkek
வட்டம்	kör
வட்டம்	kört
சராசரி	átlagos
சராசரி	átlagosan
சராசரி	átlag
சராசரி	aljas
தொலைக்காட்சி	tv
தொலைக்காட்சி	televízió
முன்னாள்	korábbi
எண்ணிக்கை	gróf
எண்ணிக்கை	frekvencia
எண்ணிக்கை	gyakoriság
எண்ணிக்கை	gyakorisága
தவிர	kizárja
தவிர	kizárása
தவிர	kivéve
நடிகர்	színésznek
நடிகர்	színész
பாடல்கள்	dalok
பாடல்கள்	dalokat
இன்று	ma
சட்டம்	keret
சட்டம்	jogszabályok
சட்டம்	jog
சட்டம்	jogszabály
சட்டம்	törvény
சட்டம்	jogi
சட்டம்	legális
சட்டம்	törvényes
சட்டம்	aktus
சட்டம்	felvonás
அருகில்	közel
அருகில்	közelben
அருகில்	közeli
நேரம்	ideje
நேரம்	időpont
நேரம்	idő
முதலாவது	először
முதலாவது	első
நாம்	engedd
நாம்	enged
மூலமாக	via
மூலமாக	keresztül
மூலமாக	át
உணவு	étel
உணவு	élelem
உணவு	élelmiszerek
உணவு	táplálék
உணவு	élelmiszer
குறித்து	kb
குறித்து	nagyjából
குறித்து	körülbelül
பெப்ரவரி	februárban
பெப்ரவரி	februári
பெப்ரவரி	február
பகுதிகள்	szegmensek
பகுதிகள்	alkatrész
பகுதிகள்	összetevő
பகுதிகள்	komponens
பகுதிகள்	alkotóelem
பகுதிகள்	régiói
பகுதிகள்	régiók
பகுதிகள்	alkatrész
பகுதிகள்	alkatrészek
பகுதிகள்	részek
பகுதிகள்	térségek
பகுதிகள்	területek
நிறுவனங்கள்	szervezetek
நிறுவனங்கள்	vállalatok
நிறுவனங்கள்	társaságok
நிறுவனங்கள்	cégek
நிறுவனங்கள்	vállalkozások
ஜனவரி	januári
ஜனவரி	január
ஜனவரி	januárban
எழுத்தாளர்கள்	írók
நல்ல	jó
அடுத்த	következő
படம்	képet
படம்	kép
படம்	fénykép
படம்	fényképek
படம்	kép
படம்	fénykép
படம்	fotó
படம்	kép
படம்	képet
பாதுகாப்பு	védelem
பாதுகாப்பு	védekezés
பாதுகாப்பு	védelmi
பாதுகாப்பு	biztonságos
பாதுகாப்பு	biztonságban
பாதுகாப்பு	széf
பாதுகாப்பு	biztonság
பாதுகாப்பு	védelmet
பாதுகாப்பு	védelme
பாதுகாப்பு	védelem
பாதுகாப்பு	oltalom
பாதுகாப்பு	biztonsági
பாதுகாப்பு	biztonság
பாதுகாப்பு	biztonsági
பாதுகாப்பு	biztonság
பங்கு	szerepet
பங்கு	szerep
பங்கு	szerepe
பார்க்கப்பட்ட	megtekintett
பார்க்கப்பட்ட	tekintett
பயன்படுத்தி	használatával
பயன்படுத்தி	használata
பயன்படுத்தி	felhasználva
செய்த	készítette
செய்த	készült
செய்த	tett
பதிவு	benyomást
பதிவு	benyomás
பதிவு	nyilvántartás
பதிவு	regisztrálj
பதிவு	regisztráció
பதிவு	rekord
பதிவு	lemez
பதிவு	nyilvántartási
பதிவு	nyilvántartásba
பதிவு	regisztráció
பதிவு	poszt
பதிவு	posta
பதிவு	post
பதிவு	bejegyzést
பதிவு	bejegyzésre
பதிவு	bejegyzés
ஐரோப்பிய	európai
முழுவதும்	teljesen
முழுவதும்	teljesen
முழுவதும்	full
முழுவதும்	teljes
முழுவதும்	komplett
முழுவதும்	teljes
முழுவதும்	teljessé
பயனர்	felhasználó
பயனர்	felhasználói
தொடர்	soros
தொடர்	sorozat
தொடர்	folytasd
தொடர்	folytatás
தொடர்	folytassa
போன்றவை	stb
ஜூன்	jun
ஜூன்	júniusi
ஜூன்	june
ஜூன்	június
ஜூன்	júniusban
வழியாக	via
உறுப்பினர்	tag
உறுப்பினர்	tagság
உறுப்பினர்	tagsági
உறுப்பினர்	ügyfél
உறுப்பினர்	kliens
ஆசிரியர்	szerkesztője
ஆசிரியர்	szerkesztő
ஆசிரியர்	tanárnő
ஆசிரியர்	tanár
ஆசிரியர்	író
ஆசிரியர்	szerző
ஆஃப்	le
ஆஃப்	kikapcsolva
ஆஃப்	off
முக்கியமான	fontos
முக்கியமான	kritikus
தொடர்பு	kapcsolatfelvétel
தொடர்பு	kapcsolattartó
தொடர்பு	kontakt
தொடர்பு	érintkezés
தொடர்பு	kapcsolat
தொடர்பு	kapcsolatba
செய்தார்	tette
ஜூலை	júliusban
ஜூலை	júliusi
ஜூலை	július
ஆற்றல்	energia
கிலோ	kiló
வேலை	munkahelyi
வேலை	munka
வேலை	állás
வேலை	meló
வேலை	munka
இருக்கலாம்	talán
சமய	vallásos
சமய	vallás
சமய	vallási
பணி	állás
பணி	meló
பணி	munka
பணி	munkahelyi
பணி	munka
பணி	feladat
கதை	sztori
கதை	történet
கதை	story
கதை	története
கதை	mese
அதிகமாக	alig
இடையே	között
பட்டம்	érettségi
பட்டம்	fokozat
பட்டம்	diploma
பட்டம்	fok
பட்டம்	sárkány
வழி	ösvény
அப்போது	akkor
அப்போது	aztán
விடுதலை	felszabadítási
விடுதலை	szabadság
ஆகஸ்ட்	augusztusban
ஆகஸ்ட்	august
ஆகஸ்ட்	augusztus
தேதி	dátum
தேதி	időpont
பிறந்த	születés
பிறந்த	születési
பிறந்த	szülés
இன்னும்	és
இன்னும்	még
ஜான்	john
ஜான்	jános
ஜான்	jon
அடுத்து	következő
சேவை	kiszolgálás
சேவை	szerviz
சேவை	szolgálat
சேவை	szolgáltatás
கருத்து	hozzászólás
கருத்து	megjegyzés
கருத்து	visszajelzés
கருத்து	téma
காரணம்	oka
தனி	magán
தனி	privát
தனி	különálló
தனி	elkülönített
தனி	külön
அவருக்கு	őt
அவருக்கு	neki
நீண்ட	boing
நீண்ட	hosszú
பள்ளி	iskolában
பள்ளி	iskola
பள்ளி	suli
மகன்	fiam
மகன்	fiuk
சர்வதேச	international
சர்வதேச	nemzetközi
எல்லா	mindegyik
எல்லா	mind
எல்லா	minden
பொருட்கள்	tárgyak
பொருட்கள்	objektumok
பொருட்கள்	tárgyak
பொருட்கள்	tételek
பொருட்கள்	elemek
பொருட்கள்	termékek
பொருட்கள்	termék
பொருட்கள்	termékeket
பொருட்கள்	kellékek
பொருட்கள்	ellátmányt
பொருட்கள்	ellátás
பொருட்கள்	készletek
பொருட்கள்	ellátmány
மின்	villamos
மின்	villany
மின்	elektromos
ஏழு	hetes
ஏழு	hét
நடைபெற்ற	tartott
நடைபெற்ற	tartották
நடைபெற்ற	tartottak
முன்னர்	korábban
முன்னர்	korábban
முன்னர்	korábbi
முன்னர்	előtte
முன்னர்	előtt
முன்னர்	mielőtt
பொறியியல்	mérnöki
கா	kha
அமைப்புகள்	szervezetek
அமைப்புகள்	beállítások
மொழிகள்	nyelveket
மொழிகள்	nyelvek
மொழிகள்	nyelveken
அத்துடன்	szintén
அத்துடன்	egyben
அத்துடன்	úgyszintén
முழு	full
முழு	teljes
முதன்மை	felül
முதன்மை	top
முதன்மை	csúcs
முதன்மை	felső
முதன்மை	legfelső
முதன்மை	elsődleges
முதன்மை	primer
முதன்மை	fő
முதன்மை	main
முதன்மை	főbb
மணி	mani
மணி	óra
மணி	csengő
மணி	bell
மணி	harang
தொகுப்பு	csomag
தொகுப்பு	csomagolás
தொகுப்பு	csomagot
தொகுப்பு	csomagban
தொகுப்பு	adatgyűjtés
தொகுப்பு	gyűjtés
தொகுப்பு	gyűjtemény
தொகுப்பு	kollekció
தொகுப்பு	összetétel
தொகுப்பு	összetétele
தொலைவில்	far
தொலைவில்	messze
தொலைவில்	messzire
மருத்துவ	orvosi
வணிக	reklám
வணிக	kereskedelmi
திருமணம்	feleségül
திருமணம்	házas
திருமணம்	házasok
திருமணம்	házasság
திருமணம்	házasságot
திருமணம்	esküvő
திருமணம்	esküvőn
திருமணம்	esküvőre
நீங்கள்	te
இயேசு	jézus
நடித்த	szereplők
நடித்த	főszereplő
நடித்த	főszerepben
பொதுவான	közös
பொதுவான	gyakori
பொதுவான	nyilvános
பொதுவான	nyilvánosság
பொதுவான	nyilvánosan
பொதுவான	publikus
பொதுவான	általános
பொதுவான	tábornok
சமயம்	vallás
சமயம்	közösség
சமயம்	közösségi
எதிராக	ellene
எதிராக	ellen
ஸ்ரீ	srí
பக்கம்	oldalt
பக்கம்	oldal
உள்ளிட்ட	bevitt
உள்ளிட்ட	belépett
உள்ளிட்ட	beléptem
உள்ளிட்ட	lépett
அதிகம்	high
அதிகம்	magas
அதிகம்	magasan
அதிகம்	több
அதிகம்	more
அதிகம்	további
அதிகம்	tobb
நாட்கள்	napok
நாட்கள்	napokban
நாட்கள்	napokat
நாட்கள்	napokon
திருத்தந்தை	pápa
திருத்தந்தை	pope
மாற்றம்	konverziós
மாற்றம்	átalakítás
மாற்றம்	változás
மாற்றம்	változtatás
மாற்றம்	megváltozott
மாற்றம்	változások
கழகம்	társulás
கழகம்	társulási
கழகம்	szövetség
கழகம்	egyesület
இறுதி	befejezés
இறுதி	vége
இறுதி	vég
இறுதி	döntő
இறுதி	végleges
இறுதி	záró
இறுதி	utolsó
இறுதி	végső
இணைய	interneten
இணைய	internet
வகைகள்	típusok
வகைகள்	típusai
வகைகள்	módok
வகைகள்	kategória
வகைகள்	kategóriák
சீன	kínai
சீன	kínaiak
பொருளாதார	gazdasági
பொருளாதார	gazdaságos
பொருளாதார	közgazdaságtan
பொருளாதார	gazdaság
