সিটিজেন	سویلین
ভুয়া	جعل
ভুয়া	جعلی
পেমেন্ট	انعام
পেমেন্ট	فدیہ.
পেমেন্ট	تاوان
পেমেন্ট	صلہ
প্যান্থার	پوما
প্যান্থার	تیندوا
হ্যালোজেন	کلورین
হ্যালোজেন	برومین
ভায়া	بتوسط
ভায়া	بتوسط
ভায়া	براہ
গৃহহীন	نگھرا
সিনড্রোম	جذبات
বিনামূল্যের	خالی
বিনামূল্যের	ملاوٹ
বিনামূল্যের	چھڑانا.
বিনামূল্যের	گستاخ
অটোগ্রাফ	تحریر.
এক্সেপশন	استثنا
কম্পোজ	نچنت.
কম্পোজ	ترکیب
মেট	موسمیاتی.
মেট	ہمکار
মেট	دوست.
মেট	مات.
পারফেক্ট	بالکل
পারফেক্ট	سالم
পারফেক্ট	نرا
পারফেক্ট	کامل
অস্বচ্ছ	غبی
অস্বচ্ছ	مبہم
অস্বচ্ছ	دُھندلا
শুক্রাশয়	نیزtestis.
শুক্রাশয়	خُصیہ
শুক্রাশয়	نیزtestis.
শুক্রাশয়	فوطہ
শুক্রাশয়	خُصیہ
স্থবির	جمود.
স্থবির	تعطّل
ধরুন	کھینچنا
ধরুন	پھانسنے
ধরুন	چٹخنی.
ধরুন	روکنے
পেট্রল	پٹرول.
অ্যাটর্নি	مختا
ভ্যানিটি	ٹھسا
ভ্যানিটি	گھمنڈ
ভ্যানিটি	غرہ
ভ্যানিটি	خودبینی
প্রুফ	ثبوت
প্রুফ	شہادت
প্রুফ	واقعات
প্রুফ	امتحان
প্রুফ	مزاحم
প্রুফ	دافع
প্রুফ	آزمائش.
হৃৎপিণ্ড	کنہہ
হৃৎপিণ্ড	خلاصہ.
হৃৎপিণ্ড	ہمت
হৃৎপিণ্ড	کیفیت.
হৃৎপিণ্ড	دل
হৃৎপিণ্ড	قلب
ইপ	ف.
জমকালো	شاندار
নতুনত্ব	اختراع
নতুনত্ব	جدّت
অনুপযুক্ত	ناموزوں
শুনি	ماننا
শুনি	سُنایا
রমযান	رمضان
উরুর	ران.
মিথ্যে	into
মিথ্যে	ڈھونگ
মিথ্যে	مضمر
মিথ্যে	مکر
মিথ্যে	(بعدہ
মিথ্যে	مبنی
মিথ্যে	جھوٹ
বাবি	عیسائی
বালিশ	lace-pillow
অক্ষমতার	لاچاری
অক্ষমতার	مجبوری
অক্ষমতার	اثاثے
নেক্সাস	بندھن
নেক্সাস	حلقہ
নেক্সাস	رابطہ
নেক্সাস	تعلق.
চালা	گرانا
চালা	گودام.
চালা	جھاڑنا
চালা	بہانا
বিশ্বময়	جامع
বিশ্বময়	جامع
বিশ্বময়	آفاقی
বিশ্বময়	عمیم
ভায়োলেট	بنفشیٔ.
কাজিন	تربور
ফিড	طعام.
ফিড	کھانا
ফিড	کھلانا.
ফিড	سبزہ.
ফিড	اگانا.
ফিড	چراگاہ
ফিড	پروسنا.
পরিপ্রেক্ষিত	تناظر.
পরিপ্রেক্ষিত	صحیح
ক্যারেট	ʌ)
হেরাল্ড	ہرکارہ.
সেমিনারি	پادریوں
গাড়	واضح
গাড়	جلی
গাড়	بہادر.
গাড়	گستاخ.
গাড়	نمایاں
মেরুদণ্ড	سول
মেরুদণ্ড	خار
মেরুদণ্ড	کانٹا.
মেরুদণ্ড	ریڑھ.
প্রেমিকের	دوست
প্রেমিকের	رفیق
প্রেমিকের	مرد
প্রেমিকের	عاشق
প্রেমিকের	شیدا.
ট্রায়াল	دشواریاں
ট্রায়াল	مقدمہ
ট্রায়াল	آزمائش
ট্রায়াল	دشواریاں
ট্রায়াল	جانچ
ট্রায়াল	مقدمہ
উচ্চাভিলাষী	پُرعزیمت.
ব্যাবস্থাপনা	انتظامی
ফিঙ্গার	انگشت
ফিঙ্গার	انگلی
ভালোবাসে	شہوت.
ভালোবাসে	پیار.
ভালোবাসে	سراہنا
ভালোবাসে	عشق
ভালোবাসে	محبت
ভালোবাসে	مائل
ভালোবাসে	شہوت.
ভালোবাসে	پیار.
ভালোবাসে	سراہنا
ভালোবাসে	عشق
ভালোবাসে	محبت
ভালোবাসে	مائل
ভালোবাসে	چاہنا
ট্রাইবুনাল	بالادستی
ডায়ার	رنگریز
অবসাদ	نزول
অবসাদ	غمگینی
অবসাদ	نشیب
অবসাদ	فشار.
অবসাদ	نقاہت
অবসাদ	پچکن.
অবসাদ	اداسی
স্টিং	لوٹنا
স্টিং	کھٹک.
স্টিং	چبھن
স্টিং	ڈنک
স্টিং	خلش
স্টিং	کانٹا.
টপোগণিত	مقامیات
পরিশ্রমী	محنتی
পরিশ্রমী	جفاکش.
পরিশ্রমী	محتاط
পরিশ্রমী	محنتی
পরিশ্রমী	مستعد
পরিশ্রমী	کوشاں
পরিশ্রমী	محتاط
পরিশ্রমী	سرگرم
পরিশ্রমী	محنتی
পরিশ্রমী	مستعد
পরিশ্রমী	کوشاں
গ্রোভ	شاخسار.
তালি	لگانا
তালি	گرج
তালি	پہنچانا
চিক	نفاست
চিক	وضعداری
চিক	(chic-er
নাস্তিকতা	الحاد
নাস্তিকতা	کفر.
নাস্তিকতা	الحاد
নাস্তিকতা	دہریت
নাস্তিকতা	کفر.
নিউমোনিয়ায়	نمونیا
অংশীদারিত্বের	شراکت
অংশীদারিত্বের	ساجھا
অংশীদারিত্বের	شراکت
কস্টিউম	پوشاک
প্লিজ	at
জানো	سیکھا
জানো	how
জানো	سیکھا
জানো	جاننا
জানো	how
রঙীন	روشن
রঙীন	دلچسپ
রঙীন	روشن
রঙীন	دلچسپ
রঙীন	رنگین
ফাউল	الجھا
ফাউল	ٹکرانا
ফাউল	ناپسندیدہ
ফাউল	ٹکراؤ
ফাউল	قاعدے
ফাউল	غلیظ
ফাউল	قبیح
ফাউল	اٹاہوا-
হাঁটুতে	زانو.
ব্যাঙ্গাত্মক	طنّاز
সর্দি	ابلواں.
সর্দি	رواں
শুদ্ধতা	مکمّلیت
শুদ্ধতা	تکمیل.
শুদ্ধতা	ایمانداری.
ফেড	کمزور
ফেড	بودا
ফেড	دُھندلانے
ফেড	دُھندلا
ফেড	کملانا.
ফেড	(احساس
নেল	مینح
নেল	کیل
চাঁদোয়া	(-ies
চাঁদোয়া	چھجّا.
চাঁদোয়া	ڈھکنا
বেহেশত	جنت
স্পর্শের	بگاڑنا
স্পর্শের	امتیاز
স্পর্শের	جانچ
স্পর্শের	مشق
স্পর্শের	پرکھ
স্পর্শের	امتحان
স্পর্শের	ذرا
স্পর্শের	ٹکرانا
স্পর্শের	پھٹکی
স্পর্শের	چٹکی
স্পর্শের	بگاڑنا
স্পর্শের	امتیاز
স্পর্শের	لمس
স্পর্শের	جانچ
স্পর্শের	مشق
স্পর্শের	پرکھ
স্পর্শের	امتحان
স্পর্শের	ذرا
স্পর্শের	ٹکرانا
স্পর্শের	پھٹکی
স্পর্শের	چٹکی
অপ্রাসঙ্গিক	پرچم
স্বস্তিকা	سواستیکا
ওষ্ঠ্য	شفتینی
মিম্বর	منبر
আনন্দময়	شادماں
পিত্ত	پت
পিত্ত	صفرا
পিত্ত	پت
মরিচা	مختل
মরিচা	ماؤف
মরিচা	زنج.
মরিচা	کسیاؤ
মরিচা	کثافت
মরিচা	زنگار
কৌতূহলী	نادر.
কৌতূহলী	متجسس
কৌতূহলী	فحش
কৌতূহলী	نادر.
কৌতূহলী	انوکھا
কৌতূহলী	متجسس
কৌতূহলী	فحش
কৌতূহলী	عجیب
ডাইভ	چھلانگ
ডাইভ	بٹوے
ডাইভ	ڈبکی
ডাইভ	چھلانگ
ডাইভ	بٹوے
ডাইভ	غوطہ
ডাইভ	ڈبکی
নিয়তি	مقدر
নিয়তি	تقدیر
নিয়তি	مقدر
বিস্কুট	بسکٹ.
ভুলবশত	سہواً
নির্ভীক	بہادر.
নির্ভীক	نڈر
দৃশ্যত	بظاہر
নিলামের	للکارنا.
নিলামের	کوشش
সফট	ہلکی
সফট	آسان
সফট	لکیر
সফট	عریاں.
সফট	ڈھیلا
সফট	حلیم.
সফট	تیز.
সফট	(روشنی
সফট	چکنا
সফট	دُھندلا.
সফট	کمزور
সফট	دبّو
সফট	خوشگوار
সফট	ملائم
সফট	لطیف
সফট	(خط
সফট	(انداز
সফট	گداز
সফট	بھیگا
সফট	احمقانہ
সফট	معتدل
সফট	نرمی
সফট	(کرنسی
সফট	آہستگی
সফট	ہلکی
সফট	آسان
সফট	لکیر
সফট	عریاں.
সফট	ڈھیلا
সফট	حلیم.
সফট	تیز.
সফট	(روشنی
সফট	چکنا
সফট	دُھندلا.
সফট	کمزور
সফট	ہلکا
সফট	دبّو
সফট	خوشگوار
সফট	ملائم
সফট	نرم
সফট	لطیف
সফট	(خط
সফট	(انداز
সফট	گداز
সফট	بھیگا
সফট	احمقانہ
সফট	معتدل
সফট	نرمی
সফট	(کرنسی
সফট	آہستگی
অবিচার	نامنصفی.
গুনমান	وصف.
গুনমান	خاصیت
গুনমান	نمایاں
ক্লোন	قلمہ
লিভারের	باسی
লিভারের	جگر
লিভারের	کبد
লিভারের	کبدی.
লরেল	اعزاز.
লরেল	افتخار
মন্থর	تدریجی
মন্থর	سست.
মন্থর	متأمل
মন্থর	مندا
মন্থর	تدریجی
মন্থর	سست.
মন্থর	متأمل
মন্থর	رینگنے
মন্থর	سٹکنا
মন্থর	جھرجھری
মন্থর	out
মন্থর	رینگنا.
মন্থর	پنپنا
মন্থর	عاجزی
গির্জাটি	شاندار
ভালোবেসে	گرویدہ.
ভালোবেসে	محبت
ভালোবেসে	فریفتگی
ভালোবেসে	شفقت.
ভালোবেসে	بامحبت
ঐশী	ربّانی
ঐশী	متبرک
ঐশী	خداوندی
ঐশী	مقدس
ঐশী	الُوہی
ঐশী	وجدان
ঐশী	قیاس
ঐশী	طباع
ঐশী	خدایانہ
কুট	گھامڑ.
ইশারা	جھلملانا
ব্রডকাস্ট	ریڈیو
টোন	مزاج.
বাং	ختم
বাং	اچھالنا.
বাং	ڈاٹ
বাং	ناکارہ.
বাং	تمام
বাং	پھینکنا
স্ট্র্যান্ড	واماندہ
স্ট্র্যান্ড	نادار
স্ট্র্যান্ড	مفلس
স্ট্র্যান্ড	تار
আপগ্রেড	(مشینری
আপগ্রেড	رتبہ
আপগ্রেড	درجہ
দেখছেন	نظارگی
পরাক্রমশালী	طاقتور
পরাক্রমশালী	جسیم
পরাক্রমশালী	قوی
পরাক্রমশালী	زبردست
পরাক্রমশালী	عظیم
পিপি	pianissimo
জ্বলতে	روشن
জ্বলতে	تابناکی.
জ্বলতে	روشنی
জ্বলতে	جودت
জ্বলতে	(سورج
জ্বলতে	روشن
জ্বলতে	تابناکی.
জ্বলতে	تابانی
জ্বলতে	روشنی
জ্বলতে	چمک
জ্বলতে	چمکنا
জ্বলতে	جودت
জ্বলতে	(سورج
লিফট	off
লিফট	(بادل
লিফট	اٹھنے
লিফট	ابھرنے
লিফট	موافق
লিফট	ابھرنا
লিফট	دنبال
কিছুক্ষন	معتدبہ.
কিছুক্ষন	خاصا
কিছুক্ষন	کافی
কিছুক্ষন	معتدبہ.
কিছুক্ষন	خاصا
কিছুক্ষন	کوئی
কিছুক্ষন	کافی
জনগোষ্ঠীতে	پھرتی
জনগোষ্ঠীতে	عجلت
মেরুন	واماندہ
যুগোস্লাভ	سلافی.
গৃহশিক্ষক	ہدایت
বুনন	کپڑا
বুনন	بُنائی
বুনন	کپڑا
স্ক্যানার	عروضی.
অনাকাঙ্ক্ষিত	پارچہ
অনাকাঙ্ক্ষিত	ڈلا
অনাকাঙ্ক্ষিত	نمکین
অনাকাঙ্ক্ষিত	ٹکڑا.
অনাকাঙ্ক্ষিত	پارچہ
অনাকাঙ্ক্ষিত	کباڑ
অনাকাঙ্ক্ষিত	ڈلا
অনাকাঙ্ক্ষিত	نمکین
অনাকাঙ্ক্ষিত	ٹکڑا.
গ্লাসের	سوڈے
গ্লাসের	لگانا.
খুশকি	بفا.
খুশকি	بابونہ
পুনরুত্থান	احیا
পুনরুত্থান	بیکار
ভিন্নভাবে	علاحدہ
ভিন্নভাবে	مختلف
জাগাতে	سمجھانا
জাগাতে	الہام
জাগাতে	اکسانا
ছদ্মবেশ	اخفا
ছদ্মবেশ	سوانگ
ছদ্মবেশ	اخفا
স্মারকলিপি	نجی
নালীর	علاقہ
টকটকে	شاندار
সতেজ	باسی
সতেজ	خالص
সতেজ	ستھرا
সতেজ	مستعد
লবঙ্গ	قرنقل
গ্যাসোলিন	پٹرول.
মৃগী	مرگی
মৃগী	مرگی
মৃগী	صرع
হ্যাশ	تُومنا.
এতিমখানা	یتیمی.
সেজ	بینا
সেজ	ساج
সেজ	بینا
সেজ	ساج
সেজ	دانا
সজাগ	واقف.
পাটীগণিত	ہندسہ
পাটীগণিত	ریاضی
তুরীয়	جمع
অপটিকাল	بصری.
ধুলো	دھرتی
ধুলো	چھڑکنا
ধুলো	فساد
ধুলো	انتشار
ধুলো	غبار
ধুলো	بُرکنا
ধুলো	زمین
দেবো	چاہنا
দেবো	آرزو
দেবো	(بعدہ
দেবো	وصیت
দেবো	تہیہ.
দেবো	مرضی.
দেবো	ارادہ
দেবো	عزم
গতকাল	دیروز.
সিক	علاج
সিক	چاہنا
পিটিশন	عرضی
গোষ্ঠি	وارث
রেলগাড়ি	مصاحبین
রেলগাড়ি	پیرو
রেলগাড়ি	لبھانا.
খবরাখবর	اطلاع
স্ট্যাটিক	ساکت
স্ট্যাটিক	مجہول.
স্ট্যাটিক	جامد
ফ্লপ	ناکامی
ফ্লপ	شکست.
ফ্লপ	فلم
ফ্লপ	on
ফ্লুরোসেন্ট	فلوری.
রুটিন	روایتی
রুটিন	معیاری
রুটিন	رقص
রুটিন	ڈرامہ
বার্জেস	بَرا
চার্ম	ٹوم
চার্ম	چھلا
চার্ম	جاذبیت
চার্ম	مسحور
চার্ম	کڑا
চার্ম	افسوں
চার্ম	ٹوم
চার্ম	چھلا
চার্ম	جاذبیت
চার্ম	مسحور
চার্ম	کڑا
চার্ম	منتر
নাপিত	تراشنا
নাপিত	کاٹنا
নাপিত	تراشنا
নাপিত	کاٹنا
নাপিত	حجّام
উপনিষদ্	اپنشد
ক্রিমিনাল	قبیح.
ক্রিমিনাল	مذموم
ক্রিমিনাল	مجرم
যেকোনও	استفہام
যেকোনও	مطلق
যেকোনও	معمولی
ইনফেকশন	چھوت
বিছানার	کیاری
বিছানার	بٹھانا.
রিসর্ট	to
রিসর্ট	مدد
রিসর্ট	(بعدہ
প্যাশন	لگاؤ
জেসাস	حیرت
অস্বাস্থ্যকর	بیمار.
লবি	ڈیوڑھی
লবি	راہداری
লবি	چھتّہ
সেটিং	اطراف
সেটিং	درستگی.
সেটিং	موقع
সেটিং	محل
সেটিং	ماحول
তির্যক	آڑا
তির্যক	ترچھا.
তির্যক	رجحان
প্যাঁচানো	کجی
প্যাঁচানো	بل
প্যাঁচানো	اینٹھ
প্যাঁচানো	تانا.
প্লেটে	طشتری
প্লেটে	رکابی
গ্রাফাইট	کحل
গ্রাফাইট	plumbago
নৈমিত্তিক	عارضی
নৈমিত্তিক	اچانک.
নৈমিত্তিক	معمولی
নৈমিত্তিক	اتفاقی
হাঁপানি	دمہ
লোভী	حریص
লোভী	حریص
লোভী	لالچی
বধূ	عروسہ
বধূ	دلہن
বধূ	عروس
বধূ	عروسہ
বধূ	دلہن
হরেক	متفرق.
হরেক	متنوع
হরেক	متوافق
গিঁট	مجمع
গিঁট	گومڑا.
গিঁট	گلٹی
গিঁট	رسّی
গিঁট	مخمصہ.
গিঁট	ڈوری
গিঁট	بندھن
গিঁট	مجمع
গিঁট	گومڑا.
গিঁট	گلٹی
গিঁট	رسّی
গিঁট	مخمصہ.
গিঁট	ڈوری
সিক্ত	گفتگو)
সিক্ত	اوپری
সিক্ত	گندی.
সিক্ত	بھیگا
সিক্ত	شراب
সিক্ত	(پینٹ
সিক্ত	تری
সিক্ত	متوڑا
সিক্ত	برسات
সিক্ত	مریل
সিক্ত	فضول.
সিক্ত	(ملک
সিক্ত	بھگونا
সিক্ত	رطوبت.
সিক্ত	مشروب.
সিক্ত	گیلا
সিক্ত	نمی
কলঙ্ক	غیبت.
কলঙ্ক	شکنجہ.
কলঙ্ক	فسق
কলঙ্ক	عیب
কলঙ্ক	وغیرہ.
কলঙ্ক	بدی
সহনীয়	معقول
ইনস্টলেশন	تنصیب
রেশন	آزوقہ
রেশন	آزوقہ.
রেশন	(بعدہ
রেশন	راتب
রেশন	ایندھن
নিম্নতর	نچلا
নিম্নতর	مقدار
নিম্নতর	فراز
নিম্নতর	گرانا.
নিম্নতর	ادنٰی.
নিম্নতর	اونچائی
নিম্নতর	گھٹانا.
নিম্নতর	تقلیل
নিম্নতর	نچلا
নিম্নতর	مقدار
নিম্নতর	زیریں
নিম্নতর	فراز
নিম্নতর	اُتارنا
নিম্নতর	گرانا.
নিম্নতর	ادنٰی.
নিম্নতর	اونچائی
নিম্নতর	گھٹانا.
নিম্নতর	تقلیل
কুপ	محبس.
উপভোগের	عیش
উপভোগের	لطف
সিজদা	مغلوب
সিজদা	بیل)
সিজদা	پرستار
কর্দমাক্ত	مبہم
কর্দমাক্ত	بہکا
কর্দমাক্ত	مٹیالا.
অধস্তন	ماتحت.
ইঞ্জেকশন	تزریق.
স্প্রিন্ট	تیراکی
খুচরো	at
মাতৃত্ব	مقام.
মাতৃত্ব	امومیت
মাতৃত্ব	حیثیت
মাতৃত্ব	مامتا
মাতৃত্ব	رشتہ
আঙ্গুর	انگور.
আবেগপ্রবণ	جذباتی
জল্পনা	اندازہ
জল্পনা	تخمینہ.
ল্যান্ডস্কেপ	پھیلواں
সাম্প্রদায়িকতা	قومی
জেলখানা	جیل.
জেলখানা	اسیری
জেলখানা	حراست
জেলখানা	جیل.
জেলখানা	اسیری
জেলখানা	محبس
জেলখানা	حراست
জেলখানা	قیدخانہ.
জেলখানা	جیل
জেলখানা	قیدخانہ.
পাশবিক	ظالم
পাশবিক	درشت
পাশবিক	وحشی.
মাখিয়ে	اطمینان
মাখিয়ে	جھنجوڑنا
মাখিয়ে	رعشہ.
মাখিয়ে	کپکپی
মাখিয়ে	جھٹکا
মাখিয়ে	صدمہ.
মাখিয়ে	لرزنا.
মাখিয়ে	اطمینان
মাখিয়ে	جھنجوڑنا
মাখিয়ে	رعشہ.
মাখিয়ে	کپکپانا
মাখিয়ে	کپکپی
মাখিয়ে	جھٹکا
মাখিয়ে	صدمہ.
মাখিয়ে	لرزنا.
জঘন্য	قبیح
জঘন্য	شدید
জঘন্য	نہایت
জঘন্য	گھناؤنا
জঘন্য	برہم
পেপ	زور
পেপ	ولولہ.
পেপ	طاقت
বলিদান	نیاز.
বলিদান	وارنا.
বলিদান	بلیدان
বলিদান	نیاز.
বলিদান	وارنا.
জরায়ুজ	اخیافی
অনিচ্ছুক	متأمل
অনিচ্ছুক	متأمّل
অনিচ্ছুক	ڈھلمل
আউন্স	اونس.
দেখো	طالب
দেখো	بشرہ.
দেখো	تحقیق
দেখো	وضع.
দেখো	جانچنا.
দেখো	تفتیش
দেখো	گھورنا
দেখো	رنگ
দেখো	نظر
দেখো	طالب
দেখো	بشرہ.
দেখো	تحقیق
দেখো	وضع.
দেখো	جانچنا.
দেখো	تفتیش
দেখো	گھورنا
হার্স্ট	ٹیلا
ভীতিকর	ڈرائونا.
ভীতিকর	مہیب
অসঙ্গতি	تنسیخ
অসঙ্গতি	انکار
অসঙ্গতি	تنسیخ
অসঙ্গতি	تردید
অসঙ্গতি	انکار
অসঙ্গতি	تضاد
চুলা	چولھا.
চুলা	تنور
চুলা	گلخن
বলবো	بتانا
বলবো	شرکت
বলবো	بولنا
বলবো	محوّلہ
জ্যাকেট	dust-jacket
ওপেনিং	ابتدائی
ওপেনিং	آغاز.
ওপেনিং	ابتدا
ওপেনিং	پہلا.
অশ্লীলতা	فحاشی
অশ্লীলতা	غلاظت
অশ্লীলতা	فحاشی
অশ্লীলতা	گندگی
অশ্লীলতা	غلاظت
ভিনেগার	سرکہ.
ঘ্রাণ	تاڑنا
ঘ্রাণ	سونگھنا
ঘ্রাণ	خوشبو
রেজিস্ট্রি	رجسٹری
সুশোভিত	ظاہرا
সুশোভিত	رخ
শিখেছেন	علمی
শিখেছেন	عالم
অস্বস্তি	گھبرانا
অস্বস্তি	مجبور
অস্বস্তি	منفعل
অস্বস্তি	چکرانا
অস্বস্তি	تکلیف
কম্পাইল	مجموعہ
কম্পাইল	دفتر
কম্পাইল	کتاب
কম্পাইল	مجموعہ
কম্পাইল	دفتر
কম্পাইল	ترتیب
কম্পাইল	کتاب
কম্পাইল	تالیف
রিফ্রেশ	تفریح
স্যালি	فرار
স্যালি	دھاوا.
স্যালি	یورش
মাইটোসিস	خیطیت
অট্টালিকার	مڑنے
অট্টালিকার	موڑنا
অট্টালিকার	دہرا
অট্টালিকার	over
লগারিদম	لوگارتم.
লগারিদম	لوغارثم
শ্লথ	آلکسی
শ্লথ	سستی
লোকটির	نفر.
লোকটির	کسنا.
লোকটির	آدمی
লোকটির	شخص
ধূপ	with
সর্বসম্মত	متفقہ
লাঞ্ছিত	شے
লাঞ্ছিত	ذلّت
লাঞ্ছিত	شرمناک
লাঞ্ছিত	نااہل
লাঞ্ছিত	رُسوائی
লাঞ্ছিত	بدنامی
লাঞ্ছিত	شے
লাঞ্ছিত	ذلّت
লাঞ্ছিত	شرمناک
লাঞ্ছিত	نااہل
লাঞ্ছিত	خواری
টিটি	tuberculin-tested
টিটি	teetotaller
টিটি	teetotal
নমনীয়তা	لچکداری
ক্ষোভের	توہین.
পরিহিতা	ڈھانپنا
পরিহিতা	ڈھکنا
পরিহিতা	ملبوس
ওরাকল	الہام.
প্রণোদনা	ترغیب
ক্র্যাশ	پھینکنا
উলঙ্গ	تبصرے
উলঙ্গ	کھلا
উলঙ্গ	مبرّا.
উলঙ্গ	سادہ
উলঙ্গ	پتّیوں
উলঙ্গ	(چراغ
উলঙ্গ	آشکارا
উলঙ্গ	بالوں
উলঙ্গ	کھلا.
উলঙ্গ	عریاں.
উলঙ্গ	تبصرے
উলঙ্গ	کھلا
উলঙ্গ	مبرّا.
উলঙ্গ	سادہ
উলঙ্গ	پتّیوں
উলঙ্গ	ننگا
উলঙ্গ	عاری
উলঙ্গ	برہنہ
উলঙ্গ	(چراغ
উলঙ্গ	آشکارا
উলঙ্গ	بالوں
উলঙ্গ	کھلا.
উলঙ্গ	عریاں.
এল্ডার	بیلساں
এল্ডার	اقطیٔ
এল্ডার	شبدر
আর্গন	آہنی.
আর্গন	سخت
আর্গন	لوہا
আর্গন	ٹانک
বৈরী	ناموافق.
পিং	ٹن
পিং	ٹھن
সিল্কের	حریر.
সিল্কের	حریری
সিল্কের	حریر.
সিল্কের	ریشم
সিল্কের	حریری
অতীন্দ্রিয়	القا
ময়দার	نقدی.
সেলিব্রেটি	شہرت
সেলিব্রেটি	دھوم.
প্লীহা	کسلمندی
প্লীহা	طحال.
প্লীহা	حسد
প্লীহা	کسلمندی
প্লীহা	طحال.
প্লীহা	تِلّی
প্লীহা	حسد
আপ্যায়ন	تفریح
আপ্যায়ন	طعام
বৃষ	بارش
ফ্লপি	ناہموار.
ফ্লপি	ڈھلمل
জেনেসিস	بننے
জেনেসিস	پیدائش
জেনেসিস	بننے
জেনেসিস	پیدائش
জেনেসিস	تکوین
রিট	سرکار
বিশ্বস্ততা	خلوص
বিশ্বস্ততা	وفاکشی
ফ্লাইওভার	معبر.
ফ্লাইওভার	fly-past
অসহনীয়	سوگ.
চিরকুট	پیغام
চিরকুট	پرزہ.
চিরকুট	نوعیت
চিরকুট	رقعہ
চিরকুট	مشاہدہ
চিরকুট	لہجہ
ধিক্কার	(بعدہ
ধিক্কার	غیرت
ধিক্কার	ندامت
ধিক্কার	شرم
ধিক্কার	(بعدہ
ধিক্কার	غیرت
কর্পাস	متون
কমায়	مرتبہ
কমায়	(بعدہ
কমায়	درجہ
গ্ল্যামার	لُبھانا.
গ্ল্যামার	تزئین
গ্ল্যামার	رونق
গ্ল্যামার	پُرکشش
গ্ল্যামার	جھمکڑا
জড়তা	سکون
জড়তা	کاہلی
জড়তা	جمود
বেড়ার	ٹالنا
বেড়ার	گھیرنا
বেড়ার	جنگلہ
বেড়ার	ٹالنا
বেড়ার	گھیرنا
বেড়ার	جنگلہ
বেড়ার	باڑ
উপযোগীতা	سودمند.
উপযোগীতা	سراسرعملی
উপযোগীতা	افادیت
কেসি	(‎kilocycle(s.
জাব	مکّے
পক্ষপাত	کپٹ.
টোকেন	علامتی
টোকেন	اصولی
টোকেন	نمائندہ
অন্তর্মুখী	ورود.
অন্তর্মুখী	مہاجر.
অন্তর্মুখী	جانشین
অন্তর্মুখী	آمدنی.
অন্তর্মুখী	ورود.
অন্তর্মুখী	مہاجر.
