gloria	gloria
signaale	semnale
signaale	semnalele
ridades	rândurile
kõrgele	high
kõrgele	înaltă
kõrgele	inalta
dakota	dakota
rey	rey
dresdeni	dresda
katastroofi	dezastrul
katastroofi	dezastru
muusikal	muzical
muusikal	musical
nigeri	niger
satelliit	satelitul
satelliit	satelit
rick	rick
poom	boom
poom	bum
astronaut	astronautul
astronaut	astronaut
unenägu	visul
unenägu	vis
unenägu	visează
unenägu	viseaza
suundumused	tendințele
herakles	hercules
herakles	hercule
aspekte	aspecte
lootes	sperând
andersen	andersen
firmad	societăți
firmad	firme
firmad	firmele
firmad	societăți
firmad	companii
firmad	companiile
michelangelo	michelangelo
võti	cheie
võti	tasta
võti	cheia
kliiniline	clinică
kliiniline	clinic
kliiniline	clinice
väljatöötamine	dezvoltarea
välised	extern
välised	externe
välised	externi
välised	externă
välised	exterior
välised	exterioare
välised	exteriorul
välised	exterioară
välised	exterior
võõras	strain
võõras	străin
tuttav	familiar
tuttav	familiară
tuttav	familiare
tuttav	cunostinta
tuttav	cunoștință
madalamad	inferioară
baltimore	baltimore
päevik	journal
päevik	jurnalul
päevik	jurnal
päevik	jurnalul
päevik	jurnal
platvorm	platformă
platvorm	platforma
paradigma	paradigmă
nähtavad	vizibilă
nähtavad	vizibile
nähtavad	vizibil
emilia	emilia
metallica	metallica
pidu	party
pidu	petrecere
pidu	partid
meeleolu	dispozitie
sata	sata
sidus	coerent
sidus	coerente
sidus	coerentă
alternatiiv	alternative
alternatiiv	alternativă
alternatiiv	alternativ
alternatiiv	alternativa
alternatiiv	supleant
alternatiiv	alternativ
hiv	hiv
tarn	tarn
disainitud	proiectat
disainitud	proiectată
disainitud	conceput
disainitud	proiectate
disainitud	concepute
geneetika	genetică
geneetika	genetica
gov	gov
adolph	adolph
täitnud	îndeplinit
täitnud	împlinită
täitnud	împlinit
täitnud	îndeplinite
ingel	inger
ingel	înger
ingel	angel
kohane	adecvată
kohane	corespunzătoare
kohane	corespunzător
kohane	adecvat
enrico	enrico
cfg	cfg
vangistatud	capturat
vangistatud	capturată
vangistatud	capturate
vaatas	urmărit
vaatas	urmărită
vaatas	privit
vaatas	supravegheată
rev	rev
akna	fereastră
akna	fereastra
akna	geam
maximus	maximus
meelega	deliberat
samsung	samsung
clemente	clemente
variandid	variante
variandid	variantele
hüüdnime	porecla
hüüdnime	poreclă
pühak	sfânt
pühak	sfantul
pühak	sfântul
pühak	saint
craig	craig
honda	honda
florence	florenţa
florence	florența
florence	florence
florence	florenta
reporter	reporterul
reporter	reporter
geoloogiline	geologică
geoloogiline	geologic
geoloogiline	geologice
geoloogiline	geologică
geoloogiline	geologic
geoloogiline	geologice
hampshire	hampshire
jutud	povestiri
jutud	povesti
jutud	povești
atmosfäär	atmosferă
atmosfäär	atmosfera
lahinguid	bătălii
lahinguid	bătăliile
sissetulek	venitul
sissetulek	venituri
sissetulek	veniturile
ületanud	depășit
lame	plate
lame	plat
elena	elena
loata	neautorizate
loata	neautorizat
loata	neautorizată
loata	neautorizate
loata	neautorizat
loata	neautorizată
brand	brand
brand	marca
brand	marcă
augustin	augustin
võrgus	online
kasutamata	neutilizată
kasutamata	neutilizat
kasutamata	neutilizate
kasutamata	nefolosite
hunter	vanator
hunter	vânător
hunter	hunter
hunter	vânătorul
nõutud	solicitate
nõutud	solicitat
nõutud	cerut
nõutud	solicitată
nõutud	obligatoriu
nõutud	necesare
nõutud	necesară
nõutud	necesar
moodul	modul
moodul	modulul
han	han
chapelle	chapelle
täide	păduchi
mungad	călugări
mungad	călugării
sauna	saună
sauna	sauna
ameeriklane	american
ameeriklane	americană
ameeriklane	americancă
hinnad	prețurile
hinnad	preturi
hinnad	prețuri
diktaator	dictator
diktaator	dictatorul
meta	meta
lane	lane
armastatud	iubită
armastatud	iubit
eesistuja	preşedinte
eesistuja	președinte
ragnar	ragnar
canterbury	canterbury
kulu	costuri
kulu	costul
kulu	cost
kulu	cheltuială
kulu	cheltuiala
kulu	cheltuieli
ettepanekuid	propuneri
ettepanekuid	propunerile
tagajärg	consecinta
tagajärg	consecință
julge	curajos
julge	îndrăzni
julge	îndrăznesc
julge	îndrăzneală
tasane	plate
tasane	plat
mune	ouă
mune	oua
mune	ouăle
mõjuvõimu	împuternicire
mõjuvõimu	emanciparea
konkreetsete	specific
konkreetsete	specifică
konkreetsete	specifice
olli	olli
voyager	voyager
jõulud	crăciunul
jõulud	crăciun
jõulud	craciun
jõulud	craciunul
plus	plus
nõbu	vărul
nõbu	vere
nõbu	vere
klaviatuuri	tastatură
klaviatuuri	tastatura
ökosüsteemi	ecosistemului
ökosüsteemi	ecosistem
aurora	aurora
kirgiisi	kârgâzstan
stanislav	stanislav
spencer	spencer
kõneleja	difuzor
kõneleja	orator
kõneleja	speaker
kõneleja	vorbitor
kõneleja	vorbitor
terminoloogia	terminologia
terminoloogia	terminologie
nokk	cioc
nokk	ciocul
hirv	cerbi
hirv	căprioare
hirv	cerb
hirv	căprioară
jefferson	jefferson
tunnel	tunelul
tunnel	tunel
mahajäetud	abandonat
mahajäetud	abandonata
mahajäetud	abandonate
mahajäetud	abandonată
kiired	raze
kiired	razele
bagdadi	bagdad
leib	paine
leib	pâine
leib	pâinea
lendavad	zburând
lendavad	zbor
isabel	isabel
edvard	edvard
secret	secretă
secret	secret
secret	secreta
secret	secrete
secret	secretul
laagris	tabără
laagris	camp
laagris	tabăra
laagris	lagăr
laagris	tabara
snake	sarpele
snake	sarpe
snake	șarpe
snake	snake
avaldus	declarație
avaldus	declarația
kontor	oficiu
kontor	biroul
kontor	oficiul
kontor	birou
oskus	măiestrie
oskus	abilitate
oskus	îndemânare
emily	emily
aldo	aldo
väljendus	expresia
väljendus	exprimare
väljendus	expresie
kattis	acoperit
kattis	acoperită
kattis	acoperite
kahur	cannon
kahur	tun
kahur	tunul
esitus	prezentare
esitus	prezentarea
esitus	spectacole
tervist	sanatate
tervist	sănătatea
tervist	sănătate
toodang	producere
toodang	producție
toodang	producția
toodang	productie
dante	dante
bordeaux	bordeaux
nuku	papusa
nuku	păpușă
stsenaarium	scenariul
stsenaarium	scenariu
õigustada	justifica
õigustada	justifică
kaar	arc
kaar	arch
skp	pib
autod	maşini
autod	mașini
autod	masini
oranž	orange
oranž	portocală
oranž	portocaliu
oranž	portocalie
ideaalne	perfect
ideaalne	perfecte
ideaalne	perfecta
ideaalne	perfectă
ideaalne	ideală
ideaalne	ideal
ideaalne	ideala
ideaalne	ideale
leedulased	lituanieni
ani	ani
serv	marginea
serv	edge
serv	margine
serv	muchie
muster	tipar
castle	castle
castle	castel
castle	castelul
identiteet	identitate
identiteet	identitatea
zhang	zhang
geoffrey	geoffrey
zhou	zhou
ainulaadne	unicat
ainulaadne	unic
ainulaadne	unice
ainulaadne	unici
ainulaadne	unică
algataja	inițiatoare
algataja	instigator
sissetung	invazia
sissetung	invazie
sissetung	intruziune
vastuluure	contraspionaj
avastamise	detecție
avastamise	detectarea
avastamise	detectare
avastamise	depistarea
altari	altarul
altari	altar
magneesiumi	magneziu
mona	mona
grey	grey
grey	gri
teresa	teresa
teresa	tereza
luca	luca
oskused	skills
oskused	aptitudini
oskused	competențe
oskused	abilitate
oskused	îndemânare
solomon	solomon
intervall	intervalul
intervall	interval
oklahoma	oklahoma
leopard	leopardul
leopard	leopard
osaka	osaka
rikkumise	încălcare
kusagil	undeva
vastused	răspunsuri
vastused	răspunsurile
vastused	răspunsuri
vastused	raspunsuri
vastused	răspunsurile
vastused	răspunsuri
vastused	răspunsurile
tundeid	sentimente
tundeid	sentimentele
hannah	hannah
trotski	trotsky
esitamine	depunerea
esitamine	supunere
esitamine	depunere
järjekord	coadă
järjekord	coada
järjekord	comanda
järjekord	ordinea
järjekord	comandă
järjekord	ordine
järjekord	ordin
geneetik	genetician
motoriseeritud	motorizat
franklini	franklin
karistus	penalty
karistus	pedeapsă
karistus	pedeapsa
karistus	penalizare
karistus	pedeapsă
karistus	pedeapsa
montgomery	montgomery
eripära	particularitățile
ilmnes	manifestat
kuulnud	auzit
aspekt	aspect
benedict	benedict
filter	filtru
filter	filtrare
filter	filtrează
filter	filtrul
lindi	bandă
lindi	banda
lindi	casetă
terje	terje
milton	milton
vinci	vinci
pol	pol
pan	tigaie
pan	pan
reguleeritud	reglată
reguleeritud	reglementate
reguleeritud	reglementat
reguleeritud	reglementată
lendu	zborul
lendu	zbor
augsburgi	augsburg
stephan	stephan
abstraktne	abstract
abstraktne	abstractă
plaanitud	planificate
plaanitud	plănuit
plaanitud	planificat
plaanitud	planificată
valle	valle
puudused	deficiențe
puudused	slăbiciuni
puudused	deficiențe
puudused	slăbiciunile
todd	todd
olympic	olimpice
olympic	olimpic
olympic	olympic
wilde	wilde
leiba	paine
leiba	pâine
leiba	pâinea
kontserdid	concertele
kontserdid	concerte
newcastle	newcastle
õpetlane	savant
volinik	comisarul
volinik	comisar
pioneer	pionier
ravenna	ravenna
arendus	dezvoltarea
arendus	elaborare
arendus	dezvoltare
raskused	dificultate
raskused	dificultăți
raskused	dificultatea
raskused	dificultățile
raskused	dificultăți
raskused	quagmire
sotsialismi	socialismul
grupid	grupe
grupid	grupuri
grupid	grupurile
grupid	grupări
nael	unghii
nael	unghiilor
nael	unghie
nürnbergi	nuremberg
veerand	trimestrul
veerand	trimestru
veerand	sfert
püssi	pusca
püssi	pușcă
irl	irl
konstrueeritud	construite
konstrueeritud	construită
anglikaani	anglicană
mix	amestecă
mix	amestec
mix	amesteca
mix	mix
vari	shadow
vari	umbră
vari	umbra
grete	grete
derek	derek
vesinik	hidrogen
vesinik	hidrogenul
usd	usd
reed	trestie
reed	reed
motiiv	motivul
motiiv	motiv
motiiv	caracteristica
motiiv	caracteristică
motiiv	trăsătură
usbeki	uzbec
björn	bjorn
björn	björn
veebisait	website
adobe	adobe
oswald	oswald
galileo	galileo
liigne	excesiv
liigne	excesive
liigne	excesivă
kuuli	glonț
kuuli	bullet
evelyn	evelyn
serblased	sârbilor
serblased	sârbi
serblased	sârbii
rabas	moor
nahka	piele
nahka	pielea
hõim	tribul
hõim	trib
haydn	haydn
tiiger	tiger
tiiger	tigrul
tiiger	tigru
tiiger	tigger
rostovi	rostov
bahreini	bahrain
vega	vega
winkler	winkler
nõude	revendicare
nõude	revendică
võimed	abilitati
võimed	puterile
võimed	powers
võimed	puteri
võimed	competențe
vastukaaluks	contrabalansa
küllastunud	saturate
küllastunud	saturat
ever	vreodată
raoul	raoul
kile	peliculă
kile	film
mägismaa	highlands
cohen	cohen
oodatud	așteptat
oodatud	așteptam
kartis	temut
marilyn	marilyn
osake	particule
osake	particula
osake	particulă
sara	sara
zeus	zeus
energeetika	energia
energeetika	energie
act	actul
act	acționează
act	act
häda	calamitate
chang	chang
horst	horst
walt	walt
harmoonia	armonia
harmoonia	armonie
harmoonia	harmony
harmoonia	armonici
suhtumist	atitudini
mahler	mahler
muld	solul
muld	sol
muld	murdărie
muld	dirt
muld	soluri
pinged	tensiuni
pinged	tensiune
pinged	tensiunea
pinged	tensiuni
pinged	tensiunile
kontroller	controlor
bock	bock
arve	bill
arve	factură
arve	factură
arve	factura
tõstetud	crescută
tõstetud	ridicată
tõstetud	crescut
austin	austin
klassid	clasele
klassid	clase
klassid	cursuri
laser	laserul
laser	laser
varese	varese
jessica	jessica
romaane	romanele
romaane	romane
hardcore	hardcore
laienemine	extinderea
laienemine	extindere
laienemine	expansiune
laienemine	extinderea
laienemine	expansiunea
laienemine	extindere
marguerite	marguerite
delegatsioon	delegația
delegatsioon	delegarea
delegatsioon	delegare
col	col
molotovi	molotov
õiglus	dreptate
õiglus	dreptatea
õiglus	justiţie
õiglus	justiție
õiglus	corectitudine
õiglus	corectitudinea
deutschland	deutschland
kolooniad	colonii
kolooniad	coloniile
ülalt	top
ülalt	topul
formaat	formatul
formaat	format
freudi	freudian
berger	berger
hannover	hanovra
vöönd	zonă
vöönd	zona
pühitsetud	consacrat
hetk	moment
hetk	momentul
telefon	telefon
telefon	telefonul
telefon	telefon
carol	carol
arktika	arctică
arktika	arctic
arktika	arctica
locke	locke
spektri	spectrul
spektri	spectru
soomlased	finlandezi
mag	mag
minevik	trecutul
minevik	trecut
luksemburg	luxembourg
luksemburg	luxemburg
gerard	gerard
teadvus	constiinta
aadel	nobilimea
faktor	factorul
faktor	factor
tegur	factorul
tegur	factor
lepingud	contractele
lepingud	contracte
lepingud	tratate
lepingud	tratatele
lepingud	acorduri
lepingud	acordurile
curie	curie
veterinaaria	veterinar
veterinaaria	veterinare
veterinaaria	veterinară
räägi	vorbim
räägi	vorbește
valima	alegeti
valima	alege
valima	selectează
valima	alegeți
valima	selectare
oksad	ramuri
oksad	crengi
oksad	sucursale
oksad	ramurile
portreed	portretele
portreed	portrete
lahkumine	plecare
lahkumine	plecarea
lahkumine	plecări
lahkumine	plecarea
eelistatud	preferat
demo	demo
demo	demonstrație
efektiivsus	randament
efektiivsus	eficiență
efektiivsus	eficiența
efektiivsus	eficienta
efektiivsus	eficacitate
efektiivsus	eficacitatea
efektiivsus	eficacitate
efektiivsus	eficacitatea
ülesehitus	reconstrucţie
ülesehitus	structură
ülesehitus	structura
ülesehitus	structurii
norbert	norbert
esperanto	esperanto
roth	roth
resolutsiooni	rezoluția
resolutsiooni	rezoluție
tuuri	excursii
tuuri	tururi
reformid	reforme
reformid	reformele
laskemoona	muniție
väljund	ieșire
väljund	iesire
clara	clara
clara	clară
ligipääs	access
ligipääs	acces
ligipääs	accesul
psühholoogiline	psihologic
psühholoogiline	psihologică
psühholoogiline	psihologice
ekvatoriaal	ecuatorială
tsivilisatsiooni	civilizatie
tsivilisatsiooni	civilizatia
tsivilisatsiooni	civilizatie
saun	saună
saun	sauna
komponendi	componenta
komponendi	componentă
kirjutised	scrieri
kirjutised	scrierile
asendus	înlocuirea
asendus	înlocuitor
asendus	înlocuire
asendus	substitut
asendus	înlocuiește
asendus	înlocui
davidson	davidson
maksud	impozitele
maksud	impozite
maksud	taxe
maksud	taxele
elmo	elmo
päikest	soare
päikest	soarele
päikest	sun
päikest	soare
päikest	sunshine
berend	berend
võidetud	won
võidetud	câștigat
võidetud	învinsă
võidetud	învins
võidetud	invins
võidetud	înfrânt
mõjukas	influente
mõjukas	influent
mõjukas	influentă
laua	tabelul
laua	masă
laua	masa
laua	tabel
illustraator	ilustrator
harta	cartă
harta	carta
harta	charter
ursula	ursula
nõudmised	cereri
nõudmised	solicitări
nõudmised	cererile
kriteeriumid	criteriu
kriteeriumid	criteriile
kriteeriumid	criterii
allkiri	semnătură
allkiri	semnatura
allkiri	semnătura
maas	jos
ten	ten
ten	zece
otsustav	decisiv
otsustav	decisivă
otsustav	decisive
mainis	menționat
meteoroloogia	meteorologie
stepan	stepan
demokraadid	democrat
näljahäda	foametea
näljahäda	foamete
vastuvõetud	acceptat
vastuvõetud	acceptate
vastuvõetud	acceptata
vastuvõetud	acceptată
vastuvõetud	adoptat
vastuvõetud	adoptată
xxiii	xxiii
teodor	teodor
baleriin	balerină
baleriin	balerina
ipod	ipod
krooniline	cronică
krooniline	cronic
krooniline	cronice
edwards	edwards
kraater	craterul
kraater	crater
leibkonna	gospodărie
kauge	distant
istus	sat
tapmist	măcel
tapmist	sacrificare
claudio	claudio
coli	coli
ajakirjad	jurnale
ajakirjad	reviste
ajakirjad	revistele
turner	turner
nähtamatu	invizibili
nähtamatu	invizibilă
nähtamatu	invizibile
nähtamatu	invizibil
nähtamatu	nevăzut
nähtamatu	nevăzute
nähtamatu	nevăzută
haamer	ciocanul
haamer	ciocan
haamer	hammer
jätkati	continuat
luxembourg	luxembourg
luxembourg	luxemburg
piip	beep
piip	bip
piip	pipe
piip	conductă
piip	pipa
piip	pipă
clément	clément
clément	clement
tõstmine	ridicare
tõstmine	ridicarea
connor	connor
kilogrammi	kilograme
kilogrammi	kilogram
baer	baer
sas	sas
raamatukogude	biblioteci
masti	catargul
masti	catarg
kümnes	zecime
kümnes	tenth
jahu	făină
jahu	faina
jahu	masă
jahu	masa
täiustatud	îmbunătățit
täiustatud	avansată
täiustatud	avansate
täiustatud	avansat
blu	blu
zeusi	zeus
ajad	timpuri
ajad	timpurile
ajad	vremuri
ajad	times
marine	marin
marine	marină
marine	marine
volõõnia	volînia
agentuur	agenția
agentuur	agentie
agentuur	agenție
agentuur	agentia
kõrgustik	upland
entomoloog	entomolog
kuulis	auzit
rocca	rocca
mesopotaamia	mesopotamia
karabahhi	karabah
peegeldab	reflectă
blackberry	blackberry
uskumused	convingerile
uskumused	convingeri
nõid	vrăjitoare
nõid	vrajitoare
maandus	aterizat
maandus	debarcat
sõltuvust	dependenta
sõltuvust	dependența
sõltuvust	dependența
steel	steel
steel	otel
steel	oțel
isabella	isabella
mozilla	mozilla
teatab	anunță
teatab	declară
olivier	olivier
eurooplaste	europenilor
eurooplaste	europeni
eurooplaste	europenii
alexis	alexis
kohtunud	met
legaat	legatul
mürk	venin
mürk	veninul
mürk	otravă
mürk	otrava
emilie	emilie
igavesti	forever
heidi	heidi
unustatud	uitat
unustatud	uitată
unustatud	uitate
reform	reformei
reform	reforma
reform	reformă
tseremoonia	ceremonia
tseremoonia	ceremonie
tõlk	translator
tõlk	traducător
tõlk	interpret
registrisse	registru
registrisse	înregistrează
registrisse	inregistrare
raadius	raza
raadius	rază
iowa	iowa
kasvajate	tumori
kasvajate	tumorile
antonius	antony
antonius	antoniu
jesse	jesse
walther	walther
murdis	falit
muudatus	modificarea
muudatus	amendament
muudatus	modificare
muudatus	amendamentul
muudatus	schimba
muudatus	schimbare
muudatus	schimbă
muudatus	schimbarea
nõrgad	slaba
nõrgad	slăbit
nõrgad	slab
nõrgad	slabă
einstein	einstein
ice	gheaţă
ice	gheata
ice	gheată
ice	ice
ice	gheață
kann	ulcior
santi	santi
juur	radacina
juur	root
juur	rădăcina
juur	rădăcină
tundlik	sensibile
tundlik	sensibila
tundlik	sensibilă
tundlik	sensibil
elupaikade	habitatelor
elupaikade	habitate
elupaikade	habitat
elupaikade	habitatul
tõhus	eficiente
tõhus	eficienta
tõhus	eficient
tõhus	eficientă
tõhus	eficientă
tõhus	eficace
tõhus	eficient
tõhus	efectivă
kalduvus	tendinta
hingamisteede	respirator
hingamisteede	respiratorii
hingamisteede	respiratorie
täiendav	suplimentare
täiendav	suplimentar
täiendav	complementare
täiendav	complementar
täiendav	complementară
värvitud	vopsite
värvitud	vopsit
värvitud	pictate
värvitud	pictat
värvitud	pictată
värvitud	vopsit
värvitud	vopsite
ertshertsog	arhiducele
janne	janne
tööriist	instrument
tööriist	unealtă
rikutud	coruptă
rikutud	corupt
rikutud	ruinat
rikutud	ruinată
rikutud	încălcat
rikutud	violată
rikutud	violat
rikutud	încălcate
kohustuse	angajament
kohustuse	angajamentul
protesti	protest
protesti	protestul
protesti	protestează
hüppas	sarit
hüppas	sărit
tonga	tonga
edit	editare
edit	editează
gaboni	gabon
vaenlased	dusmani
vaenlased	inamici
vaenlased	dușmani
vaenlased	inamicii
khan	khan
terra	terra
doc	doc
eeldus	prezumție
eeldus	premisa
mitmekordne	multiplu
mitmekordne	multiplă
mitmekordne	multiple
haute	haute
kandidaadid	candidati
kandidaadid	candidați
kandidaadid	candidate
dom	dom
girls	fetele
girls	fete
girls	girls
girls	fetelor
césar	cesar
césar	césar
teras	steel
teras	otel
teras	oțel
benedetto	benedetto
nool	săgeata
nool	săgeată
nool	sageata
nool	arrow
veronika	veronika
tasand	nivelul
tasand	nivel
eeskiri	regulament
eeskiri	regulamentul
eeskiri	reglementare
eeskiri	reglementarea
eeskiri	regula
eeskiri	regulă
allveelaeva	submarinul
allveelaeva	submarin
detailid	detaliile
detailid	detalii
unikaalne	unicat
unikaalne	unic
unikaalne	unice
