тунел	tunel
бронза	brončana
хепберн	hepburn
цигари	cigareta
цигари	cigarete
цигари	cigare
цигари	cigareta
цигари	cigarete
заклучи	zaključavanje
синоним	sinonim
синоним	sinonim
велосипед	bicikla
велосипед	bicikl
велосипед	biciklom
велосипед	motor
велосипед	bicikla
велосипед	biciklu
велосипед	bicikl
велосипед	biciklom
судијата	sudac
судијата	sudi
судијата	sudija
судијата	sudac
сандерленд	sunderland
опозиција	opozicija
опозиција	oporbene
опозиција	oporba
опозиција	protivljenje
дизајнер	dizajner
екран	ekran
екран	platno
екран	zaslon
роза	ruža
роза	rose
роза	rosa
ејми	amy
ејми	ame
водопади	pada
водопади	padne
водопади	falls
водопади	slapovi
потпис	potpis
пронајдена	pronađeno
пронајдена	našao
пронајдена	pronađen
пронајдена	pronađeni
пронајдена	pronađena
волт	walt
дискриминација	diskriminacije
дискриминација	diskriminacija
наслови	naslovi
наслови	naslovi
наслови	titule
наслови	naslova
ага	aga
куско	cusco
одделно	zasebno
одделно	odvojeno
одделно	odvoji
одделно	odvojeno
одделно	odvojeni
одделно	razdvoji
судска	sudska
убијци	ubojice
убијци	ubojice
убијци	ubojice
магдалена	magdalena
магдалена	magdalena
данскиот	danske
данскиот	danski
осудени	osuđeni
осудени	osuđen
осудени	osuđen
кирибати	kiribati
монро	monroe
патувал	putovao
патувал	putovala
патувал	putovao
изгубени	izgubljeni
изгубени	izgubljena
изгубени	izgubljeno
изгубени	izgubljen
етички	etički
етички	etički
стрес	stres
стрес	stresa
лукас	lucas
лукас	lukas
лукас	lukas
фотографијата	fotografiju
фотографијата	foto
фотографијата	fotografija
фотографијата	slika
секаде	svuda
секаде	svugdje
тибет	tibet
заработи	zarade
заработи	zaraditi
заработи	zaradi
автономни	autonomna
паралелни	paralelni
паралелни	paralelno
паралелни	paralelne
линкови	poveznice
мара	mara
нилски	nilski
новела	roman
новела	novella
прослава	proslava
прослава	slavlje
сок	juice
сок	sok
родно	materinji
кану	kanu
номинирана	nominiran
александра	alexandra
александра	aleksandra
александра	aleksandra
симетрија	simetriju
физиологија	fiziologija
оперски	opera
оперски	operi
оперски	opere
злото	zlo
злото	zla
беркли	berkley
беркли	berkeley
архив	arhiv
архив	arhiva
архив	arhive
архив	arhiv
архив	arhiva
накратко	ukratko
накратко	kratko
накратко	nakratko
возови	vlakovi
возови	vlakove
возови	vlakova
изабела	isabella
изабела	isabelle
плато	plato
опции	odrednice
опции	opcije
опции	mogućnosti
хасан	hassan
хасан	hasan
хасан	hasan
корисна	korisne
корисна	koristan
корисна	korisno
корисна	korisna
корисна	korisni
корисна	poučno
жолти	žuto
жолти	žuti
жолти	žuta
повлекува	povuče
испраќање	šaljem
испраќање	slanje
богатства	blaga
богатства	bogatstva
здравство	zdravstvo
умерено	umjereno
фрески	freske
јон	ion
јон	iona
отиде	otišao
босански	bosanska
босански	bosanski
босански	bosanskih
босански	bosanac
партизани	partizana
ракометна	rukomet
сахара	sahara
раѓа	rođeni
раѓа	rođen
раѓа	rođena
раѓа	osvanuo
наводнување	navodnjavanje
наводнување	ispiranje
наводнување	navodnjavanja
должности	dužnosti
должности	obaveze
сфати	razumio
сфати	razumijem
сфати	shvati
хром	krom
хром	krom
лед	ice
лед	leda
лед	led
лед	ice
електронско	elektronički
електронско	elektronski
опстанок	opstanak
опстанок	preživljavanje
демо	demo
демо	demonstracija
доза	dozu
доза	doza
извршната	izvršne
германци	nijemci
намибија	namibiji
спроведена	provedena
гласа	glasove
гласа	glasova
гласа	glasa
гласа	glasovi
бронзен	brončana
викенд	vikend
заменета	preinačena
заменета	zamijenio
заменета	zamijenjena
заменета	zamijenjen
фабрики	fabrike
фабрики	tvornice
емирати	emirata
минимум	minimalno
минимум	minimum
минимум	minimalna
недоволно	nedovoljno
универзален	univerzalni
спортист	sportaš
ангола	angoli
поглавје	poglavlje
намален	smanjena
намален	smanjene
намален	smanjen
намален	smanjena
вигинс	wiggins
достигнат	postignut
достигнат	doseg
достигнат	dohvati
стотина	stotine
алтернативен	alternativni
алтернативен	alternativne
кемал	kemal
видлива	vidljiv
видлива	vidljiva
видлива	vidljive
видлива	vidljivo
видлива	vidljivi
сведочи	svjedočiti
сведочи	svjedoči
откриваат	otkrij
просечен	prosječan
просечен	prosječno
просечен	prosjek
просечен	prosječni
просечен	prosječna
просечен	prosjeka
ќерамиди	krovove
инка	inka
инка	lijevak
ротација	rotacija
тенкови	tenkovi
тенкови	tenkove
загрозен	ugrožena
загрозен	prijetio
загрозен	prijeti
човечко	ljudski
опен	otvori
публикации	publikacija
теодора	teodora
заболување	bolesti
заболување	bolest
прстени	prstenje
воведува	uvodi
младоста	mladež
младоста	mladost
младоста	mladosti
болки	boli
болки	bol
болки	bolovi
академска	akademske
академска	akademski
практична	praktično
практична	praktičan
практична	praktične
практична	praktični
практична	praktična
тврдејќи	tvrdeći
тврдејќи	tvrdeći
панама	panama
панама	panami
мастерс	masters
мастерс	gazde
мастерс	gospodari
мастерс	majstori
каталонија	kataloniji
галиција	galiciji
сенка	sjenka
сенка	sjena
сенка	senka
сенка	sjene
сенка	nijansa
сенка	hlad
привилегии	privilegije
привилегии	privilegija
привилегии	povlastica
привилегии	privilegije
привилегии	povlastice
привилегии	privilegija
подигнат	podignut
подигнат	podignuta
тоше	toše
занает	letjelice
занает	plovilo
занает	letjelica
занает	obrt
занает	zanat
витези	vitezovi
скијање	skijanje
брест	brest
анастасија	anastasia
оман	oman
диригент	kondukter
диригент	dirigent
супстанции	supstanca
супстанции	tvar
супстанции	tvari
супстанции	supstance
вечери	večere
вечери	večeri
гнездо	gnijezdo
гнездо	gnijezda
пфалц	porajnje
кралско	royal
кралско	kraljevsko
кралско	kraljevski
кралско	kraljevska
кралско	carska
кралско	carski
резерват	rezervi
резерват	rezerva
религиозна	religiozni
религиозна	vjerska
религиозна	vjerski
религиозна	vjerske
топлината	toplina
топлината	toplinu
математичари	matematičari
вага	vaga
фрази	fraze
лорен	lorraine
лорен	lauren
лорен	loren
лорен	loren
кнежевство	kneževina
кози	koze
установа	ustanova
установа	postrojenje
карибите	karibima
карибите	kariba
теологија	teologiju
исклучоци	iznimke
оператор	operater
јачина	intenzitet
јачина	magnitude
утрински	jutarnja
утрински	jutro
утрински	ujutro
неуспешен	neuspješno
неуспешен	neuspješni
носејќи	nošenje
носејќи	noseći
преовладува	prevladava
наша	naše
наша	naš
наша	naša
наша	naši
наша	nase
наша	nasi
наша	naše
наша	naš
наша	naša
наша	nase
грмушки	grmlje
грмушки	grmlja
грмушки	bush
грмушки	grm
сегменти	segmentima
ремо	remo
зајак	zec
зајак	zeca
зајак	zeko
доволна	dosta
наставници	učitelji
наставници	profesori
наставници	nastavnici
лош	loše
лош	bad
лош	loša
лош	lose
кал	blato
кал	blata
кал	kal
кал	cale
кал	cal
дан	dunne
дан	dunn
дан	dun
соочи	licem
соочи	faca
соочи	lice
соочи	face
помало	manje
помало	manjim
помало	manja
помало	manji
урбана	urbana
шести	šesta
шести	sixth
шести	šesto
шести	šesti
предизвик	izazov
предизвик	izazovi
исполнети	ispunjeni
исполнети	ispunjeno
исполнети	ispunjena
исполнети	ispunio
исполнети	ispunila
творба	artikulacija
матеј	matthew
матеј	matej
претседателството	predsjedništvo
претседателството	predsjedništva
ријана	rihanna
пенали	kazne
радиус	radijus
незадоволство	nezadovoljstvo
незадоволство	nezadovoljstva
незадоволство	nezadovoljstvo
свештеникот	svećenik
предизвикувајќи	uzrokujući
празни	prazno
празни	isprazni
празни	prazan
празни	prazni
празни	prazna
шефот	načelnik
шефот	šef
шефот	gazda
шефот	šef
четворица	četiri
гледајќи	gledam
гледајќи	gledamo
гледајќи	gleda
гледајќи	gledajući
гледајќи	gledanje
пластика	plastika
пластика	plastične
пластика	plastika
јемен	jemenu
уран	uran
уран	urana
обоени	slikala
обоени	naslikao
обоени	obojeni
обоени	obojeni
обоени	šarenih
портрети	portreta
портрети	portrete
австронезиски	austronezijski
алба	alba
глетка	prizor
идентификува	identificira
божиќ	božić
алгебра	algebra
боби	bobi
боби	bobby
ранети	ranjena
ранети	ranjeni
ранети	ranjen
ранети	ranjeno
роси	rossi
учествуваше	sudjelovalo
учествуваше	sudjelovao
учествуваше	sudjelovala
учествуваше	sudjelovali
мештаните	mještani
покриен	pokrivena
покриен	pokriven
покриен	pokriveni
покриен	pokriveno
точна	precizan
точна	točan
точна	ispravi
подот	kapsulu
подот	pupoljak
подот	kapsula
подот	sprat
подот	kat
обемот	količina
обемот	volumen
дипломат	diplomat
дипломат	diplomata
месопотамија	mezopotamije
должноста	dužnost
пури	cigare
пури	cigara
пури	cigare
инцидент	incident
инцидент	izgred
работеше	radila
работеше	uspjelo
вторник	utorak
вирус	virus
добиток	stoka
добиток	goveda
посредник	posrednik
посредник	posrednik
траат	traje
состаноци	sastanke
состаноци	susreti
состаноци	sastanci
сиромаштија	siromaštvo
сиромаштија	siromaštva
геолошки	geološki
шер	sher
шер	cher
алмати	almaty
обележани	označena
обележани	označen
обележани	označeno
курсеви	tečajeve
фокус	fokus
дејан	dejan
конкретни	specifično
конкретни	specifične
конкретни	specifičan
конкретни	specifična
конкретни	konkretno
конкретни	beton
конкретни	betona
супстанца	supstanca
супстанца	tvar
наназад	unazad
наназад	unatrag
наназад	unazad
наназад	unatrag
лејди	gospa
лејди	dama
лејди	damo
рап	rap
скали	stepenište
скали	stubište
скали	stube
скали	stepenice
скали	stepenicama
раководители	menadžeri
раководители	direktori
ресурсите	resursi
ресурсите	resursa
ресурсите	sredstva
очекувања	očekivanja
очекувања	očekivanjima
примарна	primarno
примарна	primarna
примарна	primarni
времетраење	trajanje
лесна	lagano
лесна	lako
лесна	lagani
лесна	lagana
мадагаскар	madagaskar
едрене	edirne
праќа	pošalje
праќа	šalje
типични	tipični
типични	tipičan
типични	tipično
пејџ	paige
џордан	jordan
постоечки	postojeći
постоечки	postojeće
јапонска	japanci
јапонска	japanski
јапонска	japanac
јапонска	japanska
јапонска	japansko
џузепе	giuseppe
џејсон	jason
извршат	počini
извршат	počiniti
вегас	vegas
статистичка	statistički
големини	veličina
големини	veličine
признат	prepoznao
признат	prepoznat
признат	priznata
признат	prepoznao
признат	prepoznat
признат	prepoznala
признат	prepoznali
остро	snažno
остро	oštar
остро	oštri
остро	oštro
остро	oštra
остро	sharp
формирано	formirana
атракција	atrakcija
атракција	privlačnost
параметар	parametar
експлоатација	iskorištavanje
конечен	završni
пештери	špilje
пештери	pećine
пештери	spilje
андалузија	andaluzija
вишок	višak
вишок	suvišno
вишок	višak
стенфорд	stanford
нормандија	normandie
нормандија	normandiji
изложеност	izlaganja
изложеност	izloženosti
изложеност	izloženost
изложеност	izlaganje
антропологија	antropologiju
хаити	haiti
свадба	svadba
свадба	vjenčanje
крајбрежјето	rivu
оценка	rezultat
оценка	ocjena
сони	sony
сони	sonny
нирнберг	nürnberg
изолација	izolacija
изолација	izolacije
ралф	ralph
самуил	samuel
следна	sljedeća
стравот	strah
почитува	poštuje
ритуали	rituali
ритуали	rituale
интензитет	intenzitet
обнови	obnovi
обнови	vraćanje
обнови	obnavljanje
обнови	obnovi
промовирање	promociju
промовирање	promaknuće
промовирање	promocije
промовирање	promocija
промовирање	promicanje
поразена	poražen
поразена	poraženi
упатува	preporuke
упатува	reference
согорување	izgaranje
согорување	spaljivanje
заседа	zasjede
заседа	zasjedu
заседа	zasjeda
континуирано	neprekidno
континуирано	konstantno
континуирано	kontinuirano
континуирано	neprekidno
континуирано	kontinuirano
факултети	fakultete
евиденција	records
евиденција	ploče
евиденција	zapisi
евиденција	dnevnik
индиректно	neizravno
индиректно	neizravno
спротивни	divergentna
спротивни	nasuprot
спротивни	suprotno
кралевите	kraljevi
кралевите	kraljeva
пеколот	pakao
тениско	tenis
протест	protest
протест	prosvjed
протест	protesta
рајот	raja
рајот	raj
рајот	nebesa
рајот	nebo
панорама	panorama
опасни	opasna
опасни	opasni
опасни	opasan
опасни	opasno
ангели	anđeli
еми	emmy
еми	emi
еми	emmyja
шеми	uzorci
шеми	uzorke
шеми	sheme
среда	srijeda
среда	srijedom
врат	vrat
собири	okupljanja
играчки	igračke
медичи	medici
масовни	masu
масовни	mise
масовни	misa
масовни	masa
масовни	misu
масовни	masivni
масовни	massive
групна	multiplayer
групна	grupa
ник	nick
ник	nic
ник	nik
крсто	krsto
идол	idola
идол	idol
витамин	vitamina
витамин	vitamin
витамин	vitamini
одби	odbio
одби	odbijena
одби	odbijeno
одби	odbio
одење	hoda
одење	hodam
одење	hodajući
одење	hodanje
одење	hodati
граѓанин	državljanin
граѓанин	građanin
материјална	materijal
комесар	povjerenik
комесар	načelnik
комесар	komesar
комесар	komesar
професионалец	profesionalni
професионалец	profesionalno
професионалец	profesionalac
професионалец	profesionalna
професионалец	pro
професионалец	profesionalac
декларацијата	proglašenje
декларацијата	deklaracija
религиски	religiozni
религиски	vjerska
религиски	vjerski
религиски	vjerske
припаѓал	pripadao
мајмуни	majmune
мајмуни	majmuni
спартак	spartaka
спартак	spartacus
спартак	spartak
спартак	spartak
докторат	doktorat
докторат	doktorat
верувањето	vjerovanje
верувањето	uvjerenje
моќност	moc
моќност	moć
моќност	snaga
моќност	napajanje
артисти	umjetnici
врзани	vezani
врзани	vezana
врзани	vezana
врзани	vezane
врзани	vezani
врзани	vezan
англо	anglo
клун	kljun
празен	prazno
празен	isprazni
празен	prazan
празен	prazni
празен	prazna
празен	prazno
празен	prazan
протеини	protein
протеини	proteina
протеини	proteini
мастејн	mustaine
михаел	mihael
михаел	michael
тел	tel
стразбур	strasbourgu
предвидување	predviđanje
предвидување	predviđanja
лил	lil
лил	lille
длабоки	duboka
длабоки	duboko
барбара	barbara
осло	oslu
армстронг	armstrong
цветови	cvjetovi
цветови	cvijeće
руси	rusi
руси	rusima
руси	ruse
бесплатно	slobodna
бесплатно	slobodni
бесплатно	slobodan
бесплатно	besplatno
бесплатно	free
милтон	milton
задоволи	zadovoljiti
задоволи	zadovolji
фрлање	bacanje
фрлање	baci
припаѓале	pripadao
гари	garry
гари	gari
гари	gary
милошевиќ	milošević
милошевиќ	miloševića
базен	biljar
базен	bazen
капацитети	ustanove
капацитети	kapacitete
грос	odvratno
грос	bruto
грос	groß
рус	rus
учествуваа	prikazano
учествуваа	izdvojene
учествуваа	sudjelovalo
учествуваа	sudjelovao
учествуваа	sudjelovala
учествуваа	sudjelovali
одраз	odražavaju
одраз	odraz
одраз	odsjaj
шарлот	charlotte
ататурк	atatürk
хумор	humora
хумор	humor
хумор	humor
работничка	radnica
работничка	radnik
католици	katolici
утро	jutarnja
утро	jutro
утро	ujutro
мис	gospođice
мис	miss
мис	gospođica
сооднос	omjer
реми	remy
реми	remi
претставништво	zastupljenost
пазарите	tržišta
пазарите	tržnice
планетите	planete
планетите	planeta
планетите	planeti
клајн	klein
атлетико	atletico
атлетико	atlético
кафеава	brown
кафеава	smeđa
кафеава	smeđi
кафеава	smeđe
уганда	ugandi
брана	brani
брана	brane
брана	brana
украси	ukrasi
украси	ukrase
украси	ukrasi
украси	dekoracije
привремена	privremeno
привремена	privremena
привремена	privremeni
привремена	privremeni
драстично	drastično
адријатико	adriatico
лужица	lužica
неопходни	neophodna
неопходни	potrebno
неопходни	neophodno
половината	struk
половината	struka
половината	polovina
половината	polovica
половината	pola
изолирани	izolirani
изолирани	izolirana
изолирани	izoliran
изолирани	izolirano
откри	otkriveno
откри	otkriven
откри	otkrivena
френклин	franklin
бродовите	brodove
бродовите	brodovi
бродовите	trajekti
предупредување	upozorenje
предупредување	upozorenja
кршење	kršenje
кршење	lomi
кршење	razbijanje
државјанство	državljanstvo
предци	preci
предци	precima
предци	pretke
натписи	članke
натписи	članci
харисон	harrisona
харисон	harrison
леви	levi
обама	obama
раскажувач	pripovjedač
осветлување	osvjetljenje
осветлување	rasvjeta
прославата	proslava
прославата	slavlje
славко	slavko
експериментални	eksperimentalni
масти	masti
масти	debelo
масти	masno
масти	debela
масти	debeli
семејствата	obitelji
семејствата	obiteljima
семејствата	porodice
паскал	pascal
пипин	pippin
вавилон	babilon
скандинавија	skandinaviji
обреди	pomast
сакаше	voljeni
сакаше	voljena
сакаше	volio
сакаше	tražen
сакаше	traženi
сакаше	htio
конкретно	konkretno
роберто	roberto
бетмен	batman
бетмен	batmana
правник	pravnik
правник	odvjetnik
правник	odvjetnica
правник	advokat
манифестација	manifestacija
запишување	pišem
запишување	pisanje
запишување	pisem
тропски	tropske
пит	pete
пит	pit
ненадејно	iznenada
ненадејно	odjednom
ненадејно	iznenadna
ненадејно	naglo
ацо	aco
дебелина	pretilosti
дебелина	debljina
евангелие	evanđelja
евангелие	evanđelje
ловат	lovi
ловат	hunt
ловат	lov
фридман	friedman
волк	vuce
волк	wolf
волк	vuk
волк	vuka
бањи	toplice
бањи	kupaonice
бањи	kupatila
бањи	kupke
распад	raspadanje
распад	propadanje
господин	gospodin
прилики	prigode
грама	grama
сместување	smještaj
крила	krila
крила	krilima
крила	krilca
курт	kurt
курт	curt
регионална	regionalno
регионална	regionalni
боуви	bowie
пушки	puške
пушки	oružje
пушки	pištolji
пушки	puške
умерена	umjerenim
умерена	umjerene
умерена	umjereno
цивилизации	civilizacije
цивилизации	civilizacije
болни	bolno
болни	bolna
болни	bolni
болни	bolan
болни	bolesna
болни	bolestan
болни	bolesno
болни	bolesnik
лаос	laosu
полот	spol
гравитација	gravitacija
памук	pamuk
памук	pamuk
памук	cotton
редовна	redovito
редовна	redovna
редовна	redovno
олимпија	olympia
погодни	zgodno
погодни	prikladno
клинтон	clinton
учеснички	sudionici
учеснички	sudionika
учеснички	sudionike
варна	varni
валути	valuta
валути	valute
валути	valute
дно	dno
среќен	sretno
среќен	sretan
постава	prepoznavanje
азиски	azijske
азиски	azijski
идентични	identično
идентични	identične
идентични	identični
поканети	pozvan
поканети	pozvana
поканети	pozvani
сведок	svjedok
арапска	arapski
уста	mouth
уста	usta
хив	hiv
дилан	dylan
антиохија	antiohije
болката	boli
болката	bol
болката	bolovi
управувани	uspio
вработен	zaposlenik
вработен	zaposlenica
вработен	zaposlenika
вработен	zaposlen
вработен	zaposleni
вработен	zaposleno
стручно	stručnjak
стручно	ekspert
ладен	ladena
бернард	bernard
девојче	djevojka
девојче	devojka
девојче	cura
мајнц	mainz
сценарист	scenarist
моќни	moćno
моќни	moćna
моќни	moćan
реда	redaka
реда	redovi
мисисипи	mississippi
добиена	osvojio
добиена	pobijedio
добиена	pobjedio
преспанско	prespanskog
мигел	miguel
чуда	čudesa
чуда	čuda
чуда	čudesa
чуда	čuda
покани	pozivnice
покани	pozivnica
покани	pozovite
покани	pozivnice
покани	poziva
робот	robote
робот	robot
одредби	odredbe
рамен	stan
рамен	ravna
рамен	ravan
рамен	ravni
рамен	ramen
гледал	gledao
гледал	gledali
гледал	gledala
обележја	znamenitosti
детално	detaljan
детално	detaljne
детално	detaljno
детално	detalj
модни	moda
модни	modni
модни	fashion
модни	mode
имплементација	provedbu
имплементација	provedba
сини	plavo
сини	plavi
сини	plava
пијалаци	pića
пијалаци	pića
пијалаци	pije
пијалаци	piće
онтарио	ontario
додатни	dodatna
додатни	dodatno
додатни	dodatni
додатни	dodatne
ген	gene
ген	gen
капабланка	capablanca
штети	ranjavanje
штети	oštećenja
штети	oštećenje
антониј	antonije
антониј	antonija
антониј	antonius
континенти	kontinenata
надмине	premašiti
надмине	prevladati
надмине	nadvladati
ризици	rizici
ризици	rizike
трик	trick
трик	trik
есеист	esejist
емоции	emocije
емоции	emocija
емоции	emocije
емоции	emocija
тери	terri
тери	teri
тери	terry
бич	bukva
бич	plaže
бич	beach
бич	plažu
бич	plaža
доминантен	dominantna
судење	suđenje
протестанти	protestanti
протестанти	prosvjednici
протестанти	prosvjednika
протестанти	protestanti
исполнет	ispunjena
исполнет	ispunjeno
исполнет	popunjeno
исполнет	ispunjen
конференции	konferencije
конференции	konferencija
конференции	konferenciji
конференции	konferencije
пирин	pirin
мажот	mužu
мажот	muž
мажот	suprug
татковината	domovina
избегнува	izbjegava
заклучоци	zaključke
заклучоци	zaključci
кабинет	ormar
кабинет	kabinet
зачуван	spašen
зачуван	spasio
зачуван	spremljena
арагон	aragona
значителна	znatan
значителна	znatan
значителна	značajne
значителна	značajno
значителна	značajna
значителна	značajan
сончев	sunčani
сончев	sunčano
сончев	sunny
здраво	pozdrav
корпорација	korporacija
радијација	zračenje
радијација	radijacije
радијација	radijacija
анимација	animacije
собрал	okupljeni
помогнале	pomogla
помогнале	pomogli
помогнале	pomogao
помогнале	pomoglo
неутрони	neutrona
краков	krakowu
едвај	jedva
едвај	jedva
одеднаш	iznenada
одеднаш	odjednom
одеднаш	iznenadna
ферари	ferrarija
ферари	ferrari
прописи	propisi
прописи	propis
прописи	propisi
премиери	premijere
дуран	durant
дуран	duran
кремљ	kremlja
кромид	luk
кромид	luk
мередит	meredith
продукт	proizvod
античко	antike
свесни	svjestan
свесни	svjesno
свесни	svjesni
свесни	svjestan
освојувач	osvajač
викиликс	wikileaks
налог	nalog
започната	pokrenula
започната	pokrenuta
задоволува	zadovoljava
југословенска	jugoslavije
џеф	jeff
подигање	čizma
подигање	podići
подигање	podizanje
мак	mac
мак	mek
мак	maca
мак	mack
мак	macka
мак	mak
колона	kolona
колона	stupac
нијанси	nijanse
облаци	oblaci
облаци	oblake
облаци	oblaka
адамс	adams
адамс	adamsa
самоа	samoe
иновации	inovacije
