submarins	подморници
lentament	пополека
lentament	полека
suplement	додаток
accessible	пристапна
accessible	пристапен
salons	салите
salons	ходници
filadèlfia	филаделфија
especialistes	специјалисти
hardy	харди
hudson	хадсон
combinar	комбинира
amir	амир
infraestructura	инфраструктура
olor	мирис
olor	мирис
olor	мирисни
olor	мирисаат
olor	миризба
watson	вотсон
watson	ватсон
substrat	подлогата
banys	бањите
banys	купатила
banys	бањи
banys	тоалети
banys	бањи
holandès	дач
holandès	холандска
holandès	холандскиот
holandès	холандски
estrenat	пуштен
estrenat	пуштени
estrenat	ослободен
ibèric	иберискиот
harris	харис
harris	херис
mortal	смртоносен
mortal	смртоносна
mortal	смртоносниот
mortal	смртоносни
mortal	смртоносно
mortal	смртен
mortal	смртник
servit	служеа
servit	служел
servit	служеле
servit	служеше
insígnia	insignia
elionor	еленор
elionor	елеонор
anàlisis	статистика
chen	чен
trans	транс
anunci	соопштение
exposat	изложена
exposat	изложено
exposat	изложен
compressió	компресија
dilluns	понеделник
editada	уредува
editada	изменети
examen	испит
rudolf	рудолф
mèdici	медичи
viscut	живееја
viscut	живеел
viscut	живееше
viscut	живеев
viscut	живееле
cama	нога
paquet	пакет
sergi	сергиј
transforma	преобрази
transforma	трансформираат
transforma	трансформација
transforma	трансформира
transforma	трансформирање
morfologia	морфологија
èmfasi	нагласок
èmfasi	акцент
dispersió	дисперзија
autopista	автопат
rebuda	примен
rebuda	добиени
rebuda	доби
rebuda	примена
rebuda	примиле
huracà	ураган
huracà	ураганот
margaret	маргарет
desastre	катастрофа
desastre	катастрофи
protector	заштитник
estructural	структурните
estructural	структурни
defensiva	одбрамбена
defensiva	одбранбен
defensiva	одбранбена
entrat	внесени
entrat	влегоа
entrat	внесена
entrat	влегле
conscient	свесна
conscient	свесни
conscient	свесен
sensible	чувствителен
sensible	осетливо
sensible	чувствителни
sensible	осетлив
sensible	осетлива
criminal	злосторник
criminal	кривично
criminal	кривични
criminal	кривична
criminal	криминално
warner	ворнер
humits	влажна
humits	влажно
bank	банка
essència	суштина
essència	екстракт
essència	екстрактот
franges	места
vectors	вектори
bit	бит
gustav	густав
decorats	одликуван
decorats	украсен
fans	фановите
fans	фанови
fans	навивачи
fans	обожаватели
domina	доминира
julien	џулијан
julien	џулиен
josef	јозеф
bas	бас
bas	bas
esclau	роб
esclau	славе
esclau	робинка
tebes	теба
hms	хмс
ajudat	помогна
ajudat	помогнале
ajudat	помогнаа
setena	седмо
setena	седмата
setena	седми
setena	седмиот
setena	седма
setena	седмото
maduresa	зрелост
schmidt	шмит
schmidt	шмид
condemna	осуда
condemna	осудува
condemna	осуди
condemna	осудуваат
anatòlia	анадолија
bany	тоалет
bany	бања
bany	бањата
bany	купатило
estimació	проценка
estimació	процени
estimació	процена
estimació	проценуваат
barba	брада
exportació	извоз
exportació	изнесување
exportació	изнесување
suports	реквизити
notre	notre
anatomia	анатомија
codificació	кодирање
codificació	кодирање
francesca	франческа
jurament	заклетвата
jurament	заклетва
venjança	одмаздата
venjança	одмазда
venjança	освета
venjança	одмазди
mercenaris	платеници
alep	алепо
medicaments	лекови
habitacions	собите
habitacions	соби
tija	произлегуваат
tija	матични
exclusiva	ексклузивно
exclusiva	ексклузивна
exclusiva	ексклузивни
exclusiva	exclusive
integrant	интеграција
integrant	интегрирање
contractat	најми
contractat	најмен
subclassis	subclassis
sumatra	суматра
scala	скала
veïnat	населба
recuperat	откриени
registrat	регистриран
registrat	регистрирана
registrat	регистрирано
registrat	регистрирани
relatiu	роднина
relatiu	релативна
relatiu	релативно
next	следниот
next	следна
next	следно
next	следни
next	следен
proporcional	пропорционална
proporcional	пропорционален
gastronomia	гастрономија
pisa	пиза
dependent	зависни
dependent	зависен
dependent	зависно
dependent	зависна
esperant	чекањето
esperant	чекам
esperant	чекајќи
esperant	чекање
esperant	чека
esperant	чекаат
gonzalo	гонзало
característics	карактеристика
característics	одлика
incendis	пожари
incendis	огнови
pretor	претор
sony	сони
kurt	курт
ibm	ибм
suggerir	сугерираат
suggerir	покажуваат
suggerir	сугерира
suggerir	предлага
suggerir	предложи
sou	плата
focs	огномет
focs	огномети
dividits	поделени
dividits	поделено
dividits	поделена
dividits	поделен
preservació	зачувување
thompson	томсон
thompson	томпсон
oportunitats	можности
oportunitats	можностите
cook	кувар
cook	кук
eugeni	еуген
eugeni	јуџин
assistents	присутни
assistents	присутните
assistents	асистенти
assistents	помошници
targetes	карти
targetes	картички
concentracions	концентрации
caçadors	ловците
caçadors	ловци
catherine	кетрин
catherine	катрин
catherine	катерин
catherine	катерина
uganda	уганда
reglament	регулатива
reglament	прописи
reglament	регулација
beguda	пијалаци
beguda	пијалак
beguda	пијалок
beguda	пиј
bicicleta	велосипед
duració	времетраење
duració	траење
consolidació	консолидација
consolidació	консолидирање
neolític	неолитски
determinació	одлучност
determinació	решителност
elevades	подигната
combinat	комбинација
combinat	комбиниран
combinat	здружени
combinat	комбинирано
combinat	комбинирана
facció	фракцијата
facció	фракција
sultanat	султанат
école	école
folre	поставата
carlota	шарлот
carlota	шарлота
estels	ѕвезди
khanat	ханат
negatius	негативности
esclavitud	ропство
àtom	атом
ortega	ортега
ramírez	рамирез
dinosaures	диносауруси
immediata	итно
esquadra	одред
levi	леви
dead	мртво
dead	мртов
dead	мртви
dead	мртва
homònim	истоимениот
brut	брут
lang	ленг
lang	ланг
clans	кланови
tubs	цевки
penes	јад
celebracions	прослави
accidents	несреќи
accidents	незгоди
lloyd	лојд
fix	поправени
fix	фиксна
fix	поправи
fix	фиксен
privilegi	привилегии
privilegi	привилегија
apòstols	апостоли
càlculs	пресметки
acompanyament	тефтер
acompanyament	рампа
acompanyament	придружба
descàrrega	симнување
descàrrega	преземи
realista	реална
realista	реални
realista	реален
ras	рас
angel	ангел
angel	angel
handbol	ракометна
handbol	ракометот
handbol	ракомет
mercedes	mercedes
mercedes	мерцедес
bizanci	византија
hondures	хондурас
malawi	малави
primari	примарна
primari	примарно
primari	примарен
mobilitat	мобилност
presidir	претседавачи
racó	агол
racó	ќоше
racó	ќош
troia	трој
troia	троја
ascendir	искачам
pintada	guineafowl
erupció	ерупција
gats	мачки
homer	хомер
costaneres	крајбрежни
costaneres	приморски
costaneres	крајбрежен
poderosa	моќен
poderosa	моќна
poderosa	моќно
poderosa	моќни
nissaga	лоза
sàhara	сахара
promotor	промотор
tabac	тутунски
tabac	тутун
metropolitan	митрополит
metropolitan	митрополитот
pics	куршуми
pics	врвови
fiable	веродостоен
fiable	сигурни
assassí	убиец
precipitacions	врнежи
eficiència	ефикасност
sencera	цела
sencera	целина
entesa	разбирање
stanford	стенфорд
info	инфо
info	информации
virgili	вирџил
classic	classic
classic	класик
classic	класичен
classic	класична
classic	класично
classic	класика
cràter	кратер
esquadró	ескадрила
suprema	врховната
suprema	врховниот
suprema	врховен
antologia	антологија
antologia	антологијата
franquícia	франшиза
declaracions	изјавите
mecànic	механичар
mecànic	механички
explorar	истражуваме
explorar	истражи
explorar	истражува
hereva	наследничка
wei	веи
diferencial	диференцијални
martell	мартел
baker	бејкер
turistes	туристи
calcària	варовник
revela	открива
limitacions	ограничувања
annals	летописи
consola	конзола
partició	поделба
postura	став
tribunals	судови
tribunals	судовите
cortés	кортес
descomposició	распаѓање
significativament	значително
conreus	посевите
conreus	посеви
respostes	одговори
respostes	одговори
respostes	одговорил
conservadors	конзервативците
conservadors	конзервативци
candidatures	номинациите
candidatures	номинации
candidatures	кандидатури
biol	biol
mariners	морнари
horari	распоред
annexió	присоединувањето
kurdistan	курдистан
devoció	преданост
devoció	посветеност
kent	кент
remei	лек
portals	портали
mixta	мешани
mixta	мешано
mixta	мешан
mixta	мешана
mixta	помешани
mosaic	мозаик
proa	лакот
proa	поклонување
proa	лак
auxiliars	помошните
desenes	десетици
atacant	напаѓаат
atacant	напаѓање
atacant	напаѓа
agnès	агнес
evans	еванс
infeccions	инфекции
explotar	експлодира
lliurement	слободно
olivier	оливие
genèric	генерички
genèric	општ
gendarmeria	жандармеријата
vocació	занимање
vocació	професија
successives	последователните
complement	приклучок
slam	слем
graham	греам
prosperitat	благосостојба
prosperitat	просперитет
tràcia	тракија
savi	мудар
savi	мудри
savi	мудро
savi	мудра
andes	андите
andes	анди
cantàbria	кантабрија
belgrad	белград
belgrad	белградски
ingredients	состојки
advocats	правници
advocats	адвокати
acadèmics	академици
mills	милс
fuga	фуга
fuga	бегство
fuga	избега
rom	ром
rom	рум
louise	луиз
hospitals	болници
hospitals	болниците
obligació	обврски
obligació	обврската
obligació	обврска
esteban	естебан
trastorn	растројство
trastorn	нереди
trastorn	пореметување
sara	sara
sara	сара
oslo	осло
prevenció	спречување
prevenció	превенција
mussolini	мусолини
bombarders	бомбардерите
bombarders	бомбаши
comparar	спореди
comparar	споредете
comparar	споредуваат
vespre	вечер
morales	моралес
jeff	jeff
jeff	џеф
descans	пауза
descans	скрши
descans	одмори
actuant	глумење
actuant	глумата
actuant	глума
bryan	брајан
tallada	врежан
radar	радар
radar	радарски
sopar	вечера
sopar	вечерата
contingent	контингентот
contingent	контингент
residencial	станбен
johan	јохан
lisa	лиза
lisa	лиса
plasma	плазма
ratolí	глушец
ratolí	глувче
folk	фолк
folk	народен
folk	народна
folk	народните
folk	народни
basilea	базел
corbes	криви
correcció	исправка
correcció	корекција
correcció	коректност
àvia	прабаба
àvia	баба
cooper	купер
internacionalment	меѓународно
internacionalment	интернационално
guillermo	гилермо
mostrat	прикажано
mostrat	покажана
mostrat	покажани
mostrat	прикажана
mostrat	прикажани
néta	внука
néta	внуката
folklore	фолклор
gant	гентски
seine	сена
raïm	грозје
solo	самостоен
solo	соло
solo	самостојна
hot	згодна
hot	жешка
hot	жешко
hot	жешки
hot	топла
administracions	администрации
conqueridor	освојувач
enciclopèdic	encyclopedic
herman	херман
werner	вернер
rituals	ритуали
discursos	говори
bust	биста
amfibis	водоземци
desenvolupats	развиени
desenvolupats	развиено
desenvolupats	развиен
desenvolupats	развиена
mikhaïl	михаил
caledònia	каледонија
detenció	апсење
detenció	притвор
entrevistes	интервјуа
audiovisual	аудиовизуелна
subespècie	подвид
sofre	сулфур
aïllada	изолирана
aïllada	изолирано
aïllada	изолирани
aïllada	изолиран
manhattan	менхетн
manhattan	менхетен
hopkins	хопкинс
haia	хашки
haia	хаг
melbourne	melbourne
melbourne	мелбурн
sociologia	социологија
estratègic	стратешко
estratègic	стратешка
estratègic	стратешки
estratègic	стратегиски
teva	твоја
teva	твое
teva	ваш
teva	твој
teva	твои
jerry	џери
namíbia	намибија
ramos	рамос
teòrica	теоретски
teòrica	теоретска
timbre	ѕвоно
timbre	бел
timbre	ѕвонче
acumulació	акумулација
magatzems	складишта
magatzems	магацини
mali	мали
mali	mali
weimar	вајмар
pous	бунари
pous	велс
taverna	таверна
taverna	крчма
taverna	таверната
true	вистинито
true	вистина
connecticut	драчево
connecticut	конектикат
impost	данок
aurora	аурора
terrat	кровот
terrat	кров
darwin	дарвин
institucional	институционална
institucional	институционални
institucional	институционално
institucional	институционален
lugo	луго
coets	проектили
coets	ракети
romàntic	романтична
romàntic	романтика
romàntic	романтичен
romàntic	романтично
precipitació	врнежи
executiva	извршно
executiva	извршен
executiva	извршна
matthew	матеј
matthew	метју
acb	ацб
preservar	зачувување
preservar	зачува
beatriu	беатрис
polígon	полигонот
polígon	полигон
corregir	точен
corregir	исправи
corregir	точна
traspàs	пренос
traspàs	трансфер
traspàs	преместување
traspàs	пренесување
traspàs	предавањето
compartit	сподели
pero	перо
desapareguda	исчезнати
desapareguda	исчезнато
desapareguda	исчезната
desapareguda	недостасува
desapareguda	фали
desapareguda	исчезнат
butlletí	билтен
butlletí	билтен
hercegovina	херцеговина
groenlàndia	гренланд
inca	инка
maquinari	хардвер
oceania	океанија
studio	studio
studio	студио
nadiu	мајчин
nadiu	родно
shadow	сенка
shadow	сенката
obtinguts	добиен
obtinguts	добиени
indo	indo
faccions	фракции
aixeca	лифтовите
aixeca	укина
zoologia	зоологија
efectius	трупи
efectius	војници
toro	торо
campanes	камбаните
campanes	ѕвончиња
campanes	ѕвона
extraordinària	вонредна
extraordinària	извонредно
extraordinària	извонреден
basar	чаршија
vuitè	осмиот
vuitè	осма
vuitè	осми
ron	рон
migració	миграција
migració	миграции
antropologia	антропологија
princeton	принстон
baptiste	батист
carro	количка
carro	количката
estatuts	статути
contínuament	континуирано
assignat	доделена
assignat	доделено
assignat	доделени
assignat	доделен
assignat	назначена
assignat	назначен
solana	солана
solana	сонце
precisa	прецизни
precisa	точна
precisa	прецизен
precisa	точен
precisa	прецизно
turner	тарнер
palaus	палати
mesopotàmia	месопотамија
pradesh	прадеш
tiges	произлегува
vestuari	гардероба
vestuari	костими
vestuari	костуми
renúncia	оставка
caigut	паднат
caigut	паднатиот
caigut	падната
caigut	паднати
disset	seventeen
disset	седумнаесет
controlada	контролирана
controlada	контролиран
controlada	контролирани
controlada	контролирано
circumferència	круг
epidèmia	епидемија
prehistòria	праисторијата
salvatges	дивјаци
naturalista	натуралист
moderat	умерени
moderat	умерен
moderat	умерена
moros	брдата
moros	мочуриштето
abolició	укинување
guillaume	гијом
meca	мека
visitant	посетител
visitant	посетители
dolç	слатко
dolç	слатка
larry	лери
larry	larry
larry	лари
patent	патент
twitter	twitter
twitter	твитер
wayne	вејн
wayne	wayne
cerimònies	церемонии
fictici	измислена
fictici	измислени
vocabulari	речник
vocabulari	речникот
vocabulari	вокабулар
pila	куп
pila	купче
pila	стек
pila	стак
dick	кур
dick	дик
edimburg	единбург
motocicletes	мотори
arsenal	арсенал
transformacions	трансформации
desapareix	исчезнува
acusació	обвинување
delictes	злодела
delictes	злочини
delictes	злосторства
afirmació	афирмација
ortiz	ортиз
avenç	пробив
cia	циа
cia	cia
cia	циа
pink	пинк
pink	розово
pink	розево
pink	розова
pink	розе
dave	дејв
ventre	утроба
ventre	матка
hannover	хановер
submarí	подморница
llibertats	слободи
servidors	сервери
excepcions	исклучоци
jamaica	јамајка
letó	латвиски
evolucionar	еволуира
generat	создадено
ken	ken
ken	кен
observador	набљудувач
tiberi	тибериј
fotogràfica	фотографски
fotogràfica	фотографска
fotogràfica	фотографирана
controlat	контролирана
controlat	контролиран
controlat	контролирани
controlat	контролирано
almeria	алмерија
quintana	кинтана
interaccions	интеракции
pesant	тешка
pesant	тежок
pesant	тешки
pesant	тешкото
atlanta	атланта
substitueix	замени
recomana	препорача
recomana	препорачувам
recomana	препорачуваме
recomana	препорачува
houston	хјустон
singapur	сингапур
deure	должност
deure	должноста
assíria	асирија
aprenent	чирак
aprenent	ученик
rubí	рубин
rubí	руби
northern	северен
northern	северна
sul	сул
fritz	фриц
marxista	марксистичка
edgar	едгар
fallida	банкрот
pietat	милост
phil	фил
andreas	андреас
joies	накит
joies	скапоцености
antecedents	подлога
antecedents	заднина
antecedents	позадина
ryan	рајан
versalles	версај
pica	пајк
pica	pica
qualificació	рејтинг
qualificació	рангирање
búlgar	бугарска
búlgar	бугарски
borrell	борел
deutsche	дојче
repúbliques	републики
susan	сузан
convidats	гости
bàrbara	барбара
infern	пеколот
infern	пекол
infern	пеколот
infern	пекол
revolucionaris	револуционери
lost	изгубено
lost	изгубени
lost	изгубена
lost	загуби
lost	изгубен
mini	мини
operar	оперира
operar	оперираат
consonants	consonants
filòsofs	филозофи
rosario	росарио
buits	празнини
salvat	зачуван
salvat	зачувани
salvat	зачувано
salvat	зачувана
salvat	спасен
salvat	спаси
permanents	траен
permanents	трајна
permanents	трајно
permanents	постојана
permanents	постојан
modest	скромен
modest	скромна
modest	скромни
segments	сегменти
nikolai	николај
nikolai	николај
marcos	маркос
gestionar	управување
gestionar	менаџирање
amplitud	амплитудна
inter	интер
especialitzats	специјализирана
especialitzats	специјализирани
geologia	геологија
avaluar	проценка
avaluar	процени
banca	клупа
llars	домаќинствата
llars	домаќинства
gall	петелот
gall	петел
desnivell	падина
aristocràcia	аристократија
piscina	билјард
piscina	базен
atles	атлас
imdb	imdb
allegro	алегро
clars	јасна
clars	јасно
clars	чисто
clars	јасен
clars	исчисти
acusats	обвинетите
acusats	обвинети
artesans	мајстори
artesans	занаетчии
suplent	алтернативен
suplent	алтернативна
participacions	акции
marató	маратон
ànimes	души
ànimes	душите
cec	слепо
cec	слеп
cec	слепа
cec	слепи
secretària	секретар
secretària	секретарка
feliç	среќни
feliç	среќна
feliç	среќен
exiliats	прогонети
distribuïts	дистрибуирани
distribuïts	распределени
localitzar	лоцирањето
localitzar	лоцираат
localitzar	лоцирање
localitzar	лоцира
marino	марино
madame	мадам
emigració	емиграција
multimèdia	мултимедијален
multimèdia	мултимедија
creades	создадено
creades	создадени
creades	креирано
creades	создадена
creades	создаден
fosfat	фосфатните
ipa	ипа
enclavament	енклава
enclavament	енклавата
ferrara	ферара
mag	магионичарот
mag	магионичар
mag	mag
act	чин
act	акт
autobusos	автобуси
ovelles	овца
ovelles	овци
confirma	потврди
mariner	морнар
matilde	матилде
matilde	матилда
gloria	глориа
gloria	глорија
logotip	лого
logotip	логото
infinit	бесконечен
infinit	бесконечно
infinit	бесконечна
infinit	бесконечни
infinit	бескрајно
infinit	бесконечност
infinit	бесконечноста
infinit	infinity
jason	џејсон
guerrer	воин
purament	чисто
comandants	командири
comandants	команданти
perfecta	совршена
perfecta	совршени
perfecta	совршен
perfecta	перфектно
perfecta	совршено
charlotte	шарлот
charlotte	шарлота
actualització	ажурирање
rectes	стрејт
rectes	исправен
rectes	право
cromosoma	хромозом
diccionaris	речници
coca	кока
coca	кокаин
coca	кока
inundacions	поплавување
inundacions	поплава
inundacions	поплави
sanz	сендс
salts	нуркање
salts	скока
salts	скокови
gregorio	грегорио
zur	zur
milícia	милиција
helen	хелен
helen	елена
sergent	наредник
sergent	водник
sergent	наредникот
narrador	раскажувачот
ambulància	амбуланта
peña	пења
excavació	ископувања
excavació	ископувањето
excavació	ископување
barons	барони
legions	легии
kosovo	косово
emès	издаден
emès	издадена
emès	издадени
emès	издадено
vaca	крава
econòmicament	економски
sebastián	себастијан
ciment	цемент
cadira	стол
cadira	столица
cadira	столче
transbordador	фери
làser	ласерски
làser	ласер
claudio	клаудио
apòstol	апостол
coloració	разгорување
progressiva	прогресивна
progressiva	напредна
progressiva	напредно
progressiva	прогресивно
quaderns	тетратки
libro	libro
evita	евита
adhesió	членството
adhesió	членство
fum	чад
fum	пуши
fum	дим
fum	димче
niu	гнездо
equivalents	еквиваленти
consolat	конзулат
neoclàssic	неокласичен
masters	мајстори
masters	господари
masters	мастерс
masters	господарите
wallace	волис
wallace	валас
wallace	волас
amos	амос
amos	мајстори
amos	господари
amos	мастерс
amos	господарите
pretendent	додворувач
peó	пион
comissionat	комесарот
comissionat	началник
comissionat	комесар
infraphylum	infraphylum
dotzena	twelfth
significatius	значајни
significatius	значителна
significatius	значајно
significatius	значајна
significatius	значителен
significatius	значаен
mon	мон
mon	mon
adquirida	стекнато
adquirida	стекна
erosió	ерозија
verona	верона
sabor	вкус
sabor	вкус
civilitzacions	цивилизациите
civilitzacions	цивилизации
hugh	хју
lara	лара
butaca	фотелја
simpson	симпсон
implementació	спроведување
implementació	имплементација
guido	гвидо
robinson	робинсон
cabells	влакна
cabells	коса
bemoll	рамен
bemoll	рамно
bemoll	дур
bemoll	рамни
bemoll	рамна
arturo	артуро
divuit	осумнаесет
bobby	боби
consonant	согласка
revelació	откровение
estrasburg	стразбур
inventar	измислуваат
inventar	измисли
raúl	раул
horda	орда
horda	хордата
ibáñez	ибањез
ajuntaments	општини
adolfo	адолфо
gneu	гнеј
budisme	будизмот
volant	летање
sostingut	остро
sostingut	шарп
sostingut	остра
sostingut	остар
sostingut	остри
sostingut	одржливи
sostingut	одржлив
bakr	бакр
oceans	океаните
oceans	океани
consorci	конзорциум
otan	нато
denominacions	назив
honda	хонда
pastures	пасишта
pastures	пасишта
empat	tie
empat	вратоврска
empat	нерешено
desena	десеттина
desena	десетти
aguda	акутни
aguda	акутен
compatible	компатибилни
compatible	компатибилен
pastors	овчари
telecomunicacions	телекомуникации
telecomunicacions	телекомуникациски
precursor	претходник
morris	морис
side	страната
side	страна
consentiment	согласност
consentiment	согласноста
pàdua	падова
paradís	рај
paradís	рајски
caserna	касарната
caserna	касарна
caserna	бараки
presentant	претставувајќи
múltiple	повеќекратни
múltiple	повеќекратна
múltiple	повеќекратен
laos	лаос
kara	кара
respectius	соодветните
llegendari	легендарен
llegendari	легендарната
llegendari	легендарни
fires	саеми
adaptada	адаптирани
cristall	кристална
cristall	кристал
cristall	кристален
duo	дуо
musa	муса
musa	муза
transparent	транспарентна
transparent	транспарентно
transparent	транспарентен
transparent	транспарентни
olimpíada	олимпијада
martiri	мачеништво
acusacions	обвинувања
auguste	огист
potassi	калиум
espiral	спирала
feminista	феминистичка
einstein	ајнштајн
bitllets	карти
bitllets	билети
companya	сопатник
companya	придружник
escolta	слушајте
escolta	слушај
warren	варен
warren	ворен
forçat	принуден
forçat	присилена
forçat	присилени
forçat	принудени
forçat	присилен
quars	кварц
quentin	квентин
garantia	гаранција
garantia	гаранции
garantia	гаранција
eficient	ефикасно
eficient	ефикасен
eficient	ефикасни
trilogia	трилогија
tonalitat	хуу
destacable	извонредна
destacable	извонредно
destacable	извонреден
electrodomèstics	апарати
electrodomèstics	помагала
consecutives	последователни
forjat	фалсификувана
forjat	фалсификувани
forjat	искован
forjat	фалсификува
forjat	фалсификување
palerm	палермо
mòduls	модули
publ	publ
sorprenent	изненадувачки
sorprenent	изненадувачка
arrebossat	тесто
formentera	форментера
combatents	борци
pedrera	каменолом
pedrera	каменоломот
nenes	девојчиња
nenes	девојки
xbox	иксбокс
gaudeix	уживајте
llenç	платно
operatius	оперативно
operatius	оперативен
operatius	оперативни
operatius	оперативна
atòmica	атомска
atòmica	атомски
exiliat	протераните
exiliat	одвоен
exiliat	протеран
compliment	согласност
compliment	усогласеност
vladimir	владимир
vladimir	vladimir
adolescent	тинејџер
adolescent	тинејџерски
adolescent	тинејџерка
mònaco	монако
estalvis	заштеди
estalvis	штедење
estalvis	заштеда
vie	vie
erik	ерик
firma	потпис
diversa	разновидна
balcans	балканот
balcans	балкан
conversa	разговор
conversa	конверзација
somnis	сонови
somnis	соништа
somnis	соништата
somnis	соновите
müller	милер
palmas	палмас
yusuf	јусуф
bari	бариум
bari	бари
estratègies	стратегии
heidelberg	хајделберг
concedida	одобрено
adaptacions	адаптации
homo	хомо
margarita	маргарита
minories	малцинства
minories	малцинствата
esprint	спринт
visigots	визиготите
conducció	вози
conducció	возење
conducció	возењето
xocolata	чоколадо
xocolata	чоколада
disposicions	одредби
disposicions	провизии
rèptils	рептили
acompanya	придружува
edita	измени
edita	уредување
edita	уреди
decoratius	декоративни
vacant	испразнети
quintet	квинтет
descripcions	описи
disminueix	намалува
bossa	вреќа
bossa	торба
bossa	ќесе
stark	старк
processador	процесор
nan	nan
württemberg	виртемберг
capitalisme	капитализам
delegats	делегати
delegats	делегатите
ambientals	еколошки
springs	спрингс
prešov	прешов
begudes	пијалаци
begudes	пијалоци
begudes	пијалаци
challenge	предизвик
cilindres	цилиндри
amants	вљубеници
amants	љубовници
amants	љубители
hàbit	навика
afer	аферата
afer	афера
derrotes	порази
argila	глина
argila	клеј
tunis	тунис
gremi	еснаф
oblidar	заборавајќи
dallas	далас
criminals	криминалците
criminals	криминалци
criminals	злосторници
immediat	итно
viatgers	патници
patinatge	лизгање
dennis	денис
reims	ремс
etimologia	етимологијата
rotterdam	ротердам
panteó	пантеон
bàltic	балтичките
ronald	роналд
fórmules	формули
fórmules	formulae
