pen	ปากกา
posta	จดหมาย
sfat	ทิป
faith	ศรัทธา
leben	leben
broasca	กบ
broasca	คางคก
broasca	กบ
diviziunea	ดิวิชั่น
wwf	wwf
lynn	ลิน
procuror	โจทก์
procuror	อัยการ
cache	แคช
temporala	ขมับ
aristide	aristide
intariri	สำรอง
barca	เรือ
barca	เรือ
spam	spam
spam	สแปม
bare	บาร์
bare	แท่ง
goala	เปลือย
goala	ว่างๆ
goala	ว่าง
goala	เปลือย
goala	ว่างๆ
goala	ว่าง
inele	วงแหวน
inele	แหวน
executare	ประหาร
goale	โล่ง
goale	ว่างๆ
goale	ว่าง
clopote	ระฆัง
clopote	กระดิ่ง
sexul	เพศ
sexul	เพศ
sexul	เซ็กซ์
sexul	sex
sic	ย่ำ
sic	เก๋ง
sic	เก๋
rezista	ขัดขืน
rezista	ต้านทาน
rezista	ขัดขืน
rezista	ต้านทาน
hiv	hiv
preturi	ราคา
preturi	ราคา
pitic	แคระ
virgula	จุลภาค
esztergom	esztergom
impozite	ภาษี
impozite	ภาษี
invitata	เชิญ
amprenta	พิมพ์
cancerul	มะเร็ง
telefonul	โทรศัพท์
pastor	หลวง
auriu	golden
auriu	โกลเด้น
auriu	ทองคำ
auriu	ทอง
auriu	โกลด์
auriu	ทองคำ
clinice	คลินิก
chang	ชาง
chang	ช้าง
chang	แชง
chang	ชง
limpede	เคลียร์
limpede	ล้าง
limpede	ชัดเจน
continente	ทวีป
opereta	operetta
senegal	เซเนกัล
barbus	barbus
umed	ชื้น
umed	เปียก
umed	เปียก
umed	wet
glory	รุ่งโรจน์
gras	อ้วน
gras	อ้วนๆ
favorit	ขวัญใจ
favorit	ชอบ
groenlanda	กรีนแลนด์
trata	ปฏิบัติ
trata	เลี้ยง
lou	ลู
wrocław	wrocław
wikitext	wikitext
urca	ไต่
urca	ปีน
nbc	nbc
scumpe	แพงๆ
scumpe	แพง
por	por
negustor	พ่อค้า
turku	turku
userbox	userbox
explorare	สำรวจ
cadea	ล้ม
cadea	หล่น
cadea	ตก
cadea	ร่วง
mafia	มาเฟีย
mafia	มาเฟีย
poemele	กลอน
foi	ผ้าปูที่นอน
supravietui	รอด
josh	จอช
sigla	logo
sigla	โลโก้
contestat	พิพาท
contestat	ท้า
pernambuco	pernambuco
ronaldo	ronaldo
onoruri	เกียรตินิยม
degetul	นิ้ว
cloud	เมฆ
ham	แฮม
intermediare	กลาง
branch	สาขา
reper	landmark
mental	จิต
elicopter	เฮลิคอปเตอร์
consolidare	consolidation
sachsen	sachsen
train	รถไฟ
göttingen	göttingen
concluzii	สรุป
lion	สิงโต
lion	ราชสีห์
fantoma	ผี
fantoma	phantom
fantoma	ผี
fantoma	phantom
excelsior	excelsior
augsburg	augsburg
viziuni	นิมิต
viziuni	นิมิตร
recomandata	แนะนำ
gps	gps
sarbii	serbs
recurs	อุทธรณ์
recurs	แย้ง
caritate	ทำบุญ
scheletul	โครง
bancare	ธนาคาร
fisierul	แฟ้ม
cuceri	เอาชนะ
cuceri	พิชิต
dominicana	โดมินิกัน
eve	อีฟ
eve	eve
ser	เซอร์
barbera	barbera
mersul	เดิน
montréal	montréal
omoara	สังหาร
omoara	ฆ่า
aranjament	แผนผัง
aranjament	layout
asocierea	สมาคม
suferinta	ทรมาน
suferinta	ทรมาน
valoroasa	คุณค่า
valoroasa	คุณค่า
aleksei	aleksey
palarie	หมวก
palarie	หมวก
cox	cox
durabile	ยั่งยืน
durabile	ทนทาน
ratat	คิดถึง
ratat	พลาด
ratat	แพ้
regulament	ระเบียบ
flamand	หิว
conac	แมนชั่น
conac	คฤหาสน์
conac	คฤหาสน์
caramizi	อิฐ
tuberculoza	วัณโรค
tuberculoza	วัณโรค
adolescent	teen
adolescent	ทีน
oficiu	สำนักงาน
oficiu	ออฟฟิศ
carniola	carniola
ierusalimul	เยรูซาเล็ม
perechea	คู่
faimoasa	ดัง
chirurgicala	ผ่าตัด
uraniu	ยูเรเนียม
reg	reg
nana	นานา
cbd	cbd
rotunda	กลม
rotunda	กลมๆ
rotunda	รอบ
oxigenul	ออกซิเจน
cainii	หมา
cainii	สุนัข
bal	รอม
curat	ล้าง
curat	สะอาด
curat	clean
israelieni	อิสราเอล
duel	ดวล
inamici	ศัตรู
reparat	ตายตัว
reparat	ซ่อมแซม
cicluri	วงจร
rostov	rostov
puntea	สะพาน
puntea	บริดจ์
diagnosticul	วินิจฉัย
playboy	เพลย์บอย
isidore	isidore
sapaturile	excavations
zgomot	เสียง
virtuale	เสมือน
ard	ไหม้
ard	burn
ard	เผา
dansator	dancer
voteaza	โหวต
fascia	fascia
cartofi	potato
cenusa	แอช
mas	mas
kilograme	กิโลกรัม
kilograme	กิโล
kilograme	ปอนด์
kilograme	ปอน
église	église
sperand	หวัง
arde	เบิร์น
arde	ไหม้
arde	burn
arde	เผา
atitudini	ทัศนคติ
ride	ขี่
intarziere	ล่าช้า
umeda	ชื้น
umeda	เปียก
umeda	เปียก
umeda	wet
ceo	ceo
miniere	เหมือง
spart	แฮ็ค
spart	แฮ็ก
spart	แตก
spart	แตกหัก
spart	พัง
spart	ชำรุด
spart	สลาย
spart	หัก
paie	ฟาง
paie	หลอด
scufundarea	จม
elle	แอล
pál	pál
alfabet	อักษร
göteborg	göteborg
liao	เหลียว
genunchi	เข่า
genunchi	เข่า
curba	โค้ง
curba	โค้ง
turbo	เทอร์โบ
albano	albano
phantom	phantom
alois	alois
amar	ขื่นขม
amar	ขม
amar	ขมขื่น
amar	amar
ploi	ฝักบัว
ploi	เรน
ploi	ฝน
pluto	พลูโต
duck	เป็ด
tao	เต๋า
tao	เต่า
tao	เทา
tao	tao
burke	burke
burke	เบิร์ก
specificat	ระบุ
temporal	ขมับ
henrik	henrik
stres	ความเครียด
stres	เครียด
hoc	hoc
honda	honda
honda	ฮอนด้า
inger	เทวดา
inger	นางฟ้า
inger	เทวดา
inger	นางฟ้า
beneficii	ประโยชน์
beneficii	ประโยชน์
palestinian	ปาเลสไตน์
rmn	mri
berthold	berthold
brain	สมอง
intentie	เจตนา
intentie	เจตนา
boom	ตูม
boom	บูม
balonul	บอลลูน
balonul	ลูกโป่ง
acoperi	ปก
acoperi	cover
acoperi	ปกปิด
scandalul	ฉาว
actualizare	อัพเดต
actualizare	อัปเดต
mere	แอ๊ปเปิ้ล
mere	แอปเปิล
mere	เปิ้ล
mere	แอปเปิล
mere	apple
atrag	ดึงดูด
contestata	พิพาท
confiscate	คร่า
influente	อิทธิพล
sarea	เค็ม
sarea	เกลือ
televizor	โทรทัศน์
televizor	ทีวี
animalul	สัตว์
parisul	paris
parisul	ปารีส
tadeusz	tadeusz
siemens	เมนส์
fluid	ของเหลว
cosmos	จักรวาล
mituri	ตำนาน
credite	เครดิต
salvati	บันทึก
salvati	ประหยัด
palate	พระราชวัง
marvel	marvel
circulare	วงกลม
geolog	ธรณีวิทยา
kun	คุง
chef	เชฟ
deutsch	deutsch
cascade	น้ำตก
sbs	sbs
gauri	รู
gauri	รู
slabit	อ่อนแอ
slabit	อ่อน
centro	centro
seth	เซ็ท
seth	เซธ
seth	เซท
seth	เซ็ธ
moses	โมเสส
belgiene	เบลเยียม
belgiene	เบลเยี่ยม
sarituri	กระโดด
cenzura	เซ็นเซอร์
cenzura	เซ็นเซอร์
pasiv	passive
mexicana	เม็กซิโก
mexicana	เม็กซิโก
sapat	ขุด
drew	ดรูว์
drew	ดรูว
tezaur	พจนานุกรม
tezaur	พ้อง
duo	duo
spa	ปาส
spa	ปา
spa	สปา
eriksson	eriksson
reabilitare	บำบัด
talentat	พรสวรรค์
formale	ทางการ
scump	แพงๆ
scump	แพง
favorite	ขวัญใจ
favorite	ชอบ
sen	เซน
sen	เสน
sen	เซ็น
electron	อิเล็กตรอน
citind	อ่าน
rhein	rhein
cuibul	nest
cuibul	รัง
samurai	ซามูไร
sapaturi	excavations
taxele	ภาษี
diplome	ปริญญา
diplome	องศา
diplome	ประกาศนียบัตร
senzatie	รู้สึก
senzatie	feeling
wonder	สงสัย
wonder	wonder
usb	usb
intervale	ช่วง
norfolk	นอร์ฟอล์ค
raporturile	อัตราส่วน
papala	สันตะปาปา
psv	psv
durabila	ยั่งยืน
durabila	ทนทาน
touch	touch
touch	แตะ
touch	ทัช
touch	สัมผัส
aleea	ซอย
aleea	ตรอก
battista	battista
definesc	กำหนด
definesc	นิยาม
pensionat	เกษียณ
xxii	xxii
seminar	สัมมนา
curbe	โค้ง
misterioasa	ลึกลับ
misterioasa	ลึกลับ
łódź	łódź
pisici	แมว
stephan	stephan
comoara	สมบัติ
comoara	สมบัติ
circuite	วงจร
pene	บางเบา
craciunul	คริสต์มาส
craciunul	คริสต์มาส
pregatiti	เตรียม
femele	สตรี
hotspur	hotspur
motors	มอเตอร์
naturali	natural
naturali	ธรรมชาติ
jude	จู๊ด
talente	พรสวรรค์
distribuita	แชร์
zori	รุ่งอรุณ
vital	สำคัญ
amestecat	ผสม
axe	ขวาน
lacrimi	น้ำตา
transparent	โปร่งแสง
transparent	โปร่งใส
transparent	โปร่ง
plat	แบน
plat	แฟลต
studiind	เรียน
elevul	ศิษย์
verbale	วาจา
burns	เบิร์น
parau	รีก
subdiviziune	subdivision
springer	springer
umiditate	ความชื้น
umiditate	ความชื้น
coeficientul	สัมประสิทธิ์
asiatic	เอเชีย
asiatic	บอล
extrage	คลาย
rainbow	สายรุ้ง
rainbow	เรนโบว์
rainbow	รุ้ง
iberia	iberia
mel	เมล
aprecia	ซาบซึ้ง
pomi	ต้นไม้
ciocan	ค้อน
rani	แผล
rani	บาดแผล
rani	แผล
rani	บาดแผล
planificata	วางแผน
much	มาก
much	มากมาย
dependent	ติด
terme	terme
contabilitate	บัญชี
medico	นิติ
medico	นิติกรรม
paranteze	วงเล็บ
colorata	สีสัน
asteptare	รอ
galia	กอล
acumulat	สะสม
umbre	เงามืด
umbre	เงา
gurile	ปาก
aviator	aviator
ciocolata	ช็อกโกแลต
ciocolata	ช็อกโกแลต
legendar	ตำนาน
replici	เส้น
replici	บรรทัด
urechile	หู
complot	พล็อต
complot	วางแผน
deutschland	deutschland
nepomuk	nepomuk
citire	อ่าน
citire	อ่าน
inflorire	ดอก
intermediara	กลาง
fabricius	fabricius
curios	สงสัย
conf	conf
tranzit	การขนส่งมวลชน
simfonic	symphonic
fantani	น้ำพุ
indrumare	แนวทาง
vermandois	vermandois
cuib	nest
cuib	รัง
rate	อัตรา
rate	เป็ด
aduna	รวบรวม
invita	ชวน
invita	เชิญ
invita	ชวน
invita	เชิญ
cina	ดินเนอร์
cina	ดินเนอร์
lumini	ไฟ
lumini	แสง
veterinara	สัตวแพทย์
dungi	ลาย
exilul	เนรเทศ
stanislav	stanislav
intarziat	ดึก
intarziat	ช้า
intarziat	สาย
intarziat	ล่าช้า
spielberg	spielberg
dezastrul	หายนะ
inteligenta	ฉลาด
inteligenta	ปัญญา
profet	ศาสดา
sufletele	วิญญาณ
sirian	ซีเรีย
amintire	memory
sims	sims
globe	globe
globe	ลูกโลก
escadrila	ฝูงบิน
escadrila	ฝูงบิน
micii	เล็ก
mascul	ตัวผู้
infractiuni	อาชญากรรม
infractiuni	อาชญากรรม
gemeni	ฝาแฝด
gemeni	แฝด
inzestrat	พรสวรรค์
ceres	ceres
seul	โซล
ugo	ugo
meteorologice	อุตุนิยมวิทยา
kunst	kunst
clopotele	ระฆัง
clopotele	กระดิ่ง
transfera	โอน
brunei	บรูไน
oxid	ออกไซด์
theobald	theobald
asculta	ฟัง
asculta	ฟัง
haos	วุ่นวาย
spirala	เกลียว
spirala	เกลียว
rana	แผล
rana	บาดแผล
rana	แผล
rana	บาดแผล
schelet	โครง
papale	สันตะปาปา
cearta	ทะเลาะ
cearta	เถียง
urechi	หู
balon	บอลลูน
balon	ลูกโป่ง
ash	แอช
unanimitate	เอกฉันท์
fulger	ฟ้าผ่า
fulger	สายฟ้า
memorialul	อนุสรณ์
arch	อาร์ช
amin	สาธุ
amin	อาเมน
amin	เมน
terasa	ระเบียง
terasa	ระเบียง
sida	เอดส์
sida	เอดส์
discursuri	สุนทรพจน์
conta	จำนวนนับ
conta	นับ
nuci	ถั่ว
frontiere	พรมแดน
palme	ฝ่ามือ
palme	ปาล์ม
amber	อำพัน
ramon	ramón
caraibe	แคริบเบียน
ulm	ulm
neutroni	นิวตรอน
bud	บัด
bud	แย้ม
vultur	อินทรี
vultur	อินทรีย์
oliveira	oliveira
zadar	zadar
membrul	member
membrul	สมาชิก
shi	ชิ
shi	ชี
cumparate	ซื้อ
rebeli	rebels
rebeli	กบฏ
schloss	schloss
concacaf	concacaf
campii	ราบ
random	มั่ว
random	สุ่ม
culese	สะสม
siècle	siècle
sylvia	sylvia
sylvia	ซิลเวีย
permise	อนุญาต
testare	สอบ
testare	ทดสอบ
testare	ทดสอบ
cage	กรง
pena	peña
seal	ผนึก
tin	tin
tin	ทิน
serafim	seraphim
farnese	farnese
isis	isis
protestat	ประท้วง
lemne	วูด
lemne	ไม้
joy	joy
joy	จอย
sacra	ศักดิ์สิทธิ์
sacra	ศักดิ์สิทธิ์
sunetele	เสียง
block	บล็อก
block	บล็อค
ateneul	atheneum
poker	โป๊กเกอร์
email	อีเมล
email	อีเมล์
foame	หิว
tsutomu	tsutomu
strange	บีบ
strange	เบียด
alocate	จัดสรร
gradele	เกรด
magneziu	แมกนีเซียม
nan	แนน
nan	น่าน
paragraf	ย่อหน้า
groasa	หนา
groasa	หนาๆ
arest	จับกุม
satelitul	ดาวเทียม
plans	ร้องไห้
sarata	เค็ม
sarata	เค็ม
vag	คลุมเครือ
superman	superman
departamentele	แผนก
autentic	authentic
vederi	โปสการ์ด
karate	คาราเต้
braziliana	บิ
braziliana	บิท
braziliana	บราซิล
braziliana	บิว
consoana	พยัญชนะ
sportivii	นักกีฬา
emden	emden
trasatura	คุณสมบัติ
trasatura	คุณลักษณะ
trasatura	ฟีเจอร์
dragonul	มังกร
dragonul	dragon
antal	antal
terapie	บำบัด
razboinic	นักรบ
razboinic	นักรบ
cima	cima
franche	franche
aix	aix
rebelii	rebels
rebelii	กบฏ
dulci	หวานๆ
dulci	หวาน
utilitate	อรรถประโยชน์
utilitate	สาธารณูปโภค
procentul	เปอร์เซนต์
procentul	เปอร์เซ็นต์
piramida	พีระมิด
piramida	พีรามิด
piramida	พีระมิด
piramida	พีรามิด
conservatori	อนุรักษนิยม
sarate	เค็ม
num	num
diamante	เพชร
vaticanului	วาติกัน
albine	ผึ้ง
python	ไพธอน
boc	boc
orbit	บังตา
simferopol	simferopol
keys	กุญแจ
liberali	เสรีนิยม
toyota	toyota
rame	กรอบ
rame	เฟรม
sanaa	sanaa
pornire	เริ่ม
pornire	เริ่ม
aosta	aosta
sons	sons
imobiliare	คฤหาสน์
imobiliare	อสังหาริมทรัพย์
tor	tor
subordinul	suborder
cronice	เรื้อรัง
prestigiul	บารมี
murat	murat
vrajitoare	แม่มด
vrajitoare	แม่มด
fixeaza	pin
experimentele	ทดลอง
galatasaray	galatasaray
münster	münster
anunt	ประกาศ
anunt	ประกาศ
regensburg	regensburg
industrii	อุตสาหกรรม
livada	สวน
livada	สวน
paianjen	แมงมุม
paianjen	แมงมุม
cailor	ม้า
sarma	ลวด
sarma	ลวด
comunismul	คอมมิวนิสต์
atinsa	สัมผัส
tigru	tiger
tigru	เสือ
tigru	เสือก
minerala	แร่
tver	tver
ritualul	พิธีกรรม
rezistent	ดื้อยา
rezistent	ทนทาน
aproba	อนุมัติ
aproba	อนุมัติ
valentine	วาเลนไทน์
liu	หลิว
lil	lil
lil	ลิล
demnitate	ศักดิ์ศรี
cumparare	ซื้อ
cumparare	ซื้อ
cumparare	ซื้อ
mandru	ภูมิใจ
mandru	proud
mandru	ภูมิใจ
mandru	proud
obstacole	อุปสรรค
obstacole	อุปสรรค
oaie	แกะ
fetelor	สาว
fetelor	สาวๆ
warrior	นักรบ
stabile	เสถียรภาพ
stabile	มั่นคง
campionul	แชมป์
eco	eco
deportivo	deportivo
ips	ips
schumann	schumann
lupus	ลูปัส
greva	strike
greva	strike
rapoartele	รายงาน
mecanismele	กลไก
wiesbaden	wiesbaden
calculatoarele	คอมพิวเตอร์
mehmet	mehmet
aeronautica	aeronautical
conceptele	แนวคิด
conceptele	concepts
tan	ตาล
nba	nba
argila	เคลย์
argila	ดิน
holly	ฮอล
argintiu	ซิลเวอร์
argintiu	เงิน
crown	crown
crown	มงกุฎ
companion	สหาย
rfc	rfc
egiptenii	อียิปต์
konya	konya
atomii	อะตอม
particula	อนุภาค
particula	อนุภาค
nicholson	nicholson
antonín	antonín
vanturile	ลม
hale	เฮล
yong	ยง
yong	หยง
simetrie	สมมาตร
judiciara	ตุลาการ
saul	โซล
saul	ซอล
bilet	ตั๋ว
bilet	ใบสั่ง
bilet	บัตร
calm	สงบ
ika	ika
csu	csu
reglementare	ระเบียบ
shop	ร้าน
cornul	แตร
mexicane	เม็กซิโก
vorbitor	ลำโพง
distribuie	แชร์
ich	ich
ucenic	ศิษย์
vulcanul	ภูเขาไฟ
salah	salah
furtuni	วายุ
furtuni	พายุ
oglinzi	กระจก
cagliari	cagliari
spion	สปาย
beirut	เบรุต
arse	ไหม้
arse	เผา
arse	ไหม้
deduce	อนุมาน
sesiuni	เซสชั่น
sesiuni	เซสชัน
cavalerul	ไนท์
cavalerul	อัศวิน
favorizeaza	บุญ
gwen	กวน
judecatori	กรรมการ
magia	เวทมนตร์
magia	มนตร์
furnizarea	ชีพ
vamale	ศุลกากร
paulus	paulus
città	città
rabdare	อดทน
rabdare	อดทน
prag	เกณฑ์
variatie	แปรผัน
réunion	réunion
fig	ฟิก
fig	ฟิค
donau	donau
licitatie	ประมูล
licitatie	นุ่ม
licitatie	ประมูล
rusine	ละอาย
rusine	เสียดาย
rusine	ละอาย
rusine	เสียดาย
rusine	ละอาย
rusine	อาย
aproximativa	ประมาณ
informeaza	แจ้ง
provocare	ท้าทาย
provocare	ท้า
mesto	mesto
myanmar	พม่า
hammer	ค้อน
magica	เวทมนตร์
magica	มนตร์
magica	ขลัง
magica	วิเศษ
terapia	บำบัด
draga	ถึง
draga	ที่รัก
draga	ที่รัก
draga	ถึง
draga	ที่รัก
paturi	ที่นอน
paturi	เตียง
paturi	ผ้าห่ม
tubul	ท่อ
tubul	หลอด
haller	haller
canon	canon
tech	เทค
tech	เทคโนโลยี
orbitala	เบ้าตา
mohammad	โมฮัมหมัด
leiden	leiden
adio	อำลา
adio	อำลา
adio	goodbye
adio	ลา
soundfile	soundfile
valurile	คลื่น
vocile	เสียง
iranian	อิหร่าน
mallorca	mallorca
amiaza	บ่าย
amiaza	เที่ยง
amiaza	บ่าย
amiaza	เที่ยง
avanseaza	advance
accept	ยอมรับ
rada	rada
norocul	โชค
det	det
sting	sting
sting	ต่อย
sans	sans
vasa	vasa
markus	markus
lichida	ของเหลว
lichida	เหลว
zeit	zeit
fierbere	เดือด
psihiatrie	จิตเวชศาสตร์
psihiatrie	เวชศาสตร์
psihiatrie	จิตเวช
fibra	ไฟเบอร์
fibra	ไฟเบอร์
fierul	เหล็ก
fierul	เตารีด
medicament	เวชศาสตร์
medicament	ยา
handicap	พิการ
agenda	กำหนดการ
agenda	วาระ
agenda	กำหนดการ
agenda	วาระ
ecou	ก้อง
ecou	ก้อง
ecou	echo
steaguri	ธงชาติ
steaguri	flags
steaguri	ธง
repararea	ซ่อม
repararea	ซ่อมแซม
hidrogenul	ไฮโดรเจน
manuala	คู่มือ
protestant	โปรเตสแตนต์
thorell	thorell
mireasa	bride
mireasa	bride
bishop	บิชอป
procurorul	โจทก์
