और	and
जनवरी	january
मध्य	central
मध्य	center
मध्य	median
राजा	raja
राजा	king
प्रथम	first
विश्वविद्यालय	universities
विश्वविद्यालय	university
जून	jun
जून	june
उसकी	his
उसकी	her
मार्च	mar
मार्च	march
बन	bun
बनी	bunny
अर्थ	meaning
अप्रैल	apr
अप्रैल	april
महत्वपूर्ण	important
महत्वपूर्ण	critical
महत्वपूर्ण	momentous
प्रामाणिक	authentic
आप	you
किए	coa
अक्टूबर	october
अक्टूबर	oct
समूह	congregation
समूह	group
समूह	groups
वर्तमान	current
वर्तमान	present
अध्ययन	studying
अध्ययन	study
अध्ययन	studies
विभाग	department
विभाग	division
विभाग	departments
आम	mango
आम	common
स्थिति	status
स्थिति	position
स्थिति	state
स्थिति	condition
स्थिति	situation
प्रभाव	impact
प्रभाव	effects
प्रभाव	influences
प्रभाव	effect
आदर्श	idealism
आदर्श	ideal
आदर्श	idol
साल	years
साल	year
पहली	first
संगीत	sangeet
संगीत	music
अमेरिकी	american
अमेरिकी	americans
सेवा	service
बनाने	creating
बनाने	making
बनाने	diggers
आज	today
स्थापित	established
स्थापित	installed
स्थापित	founded
स्थापित	establish
उच्च	high
उच्च	sublime
चाहिए	should
देता	gives
उपलब्ध	available
काफी	enough
काफी	plenty
बड़ी	large
बड़ी	big
चार	four
शक	doubt
शक	saka
श्री	shree
श्री	sri
उदाहरण	instance
उदाहरण	instances
उदाहरण	example
उदाहरण	illustration
उदाहरण	examples
उसका	his
उसका	her
ले	take
उत्तरा	uttara
जिससे	which
स्थापना	installation
स्थापना	installations
स्थापना	install
स्थापना	establishment
कंपनी	company
अधिकांश	most
अधिकांश	mostly
सामाजिक	social
प्रत्येक	every
प्रत्येक	each
बड़ा	large
बड़ा	big
बड़ा	great
स्तर	levels
स्तर	level
बनाया	made
बनाया	created
जारी	continued
जारी	issued
जबकि	while
चित्र	picture
चित्र	pictures
चित्र	image
चित्र	images
इससे	from
इससे	invents
प्रणाली	system
सरकारी	official
सरकारी	government
जहां	where
देशों	countries
जल	water
सूची	list
सूची	lists
रखा	kept
विचार	idea
विचार	ideas
विचार	thought
विचार	consideration
विचार	thoughts
छोटे	small
छोटे	little
ऊपर	top
ऊपर	above
आधारित	based
पानी	water
सामान्य	general
सामान्य	common
सामान्य	normal
आगे	forward
आगे	forwards
कुल	totals
कुल	aggregate
कुल	total
एक्स्प्रेस	express
पुलिस	police
वर्ग	category
वर्ग	square
वर्ग	classes
वर्ग	class
शरीर	body
अंग्रेजी	english
माध्यम	medium
मानव	human
पाकिस्तान	pakistan
भूमिका	introduction
भूमिका	role
हर	har
हर	every
हर	hur
अतिरिक्त	extras
अतिरिक्त	spare
अतिरिक्त	additional
अतिरिक्त	extra
पिता	father
समाज	society
उत्पन्न	generated
नीचे	down
नीचे	below
नीचे	bottom
दुनिया	world
आधुनिक	modern
ध्यान	meditation
ध्यान	attention
हिंदी	hindi
दे	give
सभा	congregation
सभा	assembly
सभा	gathering
सभा	sabha
परिवार	family
विषय	topic
विषय	topics
विषय	subjects
विषय	subject
अधिकार	rights
रंग	color
रंग	colours
रंग	colors
रंग	colour
बाहर	quit
बाहर	outdoor
बाहर	outside
बाहर	out
खेल	play
खेल	sports
खेल	game
खेल	games
खेल	sport
क्षेत्रों	areas
जहाँ	where
समान	homogeneous
समान	same
समान	similar
सितंबर	september
दूर	far
दूर	away
दूर	distant
पता	addresses
पता	address
शक्ति	strength
शक्ति	power
शक्ति	shakti
ब्रिटिश	british
कला	arts
कला	art
देते	mentalities
घर	home
घर	house
संस्कृत	sanskrit
प्रकाशित	publish
प्रकाशित	published
मई	may
प्रक्रिया	process
प्रक्रिया	processes
प्रक्रिया	procedure
सेना	armies
सेना	sena
सेना	army
पार्टी	party
पार्टी	partying
हम	hum
रेलवे	railway
रेलवे	railways
पश्चिम	west
अंत	end
दशक	decade
पूरी	whole
बिना	without
क्या	what
अगस्त	august
अगस्त	aug
विकसित	developed
विकसित	evolved
संबंध	relationships
संबंध	relationship
संबंध	relations
संबंध	bonding
संबंध	relation
प्रदर्शन	performance
प्रदर्शन	performances
प्रदर्शन	display
प्रदर्शन	exposure
ऐसी	such
मार्ग	route
मार्ग	way
पर्यटन	tourism
ज्ञान	knowledge
लगा	felt
लगा	seemed
दिसम्बर	december
दिसम्बर	dec
प्रदर्शित	featured
प्रदर्शित	displayed
प्रदर्शित	display
अक्सर	frequently
अक्सर	often
सहायता	help
सहायता	support
सहायता	aid
सहायता	assistance
पहला	first
मृत्यु	death
मृत्यु	mortality
स्वयं	self
स्वयं	own
विकिपीडिया	wiki
विकिपीडिया	wikipedia
तैयार	ready
आवश्यक	required
आवश्यक	urgent
देखा	looked
देखा	watched
देखा	seen
देखा	saw
उत्पादन	production
रोग	disease
संबंधित	respective
संबंधित	related
शताब्दी	century
चीन	china
अभी	now
संघ	union
संघ	unions
संघ	federation
संघ	association
यात्रा	travel
यात्रा	journey
यात्रा	trip
मात्रा	amount
मात्रा	quantity
रचना	creation
रचना	composition
जगह	spacing
जगह	place
जगह	space
भिन्न	discrete
भिन्न	different
भिन्न	fraction
लोक	loka
लोक	public
लोक	folk
सब	sab
सब	all
पूरा	completed
पूरा	full
पूरा	whole
पूरा	complete
आवश्यकता	requirement
आवश्यकता	require
प्रकाश	light
प्रकाश	prakash
प्रकाश	lights
नई	new
चिकित्सा	medical
चिकित्सा	therapy
दूसरी	second
कार्यक्रम	programs
कार्यक्रम	events
कार्यक्रम	program
कार्यक्रम	event
कार्यक्रम	programme
पुराने	old
पुराने	older
सदी	century
भगवान	god
भगवान	lord
लिखा	written
लिखा	wrote
संस्थान	institute
संस्थान	institutes
संस्कृति	culture
अंग्रेज़ी	english
पूर्ण	perfect
पूर्ण	full
पूर्ण	complete
पूर्ण	completed
परिवर्तन	conversion
परिवर्तन	transition
परिवर्तन	changes
परिवर्तन	transformation
परिवर्तन	change
टीम	teams
टीम	team
चर्चा	discussion
संगठन	organization
संगठन	organisation
संगठन	organizations
अगर	agar
शैली	style
शैली	shelly
तुलना	comparison
स्कूल	schools
स्कूल	school
पुस्तक	book
लेखक	writer
लेखक	authors
लेखक	writers
लेखक	author
संस्करण	edition
संस्करण	versions
संस्करण	version
संस्करण	editions
खिलाड़ी	players
खिलाड़ी	athlete
खिलाड़ी	player
ट्रेन	train
ट्रेन	trains
प्रचलित	prevalent
प्रचलित	prevailing
आकार	shapes
आकार	shape
आकार	sizes
आकार	size
उत्तरी	northern
सीमा	limit
सीमा	sima
सीमा	border
सीमा	range
सीमा	limits
पश्चिमी	western
व्यवस्था	arrangement
आर्थिक	economic
राजधानी	capitals
राजधानी	capital
दर्शन	darshan
दर्शन	philosophy
दर्शन	vision
वहाँ	there
विधि	methods
विधि	law
विधि	method
विधि	mode
अवधि	duration
अवधि	period
अवधि	periods
दृष्टि	visual
दृष्टि	vision
सिद्धांत	theory
सिद्धांत	siddhanta
सिद्धांत	principles
सिद्धांत	tenet
सिद्धांत	dogma
कलाकार	artists
कलाकार	artist
बैंक	banks
बैंक	bank
ज्यादा	more
अंतिम	last
अंतिम	final
विशिष्ट	specific
विशिष्ट	distinguished
हिन्दू	hindu
लाल	reds
लाल	red
रहने	staying
पूर्वी	east
पूर्वी	eastern
समर्थन	support
समर्थन	endorsements
समर्थन	endorsement
व्यापार	trading
व्यापार	business
व्यापार	trade
प्रयास	attempts
प्रयास	effort
महिला	woman
महिला	lady
महिला	female
परियोजना	project
जीवित	alive
जीवित	survive
नामांकन	enrollment
नामांकन	nomination
नामांकन	designation
अभिनेता	actors
अभिनेता	actor
क्षमता	capacity
क्षमता	ability
क्षमता	capabilities
क्षमता	capability
क्षमता	potential
पाया	found
स्पष्ट	obvious
वो	she
पृथ्वी	earth
गति	motion
गति	velocity
गति	speed
गति	seeding
गति	movement
परिणाम	result
परिणाम	results
राजस्थान	rajasthan
लेने	taking
होगा	will
भर	filled
पुत्र	son
सहित	including
शासन	reign
शासन	rule
शासन	governance
शासन	regime
नियंत्रण	control
नियंत्रण	controls
प्रभावित	affected
प्रभावित	impressed
प्रभावित	impress
छत्तीसगढ़	chhattisgarh
वर्णन	description
क्रिकेट	cricket
योजना	scheme
योजना	plan
आरम्भ	beginning
एशिया	asia
सन	sun
राजनीतिक	political
प्राकृतिक	natural
स्थानीय	local
स्थानीय	locals
कहानी	story
कहानी	narrative
वृद्धि	escalation
वृद्धि	rise
वृद्धि	increase
वृद्धि	lift
वृद्धि	growth
वृद्धि	increment
सुरक्षा	security
सुरक्षा	protection
सुरक्षा	safety
लोकप्रिय	popular
कवि	poet
हिस्सा	part
पद	position
पद	term
पद	rank
हाथ	hands
हाथ	hand
जनता	public
विस्तार	expansion
विस्तार	extensions
विस्तार	extension
विस्तार	expand
पूरे	whole
युग	yuga
द्वितीय	second
चुनाव	elections
चुनाव	election
चुनाव	choice
व्यक्तिगत	personal
व्यक्तिगत	individual
व्यक्तिगत	individualism
मेल	mail
दूसरा	second
आता	comes
प्रवेश	admission
प्रवेश	entrance
प्रवेश	entering
यूरोप	europe
शुरुआत	beginning
दूरी	distance
दूरी	spacing
निर्मित	built
निर्मित	created
सामग्री	content
सामग्री	material
सामग्री	contents
सामग्री	materials
ऊर्जा	energy
घटनाएँ	events
ली	lee
वैज्ञानिक	scientist
वैज्ञानिक	scientific
वैज्ञानिक	scientists
कुमार	kumar
उद्देश्य	objectives
उद्देश्य	purposes
उद्देश्य	aim
उद्देश्य	purpose
उद्देश्य	objective
प्रस्तुत	presented
प्रान्त	province
ऐतिहासिक	historic
ऐतिहासिक	historical
सर्वश्रेष्ठ	best
धार्मिक	religious
द्वीप	island
केंद्र	center
केंद्र	centre
जनसंख्या	population
यही	precedent
दर	rate
सामने	front
ठीक	okay
ठीक	fine
रेल	railways
रेल	railway
रेल	rail
रेल	trains
दिए	given
पदार्थ	matter
पदार्थ	material
पदार्थ	substance
पदार्थ	materials
तथ्य	facts
तथ्य	fact
लाभ	benefits
लाभ	advantage
लाभ	profit
लाभ	benefit
लाभ	advantages
लाभ	gain
साम्राज्य	empire
साम्राज्य	monarchy
सदस्यों	members
देवी	goddess
देवी	devi
भूमि	land
व्यापक	comprehensive
व्यापक	elaborate
व्यापक	wide
व्यापक	broad
किमी	kms
किमी	mph
प्रबंधन	manage
प्रबंधन	management
परीक्षण	test
परीक्षण	tests
परीक्षण	testing
अनुसंधान	research
आन्ध्र	andhra
गीत	songs
गीत	lyrics
गीत	song
गणना	count
गणना	calculation
गणना	calculated
गणना	calculate
गणना	computation
निम्न	low
खोज	searches
खोज	search
खोज	exploration
खोज	discover
खोज	discovery
सांस्कृतिक	cultural
जाति	genres
जाति	race
जाति	caste
व्यवहार	behaviour
व्यवहार	behaviors
व्यवहार	behave
व्यवहार	behavior
योगदान	contribute
योगदान	contribution
योगदान	contributions
प्रतिशत	percentage
प्रतिशत	percent
इनकी	their
सही	perfect
सही	right
सही	true
सही	correct
पुरुष	men
पुरुष	male
पुरुष	man
मिल	mill
जनगणना	census
संबंधी	relative
अंतर्गत	under
उद्योग	industries
उद्योग	industry
छोटी	small
छोटी	little
छोटी	short
मदद	help
दिशा	direction
दिशा	orientation
सूचना	info
सूचना	notification
सूचना	notice
सूचना	information
कमी	lack
पत्र	letter
राम	ram
राम	rama
नवम्बर	november
नवम्बर	nov
माता	mata
पीछे	back
पीछे	behind
पीछे	rear
राष्ट्रपति	president
दल	parties
दल	cohorts
दल	crew
दल	party
दल	cohort
मीटर	mts
मीटर	meter
मीटर	meters
मीटर	metres
क्रिया	action
क्रिया	verb
क्रिया	actions
क्रिया	activity
गूगल	google
गूगल	google+
कॉलेज	colleges
कॉलेज	college
विवाह	weddings
विवाह	marriages
विवाह	marriage
विवाह	wedding
मैच	match
बनाए	created
सुधार	improvements
सुधार	correction
सुधार	reform
सुधार	improvement
समाप्त	finish
समाप्त	end
समाप्त	completed
समाप्त	expires
समाप्त	finished
समाप्त	expired
करें	toc
दिनों	days
बच्चों	kids
प्रौद्योगिकी	technology
महत्व	importance
रह	staying
नियम	rules
नियम	rule
जन्मे	born
शब्दों	words
चीनी	chinese
स्वास्थ्य	health
सहायक	assistant
सहायक	helpful
सहायक	helper
घोषणा	announcement
घोषणा	declaration
प्रयुक्त	used
प्रयुक्त	praetor
उल्लेख	mention
उल्लेख	mentions
उपयुक्त	aligned
उपयुक्त	appropriate
उपयुक्त	suitable
बंद	close
बंद	off
बंद	closed
किलोमीटर	kilometres
किलोमीटर	kilometre
किलोमीटर	kilometers
जिसने	who
इंग्लैंड	england
इंग्लैंड	eng
धीरे	gradually
धीरे	slowly
सार्वजनिक	public
लाख	lakh
लाख	million
लाख	lacs
लाख	lac
खिलाफ	against
सफल	successful
सफल	prosper
सफल	succeed
सफल	prolific
सफल	success
जाए	jaye
पहचान	identification
पहचान	identities
पहचान	identity
राष्ट्र	nations
राष्ट्र	nation
देना	dena
संग्रह	collections
संग्रह	archive
संग्रह	collection
भीतर	inside
भीतर	within
मौजूद	exist
मौजूद	present
रक्त	blood
कांग्रेस	congress
सम्मान	respect
सम्मान	honor
नृत्य	dance
सामूहिक	collective
स्रोत	source
स्रोत	sources
लगे	lage
एकल	single
संकेत	prompt
संकेत	hint
संकेत	signal
संकेत	symbol
संकेत	hints
मानक	standard
बताया	told
स्वतंत्रता	freedom
स्वतंत्रता	liberty
स्वतंत्रता	independence
यौगिक	compound
किन्तु	snatches
विकि	wiki
विद्यालय	schools
विद्यालय	school
अंतर्राष्ट्रीय	international
विशाल	huge
विशाल	enormous
विशाल	grandiose
विशाल	large
विशाल	massive
विशाल	vast
गैर	non
बंगाल	bengal
कानून	law
कानून	laws
जैन	jain
महान	great
बल	force
भाई	bro
भाई	bhai
भाई	brother
तहत	under
उपचार	remedy
उपचार	treatment
उपचार	treatments
केन्द्र	center
केन्द्र	centre
अवस्था	state
लागू	applied
लागू	apply
लागू	applicable
निजी	personal
निजी	private
निर्णय	judgement
निर्णय	judgment
निर्णय	decision
निर्णय	decisions
जॉन	john
मिला	found
मिला	got
मिला	mila
घंटे	hours
घंटे	hrs
वंश	dynasty
प्रारंभिक	initial
प्रारंभिक	preliminary
मुक्त	free
बल्कि	aye
परन्तु	but
मनुष्य	human
मनुष्य	man
उपकरण	tool
उपकरण	devices
उपकरण	equipment
उपकरण	appliances
उपकरण	device
उपकरण	tools
विक्रम	vikram
उपन्यास	novel
नेपाल	nepal
ऑफिस	office
बदलाव	change
अनुमति	permissions
अनुमति	allowed
अनुमति	permission
नीति	policy
हवाई	hawaiian
हवाई	hawaii
गांव	village
वापस	back
यूरोपीय	europe
यूरोपीय	european
पटना	patna
साधारण	simple
साधारण	trivial
साधारण	mediocre
साधारण	general
देखने	viewing
पंजाब	punjab
दक्षिणी	southern
दक्षिणी	south
बैंड	band
नया	new
पर्वत	mountain
सूर्य	sun
अनुवाद	translation
अनुवाद	translate
अनुवाद	translations
समुदाय	communities
समुदाय	community
मान	values
मान	value
स्वतंत्र	independent
टीवी	television
हाल	recent
चला	run
कथा	narrative
पक्ष	favour
पक्ष	side
दृश्य	views
दृश्य	scene
दृश्य	visible
दृश्य	view
भोजन	cuisine
भोजन	food
भोजन	foods
भोजन	supper
भोजन	meal
शिव	shiv
शिव	shiva
मॉडल	models
मॉडल	model
मुंबई	mumbai
प्रकाशन	publishing
प्रकाशन	publication
प्रांत	province
मिलियन	milan
मिलियन	million
मिलियन	millions
पांच	five
संचालित	operated
संचालित	powered
उससे	him
वहां	there
विधानसभा	assembly
मन	mind
मन	mann
ऑस्ट्रेलिया	australia
उम्र	age
सागर	sagar
सागर	sea
सक्रिय	enabled
सक्रिय	adjective
सक्रिय	active
आया	aya
आया	came
निश्चित	certain
निश्चित	sure
अभिनेत्री	actress
छोड़	skip
कृपया	please
जर्मनी	german
जर्मनी	germany
हासिल	achieved
लंदन	london
जापान	japan
वस्तु	item
वस्तु	material
वस्तु	object
वस्तु	objects
सम्मानित	honored
स्वरूप	format
जीत	win
जीत	jeet
जीत	wins
अध्यक्ष	president
अध्यक्ष	speaker
अध्यक्ष	chairman
राज्यों	states
मामले	cases
विजेता	winner
विजेता	winners
बाजार	bazaar
बाजार	markets
बाजार	market
लीग	league
लीग	leagues
मिलती	socializing
कविता	poem
कविता	poetry
तरफ	side
दिसंबर	december
दिसंबर	dec
खान	khan
ग्रंथ	granth
वास्तविक	real
वास्तविक	genuine
इलाहाबाद	allahabad
चैनल	channels
चैनल	chanel
चैनल	channel
उत्पाद	product
उत्पाद	products
राज	raj
सात	seven
सात	vii
आरंभ	start
आरंभ	startup
योग्य	qualified
योग्य	eligible
समुद्र	seas
समुद्र	sea
प्रारंभ	started
प्रारंभ	start
प्रारंभ	startup
प्रारंभ	starter
समाचार	news
समस्या	problem
समस्या	issue
वीडियो	video
वीडियो	videos
नही	not
वन	forest
मत	votes
संभव	possible
नेटवर्क	network
नेटवर्क	networks
बौद्ध	buddhist
घटना	incident
घटना	event
घटना	phenomenon
प्रकृति	nauru
प्रकृति	natures
प्रकृति	nature
मूल्य	price
मूल्य	value
रोचक	interesting
क्लब	club
क्लब	clubs
समिति	committee
सर्वाधिक	most
अरब	arabia
अरब	arab
अरब	billion
राजनीति	politics
चरण	step
चरण	stages
चरण	steps
चरण	stage
नाटक	drama
विरोध	protests
विरोध	protest
विरोध	contrast
विरोध	opposition
विरोध	conflicts
विरोध	conflict
ज्ञात	known
नेतृत्व	leadership
अंतर	difference
अंतर	gap
अनुभव	experiences
अनुभव	experience
संरचना	structure
संरचना	texture
संरचना	composition
निर्धारित	determined
कैलेंडर	calendar
सीमित	restrict
सीमित	limited
सीमित	narrow
पत्रिका	magazine
पत्रिका	journal
तेल	oil
काव्य	poetic
काव्य	poetry
छोटा	small
छोटा	little
छोटा	short
छोटा	tiny
संपादन	edit
संपादन	edits
संपादन	editing
संपादन	editors
औसत	average
औसत	mediocre
अफ्रीका	africa
विश्वास	trust
विश्वास	faith
विश्वास	confidence
विश्वास	believe
विश्वास	belief
रक्षा	protect
रक्षा	defense
रक्षा	defence
जर्मन	german
विपरीत	reverse
विपरीत	opposite
खुद	own
निर्माता	producers
निर्माता	manufacturer
निर्माता	producer
निर्माता	creator
प्रतियोगिता	competition
प्रतियोगिता	contest
विद्युत	electricity
विद्युत	electrical
विद्युत	electric
वायु	wind
वायु	air
निर्भर	dependent
निर्भर	depend
निर्भर	contingent
आसपास	nearby
अधिनियम	act
लिखे	write
रूस	russia
विजय	vijay
बस	bus
बस	simply
बस	just
गुरु	guru
महाराष्ट्र	maharashtra
महिलाओं	ladies
महिलाओं	females
महिलाओं	women
हमारे	our
फ्रांस	france
धारा	current
धारा	section
धारा	stream
प्रेम	prem
प्रेम	love
इंजन	engine
इंजन	engines
आंदोलन	agitation
आंदोलन	movement
अंतरराष्ट्रीय	international
कृष्णा	krishna
अभिनय	acting
सफलता	success
विधान	legislative
विधान	legislation
रासायनिक	chemical
कृष्ण	krishna
चलता	walks
डॉलर	dollars
डॉलर	dollar
बच्चे	kids
बच्चे	child
मन्दिर	temple
पर्याप्त	enough
पर्याप्त	adequate
मसीह	christ
पूजा	puja
पूजा	worship
भारी	heavy
पत्नी	wife
मान्यता	belief
मान्यता	validity
मान्यता	recognition
इंडिया	india
कप	cup
कपूर	kapur
कपूर	kapoor
अत्यंत	enormous
अत्यंत	extremely
तरीके	ways
उचित	fair
उचित	appropriate
उचित	reasonable
सड़क	street
सड़क	road
रात	night
विदेशी	overseas
विदेशी	foreign
कोशिश	try
सूत्र	formula
सूत्र	sutra
जीव	creatures
जीव	organism
डिग्री	degrees
डिग्री	degree
जिनके	whose
बाल	hair
बाल	bal
झील	lake
मामलों	cases
यद्यपि	though
ना	naa
स्वामी	owner
स्वामी	swami
स्वामी	owners
सिर्फ	only
सिर्फ	just
कश्मीर	kashmir
सुविधा	feature
सुविधा	utility
पिछले	previous
आयु	ayu
आयु	longevity
आयु	age
आयु	ages
प्रचार	promotions
प्रचार	promotion
प्रचार	promote
प्रचार	propaganda
प्रशिक्षण	training
फ़रवरी	february
फ़रवरी	feb
उल्लेखनीय	remarkable
रेडियो	radio
डिजाइन	designs
डिजाइन	design
कंप्यूटर	computer
कंप्यूटर	computers
मंत्री	minister
मंत्री	ministers
सम्बन्ध	relation
सम्बन्ध	relations
आबादी	populated
आबादी	population
तत्व	elements
तत्व	element
दस	ten
आगरा	agra
भौतिक	physical
जिन	jin
जिन	gin
आपको	you
सहयोग	collaborations
सहयोग	collaboration
सहयोग	cooperation
गैस	gas
वी	wii
राय	opinion
राय	rai
राय	opinions
राय	roy
कनाडा	canada
व्यक्तियों	persons
विश्लेषण	breakdown
विश्लेषण	breakdowns
विश्लेषण	analysis
विश्लेषण	analytics
विश्लेषण	analysts
लक्ष्य	targets
लक्ष्य	goal
लक्ष्य	target
लक्ष्य	goals
शासक	ruler
न्यायालय	court
तमिल	tamil
अधिकतर	mostly
मीडिया	media
जूलियन	julian
पार्क	park
पार्क	parks
तट	harbor
अधिकारी	official
अधिकारी	officer
अधिकारी	officers
मिट्टी	clay
मिट्टी	mud
तंत्र	system
सितम्बर	september
सितम्बर	sep
सप्ताह	week
सप्ताह	weeks
निकट	imminent
निकट	near
क्रम	order
क्रम	sequence
बनने	becoming
भवन	building
भवन	buildings
मिली	found
मिली	got
ग्राम	grams
ग्राम	gram
शायद	maybe
शायद	perhaps
शायद	probably
देख	see
लिंक	link
लिंक	links
पाँच	five
निर्देशक	director
लक्षण	symptoms
लक्षण	symptom
लक्षण	signs
संपर्क	contact
संपर्क	contacts
वित्तीय	financial
गंगा	ganga
गंगा	ganges
महीने	months
महीने	month
शर्मा	sharma
सुरक्षित	protected
सुरक्षित	safe
सुरक्षित	reserved
सुरक्षित	secure
पर्यावरण	environment
लगातार	continuous
लगातार	continuously
लगातार	consecutive
पद्म	padma
अत्यधिक	extremely
अत्यधिक	highly
भूगोल	geometry
भूगोल	globe
भूगोल	geography
बेहतर	better
मुख्यालय	headquarters
मुख्यालय	headquarter
लिपि	alphabet
लिपि	script
एल्बम	album
एल्बम	albums
धन	money
सॉफ्टवेयर	software
योग	sum
योग	yoga
योग	totals
गुजरात	gujarat
शीर्ष	top
संस्था	institution
औद्योगिक	industrial
प्रधान	prime
प्रधान	chief
नेता	leader
नेता	leaders
संविधान	constitution
अनुमान	estimate
शीर्षक	headline
शीर्षक	titles
शीर्षक	header
शीर्षक	title
अवसर	occasion
अवसर	chance
अवसर	opportunity
अवसर	opportunities
अंक	digits
अंक	score
अंक	points
अंक	scores
प्रसाद	prasad
शोध	research
स्पेन	spain
गांधी	gandhi
हमेशा	always
जोखिम	risk
जोखिम	hazard
तापमान	temperature
तापमान	thermometer
