poprawnie	正しく
herbie	ハービー
bergen	ベルゲン
ciemne	ダーク
ciemne	暗い
lokalnie	ローカル
lokalnie	地元
wymagane	必須
metry	メートル
metry	メートル
metry	メーター
bit	ビット
bomba	爆弾
tunelu	トンネル
ekspertów	エキスパート
sparta	スパルタ
misjonarz	宣教師
dorosłe	大人
ściana	ウォール
newton	ニュートン
pzl	pzl
pliki	ファイル
personelu	人材
personelu	職員
personelu	スタッフ
con	con
kandydaturę	立候補
wiązanie	バインディング
wiązanie	拘束
wiązanie	結合
wiązanie	ボンド
liverpool	リヴァプール
liverpool	リバプール
emanuel	エマニュエル
dublin	ダブリン
przeglądu	レビュー
przeglądu	審査
andre	アンドレ
andre	アンドレ
niebie	天国
niebie	sky
niebie	スカイ
nocny	ナイト
umysłu	mind
umysłu	マインド
josh	ジョシュ
gwatemali	グアテマラ
gwatemali	グアテマラ
zastrzeżenia	予約
sądy	司法
sądy	裁判所
jasności	輝度
sobota	土曜日
zajęte	忙しい
zajęte	ビジー
zajęte	占領
chirurgii	手術
uczucia	気持ち
uczucia	感情
elektronów	電子
nintendo	任天堂
armstrong	アームストロング
cezar	シーザー
klasycznego	クラシカル
klasycznego	クラシック
klasycznego	古典
komety	彗星
komety	彗星
lahti	ラハティ
boca	ボカ
piasku	砂塵
kota	コタ
sodu	ナトリウム
leśnictwa	林業
leśnictwa	農林
tempo	ペース
tempo	テンポ
zrozumienia	理解
ronnie	ロニー
przeznaczenie	行き先
przeznaczenie	目的地
przeznaczenie	宛先
przeznaczenie	運命
przeznaczenie	運命
przeznaczenie	目的
biblia	聖書
naród	ネーション
naród	国民
soczi	ソチ
sonda	プローブ
zmienione	改訂
zmienione	変更された
sin	シン
sin	sin
meyer	マイヤー
meyer	メイヤー
postawa	姿勢
postawa	態度
postawa	スタンス
postawa	姿勢
rozpoznanie	偵察
rozpoznanie	偵察
rozpoznanie	認識
rozpoznanie	認定
rozpoznanie	診断
scalemajor	scalemajor
timeaxis	timeaxis
ciekawy	好奇心
ciekawy	興味津々
dale	デイル
dale	デール
potrzebuje	ニーズ
potrzebuje	ニーズ
chronologia	沿革
chronologia	年表
forever	フォーエバー
cat	ネコ
cat	ねこ
zwykłych	普通
wydawcy	エディタ
wydawcy	出版
wydawcy	パブリッシャー
wydawcy	出版社
biuletyn	ニュースレター
biuletyn	会報
biuletyn	掲示
biuletyn	公報
freedom	freedom
freedom	自由
imagesize	imagesize
fabrykę	工場
ekran	画面
ekran	スクリーン
sal	サル
plotarea	plotarea
lucy	ルーシー
sebastiana	セバスティアン
sebastiana	セバスティアヌス
sebastiana	セバスチャン
allan	アラン
ostry	シャープ
ostry	鋭い
ostry	急性
ostry	アキュート
berger	ベルガー
równoległy	パラレル
równoległy	並列
edytuj	編集
bronić	擁護
wells	ウェルズ
fizyczna	フィジカル
fizyczna	物理
aut	aut
możliwy	可能性
oświetlenie	照明
oświetlenie	イルミネーション
oświetlenie	照明
ekspozycja	照射
ekspozycja	被曝
ekspozycja	露出
konsul	領事
konsul	執政官
clarke	クラーク
ograniczeń	制限
protokół	protocol
protokół	議定書
protokół	プロトコル
krążek	パック
zabezpieczenie	担保
astronomii	天文学
protesty	抗議
ciemności	暗闇
ahmed	アーメド
ahmed	アフマド
płótnie	キャンバス
gerhard	ゲルハルト
generacja	世代
generacja	ジェネレーション
karate	空手
kapitału	資本
kapitału	首都
kapitału	キャピタル
foster	フォスター
harvey	ハービー
harvey	ハーヴィー
harvey	ハーヴェイ
płatki	花弁
płatki	花びら
płatki	フレーク
płatki	シリアル
krytykę	批評
krytykę	評論
krytykę	批判
krytykę	批評
wspomniany	言及
druk	印刷
druk	印刷
burza	雷雨
burza	ストーム
tragedii	悲劇
tragedii	悲劇
wystawę	展示
edwards	エドワーズ
nowoczesny	モダン
nowoczesny	現代
posterunek	ステーション
grobie	墓所
grobie	墓穴
utah	ユタ
guillermo	ギリェルモ
guillermo	ギレルモ
dochody	収益
dochody	歳入
dochody	収入
dochody	所得
dochody	収益
dochody	収益
dochody	収入
dochody	歳入
ruth	ルース
tango	タンゴ
tango	丹後
szerzej	広い
towarowy	貨物
bukareszcie	ブカレスト
wykorzystany	搾取
przyjaźń	友情
body	本文
body	身体
body	本体
body	ボディ
archeologii	考古学
archeologii	考古学
crystal	crystal
crystal	結晶
crystal	クリスタル
dzwon	ベル
rozmowa	面接
rozmowa	インタビュー
rozmowa	会話
rozmowa	スレッド
toro	トロ
lampy	ランプ
lampy	街灯
wad	悪徳
zakup	購入
zakup	購買
zakup	購入
zakup	購入
curtis	カーティス
spirit	精神
spirit	スピリット
gazet	新聞紙
gazet	新聞
arabski	アラブ
lin	ロープ
lima	リマ
singles	シングルス
naprzeciw	反対
procesor	プロセッサ
procesor	cpu
garcia	ガルシア
garcia	ガルシア
cmentarze	墓地
zimbabwe	ジンバブエ
bach	バッハ
bird	鳥類
bird	バード
pokolenie	世代
pokolenie	ジェネレーション
pokolenie	世代
pokolenie	generations
gun	ガン
przybywa	到着
samantha	サマンサ
brody	ヒゲ
brody	ブロディ
spożywczy	食材
palma	パルマ
zimy	ウィンタース
six	シックス
six	six
poziomy	水平
poziomy	レベル
wyrażenie	フレーズ
wyrażenie	表現
wyrażenie	expression
legion	レギオン
męczennika	殉教
ustalenie	裁決
wyjazd	去る
wyjazd	終了
wyjazd	exit
wyjazd	出口
wyjazd	出発
wyjazd	旅行
wyjazd	トリップ
chana	チャン
discovery	ディスカバリー
discovery	発見
rozdzielczości	解像度
zmniejszenia	減らす
pełen	いっぱい
pełen	フル
wodoru	水素
weekend	週末
mika	マイク
mika	雲母
mika	美香
mika	ミカ
niebezpieczne	危険
otoczenie	環境
otoczenie	周辺
otoczenie	アンビエント
restauracja	レストラン
restauracja	飲食店
wizji	ヴィジョン
wizji	ビジョン
wizji	vision
bojowników	ファイターズ
afganistanie	アフガニスタン
owen	オーウェン
owen	オーエン
odznakę	バッジ
southern	サザン
southern	南部
luksemburg	ルクセンブルク
zmieniony	変更された
fisher	フィッシャー
nachylenie	スロープ
nachylenie	斜面
nachylenie	傾き
zbawiciela	救世主
galerie	ギャラリー
beat	beat
beat	ビート
kończyny	手足
kończyny	四肢
kończyny	四肢
bonn	ボン
mile	マイル
mile	マイル
obywatela	市民
wyraźne	明示
pancernik	戦艦
komiks	漫画
komiks	コミック
komiks	コミック
mass	ミサ
mass	質量
cząstki	粒子
cząstki	パーティクル
cząstki	粒子
drogowy	道路
morderstwo	殺人
otrzymaniu	レシート
otrzymaniu	受領
hipoteza	仮説
rywala	ライバル
zwykłe	普通
ocr	ocr
libanu	レバノン
zabójstwa	殺人
zabójstwa	暗殺
wszechświata	宇宙
düsseldorf	デュッセルドルフ
przydział	割り当て
przydział	譲渡
przydział	代入
przydział	割り当て
juss	juss
konstantin	コンスタンチン
temple	テンプル
temple	寺院
temple	神殿
ogrodów	庭園
ogłoszenia	アナウンス
ogłoszenia	発表
ogłoszenia	広告
schneider	シュナイダー
echo	反響
echo	エコー
zwyczaj	習慣
zwyczaj	風習
zwyczaj	カスタム
guillaume	ギヨーム
bogaty	金持ち
bogaty	リッチ
producenci	プロデューサー
producenci	製造業者
championships	選手権
gnu	gnu
enrique	エンリケ
mechanizmu	機構
mechanizmu	メカニズム
mieszanej	ミックス
mieszanej	混合
knight	騎士
knight	ナイト
promocja	プロモーション
promocja	プロモーション
promocja	宣伝
regiony	リージョン
regiony	地域
regiony	リージョン
regiony	地域
palmer	パーマー
malezji	マレーシア
malezji	マレーシア
schody	歩数
schody	手順
schody	ステップ
schody	階段
schody	階段
schody	階段
aktorką	女優
aktorką	俳優
fundusz	ファンド
przedziale	コンパートメント
podana	与えられた
magda	マグダ
muzułmanów	イスラム教
muzułmanów	ムスリム
julio	フリオ
flagę	フラグ
flagę	国旗
maraton	マラソン
jedynki	シングルス
buntu	反乱
wniosków	アプリケーション
grunty	ランド
grunty	土地
asyst	アシスト
synonimy	同義語
synonimy	類義語
mechanik	メカニック
malta	マルタ
akty	ヌード
ssaki	哺乳類
ssaki	哺乳類
ssaki	哺乳動物
prośba	請求
prośba	リクエスト
absolutnie	絶対に
rozumieniu	意味
jakiekolwiek	any
podstawa	財団
podstawa	ファンデーション
podstawa	ファウンデーション
podstawa	塩基
podstawa	base
podstawa	ベース
podstawa	基底
dojrzałości	満期
claire	クレア
cezara	シーザー
wino	ワイン
uzupełnienie	補足
elena	エレナ
prezentacja	プレゼン
prezentacja	プレゼンテーション
uczestnictwa	関与
uczestnictwa	参加
wierni	信者
wierni	忠実
etapy	舞台
etapy	ステージ
etapy	歩数
etapy	手順
etapy	ステップ
warsztat	ガレージ
warsztat	車庫
warsztat	ワークショップ
warsztat	作業場
księża	司祭
księża	司祭
prefektura	都道府県
wychowanie	レイジング
oregon	オレゴン
czeka	待ち
dziedzictwo	相続
dziedzictwo	継承
dziedzictwo	遺産
okręgi	サークル
okręgi	ディストリクト
okręgi	カウンティ
prawdziwy	real
prawdziwy	本物
prawdziwy	リアル
jesse	ジェシー
discogs	discogs
cieczy	液体
zegar	タイマー
zegar	クロック
zegar	時計
singh	シング
górnictwa	鉱業
plata	plata
ramy	フレーム
ramy	フレーム
ramy	ラーマ
uratować	残存
uratować	サルベージ
uratować	セーブ
uratować	保存
uratować	救助
uratować	レスキュー
mason	メイソン
podwójny	ダブル
podwójny	二重
komputery	コンピューター
komputery	コンピュータ
komputery	コンピューター
komputery	コンピュータ
arch	アーチ
transferu	移転
transferu	転送
transferu	乗り換え
transferu	譲渡
flet	フルート
atrakcje	アトラクション
atrakcje	アトラクション
doc	doc
doc	ドク
theodor	テオドール
szkocja	スコットランド
trzęsienie	地震
lepsza	ベター
dateformat	dateformat
rdzenia	コア
rdzenia	core
made	made
aktywne	アクティブ
rfc	rfc
smaku	味見
smaku	味覚
irina	イリナ
irina	イリーナ
konstytucję	体質
konstytucję	憲法
kroki	足音
kroki	歩数
kroki	手順
kroki	ステップ
czytania	読書
ręczna	manual
ręczna	手動
ręczna	マニュアル
pgr	pgr
lena	レナ
hale	ヘール
aktorzy	俳優
żołądka	お腹
nokia	ノキア
chłopcy	boys
chłopcy	男の子
bolonii	ボローニャ
cenne	尊い
cenne	precious
cenne	貴重
amatorów	アマチュア
essex	エセックス
rolników	農家
price	プライス
price	対価
price	値段
price	価格
obozy	camp
obozy	キャンプ
sapporo	札幌
étienne	エティエンヌ
kuchnia	料理
kuchnia	キッチン
kuchnia	台所
chang	チャン
mysz	ねずみ
mysz	マウス
nathan	ネイサン
medycyna	医学
planuje	計画
planuje	プラン
serbia	セルビア
arizona	アリゾナ
planowana	予定
planowana	計画
federico	フェデリコ
grzbietowym	背泳ぎ
holt	ホルト
xavier	ザビエル
przenoszenia	ポータブル
podmiotów	エンティティ
oddaje	キャプチャ
kiedykolwiek	ever
magii	magic
magii	魔法
magii	マジック
włosów	ヘアー
włosów	髪の毛
włosów	ヘア
włosów	毛髪
podkreśla	見どころ
podkreśla	ハイライト
ramię	arm
ustanowiono	設立
key	キー
key	key
touring	ツーリング
afganistanu	アフガニスタン
przywrócenie	復元
przywrócenie	修復
przywrócenie	復元
przywrócenie	維新
przywrócenie	復職
gene	遺伝子
gene	ジーン
ślubów	ウェディング
składniki	材料
składniki	食材
składniki	成分
randy	ランディ
kuli	球体
kuli	球面
kuli	球形
alignbars	alignbars
włókna	繊維
włókna	ファイバ
włókna	繊維
włókna	繊維
włókna	繊維
ucieczka	エスケープ
ucieczka	エスケープ
ucieczka	脱出
medina	マディーナ
javier	ハビエル
najdłużej	最長
marty	マーティ
profesjonalny	プロフェッショナル
viktor	ビクトル
kinga	king
kinga	国王
kinga	キング
relikwie	遺物
skrzypek	ヴァイオリン
przedłużenie	延長
przedłużenie	内線
przedłużenie	リニューアル
jakkolwiek	しかしながら
blokada	封鎖
martwe	デッド
radar	レーダー
porter	ポーター
budowle	構造
zbrodnia	虐殺
zbrodnia	犯罪
suzuki	スズキ
suzuki	鈴木
poziomów	レベル
przekonania	信念
zmiennej	変数
zmiennej	可変
duke	公爵
duke	デューク
świątynie	寺院
świątynie	テンプル
świątynie	寺院
świątynie	神殿
porty	ポート
identyczne	同一
chemia	化学
poważny	深刻
mieszany	ミックス
mieszany	混合
hughes	ヒューズ
półkuli	半球
pokarmowego	胃腸
norbert	ノルベルト
zabija	kill
specjalności	名物
orientacji	方向
orientacji	向き
orientacji	オリエンテーション
owiec	ヒツジ
słaby	弱い
kompilacja	コンパイル
spore	胞子
cook	コック
cook	クック
patron	パトロン
integracja	統合
integracja	インテグレーション
mechanizmy	メカニズム
mechanizmy	機構
mechanizmy	メカニズム
vista	vista
vista	ビスタ
malmö	マルメ
lekka	軽い
lekka	明るい
lekka	ライト
życzenie	wish
życzenie	ウィッシュ
jonów	イオン
eksperyment	実験
ofertę	オファー
ofertę	申し出
ofertę	クーポン
jedność	統一
pisarze	作家
konsekwentnie	一貫性
rywalizacja	競技
rywalizacja	コンペ
rywalizacja	競争
rywalizacja	コンペティション
rywalizacja	コンテスト
archeolog	考古学
wydawanie	出費
wydawanie	発行
pogody	天候
pogody	天気
pogody	気象
patricia	パトリシア
bractwo	友愛
lekcje	レッスン
lekcje	授業
wrota	ゲート
jekatierina	エカテリーナ
obecni	現在
obecni	present
obecni	プレゼント
suchy	辛口
suchy	ドライ
suchy	乾燥
folk	フォーク
monroe	モンロー
hit	hit
hit	ヒット
balet	バレエ
pasuje	合う
szeroka	ワイド
szeroka	広い
krosno	織機
konwencja	コンベンション
konwencja	大会
école	エコール
najszybsze	最速
awf	awf
edge	エッジ
edge	edge
lynn	リン
burke	バーク
gospodarzem	主催
mechanizmów	メカニズム
roczny	年次
rabin	ラビ
storm	ストーム
lance	ランス
przywileje	特権
przywileje	特権
bajki	寓話
postępu	プログレス
postępu	経過
postępu	進捗
rezygnację	辞表
rezygnację	辞任
rezygnację	辞職
dystans	距離
hudson	ハドソン
potwierdzenia	確認
klatki	ケージ
francesca	フランチェスカ
dominic	ドミニク
genów	遺伝子
cywilne	文官
derek	デレック
derek	デレク
miejscowy	ローカル
miejscowy	地元
świetnie	グレート
colorado	コロラド
rondo	ロンド
sondy	プローブ
sondy	プローブ
interpretacja	解釈
interpretacja	通訳
interpretacja	通訳
postanowienia	解像度
postanowienia	条文
postanowienia	規定
zabójstwo	殺人
zabójstwo	暗殺
zabójstwo	殺人
zabójstwo	キリング
równy	等しい
równy	イコール
rzadki	レア
podpisania	署名
podpisania	調印
hearts	hearts
hearts	ハーツ
zakazu	禁酒
zakazu	禁止
zakazu	禁酒令
medyczny	医学
wspólna	関節
grzyby	キノコ
grzyby	きのこ
grzyby	マッシュルーム
grzyby	菌類
grzyby	キノコ
grzyby	マッシュルーム
poprawne	正解
poprawne	正しい
case	ケース
chrześcijański	クリスチャン
chrześcijański	キリスト教
chrześcijański	キリスト教徒
connor	コナー
lindsay	リンジー
edwin	エドウィン
nerek	腎臓
kartę	カード
likwidacja	弁済
likwidacja	清算
speed	速度
speed	スピード
transfer	移転
transfer	転送
transfer	乗り換え
transfer	譲渡
domena	ドメイン
niewolników	奴隷
gamma	ガンマ
kupców	商人
mięsień	マッスル
mięsień	筋肉
uniwersytetów	大学
menedżer	店長
menedżer	支配人
menedżer	マネージャー
menedżer	マネージャ
witryna	サイト
witryna	敷地
malty	マルタ
village	村落
village	ヴィレッジ
cev	cev
kenii	ケニア
norma	ノーマ
norma	基準
norma	スタンダード
norma	標準
sterowanie	コントロール
sterowanie	ステアリング
sterowanie	コントロール
terminal	端末
terminal	ターミナル
łatwe	イージー
łatwe	易しい
łatwe	やさしい
łatwe	簡単
mieszkanie	フラット
ryba	魚類
ryba	フィッシュ
crawford	クロフォード
wyzwolenie	解放
podany	特定
podany	指定された
pochodne	デリバティブ
pochodne	デリバティブ
pochodne	微分
dziedzina	フィールド
dziedzina	ドメイン
köln	ケルン
brad	ブラッド
che	チェ
stambule	イスタンブール
richmond	リッチモンド
szlachta	貴族
delhi	デリー
niedźwiedź	クマ
manuela	マヌエラ
licencję	ライセンス
wał	シャフト
ułożone	積み重ね
ułożone	編曲
klienta	カスタマー
klienta	顧客
klienta	クライアント
ulrich	ウルリッヒ
gmbh	gmbh
odwołanie	アピール
odwołanie	抗告
odwołanie	上告
jin	jin
jin	ジン
rozrywki	エンターテイメント
rozrywki	娯楽
rozrywki	エンターテインメント
użyteczności	効用
użyteczności	ユーティリティー
użyteczności	ユーティリティ
użyteczności	ユーザビリティ
pomiary	測定
pomiary	測定
pomiary	測定
emocji	感情
emocji	感情
elisabeth	エリザベート
azja	アジア
kolumn	カラム
szachy	チェス
miary	措置
miary	計測
miary	測定
harald	ハーラル
umiejętność	スキル
umiejętność	能力
cardiff	カーディフ
zmarli	故人
zmarli	訃報
końcowe	最終
końcowe	決勝
końcowe	ファイナル
tenis	テニス
oferty	クーポン
oferty	クーポン
oferty	オファー
oferty	申し出
oferty	クーポン
quebec	ケベック
auckland	オークランド
błogosławieni	祝福
dźwięki	サウンド
dźwięki	サウンド
asunción	アスンシオン
korzystanie	使い方
darmstadt	ダルムシュタット
czyta	読み込み
wczoraj	きのう
wczoraj	昨日
tezy	テーゼ
tezy	論文
wspieranie	サポート
wspieranie	支持
zmienne	変数
zmienne	可変
zmienne	変数
zaufanie	自信
zaufanie	信頼
zaufanie	トラスト
zaufanie	trust
zaufanie	信頼
dekoracji	装飾
dekoracji	デコレーション
chirurg	外科医
krytycy	評論家
jenny	ジェニー
poświęcenia	献身
poświęcenia	奉納
poświęcenia	犠牲
poświęcenia	生贄
pływanie	スイミング
pływanie	競泳
pływanie	水泳
pau	pau
biografie	伝記
rex	レックス
meczet	モスク
saturn	土星
zwycięzców	勝者
bakterie	細菌
bakterie	バクテリア
kontrowersji	論争
odwołania	アピール
odwołania	抗告
odwołania	上告
karny	ペナルティ
smitha	スミス
becker	ベッカー
normalna	普通
normalna	ノーマル
elity	エリート
cień	シャドウズ
cień	シャドー
cień	シャドウ
cień	シェイド
cień	日陰
cień	シェード
amor	アモール
automatyczne	自動
automatyczne	オート
automatyczne	自動
automatyczne	オートマチック
nassau	ナッソー
interesy	営業
interesy	事業
interesy	ビジネス
odbiorców	宛先
odbiorców	観客
odbiorców	オーディエンス
koncepcje	アイデア
koncepcje	アイディア
koncepcje	概念
koncepcje	コンセプト
narkotyków	ドラッグ
narkotyków	薬物
uczony	学者
alpejskie	高山
spring	スプリング
pal	パル
pal	pal
pal	スモーク
roczna	年次
waltera	ヴァルター
waltera	ウォルター
skale	スケール
skale	ウロコ
negocjacje	ネゴシエーション
negocjacje	交渉
negocjacje	交渉
negocjacje	交渉
robota	ロボット
opcja	オプション
późno	遅い
liège	リエージュ
angela	アンジェラ
lekarze	医師
lekarze	医師
lekarze	医者
pawilon	パビリオン
wzmocnienia	強化
wzmocnienia	強化
obawy	懸念
wapnia	カルシウム
zapisać	セーブ
zapisać	保存
parking	駐車
bella	ベラ
szczerze	正直
słuchaczy	リスナー
transkrypcji	転写
władzom	当局
wykonawczy	エグゼクティブ
rozporządzenia	規制
hunt	ハント
hunt	狩り
rap	ラップ
obchody	お祝い
wiecznie	フォーエバー
wind	エレベーター
klan	氏族
niebezpieczeństwo	危険
atomów	原子
durham	ダラム
elektroniczne	エレクトロニック
wyprodukowane	製造
cape	ケープ
austriackie	オーストリア
kill	キル
kill	kill
chorwacja	クロアチア
ciężka	重い
ciężka	ヘビー
recenzja	レビュー
recenzja	審査
narządów	臓器
narządów	オルガン
kąty	アングル
richardson	リチャードソン
słoweński	スロベニア
tyler	タイラー
najdłuższy	最長
holmes	ホームズ
osłony	シールド
osłony	シールド
stawki	レート
stawki	評価
stawki	ステークス
trudna	難しい
kid	キッド
członkostwo	会員
antiochii	アンティオキア
betty	ベティ
latarnia	ビーコン
latarnia	灯台
latarnia	ランタン
latarnia	提灯
player	プレイヤー
player	プレーヤー
espn	espn
maserati	マセラティ
smok	ドラゴン
qui	qui
banków	バンクス
ricky	リッキー
napisano	筆記
opactwo	修道院
chi	chi
wspólnot	コミュニティ
sytuacje	状況
sytuacje	情勢
sytuacje	状況
sytuacje	シチュエーション
konsekwencje	帰結
guido	グイド
earl	アール
ballada	バラード
ballada	バラッド
szkody	怪我
szkody	外傷
szkody	被害
szkody	ダメージ
szkody	損傷
szkody	損害
szkody	ダメージ
szkody	損害賠償
poniedziałek	月曜日
pochówku	埋葬
żywi	フィード
zakopane	ザコパネ
zakopane	埋葬
oddania	募金
oddania	寄付
oddania	献身
flash	flash
flash	フラッシュ
court	法廷
court	コート
court	裁判所
potomkowie	子孫
potomkowie	後裔
potomkowie	末裔
coupé	クーペ
infrastruktura	インフラストラクチャー
una	ウナ
organizm	生物
wieczór	夕方
devon	デヴォン
tancerka	ダンサー
żądanie	請求
żądanie	リクエスト
żądanie	需要
żądanie	催告
txt	txt
transformacji	変換
dawn	明け方
dawn	夜明け
dawn	ドーン
prawidłowo	正解
prawidłowo	正しい
prawidłowo	正しく
nabój	実包
nabój	カートリッジ
nabój	弾丸
nabój	銃弾
warianty	バリエーション
warianty	変奏曲
wydajność	パフォーマンス
wydajność	性能
wydajność	興行
wydajność	効率
nosa	鼻音
campo	campo
kenny	ケニー
piloci	パイロット
pozwolenie	認可
pozwolenie	許可
pozwolenie	許諾
pozwolenie	許可証
pozwolenie	許可
bennett	ベネット
jądrowej	原子力
negocjacji	ネゴシエーション
negocjacji	交渉
negocjacji	交渉
negocjacji	交渉
personel	人材
personel	職員
personel	スタッフ
licznik	カウンタ
licznik	カウンター
licznik	メーター
ibrahim	イブラヒム
psychiatra	縮小
adiutant	副官
pancerz	アーマー
pancerz	装甲
pancerz	装甲
przekazanie	伝送
przekazanie	移転
przekazanie	転送
przekazanie	乗り換え
przekazanie	譲渡
trwałe	パーマネント
hektarów	ヘクタール
rekonstrukcji	再建
bólu	痛み
bólu	疼痛
bólu	ペイン
kompetencje	パワーズ
ibm	ibm
przekształcenie	変換
przekształcenie	変換
wiązania	バインディング
chad	チャド
reed	リード
estonia	エストニア
pierwotnym	オリジナル
płazów	両生類
podnoszenie	リフティング
podnoszenie	レイジング
gałąź	支店
gałąź	支社
gałąź	ブランチ
gałąź	支部
pracownika	社員
pracownika	職員
lądowanie	着陸
lądowanie	上陸
sudanu	スーダン
sudanu	スーダン
posąg	彫像
ole	ole
rozszerzenia	引き伸ばし
rozszerzenia	拡張
rozszerzenia	延長
rozszerzenia	内線
narodziny	誕生
narodziny	誕生
aluminium	アルミニウム
aluminium	アルミ
aluminium	アルミニウム
carolina	カロライナ
wojowników	戦士
wojowników	ウォリアーズ
wojowników	武将
saga	サガ
saga	佐賀
led	led
przyznanie	付与
sugerują	提案
łotwie	ラトビア
zastosować	応募
zastosować	適用
