string	griežtas
desaparece	nepasikeitė
desaparece	dingsta
emmanuel	emmanuel
rice	ryžiai
rice	ryžių
easy	lengva
easy	lengvai
kit	kit
kit	komplektas
galerias	galerijose
ein	ein
trad	trad
limpo	švarus
limpo	švari
suriname	surinamas
imaginário	įsivaizduojamą
reflexo	atspindys
reflexo	atspindžio
infecções	infekcijos
ladrão	vagis
ladrão	plėšikas
bogotá	bogota
bogotá	bogotos
cool	jėga
cool	kietai
estranhos	svetimi
always	visada
pretty	gan
pretty	gana
primas	pusbroliai
adicionada	pridėtinės
delegados	delegatai
estritamente	griežtai
#ffffff	#ffffff
tristeza	liūdesys
tristeza	liūdesys
tristeza	sielvarto
residenciais	gyvenamųjų
prodcode	prodcode
freud	freud
poderosas	galingas
poderosas	galinga
poderosas	galingi
conduz	vykdyti
conduz	vykdo
esconde	slepia
mártires	kankinių
freddie	fredi
coeficiente	koeficientas
connor	konor
olavo	olav
olavo	olaf
conversar	kalbėti
covers	apima
caminhão	sunkvežimis
caminhão	sunkvežimis
especulação	spekuliacija
especulação	spekuliacijos
filial	dukterinė
cássio	kasijus
mans	mans
liderar	švino
cascavel	barškuolė
herrera	herrera
mergulho	nardymo
economicamente	ekonomiškai
cell	ląstelių
lázaro	lazarus
lázaro	lazar
amsterdã	amsterdamo
danúbio	dunojaus
danúbio	dunojus
dirigindo	vykdymo
competências	įgūdžiai
competências	kompetencija
competências	jėgos
gavião	sakalas
tolkien	tolkien
attack	ataka
épico	epic
liberalismo	liberalizmo
serras	pjūklai
forno	krosnių
forno	krosnies
forno	krosnis
forno	krosnies
forno	orkaitėje
forno	krosnis
vitamina	vitamino
vitamina	vitaminai
vitamina	vitaminas
saudável	ekonomiką
insultos	įžeidimų
kingston	kingston
energias	energija
energias	energetika
lágrimas	rer
lágrimas	ašaros
continue	tęsti
marxista	marksistinis
profissionalmente	profesionaliai
potássio	kalis
potássio	kalio
desrespeito	nepagarba
desrespeito	panieka
desrespeito	nepagarba
mercosul	mercosur
seriamente	rimtai
mineiros	kalnakasiai
precedentes	precedentas
strauss	strauss
churchill	čerčilis
gordura	riebalų
gordura	riebalai
gordura	storas
gordura	riebalų
gordura	riebalai
vocação	ragina
dirty	purvinas
loucura	beprotybė
loucura	beprotybė
#ff	#ff
hanna	hana
bailey	beilis
severa	sunkus
assentamentos	gyvenviečių
transilvânia	transilvanijoje
confuso	paini
camila	kamila
camila	camila
jesuíta	jėzuitų
mesopotâmia	mesopotamija
filosófica	filosofinius
isolados	izoliuoti
isolados	izoliacija
isolados	izoliuota
isolados	izoliuotas
isolados	izoliuota
candy	saldainis
estímulo	paskatų
estímulo	stimuliacijos
amsterdam	amsterdamo
drop	atleisti
forbes	forbes
shannon	shannon
conformidade	atitiktis
conformidade	atitiktis
corpus	corpus
escocesa	škotijos
piper	piper
cavidade	ertmėje
partilha	dalintis
partilha	kaupimo
partilha	dalijimasis
partilha	akcija
partilha	dalintis
ahmed	ahmed
filmagem	filmavimo
walsh	walsh
lições	pamokos
conversas	pokalbiai
col	col
col	pulkininkas
casco	kanopų
cancelamento	panaikinimo
cancelamento	panaikinimas
cancelamento	atšaukimas
verona	verona
construtores	statybininkų
taxonomia	taksonomija
étnica	etninės
jena	jena
dissertação	disertacija
quadras	blokus
quadras	blokai
quadras	blokų
orléans	orleano
everton	everton
cabine	salono
cabine	kabina
bafta	bafta
garrett	garrett
milímetros	milimetrų
milímetros	milimetrų
jobim	jobim
batizada	pakrikštytas
batizada	pakrikštyta
aristocracia	aristokratija
discutindo	aptarti
gordo	riebalų
gordo	storas
gordo	riebalų
gordo	riebalai
stella	stela
sally	salis
sally	sale
renascentista	renesanso
marcello	marcello
faltando	trūksta
zumbi	zombių
ingressos	bilietai
ingressos	bilietus
ingressos	bilietų
maiden	maiden
cercada	apsupti
canhoto	kairiarankis
evita	išvengiama
evita	evita
evita	išvengti
derivadas	gautą
sophia	sophia
filo	philo
mach	macho
doc	doc
pain	skausmas
formulação	formuluotė
avn	avn
noivo	sužadėtinis
noivo	jaunikis
titulares	savininkai
titulares	turėtojai
strange	keistas
strange	keista
biográfico	biografiniai
amplitude	amplitudės
objectivos	tikslai
objectivos	tikslai
objectivos	tikslų
trilhos	pėdsakai
trilhos	bėgiai
capitalista	kapitalistinės
luisiana	luizianos
patas	letenas
romantismo	romantizmas
combustíveis	kuras
combustíveis	kuro
combustíveis	kuras
crónica	lėtinis
crónica	lėtinė
crónica	lėtinio
crónica	chronicle
