大門	daimon
スケッチ	esquisse
スケッチ	esquisser
ミハイル	mikhail
ミハイル	mikhaïl
内山	uchiyama
ワット	watt
ワット	wat
ブンデスリーガ	bundesliga
雅子	masako
ウルグアイ	uruguayen
ウルグアイ	uruguay
自慢	vanter
自慢	vanter
自慢	fier
自慢	fière
自慢	fiers
自慢	orgueilleux
自慢	fières
屋内	intérieure
屋内	intérieur
許し	pardonner
三鷹	mitaka
コマーシャル	commercial
コマーシャル	commerciaux
コマーシャル	commerciales
コマーシャル	commerciale
匿名	anonymat
匿名	anonyme
速い	rapide
速い	rapidement
速い	vite
速い	rapidité
速い	rapides
メドレー	nages
メドレー	medley
松前	matsumae
明日香	asuka
ジョーダン	jordanie
ジョーダン	jourdain
ジョーダン	jordanienne
ジョーダン	jordan
博之	hiroyuki
村井	murai
飛騨	hida
あした	ashita
あした	demain
あした	tomorrow
行進	cortège
行進	procession
坂東	bando
落ちる	tomber
落ちる	automne
落ちる	chute
落ちる	fall
ワルツ	valse
ワルツ	valser
土岐	toki
クタ	kuta
コンソール	consoles
コンソール	pupitre
コンソール	consoles
コンソール	console
反逆	trahison
ドバイ	dubai
ドバイ	dubaï
裏切り	traîtrise
裏切り	trahison
裏切り	trahison
えみ	ime
えみ	emi
クーパー	cooper
溝口	mizoguchi
部数	exemplaires
部数	copies
部数	copie
トーン	tonalité
トーン	tonus
笠間	kasama
部署	département
ライム	lime
ライム	chaux
ライム	citron
ニコラス	nicolas
ニコラス	nicholas
エイリアン	étranger
エイリアン	alien
エイリアン	extraterrestre
エイリアン	étrangers
エイリアン	etrangers
家庭教師	tuteur
家庭教師	précepteur
カスティーリャ	castille
ロイド	lloyd
同性愛	homosexualité
トレイ	plateau
中身	remplissage
中身	garnissage
スバル	subaru
ウィズ	wiz
アクティブ	active
アクティブ	actif
アクティブ	actives
アクティブ	actifs
アクティブ	activer
シオン	sion
シオン	zion
シオン	sion
シオン	theon
岸田	kishida
矢島	yajima
矢島	yashima
いちばん	ichiban
カノン	canonique
カノン	canon
怖い	effrayante
怖い	terrifiant
怖い	effrayant
怖い	peur
怖い	trouille
怖い	effrayée
怖い	effrayé
ジャマイカ	jamaïque
ジャマイカ	jamaïcain
ジャマイカ	jamaïcains
ジャマイカ	jamaïque
ジャマイカ	jamaïcaine
小平	kodaira
行進曲	marche
行進曲	mars
盆地	bassine
盆地	bassin
奉仕	altruiste
奉仕	altruisme
罰金	amendes
罰金	amendes
罰金	amende
罰金	fines
軽い	lumiere
軽い	lumière
軽い	légère
軽い	léger
アンコール	encore
アンコール	angkor
フェルト	sentis
フェルト	feutre
フェルト	senti
フェルト	ressenti
転移	transition
ストリーム	ruisseaux
ストリーム	flux
ストリーム	ruisseau
馬鹿	imbécile
馬鹿	idiot
馬鹿	idiote
馬鹿	crétin
近所	voisines
近所	voisins
近所	voisinage
近所	quartier
近所	voisine
近所	voisin
トロフィー	trophée
トロフィー	trophy
トロフィー	trophées
トロフィー	trophées
奇数	etrange
奇数	impair
奇数	étrange
奇数	bizarre
奇数	odd
援軍	renfort
援軍	renforts
なかよし	nakayoshi
千尋	chihiro
ティーン	teen
ティーン	adolescent
ティーン	ado
ラット	rat
ラット	rats
コイ	carpes
コイ	carpe
ペンギン	pingouins
ペンギン	manchots
ペンギン	manchot
ペンギン	pingouin
ペンギン	manchots
ペンギン	pingouins
ルクセンブルク	luxembourg
クレーン	grues
クレーン	robinets
クレーン	grue
クレーン	crane
シャワー	douches
シャワー	douche
シャワー	douches
シャワー	averses
マヌエル	manuel
彫刻家	sculpteur
高野山	koya
ペリー	perry
野中	nonaka
有線	câblé
有線	wired
被告	accusés
被告	défendeurs
被告	accusé
被告	défendeur
被告	accusée
ジャガー	jaguar
楽しみ	jouissance
楽しみ	plaisir
イヴァン	ivan
キラー	tueur
キラー	killer
キラー	meurtrier
フィルター	filtres
フィルター	filtrer
フィルター	filtre
フィルター	filtrage
フィルター	filtrant
フィルター	filtres
フィルター	filtre
村松	muramatsu
津島	tsushima
ブダペスト	budapest
髪型	coiffure
ヘクタール	hectares
ヘクタール	hectare
ヘクタール	hectare
酒田	sakata
安井	yasui
有害	préjudiciable
有害	préjudiciables
乃木坂	nogi
給与	salaire
給与	salaires
給与	rémunérations
給与	rémunération
十字架	croisée
十字架	croix
十字架	traverser
十字架	croisé
蒲生	gamo
シンシナティ	cincinnati
アトラクション	attraits
アトラクション	attraction
アトラクション	attirance
アトラクション	attirer
アトラクション	attrait
アトラクション	attraits
アトラクション	attractions
フィレンツェ	florence
クリーン	propre
クリーン	nettoient
クリーン	nettoyer
こんにちは	bonjour
こんにちは	coucou
こんにちは	hello
こんにちは	salut
こんにちは	bjr
ナース	infirmier
ナース	infirmière
アラバマ	alabama
オーロラ	aurora
オーロラ	aurores
オーロラ	aurore
恵比寿	ebisu
真空	vide
略奪	pillage
略奪	pillards
略奪	piller
略奪	pillages
発現	manifestation
北山	kitayama
田舎	campagne
上川	kamikawa
デュアル	double
デュアル	dual
賃貸	bail
つばさ	tsubasa
版画	hanga
ミッキー	mickey
ミッキー	micky
変態	perverse
変態	pervers
変態	métamorphose
ルーズベルト	roosevelt
反転	inverse
反転	inversé
反転	inverser
反転	retournement
反転	flip
ナナ	nana
ナナ	mamie
塩基	base
祖国	patrie
祖国	patrie
福知山	fukuchiyama
マスト	mât
マスト	mâts
モーション	motion
モーション	mouvement
哲夫	tetsuo
パイレーツ	pirates
封鎖	blocus
鋳造	fonderie
鋳造	casting
鋳造	coulée
鋳造	moulage
岩本	iwamoto
コンサルティング	conseil
コンサルティング	consultant
コンサルティング	consultation
マウンテン	montagne
マウンテン	montagnes
七尾	nanao
リナ	rina
リナ	lina
ストーム	orage
ストーム	tempête
ストーム	storm
バロック	baroque
バロック	baroques
緊張	nerveux
緊張	nerveuse
緊張	nervosité
緊張	tendu
緊張	tendus
緊張	tendue
緊張	tension
緊張	tensions
イアン	ian
増やす	augmenter
増やす	accroître
増やす	augmentation
増やす	accroissement
たばこ	tabac
たばこ	tabagisme
黒沢	kurosawa
美作	mimasaka
堤防	digue
堤防	remblai
哺乳類	mammifères
哺乳類	mammifère
哺乳類	mammifère
長島	nagashima
ロペス	lópez
ロペス	lopes
ロペス	lópez
ロペス	lopez
正樹	masaki
名声	célébrité
名声	renommée
名声	gloire
名声	fame
クモ	spider
クモ	araignée
離れる	congés
離れる	quitter
離れる	laisser
離れる	partir
離れる	congé
樹脂	résines
樹脂	résine
コスモ	cosmo
エステ	este
アドバイザー	conseiller
アドバイザー	conseillère
アドバイザー	conseillers
アドバイザー	conseiller
アドバイザー	conseillère
原点	origine
原点	origines
グリー	glee
徳永	tokunaga
ウィル	will
ウィル	volonté
ウィル	fera
ウィル	sera
尾上	onoe
断片	fragments
公家	kuge
大樹	taiki
ヨハネス	johannes
利点	avantages
利点	atouts
利点	avantage
指針	directives
破棄	révoqué
破棄	révoquée
破棄	jeter
破棄	rejeter
破棄	abandonner
破棄	ignorer
マサ	masa
ロイ	roy
おじさん	tonton
おじさん	oncle
レッズ	rouges
スワン	cygne
スワン	swan
スワン	cygnes
野沢	nozawa
肥後	higo
甲賀	koga
沈黙	silences
沈黙	silence
ユタ	utah
東西線	tozai
ケント	kent
ランチ	déjeuner
ランチ	déjeuners
ヤクザ	yakuza
ヤクザ	yakuzas
コープ	cope
東名	tomei
マヤ	maya
マヤ	mayas
呼び出し	invocation
囚人	prisonnière
囚人	prisonnier
囚人	détenu
囚人	prisonnières
囚人	prisonniers
囚人	détenus
囚人	détenue
囚人	détenu
囚人	prisonnier
道徳	morale
道徳	moralité
泣き	pleurer
泣き	cry
泣き	pleure
泣き	pleurs
園田	sonoda
邦彦	kunihiko
正則	masanori
光子	photons
光子	photon
高倉	takakura
松坂	matsuzaka
カジノ	casinos
カジノ	casino
頭痛	migraines
頭痛	migraine
頭痛	céphalées
太刀	tachi
いちご	fraises
いちご	fraise
いちご	fraises
いちご	fraise
石塚	ishizuka
コイル	bobine
並列	parallèlement
並列	parallèles
並列	parallèle
主観	subjectivité
キログラム	kilogrammes
キログラム	kilogramme
キログラム	kilogramme
ローソン	lawson
ゴミ	détritus
ゴミ	ordures
ゴミ	poubelle
顕彰	honorer
計算機	calculatrice
計算機	calculateur
若狭	wakasa
インク	encres
インク	encre
ミサ	masse
ミサ	messe
オバマ	obama
未亡人	veuves
未亡人	veuf
未亡人	veufs
未亡人	veuve
未亡人	veuves
未亡人	veuve
未亡人	veuf
タブ	onglets
タブ	tabulation
タブ	onglets
タブ	tab
タブ	onglet
薬学	pharmacie
食材	composants
食材	ingrédients
食材	ingrédient
食材	ingrédient
岩倉	iwakura
暗い	noir
暗い	foncé
暗い	sombre
ルース	ruth
熱い	chaud
熱い	hot
熱い	chaude
熱い	sexy
風呂	bains
風呂	baignoires
風呂	bains
風呂	baignoire
風呂	bain
風呂	bath
輝き	lueur
輝き	brillent
輝き	éclat
ミント	menthe
ベンツ	benz
皇女	princesses
融資	emprunt
融資	prêt
融資	emprunts
融資	crédits
融資	prêts
融資	financement
融資	financements
ピラミッド	pyramide
ピラミッド	pyramides
ピラミッド	pyramides
痛み	souffrance
痛み	douleur
痛み	peine
痛み	douleurs
プロフェッショナル	professionnalisme
プロフェッショナル	professionnels
プロフェッショナル	professionnelle
プロフェッショナル	professionnel
プロフェッショナル	professionnelles
プロフェッショナル	professionnels
ストックホルム	stockholm
バトラー	butler
バトラー	majordome
偶数	meme
偶数	même
コラボ	collaboration
コラボ	collaboratif
パンツ	caleçon
パンツ	slip
パンツ	culotte
パンツ	pantalon
パンツ	pantalons
ソユーズ	soyouz
車椅子	fauteuil
フランコ	franco
植木	ueki
武雄	takeo
渋川	shibukawa
忠誠	allégeance
浅田	asada
エラー	fautes
エラー	erreurs
エラー	error
エラー	erreur
エラー	erreurs
ゆか	yuka
使い方	utilisation
使い方	usage
森永	morinaga
クリントン	clinton
塚本	tsukamoto
シリンダー	cylindre
シリンダー	bouteille
シリンダー	cylindres
シリンダー	vérin
シリンダー	cylindres
シリンダー	bouteilles
シリンダー	vérins
アスキー	ascii
ノード	noeud
ノード	nœud
ノード	noeuds
ノード	nœuds
ベラルーシ	belarus
ベラルーシ	biélorussie
ベラルーシ	bélarus
ベラルーシ	biélorusses
ベラルーシ	biélorusse
ドミニカ	dominicaine
ドミニカ	dominicain
ドミニカ	dominique
硫酸	sulfate
リバウンド	rebondir
リバウンド	rebonds
リバウンド	rebond
マルタ	maltaise
マルタ	maltais
マルタ	malte
なでしこ	nadeshiko
ゆず	yuzu
侍従	chambellan
侍従	chamberlain
ゾウ	éléphants
ゾウ	éléphants
ゾウ	elephant
ゾウ	éléphant
呪文	sort
呪文	sortilège
呪文	orthographe
熱海	atami
創価	soka
サイボーグ	cyborg
エーカー	hectares
エーカー	acres
エーカー	hectare
エーカー	acre
カザフスタン	kazakhstan
ニュートン	newton
真澄	masumi
群れ	troupeau
群れ	troupeau
カイロ	caire
損害賠償	dommages
損害賠償	dégâts
くるみ	kurumi
くるみ	noyer
くるみ	noix
不具合	insectes
不具合	bugs
不具合	bogues
不具合	punaise
不具合	bogue
不具合	bug
不具合	insecte
幸雄	yukio
メロン	melon
メロン	melons
メロン	pastèque
黒澤	kurosawa
英樹	hideki
クーペ	coupé
クーペ	coupé
クーペ	coupe
男の子	garçon
男の子	boy
男の子	garçons
刈谷	kariya
サバ	maquereau
サバ	maquereaux
おおよそ	grossièrement
おおよそ	approximativement
おおよそ	environ
おおよそ	approximative
おおよそ	approximatif
おおよそ	approximativement
常盤	tokiwa
フィット	fit
フィット	ajuster
面白い	intéressante
面白い	intéressant
面白い	intéressantes
面白い	intéressants
面白い	drole
面白い	drôle
面白い	rigolo
面白い	marrant
面白い	amusant
アクセント	accents
アクセント	accentué
アクセント	accentuation
アクセント	accent
アクセント	accents
クロウ	corneille
クロウ	crow
クロウ	corbeau
クロウ	corbeaux
クロウ	crowe
丁寧	polis
丁寧	politesse
丁寧	polie
丁寧	poli
驚異	merveilles
阿南	anan
派閥	faction
あかり	akari
パケット	paquets
パケット	sachets
岡野	okano
花子	hanako
きわめて	extrêmement
三日月	croissant
三日月	crescent
井原	ihara
紅葉	koyo
金田一	kindaichi
子音	consonne
保護者	parents
指輪	bague
指輪	anneau
指輪	bagues
指輪	anneaux
ジャンヌ	jeanne
ホールド	tenir
ホールド	tiens
ホールド	tenez
証明書	certificats
証明書	certificats
証明書	attestation
証明書	certificat
五島	goto
末裔	descendance
末裔	descendants
ボウル	gamelle
ボウル	cuvette
ボウル	bol
ボウル	boules
ボウル	bols
ボウル	pétanque
競泳	nageurs
競泳	nageur
競泳	nager
競泳	natation
競泳	baignade
クローバー	trèfle
監禁	confinement
鎌田	kamata
スーパーボウル	superbowl
過半数	majorité
過半数	majoritaire
過半数	majoritaires
経理	comptables
経理	comptable
経理	comptabilité
硫黄	soufre
硫黄	sulfure
硫黄	soufre
硫黄	sulfure
桃子	momoko
卸売	grossiste
卸売	grossistes
卸売	gros
卸売	grossiste
卸売	grossistes
卸売	grossistes
フランチェスコ	francesco
向井	mukai
預金	économies
預金	épargnes
預金	épargne
預金	dépôt
預金	déposer
預金	caution
預金	acompte
預金	dépôts
預金	gisements
捕食	proies
捕食	proie
捕食	prédateurs
捕食	prédateur
ヘルメット	casques
ヘルメット	casque
ヘルメット	casques
雅彦	masahiko
スパーク	étincelles
スパーク	étincelle
発作	saisies
発作	crises
桜花	ohka
四谷	yotsuya
抽象	abstraite
抽象	abstrait
抽象	abstraits
抽象	résumé
赤城	akagi
スルー	thru
スルー	via
穏やか	doux
穏やか	douce
穏やか	sereine
穏やか	serein
フィリップス	philips
フィリップス	philips
フィリップス	phillips
龍馬	ryoma
ケニア	kenya
ケニア	kényan
ケニア	kenyan
藤崎	fujisaki
生田	ikuta
寄生	parasites
寄生	parasitaires
寄生	parasite
寄生	parasite
資本主義	capitalisme
浸水	inondée
浸水	inondées
浸水	inondé
浸水	inondés
八雲	yakumo
意匠	dessin
意匠	design
意匠	conception
弾道	trajectoire
弾道	balistique
弾道	balistiques
ダーラン	dhahran
デフォルト	défaut
ベット	mises
ベット	bette
ベット	bet
ベット	pari
ベット	parie
ベット	parier
ドジャース	dodgers
ソープ	savon
ソープ	soap
ソープ	savons
火器	armes
ユネスコ	unesco
ナノ	nano
スチール	acier
コスプレ	cosplay
茶色	brown
茶色	marron
茶色	bruns
茶色	brun
茶色	brunes
茶色	brune
カズ	kazu
解像度	résolutions
解像度	résolution
ロドリゲス	rodriguez
ロドリゲス	rodríguez
ラオス	laos
デュオ	duo
りえ	rie
リビア	libyenne
リビア	libye
リビア	libyen
リビア	libye
ジェネレーション	génération
ジェネレーション	générations
丹羽	niwa
ランス	lance
支配人	gestionnaire
支配人	directeur
支配人	manager
支配人	directrice
支配人	gérant
クリニック	dispensaires
クリニック	cliniques
クリニック	clinique
クリニック	dispensaire
無形	immatériels
無形	intangibles
無形	incorporels
無形	intangible
無形	immatériel
キッチン	cuisine
レイプ	viols
レイプ	viol
レイプ	colza
レイプ	violer
ベータ	beta
ベータ	bêta
ベータ	béta
すみれ	sumire
葛西	kasai
クイン	quinn
没収	confisquer
没収	confiscation
没収	confisquer
没収	confisqué
没収	confisquées
没収	confisqués
真珠	perle
真珠	nacre
真珠	pearl
真珠	perles
真珠	perles
赤外線	infrarouges
赤外線	infrarouge
マカオ	macao
スカート	jupe
スカート	jupes
スカート	jupes
音頭	ondo
醤油	soya
醤油	soja
アイン	anh
アイン	ein
マシュー	matthew
マシュー	mathieu
マシュー	matthieu
チャリティー	bienfaisance
チャリティー	aumône
チャリティー	charité
ウェルズ	puits
ウェルズ	wells
ノリ	nori
ジェファーソン	jefferson
ウィスコンシン	wisconsin
英二	eiji
カタカナ	katakana
貴子	takako
淳一	junichi
隕石	météorite
岩石	roches
岩石	rochers
岩石	cailloux
岩石	pierres
買う	acheter
買う	achat
買う	achetez
投げる	jeter
盗賊	bandit
盗賊	brigands
盗賊	braqueurs
盗賊	voleurs
盗賊	brigands
盗賊	bandits
西岡	nishioka
シュトラウス	strauss
親戚	relatif
親戚	relative
親戚	parent
乱れ	turbulence
乱れ	turbulences
シモン	simon
羽根	plumes
羽根	plume
イルカ	dauphins
イルカ	dauphin
イルカ	dauphins
バーク	écorce
バーク	aboyer
バーク	écorces
バーク	burke
アンサンブル	ensemble
かご	basket
かご	panier
かご	corbeille
孤児	orphelins
孤児	orphelines
孤児	orphelin
孤児	orphelines
孤児	orphelins
孤児	orpheline
孤児	orphelin
孤児	orpheline
孤児	orphelines
孤児	orphelins
前川	maekawa
愛宕	atago
ホープ	espère
ホープ	espoirs
ホープ	espérer
ホープ	espoir
ホープ	espérance
アームストロング	armstrong
皮肉	ironie
皮肉	ironique
皮肉	sarcasmes
皮肉	sarcasme
皮肉	ironique
皮肉	ironie
皮肉	ironiquement
テクニカル	technique
テクニカル	techniques
書記官	clerc
書記官	greffier
書記官	commis
蝦夷	emishi
蝦夷	ezo
華族	kazoku
拷問	torturer
拷問	tortures
拷問	supplice
拷問	torture
ルル	lulu
ルル	loulou
吸血鬼	vampire
吸血鬼	vampires
アクセル	axel
柳沢	yanagisawa
清掃	propreté
清掃	ménage
清掃	nettoyage
排水	drainage
ダコタ	dakota
ヘレン	hélène
ヘレン	helen
立案	rédaction
タック	tuck
プロトタイプ	prototypage
プロトタイプ	prototype
プロトタイプ	prototypes
プロトタイプ	prototypes
ウリ	melon
ウリ	melons
ウリ	pastèque
ウリ	melons
ウリ	pastèques
ウリ	uli
天候	temps
天候	météorologie
天候	météo
天候	climat
天候	intempéries
却下	refuser
却下	déclin
却下	décliner
却下	baisse
却下	licenciements
却下	révocation
却下	licenciement
却下	rejetées
却下	refusées
却下	refusé
却下	rejetés
却下	rejetée
却下	rejeté
シド	syd
シド	sid
名取	natori
スローガン	slogans
スローガン	slogan
湿地	marécages
綾瀬	ayase
栗田	kurita
バロン	barron
負債	passif
負債	engagements
負債	passifs
肯定	affirmatif
肯定	affirmative
挑発	provocation
挑発	provocations
時刻表	horaires
時刻表	horaire
バルカン	vulcain
バルカン	balkans
承諾	consentement
承諾	acceptation
添付	attacher
添付	attachant
添付	joindre
添付	attacher
添付	fixation
添付	attachement
ポーズ	poser
ポーズ	pose
ポーズ	poses
ポーズ	posent
ポーズ	poser
ポーズ	pose
ポーズ	posant
ルック	regardez
ルック	regarde
ルック	regardes
カルシウム	calcium
迂回	diversion
迂回	détournement
迂回	dérivation
克服	surmonter
克服	surmonter
克服	surmonté
事由	motifs
和歌	waka
フランチャイズ	franchise
フランチャイズ	franchises
フランチャイズ	franchisé
フランチャイズ	franchisés
ジュリア	julia
調停	médiation
調停	conciliation
ボウリング	quilles
ボウリング	bowling
プリメーラ	primera
コソボ	kosovo
ジャッキー	jackie
マディソン	madison
サビ	rouille
サビ	rouillé
静香	shizuka
おもちゃ	toy
おもちゃ	jouet
おもちゃ	jouets
おもちゃ	jouet
おもちゃ	jouets
イヴ	ève
イヴ	eve
ポピュラー	populaires
ポピュラー	populaire
鋼鉄	acier
ケイト	kate
パンフレット	brochure
パンフレット	plaquette
パンフレット	dépliant
パンフレット	dépliant
パンフレット	brochures
パンフレット	dépliants
パンフレット	plaquettes
パンフレット	tracts
パンフレット	dépliants
メーター	compteur
メーター	mètre
メーター	mètres
リンダ	linda
宮島	miyajima
井口	iguchi
体積	volume
体積	volumes
組み立て	assemblée
組み立て	assemblage
基底	base
基底	fondement
栄一	eiichi
陽一	yoichi
有名人	célébrités
有名人	célébrité
有名人	célébrités
ロボ	robo
消す	éteindre
経費	dépense
経費	frais
経費	dépenses
ハーバー	port
ハーバー	harbour
ホリデー	vacances
ミルウォーキー	milwaukee
超過	excès
超過	excédentaires
超過	excédent
造園	terrassement
造園	paysagiste
造園	aménagement
ロク	rok
インテリア	interieur
インテリア	intérieur
インテリア	intérieurs
公使	ministre
公使	ministres
ジョッキー	jockey
キリスト教徒	chrétiens
キリスト教徒	christianisme
キリスト教徒	chrétienne
キリスト教徒	christian
キリスト教徒	chrétien
キリスト教徒	chrétiens
リヴァプール	liverpool
スコープ	portée
三谷	mitani
児島	kojima
カメ	turtle
カメ	tortue
カメ	tortues
カメ	tortues
制裁	sanctionner
制裁	sanction
制裁	sanctions
バックアップ	sauvegardes
バックアップ	sauvegarder
バックアップ	sauvegarde
バックアップ	sauvegardes
バックアップ	renforts
ステファン	stéphane
ステファン	stefan
ステファン	stéphane
ステファン	stephan
スーダン	soudan
スーダン	soudanaise
スーダン	soudanais
スーダン	soudanaises
細い	maigre
細い	mince
細い	minces
エキス	extraits
エキス	extraire
エキス	extraits
エキス	extrait
キッズ	enfants
メッツ	mets
メッツ	métastases
改宗	convertis
改宗	convertie
改宗	converti
憲章	affrètement
憲章	charter
憲章	charte
憲章	chartes
正雄	masao
キティ	minou
キティ	minet
キティ	chaton
キティ	kitty
キティ	minette
由美子	yumiko
敦子	atsuko
ねじ	vis
ねじ	baiser
ねじ	baise
ねじ	vis
バースト	éclater
バースト	éclatement
バースト	éclaté
バースト	rafale
母方	maternel
母方	maternels
母方	maternelle
警部補	lieutenant
柔術	jujutsu
正治	masaharu
諸侯	lords
諸侯	seigneurs
スキャンダル	scandales
スキャンダル	scandale
トンプソン	thompson
テラス	terrasse
テラス	terrasses
キプロス	chypre
キプロス	chypriote
ナイジェリア	nigérien
ナイジェリア	nigériane
ナイジェリア	nigérian
ナイジェリア	nigeria
ナイジェリア	nigéria
ターナー	turner
調和	harmonie
調和	harmony
タニア	tania
早乙女	saotome
笑う	rire
笑う	rires
笑う	riant
笑う	rigole
笑う	rire
笑う	riez
アゼルバイジャン	azerbaïdjan
サントス	santos
支出	dépenses
支出	dépenses
支出	dépense
剣術	kenjutsu
マインド	esprit
マインド	mind
知多	chita
ベオグラード	belgrade
ミゲル	miguel
三船	mifune
チューナー	tuner
元老院	sénat
銘柄	marque
表彰台	estrade
表彰台	podium
吉宗	yoshimune
見通し	prospect
見通し	perspective
肺炎	pneumonie
三角形	triangulaire
三角形	triangle
三角形	triangles
クジラ	baleines
クジラ	baleines
クジラ	baleine
レーニン	lénine
叫び	crier
叫び	hurlements
叫び	cris
叫び	hurlant
叫び	hurlement
叫び	crier
叫び	hurlement
叫び	cri
叫び	hurler
叫び	crie
ヴュルテンベルク	wurtemberg
ゼット	zed
上総	kazusa
ハープ	harpe
ソプラノ	soprano
知人	connaissance
知人	connaissances
北京市	pékin
北京市	beijing
アミノ酸	aminé
アミノ酸	aminés
遂に	enfin
遂に	finalement
竹下	takeshita
ムード	humeur
ムード	ambiance
パブリッシング	publier
パブリッシング	édition
パブリッシング	publication
山岡	yamaoka
日田	hita
薬局	drugstore
薬局	pharmacie
下町	downtown
速水	hayami
ジョヴァンニ	giovanni
ヤス	yasu
カラス	corneille
カラス	crow
カラス	corbeau
カラス	corbeaux
模倣	imitation
模倣	imitations
ウォルト	walt
発酵	ferment
発酵	fermentation
伯父	tonton
伯父	oncle
楽しい	fun
楽しい	plaisir
楽しい	marrant
楽しい	amusant
楽しい	agréable
楽しい	plaisant
七瀬	nanase
トマト	tomates
トマト	tomate
トマト	tomates
トマト	tomate
騒音	bruits
騒音	bruit
英明	sage
英明	wise
基質	substrat
基質	substrats
流す	flush
府県	préfectures
流派	école
