nazisti	나치즘
sottili	얇은
spia	스파이
becco	부리
combustibile	연료
viso	안면
viso	얼굴
viso	얼굴이
fischer	피셔
schiena	다시
schiena	뒤로
fiamma	불꽃
risparmio	저축
risparmio	절약
risparmio	저장
mercanti	상인
mercanti	상인인
brooks	브룩스
facebook	facebook
facebook	페이스북
motion	모션
motion	움직임
gómez	고메즈
gómez	고메즈
annie	애니
fianchi	엉덩이
fianchi	엉덩이
bull	황소
finanza	재무
finanza	재정
finanza	금융
finanza	재정
pressioni	압력
pressioni	압박
pressioni	압력
pressioni	압박
deboli	약한
deboli	약해
metalli	메탈
metalli	금속
metalli	금속
mit	mit
chirurgia	수술
chirurgia	외과
chirurgia	수술과
chirurgia	외과
diminuzione	감소
diminuzione	줄이기
diminuzione	감소
conferenze	컨퍼런스
conferenze	회의
seguiti	팔로우
loc	loc
vulcano	화산
sonoro	소리
sonoro	사운드
adelaide	애들레이드
adelaide	아델라이드
radiale	시선
concludere	결론
schmidt	슈미트
ice	빙빙
ice	얼음
ice	아이스
molecolare	분자
sepoltura	매장
sepoltura	장례
cohen	코헨
tumore	종양
tumore	종양
cliente	고객
cliente	클라이언트
incisa	새겨
rovina	파멸
brevemente	간략하게
break	브레이크
break	휴식
break	break
scade	만료
scade	만료
harvard	하버드
mantello	케이프
mantello	맨틀
mantello	망토
angoli	모서리
angoli	앵글
edge	엣지
edge	모서리
edge	edge
duchi	공작
duchi	듀크
sospetti	용의자
sospetti	용의자
sospetti	의심
sospetti	의심스러운
sospetti	의심
sanità	체력
sanità	헬스
sanità	건강
sanità	보건
imposta	집합
imposta	세트
imposta	설정
imposta	납세
imposta	세금
estone	에스토니아어
estone	에스토니아
split	스플리트
split	스플릿
split	분할
split	나누기
control	통제
control	제어
control	제어하기
control	컨트롤
tigre	호랑이
tigre	타이거
portico	현관
portico	베란다
spiegazioni	설명
hudson	허드슨
granata	유탄
granata	수류탄
bordeaux	보르도
biblioteche	라이브러리
biblioteche	도서관
biblioteche	라이브러리
biblioteche	도서관
amiche	친구
amiche	프렌즈
amiche	친구들이
amiche	친구들
mercurio	수성은
mercurio	수성
mercurio	머큐리
martirio	순교
piattaforme	플랫폼
piattaforme	플랫폼
fascio	번들
uci	uci
montenegro	몬테네그로
aiuti	원조
missionario	선교사
remake	리메이크
disturbo	장애
burton	버튼
birmingham	버밍엄
fleming	플레밍
font	글꼴
font	글꼴
cfr	cfr
berlina	세단
cold	춥다
cold	감기
cold	추위
cold	차가운
creek	크리크
suddivisioni	분할
suprema	슈프림
metallica	메탈리카
metallica	금속
tradotta	번역
ruth	루스
scartamento	궤간
occasionalmente	가끔씩
occasionalmente	가끔
occasionalmente	때때로
orléans	올리언스
complessità	복잡도
complessità	콤플렉스
complessità	복합체
cliff	클리프
cliff	절벽
adventure	어드벤처
adventure	모험
rifiutato	거절
chirurgo	외과의사
chirurgo	외과의
celebrazione	축하
resistere	저항
ecuador	에콰도르
fiandre	플랜더스
cox	콕스
repubblicana	공화당
viterbo	비테르보
montevideo	몬테비데오
cantieri	야드
toledo	톨레도
paulo	파울루
lanciata	시작됨
segmento	세그먼트
teodoro	시어도어
ass	엉덩이
chiusi	비공개
chiusi	닫힌
ginocchio	무릎
guadagnare	적립
guadagnare	적립
sullivan	설리번
wind	바람
jackie	재키
turisti	관광객
duetto	듀엣
duetto	duet
early	초기
early	일찍
consorte	배우자
chiavi	키키
chiavi	열쇠
chiavi	키키
celle	셀프
celle	세포
celle	세포
parente	상대
parente	상대적
parente	친척
vivi	생방송
vivi	라이브
vivi	alive
vandalismo	반달리즘
vandalismo	파손
nativo	네이티브
punizione	징벌
punizione	처벌
martello	망치
martello	해머
rangers	레인저스
rangers	레인저
kingdom	왕국
kingdom	킹덤
atomi	원자
atomi	아톰
atomi	원자
spa	spa
spa	스파
templi	신전
templi	사원
avvisi	알림
avvisi	공지사항
avvisi	공지
muoversi	움직여
muoversi	움직임
muoversi	이동
pittsburgh	피츠버그
ein	ein
elicottero	헬리콥터
elicottero	헬기
escluso	제외
escluso	제외됨
offerte	쿠폰
montgomery	몽고메리
trailer	예고편
trailer	트레일러
marcelo	마르셀로
accento	말투
cbs	cbs
helsinki	헬싱키
mother	엄마
mother	어머니
progettista	디자이너는
progettista	설계자
progettista	디자이너
progettista	디자이너가
mista	엇갈린다
mista	혼합
brandon	브랜던
medina	메디나
islanda	아이슬란드
compositori	작곡가
donazione	기부
donazione	기부금
donazione	기증
sentieri	경로
sentieri	트레일
sentieri	궤적
sentieri	흔적
dawn	새벽
patti	패티
sequenze	시퀀스
hardcore	하드코어
helena	헬레나
another	또다른
ladro	도둑놈
ladro	도둑
streghe	마녀
streghe	마녀
alias	별칭
alias	별명
alias	aka
alias	alias
alias	별칭
alias	별명
equazioni	방정식
equazioni	방정식
percy	퍼시
electric	전기
falsa	거짓
falsa	가짜
falsa	허위
falsa	가짜
sottolineare	밑줄
superficiale	얕은
kill	킬링
papà	아빠
complimenti	축하드립니다
complimenti	축하합니다
complimenti	칭찬
complimenti	축하해
sovranità	주권
eliminati	삭제됨
eliminati	삭제함
eliminati	삭제되었습니다
eliminati	탈락
muscolare	근육
muscolare	근육
genesi	제네시스
genesi	창세기
genesi	천지창조
log	로그
seduta	앉은
pellegrino	순례자
hero	히어로
hero	영웅
attraversare	건널
attraversare	건널목
attraversare	건너
assistito	원호
gibson	깁슨
combattenti	파이터스
combattenti	파이터
combattenti	파이터즈
alieni	에이리언
alieni	외계인
alieni	외계인
vini	와인
vini	포도주
vini	와인
vinile	비닐
avenue	애비뉴
jenny	jenny
jenny	제니
minoranze	소수
distacco	분리
mancata	놓쳤다
prefisso	접두어
prefisso	접두사
cometa	혜성
kit	키트
kit	키트
kit	kit
vampiri	뱀파이어
vampiri	흡혈귀
dichiarazioni	선언
accessibile	접근
colombiano	콜롬비아
ragusa	라구사
separato	분리됨
separato	별거
separato	분리
separato	따로따로
separato	따로
mori	모리야
mori	모리
sparare	촬영
correggere	정답
correggere	올바른
esclusione	제외
esclusione	배제
duke	공작
duke	듀크
virtuale	가상
virtuale	버추얼
midi	미디
midi	midi
generato	잉태
generato	생성
fighter	전투기
fighter	파이터
loco	loco
wonder	원더
wonder	궁금해
gravidanza	임신
mercante	상인
mercante	업체
mercante	판매자
negativi	부정적
negativi	음수
negativi	음성
negativi	원판
battere	beat
battere	이겨
battere	비트
battere	뛰고
grassetto	굵게
grassetto	굵은
grassetto	대담
algoritmo	알고리즘
riscatto	구원
calda	따뜻하다
marion	매리언
marion	마리온
consulente	충고
consulente	컨설턴트
edmund	에드먼드
fitzgerald	피츠제럴드
abu	abu
holland	홀랜드
tastierista	키보디스트
versailles	베르사이유
versailles	베르사유
slovacco	슬로바키아
slovacco	슬로바키아어
slovacco	슬로바키아
slovacco	슬로바키아인
slovacco	슬로바키아어
malato	아파
malato	아픈
malato	아프다
pagani	이교도
pagani	이교도
registra	레코드
registra	녹음
registra	녹화
registra	기록
sandy	샌디
libano	레바논
libano	레바논
isolamento	격리
isolamento	고립
schieramento	배포
martedì	화보
martedì	화이팅
harper	하퍼
automobili	자동차
automobili	차량
elettroni	전자
elettroni	전자
compromesso	타협
compromesso	훼손
compromesso	해킹
march	행진
march	행진곡
interrotto	중단됨
interrotto	중단됨
lunare	음력
hearts	하트
dichiarata	선포
pozzi	웰스
discorsi	연설
dipendenza	의존
dipendenza	의존성
dipendenza	종속
dipendenza	의존
dipendenza	의존성
dipendenza	중독증
dipendenza	중독
bolivia	볼리비아
nasconde	숨기기
insegnare	교육
insegnare	교사
insegnare	가르침
insegnare	가르쳐
stretti	해협
levante	레반트
mezzanotte	자정
mezzanotte	midnight
mezzanotte	미드나이트
mezzanotte	미드나잇
pia	pia
salvataggio	절약
salvataggio	저장
salvataggio	구출
salvataggio	구조
distinto	뚜렷한
bristol	브리스틀
bristol	브리스톨
rich	부자
compressione	압축
legislativo	입법
stampato	인쇄물
stampato	인쇄
beverly	베벌리
beverly	비벌리
sposta	움직여
sposta	움직임
sposta	이동
armonia	하모니
armonia	조화
armonia	화합
edison	에디슨
ripetutamente	반복적으로
patty	패티
ain	아인
devozione	헌신
pronta	준비
meeting	모임
meeting	회의
meeting	만남
meeting	미팅
bestia	짐승
bestia	비스트
tattica	전략
tattica	전술
tattica	전술
tattica	전술
stimato	추정
gioacchino	요아킴
maine	메인
fermato	중단됨
spam	스팸
circle	서클
circle	circle
draghi	드래곤스
draghi	드래곤
draghi	드래곤즈
circuiti	회로
circuiti	서킷
circuiti	회로
contratti	계약
contratti	계약서
coupé	쿠페
buffalo	버팔로
buffalo	버펄로
pam	pam
suddivisi	나눈
sasso	바위
sasso	rock
lituania	리투아니아
facilità	쉽게
facilità	쉬운
facilità	쉬워
facilità	아쉬운
datazione	연애
datazione	데이트
furto	강도
furto	도난
furto	절도
furto	도둑
furto	도둑질
mediterranea	지중해
cabina	택시
cabina	객실
cabina	오두막
bennett	베넷
pensieri	생각
circo	서커스
ebreo	유대인
ebreo	유대교
ebreo	유대인
ebreo	히브리어
ebreo	히브리
locomotiva	기관차
saluti	인사
bush	부시
chelsea	첼시
chelsea	chelsea
progresso	진행
effettivo	실제
olimpia	올림피아
privilegi	특권
privilegi	권한
esplorazione	탐험
esplorazione	스카우트
esplorazione	탐험
esplorazione	탐사
minimi	최소
village	빌리지
village	마을
reid	리드
proiezione	프로젝션
proiezione	도법
proiezione	투영
proiezione	상영
proiezione	시사회
persia	페르시아
pelliccia	모피
pelliccia	모피
tocca	누르세요
tocca	누르기
tocca	누르면
firmare	기호
firmare	서명
firmare	사인
osaka	오사카
through	통해
pinna	지느러미
alternativo	대안
alternativo	얼터너티브
inutili	쓸모없는
inutili	쓸데없는
inutili	불필요한
inutili	불필요
bart	bart
bart	바트
omar	오마르
compton	콤프턴
estonia	에스토니아
trattative	협상
trattative	협상
municipale	시영
muhammad	무하마드
muhammad	무함마드
muhammad	모하메드
muhammad	무함마드
viktor	빅토르
cave	케이브
cave	동굴
biologica	생물학
philipp	필립
logan	로건
necropoli	네크로폴리스
danneggiato	손상
danneggiato	손상된
nigeria	나이지리아
nigeria	나이지리아
valentina	발렌티노
valentina	발렌티나
ascolto	듣기
ascolto	청취
oklahoma	오클라호마
magazzino	창고
magazzino	웨어하우스
tramonto	선셋
tramonto	석양
tramonto	일몰
benz	벤츠
reputazione	평판
reputazione	명성
suggerimenti	추천
suggerimenti	제안
zagabria	자그레브
malesia	말레이시아
malesia	말레이시아어
costiere	연안
costiere	해안
monasteri	수도원
rebecca	리베카
rebecca	레베카
wwf	wwe
wwf	wwf
vancouver	밴쿠버
hannover	하노버
hannover	하노버
itunes	아이튠스
itunes	아이튠즈
missouri	미주리
denuncia	불만
lusso	명품
lusso	럭셔리
rigido	뻣뻣한
eccezioni	예외
eccezioni	예외
ragni	거미
ragni	거미
ragni	스파이더
zeus	제우스
forever	영원
forever	영원히
forever	forever
forever	영원한
strange	이상한
strange	이상하다
artistici	예술적
hardware	하드웨어
interessata	관심사
interessata	관심
registrate	등기
registrate	등록
registrate	녹음
registrate	녹화
pazzo	미쳐
pazzo	미친
pazzo	mad
rana	개구리목
rana	개구리
rana	평영
foglia	나뭇잎
foglia	리프
scoperti	발견됨
itf	itf
neutrale	중성
neutrale	중립성
neutrale	중립
laboratori	워크샵
laboratori	워크숍
laboratori	실험실
laboratori	연구소
laboratori	연구실
laboratori	연구소
laboratori	실험실
insulti	모욕을
insulti	모욕
insulti	모욕
marty	마티
radicali	급진주의
genetica	유전자
nicchia	틈새
triangolare	삼각형
triangolare	삼각
rinnovamento	갱신
accoglienza	접수
kings	킹스
abbreviato	단축
procura	프록시
procura	대리
misteri	미스테리
misteri	미스터리
misteri	미스터리
misteri	신비
sepolcro	무덤
scenario	시나리오
scenario	시나리오는
underground	지하
underground	언더그라운드
connor	코너
catalano	카탈루냐
catalano	카탈루냐어
scarico	배기가스
ranger	레인저
ranger	레인저스
ranger	레인저
tensioni	긴장감
tensioni	텐션
tensioni	긴장
miglio	마일
identifica	식별
identifica	식별하기
muscoli	근육
muscoli	근육
isolato	고립어
isolato	고립
isolato	고립
doppietta	샷건
petra	페트라
piscina	수영장
lezione	레슨
lezione	교훈
lezione	수업
wimbledon	윔블던
inventato	발명
benefici	혜택
benefici	이득
utenze	유틸리티
nebulosa	성운
controlli	체크
controlli	수표
controlli	통제
controlli	제어
controlli	컨트롤
icona	아이콘
capolavoro	걸작
pretty	예뻐
contest	콘테스트
contest	대회
alone	홀로
alone	혼자
suzuki	스즈키
global	글로벌
global	전역
renania	라인란트
oreste	오레스테스
certificato	자격증
certificato	인증서
certificato	증명서
virgin	버진
virgin	처녀
interrompere	중단
interrompere	중지
avanzato	고급
paula	폴라
ricorrente	재발
ricorrente	정기
fenice	피닉스
visitato	방문
jose	조제
satelliti	인공위성
satelliti	위성
satelliti	인공위성
satelliti	위성
mancato	놓쳤다
azzurri	파란색
azzurri	청색
azzurri	푸른
azzurri	블루
azzurri	파랑
azzurri	푸른색
montréal	몬트리올
carrello	트롤리
carrello	바스켓
carrello	바구니
carrello	카트
esami	시험
esami	시험
forno	오븐
gerald	제럴드
proiettili	총알
brooke	브룩스
brooke	브룩
islandese	아이슬란드어
islandese	아이슬란드
parallele	평행
parallele	병렬
markus	마르쿠스
beethoven	베토벤
determinante	행렬식
champion	챔피언십
champion	챔피언
alabama	앨라배마
solari	태양광
solari	태양
innovazione	혁신
afc	afc
brandeburgo	브란덴부르크
mister	미스터
portoghesi	포르투갈령
portoghesi	포르투갈어
hardy	하디
morrison	모리슨
indian	인도인
indian	인도
indian	인디언
joyce	조이스
alt	alt
alt	중지
alt	정지
tasse	세금
tasse	수수료
orizzonte	지평선
orizzonte	호라이즌
curve	곡선
curve	커브
curve	곡선
significati	의미
sinceramente	솔직히
pascal	파스칼
porter	포터
potenzialmente	잠재적으로
tennessee	테네시
frequenze	주파수
frequenze	빈도
analoga	비슷함
analoga	유사한
analoga	비슷한
analoga	유사
dorato	황금
dorato	골든
plus	플러스
julius	줄리어스
moldavia	몰도바
poli	폴리
cristalli	크리스탈
cristalli	크리스털
cristalli	크리스탈
ellen	엘런
ellen	엘렌
calma	차분한
calma	차분
calma	잔잔한
eccellente	훌륭한
transito	트랜싯
transito	환승
dts	dts
salisburgo	잘츠부르크
germanico	게르만어
germanico	게르만
richardson	리처드슨
lance	랜스
lance	스피어스
prezioso	소중한
valuta	통화
valuta	화폐
budget	예산
budget	예산
schumacher	슈마허
innocenti	무죄
innocenti	innocent
armonica	조화
armonica	하모니카
favorito	favourite
favorito	즐겨
favorito	좋아하는
tomo	tomo
autobiografia	자서전
dreams	드림
proiettile	총알
proiettile	탄환
casalinga	가정주부
acquistata	구매
acquistata	샀다
rabbi	랍비
vigilia	이브
vigilia	에이브
repressione	억압
repressione	단속
champagne	샴페인
elementari	초등
inganno	속임수
inganno	속임수
macchie	얼룩
macchie	얼룩
macchie	스팟
macchie	반점
insegnamenti	가르침
investimenti	투자
investimenti	투자
paesaggi	풍경
weber	웨버
eletta	선출
tina	티나
janet	재닛
janet	자넷
dresda	드레스덴
sviluppate	선진
pratico	실무
pratico	실용적
pratico	실용
allegro	알레그로
allegro	allegro
suggerito	추천
louvre	루브르
strategico	전략적
spina	플러그
spina	플러그인
natural	자연
natural	천연
apprendimento	학습
pacchetto	패킷
pacchetto	소포
pacchetto	패키지
ascoltare	듣기
ascoltare	청취
emozioni	정서
emozioni	감정
emozioni	흥분
emozioni	감정
mercoledì	수요일
vacanze	휴일
vacanze	연휴
vacanze	공휴일
vacanze	명절
crawford	크로포드
crawford	크로퍼드
luminosità	밝기
percezione	지각
percezione	인식
omosessualità	lgbt
omosessualità	동성애
omosessualità	동성애자
spirit	스피릿
spirit	정신
scatola	box
scatola	상자
scatola	박스
mercury	수성은
mercury	수성
mercury	머큐리
cache	캐시
triste	슬픔
triste	슬픈
triste	슬프다
intelligence	지능
ncaa	ncaa
preside	교장
sospensioni	서스펜션
sospensioni	현수막
sospensioni	현수
portali	포탈
portali	포털
nervoso	긴장감
nervoso	긴장
identico	동일한
identico	동일
identico	동일함
annunciata	발표
pazienza	인내심
pazienza	인내
stage	인턴십
stage	인턴
stage	스테이지
stage	무대
chase	체이스
nico	니코니코
nico	니코
born	born
born	출생
born	탄생
sporting	스포팅
stark	스타크
muscolo	근육
integrata	통합
conversazione	대화하기
conversazione	대화
caricato	업로드
convenzioni	컨벤션
gomma	고무
gomma	지우개
gomma	잇몸
ideologia	이데올로기
pensando	생각
plurale	복수형
plurale	복수
britannia	브리타니아
letterari	문학
crazy	미쳐
crazy	미친
cattiva	bad
cattiva	나쁜
cattiva	나쁘다
kenya	케냐
jet	제트
jet	제트기
epidemia	확산
maratona	마라톤
burke	버크
lettone	라트비아
lettone	라트비아인
lettone	라트비아어
entusiasmo	열정
entusiasmo	열정
pensi	생각하기
pensi	생각
infezione	감염증
infezione	염증
infezione	감염
demolizione	폭파
sherman	셔먼
élite	엘리트
ferri	아이언스
carlotta	샬럿
carlotta	샬롯
commedie	코미디
commedie	희극
commedie	코메디
commedie	코미디
commedie	희극
drake	드레이크
socialismo	사회주의
estremi	극단
heroes	영웅
heroes	히어로
heroes	히어로즈
schneider	슈나이더
telescopio	망원경
zombie	좀비
zombie	좀비
bere	음주
bere	마시기
bere	음료
bere	음료수
miracoli	기적
miracoli	기적
eagle	독수리
eagle	이글
uss	uss
nani	난쟁이
nani	왜소은하
mad	mad
sally	샐리
mobilità	모빌리티
mobilità	mobility
presentati	제출
promesse	약속
umidità	습기
umidità	수분
umidità	습도
umidità	습기
nascosta	숨김
nascosta	숨겨져
nascosta	숨겨진
normanni	노르만인
normanni	노르만
normanni	노먼
once	온스
once	한번
once	once
fabbri	스미스
henderson	헨더슨
prototipi	프로토타입
prototipi	프로토타입을
prototipi	프로토타입
immigrati	이민
immigrati	이민자
validità	타당성
aristotele	아리스토텔레스
lotto	복권
lotto	배치
lotto	일괄
hulk	헐크
sintetico	합성
tiger	호랑이
tiger	타이거
pene	성기
pene	음경
elicotteri	헬리콥터
elicotteri	헬리콥터
elicotteri	헬기
complotto	플롯
complotto	음모론
before	이전
before	전에
polacchi	폴란드어
polacchi	폴란드
polacchi	폴란드인
insegnanti	교사들
insegnanti	교사
valeria	밸러리
comunica	소통
panini	샌드위치
panini	샌드위치
dipendenze	종속
dipendenze	의존
dipendenze	의존성
dipendenze	중독증
dipendenze	중독
dipendenze	종속
dipendenze	의존성
cartagine	카르타고
banchiere	은행원
joshua	joshua
joshua	조슈아
touch	touch
touch	터치
spirale	나선
spirale	나선형
prestigioso	명문
foglio	시트
occupati	점령
vietato	차단됨
vietato	금지
vietato	금지
rispetta	존경
rispetta	존중
cilindro	실린더
irlandesi	아일랜드어
irlandesi	아일랜드인
posa	포즈
posa	포즈
rimanenti	남음
cugina	사촌
cugina	사촌동생
peggiore	최악의
peggiore	최악
peggiore	악화
account	계좌
account	계정
imbarcazioni	보트
sopravvissuto	생존
sopravvissuto	살아남은
sopravvissuto	survivor
sopravvissuto	생존자
police	경찰
police	경찰관
efficiente	효율적
eccesso	초과
delfino	돌고래
still	아직도
still	여전히
berna	베른
berna	베른
living	생활
cattolicesimo	가톨릭교회
cattolicesimo	가톨릭주의
borghi	마을
christine	크리스틴
illustrazioni	삽화
illustrazioni	일러스트
illustrazioni	삽화
opus	오푸스
bradley	브래들리
germain	제르맹
germain	생제르맹
indossare	착용
complesse	콤플렉스
complesse	복합체
delitti	범죄
rinforzi	백업
funghi	버섯
funghi	곰팡이
funghi	버섯
turbo	터보
scenografia	경치
conservare	아껴
conservare	매장
conservare	가게
conservare	상점
conservare	스토어
adolescente	십대
adolescente	십대
adolescente	십대
adolescente	청소년
adolescente	사춘기
debiti	채무
debiti	부채
debiti	채무
debiti	부채
consistenza	텍스처
consistenza	질감
consistenza	일관성
sparisci	사라져
dimenticato	깜빡
dimenticato	잊혀진
diciotto	여덟
diciotto	열여덟
cavour	카보우르
matrimoni	결혼식
matrimoni	결혼
matrimoni	결혼식
matrimoni	웨딩
ingegneri	엔지니어
impossibilità	불가능
redattore	편집기
redattore	편집자
redattore	에디터
sorveglianza	감시
abolizione	폐지
drama	드라마
grammatica	문법
seriamente	진심
seriamente	심각하게
seriamente	진지하게
interruzione	인터럽트
lenta	느린
lenta	느려
lenta	느리게
bordi	국경
bordi	경계선
bordi	모서리
bordi	가장자리
bordi	엣지
bordi	모서리
bordi	edge
ballerino	댄서
ballerino	dancer
hand	핸드
visconte	자작
fibra	섬유
vaso	꽃병
cubano	쿠바
essenziali	필수
convinzione	신념
convinzione	믿음
convinzione	신앙
meccaniche	기계
tel	tel
timore	공포
timore	두려움
timore	공포증
sperando	바라며
viaggiare	여행
viaggiare	여행
zoo	동물원
zoo	동물원
chimiche	화학물질
chimiche	화학
troia	트로이아
troia	트로이
noah	노아
scadenza	성숙
scadenza	성숙도
scadenza	마감
scadenza	만료
scadenza	만기
berkeley	버클리
proteina	단백질
cia	cia
desideri	욕망
desideri	욕구
desideri	욕망이
desideri	소원
desideri	소망
desideri	소원
desideri	욕망
desideri	욕구
sax	삭스
rituale	의식
flying	flying
flying	플라잉
flying	날아라
flying	비행
logico	논리적
logico	논리학
logico	논리
pericolosa	위험한
pericolosa	위험하다
pericolosa	위험
irregolare	불규칙
condiviso	공유
vena	정맥
middle	중간
middle	가운데
legislazione	입법
legislazione	법률
acuto	급성
cresciuta	길러
sensazione	느낌이
sensazione	기분
sensazione	느낌
sensazione	감각
malvagio	사악한
malvagio	위키드
matilde	마틸다
federica	제니퍼
islamico	이슬람
legittimo	합법적인
limitare	제한
limitare	한계
limitare	제한
limitare	극한
interi	정수형
interi	정수
interi	정수
spesa	지출
spesa	비용
cecoslovacchia	체코슬로바키아
macedone	마케도니아어
macedone	마케도니아
macedone	마케도니아인
farfalla	나비
crash	추락사고
crash	추락
crash	충돌
crash	충돌
mica	미카
somministrazione	행정학
serbatoio	탱크
serbatoio	전차
serbatoio	저수지
ammasso	클러스터
ammasso	성단
platone	플라톤
teen	십대
domingo	도밍고
proprietaria	주인
proprietaria	소유자
seul	서울
custodia	양육
custodia	구류
miscela	혼합물
miscela	반죽
miscela	혼합
miscela	혼합
acquisita	습득
acquisita	획득
consecutiva	연속
geologica	지질학
geologica	지질
lions	라이온스
lions	라이언스
lions	사자
casino	카지노
pittrice	화가
tropicale	열대
indianapolis	인디애나폴리스
richmond	리치먼드
richmond	리치몬드
paradise	파라다이스
paradise	천국
paradise	낙원
fly	날아라
fly	플라이
triple	트리플
triple	삼중
controversie	분쟁
controversie	논란
controversie	논쟁
dalmazia	달마티아
bailey	베일리
chance	기회
follia	어리석음
follia	광기
follia	광기
mosè	모세스
mosè	모세
mosè	모스
giudicare	판단
giudicare	판사
buddhismo	불교
strasburgo	스트라스부르
correlati	관련
abitudine	버릇
abitudine	습관
riscaldamento	난방
distribuite	분산
peace	피스
peace	peace
peace	평화
rilevato	감지
rilevato	발견됨
amare	loving
custode	수호
custode	보호자
custode	가디언
custode	수위
francescano	프란치스코회
acquista	사기
fluido	수분
fluido	수액
fluido	액체
mystery	미스테리
mystery	미스터리
gotica	고딕
buddha	부처
buddha	부처님
sudan	수단
sterline	파운드
aperture	조리개
sostenitore	지지자
sostenitore	서포터
annullamento	취소
contenitore	용기
contenitore	컨테이너
polare	극성
mosaico	모자이크
samantha	사만다
gerardo	제라드
sodio	나트륨
casuale	무작위
casuale	무작위로
casuale	랜덤
casuale	캐쥬얼
casuale	캐주얼
fascisti	파시스트
rubare	훔쳐
rubare	도둑질
fbi	fbi
balletto	발레
balletto	발레단
vesti	드레스
magna	magna
prevenire	방지
prevenire	예방
bestiame	가축
bestiame	가축
editor	편집기
editor	편집자
editor	에디터
bass	베이스
bass	배스
corridoio	복도
corridoio	코리더
corridoio	통로
corridoio	통로로
paraguay	파라과이
funerale	장례식장
funerale	장례식
funerale	장례
willie	윌리
aia	헤이그
generation	세대
bandiere	깃발
bandiere	국기
bandiere	플래그
bandiere	플래그
bandiere	깃발
athletic	애슬레틱
ciro	사이러스
tram	트램
celebrazioni	축하
celebrazioni	축하
dinosauri	공룡
dinosauri	공룡
hopkins	홉킨스
africani	아프리카인
africani	아프리카
avvia	시작하기
avvia	시작
verticali	수직
verticali	세로로
verticali	세로
elica	나선
botte	배럴
svedesi	스웨덴어
svedesi	스웨덴
svedesi	스웨덴인
svedesi	스웨덴인
comitati	위원회
warwick	워릭
galassie	은하
galassie	은하
galassie	갤럭시
difetti	결함
difetti	결함
difetti	결점
