terrestri	terrestre
fissa	arreglat
distinguere	distingir
distinguere	distingint
bmw	bmw
campionessa	campió
campionessa	campiona
campionessa	champion
monarchia	monarquia
adolfo	adolfo
adolfo	adolphe
adolfo	adolf
spin	espín
spin	spin
michigan	michigan
violoncello	violoncel
applicata	aplicats
applicata	aplicat
applicata	aplicada
collaboratori	contribuents
monferrato	montferrat
monferrato	monferrato
gac	gac
esposti	exhibit
esposti	exposat
esposti	exposats
joão	joão
leon	leon
alexandre	alexandre
colli	colli
colli	turons
grotte	coves
alessandra	alexandra
alessandra	alessandra
definiti	definides
definiti	definit
definiti	definits
abiti	vestits
abiti	robes
abiti	roba
assi	aces
assi	asos
assi	eixos
filologo	filòleg
ostilità	hostilitat
ostilità	hostilitats
rodríguez	rodríguez
hop	hop
compleanno	aniversari
cristoforo	cristoforo
cristoforo	cristòfor
cristoforo	christopher
ernest	ernest
carrara	carrara
severo	sever
severo	severo
return	retornar
return	retorn
return	devolució
cecil	cecil
governi	governs
esistere	existeixen
esistere	existir
comandanti	comandants
pallone	globus
pallone	pilota
recitato	protagonitzar
attraversato	creuat
adatta	apte
arizona	arizona
wagner	wagner
promosse	promogut
promosse	promogudes
promosse	promoguts
cristallo	cristall
vercelli	vercelli
secco	secà
annibale	anníbal
crollo	plega
crollo	esfondrament
body	cos
combatté	lluitat
affetto	afecte
amanda	amanda
negozi	botigues
negozi	comerços
rca	rca
ignazio	ignazio
ronald	ronald
retro	retro
naso	nas
melbourne	melbourne
pastorale	pastoral
peste	plaga
peste	pesta
ghost	ghost
ghost	fantasma
harvey	harvey
isaac	isaac
pausa	break
pausa	descans
pausa	pausa
razze	races
formando	formant
hunt	hunt
coloni	pobladors
testimone	testimoni
mercati	mercats
vacante	vacant
lontana	llunyà
lontana	distant
tele	tendals
tele	tele
palmer	palmer
scrivi	escriu
reed	reed
acquisito	adquirit
acquisito	adquirits
sequel	seqüeles
sequel	seqüela
pellicole	films
pellicole	film
hms	hms
reality	realitat
transizione	transició
transizione	transitòries
taiwan	taiwan
taiwan	taiwanès
circondato	rodejats
circondato	envoltades
circondato	rodejat
pour	pour
cardinali	cardenalici
müller	müller
müller	muller
xxi	xxi
cantato	cantada
cantato	cantat
freccia	arrow
freccia	fletxa
colpevole	culpable
protocollo	protocol
claire	claire
folla	multituds
folla	multitud
concorrente	concursant
concorrente	competidor
libia	líbia
uniforme	uniforme
josh	josh
raro	rars
raro	rares
fausto	fausto
fausto	faust
dimostrazione	demostració
dimostrazione	demo
dimostrazione	demostració
dimostrazione	manifestació
concesse	atorgades
concesse	atorgat
concesse	concedit
concesse	concedides
concesse	concedida
eseguiti	executat
eseguiti	executada
impressione	impressió
run	executa
run	córrer
aperti	oberta
aperti	oberts
aperti	open
aperti	obre
aperti	obert
duchessa	duquessa
cavo	cable
carmelo	carmel
separata	separat
separata	separats
siviglia	sevilla
invita	invitacions
invita	convida
omicidi	homicidi
omicidi	assassinats
residente	resident
umbria	obaga
atletico	athletic
holmes	holmes
diga	presa
reato	crim
continuamente	ininterrompudament
continuamente	constantment
continuamente	contínuament
militante	militant
sismica	sísmica
contemporaneo	contemporani
contemporaneo	contemporània
trasformare	transformada
trasformare	transformar
trasformare	transforma
associati	associats
associati	associada
associati	associades
filadelfia	filadèlfia
filadelfia	philadelphia
vertice	tossal
vertice	cimera
vertice	vèrtex
attuazione	implementació
gregory	gregori
gregory	gregory
narrativa	narrativa
narrativa	narració
narrativa	ficció
procuratore	fiscal
operatori	operaris
operatori	operadors
operatori	operadores
menzione	menció
dar	dar
verbo	verb
distribuita	repartit
distribuita	distribuïda
distribuita	distribuïts
distribuita	distribuïdes
suggerisce	suggereix
uguali	iguals
creatore	maker
creatore	creador
leva	palanca
macchia	desenfocament
macchia	blur
intenzioni	intencions
intenzioni	intencionalitat
rudolf	rudolf
soglia	llindar
ortodossa	ortodox
hope	esperança
liberato	alliberades
liberato	alliberada
liberato	alliberat
automatica	automàtic
automatica	automàtica
pirenei	sallent
pirenei	pirineus
guardare	rellotge
guardare	veient
guardare	mirant
nuotatore	nedador
perielio	perihelion
rivali	rival
manoscritti	manuscrits
manoscritti	manuscrit
controllata	subsidiària
controllata	filial
controllata	controlat
controllata	controlada
controllata	controlats
rettore	degà
rettore	dean
rettore	vicedegà
rettore	degana
rettore	rector
folk	folk
beatles	beatles
beatles	beatle
costruttori	constructors
costruttori	fabricants
significativa	significativa
significativa	significatiu
significativa	significatives
significativa	significatius
lou	lou
tubo	pipa
tubo	canonada
tubo	tub
adottata	adoptats
adottata	adoptat
decisivo	decisiu
contenenti	contenint
canonico	cànon
canonico	canònica
rex	rex
gestisce	gestiona
giove	júpiter
comprensione	enteniment
comprensione	comprensió
comprensione	entesa
comprensione	entenent
fisici	físic
recensioni	ressenyes
recensioni	crítiques
recensioni	revisions
vangelo	evangeli
caratterizzati	caracteritza
caratterizzati	caracteritzat
cesena	cesena
rogers	rogers
imperatrice	emperadriu
ieri	ahir
intervallo	interval
intervallo	interval
poetica	poètic
poetica	poètica
divisi	dividits
divisi	dividit
violinista	violinista
pericoloso	perillós
pericoloso	perillosos
true	cert
true	true
analogo	anàleg
analogo	anàleg
analogo	anàloga
secondario	secundari
secondario	secundaria
slovenia	eslovènia
negativa	negatiu
organista	organista
crociera	lament
crociera	creuer
sufficientemente	suficientment
sonic	sonic
anteprima	previsualitza
anteprima	previsualització
carol	carol
han	han
pura	purs
pura	pura
pura	pur
inaugurazione	obertura
adolf	adolf
correre	executa
correre	córrer
orale	oral
orale	orals
aggiornata	actualitzat
rione	rione
eccezionalmente	excepcionalment
beat	beat
sprint	sprint
sprint	esprint
dinamo	dinamo
liberty	llibertat
trinità	trinity
trinità	trinitat
guillermo	guillermo
aggiungendo	sumant
violento	violent
riforme	reforma
riforme	reformes
cipro	xipre
demoni	dimoni
demoni	dimonis
massachusetts	massachusetts
corde	cordes
corde	cadenes
presidenti	presidents
presidenti	president
mine	mines
mine	mina
digimon	digimon
carità	caritat
leggende	llegendes
leggende	legends
leggende	llegenda
leggende	legend
saverio	xavier
saverio	saverio
molecole	molècula
molecole	molècules
sacrificio	sacrifici
architetti	arquitectes
cava	pedrera
cava	cava
sospetto	sospita
sospetto	sospitós
terminale	terminal
lombardi	lombardi
benzina	gasolina
benzina	benzina
benzina	benzina
benzina	gasolina
zar	tsar
elementare	elemental
elementare	elementals
reggente	regent
five	five
five	cinc
rispettare	respect
rispettare	respecte
olanda	holanda
olanda	holland
fatica	fatiga
generazioni	generacions
hal	hal
derivati	derivades
derivati	derivats
derivati	derivat
derivati	derivada
consentito	permesos
consentito	permès
seggi	seients
seggi	assentaments
cantare	cantar
cantare	sing
cantare	cant
cantare	cantant
provinciali	provincial
referendum	referèndum
referendum	referèndums
apostolo	apòstol
fischio	xiulet
fischio	xiular
contee	comarques
gestore	gestor
teramo	teramo
indie	indie
africano	africà
africano	african
suite	suite
suite	suites
qualifica	titulació
affiancato	flanquejat
guillaume	guillaume
lino	lino
lino	lli
capaci	capaç
capaci	capaces
capaci	capaços
ira	ira
make	make
conduzione	conducta
curtis	curtis
enormi	enorme
efficienza	eficiència
nina	nina
significativi	significatives
significativi	significatius
nodo	node
nodo	nus
heaven	cel
heaven	heaven
unire	ajunta
unire	fusiona
unire	fusionar
ostacoli	barreres
ostacoli	obstacles
ostacoli	obstacle
sinfonia	simfonia
pasta	pasta
pasta	enganxa
massacro	massacre
rolling	rolling
fall	caiguda
leoni	leoni
leoni	lions
leoni	lleons
convegno	conferència
boemia	bohèmia
derivata	derivat
derivata	derivada
centimetri	centímetres
centimetri	polzades
ginnastica	gimnàstica
identificare	identificar
identificare	identificant
amanti	lovers
amanti	amants
mason	mason
odore	olor
odore	olor
frutta	fruit
frutta	fruita
frutta	fruites
frutta	fruits
algeria	algerià
algeria	algèria
gradualmente	gradualment
calice	calze
crimini	crims
crimini	delictes
crimini	crim
organico	organic
organico	orgànic
organico	orgànica
estinzione	extinció
totali	totals
trattare	tractar
trattare	tracta
catene	cadenes
catene	cadena
rara	rars
rara	rares
rimuovere	elimina
eyes	ulls
eyes	eyes
face	cara
face	face
sinonimi	sinònims
sinonimi	sinònim
vettore	vector
vettore	portadora
vettore	transportista
appassionato	enthusiast
appassionato	apassionat
appassionato	apassionada
mons	mons
fabbricato	fabricat
fabbricato	fabricats
sensibilità	sensibilitat
dominazione	dominació
gola	congost
annuario	anuari
annuario	anuaris
irene	irene
songs	cançons
songs	songs
soap	sabó
gatti	gats
cameron	cameron
evidenti	obvi
evidenti	evident
naturalista	naturalista
suonato	jugat
suonato	tocava
cintura	cinturó
gorizia	gorizia
procedimento	procedint
procedimento	procediment
uccisione	matar
giovan	giovan
parchi	parcs
sottostante	subjacent
attacca	atacs
trovati	trobat
distanze	distàncies
distanze	distància
uruguay	uruguai
certezza	certesa
felix	fèlix
cook	cook
cook	cuiner
lotte	lotte
lotte	lluites
materie	assignatures
birra	cervesa
birra	beers
birra	cerveses
sviluppi	desenvolupaments
esplicitamente	explícitament
stanze	habitacions
stanze	sales
dita	dits
dita	dit
klaus	klaus
continuando	continuant
altopiano	highland
altopiano	altiplà
sierra	sierra
screenshot	instantània
confessa	confesso
confessa	confessar
confessa	defensava
jeremy	jeremy
elegante	elegant
elegante	elegants
copa	copa
operaio	treballador
becker	becker
adiacente	adjacents
adiacente	adjacent
cannes	canes
cannes	cannes
volare	fly
volare	volant
democratici	democràtica
democratici	democràtic
democratici	demòcrates
democratici	demòcrata
pontificia	pontifícia
giuridico	jurídic
giuridico	legal
giuridico	legals
ambientali	ambientals
ambientali	ambiental
hepworth	hepworth
sentimento	sentiment
sentimento	sentiments
tubi	pipes
tubi	canonades
tubi	mànegues
tubi	tubs
positivi	positiu
positivi	positiva
positivi	positius
money	diners
money	diner
sopravvivere	sobreviure
sopravvivere	sobreviure
ricercatori	investigadors
cifre	dígits
cifre	dígit
cifre	xifres
cifre	figures
consorzio	consorci
mensile	mensualment
mensile	mensuals
mensile	mensual
inviare	envia
trek	trek
scarso	escàs
scarso	escassos
scarso	escasses
vasi	nanses
vasi	gerros
provenienza	procedència
giocata	jugat
giocata	tocava
stili	estils
costanza	constança
superfici	superfícies
legenda	llegenda
legenda	legend
povertà	pobresa
fibre	fibra
fibre	fibres
espresse	expressats
espresse	expressada
espresse	expressat
avellino	avellino
ettari	hectàrees
ettari	hectàrea
crociata	croada
crociata	creuades
aggiunti	afegits
aggiunti	afegit
concorrenza	competició
concorrenza	competència
beck	beck
veloci	ràpid
xxx	xxx
annualmente	anualment
caduto	caigut
leslie	leslie
animato	animades
animato	animat
sorgenti	springs
sorgenti	fonts
jedi	jedi
annunziata	annunziata
bizantina	bizantí
clara	clara
competenze	competencials
competenze	aptituds
competenze	habilitats
competenze	competències
competenze	peritatge
quartetto	quartet
funzionario	official
productions	produccions
stadi	estadis
stadi	etapes
prezzi	preus
sacri	sagrat
enzima	enzim
scelti	triats
scelti	elegit
scelti	escollida
poetessa	poeta
coloniale	colonial
gang	colla
gang	bandas
lana	llana
adiacenti	adjacents
adiacenti	adjacent
disastro	desastre
costanzo	costanzo
testimoni	testimonis
testimoni	testimoni
diffusi	generalitzat
diffusi	generalitzada
diffusi	difusa
coltivazione	cultiu
coltivazione	conreu
magnus	magnus
quattordici	catorze
tronco	tors
considerazioni	consideracions
straordinario	extraordinaris
straordinario	extraordinària
straordinario	extraordinàries
camere	habitacions
camere	sales
vicinanza	proximitat
qualifiche	titulacions
consecutivi	consecutives
consecutivi	consecutius
consecutivi	consecutiva
archeologia	arqueologia
apprezzato	apreciada
apprezzato	apreciats
apprezzato	apreciat
solido	sòlid
straniera	estranger
straniera	exteriors
muri	murs
muri	parets
catanzaro	catanzaro
servito	servit
servito	servits
muso	musell
apparente	aparents
apparente	aparent
owen	owen
kenneth	kenneth
randy	randy
controllato	controlat
controllato	controlada
controllato	controlats
controllato	comprovat
marta	marta
marta	martha
architettonico	arquitectòniques
short	curt
oslo	oslo
grammy	grammy
abbigliamento	indumentària
abbigliamento	confecció
abbigliamento	robes
abbigliamento	roba
where	on
serpente	serp
serpente	serpent
felicità	felicitat
particolarità	peculiaritats
straordinaria	extraordinaris
straordinaria	extraordinària
straordinaria	extraordinàries
interessati	afectat
interessati	interessat
interessati	interessats
vincente	guanyador
vincente	guanyadora
peggio	pitjor
doria	doria
rare	rars
rare	rares
bosnia	bòsnia
artistiche	artístic
artistiche	artística
artistiche	artístics
rivolte	aldarull
rivolte	revolta
rivolte	motí
rivolte	aixecaments
cornice	fotograma
cornice	marc
vivente	vivint
capitan	capità
nona	nona
nona	novè
lapide	làpida
urss	urss
territoriali	territorial
territoriali	territorials
sapienza	sapienza
sapienza	saviesa
offerto	ofert
vampiro	vampir
strisce	tires
strisce	ratlles
maturità	maduresa
maturità	venciment
recitazione	actuant
dottorato	doctorat
miracolo	miracle
corda	corda
corda	corda
ninja	ninja
ninja	ninges
triangolo	triangle
incinta	embarassada
incinta	embarassades
datata	datat
feltrinelli	feltrinelli
annessione	annexió
gallerie	galeries
gallerie	túnels
confermata	confirmat
cittadella	ciutadella
fortunato	sort
fortunato	fortunato
human	humà
human	humans
afelio	aphelion
vestiti	robes
vestiti	roba
corsica	còrsega
trophy	trofeu
inviati	enviats
inviati	enviat
carnevale	carnaval
carnevale	carnestoltes
impulso	impuls
lucy	lucy
asiatico	asiatic
asiatico	asiàtics
eco	eco
eco	ressó
eco	echo
lars	lars
wikipediani	wikipedistes
latini	llatí
urbino	urbino
powell	powell
ricognizione	reconnaissance
mind	ment
lento	slow
lento	lent
pacific	pacífic
pacific	pacific
venduta	venut
venduta	venuda
mars	mart
mars	mars
jonas	jonas
public	públic
public	públics
public	public
public	públiques
fortificazioni	fortificació
fortificazioni	fortificacions
thailandia	tailàndia
rit	rit
radiazione	radiació
radiazione	radiacions
veda	veda
vario	variats
vario	divers
sopravvivenza	supervivència
vitagraph	vitagraph
accompagnata	acompanyats
accompagnata	acompanyat
xavier	xavier
visitatori	visitants
visitatori	visitant
roberta	roberta
saltare	salta
saltare	salta
saltare	omet
saltare	saltant
laguna	laguna
laguna	llacuna
alpha	alpha
alpha	alfa
rappresentati	representada
rappresentati	representats
rappresentati	representades
rappresentati	representat
derek	derek
nestor	nestor
stoccarda	stuttgart
castiglione	castiglione
tullio	tullio
galli	cigales
atlantic	atlantic
atlantic	atlàntic
nutre	alimenta
seguaci	seguidors
ricostruito	reconstruit
ricostruito	reconstruït
secondari	secundari
secondari	secundaria
rispettivi	respectives
rispettivi	respectius
rispettivi	respectiva
rispettivi	respectiu
fusoliera	buc
nominata	nominat
nominata	nominada
butler	butler
butler	majordom
sospeso	suspès
sospeso	suspesa
sospeso	suspesos
apostoli	apòstols
walt	walt
vendute	venut
vendute	venuda
volti	cares
cooperazione	cooperació
verlag	verlag
altamente	altament
egiziano	egipci
mississippi	mississipí
armeno	armeni
miniere	mineria
miniere	mines
rilascio	alliberació
rilascio	alliberament
uniche	úniques
uniche	únic
ashley	ashley
afghanistan	afganistan
miranda	miranda
armistizio	treva
armistizio	armistici
missile	coet
missile	míssil
pugno	puny
liegi	lieja
astronomia	astronomia
pensione	pensió
masse	masses
ezio	ezio
depositi	dipòsits
corruzione	suborn
corruzione	corrupció
mila	mila
direttiva	directiva
avviato	començat
avviato	iniciat
spettro	ghost
spettro	fantasma
spettro	spectre
spettro	espectre
pannelli	plafons
pannelli	panells
garcia	garcia
garcia	garcía
garcia	garcía
genera	generar
genera	genera
genera	genera
illuminazione	enllumenat
doge	dux
singapore	singapur
singapore	singapore
fisher	fisher
minacce	amenaces
minacce	amenaça
dovere	deure
armstrong	armstrong
mezzogiorno	migdia
mangiare	menjant
mangiare	menja
aurora	aurora
trappola	trampa
trappola	trap
albano	albano
bucarest	dosrius
bucarest	bucarest
karen	karen
cortina	cortina
esposta	exposat
esposta	exposats
meccanismi	mecanismes
bang	bang
intraprese	escomeses
fattoria	granja
allestimento	escenificació
allestimento	retallant
marinai	mariners
camp	campament
camp	camp
barriera	barrera
petrolio	oli
petrolio	petroleum
petrolio	petroli
mas	mas
protestante	protestant
jaime	jamie
jaime	jaime
avanguardia	vanguardia
primario	primària
primario	primari
duncan	duncan
amata	estimat
amata	estimava
arancione	orange
arancione	taronja
legnano	legnano
lipsia	leipzig
orazio	orazio
orazio	horatio
orazio	horace
tyler	tyler
elite	elit
joel	joel
combinata	combinats
combinata	combinada
combinata	combinades
combinata	combinat
alpini	alpí
incisione	aiguafort
wendy	wendy
stand	casetes
stand	stand
stand	booth
stand	caseta
rom	rom
quattrocento	quattrocento
sacramento	sagrament
disposizioni	disposicions
complete	completa
complete	complet
protetto	protegit
carburante	combustible
xbox	xbox
rabbia	colera
rabbia	ràbia
erroneamente	erròniament
julien	julien
kenny	kenny
spinto	empesos
uscite	sortida
uscite	sortides
seven	set
giovedì	dijous
manhattan	manhattan
protette	protegit
colpita	impressionat
colpita	impressionada
finanziario	financer
finanziario	financera
imparare	aprenentatge
imparare	aprèn
imparare	aprendre
imparare	apreneu
dignità	dignitat
ridotte	reduït
ridotte	reduïda
rari	rars
rari	rares
cacciatori	caçadors
romanico	romànic
cavità	cavitat
cavità	cavitats
espressioni	expressions
violenta	violent
debito	deute
assumendo	assumint
assumendo	suposant
hank	hank
decimale	decimal
adventures	aventures
falco	falcon
falco	falcó
falco	hawk
falco	falco
torinese	torinese
foster	foster
continue	continu
ristampa	reedició
ristampa	reimpressió
lirica	líric
madame	madame
iscrizioni	inscripcions
iscrizioni	matriculació
iscrizioni	inscripció
presbiterio	presbiteri
marx	marx
daniela	daniela
storm	tempesta
fretta	rush
portaerei	portadora
portaerei	transportista
polemica	argumentativa
polemica	controvèrsia
polemica	polèmica
elsa	elsa
battesimo	bateig
battesimo	baptisme
battesimo	bateig
laurent	laurent
interazione	interacció
islamica	islàmic
islamica	islàmica
diagnosi	diagnosi
diagnosi	diagnòstic
diagnosi	diagnòstics
africana	africà
africana	african
prestazione	actuació
prestazione	rendiment
adulto	adult
medioevale	medieval
carla	carla
digitali	digital
ferita	ferida
conservate	conservats
conservate	conservat
glasgow	glasgow
controlla	comprovació
hawaii	hawaii
reliquie	relíquia
reliquie	relíquies
dolci	pastissos
dolci	dolç
dolci	dolços
dolci	dolça
dolci	postres
shanghai	shanghai
shanghai	xangai
malcolm	malcolm
espressa	expressi
espressa	express
espressa	expressar
espressa	expressats
espressa	expressada
espressa	expressat
quotidiani	periòdics
quotidiani	diaris
poggio	poggio
false	fals
false	false
false	falses
evil	maldat
operativi	operatiu
operativi	operatius
operativi	operativa
improvviso	sobtada
censura	censors
censura	censor
censura	censurar
censura	censura
browser	navegadors
browser	navegador
ombre	ombres
ombre	ombra
ombre	shadow
nasa	nasa
alonso	alonso
sconosciuta	desconegut
sconosciuta	desconeguda
ducale	ducal
ducale	ducale
sicilie	sicílies
margini	marges
margini	marge
incrocio	intersecció
catturati	capturats
catturati	captades
catturati	capturat
stevens	stevens
doug	doug
gilles	gilles
imo	imo
pakistan	pakistan
rod	rod
invisibile	invisible
ltd	ltd
unesco	unesco
mammiferi	mammalian
mammiferi	mamífers
mammiferi	mamífer
superstiti	supervivents
biologia	biologia
propulsione	propulsió
sonata	sonata
crema	crema
crema	nata
assia	hessen
esclusiva	exclusiu
esclusiva	exclusiva
profeta	profeta
cartone	cartó
cartone	cartró
attivamente	activament
bando	preavís
provenza	provença
provenza	provenza
brigate	brigades
incredibile	increïble
incredibile	increïble
incredibile	increible
comunicare	comuniqueu
comunicare	comunicant
discreto	discret
discreto	discret
discreto	discreta
assegnazione	assignació
assegnazione	cessió
patricia	patricia
sfruttamento	explotació
bond	vincle
bond	lligam
basilea	basilea
sviluppati	desenvolupat
sviluppati	desenvolupats
ana	ana
cerchi	cercles
cerchi	rims
rap	rap
sparta	esparta
baroni	barons
persiano	persa
six	sis
six	six
cileno	xilè
visite	visites
veronica	veronica
generare	generant
generare	generar
generare	genera
valvole	vàlvula
valvole	vàlvules
tolosa	toulouse
tolosa	tolosa
maya	maya
pink	pink
pink	rosa
raggiungibile	assolible
acquistare	compra
acquistare	compra
acquistare	buy
acquistare	comprar
decima	desena
decima	desè
trascorso	transcorregut
parodia	paròdia
wells	pous
alejandro	alejandro
risposto	respost
risposto	respost
risposto	contestat
risposto	contestada
ordina	ordena
ordina	orde
ordina	ordre
made	fetes
made	feta
marketing	màrqueting
marketing	marketing
marketing	comercialització
ventura	ventura
etica	ètic
etica	ètica
convoglio	comboi
turni	torns
cole	cole
ribelle	rebel
ribelle	renegat
dinamica	dinàmic
dinamica	dinàmica
apparsa	aparegut
trampolino	trampolí
emi	emi
montato	muntades
montato	muntat
montato	muntada
edilizia	construcció
plastica	plàstics
plastica	plàstic
vantaggi	prestacions
vantaggi	beneficis
vantaggi	avantatges
vantaggi	avantatge
risolto	resolt
risolto	corregit
risolto	fix
risolto	fixes
risolto	arreglat
clarke	clarke
gun	pistola
gun	arma
adottare	adoptar
narrazione	narració
narrazione	narrativa
narrazione	narració
navrátilová	navrátilová
distribuiti	repartit
distribuiti	distribuïda
distribuiti	distribuïts
distribuiti	distribuïdes
osservatore	observador
osservatore	vigilant
fair	fira
original	original
diamante	diamond
diamante	diamant
coinvolgimento	implicació
quote	quotes
divino	divina
caos	caos
ripeto	repeteix
ripeto	repetició
divorzio	divorci
planet	planeta
shaw	shaw
imperatori	emperador
imperatori	emperadors
globe	globus
globe	globe
volontario	voluntària
volontario	voluntària
volontario	voluntari
hughes	hughes
linux	linux
ivo	ivo
riservata	reservat
riservata	reservada
riservata	reservats
funzionale	funcionals
funzionale	funcional
misteriosa	misteriós
misteriosa	misteriosa
alaska	alaska
tradurre	traduint
tradurre	tradueix
tradurre	traduir
attribuzione	atribució
attendere	esperant
attendere	espereu
attendere	espera
nunzio	nunzio
nicolás	nicolás
riti	socarrat
tipografia	tipografia
impiegata	empleat
affermazioni	declaracions
curata	comissariat
adesione	adherència
reich	reich
indonesia	indonèsia
doctor	metge
doctor	doctor
applicato	aplicats
applicato	aplicat
applicato	aplicada
cara	benvolguts
superando	superant
esegue	realitza
esegue	efectua
causata	causat
causata	ocasionat
causata	provocada
palatinato	palatinat
precipitazioni	precipitacions
precipitazioni	precipitació
processore	processador
ricostruire	reconstruir
nikolaj	nikolai
nikolaj	nikolai
mann	mann
proteste	protesta
proteste	protestes
membrana	membrana
banche	banks
banche	bancs
validi	vàlida
validi	vàlid
piombo	plom
ripristino	restaurar
ripristino	restaura
ripristino	restauració
gustav	gustau
gustav	gustav
nazisti	nazi
nazisti	nazis
sita	sita
faro	far
edimburgo	edimburg
hood	hood
cripta	cripta
uovo	ou
rifiuti	residus
cancelliere	canceller
cancelliere	registrador
primogenito	primogènit
incidenti	accidents
incidenti	incidents
sonda	sonda
boeing	boeing
applicare	aplica
finanze	finances
livio	livio
grasso	grease
grasso	grassos
grasso	fat
grasso	greix
annuncio	anunci
innumerevoli	innombrables
consacrato	ungit
consacrato	consagrar
febbre	febre
sella	sella
sella	muntura
cacciatore	huntsman
cacciatore	caçador
cacciatore	hunter
mattoni	maons
mattoni	rajoles
mattoni	maó
seta	seda
ideali	ideals
ideali	ideals
ideali	ideal
liberali	liberals
liberali	liberal
elettronico	electronic
animati	anima
animati	animades
animati	animat
estetica	estètica
estetica	estètic
sonno	dorm
sonno	dormir
sonno	dormint
shadow	ombra
shadow	shadow
occupare	ocupant
occupare	ocupar
occupare	ocupen
eccezionale	excepcionals
eccezionale	excepcional
chiostro	claustre
chiostro	cloisters
incisioni	gravats
lopez	lópez
lopez	lopez
progressivo	gradual
progressivo	progressiu
progressivo	progressiva
progressivo	progressista
rischi	riscos
rischi	risc
fusto	tija
rumore	soroll
specializzato	especialitzats
specializzato	especialitzat
palestina	palestina
rinascita	renaixement
rinascita	revival
kyle	kyle
abc	abc
sciatore	esquiador
scout	scout
scout	explorador
arabia	aràbia
eccessiva	excessiva
eccessiva	excessiu
osservata	observat
osservata	observats
attrazione	atracció
divieto	veta
divieto	ban
divieto	prohibició
earl	earl
nana	nana
intelligente	smart
minoranza	minoria
navarra	navarra
navarra	pamplona
abraham	abraham
meriti	merèixer
meriti	mereixen
meriti	mèrits
meriti	merit
meriti	mèrit
michail	mikhaïl
michelle	michelle
molecola	molècula
diocesano	diocesà
square	quadrat
square	plaça
anversa	anvers
steel	acer
magica	màgia
magica	màgic
bompiani	bompiani
significative	significatives
significative	significatius
bacio	besar
bacio	kiss
bacio	petó
spara	disparar
spara	dispara
elisa	eliza
elisa	elisa
rispose	respost
sensibile	sensible
sensibile	sensibles
mediaset	mediaset
generico	genèriques
generico	genèric
cartoni	cartons
cartoni	cartrons
guarnigione	guarnició
incantesimo	encanteri
spade	espases
senna	sena
senna	seine
senna	senna
oliva	oliva
bureau	bureau
innocenzo	innocent
ramírez	ramírez
ramírez	ramirez
medievali	medieval
diamond	diamond
