цинка	جست
полезное	مفید
эффективное	لائق
эффективное	باکفایت
эффективное	نافذ
справедливая	مُبّیضہ
справедливая	حتمی.
справедливая	صاف
справедливая	اچھا
справедливая	منصفانہ
справедливая	گورا
справедливая	ٹھیک
справедливая	واضح
справедливая	تعریفی
справедливая	حسین
справедливая	عمدہ
справедливая	مکمل
справедливая	حسینہ.
справедливая	مہربان
водород	ہائڈروجن
окружающего	محیط
актуально	متعلق
актуально	برمحل.
загрязнение	چھوت
загрязнение	تعدیہ
загрязнение	تعفّن
загрязнение	آلودگی
загрязнение	تعفّن
продольной	طولی.
предок	جدّ
уха	سماعت
уха	اذن
уха	توجہ.
почва	داغ
почва	دھبّا
почва	فضلہ
почва	آلودگی.
почва	گندگی
равное	مرتبے
равное	خصوصیت
равное	منصب
равное	برابر
равное	خوبی
равное	درجے
равное	متوازن
равное	جسامت
равное	ہمسر
равное	مرتبے
равное	خصوصیت
равное	یکساں
равное	منصب
равное	برابر
равное	خوبی
равное	درجے
равное	متوازن
равное	جسامت
таблетки	حب
таблетки	گولی
типично	نمائندہ.
типично	بطور
типично	علامتی.
типично	شناخت.
типично	مثالی
миграция	مہاجرت
джуди	زن.
глупо	لدھڑ.
глупо	احمقانہ
глупо	احمق
глупо	ٹھس
глупо	لدھڑ.
глупо	احمقانہ
глупо	سادہ
глупо	معصوم
глупо	ابلہانہ
глупо	ابلہانہ
глупо	احمقانہ
параллель	تقابل.
параллель	موازنہ
столбец	دھویں
столбец	ستون
столбец	تھم
столбец	دھویں
столбец	ستون
фашизм	فسطائیت
обследования	تفتیش.
обследования	معائنہ
обследования	تحقیق
отрицать	ماننے
отрицать	مکرنا
виски	پالا.
виски	کچوکنا.
виски	چرکا.
виски	اڑنگا.
виски	گھائو
неравенство	نابرابری.
лампа	چمکنا.
лампа	دیکھنا.
устаревших	پرانا
устаревших	متروک.
устаревших	فرسودہ
устаревших	قدیم.
устаревших	منسوخ
устаревших	ابتدائی
устаревших	پسماندہ
устаревших	قدیم.
устаревших	منسوخ
устаревших	ابتدائی
устаревших	متروک
устаревших	پسماندہ
кровообращения	گردشی
кровообращения	دوری
кровообращения	مستدیر
погружения	غرقابی.
погружения	ڈبونے
погружения	ڈبکی
продлить	ضیافت
продлить	ضیافت
продлить	بڑھانا
периферии	محیط
периферии	دور.
бум	گہری
счастливый	مناسب
счастливый	مسرور.
счастливый	خوش
счастливый	مگن
счастливый	مناسب
счастливый	مسرور.
гравитации	تجاذب.
уголок	کونا
уголок	گوشہ
уголок	زاویہ
возбуждение	جوش
возбуждение	تہیج
возбуждение	اشتعال
возбуждение	برانگیختگی
свидетель	to
свидетель	تصدیق.
свидетель	for
свидетель	against
свидетель	(بعدہ
свидетель	گواہی
свидетель	شاہد-
свидетель	to
свидетель	تصدیق.
свидетель	شہادت
свидетель	for
свидетель	against
свидетель	(بعدہ
свидетель	گواہی
свидетель	گواہ
свидетель	شاہد-
психологическая	نفس
психологическая	نفسیاتی.
психологическая	ذہنی
шестнадцать	xvi
клей	چپکو.
клей	چپکانے
клей	ملصق
клей	جوڑنے
клей	چپکانا.
клей	گیلی
берта	نیچا
потратить	صرف
потратить	(بعدہ
болен	نقصان.
болен	مخالف.
болен	قباحت.
болен	ناموافق
болен	چوٹ
болен	مضر
болен	ناپختہ.
болен	خراب
болен	ناقص
болен	تکلیف
болен	نقصان.
болен	مخالف.
болен	قباحت.
болен	ناموافق
болен	چوٹ
болен	مضر
болен	خرابی
болен	ناپختہ.
болен	علیل
болен	خراب
болен	ناقص
болен	تکلیف
болен	الٹی
болен	عاجز
болен	استفراغ.
болен	بیماری
болен	قے
болен	بیمار
болен	مرضین
рассчитана	دانستہ
рассчитана	مطلوبہ.
иерархия	فرشتے.
осенний	خزاں
лихорадка	ہنگامہ
лихорадка	ہلچل
аромат	تاڑنا
аромат	سونگھنا
аромат	خوشبو
аромат	خوشبو.
аромат	مہک
аромат	خوشبو.
аромат	مہک
превышение	ممتاز.
превышение	برتر.
превышение	نازیبا
превышение	تجاوز.
превышение	زیادتی
мигрантов	مہاجر.
мигрантов	ہجرت
мигрантов	حیوان
эквивалент	مماثل
эквивалент	مقدار
эквивалент	مطابق
эквивалент	یکساں
эквивалент	مساوی
выигрыш	دلکش
прикрытие	ڈھانپنے
прикрытие	سمیٹنا
полезности	سودمند.
полезности	سراسرعملی
полезности	افادیت
исключительное	استثنائی.
исключительное	نمایاں.
сотня	c
сотня	صد.
переменная	متغیرہ
переменная	متغیر
отрицательное	سلب
отрицательное	ناموافق
отрицательное	ماننے
отрицательное	انکار
отрицательное	نامساعد
отрицательное	سلب
отрицательное	ناموافق
отрицательное	ماننے
отрицательное	انکار
отрицательное	نامساعد
отрицательное	منفی
венецианская	(venetian)جھلملی.
флеш	شوخ
флеш	جھپکی
флеш	نقلی
флеш	بہنا.
флеш	بھڑکیلا
флеш	یکسار
флеш	اُڑانا
флеш	چھلکتا
флеш	تازگی
флеш	توانائی
флеш	لبریز
флеш	فلاش.
насильно	جبراً
вечная	ابدیت
вечная	لازوال.
вечная	ہمیشگی.
вечная	دوام
вечная	ابدیت
вечная	لازوال.
вечная	دائمی
вечная	ہمیشگی.
вечная	غیرمبدّل
вечная	مسلسل
подросток	جوان
подросток	نوجوان.
подросток	بالغ
подросток	جوان
подросток	نوجوان.
подросток	برنائی
подросток	بالغ
суббота	شنبہ
суббота	ہفتہ
суббота	سنیچر
мораль	کہاوت
мораль	مقولہ
мораль	اخلاق
клон	قلمہ
превосходства	فضیلت.
превосходства	تفّوق
филд	سمندر
филд	مبارزہ
филд	برف
филд	سکّے
филд	شعبہ
филд	لڑائی
филд	کریکٹ
шелли	نازک
исключительных	استثنائی.
исключительных	نمایاں.
круглая	اسطوانی
круглая	حدود
круглая	وسعت.
круглая	محکم.
круглая	(بعدہ
круглая	ابھرواں
круглая	مدوّر
круглая	گول
круглая	اسطوانی
круглая	حدود
круглая	وسعت.
круглая	محکم.
круглая	(بعدہ
круглая	ابھرواں
круглая	مدوّر
взаимной	مشترک.
взаимной	باہمی
взаимной	مشترک.
дорожка	آدمی
дорожка	وغیرہ.
дорожка	ٹینک
претендент	مقابل
претендент	مدعی
населяют	بسنا
инноваций	اختراع
инноваций	جدّت
отпечаток	چھاپا.
отпечаток	نقش
навскидку	سرسری
навскидку	ارتجالاً
динамических	زوردار.
динамических	فعال
мудрый	انداز
мудрый	ذکی.
мудрый	طور
мудрый	طرح
мудрый	عاقلانہ
мудрый	درجہ.
мудрый	مستعد
мудрый	انداز
мудрый	فہیم
мудрый	ذکی.
мудрый	طور
мудрый	طرح
мудрый	عاقلانہ
мудрый	درجہ.
мудрый	مستعد
любимые	پسندیدہ
крысы	بھگوڑا
крысы	(بعدہ
крысы	موش
ретро	لباس
ретро	مذاق
добродетели	تاثیر
добродетели	اچھائی
добродетели	صفت
добродетели	خوبی
добродетели	راستی.
добродетели	وصف
добродетели	تاثیر
добродетели	اچھائی
добродетели	صفت
добродетели	خوبی
добродетели	راستی.
доступность	دستیابی
депрессия	نزول
депрессия	غمگینی
депрессия	نشیب
депрессия	فشار.
депрессия	نقاہت
депрессия	پچکن.
депрессия	اداسی
неудача	برپا
неудача	منعقد
неудача	دیوالہ
неудача	سقوط
неудача	خرابی
неудача	بربادی.
неудача	بگاڑ
неудача	تباہی
неудача	برپا
неудача	منعقد
неудача	دیوالہ
неудача	سقوط
неудача	ناکامی
неудача	خرابی
неудача	بربادی.
неудача	بگاڑ
неудача	تباہی
неудача	نافہمیدہ.
неудача	منحوس.
неудача	دھچکا.
неудача	پسپائی
неудача	رکاوٹ
неудача	عود
яркая	مرتعش.
яркая	لرزاں
яркая	روشن
яркая	ہوشیار
яркая	فطین
яркая	طباع
яркая	ذہین
яркая	چونچال
яркая	منور
игнорирование	لاپروائی
ярости	متشدّد.
ярости	چلاتا
ярости	بنکارتا
наблюдатель	مشاہد
минута	اہمیت
минута	قدر.
минута	لخطہ
минута	پل.
минута	اہمیت
минута	لمحہ
минута	قدر.
минута	لخطہ
минута	پل.
минута	ادنیٰ
минута	مفصل
минута	دقیقہ.
минута	پل
минута	چھن
минута	منٹ
минута	حقیر
минута	مہین
риски	خطرہ
челюсть	منہ
челюсть	گرفت
суп	کہر
суп	گوشت
суп	دُھند
суп	کہر
суп	یخنی
суп	گوشت
суп	دُھند
раб	بندہ
чистоту	پاک.
чистоту	طہارت.
чистоту	صفائی
чистоту	پاکیزگی
чистоту	پاک.
чистоту	طہارت.
ультиматум	اتمامیہ
незамедлительно	معاً
незамедлительно	فوراً
незамедлительно	بلاتاخیر.
незамедлительно	جونہی
незамедлительно	متقاضی.
незамедлительно	فوری
незамедлительно	بلاواسطہ
незамедлительно	وہبی
аналитический	تجزیہ
аналитический	تجزیاتی-
твоя	تمھارا
твоя	تمھارا
твоя	معروف.
соул	روح
забавно	دلچسپ
забавно	انوکھا.
забавно	مزاحیہ.
забавно	پُرلطف
забавно	مذاق.
забавно	عجیب
ролл	گھمانا
ролл	مرتعش
ролл	along
ролл	ٹکور.
ролл	گھمانا
ролл	فرد
ролл	دفتر
ролл	مرتعش
ролл	along
ролл	ٹکور.
проникновение	نفوذ
возобновления	بازیافت
тэд	بکھیرنا
виноград	انگور.
переместить	جنبش
переместить	حرکت
приближение	مشابہت
приближение	قربت
небесный	ربّانی.
небесный	اعلیٰ.
небесный	ربّانی
небесный	ارفع
небесный	سماوی
небесный	اعلیٰ.
небесный	ربّانی
небесный	ارفع
младенчестве	نابالغی.
младенчестве	طفولیت
младенчестве	نابالغی.
младенчестве	بچپن
младенчестве	طفولیت
подключение	نقطہ
подключение	سرا
подключение	جوڑ
подключение	تعلق.
подключение	ساتھی
подключение	اتصال
подключение	موضوع
подключение	معاملہ
подключение	نقطہ
подключение	سرا
подключение	جوڑ
подключение	تعلق.
подключение	واسطہ
подключение	ساتھی
подключение	اتصال
подключение	موضوع
подключение	میل
подключение	معاملہ
подключение	معقول
жемчужина	مروارید
близнец	جوڑا
близнец	مثنیٰ
оплата	انعام
оплата	چکانا.
оплата	انعام
оплата	چکانا.
оплата	تنخواہ
оплата	انعام
оплата	فدیہ.
оплата	تاوان
оплата	صلہ
толстые	قریبی
толстые	دقیق
толстые	معمور.
толстые	بیوقوف
толстые	گہرے
толстые	گدلا
толстые	قریبی
толстые	دقیق
толстые	معمور.
толстые	دبیز
толстые	بیوقوف
толстые	گہرے
толстые	گدلا
вирусы	بِس
вирусы	ذعافہ
визуальный	عینی.
визуальный	بصری
визуальный	عینی.
визуальный	نظری
орошения	آبپاشی
орошения	آبپاشی
орошения	آبیاری
похищения	اغوا
повар	بگاڑنا
повар	طباخ
повар	بگاڑنا
повар	باورچی
повар	طباخ
повар	باورچی
благовещения	خبر.
фараон	فرعون.
ускорить	پھرتی
ускорить	عجلت
структурные	ساخت
беспокойство	تشویش.
беспокойство	فکر
беспокойство	کاروبار
беспокойство	about
беспокойство	فکر
беспокойство	اندیشہ
беспокойство	کاروبار
беспокойство	about
беспокойство	تشویش
беспокойство	فکر
глобальный	عالمگیر
коровы	بات
ухо	سماعت
ухо	اذن
ухо	توجہ.
бат	دھلانا
организатора	بستہ
неблагоприятных	دشمنانہ.
неблагоприятных	مخاصمانہ
неблагоприятных	مخالفانہ.
неблагоприятных	ناموافق
спецназ	تیز
блестящий	ذکی
блестящий	چمکیلا
измеряется	متوازن
измеряется	زبان
измеряется	الفاظ)
потребовать	ہنر
потребовать	مانگنا
потребовать	مطالبہ
воскресение	احیا
воскресение	بیکار
воскресение	اتوار
сигнализации	ہوشیار
сигнализации	ہول
чехословацкой	چیکوسلوواکیہ
джилл	گہری
джилл	بنانا.
пап	ابّا.
пап	باپ
перспектива	نظریہ
перспектива	تناظر.
перспектива	صحیح
шапка	دلانا.
редкость	خوشگوار-
редкость	طُرفہ.
редкость	لطیف
редкость	غیرمعمولی
редкость	خوشگوار-
редкость	طُرفہ.
редкость	نایاب
редкость	لطیف
редкость	غیرمعمولی
редкость	نیارا.
редкость	غیرمعمولی
редкость	نیارا.
редкость	انوکھا
редкость	غیرمعمولی
редкость	کمیابی.
бридж	land-bridge
эвакуация	اخراج
эвакуация	انخلاء
наполнение	خلا
наполнение	گڑھے
наполнение	پھیلانے
наполнение	ضخامت
трубка	(موسیقی
трубка	صفیر.
трубка	on
трубка	دھات
трубка	نلکی
трубка	نلکی
трубка	نالی
мел	چاک
мел	کھریا
дорожной	شارع
дорожной	جادہ-
казначейства	ریاست
эффективная	لائق
эффективная	باکفایت
эффективная	نافذ
замечательный	نمایاں.
множественное	متعدد.
подходящий	مناسب.
подходящий	for
старк	اُجاڑ
старк	بیّن
старк	بالکل
старк	قطعی.
старк	مضبوط
старк	کڑا
старк	سخت.
верные	وفاداری
верные	وفادار
верные	صحیح
верные	درست
верные	استوار
случайный	عارضی
случайный	اچانک.
случайный	معمولی
случайный	اتفاقی
сосудистых	عروقی
сосудистых	قناتی.
обломков	روڑی
обломков	روڑے.
обломков	باقیات.
жар	ہنگامہ
жар	ہلچل
гигантские	دیو
гигантские	جن.
гигантские	جنّاتی.
гигантские	زبردست.
гигантские	دیوسمان
гигантские	جنّاتی.
гигантские	زبردست.
гигантские	دیوسمان
гигантские	دیوپیکر
крах	موقوف
крах	ٹوٹنا
крах	سقوط
крах	تعطل
крах	گرانا
крах	شکستگی
крах	انہدام
крах	توڑنا
казнить	فرض
казнить	حکم
имидж	خاکہ
имидж	خیال.
имидж	چربہ
имидж	شبیہہ.
вниманию	اہمیت
вниманию	آشنائی
вниманию	توجہ
вниманию	زور
вниманию	دھیان
ухудшение	بگاڑ
ухудшение	ابتری
ухудшение	بگاڑ
лекарство	تدارک
лекарство	چٹکلا.
лекарство	علاج
лекарство	گوشت
лекарство	آرام.
лекарство	پھل
лекарство	اصلاح
лекарство	گوشت
лекарство	دوا
лекарство	آرام.
лекарство	پھل
лекарство	اصلاح
бауэр	منڈھا
бауэр	حجلہ
туманность	سدیم
прочь	الگ
прочь	متواتر
прочь	مسلسل
прочь	التزاماً
прочь	دور
мусульманские	مسلم.
обезьяны	دھمس.
обезьяны	بندر
обезьяны	دھمس.
обезьяны	بُوزنہ
несчастный	کمینہ.
несчастный	منحوس
несчастный	خستہ
несчастный	کنٹک
несчастный	نکھد.
несчастный	فضول
несчастный	بیہودہ
