மெத்தை	ที่นอน
சித்	ซิด
டுவிட்டர்	twitter
ஓபரா	opera
ஓபரா	เปร่า
அன்னபூர்ணா	annapurna
காயத்தை	แผล
காயத்தை	บาดแผล
பதிவேற்று	อัพโหลด
சூப்	ซุป
லீட்	นำ
லீட்	ตะกั่ว
பயன்பாட்டைப்	แอป
பயன்பாட்டைப்	แอพ
போனஸ்	โบนัส
போனஸ்	โบนัส
பிரசவம்	คลอด
ரயிலில்	รถไฟ
தோட்டா	ลูกปืน
தோட்டா	กระสุน
லூபஸ்	ลูปัส
வாகனக்	รถยนต์
அணையை	เคย
கிரான்	ปู่ย่า
ஜூட்	จู๊ด
தீர்க்கதரிசி	ศาสดา
சுண்ணக்கல்	หินปูน
பேட்டரி	แบตเตอรี่
ராதை	รัต
குறும்பு	ซน
குறும்பு	ซุกซน
குறும்பு	ดื้อ
சோனம்	sonam
பொன்னான	ล้ำค่า
பெருங்கடல்கள்	มหาสมุทร
வழுக்கும்	ลื่น
சைப்ரஸ்	ไซปรัส
செல்வமும்	ทรัพย์สิน
செல்வமும்	ร่ำรวย
செல்வமும்	ทรัพย์
நாயகர்கள்	วีรบุรุษ
நாயகர்கள்	heroes
நாயகர்கள்	ฮีโร่
ஸ்வீடிஷ்	สวีเดน
உலகமே	เวิลด์
உலகமே	world
உலகமே	โลก
பதட்டம்	วิตก
ஆரி	อารีย์
ஆரி	อารี
சான்ஸ்	sans
மேகி	maggi
ஆன்மாவை	วิญญาณ
வெடிகுண்டுகள்	ระเบิด
அடியெடுத்து	ขั้น
அடியெடுத்து	ก้าว
தரநிலைகளை	มาตรฐาน
காந்த்	kant
பேயர்ன்	bayern
தத்தல்	แท็ก
தத்தல்	แท็บ
ஆஷ்	แอช
சிக்கன்	เจี๊ยบ
சிக்கன்	ไก่
ஊடாடும்	โต้ตอบ
எஸ்கேப்	esc
எஸ்கேப்	หนี
ஆச்சரியம்	เซอร์ไพรส์
ஜெயில்	คุก
மரகத	มรกต
மரகத	emerald
கிரிமினல்	อาชญากร
கிரிமினல்	อาชญากรรม
நாளமில்லாச்	ต่อม
பணியிடம்	workplace
கடகம்	มะเร็ง
ஓரங்கள்	พรมแดน
பிரியன்	brian
பூந்துணர்	inflorescence
நெகிழ்வான	ยืดหยุ่น
டஜன்	โหล
லக்கி	ลัคกี้
லக்கி	โชค
மனநிலையை	อารมณ์
அடித்தளங்கள்	รากฐาน
தோள்பட்டை	ไหล่
பேஷன்	fashion
பேஷன்	แฟชั่น
ரபி	rafi
வகுப்பறைகள்	ห้องเรียน
ஷீன்	ชีน
டோரா	dora
அலட்சியம்	เลินเล่อ
சுப்பர்	super
கானும்	ข่าน
சாள்ஸ்	ชารลส์
சாள்ஸ்	ชาร์ลส์
சாள்ஸ்	ชาร์ล
லான்	ลาน
எழுதுகோல்	ปากกา
அனஸ்தாசியுஸ்	anastasius
சுலபமான	ง่าย
சுலபமான	ง่ายๆ
மெரில்	meryl
ஷாட்	ยิง
தலசீமியா	thalassemia
இடைவேளை	พัก
ஜக்	jag
ஜக்	เหยือก
அகராதியை	พจนานุกรม
கண்ணாடியை	แว่น
கண்ணாடியை	แว่นตา
கண்ணாடியை	แก้ว
முதுமுனைவர்	postdoctoral
மியான்	mian
சிட்	จิตร
நாள்காட்டி	ปฏิทิน
தோல்விக்கு	ปราบ
தோல்விக்கு	ปราชัย
தணிக்கையாளர்	display
தேறி	ปรับปรุง
துணைவர்	คู่หู
லஞ்சம்	สินบน
ரஷியன்	รัสเซีย
நுரை	โฟม
குமிழிகள்	ยาง
குமிழிகள்	ฟอง
நடால்	natal
முயல்கள்	กระต่าย
சோப்	สบู่
மன்னித்து	อภัย
சோசா	souza
அஞ்சல்கள்	ข้อความ
கன்யா	kanya
பணியிடத்தில்	workplace
போசின்	poussin
முஜிபுர்	mujibur
பகிர்ந்த	แชร์
நலமாக	สบาย
ஷெல்டன்	sheldon
உணர்ந்தேன்	รู้สึก
கடலோரம்	ชายทะเล
தும்பி	แมลงปอ
சிங்கார	สิงห์
வெகுமதி	รางวัล
வடிகட்டிகள்	กรอง
வசனத்தை	กลอน
வசனத்தை	ท่อน
சோனா	โซนา
வெட்கம்	ละอาย
வெட்கம்	เสียดาย
வெட்கம்	shy
வெட்கம்	เขิน
வெட்கம்	อาย
ஆளாகின்றனர்	หดหู่
வாசி	อ่าน
மேகன்	megan
ஸ்டார்டஸ்ட்	stardust
உச்சரிப்பில்	สำเนียง
நினைத்ததை	คิด
பீக்கிங்	ปักกิ่ง
பிரிகேட்	กองพล
வறண்டு	แห้ง
வறண்டு	แล้ง
வறண்டு	แห้งๆ
மாட்டிறைச்சி	เนื้อ
கேரட்	แครอท
லோகோ	logo
லோகோ	โลโก้
அங்கீகரிப்பு	อนุมัติ
நட்புடன்	มิตร
சாஸ்	ซอส
சாஸ்	น้ำปลา
ராட்டர்டாம்	rotterdam
சொல்லு	บอก
காணொளிகள்	วีดีโอ
காணொளிகள்	วิดีโอ
அறிவிக்கிறது	แถลง
ஊதி	เป่า
முயற்சிக்க	ลอง
கண்கவர்	งดงาม
நிதானமாக	สร่าง
செய்வான்	พิน
செய்வான்	จะ
செய்வான்	วิล
குர்ட்	เคิร์ต
பயோ	ประวัติ
தச்சர்	ช่างไม้
கெயில்	เกิล
கெயில்	เกล
சனா	sana
குளிரில்	หนาว
குளிரில்	เย็น
குளிரில்	เย็นๆ
ஆசைகள்	ประสงค์
ஆசைகள்	ปรารถนา
பாவாடை	กระโปรง
லிங்	หลิง
லிங்	หล่ง
புளுட்டோனியம்	พลูโทเนียม
தற்செயல்	บังเอิญ
தேடலை	ค้นหา
லாஜிக்	ตรรก
லாஜிக்	ตรรกศาสตร์
லாஜிக்	เหตุผล
தன்னியக்கமாக	อัตโนมัติ
சத்துணவு	โภชนาการ
நதிநீர்	แม่น้ำ
பூசணி	ฟักทอง
புவியியலாளர்	ธรณีวิทยา
தொடரவும்	ต่อ
வாக்கியத்தை	ประโยค
ஜியோ	ภูมิศาสตร์
ஜியோ	geo
தூம்	dhoom
நாடார்கள்	nadar
இர்பான்	irfan
ஓட்டுநர்கள்	ไดรเวอร์
கொழுப்பை	อ้วน
கொழுப்பை	อ้วนๆ
தவழும்	สยอง
தவழும்	ขนลุก
சோசலிசம்	สังคมนิยม
பௌஷ்	pausch
எகிப்தியர்	อียิปต์
அபி	abi
அபி	aby
தந்திரங்கள்	เทคนิค
யோங்	ยง
யோங்	หยง
கிங்ஸ்டன்	คิงสตัน
ஒசாமா	osama
பீனைல்	phenyl
பிளான்	แพ็คเกจ
பிளான்	วางแผน
பிளான்	แผน
தசைகளை	กล้าม
ஆன்ட்டி	ป้า
மனதிற்கு	มายด์
மனதிற்கு	จิต
மனதிற்கு	ใจ
மனதிற்கு	mind
மனதிற்கு	รังเกียจ
கிரிஸ்டல்	ใส
ரன்னர்	runner
கண்ணிவெடி	เหมือง
திரவங்களை	ของเหลว
இடுகை	โพสต์
இடுகை	โพส
வெள்ளையர்கள்	ขาว
பலவற்றிற்கு	อื่นๆ
பலவற்றிற்கு	มากกว่า
பூஷண்	bhushan
பிரம்பு	เฆี่ยน
குழப்பத்தில்	งง
குழப்பத்தில்	สับสน
அளவுருக்கள்	พารามิเตอร์
லேசாக	สว่าง
லேசாக	เบา
லேசாக	ไลท์
லேசாக	แสง
யாரென்று	ผู้
யாரென்று	ใคร
கற்பழிப்பு	ข่มขืน
பூமா	puma
மணற்கல்	หินทราย
நிரலாளர்	โปรแกรมเมอร์
கோளங்கள்	กลม
விவரக்குறிப்புகள்	สเปค
கொறிணி	แทะ
அமர்வுகள்	เซสชั่น
அமர்வுகள்	เซสชัน
பாட்டியின்	ยาย
மூட்டை	แพ็คเกจ
மூட்டை	แพ็ค
மூட்டை	ฝูง
மூட்டை	แพค
ஜோக்கர்	joker
ஜோக்கர்	โจ๊ก
ஒயின்	ไวน์
ஒயின்	สุรา
வற்புறுத்தி	บังคับ
வற்புறுத்தி	แรง
அசோகா	โศก
பசங்க	พวก
புரு	บรู
புரு	บรูก
ஷாப்	ร้าน
ஷூ	รองเท้า
வெற்றியாகும்	triumph
சிரிக்க	หัวเราะ
சட்டையை	เสื้อ
ஜார்	โหล
ஜார்	กระปุก
முள்ளும்	หนาม
உணர்கிறார்	รู้สึก
உணர்கிறார்	feeling
சாண்ட்	sankt
நற்பண்புகள்	คุณธรรม
சல்	แซล
ஹெலிகாப்டர்	เฮลิคอปเตอร์
சிம்மாசனம்	บัลลังก์
சுழல்கள்	วงจร
சொந்தக்காரர்	owner
சொந்தக்காரர்	เจ้าของ
எரிச்சலூட்டும்	รำคาญ
சேர்க்கப்பட்டனர்	เพิ่ม
சேவ்	เย็บ
வாக்குவாதம்	เถียง
ஒத்திசை	ซิงค์
மைக்கோபாக்டீரியம்	mycobacterium
ஐகான்	คอน
ஐகான்	ไอคอน
சித்தப்பா	ลุง
லூப்	ลูป
லூப்	วน
இஸ்லாத்தை	อิสลาม
அழும்	ร้องไห้
அழும்	ร้องไห้
படித்தேன்	ศึกษา
டப்	พากย์
பருகும்	วัว
பருகும்	ปศุสัตว์
விடுவித்தார்	พันธนาการ
சோய்	ชอย
சோய்	ชเว
ஆழமாகப்	มั่นคง
உடுத்தும்	สวม
உடுத்தும்	ใส่
சிக்	เก๋ง
சிக்	เก๋
பீம்	คาน
பீம்	beam
பீம்	บีม
பீம்	ลำแสง
ஆப்பிள்கள்	แอ๊ปเปิ้ล
ஆப்பிள்கள்	แอปเปิล
ஆப்பிள்கள்	เปิ้ล
வாக்களித்தது	โหวต
பியூட்டைல்	butyl
கூலிம்	kulim
ஆதரிக்கப்படும்	สนับสนุน
சேட்	sade
கெமிக்கல்	เคมีภัณฑ์
கெமிக்கல்	เคมี
கர்வம்	ศักดิ์ศรี
மசாஜ்	นวด
வீல்	ล้อ
ஹூம்	ฮัม
மதிப்பிற்குரிய	นับถือ
பியோ	pio
பூட்டுகள்	ล็อก
அல்லேலூயா	alleluia
உருவரை	แผนผัง
உருவரை	layout
சேமிக்கிறது	ออม
கெந்திங்	genting
தடுப்பூசிகள்	วัคซีน
பாதங்களை	ฟุต
பாதங்களை	เท้า
பாதங்களை	ฟิต
புக்கரெஸ்ட்	บูคาเรสต์
ஜெல்லி	jelly
பனாரஸ்	banaras
சேனல்கள்	ช่อง
ஏற்கிறேன்	ยินยอม
ஏற்கிறேன்	ยอมรับ
ஜேட்	หยก
ஜேட்	เจด
ஆரம்பித்தான்	เคลย์
ஆரம்பித்தான்	ดิน
மியாவ்	เมี้ยว
மியாவ்	เหมียว
மியாவ்	เมี๊ยว
கடையை	ร้าน
ஏற்றப்படுகிறது	โหลด
இண்டஸ்ட்ரீஸ்	อุตสาหกรรม
முடிவில்லாத	อนันต์
அதிர்ந்து	ช็อก
அதிர்ந்து	ตกใจ
அசாத்	ซัด
அவதார்	avatar
குக்கீ	คุกกี้
லான்ஸ்	ทวน
கானர்	คอนเนอร์
பிம்பங்கள்	ภาพ
பிம்பங்கள்	รูปภาพ
புல்லை	หญ้า
லயன்ஸ்	สิงโต
விண்ணப்பித்த	ประยุกต์
பண்ண	farm
பண்ண	ไร่
பண்ண	ฟาร์ม
விரி	ขยาย
திருத்துதல்	แก้ไข
நாற்குளோரைடு	tetrachloride
சாபவிமோசனம்	ไถ่บาป
கோரா	gora
விரும்பினேன்	รัก
பதற்றம்	ตึงเครียด
பதற்றம்	ตึง
பதற்றம்	วิตก
தாதியர்	ทุบ
பாடவும்	สิงห์
பாடவும்	ร้อง
தைரியம்	กล้า
காதுகளில்	หู
உத்திரவாதம்	ประกัน
மூதாதை	บรรพบุรุษ
தூரிகை	แปรง
கர்மா	กรรม
ஆஹா	เย
ஆஹா	เย่
ஹங்கேரியன்	ฮังการี
லிபர்டி	เสรีภาพ
லிபர்டி	liberty
திரவியங்கள்	น้ำหอม
காரத்	กะรัต
காரத்	รัต
கொரியர்கள்	เกาหลี
யதார்த்தமான	สมจริง
நவி	navi
வேணும்	ต้องการ
வேணும்	อยาก
உமய்யா	umayyad
பொத்தான்கள்	ปุ่ม
பழையது	เก่าๆ
பழையது	แก่
பழையது	เก่า
அனுபவமிக்க	ประสบ
குறியியல்	semiotics
பியோதர்	fyodor
இலவசம்	ฟรี
இலவசம்	อิสระ
இலவசம்	ว่าง
இலவசம்	เสรี
இலவசம்	free
பங்குண்டு	ขาดแคลน
வைட்டமின்கள்	วิตามิน
அணிவகுப்பில்	แห่
அணிவகுப்பில்	พาเหรด
அமை	กำหนด
அமை	ตั้ง
திருடர்களும்	มิจฉาชีพ
ஸ்கைப்	ไกส์
ஸ்கைப்	skype
ஹென்ரிக்	henrik
சாம்பா	samba
அசைவூட்டம்	เคลื่อนไหว
பதிவுசெய்யப்பட்டது	บันทึก
அரைக்கும்	บด
தாவல்	แท็บ
கழுவும்	ล้าง
குக்கீகள்	คุกกี้
மக்தூம்	maktoum
டிச	เด็ค
டிச	เดค
டிச	เดธ
ராமானுஜன்	ramanujan
சிகிரியா	sigiriya
அலியா	ฉายา
புத்துணர்ச்சி	สดชื่น
குற்றங்களில்	อาชญากรรม
மோஸ்	moss
எக்ஸ்பீரியா	xperia
கோப்ரா	งูเห่า
பன்னி	กระต่าย
பன்னி	บัน
பன்னி	หมู
பலாத்காரம்	ข่มขืน
பெயரிடப்படாத	สกุล
பெயரிடப்படாத	นามสกุล
கிராபிக்	กราฟิก
தையோசயனேட்டு	thiocyanate
டப்லின்	ดับลิน
பூச்சோங்	puchong
துர்நாற்றம்	เหม็น
நீலி	neely
ப்ளஸ்	บวก
ப்ளஸ்	พลัส
ப்ளஸ்	plus
ஏய்	เฮ้
ஏய்	เฮ
ரசாயனம்	เคมีภัณฑ์
ரசாயனம்	เคมี
விசுவாசமாக	ซื่อสัตย์
விசுவாசமாக	ภักดี
இரக்கமற்ற	เหี้ยม
இரக்கமற்ற	อำมหิต
ஹேல்	เฮล
எரிகிறது	เบิร์น
பூட்ஸ்	บูต
மார்த்தி	martí
மைகேல்	ไมเคิ้ล
மைகேல்	ไมเคิล
ஜாய்ஸ்	จอยซ์
ஜாய்ஸ்	จอยส์
கோடரி	ขวาน
ஆரா	aura
மார்டினா	martina
மழுங்கிய	ทื่อๆ
தேர்ந்தெடுக்கவும்	เลือก
பர்கர்	burger
பர்கர்	แฮมเบอร์เกอร์
பில்டிங்	ตึก
பில்டிங்	อาคาร
சுறாக்கள்	ฉลาม
மாதுளை	ทับทิม
தீட்டு	ทาสี
நுழை	แทรก
நுழை	ป้อน
புளூட்டாக்	plutarch
யாக்	จามรี
மரியாதைக்குரிய	นับถือ
பாயசம்	โจ๊ก
பாயசம்	ข้าวต้ม
பகைவர்கள்	ศัตรู
ஹியூக்	ฮิว
ரிசார்ட்	รีสอร์ท
ரிம்	ขอบ
காரா	คาร
காரா	คารา
உறுதிப்படுத்தவும்	ยืนยัน
சியாமிய	สยาม
கணிமி	plasmid
சிந்தும்	มูลค่า
சிந்தும்	คุ้ม
புரிதலும்	ตระหนัก
எடுக்கிறார்	การพา
கிண்ணங்கள்	ชาม
பூனே	pune
பெர்ட்	เบิร์ต
கெட்டது	ติดลบ
கெட்டது	ลบ
நிமோனியா	ปอดบวม
லியா	lea
லியா	เหลียว
ஆன்மாக்கள்	วิญญาณ
ஃப்ரா	พระ
ஷெங்கன்	schengen
வாழ்த்துக்களும்	สวัสดี
வாழ்த்துக்களும்	ทักทาย
எல்லே	แอล
போம்	ปอม
ரிகோ	rico
வேகவைத்த	ต้ม
வேகவைத்த	นึ่ง
மறித்து	บล็อก
விஷத்தை	พิษ
டிசைனர்	designer
பாராட்ட	ซาบซึ้ง
ஊடுகதிரியல்	รังสีวิทยา
மன்னிக்க	อภัย
பிடித்திருக்கிறது	ชอบ
பிடித்திருக்கிறது	เหมือน
பிடித்திருக்கிறது	แบบ
பிடித்திருக்கிறது	ถูกใจ
பிடித்திருக்கிறது	ไลค์
பிடித்திருக்கிறது	อย่าง
கொத்தமல்லி	แตงกวา
ஈரப்பதத்தை	ความชื้น
சிவிக்	พลเมือง
சிவிக்	civic
சிசி	sisi
காவு	gau
அய்ன்	อัยน์
கிர்க்	เคิร์ก
ஆலங்கட்டி	ลูกเห็บ
டெப்	เด็บ
லோன்	โลน
டென்னிசி	เทนเนสซี
டென்னிசி	เทนเนสซี่
நோட்டம்	จอภาพ
கருப்பன்	หลัก
கருப்பன்	แกน
பாவத்தை	บาป
நோபிலி	nobili
கவனியுங்கள்	ใส่ใจ
கவனியுங்கள்	สนใจ
பீன்ஸ்	ถั่ว
காட்டுக	โชว์
காட்டுக	แสดง
கருத்தியம்	อุดมการณ์
ஈவ்	อีฟ
ஈவ்	eve
ஹாக்ஸ்	hawks
வெதுவெதுப்பான	อบอุ่น
வெதுவெதுப்பான	อุ่น
கோரப்பட்டது	ร้องขอ
பர்க்	burke
பர்க்	เบิร์ก
கார்டுகள்	บัตร
கார்டுகள்	การ์ด
கார்டுகள்	ไพ่
அலசல்	วินิจฉัย
கப்டில்	guptill
அரவணைப்பில்	กอด
கெர்ரி	kerry
உறுதிசெய்யப்பட்டது	ยืนยัน
தியோடோர்	theodor
கிவ்	kyiv
பைபிளில்	ไบเบิ้ล
பைபிளில்	ไบเบิล
உதைத்து	ถีบ
உதைத்து	คิก
உதைத்து	เตะ
க்ரிஸ்	chris
க்ரிஸ்	kris
