den	на
samma	исто
samma	исти
samma	ист
samma	иста
senare	покасно
senare	подоцна
olika	различен
olika	различно
olika	поинакво
olika	различна
olika	поинаку
olika	поинаков
olika	разни
point	точка
ort	град
ort	градско
ort	градот
ort	градски
nya	ново
nya	нов
nya	нови
nya	нова
island	исланд
sjön	езерото
sjön	езеро
tidigare	претходно
tidigare	претходно
tidigare	порано
tidigare	поранешно
tidigare	поранешни
tidigare	поранешен
tidigare	поранешна
tidigare	бивши
tidigare	претходен
tidigare	претходно
tidigare	претходна
tidigare	претходни
brasilien	бразил
colombia	колумбија
colombia	колумбија
utan	без
socken	парохија
sina	нивната
sina	нивните
sina	нивното
sina	нивна
sina	нивно
sina	нивни
score	оценка
score	резултат
score	поен
spanien	шпанија
mount	маунт
mount	планината
mount	монтирање
kom	дојди
kom	дошол
kom	дојде
kom	дојдоа
stora	голем
stora	голема
stora	големи
stora	големо
stora	голем
stora	голема
stora	големи
kinshasa	киншаса
omgivande	околните
omgivande	амбиент
basen	базата
basen	база
tre	тре
tre	tre
tre	тројца
tre	три
tre	тројка
shift	поместува
shift	смена
algeriet	алжир
dessa	овие
dessa	oвие
dessa	тие
dessa	оние
chile	чиле
växtlighet	вегетација
mer	уште
mer	повеќе
här	тука
kongo	конго
öst	исток
öst	источна
öst	источни
öst	источно
öst	источен
region	регион
von	фон
von	вон
jakarta	џакарта
wat	ват
file	датотека
släkte	генерација
släkte	генерирање
släkte	сорта
släkte	раса
släkte	genera
släkte	родот
sydlig	јужен
sydlig	јужна
sydlig	јужни
västlig	вестерн
västlig	западни
västlig	западна
blir	стане
blir	постанува
blir	станува
sydvästra	југозападна
sydvästra	југозападно
sydvästra	југозападна
sydvästra	југозапад
sydvästra	југозападно
tillsammans	заедно
samhällen	заедници
samhällen	друштва
samhällen	општества
samhällen	општествата
lite	lite
republiken	република
republiken	republic
republiken	републиката
öppet	отворено
öppet	отворено
öppet	отворени
öppet	отворена
öppet	отворен
öppet	опен
öppet	отвори
öppet	транспарентна
öppet	транспарентно
öppet	транспарентен
öppet	транспарентни
delstat	состојба
delstat	држава
innan	пред
fram	преден
fram	предни
fram	предна
fram	фронт
fram	напред
canberra	канбера
mål	целите
mål	голови
mål	цели
mål	автогол
mål	цел
mål	гол
län	жупанија
län	округот
län	округ
län	покраина
län	провинција
län	покраината
län	окрузи
bosnien	босна
afghanistan	афганистан
afghanistan	авганистан
john	јован
john	џон
hercegovina	херцеговина
nordöstra	североисточна
nordöstra	североисточно
nordöstra	северозапад
nordöstra	североисток
bara	само
bara	само
ska	ска
ontario	онтарио
plats	место
plats	локација
carl	карл
församling	парохија
församling	собранието
församling	собрание
río	рио
land	земја
land	држава
land	кантри
land	ланд
land	копно
land	земјиште
dess	нејзините
dess	своите
dess	својата
dess	нејзини
amerikansk	американска
amerikansk	американски
amerikansk	американец
helsingfors	хелсинки
helsingfors	хелсиншки
tid	времето
tid	време
ofta	често
ofta	честопати
ofta	често
ofta	честопати
tog	зема
tog	земаа
tog	зеде
några	некои
kommer	ке
kommer	вил
kommer	ќе
kommer	дојди
kommer	следува
kommer	доаѓам
kommer	доаѓа
exempel	пример
exempel	примери
någon	секого
någon	некој
någon	секој
någon	некој
någon	некого
någon	некому
någon	некој
någon	било
saint	светец
saint	свети
saint	сеинт
saint	света
något	донекаде
något	нешто
gjorde	дали
san	san
san	сан
stor	голем
stor	голема
stor	големи
stor	големо
stor	голем
stor	голема
stor	големи
ingen	ниеден
ingen	никој
ingen	ниедна
ingen	никој
desa	desa
staden	град
staden	градче
staden	град
staden	градско
staden	градот
staden	градски
kallt	студ
kallt	ладно
kallt	ладна
kallt	студено
kallt	студена
jawa	jawa
varit	бил
varit	била
varit	беше
får	овца
får	овци
naturlig	природна
naturlig	природни
naturlig	природен
naturlig	природно
mest	повеќето
mest	најмногу
mest	претежно
mest	воглавно
mest	најмногу
mest	најчесто
mest	главно
webbplats	site
webbplats	сајт
ger	давање
ger	ger
ger	дава
mosaik	мозаик
team	екипи
team	тимови
team	екипа
team	тим
började	почна
började	започна
började	почнал
började	почнаа
hela	излечи
hela	лечи
hela	оздрави
hela	цела
hela	целина
gör	прави
gör	make
gör	направи
honom	него
honom	го
gick	тргна
gick	отиде
gick	отишол
kyrka	црква
nordvästra	северозападна
nordvästra	северозапад
nordvästra	северозападна
nordvästra	северозападно
nordvästra	северозапад
angola	ангола
vad	што
columbia	колумбија
tyskland	germany
tyskland	германија
distrikt	окрузи
distrikt	области
distrikt	реон
distrikt	округ
fuktigt	влажни
fuktigt	влагата
fuktigt	влажни
fuktigt	влажен
fuktigt	влажна
fuktigt	влажно
fyra	four
fyra	четри
fyra	четири
fyra	четворица
eftersom	бидејќи
mexiko	мексико
london	london
london	лондон
london	лондонски
används	искористен
används	користени
används	користена
används	искористена
används	користен
början	почеток
början	почетоци
vann	добиена
vann	победи
vann	освои
vann	победија
vann	освоено
hur	како
bay	беј
bay	залив
bay	заливот
barn	деца
barn	деца
barn	дете
ekonomiska	економски
ekonomiska	економско
ekonomiska	економска
kunde	може
dem	ги
dem	нив
både	двајцата
övrigt	macedonian
övrigt	други
övrigt	разно
artikel	член
artikel	статија
england	англија
hennes	нејзин
hennes	нејзина
hennes	нејзино
hennes	ја
hennes	нејзината
hennes	неа
hennes	нејзе
argentina	аргентина
mountain	планинска
mountain	планински
mountain	планина
grund	основа
grekland	грција
deras	нивната
deras	нивните
deras	нивното
deras	нивна
deras	нивно
deras	нивни
deras	нивно
deras	нивни
deras	нивна
distriktet	реон
distriktet	округ
dam	браната
dam	брана
dam	дама
dam	лејди
karl	чарлс
karl	шарл
karl	карл
idag	денес
idag	денеска
skådespelare	глумци
skådespelare	актери
skådespelare	глумец
skådespelare	актер
personer	личности
personer	лица
personer	народ
personer	луѓе
fanns	постоеле
fanns	постоела
fanns	постоеше
fanns	постоело
fanns	постоел
fanns	постоеја
spelade	играше
spelade	одиграно
spelade	одигран
spelade	свирел
bli	стане
endast	само
öar	острови
danmark	данска
son	синот
son	синко
son	сине
son	син
österrike	австриска
österrike	австрија
river	река
river	ривер
river	реката
helt	комплетно
helt	сосема
helt	потполно
helt	целосно
helt	тотално
helt	сосема
helt	целосно
artiklar	статии
artiklar	натписи
artiklar	артикли
artiklar	написи
därefter	последователно
jean	жан
jean	џин
redan	веке
redan	веќе
cirka	цирка
cirka	приближно
före	пред
william	вилијам
känd	позната
känd	познати
känd	познат
känd	познат
känd	познатата
känd	славна
känd	позната
känd	познати
engelska	англиски
departement	оддел
departement	министерства
departement	оддели
departement	министерство
antal	грофот
antal	број
vill	сака
vill	сакаат
des	des
des	дез
författare	авторите
författare	автори
författare	писателка
författare	писател
författare	писатели
författare	автор
wikipedia	википедија
los	лос
vissa	одредени
vissa	определени
vissa	некои
cst	cst
äldre	старешина
äldre	постариот
äldre	постар
äldre	постари
äldre	постара
äldre	постари
äldre	постар
äldre	постаро
gamla	старо
gamla	стари
gamla	стар
gamla	стара
allt	сè
allt	се
allt	све
allt	сѐ
allt	сите
lag	екипа
lag	тим
lag	закон
lag	лаг
lag	екипи
lag	тимови
brt	grt
johan	јован
johan	џон
johan	јохан
innebär	значи
diskussion	расправа
diskussion	дискусии
diskussion	дискусија
vidare	понатамошно
medan	додека
kommuner	заедници
kommuner	општини
kyrkan	црква
punta	punta
eet	eet
iucn	iucn
kullar	ридови
kullar	ридовите
kullar	хилс
black	црн
black	црна
black	црно
black	црни
black	црнец
asien	азија
varje	секоја
varje	секое
varje	секој
varje	секоја
bild	слика
bild	слика
france	франс
france	франција
vik	вик
politiker	политика
politiker	политичарите
politiker	политичари
politiker	политичар
göra	make
göra	направи
left	лево
left	лева
left	левица
band	касети
band	ленти
band	бендови
band	бенд
band	касета
band	лента
band	лента
rio	рио
rock	рок
rock	камен
rock	карпа
söderut	југ
söderut	јужно
söderut	јужна
sista	последно
sista	последни
sista	последен
sista	последна
sista	последниот
sista	final
sista	финална
sista	конечен
sista	конечна
inåt	навнатре
george	џорџ
george	џорџе
george	george
delar	споделување
delar	делење
delar	споделувањето
delar	делови
delar	акции
auto	автоматски
auto	автомобилски
auto	auto
auto	авто
auto	автоматско
hett	згодна
hett	жешка
hett	жешко
hett	жешки
hett	топла
norrut	северно
norrut	север
norrut	северот
själv	себе
själv	себеси
själv	самиот
åren	години
höjd	висина
höjd	височина
höjd	подигнување
höjd	висина
säsongen	сезона
poäng	точки
poäng	поенти
poäng	поени
poäng	оценка
poäng	резултат
poäng	поен
poäng	безбројни
poäng	оценки
poäng	точка
istället	наместо
arroyo	аројо
peking	пекинг
tyska	германски
tyska	герман
tyska	германска
sätt	начини
sätt	начин
egypten	египет
stad	град
stad	градче
stad	град
stad	градско
stad	градот
stad	градски
norge	norge
norge	норвешка
area	област
area	подрачје
loma	лома
york	јорк
därför	затоа
makedonien	македонија
peter	питер
peter	петар
franska	французи
franska	француски
vilken	кои
vilken	која
vilken	кое
dominikanska	доминиканската
västerut	запад
västerut	западно
västerut	вест
västerut	западно
kallas	повика
österut	исток
omkring	околу
omkring	наоколу
göteborg	гетеборг
schweiz	швајцарија
fall	случај
fall	кејс
fall	случаи
fall	случаеви
fall	паѓање
fall	пад
fall	падот
fall	есен
fall	падне
tiden	времето
tiden	време
bästa	најдобар
bästa	најдобро
bästa	најдобри
bästa	најдобра
bästa	бест
style	стил
artikeln	член
artikeln	статија
fil	датотека
främst	воглавно
främst	главно
främst	примарно
främst	првенствено
källa	извор
båda	двајцата
kabul	кабул
malmö	малме
delas	сподели
slutet	крај
olympiska	олимписки
olympiska	олимпик
olympiska	олимпиец
annan	macedonian
annan	други
isbn	исбн
mätare	метри
mätare	мерач
mätare	метар
madrid	мадрид
måste	мора
måste	must
antarktis	антарктикот
antarktis	антарктикот
erik	ерик
erik	ерик
erik	eric
paul	пол
paul	паул
paul	павле
skrev	напиша
skrev	пишувал
skrev	напишаа
skrev	напишал
skrev	напишав
film	филм
film	филмски
film	филмска
film	филм
robert	роберт
robert	робер
serien	серија
serien	серии
bra	добра
bra	добро
bra	добар
fem	пет
fem	петмина
fem	five
ryssland	русија
thomas	томас
thomas	тома
thomas	thomas
santiago	сантијаго
santiago	сантјаго
deltog	присуствувале
deltog	присуствувал
deltog	присуствуваа
deltog	учествуваа
deltog	учествувал
deltog	учествувала
deltog	учествувале
deltog	учествуваше
tysk	германски
tysk	герман
tysk	германска
vilka	кои
vilka	кој
vilka	кои
vilka	која
vilka	кое
språk	јазици
språk	јазик
kinesiska	кинески
lappland	лапонија
nuvarande	актуелни
nuvarande	тековната
nuvarande	моментална
nuvarande	сегашна
nuvarande	тековна
nuvarande	сегашност
nuvarande	сегашна
nuvarande	поклон
nuvarande	присутни
nuvarande	претстави
nuvarande	подарок
officiell	официјално
officiell	службен
officiell	службено
officiell	официјална
källor	извори
stort	голем
stort	голема
stort	големи
stort	големо
stort	голем
stort	голема
stort	големи
sång	вокал
sång	пеам
sång	пеејќи
sång	пее
sång	пеат
sång	пеење
sång	песна
amerikanska	американска
amerikanska	американски
amerikanska	американец
samband	поврзување
samband	корелација
globalt	глобално
globalt	глобална
globalt	глобални
globalt	глобално
kroatien	хрватска
egen	сопствени
egen	сопствено
egen	сопствена
egen	сопствен
egen	сопствено
egen	сопствени
pst	pst
pdt	pdt
utanför	надвор
aest	aest
mestadels	претежно
mestadels	воглавно
mestadels	најмногу
mestadels	најчесто
mestadels	главно
kvinnor	женките
kvinnor	жени
kvinnor	женски
kvinnor	жените
tredje	трета
tredje	трет
tredje	трето
tredje	трети
tredje	третиот
blivit	стане
charles	чарлс
charles	шарл
art	уметност
art	арт
art	уметничко
art	уметноста
art	врсти
art	видови
riket	рајх
riket	царство
wales	велс
david	дејвид
david	david
david	давид
com	com
com	ком
sidan	страница
sidan	страницата
sidan	страната
sidan	страна
resultat	изведба
resultat	перформанс
resultat	перформанси
resultat	настап
resultat	резултати
resultat	резултат
gav	дале
gav	даде
gav	дал
gav	дадов
gav	дадоа
når	достигнува
når	достигне
ibland	некогаш
ibland	понекогаш
ibland	повремено
dessutom	дополнително
enda	единствена
enda	сингл
enda	самец
enda	ѓон
kända	позната
kända	познати
kända	познат
kända	познат
kända	познатата
kända	славна
kända	позната
kända	познати
universitet	универзитети
universitet	универзитет
rgb	rgb
libanon	либан
paris	париз
utgör	позира
utgör	претставува
kamerun	камерун
border	граница
musik	музика
maria	мери
maria	марија
tillbaka	грб
tillbaka	назад
kung	крал
kung	кинг
kung	кралот
form	облик
form	форма
form	форма
der	дер
fått	примен
fått	добиени
fått	доби
fått	примена
fått	примиле
historia	расказ
historia	сторија
historia	приказна
historia	историја
dal	дал
dal	долината
dal	долина
dal	котлина
låten	песна
fiji	фиџи
tjeckien	чешкиот
tjeckien	чешки
tjeckien	чешка
james	џејмс
james	џемс
albumet	албум
samtidigt	симултано
samtidigt	истовремено
uppströms	низводно
kring	околу
kring	наоколу
män	мажи
män	мажите
män	луѓе
män	машки
lång	висок
lång	висока
lång	лонг
lång	долги
lång	долго
lång	долга
alger	алжир
alger	алги
alger	алги
gift	отров
gift	женет
gift	омажена
gift	мажена
gift	венчани
gift	оженет
gift	отров
gift	отровно
gift	отровен
album	албум
album	албуми
ner	надолу
ner	доле
ner	долу
ner	подоле
ner	надоле
innehåller	содржи
innehåller	содржат
disk	диск
little	мала
little	мал
little	литл
little	мали
little	малку
little	мало
wilhelm	вилхелм
gånger	пати
brook	брук
övriga	macedonian
övriga	други
övriga	друѓи
övriga	други
professor	професор
km²	km²
las	лас
division	дивизија
division	поделба
martin	мартин
urval	селекција
urval	избор
urval	избирање
urval	примерок
city	град
city	градско
city	градот
city	градски
totalt	вкупно
totalt	вкупен
totalt	тотал
totalt	вкупна
totalt	севкупно
totalt	општо
alexander	александар
alexander	александер
arena	арена
period	период
period	period
grönland	гренланд
dag	ден
låg	ниско
låg	ниски
låg	ниска
låg	низок
bogotá	богота
året	година
året	year
timur	тимур
europa	европа
kalifornien	калифорнија
aldrig	никогаш
gruppen	група
gruppen	групно
gruppen	групни
gruppen	групна
miljoner	милион
miljoner	милиони
miljoner	милионски
miljoner	милиони
henry	анри
henry	хенри
växter	билки
växter	растенија
växter	централи
växter	билка
växter	растение
växter	централа
står	стои
står	стоечки
står	стојам
står	стоејќи
står	стоење
står	стои
står	трибините
seed	семе
sex	шестмина
sex	six
sex	шест
sex	секс
spelar	претставите
spelar	свири
spelar	свирење
spelar	играње
spelar	свири
peak	врв
bort	далеку
bort	подалеку
ser	изгледа
ser	сер
ledamot	членка
ledamot	член
orkidéer	орхидеите
orkidéer	орхидеи
särskilt	особено
särskilt	поготово
särskilt	особено
särskilt	посебно
friedrich	фридрих
liv	живот
liv	life
liv	животот
liv	лив
queensland	квинсленд
bildades	формирана
bildades	формирани
bildades	формиран
bildades	формирано
kvar	лево
kvar	лева
kvar	левица
medlemmar	членки
medlemmar	членовите
medlemmar	членови
sida	страница
sida	страницата
längre	повисок
längre	подолго
längre	подолга
längre	подолг
längre	подолги
område	област
område	подрачје
gustaf	gustaf
gustaf	гарфилд
anders	андерс
fortfarande	сеуште
fortfarande	уште
fortfarande	сепак
min	мое
min	рудник
min	моја
min	мој
min	мин
min	минимална
airport	аеродром
befolkningen	популација
befolkningen	население
översättning	преведување
översättning	превод
louis	луј
louis	луис
ordförande	претседател
ordförande	претседавач
ordförande	претседавачот
http	http
joseph	јосиф
joseph	џозеф
kanske	можеби
kanske	можеби
smith	смит
världen	ворлд
världen	world
världen	свет
världen	светот
världen	свету
användare	кориснички
användare	корисник
användare	корисникот
användare	корисници
varierad	варира
varierad	разновидни
tar	земање
tar	превзема
far	татка
far	татко
honduras	хондурас
bolivia	боливија
länder	земји
länder	држави
ytterligare	понатамошно
ytterligare	дополнително
ytterligare	дополнителни
ytterligare	дополнителна
ytterligare	додатни
ytterligare	дополнителен
guld	златен
guld	златни
guld	злато
kuba	куба
center	средина
center	центар
dotter	ќерко
dotter	ќерка
god	добра
god	добро
god	добар
luanda	луанда
grupp	група
grupp	групно
grupp	групни
grupp	групна
väl	епа
väl	па
bandet	каиш
lars	ларс
rätt	десно
rätt	надесно
rätt	право
rätt	точен
rätt	исправи
rätt	точна
roll	улога
svampar	печурки
svampar	морските
svampar	печурка
ryska	руска
ryska	руски
ryska	руско
henne	ја
henne	нејзината
henne	неа
henne	нејзе
wien	виена
via	виа
via	преку
via	via
laguna	лагуна
italien	италија
syrien	syria
syrien	сирија
matcher	совпаѓања
matcher	натпревари
matcher	игри
arter	врсти
arter	видови
hjälp	помагаат
hjälp	помош
kriget	војна
klassen	клас
klassen	класа
gustav	густав
gustav	гарфилд
university	универзитет
van	van
van	комби
van	ван
van	комбе
anna	ана
anna	ana
fredrik	фредерик
fredrik	фредрик
fler	уште
fler	повеќе
kort	карти
kort	картички
kort	кратки
kort	кратко
kort	кратка
kort	краток
kort	кус
kort	картичка
kort	картичката
kort	карта
ungern	унгарија
gitarr	гитара
serie	серија
serie	серии
serie	сериски
serie	серија
gjort	заврши
gjort	done
gjort	направено
gjort	сторено
gjort	завршено
ledde	водеше
ledde	led
ledde	предводени
guinea	гвинеја
ecuador	еквадор
michael	михаел
michael	мајкл
michael	михаил
michael	michael
ovan	над
ovan	погоре
ovan	наведените
ovan	одозгора
rapport	пријави
rapport	извештај
lika	еднакво
lika	подеднакво
lika	еднакво
lika	еднаков
lika	еднакви
kallad	повика
tycker	мисли
tycker	помисли
tycker	размислувај
brittisk	британски
brittisk	британска
brittisk	британскиот
använda	користење
använda	користејќи
använda	употреба
använda	искористи
använda	користи
använda	искористен
använda	користени
använda	користена
använda	искористена
använda	користен
fransk	французи
fransk	француски
guvernementet	governorate
ungefär	околу
ungefär	за
ungefär	приближно
ungefär	отприлика
ungefär	приближно
tal	тал
tal	говорот
tal	говор
tal	број
tal	броеви
tal	бројки
shan	шан
gäller	важи
iii	iii
sarajevo	сараево
människor	народ
människor	луѓе
slutade	запрен
slutade	запре
slutade	престана
slutade	застанале
slutade	застанал
world	ворлд
world	world
world	свет
world	светот
world	свету
august	август
august	аугуст
zeeland	зеланд
zeeland	zeeland
visar	покажувајќи
visar	покажување
visar	прикажува
visar	покажува
visar	емисии
visar	прикажува
head	главата
head	глава
flyttade	преместена
nästan	речиси
nästan	скоро
egna	сопствени
egna	сопствено
egna	сопствена
egna	сопствен
ursprungligen	првично
ursprungligen	првично
ursprungligen	првобитно
ursprungligen	изворно
nytt	ново
nytt	нов
nytt	нови
nytt	нова
brittiska	британски
brittiska	британска
brittiska	британскиот
etiopien	етиопија
grande	гранде
vars	чија
vars	чиј
vars	чии
vars	чие
grottor	пештери
grottor	пештерите
christian	христијански
christian	кристијан
christian	христијан
christian	христијани
christian	христијанин
labrador	лабрадор
newfoundland	њуфаундленд
klubben	клуб
yta	површина
yta	површината
yta	област
yta	подрачје
livskraftig	остварлива
livskraftig	остварливо
aires	аирес
vatten	вода
vatten	воден
vatten	води
spelare	играчот
spelare	играч
spelare	играчи
buenos	буенос
själva	самите
andersson	andersson
igen	повторно
igen	одново
igen	пак
start	почни
start	почеток
start	старт
start	стартување
oftast	обично
oftast	претежно
oftast	воглавно
oftast	најмногу
oftast	најчесто
oftast	главно
true	вистинито
true	вистина
richard	ришар
richard	ричард
reservoar	резервоар
berlin	berlin
berlin	берлин
byte	бајт
byte	бајти
studerade	студираше
studerade	студирал
studerade	учела
medlem	членка
medlem	член
ännu	сепак
jan	јан
liten	малечко
liten	мала
liten	мал
liten	мали
liten	мало
liten	мала
liten	мал
liten	литл
liten	мали
liten	малку
liten	мало
liten	ситна
guatemala	гватемала
version	верзија
manitoba	манитоба
information	информација
information	информации
guyana	гвајана
stränder	брегови
stränder	бреговите
stränder	плажи
love	љубов
love	љубовта
adt	adt
national	национални
national	национална
national	национален
national	национално
sur	кисели
sur	кисело
sur	сур
använder	користење
använder	користејќи
typ	тип
spelades	играше
spelades	одиграно
spelades	одигран
spelades	свирел
arbete	работа
arbete	дело
arbete	работно
bättre	подобри
bättre	подобра
bättre	подобар
bättre	подобро
problem	проблем
problem	проблеми
problem	неволја
problem	проблем
problem	проблеми
problem	прашања
grand	grand
grand	гранд
são	сао
irland	ирска
säga	кажи
säga	речи
alltså	затоа
edward	едвард
grundades	основана
grundades	основани
grundades	основано
grundades	основан
varmt	згодна
varmt	жешка
varmt	жешко
varmt	жешки
varmt	топла
varmt	грее
varmt	топло
varmt	топли
varmt	топол
varmt	топла
laget	екипа
laget	тим
botten	дно
botten	дното
botten	долен
botten	дно
lilla	мала
lilla	мал
lilla	литл
lilla	мали
lilla	малку
lilla	мало
lilla	lilla
