और	и
वर्तमान	нынешней
वर्तमान	текущие
वर्तमान	текущая
वर्तमान	настоящее
वर्तमान	подарок
अध्ययन	изучения
अध्ययन	изучаю
अध्ययन	изучение
अध्ययन	учусь
अध्ययन	изучение
अध्ययन	исследование
अध्ययन	исследований
अध्ययन	исследования
विभाग	департамент
विभाग	деление
विभाग	дивизион
विभाग	подразделение
विभाग	отдел
विभाग	департаментов
विभाग	департаменты
आम	манго
आम	общих
आम	общие
आम	общая
स्थिति	статус
स्थिति	состояние
स्थिति	позиция
स्थिति	должность
स्थिति	положение
स्थिति	штат
स्थिति	состояние
स्थिति	государство
स्थिति	условие
स्थिति	состояние
स्थिति	ситуация
स्थिति	положение
प्रभाव	эффект
प्रभाव	влияние
प्रभाव	воздействие
प्रभाव	результативность
प्रभाव	последствия
प्रभाव	последствия
प्रभाव	эффекты
प्रभाव	эффект
आदर्श	идеализм
आदर्श	идеальная
आदर्श	идеал
आदर्श	идол
साल	годы
साल	лет
साल	years
साल	год
पहली	первый
पहली	сначала
पहली	первое
पहली	первая
पहली	first
संगीत	музыка
संगीत	музыку
संगीत	music
अमेरिकी	американский
अमेरिकी	американские
अमेरिकी	американская
अमेरिकी	american
अमेरिकी	американских
अमेरिकी	американец
अमेरिकी	американцы
सेवा	услуга
सेवा	служба
सेवा	сервис
सेवा	службы
सेवा	услуги
सेवा	обслуживание
बनाने	создание
बनाने	изготовление
बनाने	старателей
आज	сегодня
आज	today
स्थापित	установлены
स्थापित	установлено
स्थापित	установлен
स्थापित	установлена
स्थापित	основанное
स्थापित	основано
स्थापित	основанная
स्थापित	основана
स्थापित	основанный
स्थापित	основан
उच्च	высокий
उच्च	high
उच्च	высоко
उच्च	высокого
उच्च	высокая
उच्च	возвышенный
चाहिए	должен
चाहिए	должны
देता	даёт
देता	дарит
देता	дает
उपलब्ध	доступно
उपलब्ध	доступные
उपलब्ध	доступны
उपलब्ध	доступен
उपलब्ध	имеющихся
काफी	хватит
काफी	достаточно
बड़ी	большой
बड़ी	крупных
बड़ी	крупный
बड़ी	большая
बड़ी	крупные
बड़ी	большие
बड़ी	большая
बड़ी	big
बड़ी	большие
बड़ी	большой
बड़ी	биг
चार	четверо
चार	четыре
शक	сомнения
शक	сомнение
शक	сомневаться
शक	сомнений
श्री	шри
श्री	исп
उदाहरण	пример
उदाहरण	иллюстрации
उदाहरण	примеры
उसका	его
उसका	ее
उसका	ей
उसका	её
ले	возьми
ले	бери
ले	берите
ले	принять
ले	возьмите
ले	взять
जिससे	которое
जिससे	которая
जिससे	которые
जिससे	который
स्थापना	установка
स्थापना	установки
स्थापना	установки
स्थापना	установок
स्थापना	сооружения
स्थापना	установка
स्थापना	установите
स्थापना	установить
स्थापना	учреждение
कंपनी	компания
कंपनी	company
कंपनी	рота
कंपनी	компании
अधिकांश	большинство
अधिकांश	наиболее
अधिकांश	преимущественно
सामाजिक	социальное
सामाजिक	социального
सामाजिक	социальный
सामाजिक	социальная
सामाजिक	социальные
प्रत्येक	каждая
प्रत्येक	каждую
प्रत्येक	каждый
प्रत्येक	каждое
प्रत्येक	каждая
प्रत्येक	каждому
प्रत्येक	каждый
प्रत्येक	каждое
बड़ा	большой
बड़ा	крупных
बड़ा	крупный
बड़ा	большая
बड़ा	крупные
बड़ा	большие
बड़ा	большая
बड़ा	big
बड़ा	большие
बड़ा	большой
बड़ा	биг
बड़ा	здорово
बड़ा	отлично
बड़ा	великолепно
बड़ा	крупнее
स्तर	уровни
स्तर	уровень
स्तर	уровней
स्तर	уровень
स्तर	уровня
स्तर	level
बनाया	сделанные
बनाया	сделано
बनाया	сделана
बनाया	сделал
बनाया	сделаны
बनाया	созданные
बनाया	созданный
बनाया	создано
बनाया	создана
बनाया	создан
जारी	продолжил
जारी	продолжение
जारी	текущих
जारी	выпущено
जारी	издан
जारी	выдано
जारी	изданы
चित्र	картинка
चित्र	фотография
चित्र	фотка
चित्र	рисунки
चित्र	фотографии
चित्र	картинки
चित्र	pictures
चित्र	имидж
चित्र	картинка
चित्र	образ
चित्र	изображения
चित्र	изображение
चित्र	картинки
चित्र	изображения
चित्र	образы
इससे	от
इससे	from
इससे	из
प्रणाली	система
प्रणाली	system
सरकारी	официальных
सरकारी	официальное
सरकारी	официальный
सरकारी	официальная
सरकारी	официальные
सरकारी	правительство
जहां	где
जहां	куда
देशों	стран
देशों	страны
जल	вода
जल	воды
जल	воду
जल	плечами
सूची	перечень
सूची	список
सूची	перечни
सूची	списки
विचार	идея
विचार	идеи
विचार	мысль
विचार	думал
विचार	рассмотрение
विचार	мысли
छोटे	маленькая
छोटे	маленькие
छोटे	малых
छोटे	маленький
छोटे	мелкие
छोटे	малые
छोटे	little
छोटे	маленький
छोटे	маленькая
छोटे	мало
छोटे	маленькие
ऊपर	сверху
ऊपर	верх
ऊपर	топ
ऊपर	top
ऊपर	выше
आधारित	основано
इसलिए	поэтому
पानी	вода
पानी	воды
पानी	воду
सामान्य	общие
सामान्य	генерал
सामान्य	общих
सामान्य	общие
सामान्य	общая
सामान्य	нормальный
सामान्य	нормальная
सामान्य	нормально
सामान्य	обычный
सामान्य	нормальное
आगे	вперед
आगे	вперёд
कुल	совокупный
कुल	совокупное
कुल	совокупные
कुल	совокупная
कुल	всего
कुल	итого
एक्स्प्रेस	экспресс
एक्स्प्रेस	express
एक्स्प्रेस	выразить
पुलिस	полицейские
पुलिस	полиции
पुलिस	полиция
पुलिस	полицейский
वर्ग	категория
वर्ग	категории
वर्ग	площадь
वर्ग	квадрат
वर्ग	квадратный
वर्ग	занятия
वर्ग	классы
वर्ग	класс
शरीर	body
शरीर	тела
शरीर	тело
अंग्रेजी	английский
अंग्रेजी	английская
माध्यम	средняя
माध्यम	средних
माध्यम	средний
माध्यम	среднее
माध्यम	средние
मानव	человеческое
मानव	человеческая
मानव	человек
मानव	человека
पाकिस्तान	пакистана
पाकिस्तान	пакистан
भूमिका	введение
भूमिका	роль
भूमिका	роли
हर	хар
हर	каждая
हर	каждую
हर	каждый
हर	каждое
हर	гур
अतिरिक्त	запасных
अतिरिक्त	дополнительные
अतिरिक्त	дополнительно
अतिरिक्त	дополнительное
अतिरिक्त	дополнительный
अतिरिक्त	дополнительная
अतिरिक्त	дополнительные
अतिरिक्त	дополнительное
अतिरिक्त	дополнительная
पिता	отче
पिता	отец
समाज	общество
समाज	общества
नीचे	down
नीचे	вниз
नीचे	ниже
नीचे	низ
नीचे	снизу
नीचे	дно
दुनिया	world
दुनिया	мир
आधुनिक	современный
आधुनिक	современных
आधुनिक	современная
आधुनिक	современные
आधुनिक	современное
ध्यान	медитации
ध्यान	вниманию
ध्यान	внимание
हिंदी	хинди
दे	отдать
दे	дать
दे	дай
दे	дайте
सभा	конгрегация
सभा	сборка
सभा	ассамблеи
सभा	собрание
सभा	ассамблея
सभा	собрание
सभा	сбор
सभा	сбора
सभा	сабха
परिवार	семья
परिवार	семейство
परिवार	семейное
परिवार	семьи
परिवार	родные
विषय	тема
विषय	теме
विषय	темы
विषय	субъекты
विषय	предметы
विषय	предмет
विषय	субъект
विषय	объект
विषय	тема
अधिकार	права
अधिकार	прав
रंग	цвет
रंग	цвета
रंग	цвета
रंग	цвета
रंग	цвет
रंग	цвета
बाहर	бросить
बाहर	открытый
बाहर	снаружи
बाहर	вне
बाहर	аут
बाहर	out
खेल	play
खेल	играть
खेल	играйте
खेल	играй
खेल	спортивные
खेल	спорт
खेल	спортивная
खेल	sports
खेल	game
खेल	игра
खेल	games
खेल	игры
खेल	sport
खेल	спорт
क्षेत्रों	районы
क्षेत्रों	области
जहाँ	где
जहाँ	куда
समान	однородной
समान	аналогичная
समान	похожие
समान	аналогичное
समान	аналогичные
समान	схожие
सितंबर	сентября
सितंबर	сентябрь
दूर	далеко
दूर	подальше
दूर	прочь
दूर	отдаленных
दूर	дальний
पता	адреса
पता	адресов
पता	адреса
पता	адрес
शक्ति	сила
शक्ति	прочность
शक्ति	власть
शक्ति	сила
शक्ति	мощь
शक्ति	power
शक्ति	мощность
शक्ति	шакти
ब्रिटिश	британское
ब्रिटिश	британская
ब्रिटिश	британские
ब्रिटिश	великобритании
ब्रिटिश	британцы
ब्रिटिश	британский
कला	arts
कला	искусство
कला	арт
कला	art
कला	искусство
देते	менталитета
घर	дом
घर	дома
घर	домой
घर	домашний
घर	home
घर	house
घर	дом
घर	хауз
घर	хаус
संस्कृत	санскрит
प्रकाशित	публиковать
प्रकाशित	опубликовать
प्रकाशित	опубликован
प्रकाशित	опубликованный
प्रकाशित	опубликовано
प्रकाशित	опубликована
प्रकाशित	опубликованные
मई	мая
मई	мэй
मई	май
मई	майские
प्रक्रिया	процесса
प्रक्रिया	процесс
प्रक्रिया	процессы
प्रक्रिया	процедура
प्रक्रिया	процедуры
सेना	армий
सेना	армии
सेना	сена
सेना	армии
सेना	армия
पार्टी	party
पार्टी	сторона
पार्टी	партия
पार्टी	вечеринка
पार्टी	вечеринок
पार्टी	вечеринки
हम	гум
रेलवे	железнодорожных
रेलवे	железнодорожный
पश्चिम	запад
पश्चिम	уэст
पश्चिम	западная
पश्चिम	западный
पश्चिम	вест
अंत	конце
अंत	end
अंत	конец
दशक	десятилетие
दशक	десятилетия
पूरी	целая
पूरी	целые
पूरी	целое
पूरी	целиком
बिना	без
क्या	что
क्या	какие
क्या	какая
क्या	какой
अगस्त	августа
अगस्त	август
विकसित	развитые
विकसित	разработан
विकसित	разработано
विकसित	развитых
विकसित	эволюционировали
संबंध	взаимоотношения
संबंध	отношения
संबंध	взаимосвязь
संबंध	взаимоотношения
संबंध	отношения
संबंध	отношений
संबंध	отношения
प्रदर्शन	исполнение
प्रदर्शन	производительность
प्रदर्शन	выступления
प्रदर्शन	отображения
प्रदर्शन	отображение
प्रदर्शन	показ
प्रदर्शन	воздействия
ऐसी	такие
मार्ग	маршрут
मार्ग	трасса
मार्ग	путь
मार्ग	way
मार्ग	способ
पर्यटन	туризм
ज्ञान	знания
ज्ञान	знание
लगा	чувствовала
लगा	почувствовала
लगा	чувствовал
लगा	казалось
दिसम्बर	декабрь
दिसम्बर	дек
दिसम्बर	декабрь
प्रदर्शित	выделенные
प्रदर्शित	актуальное
प्रदर्शित	рекомендуемые
प्रदर्शित	избранные
प्रदर्शित	отображаться
प्रदर्शित	отображается
प्रदर्शित	выставлены
प्रदर्शित	показано
प्रदर्शित	отображения
प्रदर्शित	отображение
प्रदर्शित	показ
अक्सर	часто
अक्सर	нередко
अक्सर	часто
अक्सर	зачастую
सहायता	помогите
सहायता	помощь
सहायता	помочь
सहायता	справка
सहायता	поддержки
सहायता	поддержка
सहायता	поддержку
सहायता	поддерживаю
सहायता	помощь
पहला	первый
पहला	сначала
पहला	первое
पहला	первая
पहला	first
मृत्यु	death
मृत्यु	смерть
मृत्यु	смертность
स्वयं	собственная
स्वयं	собственных
स्वयं	собственные
स्वयं	собственный
स्वयं	собственное
विकिपीडिया	wiki
विकिपीडिया	вики
विकिपीडिया	википедия
विकिपीडिया	википедии
तैयार	готово
तैयार	готовы
तैयार	готов
तैयार	готова
आवश्यक	требуемое
आवश्यक	требуется
आवश्यक	требуются
आवश्यक	срочно
आवश्यक	срочная
आवश्यक	срочное
देखा	посмотрел
देखा	выглядел
देखा	посмотрел
देखा	посмотрела
देखा	смотрела
देखा	посмотрели
देखा	смотрели
देखा	смотрел
देखा	видел
देखा	видели
देखा	пила
देखा	видел
देखा	видела
देखा	увидел
देखा	увидела
उत्पादन	производство
उत्पादन	производства
रोग	болезнь
रोग	заболевание
रोग	заболевания
रोग	болезни
संबंधित	связанные
शताब्दी	век
शताब्दी	столетие
गये	пошла
चीन	china
चीन	китай
अभी	сейчас
अभी	теперь
संघ	союз
संघ	union
संघ	профсоюз
संघ	юнион
संघ	союза
संघ	профсоюзов
संघ	союзы
संघ	профсоюзы
संघ	федерация
संघ	федерации
संघ	ассоциация
संघ	ассоциации
यात्रा	поездки
यात्रा	проезд
यात्रा	путешествия
यात्रा	путешествие
यात्रा	путешествие
यात्रा	поездка
यात्रा	трип
यात्रा	путешествие
मात्रा	сумма
मात्रा	количество
रचना	создание
रचना	создания
रचना	сотворение
रचना	композиция
रचना	состав
जगह	интервал
जगह	интервалы
जगह	место
जगह	пространство
जगह	космической
जगह	космос
जगह	space
भिन्न	отдельных
भिन्न	разные
भिन्न	различных
भिन्न	фракции
लोक	общественность
लोक	публичные
लोक	общественности
सब	всем
सब	всех
सब	all
सब	все
पूरा	завершил
पूरा	завершено
पूरा	завершен
पूरा	завершена
पूरा	полный
पूरा	полные
पूरा	полное
पूरा	полного
पूरा	полная
पूरा	целая
पूरा	целые
पूरा	целое
पूरा	целиком
पूरा	полный
पूरा	полная
पूरा	завершить
आवश्यकता	требование
आवश्यकता	требовать
प्रकाश	light
प्रकाश	свет
प्रकाश	света
प्रकाश	светло
प्रकाश	пракаш
प्रकाश	свет
प्रकाश	огни
नई	новые
नई	новинка
नई	новая
नई	новый
नई	новых
नई	новое
चिकित्सा	медицинская
चिकित्सा	медицинских
चिकित्सा	медицинское
चिकित्सा	медицинский
चिकित्सा	терапии
चिकित्सा	терапия
दूसरी	секунда
दूसरी	второй
