the	на
station	станція
station	станції
station	вокзал
order	замовити
order	ордер
order	наказ
order	порядок
old	старі
old	старе
old	старим
old	стара
old	старий
information	відомості
information	інформація
set	комплект
set	встановити
set	набір
set	встановлено
set	множина
own	власне
own	власні
own	власний
text	текстовий
text	текст
band	band
band	гурт
point	точка
point	точку
point	point
local	локальні
local	місцеві
local	локальна
local	локальний
local	місцевий
around	around
around	довкола
around	навколо
river	річка
river	ріка
top	згори
top	вгорі
top	топ
top	верхній
top	найпопулярніші
top	зверху
main	головний
main	основне
main	головна
main	головні
main	головне
language	мова
language	мови
language	мову
french	френч
french	французька
french	французькою
french	французький
https	https
named	названий
named	назвали
named	названо
off	off
off	вимкнено
note	зауваження
note	примітки
note	зауважте
note	примітка
note	нота
career	кар
original	оригінал
original	оригінальна
original	оригінальне
original	початкове
original	оригінальний
age	віці
age	вік
age	ера
age	доба
service	служби
service	service
service	служба
service	послуга
service	сервіс
established	встановлено
established	подальшому
established	заснований
located	розташовані
located	знаходиться
located	розташовано
located	розташований
said	сказала
said	казали
said	сказали
said	сказав
said	казав
said	саїд
website	сайті
website	сайт
population	населення
air	air
air	повітряна
air	повітря
german	німецька
german	німець
german	герман
german	німецькою
german	німецький
law	закон
law	право
military	військові
military	військовий
great	великий
great	чудово
clubs	клуби
clubs	жир
clubs	клубів
published	опублікований
published	оприлюднено
published	опубліковано
president	президент
president	президенти
park	парк
official	офіційні
official	офіційна
official	офіційний
official	офіційне
case	регістр
case	справа
case	випадок
case	випадку
london	лондонський
london	london
london	лондон
times	таймс
times	час
times	часи
times	times
although	хоча
small	малий
small	малі
small	маленькі
third	третє
third	третій
third	третя
different	different
different	інше
different	різні
different	різних
different	відмінні
due	через
get	отримати
get	get
village	село
closed	закрита
closed	закрито
closed	закриті
closed	зачинено
art	арт
art	мистецтво
art	художня
player	гравця
player	програвач
player	гравець
final	фінал
final	остаточний
final	final
community	громада
community	спільнота
community	спільноти
again	знов
again	знову
began	почалось
began	почався
army	армії
army	армія
army	військо
army	армійський
award	нагорода
without	без
death	death
death	смерть
death	смерті
built	побудовано
built	побудували
built	зібрано
men	чоловіки
large	великі
large	великих
site	сайт
using	користування
using	використання
deletion	вилучення
white	білий
white	біла
white	біле
white	білі
white	вайт
central	central
central	центральний
central	центральна
road	дорожні
road	дорога
children	діти
children	дітьми
children	дітей
free	вільна
free	безкоштовне
free	вільний
free	безкоштовно
free	вільно
took	взяли
took	забрали
took	взяв
took	забрала
took	забрав
england	англія
include	включення
include	включити
include	включати
association	асоціації
association	асоціація
down	вниз
down	down
down	униз
down	даун
given	вказаний
given	дано
given	надано
given	даного
source	джерело
source	джерела
california	каліфорнію
california	california
california	каліфорнія
man	людина
man	чоловік
man	мужчина
man	man
version	версія
written	писав
written	записано
written	написано
written	записані
created	створено
created	створені
created	створене
created	створена
media	медіа
media	носії
media	носій
media	мультимедіа
media	змі
black	чорні
black	чорне
black	чорна
black	чорний
though	хоча
though	щоправда
php	php
report	повідомити
report	скарга
report	звіт
building	будівля
building	будівництво
building	будуємо
building	будівельні
building	будівлі
take	візьму
take	бери
take	візьми
take	взяти
division	ділення
division	дивізіон
division	поділ
comment	коментар
comment	коментувати
comment	прокоментувати
king	кінг
king	король
king	цар
edit	edit
edit	редагувати
edit	правка
edit	змінити
stadium	стадіон
stadium	стедіум
died	помер
died	померла
ship	судно
ship	корабель
research	дослідження
research	research
record	записати
record	записувати
record	рекорд
record	запис
archive	архівувати
archive	архів
places	місць
places	місця
places	місцини
undo	скасувати
cup	чашка
cup	чаша
cup	кубок
records	рекорди
records	records
records	платівки
often	часто
few	кілька
few	небагато
received	отримано
received	отримані
received	отриманий
received	отримали
received	отримала
side	збоку
side	сторона
side	бічна
side	бік
side	сторони
power	влада
power	живлення
power	сила
power	power
education	освіта
education	освіти
education	education
know	знаю
know	знати
know	know
know	знайома
category	категорія
water	вода
water	водні
water	водяний
water	водяне
political	політичний
political	політичне
political	політична
political	політичні
species	виді
species	вид
species	види
field	поля
field	поле
near	поблизу
near	поруч
near	поряд
near	близько
near	біля
australia	австралія
australia	australia
australia	австралії
video	відео
video	відеозапис
need	need
need	треба
need	потрібно
need	потреби
need	потреба
island	острів
form	форму
form	форма
find	пошук
find	знайти
find	знайдіть
find	find
served	подають
served	служив
play	відтворити
play	грати
play	програти
project	project
project	проект
according	сп
radio	радіо
radio	рації
works	працює
every	кожен
every	кожні
development	розвитку
development	розвиток
development	розробка
example	приклад
example	прикладу
live	жити
live	live
live	наживо
live	живу
live	трансляція
union	union
union	союз
union	юніон
india	індію
india	індія
india	індії
next	наступний
next	наступна
next	next
next	наступне
next	далі
special	особливий
special	спеціальний
special	особливі
special	особливе
special	спеціальні
special	особлива
court	судові
court	суд
region	ділянку
region	регіон
little	маленька
little	маленький
little	маленькі
short	short
short	короткий
short	коротка
short	скорочено
short	коротке
short	короткі
william	вільям
province	провінція
western	західний
western	західні
western	західна
son	сина
son	сину
son	син
france	франції
france	франція
france	францію
council	рада
council	ради
others	інших
others	інші
others	іншими
royal	королівська
royal	royal
royal	королівський
royal	королівське
royal	рояль
current	поточні
current	поточний
current	поточна
current	течія
current	струм
street	стріт
street	вулиця
full	повна
full	повний
full	повне
red	червона
red	ред
red	червоний
red	червоне
red	червоні
too	теж
too	надто
too	занадто
department	департамент
department	відділ
san	сан
help	допоможіть
help	допомогти
help	допомога
help	довідка
help	допомогу
among	серед
preserved	зберегла
preserved	зберігав
james	джеймс
open	відкрити
open	відкрита
open	відкрито
open	відкриті
open	відкритий
force	примусово
force	примусити
force	сила
force	force
position	розташування
position	позиція
position	положення
position	позиції
head	head
head	голова
head	голівка
director	режисер
director	директор
father	батька
father	батько
father	батьку
father	отець
track	доріжки
track	трек
track	композицію
track	доріжка
track	композиція
track	стежити
http	http
canada	канаді
canada	канади
canada	канаду
canada	канада
never	никогда
never	ніколи
never	never
australian	австралійська
australian	австралійський
george	георгій
george	георгія
george	джордж
george	георг
jpg	jpg
level	рівень
late	запізнюється
late	пізно
late	запізно
summer	літо
society	суспільство
society	товариства
society	товариство
moved	зворушений
moved	переїхала
moved	переїхали
moved	переїхав
office	офіс
office	office
period	строк
period	період
championship	чемпіонський
championship	чемпіонат
round	кругла
round	круглий
round	round
round	раунд
story	публікації
story	історія
story	сюжет
story	розповідь
story	публікація
songs	пісень
songs	пісні
songs	songs
various	різноманітні
various	різні
file	файл
days	днів
days	дні
land	земля
business	бізнес
business	справа
business	ділова
business	business
business	діловий
reason	причина
reason	привід
america	америка
million	мільйон
european	європейський
european	європейські
european	європейська
term	термін
six	шість
six	шестеро
post	дописі
post	опублікувати
post	допис
post	допису
why	чому
why	нащо
why	навіщо
produced	ролик
making	творити
making	внесення
subject	темою
subject	тема
subject	предмет
young	янг
young	молода
young	молоді
young	молодою
young	молодий
young	молодим
total	усього
total	всього
total	загалом
total	загальна
total	загальний
david	давід
david	девід
david	давид
science	наука
science	науки
related	схожі
rock	скеля
rock	рок
rock	кручі
rock	rock
archived	застарілі
archived	архів
railway	залізнична
railway	залізниця
become	стануть
become	стати
become	стають
led	повів
led	led
led	лампочка
students	студенти
students	учням
students	студентів
students	студентам
students	учні
started	почалося
started	почалось
started	почали
started	розпочато
started	почався
started	почато
news	новини
news	новина
described	описано
described	описані
role	ролі
role	роль
election	вибори
albums	альбомів
albums	альбоми
present	сьогодення
present	подарунок
present	теперішній
present	присутні
present	присутня
indian	індійська
indian	індійський
kingdom	царство
kingdom	kingdom
kingdom	королівство
books	книжки
books	книг
books	книги
important	важлива
important	важливі
important	важливий
important	важливе
important	важливо
northern	північна
northern	північний
northern	північне
love	любов
love	кохаю
love	кохання
run	запускати
run	запустити
run	run
run	виконати
canadian	канадська
canadian	канадський
canadian	canadian
press	преса
press	натиснути
press	прес
press	press
type	типу
type	тип
act	діяти
act	акт
editor	редактор
came	приїхала
came	приїхав
came	прилетіли
came	зайшла
came	прийшло
came	прийшов
schools	школах
schools	шкіл
program	програма
issue	випуск
issue	видання
social	соціальне
social	соціальні
social	соціальна
social	соціальний
germany	німеччини
germany	німеччині
germany	німеччина
germany	німеччину
production	продакшн
production	виробництво
production	продукція
male	чоловічий
male	самець
male	чоловічі
male	чоловіча
awards	нагороди
points	точки
points	очки
points	пункти
points	очок
points	балів
similar	схожі
similar	подібні
similar	подібна
similar	подібний
professional	фахівець
professional	професійний
professional	професіонал
professional	professional
professional	професійні
say	say
say	скажуть
say	кажу
say	сказати
say	кажеш
background	тло
background	тла
enough	достатньо
enough	досить
lead	лід
lead	свинець
lead	ведучий
lead	ліда
common	спільними
common	поширені
common	спільне
common	загальні
common	common
overlap	перекриваються
data	дані
data	data
color	колір
color	кольорова
better	краща
better	better
better	краще
better	кращі
person	особа
person	особи
services	послуги
services	служби
bgcolor	bgcolor
museum	museum
museum	музей
battle	battle
battle	битва
battle	бій
sports	спорт
sports	спортивні
sports	спорту
already	уже
already	вже
currently	зараз
currently	наразі
hall	холл
hall	зал
hall	зали
hall	ратуша
hall	голл
hall	зала
buildings	будівлі
buildings	будівель
historic	історичний
historic	історичної
historic	історичні
date	дату
date	дата
date	датою
deleted	вилучено
deleted	вилучені
considered	вважається
considered	вважаються
considered	вважають
considered	вважалося
change	зміна
change	change
change	змінити
location	розміщення
location	місцезнаходження
location	локація
location	місце
location	розташування
seems	фотографування
seems	здається
must	мусить
must	має
must	повинен
yes	yes
yes	так
our	наше
our	наша
our	наші
our	наш
southern	південна
southern	південний
lost	втрачений
lost	програв
lost	lost
something	щось
something	дещо
something	чимось
review	переглянути
review	рецензування
review	відгук
review	огляд
together	разом
robert	роберт
robert	робер
fact	факт
less	менше
japanese	японська
japanese	японський
japanese	японці
japanese	японські
groups	групи
groups	груп
groups	спільноти
content	контент
content	вміст
content	зміст
content	матеріали
involved	звязок
isbn	isbn
board	дошки
board	правління
board	дошка
board	настільні
japan	японія
japan	японію
japan	японії
control	контроль
control	контрольна
control	керування
policy	правила
policy	політики
policy	policy
policy	політика
policy	політикою
modern	сучасні
modern	сучасно
modern	сучасний
modern	сучасне
human	людина
human	людський
half	пів
half	півтори
half	половина
half	половину
half	наполовину
design	проектування
design	дизайн
design	розробка
event	подію
event	події
event	подією
event	подія
events	події
available	доступні
available	доступний
available	наявні
available	наявний
done	зроблено
done	закінчили
done	виконано
done	готово
done	done
washington	washington
washington	вашингтон
washington	вашингтона
real	реал
real	справжня
real	справжні
real	реальний
real	справжній
start	запустити
start	розпочати
start	старт
start	запускати
start	початок
start	почати
personal	особисті
personal	особисте
personal	особистий
personal	персональний
action	бойовики
action	дії
action	дія
space	простору
space	пробіл
space	простір
areas	області
areas	ділянки
areas	територіях
areas	площі
areas	районів
doesn	doesn
star	зоря
star	зірочки
star	зоряні
star	зірка
really	насправді
really	справді
really	дійсно
really	невже
china	china
china	китаї
china	китаю
china	китай
possible	можливе
possible	можливо
possible	можлива
paul	пол
paul	пауль
paul	павло
working	робота
working	робочий
taken	taken
taken	взято
taken	забрала
taken	зроблено
far	far
far	далека
far	далекий
far	далеко
going	їду
going	йдемо
minister	міністр
minister	міністру
lake	озеро
lake	озера
popular	популярні
popular	популярне
popular	популярна
popular	популярний
married	одружені
married	заміжня
married	одружена
married	заміж
married	одружений
founded	заснував
founded	засновано
europe	європу
europe	європа
europe	європі
author	автор
author	автора
author	автором
away	відійшов
away	відсутність
away	away
away	геть
independent	самостійна
independent	незалежні
independent	незалежна
independent	незалежний
independent	незалежне
process	процес
process	обробити
process	процесу
teams	команди
character	характер
character	символів
character	персонаж
character	символ
low	низький
low	низька
low	low
michael	михайло
michael	майкл
michael	michael
michael	михаїл
pages	сторінки
pages	сторінок
light	світлі
light	світле
light	light
light	світло
light	світлий
big	великі
big	велике
big	велика
big	великий
big	біг
seen	бачили
seen	бачив
release	випуск
release	реліз
release	випуску
release	звільнення
want	вимагаємо
want	хочу
want	хочеш
episode	епізод
wrote	написав
wrote	написала
wrote	писав
republic	республіка
thomas	томас
thomas	тома
companies	компанії
companies	компаній
companies	компаніями
via	via
via	віа
via	через
russian	російська
russian	російською
russian	російську
thanks	дякую
thanks	дякуємо
put	додаю
put	ставимо
put	класти
put	поставити
race	перегони
race	забіг
race	раса
worked	спрацювало
worked	працював
worked	працювали
worked	працювала
route	маршрут
recorded	записано
recorded	записав
someone	кимось
someone	когось
someone	хтось
civil	цивільно
civil	цивільний
civil	громадянська
police	поліція
charles	шарль
charles	чарльз
listed	зазначив
listed	перелічені
listed	зазначає
users	користувачі
users	користувачів
template	шаблон
template	template
eastern	східна
eastern	східної
eastern	східні
body	тіло
body	тіла
question	запитання
question	питання
italian	італійською
italian	італійський
italian	італієць
italian	італійська
italian	італійської
featured	обрані
week	тиждень
editors	редакторів
texas	техас
chief	шеф
chief	вождь
chief	головний
close	закрити
close	близький
close	близько
close	близькі
close	закриття
match	збіг
match	відповідність
match	матч
match	двобій
match	сірники
roman	роман
come	come
come	приходь
come	приходьте
tour	гастролі
tour	tour
tour	тур
sea	море
actually	насправді
actually	взагалі
cross	хрест
cross	хрестик
cross	крос
playing	грає
playing	програвання
playing	відтворення
institute	інститут
caps	кінчики
caps	кубків
forces	сил
forces	сили
forces	військах
green	зелене
green	зелені
green	зелений
rights	права
evidence	докази
aircraft	літак
aircraft	літаків
aircraft	авіаційна
arts	мистецтво
range	асортимент
range	діапазон
range	хребет
probably	ймовірно
probably	орієнтовно
consensus	консенсусу
bar	bar
bar	бар
bar	смужка
problem	задача
problem	проблему
problem	проблема
look	погляд
look	вигляд
look	подивитися
look	дивіться
look	дивися
look	дивись
issues	питань
issues	проблеми
issues	питання
average	середній
average	середнє
average	середня
average	середнього
network	мережа
network	network
network	мережі
network	мережеві
win	win
win	переможе
shows	показує
wife	дружині
wife	дружина
returned	повернувся
returned	повернуто
returned	повернулася
night	ночі
night	ніч
magazine	журнал
magazine	magazine
magazine	часопис
centre	центр
usually	зазвичай
completed	завершено
completed	завершені
completed	виконано
elected	обраний
elected	обрання
significant	значний
african	африканська
african	африканський
african	африканські
african	африканських
able	зміг
able	зможе
google	google
google	гаджети
stage	стадія
addition	додавання
ireland	ірландія
ireland	ірландії
today	сьогодні
academy	академія
academy	академії
saint	святий
saint	saint
saint	сен
self	власна
self	власний
continued	тривале
continued	продовжив
continued	продовжували
continued	продовжується
continued	продовжила
stations	станції
mother	матір
mother	мати
mother	матері
africa	африка
culture	культура
spanish	іспанською
spanish	іспанської
spanish	іспанська
grand	гран
grand	гранд
grand	grand
committee	комітету
committee	комітет
things	things
things	речі
things	речей
fire	fire
fire	вогнем
fire	вогонь
fire	пожежа
changed	змінився
changed	змінилася
changed	змінено
changed	змінений
changed	змінені
gold	золота
gold	gold
gold	золоті
gold	золото
female	жіноча
female	жіночий
female	самка
female	жінка
course	курс
course	майданчик
directed	орієнтований
directed	направлена
months	місяці
months	місяцями
months	місяців
chinese	китайською
chinese	китайські
chinese	китайська
chinese	китайці
chinese	китайський
previous	попереднє
previous	попередні
previous	попередній
previous	попередня
developed	розробили
developed	розроблений
developed	розроблено
size	розмір
mentioned	згадала
mentioned	згадав
mentioned	згадував
add	додавання
add	додавати
add	додати
festival	festival
festival	фестиваль
peter	петро
peter	пітер
basketball	баскетбол
move	пересунути
move	хід
move	перемістити
move	пересування
performance	ефективність
performance	виступ
standard	стандартний
standard	стандарт
standard	стандартна
standard	стандартне
means	засоби
give	віддам
give	дайте
give	надати
training	тренування
training	тренінг
training	тренінги
artist	художниця
artist	митець
artist	виконавець
artist	художник
word	словом
word	слово
blue	blue
blue	блакитні
blue	блакитний
blue	блакитна
blue	синій
blue	сині
primary	основний
primary	основне
primary	основна
announced	оголосили
value	значення
value	вартість
christian	християни
christian	християнин
christian	крістіан
christian	християнський
christian	християнська
private	приватні
private	приватна
private	особисте
private	приватний
catholic	католицька
artists	художники
artists	виконавців
artists	виконавці
artists	художників
artists	митці
includes	включення
includes	входить
includes	включає
view	перегляд
view	вигляд
view	view
view	вид
view	переглянути
almost	майже
baseball	бейсбол
seven	сім
seven	сімка
ever	ever
provide	надають
provide	надати
technology	технологія
technology	технології
olympics	олімпіада
olympics	іграх
future	майбутнє
formed	сформована
formed	оформлено
formed	сформовано
census	перепис
images	зображення
images	зображень
results	результати
return	повернутися
return	повернення
quality	якість
construction	будівництво
construction	будівництва
zealand	зеландії
zealand	земельні
zealand	зеландія
front	front
front	спереду
front	передні
front	фронт
front	передній
cover	обкладинку
cover	cover
cover	обкладинка
cover	обкладинки
model	модель
model	моделі
despite	незважаючи
read	прочитайте
read	читати
read	прочитані
read	читайте
read	прочитати
read	читання
material	матеріал
material	матеріали
strong	сильним
strong	сильні
strong	сильною
strong	сильний
strong	сильна
coach	тренер
coach	тренера
henry	генрі
henry	генріх
henry	анрі
mark	кропивницький
organization	організація
organization	установа
studies	студій
studies	вивчає
studies	дослідження
federal	федеральний
richard	річард
html	html
virginia	вірджинія
car	автомобілем
car	машина
car	авто
car	автомобіль
attack	наступ
attack	напад
attack	атака
attack	атаки
conference	конференція
conference	конференції
outside	ззовні
outside	надворі
outside	поза
outside	зовні
study	вивчення
study	навчання
brother	брат
brother	брата
brother	братик
names	назви
names	імена
writer	writer
writer	письменник
characters	символів
characters	персонажі
characters	ієрогліфи
characters	літери
characters	символи
musical	музична
musical	музичний
musical	мюзикл
musical	музичні
nothing	nothing
nothing	ніщо
nothing	небуття
nothing	нічого
border	рамки
border	обрамлення
border	межа
border	кордон
border	рамка
medical	медичних
medical	медичний
medical	medical
medical	медична
medical	медичні
countries	країн
countries	країни
past	минулий
past	минулі
past	минуле
writing	написання
writing	запис
writing	писати
writing	запису
makes	робить
interest	відсотки
interest	зацікавлення
interest	відсоткова
interest	інтерес
interest	вигода
provided	надані
provided	надано
killed	вбив
killed	вбили
medal	медаль
signed	підписано
signed	підписав
signed	підписали
label	надпис
label	мітку
label	напис
label	мітка
fair	ярмарок
fair	справедливо
fair	справедлива
fair	справедливий
search	шукати
search	пошук
bay	губа
bay	затока
reference	довідник
reference	посилання
reference	зразковий
especially	особливо
refer	дотримуйтесь
refer	зверніться
removed	вилучено
removed	видалили
removed	вилучені
removed	видалено
library	бібліотеку
library	бібліотека
library	бібліотеки
eventually	зрештою
management	управління
management	менеджмент
management	керівництво
management	керування
references	посилання
features	особливості
features	можливості
features	функціональність
navy	вмс
navy	флот
guitar	гітару
guitar	гітара
hill	пагорб
hill	хілл
hill	hill
hill	гілл
sure	впевнений
sure	звичайно
sure	впевнені
historical	історична
historical	історичне
historical	історичні
lower	нижній
lower	опустити
lower	нижня
lower	нижча
daughter	донька
daughter	дочка
appointed	призначив
reading	читання
yet	ще
systems	систем
systems	systems
debut	дебют
movement	рух
specific	конкретних
specific	певне
specific	конкретні
always	завжди
actor	актор
natural	натуральний
natural	натуральна
natural	натуральні
natural	природний
natural	природні
clear	чисто
clear	очистити
coast	узбережжя
coast	берег
let	хай
let	нехай
got	got
chicago	чикаго
