ইউরেনিয়াম	ураниум
ভীত	плашлива
ভীত	исплашена
ভীত	исплашен
ভীত	исплашени
ভীত	уплашени
গুজরাত	гуџарат
গিবস	гибс
অভিবাসন	миграција
অভিবাসন	миграции
রেসলিং	борење
স্কেচ	цртежот
পাতিল	патил
ইফেক্ট	ефекти
ইফেক্ট	ефект
শীতকাল	зима
রাদারফোর্ড	радерфорд
বসন্তে	пролет
বসন্তে	пролетни
উইলিস	вилис
অয়লার	ојлер
নারিকেল	кокосово
নারিকেল	кокос
আসক্তি	зависност
আসক্তি	зависности
আসক্তি	зависна
আশ্চর্য	неверојатна
আশ্চর্য	неверојатни
আশ্চর্য	неверојатно
আশ্চর্য	чудни
আশ্চর্য	чудна
আশ্চর্য	чудно
উইলিয়ামসন	вилијамсон
ফিলাডেলফিয়া	филаделфија
ব্যবসায়ীদের	трговци
তলার	горе
অত্যাধুনিক	софистицирана
অত্যাধুনিক	софистицирани
অত্যাধুনিক	префинет
অত্যাধুনিক	софистициран
চিন	брадата
চিন	брада
চিন	муцка
চিন	кина
ফ্রেডরিক	фредерик
ওয়াইন	вино
সংকুচিত	срушена
অস্পষ্ট	нејасно
অস্পষ্ট	матен
অস্পষ্ট	матно
নৃতাত্ত্বিক	антрополог
দন্ড	стапови
দন্ড	стапчиња
আর্নল্ড	арнолд
দৌড়বাজী	атлетика
লিন	лин
লিন	лин
লিন	лин
ছাড়	попуст
ছাড়	попусти
পনেরো	петнаесет
রবার্টস	робертс
ব্রেট	брет
ঘনিষ্ঠভাবে	одблиску
ঘনিষ্ঠভাবে	тесно
ডলি	доли
প্রাইড	гордост
প্রাইড	гордоста
ভিলহেল্ম	вилхелм
ডায়ানা	дијана
ডায়ানা	диана
ডায়ানা	дајана
জোহানেসবার্গ	јоханесбург
ওম	ом
সচিবালয়	секретаријат
অন্তর্বর্তীকালীন	транзициска
অন্তর্বর্তীকালীন	транзициски
শোনার	слух
শোনার	сослушување
দরজার	врата
হোমস	холмс
হোমস	хомс
দোকানের	шоп
দোকানের	продавница
সাও	сао
সাও	сао
আইসল্যান্ড	исланд
মডার্ন	модерен
মডার্ন	модерно
মডার্ন	модерни
মডার্ন	современ
মডার্ন	модерна
চতুর্থাংশ	четврт
চতুর্থাংশ	кварт
ফুটার	подножје
তৎপরতা	дејност
তৎপরতা	активност
তৎপরতা	активности
জুলিয়াস	џулиус
জুলিয়াস	јулие
ব্যাঙ্গালোর	бангалор
তাড়া	чејс
তাড়া	одела
তাড়া	костуми
উপসাগরীয়	заливот
উপসাগরীয়	залив
ইলেক্ট্রনিক্স	електроника
পৌঁছায়	достигнат
পৌঁছায়	опсег
পৌঁছায়	достигне
পৌঁছায়	досег
এমবিএ	mba
কবরের	гробници
কবরের	гробови
কবরের	гроба
লিওনেল	лајонел
লিওনেল	лионел
স্বর্গের	небесата
স্বর্গের	рај
স্বর্গের	рајот
সদস্যবৃন্দ	запомни
সদস্যবৃন্দ	запамети
সদস্যবৃন্দ	запомнете
সদস্যবৃন্দ	членки
সদস্যবৃন্দ	членовите
সদস্যবৃন্দ	членови
অলংকার	украси
ছাদের	кровот
ছাদের	кров
হিশাম	хишам
ডুবিয়ে	удави
উদ্যোগী	иницијатива
চিরন্তন	вечна
চিরন্তন	вечни
চিরন্তন	вечен
কানে	уво
কানে	увото
ম্যাথিউস	метјус
এসেক্স	есекс
জাস্টিন	џастин
ফিশার	фишер
ফিশার	хемисфера
ফিশার	фишер
মাইক্রোসফটের	мајкрософт
মাইক্রোসফটের	микрософт
মাইক্রোসফটের	microsoft
জাম্প	скокни
জাম্প	скок
জাম্প	скокај
বুলেট	куршум
কঠোরভাবে	строго
কঠোরভাবে	стриктно
দেওয়ালে	ѕид
যোদ্ধাদের	борци
যোদ্ধাদের	борците
আর্ল	ерл
পাবলিশার্স	издавачи
সেলাই	шие
সেলাই	шиење
সেলাই	конци
সুরা	сурат
সুরা	сура
প্রোটোকল	протокол
প্রোটোকল	протоколи
সৃষ্টিকর্তা	создавач
সৃষ্টিকর্তা	создателот
সৃষ্টিকর্তা	креатор
সৃষ্টিকর্তা	творец
সৃষ্টিকর্তা	творецот
দোয়া	dua
সন্ত্রাসবাদ	тероризам
সন্ত্রাসবাদ	тероризмот
যত্ন	грижа
যত্ন	нега
তাজিকিস্তান	таџикистан
অনশন	пости
অনশন	постот
সুগার	шеќер
মোদী	modi
মাননীয়	височество
মাননীয়	величество
ফান্ড	средства
ফান্ড	фондови
ফান্ড	фонд
মহল্লা	махала
নির্মম	немилосрдни
নির্মম	безмилосен
নির্মম	немилосрдно
নির্মম	немилосрден
নির্মম	брутална
নির্মম	брутални
নির্মম	свирепо
নির্মম	брутално
নির্মম	брутален
নির্মম	жесток
নির্মম	остри
তন্তু	влакна
তন্তু	влакна
মনি	мани
প্রবাদ	поговорка
বাটলার	батлер
কৈশোর	адолесцент
কৈশোর	адолесценцијата
চিনতে	препознае
চিনতে	препознаат
চিনতে	препознава
চিনতে	признае
চিনতে	препознава
সাবান	сапун
স্বরধ্বনি	самогласка
জেনিফার	џенифер
ক্ষেত্রগুলি	полиња
মরক্কো	мароко
সিরীয়	сириски
সিরীয়	сирискиот
এভিনিউ	авенија
এভিনিউ	авенијата
হকিং	хокинг
অর্থহীন	безначаен
অর্থহীন	безначајна
অর্থহীন	бесмислен
অর্থহীন	безначајни
অর্থহীন	бесмислена
অর্থহীন	бескорисни
অর্থহীন	бескорисна
অর্থহীন	бескорисен
অর্থহীন	бескорисно
পাখনা	крила
পাখনা	крилја
পাখনা	крилца
ক্রিশ্চিয়ান	христијански
ক্রিশ্চিয়ান	кристијан
ক্রিশ্চিয়ান	христијан
ক্রিশ্চিয়ান	христијани
ক্রিশ্চিয়ান	христијанин
মাচু	мачу
অভ্যর্থনা	прием
অভ্যর্থনা	рецепција
অভ্যর্থনা	приемот
ট্রিপল	тројно
ট্রিপল	трипати
ইউরেশীয়	евроазиска
ইউরেশীয়	евроазиски
মস্তিষ্কে	мозок
মস্তিষ্কে	мозокот
পলায়ন	напуштат
নিঃসন্দেহে	несомнено
ক্রুসেড	поход
নিবিড়	интензивна
নিবিড়	интензивни
প্রোডাকশন	продукција
প্রোডাকশন	производство
খলিল	халил
একনিষ্ঠ	посветен
একনিষ্ঠ	посветена
একনিষ্ঠ	посветено
অ্যাঞ্জেলো	анџело
এলেন	елен
সিকিম	сиким
ব্যাঙের	жаба
ব্যাঙের	жабата
সম্ভাবনার	можности
জিউস	зевс
আরেকটা	друг
আরেকটা	друга
জুরিখ	zürich
জুরিখ	цирих
জুরিখ	цирих
বাহুর	оружје
মাইক্রো	микро
বিভাজিত	завиткан
বিভাজিত	завиткана
বিভাজিত	завиткани
ফ্লাওয়ার	цвеќе
ফ্লাওয়ার	цвет
অভিযোজন	адаптација
অভিযোজন	приспособување
স্থানাংক	координатен
স্থানাংক	координатите
স্থানাংক	координати
ইব্রাহীম	ибрахим
ইব্রাহীম	абрахам
ইব্রাহীম	аврам
কোমর	половината
উদ্বাস্তু	бегалци
বিপর্যয়ের	катастрофа
বিপর্যয়ের	катастрофи
মোড	режим
কাঁকড়া	вошки
কাঁকড়া	ракчиња
নিয়মাবলী	правила
মায়ার	маја
নেভিল	невил
শত্রুদের	непријатели
ভিড়	толпа
ভিড়	гужви
ভিড়	толпи
ভিড়	толпата
ভিড়	толпа
ভিলা	вила
গোসল	туширање
গোসল	туш
গোসল	бањање
গোসল	бања
গোসল	бањата
গোসল	капење
কোটা	квота
কোটা	квоти
টার্গেট	метите
টার্গেট	мети
বাজেয়াপ্ত	конфискуван
বাজেয়াপ্ত	конфискувани
ফসফরাস	фосфор
গোপনীয়তা	приватност
ইস্তানবুল	istanbul
ইস্তানবুল	истанбул
পিতামাতা	родители
পিতামাতা	родителите
পিতামাতা	родител
অবিচ্ছিন্ন	континуирано
অবিচ্ছিন্ন	континуиран
অবিচ্ছিন্ন	континуирани
নামগুলো	имиња
গ্রীষ্মকাল	лето
জাকার্তা	џакарта
হেল	хел
সিনেট	сенат
সিনেট	сенатот
টুইটার	twitter
টুইটার	твитер
বাঁক	криви
বরখাস্ত	сменет
বরখাস্ত	сменети
বরখাস্ত	разрешен
বরখাস্ত	отпуштање
বরখাস্ত	разрешување
বীরত্ব	херојство
যুগল	пар
যুগল	двојка
জার	цар
জার	тегла
জার	џар
জার	тегли
লায়ন	лав
অভিযোগের	обвиненија
ভাঙন	ерозија
মুজাহিদ	муџахид
বাহামা	бахамите
ফিলিপস	philips
ফিলিপস	филипс
টুকরা	парчиња
টুকরা	делче
টুকরা	парче
টুকরা	парчиња
বরাক	барак
অসুস্থতা	болест
অসুস্থতা	болест
লাগানোর	садење
রহমত	милост
কিথ	кит
দেওয়াল	ѕид
দেওয়াল	ѕидови
দেওয়াল	ѕидини
দেওয়াল	зидови
অ্যাক্ট	чин
অ্যাক্ট	акт
টহল	патролираат
টহল	патрола
টহল	патролата
কোস্টা	коста
লাইক	како
লাইক	like
জুরি	јуре
জুরি	поротник
জুরি	порота
জুরি	жирито
জুরি	жири
পিঠা	колач
পিঠা	торта
স্থানসমূহ	места
শার্লক	шерлок
জিনি	џини
ডেঙ্গু	денга
সি++	c++
স্পষ্টভাবে	дефинитивно
নিহিত	финансиран
নিহিত	финансирана
নিহিত	финансирано
নিহিত	финансирани
পিটার্সবার্গ	петербург
পিটার্সবার্গ	петерсбург
শ্রোতাদের	слушатели
গোয়ার	goa
ঢোল	тапан
ঢোল	тапани
মন্ত্রনালয়	министерство
অভিনব	фенси
ভেজা	мокра
ভেজা	влажна
ভেজা	влажни
ভেজা	влажен
কুমির	крокодил
খুনের	убиства
খুনের	убиство
মিছিলে	поворка
আর্কিটেকচার	архитектурата
আর্কিটেকচার	архитектура
করন	каран
তেহরান	техеран
তাপস	мезе
নিরস্ত্র	невооружени
নিরস্ত্র	разоружување
নিরস্ত্র	разоружа
প্রার্থীদের	кандидатите
প্রার্থীদের	кандидати
প্রার্থীদের	кандидатки
ম্যাজিক	магија
আগ্রাসন	агресија
আগ্রাসন	агресивност
পেনিসিলিন	пеницилин
রোমানদের	римјани
রোমানদের	римјаните
একশ	стотка
একশ	hundred
একশ	стотици
একশ	сто
একশ	стотина
হোল	дупка
ট্রানজিস্টর	транзистор
স্প্রিং	пролет
স্প্রিং	пролетни
ক্রেইগ	крег
অর্থনৈতিকভাবে	економски
কীট	инсект
কীট	инсекти
আদর্শে	идеали
মিগ	миг
মিগ	мигот
সারসংক্ষেপ	преглед
শিক্ষাগত	образовна
শিক্ষাগত	образовен
শিক্ষাগত	образовни
শিক্ষাগত	едукативна
উদ্ভিদবিজ্ঞান	ботанички
তাক	полици
তাক	полиците
সুড়ঙ্গ	тунел
সুড়ঙ্গ	тунели
সুড়ঙ্গ	тунелите
জুল	жил
জুল	џулс
ফ্যাক্টর	фактор
তুই	вие
তুই	ти
তুই	тебе
তুই	си
ডেল্টা	делта
লুসিয়া	лусија
লুসিয়া	луција
চিত্রগ্রহণ	снимањето
নৈতিকতা	етика
নৈতিকতা	морални
নৈতিকতা	морален
নৈতিকতা	морално
নৈতিকতা	морал
নৈতিকতা	морал
রাজহাঁস	гуска
রাজহাঁস	гус
গ্যালিলিও	галилео
গাদ্দাফি	гадафи
উষ্ণতা	топлината
উষ্ণতা	топлина
স্টকহোম	стокхолм
ভাবতে	мисли
ভাবতে	помисли
ভাবতে	размислувај
সংকোচন	компресира
প্রসারণ	проширување
প্রসারণ	прошири
প্রসারণ	наставка
প্রসারণ	продолжение
প্রসারণ	продолжување
আংটি	прстен
আংটি	прстени
পশ্চিমী	вестерн
পশ্চিমী	западни
পশ্চিমী	западна
নন্দ	нанда
কিড	дете
কিড	кид
দিচ্ছে	давање
উট	камили
উট	камила
উট	камел
জামা	кошули
জামা	маици
জামা	кошула
জামা	маица
চাওয়া	сакање
চাওয়া	сакајќи
গ্রীষ্মের	лето
ফরিদ	фарид
গল	гал
গল	галија
বাঁচতে	live
বাঁচতে	живеј
বাঁচতে	живо
বাঁচতে	лајв
কলম্বাস	колумбус
কলম্বাস	колумбо
ট্যাঙ্ক	тенк
ট্যাঙ্ক	резервоари
ট্যাঙ্ক	тенкови
সুত্র	патоказ
স্বাভাবিকভাবেই	природно
আরোগ্য	излечи
আরোগ্য	лечи
আরোগ্য	оздрави
আরোগ্য	лек
আরোগ্য	лекување
আরোগ্য	исцелување
আরোগ্য	лековита
আরোগ্য	лечење
কোকিল	кукавицата
ক্রোয়েশীয়	хрватски
ক্রোয়েশীয়	хрватскиот
হতাশ	фрустриран
হতাশ	фрустрирани
হতাশ	разочарана
হতাশ	разочаран
হতাশ	разочарани
হতাশ	разочара
উত্পাদন	производство
উত্পাদন	продукција
উত্পাদন	производство
উত্পাদন	производство
অযোগ্য	неспособен
অযোগ্য	несоодветна
তেরেসা	тереза
ফাতিমা	фатима
ক্রিসেন্ট	полумесечина
ভিক্ষুদের	монаси
ভিক্ষুদের	монасите
নেচার	природа
নেচার	природата
প্লাটুন	вод
লিখুন	напишам
লিখুন	пишувајте
লিখুন	пиши
লিখুন	напиши
লিখুন	запиши
লিখুন	пишувај
লিখুন	внеси
লিখুন	внесете
মরিশাস	маврициус
ফাঁদ	замка
ফাঁদ	стапица
ফাঁদ	стапици
গ্যালারী	галерии
ব্যঞ্জনধ্বনি	согласка
গুণাবলী	квалитети
বোস্টন	бостон
অপশন	опции
মার্কস	марки
মার্কস	маркс
পকেট	џебот
পকেট	џеб
পকেট	џеп
পকেট	џебен
পকেট	џебови
আনুষঙ্গিক	додатоци
কাঁধ	рамо
কাঁধ	раменици
কাঁধ	рамењата
কাঁধ	рамена
কাঁধ	рамења
কাঁধ	рамената
স্পিরিট	духовите
স্পিরিট	духови
স্পিরিট	дух
টিকেট	карта
টিকেট	билет
ডিজেল	дизел
মোস্ট	повеќето
মোস্ট	најмногу
স্নেহ	наклоност
স্নেহ	наклонетост
শান	шан
মার্ক্স	маркс
ছোঁয়া	допир
ছোঁয়া	допри
ছোঁয়া	допирај
ছোঁয়া	допре
অঙ্গীকার	вети
অঙ্গীকার	ветување
অঙ্গীকার	обврска
অঙ্গীকার	посветеност
হোস্ট	компјутер
হোস্ট	водител
হোস্ট	домаќин
হোস্ট	сервер
হোস্ট	домаќини
ইভা	ева
ইভা	ива
ইভা	ив
ইভা	ева
ইভা	eve
বিস্ফোরিত	експлодира
বিস্ফোরিত	експлодирала
সরানো	преместена
আবেদীন	абедин
ড্রাম	тапан
ড্রাম	тапани
দড়ি	јаже
টিউটোরিয়াল	обуки
টিউটোরিয়াল	прирачник
পাসপোর্ট	пасош
ফেরি	фери
উল্লম্ব	вертикален
উল্লম্ব	вертикално
উল্লম্ব	вертикални
সমাবর্তন	конституирањето
বাল্মীকি	валмики
অগ্রগামী	пионерски
অগ্রগামী	пионер
প্রিন্টার	печатачот
প্রিন্টার	печатач
প্রিন্টার	печатачи
জাস্টিস	правдата
জাস্টিস	правдина
জাস্টিস	правда
মার্টিনেজ	мартинез
বাউডেন	боуден
রেসিং	тркачки
রেসিং	трки
রেসিং	тркање
যাদু	магија
এয়ারওয়েজ	ервејс
শার	shar
আইভি	ајви
সাম	сума
সাম	sum
পিস্তল	пиштол
কেরি	кери
দুধের	млеко
পরজীবী	паразитски
পরজীবী	паразит
কাঁটার	трње
জ্যাজ	џез
পাজ	паз
আর্সেনিক	арсен
আর্সেনিক	французи
আর্সেনিক	француски
বিস্মিত	изненаден
বিস্মিত	изненадени
বিস্মিত	изненадена
বিস্মিত	зачуден
বিস্মিত	шокиран
বিস্মিত	шокирани
বিস্মিত	шокирана
আয়না	огледала
আয়না	огледалце
আয়না	огледало
অঞ্চলগুলি	региони
পয়সা	паричка
পয়সা	монета
পার্কিং	паркинг
পার্কিং	паркирање
ক্ষুব্ধ	разлути
ক্ষুব্ধ	налути
কম্পটন	комптон
সর্বোত্তম	највисоко
সর্বোত্তম	највисока
সর্বোত্তম	највисок
সর্বোত্তম	најдобар
সর্বোত্তম	најдобро
সর্বোত্তম	најдобри
সর্বোত্তম	најдобра
সর্বোত্তম	бест
সর্বোত্তম	одлична
সর্বোত্তম	одлично
বাক্যে	казна
বাক্যে	реченица
বাক্যে	пресуда
পরিকাঠামো	инфраструктура
ভিজুয়াল	визуелен
ভিজুয়াল	визуелни
অপর্যাপ্ত	недоволен
অপর্যাপ্ত	недоволно
অপর্যাপ্ত	недоволни
অপর্যাপ্ত	недоволна
অপর্যাপ্ত	несоодветната
অপর্যাপ্ত	несоодветна
অপর্যাপ্ত	несоодветни
হি	хи
অবজেক্ট	предмет
অবজেক্ট	објект
অবজেক্ট	објекти
অবজেক্ট	предмети
মিজোরাম	мизорам
পোলার	поларна
মনস্তাত্ত্বিক	психичка
মনস্তাত্ত্বিক	психички
মনস্তাত্ত্বিক	психолошки
মনস্তাত্ত্বিক	психолошка
সিল্ক	силк
সিল্ক	свила
অনুকরণ	симулација
রুডলফ	рудолф
কেলি	кели
কেলি	кејли
তীক্ষ্ণ	кин
তীক্ষ্ণ	остро
তীক্ষ্ণ	шарп
তীক্ষ্ণ	остра
তীক্ষ্ণ	остар
তীক্ষ্ণ	остри
থিওডোর	теодор
ব্র্যাড	бред
রোভার	ровер
টার্নার	тарнер
খরা	суша
জোরে	гласна
জোরে	гласно
জোরে	гласен
বক	отстапување
বক	девијација
বেলারুশ	белорусија
পুলিৎজার	пулицер
কঙ্কাল	скелет
কঙ্কাল	костур
পাত্রের	тенџериња
ডেরেক	дерек
শোষিত	експлоатирани
টিয়া	тиа
টিয়া	папагал
টিয়া	папагал
রূপালী	сребрено
রূপালী	сребрен
রূপালী	сребрена
রূপালী	сребро
রূপালী	сребрени
ঘুড়ি	змај
ক্যাবিনেট	кабинет
ক্যাবিনেট	креденец
উইন্ডসর	виндзор
ডকুমেন্ট	документ
ডকুমেন্ট	документи
কর্মসংস্থান	вработувања
কর্মসংস্থান	вработување
ঘাসের	трева
ঘাসের	тревата
বলছে	вели
বলছে	кажува
লাফ	скокни
লাফ	скок
লাফ	скокај
লাফ	скокна
লাফ	скокнал
তৃণভূমি	мид
গানগুলি	песни
আইওএস	ios
উজ্জ্বলতা	означување
উজ্জ্বলতা	јачина
উজ্জ্বলতা	осветленост
ডেবিয়ান	debian
রিম	обрач
যাজক	пастирот
যাজক	пасторот
যাজক	пастор
যাজক	свештенство
যাজক	свештенството
অনুভূতির	чувства
অনুভূতির	чуства
যোগফল	сума
যোগফল	sum
পাখা	фан
পাখা	вентилатор
পাখা	обожавател
পাখা	навивач
মাংসের	месо
ফাটল	пукнатини
ফাটল	крак
ফাটল	крек
ফাটল	пукнатината
ফাটল	пукнатина
জলবিদ্যুৎ	хидроелектрични
সন্ত্রাসবাদী	терорист
সন্ত্রাসবাদী	терористички
সন্ত্রাসবাদী	терористот
সন্ত্রাসবাদী	терористичка
সন্ত্রাসবাদী	терористичко
সন্ত্রাসবাদী	терористите
সন্ত্রাসবাদী	терористи
নাজিম	назим
মতবিরোধ	несогласување
