бюрото	பீரோ
кейн	கெய்ன்
кейн	கேன்
кейн	பிரம்பு
положително	நல்லது
положително	நேர்மறை
положително	நேர்
положително	சாதகமாக
заплата	சம்பளம்
антропология	மானிடவியல்
американци	அமெரிக்கர்கள்
американци	அமெரிக்கர்
богатството	செல்வம்
богатството	செல்வமும்
богатството	வளம்
кръгли	வட்ட
лена	லேனா
етажа	தரைகள்
ограничаване	limitation
ограничаване	எல்லை
ограничаване	வரம்பு
доза	மருந்தளவு
доза	டோஸ்
хендрикс	ஹெண்ட்ரிக்ஸ்
измервания	அளவியல்
измервания	அளவீடு
петра	பெட்ரா
мускул	தசை
колонията	காலனி
сиви	பழுப்பு
сиви	கிரே
сиви	சாம்பல்
сиви	பழுப்பு
сиви	சாம்பல்
полезна	பயனுள்ள
полезна	பயனுள்ளது
полезна	பயனுள்ளதாக
полезна	உதவிகரமாக
полезна	உதவிகரமான
показани	காட்டப்பட்ட
размножаване	இனப்பெருக்க
размножаване	இனப்பெருக்கம்
статуята	சிலை
верни	விசுவாசமான
верни	விசுவாசமாக
верни	மெய்
верни	உண்மையாக
верни	உண்மையான
верни	உண்மை
верни	நம்பிக்கை
верни	நம்பிக்கையாக
верни	ஈமான்
алпите	ஆல்ப்ஸ்
демо	டெமோ
архиви	பதிவுகள்
архиви	சாதனைகள்
архиви	காப்பகம்
документите	ஆவணங்கள்
вечеря	டின்னர்
вечеря	supper
унищожаването	அழிக்கிறார்
анализи	analyses
анализи	பகுப்பாய்வு
анализи	புள்ளிவிவரம்
анализи	புள்ளிவிவரங்கள்
съдържаща	கொண்டுள்ள
бедствия	பேரழிவுகள்
бедствия	பேரழிவு
бедствия	பேரிடர்
подводница	நீர்மூழ்கி
подводница	துணை
подводница	துணைக்
перо	தோகை
перо	இறகு
лекува	ஆற்றும்
арктика	ஆர்க்டிக்
въведение	அறிமுகம்
известия	அறிவிப்புகள்
известия	அறிவுறுத்தல்கள்
бара	பாரா
важност	முக்கியத்துவம்
важност	முக்கியத்துவத்தை
торпедо	torpedo
удря	hits
удря	வெற்றிகள்
конан	conan
шрифт	எழுத்துரு
пустиня	பாலைவனத்தில்
пустиня	பாலைவனம்
новгород	novgorod
локомотиви	locomotives
намален	குறைத்தது
зърна	தானியம்
зърна	சிற்றலை
зърна	தானியங்கள்
сенат	செனட்
апогей	apogee
съображения	considerations
утре	நாளைக்கு
утре	நாளைய
утре	நாளை
авторитет	அதிகாரமும்
японско	ஜப்பானிய
преки	டைரக்ட்
преки	நேரடி
шведска	ஸ்வீடிஷ்
цин	குயிங்
атланта	அட்லாண்டா
елит	எலைட்
рита	ரீட்டா
директорите	directors
директорите	இயக்குநர்கள்
директорите	இயக்குனர்கள்
рон	ரான்
стратегическо	மூலோபாய
темите	பொருள்கள்
паскал	பாஸ்கல்
трио	மூவர்
указания	வழிமுறைகள்
указания	அறிவுரைகள்
указания	ஆணைகள்
бунтовниците	போராளி
фред	பிரெட்
готово	முடிந்தது
готово	முடிவுற்றது
грозни	அசிங்கமாக
грозни	அசிங்கமான
железни	இரும்பு
близнаци	இரட்டையர்
близнаци	இரட்டை
близнаци	ஜெமினி
близнаци	மிதுனம்
близнаци	இரட்டையர்
близнаци	இரட்டையர்கள்
совалка	ஷட்டில்
тигър	டைகர்
тигър	புலி
видя	பார்
видя	பார்க்க
видя	காண்கிறேன்
вкъщи	முகப்பு
вкъщи	இல்ல
вкъщи	வீடு
обсерватория	ஆய்வகம்
азаренка	அசரென்கா
виолета	ஊதா
механик	மெக்கானிக்
младост	இளமை
младост	யூத்
младост	இளைஞர்கள்
младост	இளைஞர்
младост	இளைஞர்களின்
поддръжници	ஆதரவாளர்கள்
поддръжници	ஆதரவாளர்
познато	பழக்கமான
гробища	கல்லறை
гробища	மயானம்
унищожи	அழிய
унищожи	அழித்து
съвместни	மூட்டு
момичетата	பெண்களின்
момичетата	பெண்கள்
момичетата	பெண்களுக்கு
придвижване	இயக்கம்
далас	டல்லாஸ்
мода	ஃபேஷன்
мода	பேஷன்
мода	நாகரீகம்
пие	குடித்தல்
пие	குடி
пие	குடிக்கும்
пие	குடிப்பது
пие	பானங்கள்
верде	வர்டி
управляващ	நிர்வகித்தல்
преминал	தேர்ச்சி
преминал	கடந்து
смях	சிரிப்பும்
смях	சிரிப்பு
смях	சிரித்து
смях	சிரி
смях	சிரிக்க
смях	சிரிப்பு
оттегляне	நீக்கி
клане	படுகொலைகள்
клане	படுகொலை
симпсън	சிம்சன்
детектив	துப்பறியும்
детектив	உளவாளி
албанско	அல்பேனிய
приключенията	சாகசங்கள்
редове	வரிகள்
редове	வரிகள்
редове	கோடுகள்
предимства	பலன்கள்
предимства	நன்மைகள்
римляни	ரோமர்
еоод	லிமிடெட்
еоод	ltd
формати	வடிவமைப்புகள்
формати	வடிவங்கள்
отворено	திறந்திருக்கும்
отворено	திற
отворено	திறக்கவும்
отворено	திறக்க
отворено	திறந்த
отворено	திறந்துள்ளது
квалификации	மதிப்பீடுகள்
квалификации	தகுதிகள்
квалификации	தகுதி
печалба	லாபம்
печалба	இலாபம்
одобрение	ஒப்புதல்
одобрение	அங்கீகரிப்பு
демокрацията	நாயகம்
демокрацията	ஜனநாயகம்
демокрацията	மக்களாட்சி
фиат	ஃபியட்
блейк	பிளேக்
еврейско	யூதர்
еврейско	யூத
еврейско	யூதர்களின்
антична	பழங்கால
русо	ரூசோ
русо	உரூசோ
памук	பஞ்சு
памук	காட்டன்
памук	பருத்தி
четвъртък	வியாழன்
четвъртък	வியாழக்கிழமை
романтични	காதல்
батальона	படையணி
партньорство	partnership
дин	din
стрийт	வீதி
стрийт	தெருவில்
стрийт	தெரு
пето	ஐந்தாம்
пето	ஐந்தாவது
геология	நிலவியல்
наема	வாடகை
конфедерация	கூட்டமைப்பு
микеланджело	மைக்கலாஞ்சலோ
юнг	ஜங்
инвазия	படையெடுப்பு
строител	பில்டர்
глина	களிமண்
глина	ஆரம்பித்தான்
чисти	சுத்தமாக
чисти	சுத்தமான
облаци	மேகங்கள்
облаци	மேகம்
облаци	மேக
облаци	முகில்
олтар	பீடம்
олтар	திருத்தலம்
биг	பெரியது
биг	பெரிய
бригадата	பிரிகேட்
седма	ஏழு
седма	ஏழாம்
козината	ஃபர்
вале	ஜாக்
вале	மந்திரி
вале	ஜேக்
вале	வாலே
свещена	புனிதமானது
арменци	ஆர்மேனியன்
предложен	பரிந்துரைக்கப்பட்டவை
предложен	பரிந்துரைக்கப்பட்ட
предложен	பரிந்துரைக்கப்பட்டது
предложен	வழங்கப்படும்
предложен	முன்மொழியப்பட்ட
лил	லில்
лил	லீல்
панаир	திருவிழா
панаир	நியாயமா
панаир	கண்காட்சி
панаир	நியாயமாக
панаир	நியாயம்
психиатър	சுருங்கி
мембрана	சவ்வு
конете	குதிரைகள்
травма	காயம்
травма	பேரதிர்ச்சி
намерението	உள்நோக்கம்
университетите	பல்கலைக்கழகங்கள்
смъртност	இறப்பு
рамки	சட்டங்கள்
вратите	கதவுகளை
вратите	கதவுகள்
кабо	கேப்
скъпи	அன்புள்ள
скъпи	அன்பே
есе	கட்டுரை
процесор	cpu
процесор	ஆக்கி
трудни	கடினம்
трудни	கடினமானது
справедливост	நியாயம்
справедливост	நீதி
вар	var
вар	எலுமிச்சை
вар	சுண்ணாம்பு
доставка	வாடா
доставка	வழங்கல்
доставка	டெலிவரி
доставка	ஷிப்பிங்
бенд	வளைத்து
влага	ஈரப்பதத்தை
влага	ஈரப்பதம்
странно	வித்தியாசமான
странно	வித்தியாசமான
странно	விசித்திரமான
странно	ஒற்றைப்படை
уста	வாய்
фил	ஃபில்
оцветяване	சாயமேற்றல்
кит	திமிங்கலம்
кит	கிட்
кит	kit
форест	பாரஸ்ட்
форест	காடு
форест	காடுகள்
клиника	கிளினிக்
клиника	மருத்துவமனை
учебник	பாடநூல்
бин	தொட்டி
жълта	மஞ்சள்
тито	டிட்டோ
готовност	பிறப்பித்தது
мил	மில்
инструктор	பயிற்றுவிப்பாளர்
таланти	திறமைகள்
таланти	திறமைகளை
таланти	திறமை
обичай	விருப்பப்படி
обичай	தனிப்பயன்
обичай	வழக்கம்
обичай	ஆயத்த
сива	பழுப்பு
сива	கிரே
сива	சாம்பல்
сива	பழுப்பு
сива	சாம்பல்
отзиви	விமர்சனங்கள்
отзиви	மதிப்பீடுகள்
отзиви	மதிப்புரைகள்
рожден	பிறந்தநாளை
рожден	பிறந்தநாள்
роджърс	ரோஜர்ஸ்
скрити	மறைத்த
скрити	மறைந்த
скрити	மறைக்கப்பட்ட
скрити	மறைந்துள்ள
скрити	மறைக்கப்பட்டது
скрити	மறைந்து
съхраняване	சேமிப்பு
съхраняване	சேமிப்பகம்
телескоп	தொலைநோக்கி
отговорни	பொறுப்புள்ள
отговорни	பொறுப்பான
отговорни	பொறுப்பு
ангели	தேவதைகள்
ангели	மலக்குகள்
кантон	canton
насекомо	பூச்சி
адреси	முகவரிகள்
рамо	தோள்பட்டை
рамо	தோள்
фабрики	தொழிற்சாலைகள்
малц	மால்ட்
билборд	பில்போர்ட்
нюкасъл	newcastle
европейците	ஐரோப்பியர்கள்
европейците	ஐரோப்பியர்
изненадващо	ஆச்சரியமாக
изненадващо	ஆச்சரியமான
жлеза	சுரப்பி
сбор	கூட்டல்
сбор	கூட்டு
газа	காசா
мек	மென்மையான
мек	மென்மை
избрано	தேர்ந்தெடுக்கப்பட்ட
избрано	தேர்ந்தெடுக்கப்பட்டது
отрасли	இண்டஸ்ட்ரீஸ்
отрасли	sectors
чувствата	உணர்வுகளை
чувствата	உணர்வுகள்
чувствата	உணர்கிறார்
упадък	மறு
упадък	நலிந்த
неутрална	தெரியவில்லை
неутрална	நடுநிலை
родригес	ரோட்ரிக்ஸ்
дъщерите	மகள்கள்
райна	ரைனா
райна	ரெய்னா
провери	சரிபார்
провери	சோதி
лиза	லிசா
чужда	அன்னிய
чужда	வெளிநாட்டு
тестване	சோதனை
тестване	சோதிக்கிறது
авиацията	விமான
авиацията	வானூர்தி
мичъл	மிட்செல்
виното	மது
виното	வைன்
виното	ஒயின்
точна	துல்லியமாக
точна	துல்லியமான
чешката	செக்
линейни	நேரான
линейни	நேரியல்
временен	தற்காலிக
графичен	கிராபிக்
графичен	கிராஃபிக்
графичен	வரைகலை
графичен	கிராபிக்ஸ்
водачите	ஓட்டுநர்கள்
водачите	இயக்கிகள்
водачите	டிரைவர்கள்
полу	செமி
нба	nba
разход	செலவாகும்
атома	அணு
преместена	நகர்த்தப்பட்டது
преместена	நகர்த்த
преместена	நகர்ந்து
клипове	காணொளிகள்
клипове	வீடியோக்கள்
недостиг	தட்டுப்பாடு
земетресението	நிலநடுக்கம்
логически	தருக்க
логически	லாஜிக்
пионер	முன்னோடி
лео	சிம்மம்
заем	கடன்
цру	cia
мартинес	மார்டினெஸ்
изключва	excludes
мой	என்னுடையது
мой	என்னுடைய
наблюдавани	அனுசரிக்கப்பட்டது
наблюдавани	பார்த்தார்
наблюдавани	பார்க்கப்பட்டது
решетка	கிரில்
решетка	கட்டம்
пабло	பாப்லோ
читатели	வாசகர்கள்
читатели	வாசகர்
корупция	ஊழல்
симптомите	அறிகுறிகள்
заводи	தாவரங்கள்
заводи	செடிகள்
заводи	செடி
заводи	தொழிற்சாலைகள்
композира	எழுது
предотвратяване	தடுக்கும்
антични	பழங்கால
политики	கொள்கைகள்
печатни	அச்சடிக்கப்பட்ட
максимален	அதிகபட்சம்
максимален	அதிகபட்ச
клей	களிமண்
клей	ஆரம்பித்தான்
грубо	கச்சா
грубо	தோராயமான
грубо	கரடு
грубо	கடினம்
грубо	முரட்டுத்தனமாக
жозе	ஜோஸ்
жозе	ஜோஸ்
хармония	நல்லிணக்கம்
бъдещ	எதிர்காலம்
бъдещ	எதிர்கால
бъдещ	வருங்கால
декоративни	அலங்காரத்
уокър	வாக்கர்
единбург	எடின்பர்க்
горене	combustion
горене	எரியும்
горене	எழுதுதல்
горене	எழுதும்
пушкин	புஷ்கின்
отровни	விஷ
тежест	சுமையை
тежест	சுமை
тежест	எடையை
тежест	எடை
репутация	புகழை
споменаване	குறிப்பிடுங்கள்
споменаване	குறிப்பிடவும்
автобус	பேருந்து
автобус	பஸ்
олимпия	ஒலிம்பியா
разследването	விசாரணை
вторник	செவ்வாய்க்கிழமை
вторник	செவ்வாய்
вторник	செவ்வாய்கிழமை
омар	உமர்
изпит	பரீட்சை
мечта	கனவு
мечта	கனவில்
диплома	பட்டயம்
диплома	diploma
комикси	காமி
комикси	காமிக்ஸ்
комикси	காமிக்
събрания	சந்திப்புகள்
събрания	கூட்டங்கள்
истинско	ரியல்
истинско	உண்மையான
истинско	நிஜம்
въведено	அறிமுகப்படுத்திய
разходка	நடந்து
разходка	நடத்தல்
разходка	நடக்கிறார்
разходка	வாக்கிங்
разходка	நடைப்பயிற்சி
разходка	நடைபயணம்
разходка	நட
разходка	நடை
разходка	நடக்க
ферма	பண்ண
ферма	பண்ணை
ферма	ஃபெர்மா
троя	டிராய்
благородник	நோபல்
перес	பெரேஸ்
укрепване	வலுப்படுத்தும்
таен	இரகசியம்
таен	ரகசிய
таен	ரகசியம்
таен	சீக்ரெட்
спин	எய்ட்ஸ்
окръжност	வட்டம்
частица	துகள்
теза	ஆய்வறிக்கை
гробището	கல்லறை
гробището	மயானம்
хотели	ஹோட்டல்கள்
хотели	விடுதிகள்
пистолет	துப்பாக்கி
пистолет	துப்பாக்கி
арест	கைது
ресурс	வள
ресурс	வளம்
реалността	உண்மை
реалността	நிஜத்தில்
преценка	தீர்ப்பை
преценка	தீர்ப்பு
оформление	உருவரை
пода	மாடியில்
пода	மாடி
пода	தரை
линда	லிண்டா
демонстрация	ஆர்ப்பாட்டம்
шарлот	சார்லோட்
сад	சேட்
църковните	ecclesiastical
внос	இறக்குமதி
внос	உள்வாங்கு
регионите	பகுதிகள்
регионите	மண்டலங்கள்
централни	சென்ட்ரல்
централни	மத்திய
куб	கியூப்
автомобилна	தானியங்கி
автомобилна	வண்டி
автомобилна	வாகனம்
дебела	தடித்த
дебела	தடிமனான
дебела	அழுத்தமான
дебела	கொழுப்பு
дебела	குண்டாக
дебела	கொழுப்பை
моряци	மாலுமிகள்
месечна	மாதந்தோறும்
месечна	மாதாந்திர
месечна	மாத
покер	போக்கர்
отзад	பின்புறம்
мит	mit
мит	கட்டுக்கதை
мит	mlt
хубава	அழகு
хубава	அருமை
робинсън	ராபின்சன்
урал	உரல்
хъдсън	ஹட்சன்
кент	கென்ட்
ценен	மதிப்பானது
ценен	மதிப்புமிக்க
правен	சட்டம்
правен	சட்ட
правен	சட்டப்பூர்வமான
дискриминация	பாகுபாடு
занаяти	கைத்தொழில்கள்
плиний	pliny
драмата	நாடகத்தில்
драмата	நாடகம்
харт	ஹார்ட்
индивид	தனிநபர்
позволено	அனுமதிக்கப்பட்டது
филипс	பிலிப்ஸ்
филипс	ஃபிலிப்ஸ்
тъмен	டார்க்
тъмен	இருள்
тъмен	இருண்ட
тъмен	இருட்டு
антигуа	ஆன்டிகுவா
прозорци	சாளரங்கள்
прозорци	விண்டோஸ்
полицай	அதிகாரி
полицай	அலுவலர்
бисмарк	பிஸ்மார்க்
бомбардировки	குண்டுவெடிப்பு
сант	சான்ட்
одобрен	அனுமதிக்கப்பட்டது
одобрен	அங்கீகரிக்கப்பட்டது
монархията	முடியாட்சி
упражнения	பயிற்சிகள்
упражнения	உடற்பயிற்சி
свине	பன்றிகள்
свине	பன்றிக்
алонсо	alonso
худ	ஹூட்
монтаж	நிறுவல்
монтаж	நிறுவுதல்
монтаж	திருத்துதல்
монтаж	எடிட்டிங்
монтаж	தொகுத்தல்
мастърс	முதுநிலை
плати	செலுத்து
плати	ஊதியம்
квадрат	சதுரம்
фернандес	பெர்னாண்டஸ்
фернандес	பெர்னாண்டஸ்
ауди	ஆடி
доминик	டோமினிக்
хорхе	ஜோர்ஜ்
субект	பொருள்
монарх	அரசன்
нападнат	தாக்கிய
собствениците	உரிமையாளர்கள்
гласна	உயிர்
обитатели	குடியிருப்பாளர்கள்
обитатели	வசிப்பவர்கள்
труден	கடுமையான
труден	கஷ்டமான
труден	கடினமான
труден	கடினம்
труден	கடினமானது
хиляда	ஆயிரம்
преобразуване	மாற்று
преобразуване	மாற்றுதல்
преобразуване	மாற்றம்
преобразуване	உருமாற்றம்
телефони	ஃபோன்கள்
телефони	போன்கள்
корема	வயிறு
корема	வயிறு
корема	தொப்பை
следващо	அடுத்தது
следващо	அடுத்து
следващо	அடுத்த
уан	வாங்
вдигане	தூக்கும்
предварителен	பூர்வாங்க
хюго	ஹுகோ
розово	இளஞ்சிவப்பு
розово	பிங்க்
каспийско	காசுப்பியன்
ерата	சகாப்தம்
албърт	ஆல்பர்ட்
албърт	அல்பர்ட்
електрони	electrons
камерата	காமிரா
камерата	கேமரா
марцел	மர்செல்லுஸ்
изненада	ஆச்சரியம்
изненада	ஆச்சர்யம்
жул	ஜூல்ஸ்
елени	மான்
елени	கலைமான்
хипотези	ஆதாரமற்ற
хипотези	கருதுகோள்
норман	நார்மன்
салерно	சலேர்னோ
бордо	bordeaux
концертите	கச்சேரிகள்
кръстена	தொழிற்சங்கத்தில்
фейсбук	பேஸ்புக்
фейсбук	முகநூல்
фейсбук	ஃபேஸ்புக்
фейсбук	facebook
никол	நிக்கோல்
приготвяне	தயாரிப்பு
приготвяне	முன்னேற்பாடு
отклонение	விலகல்
братовчедка	உறவினர்
спазване	இணக்கம்
пазарна	மார்க்கெட்
пазарна	சந்தை
джейми	ஜேமி
спомен	நினைவு
спомен	நினைவைப்
спомен	நினைவாற்றல்
спомен	நினைவகம்
чаша	கிளாஸ்
чаша	கண்ணாடி
чаша	கோப்பை
чаша	குவளை
чаша	கிண்ணம்
чаша	கோப்பை
костенурка	ஆமை
костенурка	மச்சம்
костенурка	ஆமை
искания	கோரிக்கைகள்
искания	வேண்டுகோள்கள்
искания	கோரிக்கைகளை
искания	demands
динамика	இயக்கவியல்
динамика	டைனமிக்
участвала	பங்களிப்பு
участвала	பங்கேற்ற
участвала	பங்கேற்றனர்
меко	மென்மையான
меко	மென்மை
саманта	சமந்தா
предположения	ஆதாரமற்ற
предположения	ஊகங்கள்
соня	சோனியா
дребен	சிறிய
дребен	சிறு
дребен	சிறியது
изследователите	ஆராய்ச்சியாளர்கள்
изгрев	உதயம்
горан	கோரன்
зло	தீய
зло	தீமைகள்
зло	தீங்கு
вертикално	செங்குத்து
акцент	variant
акцент	உச்சரிப்பில்
акцент	அழுத்தம்
наруто	நருடோ
сделка	பரிவர்த்தனை
сделка	பேரம்
сделка	டீல்
вдъхновение	தூண்டல்
вдъхновение	உத்வேகம்
рог	கொம்பு
разширена	நீடிப்பு
главите	தலைகள்
люис	லூயிஸ்
активисти	ஆர்வலர்கள்
положителен	நல்லது
положителен	நேர்மறை
положителен	நேர்
неофициален	அதிகாரப்பூர்வமற்ற
ханибал	ஹன்னிபால்
руди	ரூடி
руди	ரூடி
руди	ores
водене	காக்கும்
национализъм	தேசியம்
капела	சிற்றாலயம்
откритие	டிஸ்கவரி
откритие	கண்டறிதல்
пакт	ஒப்பந்தம்
рани	புண்
рани	காயத்தை
рани	காயம்
рани	ராணி
рани	காயங்கள்
рани	காயங்களை
вот	வாக்கு
вот	வாக்குகள்
ислямски	இஸ்லாமிய
ислямски	இஸ்லாமிக்
ислямски	இஸ்லாமியம்
кандидатурата	ஏலம்
падане	விழுவது
падане	வீழ்ச்சி
падане	விழும்
падане	விழுதல்
падане	விழுந்து
падане	ஃபால்
фактите	உண்மைகள்
дей	டே
привличане	ஈர்ப்பு
свидетели	சாட்சிகள்
свидетели	சாட்சி
поръчки	ஒப்பந்தங்கள்
йони	ions
лари	லாரி
терористи	பயங்கரவாதிகள்
терористи	தீவிரவாதிகள்
активист	ஆர்வலர்
пациентите	நோயாளிகள்
засегнати	பாதிக்கப்பட்ட
засегнати	பாதிக்கப்பட்டு
трагедия	சோகம்
съжалявам	மன்னிக்கவும்
съжалявам	வருந்துகிறேன்
кол	கோல்
кол	coll
подарък	நடப்பு
подарък	தற்போதைய
подарък	பரிசு
подарък	அன்பளிப்பு
участващи	பங்கேற்கும்
електроенергия	மின்சாரம்
филхармония	philharmonic
умишлено	வேண்டுமென்றே
умишлено	வேண்டுமென்றே
умишлено	வேண்டுமென்றே
клинтън	கிளின்டன்
клинтън	கிளிண்டன்
намерения	நோக்கங்களை
намерения	உள்நோக்கம்
рик	ரிக்
изпълнено	நிறைவேற்றப்பட்டது
изпълнено	நிறைவேறியது
лигурия	இலிகுரியா
жестоко	கொடூரமான
гостите	விருந்தினர்கள்
гостите	விருந்தினர்
вируси	வைரஸ்
кафяво	பழுப்பு
кафяво	பிரவுன்
изолирани	தனித்த
кант	காந்த்
маска	முகமூடி
дора	டோரா
зрялост	முதிர்ச்சி
зелените	கீரைகள்
пирати	கொள்ளையர்களை
пирати	கொள்ளையர்கள்
сексуално	பாலியல்
сексуално	பாலியல்
намерена	கண்டு
намерена	கண்டேன்
намерена	கண்டறியப்பட்டது
пеперуда	பட்டாம்பூச்சி
отделени	பிரிந்து
отделени	பிரிக்கப்பட்ட
отделени	தனி
отделени	பிரிக்கவும்
сектори	sectors
оцелява	பிழைக்க
непознати	அந்நியர்கள்
стандартен	வழக்கமானது
стандартен	நிலையானது
стандартен	நிலையான
съкращение	சுருக்க
двойни	இரட்டிப்பு
двойни	இரட்டை
двойни	இரட்டையர்
авив	அவிவ்
водород	ஹைட்ரஜன்
алгоритми	algorithms
библейски	விவிலிய
картите	கார்டுகள்
картите	அட்டைகள்
картите	வரைபடம்
картите	வரைபடங்கள்
вацлав	vaclav
активи	சொத்துக்கள்
активи	சொத்துகள்
активи	சொத்து
сек	நொடி
сек	நொடிகள்
ъгли	மூலைகள்
ъгли	கோணங்கள்
писти	தடங்களை
писти	தடங்கள்
правейки	செய்யும்
ърнест	எர்னஸ்ட்
лава	லாவா
слънчев	சன்னி
слънчев	வெயில்
слънчев	வெய்யில்
студия	ஸ்டுடியோஸ்
заплащане	செலுத்து
заплащане	ஊதியம்
заплащане	கட்டணம்
корпорация	மாநகராட்சி
средиземноморски	மத்தியதரைக்கடல்
екипи	அணிகள்
проби	மாதிரிகள்
премахнат	நீக்கப்பட்டது
премахнат	அகற்றப்பட்டது
бронз	வெண்கல
хигинс	ஹிக்கின்ஸ்
лисици	நரிகள்
завършено	முடிந்தது
завършено	நிறைவு
завършено	முடிக்கப்பட்டது
завършено	நிறைவுற்றது
завършено	நிறைவு
завършено	முழுமை
завършено	முழுவதும்
завършено	முழுமையான
възнесение	மேலேற்றம்
колонизация	குடியேற்றவாத
кндр	dprk
тацит	tacitus
ата	அத்த
ата	ata
разрешаване	அங்கிகாரம்
разрешаване	தீர்க்க
санскрит	சமஸ்கிருதம்
санскрит	சமஸ்கிருதத்தில்
санскрит	சமஸ்கிருத
оксид	ஆக்சைடு
ензими	நொதி
диаманти	வைரங்கள்
лама	லாமா
сценарии	எழுத்து
постигнато	அடைந்தது
постигнато	அடைந்து
постигнато	வளங்களும்
проектирана	வடிவமைக்கப்பட்டது
проектирана	வடிவமைத்து
проектирана	வடிவமைக்கப்பட்டுள்ளது
ефективни	பயனுள்ள
ефективни	திறம்
маршрути	வழித்தடங்கள்
лимасол	limassol
творческа	படைப்பு
претендент	மீட்டரில்
склад	கிடங்கு
склад	சேமிப்பு
склад	சேமிப்பகம்
видимо	காணக்கூடியது
видимо	தெரியும்
компютрите	கணினிகள்
чука	முட்டியை
чука	சுத்தியல்
чука	சுத்தி
яйце	முட்டை
меркурий	புதன்
рейтинг	மதிப்பீடு
рейтинг	மதிப்பீடுகள்
софи	சோபி
предшественици	முன்னோர்கள்
водорасли	பாசி
атом	அணு
желания	இவ்வுலகின்
желания	வாழ்த்துக்களைத்
желания	வாழ்த்துக்களை
желания	ஆசைகள்
корупцията	ஊழல்
спасяване	சேமி
спасяване	சேமிப்பு
спасяване	சேமிக்கப்படுகிறது
спасяване	சேமிக்கிறது
спасяване	சேமிக்கும்
спасяване	மீட்பு
железница	இரயில்வே
железница	ரயில்வே
железница	இரயில்
саша	சாஷா
интелектуалци	அறிவியலாளர்கள்
геолог	புவியியலாளர்
тонове	டன்
морал	தார்மீக
морал	படிப்பினை
морал	அறநெறி
ледник	பனியாறு
енергетика	ஆற்றல்
енергетика	ஆற்றலும்
енергетика	சக்தி
енергетика	எரிசக்தி
естадио	estadio
бернар	பெர்னார்ட்
харков	kharkov
метрото	சுரங்கப்பாதை
метрото	மெட்ரோ
хокей	ஹாக்கி
пруски	prussian
разбиване	breaking
разбиване	உடைப்பு
разбиване	ஸ்மேக்டவுன்
шефилд	sheffield
засягат	பாதிக்கிறது
единадесет	eleven
единадесет	பதினொரு
единадесет	பதினோரு
единадесет	பதினொன்று
механични	மெக்கானிக்கல்
омир	ஹோமர்
експрес	விரைவுவண்டி
експрес	எக்ஸ்பிரஸ்
прозореца	சாளரம்
слепи	குருட்டு
ставайки	வெள்ளத்தில்
пиърс	துளைத்து
пиърс	பியர்ஸ்
невис	நெவிசு
