マディソン	madison
溶接	sveiset
溶接	sveising
ビクトリア	victoria
給付	benefit
環礁	atoll
手動	manuell
手動	manual
手動	manuelt
パルス	puls
レオナルド	leonardo
許諾	autorisasjon
許諾	godkjennelse
許諾	tillatelse
まゆ	øyenbryn
カオス	kaos
マネージメント	management
マネージメント	ledelse
ハングル	hangul
セクシー	sexy
発光	glødende
発光	gløder
発光	stråler
ちび	tiny
ちび	bittelite
ちび	bitteliten
ちび	bitte
ダウ	dow
リッチモンド	richmond
海岸線	strandkanten
海岸線	kystlinjen
海岸線	kystlinje
カーネル	kjerne
電線	kabel
電線	cable
スペンサー	spencer
居酒屋	vertshuset
居酒屋	kro
ギルバート	gilbert
興奮	spenning
興奮	hissig
興奮	spent
モータースポーツ	motorsport
モータースポーツ	motorsports
台地	plateau
パルマ	palma
パルマ	parma
日数	dager
日数	dagene
日数	days
再戦	omkamp
機密	taushetsplikt
機密	konfidensielt
機密	fortrolig
機密	konfidensielle
機密	konfidensiell
未遂	forsøkte
未遂	prøvd
未遂	forsøkt
未遂	forsøk
未遂	forsøk
クライアント	klient
クライアント	kunde
クライアント	klienter
クライアント	kunder
掃除	rengjøring
掃除	rensing
掃除	rydding
微生物	mikroorganismer
ウシ	kveg
ウシ	storfe
ウシ	kyr
ソマリア	somalia
穀物	korn
パオ	pao
音色	toner
抜粋	utdrag
スカイライン	skyline
鉱石	malm
鉱石	ore
シンポジウム	symposium
美香	mika
ブランデンブルク	brandenburg
エドガー	edgar
下線	understreket
下線	understrek
トラスト	tillit
トラスト	trust
エリカ	erika
フラット	flat
フラット	flatt
フラット	flate
カバ	flodhest
カバ	hippo
カバ	flodhest
ジョーカー	joker
受け入れる	godtar
受け入れる	godta
受け入れる	akseptere
受け入れる	aksepter
受け入れる	aksepterer
補助金	subsidier
シェフ	chef
シェフ	kjøkkensjef
シェフ	kokk
シェフ	kokken
スクープ	scoop
歯車	utstyr
歯車	gear
大当たり	jackpot
俊夫	toshio
グレッグ	greg
パスワード	passord
パスワード	passordet
パスワード	passord
十勝	tokachi
メカニック	mekaniker
申告	erklære
申告	erklærer
申告	erklæring
申告	erklæringen
赤ちゃん	baby
赤ちゃん	babyer
細分	inndeling
スクロール	rulling
スクロール	rulle
スクロール	blar
スクロール	rull
会う	meet
会う	møte
会う	møtes
会う	møt
弾頭	stridshode
セクター	sektor
セクター	sektorer
濃い	sterk
濃い	strong
濃い	sterke
濃い	sterkt
減らす	reduser
減らす	minsk
減らす	nedgang
減らす	redusere
減らす	redusere
減らす	reduser
ショパン	chopin
トロンボーン	trombone
ネック	hals
ネック	neck
ネック	nakken
ネック	nakke
ストライキ	streike
ストライキ	strike
ストライキ	streik
最低限	minimum
スクランブル	scramble
レター	brev
レター	bokstav
回廊	korridor
プレゼン	presentasjon
プレゼン	presenterer
プレゼン	presentasjoner
モスク	moskeer
モスク	moské
モスク	moskeen
ルーカス	lucas
ルーカス	lukas
プライド	pride
プライド	stolthet
プライド	hovmod
テロリスト	terrorist
テロリスト	terrorister
バーンズ	barnes
バーンズ	brannsår
バーンズ	burns
バーンズ	brannskader
バーンズ	brenner
管理人	admin
管理人	administrator
管理人	administratorer
管理人	admins
管理人	administratorer
管理人	administrator
持ち込み	bære
持ち込み	bring
持ち込み	bringe
サンガ	sanga
コスチューム	kostyme
コスチューム	kostymet
コスチューム	kostymer
こだま	kodama
カージナルス	kardinaler
美智子	michiko
波動	vink
波動	bølge
エアバス	airbus
スペック	spesifikasjoner
スペック	specs
スペック	spesifikasjon
スペック	brille
ボリス	boris
サンバ	samba
原告	saksøker
地主	utleier
チキン	høna
チキン	kylling
インデックス	indeks
中道	moderat
中道	moderere
頼朝	yoritomo
ピックアップ	pickup
ピックアップ	henting
コールド	kulde
コールド	forkjølelse
コールド	kald
コールド	kaldt
プライス	pris
ハロルド	harold
待遇	behandling
北極	arktisk
北極	arktiske
北極	arktis
北極	arctic
西園寺	saionji
フレンチ	fransk
すごい	kjempebra
すごい	heftig
すごい	rått
すごい	utrolig
すごい	amazing
吹雪	snøstorm
吹雪	snøstorm
ライプツィヒ	leipzig
アダムズ	adams
ジュース	juice
ルージュ	rouge
バーツ	baht
守山	moriyama
従兄弟	fetter
従兄弟	kusine
用心棒	dørvakt
用心棒	utkaster
ギルド	guild
回生	regenerativ
ニュルンベルク	nürnberg
ニュルンベルク	nürnberg
ブラザー	broder
ブラザー	broren
ブラザー	brother
ブラザー	bror
チューリッヒ	zürich
チューリッヒ	zürich
内線	utvidelse
内線	forlengelse
内線	extension
ルクス	lux
ステッカー	klistremerke
ステッカー	etiketter
ステッカー	klistremerker
浅い	grunt
浅い	grunne
カブ	nepe
カブ	cub
パウル	paulus
パウル	paul
三味線	shamisen
故人	avdød
故人	avdøde
ハンドボール	håndball
オークス	oaks
エッグ	eggs
エッグ	egg
エッグ	egg
更生	rehabilitering
スキン	skinn
スキン	skins
スキン	hud
スキン	flå
スキン	huden
ピンチ	klype
まさし	masashi
パース	perth
エマ	emma
ヌード	nakenhet
ヌード	nude
公害	forurensning
公害	forurensing
コペンハーゲン	copenhagen
コペンハーゲン	københavn
コペンハーゲン	københavns
りんご	epler
りんご	eple
りんご	apple
ヒカル	hikaru
インフルエンザ	influensa
インフルエンザ	influensa
イラ	ila
オーボエ	obo
毒性	giftig
メカニズム	mekanisme
ファンタジア	fantasia
やさしい	enkel
やさしい	enkelt
やさしい	rolig
やさしい	lett
やさしい	easy
ジャンボ	jumbo
ネギ	purre
燃える	brenner
燃える	brennende
燃える	burning
燃える	brenning
芳賀	haga
体質	grunnlov
体質	forfatning
体質	konstitusjon
イヌ	bikkje
イヌ	hund
イヌ	bikkja
苦しみ	lidelse
キノコ	sopper
キノコ	sopp
キノコ	sjampinjong
キノコ	sopp
グラン	besta
グラン	gran
厚い	tjukk
厚い	tykk
厚い	tykt
厚い	tykke
終着駅	terminus
ヤンキー	yankee
飛躍	sprang
飛躍	spranget
ボア	boa
麻痺	lammelse
麻痺	parese
オリンピア	olympia
クラウス	kraus
クラウス	klaus
証人	vitne
証人	vitner
証人	vitne
賞賛	beundrer
賞賛	beundre
賞賛	beundring
賞賛	lovprisning
賞賛	ros
賞賛	prise
シリアル	seriemorder
シリアル	frokostblanding
子育て	barneoppdragelse
子育て	oppdragelse
ウィンドウ	vindu
乱闘	spetakkel
乱闘	slagsmål
乱闘	basketak
水分	fuktighet
聴く	lytt
聴く	hør
バーバラ	barbara
遊ぶ	avspilling
遊ぶ	leke
遊ぶ	lek
遊ぶ	spill
決済	betalinger
決済	betaling
決済	bosetning
決済	betaling
決済	betalingen
サニー	solfylt
サニー	solrikt
サニー	sunny
サニー	sol
サニー	solrik
嫉妬	sjalu
嫉妬	misunnelig
嫉妬	sjalusi
なつみ	natsumi
ディスコ	disko
ディスコ	disco
ブタ	griser
ブタ	grise
ブタ	gris
ブタ	pig
ノーマン	norman
尾翼	halen
尾翼	hale
退却	retrett
大場	oba
悪意	ondsinnet
悪意	skadelig
悪意	ondsinnede
オタク	geek
オタク	nerdete
オタク	nerd
屋台	bodene
屋台	stands
伝導	konduktivitet
受け取る	motta
受け取る	mottar
アーロン	aaron
アーロン	aron
アンチ	anti
ベストセラー	bestselger
ベストセラー	bestselgeren
ピコ	pico
タックル	takle
タックル	takling
ステンレス	rustfri
ステンレス	rustfritt
壁画	veggmaleri
素敵	herlig
素敵	nydelig
素敵	nydelige
素敵	fin
素敵	fint
素敵	fine
思想家	tenkere
ピクセル	piksel
ピクセル	piksler
コントローラ	kontrollere
コントローラ	kontroller
コントローラ	kontrolleren
たまに	tidvis
たまに	innimellom
外科医	kirurg
伝送	overføring
伝送	sending
木戸	kido
トロイ	troy
トロイ	troja
翔子	shoko
面会	visitt
タンカー	tankskip
気体	bensin
気体	gass
気体	gasser
処罰	straffe
処罰	straff
ロータス	lotus
キャンセル	avbryte
キャンセル	avlyse
キャンセル	annullert
キャンセル	kansellert
キャンセル	avbrutt
キャンセル	avlyst
キャンセル	kansellert
キャンセル	avlyst
キャンセル	avbrutt
ウィキ	wiki
リスボン	lisboa
剥奪	berøvet
掘削	utgraving
掘削	boring
掘削	drilling
ボリビア	boliviansk
ボリビア	bolivia
悪夢	mareritt
悪夢	mareritt
演目	programmer
チェルシー	chelsea
ナンシー	nancy
カタール	qatar
解読	tyde
ゲイリー	gary
やまと	yamato
出血	blør
出血	blødende
出血	blødninger
出血	blødning
タンゴ	tango
濡れ	våt
濡れ	vått
濡れ	våte
濡れ	wet
ロンド	rondo
キックボクシング	kickboksing
台北市	taipei
諮問	konsultasjon
火事	brann
火事	fyre
火事	ild
正夫	masao
ジュリエット	juliet
マクラーレン	mclaren
オアシス	oasen
オアシス	oase
赤道	ekvator
クウェート	kuwait
クウェート	kuwaitiske
疲労	utmattende
疲労	slitsom
疲労	slitsomt
疲労	tretthet
疲労	utmattelse
平壌	pyongyang
国々	landene
国々	land
ディー	dee
タコ	blekksprut
内訳	sammenbrudd
内訳	analyser
ジャイアント	jotne
ジャイアント	kjempe
ジャイアント	gigantisk
ジャイアント	giant
バディ	kamerat
バディ	buddy
バディ	kompis
出願	applikasjon
出願	app
出願	søknad
出願	tilleggsfunksjon
出願	applikasjonen
ウォーレン	warren
銃弾	kule
妥協	kompromisser
妥協	kompromiss
妥協	kompromisset
鉄拳	tekken
グラミー	grammy
海部	kaifu
抗体	antistoffer
抗体	antistoff
トモ	tomo
風船	ballong
風船	ballonger
おばさん	tante
リターン	return
リターン	returner
リターン	returnere
安定性	stabilitet
コメディアン	komiker
コメディアン	komikere
フェリックス	felix
副官	adjutant
エレクトロニクス	elektronikk
パトロール	patrol
パトロール	patrulje
クレーター	kratere
クレーター	krater
キャピタル	kapital
キャピタル	capital
キャピタル	hovedstad
チャット	prat
チャット	chat
チャット	chatte
高句麗	goguryeo
糖尿病	sukkersyke
糖尿病	diabetes
ディズニーランド	disneyland
エルフ	alv
エルフ	nisser
エルフ	alver
バーガー	burger
カリウム	kalium
サバイバル	overlevelse
シックス	sekser
シックス	seks
シックス	six
蛍光	fluorescens
可愛い	søt
可愛い	pen
可愛い	pene
可愛い	ganske
スピリット	ånd
スピリット	spirit
グアム	guam
民兵	milits
側室	konkubine
ルター	luther
ジュリアン	julian
受領	kvittering
チャーチル	churchill
ロフト	loft
ロフト	lofts
湯川	yukawa
及川	oikawa
シャム	siamesisk
帰属	tilskrivelse
モモ	fersken
モモ	momo
モモ	fersken
モモ	peach
コンボ	kombi
コンボ	combo
デンバー	denver
感度	følsomhet
正午	noon
ハント	jakt
ハント	hunt
ハント	jakte
ハント	jakta
ドレスデン	dresden
欠席	fraværende
欠席	fravær
口座	kontoen
口座	konto
口座	brukerkonto
批准	ratifikasjon
説教	prekener
説教	forkynte
説教	preken
説教	preker
説教	preken
説教	prekenen
説教	forkynne
説教	preke
連想	assosiativ
フルーツ	frukt
フルーツ	frukter
フルーツ	frukt
著しい	merkverdig
著しい	bemerkelsesverdig
カウンティ	county
カウンティ	fylke
返済	tilbakebetaling
チャネル	kanaler
チャネル	kanalene
チャネル	kanal
チャネル	channel
チャネル	kanalen
淳子	junko
ウェスタン	vestlig
ウェスタン	vest
ウェスタン	vestlige
ウェスタン	western
白馬	hakuba
スキャン	skanne
スキャン	skanning
スキャン	skanne
スキャン	scan
敬意	respekt
オリエンタル	orientalsk
鋭い	skarpt
鋭い	skarp
鋭い	sharp
鋭い	skarpe
お茶	tea
お茶	te
クローズ	nære
クローズ	lukk
クローズ	lukke
クローズ	nær
クローズ	close
ワープ	varp
ワープ	warp
正一	shoichi
ダイナマイト	dynamitt
コリンズ	collins
飲む	drikking
飲む	drikke
飲む	drikker
飲む	drikk
飲む	dram
飲む	drink
飲む	drikke
オークション	auksjon
オークション	auksjoner
ポータブル	bærbar
モンロー	monroe
トラップ	fella
トラップ	felle
トラップ	trap
トラップ	feller
同値	ekvivalens
ローテーション	rotasjon
プリズム	prisme
フェアリー	feen
フェアリー	fairey
ポット	kjele
ポット	pot
マッカーサー	macarthur
ハチ	veps
ハチ	bier
ミッチェル	mitchell
カルト	cult
消える	forsvinner
消える	flyktige
消える	forsvinner
消える	forsvinne
テンション	spenninger
テンション	spenning
個別に	individuelt
ジャスト	berre
ジャスト	akkurat
ジャスト	bare
ジャスト	nettopp
ジャスト	just
フォーカス	fokus
ナムコ	namco
分化	differensiering
ウエスタン	vestlig
ウエスタン	vest
ウエスタン	vestlige
ウエスタン	western
ラトビア	latvia
ラトビア	latvias
ラトビア	latvisk
ラトビア	latviske
酢酸	acetat
スタンプ	stamp
スタンプ	stempel
スタンプ	frimerke
スタンプ	etiketter
スタンプ	klistremerker
スタンプ	klistremerke
スタンプ	stump
スタンプ	stubben
スタンス	holdning
発令	utstedelse
激戦	voldsom
激戦	barsk
激戦	voldsomme
おいしい	lekkert
おいしい	deilige
おいしい	deilig
停滞	stagnasjon
停滞	stasjonære
停滞	stasjonær
スリップ	skli
スリップ	glippe
スリップ	slip
茂雄	shigeo
照射	eksponering
クルーザー	krysser
クルーザー	cruiser
ハンドブック	håndbok
江藤	eto
アーカンソー	arkansas
板垣	itagaki
マナー	etikette
マナー	folkeskikk
マナー	manerer
太陽光	sollys
太陽光	sollyset
バットマン	batman
タイル	fliser
タイル	flis
タイル	fliser
螺旋	helix
ホフマン	hoffmann
ホフマン	hoffman
ホフマン	hofmann
レジスタ	registre
レジスタ	registrerer
レジスタ	registrer
レジスタ	register
レジスタ	registrere
ピュア	pur
ピュア	ren
ピュア	rent
ピュア	pure
蒸留	destillasjon
蒸留	destillert
フレイ	frey
フレイ	frøy
フレイ	fray
ミッドフィールダー	midtbane
墨田	sumida
ブーツ	boot
ブーツ	støvel
ブーツ	støvler
ブーツ	støvlene
ブーツ	boots
出版物	publikasjoner
出版物	publisering
出版物	utgivelse
ヒューズ	hughes
ヒューズ	sikring
問い合わせ	henvendelse
問い合わせ	enquiries
問い合わせ	spørringen
問い合わせ	forespørsler
問い合わせ	henvendelser
連帯	solidaritet
ポーター	porter
帰宅	hjemme
帰宅	heime
帰宅	hjem
帰宅	hjemmet
帰宅	home
メイキング	lager
メイキング	making
メイキング	lage
エフェクト	effekter
エフェクト	virkning
エフェクト	effekt
野間	noma
デス	døden
デス	død
デス	death
デス	dødsstraff
バター	butter
バター	smør
教職員	fakultet
結核	tuberkulose
ヨルダン	jordansk
ヨルダン	jordan
恵那	ena
ソフトボール	softball
起業	gründer
起業	entreprenørskap
起業	entreprenør
起業	entreprenørskap
欠陥	lyte
欠陥	defekt
未完	uferdige
未完	uferdig
コブラ	cobra
コブラ	kobra
シスター	sister
シスター	søster
シスター	syster
シスター	søsteren
シスター	søstera
グリル	grill
グリル	grilling
脂肪	fett
脂肪	tjukk
脂肪	fat
脂肪	fet
脂肪	feit
回顧	retrospektiv
アーネスト	ernest
眠る	sleep
眠る	søvn
眠る	sove
天台宗	tiantai
天台宗	tendai
植村	uemura
アスレチック	athletic
アスレチック	atletisk
彼氏	kjæresten
彼氏	kjæreste
エミー	amy
迫害	forfølgelse
迫害	forfulgt
左近	sakon
手数料	commission
手数料	provisjon
手数料	kommisjon
手数料	avgift
手数料	honorar
手数料	gebyr
手数料	gebyrer
手数料	avgifter
バドミントン	badminton
ザック	zac
スクリプト	manus
トライアングル	trekant
溶岩	lava
フィニッシュ	avslutt
フィニッシュ	finish
フィニッシュ	avslutte
異端	kjetteri
異端	kjetterske
高見	takami
真似	imitere
フン	hun
ハス	lotus
メグ	meg
ボールド	freidig
ボールド	fet
ボールド	dristige
ボールド	dristig
ボールド	djerv
トッド	todd
入浴	bade
入浴	bading
入浴	bad
須磨	suma
ハング	hung
ハング	hang
ハング	hengt
ハング	henge
流体	væske
流体	væsker
ジュネーヴ	geneve
ジュネーヴ	genève
ハーバート	herbert
お菓子	søtsaker
お菓子	godteri
未完成	uferdige
未完成	uferdig
未完成	ufullstendig
未完成	ufullstendige
圭介	keisuke
ブレーメン	bremen
宮澤	miyazawa
チューブ	tube
ヒゲ	skjegg
林業	skogbruk
変装	forkledning
変装	forkledd
変装	forkledninger
祐介	yusuke
軍需	armament
シグナル	signaler
シグナル	signalene
シグナル	signal
オリーブ	olive
オリーブ	oliven
オリーブ	oliven
面接	intervju
ダイエット	slanking
ダイエット	kosthold
ダイエット	dietten
ダイエット	diett
ダブリン	dublin
信念	faith
信念	tro
信念	troen
信念	overbevisning
信念	livssyn
スチュアート	stuart
ワイヤー	vaier
ワイヤー	ledning
ワイヤー	wire
ワイヤー	ledninger
アルブレヒト	albrecht
バレル	tønne
サンティアゴ	santiago
碑文	inskripsjon
碑文	innskriftene
一樹	kazuki
ブルターニュ	bretagne
ブルターニュ	brittany
審判員	oppmann
審判員	dommer
さゆり	sayuri
スレッド	samtalen
スレッド	samtale
スレッド	konversasjon
スレッド	tråder
スレッド	tråden
スレッド	tråd
スレッド	samtaler
ドラキュラ	dracula
ルネ	rené
ルネ	rené
ルネ	rene
桟橋	bryggen
桟橋	moloen
桟橋	pir
桟橋	brygge
亜鉛	sink
グラハム	graham
正博	masahiro
デューク	duke
デューク	hertug
語彙	ordforråd
語彙	vokabular
コーディネーター	koordinator
ソナー	sonar
充電	ladning
充電	belastning
充電	lader
充電	lade
バーミンガム	birmingham
マイヤー	meyer
リリー	lilje
リリー	lily
大工	snekker
大工	carpenter
大工	tømrer
大工	snekkere
停泊	fortøyning
チャイ	chai
ワクチン	vaksiner
ワクチン	vaksine
監獄	fengsel
監獄	fengsler
監獄	fengslene
デラウェア	delaware
売る	sell
売る	selg
売る	selge
売る	seige
破片	vrakgods
桃園	taoyuan
ペーター	peter
買い物	shopping
買い物	innkjøp
既婚	gift
陽性	positivt
陽性	positive
陽性	positiv
チョーク	kritt
四十	førti
四十	forty
エコー	ekko
エコー	echo
同調	konformitet
スイング	huska
スイング	sving
スイング	swing
クランク	sveiv
コミュニティー	fellesskap
コミュニティー	samfunnet
コミュニティー	samfunn
コミュニティー	fellesskapet
施策	retningslinjene
施策	politikk
施策	retningslinjer
トラクター	traktorer
トラクター	traktor
カリスマ	utstråling
カリスマ	karisma
カリスマ	karismatisk
吹く	blåser
下着	undertøy
淡水	ferskvann
分泌	sekresjon
ドキドキ	spennende
和光	wako
驚き	overraskelse
ジェフリー	jeffrey
ジェフリー	jeffery
廃墟	ruin
廃墟	ødelegge
廃墟	ruiner
深度	dybde
深度	dybden
配当	utbytte
配当	distribusjon
配当	fordeling
故意	bevisst
ニコ	nico
ニコ	niko
クロム	chrome
クロム	krom
クロム	krom
生き方	lifestyle
生き方	livsstil
預言	profeti
預言	profetien
掲示	publisering
掲示	publiserer
掲示	publisere
掲示	innlegg
掲示	bulletin
パスポート	passene
パスポート	pass
パスポート	passet
パスポート	pass
カロリー	kalori
カロリー	kalorier
消化	fordøyelse
消化	fordøyelsen
ヘビ	slange
ヘビ	snake
ヘビ	slanger
膨張	ekspansjon
バッジ	skiltet
バッジ	merke
バッジ	visittkort
バッジ	merker
残酷	ondskapsfullt
残酷	grusom
残酷	grusomme
残酷	slemt
残酷	ondskapsfull
残酷	grusomt
ペナルティ	straff
ペナルティ	straffespark
フェンス	gjerde
船員	sailor
船員	sjømann
フォレスト	forrest
フォレスト	skog
フォレスト	skogen
フォレスト	forest
クラッチ	clutch
見習い	lærlinger
見習い	lærlingen
見習い	læregutt
見習い	lærling
見習い	aspirant
見習い	trainee
黙示録	apokalypse
黙示録	apokalypsen
枢機卿	cardinal
枢機卿	kardinal
メソッド	metoden
メソッド	metode
メソッド	metoder
スチュワート	stewart
スランプ	nedtur
スギ	cedar
賭博	gambling
コップ	cupen
コップ	kopp
コップ	beger
コップ	cup
母国	fedreland
母国	fedrelandet
母国	moderlandet
視界	sikt
視界	synligheten
視界	synlighet
反響	ekko
反響	echo
プラットホーム	plattformen
プラットホーム	plattform
カルチョ	calcio
スーザン	susan
ハイチ	haiti
ハイチ	haitisk
洗浄	vasker
洗浄	vaske
洗浄	vasking
洗浄	rengjøring
洗浄	rensing
洗浄	rydding
不祥事	skandalen
不祥事	skandale
不祥事	skandaler
委任	delegasjon
委任	delegasjonen
委任	mandat
祭壇	alter
スライダー	glider
シエラ	sierra
新一	shinichi
ボローニャ	bologna
ヤギ	geit
ヤギ	goat
ヤギ	geiter
ワークショップ	seminarer
ワークショップ	workshops
ワークショップ	workshop
ワークショップ	verksted
ワークショップ	verkstedet
ワーグナー	wagner
金庫	trygt
金庫	safe
金庫	trygge
金庫	trygg
金庫	safer
臨済宗	rinzai
慎吾	shingo
被告人	anklagede
被告人	beskyldt
被告人	anklaget
被告人	saksøkte
被告人	anklagede
被告人	tiltalte
バトン	stafettpinnen
バトン	baton
睡眠	sleep
睡眠	søvn
睡眠	sove
洗濯	vasker
洗濯	vaske
洗濯	vasking
洗濯	klesvask
ツル	kran
ツル	crane
リヒャルト	rikard
リヒャルト	richard
裏側	attende
裏側	back
裏側	tilbake
裏側	rygg
レズビアン	lesbiske
レズビアン	lesbisk
レズビアン	lesbiske
芸者	geisha
チャップリン	chaplin
吸気	innpust
祝福	velsignelse
祝福	velsignelse
祝福	velsignelser
祝福	velsignede
祝福	salige
祝福	velsignet
祝福	blessed
林檎	eple
林檎	apple
ケット	ket
ロナルド	ronald
ランニング	løping
ランニング	løper
ランニング	kjører
高尾	takao
届出	varsel
届出	varsling
レスキュー	rescue
レスキュー	unnsetning
レスキュー	redningen
レスキュー	redning
レスキュー	redde
土居	doi
委嘱	delegasjon
委嘱	delegasjonen
委嘱	commission
委嘱	provisjon
委嘱	kommisjon
アンドレア	andrea
パンダ	panda
ハク	haq
冗談	vits
冗談	spøk
冗談	tuller
冗談	spøker
冗談	tuller
冗談	tulla
お気に入り	favourite
お気に入り	favoritt
お気に入り	favoritt
お気に入り	favoritter
お気に入り	favorittene
ロッカー	rocker
トゥルー	ekte
トゥルー	sant
トゥルー	true
トゥルー	sanne
ヨット	yachten
ヨット	yacht
ヨット	yachts
シェーン	shane
ダイナミック	dynamisk
ダイナミック	dynamiske
ラバウル	rabaul
勝浦	katsuura
飛行船	luftskip
飛行船	luftskipet
エリオット	elliott
エリオット	elliot
まみ	mami
フットサル	futsal
消去	slette
消去	slett
ストライカー	striker
真木	maki
バイザー	visor
ハンプシャー	hampshire
テント	telt
テント	teltene
テント	teltet
テント	telt
リソース	ressurs
リソース	ressursen
リソース	ressurser
リソース	ressursene
粛清	rense
粛清	renselse
粛清	renselse
セリ	seri
崇拝	tilber
崇拝	tilbedelse
崇拝	tilber
崇拝	tilbedelse
崇拝	tilbe
ワトソン	watson
寺内	terauchi
値段	pris
藤森	fujimori
快適	komfortabel
快適	komfortabelt
快適	behagelig
快適	komfortable
快適	komfortabelt
快適	behagelig
快適	komfortabel
足跡	fotavtrykk
足跡	fotspor
足跡	fotavtrykk
足跡	fotspor
ロベール	robert
バスケ	basket
バスケ	basketball
獣医	veterinærer
獣医	veteraner
獣医	dyrlege
獣医	veterinær
ヴァージン	jomfru
ヴァージン	virgin
和音	akkord
帝政	empire
帝政	imperiet
帝政	keiserdømmet
帝政	imperium
動揺	oppbrakt
動揺	oppskaket
動揺	opprørt
神学校	seminary
麻酔	narkose
麻酔	bedøvelse
阿弥陀如来	amitabha
人魚	havfrue
人魚	havfruen
