karen	karen
ovzduší	氛圍
ovzduší	空中
ovzduší	air
ovzduší	航空
ovzduší	空氣
craig	craig
boty	皮鞋
boty	鞋
boty	鞋子
boty	靴
boty	靴子
modlitby	祈禱
modlitby	禱告
upravený	修改
plavidlo	船隻
plavidlo	工藝
plavidlo	手藝
podrobný	詳細
veterinární	獸醫
skvrny	污點
skvrny	斑點
náhradník	候補
torpédoborce	驅逐艦
puška	步槍
schody	步驟
schody	樓梯
schody	階梯
výčet	列舉
pochybnosti	疑問
pochybnosti	懷疑
pochybnosti	疑慮
pochybnosti	疑慮
jezdit	乘車
jezdit	騎馬
jezdit	騎
pec	爐
pec	爐子
pec	火爐
pec	熔爐
pec	窯
pec	爐
pec	烤爐
pec	烤箱
živý	活著
hladké	光滑
hladké	順利
hladké	平滑
hladké	平穩
nastavit	設
nastavit	集
nastavit	設定
nastavit	配置
přistál	landed
fan	樊
fan	粉絲
fan	風扇
fan	範
archeologie	考古學
archeologie	考古
archeologie	考古學
archeologie	考古
vyráběné	製造
rezidence	居住
rezidence	住宅
rezidence	居所
rezidence	住所
rezidence	住宅
rezidence	官邸
klasifikaci	分類
zvyšování	增加
sada	設
sada	集
sada	設定
parkoviště	停車位
parkoviště	停車場
výzvu	挑戰
zneužívání	濫用
zneužívání	虐待
pánev	骨盆
pánev	潘
pánev	泛
pánev	pan
slíbil	允諾
atomů	原子
tung	董
konceptu	構想
konceptu	概念
konceptu	理念
zlepšit	改進
zlepšit	改善
vlnu	羊毛
bitev	戰役
hostitele	主持人
hostitele	主機
soupeři	對手
soupeři	對手
battle	戰
battle	戰役
battle	戰鬥
kouření	吸煙
ward	ward
ward	病房
inspirace	激勵
inspirace	靈感
jáma	坑
vln	浪
vln	海浪
vln	波浪
doporučuji	推薦
návštěvu	參觀
návštěvu	訪問
lidstvo	人性
lidstvo	人道
komponenty	元件
předcházející	先前
otevřít	開
otevřít	營業
otevřít	開啟
otevřít	開放
atributy	屬性
baru	酒吧
baru	bar
dubu	橡樹
dubu	橡木
dubu	橡
dubu	櫟
svátky	假期
svátky	holiday
svátky	假日
svátky	度假
svátky	節日
svátky	假期
svátky	假日
svátky	節假日
svátky	節日
progresivní	漸進
progresivní	進步
progresivní	累進
progresivní	逐步
lan	嵐
lan	蘭
lan	ian
opakovat	重復
popředí	前景
filtr	篩選
filtr	濾波器
filtr	過濾
filtr	過濾器
nba	nba
knight	騎士
atomy	原子
romance	浪漫
ring	響鈴
ring	環
ring	戒指
ras	ras
nádoby	船隻
nádoby	容器
nádoby	貨櫃
laboratoře	實驗室
laboratoře	化驗室
laboratoře	實驗室
večerní	晚間
večerní	晚上
večerní	傍晚
lincoln	林肯
barevný	有色
barevný	彩色
barevný	色彩繽紛
barevný	有色
američan	美式
tlačítko	按鍵
tlačítko	按鈕
jelení	鹿
humor	幽默
humor	幽默
pacient	病患
pacient	患者
pacient	病人
tokiu	東京
zacházení	處理
zacházení	治療
sedmá	第七
flétnu	笛
flétnu	笛子
příručka	手冊
příručka	手冊
příručka	手動
příručka	指南
příručka	指引
příručka	嚮導
poskytovat	提供
pozval	邀請
pozval	受邀
uesac	uesac
jemné	軟軟
jemné	柔軟
jemné	柔和
jemné	軟
jemné	微妙
poušť	沙漠
poušť	荒漠
michelle	michelle
sotva	勉強
rám	幀
rám	框框
rám	框架
rám	框
dávky	劑量
dávky	福利
dávky	用量
dávky	劑量
dávky	劑量
charakteristiky	特徵
charakteristiky	特性
charakteristiky	特點
židům	猶太人
židům	猶太
eine	eine
pevná	固體
pevná	固態
pevná	實心
pevná	扎實
pevná	堅固
pevná	事務所
pevná	固定
plemen	品種
poušti	沙漠
poušti	荒漠
pravomoc	權威
otvor	孔洞
otvor	洞口
otvor	孔
otvor	洞
kroků	步驟
atlantic	大西洋
rally	集結
rally	集會
přidělen	指派
předpoklad	推定
předpoklad	假設
předpoklad	假定
předpoklad	前提
stavebnictví	施工
stavebnictví	建設
stavebnictví	建築
lana	繩
lana	繩子
lana	繩索
dusík	氮
turner	turner
povrchové	膚淺
končetin	肢體
končetin	四肢
končetin	肢
uživatelem	使用者
psy	犬
psy	狗
plochý	平面
plochý	平
plochý	公寓
forum	論壇
zadání	委託
zadání	委派
zadání	指派
zadání	任務
zadání	轉讓
zadání	授予
zadání	獎
prohlížeče	瀏覽器
remíza	領結
remíza	平局
remíza	領帶
remíza	繪製
remíza	畫
remíza	抽籤
architekti	建築師
tenisové	網球
psychologii	心理
psychologii	心理學
uděleno	准予
dohledem	監督
vrstvu	層
hosty	賓客
hosty	來賓
hosty	客人
přátele	朋友
přátele	好友
každoroční	每年
nepokoje	暴動
nepokoje	暴亂
nepokoje	騷亂
nepokoje	騷動
nepokoje	騷亂
nepokoje	動亂
nepokoje	暴動
nepokoje	暴亂
nepokoje	騷亂
nepokoje	暴亂
nepokoje	騷亂
hubert	hubert
spojka	離合器
vzorce	格局
vzorce	模式
vzorce	公式
vzorce	公式
delegace	代表團
delegace	代表團
úředníci	辦事員
úředníci	書記
úředníci	官員
zákazníků	客戶
zákazníků	顧客
bostonu	波士頓
jed	毒
jed	毒液
jed	毒藥
jed	毒
jed	毒物
čarodějnice	女巫
čarodějnice	魔女
čarodějnice	巫婆
aero	航空
diplomatické	外交
touha	願望
touha	慾望
touha	嚮往
touha	渴望
postranní	橫向
postranní	側
potvrzen	確認
nesouhlas	分歧
nesouhlas	反對
nesouhlas	反對派
nesouhlas	反對黨
zkratky	捷徑
kenneth	kenneth
autonomie	自主
autonomie	自治
reformu	改革
předpokládal	假定
plyny	氣
plyny	天然氣
plyny	汽油
plyny	氣體
plyny	氣體
mistři	冠軍
předání	傳送
předání	傳輸
předání	交接
předání	移交
minerální	礦物質
minerální	礦物
minerální	礦產
asp	asp
boxu	拳擊
prevence	預防
gene	gene
gene	基因
partnera	伴侶
partnera	夥伴
partnera	合伙人
partnera	搭檔
hnízda	窩
hnízda	巢穴
hnízda	巢
hroby	墳墓
hroby	墓穴
člun	駁船
člun	船
člun	船隻
člun	艇
hart	hart
hart	芯
pravděpodobnosti	概率
pravděpodobnosti	概率
pravděpodobnosti	可能性
soužití	共存
skal	岩
skal	岩石
linda	linda
murphy	murphy
narušení	擾動
narušení	歪曲
narušení	失真
narušení	扭曲
narušení	擾亂
narušení	違反
narušení	違約
narušení	違規
stěhování	搬家
stěhování	感動
kapel	樂隊
variace	變異
variace	變更
variace	變異
sníh	下雪
sníh	雪
sníh	snow
sporty	體育
sporty	運動
perry	perry
interval	區間
interval	間歇
interval	間隔
dorazila	抵達
dorazila	到達
stipendium	獎學金
měkké	軟軟
měkké	柔軟
měkké	柔和
měkké	軟
porta	porta
cia	cia
cia	cla
brusel	布魯塞爾
prodán	賣
prodán	售出
alias	別名
alias	aka
chlupaté	毛茸茸
geolog	地質學家
uruguay	烏拉圭
chůze	步行
chůze	散步
chůze	行走
chůze	走路
chůze	步行
chůze	散步
chůze	走路
sedlák	農民
naučit	學習
naučit	學
anime	動畫
pamětihodnosti	觀光
filipíny	菲律賓
kov	金屬
potomek	後代
potomek	後裔
potomek	後代
stíhání	起訴
nepřítomnosti	缺席
dokončit	完成
dokončit	完整
dokončit	完成
detailní	詳細
amy	amy
organismus	有機體
organismus	機體
konstantní	常數
fenomén	現象
fenomén	現象
pilíře	支柱
pilíře	界碑
pilíře	柱
pilíře	支柱
diferenciální	差分
diferenciální	微分
bránu	門
bránu	大門
ledovce	冰川
ledovce	冰山
ledovce	冰山
ledovce	冰川
vzorku	樣品
vzorku	取樣
vzorku	抽樣
vzorku	樣本
stín	影
stín	影子
stín	陰影
stín	暗影
stín	陰影
zánět	發炎
zánět	炎症
kůra	吠
kůra	樹皮
mučení	酷刑
weiss	weiss
geologie	地質
geologie	地質學
spekulace	投機
spekulace	推測
spekulace	投機
guinea	幾內亞
uprchlíků	難民
pera	鋼筆
pera	筆
svatby	婚禮
svatby	婚禮
pákistán	巴基斯坦
austin	austin
austin	奧斯汀
přesná	精確
přesná	準確
přesná	精確
přesná	精確
erika	erika
vdaná	已婚
grafický	圖形
čáry	魔神
čáry	魔法
čáry	魔術
čáry	神奇
čáry	魔力
čáry	線條
čáry	線
čáry	巫術
kapaliny	液體
kapaliny	流體
nosit	戴
nosit	穿
trubice	管
trubice	管子
venkovní	室外
venkovní	戶外
mas	mas
hardware	硬體
užší	窄
chlazení	冷卻
chlazení	制冷
chlazení	冷藏
chlazení	制冷
chlazení	不寒而慄
absolutně	絕對
fondů	基金
fondů	資金
korespondence	書信往來
rovina	平面
rovina	飛機
mýty	神話
stálá	永久
stálá	常數
modře	blue
modře	藍
modře	藍色
obsadit	佔據
obsadit	佔用
obsadit	佔領
železo	鋼鐵
železo	鐵
bojovník	戰士
bojovník	勇士
bojovník	拳手
bojovník	鬥士
arabský	阿拉伯
arabský	阿拉伯文
arabský	阿拉伯語
garcia	加西亞
logicky	邏輯
nine	九
nine	九個
kandidáti	候選人
dobrovolníků	志願者
můstek	橋
můstek	艦橋
můstek	大橋
můstek	橋梁
můstek	橋牌
rámce	框架
milióny	百萬
odbor	部門
bankovky	紙幣
bankovky	鈔
bankovky	賬單
bankovky	帳單
bankovky	法案
kdokoliv	任何人
perské	波斯
matematiku	數學
matematiku	數學
montrealu	蒙特婁
plášť	角
plášť	外衣
plášť	外套
podmínka	緩刑
podmínka	試用期
podmínka	條件
podmínka	狀況
identitu	身分
identitu	身份
sue	sue
sue	蘇
bazén	撞球
bazén	池
bazén	游泳池
bazén	泳池
primitivní	原始
sloupce	柱
sloupce	專欄
sloupce	欄
sloupce	列
sloupce	欄
poslat	送出
toyota	豐田
extra	額外
extra	多餘
turbíny	渦輪機
turbíny	輪機
turbíny	渦輪機
tráví	花費
zmínit	提及
fotoaparát	鏡頭
fotoaparát	照相機
fotoaparát	相機
fotoaparát	攝影機
baletu	芭蕾
baletu	芭蕾舞
výpočtu	計算
kvetoucí	開花
částky	金額
částky	款額
částky	數額
částky	金額
fontána	噴泉
střídání	輪值
střídání	旋轉
střídání	自轉
střídání	輪換
newton	牛頓
regina	regina
rovnost	平等
triviální	瑣碎
ranní	早晨
ranní	早上
ranní	上午
oční	眼
oční	眼睛
dovednosti	技能
dovednosti	技藝
dovednosti	技巧
dovednosti	技能
inspiraci	激勵
inspiraci	靈感
angelo	angela
emoce	情感
emoce	感情
emoce	情緒
emoce	情感
emoce	感情
emoce	情緒
tenké	薄
tenké	瘦
proměny	蛻變
proměny	轉換
proměny	變換
proměny	轉化
proměny	轉型
proměny	轉變
proměny	變形
proměny	變換
pouštní	沙漠
pouštní	荒漠
antonia	antonia
pečeť	封
pečeť	密封
pečeť	印章
pečeť	海豹
komunisty	共產黨
pia	pia
dom	dom
prodávat	賣
prodávat	出售
osmý	第八
volkswagen	大眾
uši	耳
uši	耳朵
uši	耳
uši	耳朵
anatomie	解剖
anatomie	解剖學
nevýhody	弊
nevýhody	cons
nevýhody	劣勢
nevýhody	缺點
bobule	漿果
bobule	漿果
bobule	berry
sui	隋
madison	madison
sláva	名望
sláva	名氣
sláva	榮耀
sláva	光榮
sláva	冰雹
franklin	franklin
civilistů	平民
stůl	表
stůl	書桌
stůl	服務台
stůl	辦公桌
přepracování	處理
přepracování	加工
přepracování	修訂
husté	厚
husté	厚厚
husté	稠密
husté	密集
stálý	常數
teritoria	領土
soulu	漢城
nebezpečný	危險
nebezpečný	危險性
isner	isner
skryté	隱藏
jorge	jorge
čelisti	顎
čelisti	頜
emi	惠美
emi	emi
kop	踢
hospoda	客棧
hospoda	酒館
hospoda	酒吧
hospoda	酒館
dotace	補貼
dotace	補助金
dotace	補助
dotace	補貼
dotace	補助
dotace	補助金
střeva	腸
střeva	腸子
střeva	大腸
střeva	腸
střeva	腸
střeva	腸子
rozkladu	衰敗
rozkladu	衰減
rozkladu	衰變
rozkladu	分解
rozkladu	退化
rozkladu	降解
každodenní	天天
každodenní	每日
každodenní	日常
každodenní	每天
každodenní	每日
vyhodnocení	評估
vyhodnocení	評價
vyhodnocení	評估
vrtulníku	直升機
vrtulníku	直升飛機
přípravky	商品
přípravky	產品
přípravky	籌備
chlupy	頭髮
chlupy	毛髮
chlupy	髮型
chlupy	發
demokratů	民主黨
zdůrazňuje	突顯
patriarcha	族長
sophie	sophie
světec	聖人
světec	聖
chaos	混沌
chaos	混亂
laboratoř	實驗室
laboratoř	化驗室
laboratoř	實驗室
označování	標記
označování	標示
označování	標識
porsche	porsche
atraktivní	吸引力
fungující	運作
facebooku	facebook
nesmírně	極度
nesmírně	極
gps	gps
usb	usb
bratranec	表姐
bratranec	表妹
bratranec	表弟
bratranec	表哥
nevěsta	新娘
zvyky	習性
zvyky	習慣
šestá	第六
prosté	簡單
prosté	平原
přednášek	講課
přednášek	講座
přednášek	演講
temple	神廟
temple	寺
temple	寺廟
temple	廟
temple	聖殿
přátelské	友軍
přátelské	友好
přátelské	友善
donucen	被迫
donucen	強迫
slabý	弱
slabý	虛弱
slabý	弱者
slabý	軟弱
slabý	薄弱
překážky	壁壘
překážky	屏障
překážky	障礙
překážky	障礙
split	分裂
split	分割
africký	非洲
jednotlivě	個別
kořen	根
kořen	root
atmosféra	氣氛
atmosféra	大氣
atmosféra	大氣層
atmosféra	氛圍
sběr	收集
sběr	收集
sběr	收藏
žlázy	腺
žlázy	腺
mar	mar
zodpovědný	負責
lebky	頭骨
lebky	骷髏
lebky	頭顱
lebky	頭骨
manželce	妻子
zobrazit	檢視
zobrazit	瀏覽
zobrazit	顯示
zobrazit	顯示器
zobrazit	展示
zobrazit	展示
zobrazit	顯示
zobrazit	show
jugoslávské	南斯拉夫
zubní	牙科
zubní	牙醫
zubní	牙齒
mniši	僧侶
mniši	和尚
relativity	相對論
dospělí	成人
dospělí	成年人
dospělí	成人
dospělí	成年人
dospělí	成年
přejít	十字架
přejít	cross
přejít	十字
přejít	交叉
evoluční	演化
evoluční	進化
cat	貓咪
cat	貓
cat	cat
int	int
južnyj	youzhny
úzký	狹義
úzký	狹隘
úzký	縮小
úzký	窄
úzký	狹窄
krajní	極端
krajní	極度
krajní	極限
interaktivní	互動
skutečná	real
skutečná	真實
hong	虹
hong	洪
fóra	論壇
fóra	論壇
restaurací	飯店
restaurací	餐廳
restaurací	餐館
ferenc	ferenc
odborníky	專家
harvard	哈佛
pascal	pascal
kristýna	christina
kristýna	christine
omyl	錯誤
pólu	竿
pólu	鋼管
doprovod	隨從
doprovod	陪同
doprovod	護航
doprovod	護送
elektronická	電子
prosazování	強制執行
discogs	discogs
poražený	輸家
obchodníci	商人
obchodníci	商家
obchodníci	經銷商
francesca	francesca
vůdci	領導者
vůdci	領導人
mezery	空格
mezery	空間
mezery	空白
mezery	差距
