το	на
περιοχές	области
πρώην	поранешно
πρώην	поранешни
πρώην	поранешен
πρώην	поранешна
πρώην	бивши
παράδειγμα	пример
άρθρο	член
άρθρο	статија
εικόνα	слика
εικόνα	слика
έλαβε	примен
έλαβε	добиени
έλαβε	доби
έλαβε	примена
έλαβε	примиле
επίσημη	официјално
επίσημη	службен
επίσημη	службено
επίσημη	официјална
επίσημη	формално
επίσημη	формални
επίσημη	формална
επίσημη	формален
κατοίκους	жители
κατοίκους	жителите
κατοίκους	жители
πηγές	извори
βόρεια	северно
βόρεια	север
βόρεια	северот
βόρεια	северен
βόρεια	северна
πόλεις	градови
πόλεις	градови
ιδιαίτερα	особено
ιδιαίτερα	поготово
ιδιαίτερα	особено
ιδιαίτερα	посебно
αγώνα	трка
αγώνα	раса
αγώνα	поклопување
αγώνα	натпревар
αγώνα	совпаѓање
αγώνα	борба
αγώνα	тепачка
γεγονός	настан
γεγονός	настанот
γεγονός	факт
σελίδα	страница
σελίδα	страницата
θέμα	тема
θέμα	субјектот
θέμα	тема
θέμα	предмет
θέμα	субјект
ηλικία	возраст
ηλικία	старост
χρησιμοποιείται	искористен
χρησιμοποιείται	користени
χρησιμοποιείται	користена
χρησιμοποιείται	искористена
χρησιμοποιείται	користен
πρώτα	прв
πρώτα	први
πρώτα	прво
πρώτα	прва
μέγεθος	големина
εδώ	тука
νότια	јужен
νότια	јужна
νότια	јужни
νότια	југ
νότια	јужно
νότια	јужна
σημείο	точка
σχέση	врска
σχέση	однос
περίπτωση	случај
περίπτωση	кејс
νέο	ново
νέο	нов
νέο	нови
νέο	нова
ήδη	веке
ήδη	веќе
έτος	година
έτος	year
σχεδόν	речиси
σχεδόν	скоро
ένωση	синдикат
ένωση	унија
ένωση	union
ένωση	здружение
ένωση	асоцијација
περισσότερο	уште
περισσότερο	повеќе
βασιλιά	крал
βασιλιά	кинг
βασιλιά	кралот
εκκλησία	црква
εκδόσεις	публикации
μουσείο	музеј
πολιτικός	политичар
συμμετοχή	вклученост
συμμετοχή	вмешаност
συμμετοχή	учество
δυο	два
δυο	двајца
δυο	две
μεγαλύτερη	поголема
μεγαλύτερη	поголемо
μεγαλύτερη	поголем
μεγαλύτερη	постара
μεγαλύτερη	постари
μεγαλύτερη	постар
μεγαλύτερη	постаро
μεγαλύτερη	поголеми
μεγαλύτερη	поголемо
μεγαλύτερη	поголем
μεγαλύτερη	поголеми
μεγαλύτερη	поголема
μεγαλύτερη	поголемо
μεγαλύτερη	поголем
πέθανε	умри
πέθανε	почина
πέθανε	умре
πέθανε	умрел
πέθανε	починал
πέθανε	умрела
ανά	пер
ανά	per
μουσική	музика
κόσμο	космо
κόσμο	ворлд
κόσμο	world
κόσμο	свет
κόσμο	светот
κόσμο	свету
άτομα	личности
άτομα	лица
άτομα	поединци
άτομα	индивидуи
άτομα	индивидуалци
άτομα	народ
άτομα	луѓе
δεύτερο	второ
δεύτερο	втор
δεύτερο	втори
δεύτερο	втората
δεύτερο	втора
είδος	тип
είδος	врсти
είδος	видови
αρκετά	доста
αρκετά	доволна
αρκετά	доволно
μεγαλύτερο	постара
μεγαλύτερο	постари
μεγαλύτερο	постар
μεγαλύτερο	постаро
μεγαλύτερο	поголеми
μεγαλύτερο	поголемо
μεγαλύτερο	поголем
μεγαλύτερο	поголеми
μεγαλύτερο	поголема
μεγαλύτερο	поголемо
μεγαλύτερο	поголем
εκείνη	таа
εκείνη	она
χώρες	земји
χώρες	држави
χώρο	простор
χώρο	вселена
χώρο	просторот
σχολή	училиште
σχολή	школа
εναντίον	против
τρία	тројца
τρία	три
τρία	тројка
χαρακτηριστικά	карактеристики
χαρακτηριστικά	карактеристики
χαρακτηριστικά	атрибути
όρος	мандат
όρος	термин
όρος	маунт
όρος	планината
όρος	монтирање
όρος	услов
όρος	состојба
ιδρύθηκε	основана
ιδρύθηκε	основани
ιδρύθηκε	основано
ιδρύθηκε	основан
βασιλιάς	крал
βασιλιάς	кинг
βασιλιάς	кралот
παιδιά	дечки
παιδιά	момци
παιδιά	момчиња
παιδιά	машки
παιδιά	деца
παιδιά	момци
παιδιά	дечки
παιδιά	деца
βραβείο	награда
βραβείο	награда
άρχισε	почна
άρχισε	започна
άρχισε	почнал
άρχισε	почнаа
φαίνεται	изгледа
φαίνεται	изгледа
αρχαία	древни
αρχαία	древно
αρχαία	античка
αρχαία	древна
αρχαία	антички
μήκος	должина
κυκλοφόρησε	пуштен
κυκλοφόρησε	пуштени
κυκλοφόρησε	ослободен
τι	што
συμμετείχε	учествуваа
συμμετείχε	учествувал
συμμετείχε	учествувала
συμμετείχε	учествувале
συμμετείχε	учествуваше
χρονιά	година
χρονιά	year
παραγωγή	продукција
παραγωγή	производство
ηθοποιός	глумица
ηθοποιός	актерка
ηθοποιός	глумец
ηθοποιός	актер
ούτε	ниту
ελληνικά	грчки
ελληνικά	грчка
ελληνικά	грк
δυνάμεις	моќи
δυνάμεις	овластувања
δυνάμεις	ингеренции
δυνάμεις	предности
δυνάμεις	сили
δυνάμεις	силите
γαλλία	франс
γαλλία	франција
ελληνικό	грчки
ελληνικό	грчка
ελληνικό	грк
ευρώπη	европа
δεκαετία	деценијата
δεκαετία	деценија
δεκαετία	декада
γνωστό	позната
γνωστό	познати
γνωστό	познат
παγκόσμιο	глобална
παγκόσμιο	глобални
παγκόσμιο	глобално
βιβλίο	книга
διάστημα	интервал
διάστημα	простор
διάστημα	вселена
διάστημα	просторот
οικογένεια	семејство
οικογένεια	фамилијарно
οικογένεια	фамилијарна
οικογένεια	фамилија
μέτρα	мерки
σημαίνει	значи
πέντε	пет
πέντε	петмина
πέντε	five
παραπάνω	над
παραπάνω	погоре
παραπάνω	наведените
παραπάνω	одозгора
υπουργός	министер
υπουργός	министерката
υπουργός	министерка
σεζόν	сезона
πρότυπο	модел
πρότυπο	шаблон
πρότυπο	образец
πρότυπο	стандард
πρότυπο	стандардна
πρότυπο	стандардни
πρότυπο	стандарден
πρότυπο	стандардно
αριθμός	број
θάνατο	смрт
θάνατο	смртта
εταιρεία	компанија
σώμα	тело
σώμα	кор
σώμα	корпус
πρωτεύουσα	престолнина
πρωτεύουσα	капитал
παράλληλα	паралелно
παράλληλα	паралела
παράλληλα	паралелен
παράλληλα	паралелни
παράλληλα	паралелна
σύνολο	вкупно
σύνολο	вкупен
σύνολο	тотал
σύνολο	вкупна
γνωστή	позната
γνωστή	познати
γνωστή	познат
κατάσταση	статус
κατάσταση	ситуација
κατάσταση	услов
κατάσταση	состојба
νησί	островот
νησί	остров
επίπεδο	ниво
επιτυχία	успех
επιτυχία	успеси
γερμανία	germany
γερμανία	германија
άλλους	друѓи
άλλους	други
πίσω	грб
πίσω	назад
δημιουργία	создај
δημιουργία	креирање
δημιουργία	создавање
δημιουργία	креирање
δημιουργία	креација
αρχή	почни
αρχή	почеток
αρχή	старт
αρχή	почеток
αρχή	начело
αρχή	принцип
αρχή	авторитет
αρχή	власт
αρχή	овластувања
αρχή	управа
άδεια	лиценца
άδεια	дозвола
άδεια	дозвола
άδεια	лиценца
άδεια	дозвола
άδεια	празно
άδεια	празен
άδεια	празна
άδεια	испразни
άδεια	празни
σου	сју
σου	тужи
επιπλέον	дополнително
επιπλέον	дополнителни
επιπλέον	дополнителна
επιπλέον	додатни
επιπλέον	дополнителен
περισσότερα	уште
περισσότερα	повеќе
ανάπτυξη	развој
ανάπτυξη	растење
ανάπτυξη	пораст
ανάπτυξη	раст
ανάπτυξη	растеж
φάση	фаза
αυτόν	него
αυτόν	го
συγγραφέας	писателка
συγγραφέας	писател
συγγραφέας	автор
άγιος	агиос
άγιος	светец
άγιος	свети
άγιος	сеинт
άγιος	света
γ΄	iii
τραγούδι	пеам
τραγούδι	пеејќи
τραγούδι	пее
τραγούδι	пеат
τραγούδι	пеење
τραγούδι	песна
κόρη	ќерко
κόρη	ќерка
πάλι	повторно
πάλι	одново
πάλι	пак
επαρχία	покраина
επαρχία	провинција
επαρχία	покраината
ιωάννης	јован
ιωάννης	џон
ιωάννης	јоанис
θεσσαλονίκη	солун
αγγλικά	англиски
άλλοι	друѓи
άλλοι	други
κέρδισε	победи
κέρδισε	победуваат
κέρδισε	победа
κέρδισε	добиена
κέρδισε	победи
κέρδισε	освои
κέρδισε	победија
κέρδισε	освоено
βασίλειο	кралство
βασίλειο	царство
σκοπό	намена
συνολικά	вкупно
συνολικά	вкупен
συνολικά	тотал
συνολικά	вкупна
συνολικά	севкупно
συνολικά	општо
γνωστός	позната
γνωστός	познати
γνωστός	познат
γνωστός	познаник
πληροφορίες	инфо
πληροφορίες	информации
πληροφορίες	информација
πληροφορίες	информации
εθνικό	национални
εθνικό	национална
εθνικό	национален
εθνικό	национално
καριέρα	кариера
ποτέ	никогаш
ποτέ	некогаш
ποτέ	некад
τέλη	хонорар
τέλη	давачки
τέλη	такса
τέλη	давачки
πλευρά	страната
πλευρά	страна
διάφορες	разни
ανήκει	припаѓа
πρόγραμμα	програм
πρόγραμμα	програма
πρόγραμμα	распоред
πρόγραμμα	програма
χιλιόμετρα	мајлс
χιλιόμετρα	милји
χιλιόμετρα	km
χιλιόμετρα	километража
κάτοικοι	жители
κάτοικοι	жителите
κάτοικοι	жители
άρθρα	статии
άρθρα	натписи
άρθρα	артикли
άρθρα	написи
γεώργιος	јоргос
γεώργιος	џорџ
γεώργιος	џорџе
γεώργιος	george
τύπου	печат
τύπου	притиснете
τύπου	прес
τύπου	тип
δημοκρατία	република
δημοκρατία	republic
δημοκρατία	републиката
δημοκρατία	демократија
πόλεμος	војна
εφημερίδα	весник
εφημερίδα	весници
μικρό	малечко
μικρό	мала
μικρό	мал
μικρό	мали
μικρό	мало
μικρό	мала
μικρό	мал
μικρό	литл
μικρό	мали
μικρό	малку
μικρό	мало
τόπος	место
τόπος	локација
ονομάζεται	повика
συγκεκριμένα	специфична
συγκεκριμένα	специфично
συγκεκριμένα	специфични
συγκεκριμένα	конкретни
συγκεκριμένα	специфичен
συγκεκριμένα	одредено
συγκεκριμένα	поточно
συγκεκριμένα	специфично
συγκεκριμένα	конкретно
είδη	врсти
είδη	видови
πηγή	извор
κάποιος	некој
κάποιος	некого
κάποιος	некому
κάποιος	некој
ιταλία	италија
πατέρας	татка
πατέρας	татко
κατηγορίες	обвиненија
κατηγορίες	категории
αναφέρει	спомнува
αναφέρει	споменува
ποδόσφαιρο	фудбал
ποδόσφαιρο	фудбал
θέσεις	положби
θέσεις	позиции
θέσεις	објави
θέσεις	места
θέσεις	седишта
περισσότερες	уште
περισσότερες	повеќе
έκταση	опсег
έκταση	опфат
έκταση	мера
έκταση	област
έκταση	подрачје
γενικά	севкупно
γενικά	општо
γενικά	генерално
γενικά	општо
γενικά	општи
γενικά	општа
γενικά	општо
γενικά	генерал
σημαντικό	важна
σημαντικό	битно
σημαντικό	важно
σημαντικό	битен
σημαντικό	важни
νίκη	победи
νίκη	победуваат
νίκη	победа
νίκη	победа
νίκη	победата
νίκη	победничка
νίκη	победнички
μικρή	малечко
μικρή	мала
μικρή	мал
μικρή	мали
μικρή	мало
μικρή	мала
μικρή	мал
μικρή	литл
μικρή	мали
μικρή	малку
μικρή	мало
έτη	години
πατέρα	татка
πατέρα	татко
αμερικανός	американска
αμερικανός	американски
αμερικανός	американец
τελικό	final
τελικό	финална
τελικό	конечен
τελικό	конечна
πάντα	секогаш
συγκρότημα	бенд
συγκρότημα	комплекс
συγκρότημα	комплексен
παραγωγής	продукција
παραγωγής	производство
ίσως	можеби
ίσως	можеби
επόμενη	следниот
επόμενη	следна
επόμενη	следно
επόμενη	следни
επόμενη	следен
στιγμή	момент
στιγμή	moment
μήνες	месеци
αποτελείται	составено
αποτελείται	составен
αποτελείται	составена
αποτελείται	составени
θεωρία	теорија
ύψος	висина
ύψος	височина
ύψος	висина
πολλοί	многумина
όλοι	сите
όλοι	сите
όλοι	секого
τώρα	сега
προπονητής	тренер
προπονητής	тренерот
θέατρο	театар
θέατρο	театар
σημαντική	важна
σημαντική	битно
σημαντική	важно
σημαντική	битен
σημαντική	важни
σημαντική	значајни
σημαντική	значителна
σημαντική	значајно
σημαντική	значајна
σημαντική	значителен
σημαντική	значаен
ημέρα	ден
διάφορα	разно
επέστρεψε	вратен
επέστρεψε	вратени
παρέμεινε	останаа
παρέμεινε	останале
παρέμεινε	остана
κατέκτησε	освоени
κατέκτησε	освоен
θέματα	теми
θέματα	темите
θέματα	теми
θέματα	прашања
στάδιο	стадион
στάδιο	бина
στάδιο	етапа
στάδιο	фаза
χωριά	села
επίθεση	напад
επίθεση	атак
επίθεση	напад
τραγούδια	песни
έδωσε	дале
έδωσε	даде
έδωσε	дал
έδωσε	дадов
έδωσε	дадоа
πληθυσμός	популација
πληθυσμός	население
λέξη	збор
κατάφερε	управувани
κατάφερε	успеаа
κατάφερε	успеа
κατάφερε	успеала
προβλήματα	проблеми
δύναμη	снага
δύναμη	сила
δύναμη	силата
δύναμη	сила
δύναμη	присили
δύναμη	моќ
δύναμη	власт
δύναμη	моќност
επανάσταση	револуција
τύπος	печат
τύπος	притиснете
τύπος	прес
τύπος	формула
τύπος	тип
εκατομμύρια	милион
εκατομμύρια	милиони
εκατομμύρια	милионски
εκατομμύρια	милиони
τέσσερις	four
τέσσερις	четри
τέσσερις	четири
τέσσερις	четворица
πορεία	курс
μέση	средина
μέση	среден
μέση	просечен
μέση	просечни
μέση	просечно
μέση	просек
μέση	просечна
μέση	половината
πρόβλημα	проблем
πρόβλημα	неволја
πρόβλημα	проблем
πρόβλημα	проблеми
άνω	горна
άνω	горен
νερό	вода
νερό	воден
αγωνίστηκε	бореше
τοπική	локален
τοπική	локално
τοπική	локални
τοπική	локална
περιφέρεια	регион
περιφέρεια	реон
περιφέρεια	округ
παρουσία	присутност
παρουσία	присуство
μητέρα	мајко
μητέρα	мајката
μητέρα	мајка
έξι	шестмина
έξι	six
έξι	шест
δομή	структура
παρίσι	париз
έγραψε	напиша
έγραψε	пишувал
έγραψε	напишаа
έγραψε	напишал
έγραψε	напишав
κατασκευή	производство
κατασκευή	изградбата
κατασκευή	градба
κατασκευή	градење
κατασκευή	градежништво
κατασκευή	конструкција
κατασκευή	изградба
περιέχει	содржи
περιπτώσεις	случаи
περιπτώσεις	случаеви
ημέρες	денови
ημέρες	дена
μαρία	марија
μερικές	некои
τιμή	цена
τιμή	вредност
διαδικασία	процес
διαδικασία	процесот
διαδικασία	постапка
διαδικασία	процедура
διαδικασία	постапка
κοινό	публика
διαγραφή	бришење
διαγραφή	избриши
απογραφή	попис
απογραφή	попис
απογραφή	инвентар
συλλογή	збирка
συλλογή	колекција
τρίτη	вторник
τρίτη	трета
τρίτη	трет
τρίτη	трето
τρίτη	трети
τρίτη	третиот
παρακάτω	подолу
ναός	храмот
ναός	темпл
ναός	храм
βοήθεια	помош
βοήθεια	помагаат
βοήθεια	помош
απόσταση	оддалеченост
απόσταση	растојание
απόσταση	далечина
απόσταση	опсег
νέων	младински
νέων	младинска
νέων	младост
νέων	младоста
νέων	млади
νέων	младина
αμέσως	веднаш
αμέσως	одма
αναφορά	пријави
αναφορά	извештај
αναφορά	референца
αναφορά	референтна
ποδοσφαιριστής	фудбалерот
ποδοσφαιριστής	фудбалер
δράση	дејство
δράση	акција
λιγκ	лига
απλά	само
γιώργος	јоргос
γιώργος	џорџ
γιώργος	џорџе
γιώργος	george
γιώργος	јоргос
κανείς	никој
γεγονότα	факти
γεγονότα	настани
σύντομο	кратки
σύντομο	кратко
σύντομο	кратка
σύντομο	краток
σύντομο	кус
κράτος	состојба
κράτος	држава
κωνσταντίνος	константинос
κωνσταντίνος	константин
στρατό	армија
στρατό	војска
αγία	светец
αγία	свети
αγία	сеинт
αγία	света
αποτελέσματα	резултати
ιστορικό	подлога
ιστορικό	заднина
ιστορικό	позадина
ιστορικό	историја
σπίτι	дом
σπίτι	дома
σπίτι	домот
σπίτι	home
σπίτι	куќа
σπίτι	хаус
τζον	јован
τζον	џон
τζον	џон
αρκετές	неколку
τμήματα	поделби
τμήματα	дивизии
τμήματα	сегменти
τμήματα	оддели
τμήματα	секции
λειτουργία	функција
λειτουργία	режим
λειτουργία	операција
λειτουργία	операцијата
βιβλία	книги
πρωθυπουργός	премиер
κείμενο	текст
γραμμή	линија
σχέδιο	проект
σχέδιο	нацртот
σχέδιο	нацрт
σχέδιο	дизајн
σχέδιο	проектирање
σχέδιο	планираат
σχέδιο	план
βουλευτής	членка
βουλευτής	член
γη	земја
γη	земјата
γη	земјо
γη	ланд
γη	копно
γη	земјиште
χρήστες	корисници
εμφανίζεται	прикажана
εμφανίζεται	прикажани
ξανά	повторно
ξανά	одново
ξανά	пак
αυτοί	тие
αυτοί	они
χρήστης	кориснички
χρήστης	корисник
χρήστης	корисникот
θάλασσα	море
χρησιμοποιούνται	искористен
χρησιμοποιούνται	користени
χρησιμοποιούνται	користена
χρησιμοποιούνται	искористена
χρησιμοποιούνται	користен
καλύτερη	подобри
καλύτερη	подобра
καλύτερη	подобар
καλύτερη	подобро
πολιτείες	државите
πολιτείες	држави
χρήστη	кориснички
χρήστη	корисник
χρήστη	корисникот
πληθυσμού	популација
πληθυσμού	население
εξουσία	авторитет
εξουσία	власт
εξουσία	овластувања
εξουσία	управа
εξουσία	моќ
εξουσία	власт
εξουσία	моќност
καλοκαίρι	лето
παράδοση	достава
παράδοση	испорака
παράδοση	предадете
παράδοση	предавање
παράδοση	традицијата
παράδοση	традиција
άνδρες	мажи
άνδρες	мажите
άνδρες	луѓе
άνδρες	машки
δίνει	дава
όσκαρ	оскарите
όσκαρ	оскари
όσκαρ	оскар
όσκαρ	оскар
ακριβώς	точно
γυναίκα	жената
γυναίκα	жено
γυναίκα	жена
γυναίκα	женка
γυναίκα	женско
γυναίκα	женски
γυναίκα	женска
γυναίκα	сопруга
γυναίκα	жена
κλπ	итн
κλπ	сл
περιοδικό	магазин
περιοδικό	списание
κατάλογος	именик
κατάλογος	папка
κατάλογος	листа
κατάλογος	список
κεντρική	централно
κεντρική	централен
κεντρική	централа
κεντρική	централна
ακολούθησε	следете
ακολούθησε	следи
ακολούθησε	follow
ακολούθησε	следев
ακολούθησε	следена
ακολούθησε	следени
ακολούθησε	следеше
γλώσσες	јазици
νησιά	острови
χρώμα	боја
χρώμα	боја
διεθνής	international
διεθνής	меѓународна
διεθνής	интернационална
διεθνής	меѓународни
διεθνής	меѓународен
αμερική	америка
γυναίκες	жени
γυναίκες	женски
γυναίκες	жените
μονή	манастир
μονή	манастир
σπούδασε	студираше
σπούδασε	студирал
σπούδασε	учела
κύρια	главни
κύρια	главен
κύρια	главна
κύρια	главното
πρότυπα	обрасци
πρότυπα	стандарди
δημιουργήθηκε	создадено
δημιουργήθηκε	создадени
δημιουργήθηκε	креирано
δημιουργήθηκε	создадена
δημιουργήθηκε	создаден
μικρά	малечко
μικρά	мала
μικρά	мал
μικρά	мали
μικρά	мало
σχέσεις	односи
σχέσεις	односи
εμφάνιση	покажи
εμφάνιση	прикажи
εμφάνιση	прикажи
