gloria	gloria
ridades	randurile
kõrgele	high
kõrgele	inalta
kõrgele	inalta
dakota	dakota
rey	rey
dresdeni	dresda
katastroofi	dezastrul
katastroofi	dezastru
muusikal	muzical
muusikal	musical
nigeri	niger
satelliit	satelitul
satelliit	satelit
rick	rick
poom	boom
poom	bum
astronaut	astronautul
astronaut	astronaut
unenägu	visul
unenägu	vis
unenägu	viseaza
unenägu	viseaza
suundumused	tendintele
herakles	hercules
herakles	hercule
aspekte	aspecte
lootes	sperand
andersen	andersen
firmad	societati
firmad	firme
firmad	firmele
firmad	societati
firmad	companii
firmad	companiile
michelangelo	michelangelo
võti	cheie
võti	tasta
võti	cheia
kliiniline	clinica
kliiniline	clinic
kliiniline	clinice
väljatöötamine	dezvoltarea
välised	extern
välised	externe
välised	externi
välised	externa
välised	exterior
välised	exterioare
välised	exteriorul
välised	exterioara
välised	exterior
võõras	strain
võõras	strain
tuttav	familiar
tuttav	familiara
tuttav	familiare
tuttav	cunostinta
tuttav	cunostinta
madalamad	inferioara
baltimore	baltimore
päevik	journal
päevik	jurnalul
päevik	jurnal
päevik	jurnalul
päevik	jurnal
platvorm	platforma
platvorm	platforma
paradigma	paradigma
nähtavad	vizibila
nähtavad	vizibile
nähtavad	vizibil
emilia	emilia
metallica	metallica
pidu	party
pidu	petrecere
pidu	partid
meeleolu	dispozitie
sata	sata
sidus	coerent
sidus	coerente
sidus	coerenta
alternatiiv	alternative
alternatiiv	alternativa
alternatiiv	alternativ
alternatiiv	alternativa
alternatiiv	supleant
alternatiiv	alternativ
hiv	hiv
tarn	tarn
disainitud	proiectat
disainitud	proiectata
disainitud	conceput
disainitud	proiectate
disainitud	concepute
geneetika	genetica
geneetika	genetica
gov	gov
adolph	adolph
täitnud	indeplinit
täitnud	implinita
täitnud	implinit
täitnud	indeplinite
ingel	inger
ingel	inger
ingel	angel
kohane	adecvata
kohane	corespunzatoare
kohane	corespunzator
kohane	adecvat
enrico	enrico
cfg	cfg
vangistatud	capturat
vangistatud	capturata
vangistatud	capturate
vaatas	urmarit
vaatas	urmarita
vaatas	privit
vaatas	supravegheata
rev	rev
akna	fereastra
akna	fereastra
akna	geam
maximus	maximus
meelega	deliberat
samsung	samsung
clemente	clemente
variandid	variante
variandid	variantele
hüüdnime	porecla
hüüdnime	porecla
pühak	sfant
pühak	sfantul
pühak	sfantul
pühak	saint
craig	craig
honda	honda
florence	florenta
florence	florenta
florence	florence
florence	florenta
reporter	reporterul
reporter	reporter
geoloogiline	geologica
geoloogiline	geologic
geoloogiline	geologice
geoloogiline	geologica
geoloogiline	geologic
geoloogiline	geologice
hampshire	hampshire
jutud	povestiri
jutud	povesti
jutud	povesti
atmosfäär	atmosfera
atmosfäär	atmosfera
lahinguid	batalii
lahinguid	bataliile
sissetulek	venitul
sissetulek	venituri
sissetulek	veniturile
ületanud	depasit
lame	plate
lame	plat
elena	elena
loata	neautorizate
loata	neautorizat
loata	neautorizata
loata	neautorizate
loata	neautorizat
loata	neautorizata
brand	brand
brand	marca
brand	marca
augustin	augustin
võrgus	online
kasutamata	neutilizata
kasutamata	neutilizat
kasutamata	neutilizate
kasutamata	nefolosite
hunter	vanator
hunter	vanator
hunter	hunter
hunter	vanatorul
nõutud	solicitate
nõutud	solicitat
nõutud	cerut
nõutud	solicitata
nõutud	obligatoriu
nõutud	necesare
nõutud	necesara
nõutud	necesar
moodul	modul
moodul	modulul
han	han
chapelle	chapelle
täide	paduchi
mungad	calugari
mungad	calugarii
sauna	sauna
sauna	sauna
ameeriklane	american
ameeriklane	americana
ameeriklane	americanca
hinnad	preturile
hinnad	preturi
hinnad	preturi
diktaator	dictator
diktaator	dictatorul
meta	meta
lane	lane
armastatud	iubita
armastatud	iubit
eesistuja	presedinte
eesistuja	presedinte
ragnar	ragnar
canterbury	canterbury
kulu	costuri
kulu	costul
kulu	cost
kulu	cheltuiala
kulu	cheltuiala
kulu	cheltuieli
ettepanekuid	propuneri
ettepanekuid	propunerile
tagajärg	consecinta
tagajärg	consecinta
julge	curajos
julge	indrazni
julge	indraznesc
julge	indrazneala
tasane	plate
tasane	plat
mune	oua
mune	oua
mune	ouale
mõjuvõimu	imputernicire
mõjuvõimu	emanciparea
konkreetsete	specific
konkreetsete	specifica
konkreetsete	specifice
olli	olli
voyager	voyager
jõulud	craciunul
jõulud	craciun
jõulud	craciun
jõulud	craciunul
plus	plus
nõbu	varul
nõbu	vere
nõbu	vere
klaviatuuri	tastatura
klaviatuuri	tastatura
ökosüsteemi	ecosistemului
ökosüsteemi	ecosistem
aurora	aurora
kirgiisi	kargazstan
stanislav	stanislav
spencer	spencer
kõneleja	difuzor
kõneleja	orator
kõneleja	speaker
kõneleja	vorbitor
kõneleja	vorbitor
terminoloogia	terminologia
terminoloogia	terminologie
nokk	cioc
nokk	ciocul
hirv	cerbi
hirv	caprioare
hirv	cerb
hirv	caprioara
jefferson	jefferson
tunnel	tunelul
tunnel	tunel
mahajäetud	abandonat
mahajäetud	abandonata
mahajäetud	abandonate
mahajäetud	abandonata
kiired	raze
kiired	razele
bagdadi	bagdad
leib	paine
leib	paine
leib	painea
lendavad	zburand
lendavad	zbor
isabel	isabel
edvard	edvard
secret	secreta
secret	secret
secret	secreta
secret	secrete
secret	secretul
laagris	tabara
laagris	camp
laagris	tabara
laagris	lagar
laagris	tabara
snake	sarpele
snake	sarpe
snake	sarpe
snake	snake
avaldus	declaratie
avaldus	declaratia
kontor	oficiu
kontor	biroul
kontor	oficiul
kontor	birou
oskus	maiestrie
oskus	abilitate
oskus	indemanare
emily	emily
aldo	aldo
väljendus	expresia
väljendus	exprimare
väljendus	expresie
kattis	acoperit
kattis	acoperita
kattis	acoperite
kahur	cannon
kahur	tun
kahur	tunul
esitus	prezentare
esitus	prezentarea
esitus	spectacole
tervist	sanatate
tervist	sanatatea
tervist	sanatate
toodang	producere
toodang	productie
toodang	productia
toodang	productie
dante	dante
bordeaux	bordeaux
nuku	papusa
nuku	papusa
stsenaarium	scenariul
stsenaarium	scenariu
õigustada	justifica
õigustada	justifica
kaar	arc
kaar	arch
skp	pib
autod	masini
autod	masini
autod	masini
oranž	orange
oranž	portocala
oranž	portocaliu
oranž	portocalie
ideaalne	perfect
ideaalne	perfecte
ideaalne	perfecta
ideaalne	perfecta
ideaalne	ideala
ideaalne	ideal
ideaalne	ideala
ideaalne	ideale
leedulased	lituanieni
ani	ani
serv	marginea
serv	edge
serv	margine
serv	muchie
muster	tipar
castle	castle
castle	castel
castle	castelul
identiteet	identitate
identiteet	identitatea
zhang	zhang
geoffrey	geoffrey
zhou	zhou
ainulaadne	unicat
ainulaadne	unic
ainulaadne	unice
ainulaadne	unici
ainulaadne	unica
algataja	initiatoare
algataja	instigator
sissetung	invazia
sissetung	invazie
sissetung	intruziune
vastuluure	contraspionaj
avastamise	detectie
avastamise	detectarea
avastamise	detectare
avastamise	depistarea
altari	altarul
altari	altar
magneesiumi	magneziu
mona	mona
grey	grey
grey	gri
teresa	teresa
teresa	tereza
luca	luca
oskused	skills
oskused	aptitudini
oskused	competente
oskused	abilitate
oskused	indemanare
solomon	solomon
intervall	intervalul
intervall	interval
oklahoma	oklahoma
leopard	leopardul
leopard	leopard
osaka	osaka
rikkumise	incalcare
kusagil	undeva
vastused	raspunsuri
vastused	raspunsurile
vastused	raspunsuri
vastused	raspunsuri
vastused	raspunsurile
vastused	raspunsuri
vastused	raspunsurile
tundeid	sentimente
tundeid	sentimentele
hannah	hannah
trotski	trotsky
esitamine	depunerea
esitamine	supunere
esitamine	depunere
järjekord	coada
järjekord	coada
järjekord	comanda
järjekord	ordinea
järjekord	comanda
järjekord	ordine
järjekord	ordin
geneetik	genetician
motoriseeritud	motorizat
franklini	franklin
karistus	penalty
karistus	pedeapsa
karistus	pedeapsa
karistus	penalizare
karistus	pedeapsa
karistus	pedeapsa
montgomery	montgomery
eripära	particularitatile
ilmnes	manifestat
kuulnud	auzit
aspekt	aspect
benedict	benedict
filter	filtru
filter	filtrare
filter	filtreaza
filter	filtrul
lindi	banda
lindi	banda
lindi	caseta
terje	terje
milton	milton
vinci	vinci
pol	pol
pan	tigaie
pan	pan
reguleeritud	reglata
reguleeritud	reglementate
reguleeritud	reglementat
reguleeritud	reglementata
lendu	zborul
lendu	zbor
augsburgi	augsburg
stephan	stephan
abstraktne	abstract
abstraktne	abstracta
plaanitud	planificate
plaanitud	planuit
plaanitud	planificat
plaanitud	planificata
valle	valle
puudused	deficiente
puudused	slabiciuni
puudused	deficiente
puudused	slabiciunile
todd	todd
olympic	olimpice
olympic	olimpic
olympic	olympic
wilde	wilde
leiba	paine
leiba	paine
leiba	painea
kontserdid	concertele
kontserdid	concerte
newcastle	newcastle
õpetlane	savant
volinik	comisarul
volinik	comisar
pioneer	pionier
ravenna	ravenna
arendus	dezvoltarea
arendus	elaborare
arendus	dezvoltare
raskused	dificultate
raskused	dificultati
raskused	dificultatea
raskused	dificultatile
raskused	dificultati
raskused	quagmire
sotsialismi	socialismul
grupid	grupe
grupid	grupuri
grupid	grupurile
grupid	grupari
nael	unghii
nael	unghiilor
nael	unghie
nürnbergi	nuremberg
veerand	trimestrul
veerand	trimestru
veerand	sfert
püssi	pusca
püssi	pusca
irl	irl
konstrueeritud	construite
konstrueeritud	construita
anglikaani	anglicana
mix	amesteca
mix	amestec
mix	amesteca
mix	mix
vari	shadow
vari	umbra
vari	umbra
grete	grete
derek	derek
vesinik	hidrogen
vesinik	hidrogenul
usd	usd
reed	trestie
reed	reed
motiiv	motivul
motiiv	motiv
motiiv	caracteristica
motiiv	caracteristica
motiiv	trasatura
usbeki	uzbec
björn	bjorn
björn	björn
veebisait	website
adobe	adobe
oswald	oswald
galileo	galileo
liigne	excesiv
liigne	excesive
liigne	excesiva
kuuli	glont
kuuli	bullet
evelyn	evelyn
serblased	sarbilor
serblased	sarbi
serblased	sarbii
rabas	moor
nahka	piele
nahka	pielea
hõim	tribul
hõim	trib
haydn	haydn
tiiger	tiger
tiiger	tigrul
tiiger	tigru
tiiger	tigger
rostovi	rostov
bahreini	bahrain
vega	vega
winkler	winkler
nõude	revendicare
nõude	revendica
võimed	abilitati
võimed	puterile
võimed	powers
võimed	puteri
võimed	competente
vastukaaluks	contrabalansa
küllastunud	saturate
küllastunud	saturat
ever	vreodata
raoul	raoul
kile	pelicula
kile	film
mägismaa	highlands
cohen	cohen
oodatud	asteptat
oodatud	asteptam
kartis	temut
marilyn	marilyn
osake	particule
osake	particula
osake	particula
sara	sara
zeus	zeus
energeetika	energia
energeetika	energie
act	actul
act	actioneaza
act	act
häda	calamitate
chang	chang
horst	horst
walt	walt
harmoonia	armonia
harmoonia	armonie
harmoonia	harmony
harmoonia	armonici
suhtumist	atitudini
mahler	mahler
muld	solul
muld	sol
muld	murdarie
muld	dirt
muld	soluri
pinged	tensiuni
pinged	tensiune
pinged	tensiunea
pinged	tensiuni
pinged	tensiunile
kontroller	controlor
bock	bock
arve	bill
arve	factura
arve	factura
arve	factura
tõstetud	crescuta
tõstetud	ridicata
tõstetud	crescut
austin	austin
klassid	clasele
klassid	clase
klassid	cursuri
laser	laserul
laser	laser
varese	varese
jessica	jessica
romaane	romanele
romaane	romane
hardcore	hardcore
laienemine	extinderea
laienemine	extindere
laienemine	expansiune
laienemine	extinderea
laienemine	expansiunea
laienemine	extindere
marguerite	marguerite
delegatsioon	delegatia
delegatsioon	delegarea
delegatsioon	delegare
col	col
molotovi	molotov
õiglus	dreptate
õiglus	dreptatea
õiglus	justitie
õiglus	justitie
õiglus	corectitudine
õiglus	corectitudinea
deutschland	deutschland
kolooniad	colonii
kolooniad	coloniile
ülalt	top
ülalt	topul
formaat	formatul
formaat	format
freudi	freudian
berger	berger
hannover	hanovra
vöönd	zona
vöönd	zona
pühitsetud	consacrat
hetk	moment
hetk	momentul
telefon	telefon
telefon	telefonul
telefon	telefon
carol	carol
arktika	arctica
arktika	arctic
arktika	arctica
locke	locke
spektri	spectrul
spektri	spectru
soomlased	finlandezi
mag	mag
minevik	trecutul
minevik	trecut
luksemburg	luxembourg
luksemburg	luxemburg
gerard	gerard
teadvus	constiinta
aadel	nobilimea
faktor	factorul
faktor	factor
tegur	factorul
tegur	factor
lepingud	contractele
lepingud	contracte
lepingud	tratate
lepingud	tratatele
lepingud	acorduri
lepingud	acordurile
curie	curie
veterinaaria	veterinar
veterinaaria	veterinare
veterinaaria	veterinara
räägi	vorbim
räägi	vorbeste
valima	alegeti
valima	alege
valima	selecteaza
valima	alegeti
valima	selectare
oksad	ramuri
oksad	crengi
oksad	sucursale
oksad	ramurile
portreed	portretele
portreed	portrete
lahkumine	plecare
lahkumine	plecarea
lahkumine	plecari
lahkumine	plecarea
eelistatud	preferat
demo	demo
demo	demonstratie
efektiivsus	randament
efektiivsus	eficienta
efektiivsus	eficienta
efektiivsus	eficienta
efektiivsus	eficacitate
efektiivsus	eficacitatea
efektiivsus	eficacitate
efektiivsus	eficacitatea
ülesehitus	reconstructie
ülesehitus	structura
ülesehitus	structura
ülesehitus	structurii
norbert	norbert
esperanto	esperanto
roth	roth
resolutsiooni	rezolutia
resolutsiooni	rezolutie
tuuri	excursii
tuuri	tururi
reformid	reforme
reformid	reformele
laskemoona	munitie
väljund	iesire
väljund	iesire
clara	clara
clara	clara
ligipääs	access
ligipääs	acces
ligipääs	accesul
psühholoogiline	psihologic
psühholoogiline	psihologica
psühholoogiline	psihologice
ekvatoriaal	ecuatoriala
tsivilisatsiooni	civilizatie
tsivilisatsiooni	civilizatia
tsivilisatsiooni	civilizatie
saun	sauna
saun	sauna
komponendi	componenta
komponendi	componenta
kirjutised	scrieri
kirjutised	scrierile
asendus	inlocuirea
asendus	inlocuitor
asendus	inlocuire
asendus	substitut
asendus	inlocuieste
asendus	inlocui
davidson	davidson
maksud	impozitele
maksud	impozite
maksud	taxe
maksud	taxele
elmo	elmo
päikest	soare
päikest	soarele
päikest	sun
päikest	soare
päikest	sunshine
berend	berend
võidetud	won
võidetud	castigat
võidetud	invinsa
võidetud	invins
võidetud	invins
võidetud	infrant
mõjukas	influente
mõjukas	influent
mõjukas	influenta
laua	tabelul
laua	masa
laua	masa
laua	tabel
illustraator	ilustrator
harta	carta
harta	carta
harta	charter
ursula	ursula
nõudmised	cereri
nõudmised	solicitari
nõudmised	cererile
kriteeriumid	criteriu
kriteeriumid	criteriile
kriteeriumid	criterii
allkiri	semnatura
allkiri	semnatura
allkiri	semnatura
maas	jos
ten	ten
ten	zece
otsustav	decisiv
otsustav	decisiva
otsustav	decisive
mainis	mentionat
meteoroloogia	meteorologie
stepan	stepan
demokraadid	democrat
näljahäda	foametea
näljahäda	foamete
vastuvõetud	acceptat
vastuvõetud	acceptate
vastuvõetud	acceptata
vastuvõetud	acceptata
vastuvõetud	adoptat
vastuvõetud	adoptata
xxiii	xxiii
teodor	teodor
baleriin	balerina
baleriin	balerina
ipod	ipod
krooniline	cronica
krooniline	cronic
krooniline	cronice
edwards	edwards
kraater	craterul
kraater	crater
leibkonna	gospodarie
kauge	distant
istus	sat
tapmist	macel
tapmist	sacrificare
claudio	claudio
coli	coli
ajakirjad	jurnale
ajakirjad	reviste
ajakirjad	revistele
turner	turner
nähtamatu	invizibili
nähtamatu	invizibila
nähtamatu	invizibile
nähtamatu	invizibil
nähtamatu	nevazut
nähtamatu	nevazute
nähtamatu	nevazuta
haamer	ciocanul
haamer	ciocan
haamer	hammer
jätkati	continuat
luxembourg	luxembourg
luxembourg	luxemburg
piip	beep
piip	bip
piip	pipe
piip	conducta
piip	pipa
piip	pipa
clément	clément
clément	clement
tõstmine	ridicare
tõstmine	ridicarea
connor	connor
kilogrammi	kilograme
kilogrammi	kilogram
baer	baer
sas	sas
raamatukogude	biblioteci
masti	catargul
masti	catarg
kümnes	zecime
kümnes	tenth
jahu	faina
jahu	faina
jahu	masa
jahu	masa
täiustatud	imbunatatit
täiustatud	avansata
täiustatud	avansate
täiustatud	avansat
blu	blu
zeusi	zeus
ajad	timpuri
ajad	timpurile
ajad	vremuri
ajad	times
marine	marin
marine	marina
marine	marine
volõõnia	volinia
agentuur	agentia
agentuur	agentie
agentuur	agentie
agentuur	agentia
kõrgustik	upland
entomoloog	entomolog
kuulis	auzit
rocca	rocca
mesopotaamia	mesopotamia
karabahhi	karabah
peegeldab	reflecta
blackberry	blackberry
uskumused	convingerile
uskumused	convingeri
nõid	vrajitoare
nõid	vrajitoare
maandus	aterizat
maandus	debarcat
sõltuvust	dependenta
sõltuvust	dependenta
sõltuvust	dependenta
steel	steel
steel	otel
steel	otel
isabella	isabella
mozilla	mozilla
teatab	anunta
teatab	declara
olivier	olivier
eurooplaste	europenilor
eurooplaste	europeni
eurooplaste	europenii
alexis	alexis
kohtunud	met
legaat	legatul
mürk	venin
mürk	veninul
mürk	otrava
mürk	otrava
emilie	emilie
igavesti	forever
heidi	heidi
unustatud	uitat
unustatud	uitata
unustatud	uitate
reform	reformei
reform	reforma
reform	reforma
tseremoonia	ceremonia
tseremoonia	ceremonie
tõlk	translator
tõlk	traducator
tõlk	interpret
registrisse	registru
registrisse	inregistreaza
registrisse	inregistrare
raadius	raza
raadius	raza
iowa	iowa
kasvajate	tumori
kasvajate	tumorile
antonius	antony
antonius	antoniu
jesse	jesse
walther	walther
murdis	falit
muudatus	modificarea
muudatus	amendament
muudatus	modificare
muudatus	amendamentul
muudatus	schimba
muudatus	schimbare
muudatus	schimba
muudatus	schimbarea
nõrgad	slaba
nõrgad	slabit
nõrgad	slab
nõrgad	slaba
einstein	einstein
ice	gheata
ice	gheata
ice	gheata
ice	ice
ice	gheata
kann	ulcior
santi	santi
juur	radacina
juur	root
juur	radacina
juur	radacina
tundlik	sensibile
tundlik	sensibila
tundlik	sensibila
tundlik	sensibil
elupaikade	habitatelor
elupaikade	habitate
elupaikade	habitat
elupaikade	habitatul
tõhus	eficiente
tõhus	eficienta
tõhus	eficient
tõhus	eficienta
tõhus	eficienta
tõhus	eficace
tõhus	eficient
tõhus	efectiva
kalduvus	tendinta
hingamisteede	respirator
hingamisteede	respiratorii
hingamisteede	respiratorie
täiendav	suplimentare
täiendav	suplimentar
täiendav	complementare
täiendav	complementar
täiendav	complementara
värvitud	vopsite
värvitud	vopsit
värvitud	pictate
värvitud	pictat
värvitud	pictata
värvitud	vopsit
värvitud	vopsite
ertshertsog	arhiducele
janne	janne
tööriist	instrument
tööriist	unealta
rikutud	corupta
rikutud	corupt
rikutud	ruinat
rikutud	ruinata
rikutud	incalcat
rikutud	violata
rikutud	violat
rikutud	incalcate
kohustuse	angajament
kohustuse	angajamentul
protesti	protest
protesti	protestul
protesti	protesteaza
hüppas	sarit
hüppas	sarit
tonga	tonga
edit	editare
edit	editeaza
gaboni	gabon
vaenlased	dusmani
vaenlased	inamici
vaenlased	dusmani
vaenlased	inamicii
khan	khan
terra	terra
doc	doc
eeldus	prezumtie
eeldus	premisa
mitmekordne	multiplu
mitmekordne	multipla
mitmekordne	multiple
haute	haute
kandidaadid	candidati
kandidaadid	candidati
kandidaadid	candidate
dom	dom
girls	fetele
girls	fete
girls	girls
girls	fetelor
césar	cesar
césar	césar
teras	steel
teras	otel
teras	otel
benedetto	benedetto
nool	sageata
nool	sageata
nool	sageata
nool	arrow
veronika	veronika
tasand	nivelul
tasand	nivel
eeskiri	regulament
eeskiri	regulamentul
eeskiri	reglementare
eeskiri	reglementarea
eeskiri	regula
eeskiri	regula
allveelaeva	submarinul
allveelaeva	submarin
detailid	detaliile
detailid	detalii
unikaalne	unicat
unikaalne	unic
unikaalne	unice
unikaalne	unici
unikaalne	unica
švaabimaa	suabia
arkadi	arkady
kasvatatud	cultivate
kasvatatud	crescut
kasvatatud	crescuta
kasvatatud	ridicata
