einstein	ஐன்ஸ்டீன்
zaposlene	பணியாளர்களின்
zaposlene	ஊழியர்களும்
zaposlene	பணியாளர்கள்
jelen	மான்
houston	ஹூஸ்டன்
sullivan	சல்லிவன்
geolog	புவியியலாளர்
centralno	சென்ட்ரல்
centralno	மத்திய
ohrani	தொடர்ந்து
ohrani	கொண்டே
ohrani	பராமரிக்க
sanj	கனவுகள்
sanj	கனவுகளும்
sanj	கனவுகளை
leseno	மர
leseno	மரம்
gene	மரபணு
skrivaj	ரகசியமாக
skrivaj	இரகசியமாக
trupa	torso
sporno	சர்ச்சைக்குரிய
subjekt	பொருள்
apr	ஏப்
apr	ஏப்ரல்
leslie	லெஸ்லி
žile	நரம்புகள்
daljnogled	தொலைநோக்கி
specifični	குறிப்பான
specifični	குறிப்பிட்ட
rane	புண்
rane	காயத்தை
rane	காயம்
rane	காயங்கள்
rane	காயங்களை
trdne	பரு
trdne	திடமான
trdne	திடம்
trdne	சாலிட்
profesionalno	தொழில்முறை
profesionalno	தொழில்முறையில்
branilec	பண்டிதர்
švico	சுவிட்சர்லாந்து
švico	சுவிச்சர்லாந்து
obrti	கைத்தொழில்கள்
akt	சட்டம்
akt	செயல்படுங்கள்
spremljanje	கண்காணிப்பு
spremljanje	நோட்டம்
demokracija	நாயகம்
demokracija	ஜனநாயகம்
demokracija	மக்களாட்சி
wang	வாங்
leipzig	லீப்சிக்
dežja	மழை
okrogle	வட்ட
uporabljeno	பயன்படுத்தப்பட்டது
uporabljeno	பயன்படுத்திய
uporabljeno	பயன்படுத்தியது
four	நான்கு
zaposlena	busy
oxfordu	ஆக்ஸ்ஃபோர்டு
čista	தூய்மையான
čista	தூய்மை
čista	தூய
zmaja	பட்டம்
zmaja	பருந்து
deseto	பத்தாவது
deseto	பத்தாம்
flora	flora
nevarna	ஆபத்தானது
nevarna	அபாயகரமானது
nevarna	ஆபத்தான
pekel	நரகம்
trgovanje	வணிகம்
trgovanje	வர்த்தகம்
epizoda	எபிசோட்
epizoda	அத்தியாயம்
ran	காயங்கள்
ran	காயங்களை
aluminij	அலுமினியம்
kanadsko	கனடிய
kanadsko	கனேடிய
popotnik	traveller
moment	தருணம்
moment	கணம்
semen	விதை
semen	விதைகள்
standardi	தரநிலைகளை
standardi	தரநிலைகளைப்
standardi	தரநிலைகள்
garden	தோட்டத்தில்
garden	தோட்டம்
težavo	பிரச்சனை
težavo	பிரச்சினை
težavo	சிக்கல்
brezplačno	இல்லாத
brezplačno	இலவசம்
brezplačno	இலவச
kandidatov	வேட்பாளர்கள்
televizijo	தொலைக்காட்சி
glenn	கிளென்
glenn	கிளென்
odkrita	கண்டுபிடிக்கப்பட்ட
odkrita	கண்டுபிடிக்கப்பட்டது
odkrita	கண்டறியப்பட்டுள்ளது
odkrita	கண்டறியப்பட்டது
bližje	அருகாமையில்
obraza	முகம்
obraza	முக
produkti	பொருட்கள்
produkti	தயாரிப்புகள்
berry	பெர்ரி
železna	இரும்பு
strehe	கூரை
zastrupitev	poisoning
gas	வாயு
gas	கேஸ்
gas	எரிவாயு
niki	நிக்கி
rojene	பிறந்தது
rojene	பிறப்பு
rojene	பிறந்து
polobli	அரைக்கோளம்
zaprti	மூடப்பட்ட
zaprti	மூடிய
zaprti	மூடியது
zaprti	மூடப்பட்டது
zaprti	மூடப்பட்டுள்ளது
testi	தேர்வுகள்
testi	சோதனைகள்
najmočnejši	வலிமையான
zdravi	ஆரோக்கியமாக
zdravi	ஆரோக்கியமான
zdravi	ஆரோக்கியமானது
zdravi	ஆற்றும்
pariški	பாரிஸ்
madison	மேடிசன்
delle	delle
operator	ஆபரேட்டர்
pasme	இனம்
pasme	இனப்பெருக்கம்
pasme	இனங்கள்
stabilen	பந்தத்தில்
cat	பூனையை
cat	பூனை
grafični	கிராபிக்
grafični	கிராஃபிக்
oddaljeno	ரிமோட்
oddaljeno	தொலை
oddaljeno	தொலைநிலை
oddaljeno	புற
kemična	ரசாயன
kemična	ரசாயனம்
kemična	கெமிக்கல்
spremenjena	திருத்தப்பட்டது
spremenjena	மாற்றப்பட்டது
spremenjena	மாற்றப்பட்ட
cerro	செர்ரோ
enotnost	ஒற்றுமையே
enotnost	ஒற்றுமை
prometni	டிராஃபிக்
globalno	உலகளவில்
globalno	உலகம்
globalno	உலக
globalno	உலகளாவிய
opozorilo	எச்சரிக்கை
opozorilo	அச்சில்
katerikoli	ஏதாவது
katerikoli	ஏதேனும்
katerikoli	எந்த
avtoceste	நெடுஞ்சாலைகள்
redna	வழக்கமானது
redna	வழக்கம்
redna	வழக்கமான
darilo	பரிசு
darilo	அன்பளிப்பு
jorge	ஜோர்ஜ்
potomcev	சந்ததி
euler	ஆய்லர்
aretiran	கைது
aretiran	கைது
harper	ஹார்ப்பர்
sloves	புகழை
ugodno	சாதகமானது
dihal	சுவாச
ovire	தடைகள்
cole	கோல்
čile	சிலி
piva	பியர்
piva	பீர்
zaklad	புதையல்
zaklad	பொக்கிஷம்
odstop	ராஜினாமா
finančna	பொருளாதாரம்
razsežnost	பரிமாணம்
zabavo	விருந்து
zabavo	கொண்டாட்டம்
zabavo	கட்சி
zabavo	பார்ட்டி
zabavo	கேளிக்கை
konvencije	மாநாடு
konvencije	கருத்தரங்கம்
konvencije	நியதி
zbirajo	சேகரிக்க
zbirajo	திரட்டு
zbirajo	சேர்த்தல்
nepravilno	தவறான
nepravilno	வழக்கத்தில்
spusti	விடு
spusti	துளி
connecticut	கனெடிகட்
vodilna	வழிகாட்டும்
pakistan	பாகிஸ்தான்
pakistan	பாக்கிஸ்தான்
srečen	சந்தோஷமாக
srečen	இனிய
srečen	மகிழ்ச்சி
srečen	மகிழ்வான
pionir	முன்னோடி
demo	டெமோ
württemberg	வுயர்ட்டம்பெர்கு
natančen	துல்லியமாக
natančen	துல்லியமான
balet	ballet
balet	பாலே
aparat	உபகரணம்
warwick	வார்விக்
mrk	கிரகணம்
ekonomija	பொருளியல்
ekonomija	பொருளாதாரம்
ekonomija	பொருளாதார
ekonomija	பொருளாதாரம்
bello	பெல்லோ
bello	பெல்லா
bogastva	செல்வமும்
bogastva	செல்வம்
bogastva	செல்வமும்
bogastva	வளம்
gole	bare
zvest	விசுவாசமான
zvest	விசுவாசமாக
zvest	நம்பிக்கை
zvest	நம்பிக்கையாக
zvest	ஈமான்
predelavo	செயல்படுத்துகிறது
predelavo	செயலாக்கம்
lažji	எளிதானது
lažji	மென்மை
ano	ஆனா
povprečje	சராசரி
gozdarstvo	காடுகள்
depresija	ஆளாகின்றனர்
vpogled	insight
vpogled	புள்ளிவிவரம்
vpogled	புள்ளிவிவரங்கள்
škrat	குள்ள
aluminijev	அலுமினியம்
perspektive	கண்ணோட்டங்கள்
perspektive	முப்பரிமாண
mlajša	இளைய
rjava	பழுப்பு
rjava	பிரவுன்
prazno	காலி
prazno	காலியான
prazno	வெற்று
prazno	வெற்று
poklicna	தொழில்முறை
poklicna	தொழில்சார்
pomočnika	உதவியாளர்
pomočnika	உதவியாளர்
protein	புரதம்
pričakovali	எதிர்ப்பார்த்த
pričakovali	எதிர்பார்த்த
pričakovali	எதிர்பார்க்கப்படுகிறது
galaksija	கேலக்ஸி
galaksija	பிரபஞ்சம்
brooklyn	புரூக்ளின்
temple	கோவில்
temple	கோவிலில்
temple	கோயில்
večno	என்றென்றைக்கும்
večno	என்றென்றும்
večno	எப்போதும்
večno	நிரந்தரமாக
večno	நித்திய
osmi	எட்டாவது
tokov	ஸ்ட்ரீம்கள்
lokomotiva	locomotive
sonda	விசாரணை
jakost	பலம்
jakost	வலிமை
vaščani	villagers
sončna	சன்னி
sončna	வெயில்
sončna	வெய்யில்
sončna	சோலார்
sončna	சூரிய
nositi	சுமந்து
nositi	அணிய
nositi	உடுத்தும்
nositi	உடைகள்
znamka	ப்ராண்ட்
znamka	பிராண்ட்
znamka	புத்தம்
znamka	பிராண்டு
moss	மோஸ்
rodov	genera
naravnost	நேராக
naravnost	நேர்
naravnost	நேரான
informacija	தகவல்
informacija	தகவல்கள்
informacija	தகவலை
tedne	வாரங்கள்
oklahoma	ஓக்லஹோமா
listine	பட்டயம்
listine	சாசனம்
listine	ஆவணங்கள்
dušik	நைட்ரஜன்
walsh	வால்ஷ்
mio	மியா
mio	மியோ
črpalka	பம்ப்
torpedo	torpedo
luther	லூதர்
lane	லேன்
fifa	ஃபிஃபா
zaseda	கொண்டிருக்கின்றது
preliv	சாய்வு
preliv	மேற்பூச்சு
preliv	உடை
vladavina	ஆட்சி
luke	லூக்
luke	லூக்கா
kritični	சிக்கலான
kritični	சிக்கலானது
kritični	முக்கியமான
planeti	கிரகங்கள்
planeti	கோள்கள்
dušika	நைட்ரஜன்
patton	பேட்டன்
neposredne	டைரக்ட்
neposredne	நேரடி
prejemnik	பெறுநர்
prejemnik	பெறுநர்
pink	இளஞ்சிவப்பு
pink	பிங்க்
uči	போதிக்கிறது
čaščenje	வழிபாடு
čaščenje	வணங்குகிறோம்
čaščenje	வணங்கும்
omejeni	லிமிடெட்
fletcher	பிளெட்சர்
peters	பீட்டர்ஸ்
filippo	filippo
ionizacijski	அயனியாக்கம்
tisočletje	ஆயிரமாண்டு
plače	சம்பளம்
plače	கூலியை
rex	ரெக்ஸ்
komunistov	கம்யூனிஸ்டுகள்
astronomijo	வானியல்
nachi	நாச்சி
ciper	சைப்ரஸ்
roza	இளஞ்சிவப்பு
roza	பிங்க்
diplomo	பட்டயம்
diplomo	diploma
dodaten	கூடுதலாக
dodaten	கூடுதல்
sten	சுவர்களில்
sten	சுவர்கள்
kapital	மூலதனம்
kapital	தலைநகரம்
eksplozija	வெடி
vrtenje	சுழற்சி
ugotovitev	முடிவு
ugotovitev	conclusion
glukoze	குளுக்கோஸ்
naročila	ஆர்டர்
naročila	ஒப்பந்தங்கள்
naročila	வரிசை
naročila	ஆர்டர்
objavljene	வெளியிடப்பட்ட
objavljene	வெளியிடப்பட்டது
kleti	அடித்தள
podružnice	கிளைகள்
karta	டிக்கெட்
karta	கார்டு
karta	அட்டை
karta	சீட்டு
poslanstvo	நோக்கம்
venera	வீனஸ்
kmetijski	விவசாய
budizem	பௌத்தம்
kršitev	மீறல்
sloni	யானைகள்
pečat	முத்திரை
irsko	ஐரிஷ்
irsko	அயர்லாந்து
spodbujanje	தூண்டுதல்
spodbujanje	விளம்பரம்
spodbujanje	விளம்பரப்படுத்துதல்
kmeta	உழவர்
kmeta	விவசாயி
pivo	பியர்
pivo	பீர்
vrtec	மழலையர்
absorbira	நினைப்பவர்கள்
znamenja	மார்க்ஸ்
znamenja	அறிகுறிகள்
bratranec	உறவினர்
lepote	அழகை
lepote	அழகு
lepote	அழகி
slovesno	துவங்கப்பட்டது
caroline	கரோலின்
soares	சோர்ஸ்
raznolikost	வேற்றுமை
raznolikost	பல்வேறு
romantike	ரொமான்ஸ்
nogo	கால்
nogo	காலில்
nogo	கால்
lamborghini	லம்போர்கினி
sporna	சர்ச்சைக்குரிய
skladišče	கிடங்கு
skladišče	சேமிப்பு
skladišče	சேமிப்பகம்
northrop	northrop
islamski	இஸ்லாமிய
islamski	இஸ்லாமிக்
islamski	இஸ்லாமியம்
računalniška	கணினி
thomson	தாம்சன்
planete	கிரகங்கள்
planete	கோள்கள்
vega	வேகா
kotu	மூலை
kotu	மூலையில்
kotu	கார்னர்
profile	சுயவிவரங்கள்
gif	gif
ogrodje	கட்டமைப்பை
ogrodje	வார்ப்பு
ogrodje	சட்டம்
ogrodje	ஃபிரேம்
temeljna	அடிப்படையான
izrecno	குறிப்பாக
augustus	அகஸ்டஸ்
klubi	பட்டகம்
kalijev	பொட்டாசியம்
potrditev	உறுதிப்பாடு
potrditev	உறுதிப்படுத்தல்
potrditev	உறுதிப்படுத்துதல்
potrditev	உறுதிப்படுத்தவும்
slapovi	அருவி
slapovi	அருவியில்
slapovi	நீர்வீழ்ச்சி
rezidenca	வீடு
rezidenca	வசிப்பிடம்
rezidenca	தங்குமிடம்
rezidenca	குடியிருப்பு
avstralijo	ஆஸ்திரேலியா
uma	உமா
portugalsko	போர்ச்சுகல்
izdano	வெளியிட்டார்
označi	டேக்
označi	தத்தல்
označi	குறியிடு
označi	அடையாளம்
označi	மார்க்
označi	குறி
spori	முரண்பாடுகள்
spori	குழப்பங்கள்
spori	மோதல்கள்
grace	கருணை
grace	கிரேஸ்
grace	அருளும்
digitalna	டிஜிட்டல்
digitalna	digital
serra	செர்ரா
zmanjšana	குறைத்தது
zlo	தீய
zlo	தீமைகள்
zlo	தீங்கு
iowa	அயோவா
pearl	முத்து
centimetrov	அங்குலம்
aaron	ஆரோன்
normandiji	நார்மாண்டி
vest	மனசாட்சி
amy	ஆமி
amy	ஏமி
grič	குன்று
grič	ஹில்
koreji	கொரியா
astronomi	astronomers
clay	களிமண்
clay	ஆரம்பித்தான்
prvaki	சாம்பியன்ஸ்
jude	ஜூட்
živec	நரம்பு
fiat	ஃபியட்
magnetni	காந்த
sirije	சிரியா
plastike	plastics
hmas	hmas
omejene	லிமிடெட்
duet	டூயட்
slovaški	ஸ்லோவாக்
obalna	கடலோர
afriški	ஆப்பிரிக்க
risbe	கோலங்கள்
fazah	நிலைகள்
rolf	ரோல்ஃப்
devica	கன்னி
devica	கன்னித்
negativen	எதிர்மறை
negativen	கெட்டது
poceni	மலிவான
pan	பான்
samostanov	மடாலயங்கள்
ploščice	ஓடு
ploščice	டைல்
ploščice	ஓடுகள்
glock	glock
scena	காட்சி
dietrich	டீட்ரிக்
zadetek	புள்ளிகள்
zadetek	மதிப்பெண்
zadetek	ஸ்கோர்
zadetek	மதிப்பெண்கள்
zadetek	ஹிட்
zadetek	அடி
fanta	பாய்ஸ்
fanta	சிறுவர்கள்
magic	மாய
magic	சூனியம்
magic	மாயம்
magic	மேஜிக்
ogromne	மிகப்பெரிய
albrecht	ஆல்பிரெஃக்ட்
muslimanov	இஸ்லாமியர்கள்
muslimanov	முஸ்லிம்கள்
maine	maine
toplotno	அனல்
dos	டாஸ்
jensen	ஜென்சன்
lindsay	லின்ட்சே
vrstice	வரிகள்
vrstice	வரிகள்
vrstice	கோடுகள்
mehanika	மெக்கானிக்
narejeni	செய்த
narejeni	made
mate	தோழன்
mate	துணையை
osborne	ஆஸ்போர்ன்
junakov	ஹீரோக்கள்
junakov	நாயகர்கள்
ozek	குறுகலான
žalosti	சோகம்
žalosti	சோகத்தை
težava	பிரச்சனை
težava	பிரச்சினை
težava	சிக்கல்
emily	எமிலி
trdnost	பலம்
trdnost	வலிமை
izhod	வெளியீடு
izhod	வெளியேற்று
izhod	வெளியேறும்
izhod	வெளியேறு
oslo	ஒஸ்லோ
sled	வழி
sled	சுவடு
sklop	சபை
jun	ஜூன்
jun	jun
jun	ஜீன்
zimo	குளிர்காலம்
zimo	குளிர்கால
sok	பழச்சாறு
sok	ஜூஸ்
sok	சோக்
krovu	வாரியம்
krovu	போர்டு
krovu	பலகை
vztrajno	விடாப்பிடியாக
alge	பாசி
kovina	உலோகம்
kovina	உலோக
kovina	மெட்டல்
teka	பசியின்மை
kilogramov	பவுண்டுகள்
peru	பெரு
izdaj	பதிப்புகள்
izdaj	சிக்கல்கள்
izdaj	பிரச்சனைகள்
izdaj	பிரச்சினைகள்
miško	சுட்டி
miško	எலி
miško	சொடுக்கி
pričakovanja	எதிர்பார்ப்பு
pričakovanja	எதிர்பார்ப்புகள்
pričakovanja	எதிர்பார்ப்பும்
lidija	லிடியா
apple	ஆப்பிள்
pripadnosti	சேர்ந்த
frančiškanski	franciscan
ogroženih	அருகிவரும்
odgovori	விடை
odgovori	பதிலைப்
odgovori	பதில்
odgovori	பதிலை
odgovori	பதில்
odgovori	மறுமொழி
odgovori	பதில்கள்
odgovori	பதில்கள்
kroglo	உருண்டை
pesniki	கவிஞர்கள்
pesniki	புலவர்கள்
winter	குளிர்காலம்
winter	குளிர்கால
pravilna	சரியான
ustrezna	தொடர்புடையது
ustrezna	பொருத்தமான
maščevanje	பழி
maščevanje	பழிவாங்கல்
maščevanje	பதிலடி
železov	ferric
železov	ferrous
železov	இரும்பு
sierra	சியரா
blata	சேற்றில்
blata	சேறு
vatikan	வத்திக்கான்
vprašal	கேட்டேன்
vprašal	கேட்கப்பட்டது
vprašal	கேட்டார்
vprašal	கேட்டாள்
messerschmitt	messerschmitt
kong	காங்
tomo	tomo
prepovedana	தடுக்கப்பட்டு
prepovedana	தடை
zadovoljen	திருப்தி
zadovoljen	திருப்திகரமாக
oglaševanje	விளம்பரம்
oglaševanje	விளம்பரப்படுத்தல்
oglaševanje	விளம்பரப்படுத்துதல்
torre	torre
jabolko	ஆப்பிள்
izračun	calculation
odmerek	மருந்தளவு
odmerek	டோஸ்
digitalno	டிஜிட்டல்
digitalno	digital
kandidati	வேட்பாளர்கள்
receptorje	receptors
ubitih	கொல்லப்பட்டனர்
ubitih	கொன்றார்
ubitih	கொன்றது
ubitih	கொல்லப்பட்டார்
novica	செய்திகள்
novica	செய்தி
aretirali	கைது
aplikacije	நிரல்கள்
aplikacije	விண்ணப்பங்கள்
aplikacije	பயன்பாடுகள்
aplikacije	பயன்பாடுகள்
steza	தடம்
steza	ஓடுபாதை
pepel	ஆஷ்
podlage	லைனர்
litva	லிதுவேனியா
iva	iva
kult	கல்ட்
nemec	ஜெர்மன்
latvija	லாட்வியா
parametre	அளவுருக்கள்
parametre	அளபுருக்கள்
okrožij	மாவட்டங்கள்
obdelava	செயல்படுத்துகிறது
obdelava	செயலாக்கம்
obdelava	சிகிச்சை
jeklo	ஸ்டீல்
jeklo	எஃகு
prisilno	நிமிர்ந்து
prisilno	கட்டாயக்
oblaki	மேகங்கள்
algebra	இயற்கணிதம்
žarek	பீம்
operativno	இயங்கியல்
kekec	கடிந்து
klic	அழை
klic	அழைக்கவும்
klic	அழைப்பு
budimpešti	புடாபெஸ்ட்
sesalci	பாலூட்டி
predmestju	புறநகர்
bivanje	வீடு
bivanje	வசிப்பிடம்
bivanje	தங்குமிடம்
bivanje	குடியிருப்பு
bivanje	தங்கி
rogers	ரோஜர்ஸ்
terapije	சிகிச்சை
atlantic	அட்லாண்டிக்
youthyears	youthyears
standarde	தரநிலைகளை
standarde	தரநிலைகளைப்
standarde	தரநிலைகள்
warner	வார்னர்
produkcije	productions
maščob	கொழுப்புகள்
maščob	கொழுப்புக்கள்
maščob	கொழுப்புகளை
maščob	கொழுப்பு
maščob	குண்டாக
maščob	கொழுப்பை
podjetji	enterprises
kosi	வெட்டுக்கள்
kosi	வெட்டுதல்
odstotek	விழுக்காடு
odstotek	சதவீதம்
odstotek	சதவிகிதம்
odstotek	விழுக்காடு
odstotek	விகிதம்
odstotek	சதவீதம்
odstotek	சதவிகிதம்
miss	செல்வி
šaha	சதுரங்கம்
mara	மாரா
nepričakovano	எதிர்பாராத
regionalno	மண்டல
izvoz	ஏற்றுமதி
izvoz	ஏற்று
katerokoli	ஏதாவது
katerokoli	ஏதேனும்
katerokoli	எந்த
strel	ஷாட்
prevodnost	conductivity
montrealu	montreal
express	விரைவுவண்டி
express	எக்ஸ்பிரஸ்
nadomesti	மாற்று
nadomesti	பெயர்ச்சி
slikanje	ஓவியத்தை
slikanje	ஓவியம்
slikanje	இமேஜிங்
petdeset	ஐம்பது
men	ஆண்கள்
men	ஆண்
men	ஆண்களிடம்
naklonjenost	பாசத்தை
naklonjenost	பாசம்
naklonjenost	பாசமும்
izvolitev	தேர்தலில்
izvolitev	தேர்தல்
fleming	ஃபிளெமிங்
strupene	விஷ
sveže	புதிதாக
sveže	புதிய
sveže	புதிதாக
templjev	கோயில்கள்
templjev	கோவில்கள்
butler	பட்லர்
mešanje	அரைத்து
regina	ரெஜினா
stavki	வேலைநிறுத்தம்
stavki	வாக்கியங்கள்
fontana	நீரூற்று
fontana	ஊற்று
mačke	பூனைகள்
mačke	கேட்ஸ்
salvador	சல்வடோர்
kap	சைன்
kap	பக்கவாதம்
trajanje	காலஅளவு
magdalena	மரியாள்
riga	ரிகா
serijsko	சீரியல்
serijsko	வரிசை
serijsko	தொடர்
jerry	ஜெர்ரி
najdeni	கண்டு
najdeni	கண்டேன்
najdeni	கண்டறியப்பட்டது
prijateljica	நண்பன்
prijateljica	நண்பர்
prijateljica	நண்பனும்
prijateljica	தோழி
prijateljica	நண்பரே
zvestobo	விசுவாசம்
tostring	tostring
centrov	மையங்களை
starše	பெற்றோர்
starše	பெற்றோரும்
starše	பெற்றோர்கள்
starše	பெற்றோர்களே
volumen	ஒலியளவு
približek	பதிலாள்
ustanovitelji	நிறுவனர்கள்
tel	டெல்
izvršni	செயற்குழு
naveden	குறிப்பிட்ட
naveden	சொல்லப்பட்டது
afganistanu	ஆப்கானிஸ்தான்
koristno	பயனுள்ள
koristno	பயனுள்ளது
koristno	பயனுள்ளதாக
koristno	உதவிகரமாக
koristno	உதவிகரமான
nadaljevalo	தொடர்கிறது
nadaljevalo	தொடர்ந்தது
vzela	எடுத்த
okuženih	பாதிக்கப்பட்ட
tvoje	உங்கள்
tvoje	உங்களின்
tvoje	உனது
tvoje	உன்
kmetijsko	விவசாய
sončno	சன்னி
sončno	வெயில்
sončno	வெய்யில்
sončno	சோலார்
sončno	சூரிய
sprosti	ரிலாக்ஸ்
sprosti	வெயிலில்
sprosti	ஓய்வெடுக்க
štirideset	நாற்பது
pero	தோகை
pero	இறகு
pero	எழுதுகோல்
pero	பேனா
avro	அவ்ரோ
partner	துணை
partner	பங்குதாரர்
partner	கூட்டாளர்
partner	துணைவர்
kolidž	கல்லூரியை
kolidž	கல்லூரி
znamk	பிராண்டுகள்
črn	கருப்பு
črn	கறுப்பு
naključno	குறிப்பிலா
naključno	நிலையில்லாத
naključno	ஒழுங்கற்ற
naključno	சீரற்ற
usmerjeni	இயக்கிய
sedeži	இருக்கைகள்
hranil	சத்துக்கள்
balkan	balkans
balkan	பால்க்கன்
kapitala	மூலதனம்
kapitala	தலைநகரம்
izjava	கூற்று
izjava	அறிக்கை
izjava	பிரகடனம்
meshid	meshid
gorsko	மலை
celični	செல்லுலார்
sirijo	சிரியா
ustanovni	founding
authorlink	authorlink
nino	நினா
nino	நினோ
emanuel	இமானுவேல்
plesa	ஆடும்
suhe	வறண்டு
suhe	வறண்ட
suhe	உலர்
suhe	உலர்ந்த
suhe	காய்ந்த
realizem	நிஜம்
sredozemsko	மத்தியதரைக்கடல்
izraelski	இஸ்ரேலிய
izraelski	இஸ்ரேல்
izgine	மறைகிறது
izgine	மறைந்து
zbrana	சேகரிக்கப்பட்ட
zima	குளிர்காலம்
zima	குளிர்கால
frekvenca	அதிர்வெண்
frekvenca	எண்ணிக்கை
ipa	ipa
vejo	கிளை
azarenka	அசரென்கா
