ফ্রেডরিক	فردریک
ফ্লাওয়ার	فلاور
অভিযোজন	اقتباس
অভিযোজন	سازگاری
স্থানাংক	مختصات
স্থানাংক	مختصات
ইব্রাহীম	ابراهیم
ইব্রাহীম	آبراهام
ইব্রাহীম	قصّه
ইব্রাহীম	ابراهیم
কোমর	کمر
উদ্বাস্তু	مهاجر
উদ্বাস্তু	پناهنده
উদ্বাস্তু	پناهندگان
উদ্বাস্তু	پناهجویان
উদ্বাস্তু	مهاجرین
বিপর্যয়ের	مصیبت
বিপর্যয়ের	فاجعه
বিপর্যয়ের	مصیبتی
বিপর্যয়ের	حادثه
মোড	حالت
কাঁকড়া	خرچنگ
কাঁকড়া	خرچنگ
কাঁকড়া	کرب
নিয়মাবলী	قواعد
নিয়মাবলী	قوانین
মায়ার	مایا
হিন্দুস্তানি	هندوستانی
শত্রুদের	دشمنان
ভিড়	جمعیت
ভিড়	جمعیت
ভিড়	شلوغی
ভিড়	ازدحام
ভিলা	ویا
ভিলা	ویلایی
ভিলা	ویلا
ভিলা	ویلای
গোসল	دوش
গোসল	رگبار
গোসল	بارانی
গোসল	حمام
কোটা	سهمیه
কোটা	کوتا
টার্গেট	اهداف
বাজেয়াপ্ত	مصادره
ফসফরাস	فسفر
গোপনীয়তা	خلوت
ইস্তানবুল	استانبول
পিতামাতা	والدین
অবিচ্ছিন্ন	مستمر
অবিচ্ছিন্ন	مداوم
অবিচ্ছিন্ন	پیوسته
অবিচ্ছিন্ন	پاینده
নামগুলো	نامها
নামগুলো	نامهای
গ্রীষ্মকাল	تابستان
গ্রীষ্মকাল	سامر
গ্রীষ্মকাল	تابستون
গ্রীষ্মকাল	تابستانی
জাকার্তা	جاکارتا
সিনেট	سنا
সিনেট	سنای
টুইটার	توئیتر
টুইটার	twitter
টুইটার	تویتر
টুইটার	توییتر
বরখাস্ত	عزل
বরখাস্ত	برکناری
যুগল	زوجی
যুগল	زوج
জার	تزار
জার	کوزه
জার	کوزه
লায়ন	شیر
অভিযোগের	اتهامی
অভিযোগের	اتهامات
অভিযোগের	اتهام
অভিযোগের	اتهاماتی
ভাঙন	فرسایش
মুজাহিদ	مجاهد
বাহামা	باهاما
ফিলিপস	فیلیپس
ফিলিপস	فیلیپس
টুকরা	تکه
টুকরা	قطعه
টুকরা	قطعه
অসুস্থতা	بیماری
অসুস্থতা	ناخوشی
অসুস্থতা	مرضی
অসুস্থতা	بیماری
লাগানোর	کاشتن
লাগানোর	کاشت
রহমত	بخشش
রহমত	رحمت
রহমত	رحمتی
রহমত	رحمت
কিথ	کیث
দেওয়াল	وال
দেওয়াল	دیواری
দেওয়াল	دیوار
দেওয়াল	دیوارها
দেওয়াল	دیوارهای
দেওয়াল	دیوار
নোভা	نووا
নোভা	نوا
অ্যাক্ট	عمل
টহল	گشت
টহল	گشتی
টহল	پاترول
কোস্টা	کوستا
কোস্টা	کاستا
লাইক	شبیه
লাইক	لایک
লাইক	مثل
লাইক	like
লাইক	مانند
লাইক	لایک
জুরি	منصفه
পিঠা	cake
পিঠা	کیکه
পিঠা	کیک
স্থানসমূহ	مکانهایی
স্থানসমূহ	مکانها
স্থানসমূহ	مساجد
শার্লক	شرلوک
ডেঙ্গু	دنگی
সি++	سی++
স্পষ্টভাবে	قطعاً
স্পষ্টভাবে	قطعا
পিটার্সবার্গ	پترزبورگ
শ্রোতাদের	شنونده
শ্রোতাদের	شنوندگان
গোয়ার	گوا
ঢোল	طبل
ঢোল	درام
মন্ত্রনালয়	وزارت
অভিনব	محبوبی
অভিনব	پندار
অভিনব	گمان
ভেজা	مرطوب
ভেজা	خیس
কুমির	تمساح
কুমির	کروکودیل
মাওবাদী	مائوئیست
খুনের	قتلهای
খুনের	قتل
আর্কিটেকচার	architecture
আর্কিটেকচার	معماری
করন	کاران
তেহরান	تهران
তেহরান	tehran
প্রার্থীদের	کاندیداهای
ম্যাজিক	جادویی
ম্যাজিক	جادو
ম্যাজিক	سحر
ম্যাজিক	جادوی
আগ্রাসন	پرخاشگری
আগ্রাসন	تجاوز
পেনিসিলিন	پنیسیلین
শাহীন	شاهین
শাহীন	shahin
শাহীন	شاهین
রোমানদের	رومیها
একশ	صد
হোল	سوراخ
হোল	حفره
হোল	گودال
ট্রানজিস্টর	ترانزیستور
স্প্রিং	بهار
স্প্রিং	بهاری
স্প্রিং	اسپرینگ
ক্রেইগ	کرگ
ক্রেইগ	کریگ
ক্রেইগ	گریک
কীট	حشره
মিগ	میگ
সারসংক্ষেপ	خلاصۀ
সারসংক্ষেপ	خلاصه
সারসংক্ষেপ	خلاصۀ
সারসংক্ষেপ	خلاصه
শিক্ষাগত	آموزنده
শিক্ষাগত	آموزشی
উদ্ভিদবিজ্ঞান	گیاهشناسی
তাক	طاقچه
সুড়ঙ্গ	تونلی
সুড়ঙ্গ	تونل
সুড়ঙ্গ	تونلها
জুল	جولز
জুল	ژول
যখনই	هروقت
ফ্যাক্টর	فاکتور
ফ্যাক্টর	عامل
তুই	تو
তুই	شما
ডেল্টা	دلتا
ডেল্টা	دلتای
লুসিয়া	لوسیا
চন্দন	صندل
চিত্রগ্রহণ	فیلمبرداری
চিত্রগ্রহণ	بازیگران
নৈতিকতা	اخلاقیات
নৈতিকতা	اخلاق
নৈতিকতা	اخلاقی
নৈতিকতা	اخلاق
নৈতিকতা	اخلاق
নৈতিকতা	اخلاقیات
নৈতিকতা	اخلاقی
নৈতিকতা	اخلاق
রাজহাঁস	غاز
রাজহাঁস	گوس
গ্যালিলিও	گالیله
মুলক	واسطی
গাদ্দাফি	قذافی
উষ্ণতা	گرما
উষ্ণতা	گرمی
স্টকহোম	استکهلم
ভাবতে	فکر
প্রসারণ	گسترش
প্রসারণ	جفا
প্রসারণ	بسط
প্রসারণ	افزونه
প্রসারণ	پسوند
আংটি	حلقه
আংটি	رینگ
আংটি	انگشتر
আংটি	حلقه
পশ্চিমী	وسترن
পশ্চিমী	غربی
নন্দ	ناندا
কিড	کید
দিচ্ছে	دادن
উট	شتران
উট	اشتری
উট	شتر
উট	اشتر
জামা	پیرهن
জামা	پیراهن
চাওয়া	خواستن
গ্রীষ্মের	تابستان
গ্রীষ্মের	سامر
গ্রীষ্মের	تابستون
গ্রীষ্মের	تابستانی
ফরিদ	فرید
ইউয়ান	یوان
কলম্বাস	کلمبوس
বিনোদ	وینود
ট্যাঙ্ক	مخزن
ট্যাঙ্ক	تانک
ট্যাঙ্ক	تنک
ট্যাঙ্ক	تانک
ট্যাঙ্ক	تانکها
সুত্র	سرنخ
সুত্র	سرنخی
স্বাভাবিকভাবেই	طبیعتا
ব্রিটানিকা	بریتانیکا
আরোগ্য	شفا
আরোগ্য	التیام
আরোগ্য	درمانش
আরোগ্য	علاج
আরোগ্য	شفای
আরোগ্য	درمانی
আরোগ্য	شفا
আরোগ্য	درمان
কোকিল	کوکو
কোকিল	فاخته
ক্রোয়েশীয়	کروات
ক্রোয়েশীয়	کرواسی
হতাশ	ناکام
হতাশ	ناامید
হতাশ	ناکام
বাহরাইনের	بحرینی
উত্পাদন	تولید
উত্পাদন	تولید
উত্পাদন	ساخت
উত্পাদন	تولیدی
তেরেসা	ترسا
তেরেসা	تریسا
তেরেসা	ترزا
ফাতিমা	فاطمه
ফাতিমা	فاطمه
ভিক্ষুদের	راهبان
নেচার	سرشت
নেচার	طبیعت
প্লাটুন	جوخه
লিখুন	نوشت
লিখুন	نویسند
লিখুন	نوشتن
লিখুন	بنویسید
লিখুন	بنویسد
তিতির	دراج
মরিশাস	موریس
ফাঁদ	دام
ফাঁদ	دامی
ফাঁদ	تله
ফাঁদ	تله
ব্যঞ্জনধ্বনি	همخوان
ভীষ্ম	بهیشم
বোস্টন	بوستون
সুইফট	سوئیفت
মার্কস	مارکس
পকেট	جیبی
পকেট	جیب
পকেট	جیب
বোর	بور
আনুষঙ্গিক	لوازم
কাঁধ	شونه
কাঁধ	شانه
স্পিরিট	روحی
স্পিরিট	اسپریت
স্পিরিট	روح
টিকেট	بلیط
টিকেট	بلیت
ডিজেল	دیزل
মোস্ট	اکثر
মোস্ট	بیشتر
মোস্ট	بیشترین
স্নেহ	محبت
স্নেহ	عاطفه
স্নেহ	مهربانی
শান	shan
মার্ক্স	مارکس
ছোঁয়া	لمس
ছোঁয়া	تاچ
অঙ্গীকার	قولی
অঙ্গীকার	قول
অঙ্গীকার	وعده
অঙ্গীকার	تعهد
অঙ্গীকার	التزام
অঙ্গীকার	تعهد
হোস্ট	میزبان
ইভা	ایوا
ইভা	اوا
ইভা	اِوا
ড্রাম	طبل
ড্রাম	درام
দড়ি	طناب
দড়ি	طنابی
টিউটোরিয়াল	tutorials
পাসপোর্ট	پاسپورت
পাসপোর্ট	گذرنامه
ফেরি	فری
ফেরি	معبر
ফেরি	گذرگاه
উল্লম্ব	عمودی
অগ্রগামী	پیشگام
অগ্রগামী	پایونیر
ফিকে	راکد
প্রিন্টার	چاپگر
প্রিন্টার	چاپگرهای
জাস্টিস	عدالت
জাস্টিস	عدل
মার্টিনেজ	مارتینز
ফুসফুসের	ریه
ফুসফুসের	لونگ
ফুসফুসের	لانگ
গোলন্দাজ	گانر
গেজেট	گزت
রেসিং	مسابقه
যাদু	جادویی
যাদু	جادو
যাদু	سحر
যাদু	جادوی
এয়ারওয়েজ	ایرویز
শার	شار
আইভি	پیچک
আইভি	آیوی
সাম	مجموع
সাম	مبلغ
রাবণের	راوانا
দুধের	شیر
দুধের	میلک
পরজীবী	انگلی
পরজীবী	انگل
কাঁটার	خار
জ্যাজ	جاز
আর্সেনিক	آرسنیک
আর্সেনিক	فرنچ
আর্সেনিক	فرانسه
আর্সেনিক	فرانسوی
বিস্মিত	متحیر
আয়না	آینه
আয়না	انعکاس
আয়না	آیینه
আয়না	آینه
আয়না	آئینه
পয়সা	سکه
পার্কিং	پارکینگ
নুসরাত	نصرت
কম্পটন	کامپتون
সর্বোত্তম	بالاترین
সর্বোত্তম	بهترین
সর্বোত্তম	بهتر
সর্বোত্তম	best
সর্বোত্তম	عالی
বাক্যে	حکم
বাক্যে	جمله
পরিকাঠামো	زیرساخت
গনি	غنی
ভিজুয়াল	دیداری
ভিজুয়াল	بصری
ভিজুয়াল	تصویری
অপর্যাপ্ত	ناکافی
অপর্যাপ্ত	ناکافی
অবজেক্ট	شئ
অবজেক্ট	مفعول
অবজেক্ট	شیء
অবজেক্ট	اشیاء
অবজেক্ট	اجسام
অবজেক্ট	اشیا
পোলার	قطبی
মনস্তাত্ত্বিক	روانشناسی
মনস্তাত্ত্বিক	روانشناختی
সিল্ক	سیلک
সিল্ক	ابریشم
সিল্ক	پرنیان
সিল্ক	ابریشمی
সিল্ক	حریر
রুডলফ	رودولف
কেলি	کلی
তীক্ষ্ণ	شارپ
তীক্ষ্ণ	تیزی
তীক্ষ্ণ	هشیار
তীক্ষ্ণ	تیز
থিওডোর	تئودور
ব্র্যাড	براد
রোভার	روور
টার্নার	ترنم
টার্নার	ترنر
খরা	خشکسالی
জোরে	بلند
বক	انحراف
বক	حواصیل
বেলারুশ	بلاروس
পুলিৎজার	پولیتزر
কঙ্কাল	اسکلت
পাত্রের	قابلمه
পাত্রের	دیگ
ফিদে	فیده
ডেরেক	درک
নুর	نور
টিয়া	تیا
টিয়া	طوطی
রূপালী	نقره
রূপালী	سیمین
রূপালী	سیلور
ঘুড়ি	کایت
ঘুড়ি	بادبادک
ক্যাবিনেট	کابینه
ক্যাবিনেট	کابینت
উইন্ডসর	ویندسور
উইন্ডসর	ویندزور
নাহিদ	ناهید
ডকুমেন্ট	سند
ডকুমেন্ট	نوشتار
ডকুমেন্ট	اسناد
কর্মসংস্থান	استخدام
কর্মসংস্থান	اشتغال
ঘাসের	چمن
ঘাসের	چمنی
ঘাসের	علف
বলছে	میگه
বলছে	میگوید
লাফ	جهش
লাফ	پرش
লাফ	پرشی
তৃণভূমি	مید
আইওএস	ios
উজ্জ্বলতা	بزرگی
উজ্জ্বলতা	روشنی
উজ্জ্বলতা	روشنایی
ডেবিয়ান	دبیان
রিম	حاشیه
রিম	ریم
যাজক	پاستور
যাজক	روحانیت
যাজক	روحانیون
অনুভূতির	احساسات
অনুভূতির	احساس
অনুভূতির	احساساتی
যোগফল	مجموع
যোগফল	مبلغ
পাখা	بادبزن
পাখা	طرفدار
পাখা	پنکه
পাখা	فن
মাংসের	گوشتی
মাংসের	گوشته
মাংসের	گوشت
ফাটল	بشکن
ফাটল	کراک
ফাটল	شکاف
জলবিদ্যুৎ	هیدروالکتریک
সন্ত্রাসবাদী	تروریست
সন্ত্রাসবাদী	تروریستی
সন্ত্রাসবাদী	تروریستها
সন্ত্রাসবাদী	تروریست
নাজিম	ناظم
মতবিরোধ	اختلاف
গ্লাসগো	گلاسکو
ফোটন	فوتون
নির্ভুল	عالی
নির্ভুল	perfect
নির্ভুল	پرفکت
ম্যানগ্রোভ	حرا
ম্যানগ্রোভ	حرای
ইসিবি	ecb
গিল	گیل
গিল	گیل
সজীব	سرزنده
সজীব	تازه
প্রাইম	پرایم
প্রাইম	نخست
রোপণ	کاشتن
রোপণ	کاشت
রোপণ	جاسازی
রোপণ	بلغزد
রোপণ	کاشته
শহরতলি	حومه
অ্যালগোরিদম	الگوریتم
নিছক	mere
সন্নিবেশিত	نهفته
সন্নিবেশিত	توکار
মহীশূর	میسور
আল্প	آلپ
আল্প	آلپ
বর্গাকার	مربع
বর্গাকার	میدان
কাঁচা	خام
কাঁচা	راو
কাঁচা	raw
রাসূল	فرستاده
রাসূল	messenger
রাসূল	پیامبر
রাসূল	رسول
রাসূল	مسنجر
রাসূল	رسولی
রাসূল	رسولی
অস্থির	بیقرار
উড়োজাহাজ	هواپیمای
সালমা	سلما
গণ্ডার	کرگدن
বর্ম	زره
ফ্লোরেন্স	فلورنس
ফ্লোরেন্স	فلورانس
ফরহাদ	farhad
ফরহাদ	فرهاد
সরিষা	خردل
সরিষা	خردلی
ভোরের	داون
ভোরের	طلوع
ভোরের	سحرگاه
ভোরের	سپیده
স্লোভেনিয়া	اسلوونی
চিতা	یوزپلنگ
চিতা	پلنگی
চিতা	پلنگ
সমৃদ্ধির	رفاه
যাচ্ছেন	میرم
প্লেটো	افلاطون
খোসা	پیل
মালি	مالی
ডাকাত	دزدان
ডাকাত	راهزن
নেইমার	نیمار
গ্রামার	گرامر
ফ্রান্সিস্কো	فرانسیسکو
ফ্রান্সিস্কো	فرانچسکو
অন্যান্যরা	دیگران
অন্যান্যরা	دیگر
বিচ	بیچ
বিচ	ساحل
ফেলিক্স	فلیکس
ফেলিক্স	فیلیکس
ভ্রমন	سفر
ওবামা	اوباما
জাগ্রত	بیداری
জাগ্রত	بیدار
ক্রেওল	کریول
ছোটখাটো	مینیاتور
ধারালো	شارپ
ধারালো	تیزی
ধারালো	هشیار
ধারালো	تیز
ভিটা	vita
পেঁয়াজ	پیاز
পেঁয়াজ	پیاز
অসহায়	فقیران
অসহায়	فقیر
অসহায়	فقیری
অসহায়	بیچاره
অসহায়	درمانده
অসহায়	رقت
হসপিটাল	بیمارستان
হসপিটাল	بیمارستانی
হিরোশিমা	هیروشیما
হর	har
হর	هار
হর	مخرج
ট্রি	درخت
ট্রি	درختی
কানের	خوشه
রোদ	آفتاب
রঞ্জিত	رانجیت
দেখলাম	مریخی
দেখলাম	دیده
দেখলাম	دید
প্রামাণ্যচিত্র	مستند
ফরওয়ার্ড	جلو
হিপ	باسن
হিপ	هیپ
চাও	چائو
ম্যাথিউ	ماتیو
ম্যাথিউ	متیو
ম্যাথিউ	ماتیو
পাম্প	پمپ
পাম্প	تلمبه
পাম্প	پمپ
নিষ্পত্তি	ساکن
এভিয়েশন	هوانوردی
এভিয়েশন	هواپیمایی
কাস্পিয়ান	خزر
কাস্পিয়ান	کاسپین
কাস্পিয়ান	مازندران
নিকোলা	نیکولا
নিকোলা	نیکولا
নিন	برداشت
নিন	بگیر
নিন	بگیرد
নিন	بگیرید
মিং	مینگ
দৈত্য	غول
মনোজ	manoj
পোর্টল্যান্ড	پورتلند
এক্সপ্লোরার	کاوشگر
এক্সপ্লোরার	اکسپلورر
ঝর্ণা	بهار
ঝর্ণা	بهاری
ঝর্ণা	اسپرینگ
ঝর্ণা	آبشار
ঝর্ণা	ابشار
ঝর্ণা	فواره
ঝর্ণা	سرچشمه
ঝর্ণা	چشمه
ঝর্ণা	آبشار
ঝর্ণা	آبشارهای
ঝর্ণা	آبشارها
প্রদাহ	التهاب
অনুভূমিক	افقی
ফরিদা	فریده
স্বশাসিত	خودگردان
স্বশাসিত	خودمختار
ব্যাধি	اختلال
ব্যাধি	خودشیفته
ব্যাধি	اختلالات
দামি	گران
দামি	گرونه
টেকসই	پایدار
টেকসই	دوام
ইন্টেলিজেন্স	هوش
ইন্টেলিজেন্স	هوشی
নিশ্চয়	بیشک
হাডসন	هادسون
হাডসন	هادسن
স্পট	نقطه
গোলাবর্ষণ	بمباران
ব্যর্থতা	شکست
ব্যর্থতা	نارسایی
ব্যর্থতা	خرابی
রিকো	ریکو
নাক্ষত্রিক	اختری
জোরালো	بلند
আবশ্যক	لازم
আবশ্যক	نیاز
হোবার্ট	هوبرت
আপেল	سیب
আপেল	apple
আপেল	اپل
আপেল	سیب
বারান্দা	بالکن
বন্ধুরা	دوستان
নিরীহ	ابلهانه
নিরীহ	بیگناهی
নিরীহ	بیگناه
নিরীহ	معصوم
দুনিয়া	جهان
দুনিয়া	دنیا
দুনিয়া	جهانی
স্বেচ্ছাসেবী	داوطلبان
স্বেচ্ছাসেবী	داوطلب
স্বেচ্ছাসেবী	داوطلب
স্বেচ্ছাসেবী	داوطلب
সুস্বাদু	خوشمزه
সুস্বাদু	خوشمزه
ইনডোর	سالنی
ইরাকী	عراقی
মোবারক	مبارک
মোবারক	mubarak
তুর্কমেনিস্তান	ترکمنستان
শিকল	بندها
শিকল	زنجیرها
শিকল	افسار
শিকল	قلاده
শিকল	زنجیرها
রিপন	ریپون
বোল	کاسه
বোল	bol
বিভ্রান্তি	آشفتگی
বিভ্রান্তি	گیجی
বিভ্রান্তি	اغتشاش
বিভ্রান্তি	سردرگمی
বিশ্লেষন	تحلیلی
এক্সিকিউটিভ	اجرایی
ভিউ	نما
ভিউ	نمای
বানু	banu
আর্ক	آرک
আর্ক	قوس
আর্ক	کمان
পোকার	پوکر
হুইল	فرمون
হুইল	چرخ
হুইল	چرخ
লাগবে	نیاز
লাগবে	نیازمند
দেখেছেন	ندیده
দেখেছেন	دیده
ঈমান	باور
ঈমান	ایمان
উইলি	ویلی
গণি	گنی
ব্রীজ	پل
ব্রীজ	پلی
প্রিজম	منشور
ডালে	دیل
মেগা	مگا
প্রান্তবিন্দু	رأس
জুয়েল	جواهری
জুয়েল	جواهر
উদ্বেগ	نگرانیهای
উদ্বেগ	اضطراب
উদ্বেগ	دلواپسی
উদ্বেগ	نگرانی
সমাজকে	اجتماع
সমাজকে	جامعه
সমাজকে	انجمن
নিঃশ্বাস	نفست
নিঃশ্বাস	نفس
নিঃশ্বাস	تنفس
নিঃশ্বাস	نفسی
গালে	گونه
মানমন্দির	رصد
মানমন্দির	رصدخانه
সন্ধ্যার	عصر
সন্ধ্যার	غروب
সন্ধ্যার	شام
হেনরিক	هنریک
প্যারাগুয়ে	پاراگوئه
আইল	آیل
রামোন	رامون
বৈধতা	اعتبار
কার্টুনিস্ট	کارتونیست
দক্ষিণাঞ্চলীয়	جنوب
দক্ষিণাঞ্চলীয়	جنوبی
রাজকন্যা	پرنسس
রাজকন্যা	شاهدخت
ক্রুশ্চেভ	خروشچف
হান্টার	هانتر
হান্টার	شکارچی
হ্যাকার	هکرها
হ্যাকার	هکر
চক্ষু	چشم
চক্ষু	چشمی
লজিক	منطق
লজিক	منطقی
হার্ভে	هاروی
বহুবচন	جمع
তুলসী	تولسی
লক	قفل
পাসওয়ার্ড	گذرواژه
পাসওয়ার্ড	پسورد
নার্সিং	سالمندان
নার্সিং	پرستاری
নার্সিং	nursing
হাইব্রিড	خودروی
হাইব্রিড	دورگه
নটর	نوتر
তাইপেই	تایپه
নাগাল্যান্ড	ناگالند
নর্তকী	رقصنده
নর্তকী	dancer
নর্তকী	رقاص
নর্তকী	رقصنده
নর্তকী	رقاصه
নর্তকী	رقاص
আলোকচিত্রী	photographer
আলোকচিত্রী	عکاس
মাল্টা	مالت
শপিং	shopping
শপিং	خرید
মিথেন	متان
সংযুক্তি	پیوست
টিস্যু	بافت
টিস্যু	بافتی
টিস্যু	بافتهای
অরোরা	آرورا
অরোরা	اورورا
পাওলো	پائولو
বিপিএল	bpl
আলেপ্পো	حلب
সন্ন্যাসীদের	راهبان
শক	شوکه
শক	شوک
মাধুরী	مدوری
ফ্লাইং	پروازی
ফ্লাইং	پرواز
জামাইকার	جامائیکا
জোনস	جونز
বিসিবি	bcb
লোদি	لودی
ফ্লেচার	فلچر
চশমা	عینکی
চশমা	عینک
ভোল্টেজ	ولتاژ
উন্মোচিত	رونمایی
উন্মোচিত	عرضه
এডগার	ادگار
এলিয়ট	الیوت
জুনায়েদ	جنید
সমকক্ষ	همسالان
সত্তর	هفتاد
সামি	sami
সামি	سامی
সামি	سمیع
চামচ	قاشق
চামচ	tsp
লেকচার	سخنرانی
গীতাঞ্জলি	گیتانجالی
ইসরাইল	اسراییل
ইসরাইল	اسرائیل
দেখেছি	ندیده
দেখেছি	دیده
তিমি	نهنگ
তিমি	وال
সঞ্জীব	سانجیو
অ্যালকোহল	الکل
তত্ত্বাবধান	نظارت
তত্ত্বাবধান	سرپرستی
বুকার	بوکر
ফিতা	نواری
ফিতা	روبان
ফ্যাক্টরি	کارخانه
চকচকে	براق
বিস্ময়	غافلگیری
বিস্ময়	surprise
বিস্ময়	سورپرایز
বিস্ময়	سوپرایز
বিস্ময়	شگفتیهای
বিস্ময়	عجایب
বাধার	موانعی
বাধার	موانع
লেস	لیس
লেস	له
লেস	les
লেস	لز
লেস	لس
মেটে	جگر
মেটে	کبد
সরফরাজ	سرفراز
রাসুল	رسول
জারণ	خوردگی
মিষ্টান্ন	دسر
কান্দাহার	قندهار
নিক্ষিপ্ত	گچ
নিক্ষিপ্ত	بیندازید
রেস্টুরেন্ট	رستورانی
রেস্টুরেন্ট	رستوران
হল্যান্ড	هالند
হল্যান্ড	هلند
কিটস	ضدافسردگی
কিটস	کیتس
বেলুন	بالن
বেলুন	بالون
বেলুন	بادکنک
নাস	ناس
পরিসর	گستره
পরিসর	گسترۀ
রিডার	خوانندگان
রিডার	ریدر
রিডার	خواننده
রিডার	خوانندگان
ট্যাক্সি	تاکسی
গিলবার্ট	گیلبرت
অধ্যয়নরত	studying
অধ্যয়নরত	مطالعه
লাফিয়ে	جهش
লাফিয়ে	پرش
লাফিয়ে	پرشی
ছুড়ে	پرتاب
অ্যাটলেটিকো	اتلتیکو
সাদ্দাম	صدام
গাড়ী	خودرو
গাড়ী	خودروی
গাড়ী	ماشین
জ্বলে	درخشیدن
জ্বলে	بدرخش
জ্বলে	درخشش
নাইরোবি	نایروبی
ডিসকভারি	اکتشاف
ডিসকভারি	دیسکاوری
